civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_usd,civic_ballot_campaign_spend_oppose_usd,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2011,MEAS000000038,INITIATIVE,LABOR,LABOR_TITLE000038,796325,795537,PENDING,136631123.76,8854942.71,1377,168,149718,63.46,34.82,730760,1507424,0,2023-12-10,0
2009,MEAS000000039,BOND,EDU,EDU_TITLE000039,181285,199304,QUALIFIED,245402579.15,93664961.45,342,927,95848,76.08,24.45,2041610,1580338,1,2017-01-09,0
2004,MEAS000000040,INITIATIVE,HEALTH,HEALTH_TITLE000040,98534,117144,FAILED,151313207.18,58370077.95,407,480,86730,60.23,38.45,464015,1082671,0,2000-10-18,0
2000,MEAS000000041,INITIATIVE,HOUSING,HOUSING_TITLE000041,815022,800269,PENDING,136867218.46,78840812.51,1779,2140,34255,52.35,48.69,834918,1247916,0,2016-08-25,0
2004,MEAS000000042,AMENDMENT,EDU,EDU_TITLE000042,248417,243525,QUALIFIED,149626259.76,187535982.56,562,487,5861,74.25,28.44,2315588,2222397,1,2016-06-24,0
2000,MEAS000000043,AMENDMENT,TAX,TAX_TITLE000043,474172,458712,QUALIFIED,206892904.77,246540578.69,1361,1547,148665,41.24,56.26,1666176,1878913,0,2023-01-04,1
2025,MEAS000000044,INITIATIVE,LABOR,LABOR_TITLE000044,837252,818728,QUALIFIED,209938496.39,163945737.25,1937,667,75132,73.21,31.59,3694,2001,1,2020-02-28,0
2009,MEAS000000045,INITIATIVE,LABOR,LABOR_TITLE000045,608310,595696,PENDING,18383027.65,216725447.52,1856,2436,111269,45.35,51.77,308044,650798,0,2025-11-26,0
2018,MEAS000000046,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000046,1343026,1337014,QUALIFIED,203039582.07,225088750.31,2160,1019,77857,46.48,53.15,677010,876141,0,2020-08-11,0
2008,MEAS000000047,AMENDMENT,OTHER,OTHER_TITLE000047,922855,934859,FAILED,132641796.64,178663697.22,1614,1385,80628,21.15,76.57,1251126,1602913,0,2006-04-21,0
2006,MEAS000000048,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000048,369515,367871,QUALIFIED,141978003.47,216132547.58,769,2452,29031,72.27,31.45,2609165,1719593,1,2022-07-12,0
2023,MEAS000000049,REFERENDUM,TRANSPORT,TRANSPORT_TITLE000049,794568,778198,QUALIFIED,182518844.1,181382919.91,218,998,47660,58.39,43.18,1536931,2596832,0,2020-03-04,1
2025,MEAS000000050,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000050,205020,194387,PENDING,228592930.6,15366062.61,568,561,18246,75.54,24.11,2125915,2012386,1,2001-12-10,0
2008,MEAS000000051,INITIATIVE,TAX,TAX_TITLE000051,171639,169192,LITIGATED,23260103.16,187948587.1,1004,459,137457,20.12,83.54,2487850,1476213,1,2000-02-20,0
2005,MEAS000000052,AMENDMENT,LABOR,LABOR_TITLE000052,1307228,1325320,QUALIFIED,169311533.93,196709243.01,204,1018,87027,34.81,61.04,188117,379194,0,2008-01-23,0
2017,MEAS000000053,INITIATIVE,LABOR,LABOR_TITLE000053,1195010,1195794,FAILED,203831147.07,156600760.22,1205,2468,110845,63.88,35.96,2030138,1378507,1,2024-03-07,0
2021,MEAS000000054,INITIATIVE,HEALTH,HEALTH_TITLE000054,1343895,1342491,QUALIFIED,140943048.89,234281942.29,1312,1642,25471,53.13,45.38,1127550,2093972,0,2017-02-06,0
2003,MEAS000000055,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000055,140542,133450,FAILED,13185700.2,93318836.18,1043,1055,148073,32.86,63.95,1081322,1145312,0,2013-09-09,0
2014,MEAS000000056,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000056,807473,825232,QUALIFIED,150492430.79,223512282.2,1862,249,108197,36.8,63.08,1818943,2874718,0,2012-01-30,0
2011,MEAS000000057,AMENDMENT,HEALTH,HEALTH_TITLE000057,1158851,1173660,QUALIFIED,86762464.85,241242412.08,2392,215,12854,23.51,73.4,1572945,705188,1,2011-07-17,0
2015,MEAS000000058,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000058,1344925,1360182,FAILED,159547696.04,129058020.95,1855,1751,56384,55.26,41.96,356153,348746,1,2005-11-15,0
2016,MEAS000000059,AMENDMENT,HOUSING,HOUSING_TITLE000059,758914,756087,FAILED,170724727.44,166962110.17,1920,979,42554,44.07,52.24,319394,337153,0,2009-10-07,0
2021,MEAS000000060,REFERENDUM,ELECTIONS,ELECTIONS_TITLE000060,1107225,1099824,QUALIFIED,140484782.24,54841571.14,54,2482,65798,67.92,32.25,1223829,544049,1,2005-01-08,0
2021,MEAS000000061,AMENDMENT,TAX,TAX_TITLE000061,842621,841736,PENDING,54526482.71,247432943.74,1724,1555,137750,24.18,71.61,1018245,1768660,0,2003-12-28,0
2025,MEAS000000062,BOND,HOUSING,HOUSING_TITLE000062,1155203,1160019,QUALIFIED,48476704.13,122645487.01,1282,309,113151,69.12,28.72,200648,291658,0,2017-04-23,0
2019,MEAS000000063,INITIATIVE,EDU,EDU_TITLE000063,529031,540423,QUALIFIED,65970490.55,112667245.83,2410,1950,78939,63.29,35.61,863150,1002617,0,2019-01-22,0
2011,MEAS000000064,REFERENDUM,ELECTIONS,ELECTIONS_TITLE000064,684785,673371,FAILED,135450072.6,123649367.88,1746,3,19105,75.87,19.47,1162490,1807962,0,2001-07-08,0
2013,MEAS000000065,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000065,169205,182429,FAILED,90452588.82,213139918.48,30,343,47096,50.35,49.23,1398987,1142144,1,2024-04-09,0
2024,MEAS000000066,CHARTER,EDU,EDU_TITLE000066,66214,71677,QUALIFIED,235697541.38,40254578.36,525,159,113583,54.21,40.99,1355196,1298988,1,2022-05-18,0
2020,MEAS000000067,AMENDMENT,LABOR,LABOR_TITLE000067,389095,382620,FAILED,246854738.93,98198054.27,1462,1412,128166,39.16,57.98,1519913,1601100,0,2002-05-12,0
2014,MEAS000000068,AMENDMENT,HEALTH,HEALTH_TITLE000068,1029709,1032812,QUALIFIED,61300060.84,147087857.26,2114,748,121764,49.17,53.93,2412716,1913373,1,2015-11-08,0
2001,MEAS000000069,BOND,TRANSPORT,TRANSPORT_TITLE000069,597962,600794,FAILED,2799739.71,9395626.96,1457,724,98985,68.2,34.99,361332,765895,0,2003-12-26,0
2018,MEAS000000070,REFERENDUM,ENVIRONMENT,ENVIRONMENT_TITLE000070,45664,41921,PENDING,62291728.08,41823284.01,2310,2030,38412,48.93,55.61,1418683,1671980,0,2016-02-16,0
2009,MEAS000000071,INITIATIVE,HEALTH,HEALTH_TITLE000071,821391,803377,FAILED,197155003.53,218532050.85,2250,2304,115486,21.8,74.59,1999386,2321402,0,2012-10-12,0
2011,MEAS000000072,INITIATIVE,LABOR,LABOR_TITLE000072,157934,174529,PENDING,243279975.0,17063769.13,164,713,24270,40.99,62.14,2860767,1562256,1,2004-05-01,0
2017,MEAS000000073,REFERENDUM,HOUSING,HOUSING_TITLE000073,1314778,1301950,FAILED,115201758.07,93566966.87,142,2166,12393,46.57,50.3,1128527,573326,1,2014-10-10,1
2012,MEAS000000074,BOND,TRANSPORT,TRANSPORT_TITLE000074,297583,300542,FAILED,44343666.69,36525705.69,191,1572,126345,74.49,27.58,528707,600696,0,2005-08-21,0
2009,MEAS000000075,REFERENDUM,EDU,EDU_TITLE000075,747453,747769,QUALIFIED,207210857.58,18967177.62,2250,2389,121455,77.8,18.5,2373202,1869415,1,2011-12-24,0
2005,MEAS000000076,INITIATIVE,EDU,EDU_TITLE000076,1312744,1319198,QUALIFIED,110173697.0,17279191.16,1063,1886,82199,20.16,78.46,2446262,1701858,1,2013-09-22,0
2005,MEAS000000077,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000077,123315,137291,WITHDRAWN,78564872.0,197163229.11,2299,975,8033,72.66,31.49,2897097,1327560,1,2020-10-07,0
2003,MEAS000000078,BOND,ELECTIONS,ELECTIONS_TITLE000078,448369,449390,QUALIFIED,15161441.35,197916709.29,389,1441,63469,75.96,27.36,109914,122785,0,2016-05-25,0
2005,MEAS000000079,CHARTER,TAX,TAX_TITLE000079,1487028,1494028,QUALIFIED,89994674.44,75374067.69,2089,211,100410,63.32,33.56,112240,196631,0,2025-07-31,0
2004,MEAS000000080,INITIATIVE,EDU,EDU_TITLE000080,342288,322921,QUALIFIED,16370375.86,94866314.47,2262,1132,83133,27.18,68.37,1851724,1092559,1,2024-04-16,0
2023,MEAS000000081,REFERENDUM,ENVIRONMENT,ENVIRONMENT_TITLE000081,1428679,1429431,QUALIFIED,72456437.37,121743293.9,2030,2135,44303,40.83,63.81,279311,519140,0,2021-04-09,0
2005,MEAS000000082,INITIATIVE,HOUSING,HOUSING_TITLE000082,159376,164670,QUALIFIED,91798441.81,183199492.22,2353,262,95754,36.94,64.4,613116,1407952,0,2003-04-15,0
2012,MEAS000000083,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000083,945263,932185,LITIGATED,84697603.37,212692052.22,7,1560,77407,31.11,72.6,390873,205958,1,2010-12-29,0
2007,MEAS000000084,CHARTER,LABOR,LABOR_TITLE000084,1027223,1034398,QUALIFIED,77293938.29,158488051.94,561,2298,33245,27.21,70.11,79962,99393,0,2009-08-25,0
2013,MEAS000000085,REFERENDUM,OTHER,OTHER_TITLE000085,494570,481428,QUALIFIED,56537824.4,63905419.08,1639,987,56108,79.67,17.75,393,321,1,2021-11-29,0
2014,MEAS000000086,INITIATIVE,TAX,TAX_TITLE000086,1407392,1395690,QUALIFIED,36237798.76,93528518.19,2002,1488,60648,71.56,31.97,385582,561854,0,2002-11-23,0
2001,MEAS000000087,AMENDMENT,HEALTH,HEALTH_TITLE000087,1326557,1309333,PENDING,115634437.57,242829025.15,1452,247,103347,51.44,49.67,2455202,1668845,1,2003-12-20,0
2023,MEAS000000088,INITIATIVE,LABOR,LABOR_TITLE000088,832258,817262,FAILED,87451648.9,8522353.41,341,369,99707,21.08,77.17,9155,16331,0,2004-11-25,0
2013,MEAS000000089,AMENDMENT,OTHER,OTHER_TITLE000089,474395,469478,QUALIFIED,22571617.42,240825037.44,1453,362,27682,25.06,74.36,1686730,1148880,1,2001-10-25,0
2020,MEAS000000090,AMENDMENT,OTHER,OTHER_TITLE000090,1067908,1067495,QUALIFIED,203941065.27,204419669.56,1468,219,105524,50.43,49.19,1939627,1891930,1,2019-11-14,0
2009,MEAS000000091,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000091,259522,251442,QUALIFIED,221541209.72,206489807.45,772,1339,82987,25.8,77.12,595413,619279,0,2000-01-08,0
2018,MEAS000000092,CHARTER,TRANSPORT,TRANSPORT_TITLE000092,35539,43048,PENDING,68731262.21,49208183.27,13,1018,30846,58.91,39.86,82854,171469,0,2015-10-10,0
2001,MEAS000000093,AMENDMENT,HEALTH,HEALTH_TITLE000093,968857,985864,QUALIFIED,164355247.89,92778830.11,1958,1736,101724,70.83,33.32,114243,154883,0,2019-08-11,1
2018,MEAS000000094,REFERENDUM,LABOR,LABOR_TITLE000094,254984,266969,QUALIFIED,177015319.3,187210552.07,1932,1222,127941,46.43,58.17,467803,327434,1,2018-09-03,0
2014,MEAS000000095,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000095,245821,227597,QUALIFIED,161404550.64,47565754.1,602,1032,123841,63.68,35.77,1175240,2445489,0,2022-02-20,0
2002,MEAS000000096,BOND,ELECTIONS,ELECTIONS_TITLE000096,651264,644426,QUALIFIED,197797995.03,46892894.83,8,90,133158,35.52,67.9,10269,17181,0,2012-11-20,0
2011,MEAS000000097,BOND,EDU,EDU_TITLE000097,1048882,1034319,QUALIFIED,66893132.94,8753417.77,254,2184,12417,54.85,46.12,949335,1353584,0,2011-04-22,1
2021,MEAS000000098,BOND,EDU,EDU_TITLE000098,132496,112969,QUALIFIED,161887588.88,237092457.42,2064,822,109551,36.04,68.89,457416,514334,0,2010-04-01,0
2005,MEAS000000099,AMENDMENT,EDU,EDU_TITLE000099,1432041,1425557,FAILED,235460093.62,165708634.17,1450,2070,48036,47.26,49.27,837306,1007348,0,2005-06-24,0
2010,MEAS000000100,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000100,939096,955135,QUALIFIED,58631198.35,227377360.42,1938,48,72294,47.66,53.58,2660225,1783651,1,2001-01-18,0
2010,MEAS000000101,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000101,1166032,1185532,QUALIFIED,194265464.68,249908362.56,81,110,41908,27.24,76.33,1288415,1962570,0,2024-08-31,1
2025,MEAS000000102,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000102,953899,973037,QUALIFIED,130229615.45,96270697.83,1061,969,117630,58.13,40.31,153195,102266,1,2024-11-17,0
2017,MEAS000000103,AMENDMENT,LABOR,LABOR_TITLE000103,398513,396109,FAILED,231622872.35,245430154.96,2399,705,97477,66.87,34.43,1885352,2554679,0,2020-03-28,0
2024,MEAS000000104,CHARTER,TRANSPORT,TRANSPORT_TITLE000104,559835,578996,PENDING,209895354.86,54787817.4,334,676,124553,33.49,66.55,400604,643950,0,2014-09-18,0
2022,MEAS000000105,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000105,1006340,1001239,QUALIFIED,248584243.86,6150361.73,803,1939,94805,41.11,59.11,1084641,1729098,0,2011-07-29,0
2002,MEAS000000106,REFERENDUM,TRANSPORT,TRANSPORT_TITLE000106,1223236,1213492,QUALIFIED,166272848.35,181419519.58,1953,555,91490,31.91,72.26,744567,831060,0,2015-05-21,0
2003,MEAS000000107,CHARTER,HEALTH,HEALTH_TITLE000107,560855,562260,LITIGATED,109024038.21,162538228.56,1402,499,68691,45.5,57.12,1609129,1493247,1,2020-11-22,0
2013,MEAS000000108,AMENDMENT,EDU,EDU_TITLE000108,1035686,1024700,QUALIFIED,44694062.67,135313569.28,1092,1788,9551,34.8,62.97,144279,76007,1,2023-09-14,0
2019,MEAS000000109,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000109,600338,599868,FAILED,42132466.15,106521200.45,2318,335,92309,66.61,37.61,1381931,1015134,1,2007-01-24,0
2006,MEAS000000110,AMENDMENT,OTHER,OTHER_TITLE000110,1199375,1205461,FAILED,141766024.79,41370866.25,930,339,114353,41.77,59.42,1851076,807126,1,2006-11-27,0
2018,MEAS000000111,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000111,1078869,1096931,QUALIFIED,182930489.29,82472598.53,1177,1431,125520,46.69,57.17,577641,1120650,0,2015-10-08,0
2016,MEAS000000112,INITIATIVE,EDU,EDU_TITLE000112,1483452,1466595,FAILED,154680639.2,91134178.3,1255,1068,33500,39.42,60.77,413831,760279,0,2000-09-17,0
2023,MEAS000000113,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000113,801902,796996,QUALIFIED,24458147.94,164716734.61,217,1977,64517,27.94,74.37,782272,1027933,0,2005-12-11,0
2005,MEAS000000114,REFERENDUM,LABOR,LABOR_TITLE000114,55766,52357,PENDING,94456938.17,140797403.52,27,1671,6704,45.19,51.86,1145948,884897,1,2004-11-07,1
2001,MEAS000000115,BOND,HOUSING,HOUSING_TITLE000115,102761,109628,FAILED,202727989.42,238793479.32,1337,1585,103084,68.79,35.44,1497863,824133,1,2013-04-26,0
2007,MEAS000000116,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000116,1391446,1383272,FAILED,145460062.18,61713014.18,239,569,142304,50.55,44.58,2131119,1486853,1,2016-04-02,0
2017,MEAS000000117,AMENDMENT,OTHER,OTHER_TITLE000117,902239,896481,QUALIFIED,238557426.57,103821786.99,1954,154,111707,38.19,60.12,1980870,1198327,1,2025-06-27,0
2021,MEAS000000118,INITIATIVE,LABOR,LABOR_TITLE000118,792319,809494,PENDING,39606108.17,63050937.22,730,1457,132313,71.5,31.07,184409,297051,0,2024-06-11,0
2024,MEAS000000119,REFERENDUM,ELECTIONS,ELECTIONS_TITLE000119,1258105,1253715,LITIGATED,154533552.29,7923501.36,1124,486,4728,39.74,64.9,1660656,1657436,1,2018-05-30,1
2017,MEAS000000120,INITIATIVE,OTHER,OTHER_TITLE000120,788325,788730,PENDING,71747800.15,68236316.18,2028,2170,86643,79.61,21.71,977662,2094098,0,2012-02-13,0
2015,MEAS000000121,BOND,OTHER,OTHER_TITLE000121,1444247,1446679,QUALIFIED,7181106.34,88689111.2,2001,1323,99263,71.43,30.27,782044,1101224,0,2006-06-09,0
2025,MEAS000000122,INITIATIVE,TAX,TAX_TITLE000122,987879,972946,QUALIFIED,105692329.79,205450235.22,1875,1898,34483,47.62,52.39,822603,574708,1,2013-03-29,0
2008,MEAS000000123,BOND,TAX,TAX_TITLE000123,818480,798764,QUALIFIED,155343715.51,241182099.27,1308,1381,103691,77.22,23.79,233118,147818,1,2022-08-18,0
2013,MEAS000000124,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000124,398957,405007,QUALIFIED,72421817.97,219149651.32,180,1516,52891,79.94,23.63,622236,891021,0,2004-11-06,0
2023,MEAS000000125,REFERENDUM,EDU,EDU_TITLE000125,1209826,1208311,QUALIFIED,106908746.31,223550579.77,1202,1397,41590,32.9,66.48,766260,685826,1,2015-04-15,0
2009,MEAS000000126,BOND,TRANSPORT,TRANSPORT_TITLE000126,613597,622648,WITHDRAWN,78174616.78,178454202.75,2025,116,148665,35.97,63.56,1785356,2212620,0,2017-05-18,0
2009,MEAS000000127,REFERENDUM,LABOR,LABOR_TITLE000127,850204,835738,FAILED,148138537.46,102935697.36,1636,1481,89146,21.69,79.49,2472291,1742614,1,2004-03-30,0
2025,MEAS000000128,INITIATIVE,OTHER,OTHER_TITLE000128,1212803,1209979,QUALIFIED,136476334.53,225872189.13,207,2008,23574,65.49,34.54,1156331,2564789,0,2018-05-11,1
2024,MEAS000000129,REFERENDUM,EDU,EDU_TITLE000129,1450574,1448335,QUALIFIED,125984288.88,145480801.92,340,1112,51420,35.44,65.75,498141,1069926,0,2018-09-10,0
2017,MEAS000000130,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000130,1446816,1429286,PENDING,204943981.65,169202530.13,1814,746,142494,26.0,76.68,1178158,907581,1,2007-05-28,0
2022,MEAS000000131,INITIATIVE,OTHER,OTHER_TITLE000131,1032897,1013193,QUALIFIED,37905993.92,28394913.21,1327,2329,71750,72.11,25.42,923507,944878,0,2022-06-18,0
2003,MEAS000000132,REFERENDUM,EDU,EDU_TITLE000132,222836,227135,QUALIFIED,41434618.5,77032469.97,640,1605,131004,25.07,78.23,1858070,1820639,1,2005-09-03,0
2018,MEAS000000133,INITIATIVE,LABOR,LABOR_TITLE000133,738774,745635,QUALIFIED,205341272.13,190959894.16,2272,264,132735,45.95,51.33,569576,981462,0,2013-07-28,0
2023,MEAS000000134,REFERENDUM,LABOR,LABOR_TITLE000134,605976,593394,PENDING,148557737.25,233974240.13,194,283,5125,23.76,77.14,629889,308740,1,2002-01-29,0
2003,MEAS000000135,INITIATIVE,TAX,TAX_TITLE000135,287230,279598,FAILED,71548155.15,217866691.19,2344,400,93218,39.47,57.39,808472,1212764,0,2019-04-26,0
2009,MEAS000000136,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000136,221987,213132,QUALIFIED,63445666.32,109560780.73,2295,180,13629,45.81,56.19,2101240,2003132,1,2016-01-12,0
