energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_usd,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2010,PROG0000013,HVAC,2288.9,161998,90604.7,4872.16,77140.42,1613.779,3.3,1.118,0.789,0.493,0.288,DEEMED,RPT00000013,0,10143,25.75,137
2015,PROG0000014,HEAT_PUMP,1314.28,95941,29661.35,3275.42,45056.08,210.877,2.307,1.812,0.828,0.46,0.49,DEEMED,RPT00000014,0,7676,73.81,50
2011,PROG0000015,BUILDING_CONTROLS,5327.02,69850,145007.61,3907.61,3526.49,1185.055,3.023,0.125,0.717,0.11,0.09,BILLING_ANALYSIS,RPT00000015,0,1722,7.48,4
2025,PROG0000016,OTHER,1489.37,247131,5582.66,3665.55,3949.26,93.112,1.211,2.282,0.302,0.576,0.274,BILLING_ANALYSIS,RPT00000016,0,10899,87.79,139
2020,PROG0000017,HVAC,2022.44,160523,21143.99,545.85,70898.24,121.975,1.022,2.441,0.399,0.514,0.237,EQUIPMENT_TRACKING,RPT00000017,0,4556,7.94,93
2011,PROG0000018,BUILDING_CONTROLS,1207.72,216724,127452.79,4307.87,87929.17,1668.062,0.342,0.872,0.72,0.1,0.368,METERED,RPT00000018,0,6868,7.92,12
2012,PROG0000019,APPLIANCE,4338.47,234118,97955.35,1796.38,78577.98,874.384,0.294,2.735,0.827,0.121,0.12,INSPECTION,RPT00000019,0,904,22.4,117
2011,PROG0000020,INSULATION,6647.19,61226,143045.77,3390.7,44098.19,970.531,0.378,0.189,0.766,0.355,0.253,DEEMED,RPT00000020,0,7560,68.14,11
2013,PROG0000021,HVAC,6592.34,155792,182778.45,294.96,91914.99,3196.912,2.812,0.86,0.466,0.228,0.104,EQUIPMENT_TRACKING,RPT00000021,1,6856,19.69,171
2025,PROG0000022,BUILDING_CONTROLS,5659.22,247771,185885.9,3633.2,9039.54,833.103,1.19,2.744,0.66,0.352,0.249,INSPECTION,RPT00000022,1,1455,22.65,106
2010,PROG0000023,OTHER,6893.52,125841,245880.08,2592.72,79014.54,3396.091,0.231,0.699,0.327,0.489,0.331,INSPECTION,RPT00000023,1,3639,20.75,24
2013,PROG0000024,HVAC,85.51,221302,36209.82,581.39,3671.69,350.429,0.604,2.215,0.465,0.195,0.34,METERED,RPT00000024,0,7746,2.28,139
2013,PROG0000025,WEATHERIZATION,4963.27,152516,102058.01,3569.83,608.92,478.995,1.781,2.009,0.864,0.019,0.365,INSPECTION,RPT00000025,0,3072,3.72,86
2021,PROG0000026,APPLIANCE,4967.15,107653,227286.19,1752.06,69860.0,725.836,2.465,0.555,0.848,0.389,0.247,EQUIPMENT_TRACKING,RPT00000026,0,702,78.47,92
2023,PROG0000027,INDUSTRIAL_PROCESS,561.41,218714,158883.34,2017.45,2283.52,1175.298,1.866,0.169,0.659,0.468,0.396,DEEMED,RPT00000027,0,9856,59.89,159
2013,PROG0000028,SOLAR_WATER_HEAT,3158.5,97750,89779.37,3794.17,18181.5,1569.718,2.371,0.189,0.893,0.102,0.273,INSPECTION,RPT00000028,0,10576,17.36,168
2025,PROG0000029,HEAT_PUMP,3475.69,137462,57174.29,4192.98,63664.76,381.214,1.646,2.464,0.667,0.036,0.393,BILLING_ANALYSIS,RPT00000029,1,5966,17.44,40
2017,PROG0000030,APPLIANCE,6184.24,117619,220115.62,2494.97,5379.77,851.425,0.526,0.59,0.868,0.354,0.473,EQUIPMENT_TRACKING,RPT00000030,1,185,78.93,123
2023,PROG0000031,LED,3851.82,38898,181212.24,1920.2,14055.72,953.789,3.11,0.336,0.338,0.165,0.433,INSPECTION,RPT00000031,0,9278,68.51,1
2018,PROG0000032,INDUSTRIAL_PROCESS,4249.93,193661,63298.47,1607.9,43122.34,729.637,1.013,1.653,0.522,0.191,0.106,BILLING_ANALYSIS,RPT00000032,1,5727,17.92,41
2020,PROG0000033,HEAT_PUMP,69.94,145109,120103.62,3451.71,629.84,1083.264,2.909,1.494,0.642,0.251,0.154,BILLING_ANALYSIS,RPT00000033,1,8434,15.24,112
2019,PROG0000034,LED,5420.69,65241,153010.2,3537.8,87559.1,1945.432,2.233,1.984,0.421,0.261,0.377,INSPECTION,RPT00000034,0,10016,96.07,33
2015,PROG0000035,LED,3501.51,175428,149100.85,1339.92,66684.55,990.9,0.621,0.128,0.905,0.381,0.107,METERED,RPT00000035,0,6452,35.56,20
2015,PROG0000036,LED,5071.58,46530,137495.94,2495.4,15740.14,2418.543,1.29,2.46,0.3,0.289,0.04,EQUIPMENT_TRACKING,RPT00000036,1,9082,38.2,69
2019,PROG0000037,INDUSTRIAL_PROCESS,5902.17,210200,121288.71,3226.26,64252.34,2024.52,2.028,0.401,0.894,0.512,0.073,METERED,RPT00000037,1,9171,22.29,80
2012,PROG0000038,BUILDING_CONTROLS,5245.34,229973,219727.63,2118.1,59814.07,2881.196,1.308,1.071,0.464,0.141,0.289,METERED,RPT00000038,0,3860,93.69,19
2016,PROG0000039,LED,906.29,37129,54290.48,1457.92,14384.08,571.458,3.497,1.876,1.043,0.023,0.007,DEEMED,RPT00000039,1,10416,58.64,13
2012,PROG0000040,INDUSTRIAL_PROCESS,897.82,63788,77146.27,1653.33,78533.99,732.683,0.305,0.879,0.93,0.205,0.166,INSPECTION,RPT00000040,0,2571,49.3,41
2024,PROG0000041,SOLAR_WATER_HEAT,4466.14,11553,190078.63,4010.73,22587.55,3264.695,3.365,0.951,0.871,0.441,0.371,EQUIPMENT_TRACKING,RPT00000041,1,5865,18.09,1
2013,PROG0000042,SOLAR_WATER_HEAT,5207.24,245167,65599.88,4355.21,73362.46,319.29,2.514,0.609,0.726,0.364,0.039,DEEMED,RPT00000042,1,873,77.4,162
2011,PROG0000043,SOLAR_WATER_HEAT,255.85,196797,215749.44,4673.21,5221.3,1384.322,0.731,2.493,0.331,0.069,0.459,BILLING_ANALYSIS,RPT00000043,0,9614,22.42,57
2023,PROG0000044,OTHER,1737.19,241966,219866.13,1995.52,17497.6,770.506,1.791,1.031,1.077,0.067,0.248,BILLING_ANALYSIS,RPT00000044,0,10662,96.36,93
2021,PROG0000045,APPLIANCE,6119.12,179271,217470.11,4206.47,51.78,1711.806,1.182,0.667,0.562,0.383,0.272,EQUIPMENT_TRACKING,RPT00000045,0,6158,38.48,13
2024,PROG0000046,WEATHERIZATION,1157.74,88605,140288.67,1413.13,9923.53,2372.533,1.371,0.847,0.789,0.082,0.104,EQUIPMENT_TRACKING,RPT00000046,1,2473,85.96,168
2013,PROG0000047,OTHER,2740.03,238920,129152.4,1182.3,56670.91,1196.438,1.807,2.328,0.513,0.541,0.444,DEEMED,RPT00000047,0,5022,60.69,161
2024,PROG0000048,SOLAR_WATER_HEAT,3409.35,158700,69911.22,2088.37,48723.33,250.968,0.45,2.156,0.475,0.087,0.44,INSPECTION,RPT00000048,1,5593,44.19,150
2020,PROG0000049,INSULATION,4131.57,198969,110735.7,1754.17,11287.02,1389.895,1.641,1.635,0.772,0.089,0.018,BILLING_ANALYSIS,RPT00000049,1,927,81.41,120
2010,PROG0000050,SOLAR_WATER_HEAT,338.12,139047,243081.06,3159.05,22045.44,2079.904,1.381,1.221,1.097,0.303,0.279,INSPECTION,RPT00000050,0,2706,56.52,127
2010,PROG0000051,APPLIANCE,6520.88,14268,238076.54,1198.38,4052.22,4209.767,2.693,2.068,0.305,0.083,0.342,EQUIPMENT_TRACKING,RPT00000051,0,2141,94.37,123
2024,PROG0000052,WEATHERIZATION,1336.97,30779,75861.28,1633.87,46416.91,238.743,1.565,1.277,0.96,0.556,0.466,METERED,RPT00000052,1,2575,68.07,118
2023,PROG0000053,INSULATION,5109.72,79458,123136.97,4397.16,57789.25,1668.024,0.312,1.639,0.392,0.202,0.158,INSPECTION,RPT00000053,0,10251,32.79,118
2009,PROG0000054,LED,5980.08,80377,225350.81,1193.73,25048.74,1611.864,2.855,0.434,1.042,0.538,0.468,BILLING_ANALYSIS,RPT00000054,0,9178,25.06,72
2016,PROG0000055,HEAT_PUMP,6317.73,58351,84346.44,3256.0,11230.61,1046.478,0.42,0.215,0.575,0.399,0.331,INSPECTION,RPT00000055,1,1655,92.81,102
2018,PROG0000056,INDUSTRIAL_PROCESS,1048.9,216041,220583.41,2769.12,27511.51,2691.718,3.071,1.422,0.375,0.394,0.301,EQUIPMENT_TRACKING,RPT00000056,1,11121,26.98,132
2011,PROG0000057,INDUSTRIAL_PROCESS,5599.25,33777,39217.39,2975.22,74570.96,256.217,1.105,1.583,0.645,0.574,0.369,EQUIPMENT_TRACKING,RPT00000057,0,8504,17.16,106
2014,PROG0000058,WEATHERIZATION,4798.62,116115,95472.46,1387.56,24001.07,1296.406,2.619,0.638,0.552,0.559,0.324,METERED,RPT00000058,0,10910,13.2,71
2020,PROG0000059,APPLIANCE,2162.62,52276,159293.75,993.6,71977.23,1544.081,1.861,1.644,0.956,0.223,0.333,INSPECTION,RPT00000059,0,7136,49.48,169
2019,PROG0000060,LED,3598.09,208579,56547.97,3228.04,9690.2,362.753,2.158,2.805,0.674,0.166,0.483,INSPECTION,RPT00000060,1,3833,67.3,43
2024,PROG0000061,SOLAR_WATER_HEAT,4427.09,159367,129586.2,578.46,15955.21,1583.594,2.768,1.603,0.402,0.449,0.162,METERED,RPT00000061,0,10397,84.56,129
2025,PROG0000062,OTHER,2305.95,137281,216607.38,4055.01,29086.67,3170.306,1.493,2.632,0.302,0.241,0.387,DEEMED,RPT00000062,0,122,33.68,15
2025,PROG0000063,SOLAR_WATER_HEAT,5819.79,43011,142381.05,69.86,4214.94,1200.016,0.376,2.21,0.86,0.451,0.411,DEEMED,RPT00000063,1,7191,35.48,125
2011,PROG0000064,LED,6001.12,178610,171211.72,3071.86,58830.08,2747.664,0.36,0.984,1.026,0.42,0.497,EQUIPMENT_TRACKING,RPT00000064,0,11711,0.68,143
2019,PROG0000065,INSULATION,3926.04,34716,190627.67,3346.87,21901.53,1763.798,1.424,0.295,1.015,0.3,0.036,DEEMED,RPT00000065,0,2174,3.65,167
2019,PROG0000066,BUILDING_CONTROLS,477.53,155290,169528.08,234.83,72761.06,1272.565,1.243,2.771,0.908,0.461,0.271,DEEMED,RPT00000066,1,8610,50.67,147
2012,PROG0000067,HVAC,2956.42,10339,236027.29,4549.26,29109.94,1719.413,0.257,1.721,0.945,0.57,0.288,METERED,RPT00000067,0,6356,16.66,42
2014,PROG0000068,INDUSTRIAL_PROCESS,4309.91,115881,77762.88,1639.74,34409.88,307.255,1.849,0.847,0.749,0.185,0.04,METERED,RPT00000068,0,7453,40.36,105
2025,PROG0000069,BUILDING_CONTROLS,736.05,178337,16075.03,679.33,28658.7,82.998,1.086,2.432,0.642,0.178,0.343,DEEMED,RPT00000069,0,8689,98.56,21
2009,PROG0000070,OTHER,3774.53,8751,89779.56,3821.14,67150.91,293.147,2.511,0.308,0.481,0.107,0.428,BILLING_ANALYSIS,RPT00000070,1,10717,51.09,116
2020,PROG0000071,LED,3922.55,177129,210754.16,4766.16,27899.32,1613.412,2.213,2.235,0.899,0.566,0.221,INSPECTION,RPT00000071,0,1438,10.91,50
2014,PROG0000072,WEATHERIZATION,2137.42,196015,137665.92,133.91,33125.92,1170.537,0.971,1.648,0.355,0.517,0.199,EQUIPMENT_TRACKING,RPT00000072,0,6076,57.79,74
2021,PROG0000073,INDUSTRIAL_PROCESS,3758.25,20094,233561.94,4012.38,90576.04,2919.49,1.716,2.526,0.702,0.584,0.101,EQUIPMENT_TRACKING,RPT00000073,0,9441,91.12,18
2009,PROG0000074,INSULATION,603.82,47518,115153.78,739.9,81544.64,1416.218,0.841,0.431,0.887,0.403,0.358,DEEMED,RPT00000074,1,995,63.62,97
2016,PROG0000075,APPLIANCE,5662.86,136705,164059.49,932.7,88859.98,2329.425,2.183,1.525,1.023,0.28,0.006,METERED,RPT00000075,0,3703,96.08,131
2017,PROG0000076,LED,1811.75,33053,144970.85,4061.27,57254.9,548.456,2.783,1.561,1.0,0.174,0.175,INSPECTION,RPT00000076,1,2830,24.58,113
2023,PROG0000077,OTHER,3968.44,240838,195560.23,4295.91,1997.74,2329.1,0.467,0.193,0.414,0.088,0.188,INSPECTION,RPT00000077,0,5100,11.76,178
2024,PROG0000078,BUILDING_CONTROLS,3529.59,96411,208815.17,377.34,1891.08,3094.738,2.304,2.458,0.578,0.13,0.187,INSPECTION,RPT00000078,0,2058,38.29,69
2010,PROG0000079,INSULATION,5839.9,80940,13137.23,366.31,80304.22,50.638,0.931,2.148,0.587,0.479,0.147,BILLING_ANALYSIS,RPT00000079,0,7867,5.15,120
2022,PROG0000080,LED,977.34,116848,248212.6,2853.13,93097.86,2610.01,2.14,0.671,0.397,0.229,0.306,METERED,RPT00000080,0,11903,55.94,71
2025,PROG0000081,WEATHERIZATION,1278.89,68897,21611.75,4536.1,79141.27,95.977,1.501,2.222,0.789,0.029,0.4,INSPECTION,RPT00000081,1,5788,87.82,150
2010,PROG0000082,HEAT_PUMP,6048.6,209619,193910.82,3756.99,61957.67,1575.886,1.626,2.154,0.83,0.116,0.391,EQUIPMENT_TRACKING,RPT00000082,0,11990,22.64,179
2025,PROG0000083,SOLAR_WATER_HEAT,5068.5,139468,207153.16,862.63,69953.98,663.058,0.741,2.519,0.49,0.052,0.471,METERED,RPT00000083,1,7443,41.93,76
2021,PROG0000084,WEATHERIZATION,1976.33,11043,235487.4,2713.05,2694.5,2904.331,1.346,2.708,0.329,0.032,0.006,EQUIPMENT_TRACKING,RPT00000084,0,8792,50.91,73
2024,PROG0000085,HVAC,4636.62,197108,110715.81,1848.68,26929.95,963.788,2.046,0.759,0.629,0.225,0.341,EQUIPMENT_TRACKING,RPT00000085,0,11171,36.53,151
2014,PROG0000086,SOLAR_WATER_HEAT,5748.6,55819,162211.21,3530.79,62355.46,1981.674,2.695,0.189,0.439,0.079,0.296,METERED,RPT00000086,0,11624,33.13,161
2014,PROG0000087,APPLIANCE,7399.67,69375,77884.14,4100.37,82023.05,1110.214,1.654,1.665,0.489,0.285,0.076,METERED,RPT00000087,1,3080,69.07,32
2009,PROG0000088,HVAC,4792.86,149828,241190.72,3309.12,52809.57,1382.013,1.49,2.886,0.317,0.13,0.05,INSPECTION,RPT00000088,1,5322,81.62,62
2019,PROG0000089,APPLIANCE,682.18,34441,221302.17,3721.68,1951.57,1944.864,2.01,0.977,0.312,0.147,0.463,EQUIPMENT_TRACKING,RPT00000089,1,7413,45.12,161
2018,PROG0000090,LED,3429.83,146983,177021.33,2805.6,56661.47,1962.556,2.566,2.273,0.425,0.134,0.382,METERED,RPT00000090,1,5951,73.01,137
2012,PROG0000091,HEAT_PUMP,2916.82,186871,86939.78,2047.95,61602.38,819.146,1.525,1.606,0.629,0.414,0.014,BILLING_ANALYSIS,RPT00000091,0,918,38.85,56
2012,PROG0000092,HVAC,7428.36,3018,80752.47,2857.64,85012.23,1114.174,0.621,0.972,0.324,0.332,0.123,INSPECTION,RPT00000092,1,6256,70.9,117
2016,PROG0000093,WEATHERIZATION,3094.56,22367,45656.32,3380.74,4018.04,654.169,1.427,1.663,1.046,0.034,0.413,INSPECTION,RPT00000093,1,268,75.17,29
2013,PROG0000094,OTHER,894.02,84560,105958.93,3829.72,42428.61,824.493,1.349,2.086,0.454,0.556,0.486,DEEMED,RPT00000094,1,4444,57.32,110
2013,PROG0000095,BUILDING_CONTROLS,5504.63,172663,30738.56,305.66,85651.47,369.216,3.439,2.837,0.335,0.574,0.275,METERED,RPT00000095,0,11321,31.38,95
2021,PROG0000096,WEATHERIZATION,140.01,26774,201402.56,1368.58,31426.18,1774.367,1.895,0.765,0.548,0.228,0.279,BILLING_ANALYSIS,RPT00000096,1,5426,56.2,149
2012,PROG0000097,OTHER,7263.16,158665,60919.34,4804.03,5750.34,1004.077,1.047,0.657,0.778,0.596,0.44,METERED,RPT00000097,1,9734,92.79,177
2018,PROG0000098,OTHER,5986.51,106824,18392.5,2497.6,75348.53,321.471,1.417,1.193,1.08,0.209,0.14,METERED,RPT00000098,0,11484,3.27,168
2017,PROG0000099,BUILDING_CONTROLS,1621.33,223011,153214.53,1172.04,39448.1,2004.485,0.42,1.316,0.33,0.361,0.119,METERED,RPT00000099,1,3153,50.83,65
2010,PROG0000100,LED,832.68,181607,107516.81,1373.21,55254.81,591.136,0.425,2.177,0.759,0.291,0.09,INSPECTION,RPT00000100,0,8644,83.45,123
2014,PROG0000101,WEATHERIZATION,1900.32,58221,26462.04,4741.56,82082.65,315.487,0.741,2.661,0.331,0.457,0.205,BILLING_ANALYSIS,RPT00000101,1,11450,78.32,74
2017,PROG0000102,SOLAR_WATER_HEAT,6869.49,51649,27121.6,2415.17,17051.13,242.943,1.585,2.971,0.583,0.301,0.062,METERED,RPT00000102,0,5725,58.1,91
2015,PROG0000103,INSULATION,3040.56,192878,19086.65,2751.86,17623.63,341.963,3.336,2.136,0.375,0.455,0.297,METERED,RPT00000103,0,8584,19.23,130
2018,PROG0000104,APPLIANCE,3469.83,141801,146579.02,4260.09,1159.98,951.99,2.616,2.744,1.058,0.575,0.476,BILLING_ANALYSIS,RPT00000104,0,4868,1.52,30
2021,PROG0000105,SOLAR_WATER_HEAT,7041.81,87512,214481.79,1002.03,43392.14,1481.199,2.911,0.544,0.648,0.454,0.48,INSPECTION,RPT00000105,1,10951,43.12,176
2010,PROG0000106,HEAT_PUMP,5380.68,103795,91024.86,431.73,81504.29,277.517,0.247,0.795,0.34,0.16,0.152,EQUIPMENT_TRACKING,RPT00000106,0,1017,73.26,113
2009,PROG0000107,INDUSTRIAL_PROCESS,2382.48,192831,248035.63,2825.75,52162.07,3637.551,2.933,0.232,0.928,0.275,0.025,METERED,RPT00000107,0,5493,4.31,145
2025,PROG0000108,SOLAR_WATER_HEAT,7311.4,209757,60371.11,3942.68,64298.4,1031.465,0.711,2.963,0.837,0.006,0.271,METERED,RPT00000108,0,420,37.08,56
2016,PROG0000109,OTHER,4065.5,75634,2626.47,3349.59,13643.94,20.035,2.034,0.974,0.342,0.295,0.199,METERED,RPT00000109,1,1615,97.2,39
2011,PROG0000110,APPLIANCE,5629.84,231373,136430.67,3167.43,34673.4,1749.107,1.234,1.551,0.338,0.144,0.079,METERED,RPT00000110,1,8466,80.29,33
2018,PROG0000111,INSULATION,7308.78,11436,73352.38,4450.66,89416.6,872.561,2.115,2.838,0.963,0.423,0.129,INSPECTION,RPT00000111,0,8783,25.59,100
2023,PROG0000112,SOLAR_WATER_HEAT,5472.34,124787,186210.9,68.01,89899.72,558.732,2.54,0.201,0.775,0.361,0.115,INSPECTION,RPT00000112,0,316,3.09,148
2019,PROG0000113,BUILDING_CONTROLS,3562.08,5134,100939.1,2179.68,36525.56,913.515,1.79,1.586,0.933,0.05,0.312,METERED,RPT00000113,0,4887,22.82,154
2021,PROG0000114,HEAT_PUMP,6104.59,213238,73963.83,1946.35,56926.03,798.868,2.911,2.009,0.453,0.251,0.48,METERED,RPT00000114,1,7921,12.13,149
2022,PROG0000115,HEAT_PUMP,45.62,148114,5845.48,1659.97,25831.36,73.866,0.84,2.75,0.641,0.212,0.372,METERED,RPT00000115,0,4598,2.48,97
2014,PROG0000116,SOLAR_WATER_HEAT,2960.46,182778,181388.05,739.99,14599.3,2859.053,0.601,2.572,0.806,0.58,0.348,DEEMED,RPT00000116,0,4862,85.74,114
2017,PROG0000117,WEATHERIZATION,4519.06,248001,31336.39,2929.11,35613.27,99.779,3.224,1.355,0.762,0.489,0.206,METERED,RPT00000117,1,9589,36.11,27
2011,PROG0000118,HEAT_PUMP,5426.42,211659,116764.31,3137.97,49798.07,625.807,1.142,0.477,0.567,0.594,0.062,DEEMED,RPT00000118,0,3312,40.74,71
2015,PROG0000119,WEATHERIZATION,7329.86,182582,87749.92,3138.76,76531.38,750.863,1.409,2.818,0.651,0.159,0.019,EQUIPMENT_TRACKING,RPT00000119,0,11803,84.09,173
2009,PROG0000120,HEAT_PUMP,5495.43,142674,191027.55,2737.96,14877.34,702.094,3.168,1.842,0.908,0.207,0.37,METERED,RPT00000120,0,3997,22.76,33
2019,PROG0000121,OTHER,1584.6,202312,76331.43,1314.03,614.67,591.126,2.175,2.946,0.558,0.399,0.494,DEEMED,RPT00000121,0,649,16.93,160
2012,PROG0000122,INDUSTRIAL_PROCESS,4803.48,236026,14905.55,2387.13,26725.91,203.593,1.22,1.021,0.624,0.533,0.177,EQUIPMENT_TRACKING,RPT00000122,0,3466,12.98,114
2013,PROG0000123,APPLIANCE,6181.57,202491,123789.92,2812.58,93121.14,2066.357,3.123,2.683,0.396,0.007,0.106,INSPECTION,RPT00000123,0,8745,26.44,27
2024,PROG0000124,INSULATION,3312.27,223412,154713.24,1638.15,33868.75,2473.759,3.442,1.218,0.883,0.332,0.288,BILLING_ANALYSIS,RPT00000124,0,1505,25.17,46
2025,PROG0000125,INDUSTRIAL_PROCESS,3095.42,229470,81072.36,4314.14,54429.16,719.874,3.311,0.165,0.986,0.471,0.34,INSPECTION,RPT00000125,0,9360,26.67,157
2025,PROG0000126,HVAC,1038.01,8911,203558.07,2215.51,69581.93,1927.577,2.326,2.469,0.521,0.483,0.215,DEEMED,RPT00000126,1,9786,52.11,43
2015,PROG0000127,WEATHERIZATION,6596.28,13510,8351.46,1325.91,87929.41,96.94,2.966,2.833,0.378,0.287,0.146,EQUIPMENT_TRACKING,RPT00000127,1,8709,13.18,117
2010,PROG0000128,SOLAR_WATER_HEAT,3702.88,46161,196710.15,1805.77,70236.71,2700.094,0.376,0.744,0.562,0.157,0.374,EQUIPMENT_TRACKING,RPT00000128,0,9220,29.56,107
2015,PROG0000129,HVAC,7334.4,114116,18793.03,2891.51,87359.83,183.776,1.427,2.967,0.651,0.345,0.234,DEEMED,RPT00000129,0,9429,95.66,132
2013,PROG0000130,INSULATION,2794.78,196433,37309.56,4016.88,87540.92,353.625,0.341,0.137,0.997,0.534,0.405,DEEMED,RPT00000130,0,11351,65.99,166
2021,PROG0000131,SOLAR_WATER_HEAT,5897.56,34890,52507.33,2058.92,1508.45,550.773,0.847,2.647,0.488,0.334,0.425,BILLING_ANALYSIS,RPT00000131,0,6529,24.58,59
2013,PROG0000132,INSULATION,1386.84,190914,212236.26,1593.09,62423.66,1601.952,1.928,2.068,0.595,0.528,0.455,METERED,RPT00000132,1,722,12.93,16
2020,PROG0000133,INSULATION,1658.5,86448,32228.75,1767.74,677.57,308.609,2.247,0.652,0.777,0.465,0.255,DEEMED,RPT00000133,0,6079,97.07,117
2014,PROG0000134,BUILDING_CONTROLS,110.44,23917,2634.28,922.22,81933.93,13.628,1.705,0.27,0.607,0.068,0.006,INSPECTION,RPT00000134,0,7580,18.35,63
2016,PROG0000135,APPLIANCE,1350.66,138010,213169.13,2482.71,32667.73,3075.379,2.076,2.859,0.484,0.189,0.419,BILLING_ANALYSIS,RPT00000135,0,6079,60.66,86
2012,PROG0000136,LED,7013.7,60488,238881.17,2655.0,12838.2,2273.168,1.026,0.787,0.806,0.372,0.476,METERED,RPT00000136,0,8494,83.23,153
2022,PROG0000137,APPLIANCE,3053.62,201444,244887.73,2077.95,9066.55,2606.776,1.796,0.404,0.343,0.105,0.015,DEEMED,RPT00000137,0,4665,50.39,33
2017,PROG0000138,BUILDING_CONTROLS,2671.1,202308,25553.66,1923.74,81372.41,286.223,1.933,1.094,0.331,0.031,0.379,INSPECTION,RPT00000138,0,10497,22.43,177
2016,PROG0000139,SOLAR_WATER_HEAT,6203.17,112446,114569.07,4654.1,7348.82,981.185,1.452,2.813,0.495,0.406,0.111,DEEMED,RPT00000139,1,6455,22.62,105
2019,PROG0000140,SOLAR_WATER_HEAT,4924.41,119774,89530.06,3264.36,39216.74,928.72,2.425,1.876,0.629,0.598,0.123,BILLING_ANALYSIS,RPT00000140,0,10421,44.09,136
2019,PROG0000141,HEAT_PUMP,7156.4,150288,154763.56,2588.24,73645.17,2183.892,2.556,2.847,0.861,0.485,0.202,DEEMED,RPT00000141,1,5079,29.88,177
2025,PROG0000142,INSULATION,3571.95,47661,182040.99,3785.54,16929.62,1966.507,3.084,1.021,0.36,0.162,0.117,METERED,RPT00000142,1,3833,9.37,92
2020,PROG0000143,SOLAR_WATER_HEAT,3313.72,205936,44773.13,4257.35,13180.39,478.63,1.224,2.676,0.552,0.414,0.253,DEEMED,RPT00000143,0,2306,63.67,66
2011,PROG0000144,LED,3503.19,209164,185152.48,2486.76,6277.95,788.573,1.862,1.499,0.654,0.517,0.426,BILLING_ANALYSIS,RPT00000144,0,3752,95.02,54
