trans_rail_reference_month,trans_rail_country_iso2,trans_rail_operator_code,trans_rail_origin_station_code,trans_rail_destination_station_code,trans_rail_passenger_km_million,trans_rail_freight_tonne_km_million,trans_rail_on_time_performance_pct,trans_rail_delay_minutes_avg,trans_rail_cancelled_services_count,trans_rail_ticket_price_index,trans_rail_capacity_train_km_million,trans_rail_electrified_network_share_pct,trans_rail_ertms_equipped_km,trans_rail_cross_border_service_flag,trans_rail_night_train_service_flag,trans_rail_rail_freight_corridor_code,trans_rail_data_source,trans_rail_data_quality_flag,trans_rail_data_extract_date
2016-11,SK,SK_RAIL_OP011,SKST011,LTST011,3011.65,5747.09,68.28,17.54,398,144.78,27.968,94.81,2941.76,1,1,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2024-02-26
2016-12,BE,BE_RAIL_OP012,BEST012,SKST012,2895.3,2738.52,88.99,3.34,225,139.94,0.816,97.2,8162.96,1,0,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2024-05-31
2017-01,DK,DK_RAIL_OP013,DKST013,HRST013,5071.35,3213.92,96.98,7.09,180,90.17,2.204,97.02,2857.05,1,0,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2026-02-14
2017-02,GR,GR_RAIL_OP014,GRST014,DEST014,2339.7,1210.71,74.17,4.61,865,90.42,53.918,43.32,3433.77,0,0,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2024-01-06
2017-03,LT,LT_RAIL_OP015,LTST015,LUST015,3797.89,4275.6,91.94,1.56,525,144.81,17.505,80.02,7539.91,1,0,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2024-08-14
2017-04,PT,PT_RAIL_OP016,PTST016,SIST016,3635.73,1966.33,84.65,5.58,389,99.17,125.62,66.73,5546.57,1,0,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2025-05-09
2017-05,SE,SE_RAIL_OP017,SEST017,CYST017,2470.14,4561.83,89.34,9.68,7,115.58,93.793,67.24,458.59,1,0,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2024-06-14
2017-06,CY,CY_RAIL_OP018,CYST018,GRST018,3900.09,2112.65,76.08,19.91,416,127.06,110.797,52.32,736.84,1,0,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2025-11-21
2017-07,FR,FR_RAIL_OP019,FRST019,MTST019,4395.76,3994.13,92.42,8.19,62,136.8,112.65,98.5,9855.78,0,0,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2024-06-09
2017-08,IT,IT_RAIL_OP020,ITST020,ESST020,3017.45,935.36,93.05,11.38,245,130.27,45.391,82.63,9353.48,1,0,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2024-12-09
2017-09,NL,NL_RAIL_OP021,NLST021,CZST021,5382.06,2381.17,80.01,10.62,138,110.78,88.655,61.67,4076.16,1,1,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2025-11-15
2017-10,SI,SI_RAIL_OP022,SIST022,HUST022,2225.86,3088.68,78.77,11.78,322,116.04,36.684,71.03,2742.99,0,0,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,0,2025-05-31
2017-11,BG,BG_RAIL_OP023,BGST023,NLST023,1516.08,5303.73,95.63,1.78,233,119.21,29.283,32.68,2067.54,0,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2024-08-06
2017-12,EE,EE_RAIL_OP024,EEST024,SEST024,1491.22,3396.8,75.76,1.02,93,142.4,28.586,96.59,5699.23,0,0,RFC4_ATLANTIC,OPERATOR_REPORTING,1,2024-11-17
2018-01,HU,HU_RAIL_OP025,HUST025,DKST025,2724.01,5086.76,83.48,12.14,621,99.36,109.485,81.72,8692.48,1,0,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2025-01-17
2018-02,LU,LU_RAIL_OP026,LUST026,IEST026,876.31,100.25,86.4,11.78,654,132.86,101.969,85.29,5229.42,1,0,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2024-11-12
2018-03,RO,RO_RAIL_OP027,ROST027,PLST027,2318.99,1992.34,70.18,0.87,772,100.04,48.17,63.28,4076.74,1,0,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,1,2025-05-26
2018-04,AT,AT_RAIL_OP028,ATST028,ATST028,2185.83,4990.28,96.78,8.4,339,124.25,39.045,59.05,6277.35,1,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,1,2025-09-13
2018-05,CZ,CZ_RAIL_OP029,CZST029,EEST029,6814.26,1489.94,84.28,2.5,567,97.45,17.779,71.02,8552.32,1,0,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2025-11-07
2018-06,DE,DE_RAIL_OP030,DEST030,ITST030,803.4,1475.77,80.75,6.94,523,139.37,75.43,98.6,4127.29,1,1,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,1,2025-10-02
2018-07,LV,LV_RAIL_OP031,LVST031,PTST031,2293.09,2110.32,87.31,2.23,552,95.05,105.145,33.47,4136.57,0,0,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2024-06-13
2018-08,PL,PL_RAIL_OP032,PLST032,BEST032,4268.37,2421.19,91.56,11.91,367,118.62,119.146,79.35,4640.6,1,1,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2024-03-11
2018-09,ES,ES_RAIL_OP033,ESST033,FIST033,4554.1,4011.9,96.98,13.61,391,103.79,85.202,43.43,351.8,1,0,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2025-09-01
2018-10,HR,HR_RAIL_OP034,HRST034,LVST034,4535.65,3771.88,73.13,0.95,98,129.19,103.566,83.56,1312.13,1,0,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2026-02-20
2018-11,FI,FI_RAIL_OP035,FIST035,ROST035,679.52,219.37,76.98,18.63,546,95.98,136.01,87.47,3264.45,1,0,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2024-10-21
2018-12,IE,IE_RAIL_OP036,IEST036,BGST036,2287.86,3751.19,82.51,7.84,671,118.56,141.409,67.16,8905.93,0,0,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2025-10-17
2019-01,MT,MT_RAIL_OP037,MTST037,FRST037,1015.04,1450.46,73.47,13.09,906,143.33,44.923,71.95,981.45,1,1,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2026-01-06
2019-02,SK,SK_RAIL_OP038,SKST038,LTST038,5998.38,3047.79,95.75,9.44,222,140.07,0.801,96.61,3266.59,1,1,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2024-05-08
2019-03,BE,BE_RAIL_OP039,BEST039,SKST039,5183.12,429.65,83.73,10.33,616,132.8,79.806,77.24,5908.5,1,0,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2024-01-28
2019-04,DK,DK_RAIL_OP040,DKST040,HRST040,2605.48,3479.35,89.12,1.48,86,121.91,113.859,47.15,1693.88,1,0,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2025-06-15
2019-05,GR,GR_RAIL_OP041,GRST041,DEST041,429.63,2014.08,69.97,4.46,548,93.06,93.021,38.95,3031.91,1,0,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2024-06-16
2019-06,LT,LT_RAIL_OP042,LTST042,LUST042,2299.83,2284.47,96.95,13.19,664,116.3,112.882,56.43,4527.18,0,0,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,1,2024-09-01
2019-07,PT,PT_RAIL_OP043,PTST043,SIST043,1185.43,488.52,87.2,10.19,395,133.81,130.575,88.11,2645.37,1,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2024-01-28
2019-08,SE,SE_RAIL_OP044,SEST044,CYST044,4666.28,1048.16,88.32,5.05,60,96.26,30.525,66.68,163.51,1,0,RFC4_ATLANTIC,OPERATOR_REPORTING,1,2025-04-24
2019-09,CY,CY_RAIL_OP045,CYST045,GRST045,5884.9,2848.95,73.03,22.63,211,91.37,67.162,91.1,7517.56,0,1,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2024-09-09
2019-10,FR,FR_RAIL_OP046,FRST046,MTST046,2310.0,916.44,69.6,18.95,1081,99.48,90.638,89.59,4888.01,1,0,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2025-03-01
2019-11,IT,IT_RAIL_OP047,ITST047,ESST047,4261.95,2444.4,90.13,9.12,219,115.77,144.046,63.36,8927.89,1,0,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,1,2024-09-05
2019-12,NL,NL_RAIL_OP048,NLST048,CZST048,5950.68,3154.94,83.75,7.21,437,105.63,87.943,39.9,3519.46,1,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,0,2024-07-25
2020-01,SI,SI_RAIL_OP049,SIST049,HUST049,2961.55,4007.55,84.6,1.76,154,126.97,13.362,96.5,2665.68,1,1,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2024-09-13
2020-02,BG,BG_RAIL_OP050,BGST050,NLST050,4173.83,79.44,90.92,5.16,428,85.74,156.178,32.57,1055.97,1,1,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,1,2025-06-18
2020-03,EE,EE_RAIL_OP051,EEST051,SEST051,5701.29,1098.26,94.93,10.7,55,87.72,114.118,89.49,8281.39,1,0,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2025-01-20
2020-04,HU,HU_RAIL_OP052,HUST052,DKST052,3626.14,1953.37,96.57,4.02,561,126.56,128.367,33.6,6305.02,1,0,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2025-10-14
2020-05,LU,LU_RAIL_OP053,LUST053,IEST053,2620.55,1292.37,70.81,8.72,362,116.29,49.379,87.82,176.47,1,0,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2024-02-27
2020-06,RO,RO_RAIL_OP054,ROST054,PLST054,2606.48,1240.21,87.54,2.5,132,104.34,71.772,74.22,3743.22,1,0,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2024-08-05
2020-07,AT,AT_RAIL_OP055,ATST055,ATST055,526.58,709.21,72.22,14.17,1073,141.35,1.544,97.07,7194.0,1,1,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2025-01-31
2020-08,CZ,CZ_RAIL_OP056,CZST056,EEST056,1813.15,2165.24,81.96,4.76,511,133.51,26.756,59.4,1393.93,1,0,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2024-11-12
2020-09,DE,DE_RAIL_OP057,DEST057,ITST057,468.85,1343.75,69.01,2.8,946,103.19,30.119,43.91,1978.35,1,0,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2026-02-16
2020-10,LV,LV_RAIL_OP058,LVST058,PTST058,2160.75,3927.85,84.71,11.71,7,144.53,91.96,80.5,9970.65,1,0,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2024-04-11
2020-11,PL,PL_RAIL_OP059,PLST059,BEST059,4627.35,5015.4,97.34,14.37,63,85.82,31.899,62.84,4006.65,1,1,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2026-02-16
2020-12,ES,ES_RAIL_OP060,ESST060,FIST060,228.89,1871.04,95.54,13.8,64,100.51,44.443,69.09,10092.91,0,1,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2025-09-27
2021-01,HR,HR_RAIL_OP001,HRST061,LVST061,1792.28,1826.68,79.78,12.82,550,136.23,32.995,40.93,5668.59,0,0,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2024-10-26
2021-02,FI,FI_RAIL_OP002,FIST062,ROST062,255.19,4388.59,71.36,1.54,770,127.25,43.392,96.5,548.94,0,0,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,1,2025-11-15
2021-03,IE,IE_RAIL_OP003,IEST063,BGST063,5502.09,3078.97,82.43,9.66,598,121.12,38.19,95.28,2374.32,0,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2025-09-16
2021-04,MT,MT_RAIL_OP004,MTST064,FRST064,167.08,2464.26,85.75,12.88,618,103.36,25.507,79.35,9347.76,1,0,RFC4_ATLANTIC,OPERATOR_REPORTING,1,2024-02-13
2021-05,SK,SK_RAIL_OP005,SKST065,LTST065,3568.11,2783.65,71.1,3.48,290,123.27,13.572,43.67,4669.13,0,0,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2024-02-01
2021-06,BE,BE_RAIL_OP006,BEST066,SKST066,2140.28,4285.55,76.38,6.2,594,113.17,91.844,68.61,10158.08,1,0,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2025-08-06
2021-07,DK,DK_RAIL_OP007,DKST067,HRST067,837.67,1992.12,70.5,5.22,424,133.45,98.004,85.82,2609.16,1,0,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,1,2025-02-07
2021-08,GR,GR_RAIL_OP008,GRST068,DEST068,3025.77,3601.21,91.45,9.06,124,105.18,117.422,60.52,5812.35,1,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,1,2024-04-24
2021-09,LT,LT_RAIL_OP009,LTST069,LUST069,1693.72,1899.89,74.7,6.51,695,110.23,26.523,77.14,8084.84,1,0,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2025-05-04
2021-10,PT,PT_RAIL_OP010,PTST070,SIST070,4795.76,1492.09,93.59,4.92,442,112.46,58.727,34.5,1408.92,1,0,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,1,2025-07-22
2021-11,SE,SE_RAIL_OP011,SEST071,CYST071,5308.33,5413.42,92.84,9.74,227,104.01,3.965,77.69,408.42,0,0,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2025-12-26
2021-12,CY,CY_RAIL_OP012,CYST072,GRST072,376.23,759.41,79.64,4.45,363,114.81,37.902,85.13,9079.11,1,0,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2025-02-03
2022-01,FR,FR_RAIL_OP013,FRST073,MTST073,1268.34,3524.68,69.02,10.3,309,132.36,3.449,90.71,3963.61,0,1,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2025-06-26
2022-02,IT,IT_RAIL_OP014,ITST074,ESST074,2875.93,1594.84,76.02,8.12,29,108.67,39.053,89.07,1617.05,0,1,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2024-05-01
2022-03,NL,NL_RAIL_OP015,NLST075,CZST075,1272.27,2868.07,81.7,5.31,315,114.19,13.118,37.31,1206.55,1,1,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2025-05-09
2022-04,SI,SI_RAIL_OP016,SIST076,HUST076,2226.05,3246.25,87.78,14.32,217,130.43,114.552,39.4,2552.29,1,1,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2024-09-26
2022-05,BG,BG_RAIL_OP017,BGST077,NLST077,5880.89,799.98,88.83,3.93,499,107.08,3.546,61.7,9068.11,1,0,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2025-01-26
2022-06,EE,EE_RAIL_OP018,EEST078,SEST078,2959.3,3252.79,69.25,14.27,432,134.84,51.625,76.56,7617.09,1,0,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2024-01-07
2022-07,HU,HU_RAIL_OP019,HUST079,DKST079,1667.36,4389.56,69.61,19.13,796,132.9,40.448,34.86,1457.57,1,0,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2025-11-20
2022-08,LU,LU_RAIL_OP020,LUST080,IEST080,2912.43,2896.16,78.89,7.44,366,121.4,7.087,97.88,2628.67,1,0,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2024-09-25
2022-09,RO,RO_RAIL_OP021,ROST081,PLST081,6169.85,464.34,75.51,5.97,303,138.53,19.856,35.34,5128.12,1,0,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,0,2025-01-10
2022-10,AT,AT_RAIL_OP022,ATST082,ATST082,3581.9,3784.02,97.73,4.67,512,142.14,125.002,30.73,4020.93,0,0,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,1,2024-05-19
2022-11,CZ,CZ_RAIL_OP023,CZST083,EEST083,340.93,66.21,69.54,22.59,314,140.93,43.897,98.34,3052.49,1,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2024-10-14
2022-12,DE,DE_RAIL_OP024,DEST084,ITST084,344.08,4691.34,96.07,14.2,131,97.6,21.244,58.36,3950.15,0,0,RFC4_ATLANTIC,OPERATOR_REPORTING,0,2026-01-01
2023-01,LV,LV_RAIL_OP025,LVST085,PTST085,81.53,620.2,76.34,17.7,420,108.24,89.485,66.82,6198.11,1,1,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2024-09-10
2023-02,PL,PL_RAIL_OP026,PLST086,BEST086,488.44,603.38,86.5,13.2,378,115.87,23.119,52.19,4357.46,1,1,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2024-10-05
2023-03,ES,ES_RAIL_OP027,ESST087,FIST087,3544.68,448.28,75.55,17.2,106,112.3,62.826,43.15,6422.81,1,0,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,0,2026-02-14
2023-04,HR,HR_RAIL_OP028,HRST088,LVST088,581.96,4171.67,94.78,1.7,583,131.76,16.184,86.99,7952.6,1,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,1,2025-01-05
2023-05,FI,FI_RAIL_OP029,FIST089,ROST089,6655.24,5280.11,85.09,5.27,555,95.59,60.657,31.03,539.4,0,0,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2024-11-20
2023-06,IE,IE_RAIL_OP030,IEST090,BGST090,4310.51,4269.06,97.98,9.69,499,105.68,40.579,83.92,8007.62,0,0,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,0,2024-12-10
2023-07,MT,MT_RAIL_OP031,MTST091,FRST091,1645.09,4166.07,69.17,7.03,680,87.08,60.547,76.72,506.81,0,0,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2025-03-18
2023-08,SK,SK_RAIL_OP032,SKST092,LTST092,4099.03,1230.17,68.5,8.8,67,110.24,105.313,56.71,2975.71,0,0,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2025-06-24
2023-09,BE,BE_RAIL_OP033,BEST093,SKST093,3610.62,567.02,91.96,14.26,75,93.89,95.192,39.49,862.92,0,0,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2025-01-29
2023-10,DK,DK_RAIL_OP034,DKST094,HRST094,784.92,3084.35,86.69,8.36,317,97.09,8.511,36.27,3908.78,1,0,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2024-07-16
2023-11,GR,GR_RAIL_OP035,GRST095,DEST095,4477.85,2792.44,95.28,5.57,30,93.2,152.23,89.96,7347.18,1,0,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2024-11-26
2023-12,LT,LT_RAIL_OP036,LTST096,LUST096,2961.3,3698.95,74.51,20.4,1000,95.19,127.895,56.42,1930.54,0,0,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2025-05-04
2024-01,PT,PT_RAIL_OP037,PTST097,SIST097,5045.19,979.38,87.27,4.53,245,91.94,86.939,73.75,1350.65,1,1,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2025-04-08
2024-02,SE,SE_RAIL_OP038,SEST098,CYST098,4083.25,2571.77,87.62,2.38,581,123.46,27.816,76.42,866.49,1,1,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2024-08-31
2024-03,CY,CY_RAIL_OP039,CYST099,GRST099,6326.94,447.17,72.68,21.11,917,116.85,0.966,39.13,2255.45,0,1,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2024-10-24
2024-04,FR,FR_RAIL_OP040,FRST100,MTST100,1041.13,2587.54,72.34,20.05,544,144.31,44.539,45.47,4477.81,0,0,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2024-11-07
2024-05,IT,IT_RAIL_OP041,ITST101,ESST101,1343.98,5852.65,79.67,13.93,611,110.3,15.695,65.62,1840.09,0,0,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2024-10-14
2024-06,NL,NL_RAIL_OP042,NLST102,CZST102,250.72,1027.0,85.65,1.52,409,99.53,92.242,30.93,560.2,1,1,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,1,2026-01-27
2024-07,SI,SI_RAIL_OP043,SIST103,HUST103,4055.09,2355.41,84.56,1.4,261,119.38,36.842,56.32,327.75,1,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2025-04-14
2024-08,BG,BG_RAIL_OP044,BGST104,NLST104,2292.4,4820.41,84.09,10.83,46,143.22,77.033,99.59,6728.29,0,1,RFC4_ATLANTIC,OPERATOR_REPORTING,1,2025-01-14
2024-09,EE,EE_RAIL_OP045,EEST105,SEST105,837.96,2509.35,95.42,0.78,298,126.51,12.172,61.76,8954.95,0,1,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2024-06-29
2024-10,HU,HU_RAIL_OP046,HUST106,DKST106,2350.09,2350.21,70.09,10.55,1113,91.77,35.857,88.71,6539.36,1,1,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2025-03-05
2024-11,LU,LU_RAIL_OP047,LUST107,IEST107,2266.5,4094.75,77.48,14.03,40,140.64,5.82,94.75,711.49,1,1,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,1,2026-01-18
2024-12,RO,RO_RAIL_OP048,ROST108,PLST108,5498.41,3905.03,78.62,5.7,42,141.48,28.127,75.5,1362.39,0,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,1,2025-11-09
2025-01,AT,AT_RAIL_OP049,ATST109,ATST109,4236.34,2762.08,77.63,18.04,546,99.43,14.661,58.51,1531.01,0,0,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2024-01-23
2025-02,CZ,CZ_RAIL_OP050,CZST110,EEST110,299.51,400.97,78.87,1.59,303,135.98,34.954,36.99,740.67,0,1,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,1,2024-06-18
2025-03,DE,DE_RAIL_OP051,DEST111,ITST111,3244.8,5690.26,83.98,14.18,336,119.91,53.294,62.72,6542.37,0,1,RFC1_RHINE_ALPINE,INFRA_MANAGER_DATA,1,2024-05-23
2025-04,LV,LV_RAIL_OP052,LVST112,PTST112,3398.26,1763.21,78.7,12.39,646,130.62,21.764,51.88,6316.5,1,0,RFC2_NSEA_MED,OPERATOR_REPORTING,1,2025-08-16
2025-05,PL,PL_RAIL_OP053,PLST113,BEST113,1880.9,3671.16,89.04,7.28,6,94.83,37.839,79.08,1392.21,1,0,RFC3_SCAND_MED,EUROSTAT_RAIL,1,2024-11-06
2025-06,ES,ES_RAIL_OP054,ESST114,FIST114,5646.68,1355.62,77.27,5.09,154,115.83,25.273,94.56,7171.98,0,1,RFC4_ATLANTIC,ERA_PERFORMANCE_REPORT,1,2025-01-01
2025-07,HR,HR_RAIL_OP055,HRST115,LVST115,2974.93,8.6,76.61,19.99,259,85.78,84.555,66.41,1507.51,1,0,RFC5_BALTIC_ADRIATIC,INFRA_MANAGER_DATA,1,2025-06-12
2025-08,FI,FI_RAIL_OP056,FIST116,ROST116,6200.02,6122.62,97.77,0.6,400,99.5,80.639,68.01,3931.76,1,0,RFC6_MEDITERRANEAN,OPERATOR_REPORTING,1,2024-10-31
2025-09,IE,IE_RAIL_OP057,IEST117,BGST117,97.88,1959.14,88.74,5.01,229,142.01,105.238,41.64,5456.3,1,0,RFC7_ORIENT_EASTMED,EUROSTAT_RAIL,1,2025-10-04
2025-10,MT,MT_RAIL_OP058,MTST118,FRST118,701.9,2277.51,88.13,11.22,537,126.98,61.984,31.18,3419.95,0,1,RFC8_NORTH_SEA_BALTIC,ERA_PERFORMANCE_REPORT,1,2024-09-29
2025-11,SK,SK_RAIL_OP059,SKST119,LTST119,1155.49,1516.7,79.09,10.86,36,114.32,28.374,62.15,6017.45,1,1,RFC9_RHINE_DANUBE,INFRA_MANAGER_DATA,1,2025-08-04
2025-12,BE,BE_RAIL_OP060,BEST120,SKST120,2791.55,1303.79,98.29,11.09,214,141.87,115.112,52.09,5388.34,1,0,RFC10_ALPINE_WEST_BALKANS,OPERATOR_REPORTING,1,2024-11-24
2026-01,DK,DK_RAIL_OP001,DKST121,HRST121,3464.12,1909.19,96.6,10.63,123,109.53,69.246,62.22,6454.96,1,0,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2024-07-31
