gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2025,GOV0000011,CAPITAL,14318186556.89,22384951545.33,116779463475.62,26866134819.63,70367503572.75,37230076948.56,62696043510.05,35967185466.32,31371436395.97,33695747926.97,57839948955.88,1194952454.34,17481769297.28,25894443194.73,4582142303.16,QUALIFIED,0.2472
2015,GOV0000012,DEBT_SERVICE,134733814695.85,42304299053.33,55009466269.02,7510872815.86,14916652074.49,114797765125.91,151721371092.84,3068136559.47,34733451703.09,22863362929.43,43214229132.95,15215119631.44,654066853.37,15301487907.85,52317187887.91,UNQUALIFIED,0.8292
2022,GOV0000013,GENERAL,181921328717.24,27285304679.97,94215890354.63,5728011749.77,7679827522.69,135723150512.64,11255258422.98,19000144872.7,1940001228.61,37774416550.48,12534893723.05,14314772768.28,20441918306.34,13117176870.42,4272476110.18,UNQUALIFIED,0.5317
2013,GOV0000014,TRANSPORT,179268262239.84,14142697990.32,39365262255.08,29431002723.05,128376589.86,119170783302.58,44055917389.42,15267724665.32,17955642052.56,41075633875.04,59178455968.68,15065442274.86,4166161673.95,6569291448.95,33921101081.97,UNQUALIFIED,0.5042
2017,GOV0000015,TRANSPORT,220015064683.28,43175753800.56,76633422206.58,16192207494.04,34164871206.57,137224479270.45,51513394095.34,26764780424.61,24204843638.02,48226441377.47,46859152995.67,30024298210.97,5069824117.75,157156587.36,43897159804.71,UNQUALIFIED,0.7837
2008,GOV0000016,TRANSPORT,72927190770.74,19970654754.16,7555778652.01,19825346682.44,14811509529.34,40435451995.12,95898842144.23,27789242567.96,23882566602.98,20876427497.81,46615723176.89,30239162504.2,9395001445.24,6524879119.96,1524279592.57,QUALIFIED,0.7873
2015,GOV0000017,DEBT_SERVICE,108809022758.92,6000271989.52,21096079445.98,32831169979.56,52891435748.5,129682649702.48,55093147191.08,26233058369.37,36346380081.73,30963617052.35,32467523973.77,33485750898.62,21569448139.37,10223588786.78,10665865674.3,UNQUALIFIED,0.6274
2008,GOV0000018,DEBT_SERVICE,9093711543.02,36442340768.67,84931860649.49,5017198515.01,62877644064.88,72017266792.22,90126132707.36,29497268400.68,20947279564.74,33410691949.03,41139598366.4,12486960929.52,16119847661.54,3834670721.38,35568456187.42,UNQUALIFIED,0.9044
2023,GOV0000019,SPECIAL_REVENUE,7242456534.31,35358833540.56,117212829139.19,31777218841.41,32021716265.89,89748263773.04,156757090467.93,35239515902.43,27324631806.16,35842076429.57,56936262342.2,5476776939.83,21780184818.54,3764726972.73,64051988480.16,UNQUALIFIED,0.9394
2023,GOV0000020,ENTERPRISE,214789317900.2,21478205478.69,33721972735.01,833642251.91,17900140824.04,35632868410.17,55650005178.57,11071208440.97,7633539397.43,54412387017.9,40080030692.05,10397917042.53,7177800946.4,15602495312.75,30302753476.76,UNQUALIFIED,0.6811
2022,GOV0000021,SPECIAL_REVENUE,121970661902.38,7310056102.87,108845230712.27,22722186664.89,68604846262.38,58328501448.55,90866558881.18,39820640741.27,12101131607.81,32446377076.02,40783454645.77,24654746975.35,11430729633.88,14985272099.01,3667727133.08,QUALIFIED,0.7347
2009,GOV0000022,HEALTH,90941099453.34,8529294982.79,62037751653.47,28857678067.14,78860533820.98,19600783149.15,158212991972.32,35757108630.07,13756443233.46,15722942162.25,48756063212.23,11725764841.11,14394908442.79,29927247767.25,1325310417.35,UNQUALIFIED,0.1535
2014,GOV0000023,GENERAL,52717343309.35,32760555475.8,11532618843.5,16606940842.83,53625622679.4,61385041462.76,44524511979.82,20885743037.59,17110700997.84,16855865936.77,24610186024.01,6072173819.79,12124530737.16,16627340323.65,4758356536.35,UNQUALIFIED,0.3267
2012,GOV0000024,TRANSPORT,16030368085.72,23107452962.06,30615043887.88,26868140569.57,67150311078.93,91426120156.87,122293023434.44,23318629830.1,256751060.11,42100525940.02,20296481593.52,12320125493.03,21870123769.1,16868902340.02,58479798962.14,DISCLAIMER,0.5359
2008,GOV0000025,DEBT_SERVICE,69748316659.71,8912255959.92,62555842780.33,17168912356.77,75489335887.72,37689129187.05,156686854685.09,41245020868.06,17081715988.85,54774406683.01,6546312443.03,10734543916.49,15076479153.81,18973521895.0,38935878764.02,UNQUALIFIED,0.8936
2024,GOV0000026,TRANSPORT,165990066494.48,26485040891.47,45075402026.47,26920468448.28,4284147033.17,109008216687.55,94019834460.51,45267205262.85,32254815517.4,18368293226.27,2729037226.39,18101178379.56,10085074978.94,8870693158.35,26595240163.23,UNQUALIFIED,0.3271
2010,GOV0000027,GENERAL,238384080573.93,42980376.35,54756960857.36,31769443545.44,62156911383.45,70288910841.31,108357379572.62,8615236138.87,15910667631.96,24503746819.22,48275816193.37,26142771396.44,20871921036.01,34192336294.28,45326817835.15,UNQUALIFIED,0.2093
2022,GOV0000028,TRANSPORT,89366279640.26,27222736349.38,70796646019.44,273576780.39,38952350619.32,57264466581.55,34697365019.55,37189269784.15,3588697561.51,51430698146.58,42719356553.94,4493317191.77,16880030459.08,2173104428.71,62120835608.66,UNQUALIFIED,0.4051
2011,GOV0000029,ENTERPRISE,211340099977.75,26563588698.9,52620359666.52,22143877655.01,37061652696.67,30430192731.81,95274148538.96,17618424090.47,33483216516.52,20608362535.31,17497167946.77,30099532946.84,17544823876.9,803856493.53,12326733065.18,UNQUALIFIED,0.8607
2022,GOV0000030,GENERAL,153286472796.33,28081388828.64,45404903641.94,11739074162.67,34655007998.36,35031064374.13,31582023054.42,51422301653.98,9813221927.65,4811935863.49,1365878319.91,12234889421.68,12044258918.78,21702445264.08,1251502075.21,UNQUALIFIED,0.9578
2025,GOV0000031,HEALTH,30742574878.99,19299309455.52,103540052559.6,21401377108.86,72185024556.92,54904046417.46,95472377941.62,26318441300.28,31507375812.45,26748848750.88,20417635742.0,9638986832.67,10168813858.42,22626138822.53,-1285604904.99,UNQUALIFIED,0.8381
2014,GOV0000032,HEALTH,244164268645.39,16150767590.29,85014776450.82,10751266604.4,1005594703.96,35537099085.51,117600739641.33,16764132303.95,37672002903.64,44704323665.24,4026311109.07,32626147845.68,10360362263.34,25157991987.18,53919782346.54,UNQUALIFIED,0.9452
2018,GOV0000033,CAPITAL,136807321956.32,950194769.42,109113570804.66,24888221580.73,11810211666.85,85926696167.0,79445847459.6,21582348301.53,16289840155.93,5775114761.96,63681877403.5,22825124690.12,22640017698.72,28228510093.08,43823808648.34,UNQUALIFIED,0.3789
2013,GOV0000034,CAPITAL,156477761225.25,35408626996.64,37452076004.98,28079491325.14,64093247389.0,48480154525.75,99541524659.75,32503967945.82,5280810231.67,42928038292.43,48562045779.23,29040691502.04,11416932924.39,3164828542.07,17939706559.7,QUALIFIED,0.8849
2024,GOV0000035,EDUCATION,194447493936.23,8720662457.5,100064536969.87,16129793057.61,540595330.94,38117565249.32,28717209523.19,57650180178.54,1741702745.34,4718261889.32,1552119587.91,28899817328.75,18109983792.99,13381260826.99,19391111640.02,UNQUALIFIED,0.4563
2017,GOV0000036,SPECIAL_REVENUE,50016896989.92,37182622302.82,50196178240.25,30928339784.86,8264427013.4,126156594789.87,44706265109.37,14456647923.33,25791414072.19,40074098100.76,54640015832.13,29806877.7,23170664848.32,6978789234.87,48918225095.23,UNQUALIFIED,0.3704
2018,GOV0000037,ENTERPRISE,227848441300.97,13795211221.25,39529284662.62,25413489368.65,7988785022.94,34932832205.18,131654335854.91,30027422628.82,23284553559.77,53031111869.53,16225948830.18,17907434291.01,10756789014.48,20652376869.17,36465242814.93,UNQUALIFIED,0.3628
2018,GOV0000038,TRANSPORT,205628177089.49,42296333896.58,17974156587.57,17545477498.9,69525564721.06,20163095795.22,77793564610.98,45702980323.34,30339635253.29,34383582469.86,12646383485.69,23516210092.8,13828595108.38,34630985032.41,3253234971.92,QUALIFIED,0.8073
2019,GOV0000039,DEBT_SERVICE,83073183767.07,35504448950.19,85041688636.61,14770000692.17,49653862738.58,126653234501.8,77569135736.1,17437035403.93,12742000346.68,25818800498.52,45021770475.18,13789641042.22,18444203756.76,6627402234.4,61064513604.88,UNQUALIFIED,0.1702
2016,GOV0000040,EDUCATION,25766423081.63,24705716145.7,57794855338.27,23316838657.26,31249434217.62,95116188504.77,45227480118.03,29750816269.81,28419202817.65,2550767435.68,44720664530.16,3787206559.39,2448155636.98,3260100046.87,-3793174339.29,UNQUALIFIED,0.2599
2019,GOV0000041,SPECIAL_REVENUE,228610101523.37,14107396813.7,118069427887.27,28689627667.19,76182870745.66,11330977542.11,69406716564.61,29347313146.93,16869645293.42,16085331394.63,19844960256.56,18535466158.21,12625760927.75,30668675413.98,12963653522.58,UNQUALIFIED,0.175
2024,GOV0000042,ENTERPRISE,211691080473.29,9359795843.37,109301952976.95,22822575701.71,32661902093.18,5454957576.75,50892762510.95,15861334465.28,33090314614.5,21915096963.51,6157806477.58,22014325386.33,22805173628.68,14466245623.82,63971663458.09,UNQUALIFIED,0.1277
2017,GOV0000043,GENERAL,59285053732.34,35316161056.88,41034933371.07,13621271429.14,12603304820.97,70197447606.25,25084033050.15,12796957341.16,12891106186.31,52953696158.55,58465487870.19,5084054848.4,891484000.07,38708672003.47,21408678622.86,DISCLAIMER,0.5312
2013,GOV0000044,ENTERPRISE,160599204443.74,22886731003.82,56414642680.44,30194341581.19,51285174849.69,78430659982.99,132319414338.86,34413738400.15,10371322096.03,22118424390.55,23600248992.95,11737131014.05,8529730344.81,6365341445.07,-1285646321.66,UNQUALIFIED,0.0506
2018,GOV0000045,EDUCATION,13910744594.47,25822749481.9,31385593849.29,11586665041.06,6126740285.8,38705859926.73,2239711342.08,54594758075.0,18304047348.57,49137092247.55,12602727685.54,17473334797.27,5982186269.76,37352014387.03,41228810653.76,UNQUALIFIED,0.9574
2022,GOV0000046,DEBT_SERVICE,203135244759.44,35627824533.98,19332592158.96,33367791828.16,46912275331.34,42764155349.24,77507621884.71,47016386532.51,24749975926.28,27712111351.84,47698221937.06,20068041804.07,19704447458.42,35354389739.27,12802322258.28,UNQUALIFIED,0.5123
2010,GOV0000047,SPECIAL_REVENUE,221812220783.84,16978143747.67,89962868350.05,27650461588.77,54411843270.01,124922733453.54,49248348181.28,27854657438.38,4944130089.6,2563027959.94,49933808018.01,30323427476.55,22471676179.88,21009264736.01,30693638711.89,UNQUALIFIED,0.6912
2018,GOV0000048,EDUCATION,86894213107.86,29737189541.48,98554761144.83,28762574288.98,24048302636.65,123758410689.57,114900304785.2,10926942693.64,113297271.02,53028654473.04,63766657590.29,21372497707.82,7073959187.61,19958180436.77,42905824186.16,UNQUALIFIED,0.7609
2017,GOV0000049,ENTERPRISE,25940744270.25,24791783113.6,79646743016.09,13812167221.64,27980885455.41,105983226326.47,47884711122.18,3133391016.51,28679944400.71,7387301445.58,26158347068.65,2385095862.96,9931581801.93,26175077541.73,26545874246.43,UNQUALIFIED,0.5059
2009,GOV0000050,ENTERPRISE,204553494235.45,16786648402.29,64327953915.37,21494139837.43,54950962363.33,119408024443.93,113710739130.95,27475113371.5,21724855175.21,16718789069.11,64236692465.9,16604943977.9,16060234001.95,14621689927.35,45099890695.93,UNQUALIFIED,0.3805
2019,GOV0000051,GENERAL,74618842486.82,9441339911.6,53152603816.35,14509087672.5,39443705776.54,81964045094.42,144356771386.2,15642633929.65,4891008428.77,4797141979.28,27059750102.18,26818865642.66,18554198508.26,31754598238.31,-2936445157.81,DISCLAIMER,0.2532
2014,GOV0000052,SPECIAL_REVENUE,103457898747.99,33465736202.72,50436449821.56,22914377615.78,41442366441.87,77931708079.68,19458387003.78,38804248910.0,6515843110.92,17055813782.92,30262787449.91,16582071798.43,954363543.54,37586693774.83,38854155893.21,ADVERSE,0.4154
2018,GOV0000053,CAPITAL,26971868129.03,21670323012.17,7945713694.76,31720755671.48,46841575156.45,64641671654.48,9083416016.54,48988770268.96,39536980093.77,6463215215.24,62751747638.87,23464382232.87,16060723420.96,32823138877.85,26104875062.04,UNQUALIFIED,0.1641
2022,GOV0000054,GENERAL,193693456720.96,14359513516.16,839132155.23,22517386225.29,299796436.88,3163629677.44,132995989760.55,50997553044.04,5279916051.97,23098760508.71,9992284702.06,11160407180.27,4181709581.13,12417829743.31,11993790730.04,UNQUALIFIED,0.0984
2012,GOV0000055,SPECIAL_REVENUE,185635085559.41,3889379333.99,10108998598.01,12959406522.67,25066062100.28,54792276950.56,41076776769.79,2690845437.94,33104861533.31,42412812164.56,12101876289.86,17479862609.79,11531038128.03,27908279984.37,562283281.86,UNQUALIFIED,0.8421
2018,GOV0000056,TRANSPORT,134301791970.48,19833712321.99,87341743766.17,14853287322.38,360281014.59,138868074647.14,13661241604.28,24459997128.9,17063975748.0,17543322388.91,54941506982.58,33870634895.27,18158369060.3,9566411390.16,65126236428.92,QUALIFIED,0.6006
2008,GOV0000057,EDUCATION,176737064144.03,11608854715.41,31843772639.26,26903057906.58,6235727524.74,48263301059.99,34520434843.09,20471542392.52,35207270040.9,12174328767.33,26881316769.11,17355151372.48,15261730638.02,37571234696.65,8321868913.85,QUALIFIED,0.0369
2015,GOV0000058,TRANSPORT,71153874732.74,26100268663.87,102397673272.53,33583742627.1,38590962673.73,2883017227.01,84277796857.69,19763953497.04,9353355313.35,4416356578.31,18515972420.26,34230165948.85,4006551960.03,32413168192.39,34038828132.42,ADVERSE,0.8723
2020,GOV0000059,CAPITAL,127391307904.16,44950746879.7,9993837075.52,33082562126.33,16570147911.23,24697187507.77,80236168252.8,46718436139.94,35595391096.43,16716350087.78,57317476713.22,4646782362.66,9671614762.87,18739640180.82,1054237382.48,UNQUALIFIED,0.6137
2011,GOV0000060,EDUCATION,197929013191.6,9113910124.61,65541360169.95,1694622554.34,45165413846.82,67360974199.87,19717051680.14,20667684482.5,10233578481.43,5639020066.16,59158588361.37,27913561404.92,8036894239.08,36423622470.46,63770697987.41,UNQUALIFIED,0.8979
2010,GOV0000061,ENTERPRISE,178059737921.49,14533871470.29,78579378367.63,4979974138.93,43889603939.54,127456949855.67,91982017453.92,36279858227.95,6238522626.21,18117723483.03,11868651601.47,28952939429.33,8929732337.71,26953041148.4,67811572109.53,QUALIFIED,0.7122
2012,GOV0000062,ENTERPRISE,154372197757.99,39919598642.27,36677171160.69,29319527812.37,53215986839.83,98840944046.72,89172804654.58,22399404526.01,29155393347.02,46959917207.05,64872993874.94,22733247011.88,1628345870.88,27280826653.85,16718230432.89,UNQUALIFIED,0.4982
2011,GOV0000063,CAPITAL,229392939162.68,31940897366.13,103365862565.41,12218059198.66,44655047201.61,15492375003.11,116108140417.54,53537353810.99,25296274909.53,18853293692.05,3469031526.8,22996477250.65,22965268599.72,1686426028.49,55251466322.29,UNQUALIFIED,0.6363
2009,GOV0000064,CAPITAL,114461479347.42,3332900260.85,52878384535.68,8164105941.65,52377369469.58,78761223163.38,5502607522.39,6509893200.9,11240825415.58,29653598208.06,19448888138.57,24040932168.75,22091315222.94,22765830805.5,62282033340.86,UNQUALIFIED,0.1874
2011,GOV0000065,TRANSPORT,242196454739.02,9830263401.17,80843088255.31,5658983185.71,73850666785.77,76278158968.06,123753071823.96,5332659273.17,7682373413.97,8043989519.64,6032977826.2,19558202881.91,5334221248.09,18226181399.52,11180914610.82,QUALIFIED,0.1919
2019,GOV0000066,EDUCATION,91377560130.01,18429159054.35,67548050858.8,14358053566.89,66901361738.26,119232134094.13,34135533207.69,38446758873.29,4427691687.21,11699569626.72,17641941685.99,15226422556.1,7806636742.58,7245353829.53,25891393384.56,UNQUALIFIED,0.1235
2024,GOV0000067,HEALTH,223040671266.71,25012891479.73,102616785214.51,4221485620.62,59525866799.35,59358145075.75,49152232909.52,21065049848.7,16292496588.87,23957698072.07,46362474134.71,13957688821.6,11078347676.97,12614528275.78,1130683666.46,DISCLAIMER,0.1728
2013,GOV0000068,EDUCATION,7929872687.4,3811381765.37,99620993166.09,26125188615.09,11946648291.27,29855634292.58,103046603860.6,26154034947.79,22662113226.23,7870975142.16,28895764981.41,9148519040.42,16730516991.88,11872572266.74,67179155307.78,UNQUALIFIED,0.0534
2008,GOV0000069,SPECIAL_REVENUE,106524113650.39,42888261414.69,26879192978.71,12495786312.39,46261128687.23,110054033263.83,29958247303.38,56042083811.73,9900911266.16,21376901152.58,8920521702.21,31817456676.79,8576165469.64,31489890899.3,51048124195.35,QUALIFIED,0.1027
2017,GOV0000070,GENERAL,197454251469.07,40460909300.29,88525198083.02,3883030445.94,30509682710.71,97391779809.62,38950320931.13,35744059802.54,25101404828.32,30958332421.39,52243919336.6,1352510425.71,2395284911.76,4333253146.47,60544102357.42,UNQUALIFIED,0.9537
2019,GOV0000071,ENTERPRISE,94987182783.39,26999573110.12,48362050648.33,1117005489.59,1853121009.96,52696660508.93,138385079860.64,56859194028.14,32814465978.65,26122442518.07,55348995806.84,11305101897.9,7637287144.01,10795666578.51,34046270302.82,UNQUALIFIED,0.5263
2022,GOV0000072,CAPITAL,60638985091.11,41175649981.81,72815669976.46,2733585607.73,44469005759.9,128842329601.68,16165114512.39,12487522084.4,13251393755.16,609233165.4,13772827898.78,23762959199.47,6328950536.06,27574342539.85,57752256793.36,UNQUALIFIED,0.3916
2019,GOV0000073,GENERAL,89521667456.92,9814612273.38,109942863416.91,22293994349.45,14710856321.43,17322841472.64,109116745958.55,53072695106.93,39263306105.25,23673247441.27,12860745140.1,26012992181.08,20578272351.61,10679961258.0,58166187777.01,UNQUALIFIED,0.4917
2009,GOV0000074,EDUCATION,14557432843.39,29799793000.45,78481213294.65,30063195897.23,50660482892.41,92411079619.94,140932386442.27,30506637312.72,12898590611.41,38086767780.21,37614491414.41,31275486747.66,5655924072.27,22882963824.99,65174700249.34,UNQUALIFIED,0.7301
2013,GOV0000075,SPECIAL_REVENUE,68969214347.19,24591259122.75,117590856120.77,24334632112.64,8846518937.1,28170486677.81,1273025655.02,11963548286.67,14278229247.39,40765071737.67,30040939925.36,19503298295.37,20774219110.72,17977133867.24,58153808356.1,UNQUALIFIED,0.3456
2011,GOV0000076,DEBT_SERVICE,37447605019.16,7082031628.75,102440678221.1,18823438220.84,37774094909.6,65064583975.72,35159955340.88,56536480099.24,35286427505.8,34586949129.77,20371626604.61,25852407585.66,2707359316.09,2948145136.02,40321686903.09,UNQUALIFIED,0.9098
2009,GOV0000077,CAPITAL,1690008931.02,16138022068.18,3829597278.76,288974230.74,22279205266.38,93670329342.56,148425227505.87,9908109991.19,20806540456.42,4040951160.39,40164461074.58,31002800243.31,7821512104.68,35249420908.63,8757804619.08,UNQUALIFIED,0.82
2016,GOV0000078,ENTERPRISE,149016189996.9,32815038619.58,20327706733.24,16758131944.05,49374521137.81,1728117034.03,76982321748.82,12068595900.96,25814781166.27,24412499531.66,44317459290.61,5538970939.55,16954627086.68,14397389541.52,51477180307.13,UNQUALIFIED,0.0629
2023,GOV0000079,ENTERPRISE,209720595379.39,4884871731.52,33237577625.86,14195370188.18,23736945919.79,34325830626.86,145316028194.16,12631248310.67,9088328863.08,45823793882.11,28913514056.91,27039221138.57,10623034577.47,35719819415.41,10376715366.24,UNQUALIFIED,0.8529
2009,GOV0000080,ENTERPRISE,172745462503.4,29515324067.97,59065049993.1,34713474.66,72505851612.59,69484080633.63,46005044645.74,21716792018.1,36004720606.5,54071472876.27,7343895609.5,11003202087.74,17786975085.19,16481419702.71,65813616729.82,UNQUALIFIED,0.3385
2024,GOV0000081,ENTERPRISE,101033225495.85,13453621182.79,15378572827.86,11025993427.49,30396902336.62,63886908733.99,44573138621.73,34586887690.57,7202957012.05,48229396767.83,21751257139.26,15506103318.49,4704288810.13,23447660560.39,17653721946.58,UNQUALIFIED,0.6908
2020,GOV0000082,ENTERPRISE,123846920784.39,16571398812.93,68356498780.49,24165541486.2,5466035957.49,32444335726.3,59789973348.3,45267413354.6,22984501843.73,32913550875.83,55196952552.27,30820159517.09,7753636907.76,29531839216.94,29312620948.11,UNQUALIFIED,0.5905
2018,GOV0000083,CAPITAL,168641044912.98,28449359122.92,12640270559.22,5487938356.74,38624320594.23,7508806429.99,148012345572.85,44405117451.24,28423508004.58,14449749117.0,27004430772.78,8592956540.58,23091223645.52,31692393008.01,54646964179.41,UNQUALIFIED,0.1465
2020,GOV0000084,DEBT_SERVICE,144759163206.18,31237790126.29,36748720993.72,26151453154.96,11703198041.1,46685540234.5,99960413597.58,18092707495.45,32015409991.98,25905779083.17,19408663300.17,25709258892.4,2811882678.51,6824583408.92,60858807694.14,UNQUALIFIED,0.7063
2023,GOV0000085,ENTERPRISE,171861777213.78,34599679131.72,34419640303.56,5461615898.82,1810197948.78,97108037435.74,128160323887.79,59820749251.91,38604752233.53,11760962650.23,19251128521.7,33767165439.97,17269356714.01,1323701651.63,7814272224.38,UNQUALIFIED,0.1708
2016,GOV0000086,GENERAL,11784008618.28,44637653494.32,81409627077.34,21793051560.37,52824395681.86,92010815910.46,4811409889.48,28483217951.46,8544593006.54,4753694660.04,26919880867.65,19428134023.21,21561450579.38,31829034465.6,39871321594.71,UNQUALIFIED,0.3782
2008,GOV0000087,SPECIAL_REVENUE,200562033812.08,16940039198.3,4844407437.95,12731303652.22,616179486.72,133621575367.14,92139199812.53,17181196466.82,23010944912.81,54565548650.81,60614946175.35,10062501601.29,14760276132.82,1792715271.68,64384243077.3,UNQUALIFIED,0.8472
2011,GOV0000088,DEBT_SERVICE,124475782943.94,38843922124.05,101836530799.62,24388582251.04,66455712275.9,121811923622.97,118497534372.89,18723716962.96,16192051410.14,10711122652.04,35526277132.58,22956894875.49,12816372352.15,14740621641.3,33584262014.51,DISCLAIMER,0.1107
2010,GOV0000089,GENERAL,85843451282.05,26375550039.21,106998938813.07,25433692892.3,20927204298.34,3488076227.08,78058297551.15,21830495438.01,18581158161.87,13894935906.27,45260516901.89,9610967181.7,8048183865.96,23360323791.26,56700907442.59,UNQUALIFIED,0.5525
2008,GOV0000090,EDUCATION,94276058114.1,9028944747.47,43134211863.7,24142386447.04,22607304998.01,55606525597.48,17568991148.9,40953906494.08,33484110274.0,13464112010.74,31553969247.51,3385855805.01,8045477571.18,21205106370.41,2691938859.72,QUALIFIED,0.8309
2016,GOV0000091,TRANSPORT,141328391419.16,21333002097.86,42458465454.55,27071611639.28,51258778144.58,5967792589.13,123539771783.3,37818170165.0,26042898905.71,21813411143.56,36341837812.17,33588808364.87,18264877761.49,3097315253.63,64040170781.33,UNQUALIFIED,0.3503
2017,GOV0000092,DEBT_SERVICE,78929150170.58,2846511159.41,83510404650.34,10965093813.38,38639946597.93,120800824948.32,55965337359.13,52874011106.03,4455568047.18,36196958259.1,2488433572.93,14421058938.95,10639211864.13,10947753110.48,69282796449.87,UNQUALIFIED,0.4761
2024,GOV0000093,HEALTH,125516298299.36,19437386828.94,48898328031.84,18150526642.5,6387483585.02,83765609925.66,82758556600.28,12540746703.07,37056579021.49,36614473427.02,26184023546.24,20741009524.73,21134955330.35,3646377217.69,63260865150.18,UNQUALIFIED,0.7146
2013,GOV0000094,CAPITAL,147748126988.17,17787029214.74,14312022459.11,13064454123.68,63504896639.09,116652215280.57,130594970717.67,47110316266.15,9463150471.3,13046446697.3,48379304429.56,21632688006.71,5105846105.09,19899272411.49,52894281303.88,UNQUALIFIED,0.3235
2024,GOV0000095,EDUCATION,199444008290.67,41352839371.48,7908082759.02,31465509204.77,6081515888.13,62385801899.42,33926365802.82,57808112184.18,15866285584.53,559435410.13,7103852896.56,22323022630.65,4059143631.6,980033603.94,35549950449.57,QUALIFIED,0.7413
2020,GOV0000096,EDUCATION,88410641846.64,20586655675.36,42339522112.37,7451840990.77,20050167253.62,14197454776.84,149449157102.19,37270526551.22,32849066071.12,32181144908.41,7018699827.57,22788858215.25,5564855369.57,12585378137.7,27323483160.26,UNQUALIFIED,0.3687
2015,GOV0000097,GENERAL,44426769228.96,31238278271.47,102018006150.19,14314205518.41,13644303249.84,119069471206.91,30883242868.57,16876896094.31,21154746346.57,40346631282.69,64186932031.52,695854382.77,10806406203.78,12564362197.33,31957933837.62,UNQUALIFIED,0.7845
