biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_naics_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2020,362fcd172483b9d2,b43be65f940426f1,5,250_499,802239,4349,3277,13734,2612,45473,48568,126.06,65.81,60.31,0,1,LLC,440397.47,0
2020,e0bff906684cfa2f,d1daf97b892d5a6c,71,5_9,808295,558,1757,23745,17433,48514,40394,91.938,55.99,49.69,0,0,PARTNERSHIP,1870361.4,0
2012,11bf3e3b34444194,6255a6e91d1dc273,93,1_4,632319,4101,552,655,18476,34767,48841,15.421,37.43,29.46,0,0,CORPORATION,2492869.88,0
2019,235c5d906afb1006,70875041664716dc,62,10_19,720887,2225,1907,3035,2212,29001,40980,161.956,4.79,2.37,0,0,COOP,2025141.46,0
2015,4930884f7eed805a,a6bc1566079d9bff,24,100_249,662320,1382,2905,20852,371,38548,11863,30.941,88.28,79.69,0,1,LLC,2027456.2,1
2020,7d4b956d6bb91a7c,77f368ec181bc30a,0,1_4,708258,1547,3605,2521,15992,26128,48398,150.585,26.22,6.95,0,0,SOLE_PROP,2359348.44,0
2021,41f88475bc6c965e,aa53397af7aba7bd,53,50_99,249860,466,3814,3861,8394,37918,4012,67.69,58.28,32.35,0,1,LLC,2000237.85,0
2009,5ea40b5ce03e8fdd,2e222a74591f2993,59,10_19,885315,682,4518,2153,15868,1411,8628,2.44,80.93,14.27,0,0,COOP,1126588.2,0
2023,f9abef15c9732352,928d50c06a826f95,22,20_49,250427,2659,1425,19,14623,40636,14349,114.735,4.88,2.0,0,0,CORPORATION,1543643.56,0
2008,28a4fc53f703ccc1,ead67ad8bae73b0e,37,1_4,949509,3179,4369,14646,17244,43360,29500,54.464,22.58,10.62,0,1,PARTNERSHIP,1397251.98,0
2023,bddcfa07757b2268,0a324f2147277727,8,50_99,202842,3157,3572,24241,5470,20279,45234,125.27,37.02,20.51,0,1,CORPORATION,494359.27,0
2022,9ebc72030ab621de,14e771e99ef5d91b,35,10_19,555744,1398,1566,22897,18930,10389,37293,97.63,41.69,30.02,0,0,CORPORATION,175266.34,0
2022,e21b8e2e41adfaa2,05a34a795a38ef35,90,500_999,571754,1441,562,5047,17699,23444,47339,43.992,16.58,14.41,0,1,CORPORATION,2475318.47,0
2017,22942fb8ca6f98af,74dfc86a22f0e1d0,67,10_19,213817,2294,577,23099,12502,19676,12128,68.442,27.1,24.35,1,1,CORPORATION,857558.22,0
2016,ecf2f42d02d2a36f,f66dd03b6db9ebe1,84,100_249,218291,2904,3409,14253,19027,18062,45729,32.636,54.55,31.07,0,0,PARTNERSHIP,362411.47,0
2007,3c98535df9ab9197,b3ffee5d85d2dba0,61,20_49,960516,2147,1332,16671,5533,5340,39820,188.623,3.28,0.43,0,0,SOLE_PROP,2322963.15,0
2019,5247f5ce8a319786,8eb6e702d83b8d9b,36,5_9,522683,3599,4485,593,8965,48102,47837,197.1,7.89,3.18,0,0,NONPROFIT,2419510.21,0
2016,67c7c298852230ee,b6dbefbb6e9a90e3,7,10_19,977984,467,1409,5169,2123,33640,21154,142.541,13.06,6.08,0,1,LLC,2267437.94,1
2020,5e1fdd4e45f18f9e,00f316c2ee6950b9,20,250_499,761190,3038,1257,20179,19437,23951,27755,34.017,86.86,23.43,0,0,CORPORATION,776008.64,0
2015,15173107f6bad2bf,90a7ef81e13c9af0,17,50_99,685397,2800,2655,24221,19539,7312,32409,129.209,96.75,35.31,0,0,OTHER,468253.14,0
2025,7c269ba350bcf31c,c8a5456597ac515f,62,1_4,942724,2279,3153,7729,4556,34483,5195,26.98,76.44,28.22,0,0,OTHER,1231223.25,0
2007,e624274ee0947935,6e2f33c4348a3059,2,5_9,772705,2781,592,23892,562,40517,35503,20.972,79.3,26.0,0,0,SOLE_PROP,1309807.62,0
2014,0a3acca3d07f8e41,8c22250c8b399022,14,250_499,617181,2316,393,10951,5815,29814,608,127.415,82.38,38.51,1,1,SOLE_PROP,1937053.73,0
2021,b02c2022c49457a0,156afbaf3b1bf49e,65,1_4,129454,2558,3945,24629,3525,45818,21357,50.822,93.07,30.5,0,1,CORPORATION,89291.22,0
2009,a3340eba5467cb02,67d5f9caa1a0e2ee,7,50_99,259071,1912,1867,9170,17120,46891,28966,106.798,34.42,31.16,1,0,SOLE_PROP,1854978.13,0
2019,3e6976cbb23af236,c6c9a3a2f0ab4cf0,27,1000_PLUS,317645,3102,4152,5499,16123,49919,21394,81.601,58.27,38.76,0,1,LLC,2362770.73,0
2011,d87736e923ff2f87,1f0cb0ca5c4603a6,29,50_99,993359,4899,2887,15724,7930,2412,21393,44.819,58.74,14.24,0,0,CORPORATION,863864.65,0
2024,0929e1fb11dc02b8,ef94ddfd31a3dffe,22,50_99,794176,615,2548,7186,22179,6398,38619,25.111,7.54,3.87,0,0,LLC,752047.85,0
2025,46d975613513589c,ff7c6b336efd0aec,82,5_9,871127,4428,2130,8652,16113,31183,21574,80.558,49.65,43.72,0,0,COOP,2041013.71,0
2018,fb33788cf775d310,792183e20bb8fe72,54,10_19,223856,1354,3301,3631,9650,23212,41887,130.612,52.84,42.35,0,0,LLC,266135.6,0
2014,86f11d44a677f042,119cc7ed88078b2d,44,5_9,422825,3636,4541,12861,13167,19157,18403,180.331,91.74,74.43,0,0,LLC,1541849.37,0
2017,58907e3820e00fad,4a284215e936db15,75,20_49,125270,3887,3807,9549,22058,2597,43417,16.027,75.69,61.23,0,0,LLC,2136351.77,0
2020,3bbddfe6c54dcc92,0a8b4276c5b07949,69,50_99,247058,3533,4931,2365,22483,46412,5752,162.779,15.89,13.88,0,1,NONPROFIT,1653116.52,0
2024,dfc254a807a160b1,f08cba8fd9c68014,88,20_49,645003,2246,4421,2414,16550,12043,738,91.47,78.11,60.03,0,1,PARTNERSHIP,2437516.44,0
2023,426e36be9bcc76ae,ff0301c50388cfba,18,10_19,360730,173,2306,17819,4042,43364,6612,188.901,45.71,15.68,0,1,LLC,947142.59,0
2014,0a6618c65d8e76fa,e8adeede036bcd64,25,100_249,495583,1740,222,4076,11772,22820,2061,194.582,88.81,46.41,1,1,CORPORATION,1096646.96,0
2010,0391f7fbcb1cab29,b5fba240f740e585,8,10_19,420223,4624,4128,4580,16813,8246,30277,36.948,62.26,39.35,0,0,NONPROFIT,984507.21,0
2022,1769d895f49dfe2f,98783bb9570b2507,90,50_99,689734,1403,1666,3955,2533,35931,29763,160.132,82.54,66.25,0,1,SOLE_PROP,1333016.6,0
2007,e6d46f334eafcdba,a52abee37b38347b,55,50_99,438684,1136,555,16494,24671,15402,47280,142.46,42.45,4.42,1,0,CORPORATION,1458157.01,1
2020,8611c8b3598ceaa0,acf046329e013d70,23,20_49,625816,2029,397,24728,22733,29548,38259,50.798,42.41,27.46,1,1,LLC,1220094.51,0
2015,4ddbbf4f9adfbb56,977d9cb859a52886,29,20_49,150133,3774,711,10300,11966,38454,22578,190.263,58.11,41.89,0,0,LLC,1360375.84,0
2023,fca7d50881522577,3a556ad037a75b58,25,20_49,965107,3981,2136,14674,1403,49780,22529,62.891,5.42,0.97,0,1,PARTNERSHIP,750549.28,0
2019,480df52083513380,f2ab030bfc7e2e8b,0,50_99,577709,3674,154,14023,20851,43989,4450,36.451,23.5,21.38,1,1,LLC,1249667.78,1
2023,ae8c76c5ba500178,8d8e6d8ba80ab748,64,50_99,634168,4632,520,24189,23024,10700,25913,109.288,79.84,70.29,0,0,LLC,1210805.83,0
2015,c4570a56993ce1fa,47233b7ac9bc507c,30,1000_PLUS,585477,3015,1737,8802,13350,36570,34599,174.998,47.78,15.04,0,0,NONPROFIT,2440570.57,0
2020,7f3f7b88cb677c10,5bd1fa8a969476d9,62,20_49,961016,1789,2241,10437,17561,834,1445,50.974,38.67,8.64,0,0,SOLE_PROP,749750.15,0
2013,555975813ad03352,286d961e751472fb,61,1_4,560778,2787,3644,21356,400,26253,17442,40.443,95.2,54.16,0,0,SOLE_PROP,437989.84,0
2025,82b7f2a95d1effb4,876b0f102401212b,96,10_19,298591,3199,3790,14935,14378,25004,19880,157.989,20.44,6.65,0,1,SOLE_PROP,2226880.15,0
2017,0f9e0cf1e5b55c1d,cf0c6c2e03d53b48,48,1_4,940670,1149,258,4202,3422,11526,43579,156.25,86.31,71.11,1,0,CORPORATION,958525.95,0
2015,df8be66214bd4043,b6b05b6768c6bb18,13,10_19,930401,3904,4397,17091,18653,48572,42807,6.167,45.62,4.59,0,0,OTHER,1801296.6,0
2022,c2c282f4b20002f5,9c30f2c9ed7ddd1c,66,5_9,825967,89,3967,6762,17425,36228,4995,21.923,72.83,22.92,0,0,PARTNERSHIP,965193.34,0
2015,050bf37911656b9d,79c5a68fd9edab42,45,20_49,797484,4608,2235,22303,4435,20393,24248,77.076,76.36,65.7,0,0,CORPORATION,2039273.42,0
2025,f13824e5d18bb9d6,83cf84451c244eb0,70,100_249,430735,4104,2852,3237,21640,22969,47832,52.09,66.91,25.89,0,1,LLC,508209.22,0
2023,fb20246822a2b2ba,ec141b3fa30b613b,78,1_4,436721,4786,457,14269,500,21332,32221,57.061,73.22,48.53,1,0,SOLE_PROP,1227209.11,0
2006,df99a23b1602cc88,ec5e95c404b1a728,93,50_99,299665,822,1634,21826,23881,3216,415,190.726,45.94,14.05,0,0,SOLE_PROP,794335.45,0
2012,e8d5adcf9e2e7bb6,6f339e96da97efcd,32,50_99,589909,1753,1671,6797,20969,34632,49935,103.566,9.34,3.56,0,0,PARTNERSHIP,1913998.23,0
2009,882b4f67fd9d682f,bfd5678c9de3454b,10,500_999,805155,2891,2412,11438,2735,39100,13825,60.75,75.81,36.5,0,0,CORPORATION,298983.27,0
2017,d1163ee9510973a7,35a6f055767d7241,83,5_9,300069,698,4277,4541,12039,47110,22533,198.007,33.56,27.59,0,0,LLC,736872.38,0
2006,db1c3382d7097e86,dc01e00288218899,1,1000_PLUS,895063,3860,2432,3266,17568,1808,17522,136.514,4.03,2.27,0,0,PARTNERSHIP,1024836.04,0
2020,005add1764a50490,4bc5eb3464aa79ea,12,10_19,233551,352,823,19483,21758,29161,49986,35.12,0.85,0.32,0,1,LLC,332945.06,0
2022,947d5924f566c28d,19eb4bdd5dbd0b76,38,20_49,841379,1529,548,12468,3374,25908,6748,122.033,1.74,0.93,1,0,LLC,1909401.38,0
2022,053ff8c4473bc6e2,f13fab0d1fe02710,67,1_4,331697,2789,587,12383,8232,46341,18650,110.511,30.57,4.17,0,0,PARTNERSHIP,1954826.85,0
2014,4542bd8fd17c772f,e875d502d4c29f3f,1,1000_PLUS,321303,591,4557,19698,17052,46047,4511,155.251,72.07,39.22,0,0,COOP,569284.59,0
2020,e3f1b7c9d1e3ed36,76514827e3d2a3d7,32,10_19,783180,46,2767,15172,11926,21934,22292,143.922,66.27,60.91,0,0,SOLE_PROP,535192.41,0
2007,e91343cdd128d52c,652645702050099c,67,20_49,203660,2522,3466,5739,20457,37416,26616,127.908,39.29,35.53,0,0,LLC,506135.09,0
2016,ad966095148576d3,7a05f36814377095,16,100_249,667881,2972,1532,13929,15897,5073,1856,163.151,32.07,28.92,0,0,SOLE_PROP,1327608.13,0
2024,91c592f780511cf5,16ff59e9552ebf86,12,20_49,665462,4281,1876,15926,2509,38209,24357,29.474,68.8,20.49,0,0,CORPORATION,2337193.95,1
2019,e1f2a2a877acdb7d,a147626aa21ffa27,58,500_999,653311,1007,2840,19091,3092,25787,46792,152.485,72.61,37.01,0,0,CORPORATION,652426.41,0
2019,4f160473f134d13d,ffb769651eaf7934,63,20_49,592861,73,4168,20778,1298,33769,21992,27.868,77.01,32.25,0,0,LLC,1248796.59,0
2006,d36b752b25523d03,9509acfca2c68b1d,23,10_19,122943,2225,4667,2401,18064,41170,9733,153.757,52.88,41.92,0,0,SOLE_PROP,74100.11,0
2022,643b3494c42cf793,a57125635003cf22,89,10_19,642407,4024,349,11601,19100,26763,6533,105.826,67.87,45.22,0,0,SOLE_PROP,2335330.14,0
2023,9340b55db9d2afc7,8aa849051146c59a,87,50_99,678259,672,3285,5546,5065,36195,17595,92.194,99.65,75.15,0,0,PARTNERSHIP,1082201.72,1
2008,007f856f029c1e62,99c94c741c6e3e5e,6,100_249,551022,4045,2639,23578,23456,43458,23572,155.389,7.68,5.08,0,0,SOLE_PROP,1039431.47,0
2008,e66d7aff8eec90d3,2cdf2b15227f896d,48,100_249,944366,3157,2280,18167,15006,23650,28558,191.746,54.87,12.1,0,0,SOLE_PROP,1172366.98,0
2008,d80e86d1d3c4a6ce,8a248f92b7a86cc8,28,50_99,488949,714,106,18912,13074,10968,43799,71.11,95.52,63.62,1,1,LLC,1599942.51,0
2008,662a34a047e71c0b,b403633135f3e77c,40,5_9,165425,3839,1989,2403,12489,6813,9461,84.796,87.8,41.3,0,1,COOP,172341.74,0
2007,184e1dcdf4f280bf,924286a53217f798,52,1_4,899304,3297,1292,9298,21373,16061,37521,157.717,63.34,30.27,0,1,CORPORATION,1568980.89,0
2014,f8218246547e549e,1c8c3b71960191fd,19,20_49,820293,2317,3567,3778,17842,46869,20581,116.608,26.56,23.98,1,0,SOLE_PROP,631744.78,0
2008,805704412f185ce9,c14ed9efa7befe59,37,5_9,363449,3770,2161,11968,17752,35965,47981,37.833,87.58,68.02,0,1,LLC,265739.8,0
2017,d4c6d5408c43f311,b769b9280ac36022,81,500_999,442133,4377,1731,23582,23626,45878,38965,116.832,28.77,6.47,0,1,CORPORATION,312308.3,0
2018,aa3805097190266d,170cda729561a6c1,17,5_9,709430,3931,4063,3350,1027,21632,49050,99.684,31.77,23.88,0,0,SOLE_PROP,2039325.13,0
2016,42f2930381225932,f3edb03ada24fe12,60,1000_PLUS,289647,4496,3755,4036,15146,24285,31773,151.903,9.52,1.35,0,0,LLC,592230.38,0
2022,32a352e7a4b2f36a,9b03f7277687f99a,86,250_499,370294,3625,1330,11386,15200,11150,47729,66.792,89.17,41.98,0,1,CORPORATION,635893.92,0
2022,1ee5c9e827f13846,795e9783586c9967,71,100_249,219654,880,4500,20674,10020,8449,44461,74.398,13.89,3.57,1,0,CORPORATION,1610183.26,0
2024,86ce32ab9045ee3d,594c9997eec34ddc,87,50_99,650724,3996,2271,14432,18101,48617,17110,88.543,94.68,24.73,1,1,OTHER,1398665.25,0
2021,72926b14b986549a,1a0a330a8c2febde,59,20_49,294199,563,258,11087,3033,21370,2641,197.077,93.74,24.33,0,0,LLC,260756.36,0
2008,7e459490e6407e4d,7f9672d52ac3771d,36,1_4,319776,3105,1163,19289,21964,7561,36409,107.697,84.2,70.51,0,0,LLC,47798.85,0
2025,db6846565355361d,a1a7ceebc389cb7d,27,5_9,399699,960,2009,10943,9542,46247,45227,110.301,78.78,69.96,0,0,LLC,1958262.5,0
2021,0531c64356ad8498,3ed3f72810143552,75,10_19,941469,4098,2492,13287,15463,38891,36782,126.598,12.3,5.06,0,0,SOLE_PROP,2127296.33,1
2006,1f920aa80c5cbaf1,9e0ace593c0c9bda,42,20_49,889332,266,1817,5742,24602,30815,16674,99.916,58.75,22.82,0,1,LLC,1644524.11,0
2020,fe83cec41e62c555,144d5b1e7183e8b9,9,1000_PLUS,735672,4403,4610,5776,19406,4305,43571,118.171,24.96,19.67,1,1,CORPORATION,1194201.29,0
2006,af8c7dcfad4c0615,045cce03cbb12ba9,18,20_49,343915,4145,3614,1895,19657,41688,44597,29.616,83.1,45.44,0,1,COOP,601277.0,0
2009,90aabae28d4503dd,a3d00fb1108079c2,36,5_9,668016,516,3342,11051,17617,32116,18328,138.821,68.13,31.4,0,0,PARTNERSHIP,1861948.12,0
2020,e78be598750a894e,1f43a3efc1aa649d,64,5_9,914586,1326,2500,11071,11771,3620,13170,100.695,46.16,20.37,0,0,PARTNERSHIP,2087659.73,1
2014,14359939d41fa992,3bd1aedfc0a71a99,51,10_19,915836,1520,2020,14403,11287,43732,4770,92.86,18.69,15.64,1,1,CORPORATION,607718.09,0
2008,2a0b971cffcc9984,4218a71bc587bebc,68,250_499,579279,1843,4857,10533,10823,47492,3193,31.248,37.49,29.74,1,0,SOLE_PROP,341546.89,0
2018,c934d6b8db5e1999,1ad9b726acd7ad29,42,100_249,302302,3003,1126,231,11575,19344,25217,108.858,5.58,2.23,1,0,LLC,445843.44,0
2013,0813d019cfbc9328,7c4c5816002e2133,15,500_999,517862,3165,3741,15165,17629,43282,6321,147.705,98.58,81.84,1,0,LLC,2397831.37,0
2025,9d84dc27f3084a47,7bb413c5cd903423,23,10_19,164026,2234,3312,17413,20186,43119,6337,130.607,81.47,27.79,0,0,LLC,1922233.1,0
2018,54cb8900d41b05ea,af4991da68d41175,43,20_49,791977,498,2666,7882,2651,15158,32264,88.129,49.0,34.16,0,0,LLC,2202304.22,0
2017,e94de0603fe73900,6a90c0bf86fd7c27,13,10_19,473437,4172,2060,49,13446,4751,30018,131.359,66.62,17.3,0,0,OTHER,2084688.37,0
2022,5dc6516890c5c69b,582d8fa0a4175285,56,20_49,404665,4007,920,10714,6552,31468,30275,79.962,82.45,77.1,0,0,LLC,233984.92,0
2024,80452f3acf0fa3cc,eb014a4e38283a4b,63,100_249,616112,4448,423,4634,11999,27400,6765,92.253,27.72,8.6,0,0,SOLE_PROP,1356805.76,0
2012,9f0cd312ba83ba85,8ae4598f8de42f4a,40,1_4,577136,3075,1798,380,3486,43911,23839,134.691,92.8,69.95,0,0,SOLE_PROP,263132.53,0
2023,7e3a4f9e504afc7c,01d7a1f97ceff8e6,89,10_19,160775,3243,4386,4316,11211,47908,22561,185.453,13.61,5.76,0,1,PARTNERSHIP,2233914.02,0
2017,a311b21ec1877104,25f0e9d01445a378,8,500_999,691704,94,1510,19264,17730,33277,13177,3.408,18.23,9.91,0,0,CORPORATION,2411771.7,0
2021,64954a20f8a101f8,f36ba3eaffeffb5d,45,100_249,855495,285,671,4135,6596,44232,27469,150.702,24.28,11.82,0,0,LLC,547039.53,0
2019,1e01f1c2b8d8918f,701eb5bedfe7ad6f,63,250_499,313838,4355,2115,5948,24105,19912,1430,115.352,79.54,17.33,1,1,LLC,323425.39,0
2011,6b8fec6284776266,7945d0a207e2b1ac,31,1_4,276647,4029,4319,3917,12672,6125,14929,58.359,52.67,28.07,0,0,LLC,1683638.97,0
2023,c84f7aeb6d6d5c49,7e5de37109d13555,53,20_49,853749,4217,2893,20817,1198,19051,47878,101.674,34.34,9.99,0,0,NONPROFIT,1317524.67,0
2010,1ae33ece3be74c39,222c64af521da4a9,90,20_49,895809,4522,1412,24679,13769,25560,3713,143.88,90.72,31.5,0,0,SOLE_PROP,1079254.79,0
2014,5fda07181f475da0,2280b61d87bbae11,61,100_249,747677,645,4823,17050,8029,10691,10655,61.915,91.76,15.64,0,0,SOLE_PROP,432739.51,0
2019,f0bd808c8c692aec,d2e109602e193066,80,20_49,229473,113,1074,18062,11804,21578,25268,133.126,44.85,25.48,1,0,SOLE_PROP,2055777.95,1
2009,7d9fb7a1da6e2c57,16e082cdf2bb911b,1,1_4,472591,2760,4937,865,10353,10872,1838,125.69,83.57,31.75,1,0,LLC,436604.88,0
2013,133cb7a93cc830f9,bc023b85828229d0,36,1_4,645941,3552,3908,2783,4065,22764,39653,140.585,81.39,59.87,0,0,CORPORATION,804408.68,0
2020,ad8a2df111e93da6,2e5b33b77227e7a0,44,10_19,165438,4046,1192,224,20221,11145,11324,32.772,50.54,18.35,0,0,COOP,2159829.51,0
2015,6ae823902e3b4bfc,c5c0e79010f3070a,26,1_4,770292,2732,3644,10827,19854,13226,27972,37.033,5.05,3.35,0,1,LLC,1358070.35,0
2024,2f4c5ad9fd884eef,c5e82205ee48dd97,36,1_4,600215,1658,3878,23028,11853,36658,43884,152.355,59.11,25.03,0,0,LLC,1274470.32,0
2011,e1b1de35c70a994e,435caace92b2fc43,17,1_4,853303,2123,3952,2484,10415,39633,44531,135.881,41.45,38.11,0,0,COOP,2460879.9,0
2011,0edd9bcc0786d5c2,d0d46af2b0655bc9,30,20_49,955412,3555,2824,20604,14832,24644,10378,77.266,52.15,15.44,0,0,PARTNERSHIP,1519746.33,0
2019,1dc16252953ec11c,7da128a8187948c7,56,20_49,891869,1104,659,5314,13290,31210,16293,82.06,1.5,1.21,1,0,OTHER,781702.07,0
2022,fda916084b93e9f4,232379d417effd2e,44,20_49,588338,4522,1096,14922,22542,39326,49946,51.6,74.41,41.63,0,0,OTHER,16850.83,0
2018,2ea36f98f21bf69f,7cbb4efdc591bc43,49,50_99,182431,379,4725,2550,10656,39897,8354,114.696,34.11,11.48,0,0,SOLE_PROP,2125811.85,0
2016,26d5fa5336e83c41,4e6010d15d6630c6,56,20_49,220051,4835,4181,5431,24924,27051,7879,36.186,83.86,23.24,0,1,LLC,1052052.47,0
2024,09db9dfe512db97e,76c23168439587e5,13,500_999,323253,3761,1362,5205,18700,13151,30406,69.559,18.01,7.1,0,0,SOLE_PROP,1093604.31,0
2024,c08a0b68bd22984a,996b5378238469c8,28,5_9,178341,4633,4370,15276,11924,24745,22978,189.687,30.76,19.1,1,0,OTHER,691778.99,0
2012,61057bfb95167656,7b3bce7f7657f1e5,79,1_4,178872,978,3726,18583,22896,6184,9678,176.108,38.13,24.77,0,0,SOLE_PROP,1540579.66,0
2006,b94255f0da4cc66c,4a625b79f3ffdc2e,84,5_9,699771,3511,4643,24186,8230,27631,19492,146.085,47.11,29.36,0,0,PARTNERSHIP,1822207.67,0
2013,39756a4ffd0fe83b,93126886948716b9,3,5_9,575466,4875,4697,18998,12504,7344,34038,162.351,79.6,53.72,0,0,OTHER,2272442.07,0
2017,b3d331518e416572,cb0d434f46a20b20,42,5_9,710904,1756,221,1513,23212,48496,41744,131.419,79.27,59.1,1,0,SOLE_PROP,1419738.24,0
2024,d527b1410052cf62,57f40419cb0f6f3d,41,1000_PLUS,747320,4665,2909,3285,13129,39305,34199,112.11,32.66,7.07,0,0,SOLE_PROP,1118486.55,0
2016,1e34c276adda1312,5e86b0ac1dea72b0,89,1_4,165840,3004,3210,2578,267,38670,31425,147.987,32.66,5.42,0,0,OTHER,1373246.08,0
2017,34af0da7f6638bcc,ffa5ae4f60235b5c,26,100_249,182148,3328,656,20548,16942,49721,36998,113.885,76.73,54.97,0,1,LLC,1994698.37,0
2010,f40e9b5aa85e6cfe,f9975cddc00c3821,82,100_249,988226,4515,3257,22709,4009,13020,45712,168.18,87.88,21.18,0,0,SOLE_PROP,1951268.04,0
2013,078957e80aaa17d2,a409ba017f15ce60,65,50_99,542492,3013,2507,1046,22612,7518,2896,163.16,90.38,23.83,0,1,SOLE_PROP,2470472.44,0
2006,016e17886c2d88e1,9e78078655e941e0,9,100_249,148253,1434,54,5844,24802,37297,27565,149.785,11.7,7.64,0,0,CORPORATION,1472863.38,0
2020,3a34d80964a60bc1,805c628700952958,84,100_249,759890,1886,4570,23926,22818,46733,38098,71.387,70.6,24.31,0,0,CORPORATION,215842.71,0
2024,979d749c941bc1d5,9270354ade8c356d,36,50_99,509310,1066,2784,24126,977,9128,48432,191.071,7.78,4.4,0,0,LLC,2221432.09,0
2015,4b1a4a8c023d7721,276f0036399d983a,24,5_9,466293,2964,1702,20747,17125,44999,37667,82.358,42.85,30.98,0,0,LLC,2124421.97,0
2006,e4e8873e7a34c612,2cb24fb92879e1cf,44,20_49,841989,1255,2522,21850,12058,45867,37609,150.551,27.53,6.34,0,1,CORPORATION,924391.34,0
2012,f5118d635f430f3c,a1c745da99032a70,27,50_99,340621,114,3856,786,12948,13640,27916,28.001,4.94,3.33,0,0,COOP,560514.76,0
2017,1375f820652809fc,0d7dd9ce31d71975,33,10_19,624527,3823,4294,14612,9428,22173,28800,178.713,53.02,22.63,0,0,LLC,1555109.54,0
2018,3a3357ac84710fe2,17f87f6a0bdb6515,2,50_99,214858,976,4363,23118,7581,25719,22788,11.858,16.56,2.94,0,0,OTHER,1695481.91,0
2014,30f96210855df642,b77c8fd8e762e297,63,50_99,532799,1889,4976,19619,7683,40068,25512,91.837,55.73,22.64,0,1,LLC,1577053.43,0
