civ_part_reference_year,civ_part_instrument_type_code,civ_part_topic_policy_area_code,civ_part_submission_date,civ_part_member_state_iso2,civ_part_petition_id_hash,civ_part_signatures_count,civ_part_signature_threshold_reached_flag,civ_part_eci_registration_decision_code,civ_part_response_publication_date,civ_part_consultation_id_hash,civ_part_responses_count,civ_part_stakeholder_group_code,civ_part_ngos_participation_count,civ_part_business_participation_count,civ_part_citizen_participation_count,civ_part_feedback_summary_published_flag,civ_part_follow_up_action_code,civ_part_source_portal,civ_part_data_extract_date
2019,PETITION,TRANSPORT,2019-07-12,LV,fc8e2715bc5e36bc35f0eeb0,354285,0,,2020-08-23,,21932,ACADEMIA,598,619,45893,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-10-14
2020,PETITION,DATA_GOV,2020-08-24,SE,a72252ef4419f85c6c404c75,41486,0,,2021-05-07,,111855,NGO,1526,188,37243,1,REVIEW,YOUR_VOICE_EUROPE,2024-08-13
2021,PETITION,FINANCE,2021-09-08,DE,121ec6948a40b6a6d03371f8,307371,1,,2022-02-08,,36124,BUSINESS,53,884,54486,1,FUNDING_CALL,EUROPA_FORUMS,2026-01-24
2022,PETITION,SPACE,2022-06-18,PT,adacc050f14b0dd24540e080,651667,1,,2022-09-08,,146824,CITIZENS,635,7,249322,1,NO_ACTION,ECI_REGISTER,2024-01-15
2023,PETITION,AGRICULTURE,2023-01-04,CZ,ac18c24ada24c1fbc70b2878,1135575,0,,2024-02-29,,54303,MIXED,512,2310,64076,0,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-09-09
2024,PETITION,DIGITAL,2024-06-14,LT,6d40dcd53cedaf7a57b83ac4,1565796,0,,,,33610,PUBLIC_AUTHORITY,763,499,60871,1,COMMUNICATION,OPEN_DATA_PORTAL,2026-01-31
2025,PETITION,MIGRATION,2025-05-22,AT,5cb8ada6e8931c52f7fbe6d6,1208206,0,,,,136957,ACADEMIA,648,883,68586,0,IMPLEMENTATION,YOUR_VOICE_EUROPE,2025-10-14
2012,PETITION,CLIMATE,2012-02-07,GR,2875f01f8faac9546e4363ee,1133667,0,,2013-01-18,,94222,NGO,616,121,38770,1,REVIEW,EUROPA_FORUMS,2026-01-05
2013,PETITION,SECURITY,2013-12-02,RO,77718be1dad15b534c137c61,1068657,0,,,,94782,BUSINESS,136,822,42028,0,FUNDING_CALL,ECI_REGISTER,2024-05-17
2014,PETITION,ENERGY,2014-08-21,DK,fc66bda15e56b1bfb7a44356,557977,1,,,,45914,CITIZENS,534,364,273144,1,NO_ACTION,EU_PETITIONS_PORTAL,2025-05-11
2015,PETITION,CONSUMER,2015-07-23,LU,0141822f8f480c322db1651a,142093,0,,,,44100,MIXED,188,1928,26324,0,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-10-21
2016,PETITION,HEALTH,2016-08-26,BE,a5678bca71a48831ffd0b531,2489,0,,,,117026,PUBLIC_AUTHORITY,489,1126,41041,0,COMMUNICATION,YOUR_VOICE_EUROPE,2025-07-07
2017,PETITION,COMPETITION,2017-05-17,HU,7287de01d12619b63b5d4a07,1466847,0,,,,129010,ACADEMIA,494,578,124357,1,IMPLEMENTATION,EUROPA_FORUMS,2024-12-11
2018,PETITION,TRANSPORT,2018-04-25,SK,230c634e21f5cd60728817b2,1496467,0,,2019-09-26,,15471,NGO,982,988,81841,0,REVIEW,ECI_REGISTER,2025-08-06
2019,PETITION,DATA_GOV,2019-01-19,EE,e478c5c950d8944cf63016a5,353093,1,,2019-06-14,,116845,BUSINESS,223,1948,96651,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2026-02-02
2020,PETITION,FINANCE,2020-12-25,MT,460bcfc5bcb15de0989c60ba,400524,0,,2021-12-07,,36187,CITIZENS,627,1101,223642,1,NO_ACTION,OPEN_DATA_PORTAL,2025-08-24
2021,PETITION,SPACE,2021-06-28,BG,62a82047974c2404799a0e9a,428576,1,,,,141415,MIXED,634,566,123334,0,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2024-01-05
2022,PETITION,AGRICULTURE,2022-09-06,IE,123921fb7aebee07e8b809b2,829372,1,,2023-06-27,,78423,PUBLIC_AUTHORITY,511,537,82690,0,COMMUNICATION,EUROPA_FORUMS,2024-11-08
2023,PETITION,DIGITAL,2023-04-03,SI,5224a754f806ba98399c3640,1278785,0,,2023-09-27,,53901,ACADEMIA,67,478,94138,1,IMPLEMENTATION,ECI_REGISTER,2024-07-19
2024,PETITION,MIGRATION,2024-06-04,FI,639a5b5771a6a1b6b428ec6c,1119700,0,,2025-06-05,,149828,NGO,604,873,127642,0,REVIEW,EU_PETITIONS_PORTAL,2024-05-24
2025,PETITION,CLIMATE,2025-02-01,NL,a2a2d935f6e532af353c52dd,736080,0,,2025-06-21,,57094,BUSINESS,727,2280,113184,1,FUNDING_CALL,OPEN_DATA_PORTAL,2025-03-07
2012,PETITION,SECURITY,2012-12-27,HR,d94f8d4d9a95432bbbc642c8,985248,1,,,,29456,CITIZENS,679,7,130560,1,NO_ACTION,YOUR_VOICE_EUROPE,2025-11-17
2013,PETITION,ENERGY,2013-09-05,IT,dbc2a81fed3eddb36335d893,630156,1,,,,62170,MIXED,786,1194,11350,1,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-03-18
2014,PETITION,CONSUMER,2014-03-21,ES,ebfc04a7640e5f1136dc8dee,1411584,1,,2015-08-16,,11390,PUBLIC_AUTHORITY,407,581,143646,1,COMMUNICATION,ECI_REGISTER,2025-05-11
2015,PETITION,HEALTH,2015-11-05,FR,60dd19d6c574cec8cd9ec53f,15387,0,,,,39779,ACADEMIA,696,435,149612,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-05-29
2016,PETITION,COMPETITION,2016-11-19,PL,a55ec8dcd2ffd9c2178ef020,1194214,0,,,,92624,NGO,1092,1016,63494,0,REVIEW,OPEN_DATA_PORTAL,2024-07-20
2017,PETITION,TRANSPORT,2017-02-27,CY,33d6b62054b7007cf4816bb1,51062,0,,2017-06-07,,134563,BUSINESS,500,1634,23183,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2024-11-11
2018,PETITION,DATA_GOV,2018-04-19,LV,b3f5fb91b099bdc6265744c5,277682,1,,,,62027,CITIZENS,632,549,15476,1,NO_ACTION,EUROPA_FORUMS,2025-05-19
2019,PETITION,FINANCE,2019-06-09,SE,68391d16448c1c6a59415950,1165878,0,,,,13161,MIXED,822,1102,236274,0,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-08-19
2020,PETITION,SPACE,2020-12-14,DE,42a81701806435eb2d1678f9,116639,0,,,,88695,PUBLIC_AUTHORITY,240,500,131776,0,COMMUNICATION,EU_PETITIONS_PORTAL,2025-11-27
2021,PETITION,AGRICULTURE,2021-06-28,PT,b9d6e083ba5850a1c62acce7,370966,0,,2022-01-26,,40660,ACADEMIA,702,848,10902,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2025-11-28
2022,PETITION,DIGITAL,2022-07-04,CZ,5c9e80049246c6fd6ef6f819,950304,0,,,,83626,NGO,172,533,84514,1,REVIEW,YOUR_VOICE_EUROPE,2025-11-28
2023,PETITION,MIGRATION,2023-09-14,LT,3f6d1bdfc9a70929bb4bdc09,901192,1,,,,46766,BUSINESS,173,2112,127255,1,FUNDING_CALL,EUROPA_FORUMS,2025-02-19
2024,PETITION,CLIMATE,2024-06-14,AT,a45be06b63389f07ee6d2afe,1148602,0,,2025-02-28,,76857,CITIZENS,48,827,65310,1,NO_ACTION,ECI_REGISTER,2025-09-22
2025,PETITION,SECURITY,2025-03-24,GR,d7eb4934041673f0859f928e,945618,0,,,,82759,MIXED,794,2212,58448,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-09-18
2012,PETITION,ENERGY,2012-07-19,RO,0493758528b2916d3cdd5db3,1388021,0,,2013-05-21,,122817,PUBLIC_AUTHORITY,92,468,102926,1,COMMUNICATION,OPEN_DATA_PORTAL,2025-04-24
2013,PETITION,CONSUMER,2013-12-06,DK,b3a7f278cd3e7d5671fa01b4,844010,0,,2015-04-16,,22928,ACADEMIA,427,1168,122724,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2024-03-11
2014,PETITION,HEALTH,2014-12-12,LU,de3e8548ef83a166873fd63a,1073150,0,,2015-07-15,,77422,NGO,1450,189,53384,1,REVIEW,EUROPA_FORUMS,2025-11-29
2015,PETITION,COMPETITION,2015-02-19,BE,70749e7929c448679f13b998,1280134,0,,2015-05-28,,96412,BUSINESS,750,1114,44869,1,FUNDING_CALL,ECI_REGISTER,2024-04-25
2016,PETITION,TRANSPORT,2016-10-06,HU,d58ddd06b4d717ca11cc82f5,1659171,0,,2018-02-04,,141727,CITIZENS,132,645,78606,0,NO_ACTION,EU_PETITIONS_PORTAL,2024-06-16
2017,PETITION,DATA_GOV,2017-08-13,SK,4d76ad8ced3b8a5fb7394c2b,1577009,1,,2018-08-30,,116812,MIXED,606,864,244144,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2026-02-05
2018,PETITION,FINANCE,2018-04-22,EE,7368800e012ccbccba950949,1003112,0,,,,124400,PUBLIC_AUTHORITY,662,596,146319,0,COMMUNICATION,YOUR_VOICE_EUROPE,2024-01-06
2019,PETITION,SPACE,2019-02-08,MT,bb60af4825751233b6c20f17,688704,1,,2020-05-24,,18039,ACADEMIA,614,195,67012,1,IMPLEMENTATION,EUROPA_FORUMS,2024-08-07
2020,PETITION,AGRICULTURE,2020-06-22,BG,d4a8ba6adb0f010200e33c64,873499,0,,2021-10-03,,76912,NGO,980,709,135287,1,REVIEW,ECI_REGISTER,2024-09-10
2021,PETITION,DIGITAL,2021-05-07,IE,8967c8e62418cac497111ba2,1353119,0,,,,38285,BUSINESS,52,1822,96089,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-01-07
2022,PETITION,MIGRATION,2022-03-02,SI,6191a567ccb1c45b59d996c7,120311,0,,2022-08-28,,18614,CITIZENS,733,1113,58010,1,NO_ACTION,OPEN_DATA_PORTAL,2024-11-23
2023,PETITION,CLIMATE,2023-03-15,FI,2a8d3a954c60a26348c78d60,169408,0,,2024-03-13,,46843,MIXED,1600,1146,1682,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2024-12-06
2024,PETITION,SECURITY,2024-09-21,NL,3b70126ebf41843b9d3073e7,979847,0,,2025-04-19,,75211,PUBLIC_AUTHORITY,630,78,50815,1,COMMUNICATION,EUROPA_FORUMS,2025-06-03
2025,PETITION,ENERGY,2025-06-03,HR,4db9e350845b7e65e641d49c,1540748,0,,,,23468,ACADEMIA,538,428,97907,0,IMPLEMENTATION,ECI_REGISTER,2025-10-10
2012,PETITION,CONSUMER,2012-04-08,IT,a7a0df6f62c7ca314247da80,1380039,1,,,,120560,NGO,854,37,112664,1,REVIEW,EU_PETITIONS_PORTAL,2025-09-20
2013,PETITION,HEALTH,2013-05-06,ES,bea0bca4355c2a0d8ae077fc,1567371,0,,,,113733,BUSINESS,282,1242,106233,1,FUNDING_CALL,OPEN_DATA_PORTAL,2024-04-08
2014,PETITION,COMPETITION,2014-11-18,FR,c2f4628fb3fb221a3835ef58,1388029,0,,,,53503,CITIZENS,661,260,210196,1,NO_ACTION,YOUR_VOICE_EUROPE,2025-03-03
2015,PETITION,TRANSPORT,2015-10-20,PL,f45b09daafb3dd5ee4c5209e,1693001,0,,2017-03-21,,131568,MIXED,1422,1196,122394,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-01-10
2016,PETITION,DATA_GOV,2016-09-09,CY,f6265191ff323b0b69f936c0,552893,0,,,,11435,PUBLIC_AUTHORITY,792,1055,17712,1,COMMUNICATION,ECI_REGISTER,2024-09-30
2017,PETITION,FINANCE,2017-12-03,LV,bef3b088a1f155e278f49a20,409170,0,,2018-12-22,,83696,ACADEMIA,510,248,58093,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-04-03
2018,PETITION,SPACE,2018-09-24,SE,c4c03c81de0627365321be40,830005,0,,2018-12-19,,100143,NGO,1302,754,113341,0,REVIEW,OPEN_DATA_PORTAL,2025-10-04
2019,PETITION,AGRICULTURE,2019-03-28,DE,f4cb0eb8a84a5cc76d48c904,909297,0,,,,65383,BUSINESS,370,2258,123319,1,FUNDING_CALL,YOUR_VOICE_EUROPE,2026-02-14
2020,PETITION,DIGITAL,2020-09-05,PT,3eb5ee0db1e2e66f571c2093,1688606,1,,,,135672,CITIZENS,759,65,160532,0,NO_ACTION,EUROPA_FORUMS,2024-02-03
2021,PETITION,MIGRATION,2021-06-01,CZ,dbd747eaf9935566a625e49e,1480669,0,,2022-02-17,,5595,MIXED,820,1898,172884,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2024-06-08
2022,PETITION,CLIMATE,2022-04-28,LT,d76019c02b3618adee754f38,1224226,0,,2023-07-10,,33923,PUBLIC_AUTHORITY,62,1,47058,0,COMMUNICATION,EU_PETITIONS_PORTAL,2025-02-07
2023,PETITION,SECURITY,2023-04-18,AT,c0e5a798060a842a99865e25,866240,0,,2023-08-30,,14512,ACADEMIA,333,342,87449,0,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-01-29
2024,PETITION,ENERGY,2024-02-27,GR,a568689174e74b1bf10e8d9c,871050,0,,,,5848,NGO,910,27,63451,1,REVIEW,YOUR_VOICE_EUROPE,2024-09-10
2025,PETITION,CONSUMER,2025-02-23,RO,c4eb1529494c99db8a588b31,382603,0,,2025-08-13,,133601,BUSINESS,383,1950,125468,1,FUNDING_CALL,EUROPA_FORUMS,2024-04-02
2012,PETITION,HEALTH,2012-06-04,DK,a95c976a2894a5513f0d374f,807995,0,,,,4827,CITIZENS,331,957,85412,1,NO_ACTION,ECI_REGISTER,2026-02-07
2013,PETITION,COMPETITION,2013-06-19,LU,f605b340901ba5cc1c5fac53,1171010,0,,2014-03-07,,142077,MIXED,470,1122,72386,0,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-10-06
2014,PETITION,TRANSPORT,2014-02-20,BE,b93ebcef3258b54ee24ea667,1524820,0,,2014-07-19,,136355,PUBLIC_AUTHORITY,105,165,72367,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-03-08
2015,PETITION,DATA_GOV,2015-09-17,HU,9266ce667b0b3547a288b404,661879,1,,,,81643,ACADEMIA,130,1079,118286,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2025-05-10
2016,PETITION,FINANCE,2016-10-04,SK,650c876a21188e1497c4c989,153350,0,,,,5730,NGO,798,1109,27982,1,REVIEW,EUROPA_FORUMS,2025-05-24
2017,PETITION,SPACE,2017-12-07,EE,bd07b9025611f38be0642862,887395,0,,2019-04-19,,146116,BUSINESS,767,554,79378,0,FUNDING_CALL,ECI_REGISTER,2025-02-15
2018,PETITION,AGRICULTURE,2018-08-25,MT,3c4028e5b674e72991292148,757823,0,,2019-01-26,,143052,CITIZENS,19,397,91252,0,NO_ACTION,EU_PETITIONS_PORTAL,2025-10-02
2019,PETITION,DIGITAL,2019-07-13,BG,7a1a42f898ea68679d96cba1,1167994,1,,2020-06-11,,130266,MIXED,88,1016,119942,0,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-06-05
2020,PETITION,MIGRATION,2020-07-02,IE,3de447695094284d062e6165,673327,1,,2021-08-07,,105716,PUBLIC_AUTHORITY,12,445,78179,1,COMMUNICATION,YOUR_VOICE_EUROPE,2025-02-04
2021,PETITION,CLIMATE,2021-07-03,SI,7b40d084ee95ef2f122d6945,274874,1,,2022-08-30,,83675,ACADEMIA,454,575,2391,1,IMPLEMENTATION,EUROPA_FORUMS,2024-02-09
2022,PETITION,SECURITY,2022-02-25,FI,9b8d00f2397408823998e190,947139,1,,2023-05-01,,4341,NGO,954,1164,51253,1,REVIEW,ECI_REGISTER,2025-03-04
2023,PETITION,ENERGY,2023-03-17,NL,881b881f3ae3caac2cf8c85b,858840,0,,2023-09-14,,95825,BUSINESS,18,404,26765,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-08-16
2024,PETITION,CONSUMER,2024-01-27,HR,eda4def110929286ebce65bc,1144362,0,,2024-08-26,,63345,CITIZENS,241,833,212768,0,NO_ACTION,OPEN_DATA_PORTAL,2024-10-16
2025,PETITION,HEALTH,2025-08-12,IT,b6c3777e655dd686a562c523,1379206,0,,2025-10-14,,134846,MIXED,1426,1364,131614,0,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2024-03-30
2012,PETITION,COMPETITION,2012-05-05,ES,264fbb76070ec358b1f776cc,26185,0,,2012-10-29,,131926,PUBLIC_AUTHORITY,784,1009,131843,0,COMMUNICATION,EUROPA_FORUMS,2025-10-08
2013,PETITION,TRANSPORT,2013-06-13,FR,1694738166d26437350effcc,183359,0,,,,71033,ACADEMIA,211,1164,80017,1,IMPLEMENTATION,ECI_REGISTER,2025-06-28
2014,PETITION,DATA_GOV,2014-09-22,PL,e3ebb521d2f0513bc8fd0981,1161648,0,,2015-02-12,,43569,NGO,1544,982,33461,1,REVIEW,EU_PETITIONS_PORTAL,2025-12-24
2015,PETITION,FINANCE,2015-04-13,CY,16d977ac19bb1a44fac7e440,1015991,1,,2016-08-10,,47019,BUSINESS,312,1096,121538,1,FUNDING_CALL,OPEN_DATA_PORTAL,2025-01-20
2016,PETITION,SPACE,2016-08-27,LV,acd550d85858ebcd7b27bbad,1689513,0,,,,129312,CITIZENS,633,732,138350,0,NO_ACTION,YOUR_VOICE_EUROPE,2024-06-24
2017,PETITION,AGRICULTURE,2017-06-02,SE,81fbe81887921dc7157a7dc0,289318,0,,2018-04-05,,51022,MIXED,1188,76,221782,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-08-20
2018,PETITION,DIGITAL,2018-11-19,DE,55a48d449966448a94177a55,83904,0,,2019-07-27,,91736,PUBLIC_AUTHORITY,738,77,45167,0,COMMUNICATION,ECI_REGISTER,2025-11-02
2019,PETITION,MIGRATION,2019-04-08,PT,dcddea9bc5695b0580553e81,1528734,0,,2020-05-21,,92770,ACADEMIA,507,563,131036,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-01-01
2020,PETITION,CLIMATE,2020-02-19,CZ,265d2cda88de8c6586cc1e07,86041,0,,,,121162,NGO,768,1032,128595,1,REVIEW,OPEN_DATA_PORTAL,2025-07-03
2021,PETITION,SECURITY,2021-09-26,LT,34a672d5762ef43df55b90b0,1257013,0,,2022-12-18,,17874,BUSINESS,767,562,62246,1,FUNDING_CALL,YOUR_VOICE_EUROPE,2024-08-09
2022,PETITION,ENERGY,2022-12-20,AT,6061be056b9fbd1a5326245c,1535750,0,,2024-03-18,,59544,CITIZENS,101,915,102538,1,NO_ACTION,EUROPA_FORUMS,2024-09-30
2023,PETITION,CONSUMER,2023-05-17,GR,731d0c68634ebe7a499af48c,233149,0,,,,19931,MIXED,296,2210,42238,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2024-09-04
2024,PETITION,HEALTH,2024-02-27,RO,2407854180b00d4b7e99eac9,1632808,0,,,,15529,PUBLIC_AUTHORITY,784,783,23063,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-09-20
2025,PETITION,COMPETITION,2025-07-13,DK,712ce2f30f0741393a6db750,1440494,0,,,,67515,ACADEMIA,742,697,136804,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2025-04-19
2012,PETITION,TRANSPORT,2012-01-18,LU,32b8568d64ff6d852ea89b40,810743,0,,2013-05-25,,131216,NGO,274,571,68293,0,REVIEW,YOUR_VOICE_EUROPE,2026-02-18
2013,PETITION,DATA_GOV,2013-08-18,BE,eeff2f09d4c747835b01538b,1621746,0,,2013-11-16,,133057,BUSINESS,672,668,145528,1,FUNDING_CALL,EUROPA_FORUMS,2024-10-14
2014,PETITION,FINANCE,2014-09-23,HU,03d17a925e69626f8ff640ba,446062,0,,,,30229,CITIZENS,749,333,89590,1,NO_ACTION,ECI_REGISTER,2025-10-04
2015,PETITION,SPACE,2015-12-04,SK,f9ac09967d10b0418a025b35,1467826,0,,2016-01-24,,64883,MIXED,648,2288,175020,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-07-04
2016,PETITION,AGRICULTURE,2016-10-12,EE,efd3f5115add10b94e307882,485101,1,,2017-05-20,,124463,PUBLIC_AUTHORITY,743,1024,39324,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-03-03
2017,PETITION,DIGITAL,2017-04-14,MT,73577664650f0ee3754bf764,475777,1,,2018-06-18,,91282,ACADEMIA,510,1095,99598,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2026-01-12
2018,PETITION,MIGRATION,2018-06-22,BG,7abf66239ee22bf64300a78e,999297,0,,2019-02-28,,145791,NGO,1000,33,138770,1,REVIEW,EUROPA_FORUMS,2025-08-05
2019,PETITION,CLIMATE,2019-09-27,IE,f52f1088981c9207f70c443e,830076,1,,,,6094,BUSINESS,70,1466,114815,0,FUNDING_CALL,ECI_REGISTER,2024-01-19
2020,PETITION,SECURITY,2020-11-26,SI,ba07debecb1669d17f491d73,1078448,0,,,,61003,CITIZENS,192,956,164814,1,NO_ACTION,EU_PETITIONS_PORTAL,2024-09-25
2021,PETITION,ENERGY,2021-03-25,FI,fd7334aaac71b0c8a48be13b,1589465,1,,,,16258,MIXED,672,464,288034,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2025-11-29
2022,PETITION,CONSUMER,2022-02-26,NL,35a9f9f53825b278d3becc07,78200,0,,2023-02-16,,80693,PUBLIC_AUTHORITY,186,881,118207,1,COMMUNICATION,YOUR_VOICE_EUROPE,2024-08-25
2023,PETITION,HEALTH,2023-10-06,HR,014d3fed530d6b0609b05a3a,1079443,0,,,,35119,ACADEMIA,421,768,96594,1,IMPLEMENTATION,EUROPA_FORUMS,2025-08-24
2024,PETITION,COMPETITION,2024-12-26,IT,8edcab621abc2a5d59467e16,248426,0,,2026-02-06,,140596,NGO,880,238,42962,0,REVIEW,ECI_REGISTER,2024-02-06
2025,PETITION,TRANSPORT,2025-06-26,ES,acb4603d15607a1ebce1d66f,258493,0,,,,117011,BUSINESS,644,1512,107009,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-01-26
2012,PETITION,DATA_GOV,2012-07-19,FR,dc0c66a860c10e6ebb9b5b00,1703443,0,,2013-03-12,,72663,CITIZENS,240,369,273406,0,NO_ACTION,OPEN_DATA_PORTAL,2025-07-09
2013,PETITION,FINANCE,2013-04-01,PL,d1e482c7b1f9be08f009cd46,493823,1,,2013-11-05,,121533,MIXED,1004,464,163900,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-10-06
