env_ets_reference_date,env_ets_phase_code,env_ets_allowance_type_code,env_ets_auction_platform_code,env_ets_allowances_auctioned_count,env_ets_allowances_surrendered_count,env_ets_allowances_in_circulation_count,env_ets_msr_intake_count,env_ets_msr_release_count,env_ets_allowance_price_eur_per_t,env_ets_price_change_pct,env_ets_verified_emissions_tco2,env_ets_covered_installations_count,env_ets_sector_coverage_code,env_ets_free_allocation_tco2,env_ets_innovation_fund_disbursed_eur,env_ets_modernisation_fund_disbursed_eur,env_ets_cbam_transition_flag,env_ets_data_source,env_ets_data_extract_date
2013-08-27,PHASE_3,EUAA,NATIONAL_PLATFORM,450946,471894,1615371501,21565009,11986554,4.17,4.7,1428788,894,INDUSTRY,329330,44677394.33,143448869.88,0,EC_ETS_REPORTING,2025-10-15
2013-09-09,PHASE_3,EUA,EXCH_CENTRAL,612264,589660,1645856957,12194440,10994217,9.83,5.598,698213,727,MULTI_SECTOR,76099,336082225.47,171797351.04,0,EUTL_AGGREGATE,2024-10-19
2013-09-22,PHASE_3,EUAA,ICE,572447,391838,1682553874,45734058,1785430,4.99,7.136,567315,1037,AVIATION,223082,235759303.2,123242386.67,0,MARKET_DATA_PROVIDER,2025-04-21
2013-10-05,PHASE_3,EUA,EEX,698177,600714,1710172893,55016676,6788885,4.82,-2.532,718907,1033,POWER,202370,197385051.24,194721145.61,0,EEX_AUCTION_DATA,2024-12-26
2013-10-18,PHASE_3,EUAA,NATIONAL_PLATFORM,682703,701055,1755762528,5163657,7162314,4.57,-7.125,1703785,814,MARITIME_PILOT,130776,304057259.99,50658763.97,0,EC_ETS_REPORTING,2024-01-30
2013-10-31,PHASE_3,EUA,EXCH_CENTRAL,735712,503848,1819862813,43972511,7244348,4.33,-4.044,1888284,543,INDUSTRY,419078,84737548.64,199318969.34,0,EUTL_AGGREGATE,2024-04-04
2013-11-13,PHASE_3,EUAA,ICE,670734,586433,1820439889,8165469,11670257,11.59,-3.311,767849,1105,MULTI_SECTOR,171136,45382332.48,197074055.78,0,MARKET_DATA_PROVIDER,2024-07-30
2013-11-26,PHASE_3,EUA,EEX,702281,638953,1860224595,58178476,12483110,8.9,4.268,1545702,655,AVIATION,479695,198346715.3,67256423.05,0,EEX_AUCTION_DATA,2024-06-04
2013-12-09,PHASE_3,EUAA,NATIONAL_PLATFORM,688798,687832,1882608273,19299825,16515316,7.14,-4.08,1287688,580,POWER,205186,166477165.34,45067659.46,0,EC_ETS_REPORTING,2024-06-01
2013-12-22,PHASE_3,EUA,EXCH_CENTRAL,681656,484387,1940817122,25472041,11998060,6.0,0.611,2160207,1113,MARITIME_PILOT,340826,255614759.28,4523135.24,0,EUTL_AGGREGATE,2025-03-05
2014-01-04,PHASE_3,EUAA,ICE,759120,776083,1984293079,6486298,13496015,7.17,1.228,1344845,954,INDUSTRY,489805,259446076.2,117629521.43,0,MARKET_DATA_PROVIDER,2024-08-06
2014-01-17,PHASE_3,EUA,EEX,803689,808922,1998100513,22864680,7615289,11.28,7.482,1668376,941,MULTI_SECTOR,407351,343437392.14,31830726.84,0,EEX_AUCTION_DATA,2024-05-25
2014-01-30,PHASE_3,EUAA,NATIONAL_PLATFORM,731981,686656,2036509669,5609303,7042582,5.6,-1.106,2282815,931,AVIATION,610550,333264103.63,161904069.04,0,EC_ETS_REPORTING,2024-07-17
2014-02-12,PHASE_3,EUA,EXCH_CENTRAL,707352,673194,2062366256,57788292,5999101,11.94,3.63,1034573,788,POWER,281464,2705374.9,93195705.07,0,EUTL_AGGREGATE,2025-09-03
2014-02-25,PHASE_3,EUAA,ICE,818040,594039,2102637034,24118892,11054798,5.06,5.621,2235767,844,MARITIME_PILOT,778814,16326115.63,196571931.65,0,MARKET_DATA_PROVIDER,2024-12-21
2014-03-10,PHASE_3,EUA,EEX,791680,748938,2129924271,13055945,1595069,6.67,3.231,1370709,947,INDUSTRY,293327,222408633.68,74907761.63,0,EEX_AUCTION_DATA,2024-01-29
2014-03-23,PHASE_3,EUAA,NATIONAL_PLATFORM,791463,522096,2199965997,4403668,10365302,6.3,0.809,1850520,665,MULTI_SECTOR,361343,263551771.67,181926913.95,0,EC_ETS_REPORTING,2025-03-28
2014-04-05,PHASE_3,EUA,EXCH_CENTRAL,849353,826248,2193240836,43060695,14358471,7.15,-1.247,1289861,708,AVIATION,339020,327419610.09,125111378.57,0,EUTL_AGGREGATE,2024-02-16
2014-04-18,PHASE_3,EUAA,ICE,892015,800360,2263388109,42519487,1822186,6.07,-4.017,1291611,667,POWER,452775,151648203.53,24884494.97,0,MARKET_DATA_PROVIDER,2025-04-26
2014-05-01,PHASE_3,EUA,EEX,885031,701322,2264297556,48895152,12319247,10.01,2.359,2705854,709,MARITIME_PILOT,304819,291575195.41,201123125.29,0,EEX_AUCTION_DATA,2024-09-21
2014-05-14,PHASE_3,EUAA,NATIONAL_PLATFORM,808508,628365,2324275130,30988966,9499259,8.6,1.768,2523787,848,INDUSTRY,409510,171352465.84,21144333.37,0,EC_ETS_REPORTING,2024-01-10
2014-05-27,PHASE_3,EUA,EXCH_CENTRAL,1020694,1031758,2374545692,14499478,15240207,11.93,6.811,1076850,917,MULTI_SECTOR,55567,238702910.78,60485599.48,0,EUTL_AGGREGATE,2025-07-20
2014-06-09,PHASE_3,EUAA,ICE,1074766,771567,2408338646,40679374,3553592,8.23,-4.857,1678987,775,AVIATION,512397,129246594.48,61082134.54,0,MARKET_DATA_PROVIDER,2024-03-06
2014-06-22,PHASE_3,EUA,EEX,1016037,1045659,2416855335,3848586,4124168,10.81,-7.377,1648544,866,POWER,486844,84844305.26,174650329.23,0,EEX_AUCTION_DATA,2024-04-23
2014-07-05,PHASE_3,EUAA,NATIONAL_PLATFORM,979682,792697,2452173972,37461314,8558077,11.38,0.692,1030483,970,MARITIME_PILOT,61499,209440330.52,230984159.31,0,EC_ETS_REPORTING,2025-06-30
2014-07-18,PHASE_3,EUA,EXCH_CENTRAL,1120055,1035666,2498706147,3297368,2972435,5.92,-3.267,1181510,713,INDUSTRY,283903,198943029.42,56985607.56,0,EUTL_AGGREGATE,2025-01-08
2014-07-31,PHASE_3,EUAA,ICE,1009883,901290,2527021630,29524233,10662074,4.94,-2.991,1024387,758,MULTI_SECTOR,193268,109449593.88,235667109.64,0,MARKET_DATA_PROVIDER,2024-10-09
2014-08-13,PHASE_3,EUA,EEX,983095,984764,2574464372,10135004,2805415,4.44,4.384,1581949,746,AVIATION,331641,98865941.22,238022839.01,0,EEX_AUCTION_DATA,2026-01-03
2014-08-26,PHASE_3,EUAA,NATIONAL_PLATFORM,962184,905603,2578956393,26209400,1050487,9.76,2.144,2289905,978,POWER,895976,228283308.47,116100721.23,0,EC_ETS_REPORTING,2024-02-03
2014-09-08,PHASE_3,EUA,EXCH_CENTRAL,1191165,900999,2626757269,58515570,7384542,8.98,-5.042,1642617,978,MARITIME_PILOT,654333,11917763.55,39504499.53,0,EUTL_AGGREGATE,2024-08-20
2014-09-21,PHASE_3,EUAA,ICE,1167342,924282,2671367714,50131525,7296578,5.82,-6.911,1287071,776,INDUSTRY,478785,230168828.48,188869184.54,0,MARKET_DATA_PROVIDER,2025-07-07
2014-10-04,PHASE_3,EUA,EEX,1105520,1127283,2682843207,28716695,13139969,8.8,2.076,1021817,817,MULTI_SECTOR,197656,125181794.65,170809268.95,0,EEX_AUCTION_DATA,2025-03-11
2014-10-17,PHASE_3,EUAA,NATIONAL_PLATFORM,1051512,890777,2737294805,8079424,1647500,4.02,4.659,2957501,1120,AVIATION,1268069,23648998.93,207232372.58,0,EC_ETS_REPORTING,2024-06-20
2014-10-30,PHASE_3,EUA,EXCH_CENTRAL,1232883,1171892,2765065438,26416386,4943368,8.76,-7.032,3895170,968,POWER,386041,143880030.66,69017380.94,0,EUTL_AGGREGATE,2025-10-31
2014-11-12,PHASE_3,EUAA,ICE,1080373,755683,2834895771,14801620,13485896,8.68,6.841,2299446,640,MARITIME_PILOT,475087,102259316.61,226601633.27,0,MARKET_DATA_PROVIDER,2025-06-20
2014-11-25,PHASE_3,EUA,EEX,1169116,1211166,2856062987,47202925,4477164,6.07,0.89,3266167,585,INDUSTRY,1079029,99901499.06,65709644.63,0,EEX_AUCTION_DATA,2025-03-18
2014-12-08,PHASE_3,EUAA,NATIONAL_PLATFORM,1160268,933533,2874816496,13970982,16806523,11.38,4.693,2057895,833,MULTI_SECTOR,695865,95023666.1,180306130.52,0,EC_ETS_REPORTING,2024-09-01
2014-12-21,PHASE_3,EUA,EXCH_CENTRAL,1262217,1211173,2919704206,4583646,10928362,4.13,-2.963,1901055,1054,AVIATION,783427,6826010.69,149044986.18,0,EUTL_AGGREGATE,2026-01-21
2015-01-03,PHASE_3,EUAA,ICE,1298188,934625,2934336812,50899296,4530840,8.29,2.784,1223509,606,POWER,385355,357639333.24,2167573.26,0,MARKET_DATA_PROVIDER,2024-03-16
2015-01-16,PHASE_3,EUA,EEX,1409814,957083,2963800912,5659941,10939480,7.18,-1.035,1306511,1149,MARITIME_PILOT,494325,2299430.79,136788392.27,0,EEX_AUCTION_DATA,2025-05-17
2015-01-29,PHASE_3,EUAA,NATIONAL_PLATFORM,1271758,1036496,3021537394,7699107,8979509,10.31,-4.042,2840227,720,INDUSTRY,1257463,121430530.32,114695149.47,0,EC_ETS_REPORTING,2025-08-10
2015-02-11,PHASE_3,EUA,EXCH_CENTRAL,1340184,906375,3070074069,61500001,17547467,10.57,0.746,3927317,739,MULTI_SECTOR,1285290,139118848.4,170292154.53,0,EUTL_AGGREGATE,2025-11-14
2015-02-24,PHASE_3,EUAA,ICE,1469695,1180045,3111539709,44024539,14245709,8.13,-4.176,2612661,644,AVIATION,887770,45303310.65,187730844.83,0,MARKET_DATA_PROVIDER,2025-06-11
2015-03-09,PHASE_3,EUA,EEX,1317446,1302775,3137684817,49388112,7849665,5.45,-4.334,2734207,1066,POWER,559510,331192875.55,113327604.91,0,EEX_AUCTION_DATA,2026-02-12
2015-03-22,PHASE_3,EUAA,NATIONAL_PLATFORM,1358540,1141982,3148732507,7316448,3420029,8.26,-3.613,1521378,854,MARITIME_PILOT,148872,19514807.27,35935684.79,0,EC_ETS_REPORTING,2024-06-22
2015-04-04,PHASE_3,EUA,EXCH_CENTRAL,1511490,1334022,3177071845,29925981,16898870,7.07,-2.64,4178299,936,INDUSTRY,1473097,356954629.62,184783032.75,0,EUTL_AGGREGATE,2025-07-20
2015-04-17,PHASE_3,EUAA,ICE,1381750,1277151,3233159171,38873847,13423185,6.25,-0.94,3970374,806,MULTI_SECTOR,1121298,118091023.71,92626977.42,0,MARKET_DATA_PROVIDER,2025-12-01
2015-04-30,PHASE_3,EUA,EEX,1373242,1320560,3270724256,22585945,11439479,9.12,-3.75,1571595,1039,AVIATION,316356,124919061.41,104315904.19,0,EEX_AUCTION_DATA,2026-01-26
2015-05-13,PHASE_3,EUAA,NATIONAL_PLATFORM,1455661,1112281,3294325447,7994148,4864670,5.48,5.301,1315847,832,POWER,446012,265936664.3,31906939.84,0,EC_ETS_REPORTING,2025-06-01
2015-05-26,PHASE_3,EUA,EXCH_CENTRAL,1402767,1437592,3347146819,59769123,2886639,5.38,-6.651,1594491,704,MARITIME_PILOT,684444,256835123.46,126492251.47,0,EUTL_AGGREGATE,2025-06-19
2015-06-08,PHASE_3,EUAA,ICE,1508636,1213829,3367956972,42222130,2260493,6.03,3.383,3006656,642,INDUSTRY,887400,229461750.98,186656879.11,0,MARKET_DATA_PROVIDER,2025-11-13
2015-06-21,PHASE_3,EUA,EEX,1616959,1248668,3429643316,19968267,8658229,4.63,6.196,3252842,757,MULTI_SECTOR,1151122,349544953.67,172092284.3,0,EEX_AUCTION_DATA,2026-01-06
2015-07-04,PHASE_3,EUAA,NATIONAL_PLATFORM,1445587,1095978,3444701572,30837827,13711545,5.35,4.516,1974044,1024,AVIATION,341998,5692308.7,129805453.64,0,EC_ETS_REPORTING,2025-03-06
2015-07-17,PHASE_3,EUA,EXCH_CENTRAL,1533228,1469987,3472059517,35563878,9572032,4.84,6.741,4803653,789,POWER,2076869,294794535.28,127986512.49,0,EUTL_AGGREGATE,2025-09-29
2015-07-30,PHASE_3,EUAA,ICE,1671909,1557431,3498015944,7204252,297499,8.31,-5.747,3945085,957,MARITIME_PILOT,1054002,270338369.75,137956299.86,0,MARKET_DATA_PROVIDER,2024-04-17
2015-08-12,PHASE_3,EUA,EEX,1518066,1098307,3526598603,41361456,12533658,4.78,-7.22,2244440,1107,INDUSTRY,710456,356825618.48,47863619.69,0,EEX_AUCTION_DATA,2024-01-02
2015-08-25,PHASE_3,EUAA,NATIONAL_PLATFORM,1693528,1569036,3573621933,2173539,5579200,7.86,2.839,3092393,947,MULTI_SECTOR,948629,262556461.1,124306272.39,0,EC_ETS_REPORTING,2024-09-11
2015-09-07,PHASE_3,EUA,EXCH_CENTRAL,1733025,1297071,3638749893,36564541,12504384,5.6,-2.366,1713129,1083,AVIATION,499553,241720772.79,128049007.82,0,EUTL_AGGREGATE,2026-01-08
2015-09-20,PHASE_3,EUAA,ICE,1633392,1396542,3655586937,58793578,403316,4.89,0.416,2989100,603,POWER,1110183,83333875.1,117123273.84,0,MARKET_DATA_PROVIDER,2025-03-22
2015-10-03,PHASE_3,EUA,EEX,1692501,1613876,3669387391,48118146,9818905,8.57,2.453,4290888,655,MARITIME_PILOT,935619,260969695.28,112579100.61,0,EEX_AUCTION_DATA,2025-12-09
2015-10-16,PHASE_3,EUAA,NATIONAL_PLATFORM,1613910,1511585,3737612664,54680620,17575013,9.1,6.957,4616243,581,INDUSTRY,322237,321161103.26,95609490.88,0,EC_ETS_REPORTING,2024-11-04
2015-10-29,PHASE_3,EUA,EXCH_CENTRAL,1622678,1276611,3737927943,16765251,11969163,4.4,0.954,1594257,859,MULTI_SECTOR,463055,150370167.72,95654552.04,0,EUTL_AGGREGATE,2026-02-15
2015-11-11,PHASE_3,EUAA,ICE,1730701,1757684,3808917264,5652936,4861984,4.69,1.513,1748812,1063,AVIATION,554684,304556963.06,164848089.45,0,MARKET_DATA_PROVIDER,2025-09-24
2015-11-24,PHASE_3,EUA,EEX,1704532,1666092,3811121601,39036448,8460643,5.16,0.222,5097349,959,POWER,2142885,20871478.95,129885349.16,0,EEX_AUCTION_DATA,2025-12-29
2015-12-07,PHASE_3,EUAA,NATIONAL_PLATFORM,1850293,1492487,3878012544,42090046,17817975,6.34,-0.511,5666540,1048,MARITIME_PILOT,2344737,170640918.35,46322402.75,0,EC_ETS_REPORTING,2024-08-16
2015-12-20,PHASE_3,EUA,EXCH_CENTRAL,1766676,1692465,3889551325,3480163,11984494,9.46,-0.708,4608146,701,INDUSTRY,731062,351239838.15,227716427.55,0,EUTL_AGGREGATE,2025-06-13
2016-01-02,PHASE_3,EUAA,ICE,1874914,1864430,3931120879,38589549,15719816,23.78,-4.602,4970412,1161,MULTI_SECTOR,1106954,259371339.88,129780350.59,0,MARKET_DATA_PROVIDER,2024-04-16
2016-01-15,PHASE_3,EUA,EEX,1913581,1997660,3975227611,49471814,7684860,7.43,-6.781,5082848,782,AVIATION,2232391,214143907.85,207189126.64,0,EEX_AUCTION_DATA,2024-08-12
2016-01-28,PHASE_3,EUAA,NATIONAL_PLATFORM,1866694,1572669,4016879659,30013944,15686744,18.66,-4.219,2188037,927,POWER,367068,249003999.86,206203299.12,0,EC_ETS_REPORTING,2025-06-18
2016-02-10,PHASE_3,EUA,EXCH_CENTRAL,2010763,1653166,4042219924,20548470,4076516,16.54,-4.099,3828235,1008,MARITIME_PILOT,276174,325975325.58,202966803.59,0,EUTL_AGGREGATE,2024-04-27
2016-02-23,PHASE_3,EUAA,ICE,1804904,1339650,4075722330,48905513,15657850,15.36,-4.805,5685388,1137,INDUSTRY,2207149,208235397.7,187835353.22,0,MARKET_DATA_PROVIDER,2026-02-06
2016-03-07,PHASE_3,EUA,EEX,1947457,1861291,4127323716,37526950,3802241,26.94,1.132,4089549,1119,MULTI_SECTOR,957493,269286179.86,10891868.18,0,EEX_AUCTION_DATA,2024-12-11
2016-03-20,PHASE_3,EUAA,NATIONAL_PLATFORM,1842454,1561244,4127093744,7870003,560267,13.56,-6.634,3063385,761,AVIATION,156593,42342610.32,201763483.17,0,EC_ETS_REPORTING,2024-05-15
2016-04-02,PHASE_3,EUA,EXCH_CENTRAL,2078707,2037703,4190681928,24397834,5422896,27.48,7.252,2233654,749,POWER,464444,221441687.5,137806999.5,0,EUTL_AGGREGATE,2025-08-12
2016-04-15,PHASE_3,EUAA,ICE,1935472,1922955,4233107689,33746073,10142246,24.06,4.178,4372204,681,MARITIME_PILOT,1088918,27044584.52,166888073.82,0,MARKET_DATA_PROVIDER,2026-02-02
2016-04-28,PHASE_3,EUA,EEX,2138035,2123575,4269369380,17798137,13823871,24.2,7.227,3257465,627,INDUSTRY,350006,29179972.86,52532629.32,0,EEX_AUCTION_DATA,2025-07-30
2016-05-11,PHASE_3,EUAA,NATIONAL_PLATFORM,2116570,1396720,4302942181,10272199,13063324,21.55,6.271,6559823,618,MULTI_SECTOR,557845,21280991.64,110955171.54,0,EC_ETS_REPORTING,2024-08-07
2016-05-24,PHASE_3,EUA,EXCH_CENTRAL,1977081,1977978,4294248129,30063328,10210350,16.28,-6.215,3375587,1192,AVIATION,445671,341077524.53,28908281.21,0,EUTL_AGGREGATE,2025-07-09
2016-06-06,PHASE_3,EUAA,ICE,2124841,1930125,4329657762,26998289,8073441,11.58,1.268,6525898,995,POWER,571363,293897542.28,41550809.45,0,MARKET_DATA_PROVIDER,2025-05-05
2016-06-19,PHASE_3,EUA,EEX,2115575,1686726,4403093030,3391928,16450922,23.9,-1.32,5542071,870,MARITIME_PILOT,618692,123689813.04,202528317.83,0,EEX_AUCTION_DATA,2024-08-04
2016-07-02,PHASE_3,EUAA,NATIONAL_PLATFORM,2099562,1376207,4441676724,3856570,1162734,14.12,-4.188,4041745,907,INDUSTRY,1627506,278666626.33,75747199.36,0,EC_ETS_REPORTING,2024-06-24
2016-07-15,PHASE_3,EUA,EXCH_CENTRAL,2149914,1583940,4469228107,54939153,11915295,20.14,-0.175,1940218,649,MULTI_SECTOR,161889,179935203.97,49491639.9,0,EUTL_AGGREGATE,2025-09-28
2016-07-28,PHASE_3,EUAA,ICE,2044124,1416527,4499620675,5451132,9505465,16.54,7.398,5464432,790,AVIATION,1767544,282197686.86,78686303.8,0,MARKET_DATA_PROVIDER,2025-10-17
2016-08-10,PHASE_3,EUA,EEX,2278313,1975479,4500758783,12057203,3116905,8.81,-0.771,6569676,613,POWER,2819500,118282743.53,98353678.39,0,EEX_AUCTION_DATA,2024-05-02
2016-08-23,PHASE_3,EUAA,NATIONAL_PLATFORM,2247075,1543148,4550306762,53666738,10445432,10.83,3.177,6412897,1135,MARITIME_PILOT,1217551,326009722.98,58832669.27,0,EC_ETS_REPORTING,2025-07-08
2016-09-05,PHASE_3,EUA,EXCH_CENTRAL,2246729,2071285,4600775320,46678272,17598869,24.88,1.727,7030865,1199,INDUSTRY,3124619,308583200.29,173060993.33,0,EUTL_AGGREGATE,2024-08-10
2016-09-18,PHASE_3,EUAA,ICE,2129039,1804773,4632133875,58211529,12285357,19.48,5.25,3307658,1098,MULTI_SECTOR,682131,228480011.34,217596425.82,0,MARKET_DATA_PROVIDER,2025-06-23
2016-10-01,PHASE_3,EUA,EEX,2269640,2305131,4655291267,949966,11051356,14.33,-1.445,5506586,639,AVIATION,1512392,172739657.4,126408056.87,0,EEX_AUCTION_DATA,2025-03-02
2016-10-14,PHASE_3,EUAA,NATIONAL_PLATFORM,2335316,1836179,4687305363,50530824,6825355,23.14,-0.511,5556388,1201,POWER,581500,29822825.49,191538453.21,0,EC_ETS_REPORTING,2025-01-24
2016-10-27,PHASE_3,EUA,EXCH_CENTRAL,2229898,2186227,4748816026,32257001,14690291,13.49,-0.412,2952619,912,MARITIME_PILOT,1253112,145034718.17,20424665.57,0,EUTL_AGGREGATE,2024-07-02
2016-11-09,PHASE_3,EUAA,ICE,2249511,1610550,4779076440,13633712,12437013,15.96,-7.473,6373717,788,INDUSTRY,1352496,342628577.98,230435457.32,0,MARKET_DATA_PROVIDER,2024-12-22
2016-11-22,PHASE_3,EUA,EEX,2217100,2145387,4782011634,4327151,15754062,15.91,0.017,2300565,1189,MULTI_SECTOR,961404,278118940.88,25810328.43,0,EEX_AUCTION_DATA,2024-12-07
2016-12-05,PHASE_3,EUAA,NATIONAL_PLATFORM,2233499,2156410,4842596621,15658989,2309513,14.67,7.07,5515702,861,AVIATION,963972,208521737.93,14670468.24,0,EC_ETS_REPORTING,2025-05-25
2016-12-18,PHASE_3,EUA,EXCH_CENTRAL,2308347,1870095,4887523227,17465300,17413148,12.47,5.438,5044392,1183,POWER,2264310,192851053.62,184498836.0,0,EUTL_AGGREGATE,2024-03-22
2016-12-31,PHASE_3,EUAA,ICE,2515472,2388931,4928666093,28088221,13249100,25.95,-3.573,3351364,782,MARITIME_PILOT,1378625,108562.71,148925745.44,0,MARKET_DATA_PROVIDER,2025-02-05
2017-01-13,PHASE_3,EUA,EEX,2480669,2545240,4930583011,38137552,14268186,25.66,6.835,4432394,952,INDUSTRY,1686288,340561251.73,212811097.68,0,EEX_AUCTION_DATA,2025-05-26
2017-01-26,PHASE_3,EUAA,NATIONAL_PLATFORM,2441029,1965139,4958836255,15607945,14583824,24.47,2.877,6647672,1213,MULTI_SECTOR,1058719,250222606.07,80342505.64,0,EC_ETS_REPORTING,2024-03-30
2017-02-08,PHASE_3,EUA,EXCH_CENTRAL,2423713,2033345,5024542666,39272174,10833037,14.74,2.102,6121324,827,AVIATION,875041,75530178.72,1186580.75,0,EUTL_AGGREGATE,2024-03-15
2017-02-21,PHASE_3,EUAA,ICE,2362910,2281834,5064721906,19142104,10077456,18.14,-0.788,5512864,669,POWER,329674,119189678.05,60648162.48,0,MARKET_DATA_PROVIDER,2024-03-16
2017-03-06,PHASE_3,EUA,EEX,2382743,2142146,5078784110,16373943,7510717,25.98,2.777,3074274,957,MARITIME_PILOT,842188,213579582.17,191345990.24,0,EEX_AUCTION_DATA,2024-03-23
2017-03-19,PHASE_3,EUAA,NATIONAL_PLATFORM,2603765,1979435,5100656041,9613585,16754841,7.67,1.532,5965309,1187,INDUSTRY,2523775,196064959.97,16396636.28,0,EC_ETS_REPORTING,2024-06-05
2017-04-01,PHASE_3,EUA,EXCH_CENTRAL,2530853,1960772,5179066226,37093894,17577340,21.24,-3.582,4987992,859,MULTI_SECTOR,1378185,225464806.6,18805280.4,0,EUTL_AGGREGATE,2025-12-16
2017-04-14,PHASE_3,EUAA,ICE,2637153,1894420,5189222292,53850141,15838820,16.06,1.013,6362458,996,AVIATION,2007807,104692452.91,133928547.03,0,MARKET_DATA_PROVIDER,2024-12-02
2017-04-27,PHASE_3,EUA,EEX,2654561,2460745,5228058618,31489155,4501275,17.71,-7.322,6475170,719,POWER,1143563,293737539.81,18600364.07,0,EEX_AUCTION_DATA,2025-05-08
2017-05-10,PHASE_3,EUAA,NATIONAL_PLATFORM,2674372,2311241,5251052060,53720639,11656275,8.59,3.43,8529857,889,MARITIME_PILOT,2697678,340253785.26,85552463.2,0,EC_ETS_REPORTING,2024-04-28
2017-05-23,PHASE_3,EUA,EXCH_CENTRAL,2510544,1725034,5273296222,43775327,11637291,9.99,-0.444,7813101,971,INDUSTRY,3082769,352900175.69,135312907.64,0,EUTL_AGGREGATE,2025-04-10
2017-06-05,PHASE_3,EUAA,ICE,2595720,1695347,5337985859,35673333,13876560,25.27,1.963,7196217,916,MULTI_SECTOR,853051,57655859.65,146733998.91,0,MARKET_DATA_PROVIDER,2025-04-28
