health_cb_reference_year,health_cb_country_of_treatment_iso2,health_cb_country_of_affiliation_iso2,health_cb_treatment_type_code,health_cb_prior_authorisation_required_flag,health_cb_cases_count,health_cb_reimbursement_amount_eur,health_cb_out_of_pocket_amount_eur,health_cb_waiting_time_avoidance_days,health_cb_patient_satisfaction_score,health_cb_denied_cases_count,health_cb_denial_reason_code,health_cb_appeals_count,health_cb_successful_appeals_count,health_cb_ehds_ready_flag,health_cb_ehealth_interoperability_flag,health_cb_data_source,health_cb_methodology_version,health_cb_last_update_date,health_cb_data_extract_date
2024,MT,FR,RARE_DISEASE_CARE,1,19045,58796758.8,19111612.75,106.99,3.65,1662,NOT_COVERED,905,690,1,1,EHDS_PILOT,CBHC_V1,2018-03-28,2024-09-20
2025,ES,PL,TELECONSULTATION,0,5973,3811465.16,426203.24,1.33,3.02,134,NO_PRIOR_AUTHORISATION,60,38,0,0,PATIENT_SURVEY,CBHC_V3,2018-04-16,2024-03-21
2006,CZ,CY,MATERNITY,0,31812,59864919.08,9097174.95,151.78,3.56,3856,CAPACITY_LIMITS,1069,671,0,1,NCP_REPORTING,CBHC_V2,2018-05-05,2025-01-02
2007,HU,LV,DIAGNOSTICS,0,33642,8287060.25,860091.02,272.68,2.88,4508,INCOMPLETE_DOCUMENTS,2178,789,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2018-05-24,2024-03-03
2008,NL,SE,REHABILITATION,1,1250,721674.19,95195.61,120.9,3.26,80,ALTERNATIVE_AVAILABLE,35,21,0,0,EHDS_PILOT,CBHC_V3,2018-06-12,2025-11-03
2009,SE,DE,CANCER_CARE,1,11163,13192893.86,1288504.17,129.32,5.14,824,MEDICAL_JUSTIFICATION,244,75,0,0,PATIENT_SURVEY,CBHC_V2,2018-07-01,2024-07-06
2010,DK,PT,PLANNED_SURGERY,1,5289,5419891.41,1095455.49,199.81,3.75,98,OTHER,7,2,0,0,NCP_REPORTING,CBHC_V1,2018-07-20,2026-01-19
2011,IE,CZ,DENTAL,0,34905,64285216.25,20232992.6,118.55,2.82,5133,NOT_COVERED,1931,866,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2018-08-08,2024-01-18
2012,PL,LT,RARE_DISEASE_CARE,1,22546,30222238.53,1652968.15,81.8,3.98,4830,NO_PRIOR_AUTHORISATION,2473,1240,0,1,EHDS_PILOT,CBHC_V2,2018-08-27,2025-06-27
2013,AT,AT,TELECONSULTATION,0,16122,29123289.3,4556760.67,77.58,2.64,351,CAPACITY_LIMITS,191,103,0,1,PATIENT_SURVEY,CBHC_V1,2018-09-15,2024-12-01
2014,EE,GR,MATERNITY,0,6592,8562570.77,619501.64,74.95,3.12,774,INCOMPLETE_DOCUMENTS,415,248,0,0,NCP_REPORTING,CBHC_V3,2018-10-04,2025-11-13
2015,IT,RO,DIAGNOSTICS,1,37631,48772490.53,10302020.1,124.62,4.44,3662,ALTERNATIVE_AVAILABLE,1509,806,1,0,INSURANCE_FUND_ADMIN,CBHC_V2,2018-10-23,2025-09-09
2016,PT,DK,REHABILITATION,0,20653,38271643.72,10433382.38,19.14,4.21,2367,MEDICAL_JUSTIFICATION,681,388,0,0,EHDS_PILOT,CBHC_V1,2018-11-11,2025-12-17
2017,BE,LU,CANCER_CARE,0,12249,2739117.97,450979.28,100.62,4.38,159,OTHER,65,34,0,0,PATIENT_SURVEY,CBHC_V3,2018-11-30,2024-11-25
2018,FI,BE,PLANNED_SURGERY,1,10460,15110171.4,1920200.54,272.91,3.84,1081,NOT_COVERED,465,348,0,0,NCP_REPORTING,CBHC_V2,2018-12-19,2024-08-17
2019,LV,HU,DENTAL,0,20104,9726819.51,670032.93,82.33,4.78,2335,NO_PRIOR_AUTHORISATION,1062,793,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2019-01-07,2024-10-06
2020,RO,SK,RARE_DISEASE_CARE,1,18824,7981614.52,606231.85,56.17,3.79,2365,CAPACITY_LIMITS,496,219,0,1,EHDS_PILOT,CBHC_V3,2019-01-26,2026-01-11
2021,BG,EE,TELECONSULTATION,1,10248,14551392.27,2301585.61,49.49,4.65,1230,INCOMPLETE_DOCUMENTS,567,272,0,1,PATIENT_SURVEY,CBHC_V2,2019-02-14,2024-02-05
2022,FR,MT,MATERNITY,1,44585,13704384.28,966692.8,91.08,3.81,3052,ALTERNATIVE_AVAILABLE,1008,310,0,1,NCP_REPORTING,CBHC_V1,2019-03-05,2025-04-16
2023,LT,BG,DIAGNOSTICS,0,24148,34399493.89,6206685.61,12.09,3.26,577,MEDICAL_JUSTIFICATION,80,48,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2019-03-24,2025-07-09
2024,SK,IE,REHABILITATION,1,35645,19876461.33,3594139.13,162.9,4.83,4569,OTHER,1769,1230,1,1,EHDS_PILOT,CBHC_V2,2019-04-12,2024-02-20
2025,HR,SI,CANCER_CARE,1,31297,52270129.89,10657871.45,71.42,4.49,3067,NOT_COVERED,1673,1014,0,1,PATIENT_SURVEY,CBHC_V1,2019-05-01,2024-06-11
2006,DE,FI,PLANNED_SURGERY,1,29023,58946960.5,11349106.28,220.3,4.81,3310,NO_PRIOR_AUTHORISATION,242,159,0,0,NCP_REPORTING,CBHC_V3,2019-05-20,2025-04-25
2007,LU,NL,DENTAL,1,15936,17061981.11,3491058.37,126.46,4.47,3287,CAPACITY_LIMITS,495,315,1,0,INSURANCE_FUND_ADMIN,CBHC_V2,2019-06-08,2025-11-12
2008,SI,HR,RARE_DISEASE_CARE,1,1233,3178511.49,560226.75,125.05,4.86,174,INCOMPLETE_DOCUMENTS,19,7,0,0,EHDS_PILOT,CBHC_V1,2019-06-27,2025-08-31
2009,CY,IT,TELECONSULTATION,0,30746,44701699.5,12320498.45,140.52,4.84,899,ALTERNATIVE_AVAILABLE,129,93,0,1,PATIENT_SURVEY,CBHC_V3,2019-07-16,2025-03-23
2010,GR,ES,MATERNITY,0,21482,44785705.58,9691794.65,3.3,3.45,220,MEDICAL_JUSTIFICATION,34,15,0,0,NCP_REPORTING,CBHC_V2,2019-08-04,2024-05-03
2011,MT,FR,DIAGNOSTICS,0,17846,26886973.43,1908860.23,224.67,3.95,554,OTHER,220,68,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2019-08-23,2024-03-09
2012,ES,PL,REHABILITATION,1,9891,10802762.55,2194950.28,199.04,4.42,1742,NOT_COVERED,894,692,0,0,EHDS_PILOT,CBHC_V3,2019-09-11,2025-01-03
2013,CZ,CY,CANCER_CARE,1,34039,48804194.96,14660615.39,146.79,4.34,3549,NO_PRIOR_AUTHORISATION,273,107,0,0,PATIENT_SURVEY,CBHC_V2,2019-09-30,2025-12-06
2014,HU,LV,PLANNED_SURGERY,1,31324,38164463.16,3970861.84,210.09,3.25,5009,CAPACITY_LIMITS,2544,1318,0,0,NCP_REPORTING,CBHC_V1,2019-10-19,2024-04-06
2015,NL,SE,DENTAL,1,52450,17095071.06,5443289.34,0.84,3.84,11067,INCOMPLETE_DOCUMENTS,1096,477,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2019-11-07,2025-11-11
2016,SE,DE,RARE_DISEASE_CARE,0,28781,25137708.9,8499403.09,89.9,2.99,405,ALTERNATIVE_AVAILABLE,30,20,1,1,EHDS_PILOT,CBHC_V2,2019-11-26,2025-04-28
2017,DK,PT,TELECONSULTATION,0,10366,6067958.14,1223304.64,162.03,3.99,548,MEDICAL_JUSTIFICATION,254,117,0,0,PATIENT_SURVEY,CBHC_V1,2019-12-15,2025-04-12
2018,IE,CZ,MATERNITY,0,20510,7872850.16,2746223.06,189.49,3.2,3018,OTHER,558,417,0,1,NCP_REPORTING,CBHC_V3,2020-01-03,2024-11-19
2019,PL,LT,DIAGNOSTICS,0,20570,3417313.85,815689.1,33.0,3.6,502,NOT_COVERED,264,123,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2020-01-22,2024-04-03
2020,AT,AT,REHABILITATION,1,51611,66048429.16,6086393.01,181.14,3.65,5032,NO_PRIOR_AUTHORISATION,2661,868,0,1,EHDS_PILOT,CBHC_V1,2020-02-10,2024-01-25
2021,EE,GR,CANCER_CARE,0,396,1258890.85,307349.09,167.86,3.52,32,CAPACITY_LIMITS,8,2,0,1,PATIENT_SURVEY,CBHC_V3,2020-02-29,2024-05-03
2022,IT,RO,PLANNED_SURGERY,1,41168,85902559.22,19489165.22,45.37,4.79,5839,INCOMPLETE_DOCUMENTS,556,293,1,1,NCP_REPORTING,CBHC_V2,2020-03-19,2024-10-09
2023,PT,DK,DENTAL,0,3770,1044404.75,132684.59,179.99,5.09,92,ALTERNATIVE_AVAILABLE,8,3,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2020-04-07,2025-08-11
2024,BE,LU,RARE_DISEASE_CARE,0,7729,14965733.22,4921691.2,46.0,3.4,399,MEDICAL_JUSTIFICATION,103,40,1,1,EHDS_PILOT,CBHC_V3,2020-04-26,2024-10-13
2025,FI,BE,TELECONSULTATION,0,26037,18245025.5,6812737.75,69.99,4.53,1684,OTHER,304,84,1,1,PATIENT_SURVEY,CBHC_V2,2020-05-15,2025-10-13
2006,LV,HU,MATERNITY,0,6466,6441126.04,2381364.42,88.97,2.65,241,NOT_COVERED,73,46,0,0,NCP_REPORTING,CBHC_V1,2020-06-03,2025-02-23
2007,RO,SK,DIAGNOSTICS,1,22385,7577237.31,524944.2,149.09,4.84,1027,NO_PRIOR_AUTHORISATION,103,61,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2020-06-22,2025-07-27
2008,BG,EE,REHABILITATION,0,5604,7987719.79,1944049.8,161.98,4.98,212,CAPACITY_LIMITS,38,21,0,0,EHDS_PILOT,CBHC_V2,2020-07-11,2025-06-05
2009,FR,MT,CANCER_CARE,1,3748,10885878.74,2924489.51,45.45,4.39,293,INCOMPLETE_DOCUMENTS,104,75,0,0,PATIENT_SURVEY,CBHC_V1,2020-07-30,2025-09-07
2010,LT,BG,PLANNED_SURGERY,1,29775,55836728.09,6384382.01,166.56,4.84,2415,ALTERNATIVE_AVAILABLE,592,365,0,0,NCP_REPORTING,CBHC_V3,2020-08-18,2024-05-06
2011,SK,IE,DENTAL,0,26122,50998691.79,5785408.51,188.55,4.54,2069,MEDICAL_JUSTIFICATION,1019,461,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2020-09-06,2025-07-25
2012,HR,SI,RARE_DISEASE_CARE,1,13693,14864752.76,5509939.88,7.15,4.5,614,OTHER,151,92,0,0,EHDS_PILOT,CBHC_V1,2020-09-25,2024-12-31
2013,DE,FI,TELECONSULTATION,0,3050,3455725.72,586921.69,32.64,3.6,135,NOT_COVERED,57,17,0,0,PATIENT_SURVEY,CBHC_V3,2020-10-14,2024-02-06
2014,LU,NL,MATERNITY,0,33296,8059630.67,2011338.27,46.93,4.58,3440,NO_PRIOR_AUTHORISATION,1254,859,1,0,NCP_REPORTING,CBHC_V2,2020-11-02,2025-12-22
2015,SI,HR,DIAGNOSTICS,0,18220,28385883.21,7623586.68,124.59,3.94,1396,CAPACITY_LIMITS,762,446,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2020-11-21,2024-02-01
2016,CY,IT,REHABILITATION,1,14514,8809102.36,1421911.66,122.48,4.6,2343,INCOMPLETE_DOCUMENTS,642,419,1,0,EHDS_PILOT,CBHC_V3,2020-12-10,2025-07-25
2017,GR,ES,CANCER_CARE,1,14618,54221057.63,5831068.66,186.32,4.92,1404,ALTERNATIVE_AVAILABLE,86,47,0,0,PATIENT_SURVEY,CBHC_V2,2020-12-29,2024-08-25
2018,MT,FR,PLANNED_SURGERY,0,29820,52964213.3,11395589.18,240.17,3.16,347,MEDICAL_JUSTIFICATION,176,77,0,0,NCP_REPORTING,CBHC_V1,2021-01-17,2026-01-31
2019,ES,PL,DENTAL,1,48170,44185735.7,2918829.25,176.39,3.11,6418,OTHER,1931,515,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2021-02-05,2024-03-16
2020,CZ,CY,RARE_DISEASE_CARE,1,11218,8913204.6,2016018.94,140.74,4.75,2337,NOT_COVERED,166,104,0,1,EHDS_PILOT,CBHC_V2,2021-02-24,2026-02-24
2021,HU,LV,TELECONSULTATION,1,1614,619506.7,185684.13,61.59,3.4,332,NO_PRIOR_AUTHORISATION,105,54,0,1,PATIENT_SURVEY,CBHC_V1,2021-03-15,2025-12-20
2022,NL,SE,MATERNITY,0,8216,13926164.35,4733479.48,104.46,3.87,110,CAPACITY_LIMITS,16,9,1,0,NCP_REPORTING,CBHC_V3,2021-04-03,2024-02-03
2023,SE,DE,DIAGNOSTICS,0,34744,21483035.93,1576357.87,99.72,3.24,3936,INCOMPLETE_DOCUMENTS,1094,461,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2021-04-22,2024-07-14
2024,DK,PT,REHABILITATION,1,35624,50820817.21,8690908.86,186.08,4.11,6652,ALTERNATIVE_AVAILABLE,1771,1152,1,0,EHDS_PILOT,CBHC_V1,2021-05-11,2025-03-23
2025,IE,CZ,CANCER_CARE,1,872,2359713.71,226118.53,136.45,3.17,149,MEDICAL_JUSTIFICATION,46,12,0,1,PATIENT_SURVEY,CBHC_V3,2021-05-30,2024-05-19
2006,PL,LT,PLANNED_SURGERY,1,27408,85747320.89,27116262.69,229.52,3.8,1297,OTHER,277,168,0,0,NCP_REPORTING,CBHC_V2,2021-06-18,2024-09-10
2007,AT,AT,DENTAL,0,42496,67199221.23,12373353.58,179.18,2.6,952,NOT_COVERED,105,48,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2021-07-07,2025-03-17
2008,EE,GR,RARE_DISEASE_CARE,1,31837,42343981.55,10440845.57,197.23,3.52,6220,NO_PRIOR_AUTHORISATION,1704,1225,0,0,EHDS_PILOT,CBHC_V3,2021-07-26,2024-04-15
2009,IT,RO,TELECONSULTATION,0,48537,23282737.05,6213918.82,57.97,3.4,5959,CAPACITY_LIMITS,918,414,0,0,PATIENT_SURVEY,CBHC_V2,2021-08-14,2024-10-24
2010,PT,DK,MATERNITY,0,23750,13819659.26,2412703.79,51.27,5.02,365,INCOMPLETE_DOCUMENTS,166,73,0,0,NCP_REPORTING,CBHC_V1,2021-09-02,2025-02-01
2011,BE,LU,DIAGNOSTICS,1,38465,6492308.52,2134457.92,187.26,2.98,3752,ALTERNATIVE_AVAILABLE,1419,893,1,0,INSURANCE_FUND_ADMIN,CBHC_V3,2021-09-21,2024-01-22
2012,FI,BE,REHABILITATION,1,16666,21876055.56,1520791.68,79.64,4.66,555,MEDICAL_JUSTIFICATION,216,58,0,0,EHDS_PILOT,CBHC_V2,2021-10-10,2024-06-02
2013,LV,HU,CANCER_CARE,0,1409,4041304.03,239583.3,51.23,3.18,96,OTHER,24,15,1,0,PATIENT_SURVEY,CBHC_V1,2021-10-29,2025-05-11
2014,RO,SK,PLANNED_SURGERY,0,20291,40613632.46,2675770.31,111.58,4.54,1037,NOT_COVERED,317,174,0,0,NCP_REPORTING,CBHC_V3,2021-11-17,2024-01-10
2015,BG,EE,DENTAL,0,18201,14613250.62,3018781.01,59.47,4.76,1465,NO_PRIOR_AUTHORISATION,296,229,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2021-12-06,2024-03-03
2016,FR,MT,RARE_DISEASE_CARE,1,15953,51587294.57,17988043.43,124.41,3.53,717,CAPACITY_LIMITS,254,173,0,0,EHDS_PILOT,CBHC_V1,2021-12-25,2025-11-08
2017,LT,BG,TELECONSULTATION,0,22068,23412016.26,4426538.06,74.58,3.43,520,INCOMPLETE_DOCUMENTS,53,40,0,0,PATIENT_SURVEY,CBHC_V3,2022-01-13,2025-01-13
2018,SK,IE,MATERNITY,0,12445,19671918.54,6735791.46,11.43,2.82,1579,ALTERNATIVE_AVAILABLE,233,108,0,0,NCP_REPORTING,CBHC_V2,2022-02-01,2024-05-10
2019,HR,SI,DIAGNOSTICS,0,19764,15042152.43,2940402.87,45.12,2.89,2164,MEDICAL_JUSTIFICATION,246,140,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2022-02-20,2026-01-01
2020,DE,FI,REHABILITATION,1,25484,22580663.8,5997921.35,55.52,3.91,1017,OTHER,334,143,0,0,EHDS_PILOT,CBHC_V3,2022-03-11,2025-05-02
2021,LU,NL,CANCER_CARE,1,10927,30145912.6,10660532.78,24.97,3.34,1990,NOT_COVERED,156,74,0,1,PATIENT_SURVEY,CBHC_V2,2022-03-30,2025-02-02
2022,SI,HR,PLANNED_SURGERY,1,1975,856942.68,183963.86,104.05,4.94,170,NO_PRIOR_AUTHORISATION,21,15,1,1,NCP_REPORTING,CBHC_V1,2022-04-18,2024-03-22
2023,CY,IT,DENTAL,0,1460,2495687.36,513510.01,47.82,2.97,171,CAPACITY_LIMITS,17,12,1,1,INSURANCE_FUND_ADMIN,CBHC_V3,2022-05-07,2025-02-03
2024,GR,ES,RARE_DISEASE_CARE,1,19256,43789776.73,11146492.78,38.83,4.1,1176,INCOMPLETE_DOCUMENTS,118,58,1,0,EHDS_PILOT,CBHC_V2,2022-05-26,2025-08-24
2025,MT,FR,TELECONSULTATION,0,23541,41214848.8,5914980.62,127.08,2.82,3228,ALTERNATIVE_AVAILABLE,841,255,0,0,PATIENT_SURVEY,CBHC_V1,2022-06-14,2024-08-12
2006,ES,PL,MATERNITY,0,18583,20490557.74,2632530.81,26.81,2.9,208,MEDICAL_JUSTIFICATION,91,61,0,1,NCP_REPORTING,CBHC_V3,2022-07-03,2024-04-24
2007,CZ,CY,DIAGNOSTICS,0,20590,8216897.66,2706734.02,179.48,2.53,3125,OTHER,1033,533,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2022-07-22,2024-07-15
2008,HU,LV,REHABILITATION,1,1846,3454875.99,935922.79,130.61,4.78,146,NOT_COVERED,8,3,0,0,EHDS_PILOT,CBHC_V1,2022-08-10,2024-07-07
2009,NL,SE,CANCER_CARE,0,26697,90519556.18,6317830.51,54.03,3.29,2146,NO_PRIOR_AUTHORISATION,1019,416,0,0,PATIENT_SURVEY,CBHC_V3,2022-08-29,2024-07-23
2010,SE,DE,PLANNED_SURGERY,1,18918,10180189.86,2993524.5,250.88,4.31,743,CAPACITY_LIMITS,158,66,0,0,NCP_REPORTING,CBHC_V2,2022-09-17,2026-01-13
2011,DK,PT,DENTAL,0,22567,40001616.41,9080194.64,199.99,2.98,850,INCOMPLETE_DOCUMENTS,321,115,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2022-10-06,2024-12-08
2012,IE,CZ,RARE_DISEASE_CARE,0,622,2369862.19,235338.32,173.28,5.03,53,ALTERNATIVE_AVAILABLE,15,7,0,0,EHDS_PILOT,CBHC_V3,2022-10-25,2025-08-29
2013,PL,LT,TELECONSULTATION,0,21830,6260751.51,1547831.53,127.41,4.19,1957,MEDICAL_JUSTIFICATION,394,266,0,0,PATIENT_SURVEY,CBHC_V2,2022-11-13,2024-06-16
2014,AT,AT,MATERNITY,0,53264,9941875.37,1034410.46,30.06,4.09,626,OTHER,295,117,0,0,NCP_REPORTING,CBHC_V1,2022-12-02,2024-01-21
2015,EE,GR,DIAGNOSTICS,0,18526,8976055.76,1645707.94,297.51,5.0,1894,NOT_COVERED,669,366,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2022-12-21,2024-03-21
2016,IT,RO,REHABILITATION,1,20475,16263699.68,5986290.33,88.15,3.63,1415,NO_PRIOR_AUTHORISATION,382,163,0,0,EHDS_PILOT,CBHC_V2,2023-01-09,2024-11-09
2017,PT,DK,CANCER_CARE,1,5417,9987555.79,898170.64,56.92,4.65,492,CAPACITY_LIMITS,103,37,0,1,PATIENT_SURVEY,CBHC_V1,2023-01-28,2024-06-02
2018,BE,LU,PLANNED_SURGERY,0,37179,16538912.81,5237906.36,238.07,4.45,5458,INCOMPLETE_DOCUMENTS,1381,725,0,0,NCP_REPORTING,CBHC_V3,2023-02-16,2024-11-03
2019,FI,BE,DENTAL,0,32641,32074596.72,9650527.76,136.26,4.06,1474,ALTERNATIVE_AVAILABLE,373,125,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2023-03-07,2024-01-17
2020,LV,HU,RARE_DISEASE_CARE,1,6961,5299487.28,987894.51,23.56,4.3,1129,MEDICAL_JUSTIFICATION,533,207,0,0,EHDS_PILOT,CBHC_V1,2023-03-26,2024-04-14
2021,RO,SK,TELECONSULTATION,0,15850,2566853.37,830716.54,34.67,2.43,2194,OTHER,516,180,0,0,PATIENT_SURVEY,CBHC_V3,2023-04-14,2024-01-20
2022,BG,EE,MATERNITY,0,11032,9326184.66,1716538.77,195.54,4.54,1552,NOT_COVERED,821,435,1,1,NCP_REPORTING,CBHC_V2,2023-05-03,2025-01-27
2023,FR,MT,DIAGNOSTICS,0,16649,37534679.24,3015333.24,30.55,3.65,967,NO_PRIOR_AUTHORISATION,194,71,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2023-05-22,2024-09-03
2024,LT,BG,REHABILITATION,1,22696,26046091.28,3818797.75,128.14,3.03,2636,CAPACITY_LIMITS,1129,433,0,1,EHDS_PILOT,CBHC_V3,2023-06-10,2024-04-12
2025,SK,IE,CANCER_CARE,0,22952,81577190.41,18973109.75,35.48,3.63,2712,INCOMPLETE_DOCUMENTS,396,153,0,0,PATIENT_SURVEY,CBHC_V2,2023-06-29,2025-07-31
2006,HR,SI,PLANNED_SURGERY,1,28724,95596885.66,25278001.97,188.47,3.84,6139,ALTERNATIVE_AVAILABLE,2817,1591,0,0,NCP_REPORTING,CBHC_V1,2023-07-18,2025-10-16
2007,DE,FI,DENTAL,0,44417,59469319.06,16857017.55,92.6,4.15,2021,MEDICAL_JUSTIFICATION,899,685,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2023-08-06,2025-05-23
2008,LU,NL,RARE_DISEASE_CARE,1,24250,54680516.05,10670118.82,158.41,4.77,1056,OTHER,517,248,1,0,EHDS_PILOT,CBHC_V2,2023-08-25,2025-11-04
2009,SI,HR,TELECONSULTATION,0,21305,40712705.27,7478299.38,171.62,2.52,744,NOT_COVERED,338,223,0,0,PATIENT_SURVEY,CBHC_V1,2023-09-13,2025-08-24
2010,CY,IT,MATERNITY,0,17025,32399555.77,4991053.52,144.17,3.18,430,NO_PRIOR_AUTHORISATION,111,58,0,0,NCP_REPORTING,CBHC_V3,2023-10-02,2024-12-07
2011,GR,ES,DIAGNOSTICS,0,26831,7627554.85,654872.38,276.89,3.48,1990,CAPACITY_LIMITS,167,49,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2023-10-21,2024-09-22
2012,MT,FR,REHABILITATION,0,24293,18314794.75,4862487.86,18.38,3.76,3563,INCOMPLETE_DOCUMENTS,898,320,0,1,EHDS_PILOT,CBHC_V1,2023-11-09,2025-02-06
2013,ES,PL,CANCER_CARE,0,22283,18772601.36,1618467.37,100.61,4.0,485,ALTERNATIVE_AVAILABLE,246,84,1,0,PATIENT_SURVEY,CBHC_V3,2023-11-28,2024-06-02
2014,CZ,CY,PLANNED_SURGERY,1,12257,5114863.03,1481079.52,36.82,4.22,185,MEDICAL_JUSTIFICATION,22,7,0,0,NCP_REPORTING,CBHC_V2,2023-12-17,2025-06-09
2015,HU,LV,DENTAL,0,16062,17132511.64,5027847.21,21.01,4.62,181,OTHER,60,39,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2024-01-05,2024-10-23
2016,NL,SE,RARE_DISEASE_CARE,1,52856,50300890.51,10579114.37,62.86,3.8,2008,NOT_COVERED,681,255,0,0,EHDS_PILOT,CBHC_V3,2024-01-24,2025-03-30
