econ_output_mospi_release_quarter,econ_output_district_cluster_code,econ_output_industry_nic_2,econ_output_gross_output_current_inr,econ_output_gross_output_real_chain,econ_output_value_added_current_inr,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_ncoial_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2017-Q4,DCL100010,73,89043344757.52,115500528810.33,94060382390.96,21138936195.41,158922732042.6,294890.43,50536455756.6,3136333997.72,5402289879.38,19742122151.56,8787163558.77,7447945824.37,170.748,2277321,87.162,R1,2017
2017-Q4,DCL100011,96,189244264771.03,123471482394.37,73511755650.02,33766748262.28,144378953917.23,211068.66,27890493268.32,26427205621.4,4465666492.96,13543443572.88,12237849175.7,7412401491.76,151.74,1639423,99.251,R2,2013
2016-Q3,DCL100012,87,87558559704.51,147389444359.33,113200449983.86,14014185495.06,116029529618.06,220547.72,20472447954.66,1527442418.45,7292282123.43,6104659952.79,3531471087.92,5932498741.03,171.602,2917487,106.755,R2,2017
2021-Q3,DCL100013,94,110825255633.47,116948860063.4,76941496498.61,22303213811.34,78509625730.59,359554.4,30232218881.64,18054929053.36,9588884206.84,1028719887.85,549304762.09,2728286710.3,137.104,2576601,123.05,R1,2015
2023-Q2,DCL100014,07,105943924833.09,115354178299.04,14010621350.17,84974921180.61,126947852470.42,370275.33,390977357.09,25728020524.75,1903861350.2,9769389279.32,13185410854.59,7484965459.84,155.697,2198560,102.432,R1,2011
2019-Q2,DCL100015,04,61779605042.92,58360963092.96,87440844424.3,37028582732.58,142249035055.56,133889.45,5235033194.5,9688387361.84,8512022678.54,2255322176.09,8382035657.11,469876239.87,115.342,2321368,113.041,R0,2015
2016-Q1,DCL100016,80,10247930989.26,47432391724.31,71711676057.54,24269964115.47,82997681953.26,116783.67,44824386799.94,25776609112.03,8226770969.24,6625206225.47,11822015962.07,2531420515.68,169.274,356995,154.038,R1,2012
2019-Q2,DCL100017,67,159355263971.45,127714362668.29,45104068958.61,49710302844.03,33907494636.94,222442.59,28130279578.53,331318313.11,52885825.43,5861979572.25,6352850547.08,3978886380.17,158.436,2312094,114.352,R1,2014
2023-Q4,DCL100018,31,169893803554.51,7185228041.85,16948680325.49,37057788428.56,175962901503.75,141062.43,29625751922.3,255488309.25,5374382762.13,12829822131.49,6832509207.82,7717517332.7,147.628,2429561,156.935,R3,2011
2018-Q4,DCL100019,82,172037533612.71,127588757023.63,44110538569.93,39883519708.73,25240896610.79,253796.05,8009242854.74,10119678112.3,449555038.66,268954399.39,2302252859.62,7470942305.61,177.863,1766062,145.999,R2,2015
2016-Q2,DCL100020,80,41604440722.92,95136492603.14,88950280184.04,1663298353.03,2876745062.7,233435.02,38154950527.38,7709354174.94,9382564810.6,12816830733.56,1504971335.12,1170326739.61,92.862,2123633,68.882,R2,2018
2018-Q3,DCL100021,01,177571615864.19,60898479838.37,55392383830.95,25640414661.92,155448879949.84,293092.77,52712279027.02,11832852591.59,7885773875.93,18582554445.18,3818141010.92,4987001073.36,128.713,2312868,87.337,R3,2020
2024-Q1,DCL100022,42,170453677182.67,8599772066.85,113542478190.32,30805215798.96,168126551972.92,334381.82,63395171245.45,24278189562.04,7517280859.73,14024438278.89,7049959757.52,3285611734.95,132.549,2428408,95.062,R3,2011
2020-Q2,DCL100023,69,70494869412.87,37790702036.48,1155673140.44,76395429769.5,104658352871.28,81495.28,48527723645.14,22973994385.85,1750311698.9,6053751902.3,8096809541.98,7360205894.98,160.215,2166008,69.093,R3,2015
2017-Q3,DCL100024,61,102839351726.15,76324924287.99,37505915146.12,37915020856.47,96897178939.65,197566.68,46268449590.91,1919232689.57,2661823441.4,3589153435.97,976648302.12,894217508.62,148.351,438238,78.011,R0,2022
2024-Q3,DCL100025,88,33117397675.44,76524485267.49,99072286137.02,58940122779.87,178488816052.45,382465.17,5810919179.1,26956490158.47,410844117.19,5144777338.39,9283182336.01,3404979574.89,134.906,2430039,150.85,R2,2022
2019-Q1,DCL100026,58,34865153266.66,19427467937.25,85238225288.53,19488330583.33,157595342985.61,326179.04,60539970349.57,9738908711.0,5192133206.82,18791867803.71,3086663428.79,7184683443.91,116.418,164640,104.998,R3,2017
2023-Q3,DCL100027,01,115620872859.06,91134500488.83,7060651414.38,20904561598.57,140535288780.41,408664.47,2918419530.78,3188183091.1,9523824045.1,158531120.21,12789746717.79,4635113966.84,93.219,932732,67.816,R2,2021
2022-Q3,DCL100028,29,150395188497.6,58078246874.35,79919157209.84,9069235741.22,111157194459.61,136433.3,66230660069.41,787773048.11,6115120448.2,2772903450.89,9084451535.01,2714021609.03,121.253,229304,74.782,R1,2021
2023-Q1,DCL100029,11,43734343159.36,69995546361.47,86578156593.18,20786555214.47,164785318839.94,261799.34,28544715380.28,22091980372.22,6311764650.56,8533535082.67,1941203804.04,3427090090.73,106.337,2051590,65.61,R2,2013
2024-Q1,DCL100030,31,29957507164.26,5085154664.66,12640836962.93,80640024600.2,41654931618.87,281588.17,63846280912.77,20893935990.5,799391225.23,8604173564.58,14987522999.0,1981208618.36,176.338,362900,153.226,R1,2015
2022-Q1,DCL100031,62,3753446229.94,106963140832.87,85848408223.54,39603773717.46,92335340178.2,271188.13,20110998032.54,15056311813.41,3795820552.28,13185953716.87,4913983402.45,3404491061.99,173.411,1291853,102.138,R2,2014
2016-Q1,DCL100032,47,70086816376.21,35793858626.88,20202791519.7,28200262988.28,10546799149.83,338528.31,61502528078.64,11176953343.09,4709865438.05,14903837268.85,5329013546.79,7569864037.57,177.9,2106783,105.315,R2,2012
2016-Q4,DCL100033,45,53749363370.69,109492651247.35,48578025981.69,70811892166.43,114950082867.66,78936.47,2154950880.3,16994895062.26,8878389177.33,19219276365.95,6214475504.17,6893117194.48,167.159,469450,157.058,R3,2022
2025-Q3,DCL100034,93,179281557325.96,69358301328.38,71800246262.93,64667644307.53,34124862597.57,180985.32,60617694786.49,25154861669.76,7901766427.06,14680492169.6,6567596955.72,1797178181.91,151.236,747421,106.777,R1,2016
2021-Q2,DCL100035,48,161594682021.05,3486890262.94,118324693621.16,24435063160.65,54421354310.71,267128.16,66434616555.06,14109811846.05,3064297939.5,6840788156.99,1368446163.88,5276007425.83,170.905,1337868,138.8,R0,2020
2017-Q2,DCL100036,81,175918610851.2,19939581057.04,54539602266.14,28309402727.18,165438748744.09,75156.29,5057501262.94,7126957085.28,4750200874.27,11726827561.41,730623437.31,2056390813.18,169.044,2607576,99.915,R0,2013
2021-Q2,DCL100037,44,151509776947.23,143141313935.08,12961246926.7,52088370112.05,117521985796.59,94356.82,49980477799.24,25585014154.63,6761855554.73,17344446237.05,11971205983.93,4207119266.16,182.36,1760411,136.414,R1,2018
2024-Q4,DCL100038,45,175007652397.03,134399171402.09,20633376174.01,18950128920.07,56685255750.5,94612.59,44173727187.76,5496089882.67,7617620776.6,12644304116.45,3493577599.42,5204719390.41,122.257,118589,99.389,R0,2012
2018-Q2,DCL100039,67,176427674097.25,122430258481.7,11647054612.54,67618720999.99,130532315851.08,317498.51,5384989287.62,29401536945.17,1500910327.62,7927049771.37,4025142119.47,1937462465.27,92.113,677624,138.211,R1,2014
2025-Q3,DCL100040,79,120651102461.98,118482023124.58,60492051918.89,85412726614.83,126263764699.98,87738.16,52364870635.54,1534387087.69,5942323283.01,4672095926.02,851845330.18,5656620252.41,115.21,251400,74.26,R1,2023
2025-Q2,DCL100041,86,82028427024.0,142987951503.18,22153913664.99,25278649707.98,92193510438.33,401792.27,66900046932.85,29124011672.52,3404591683.11,9970206324.86,5939575842.41,608206934.71,123.357,1819390,147.047,R1,2018
2022-Q3,DCL100042,25,105910000606.25,144900255411.18,26571589867.41,77511940449.17,175567536044.86,372550.5,25389255192.09,9119966457.69,6761725288.0,14045534396.11,10492491229.83,458147293.05,157.16,2829089,98.472,R0,2020
2021-Q2,DCL100043,67,19631723864.8,3989244630.01,54485808764.35,85831604371.54,23859606923.71,255599.27,33002307295.16,27344229756.6,3706926035.43,18650936782.76,7439039491.54,3487088877.44,175.783,1863309,118.751,R0,2022
2024-Q1,DCL100044,15,42954183168.86,119146158187.1,94335991054.5,82632516895.35,110568137798.41,228812.68,54322610705.75,3320620676.46,4982042821.94,2724514072.4,14945679307.69,4342776639.71,150.295,2685149,100.132,R3,2023
2022-Q4,DCL100045,28,182034871825.22,62533253953.76,62255535874.81,65773316447.72,113359180474.99,380750.28,30745777967.78,7219540557.11,322337683.27,13038709499.95,3887183533.3,2642410765.69,135.219,799758,158.821,R0,2021
2023-Q4,DCL100046,11,20583013125.99,130514996670.45,111412415883.65,70278263369.64,133149896052.59,110857.97,67919848778.79,26958143497.21,3072528356.93,19068471313.1,2241347484.78,2368784043.02,155.497,2522064,96.588,R2,2012
2022-Q4,DCL100047,15,176886996740.61,145863676178.24,40735809196.49,85255465700.14,95338387898.0,214966.62,69443706068.16,10647161928.31,8309500740.62,3942190591.03,46751131.43,2742781073.9,118.861,450640,81.871,R1,2020
2022-Q1,DCL100048,77,99120210492.02,49770477925.8,70294403837.86,22474424073.04,120344708817.06,50797.86,62751601786.74,24560806647.79,332212826.08,1437774998.83,2119071598.77,6396185074.71,93.952,234438,113.736,R2,2016
2024-Q1,DCL100049,56,179953030220.35,46417047178.68,7454926765.39,11525996291.85,15671601048.54,362025.3,42127129163.61,1237735259.36,7595214798.83,18646049726.62,5617986741.01,4183879205.36,103.952,1666332,90.001,R2,2021
2016-Q4,DCL100050,77,177580931548.05,81794469425.42,53593421361.0,78782688078.4,177825535263.14,200758.24,66914780456.42,21646221240.53,4008465515.81,4675959414.11,2993390050.12,701725547.51,178.777,2016275,73.941,R0,2023
2022-Q4,DCL100051,06,51636705884.78,65461057202.27,116996563151.91,68744273001.82,107580751937.25,250823.81,15185698144.91,28340999147.01,5502816894.15,1301305873.48,8599699587.73,4100244854.05,118.769,1363846,152.553,R3,2015
2023-Q2,DCL100052,18,189826946117.09,74014062351.43,87268084403.25,68356220748.46,132354465400.27,115007.35,7195907448.79,21140950650.13,2287340590.34,7437948669.51,3343707775.09,2673084192.71,93.799,2647550,113.144,R3,2014
2018-Q4,DCL100053,85,101348772847.07,100650854931.38,118686084720.43,31352499359.73,179039194370.84,250521.68,53090549406.71,8489755519.71,9567134815.99,3665854603.84,10401551505.89,3175394729.29,155.984,966690,149.744,R2,2016
2018-Q4,DCL100054,75,154740546986.95,5235626946.04,21018334226.48,10385477818.23,155818608321.45,248147.13,384461927.73,14331221908.5,3306182859.13,15043759810.17,2063949097.34,4638778211.56,90.36,631298,101.997,R1,2021
2017-Q3,DCL100055,47,70642940938.55,77960031890.93,11652747887.82,16718599984.52,94554513313.78,207376.11,18666432688.96,22190298660.16,4982376291.92,5000022553.19,680812373.56,224990482.71,155.647,1898179,89.44,R0,2021
2017-Q3,DCL100056,18,39040382111.32,39605471634.16,114118253852.69,51919331789.27,114654791083.1,244985.31,1315553621.27,5600652232.35,6383177796.48,12332400701.55,14842102514.55,4104114202.7,120.123,1291425,121.042,R0,2020
2019-Q3,DCL100057,75,32603001198.51,55850226338.89,100982141345.23,87220113263.45,135773523542.55,356522.2,51367517650.37,28272341806.43,4518969192.84,19886498259.41,3283674607.87,6564234566.16,144.026,1276661,151.088,R1,2016
2018-Q3,DCL100058,90,191267374114.32,117996057146.5,107620507923.43,30209569788.5,165241276571.59,343674.66,41930906046.37,11238673736.34,9251408131.6,10868664605.74,3604295784.07,6112497869.7,159.309,2140712,133.537,R1,2018
2016-Q1,DCL100059,46,39579737208.95,134469055457.56,77948155577.49,61118752026.2,136659880756.82,323715.96,48882916776.53,23922870635.0,5272315209.95,18855831342.25,9459697582.4,4686376459.18,132.382,278090,69.782,R1,2017
2023-Q2,DCL100060,55,191284710301.78,77544418670.47,56477891888.71,58453737855.3,42566633698.14,253164.62,6359672937.66,15222343846.52,4528221134.2,9780022355.42,12501592869.59,7563638159.26,163.846,1116388,145.958,R1,2015
2018-Q1,DCL100061,25,88589571457.61,48772835805.01,36661803775.71,15336879549.18,8624860108.29,150653.61,42489528315.21,2997508420.39,853581519.83,5753739565.14,6547352877.93,6961097943.88,187.442,1215183,66.388,R3,2023
2021-Q2,DCL100062,52,103313468647.71,31055332044.72,70689823428.48,50026171338.38,65023784805.0,251373.29,66975383217.84,25666126859.8,9308932047.56,13965433297.37,3102041552.45,1689242330.38,156.711,2654335,105.39,R1,2019
2022-Q4,DCL100063,63,93158591862.33,116929408416.27,59037621996.06,78702573353.65,145098713644.3,357203.79,20469660392.27,24827904381.87,6057184154.76,16056750138.29,7503227258.11,4189217487.89,147.222,1793273,86.213,R0,2011
2022-Q3,DCL100064,69,157205574453.16,111346900665.93,89601303092.26,89004639893.99,27508403939.95,240331.48,55475500632.2,18004175012.22,7065477635.06,4361696676.79,7262372163.22,1761127081.44,143.821,1082591,141.465,R3,2019
2020-Q2,DCL100065,18,107687680820.15,145964377516.71,28483361046.62,14804507358.1,110532196376.52,163707.9,44191572083.36,26529719624.97,6515022897.21,13265905534.42,10088618812.44,6676754404.64,184.71,1276895,112.556,R0,2018
2017-Q1,DCL100066,72,150958886012.83,87825728440.7,118846878993.23,70766137992.77,111262883873.84,121419.34,49387780169.94,17725998774.07,8075595605.75,731340105.48,4632194690.2,6483143686.79,170.931,2561063,76.849,R0,2020
2018-Q1,DCL100067,34,59280737654.36,8282513594.56,49241225912.78,77947125319.43,135062017352.25,201769.36,33124713260.68,2238283345.27,9337521421.97,11183084081.38,4441954013.14,1871036975.26,149.837,1842652,95.276,R0,2015
2020-Q1,DCL100068,39,100725792380.07,100344654854.59,96801730095.97,69945312211.05,48796729063.47,333202.68,61262464626.39,24059270849.48,5785638771.81,5306116556.8,9892353766.82,4493728369.25,168.932,1158911,125.772,R0,2019
2025-Q4,DCL100069,07,60229604141.18,85207238127.75,98727028323.06,29024059382.02,47228097815.82,146900.14,18686163886.07,10363595473.78,1017071108.55,12218985819.78,1696300236.29,1657666187.1,144.791,1064014,105.372,R2,2022
2024-Q2,DCL100070,95,131955443279.86,105993439731.17,43611197393.19,56458279493.54,158837550964.45,378343.69,53247603561.79,6325717717.87,1113043144.18,8005723561.91,3144042999.82,210180768.79,171.733,1887298,139.631,R3,2020
2025-Q2,DCL100071,19,151423668302.64,8847126808.91,4968075327.16,37186958673.72,16442494184.8,73998.04,43827234642.41,10410257945.57,3081018233.59,15713927519.19,14427476501.26,5272722414.15,125.057,224690,124.138,R1,2021
2023-Q2,DCL100072,42,76779978573.58,85746229896.8,56696417590.62,79214157387.35,136657048137.86,169192.16,24121530159.02,22975627729.68,4330542430.98,19127484013.88,3803072140.7,6456098595.09,151.1,652254,131.02,R0,2016
2021-Q1,DCL100073,64,73583872329.21,149458107751.26,71897952273.95,15197565342.72,176014698138.93,196787.01,25226110553.8,12150526362.89,4850878138.82,18700768570.36,3889320754.19,3509586099.14,156.538,2690255,139.929,R3,2017
2024-Q4,DCL100074,81,18077458708.02,130381270179.37,6332665958.15,30570719826.1,2898388547.97,419650.17,52983706785.08,7084749123.65,6575624444.26,6556202189.3,3961028047.09,2041193811.12,116.81,2968747,158.797,R1,2019
2019-Q3,DCL100075,63,66263958154.96,20208079519.48,58881936434.78,76873787499.98,18057108951.18,313693.47,54699283842.13,26659422612.41,5325687120.42,16528022822.47,6487018481.84,7145787814.29,178.927,2010720,91.094,R0,2022
2017-Q2,DCL100076,78,129853794339.33,14011058616.73,38138949215.39,17159025122.73,115707631930.16,290654.43,29526970902.62,16531641492.43,1863376198.83,12400591696.93,7427590950.3,4358240753.42,105.426,954963,87.766,R0,2022
2016-Q3,DCL100077,30,32088271080.26,120017011832.27,22812693435.66,65343333257.79,176065461671.22,223347.96,53324783871.34,5061775926.81,626107654.24,14230626261.38,10828270149.19,3648090615.91,111.437,1972399,149.61,R2,2012
2023-Q3,DCL100078,25,23675367341.77,111694739830.1,14950897148.44,41846024516.71,113346727199.44,159740.21,23289835007.1,9313890086.34,6289052182.13,2865554059.82,9759541928.36,3927807302.19,183.618,1820061,150.539,R1,2019
2022-Q4,DCL100079,76,78087190796.32,3619602314.33,39909258407.96,76194840736.93,167185030062.46,299650.52,26661327520.71,27233187561.1,4382165532.2,15876420452.12,6662233826.52,2695036659.73,141.489,918900,96.345,R2,2014
2018-Q3,DCL100080,29,94042881965.84,107105555404.78,108275810065.32,24235233846.1,49286216843.7,397456.97,40709705245.47,22737475917.82,9843933994.75,5490519238.83,3999685361.91,1893728930.4,141.021,396205,60.554,R0,2021
2018-Q2,DCL100081,44,133608201149.62,61550773231.91,18682013962.61,19752068521.75,106084236717.22,184455.69,25900113907.42,8247553249.86,2419821015.32,8611403957.27,1994287379.33,3621685565.2,167.809,8074,66.157,R2,2013
2023-Q4,DCL100082,75,51021615743.71,94720509555.04,79576856406.91,28369996829.4,80048058839.46,111011.87,42524023784.46,4286630686.94,218210355.96,2421005937.91,1598870027.49,2481151244.02,127.301,597627,76.675,R0,2015
2016-Q3,DCL100083,45,19951755408.2,59009778439.9,47581258041.27,72051558728.75,59777964738.52,167185.76,58919083223.33,22247745064.79,303966893.18,17870284009.59,3877807689.6,5022388762.18,182.616,957884,83.168,R2,2012
2024-Q2,DCL100084,25,126712933318.36,70033320238.51,68937160004.28,24392856542.24,173899887483.92,162019.44,36654354204.77,12340800174.04,9622668936.83,7841964781.28,14059614375.82,98075157.86,143.459,579536,142.646,R2,2020
2023-Q3,DCL100085,03,57377318240.95,1516047829.47,78700305573.56,62462659102.41,82865542456.12,190971.25,14505092479.49,29827643684.79,7276335695.9,4413561408.86,4093365077.6,1523438564.38,136.118,521706,92.132,R2,2013
2018-Q4,DCL100086,04,99512876755.32,147502593215.59,84099763754.36,16937153191.57,119187748888.53,251601.51,60065693347.21,9118716423.26,9175668118.3,16339343189.89,9877434012.78,2277084090.98,121.99,474123,120.704,R1,2011
2023-Q2,DCL100087,48,192925629262.01,10458710975.03,45730546421.88,42951622211.83,106671284082.18,243793.93,20290431036.07,27970363176.7,3891910003.56,4819264978.14,10970807568.29,7927018194.05,160.014,1126980,123.436,R2,2022
2025-Q4,DCL100088,14,199223678240.35,57307901847.38,16717793313.62,10909646051.7,73690043437.85,141885.7,12169743994.11,7847722370.55,9859469768.68,1607346437.13,9967231983.39,1628807117.75,159.863,1471264,117.513,R0,2023
2017-Q4,DCL100089,98,187294703954.22,145472448868.74,74485948106.35,74318940069.78,174947018426.79,177261.17,62985561195.93,7182471738.64,9047665309.6,15523789582.3,8362698248.13,5776134607.44,116.967,2811208,77.736,R1,2013
2021-Q4,DCL100090,16,159925968474.64,140346904132.9,98876601596.45,53006511137.5,88241832619.24,57764.84,54952207635.62,12623468731.2,7711787057.0,19055013487.99,5438941310.45,5263794790.45,150.586,1561606,85.27,R2,2014
2021-Q1,DCL100091,90,114694547216.98,6888342806.32,30079531884.37,62055175303.74,18992415063.37,80669.29,14989121187.05,11744116074.74,1762389105.61,2908591361.37,6666489346.93,5194805538.91,185.723,1236973,116.527,R2,2015
2020-Q1,DCL100092,47,70874374542.73,66370156437.04,66200653616.2,16964090157.86,147181214679.37,323034.07,6092233940.6,3638652436.13,109038091.9,7010301609.55,7112861122.25,7491150692.16,176.536,1394460,105.293,R2,2022
2017-Q1,DCL100093,43,47989138425.22,129074501517.16,60565307869.07,45168861504.1,37768696061.23,161384.27,57877476223.44,9638019403.58,5574638320.75,8532804512.16,1485356630.67,1360176542.41,125.323,2354706,120.351,R1,2023
2018-Q4,DCL100094,54,81381902937.39,3059340629.51,115859502805.99,30090285179.3,77856870317.79,349898.26,52793996879.26,36525087.99,9467929290.27,17548372375.65,11032352312.2,4912747201.05,147.141,313533,122.88,R0,2014
2025-Q3,DCL100095,24,849400737.74,24451086943.32,110662263008.93,69065941285.17,10922727675.48,225575.98,36964276939.14,29745564177.35,3162433203.65,16853671266.0,5155471987.35,7632068789.48,152.159,1815760,132.286,R3,2019
2018-Q4,DCL100096,35,143298673559.65,9213858215.57,46582478748.31,78204622303.69,41156303082.39,138251.14,5475303558.92,12754903403.3,1629696947.43,6849165505.84,11629830913.62,3252471032.55,92.197,1250371,137.169,R1,2021
2021-Q1,DCL100097,38,127287562221.98,112160668185.6,113201887175.81,65928213070.15,20819811062.95,98486.6,55852227648.08,8372894713.95,4659295224.83,12518927881.12,488330484.26,5575206618.31,188.325,2933986,83.66,R1,2020
2025-Q2,DCL100098,93,162058698863.99,40391040712.95,46871132594.32,54128069062.75,128827413339.39,217916.53,35256412889.74,13903475601.99,3532454558.21,15151961261.71,4470317139.06,1056708946.61,174.766,680247,117.824,R3,2022
2017-Q3,DCL100099,92,192669972124.16,105286214073.18,20175754223.77,61853166852.46,44376991367.47,347816.88,39719454517.79,6994288990.7,998376952.19,1555570379.08,5583650693.24,3503164371.2,171.174,1205056,136.498,R2,2011
2025-Q1,DCL100100,29,98940288497.33,76655902862.1,9643833693.84,73926851272.14,76300788720.75,335538.49,32757408109.98,1267151196.68,5149251349.61,8629855423.76,9804903792.19,5811446740.01,122.689,1328956,131.673,R3,2020
2025-Q1,DCL100101,46,66554986345.91,22379128381.11,12515986699.82,16050782301.69,104240885349.6,231690.13,34807952212.22,39990012.93,1663794856.32,417275059.02,3584865974.73,7994273731.26,167.414,2621450,93.998,R3,2021
2024-Q4,DCL100102,80,81945037146.0,110147484546.77,50232174093.2,25429192202.6,55979093557.3,137662.3,27077239340.06,1342268351.27,6958120233.54,13848546110.85,3787971644.82,5696344616.36,167.876,686393,108.598,R3,2022
2017-Q1,DCL100103,24,180522745981.23,44795840872.89,42276621677.78,87101101276.72,34457007875.05,120101.92,36896427579.58,21787274119.79,5743236929.94,2778826236.29,10941288496.48,3632557518.2,92.577,264128,133.919,R3,2022
2018-Q3,DCL100104,46,83438475462.7,19534730586.12,34549903435.32,5901939577.83,49428275148.55,146941.08,20416911643.96,28619203494.65,3214741197.45,3970846378.51,2937198526.55,10189979.12,158.763,1029436,100.809,R1,2019
2019-Q4,DCL100105,76,13189093724.24,111980866504.51,51277339365.41,43755267242.76,104696551906.03,279155.11,24828614741.19,14735512103.64,8914235283.91,2008165449.48,12013873992.79,719864293.17,120.09,2213858,100.576,R1,2013
2016-Q2,DCL100106,20,155279740368.56,133813774541.54,26837062125.95,33757443345.79,170670201265.61,96274.16,16682964868.84,11765710241.28,2582428548.97,15277643063.48,2840038566.99,1279726907.02,130.937,2866760,68.857,R0,2011
2022-Q2,DCL100107,32,45674878412.75,96135421740.6,95306789157.85,62351274909.7,44616093404.61,62297.18,20146685399.75,16622008923.2,1382897637.03,1917707488.72,10788628644.52,4858096397.82,146.948,2973682,129.254,R2,2015
2018-Q3,DCL100108,35,186827491608.08,95920121885.48,109158646476.64,45866541283.85,94970864448.51,274517.06,29536322740.07,11227164902.15,7309849617.52,4670380341.78,10794860829.95,7994446553.19,110.216,771707,93.934,R0,2016
2023-Q1,DCL100109,98,83344318790.48,74868724941.15,29277146423.94,50172301578.72,17570902809.69,249954.67,55501403089.18,1310567241.93,7123484531.49,18184669955.05,13475278294.77,476713682.62,166.74,602034,70.5,R3,2021
2025-Q4,DCL100110,14,56973510821.55,27716641106.03,61474281613.61,54126677179.88,4767930882.22,366067.13,10895094904.41,14775253416.42,2789843219.25,13978400155.12,1440713379.32,7145113817.82,156.063,665368,117.213,R0,2015
2025-Q4,DCL100111,25,40476817967.08,50925325587.57,102822031870.93,84641676868.42,154768834366.93,127185.83,24243320125.84,13798921390.84,6988541995.27,11654291302.67,12551503891.64,3628958992.61,124.491,1159604,96.426,R2,2017
2020-Q4,DCL100112,08,32853452536.14,27775172839.14,112037640187.94,39750511296.86,69469429719.16,335428.52,7711194704.74,14412765305.05,3716638523.14,7981959359.62,9786812608.2,6901754917.94,151.857,131156,148.168,R0,2017
2018-Q4,DCL100113,40,120746024455.81,72779806723.08,24086476024.56,87010175223.56,161858169268.78,120824.01,59545844084.59,10134492003.26,7350986389.12,12226480140.8,12388397013.61,3006366991.5,96.3,447884,91.351,R3,2014
2020-Q3,DCL100114,35,10514130750.56,11559583741.98,31071777844.51,7793623442.15,25650425647.75,50420.46,129329057.06,23288744385.38,7251419596.08,2379709198.97,12110795681.91,4984258624.25,187.956,2030052,147.582,R1,2023
2025-Q3,DCL100115,41,146231308560.82,143841304574.14,63452262712.67,73134055598.46,42675793045.65,387420.27,30173756110.87,10917288777.15,7598188326.86,8604177521.63,12350491546.8,1236484213.7,90.163,2505927,146.716,R3,2012
2020-Q3,DCL100116,75,1625447303.37,2682107730.85,29982680515.55,28081999798.41,155112169705.93,53874.93,11148010328.07,11431050701.8,366586443.25,14839118722.5,8061705996.61,3712532533.36,97.979,1749667,100.681,R2,2014
