demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2022,96136892,45-49,M,Other,141129,151838,138432,161613,63248,57832,16536,-1500,82078,17199,0.8872,2.44,0.0348,2021-Q%q,CENSUS_ADJ
2026,63132027,50-54,M,SC,1961267,2028469,1859720,2187859,7890,48500,-48307,4445,500972,33896,0.8879,2.31,-0.003,2026-Q%q,COHORTCOMP
2039,63142124,65-69,M,General,1360829,1587642,1474360,1698656,57655,5921,-13003,-3668,449182,4720,0.9723,2.98,0.0133,2021-Q%q,BAYES
2022,37672417,75-79,F,General,1349046,1274446,1177092,1359655,43613,24869,10804,-4039,565484,6006,0.9341,2.42,-0.0011,2018-Q%q,CENSUS_ADJ
2037,30138970,80-84,F,ST,1175287,1193409,1091058,1281149,28193,2392,-29790,990,547060,41161,0.9921,1.94,0.0334,2024-Q%q,CENSUS_ADJ
2041,58612666,70-74,X,General,402685,482044,440541,503736,31511,17666,-42883,9342,441824,44870,0.9372,1.35,-0.0187,2019-Q%q,CENSUS_ADJ
2032,15605062,25-29,M,SC,526749,622909,585029,657110,74063,3399,-16735,-1907,525866,16742,0.9012,3.3,-0.0145,2022-Q%q,HYBRID
2030,37928551,75-79,F,SC,1878086,2218592,2064961,2336765,13681,16180,-47133,4779,523689,42279,0.8885,2.22,0.0081,2021-Q%q,TREND
2023,31495929,85+,X,ST,1020779,1232697,1115944,1294070,13470,23305,13827,-2193,24167,19458,0.964,3.43,-0.0145,2019-Q%q,HYBRID
2029,29139725,40-44,M,OBC,595764,584106,525787,622674,8463,13224,-17684,629,472089,28666,0.9025,1.53,0.0132,2021-Q%q,HYBRID
2029,27725201,50-54,X,ST,208619,230482,211382,247824,24371,22260,-2453,-5441,286139,48336,0.9697,1.85,0.0147,2024-Q%q,HYBRID
2036,59289971,65-69,F,Other,428938,441905,402367,479868,5750,33028,-41497,-9327,289698,25690,0.9788,1.89,0.0229,2024-Q%q,HYBRID
2033,12477464,15-19,M,ST,1776307,2151361,1946173,2326066,53982,52593,18564,-950,312499,4375,0.9311,3.13,0.003,2020-Q%q,BAYES
2025,63121679,30-34,M,SC,1126781,1353006,1267817,1464103,76841,54241,19691,-8524,359293,17517,0.8814,3.46,0.0013,2018-Q%q,HYBRID
2029,11153089,00-04,M,OBC,698375,706230,666848,784036,72210,53109,-25594,-251,364022,15116,0.9106,2.39,-0.0042,2019-Q%q,COHORTCOMP
2025,62574926,80-84,M,General,632646,558091,506399,609417,75517,8830,-12830,-5556,430049,6951,0.9471,2.35,0.0132,2020-Q%q,BAYES
2022,58007090,60-64,M,General,1729836,1617009,1449536,1810257,38494,42783,42716,-1405,31249,10097,0.9912,1.26,0.0131,2018-Q%q,HYBRID
2033,27481119,60-64,X,OBC,1544697,1716667,1599890,1876197,30804,32263,-34885,-984,475265,16604,0.9265,1.98,0.0422,2021-Q%q,CENSUS_ADJ
2024,43829274,85+,M,General,1409285,1346604,1239524,1429518,30108,31411,39678,-8364,306425,1002,0.9624,3.23,0.0003,2026-Q%q,HYBRID
2024,23903052,70-74,M,OBC,1103989,1137930,1040042,1207773,238,244,42754,3961,97774,13903,0.8808,3.05,-0.0076,2025-Q%q,BAYES
2030,19287529,35-39,M,ST,31700,29382,25698,31927,17040,12657,3191,3540,260983,39929,0.9443,1.58,0.0322,2024-Q%q,HYBRID
2030,77604493,85+,M,Other,1548455,1388156,1294548,1513925,2464,30088,-26995,9634,397695,8300,0.9908,1.32,-0.0181,2026-Q%q,COHORTCOMP
2032,28877511,05-09,F,ST,1586039,1916086,1801443,2029732,34762,44102,-5067,6117,484084,25637,0.9505,1.56,0.021,2018-Q%q,BAYES
2041,13360101,15-19,F,OBC,1109321,1181795,1111728,1295949,29888,51597,-20873,-2208,245430,23487,0.9602,1.61,0.0375,2020-Q%q,CENSUS_ADJ
2025,88038985,65-69,F,OBC,998511,1114841,1015486,1229404,22906,11170,35149,-9120,224903,32823,0.9809,3.58,0.0118,2020-Q%q,TREND
2037,38228080,65-69,M,ST,1560540,1836845,1690375,2019271,57073,34954,1572,7311,214823,11965,0.9214,1.88,0.0265,2021-Q%q,BAYES
2030,71453565,00-04,F,General,235503,200525,182756,217240,23739,52196,21733,738,544883,33540,0.9576,1.91,0.0358,2019-Q%q,CENSUS_ADJ
2023,12666004,05-09,M,General,46274,51981,47882,54946,35753,3639,-8362,-8165,297206,16525,0.9617,3.5,0.0189,2026-Q%q,COHORTCOMP
2038,38927818,70-74,F,General,561782,603542,547016,648276,35880,53439,-9385,5331,348621,26011,0.9539,1.68,0.0232,2018-Q%q,BAYES
2038,45908984,30-34,X,General,288777,263390,241853,282302,36764,34594,-35971,3986,472030,35720,0.9203,1.56,0.0009,2019-Q%q,CENSUS_ADJ
2032,61754954,10-14,M,SC,423875,458102,433249,498630,36892,39647,4771,-5147,566122,8023,0.9181,2.6,0.0173,2023-Q%q,CENSUS_ADJ
2025,11366009,20-24,X,Other,1506830,1386365,1270684,1483120,74039,32675,31614,-7946,512183,31693,0.9592,1.85,0.0278,2018-Q%q,COHORTCOMP
2037,16807448,50-54,F,SC,483641,586298,549112,622279,53657,3085,18654,-8635,86131,39626,0.9941,3.33,0.0293,2021-Q%q,COHORTCOMP
2037,51663714,15-19,M,ST,1977783,1977724,1814821,2206599,57439,59515,-21872,3015,174254,44220,0.9728,3.64,0.0361,2021-Q%q,CENSUS_ADJ
2040,16222897,15-19,M,General,1846300,2009442,1876507,2226247,14273,32380,35615,-3727,286634,49609,0.9399,1.7,0.0129,2022-Q%q,CENSUS_ADJ
2027,13761608,20-24,X,SC,1451210,1470234,1324821,1626373,44421,42813,37520,-7064,591520,564,0.9492,2.67,0.0264,2020-Q%q,CENSUS_ADJ
2029,54966548,80-84,M,General,1001272,881071,780421,961225,17106,26791,-32253,-2718,483514,11339,0.88,2.28,0.0237,2024-Q%q,HYBRID
2031,23817082,60-64,X,SC,1759146,1759491,1560079,1889094,32829,41315,8487,-1404,528459,43508,0.937,1.87,0.0391,2020-Q%q,TREND
2041,45572877,20-24,X,Other,865231,973657,873026,1041113,70762,28240,15280,3763,156621,18127,0.8851,2.71,0.012,2024-Q%q,BAYES
2021,31856457,00-04,M,ST,834438,969855,923606,1033820,16268,31669,22151,-7098,477949,37877,0.9558,2.67,0.0479,2020-Q%q,CENSUS_ADJ
2033,35230047,15-19,M,OBC,663219,642093,576738,688048,53622,8607,-19969,7363,22021,43760,0.9431,3.44,-0.0092,2019-Q%q,TREND
2041,21219355,45-49,F,General,1517820,1590232,1472059,1673269,43719,42368,31747,1662,389414,49435,0.9929,3.43,0.0368,2025-Q%q,HYBRID
2030,71445130,70-74,M,General,1908240,2294481,2186569,2486101,60875,32399,24683,-5870,299906,27225,0.9416,3.2,0.039,2024-Q%q,HYBRID
2033,28642961,05-09,X,SC,894583,984591,882039,1053398,69865,46002,-20080,-8602,574254,44614,0.9543,2.11,-0.0105,2026-Q%q,TREND
2038,82939958,35-39,F,OBC,306415,370430,344447,404978,26713,9182,34331,-1765,171286,1429,0.9654,3.34,0.0368,2025-Q%q,CENSUS_ADJ
2030,81552658,80-84,X,OBC,675094,729752,694957,763792,44079,10281,42908,-5831,184035,41077,0.9914,2.64,0.0093,2021-Q%q,COHORTCOMP
2035,27583982,20-24,F,Other,932798,997654,891008,1052264,32809,10483,-15863,-1688,162453,35717,0.8965,3.66,0.0121,2019-Q%q,CENSUS_ADJ
2027,15464813,00-04,X,OBC,883505,792065,736067,859912,47969,2851,-49411,-1471,510186,27118,0.886,3.32,0.0133,2018-Q%q,CENSUS_ADJ
2035,98449884,85+,M,General,1771052,1664776,1515843,1801455,25617,43435,-15385,4718,184044,24764,0.8904,3.03,0.019,2019-Q%q,CENSUS_ADJ
2022,27496844,20-24,X,OBC,1814355,2040347,1942581,2217774,46722,14460,-797,1487,34892,4331,0.9582,1.7,0.0017,2022-Q%q,COHORTCOMP
2029,23462302,45-49,F,SC,414642,496468,450423,530227,24556,9156,9650,8739,126700,42522,0.8802,1.8,0.0263,2018-Q%q,TREND
2035,58745685,10-14,X,SC,1601007,1696641,1535635,1878636,52945,10244,-46587,1928,302445,37690,0.8983,3.71,-0.0035,2019-Q%q,HYBRID
2040,84613861,00-04,X,Other,318824,304023,282089,328107,20394,58801,31720,4707,54433,41486,0.881,2.16,-0.0184,2020-Q%q,COHORTCOMP
2031,23147143,05-09,M,SC,1369208,1552064,1478038,1714334,35935,58153,4500,2502,509110,3525,0.9619,2.29,-0.0048,2019-Q%q,TREND
2021,24432633,10-14,M,ST,1122092,1186350,1071509,1290105,55113,13857,28734,203,530897,37677,0.9847,1.94,0.0074,2023-Q%q,HYBRID
2037,25365922,05-09,X,SC,1705736,1953915,1775119,2044309,3801,24857,3049,-8278,471766,2609,0.9323,2.84,0.0488,2024-Q%q,TREND
2041,27667255,05-09,X,SC,1668048,1464494,1350775,1553540,2708,35962,-25692,3346,29729,138,0.9637,3.67,0.0266,2025-Q%q,HYBRID
2030,27775381,35-39,X,Other,361290,345769,307113,382440,39632,36515,-20896,-3451,76482,46555,0.9488,3.15,0.0377,2022-Q%q,BAYES
2033,80405049,50-54,F,Other,1534156,1837356,1745831,1950097,31474,31712,44398,-3065,524831,19658,0.9204,3.73,0.0136,2018-Q%q,HYBRID
2026,70604232,20-24,F,ST,1792201,1720079,1558577,1852164,8409,15162,-33009,6194,362809,20282,0.9244,2.12,-0.0029,2022-Q%q,BAYES
2039,26059129,10-14,X,OBC,86571,92189,83310,98023,56062,3175,26074,7227,382176,12741,0.9111,3.51,0.0417,2020-Q%q,HYBRID
2032,73391212,55-59,F,Other,540783,644331,586058,698728,1643,4088,36556,-4248,461959,28454,0.9592,2.48,0.0065,2022-Q%q,BAYES
2033,94606730,15-19,F,SC,1617246,1481283,1315162,1594132,2385,47125,10516,131,591500,46061,0.9049,2.64,-0.0082,2023-Q%q,CENSUS_ADJ
2034,29425066,40-44,X,ST,386057,334423,296973,369121,12115,56041,-34674,-1959,222333,39764,0.9919,2.49,0.025,2024-Q%q,CENSUS_ADJ
2030,65341493,00-04,F,Other,1257612,1435941,1288532,1560388,74169,9390,31542,-7274,510438,5478,0.985,2.13,-0.0126,2020-Q%q,COHORTCOMP
2039,86761038,35-39,M,Other,532879,524931,480119,554937,24322,47639,16104,-3021,127051,48814,0.9792,1.2,-0.0108,2025-Q%q,COHORTCOMP
2029,14913954,45-49,F,Other,705528,735351,676669,792277,49951,55595,30391,-9951,504071,19252,0.8811,2.14,0.001,2025-Q%q,HYBRID
2041,61588393,65-69,M,Other,1185017,1325703,1192265,1386975,57238,32045,-35217,-7304,178433,27333,0.9406,3.67,0.019,2024-Q%q,COHORTCOMP
2035,49024389,20-24,F,SC,841528,843105,794188,912552,19332,20523,-5899,6129,68883,40054,0.9574,2.97,0.0461,2026-Q%q,CENSUS_ADJ
2022,59909367,15-19,F,Other,1790819,1767378,1622478,1882451,63043,49302,-12005,-8431,59832,37391,0.9152,2.55,0.0305,2020-Q%q,COHORTCOMP
2025,86815948,50-54,M,Other,93246,85746,79653,91391,22778,1995,26470,1083,387444,12486,0.9071,2.21,0.0137,2026-Q%q,HYBRID
2032,41443650,65-69,M,Other,1943307,2330433,2189627,2479012,10962,12399,37585,9321,385084,4294,0.954,2.12,0.0183,2019-Q%q,BAYES
2032,84159054,30-34,F,ST,1544974,1398734,1310461,1551915,31225,56038,44234,4796,146747,3658,0.9239,3.22,0.0453,2021-Q%q,TREND
2021,90648189,15-19,F,OBC,1542904,1800581,1645597,1888738,49403,29730,10543,7980,80103,13818,0.9032,1.46,0.0125,2020-Q%q,COHORTCOMP
2038,81975863,75-79,F,ST,1130636,1130964,1031100,1233737,5191,15942,47321,1774,517040,14926,0.9764,3.25,0.0044,2023-Q%q,CENSUS_ADJ
2024,63617660,45-49,M,OBC,989155,1050565,981821,1128006,43557,38559,27173,933,327008,29995,0.9459,2.19,-0.0054,2020-Q%q,COHORTCOMP
2033,54285669,15-19,F,General,13849,11906,10669,13372,79103,8064,-35591,4281,111885,23409,0.9092,2.7,0.0363,2022-Q%q,CENSUS_ADJ
2039,46038035,60-64,M,OBC,1306794,1611338,1499059,1766430,47831,33222,38576,4064,577658,6083,0.8943,2.96,0.0108,2024-Q%q,TREND
2027,34770739,40-44,M,Other,1125472,1118933,987634,1241729,5393,46275,-23407,-1692,57684,26290,0.9599,2.33,0.0054,2019-Q%q,HYBRID
2022,14259221,75-79,X,ST,1990009,2065788,1889357,2231916,54561,46752,39305,9985,441381,46650,0.9828,1.36,0.022,2024-Q%q,BAYES
2025,90091958,00-04,F,SC,122141,116072,107743,128864,9619,58045,38205,6211,449745,28899,0.9222,3.39,-0.0027,2025-Q%q,CENSUS_ADJ
2035,23723795,00-04,F,General,1230188,1528254,1451770,1646815,75283,14242,40459,9797,75324,19553,0.9611,3.28,0.0183,2018-Q%q,CENSUS_ADJ
2037,36284422,40-44,F,SC,1114160,1210025,1131682,1312702,57192,33373,-5512,-9473,426929,9736,0.985,3.33,-0.0158,2023-Q%q,HYBRID
2037,71780834,75-79,M,SC,1342836,1248414,1087675,1353323,55289,35181,-34694,7515,221488,41711,0.984,1.22,0.0342,2020-Q%q,TREND
2032,42529082,50-54,X,General,1515720,1786767,1686354,1874099,78068,50358,37649,-2031,346085,31670,0.9589,2.19,-0.0137,2024-Q%q,CENSUS_ADJ
2041,49802628,35-39,X,SC,220287,191524,166675,217557,6172,27518,15872,6042,81005,3784,0.9761,2.11,0.0059,2024-Q%q,HYBRID
2022,12638008,25-29,X,ST,1017287,1220153,1158277,1328243,44579,8435,-24212,-8526,421104,46516,0.8881,2.26,-0.0189,2019-Q%q,CENSUS_ADJ
2024,52939743,85+,F,SC,1558169,1392573,1284689,1525950,28071,10419,4320,819,52035,39537,0.8953,2.26,-0.0166,2022-Q%q,HYBRID
2031,40779793,10-14,F,SC,782393,668863,582015,722793,78154,46005,40527,-5386,389600,15481,0.9575,1.62,-0.0064,2022-Q%q,BAYES
2030,71199257,75-79,M,ST,1401298,1218045,1143499,1362767,27225,12265,21485,-1937,175241,8129,0.9818,1.28,-0.0063,2019-Q%q,BAYES
2025,70881316,25-29,M,SC,366754,383861,355190,425873,75360,20944,4388,8098,253043,11485,0.9674,2.06,-0.0174,2025-Q%q,HYBRID
2031,50963884,30-34,X,General,734807,699956,638077,768536,9417,38842,906,-968,400300,10853,0.9836,2.63,0.0449,2021-Q%q,TREND
2031,73579491,65-69,F,Other,1594642,1385455,1272355,1549651,26296,50963,14326,-1482,396556,28702,0.9073,3.63,-0.0058,2021-Q%q,HYBRID
2021,20729741,25-29,X,Other,1106671,1260561,1179408,1388758,17105,19894,46143,9632,283401,13125,0.929,1.66,0.037,2021-Q%q,COHORTCOMP
2025,51005596,70-74,M,SC,456451,399251,351560,453993,11277,8416,21255,2304,154663,2030,0.8981,2.23,0.0438,2021-Q%q,CENSUS_ADJ
2030,60508337,25-29,F,ST,1993224,1722426,1498175,1863142,66825,32943,-25322,8708,425334,42445,0.943,2.08,-0.0186,2024-Q%q,HYBRID
2036,41605560,70-74,X,Other,1585375,1832526,1728738,1912555,32088,59831,-4803,1783,548081,14815,0.8885,2.71,0.0347,2020-Q%q,COHORTCOMP
2027,50246636,00-04,F,ST,570708,546869,510275,584585,63218,44201,-18837,-9767,5399,27425,0.9328,3.06,0.0323,2018-Q%q,TREND
2029,57872429,05-09,F,ST,1208004,1395413,1308800,1515755,50515,54876,9923,4932,495488,26189,0.9315,3.55,0.0114,2026-Q%q,BAYES
2032,32317667,80-84,M,ST,231210,224750,212994,240875,32251,59226,24114,-3871,314086,14451,0.9875,2.92,0.0208,2024-Q%q,COHORTCOMP
2036,83978528,35-39,M,OBC,410524,399801,374807,438816,76797,46563,-9005,-5302,310528,31147,0.959,2.23,0.0405,2022-Q%q,CENSUS_ADJ
2037,61890486,50-54,M,SC,76884,89402,81263,98352,7968,44547,16991,-4583,90178,15905,0.9778,2.76,-0.0093,2023-Q%q,CENSUS_ADJ
2040,50638905,80-84,F,General,1408293,1726061,1571176,1882193,70441,40032,-26050,-6313,263609,45925,0.9336,2.36,0.0242,2020-Q%q,COHORTCOMP
2021,33842172,55-59,M,ST,149585,132093,116499,139777,4224,2799,-44064,3624,236400,3372,0.981,2.73,-0.0035,2025-Q%q,CENSUS_ADJ
2032,14156825,10-14,F,OBC,257997,243103,215807,266019,18951,10554,-17119,-1122,425030,15116,0.9499,2.82,0.0197,2025-Q%q,COHORTCOMP
2037,38919531,00-04,F,General,1368648,1369481,1257067,1524869,60861,45627,-24292,-2921,389112,3468,0.9216,3.64,0.0076,2023-Q%q,CENSUS_ADJ
2021,28335257,00-04,M,ST,608299,664072,631510,713522,15972,21525,4584,5091,188640,44202,0.9046,2.6,-0.0156,2023-Q%q,BAYES
2027,62002398,10-14,M,ST,89235,83310,74174,91764,36675,17862,22828,-2731,507513,47457,0.892,3.63,0.0288,2022-Q%q,HYBRID
2032,47397828,30-34,F,General,392996,365177,339714,390776,60810,38309,-15020,-7345,302832,30561,0.9128,2.75,0.0365,2018-Q%q,CENSUS_ADJ
2027,77513460,50-54,X,ST,1616480,1884500,1714438,2027449,35430,42971,-8630,3438,549174,37653,0.8835,1.96,0.0255,2023-Q%q,BAYES
2023,97249446,85+,M,General,1701822,2098131,1965863,2268857,4775,8428,23329,-9178,286572,43448,0.9499,2.39,0.0014,2025-Q%q,BAYES
2022,64734177,85+,F,ST,298220,313277,282067,342454,54299,14786,43683,-7086,99427,47514,0.9599,3.51,0.0377,2021-Q%q,COHORTCOMP
2033,81045240,45-49,M,General,1944763,1710923,1610986,1892240,59748,30295,14324,-9810,324577,33717,0.9798,3.51,-0.0197,2025-Q%q,COHORTCOMP
2039,35114278,35-39,F,Other,1890155,2351955,2205761,2487729,18816,19916,-32885,-7420,330013,30588,0.9576,1.24,0.0304,2020-Q%q,CENSUS_ADJ
2041,45131810,60-64,X,ST,80323,97759,91917,103120,3196,14102,-49176,9102,27782,10443,0.8802,2.92,-0.0113,2021-Q%q,BAYES
2025,99857964,00-04,M,Other,404543,400857,380161,428221,29762,5210,17231,9744,320209,38438,0.9685,1.92,0.019,2025-Q%q,BAYES
2023,98916295,50-54,F,OBC,196177,184631,174792,204233,7150,45171,6534,7429,442167,33249,0.9918,2.01,0.0495,2020-Q%q,CENSUS_ADJ
2031,23149612,30-34,X,SC,127455,158744,144804,168033,39381,9852,18421,-7487,261350,963,0.9392,3.56,0.0221,2021-Q%q,CENSUS_ADJ
2029,39683955,15-19,F,ST,1380735,1209638,1082474,1342615,38330,47393,-8878,-768,298545,10425,0.9041,2.58,0.0023,2021-Q%q,COHORTCOMP
2021,61749691,85+,F,Other,1476872,1424369,1283937,1593315,26907,56394,36653,-7109,364618,30118,0.9135,1.21,-0.0144,2019-Q%q,CENSUS_ADJ
2033,47498968,45-49,M,Other,1822305,1634852,1466552,1755438,32259,21369,42291,4218,161029,48038,0.9634,1.46,0.0445,2018-Q%q,TREND
2028,13004718,70-74,F,OBC,1454816,1764309,1609033,1851946,72632,18320,3483,-3503,401942,16905,0.9489,3.61,-0.0091,2019-Q%q,CENSUS_ADJ
2029,59286381,05-09,X,ST,465405,413030,380218,464344,58462,56327,23330,2757,326432,33866,0.968,2.9,0.0007,2023-Q%q,BAYES
2030,67123273,05-09,F,SC,830147,727443,665272,793572,41669,54744,26099,3740,140318,36946,0.9841,2.59,-0.0159,2025-Q%q,BAYES
2036,86657790,45-49,F,ST,410286,494598,473219,529566,4904,1926,40726,3731,91193,43155,0.9118,1.42,0.0496,2024-Q%q,COHORTCOMP
2023,53666195,25-29,F,General,104317,94439,82660,104017,71633,53691,29506,-1236,592696,39901,0.9042,3.53,0.0218,2023-Q%q,CENSUS_ADJ
