lab_cond_reference_year,lab_cond_country_iso2,lab_cond_region_nuts_code,lab_cond_sector_nace_section,lab_cond_contract_type_code,lab_cond_working_hours_week_mean,lab_cond_overtime_share_pct,lab_cond_shift_work_share_pct,lab_cond_remote_work_share_pct,lab_cond_right_to_disconnect_policy_flag,lab_cond_work_accidents_rate_per_100k,lab_cond_work_related_illness_rate_per_100k,lab_cond_job_satisfaction_score,lab_cond_work_life_balance_score,lab_cond_burnout_risk_index,lab_cond_training_provided_share_pct,lab_cond_union_membership_share_pct,lab_cond_eurofound_source_flag,lab_cond_survey_weight,lab_cond_data_extract_date
2022,CY,PL4,I,APPRENTICE,30.72,3.63,23.74,14.62,0,400.85,1091.96,5.88,5.84,24.56,67.42,25.73,0,1.3552,2025-03-21
2023,GR,RO40,T,TEMPORARY,36.06,10.0,18.4,12.43,1,469.81,1353.08,7.16,6.93,36.21,30.94,6.17,0,3.7008,2024-10-08
2024,MT,SI163,J,PLATFORM,35.89,4.68,4.78,8.4,0,676.06,1484.38,7.18,5.46,64.53,64.54,20.38,0,1.0798,2025-07-07
2025,ES,AT463,U,SELF_EMPLOYED,35.54,12.76,21.94,12.52,1,388.87,1579.41,7.13,7.4,54.25,40.73,40.37,0,0.8481,2025-09-16
2006,CZ,DK531,K,PERMANENT,33.65,9.28,34.8,9.03,0,411.14,461.81,5.19,6.81,32.94,51.01,26.2,1,1.5137,2025-07-28
2007,HU,LU955,A,APPRENTICE,22.48,17.88,9.96,15.47,0,74.91,246.89,7.41,7.75,33.87,51.08,31.38,0,2.5781,2025-06-17
2008,NL,HU2,L,TEMPORARY,42.68,4.88,26.22,7.0,0,54.59,938.77,7.26,5.16,24.93,27.97,57.59,1,2.8196,2025-04-13
2009,SE,RO30,B,PLATFORM,42.1,2.7,19.75,26.17,0,300.91,863.53,7.32,7.05,41.66,51.28,32.26,1,4.4076,2024-07-22
2010,DK,RO2,M,SELF_EMPLOYED,38.88,3.23,14.07,26.97,0,225.56,666.68,7.4,6.33,30.43,58.42,20.39,0,0.3991,2024-02-23
2011,IE,NL33,C,PERMANENT,31.05,13.02,20.88,11.53,0,409.62,314.36,7.12,5.95,76.31,26.37,33.76,1,2.8072,2025-08-14
2012,PL,LU1,N,APPRENTICE,33.57,2.13,23.84,16.06,0,437.22,832.51,8.19,8.21,26.36,43.92,43.04,1,1.3816,2024-04-15
2013,AT,HR32,D,TEMPORARY,32.88,4.31,17.09,16.93,0,108.3,1399.85,6.84,7.79,25.23,43.51,24.6,1,4.268,2026-01-21
2014,EE,IT76,O,PLATFORM,29.52,14.44,22.08,22.95,0,346.2,754.25,7.29,5.21,54.13,48.43,49.68,1,3.8792,2025-11-04
2015,IT,PT671,E,SELF_EMPLOYED,46.48,8.08,19.38,8.02,0,1066.16,958.36,7.03,5.76,62.84,38.88,22.08,1,0.7463,2024-03-05
2016,PT,AT58,P,PERMANENT,34.43,15.67,6.74,7.95,1,249.7,582.61,7.13,4.72,73.77,80.94,12.39,0,1.2216,2024-02-23
2017,BE,GR254,F,APPRENTICE,23.28,9.6,6.87,18.56,0,650.62,571.4,5.93,8.57,19.07,46.95,17.7,0,3.6333,2025-08-08
2018,FI,DE819,Q,TEMPORARY,36.5,15.07,23.95,24.18,0,369.2,161.75,5.92,7.1,25.77,19.77,55.99,1,4.1889,2025-07-15
2019,LV,DK51,G,PLATFORM,34.27,8.63,24.56,18.63,0,564.36,662.24,6.03,6.95,63.26,40.47,21.28,1,1.08,2025-09-02
2020,RO,LU59,R,SELF_EMPLOYED,36.65,14.18,10.18,13.94,0,214.11,1799.96,6.94,7.46,52.3,26.47,28.09,1,1.0911,2025-02-07
2021,BG,MT232,H,PERMANENT,27.23,12.4,20.11,10.24,1,163.76,1534.8,5.32,5.11,83.8,67.79,20.24,1,0.2688,2024-10-02
2022,FR,ES2,S,APPRENTICE,28.55,10.42,12.44,23.91,1,203.4,1765.7,8.1,8.16,38.98,69.74,40.9,0,2.2216,2024-03-12
2023,LT,LV66,I,TEMPORARY,26.31,15.01,25.75,3.98,0,335.49,435.94,5.63,8.02,47.14,26.84,4.28,1,2.7646,2025-02-20
2024,SK,PT17,T,PLATFORM,34.35,13.97,19.33,6.54,1,478.23,1650.57,7.48,7.14,45.9,16.1,19.43,1,4.5011,2024-10-31
2025,HR,EE601,J,SELF_EMPLOYED,36.25,7.46,39.09,22.78,0,228.76,1604.87,7.65,7.37,25.99,29.01,47.61,1,4.4403,2024-04-10
2006,DE,AT83,U,PERMANENT,34.78,19.74,24.08,13.64,0,390.71,1217.69,6.07,6.48,39.03,27.39,36.73,1,1.6493,2024-05-22
2007,LU,SE3,K,APPRENTICE,27.87,4.11,18.72,11.98,0,523.24,808.85,6.53,6.96,56.47,13.04,52.04,1,2.4742,2024-02-23
2008,SI,FI207,A,TEMPORARY,39.11,19.05,14.16,18.29,0,334.14,904.93,5.82,5.34,56.59,38.77,9.84,1,3.5114,2024-02-28
2009,CY,LT5,L,PLATFORM,49.36,7.3,3.92,3.12,0,595.21,212.85,7.13,6.65,42.05,18.44,49.55,0,4.3254,2024-12-25
2010,GR,CZ4,B,SELF_EMPLOYED,41.8,15.96,23.83,13.14,0,992.73,165.31,5.37,5.12,72.87,49.53,32.82,0,1.027,2024-05-28
2011,MT,MT109,M,PERMANENT,42.05,23.83,15.64,25.05,0,412.82,771.14,7.39,6.09,52.28,38.95,49.55,1,1.5012,2024-01-12
2012,ES,SK9,C,APPRENTICE,27.07,13.96,9.86,5.58,0,531.8,564.28,6.52,7.21,66.02,61.24,21.39,0,0.547,2025-05-26
2013,CZ,SE90,N,TEMPORARY,30.59,13.72,11.45,28.08,0,162.87,142.69,7.4,7.94,64.49,56.05,44.63,1,3.066,2026-02-05
2014,HU,SI88,D,PLATFORM,46.89,12.98,6.77,20.95,0,724.13,575.7,5.18,4.85,52.23,33.52,16.58,0,3.4252,2025-08-09
2015,NL,GR828,O,SELF_EMPLOYED,44.66,17.89,24.08,15.73,0,405.37,133.01,5.48,7.31,53.1,63.93,31.83,1,4.1328,2025-09-22
2016,SE,CY5,E,PERMANENT,27.67,11.77,13.67,12.26,0,375.52,124.74,7.67,6.03,46.59,64.15,62.52,1,1.9886,2024-06-26
2017,DK,SK4,P,APPRENTICE,24.93,12.73,17.64,26.85,0,486.13,1209.21,6.95,5.7,54.72,61.66,48.09,0,0.5777,2024-12-13
2018,IE,IE89,F,TEMPORARY,28.05,11.0,11.84,13.22,1,977.1,179.74,5.54,7.79,42.79,21.19,46.69,1,1.1304,2024-07-12
2019,PL,NL970,Q,PLATFORM,39.76,4.39,12.13,18.44,1,590.71,748.04,6.31,5.99,41.08,33.18,35.53,0,4.032,2026-01-31
2020,AT,SK45,G,SELF_EMPLOYED,38.22,9.65,4.3,19.72,1,210.87,1075.61,7.99,7.68,70.79,43.47,41.83,1,2.6591,2024-11-08
2021,EE,NL8,R,PERMANENT,42.08,26.24,13.82,18.68,1,61.6,1690.94,6.89,6.92,48.35,36.78,39.85,0,0.6486,2026-01-13
2022,IT,FR22,H,APPRENTICE,23.31,12.98,34.37,13.28,0,1003.45,222.78,5.55,6.94,23.07,27.17,4.27,1,3.8785,2024-02-01
2023,PT,BG3,S,TEMPORARY,36.15,7.38,11.11,16.49,0,739.83,440.01,7.6,8.62,51.99,33.99,25.11,0,3.6977,2024-08-29
2024,BE,BG96,I,PLATFORM,28.25,5.5,29.38,21.87,1,272.26,1005.3,6.97,8.76,35.81,17.46,12.2,1,1.1158,2025-08-01
2025,FI,HU465,T,SELF_EMPLOYED,30.01,19.39,11.55,22.76,0,86.21,431.22,8.18,5.26,61.6,19.69,41.63,1,0.2599,2024-02-27
2006,LV,HR29,J,PERMANENT,30.48,6.81,13.74,6.4,0,381.43,113.34,6.87,5.4,42.61,60.65,36.65,0,2.4226,2025-07-13
2007,RO,BE7,U,APPRENTICE,30.36,8.93,10.48,20.22,0,536.58,1031.87,5.72,7.53,45.7,29.51,27.32,0,0.4517,2025-02-13
2008,BG,BE87,K,TEMPORARY,32.55,16.09,28.59,14.87,0,109.58,200.42,6.14,7.54,34.06,27.32,56.43,1,0.8497,2024-06-02
2009,FR,HR81,A,PLATFORM,42.31,23.43,23.26,2.55,0,662.37,158.38,4.79,7.08,30.99,45.69,18.25,1,2.1834,2024-12-16
2010,LT,AT816,L,SELF_EMPLOYED,30.43,16.17,14.65,19.16,0,546.21,680.78,8.39,5.35,68.45,16.68,41.63,1,3.7285,2024-11-13
2011,SK,MT937,B,PERMANENT,33.26,19.95,13.02,17.23,0,83.92,1353.63,5.56,8.77,67.5,75.56,27.97,0,0.5586,2025-07-13
2012,HR,AT431,M,APPRENTICE,22.18,3.31,10.51,16.71,1,460.44,1325.27,8.8,5.48,22.34,43.16,36.74,1,3.6209,2024-05-31
2013,DE,GR848,C,TEMPORARY,26.55,5.43,17.14,12.93,0,480.59,848.94,7.2,5.68,27.25,31.43,28.41,1,4.5777,2025-04-02
2014,LU,SK69,N,PLATFORM,28.59,17.59,20.09,5.01,0,376.04,735.36,4.83,7.19,41.86,24.0,35.39,0,3.0004,2025-03-16
2015,SI,HU326,D,SELF_EMPLOYED,37.59,13.72,19.55,14.97,0,340.78,1048.78,6.96,5.99,51.61,47.85,41.13,1,0.8788,2024-06-19
2016,CY,SE619,O,PERMANENT,30.49,2.4,6.75,20.54,0,207.94,1442.71,8.02,6.7,32.56,78.48,26.68,1,0.2342,2025-08-24
2017,GR,HR8,E,APPRENTICE,20.55,11.17,13.92,5.07,0,267.79,838.52,8.03,6.96,63.26,78.41,41.35,1,4.1704,2025-09-06
2018,MT,PL42,P,TEMPORARY,30.15,3.18,19.99,14.2,0,233.14,729.63,7.81,5.88,55.52,50.98,44.8,1,0.2549,2025-07-29
2019,ES,BG365,F,PLATFORM,43.97,13.75,22.71,14.68,1,825.78,917.44,4.87,7.35,75.9,50.54,21.02,1,1.1852,2025-10-26
2020,CZ,CZ5,Q,SELF_EMPLOYED,40.99,14.41,15.7,15.79,0,617.37,321.9,7.6,6.5,88.63,22.83,5.78,0,1.8457,2024-01-24
2021,HU,LV533,G,PERMANENT,42.49,15.77,13.27,37.74,0,326.05,800.91,7.02,7.53,42.52,76.77,4.36,0,1.3006,2025-12-08
2022,NL,IT885,R,APPRENTICE,27.59,5.54,19.29,24.12,1,638.51,771.22,8.17,5.32,60.26,60.05,19.02,1,2.4966,2025-04-13
2023,SE,PT359,H,TEMPORARY,33.39,10.37,7.92,4.69,0,1297.45,573.32,6.48,7.16,31.65,41.66,9.25,0,1.8378,2024-01-28
2024,DK,HR19,S,PLATFORM,41.54,16.49,5.15,21.03,0,59.09,1032.84,6.9,5.94,47.14,43.21,80.02,0,1.0158,2024-07-12
2025,IE,CZ1,I,SELF_EMPLOYED,37.28,13.56,37.04,23.63,1,71.95,525.32,7.1,8.62,80.34,44.15,38.71,1,0.2109,2025-05-01
2006,PL,FR28,T,PERMANENT,35.26,2.42,7.39,18.57,0,368.91,1723.14,8.72,6.25,61.4,66.36,27.21,1,2.4771,2025-04-18
2007,AT,LU3,J,APPRENTICE,22.2,17.1,13.69,9.24,1,366.16,644.4,5.24,4.87,52.93,17.28,14.77,0,2.5821,2024-08-08
2008,EE,CY864,U,TEMPORARY,38.31,6.06,11.52,21.95,0,70.02,836.49,5.65,6.08,33.68,36.36,29.34,0,4.3706,2025-05-22
2009,IT,AT662,K,PLATFORM,43.89,18.32,25.08,10.37,0,212.62,255.75,6.61,4.73,63.95,49.66,7.97,0,0.4884,2025-04-20
2010,PT,EE73,A,SELF_EMPLOYED,48.5,22.9,15.42,13.13,0,317.7,423.48,5.42,4.65,60.24,33.23,8.14,1,3.9506,2024-10-08
2011,BE,PL73,L,PERMANENT,40.16,5.6,8.05,11.25,0,373.39,791.5,5.91,6.62,30.57,37.63,11.77,1,0.4574,2024-07-05
2012,FI,LV61,B,APPRENTICE,24.16,7.02,22.93,22.26,0,197.96,1199.25,6.14,7.45,44.25,22.62,12.9,1,4.21,2025-07-31
2013,LV,LV729,M,TEMPORARY,30.86,13.57,8.0,27.84,0,113.97,329.49,8.66,8.51,48.73,53.68,32.29,1,4.3819,2025-06-01
2014,RO,SK36,C,PLATFORM,29.95,16.87,6.44,2.73,0,952.47,206.4,5.0,6.62,32.89,21.77,19.93,0,3.4064,2024-05-17
2015,BG,MT37,N,SELF_EMPLOYED,34.45,12.18,11.36,14.65,0,625.82,279.82,7.08,8.53,33.39,47.06,39.54,1,3.8708,2025-05-29
2016,FR,ES67,D,PERMANENT,34.33,6.38,17.69,19.51,0,96.19,1342.31,7.68,6.04,41.78,26.37,8.96,1,0.3616,2025-03-23
2017,LT,FR4,O,APPRENTICE,20.73,5.07,8.54,4.43,0,602.57,623.64,7.83,7.86,24.45,43.64,53.57,0,1.6552,2024-07-17
2018,SK,MT773,E,TEMPORARY,27.56,10.87,10.92,5.28,0,109.58,793.46,7.57,5.97,34.48,53.17,6.31,1,2.7181,2024-01-27
2019,HR,BG1,P,PLATFORM,41.99,4.1,11.54,13.91,0,271.92,463.86,6.37,7.07,30.93,37.25,44.29,0,1.1243,2025-06-13
2020,DE,DE7,F,SELF_EMPLOYED,38.45,24.67,27.92,8.09,0,637.66,327.52,7.72,6.75,64.35,52.66,55.91,1,1.1986,2024-11-07
2021,LU,IE8,Q,PERMANENT,41.31,24.12,14.81,21.97,0,52.16,1566.79,7.89,5.28,86.9,75.11,18.78,1,0.381,2024-11-18
2022,SI,SE59,G,APPRENTICE,20.6,2.42,5.96,4.54,0,178.01,940.35,7.78,7.85,48.02,74.21,5.61,1,3.4663,2025-12-14
2023,CY,HR51,R,TEMPORARY,24.58,12.94,16.88,6.38,0,493.6,599.63,5.48,6.02,31.32,23.49,43.66,1,2.9096,2024-03-29
2024,GR,PT53,H,PLATFORM,43.51,4.29,26.32,17.33,0,1275.11,300.76,5.72,4.63,26.1,37.61,22.12,1,0.9871,2025-07-03
2025,MT,PT125,S,SELF_EMPLOYED,45.88,19.69,24.58,21.69,1,379.73,543.4,7.26,5.34,26.66,49.78,14.74,1,2.0466,2025-11-21
2006,ES,IE80,I,PERMANENT,24.89,20.09,12.47,16.14,0,329.15,464.26,8.08,8.36,64.98,76.87,32.25,1,2.1609,2025-02-05
2007,CZ,BG9,T,APPRENTICE,35.03,3.39,27.2,21.13,0,104.77,338.15,8.22,7.68,20.78,79.0,29.93,0,4.3344,2024-04-12
2008,HU,HR844,J,TEMPORARY,35.56,13.67,23.33,7.99,0,724.94,1367.39,6.99,5.9,37.05,25.15,6.24,1,0.7116,2024-03-02
2009,NL,DK95,U,PLATFORM,38.31,20.46,21.92,13.62,0,495.92,1423.76,6.95,6.76,22.24,62.8,36.33,0,1.1468,2025-01-03
2010,SE,EE6,K,SELF_EMPLOYED,49.31,21.16,21.03,7.82,0,273.06,487.01,8.14,4.96,48.05,56.2,42.03,1,3.7218,2025-01-19
2011,DK,BE6,A,PERMANENT,36.68,3.2,17.35,2.76,0,313.58,378.6,7.92,7.62,54.68,88.85,46.46,1,3.4143,2025-05-11
2012,IE,NL89,L,APPRENTICE,26.22,9.54,14.15,18.19,0,302.48,1324.85,7.59,6.45,30.46,76.13,57.13,0,4.0611,2025-09-10
2013,PL,BE542,B,TEMPORARY,41.25,8.54,20.06,11.15,0,433.55,1358.72,6.3,6.53,54.04,60.01,43.0,1,3.1093,2024-12-31
2014,AT,BG76,M,PLATFORM,32.23,5.4,25.45,8.7,0,175.64,332.1,4.79,6.22,50.1,53.45,45.29,1,1.2609,2024-03-11
2015,EE,FI7,C,SELF_EMPLOYED,37.64,16.25,10.57,19.56,0,561.93,463.06,7.36,7.27,57.69,58.09,37.08,1,1.6769,2025-02-05
2016,IT,PL21,N,PERMANENT,42.14,5.36,26.45,20.71,0,552.01,246.53,6.87,7.19,23.79,18.42,9.8,1,0.4478,2025-01-20
2017,PT,BE423,D,APPRENTICE,25.01,5.84,22.87,22.85,0,1043.43,176.24,6.37,5.58,17.17,34.99,16.99,0,0.5296,2024-07-05
2018,BE,PT607,O,TEMPORARY,30.4,11.29,27.31,17.86,1,311.84,504.94,6.31,7.21,44.66,29.25,26.88,0,1.729,2026-01-03
2019,FI,DK32,E,PLATFORM,33.96,7.49,20.97,3.68,0,1184.75,1406.28,7.15,5.43,25.28,66.03,59.16,1,1.6814,2024-03-26
2020,LV,IT23,P,SELF_EMPLOYED,34.9,7.11,4.93,21.52,1,262.47,674.74,6.36,6.91,29.2,43.61,48.59,1,2.6739,2025-11-13
2021,RO,DK195,F,PERMANENT,25.43,13.52,15.12,30.21,1,598.51,1132.13,5.47,7.91,48.7,46.8,19.57,0,0.8141,2025-03-24
2022,BG,RO478,Q,APPRENTICE,25.57,12.79,7.35,16.49,1,444.81,1627.93,7.83,5.24,30.54,48.2,53.44,1,4.2162,2025-08-18
2023,FR,RO375,G,TEMPORARY,28.24,14.26,6.82,4.47,0,541.0,1542.47,7.05,5.62,73.64,62.75,10.82,1,3.7356,2026-01-08
2024,LT,AT677,R,PLATFORM,38.67,2.4,11.7,17.22,0,228.2,1105.14,5.63,5.26,42.86,19.15,11.09,1,4.4003,2025-11-30
2025,SK,LV58,H,SELF_EMPLOYED,45.75,26.16,11.82,16.3,0,1131.62,143.44,7.04,6.92,37.18,50.84,9.49,1,2.4061,2024-12-08
2006,HR,FR90,S,PERMANENT,35.66,4.63,6.81,1.88,0,92.19,1665.88,6.5,7.63,53.84,74.44,41.81,0,3.9719,2025-03-19
2007,DE,SI409,I,APPRENTICE,32.16,6.04,13.29,11.23,1,363.76,781.5,7.57,6.65,36.65,77.31,22.53,0,1.5152,2025-10-31
2008,LU,ES706,T,TEMPORARY,26.01,4.37,28.41,14.38,0,273.81,1583.02,5.25,5.95,47.12,30.24,14.62,1,1.4988,2025-04-05
2009,SI,RO189,J,PLATFORM,41.13,5.55,19.3,28.22,0,115.25,926.46,7.8,4.63,64.69,25.84,10.94,0,4.2064,2024-05-03
2010,CY,NL1,U,SELF_EMPLOYED,43.97,17.99,12.27,12.31,0,598.47,855.44,7.15,4.87,64.46,49.16,48.35,0,1.7135,2025-11-03
2011,GR,FI71,K,PERMANENT,27.02,17.57,33.32,17.46,0,597.39,427.54,8.26,7.29,50.88,57.64,28.54,1,1.8537,2025-06-22
2012,MT,IT917,A,APPRENTICE,30.78,17.29,22.0,21.06,0,100.27,130.12,8.4,8.56,41.47,79.87,17.13,1,3.6558,2025-05-16
2013,ES,LU33,L,TEMPORARY,33.72,5.66,6.21,6.66,0,540.3,347.44,7.51,8.0,40.9,34.4,15.45,0,0.4577,2024-04-01
2014,CZ,DK71,B,PLATFORM,38.59,11.96,15.87,20.96,0,1296.53,180.72,5.99,8.54,18.32,13.63,29.31,1,0.6433,2025-03-05
2015,HU,SK85,M,SELF_EMPLOYED,28.35,12.29,7.94,9.43,0,421.11,615.46,7.5,5.25,33.81,18.11,46.81,1,1.6443,2025-09-29
2016,NL,HU78,C,PERMANENT,37.91,13.55,5.08,22.62,0,1030.49,201.28,6.26,8.45,55.76,81.35,8.58,1,3.9668,2026-01-17
2017,SE,FI81,N,APPRENTICE,29.52,3.45,24.86,23.62,0,486.5,621.68,8.47,8.69,63.65,31.65,80.62,1,3.7139,2025-12-26
2018,DK,BG950,D,TEMPORARY,39.35,19.39,10.24,14.97,0,336.3,1394.91,6.91,7.91,70.65,20.22,61.62,1,2.7916,2025-03-07
2019,IE,MT485,O,PLATFORM,48.91,13.07,6.88,21.24,1,611.47,447.69,6.54,7.11,80.57,32.99,47.17,0,3.799,2024-11-17
2020,PL,PT697,E,SELF_EMPLOYED,41.91,19.21,15.88,27.34,1,301.34,852.72,7.78,4.72,51.17,36.3,13.16,1,1.8904,2025-01-06
2021,AT,IT5,P,PERMANENT,24.32,12.72,26.36,29.53,1,72.84,196.58,6.91,5.87,59.34,25.29,40.48,0,2.841,2025-10-04
2022,EE,DE77,F,APPRENTICE,29.03,16.48,5.87,22.9,1,1079.48,1399.36,8.75,8.07,74.79,15.07,25.52,0,3.0702,2025-08-06
2023,IT,LU709,Q,TEMPORARY,24.08,15.38,22.52,3.05,0,325.16,543.13,7.59,5.68,66.3,45.34,37.48,0,1.0609,2025-02-22
2024,PT,LV9,G,PLATFORM,28.31,10.02,16.93,8.78,0,440.34,865.3,6.19,6.5,16.85,32.23,53.62,1,0.7031,2026-01-26
2025,BE,CZ23,R,SELF_EMPLOYED,29.73,6.61,17.94,16.84,1,262.93,1341.9,5.59,5.9,25.2,62.95,47.23,1,3.9665,2025-05-17
2006,FI,IT950,H,PERMANENT,27.3,8.94,38.61,25.49,0,1073.47,945.19,5.51,6.86,56.53,38.57,69.5,1,1.6625,2025-06-03
2007,LV,HU100,S,APPRENTICE,27.7,14.49,18.21,3.04,0,128.59,731.92,6.05,7.54,56.48,14.07,35.95,1,0.7499,2026-02-05
2008,RO,CY555,I,TEMPORARY,42.96,11.62,18.34,19.47,0,219.11,162.97,6.11,7.16,20.16,62.8,6.55,0,2.8122,2025-05-21
2009,BG,EE1,T,PLATFORM,35.55,2.71,18.08,1.59,1,344.32,1132.63,5.3,6.18,58.86,41.75,44.21,1,1.6803,2025-06-02
2010,FR,LT285,J,SELF_EMPLOYED,44.04,23.8,22.25,9.02,0,322.29,1438.79,5.17,4.75,75.23,46.03,50.03,1,0.7165,2025-03-24
2011,LT,FR89,U,PERMANENT,38.94,17.07,18.91,19.46,0,177.63,1591.19,5.9,6.65,47.84,59.77,24.05,1,2.788,2025-10-11
2012,SK,FI837,K,APPRENTICE,30.28,16.54,4.69,9.84,0,213.45,422.31,6.07,7.76,49.88,72.57,41.98,1,0.9424,2024-11-16
2013,HR,EE163,A,TEMPORARY,36.54,17.32,7.21,7.97,1,236.31,1269.7,6.75,7.43,50.42,33.79,45.6,0,0.6418,2025-05-12
2014,DE,BG52,L,PLATFORM,48.24,6.86,26.73,28.43,0,678.9,1348.77,7.93,6.29,30.07,36.91,40.65,1,0.6596,2025-05-12
2015,LU,IT27,B,SELF_EMPLOYED,45.34,10.94,20.14,1.68,0,761.2,473.11,8.11,5.73,43.74,40.01,14.53,1,0.6228,2025-07-31
2016,SI,EE692,M,PERMANENT,39.02,18.6,11.03,3.77,0,357.03,908.51,7.86,5.9,44.28,30.37,18.08,1,4.5567,2025-01-26
2017,CY,RO59,C,APPRENTICE,29.7,13.46,27.81,11.23,0,448.56,525.9,6.77,7.07,33.75,31.33,43.95,1,2.6283,2025-08-29
2018,GR,LU99,N,TEMPORARY,28.12,5.49,17.11,15.0,1,108.68,1351.0,6.55,7.36,32.21,48.11,13.21,0,0.3894,2025-08-12
2019,MT,CZ3,D,PLATFORM,45.04,9.15,6.38,11.47,0,804.07,928.16,6.76,5.75,24.28,48.83,3.61,1,0.7754,2024-11-06
2020,ES,AT97,O,SELF_EMPLOYED,41.39,13.59,12.68,7.31,0,417.32,1485.78,6.91,4.26,50.58,40.11,43.91,1,0.9031,2025-07-29
2021,CZ,FI64,E,PERMANENT,29.82,11.05,35.01,20.4,1,231.87,1344.54,8.46,7.38,58.87,78.26,12.35,1,2.4734,2024-12-10
2022,HU,ES934,P,APPRENTICE,31.44,10.24,27.45,1.73,0,294.78,1464.77,7.45,5.2,60.94,81.05,28.29,0,4.1485,2024-10-28
2023,NL,IE252,F,TEMPORARY,25.04,14.97,16.14,16.57,1,610.83,1156.84,7.87,8.66,29.3,30.55,17.87,0,4.5577,2024-08-06
2024,SE,SI96,Q,PLATFORM,39.55,11.57,4.77,23.63,1,628.99,1075.15,6.05,7.06,23.39,73.6,61.03,0,1.6186,2025-04-26
2025,DK,ES73,G,SELF_EMPLOYED,29.36,13.96,24.47,8.3,0,82.63,570.58,8.12,7.95,50.2,14.69,53.07,1,0.9413,2025-10-11
2006,IE,RO77,R,PERMANENT,31.13,14.39,26.44,8.88,0,494.03,211.51,6.39,6.61,81.21,64.3,55.59,1,4.4396,2025-04-28
2007,PL,GR4,H,APPRENTICE,30.86,16.46,24.49,14.77,0,936.08,331.66,8.16,6.69,35.18,54.13,49.24,1,1.6612,2025-07-30
2008,AT,SE43,S,TEMPORARY,35.26,8.69,14.23,21.02,0,491.4,227.09,8.31,6.73,63.18,38.48,40.78,0,2.9766,2024-02-26
2009,EE,EE96,I,PLATFORM,35.32,14.24,28.46,4.61,1,299.39,352.56,6.64,7.76,62.54,65.4,6.45,0,1.6126,2026-02-21
2010,IT,CY783,T,SELF_EMPLOYED,30.64,9.49,17.39,13.53,0,320.11,1517.4,7.14,8.72,31.56,41.55,10.8,0,0.7081,2025-10-07
