house_permits_reference_month,house_permits_country_iso2,house_permits_region_nuts_code,house_permits_building_type_code,house_permits_dwellings_authorised_count,house_permits_floor_area_authorised_m2,house_permits_construction_cost_index,house_permits_construction_time_months_median,house_permits_material_cost_index,house_permits_labor_shortage_index,house_permits_green_building_standard_flag,house_permits_social_housing_quota_flag,house_permits_renovation_permits_count,house_permits_demolition_permits_count,house_permits_land_use_planning_code,house_permits_flood_risk_zone_flag,house_permits_epbd_compliance_flag,house_permits_data_source,house_permits_revision_round,house_permits_data_extract_date
2017-12,SE,RO30,RESIDENTIAL_MULTI_FAMILY,1892,223720.18,102.37,6.81,119.3,0.2824,0,0,479,1533,COASTAL_CONTROL,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2026-01-19
2018-01,DK,RO2,RESIDENTIAL_SINGLE_FAMILY,1030,84456.76,108.55,11.57,102.31,1.5918,1,0,1051,319,BROWNFIELD_REUSE,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2024-11-27
2018-02,IE,NL33,MIXED_USE,1266,106486.69,100.17,26.43,107.49,0.2654,0,1,3692,1334,URBAN_REGEN,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-08-23
2018-03,PL,LU1,INDUSTRIAL,2502,267708.72,118.63,26.79,109.14,1.1094,0,0,1504,1666,FAST_TRACK,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-07-28
2018-04,AT,HR32,PUBLIC,2497,179146.01,117.62,33.78,100.48,1.5957,0,0,7120,1513,ZONING_PLAN_B,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-05-20
2018-05,EE,IT76,COMMERCIAL,4172,277017.3,106.08,13.69,131.75,1.6869,0,0,8491,426,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-06-05
2018-06,IT,PT671,RESIDENTIAL_MULTI_FAMILY,3408,274953.09,98.27,10.34,130.88,1.1557,0,0,1362,1596,FLOODPLAIN_CONTROL,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-03-05
2018-07,PT,AT58,RESIDENTIAL_SINGLE_FAMILY,4145,449629.21,106.09,7.04,105.85,0.5894,1,0,4350,1916,COASTAL_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2026-02-17
2018-08,BE,GR254,MIXED_USE,1927,211136.18,106.11,13.38,103.4,0.7255,1,0,1530,591,BROWNFIELD_REUSE,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-06-18
2018-09,FI,DE819,INDUSTRIAL,4872,761839.91,119.31,33.69,126.8,1.8032,0,0,3585,960,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-11-23
2018-10,LV,DK51,PUBLIC,1965,207523.43,109.86,13.78,119.76,0.6471,0,0,6914,16,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-04-25
2018-11,RO,LU59,COMMERCIAL,5389,261925.49,102.98,15.54,127.44,1.0041,0,1,8820,1456,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-07-13
2018-12,BG,MT232,RESIDENTIAL_MULTI_FAMILY,705,65422.17,99.97,18.73,118.94,1.1885,0,0,4841,1116,ZONING_PLAN_A,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-10-17
2019-01,FR,ES2,RESIDENTIAL_SINGLE_FAMILY,5324,299843.57,118.03,14.95,123.46,0.1899,0,1,3808,645,FLOODPLAIN_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-02-28
2019-02,LT,LV66,MIXED_USE,4354,380269.29,116.76,13.19,130.2,1.6103,0,0,6887,706,COASTAL_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-04-11
2019-03,SK,PT17,INDUSTRIAL,2678,301685.21,97.51,22.14,96.04,1.0186,0,0,3679,162,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-08-22
2019-04,HR,EE601,PUBLIC,1787,232690.42,121.87,15.08,108.28,0.1669,0,0,1129,1152,URBAN_REGEN,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-04-25
2019-05,DE,AT83,COMMERCIAL,489,27745.29,112.45,29.47,120.47,1.7887,1,0,7043,789,FAST_TRACK,1,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-01-01
2019-06,LU,SE3,RESIDENTIAL_MULTI_FAMILY,8664,911016.05,105.84,25.49,111.26,0.1915,1,0,6866,1889,ZONING_PLAN_B,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-07-20
2019-07,SI,FI207,RESIDENTIAL_SINGLE_FAMILY,4033,496344.57,117.75,10.11,110.2,0.6884,0,0,7599,1712,ZONING_PLAN_A,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-10-10
2019-08,CY,LT5,MIXED_USE,5810,542171.61,123.89,10.68,99.48,0.7423,0,0,5090,77,FLOODPLAIN_CONTROL,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-08-21
2019-09,GR,CZ4,INDUSTRIAL,446,45997.61,116.77,34.66,109.06,1.6041,1,0,6130,636,COASTAL_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-02-03
2019-10,MT,MT109,PUBLIC,319,38872.36,99.57,16.15,122.94,0.7122,0,0,4507,1814,BROWNFIELD_REUSE,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-04-25
2019-11,ES,SK9,COMMERCIAL,4128,393402.52,111.52,17.27,105.93,0.4317,0,0,7241,690,URBAN_REGEN,1,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-10-07
2019-12,CZ,SE90,RESIDENTIAL_MULTI_FAMILY,8598,892392.04,122.09,10.99,108.57,0.3032,1,1,7365,1147,FAST_TRACK,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-02-27
2020-01,HU,SI88,RESIDENTIAL_SINGLE_FAMILY,1955,138067.4,130.68,26.35,109.18,1.0901,0,1,12852,1799,ZONING_PLAN_B,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2026-02-14
2020-02,NL,GR828,MIXED_USE,5521,547567.55,110.18,18.3,113.87,0.7265,0,0,10529,689,ZONING_PLAN_A,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-05-05
2020-03,SE,CY5,INDUSTRIAL,777,100718.08,103.76,16.54,110.14,2.6037,1,0,4475,1222,FLOODPLAIN_CONTROL,1,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-11
2020-04,DK,SK4,PUBLIC,6040,860037.99,105.32,24.98,109.82,2.1611,0,0,213,145,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-05-29
2020-05,IE,IE89,COMMERCIAL,986,110593.65,126.18,25.15,103.06,1.8488,1,0,7725,1038,BROWNFIELD_REUSE,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-09-03
2020-06,PL,NL970,RESIDENTIAL_MULTI_FAMILY,6240,529455.42,124.32,21.69,133.58,0.3146,0,1,6559,1340,URBAN_REGEN,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-05-15
2020-07,AT,SK45,RESIDENTIAL_SINGLE_FAMILY,8977,1034549.82,130.94,20.65,120.39,3.0464,0,1,7322,1528,FAST_TRACK,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-08-22
2020-08,EE,NL8,MIXED_USE,3187,204999.18,109.73,11.34,122.79,0.4887,0,1,966,351,ZONING_PLAN_B,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-18
2020-09,IT,FR22,INDUSTRIAL,1909,97128.05,109.4,23.59,131.85,1.9965,0,0,11080,815,ZONING_PLAN_A,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-23
2020-10,PT,BG3,PUBLIC,2525,286761.74,118.46,20.68,117.67,1.2433,0,0,13411,103,FLOODPLAIN_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-24
2020-11,BE,BG96,COMMERCIAL,1088,96431.21,114.62,28.7,132.3,2.1608,1,1,4650,205,COASTAL_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-11
2020-12,FI,HU465,RESIDENTIAL_MULTI_FAMILY,9119,1059893.03,119.9,33.16,138.5,1.9794,0,0,13601,131,BROWNFIELD_REUSE,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-11-24
2021-01,LV,HR29,RESIDENTIAL_SINGLE_FAMILY,7389,963245.81,112.98,14.51,128.29,1.4903,1,0,3268,2213,URBAN_REGEN,1,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-08-18
2021-02,RO,BE7,MIXED_USE,5096,606653.24,119.18,12.16,109.49,1.8801,0,1,1411,1049,FAST_TRACK,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-02-27
2021-03,BG,BE87,INDUSTRIAL,5431,394116.2,112.51,12.85,108.51,2.7624,0,1,9187,767,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2026-02-17
2021-04,FR,HR81,PUBLIC,4029,235119.59,115.08,37.03,122.92,1.6165,1,0,5216,171,ZONING_PLAN_A,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-07-11
2021-05,LT,AT816,COMMERCIAL,373,20809.23,130.64,28.56,117.63,1.3471,0,0,12483,1053,FLOODPLAIN_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2024-05-09
2021-06,SK,MT937,RESIDENTIAL_MULTI_FAMILY,6718,747445.82,123.87,12.05,143.17,2.9155,0,0,12108,931,COASTAL_CONTROL,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-01-13
2021-07,HR,AT431,RESIDENTIAL_SINGLE_FAMILY,3664,317969.44,135.61,19.19,113.14,1.0293,0,0,7507,992,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-03-02
2021-08,DE,GR848,MIXED_USE,4894,668016.07,116.78,36.65,109.38,2.4616,1,0,9802,2245,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-05-25
2021-09,LU,SK69,INDUSTRIAL,4832,434566.07,124.57,27.99,130.02,2.3155,0,1,1281,384,FAST_TRACK,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-05-12
2021-10,SI,HU326,PUBLIC,1194,77450.05,135.24,9.96,112.76,2.6131,1,1,246,729,ZONING_PLAN_B,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-03-27
2021-11,CY,SE619,COMMERCIAL,5279,423586.47,120.98,22.38,125.16,1.1939,1,0,14630,1243,ZONING_PLAN_A,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-03-24
2021-12,GR,HR8,RESIDENTIAL_MULTI_FAMILY,2196,289265.09,122.98,11.44,137.01,2.1867,1,0,512,1826,FLOODPLAIN_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-09-03
2022-01,MT,PL42,RESIDENTIAL_SINGLE_FAMILY,3130,439416.22,116.16,20.58,119.9,2.8447,1,0,5719,355,COASTAL_CONTROL,1,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-12-06
2022-02,ES,BG365,MIXED_USE,205,19805.04,107.12,25.88,136.81,2.596,1,0,8110,1926,BROWNFIELD_REUSE,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-01-26
2022-03,CZ,CZ5,INDUSTRIAL,2379,158397.0,112.61,8.96,115.55,2.8835,0,1,7659,1110,URBAN_REGEN,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-02
2022-04,HU,LV533,PUBLIC,1122,76762.67,128.64,16.11,123.04,0.9258,1,0,4541,1959,FAST_TRACK,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-10-13
2022-05,NL,IT885,COMMERCIAL,5775,471091.65,138.16,32.93,120.76,1.8962,0,1,5780,1414,ZONING_PLAN_B,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2026-01-01
2022-06,SE,PT359,RESIDENTIAL_MULTI_FAMILY,8280,678836.03,119.38,22.8,140.05,1.3452,1,0,7381,609,ZONING_PLAN_A,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-01-24
2022-07,DK,HR19,RESIDENTIAL_SINGLE_FAMILY,8364,431780.63,125.87,8.84,119.02,1.8044,1,0,2881,1596,FLOODPLAIN_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-11-16
2022-08,IE,CZ1,MIXED_USE,2093,253362.56,120.1,19.83,120.14,2.8928,0,0,2277,1169,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-04-26
2022-09,PL,FR28,INDUSTRIAL,3361,241334.1,127.02,34.22,113.81,1.6006,1,1,14113,906,BROWNFIELD_REUSE,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2026-01-05
2022-10,AT,LU3,PUBLIC,4274,368075.98,121.99,26.08,114.52,0.8205,1,0,405,466,URBAN_REGEN,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-04-22
2022-11,EE,CY864,COMMERCIAL,2902,288072.4,134.69,7.35,130.96,0.2551,0,0,6389,256,FAST_TRACK,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-11-07
2022-12,IT,AT662,RESIDENTIAL_MULTI_FAMILY,2717,279692.63,117.35,12.19,143.02,0.5478,0,1,10099,1016,ZONING_PLAN_B,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-04-11
2023-01,PT,EE73,RESIDENTIAL_SINGLE_FAMILY,5014,419382.81,126.55,23.4,127.8,1.0549,1,0,8024,315,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-02-16
2023-02,BE,PL73,MIXED_USE,4809,381036.27,113.12,24.09,115.07,0.1451,1,0,1996,1973,FLOODPLAIN_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-11-16
2023-03,FI,LV61,INDUSTRIAL,6212,519740.31,116.55,11.06,133.96,0.2007,0,0,11920,512,COASTAL_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-01-09
2023-04,LV,LV729,PUBLIC,3453,422874.71,117.53,23.69,142.8,1.2037,1,0,12996,1335,BROWNFIELD_REUSE,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-10-31
2023-05,RO,SK36,COMMERCIAL,4700,258323.85,124.83,16.63,138.07,1.8394,0,0,604,706,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-04-05
2023-06,BG,MT37,RESIDENTIAL_MULTI_FAMILY,7340,559140.51,130.92,27.62,115.26,2.0219,1,0,8271,1880,FAST_TRACK,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-05-15
2023-07,FR,ES67,RESIDENTIAL_SINGLE_FAMILY,7300,663901.29,114.55,28.62,120.09,3.0986,0,0,7104,753,ZONING_PLAN_B,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2026-01-01
2023-08,LT,FR4,MIXED_USE,1393,120849.22,126.08,13.0,120.68,0.144,0,0,12114,1718,ZONING_PLAN_A,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-10-08
2023-09,SK,MT773,INDUSTRIAL,5794,453300.94,128.23,18.7,136.51,0.2808,0,1,4364,1604,FLOODPLAIN_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-05-03
2023-10,HR,BG1,PUBLIC,2742,236384.06,110.42,23.19,108.34,1.5317,0,1,12863,386,COASTAL_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-11-06
2023-11,DE,DE7,COMMERCIAL,794,42247.87,125.21,18.38,141.08,2.3265,0,1,11966,343,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2026-01-27
2023-12,LU,IE8,RESIDENTIAL_MULTI_FAMILY,5576,461281.93,131.37,19.03,120.21,0.9239,0,1,4622,271,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-04-07
2024-01,SI,SE59,RESIDENTIAL_SINGLE_FAMILY,7690,494239.69,122.73,10.9,151.59,3.0354,0,1,9624,565,FAST_TRACK,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-09
2024-02,CY,HR51,MIXED_USE,4821,454655.12,125.36,31.55,143.17,1.3852,0,0,13704,151,ZONING_PLAN_B,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-05-20
2024-03,GR,PT53,INDUSTRIAL,1163,94308.75,116.77,29.99,107.62,1.33,0,1,6853,328,ZONING_PLAN_A,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-04-05
2024-04,MT,PT125,PUBLIC,1032,108111.74,107.09,8.52,111.54,0.3132,0,1,11245,1489,FLOODPLAIN_CONTROL,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-12-26
2024-05,ES,IE80,COMMERCIAL,4446,511140.5,120.57,20.28,140.26,0.886,1,1,5221,527,COASTAL_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-07-01
2024-06,CZ,BG9,RESIDENTIAL_MULTI_FAMILY,10043,1052167.54,114.01,35.54,150.41,3.0991,0,1,7749,245,BROWNFIELD_REUSE,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-08-25
2024-07,HU,HR844,RESIDENTIAL_SINGLE_FAMILY,5333,625988.43,114.57,26.07,106.6,0.2398,0,0,4296,306,URBAN_REGEN,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-10-07
2024-08,NL,DK95,MIXED_USE,2642,356826.04,113.1,12.46,130.13,3.0057,0,0,652,1008,FAST_TRACK,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-09-26
2024-09,SE,EE6,INDUSTRIAL,1714,101486.45,117.52,17.91,122.7,1.5687,0,0,3510,942,ZONING_PLAN_B,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-03-18
2024-10,DK,BE6,PUBLIC,6005,465966.84,132.53,34.62,144.54,2.9458,1,0,8372,1286,ZONING_PLAN_A,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-03-24
2024-11,IE,NL89,COMMERCIAL,4086,277363.78,125.37,17.36,136.52,0.2085,0,0,3066,1010,FLOODPLAIN_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-03-20
2024-12,PL,BE542,RESIDENTIAL_MULTI_FAMILY,8956,858359.72,128.96,11.02,156.41,2.4595,0,0,8045,1106,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-03-08
2025-01,AT,BG76,RESIDENTIAL_SINGLE_FAMILY,5911,642410.92,126.67,13.9,131.83,2.2156,1,0,4042,1264,BROWNFIELD_REUSE,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-01
2025-02,EE,FI7,MIXED_USE,6299,593462.68,134.71,32.02,116.97,1.8991,0,0,4512,1628,URBAN_REGEN,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-03-05
2025-03,IT,PL21,INDUSTRIAL,3690,260595.95,122.77,35.25,138.85,1.2421,1,0,5265,1467,FAST_TRACK,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-09-15
2025-04,PT,BE423,PUBLIC,1443,172574.93,144.0,24.04,128.39,2.8285,1,0,12444,1269,ZONING_PLAN_B,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-02-05
2025-05,BE,PT607,COMMERCIAL,3243,253273.87,140.84,11.38,132.66,1.0038,0,1,1688,375,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-11-07
2025-06,FI,DK32,RESIDENTIAL_MULTI_FAMILY,9660,936657.63,118.26,12.36,140.56,2.5012,1,0,9616,365,FLOODPLAIN_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-28
2025-07,LV,IT23,RESIDENTIAL_SINGLE_FAMILY,3049,231021.95,137.63,30.46,169.61,1.5694,0,0,625,1046,COASTAL_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-01-18
2025-08,RO,DK195,MIXED_USE,4891,495794.98,138.24,22.08,156.48,1.2298,0,0,11759,1529,BROWNFIELD_REUSE,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-02-14
2025-09,BG,RO478,INDUSTRIAL,2342,228058.31,130.85,11.65,111.91,2.9464,1,0,12979,539,URBAN_REGEN,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2024-11-09
2025-10,FR,RO375,PUBLIC,5241,645333.8,133.49,9.0,112.31,2.2784,1,0,5114,1484,FAST_TRACK,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-03-15
2025-11,LT,AT677,COMMERCIAL,2370,272695.59,124.77,14.48,125.14,1.4023,0,0,4907,414,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-09-27
2025-12,SK,LV58,RESIDENTIAL_MULTI_FAMILY,3362,227171.91,134.47,32.93,127.56,1.7025,0,1,13898,1800,ZONING_PLAN_A,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-08-26
2026-01,HR,FR90,RESIDENTIAL_SINGLE_FAMILY,5092,301718.12,137.04,19.09,131.3,0.8637,0,0,8885,387,FLOODPLAIN_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-08-04
2026-02,DE,SI409,MIXED_USE,3803,244366.03,137.97,30.62,155.71,2.2477,0,0,8225,1886,COASTAL_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-26
2026-03,LU,ES706,INDUSTRIAL,2653,315817.23,132.31,6.62,158.17,1.138,0,0,11288,1836,BROWNFIELD_REUSE,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-09-20
2026-04,SI,RO189,PUBLIC,3805,327710.66,138.63,8.51,110.83,0.2192,1,0,1354,1270,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-01-05
