lab_dialogue_reference_year,lab_dialogue_country_iso2,lab_dialogue_sector_nace_section,lab_dialogue_collective_bargaining_coverage_pct,lab_dialogue_union_density_pct,lab_dialogue_employer_organisation_density_pct,lab_dialogue_wage_setting_level_code,lab_dialogue_minimum_wage_directive_alignment_flag,lab_dialogue_agreements_signed_count,lab_dialogue_disputes_count,lab_dialogue_strike_days_lost_per_1k,lab_dialogue_mediation_cases_count,lab_dialogue_social_partner_consultations_count,lab_dialogue_tripartite_body_flag,lab_dialogue_gender_equality_clause_share_pct,lab_dialogue_platform_work_clause_share_pct,lab_dialogue_telework_clause_share_pct,lab_dialogue_training_clause_share_pct,lab_dialogue_data_source,lab_dialogue_last_update_date
2021,SI,S,42.6,18.62,54.08,MIXED,0,325,77,24.35,47,268,0,13.45,2.05,44.1,76.12,ILO_EXPORT,2011-03-22
2022,CY,I,28.11,38.21,32.99,COMPANY,1,124,21,4.05,56,73,0,21.07,1.48,22.07,14.43,EUROFOUND_EWCS,2011-04-20
2023,GR,T,56.51,35.03,21.12,SECTOR,1,353,32,18.24,113,93,0,29.94,21.81,49.77,65.26,NATIONAL_LABOUR_MINISTRY,2011-05-19
2024,MT,J,42.03,36.54,7.65,NATIONAL,0,23,6,19.19,24,127,1,59.96,8.3,58.48,11.38,SOCIAL_PARTNER_REGISTRY,2011-06-17
2025,ES,U,68.55,5.7,20.84,MIXED,0,134,52,12.28,17,331,0,29.39,18.07,70.89,68.52,ILO_EXPORT,2011-07-16
2006,CZ,K,60.31,15.48,78.84,COMPANY,0,313,52,43.38,7,41,0,14.25,7.74,15.04,65.78,EUROFOUND_EWCS,2011-08-14
2007,HU,A,29.5,27.77,25.55,SECTOR,0,149,33,32.75,101,233,1,38.06,15.41,15.11,16.06,NATIONAL_LABOUR_MINISTRY,2011-09-12
2008,NL,L,29.82,25.94,23.33,NATIONAL,0,357,73,42.74,100,256,1,36.55,7.74,44.96,49.31,SOCIAL_PARTNER_REGISTRY,2011-10-11
2009,SE,B,78.7,14.2,66.78,MIXED,0,405,41,24.69,18,24,0,35.24,7.2,20.69,49.22,ILO_EXPORT,2011-11-09
2010,DK,M,100.0,72.18,32.88,COMPANY,0,155,82,2.94,113,552,0,38.63,17.74,6.34,84.38,EUROFOUND_EWCS,2011-12-08
2011,IE,C,30.74,39.42,18.27,SECTOR,0,162,21,8.93,95,90,1,49.37,16.32,5.98,65.74,NATIONAL_LABOUR_MINISTRY,2012-01-06
2012,PL,N,76.13,6.37,53.12,NATIONAL,0,31,40,33.89,49,57,1,39.64,10.14,12.2,59.73,SOCIAL_PARTNER_REGISTRY,2012-02-04
2013,AT,D,40.43,45.71,64.17,MIXED,0,286,7,21.16,34,38,1,25.72,4.49,12.69,61.11,ILO_EXPORT,2012-03-04
2014,EE,O,22.22,50.43,35.27,COMPANY,0,57,36,28.56,110,204,1,53.51,11.79,18.6,51.38,EUROFOUND_EWCS,2012-04-02
2015,IT,E,15.06,59.12,21.64,SECTOR,0,342,38,36.07,62,223,0,41.15,14.38,41.37,33.6,NATIONAL_LABOUR_MINISTRY,2012-05-01
2016,PT,P,33.99,17.64,57.04,NATIONAL,0,181,29,16.89,0,16,1,53.94,16.94,16.14,12.6,SOCIAL_PARTNER_REGISTRY,2012-05-30
2017,BE,F,17.35,29.59,11.74,MIXED,0,50,82,12.74,11,342,1,21.35,12.04,25.7,69.18,ILO_EXPORT,2012-06-28
2018,FI,Q,16.42,81.51,36.89,COMPANY,0,188,76,16.34,131,28,1,24.16,3.67,7.07,41.37,EUROFOUND_EWCS,2012-07-27
2019,LV,G,12.61,49.06,58.07,SECTOR,0,26,19,15.75,97,1,1,38.09,0.61,29.95,55.8,NATIONAL_LABOUR_MINISTRY,2012-08-25
2020,RO,R,16.52,45.94,22.33,NATIONAL,0,48,18,6.37,30,133,0,64.29,35.92,14.62,65.44,SOCIAL_PARTNER_REGISTRY,2012-09-23
2021,BG,H,18.96,52.09,42.21,MIXED,0,94,56,50.27,27,363,0,63.48,32.89,73.34,30.84,ILO_EXPORT,2012-10-22
2022,FR,S,15.29,31.9,52.31,COMPANY,1,57,50,20.61,40,417,1,62.56,16.57,25.73,45.28,EUROFOUND_EWCS,2012-11-20
2023,LT,I,56.8,41.57,17.16,SECTOR,1,73,72,44.18,37,570,0,21.85,18.25,62.68,20.69,NATIONAL_LABOUR_MINISTRY,2012-12-19
2024,SK,T,66.58,50.14,21.41,NATIONAL,0,143,47,21.32,116,338,0,64.03,42.04,30.13,60.92,SOCIAL_PARTNER_REGISTRY,2013-01-17
2025,HR,J,60.7,25.47,69.94,MIXED,1,319,83,51.96,135,363,1,37.02,21.5,9.65,72.62,ILO_EXPORT,2013-02-15
2006,DE,U,75.07,11.75,49.37,COMPANY,0,52,17,15.52,107,98,1,22.06,18.55,43.4,48.86,EUROFOUND_EWCS,2013-03-16
2007,LU,K,58.32,22.27,34.53,SECTOR,0,133,24,15.17,9,495,1,20.83,14.38,29.62,45.18,NATIONAL_LABOUR_MINISTRY,2013-04-14
2008,SI,A,24.58,57.53,51.05,NATIONAL,0,227,1,36.67,61,56,0,21.37,5.37,28.43,62.9,SOCIAL_PARTNER_REGISTRY,2013-05-13
2009,CY,L,30.17,56.46,8.43,MIXED,0,131,87,27.82,104,316,1,27.78,11.61,43.31,15.63,ILO_EXPORT,2013-06-11
2010,GR,B,47.55,19.03,26.2,COMPANY,0,204,87,3.69,112,441,1,28.91,4.51,19.15,68.45,EUROFOUND_EWCS,2013-07-10
2011,MT,M,8.75,49.82,15.01,SECTOR,0,345,46,3.39,130,236,1,14.14,13.59,25.86,62.47,NATIONAL_LABOUR_MINISTRY,2013-08-08
2012,ES,C,54.66,38.01,59.92,NATIONAL,0,418,7,34.66,54,516,1,52.75,10.47,29.75,70.53,SOCIAL_PARTNER_REGISTRY,2013-09-06
2013,CZ,N,26.89,48.68,52.38,MIXED,0,229,50,34.08,52,184,1,20.3,15.3,23.07,40.77,ILO_EXPORT,2013-10-05
2014,HU,D,57.55,16.07,11.07,COMPANY,0,434,9,31.77,66,429,0,27.02,16.53,17.79,22.09,EUROFOUND_EWCS,2013-11-03
2015,NL,O,12.4,43.04,23.4,SECTOR,0,88,61,23.36,105,437,1,45.83,12.15,36.88,70.67,NATIONAL_LABOUR_MINISTRY,2013-12-02
2016,SE,E,89.71,64.39,20.0,NATIONAL,0,404,43,38.99,17,77,1,76.49,1.05,19.6,56.37,SOCIAL_PARTNER_REGISTRY,2013-12-31
2017,DK,P,79.15,32.54,42.7,MIXED,0,312,34,39.27,137,155,0,59.08,15.24,2.18,48.88,ILO_EXPORT,2014-01-29
2018,IE,F,39.64,55.2,19.97,COMPANY,0,134,4,8.52,4,424,1,33.0,1.7,17.15,53.04,EUROFOUND_EWCS,2014-02-27
2019,PL,Q,47.48,8.28,58.78,SECTOR,0,262,29,13.58,20,206,0,79.94,3.63,12.0,30.41,NATIONAL_LABOUR_MINISTRY,2014-03-28
2020,AT,G,28.43,16.61,23.14,NATIONAL,0,323,41,5.72,120,340,1,38.84,14.14,66.45,33.94,SOCIAL_PARTNER_REGISTRY,2014-04-26
2021,EE,R,44.85,49.5,13.92,MIXED,0,335,85,43.15,77,398,1,59.78,8.04,2.77,44.88,ILO_EXPORT,2014-05-25
2022,IT,H,52.61,22.68,43.67,COMPANY,1,480,74,8.73,99,10,1,35.34,45.66,61.85,35.39,EUROFOUND_EWCS,2014-06-23
2023,PT,S,45.86,11.73,27.03,SECTOR,1,221,77,17.34,101,57,1,29.93,32.87,6.5,74.53,NATIONAL_LABOUR_MINISTRY,2014-07-22
2024,BE,I,62.58,53.27,36.93,NATIONAL,0,160,62,3.55,111,536,1,25.12,22.7,73.04,60.08,SOCIAL_PARTNER_REGISTRY,2014-08-20
2025,FI,T,58.63,62.97,65.5,MIXED,0,214,43,36.03,75,228,1,7.2,44.96,19.77,55.58,ILO_EXPORT,2014-09-18
2006,LV,J,10.94,50.59,24.19,COMPANY,0,207,30,26.59,72,185,1,16.5,1.35,42.16,56.83,EUROFOUND_EWCS,2014-10-17
2007,RO,U,15.72,13.89,7.9,SECTOR,0,167,59,36.41,103,297,0,31.21,0.77,9.66,74.19,NATIONAL_LABOUR_MINISTRY,2014-11-15
2008,BG,K,18.47,23.42,58.2,NATIONAL,0,365,62,51.68,104,97,0,26.75,16.06,42.8,50.91,SOCIAL_PARTNER_REGISTRY,2014-12-14
2009,FR,A,100.0,8.04,69.78,MIXED,0,406,20,20.09,14,261,1,31.97,11.83,41.16,79.85,ILO_EXPORT,2015-01-12
2010,LT,L,52.44,28.58,60.44,COMPANY,0,455,12,19.17,3,53,0,38.88,18.26,44.43,34.57,EUROFOUND_EWCS,2015-02-10
2011,SK,B,12.26,40.49,34.32,SECTOR,0,320,18,13.29,25,44,1,54.54,4.85,28.25,60.02,NATIONAL_LABOUR_MINISTRY,2015-03-11
2012,HR,M,22.74,35.35,42.22,NATIONAL,0,149,50,18.07,136,204,1,4.7,0.1,43.91,57.31,SOCIAL_PARTNER_REGISTRY,2015-04-09
2013,DE,C,57.59,34.68,65.68,MIXED,0,310,81,35.18,108,459,1,33.03,7.94,44.12,24.05,ILO_EXPORT,2015-05-08
2014,LU,N,45.7,46.19,21.82,COMPANY,0,200,45,46.39,86,580,0,41.24,6.7,14.85,14.5,EUROFOUND_EWCS,2015-06-06
2015,SI,D,42.88,8.59,43.07,SECTOR,0,191,10,32.09,85,420,0,30.08,9.93,30.02,52.04,NATIONAL_LABOUR_MINISTRY,2015-07-05
2016,CY,O,73.41,46.22,75.4,NATIONAL,0,400,38,23.77,74,175,1,67.47,11.03,24.47,50.76,SOCIAL_PARTNER_REGISTRY,2015-08-03
2017,GR,E,41.43,23.12,13.59,MIXED,0,19,58,55.58,10,203,0,59.28,0.15,8.23,21.22,ILO_EXPORT,2015-09-01
2018,MT,P,24.06,13.77,44.25,COMPANY,0,14,20,35.43,10,166,0,36.47,8.42,36.0,17.95,EUROFOUND_EWCS,2015-09-30
2019,ES,F,12.1,40.12,7.76,SECTOR,0,25,53,11.59,132,420,0,65.62,17.07,7.58,59.86,NATIONAL_LABOUR_MINISTRY,2015-10-29
2020,CZ,Q,34.36,7.03,58.9,NATIONAL,1,345,71,26.83,126,98,0,26.39,24.44,53.1,28.63,SOCIAL_PARTNER_REGISTRY,2015-11-27
2021,HU,G,62.12,14.38,55.55,MIXED,0,118,37,0.83,115,216,1,46.09,0.75,9.27,57.98,ILO_EXPORT,2015-12-26
2022,NL,R,25.51,17.6,46.66,COMPANY,1,144,55,6.82,0,289,1,66.1,9.36,66.48,18.51,EUROFOUND_EWCS,2016-01-24
2023,SE,H,19.74,32.96,59.78,SECTOR,1,299,35,12.92,85,261,1,37.44,21.26,52.68,16.87,NATIONAL_LABOUR_MINISTRY,2016-02-22
2024,DK,S,48.73,68.91,26.14,NATIONAL,1,182,37,50.57,40,348,1,76.96,44.27,48.77,68.03,SOCIAL_PARTNER_REGISTRY,2016-03-22
2025,IE,I,66.92,35.82,49.94,MIXED,1,472,22,30.47,79,138,1,63.93,27.74,29.59,63.31,ILO_EXPORT,2016-04-20
2006,PL,T,11.24,24.31,45.01,COMPANY,0,39,2,16.48,31,10,1,15.49,17.47,11.34,48.3,EUROFOUND_EWCS,2016-05-19
2007,AT,J,61.75,56.25,21.82,SECTOR,1,104,19,31.4,113,143,1,30.59,16.28,10.04,83.87,NATIONAL_LABOUR_MINISTRY,2016-06-17
2008,EE,U,77.33,40.95,40.18,NATIONAL,0,116,3,31.66,75,403,1,16.98,4.47,21.06,81.99,SOCIAL_PARTNER_REGISTRY,2016-07-16
2009,IT,K,58.06,46.7,51.34,MIXED,0,358,28,34.19,41,553,0,54.54,12.64,41.17,10.92,ILO_EXPORT,2016-08-14
2010,PT,A,19.36,37.3,60.1,COMPANY,0,240,23,4.64,77,399,1,4.01,17.17,37.1,24.82,EUROFOUND_EWCS,2016-09-12
2011,BE,L,35.71,20.56,58.96,SECTOR,0,349,9,10.24,45,150,1,17.76,14.48,36.54,31.39,NATIONAL_LABOUR_MINISTRY,2016-10-11
2012,FI,B,44.67,15.97,26.48,NATIONAL,0,192,37,28.75,2,252,1,12.25,18.75,42.55,57.05,SOCIAL_PARTNER_REGISTRY,2016-11-09
2013,LV,M,59.74,29.02,43.11,MIXED,0,43,39,49.8,46,432,1,15.45,1.53,41.4,28.33,ILO_EXPORT,2016-12-08
2014,RO,C,42.1,47.54,35.82,COMPANY,0,291,44,13.31,62,227,0,25.23,17.88,1.79,10.8,EUROFOUND_EWCS,2017-01-06
2015,BG,N,23.64,23.75,54.64,SECTOR,0,250,4,15.11,38,385,0,10.07,0.15,19.6,12.21,NATIONAL_LABOUR_MINISTRY,2017-02-04
2016,FR,D,69.94,57.52,53.23,NATIONAL,1,380,81,8.19,51,106,0,20.6,17.94,43.72,24.18,SOCIAL_PARTNER_REGISTRY,2017-03-05
2017,LT,O,68.68,48.44,24.81,MIXED,0,425,37,14.06,14,447,1,70.81,16.3,33.09,68.64,ILO_EXPORT,2017-04-03
2018,SK,E,17.53,47.67,48.47,COMPANY,0,278,60,32.04,20,199,1,66.74,2.97,17.98,13.98,EUROFOUND_EWCS,2017-05-02
2019,HR,P,14.19,49.65,8.31,SECTOR,0,212,61,32.28,66,411,0,12.66,19.17,38.36,37.7,NATIONAL_LABOUR_MINISTRY,2017-05-31
2020,DE,F,8.94,20.51,24.03,NATIONAL,0,213,23,46.3,90,209,1,9.59,12.25,63.15,74.82,SOCIAL_PARTNER_REGISTRY,2017-06-29
2021,LU,Q,16.32,8.23,57.11,MIXED,0,153,58,12.92,116,161,1,8.76,2.34,43.42,52.3,ILO_EXPORT,2017-07-28
2022,SI,G,17.02,15.16,40.5,COMPANY,1,198,24,45.46,30,119,1,39.67,34.39,54.05,28.87,EUROFOUND_EWCS,2017-08-26
2023,CY,R,56.71,18.92,26.55,SECTOR,1,400,80,20.48,2,531,1,22.45,13.66,34.08,34.21,NATIONAL_LABOUR_MINISTRY,2017-09-24
2024,GR,H,64.43,18.08,30.87,NATIONAL,1,18,27,47.9,52,361,0,14.81,0.5,5.06,77.56,SOCIAL_PARTNER_REGISTRY,2017-10-23
2025,MT,S,70.73,35.85,8.9,MIXED,1,29,51,12.97,6,372,1,39.55,11.04,55.75,12.56,ILO_EXPORT,2017-11-21
2006,ES,I,57.83,31.43,41.08,COMPANY,0,347,86,23.62,103,256,1,48.1,18.01,43.1,63.36,EUROFOUND_EWCS,2017-12-20
2007,CZ,T,15.14,42.39,19.86,SECTOR,1,157,14,35.26,82,272,1,55.39,15.27,15.5,45.59,NATIONAL_LABOUR_MINISTRY,2018-01-18
2008,HU,J,9.5,25.86,36.84,NATIONAL,0,236,78,46.44,131,386,1,4.4,16.04,28.67,48.05,SOCIAL_PARTNER_REGISTRY,2018-02-16
2009,NL,U,42.73,8.66,55.91,MIXED,0,312,17,23.79,6,96,1,42.22,13.19,4.15,28.61,ILO_EXPORT,2018-03-17
2010,SE,K,83.94,71.08,50.49,COMPANY,0,335,60,10.22,23,324,1,47.04,15.04,29.85,41.27,EUROFOUND_EWCS,2018-04-15
2011,DK,A,29.95,69.41,7.98,SECTOR,0,86,52,52.04,75,117,1,25.83,16.36,2.58,40.78,NATIONAL_LABOUR_MINISTRY,2018-05-14
2012,IE,L,10.38,16.27,36.07,NATIONAL,0,101,17,17.38,61,208,1,49.42,0.33,21.52,67.36,SOCIAL_PARTNER_REGISTRY,2018-06-12
2013,PL,B,18.09,40.89,24.26,MIXED,0,126,14,5.38,2,46,1,42.11,13.12,5.72,70.43,ILO_EXPORT,2018-07-11
2014,AT,M,48.77,21.13,62.19,COMPANY,0,111,48,38.69,128,69,0,33.38,2.47,5.47,74.77,EUROFOUND_EWCS,2018-08-09
2015,EE,C,26.24,16.09,42.95,SECTOR,0,34,42,7.91,133,129,1,53.42,16.54,31.73,37.24,NATIONAL_LABOUR_MINISTRY,2018-09-07
2016,IT,N,73.35,38.65,48.5,NATIONAL,0,283,24,52.01,114,514,1,77.74,0.89,16.48,67.19,SOCIAL_PARTNER_REGISTRY,2018-10-06
2017,PT,D,74.38,17.23,30.64,MIXED,0,430,22,9.54,106,367,1,31.44,9.65,16.24,24.36,ILO_EXPORT,2018-11-04
2018,BE,O,91.27,30.46,34.85,COMPANY,0,131,14,6.17,14,238,1,42.83,13.48,18.28,64.95,EUROFOUND_EWCS,2018-12-03
2019,FI,E,79.3,78.12,69.01,SECTOR,0,183,4,9.08,53,437,1,52.28,17.09,16.59,81.18,NATIONAL_LABOUR_MINISTRY,2019-01-01
2020,LV,P,59.09,25.38,55.53,NATIONAL,0,259,47,44.66,36,527,1,10.12,10.61,19.93,34.29,SOCIAL_PARTNER_REGISTRY,2019-01-30
2021,RO,F,57.37,29.71,61.05,MIXED,0,107,92,38.43,4,596,0,70.84,5.71,53.31,66.57,ILO_EXPORT,2019-02-28
2022,BG,Q,31.73,37.12,33.64,COMPANY,0,304,30,36.48,115,149,1,44.65,1.21,35.79,60.56,EUROFOUND_EWCS,2019-03-29
2023,FR,G,47.14,39.58,13.13,SECTOR,0,350,62,1.77,50,68,1,77.63,32.81,63.72,35.67,NATIONAL_LABOUR_MINISTRY,2019-04-27
2024,LT,R,76.5,26.19,8.82,NATIONAL,1,459,42,34.04,16,482,1,9.57,17.88,37.2,70.61,SOCIAL_PARTNER_REGISTRY,2019-05-26
2025,SK,H,41.78,41.22,11.23,MIXED,0,138,63,11.57,85,208,1,55.51,32.09,29.94,14.05,ILO_EXPORT,2019-06-24
2006,HR,S,46.5,11.22,22.95,COMPANY,0,302,87,51.1,63,507,0,40.68,3.23,21.81,52.29,EUROFOUND_EWCS,2019-07-23
2007,DE,I,74.97,38.15,60.74,SECTOR,0,142,51,1.32,23,465,1,35.08,11.86,13.95,41.28,NATIONAL_LABOUR_MINISTRY,2019-08-21
2008,LU,T,11.23,8.8,52.08,NATIONAL,0,134,32,54.33,34,204,1,28.07,8.0,32.33,44.49,SOCIAL_PARTNER_REGISTRY,2019-09-19
2009,SI,J,66.29,30.25,17.02,MIXED,0,479,67,1.46,81,166,0,24.13,10.72,24.93,41.76,ILO_EXPORT,2019-10-18
2010,CY,U,39.82,12.81,38.05,COMPANY,0,212,30,37.33,126,220,1,6.93,0.72,25.69,34.9,EUROFOUND_EWCS,2019-11-16
2011,GR,K,37.88,40.02,37.1,SECTOR,0,28,8,0.12,2,384,1,8.09,7.38,7.33,47.87,NATIONAL_LABOUR_MINISTRY,2019-12-15
2012,MT,A,74.21,38.81,27.35,NATIONAL,0,431,74,53.97,76,142,1,55.54,2.43,18.76,57.8,SOCIAL_PARTNER_REGISTRY,2020-01-13
2013,ES,L,34.71,30.6,18.69,MIXED,0,23,86,11.4,12,394,1,34.87,13.48,20.81,53.68,ILO_EXPORT,2020-02-11
2014,CZ,B,16.87,30.95,51.07,COMPANY,0,273,79,22.66,127,202,0,5.14,12.15,12.52,16.38,EUROFOUND_EWCS,2020-03-11
2015,HU,M,56.55,12.9,16.03,SECTOR,0,446,13,16.19,1,307,0,55.38,16.07,41.14,78.15,NATIONAL_LABOUR_MINISTRY,2020-04-09
2016,NL,C,13.11,22.35,41.46,NATIONAL,0,280,28,17.05,116,149,1,70.75,6.66,15.32,42.94,SOCIAL_PARTNER_REGISTRY,2020-05-08
2017,SE,N,75.3,74.34,34.41,MIXED,1,363,38,22.42,109,251,0,43.76,3.74,32.32,71.16,ILO_EXPORT,2020-06-06
2018,DK,D,65.02,43.12,14.33,COMPANY,0,199,37,54.95,56,539,0,67.51,9.36,19.02,49.8,EUROFOUND_EWCS,2020-07-05
2019,IE,O,12.99,19.62,23.92,SECTOR,1,226,30,35.84,74,117,1,29.6,3.53,32.82,71.34,NATIONAL_LABOUR_MINISTRY,2020-08-03
2020,PL,E,41.38,7.4,39.99,NATIONAL,0,328,60,33.05,106,269,0,56.28,15.63,56.42,28.02,SOCIAL_PARTNER_REGISTRY,2020-09-01
2021,AT,P,47.53,44.08,46.3,MIXED,0,169,65,40.11,53,143,1,66.01,21.74,43.81,13.66,ILO_EXPORT,2020-09-30
2022,EE,F,27.96,21.24,7.53,COMPANY,1,42,80,41.11,43,308,0,22.09,46.0,13.08,57.72,EUROFOUND_EWCS,2020-10-29
2023,IT,Q,80.84,46.57,23.61,SECTOR,0,497,80,33.1,41,79,0,78.51,40.99,60.27,23.97,NATIONAL_LABOUR_MINISTRY,2020-11-27
2024,PT,G,48.64,26.22,53.94,NATIONAL,1,173,22,55.89,108,387,1,17.7,38.8,63.0,69.07,SOCIAL_PARTNER_REGISTRY,2020-12-26
2025,BE,R,74.23,45.35,77.9,MIXED,0,279,41,44.56,85,584,0,76.19,38.81,29.85,11.17,ILO_EXPORT,2021-01-24
2006,FI,H,26.45,59.3,53.88,COMPANY,0,107,4,1.02,65,50,0,6.58,9.7,38.39,66.63,EUROFOUND_EWCS,2021-02-22
2007,LV,S,51.88,6.23,14.91,SECTOR,0,519,43,26.68,46,474,1,30.66,5.5,29.32,80.85,NATIONAL_LABOUR_MINISTRY,2021-03-23
2008,RO,I,8.63,14.49,55.52,NATIONAL,0,251,14,22.76,113,394,1,50.59,1.49,39.78,36.72,SOCIAL_PARTNER_REGISTRY,2021-04-21
2009,BG,T,71.6,51.7,14.54,MIXED,0,69,57,30.22,4,20,1,27.47,13.23,13.83,26.11,ILO_EXPORT,2021-05-20
2010,FR,J,100.0,7.67,18.86,COMPANY,1,348,49,56.11,92,283,0,31.72,5.97,11.06,59.56,EUROFOUND_EWCS,2021-06-18
2011,LT,U,72.86,31.96,19.93,SECTOR,0,348,17,32.69,81,579,1,37.64,0.29,38.31,18.69,NATIONAL_LABOUR_MINISTRY,2021-07-17
2012,SK,K,42.88,32.91,44.08,NATIONAL,0,11,15,21.03,10,389,1,6.27,16.79,43.69,13.38,SOCIAL_PARTNER_REGISTRY,2021-08-15
2013,HR,A,66.51,33.21,28.81,MIXED,0,236,13,12.62,13,414,1,5.63,2.0,33.85,83.62,ILO_EXPORT,2021-09-13
2014,DE,L,15.73,50.74,16.16,COMPANY,0,86,64,34.0,16,240,1,8.0,3.61,15.35,20.97,EUROFOUND_EWCS,2021-10-12
2015,LU,B,10.36,56.51,48.5,SECTOR,0,197,83,54.76,34,250,1,18.76,15.15,37.68,27.31,NATIONAL_LABOUR_MINISTRY,2021-11-10
2016,SI,M,20.09,45.22,57.6,NATIONAL,0,344,0,35.97,68,370,1,76.24,15.37,16.33,63.87,SOCIAL_PARTNER_REGISTRY,2021-12-09
2017,CY,C,55.49,18.1,58.09,MIXED,0,449,37,38.33,34,273,1,55.92,15.28,32.17,85.45,ILO_EXPORT,2022-01-07
2018,GR,N,66.9,56.92,54.84,COMPANY,0,45,62,2.97,57,370,1,51.14,2.48,6.61,64.64,EUROFOUND_EWCS,2022-02-05
2019,MT,D,57.06,25.25,71.86,SECTOR,0,367,61,11.13,58,145,1,73.51,17.09,30.13,71.03,NATIONAL_LABOUR_MINISTRY,2022-03-06
2020,ES,O,14.05,38.66,52.78,NATIONAL,0,3,100,42.17,32,188,1,28.18,30.68,44.45,16.46,SOCIAL_PARTNER_REGISTRY,2022-04-04
2021,CZ,E,28.02,9.86,59.1,MIXED,0,145,10,10.68,25,186,0,72.92,32.46,34.22,12.07,ILO_EXPORT,2022-05-03
2022,HU,P,71.69,18.78,48.61,COMPANY,1,308,2,18.62,67,199,1,49.86,24.44,24.67,85.43,EUROFOUND_EWCS,2022-06-01
2023,NL,F,23.74,29.16,20.49,SECTOR,1,112,34,1.29,52,85,1,78.94,30.13,49.97,17.16,NATIONAL_LABOUR_MINISTRY,2022-06-30
2024,SE,Q,46.54,70.79,51.72,NATIONAL,1,346,64,40.13,82,495,1,68.97,37.83,64.09,59.48,SOCIAL_PARTNER_REGISTRY,2022-07-29
2025,DK,G,100.0,24.26,64.4,MIXED,1,297,67,47.92,71,396,1,77.46,7.39,61.2,11.71,ILO_EXPORT,2022-08-27
2006,IE,R,26.94,49.94,29.26,COMPANY,0,236,56,22.26,22,378,0,8.83,4.16,18.76,49.07,EUROFOUND_EWCS,2022-09-25
2007,PL,H,12.83,54.3,49.84,SECTOR,0,7,54,26.04,105,134,0,54.91,13.38,5.69,24.97,NATIONAL_LABOUR_MINISTRY,2022-10-24
2008,AT,S,13.55,18.02,29.09,NATIONAL,0,90,13,26.01,92,384,1,7.95,15.82,35.36,38.51,SOCIAL_PARTNER_REGISTRY,2022-11-22
2009,EE,I,20.55,44.57,31.43,MIXED,0,162,35,10.97,110,5,1,40.14,13.6,44.23,32.93,ILO_EXPORT,2022-12-21
