civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_ncoial_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2025,PY-CA0367,34.54,10.93,14.19,6.28,27.13,1.31,RARE,34.0,20.02,10.45,72.0,5.81,69.6,4.34,21.76,11.54,80.16,16.37
2024,OD-CA1127,25.67,15.46,10.63,1.93,20.93,3.29,MONTHLY,38.5,54.15,11.89,25.63,7.19,69.2,4.94,19.58,6.79,49.13,19.75
2015,DN-CA1918,8.65,21.57,8.43,3.21,24.76,2.01,3X_WEEK,53.4,42.86,3.92,66.97,3.93,33.1,5.06,7.2,11.91,79.98,24.94
2016,MZ-CA1696,24.63,10.45,15.12,16.43,32.11,9.07,WEEKLY,80.7,33.26,0.68,61.29,5.28,24.3,7.67,13.84,5.54,85.09,13.11
2015,SK-CA0115,12.06,7.05,10.57,16.43,33.73,0.28,3X_WEEK,36.8,28.29,11.87,68.2,4.16,43.2,3.17,21.47,11.27,49.53,33.35
2014,UP-CA0021,19.85,10.36,11.1,11.61,26.16,4.87,DAILY,37.7,12.13,2.76,42.23,8.39,69.6,5.7,7.77,10.77,61.36,31.25
2017,UP-CA1191,23.94,18.28,10.85,10.61,27.54,4.28,3X_WEEK,66.6,24.22,11.28,60.32,7.92,57.0,8.67,17.26,11.07,81.22,5.34
2021,DN-CA1496,37.65,6.28,7.09,19.58,13.6,8.28,3X_WEEK,52.6,51.72,7.39,73.59,2.75,38.0,6.83,6.72,10.88,92.8,26.23
2019,TN-CA1828,9.33,14.78,8.39,15.33,12.8,6.71,RARE,25.8,20.53,7.39,53.56,5.96,52.5,6.87,10.73,6.75,44.8,15.47
2018,UK-CA1257,23.23,2.72,13.01,12.34,15.49,6.07,RARE,24.5,42.65,7.49,37.08,2.16,65.2,8.56,6.75,13.05,86.89,20.06
2024,MP-CA1736,11.99,3.22,5.66,16.57,18.42,0.63,3X_WEEK,59.0,41.62,9.17,67.57,6.9,18.6,5.67,12.05,6.87,84.15,3.45
2017,KA-CA0229,17.81,21.97,5.96,10.31,33.31,1.82,RARE,63.2,36.21,7.62,63.13,2.92,70.8,4.04,14.39,13.27,44.89,28.73
2025,BR-CA0450,5.52,13.52,16.1,15.46,24.09,1.45,RARE,78.1,24.49,1.86,53.13,4.37,40.7,7.82,10.49,8.02,49.82,21.73
2022,NL-CA0966,9.59,19.81,16.7,2.35,18.38,0.83,DAILY,47.8,40.4,4.72,71.59,3.59,31.3,7.18,25.96,0.64,85.19,22.13
2014,TR-CA0264,26.49,10.4,8.15,2.68,24.85,1.27,WEEKLY,56.4,46.54,9.06,35.49,7.58,83.2,7.74,27.88,1.58,39.58,25.83
2020,CG-CA0732,26.42,11.17,5.96,10.02,26.47,0.59,WEEKLY,88.1,31.15,3.02,52.47,5.44,56.0,7.73,23.4,0.89,93.76,5.45
2015,UP-CA0279,35.5,21.06,14.22,11.44,15.24,4.4,WEEKLY,31.5,36.11,3.78,36.72,3.72,48.5,3.31,6.8,6.81,65.81,34.22
2022,MP-CA0033,5.54,16.53,10.37,17.79,13.43,1.69,3X_WEEK,56.6,17.29,11.18,71.08,6.05,88.2,3.47,12.77,11.31,63.49,32.73
2018,RJ-CA0094,9.88,19.18,2.66,3.83,8.27,7.66,3X_WEEK,47.2,32.16,3.85,55.64,3.95,90.4,7.79,24.52,5.43,46.01,17.53
2020,AS-CA0099,36.95,3.54,17.35,17.23,6.55,8.04,WEEKLY,90.3,20.98,5.24,45.47,7.24,42.1,6.22,9.81,13.44,91.5,21.48
2018,HP-CA0150,22.9,7.35,7.81,13.46,32.01,0.45,MONTHLY,32.8,49.5,2.84,73.35,3.22,86.9,5.11,27.4,13.49,83.8,30.35
2017,OD-CA0899,26.63,11.79,17.57,5.94,29.2,1.53,3X_WEEK,62.4,23.36,5.35,52.77,2.04,34.7,7.4,23.88,3.04,64.28,9.39
2017,DN-CA0225,24.36,4.76,13.05,19.46,31.16,8.23,RARE,80.1,30.76,10.66,60.64,3.48,29.3,5.38,6.52,2.03,65.61,19.39
2015,MH-CA1407,19.95,6.8,5.91,11.12,4.97,9.41,WEEKLY,60.8,36.83,0.82,27.1,8.54,29.7,4.03,25.2,11.65,75.6,28.61
2018,WB-CA1487,27.23,6.57,4.85,9.26,16.5,5.39,MONTHLY,74.6,49.96,5.69,54.76,5.36,18.2,8.29,21.66,13.93,58.09,33.17
2023,TN-CA1527,7.97,21.4,3.6,16.78,18.16,6.09,DAILY,58.7,8.35,11.39,68.66,5.99,54.3,5.13,8.2,11.46,67.04,27.78
2022,TN-CA1725,23.8,19.35,13.35,14.88,3.96,8.76,DAILY,42.1,53.51,2.9,42.49,3.48,86.4,4.76,23.66,13.45,87.42,38.88
2014,PB-CA0731,14.0,19.52,4.24,4.51,29.81,1.88,RARE,57.7,29.17,0.63,55.42,6.57,33.0,6.7,7.46,10.87,68.21,17.62
2025,KA-CA0949,36.41,2.76,6.07,5.56,33.5,2.0,WEEKLY,24.1,15.1,9.15,50.7,8.58,78.1,4.26,13.06,11.91,80.63,14.55
2016,UP-CA0602,23.87,19.57,1.36,5.92,25.76,6.55,DAILY,45.6,47.95,8.95,54.95,3.67,40.0,7.14,27.16,12.45,47.96,30.42
2023,KL-CA0456,7.35,15.6,2.44,1.09,34.21,2.25,WEEKLY,80.0,32.91,7.74,32.58,7.15,43.0,6.86,13.57,3.01,43.41,16.93
2021,AN-CA0531,36.88,13.77,6.04,7.54,20.46,2.82,DAILY,29.7,31.45,4.49,62.76,4.51,82.3,9.19,11.61,2.66,43.84,4.33
2018,AS-CA0316,18.82,15.58,6.6,5.7,19.82,3.86,WEEKLY,22.2,16.82,7.03,46.46,3.84,28.3,6.01,26.34,7.54,41.82,18.98
2018,AR-CA0438,33.83,2.56,6.18,15.03,16.86,7.08,MONTHLY,45.8,45.83,10.04,67.13,8.2,85.2,4.88,9.86,13.84,57.73,39.84
2023,MP-CA0036,34.33,18.42,5.59,6.02,33.32,6.31,MONTHLY,76.5,6.48,11.94,36.14,3.23,90.9,3.33,20.71,12.28,77.01,11.31
2023,AR-CA1218,33.07,5.66,11.45,11.74,25.05,7.34,3X_WEEK,64.8,43.49,3.14,68.68,8.2,34.9,9.34,22.86,1.9,58.98,2.28
2018,JK-CA0490,27.39,9.26,3.71,19.2,7.89,9.73,DAILY,70.2,11.87,10.17,68.89,3.02,61.1,8.66,22.54,3.39,41.01,24.1
2020,AS-CA1089,36.94,10.62,3.45,8.21,4.55,4.83,MONTHLY,94.2,39.85,4.9,70.28,4.03,55.7,8.26,20.73,1.21,90.21,25.82
2022,LD-CA0782,34.83,11.28,14.01,15.32,4.21,5.35,DAILY,52.6,17.25,1.12,55.89,4.88,19.6,9.29,27.89,13.34,54.17,28.06
2025,PY-CA0393,9.34,11.69,13.54,6.67,6.13,5.59,RARE,50.8,27.57,10.02,45.3,5.97,83.0,7.13,21.57,9.51,58.82,6.22
2017,TN-CA0862,24.62,2.58,14.73,17.87,4.0,5.65,3X_WEEK,90.8,28.56,10.56,34.79,2.58,80.9,6.03,12.07,8.2,80.39,20.43
2020,OD-CA1634,7.43,11.29,12.01,13.67,4.54,3.74,RARE,42.1,28.52,10.55,70.95,7.36,89.2,5.87,6.3,12.14,89.12,17.07
2021,GA-CA1985,24.96,14.61,13.4,6.2,12.58,2.6,3X_WEEK,56.5,26.92,7.77,60.62,7.52,51.4,6.98,9.33,10.22,96.04,33.62
2014,UP-CA1403,20.51,4.51,9.35,10.11,16.85,4.2,RARE,20.9,10.27,3.03,44.4,6.37,25.9,8.03,14.91,2.04,80.17,2.06
2014,ML-CA0887,34.18,15.02,15.36,7.99,32.04,1.53,WEEKLY,52.1,23.86,10.35,27.22,5.23,59.5,6.99,11.24,13.86,91.92,19.8
2014,DL-CA1755,17.25,3.95,3.9,15.73,11.46,8.63,MONTHLY,87.5,15.84,0.59,45.22,2.05,36.5,6.21,14.91,9.4,36.77,19.98
2018,HP-CA1013,22.98,3.22,16.91,15.55,29.46,9.85,WEEKLY,66.7,32.36,5.74,55.06,6.68,28.8,6.69,18.11,4.13,39.88,5.92
2023,KA-CA1507,34.61,16.05,12.33,12.97,31.45,1.96,RARE,65.2,30.34,6.23,31.18,3.2,58.2,4.69,26.71,3.25,69.24,17.98
2020,TN-CA0505,20.37,7.11,17.13,3.37,6.32,9.51,RARE,52.0,27.16,3.18,51.08,3.55,88.3,3.64,12.57,7.65,88.77,3.34
2023,DL-CA1995,8.44,3.89,17.01,1.55,11.46,9.4,WEEKLY,48.1,23.4,4.06,37.56,3.29,35.8,3.21,12.5,1.19,73.31,32.24
2014,DN-CA1349,29.36,3.54,5.72,10.84,4.0,6.37,RARE,51.9,53.39,10.2,41.45,6.12,62.5,7.98,22.97,2.55,79.25,9.56
2017,SK-CA0484,5.65,8.46,6.7,18.92,11.36,9.37,3X_WEEK,32.1,24.68,7.29,42.95,3.16,19.8,6.93,21.58,2.3,44.78,29.45
2022,OD-CA1168,8.89,4.87,1.47,8.11,34.77,5.92,MONTHLY,75.5,27.63,2.53,42.56,3.52,58.8,5.99,24.48,3.46,70.53,2.79
2022,MH-CA0845,27.31,5.06,11.38,2.0,11.66,8.26,WEEKLY,34.1,11.13,11.03,72.37,2.07,80.1,8.81,21.17,8.67,94.21,30.52
2018,PY-CA0649,11.62,18.5,14.63,15.64,20.58,6.42,WEEKLY,74.9,25.6,10.26,51.93,7.41,47.2,7.28,26.45,3.52,94.2,11.82
2025,TS-CA0821,27.02,18.47,7.45,4.62,24.9,2.77,MONTHLY,85.9,5.32,8.42,27.86,5.91,86.8,8.09,11.72,6.96,67.66,15.4
2023,UP-CA1168,22.28,8.75,15.05,6.4,33.58,9.89,3X_WEEK,40.3,34.19,2.79,43.09,2.11,91.6,5.9,10.01,9.37,89.58,31.12
2024,SK-CA1414,10.69,18.53,11.33,13.17,27.63,7.66,DAILY,89.7,7.27,9.8,39.58,6.5,80.8,5.46,15.99,8.92,70.81,24.3
2019,AS-CA1471,23.88,15.26,11.62,12.51,19.89,7.43,WEEKLY,29.4,39.29,7.58,46.23,6.59,25.5,5.92,16.13,5.42,96.93,29.28
2022,HR-CA1845,13.59,6.01,7.22,18.83,18.64,5.48,RARE,66.7,7.74,3.64,25.25,5.51,90.8,6.21,24.49,12.25,96.76,34.11
2021,DL-CA1619,18.45,12.87,9.28,18.49,10.03,5.67,WEEKLY,88.1,7.42,6.37,48.57,6.55,64.7,4.08,22.68,14.49,64.7,9.98
2015,AS-CA0101,14.3,4.53,16.16,17.18,30.77,2.75,MONTHLY,47.6,16.77,9.52,69.74,4.91,81.4,5.3,10.36,7.08,66.86,2.33
2016,TN-CA0283,14.33,19.06,13.43,19.22,8.18,9.9,MONTHLY,53.4,21.78,7.53,68.59,8.53,57.9,5.66,11.54,7.42,82.65,3.35
2025,DN-CA1723,8.7,17.46,2.38,3.72,25.49,6.42,RARE,40.5,30.94,9.81,49.42,4.5,46.6,4.14,22.53,7.18,59.93,22.06
2022,MH-CA1082,28.55,2.63,14.45,16.84,25.0,2.84,3X_WEEK,89.5,37.71,11.69,43.83,7.61,34.1,8.68,22.77,13.04,83.44,11.75
2019,NL-CA0801,21.29,11.33,4.77,11.37,8.92,4.02,DAILY,32.0,42.93,9.24,68.66,5.65,64.6,7.08,8.1,5.82,93.38,13.25
2017,CG-CA0560,24.71,16.88,4.62,18.37,34.28,5.44,MONTHLY,52.1,16.79,5.54,72.17,2.63,46.0,8.24,21.94,8.57,83.44,29.64
2019,LA-CA0560,37.24,16.46,5.03,12.67,23.58,4.15,3X_WEEK,73.1,22.05,5.32,74.79,8.65,25.7,6.58,9.06,4.48,77.71,30.38
2017,AP-CA0069,18.98,10.88,10.19,2.69,13.12,8.56,WEEKLY,85.7,35.77,7.67,26.06,6.35,51.3,8.99,26.76,12.31,36.84,14.26
2014,AS-CA0583,15.64,13.18,17.99,8.55,27.27,5.58,3X_WEEK,73.9,37.91,10.42,26.41,3.02,23.4,5.68,4.7,2.33,41.72,5.61
2018,MN-CA0996,22.73,5.95,3.18,2.4,27.9,4.14,MONTHLY,29.6,54.38,1.67,49.98,5.23,58.3,8.93,16.38,5.4,69.06,32.24
2021,AS-CA1093,34.73,5.81,16.34,14.02,26.07,8.42,DAILY,67.9,11.32,0.54,68.44,8.73,68.8,6.26,22.7,2.86,65.39,39.16
2021,LA-CA0243,27.46,11.5,10.35,17.96,25.27,4.75,DAILY,82.5,20.9,10.78,30.37,8.18,63.3,8.51,19.82,12.82,81.76,3.33
2024,HR-CA0919,18.77,19.94,17.85,3.89,33.34,3.55,DAILY,36.1,10.25,1.61,71.72,4.59,88.6,6.24,13.34,11.43,63.71,21.75
2015,OD-CA1256,30.07,17.81,11.85,4.08,6.61,7.53,MONTHLY,75.5,27.8,4.65,69.94,4.36,37.4,7.75,7.8,9.57,84.74,28.82
2020,TN-CA0764,26.63,10.66,9.16,14.78,23.57,3.05,MONTHLY,38.4,48.44,10.26,45.09,7.88,54.2,8.44,8.37,11.22,60.51,21.04
2018,MN-CA1862,27.08,4.12,5.27,14.71,3.01,3.89,3X_WEEK,44.6,29.76,11.8,62.47,8.52,35.1,7.4,21.18,14.04,96.78,23.94
2021,SK-CA0250,35.23,5.43,17.26,13.8,21.9,9.81,DAILY,29.2,32.97,10.53,65.52,5.76,34.4,4.76,13.12,2.08,91.28,16.24
2021,PY-CA1544,19.94,5.09,13.96,7.02,21.37,8.97,DAILY,85.9,8.11,9.9,34.71,5.95,34.4,5.19,20.51,0.76,93.72,36.55
2018,DL-CA0783,34.8,6.69,10.62,19.13,32.85,8.93,MONTHLY,86.4,52.46,10.61,54.18,8.13,54.2,3.72,12.17,4.11,42.04,26.35
2017,WB-CA0128,14.34,6.85,10.36,1.3,17.14,6.65,MONTHLY,34.1,12.49,10.92,66.0,3.74,79.8,8.67,6.75,11.03,67.45,29.64
2019,CG-CA1365,19.72,2.32,12.33,12.25,18.6,6.98,MONTHLY,62.4,22.59,9.63,62.02,5.97,56.2,7.13,18.68,3.4,45.06,11.67
2014,PB-CA0411,33.21,4.21,12.39,3.17,14.96,4.1,3X_WEEK,73.7,49.55,7.85,70.2,4.57,73.9,6.67,22.29,10.02,56.73,22.79
2022,MH-CA1418,26.15,15.79,4.83,11.59,11.34,7.59,DAILY,75.2,44.36,0.53,59.1,3.21,18.9,8.2,25.04,12.48,35.24,3.1
2020,OD-CA1938,34.14,3.31,13.28,12.12,16.4,7.27,WEEKLY,83.8,43.62,7.41,33.18,2.66,43.0,5.22,15.04,4.85,62.93,39.83
2017,GJ-CA0119,15.87,11.38,13.14,17.51,14.77,7.64,MONTHLY,23.3,34.58,10.23,34.04,6.09,89.1,3.9,24.8,10.76,54.89,33.1
2015,GA-CA1979,28.56,19.09,6.43,18.26,9.75,2.98,RARE,48.2,39.76,1.36,37.59,4.9,44.2,9.09,7.82,1.3,61.83,7.12
2015,AP-CA0375,5.75,20.45,6.06,7.18,18.35,2.69,WEEKLY,39.6,48.16,10.65,27.84,3.42,56.5,9.37,26.8,10.9,63.15,35.54
2018,HP-CA0775,19.33,7.68,9.93,15.61,4.94,0.74,RARE,43.7,19.93,10.8,47.35,2.49,31.1,4.96,22.15,11.22,73.62,10.87
2022,UP-CA1082,27.65,10.89,9.82,3.0,7.22,8.11,DAILY,78.7,49.65,9.45,66.28,4.59,69.5,4.45,12.62,1.55,44.4,37.57
2021,TN-CA0332,31.79,11.55,2.33,15.84,24.91,3.2,MONTHLY,27.2,54.67,10.71,53.0,8.4,80.7,5.68,4.58,7.6,60.34,5.29
2015,RJ-CA0806,20.76,10.65,13.97,6.77,30.08,1.98,MONTHLY,37.1,19.33,5.54,66.75,6.54,51.1,6.74,12.63,4.1,79.3,8.66
2018,DD-CA1549,27.34,9.79,8.8,5.0,33.29,9.57,3X_WEEK,87.3,49.1,10.0,39.67,5.78,61.1,9.02,9.97,8.16,44.71,4.19
2016,PY-CA1826,8.17,4.57,13.89,9.62,30.8,2.31,DAILY,73.1,20.27,8.22,50.85,3.0,88.0,3.39,15.3,10.54,89.61,39.91
2017,DL-CA1921,22.8,14.84,12.46,14.49,17.08,9.84,WEEKLY,49.2,15.76,8.19,45.85,2.89,31.7,8.41,15.13,0.6,92.76,10.61
2020,LD-CA1825,34.34,20.48,15.2,17.34,22.5,8.06,3X_WEEK,63.8,12.62,9.08,50.75,5.89,88.7,3.42,22.06,14.15,60.27,5.17
2018,BR-CA0020,20.63,11.87,1.38,5.82,29.19,2.49,MONTHLY,43.9,18.24,3.46,51.79,7.18,32.5,7.15,21.76,7.42,44.59,18.67
2024,JH-CA1343,12.22,10.42,5.16,7.2,7.63,1.4,RARE,47.5,50.69,10.62,51.86,6.73,42.1,3.93,5.45,6.79,64.49,18.32
2025,BR-CA1446,21.71,15.99,15.52,17.55,12.66,6.36,WEEKLY,92.4,32.86,7.84,66.15,2.88,30.8,8.77,26.67,3.9,39.88,32.52
