gov_cohesion_programme_period_code,gov_cohesion_fund_code,gov_cohesion_programme_id,gov_cohesion_region_nuts_code,gov_cohesion_thematic_objective_code,gov_cohesion_priority_axis_code,gov_cohesion_allocated_eur,gov_cohesion_committed_eur,gov_cohesion_spent_eur,gov_cohesion_absorption_rate_pct,gov_cohesion_project_count,gov_cohesion_beneficiary_type_code,gov_cohesion_state_aid_flag,gov_cohesion_green_spending_share_pct,gov_cohesion_digital_spending_share_pct,gov_cohesion_urban_dimension_flag,gov_cohesion_audit_irregularities_eur,gov_cohesion_anti_fraud_cases_count,gov_cohesion_data_source,gov_cohesion_data_extract_date
2021_2027,ERDF,2021_2027_ERDF_PRG_026,IT275,TO1_RDI,PA_02,2167150786.62,2011358107.12,1729452329.27,79.8,439,UTILITY,1,6.17,18.33,0,101910176.14,55,MANAGING_AUTHORITY_REPORTING,2024-03-10
2014_2020,ERDF,2014_2020_ERDF_PRG_027,NL1,TO1_RDI,PA_03,6992947322.47,2640567620.69,1508042721.06,21.57,315,MINISTRY,0,26.56,33.24,0,1042574.57,55,ECA_AUDIT_SUMMARY,2024-10-27
2021_2027,ERDF,2021_2027_ERDF_PRG_028,GR561,TO1_RDI,PA_04,2061150168.26,2033681655.51,448780605.85,21.77,646,REGIONAL_AUTHORITY,0,13.7,33.03,1,39217143.35,47,OLAF_CASES_DB,2025-08-12
2014_2020,ERDF,2014_2020_ERDF_PRG_029,RO86,TO1_RDI,PA_05,1791776559.58,1315582335.01,289823028.18,16.18,101,NGO,0,27.93,50.1,1,49684927.06,1,COHESION_OPEN_DATA,2025-07-13
2021_2027,ERDF,2021_2027_ERDF_PRG_030,RO1,TO1_RDI,PA_06,1233909400.7,831653716.13,730922076.01,59.24,614,TRANSPORT_OPERATOR,1,62.53,3.65,0,212633215.34,23,MANAGING_AUTHORITY_REPORTING,2025-07-18
2014_2020,ERDF,2014_2020_ERDF_PRG_031,DE280,TO1_RDI,PA_07,856836699.9,830769651.63,774026983.62,90.34,653,MUNICIPALITY,0,63.72,50.3,0,82543722.39,27,ECA_AUDIT_SUMMARY,2024-10-18
2021_2027,ERDF,2021_2027_ERDF_PRG_032,CY97,TO1_RDI,PA_08,9222197481.95,8647156627.08,6430491612.59,69.73,104,UNIVERSITY,0,11.87,52.67,0,8763281.03,35,OLAF_CASES_DB,2024-08-04
2014_2020,ERDF,2014_2020_ERDF_PRG_033,MT542,TO1_RDI,PA_09,2186056707.04,1019279968.57,381214520.98,17.44,169,HEALTH_PROVIDER,0,22.41,6.2,1,12679012.78,37,COHESION_OPEN_DATA,2025-10-14
2021_2027,ERDF,2021_2027_ERDF_PRG_034,LU747,TO1_RDI,PA_10,5239284393.66,5337923161.14,2930440450.17,55.93,555,OTHER,0,59.5,20.29,0,110137104.05,22,MANAGING_AUTHORITY_REPORTING,2024-08-05
2014_2020,ERDF,2014_2020_ERDF_PRG_035,HU56,TO1_RDI,PA_11,9105556227.73,8454415477.29,5753792153.86,63.19,241,SME,1,54.29,23.74,0,77281126.81,36,ECA_AUDIT_SUMMARY,2025-04-27
2021_2027,ERDF,2021_2027_ERDF_PRG_036,CY7,TO1_RDI,PA_12,6429450397.85,4801380849.76,1107105966.98,17.22,283,UTILITY,0,57.95,45.66,0,51241530.58,46,OLAF_CASES_DB,2025-06-17
2014_2020,ERDF,2014_2020_ERDF_PRG_037,FI4,TO1_RDI,PA_01,11258283163.23,5713100223.23,1408332279.78,12.51,374,MINISTRY,0,40.03,32.03,0,27520915.28,35,COHESION_OPEN_DATA,2025-08-10
2021_2027,ERDF,2021_2027_ERDF_PRG_038,HR46,TO1_RDI,PA_02,7110354278.81,6958463231.24,6258441957.9,88.02,786,REGIONAL_AUTHORITY,0,46.92,8.39,1,34679130.6,35,MANAGING_AUTHORITY_REPORTING,2024-08-03
2014_2020,ERDF,2014_2020_ERDF_PRG_039,ES53,TO1_RDI,PA_03,322746830.74,260172480.28,196009840.12,60.73,765,NGO,0,13.8,43.56,1,40068482.42,24,ECA_AUDIT_SUMMARY,2025-07-01
2021_2027,ERDF,2021_2027_ERDF_PRG_040,EE23,TO1_RDI,PA_04,8278082911.86,4717871844.23,2486925002.92,30.04,184,TRANSPORT_OPERATOR,0,12.34,14.38,0,64248324.9,11,OLAF_CASES_DB,2026-01-08
2014_2020,ERDF,2014_2020_ERDF_PRG_041,LT12,TO1_RDI,PA_05,5738886748.6,2729784416.82,1338232689.11,23.32,540,MUNICIPALITY,0,51.07,26.7,1,33822598.99,8,COHESION_OPEN_DATA,2025-10-02
2021_2027,ERDF,2021_2027_ERDF_PRG_042,SK38,TO1_RDI,PA_06,511094438.37,401601541.03,379886064.01,74.33,491,UNIVERSITY,0,24.19,49.13,0,41595411.81,8,MANAGING_AUTHORITY_REPORTING,2024-04-25
2014_2020,ERDF,2014_2020_ERDF_PRG_043,ES5,TO1_RDI,PA_07,4263474779.97,4039221158.89,2742316511.52,64.32,240,HEALTH_PROVIDER,0,20.3,43.71,0,90844383.69,1,ECA_AUDIT_SUMMARY,2024-04-22
2021_2027,ERDF,2021_2027_ERDF_PRG_044,LT6,TO1_RDI,PA_08,7150271347.79,4367428089.87,2518426344.6,35.22,772,OTHER,0,28.83,41.75,0,42723667.79,28,OLAF_CASES_DB,2024-01-30
2014_2020,ERDF,2014_2020_ERDF_PRG_045,LV76,TO1_RDI,PA_09,17743966.78,15465442.56,9409511.09,53.03,591,SME,0,14.17,12.77,1,39507943.75,33,COHESION_OPEN_DATA,2024-06-01
2021_2027,ERDF,2021_2027_ERDF_PRG_046,FR16,TO1_RDI,PA_10,3135476255.47,2007680896.41,529371444.72,16.88,694,UTILITY,0,42.57,53.92,0,60300241.45,59,MANAGING_AUTHORITY_REPORTING,2024-07-03
2014_2020,ERDF,2014_2020_ERDF_PRG_047,DE932,TO1_RDI,PA_11,1142776674.17,1082779715.69,463998666.56,40.6,343,MINISTRY,0,31.88,39.83,1,101513247.65,44,ECA_AUDIT_SUMMARY,2025-09-23
2021_2027,ERDF,2021_2027_ERDF_PRG_048,IT5,TO1_RDI,PA_12,366620742.77,200668404.52,176888522.49,48.25,288,REGIONAL_AUTHORITY,0,33.4,44.97,0,64757085.72,8,OLAF_CASES_DB,2024-03-24
2014_2020,ERDF,2014_2020_ERDF_PRG_049,HR99,TO1_RDI,PA_01,4978780136.53,3599032406.69,2498086951.9,50.17,875,NGO,0,35.31,40.18,0,93937263.65,55,COHESION_OPEN_DATA,2024-08-18
2021_2027,ERDF,2021_2027_ERDF_PRG_050,AT4,TO1_RDI,PA_02,4227326920.37,1481324472.95,444125800.82,10.51,778,TRANSPORT_OPERATOR,1,60.91,29.38,1,130270828.94,32,MANAGING_AUTHORITY_REPORTING,2025-11-26
2014_2020,ERDF,2014_2020_ERDF_PRG_051,BG88,TO1_RDI,PA_03,5238287704.35,5258232050.68,4352693958.15,83.09,582,MUNICIPALITY,0,21.65,23.62,1,107799103.68,47,ECA_AUDIT_SUMMARY,2024-06-02
2021_2027,ERDF,2021_2027_ERDF_PRG_052,HU10,TO1_RDI,PA_04,2249109725.77,1064325567.08,673110425.67,29.93,759,UNIVERSITY,0,7.73,22.27,0,85227706.16,30,OLAF_CASES_DB,2024-07-26
2014_2020,ERDF,2014_2020_ERDF_PRG_053,LU8,TO1_RDI,PA_05,4974058617.67,3130947953.94,2029750802.91,40.81,592,HEALTH_PROVIDER,0,42.84,48.3,1,31783046.24,22,COHESION_OPEN_DATA,2024-02-18
2021_2027,ERDF,2021_2027_ERDF_PRG_054,MT924,TO1_RDI,PA_06,2525507532.05,1762782260.2,1097073898.76,43.44,609,OTHER,0,46.93,25.02,0,17703956.99,39,MANAGING_AUTHORITY_REPORTING,2025-06-29
2014_2020,ERDF,2014_2020_ERDF_PRG_055,IE752,TO1_RDI,PA_07,2153592630.49,1003808571.25,939299264.58,43.62,156,SME,1,59.18,21.15,1,3757386.56,33,ECA_AUDIT_SUMMARY,2026-02-17
2021_2027,ERDF,2021_2027_ERDF_PRG_056,LV4,TO1_RDI,PA_08,3191278150.49,2649365572.36,1811980833.95,56.78,316,UTILITY,0,36.28,21.63,0,110435620.93,1,OLAF_CASES_DB,2024-09-05
2014_2020,ERDF,2014_2020_ERDF_PRG_057,NL760,TO1_RDI,PA_09,6819323652.02,5698114966.58,3307600206.88,48.5,951,MINISTRY,0,27.6,12.13,0,113860135.97,46,COHESION_OPEN_DATA,2025-05-27
2021_2027,ERDF,2021_2027_ERDF_PRG_058,MT95,TO1_RDI,PA_10,6961999606.44,3844012140.48,2831475504.67,40.67,697,REGIONAL_AUTHORITY,0,35.92,34.54,1,41890582.67,21,MANAGING_AUTHORITY_REPORTING,2025-07-26
2014_2020,ERDF,2014_2020_ERDF_PRG_059,LT89,TO1_RDI,PA_11,694133642.17,511248045.57,401726531.87,57.87,518,NGO,0,36.43,20.46,0,92793185.03,12,ECA_AUDIT_SUMMARY,2024-12-21
2021_2027,ERDF,2021_2027_ERDF_PRG_060,BE983,TO1_RDI,PA_12,919713718.41,638975169.89,262990080.16,28.59,701,TRANSPORT_OPERATOR,1,10.57,27.69,1,180145519.06,63,OLAF_CASES_DB,2024-09-19
2014_2020,ERDF,2014_2020_ERDF_PRG_061,CY950,TO1_RDI,PA_01,939060654.82,932799732.67,695903034.76,74.11,203,MUNICIPALITY,0,46.39,29.15,1,96302303.83,29,COHESION_OPEN_DATA,2024-02-12
2021_2027,ERDF,2021_2027_ERDF_PRG_062,LT546,TO1_RDI,PA_02,4023981419.68,2512909547.39,2382080165.46,59.2,185,UNIVERSITY,0,63.82,51.58,0,2266185.94,0,MANAGING_AUTHORITY_REPORTING,2024-07-16
2014_2020,ERDF,2014_2020_ERDF_PRG_063,LT804,TO1_RDI,PA_03,6458486662.04,3610157172.53,2762448795.32,42.77,194,HEALTH_PROVIDER,1,26.52,53.75,0,42994697.79,9,ECA_AUDIT_SUMMARY,2025-07-05
2021_2027,ERDF,2021_2027_ERDF_PRG_064,CZ55,TO1_RDI,PA_04,664187201.81,537509911.4,380350500.1,57.27,806,OTHER,1,5.53,8.32,1,110357898.43,13,OLAF_CASES_DB,2024-07-01
2014_2020,ERDF,2014_2020_ERDF_PRG_065,SE13,TO1_RDI,PA_05,4766165806.84,4748989106.71,4065358036.74,85.3,401,SME,0,43.14,16.14,1,1674397.5,5,COHESION_OPEN_DATA,2025-10-21
2021_2027,ERDF,2021_2027_ERDF_PRG_066,AT5,TO1_RDI,PA_06,6237438330.64,3796759178.84,1539085970.87,24.67,621,UTILITY,0,28.5,53.83,1,14811664.96,20,MANAGING_AUTHORITY_REPORTING,2024-04-28
2014_2020,ERDF,2014_2020_ERDF_PRG_067,HR3,TO1_RDI,PA_07,5066459414.59,3295095024.52,2373076429.01,46.84,719,MINISTRY,0,16.62,14.78,0,30722909.28,15,ECA_AUDIT_SUMMARY,2024-12-10
2021_2027,ERDF,2021_2027_ERDF_PRG_068,NL95,TO1_RDI,PA_08,7511934475.59,2828392347.86,1288449111.31,17.15,808,REGIONAL_AUTHORITY,0,52.16,4.13,0,18193954.83,38,OLAF_CASES_DB,2024-02-15
2014_2020,ERDF,2014_2020_ERDF_PRG_069,CY6,TO1_RDI,PA_09,2375252077.5,1177284610.2,255095881.11,10.74,925,NGO,0,5.65,31.65,1,14238968.13,59,COHESION_OPEN_DATA,2025-06-03
2021_2027,ERDF,2021_2027_ERDF_PRG_070,FI41,TO1_RDI,PA_10,414777582.05,293498583.81,175589268.6,42.33,221,TRANSPORT_OPERATOR,0,7.53,52.52,1,99615051.86,59,MANAGING_AUTHORITY_REPORTING,2025-06-03
2014_2020,ERDF,2014_2020_ERDF_PRG_071,CZ8,TO1_RDI,PA_11,5800163732.8,2897971845.13,2087997358.87,36.0,585,MUNICIPALITY,0,60.64,8.06,1,123280360.44,11,ECA_AUDIT_SUMMARY,2024-08-11
2021_2027,ERDF,2021_2027_ERDF_PRG_072,LU74,TO1_RDI,PA_12,2202716261.29,1031638318.89,861221722.56,39.1,827,UNIVERSITY,0,59.67,13.78,0,87570909.69,39,OLAF_CASES_DB,2024-04-24
2014_2020,ERDF,2014_2020_ERDF_PRG_073,LV3,TO1_RDI,PA_01,7565323880.23,7181120370.91,5897069211.08,77.95,327,HEALTH_PROVIDER,0,19.26,26.15,0,92578712.36,17,COHESION_OPEN_DATA,2026-02-23
2021_2027,ERDF,2021_2027_ERDF_PRG_074,SE609,TO1_RDI,PA_02,4329950677.01,3260475827.03,1229025346.85,28.38,653,OTHER,0,48.68,31.61,1,113579306.42,53,MANAGING_AUTHORITY_REPORTING,2025-05-27
2014_2020,ERDF,2014_2020_ERDF_PRG_075,SE937,TO1_RDI,PA_03,7370042776.9,4764376880.5,1692790578.61,22.97,323,SME,0,54.95,35.58,1,19361521.24,34,ECA_AUDIT_SUMMARY,2024-06-29
2021_2027,ERDF,2021_2027_ERDF_PRG_076,HU78,TO1_RDI,PA_04,11954173502.5,6420157711.17,3052132992.17,25.53,141,UTILITY,0,62.08,16.3,0,55278660.23,54,OLAF_CASES_DB,2025-09-18
2014_2020,ERDF,2014_2020_ERDF_PRG_077,NL37,TO1_RDI,PA_05,4643920774.68,3896115583.25,2763629833.3,59.51,206,MINISTRY,0,54.43,19.04,1,64573523.1,21,COHESION_OPEN_DATA,2025-12-06
2021_2027,ERDF,2021_2027_ERDF_PRG_078,AT991,TO1_RDI,PA_06,5161243337.48,3639170748.62,1371742427.78,26.58,978,REGIONAL_AUTHORITY,0,62.86,44.32,0,32081484.78,38,MANAGING_AUTHORITY_REPORTING,2025-06-15
2014_2020,ERDF,2014_2020_ERDF_PRG_079,HU699,TO1_RDI,PA_07,6031038831.76,2609541371.77,1360841414.41,22.56,729,NGO,0,32.06,27.65,1,102496313.17,3,ECA_AUDIT_SUMMARY,2026-01-10
2021_2027,ERDF,2021_2027_ERDF_PRG_080,SI11,TO1_RDI,PA_08,1421790059.98,1386524063.64,369197422.25,25.97,273,TRANSPORT_OPERATOR,0,56.16,29.11,0,37350709.58,20,OLAF_CASES_DB,2024-06-13
2014_2020,ERDF,2014_2020_ERDF_PRG_081,GR5,TO1_RDI,PA_09,7115831592.28,5677159874.02,1025707769.47,14.41,655,MUNICIPALITY,0,29.73,40.08,0,125346462.3,28,COHESION_OPEN_DATA,2024-12-13
2021_2027,ERDF,2021_2027_ERDF_PRG_082,PL337,TO1_RDI,PA_10,1718277031.1,1201519393.22,980356105.81,57.05,937,UNIVERSITY,0,27.24,24.95,0,38841154.0,24,MANAGING_AUTHORITY_REPORTING,2024-06-04
2014_2020,ERDF,2014_2020_ERDF_PRG_083,RO51,TO1_RDI,PA_11,8589645737.23,6722947474.48,3414974763.46,39.76,824,HEALTH_PROVIDER,0,16.22,33.23,1,71360353.8,4,ECA_AUDIT_SUMMARY,2024-09-09
2021_2027,ERDF,2021_2027_ERDF_PRG_084,CY5,TO1_RDI,PA_12,10867768890.83,9753531045.23,3577197836.34,32.92,756,OTHER,0,20.81,29.09,1,57479471.45,30,OLAF_CASES_DB,2025-02-14
2014_2020,ERDF,2014_2020_ERDF_PRG_085,CY830,TO1_RDI,PA_01,2006115190.37,848644120.08,621110771.24,30.96,193,SME,0,56.48,9.07,1,80631300.48,52,COHESION_OPEN_DATA,2024-01-23
2021_2027,ERDF,2021_2027_ERDF_PRG_086,BE8,TO1_RDI,PA_02,7129481683.87,5971521766.47,4552806892.39,63.86,197,UTILITY,1,46.28,33.54,0,24348298.88,29,MANAGING_AUTHORITY_REPORTING,2025-07-23
2014_2020,ERDF,2014_2020_ERDF_PRG_087,DK5,TO1_RDI,PA_03,2539256989.2,940669873.74,820540623.14,32.31,584,MINISTRY,0,27.51,31.09,0,35126164.0,50,ECA_AUDIT_SUMMARY,2024-08-14
2021_2027,ERDF,2021_2027_ERDF_PRG_088,HR56,TO1_RDI,PA_04,7811432702.74,7949867881.84,3777452101.93,48.36,648,REGIONAL_AUTHORITY,0,32.31,23.42,0,79902895.49,42,OLAF_CASES_DB,2025-05-31
2014_2020,ERDF,2014_2020_ERDF_PRG_089,IT152,TO1_RDI,PA_05,4274594880.16,4198849571.05,1843720268.53,43.13,880,NGO,0,56.32,23.63,0,65351429.59,32,COHESION_OPEN_DATA,2024-04-16
2021_2027,ERDF,2021_2027_ERDF_PRG_090,SK698,TO1_RDI,PA_06,7432291623.23,4169686082.31,3568393761.17,48.01,413,TRANSPORT_OPERATOR,0,53.73,35.84,0,15941324.91,50,MANAGING_AUTHORITY_REPORTING,2025-08-21
2014_2020,ERDF,2014_2020_ERDF_PRG_091,FI5,TO1_RDI,PA_07,9345728940.39,5906067929.49,4947875404.72,52.94,840,MUNICIPALITY,0,55.01,22.06,0,72354523.5,6,ECA_AUDIT_SUMMARY,2025-12-15
2021_2027,ERDF,2021_2027_ERDF_PRG_092,CZ50,TO1_RDI,PA_08,5918436728.39,4576906143.94,2533545344.35,42.81,108,UNIVERSITY,0,41.92,45.04,1,75442089.14,45,OLAF_CASES_DB,2024-05-17
2014_2020,ERDF,2014_2020_ERDF_PRG_093,NL272,TO1_RDI,PA_09,41770114.19,17422205.16,6413962.09,15.36,263,HEALTH_PROVIDER,0,51.79,12.98,0,7002232.6,21,COHESION_OPEN_DATA,2025-01-17
2021_2027,ERDF,2021_2027_ERDF_PRG_094,AT510,TO1_RDI,PA_10,8152146621.04,7656181996.41,1641975654.43,20.14,467,OTHER,0,12.59,39.03,0,35925257.25,14,MANAGING_AUTHORITY_REPORTING,2024-02-19
2014_2020,ERDF,2014_2020_ERDF_PRG_095,EE107,TO1_RDI,PA_11,5735964142.06,2889613048.24,1127414397.9,19.66,962,SME,0,18.37,4.2,1,1821109.49,18,ECA_AUDIT_SUMMARY,2025-09-02
2021_2027,ERDF,2021_2027_ERDF_PRG_096,HU84,TO1_RDI,PA_12,6171015469.74,2842241213.37,562299214.6,9.11,768,UTILITY,0,17.83,35.51,1,26303635.98,25,OLAF_CASES_DB,2024-01-03
2014_2020,ERDF,2014_2020_ERDF_PRG_097,LT142,TO1_RDI,PA_01,500815042.6,340463160.94,218897124.86,43.71,565,MINISTRY,1,35.23,37.27,1,42277044.7,53,COHESION_OPEN_DATA,2024-09-15
2021_2027,ERDF,2021_2027_ERDF_PRG_098,CZ28,TO1_RDI,PA_02,5278351972.61,2063942340.07,1218082325.94,23.08,219,REGIONAL_AUTHORITY,0,21.71,30.16,0,11722774.54,27,MANAGING_AUTHORITY_REPORTING,2024-11-03
2014_2020,ERDF,2014_2020_ERDF_PRG_099,FR696,TO1_RDI,PA_03,4606973814.63,2859762241.25,1643937812.0,35.68,825,NGO,0,41.62,23.36,0,67639017.61,69,ECA_AUDIT_SUMMARY,2025-07-11
2021_2027,ERDF,2021_2027_ERDF_PRG_100,DK49,TO1_RDI,PA_04,847690872.09,468469650.4,223841914.49,26.41,351,TRANSPORT_OPERATOR,1,64.57,10.6,0,37799893.07,38,OLAF_CASES_DB,2025-09-07
2014_2020,ERDF,2014_2020_ERDF_PRG_101,FR723,TO1_RDI,PA_05,5364213939.55,2759276842.4,2599476003.73,48.46,462,MUNICIPALITY,0,61.93,45.29,1,6436859.41,16,COHESION_OPEN_DATA,2024-08-17
2021_2027,ERDF,2021_2027_ERDF_PRG_102,DK97,TO1_RDI,PA_06,7669966066.08,3964404807.19,1207775478.45,15.75,989,UNIVERSITY,0,53.32,52.32,0,86209708.26,52,MANAGING_AUTHORITY_REPORTING,2025-07-05
2014_2020,ERDF,2014_2020_ERDF_PRG_103,CY827,TO1_RDI,PA_07,1802291493.43,1324231260.53,1072623874.16,59.51,849,HEALTH_PROVIDER,0,45.14,3.76,0,23212711.96,44,ECA_AUDIT_SUMMARY,2025-05-11
2021_2027,ERDF,2021_2027_ERDF_PRG_104,BG428,TO1_RDI,PA_08,7737239684.28,7537016501.12,3849362938.56,49.75,245,OTHER,0,52.04,10.52,0,109262048.82,26,OLAF_CASES_DB,2025-04-23
2014_2020,ERDF,2014_2020_ERDF_PRG_105,PT792,TO1_RDI,PA_09,4001103921.91,3051091634.8,2763608480.3,69.07,555,SME,1,34.81,18.57,0,156369179.18,27,COHESION_OPEN_DATA,2025-08-01
2021_2027,ERDF,2021_2027_ERDF_PRG_106,FR89,TO1_RDI,PA_10,4272410195.15,3432200184.06,2073529799.49,48.53,910,UTILITY,1,34.47,23.93,0,207337588.86,18,MANAGING_AUTHORITY_REPORTING,2025-11-14
2014_2020,ERDF,2014_2020_ERDF_PRG_107,FI40,TO1_RDI,PA_11,8284760394.46,6723957190.22,1369783774.12,16.53,805,MINISTRY,0,37.56,7.21,0,77377445.27,29,ECA_AUDIT_SUMMARY,2024-10-21
2021_2027,ERDF,2021_2027_ERDF_PRG_108,EE534,TO1_RDI,PA_12,5452694696.69,2208760797.14,1319543099.11,24.2,152,REGIONAL_AUTHORITY,0,37.77,51.76,1,55124720.54,3,OLAF_CASES_DB,2024-08-07
