soc_outcome_cohort_start_date,soc_outcome_participant_id_hash,soc_outcome_baseline_employment_flag,soc_outcome_employment_6mo_flag,soc_outcome_employment_12mo_flag,soc_outcome_earnings_change_usd,soc_outcome_housing_stability_score,soc_outcome_food_security_improvement_flag,soc_outcome_healthcare_utilization_change,soc_outcome_school_attendance_change,soc_outcome_recidivism_change_flag,soc_outcome_benefit_exit_reason_code,soc_outcome_program_completion_flag,soc_outcome_case_management_contacts_count,soc_outcome_barrier_resolution_index,soc_outcome_cost_per_participant_usd,soc_outcome_return_on_investment_ratio,soc_outcome_impact_estimate_method,soc_outcome_confidence_level_pct,soc_outcome_evidence_rating_code
2016-02-04,3aba6b7bcc3288eb,1,0,1,-1601.84,3.45,1,-4.2892,-14.967,1,EARNINGS_UP,1,38,0.4886,6479.94,3.7187,MATCHING,53.44,HIGH
2016-02-05,5c01ac424e5c6df4,1,1,1,11165.65,95.02,1,-1.9799,14.287,0,INELIGIBLE,1,267,0.3294,9129.12,1.4248,QUASI_EXPERIMENT,81.63,MODERATE
2016-02-06,439e087762d616c5,0,0,0,60801.75,60.09,0,-2.4353,-2.66,0,INELIGIBLE,1,145,0.4941,23300.64,2.9246,QUASI_EXPERIMENT,57.02,MODERATE
2016-02-07,1a630b0429f5428d,0,0,0,63767.76,59.8,0,2.3725,12.204,0,SANCTION,1,11,0.6572,3169.39,-0.4872,DIFF_IN_DIFF,90.81,VERY_HIGH
2016-02-08,aa3a033693cb7762,0,0,1,29849.52,59.97,0,1.7201,14.394,0,SANCTION,0,281,0.9712,15190.78,4.6609,REGRESSION,51.68,VERY_HIGH
2016-02-09,341963c938db0360,1,1,1,43481.33,46.7,0,4.7163,1.687,1,EARNINGS_UP,0,262,0.1571,9264.65,7.0042,DIFF_IN_DIFF,60.43,MODERATE
2016-02-10,a3562c2ae8f01859,1,1,1,-19461.63,4.39,0,1.8242,-13.854,0,INELIGIBLE,1,93,0.2613,16694.55,1.4623,OTHER,68.22,MODERATE
2016-02-11,d96802e9026e28ab,1,0,0,36512.55,57.63,1,0.569,-14.482,0,MOVED_OUT,0,62,0.7088,11591.72,0.9393,DIFF_IN_DIFF,54.2,HIGH
2016-02-12,cdef499b584e98f6,1,0,0,70973.6,80.55,0,4.1247,12.83,1,MOVED_OUT,0,56,0.7935,12966.69,1.6127,QUASI_EXPERIMENT,75.42,LOW
2016-02-13,04a4de3ade50086d,1,1,1,64039.41,74.02,1,-0.7863,6.78,0,VOLUNTARY_EXIT,0,141,0.6466,18860.1,6.3569,QUASI_EXPERIMENT,69.88,HIGH
2016-02-14,8a66ba6d48a4d894,1,0,0,49366.61,61.45,0,-3.5116,4.248,0,EARNINGS_UP,0,156,0.6048,14365.94,1.3741,REGRESSION,61.17,VERY_HIGH
2016-02-15,74cae2f609bd269a,0,1,1,74595.78,48.99,1,4.1722,-5.907,0,VOLUNTARY_EXIT,1,87,0.7164,24664.93,4.5976,REGRESSION,54.62,MODERATE
2016-02-16,5ee3f887e37cc41f,1,0,1,25561.03,32.07,0,-1.2545,-4.551,0,TIME_LIMIT,1,98,0.3534,16813.25,6.71,QUASI_EXPERIMENT,65.33,MODERATE
2016-02-17,102e6e6741b05d46,0,1,0,76720.48,43.33,0,-1.123,-14.671,0,EARNINGS_UP,1,203,0.738,2770.33,3.5431,OTHER,50.51,VERY_HIGH
2016-02-18,513d98134c6e02a8,0,0,0,11612.95,9.99,0,-2.6787,-14.497,0,VOLUNTARY_EXIT,1,41,0.2763,17779.33,7.8933,RCT,50.17,LOW
2016-02-19,64e6b59e3975fe4a,1,1,1,5853.98,90.16,0,4.784,5.834,0,VOLUNTARY_EXIT,1,243,0.4277,18548.64,-0.9982,QUASI_EXPERIMENT,62.93,MODERATE
2016-02-20,64b0ab27dd400442,1,0,0,38476.14,47.28,1,-1.6229,-10.62,1,MOVED_OUT,1,248,0.4852,18842.82,1.5142,OTHER,81.41,LOW
2016-02-21,8e9c8313454a8f17,0,0,0,74414.38,21.35,1,-2.8863,-11.502,0,INELIGIBLE,0,66,0.4606,1897.54,6.7396,QUASI_EXPERIMENT,71.16,LOW
2016-02-22,e15df4a45a3a616f,0,0,1,-19020.74,59.78,1,-4.391,-3.773,0,INELIGIBLE,1,9,0.0186,16762.71,3.5871,DIFF_IN_DIFF,77.03,LOW
2016-02-23,e82856c4a3f207cc,0,0,0,71164.08,63.27,0,-4.1108,-1.434,0,INELIGIBLE,1,0,0.6782,541.84,5.2596,QUASI_EXPERIMENT,93.76,MODERATE
2016-02-24,ac42fb74def1d27b,0,0,1,47890.06,96.36,1,-0.6615,8.985,0,EARNINGS_UP,1,114,0.2045,24411.83,2.5891,REGRESSION,74.73,MODERATE
2016-02-25,11e46b5626140215,0,0,1,52441.79,33.62,0,2.1993,11.854,0,INELIGIBLE,1,185,0.1188,12179.32,5.1964,OTHER,73.92,LOW
2016-02-26,e0894069db1408c0,0,0,0,62276.66,46.21,1,-1.3845,-6.862,0,EARNINGS_UP,1,202,0.9667,3668.07,0.0686,MATCHING,85.47,LOW
2016-02-27,7e0f5335341ba81f,1,1,1,62057.11,63.1,0,-2.3397,5.228,0,OTHER,0,39,0.5103,14553.73,1.1905,REGRESSION,59.47,MODERATE
2016-02-28,927f157c8fb1f2e2,0,1,1,55058.05,87.71,0,-0.9993,4.036,0,INELIGIBLE,1,179,0.0056,6028.21,6.5916,QUASI_EXPERIMENT,77.45,MODERATE
2016-02-29,42305af42b7719bb,1,1,0,24751.55,32.99,0,-3.2142,12.065,0,INELIGIBLE,1,122,0.2738,10637.63,7.9816,REGRESSION,73.23,HIGH
2016-03-01,387a740f523aff11,0,1,1,-9640.58,47.78,0,2.7671,13.207,0,OTHER,1,178,0.141,2802.97,6.8759,SYNTH_CONTROL,66.38,LOW
2016-03-02,516239ffbb651ba0,0,0,0,74682.79,16.23,1,-0.2748,1.13,0,TIME_LIMIT,1,252,0.9973,5792.47,3.7937,QUASI_EXPERIMENT,81.08,MODERATE
2016-03-03,35411638dcf89b5d,0,0,0,65905.38,69.31,1,-1.501,-12.718,0,VOLUNTARY_EXIT,1,97,0.1474,17131.64,-0.1914,DIFF_IN_DIFF,83.16,LOW
2016-03-04,c5b691f92f2bb346,1,0,1,2171.64,11.49,1,1.9248,4.534,0,TIME_LIMIT,0,135,0.5891,13462.69,5.4201,RCT,55.71,VERY_HIGH
2016-03-05,0d6249d5db64cbaf,0,0,1,3312.11,59.28,0,-3.5066,0.5,1,TIME_LIMIT,1,21,0.9832,476.56,-0.6642,QUASI_EXPERIMENT,75.84,MODERATE
2016-03-06,fd3d0e8cafba40d4,1,0,1,-13161.96,81.67,0,-4.4394,6.415,0,MOVED_OUT,1,85,0.256,23855.35,3.6288,REGRESSION,53.62,LOW
2016-03-07,2ca315ac609fe805,1,0,1,24942.41,57.3,0,4.7763,6.835,0,MOVED_OUT,1,155,0.0042,17527.04,4.2499,RCT,72.62,HIGH
2016-03-08,79975a093331696c,0,0,0,48837.45,34.59,1,1.7872,10.315,0,SANCTION,1,274,0.8778,18220.06,-0.323,MATCHING,76.72,MODERATE
2016-03-09,c946f6a2b06b08da,0,1,1,42387.71,27.62,0,-2.7888,0.181,0,SANCTION,1,279,0.364,9717.97,-0.5309,REGRESSION,70.04,LOW
2016-03-10,2ea6be3f427a767a,0,0,1,19926.54,1.17,1,1.2138,-9.354,0,VOLUNTARY_EXIT,0,14,0.8559,13808.23,0.3234,SYNTH_CONTROL,91.31,MODERATE
2016-03-11,9c5fd3579f0ec5f6,0,0,1,26044.45,49.34,0,-3.8444,2.398,0,SANCTION,1,232,0.5958,13712.42,5.3712,DIFF_IN_DIFF,71.98,VERY_HIGH
2016-03-12,e24c77a0670e065c,1,1,0,40952.48,99.91,0,-0.2607,8.988,0,VOLUNTARY_EXIT,0,158,0.1941,6454.44,4.7459,RCT,87.33,MODERATE
2016-03-13,4dd1cf41be5c2d64,0,0,1,-2335.87,18.68,0,2.6329,13.87,0,INELIGIBLE,0,148,0.3818,9080.52,5.2706,DIFF_IN_DIFF,72.43,LOW
2016-03-14,4c17f115f76df63c,0,1,0,20629.09,45.44,0,0.7276,11.88,0,INELIGIBLE,0,103,0.5525,1111.69,3.2821,OTHER,90.65,LOW
2016-03-15,75233c0922cb8061,1,1,1,45939.95,87.38,0,-4.2919,-10.609,0,INELIGIBLE,0,240,0.9824,6142.05,5.579,MATCHING,68.63,HIGH
2016-03-16,c543e4da6b3e3ea1,1,1,0,64634.48,1.6,1,-2.0185,9.459,1,SANCTION,1,167,0.4023,7931.4,4.0812,QUASI_EXPERIMENT,96.19,MODERATE
2016-03-17,34131c185d118621,1,1,0,-4720.65,65.13,0,-2.917,-10.039,0,SANCTION,1,96,0.7494,24205.23,5.8911,MATCHING,87.25,MODERATE
2016-03-18,6395394d03749426,0,1,1,8930.79,98.03,1,0.9623,9.413,0,MOVED_OUT,0,268,0.3763,423.07,-0.2438,QUASI_EXPERIMENT,92.89,MODERATE
2016-03-19,9bda82121f04e8a6,1,0,1,14083.88,77.31,1,-3.0351,-4.107,0,OTHER,1,20,0.8063,1417.08,-0.7688,REGRESSION,79.27,MODERATE
2016-03-20,ed0e5f9591933eb8,0,1,0,70692.78,23.26,1,-4.1809,-9.519,0,EARNINGS_UP,1,73,0.5183,534.36,1.6508,SYNTH_CONTROL,98.97,LOW
2016-03-21,9ac5c5f3899d0e98,0,0,1,68877.23,57.06,1,-0.0949,8.16,0,VOLUNTARY_EXIT,1,103,0.0309,8602.31,3.8905,OTHER,80.55,MODERATE
2016-03-22,131eb8c214ccad83,0,1,1,5451.01,92.5,1,2.408,9.541,0,EARNINGS_UP,1,148,0.0604,22986.24,7.4134,MATCHING,63.06,MODERATE
2016-03-23,9d2b9304effa513d,0,1,1,-4844.01,66.19,0,-4.3043,4.813,0,EARNINGS_UP,1,190,0.7146,206.98,-0.1856,SYNTH_CONTROL,50.17,MODERATE
2016-03-24,cc78af0df1943114,1,0,0,19838.81,94.37,0,-2.103,5.668,0,OTHER,0,65,0.9373,22407.23,6.334,DIFF_IN_DIFF,55.94,MODERATE
2016-03-25,278b2ad1b66ec6fa,1,0,0,75205.3,13.95,0,0.7756,14.731,0,INELIGIBLE,0,210,0.6368,14522.42,4.655,REGRESSION,65.27,MODERATE
2016-03-26,674192dcc768884c,0,0,1,35460.14,57.69,1,-4.3234,-13.89,0,MOVED_OUT,0,248,0.2754,17038.12,1.484,OTHER,83.16,MODERATE
2016-03-27,aaa74bb2d1c62533,1,1,1,55105.26,11.34,0,-1.4862,6.753,0,MOVED_OUT,0,269,0.628,21755.6,6.8473,OTHER,86.42,MODERATE
2016-03-28,e08a1b5506cd152a,0,0,0,53579.4,79.19,1,-3.3189,-10.516,0,INELIGIBLE,0,72,0.0724,19558.8,6.1377,RCT,79.82,MODERATE
2016-03-29,1c5c76a624ee53e2,1,1,1,49367.78,86.77,0,3.1752,-14.922,0,MOVED_OUT,1,247,0.4858,4764.02,2.4526,OTHER,89.24,MODERATE
2016-03-30,345e55971751d923,0,1,1,27929.95,10.5,1,2.9828,7.595,0,INELIGIBLE,0,200,0.2801,10430.26,-0.1712,OTHER,74.97,LOW
2016-03-31,e4169197bf67febd,0,0,1,3255.1,52.38,0,1.4581,0.879,0,SANCTION,1,189,0.8175,15008.77,0.4179,SYNTH_CONTROL,92.88,MODERATE
2016-04-01,716ff3a2bdab32ac,1,1,0,-7027.56,54.47,1,3.8426,12.042,0,OTHER,1,118,0.6606,20286.31,4.425,QUASI_EXPERIMENT,73.45,LOW
2016-04-02,acd5fc7fec59054b,1,1,1,79520.23,25.08,0,4.625,2.134,0,VOLUNTARY_EXIT,1,257,0.1346,21804.44,0.7817,OTHER,51.24,VERY_HIGH
2016-04-03,3d9495bd1737b02a,1,0,0,34401.5,24.33,0,-1.3919,-13.39,0,VOLUNTARY_EXIT,1,44,0.5596,9355.86,6.5433,SYNTH_CONTROL,66.54,MODERATE
2016-04-04,ff4bd4694482412f,0,0,1,-10384.53,0.68,0,-3.6175,-7.856,0,OTHER,0,177,0.0618,16914.69,6.4934,SYNTH_CONTROL,99.88,MODERATE
2016-04-05,b5f1d71a873e7db6,1,0,1,17486.89,24.25,0,-0.4632,9.623,0,INELIGIBLE,1,234,0.1604,876.11,6.3461,SYNTH_CONTROL,53.77,MODERATE
2016-04-06,fed2a280d9e72167,0,0,0,77166.61,82.35,0,-1.4043,-9.067,0,VOLUNTARY_EXIT,1,153,0.4849,22688.96,3.2636,OTHER,72.85,MODERATE
2016-04-07,abbbe15b1c191151,0,0,0,24656.11,90.01,0,1.4764,13.928,0,OTHER,1,166,0.0113,12774.41,-0.6472,REGRESSION,82.55,MODERATE
2016-04-08,49851f981cf88538,0,1,1,61632.63,91.2,0,1.9578,0.332,0,TIME_LIMIT,0,115,0.474,371.71,2.7737,OTHER,94.47,HIGH
2016-04-09,3d542942dc4e84de,1,1,0,52252.82,53.16,1,3.4844,11.133,0,INELIGIBLE,0,79,0.3744,15562.66,6.0332,SYNTH_CONTROL,95.46,LOW
2016-04-10,121e4ac19acef956,0,1,1,73035.95,76.58,1,-4.9503,12.977,1,VOLUNTARY_EXIT,0,135,0.3237,21143.04,3.7194,RCT,68.44,HIGH
2016-04-11,d2f7d8032dbe752e,1,1,1,38102.74,25.96,0,4.0577,-14.029,0,INELIGIBLE,0,79,0.2191,5073.17,7.3325,QUASI_EXPERIMENT,66.65,MODERATE
2016-04-12,7bc906f07431fc4a,0,1,1,20593.8,13.32,1,-3.4281,-5.737,0,MOVED_OUT,1,184,0.2033,1215.97,1.3854,MATCHING,69.69,VERY_HIGH
2016-04-13,c1c1f2c32851ebb6,0,1,0,15428.69,76.61,1,-1.7131,-14.896,0,MOVED_OUT,1,5,0.2691,24417.85,6.1019,SYNTH_CONTROL,66.88,LOW
2016-04-14,9d202c9791da7035,0,1,1,816.53,42.79,1,-2.4206,-0.845,0,SANCTION,1,245,0.3693,17360.43,6.7242,SYNTH_CONTROL,93.01,HIGH
2016-04-15,34963d571d0a6b43,0,1,1,46913.0,66.27,1,-3.7048,6.833,0,INELIGIBLE,0,166,0.1447,7481.2,0.7759,QUASI_EXPERIMENT,82.34,HIGH
2016-04-16,d7e09141fc7ce4f0,1,0,1,62800.94,48.12,0,0.6052,6.134,1,VOLUNTARY_EXIT,1,157,0.5972,16640.93,6.8201,MATCHING,96.56,HIGH
2016-04-17,9c75d62f5becc3f2,1,0,0,-13601.35,73.88,0,-4.7542,-12.186,0,SANCTION,0,151,0.5096,13907.61,-0.7232,OTHER,58.57,MODERATE
2016-04-18,8ecf1fa1676c2c31,0,1,0,-15184.62,86.31,0,1.065,0.987,0,INELIGIBLE,0,6,0.2352,21516.89,2.9609,RCT,88.4,LOW
2016-04-19,71c06f7178d41014,0,0,1,39538.37,28.08,1,4.8626,5.494,0,VOLUNTARY_EXIT,1,275,0.5608,18919.45,5.1933,MATCHING,53.38,MODERATE
2016-04-20,a67d02c7bb31b66a,0,1,0,65181.23,37.72,1,-0.3608,-12.082,1,OTHER,0,213,0.9822,8420.25,5.1401,MATCHING,81.18,MODERATE
2016-04-21,740f4c35cde23d5a,1,1,1,-2566.11,3.45,1,1.5559,-13.044,0,INELIGIBLE,0,97,0.7583,16365.25,7.0047,MATCHING,56.48,MODERATE
2016-04-22,d207da3ed2e7c779,1,1,1,19510.17,47.84,0,2.9524,14.501,0,EARNINGS_UP,0,61,0.2658,6053.69,4.0879,MATCHING,90.26,HIGH
2016-04-23,62a9fc10b3bc8a84,0,0,0,28539.82,91.64,0,3.4234,5.781,0,TIME_LIMIT,1,280,0.0155,14624.62,0.3664,SYNTH_CONTROL,77.07,MODERATE
2016-04-24,00c61d7ae5eeccdd,0,0,1,37457.73,54.44,1,-0.5862,-10.331,0,TIME_LIMIT,0,87,0.7653,16815.55,-0.4569,OTHER,83.59,HIGH
2016-04-25,8a24d7e11c5bb4d4,0,0,1,17160.3,14.36,1,-1.7643,-11.312,0,SANCTION,1,57,0.4026,12145.83,0.7137,MATCHING,51.93,MODERATE
2016-04-26,d171fe8d3458f730,0,0,1,15015.92,88.59,0,2.9297,-9.549,0,VOLUNTARY_EXIT,1,67,0.3289,300.89,7.2436,RCT,69.53,MODERATE
2016-04-27,fc7ef2bb462c0b2c,0,1,1,-18462.96,86.55,1,3.1654,5.356,0,VOLUNTARY_EXIT,0,117,0.3458,7226.88,6.5176,RCT,54.67,MODERATE
2016-04-28,40c801f8eb8f1a28,0,1,1,77819.5,30.35,0,4.3199,6.343,1,TIME_LIMIT,0,246,0.408,5718.43,6.7259,REGRESSION,87.31,MODERATE
2016-04-29,65fafe2996dfce76,1,1,1,5344.77,11.53,1,0.6424,14.794,0,INELIGIBLE,0,48,0.6934,21445.38,1.5012,DIFF_IN_DIFF,90.16,MODERATE
2016-04-30,5cb8c3cdc78cf14e,0,1,1,63519.95,30.47,0,-3.061,-4.963,0,INELIGIBLE,0,232,0.2417,7335.97,2.7775,REGRESSION,59.11,MODERATE
2016-05-01,4b097d3149341514,0,1,1,3189.21,36.8,1,-0.8688,11.168,0,EARNINGS_UP,1,190,0.8858,423.91,3.8297,DIFF_IN_DIFF,63.37,LOW
2016-05-02,4227232f0f612b71,1,1,0,24741.62,80.5,1,-3.492,-0.419,0,EARNINGS_UP,1,168,0.0678,7274.1,5.6232,DIFF_IN_DIFF,72.86,HIGH
2016-05-03,d06b178db961ffdc,0,0,1,28506.21,18.39,0,-4.4418,7.168,1,TIME_LIMIT,1,0,0.7589,21037.02,-0.4565,RCT,79.01,MODERATE
2016-05-04,1f45b4621d15728f,0,0,0,21108.91,75.35,1,4.3883,-0.924,0,EARNINGS_UP,1,150,0.7925,10921.53,6.1353,MATCHING,84.16,HIGH
2016-05-05,e019edd85c5e5fbc,1,0,0,-6597.36,61.51,1,-1.2332,8.246,0,SANCTION,0,139,0.7482,4000.63,5.7421,MATCHING,97.48,MODERATE
2016-05-06,851061b9fb7519fb,1,0,1,68631.51,2.48,0,-1.5565,-11.472,1,OTHER,1,53,0.455,21027.3,0.0204,OTHER,83.46,MODERATE
2016-05-07,3f94f643229dda80,0,1,0,14063.98,36.52,0,-4.8319,-4.971,0,INELIGIBLE,1,92,0.8949,14156.86,-0.448,REGRESSION,69.92,MODERATE
2016-05-08,142e48b0c682935e,0,0,1,58894.09,11.9,0,-3.5226,-8.297,0,INELIGIBLE,1,298,0.4148,3478.9,7.4153,OTHER,68.3,VERY_HIGH
2016-05-09,33040a375e52bf26,0,0,0,73354.75,28.98,0,-1.1315,12.745,1,INELIGIBLE,0,78,0.2158,19498.94,7.5305,SYNTH_CONTROL,87.88,HIGH
2016-05-10,b1226e12c72a1398,0,1,1,76914.4,13.7,1,3.7483,2.596,0,MOVED_OUT,0,103,0.6981,24650.87,7.6297,DIFF_IN_DIFF,77.93,MODERATE
2016-05-11,b05dc608a2b0f9a8,1,0,1,73315.22,55.5,0,2.0543,-4.732,0,MOVED_OUT,0,9,0.5684,15657.35,2.2489,RCT,56.35,HIGH
2016-05-12,1382d196f15351d3,1,0,1,59594.72,39.6,1,0.4634,12.391,1,VOLUNTARY_EXIT,1,214,0.5437,4420.21,6.4222,REGRESSION,55.5,MODERATE
2016-05-13,2a2e144423f816bb,0,0,1,38979.6,67.38,1,-2.6224,6.25,0,EARNINGS_UP,1,93,0.7551,8560.41,6.6729,QUASI_EXPERIMENT,90.45,MODERATE
2016-05-14,35d97579b3f31037,0,0,1,-1812.25,13.99,1,-3.4345,-1.898,0,SANCTION,0,86,0.1612,17971.13,1.1168,SYNTH_CONTROL,76.02,HIGH
2016-05-15,12e4d4a1cda94f32,0,0,1,30788.56,70.56,1,0.5637,-13.572,1,EARNINGS_UP,0,188,0.2266,17313.47,7.2236,DIFF_IN_DIFF,54.36,MODERATE
2016-05-16,b28b07b009d174b7,1,1,0,8430.21,25.91,0,-1.2323,11.742,0,MOVED_OUT,1,52,0.9036,1713.87,0.7878,REGRESSION,73.34,MODERATE
2016-05-17,77d6c263c0033306,1,0,0,-6618.88,42.62,0,4.6007,1.572,0,SANCTION,1,7,0.4991,6566.83,7.5898,SYNTH_CONTROL,80.75,MODERATE
2016-05-18,9dad40326f77bc7b,1,1,1,2599.38,87.61,1,-0.1059,-9.557,0,MOVED_OUT,0,259,0.3649,6925.56,5.6913,OTHER,58.82,MODERATE
2016-05-19,af70b775e15e71ba,0,0,0,-19799.25,8.27,0,0.4956,-10.171,0,MOVED_OUT,0,100,0.7559,1784.15,7.7576,MATCHING,77.14,MODERATE
2016-05-20,d503f3004ac64302,1,0,0,40864.96,24.09,0,-0.2085,9.407,0,INELIGIBLE,0,58,0.4757,24287.43,7.1374,QUASI_EXPERIMENT,81.64,MODERATE
