soc_case_report_month,soc_case_program_code,soc_case_case_id_hash,soc_case_household_size,soc_case_eligible_persons_count,soc_case_participants_count,soc_case_new_applications_count,soc_case_approved_applications_count,soc_case_denied_applications_count,soc_case_recertification_due_count,soc_case_churn_rate_pct,soc_case_average_benefit_usd,soc_case_benefit_duration_months,soc_case_overpayment_rate_pct,soc_case_underpayment_rate_pct,soc_case_fraud_referral_rate,soc_case_appeals_filed_count,soc_case_call_center_wait_minutes,soc_case_online_portal_usage_rate,soc_case_data_latency_days
2018-11,WIC,3723155e9800b9be,1,7,7,10876,10876,0,159,46.268,914.85,1,4.245,3.75,0.2524,482,135.5,52.83,57
2018-12,MEDICAID,57c639a35bba4763,1,4,4,4539,1271,2099,7077,57.842,661.201,43,0.81,3.426,0.0699,2492,170.1,92.69,53
2019-01,MEDICAID,08b7229825443dec,8,4,4,8249,8249,0,3793,22.404,43.702,30,2.669,7.932,2.9845,1867,2.42,90.11,15
2019-02,TANF,295925692432e76a,1,1,1,4858,4858,0,6211,29.712,753.893,53,3.011,6.099,0.4093,899,92.73,44.19,14
2019-03,SSI,57860b0633331a62,8,6,6,1780,1780,0,4007,24.839,259.384,44,10.038,4.568,3.4146,1315,104.24,90.43,42
2019-04,SNAP,5e995ee53b6540df,6,5,5,250,250,0,4602,53.424,867.525,70,0.359,8.713,1.3673,119,15.04,0.79,11
2019-05,SNAP,0832eb5401592bf1,7,10,6,5374,1790,1781,2103,43.026,36.166,42,7.332,1.335,1.1188,2190,172.85,8.48,59
2019-06,CHILD_CARE,ce21cdc058e21008,8,8,8,4617,2980,0,7916,37.489,624.507,48,4.272,13.652,4.9109,928,122.35,24.76,34
2019-07,SNAP,2890976f578154d5,4,7,7,2443,289,1017,4846,52.532,966.148,25,11.592,5.737,3.9933,439,179.19,16.34,47
2019-08,LIHEAP,09601094776ff791,1,1,0,11292,2148,7585,3726,32.941,890.539,67,7.654,14.507,3.8898,2019,134.31,5.96,18
2019-09,MEDICAID,7c7ab58723f614df,5,4,0,9982,4142,4882,1574,40.747,46.63,1,8.979,9.943,1.7917,860,150.61,6.38,57
2019-10,SNAP,e5274876994ca42c,2,5,4,11569,1196,9719,7768,45.934,642.631,5,3.066,14.365,1.1291,236,41.68,11.72,28
2019-11,CHILD_CARE,9b46011089fd9322,5,9,8,8736,8736,0,7729,31.103,564.462,63,8.299,11.494,3.9339,167,105.05,88.3,31
2019-12,MEDICAID,91855f79f3993fe1,1,2,2,11941,2170,9444,6745,36.543,717.423,19,6.279,6.305,3.8019,666,38.85,65.18,37
2020-01,SNAP,09fdac565329046c,7,9,1,2564,2564,0,4928,31.345,359.844,40,5.447,3.039,2.29,2353,7.91,25.13,28
2020-02,MEDICAID,79e7045077ef14a8,2,10,6,5266,5266,0,249,4.866,258.425,68,0.042,0.646,3.8904,475,73.91,31.73,5
2020-03,CHILD_CARE,d19c004f38bc42e7,7,6,6,10163,6835,3075,5617,20.345,1184.586,50,13.667,13.142,0.7624,607,142.24,18.43,34
2020-04,UI,3987e830a615d19f,7,11,11,5776,1859,2253,333,31.638,30.277,56,2.956,13.9,1.295,1370,82.22,24.04,10
2020-05,LIHEAP,d01d8de60e955b27,7,10,3,9711,9711,0,7202,47.713,655.128,61,12.555,5.682,0.4584,1666,162.37,87.58,60
2020-06,MEDICAID,13b707137672cb73,7,5,4,269,269,0,8474,57.035,717.089,62,0.695,3.391,4.1058,593,176.4,82.64,39
2020-07,SNAP,bf7c0041d3e5aee3,8,7,2,10709,7692,2344,7286,22.758,414.55,64,2.284,14.113,2.413,1119,76.51,41.45,18
2020-08,MEDICAID,7e624c8584b5f651,3,12,7,549,549,0,4944,1.353,477.291,36,2.269,8.343,0.8632,124,98.0,4.66,41
2020-09,WIC,ada7e663297f3220,3,11,10,3499,3499,0,936,27.586,62.052,40,13.316,6.944,2.676,1681,144.23,8.72,5
2020-10,SNAP,58db75b2e60b1bcd,1,8,2,10225,8081,1913,5751,3.105,178.563,17,4.321,12.029,4.2755,945,61.52,25.7,36
2020-11,SNAP,d2eb91e195556d95,8,10,10,10480,5716,3028,7358,13.876,1056.464,4,4.853,9.708,4.218,537,173.19,2.66,48
2020-12,CHIP,62c8a19e3b2be3a4,6,7,4,9424,1761,6551,3894,0.698,1179.175,60,6.823,11.301,4.0359,2477,168.4,34.3,53
2021-01,SNAP,de67836e2fdb428c,1,3,0,1982,937,0,2396,39.622,973.156,13,9.264,14.409,3.1245,2019,67.98,68.48,38
2021-02,CHIP,83aca6566128a9e8,6,2,2,8978,6145,2169,8105,9.343,1079.687,38,6.694,9.869,4.8359,1279,164.1,4.63,31
2021-03,TANF,4cb31b6732f3662a,3,9,5,6256,4046,1576,1346,26.726,1123.558,61,1.804,12.53,3.0129,598,11.81,19.47,40
2021-04,SECTION8,cbe4bedef8ce932f,4,10,10,5710,5710,0,3300,33.737,57.439,32,1.415,12.621,3.9883,376,95.58,58.83,51
2021-05,WIC,a4116fb49ffe4646,4,2,2,3374,3374,0,5947,34.086,313.25,41,12.268,7.206,0.0265,1400,0.77,78.88,28
2021-06,SNAP,c11af977a333124b,6,3,3,6909,6909,0,5689,50.64,953.001,8,1.417,11.281,3.6782,1000,46.09,99.18,14
2021-07,MEDICAID,d5b5a2baad22ab0f,1,5,2,2472,391,153,7947,35.726,402.822,49,6.582,4.151,0.0765,2363,24.35,26.05,35
2021-08,MEDICAID,067517d702410ba9,6,10,1,3039,2577,0,399,47.171,1029.753,3,10.032,5.036,1.3384,1580,88.77,9.0,15
2021-09,SNAP,50776745aea25e50,4,2,2,4479,2227,258,1125,27.589,881.854,62,3.551,11.372,4.0231,2476,133.64,0.99,46
2021-10,CHIP,8b92f6605b658f80,6,5,5,2605,2605,0,7558,6.62,565.455,25,10.027,6.084,2.0748,598,99.43,67.21,16
2021-11,WIC,7e62a69d5e1391cc,1,11,8,11517,9859,0,976,44.915,638.296,21,8.023,6.732,4.2595,1911,37.6,49.59,40
2021-12,SNAP,c3be67e3eb83f692,4,10,6,9588,6895,2168,7474,12.383,1043.437,44,9.763,11.401,0.6846,499,142.86,47.44,23
2022-01,SECTION8,a456c15681152784,5,5,5,1521,1521,0,1972,20.664,144.508,44,1.853,0.375,1.6277,447,126.62,25.52,50
2022-02,MEDICAID,61e28eb89ef68807,3,9,7,2433,2433,0,8951,10.093,592.559,48,11.245,4.587,3.2233,34,66.84,57.87,41
2022-03,MEDICAID,64ff22f03f42b488,5,2,2,3119,108,1100,3570,34.802,544.89,4,1.109,6.449,4.7927,2198,145.93,5.73,21
2022-04,CHIP,0144292321e5cf1f,2,12,8,2187,2187,0,501,58.924,261.371,34,14.675,12.029,3.2569,1813,67.43,45.47,41
2022-05,SNAP,aea725eb4dea92d3,2,1,1,2029,989,0,4450,26.466,1197.362,60,0.611,4.113,0.5282,1659,128.27,31.46,4
2022-06,LIHEAP,6fb4eb9bc93210e8,6,10,10,4365,1238,2572,3625,20.974,971.893,45,7.792,9.738,4.4706,368,95.94,92.43,29
2022-07,SECTION8,532c6076c2b2c849,1,3,3,8277,1209,6512,8099,33.928,140.254,11,0.536,14.256,3.5917,1634,82.73,93.4,31
2022-08,SNAP,b721f1504c32cfb3,2,2,0,2546,2546,0,2236,57.292,752.515,17,12.988,5.98,0.83,1742,76.79,32.51,36
2022-09,SNAP,2b43dee91e782f1e,2,4,4,7400,6061,1266,6651,9.239,1191.326,7,0.837,0.571,4.4171,436,159.1,97.56,2
2022-10,SNAP,d91d484312713cdc,7,12,6,2444,2444,0,643,24.737,31.277,28,1.341,12.859,1.031,139,64.93,89.46,43
2022-11,MEDICAID,f228c99c2297ff22,2,12,1,198,198,0,6636,15.789,865.228,19,12.192,1.122,1.1812,299,79.15,86.56,42
2022-12,TANF,106a9892f14677cf,4,4,3,8084,8084,0,8663,8.993,1009.429,66,9.108,14.806,3.1872,1801,65.63,2.25,57
2023-01,WIC,fd4dcdfd3f735b1a,7,10,5,1597,1597,0,8724,40.904,1165.65,37,5.693,1.673,2.0331,1617,177.97,55.95,21
2023-02,MEDICAID,3834db10b2f92fe7,5,2,1,426,426,0,4734,39.444,434.761,23,6.107,6.686,3.6628,590,69.13,88.67,45
2023-03,MEDICAID,abac31b6bcf4937a,3,7,7,8028,5440,2366,8411,24.053,601.222,14,12.659,4.822,0.5173,1143,19.53,75.84,56
2023-04,MEDICAID,1bc73a9aa1d3bc23,7,5,5,1480,1480,0,6092,5.06,267.653,53,9.974,13.644,0.8462,1239,51.65,32.38,40
2023-05,WIC,8a98bc06ae5470e6,1,7,2,5316,4793,188,467,17.052,944.854,3,5.303,10.482,1.4447,1427,92.91,17.56,20
2023-06,SNAP,c751b82787086d8f,4,9,4,10658,1460,8384,6953,43.274,680.415,35,1.282,7.105,2.753,165,176.19,82.72,30
2023-07,SSI,746b235aaf5228d1,5,3,3,9411,9411,0,6407,55.242,592.266,18,5.965,4.24,3.7076,2065,2.44,45.04,11
2023-08,MEDICAID,182525e65fd166db,7,3,1,2176,2176,0,8308,59.698,859.927,35,0.032,7.209,3.8682,758,106.41,99.0,28
2023-09,SECTION8,3d7947eb70f06986,4,5,5,922,922,0,2246,0.611,259.048,11,9.269,5.577,0.7844,1711,110.81,62.34,7
2023-10,SECTION8,11e4bbb611776701,5,9,8,6407,6407,0,4448,56.703,1035.309,26,6.176,5.523,1.7783,768,16.4,56.67,58
2023-11,TANF,e7d46e47c8a6fcbc,7,10,4,8750,4340,3340,4025,32.673,63.7,36,1.107,8.591,1.0511,2297,157.02,50.99,7
2023-12,TANF,dcf136a078999630,5,1,1,11770,9691,256,5469,29.693,542.561,14,11.666,7.789,2.6767,2191,37.06,67.6,16
2024-01,SNAP,c3dcc835c708425e,3,8,4,3168,3168,0,6865,7.445,1182.962,14,1.918,10.343,1.95,589,22.9,79.16,24
2024-02,SNAP,fb1586da670b4e5f,4,2,2,9605,9605,0,664,9.712,892.393,47,4.965,12.415,3.7688,1714,112.85,86.18,42
2024-03,SSI,c455f996227a2d6d,5,3,3,9359,3335,4098,4122,37.573,1089.214,15,10.926,8.602,1.1555,82,104.44,78.03,59
2024-04,MEDICAID,156fa6a8f669cabf,3,8,3,9234,859,7007,6567,50.876,367.565,52,1.567,3.264,3.7619,2205,163.63,5.23,4
2024-05,MEDICAID,16725fa046aee40a,8,1,1,751,751,0,2476,3.051,1092.526,65,13.73,4.67,0.5663,784,179.62,75.0,51
2024-06,MEDICAID,734b05059b1d3c7c,5,7,2,7852,7852,0,1089,8.793,805.287,30,12.102,13.452,3.632,1883,2.27,37.0,39
2024-07,LIHEAP,08eecca4110fa314,4,9,4,11032,10064,0,2502,17.037,213.868,66,2.42,14.424,0.4777,279,143.11,21.48,22
2024-08,WIC,02d9a600d8ed6cf6,1,4,2,8665,8665,0,8619,40.236,339.909,65,2.82,3.088,2.9071,1741,1.53,82.28,7
2024-09,MEDICAID,836ef7a18c01cdd7,7,4,4,2780,2780,0,7970,47.109,733.97,59,10.747,7.021,3.4187,2239,133.59,3.23,54
2024-10,MEDICAID,2e2e004574309fb4,6,2,2,4300,4300,0,7262,58.824,104.011,53,3.029,2.379,2.8827,1437,146.01,15.94,2
2024-11,SNAP,59379e5db1467297,8,1,1,11324,5460,5777,1644,8.511,952.632,41,7.448,0.217,3.9481,2436,156.0,61.48,8
2024-12,SNAP,5b85e3b6505e50df,5,9,9,5334,5334,0,3454,1.918,1106.923,52,6.399,1.024,1.972,950,50.12,22.61,54
2025-01,CHIP,53c5498a5f4c95b4,4,4,2,4035,4035,0,5304,50.053,802.804,46,8.659,1.206,2.3388,1091,23.68,85.18,27
2025-02,TANF,a945711a55eddf7e,7,3,3,2650,2650,0,5252,24.294,872.665,17,10.316,6.198,0.5497,1880,158.45,5.74,27
2025-03,LIHEAP,e37fd07ee04441bb,5,11,8,9840,6387,2880,8033,22.916,660.036,41,8.7,2.79,4.7067,1429,63.8,31.31,51
2025-04,TANF,23c62dd4940214c5,2,1,1,11822,267,10785,2586,36.376,685.727,48,0.893,3.569,0.0694,1252,154.23,95.38,28
2025-05,UI,96fac0440a96aa58,3,8,0,10592,9883,0,8129,2.553,1095.568,71,2.225,5.641,1.8874,2490,66.23,99.79,19
2025-06,SECTION8,7df489c19b21fe72,1,12,12,1472,1472,0,748,33.69,133.849,23,6.165,5.021,3.3504,300,178.38,9.47,46
2025-07,TANF,b97aceb71215ca13,8,6,1,2651,2651,0,7474,22.575,365.49,60,7.228,6.073,3.4403,1955,160.02,75.78,7
2025-08,MEDICAID,24f90a1c805f9bfe,2,8,7,1830,1830,0,2698,53.098,429.581,20,5.719,5.361,2.5453,2321,99.47,34.56,24
2025-09,WIC,c68c8aadfdaf0b37,4,6,6,2321,2321,0,5581,46.285,641.462,71,8.767,6.68,3.5618,2144,91.84,60.26,1
2025-10,MEDICAID,4688a9aa90cda8f7,7,10,7,7890,1171,4959,6527,11.514,209.653,24,9.505,0.861,2.4107,1707,67.0,85.4,41
2025-11,SECTION8,eb88dd19d1abadb8,7,5,5,9638,4147,4675,1376,58.338,920.324,21,11.63,13.705,1.9904,1596,89.52,90.41,25
2025-12,SNAP,28f3d83f1f2e94eb,6,1,1,10486,5071,4458,3960,21.377,1121.745,18,4.349,1.733,4.8246,586,114.05,36.5,40
2026-01,SECTION8,f174120f87efa5c0,8,12,0,2841,2841,0,8579,32.457,912.186,34,14.449,5.259,0.6815,1176,82.03,89.9,12
2026-02,SNAP,7daee00cd14acc67,6,12,12,5425,5425,0,8268,17.865,601.987,51,14.64,7.183,1.7395,480,166.44,79.59,50
2026-03,SNAP,9d91be115fb996d5,7,5,5,1648,1648,0,3970,52.491,595.978,39,4.391,4.115,1.6279,666,82.82,4.62,19
2026-04,TANF,dd9703ee2a269c88,3,9,9,9917,9901,0,5166,32.953,671.109,16,13.537,14.358,1.7245,1053,65.53,70.48,57
2026-05,MEDICAID,6e28de37c2a6d93f,2,2,2,2145,111,1479,2993,28.589,1096.3,49,9.644,8.049,2.594,196,64.39,43.15,30
2026-06,LIHEAP,9b56d34c4fbdb71e,5,2,2,6204,6204,0,4211,56.751,525.081,20,6.42,14.672,1.9938,534,2.11,85.57,5
2026-07,CHILD_CARE,99033148d12bc7af,4,4,4,8827,8827,0,8457,19.384,224.072,30,6.724,8.624,1.6693,630,140.11,61.8,2
2026-08,LIHEAP,f2b6af78504d85c9,5,11,11,9801,4463,4205,4255,26.11,1013.793,46,7.258,12.474,2.5792,1823,54.73,68.17,40
2026-09,TANF,05e260d4faa36f6d,5,6,6,3909,3909,0,5191,8.666,184.914,56,2.249,7.729,0.5727,1201,98.77,71.71,49
2026-10,MEDICAID,ae55be6d8366dba3,8,5,5,4803,1640,2395,8943,4.703,983.875,21,14.115,6.47,0.221,2431,94.2,7.52,1
2026-11,SNAP,b2c6bb734be9a43c,1,12,8,8703,4216,3976,7718,11.039,1192.486,24,0.088,3.951,1.2008,1863,36.41,39.21,8
2026-12,UI,6819cff36d2a59e2,4,3,3,2409,1789,0,4363,58.041,536.397,63,7.528,2.953,0.4466,2283,63.8,82.72,10
2027-01,CHIP,68abda08e2fda318,4,5,4,6498,6498,0,5743,56.382,391.978,28,11.664,11.717,4.6355,2248,0.41,1.86,58
2027-02,MEDICAID,3f36437f696fa563,8,12,0,11308,7591,2473,8735,14.255,482.609,34,14.638,9.805,2.0671,304,51.96,92.02,28
2027-03,WIC,790fa0cb1c36662f,2,9,9,6739,6739,0,7426,4.044,616.22,49,12.188,9.124,4.6542,2043,1.49,93.53,23
2027-04,WIC,550a439e9b45c99c,6,1,0,11442,9481,810,2572,41.58,282.991,20,8.282,10.153,2.0066,1372,58.13,77.74,4
2027-05,SNAP,8860f824b013a24d,4,3,3,6363,6363,0,541,2.585,291.632,60,13.16,12.637,1.2107,478,130.8,5.82,12
2027-06,MEDICAID,d3cf0fb4e6b7845b,2,1,1,3173,3173,0,6881,57.668,716.953,55,0.207,4.902,2.0278,1950,75.85,79.61,39
2027-07,WIC,05ce3db6b2511a3d,3,12,6,1489,1489,0,7989,43.359,979.954,10,6.636,14.265,4.2913,793,140.11,47.04,27
2027-08,LIHEAP,e831c7665b6d9af6,5,2,2,9195,9195,0,3117,16.302,50.675,62,1.725,7.032,2.3414,2455,7.08,72.75,44
2027-09,MEDICAID,7143b047ac632231,3,12,0,8742,8173,0,4238,16.857,846.156,44,1.626,0.553,3.2381,271,61.75,69.46,33
2027-10,WIC,4371647f0ca5e7f0,7,4,4,4593,4593,0,3198,22.808,533.937,38,2.758,0.393,4.844,205,23.74,79.95,58
2027-11,SSI,c9a88c0cfa6fe031,2,8,8,11311,6462,3684,4180,54.312,55.528,39,0.864,12.824,3.5825,348,93.92,89.17,56
2027-12,MEDICAID,e04d6c69f8558d21,6,2,2,7177,3409,3258,339,23.651,294.529,9,4.287,1.261,0.5295,1581,95.12,84.99,2
2028-01,CHILD_CARE,ecb137b2df19f708,7,8,7,9986,1238,7863,633,59.622,506.97,71,12.643,7.387,1.74,1712,126.17,21.76,47
2028-02,SSI,43676da6f92342fa,2,7,0,5554,2460,1797,7458,29.537,145.991,71,7.089,1.601,3.8473,2265,13.17,7.68,6
2028-03,WIC,6190c67259b73b85,7,6,3,10918,2161,7834,3891,16.938,67.752,42,7.321,2.518,4.6205,360,103.49,0.18,45
2028-04,SNAP,4ae7282aadd30d6e,3,11,11,249,249,0,8206,58.228,326.803,24,9.006,11.121,4.9188,624,60.79,47.6,5
2028-05,SNAP,d711bfa154d6499f,2,3,3,1286,1286,0,5602,47.416,10.174,35,0.582,5.98,1.3982,1174,175.83,99.43,12
2028-06,MEDICAID,9272df8139ba1a99,3,10,4,8540,4585,3561,2672,57.528,1047.805,23,2.794,13.128,3.4702,1,47.62,1.57,44
2028-07,SNAP,cf8283390eda5afd,7,5,3,2353,2353,0,3167,31.744,834.506,57,1.022,9.655,0.5629,2445,108.54,64.25,41
2028-08,LIHEAP,ee17d5e7e6018399,1,4,4,8857,370,7566,6648,37.748,1193.127,52,5.937,0.617,4.5304,138,24.96,46.51,59
2028-09,MEDICAID,db5258be51303965,6,1,1,9228,9228,0,2250,7.328,32.168,5,7.852,2.351,1.5784,1044,5.27,81.46,34
2028-10,SSI,27fb3096fbf970af,8,8,4,3741,3741,0,4641,1.742,969.099,34,0.786,8.806,4.6393,1187,39.45,38.02,40
2028-11,LIHEAP,68b873da18d29e76,5,12,2,10004,8429,597,7490,7.549,284.2,37,9.739,10.405,0.3611,1771,166.67,91.28,26
2028-12,TANF,2c8d287a86a50826,7,5,5,6442,1041,3403,336,48.564,1188.211,35,13.007,7.089,3.4446,2305,56.41,62.62,9
2029-01,SECTION8,cf3879e49267ee65,2,6,4,8102,3860,3889,7870,37.166,794.902,16,10.685,10.156,2.2064,971,83.44,66.79,6
2029-02,CHILD_CARE,b8e3dd28df7e79ba,7,10,5,2281,2281,0,4418,15.68,726.973,25,13.908,14.245,0.9012,576,18.7,96.9,13
2029-03,LIHEAP,17780d480f7c529f,6,2,2,10893,9931,829,6575,31.064,238.524,44,2.206,5.278,4.9711,2148,39.35,69.07,3
2029-04,WIC,42600fa5ad1fc46b,7,4,4,9187,5505,2991,2936,40.521,389.225,2,5.863,10.982,2.1012,234,147.28,36.18,17
2029-05,MEDICAID,7a4468540bb4cf93,2,2,2,10164,3776,5191,4959,34.726,1035.116,16,4.77,1.943,0.4685,358,86.67,35.01,16
2029-06,MEDICAID,2b109a8d5d3c02e4,1,4,4,3616,893,828,4875,14.066,715.867,3,9.357,12.815,3.7,1475,146.19,40.44,36
2029-07,LIHEAP,05c2bf929ef90dc1,4,5,5,2687,2687,0,7689,45.891,1013.208,11,5.459,7.61,0.9736,1656,44.57,33.88,33
2029-08,MEDICAID,c8b2de3b87b1a2e9,2,3,3,3615,2204,27,7455,9.353,759.669,25,8.663,3.275,0.9797,792,163.29,36.15,48
2029-09,TANF,7076c646c68ad550,8,4,4,603,603,0,6471,39.687,714.06,65,0.768,7.838,2.4318,1438,160.59,31.38,9
2029-10,SNAP,19a817832359bd39,7,5,5,8136,2816,4855,6428,10.317,285.661,47,6.606,6.664,1.2349,1623,55.83,92.5,54
2029-11,SECTION8,f545030089e54f50,8,11,7,10445,9507,392,4927,41.033,684.762,32,3.528,10.674,1.6125,1550,118.38,34.06,60
2029-12,MEDICAID,9d34b3a0eac1bfb1,5,5,3,9360,7546,986,8821,4.681,934.423,31,2.269,2.224,0.0259,517,169.83,12.05,19
2030-01,SSI,95dd16bf37e79e91,4,4,4,3931,3931,0,119,17.67,449.904,45,3.055,4.472,2.2073,314,109.98,45.34,10
2030-02,MEDICAID,4fcd20a00b0c14e9,2,3,3,10830,9614,1215,937,23.077,964.135,17,8.092,5.306,2.2317,674,71.61,7.09,4
2030-03,CHIP,e3a01da81e74f5cf,8,2,2,6890,5932,0,4728,50.858,429.586,55,13.117,13.62,3.5979,1377,0.68,71.21,13
2030-04,CHIP,2ef19a6cbf944cf5,8,7,1,11189,1705,8568,8851,10.893,356.257,47,3.227,12.727,0.341,355,118.72,26.45,47
2030-05,MEDICAID,1adbebb684fb59d1,3,10,2,6176,6176,0,2505,27.508,684.578,60,11.637,7.061,4.7198,1045,83.74,70.85,47
2030-06,SNAP,7a557af0cbd3f8ff,2,7,7,4259,3794,0,3201,34.523,1163.789,68,7.074,6.157,1.846,555,165.43,55.91,46
2030-07,SECTION8,6c8bd8f1e19ab63a,8,8,8,2444,2444,0,6604,8.146,86.03,10,8.229,10.153,0.6454,1742,173.04,27.0,55
2030-08,MEDICAID,088df8a4782186f8,1,7,3,7633,7633,0,8805,57.595,112.041,66,3.739,10.713,3.1966,2264,10.04,5.73,6
2030-09,MEDICAID,5392166fe0c8ef72,1,3,3,11219,9819,1332,2727,35.043,37.042,15,12.108,4.806,3.338,2398,165.02,78.62,9
2030-10,SECTION8,8c5c5b21cfb648b6,3,12,12,11130,2927,7286,1495,15.095,580.593,43,1.81,8.757,1.5596,294,86.98,41.9,57
2030-11,SSI,9b36846e57a48016,3,5,5,84,84,0,3312,5.307,369.034,56,12.245,12.838,4.5047,586,121.18,40.28,13
2030-12,SNAP,80025c47bf772a70,5,1,1,3619,3619,0,4690,18.046,1070.875,34,3.061,9.931,4.3942,1824,96.44,41.12,8
2031-01,MEDICAID,40ee4b746b1c0d97,6,6,1,187,187,0,1055,48.864,192.026,70,11.909,3.551,2.4694,1996,30.0,2.94,55
2031-02,SNAP,26ca701fe20050fa,5,3,3,199,199,0,3605,48.566,17.367,6,10.255,12.356,0.0618,1111,160.54,73.0,50
2031-03,SSI,fcd239f4ede13d83,7,6,0,1696,1696,0,5894,41.382,371.818,31,7.597,2.323,4.8383,64,89.29,64.44,42
2031-04,MEDICAID,7bb312a3ca3eeebd,5,12,3,851,851,0,2898,53.236,472.379,26,3.29,9.613,1.5945,612,4.02,57.91,3
2031-05,SNAP,d367133c8a266e6f,5,9,5,569,569,0,3508,14.841,369.08,6,12.868,2.863,4.0029,276,140.86,10.89,49
2031-06,SNAP,2d0b58a703bda895,5,4,1,5848,5848,0,3616,58.89,1055.291,47,8.764,7.149,4.6677,1116,154.65,27.2,34
2031-07,LIHEAP,19157726a2905a7e,4,4,4,4517,4517,0,6851,28.145,1128.072,14,6.247,10.077,1.2511,958,173.91,17.39,6
2031-08,CHILD_CARE,c76f4fe982760b89,1,5,5,2970,693,2141,8628,37.29,1057.373,19,2.811,9.703,4.5128,81,23.1,12.71,17
2031-09,SSI,ffb95f848b2aabab,5,8,7,9089,9089,0,3358,28.601,48.054,7,8.524,8.508,4.0806,1514,65.52,62.85,57
2031-10,UI,3936520ce3cfba94,3,3,3,732,732,0,7379,6.237,299.915,69,9.632,0.785,0.4732,705,64.21,49.11,25
2031-11,MEDICAID,a22c4cc26e712272,4,12,11,3661,3661,0,6652,21.741,288.336,1,2.219,12.085,1.4136,771,48.34,73.07,12
2031-12,LIHEAP,4a4a435cea7867fa,5,6,6,545,545,0,183,44.85,1142.787,1,2.614,9.047,2.8438,623,92.1,70.39,5
2032-01,SECTION8,715998ca319f90bb,3,1,1,9908,5565,3454,8236,23.495,848.358,47,9.452,3.944,2.4197,800,5.04,4.48,31
2032-02,WIC,eecb6e15ef090b48,7,5,5,5129,35,4920,6867,23.423,1032.609,34,10.752,10.993,1.3138,959,12.51,86.81,36
2032-03,MEDICAID,87120ff5e060b5b7,4,2,2,1218,1218,0,8350,19.664,282.69,53,11.544,12.601,2.1454,540,107.17,54.83,3
2032-04,MEDICAID,fddc6b3878b97735,8,5,5,4222,751,2588,7202,42.056,480.051,46,4.66,0.361,0.661,1766,53.18,14.14,1
2032-05,CHIP,8f474c8677b5fc0c,5,9,8,6418,6418,0,1925,48.002,460.972,45,0.082,1.839,4.5207,1716,171.9,18.77,26
2032-06,WIC,dc6c3025c60dd38c,8,8,2,10347,2561,6105,3146,51.668,535.853,20,11.481,5.697,2.7527,167,24.21,74.25,4
2032-07,MEDICAID,c2d6769e48c91fbf,2,6,1,5225,2531,1744,711,54.862,262.344,19,10.049,1.36,3.0286,2286,15.77,60.9,51
2032-08,SNAP,969ce029baffb84e,6,10,6,102,102,0,8244,53.793,328.745,70,3.176,8.206,3.0519,342,12.85,5.76,44
2032-09,WIC,65a75861a3dd3bf6,4,12,8,6745,5484,0,4413,39.851,377.506,44,9.164,1.818,1.675,188,136.13,75.7,6
2032-10,WIC,b315b3f89aa37123,2,10,5,9035,8416,328,1927,18.532,118.237,31,11.721,14.903,1.1096,454,13.69,23.44,12
2032-11,MEDICAID,264e682e0a6e058b,5,3,3,9723,1556,6594,3257,9.155,498.018,1,13.738,0.825,2.6259,317,177.55,3.06,44
2032-12,UI,9e066d8ad68bb3d1,7,3,3,6739,1493,4891,2446,35.105,793.289,1,11.876,3.068,0.881,1481,178.88,76.37,26
