safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_ncoial_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE-10,HH-cd153b45e3ddad,1.74,2.87,Y,Y,Y,Y,NotWorthIt,8.55,85.92,93.32,6.72,5.69,Never,Never,2.03,2.24,Phone,1.681554
WAVE-01,HH-59f6d83ccbb945,7.28,7.64,Y,Y,Y,N,Other,5.12,31.75,47.09,7.86,4.9,Weekly,Never,5.86,6.87,Paper,1.466982
WAVE-02,HH-86de0a0b74f1f5,9.6,10.0,N,N,N,Y,NoEvidence,6.21,73.19,28.74,2.83,6.85,Rarely,Often,5.91,4.8,InPerson,0.242542
WAVE-28,HH-4f7e899111a1c0,3.42,1.29,Y,N,N,Y,FearRetaliation,0.01,64.33,8.8,3.69,8.06,Never,Rarely,4.16,0.98,Paper,2.30265
WAVE-28,HH-e34157887ac908,2.88,9.69,Y,N,Y,N,Other,6.55,53.03,70.85,9.5,7.25,Rarely,Rarely,5.13,1.27,InPerson,0.909871
WAVE-07,HH-75a6a83bf20ffc,1.94,5.52,N,N,N,Y,TooMinor,1.79,48.01,85.52,5.78,4.07,Daily,Never,4.42,1.49,IVR,0.342193
WAVE-05,HH-e2830bfd5c584e,6.33,6.64,Y,N,N,N,Other,9.36,21.11,93.48,8.69,8.49,Never,Sometimes,0.89,3.23,InPerson,1.092591
WAVE-58,HH-e1314a7a2fee47,3.53,9.52,Y,N,N,N,TooMinor,0.46,76.57,68.87,8.96,9.03,Never,Never,3.85,7.34,Paper,3.850203
WAVE-35,HH-451f9964636454,3.71,5.45,Y,Y,N,Y,Other,8.07,96.75,16.67,2.2,1.67,Monthly,Sometimes,8.84,2.18,InPerson,3.435285
WAVE-53,HH-9fac80b479b62e,4.6,8.66,Y,Y,Y,Y,NoEvidence,6.8,23.81,8.23,0.83,3.89,Never,Rarely,5.75,1.4,InPerson,1.271393
WAVE-50,HH-4fb6a49051371f,9.43,6.9,Y,N,Y,Y,FearRetaliation,7.38,15.58,79.5,0.85,2.32,Monthly,Often,0.01,3.09,InPerson,3.839279
WAVE-59,HH-fd5604e0c08ea7,8.4,1.58,N,N,Y,Y,DistrustPolice,3.92,79.13,41.33,8.24,6.22,Monthly,VeryOften,3.27,3.37,Phone,1.458891
WAVE-17,HH-312341dfee7705,8.84,9.66,Y,Y,N,Y,Other,8.02,84.67,25.19,6.79,3.1,Rarely,Never,9.5,7.49,Paper,0.416312
WAVE-51,HH-0dd551c00dc5de,5.42,8.8,Y,Y,N,Y,FearRetaliation,3.52,32.44,84.36,3.72,2.23,Monthly,Often,3.74,9.29,InPerson,1.220395
WAVE-44,HH-0c3e156723e8c8,2.73,3.69,N,Y,N,N,NoEvidence,5.78,30.62,88.36,8.52,7.75,Never,Often,0.89,9.07,Phone,0.961483
WAVE-57,HH-69abd78abcd8ed,4.21,3.87,N,N,Y,Y,DistrustPolice,6.24,12.63,18.98,3.48,4.87,Never,Sometimes,1.46,3.98,Phone,1.098761
WAVE-39,HH-6bb8e9b8a2ea27,3.23,1.15,Y,N,Y,N,Other,4.38,13.9,71.59,4.84,6.96,Never,Rarely,3.31,1.4,IVR,0.780991
WAVE-50,HH-0d8e0bee03b2b3,8.27,4.52,Y,Y,Y,Y,Other,3.99,26.84,10.7,4.23,0.36,Never,Sometimes,9.11,6.12,Paper,1.961791
WAVE-27,HH-1e2e76a40dee1f,3.42,0.91,N,N,N,Y,DistrustPolice,3.33,77.75,49.42,8.57,7.23,Never,Never,1.88,2.56,Web,1.588652
WAVE-51,HH-4c3f2fc6292b2e,5.13,3.49,N,N,N,N,Other,2.62,95.95,46.07,0.43,8.12,Rarely,Never,4.72,8.02,Web,2.502901
WAVE-27,HH-eef5e7ee469374,4.06,3.05,N,Y,Y,Y,FearRetaliation,1.77,0.02,2.04,4.04,6.87,Never,Often,4.03,1.43,Phone,2.250472
WAVE-27,HH-e64243e1d5dbd7,9.61,6.93,N,N,Y,N,NotWorthIt,6.08,64.09,67.19,6.76,4.28,Rarely,Often,5.23,4.21,Phone,4.087606
WAVE-20,HH-20fce280c9b261,4.78,1.35,N,N,N,Y,FearRetaliation,4.11,22.97,3.13,8.02,3.23,Rarely,Rarely,0.57,1.93,Phone,2.705557
WAVE-45,HH-d8ea29ccb0ae36,3.2,9.15,N,N,Y,Y,Other,5.71,81.54,36.9,6.13,3.27,Never,Often,9.42,0.44,InPerson,1.123608
WAVE-04,HH-1b24b89dc2667b,3.4,4.52,N,Y,N,Y,TooMinor,9.49,14.03,75.42,0.56,8.64,Never,VeryOften,3.39,5.74,InPerson,2.289513
WAVE-20,HH-e8d8ed18318756,0.41,1.07,N,N,N,Y,NotWorthIt,1.5,18.01,18.19,1.79,1.23,Rarely,VeryOften,0.72,2.32,IVR,2.393453
WAVE-21,HH-78ca4bcd1faee6,9.09,1.75,Y,N,N,N,TooMinor,9.79,78.69,33.55,9.2,9.16,Rarely,Never,6.75,9.73,IVR,1.742217
WAVE-56,HH-78733b91b5bac4,4.84,9.01,N,N,N,Y,NotWorthIt,0.54,38.67,71.73,7.09,5.46,Rarely,Often,4.87,1.93,IVR,3.845725
WAVE-42,HH-d4c72987f49af3,8.31,9.61,N,N,Y,Y,DistrustPolice,4.41,37.69,51.09,0.25,3.16,Never,Often,9.31,1.61,Phone,3.606786
WAVE-51,HH-9516f1378284ab,5.74,1.97,N,Y,N,Y,NoEvidence,7.66,80.16,14.66,6.03,5.23,Weekly,Often,7.03,3.3,Phone,1.752452
WAVE-41,HH-2fbf042911fc35,8.6,7.18,N,Y,Y,N,Other,3.06,1.21,89.4,9.61,5.47,Never,Often,1.67,2.67,IVR,2.823106
WAVE-07,HH-6e14f9a1d23455,3.34,5.58,Y,Y,N,N,Other,5.6,79.03,39.98,9.98,3.45,Never,VeryOften,1.25,4.31,IVR,2.160386
WAVE-20,HH-dd5e190d592da0,7.54,2.18,N,N,N,Y,Other,4.46,91.99,80.82,9.68,9.52,Daily,Sometimes,9.42,0.41,Phone,3.528667
WAVE-52,HH-cd39f9800ef1d5,7.14,2.53,Y,Y,Y,N,NoEvidence,2.35,11.29,22.66,4.63,6.42,Never,Never,3.55,4.48,Web,1.634564
WAVE-29,HH-491442787fcb1b,7.58,3.73,N,N,N,Y,TooMinor,9.58,38.01,68.87,5.59,4.56,Never,Rarely,4.49,6.48,InPerson,3.20954
WAVE-28,HH-12a63b36f9cedd,1.08,0.79,N,Y,N,Y,NotWorthIt,3.98,34.56,49.73,2.08,1.01,Never,Never,3.72,5.04,IVR,1.421023
WAVE-34,HH-8e65c8d03565ca,5.96,1.92,Y,Y,Y,Y,NotWorthIt,2.05,93.57,23.0,8.42,4.08,Rarely,Often,1.24,0.35,Paper,3.630794
WAVE-52,HH-597417d4d2ee7f,4.07,7.53,Y,Y,Y,N,TooMinor,4.51,14.29,80.44,6.12,1.34,Never,VeryOften,0.75,8.45,InPerson,3.579964
WAVE-47,HH-d325f5e50f7d36,1.17,8.57,Y,N,N,Y,FearRetaliation,2.32,6.03,48.02,1.39,3.01,Never,Often,7.57,1.51,Phone,1.501871
WAVE-43,HH-874f982946ed16,7.43,7.1,N,N,Y,Y,NoEvidence,1.29,56.59,50.96,7.77,8.72,Weekly,Often,6.75,4.08,Web,1.970844
WAVE-08,HH-169a4f4445650f,6.46,4.46,Y,Y,N,Y,FearRetaliation,5.65,43.34,55.54,3.45,1.55,Monthly,Sometimes,9.05,1.37,Paper,1.754886
WAVE-38,HH-d6800fb2ef1e30,8.56,0.13,Y,Y,N,Y,DistrustPolice,6.61,66.39,16.95,3.33,1.34,Never,VeryOften,7.53,9.48,Paper,3.549662
WAVE-53,HH-698555a694d12b,6.5,3.87,N,Y,Y,N,NotWorthIt,2.52,61.26,68.9,3.43,1.97,Never,Rarely,2.17,2.12,IVR,2.611844
WAVE-12,HH-3093d248fa9401,7.33,4.99,Y,Y,Y,N,DistrustPolice,8.88,96.27,18.06,7.8,8.19,Never,Sometimes,7.48,9.19,IVR,4.067424
WAVE-02,HH-14dccf1181cce8,4.57,3.4,N,N,N,Y,Other,4.35,28.69,95.56,2.02,5.0,Never,Rarely,7.39,1.89,Paper,3.774697
WAVE-21,HH-bc1026ea3177bf,8.02,9.99,Y,N,Y,Y,TooMinor,5.64,11.57,63.69,4.19,3.92,Daily,Often,1.62,7.46,IVR,0.899293
WAVE-31,HH-d45680f5863233,2.61,6.21,Y,Y,Y,N,FearRetaliation,5.35,30.71,22.57,0.57,2.05,Never,VeryOften,8.8,4.98,Paper,0.93698
WAVE-43,HH-ed6c6ebf6cdee7,1.9,6.75,Y,N,Y,N,TooMinor,7.06,82.68,9.51,6.22,2.35,Never,VeryOften,0.28,9.6,IVR,4.111684
WAVE-29,HH-488019f6a4099a,8.41,4.48,Y,Y,Y,Y,NotWorthIt,0.74,73.69,64.93,1.91,4.94,Monthly,Never,9.76,2.03,InPerson,4.383543
WAVE-45,HH-a6fa5d49cea437,2.48,0.81,N,N,Y,Y,FearRetaliation,8.3,91.54,16.14,7.38,0.68,Rarely,VeryOften,3.07,9.48,Web,3.476217
WAVE-33,HH-a04953fdd8be02,6.62,0.36,Y,N,Y,N,NotWorthIt,7.54,47.84,64.45,9.66,6.53,Daily,Never,3.87,1.72,Web,3.917429
WAVE-20,HH-be32620238b474,7.33,4.23,N,N,N,N,TooMinor,9.81,53.99,89.87,1.77,4.51,Monthly,Sometimes,3.43,6.35,IVR,0.50352
WAVE-49,HH-78a1bc7ee15621,8.53,8.55,N,Y,Y,N,NotWorthIt,4.5,78.19,11.76,9.99,6.05,Monthly,Often,6.5,2.87,InPerson,0.790176
WAVE-01,HH-2ddf91f29b7e24,3.57,9.45,Y,N,Y,Y,NotWorthIt,2.29,86.15,40.7,7.33,1.9,Never,VeryOften,7.86,6.48,Web,1.801746
WAVE-24,HH-edfc308353a492,7.68,2.26,Y,N,Y,N,TooMinor,4.47,99.68,88.92,9.07,3.04,Monthly,Often,4.98,8.92,Phone,3.28654
WAVE-16,HH-82505be090cd96,6.02,1.89,Y,Y,Y,Y,TooMinor,4.8,36.8,21.81,0.77,6.65,Daily,VeryOften,5.61,3.03,Paper,4.266019
WAVE-59,HH-4c1e14077baa2d,0.86,5.97,Y,N,N,Y,DistrustPolice,9.4,34.74,72.77,4.96,4.31,Never,Rarely,1.74,3.06,IVR,3.928415
WAVE-36,HH-4cfd9a07fb5d36,1.55,6.06,N,Y,N,N,DistrustPolice,1.9,60.96,51.05,3.09,8.58,Rarely,Sometimes,4.78,8.51,Phone,2.54657
WAVE-23,HH-96f029ccb0212e,4.93,6.19,Y,Y,Y,Y,DistrustPolice,7.85,82.38,69.21,1.82,8.93,Never,Often,2.63,6.92,Web,2.941829
WAVE-24,HH-6bfe2e6cbda689,2.5,4.65,N,Y,N,N,NotWorthIt,7.51,6.98,53.79,5.78,9.08,Never,Rarely,1.95,3.25,Phone,0.325768
WAVE-49,HH-70e00a6c119ee4,7.56,3.06,Y,Y,N,Y,FearRetaliation,5.97,99.54,1.68,1.77,7.24,Never,Never,9.49,9.95,Phone,3.486277
WAVE-02,HH-182d967a1637a8,8.87,5.21,N,N,Y,N,TooMinor,9.27,61.54,52.19,4.71,6.2,Rarely,Rarely,6.44,9.69,Web,0.881832
WAVE-32,HH-8eca48dd5a0426,8.68,2.65,Y,N,Y,N,NotWorthIt,9.59,95.1,10.67,4.38,0.9,Never,Sometimes,0.97,2.76,IVR,2.778569
WAVE-53,HH-03a1cc96946573,3.11,2.6,Y,N,N,Y,NoEvidence,5.92,78.8,83.21,8.53,4.5,Never,VeryOften,9.71,9.04,Paper,0.644897
WAVE-56,HH-4e492cb7c8cdb4,0.64,9.72,N,N,N,N,FearRetaliation,1.12,95.46,21.52,1.53,8.87,Never,VeryOften,9.06,4.02,Web,0.815524
WAVE-58,HH-fae0a937247025,8.06,6.33,N,N,N,Y,Other,4.95,35.83,56.67,7.41,9.09,Never,Rarely,4.2,8.31,Phone,2.3068
WAVE-12,HH-5e88ccbb030d69,7.88,4.3,N,N,Y,Y,Other,6.52,50.38,84.67,9.9,5.42,Rarely,Rarely,8.46,2.02,Phone,4.210595
WAVE-05,HH-18df3bbadf19cb,9.86,2.48,Y,Y,N,Y,Other,8.13,96.76,67.33,1.43,0.23,Rarely,Rarely,3.65,6.55,Web,1.724324
WAVE-28,HH-04d22b4d47a061,8.57,0.63,N,Y,Y,N,TooMinor,4.71,56.18,96.94,2.14,9.23,Monthly,Often,0.13,2.7,Paper,1.472848
WAVE-07,HH-56839301616859,6.91,7.9,N,N,Y,N,FearRetaliation,2.08,29.25,42.34,7.16,2.48,Never,Often,8.71,5.94,IVR,2.231704
WAVE-02,HH-5b03c6fefcbd05,4.08,0.19,Y,Y,Y,N,DistrustPolice,0.88,31.85,49.34,6.9,3.8,Rarely,Sometimes,4.5,0.05,Phone,0.922245
WAVE-28,HH-65356d9cc5dfd4,4.23,4.54,N,Y,Y,N,NotWorthIt,7.6,79.98,52.98,8.98,9.56,Never,Sometimes,0.18,0.94,Web,1.715344
WAVE-07,HH-4d649565cb3b19,4.82,5.49,N,Y,N,Y,FearRetaliation,3.26,47.64,53.19,9.95,8.29,Never,Sometimes,6.79,1.9,InPerson,1.73926
WAVE-15,HH-edddb2497950be,7.87,0.53,N,N,Y,Y,DistrustPolice,7.33,48.83,40.5,6.05,5.19,Never,Rarely,8.19,2.65,IVR,2.30414
WAVE-46,HH-c9319d84f09350,3.54,6.39,Y,Y,Y,Y,FearRetaliation,8.25,11.45,13.1,0.29,5.7,Monthly,Never,8.11,3.88,Phone,0.547312
WAVE-57,HH-b137184d5534e4,8.52,0.17,Y,Y,N,Y,Other,7.6,99.32,10.47,4.11,4.81,Never,Rarely,6.25,4.26,Paper,3.284555
WAVE-47,HH-04dc5b675e493d,8.66,4.31,Y,N,Y,N,DistrustPolice,5.06,19.67,71.25,6.07,4.72,Never,Never,2.67,2.29,InPerson,1.248606
WAVE-58,HH-086b31585d9145,4.95,1.72,N,Y,N,N,NoEvidence,1.93,4.43,53.53,3.92,5.99,Daily,VeryOften,5.1,4.27,Phone,4.057262
WAVE-18,HH-3b8d24adf06bce,6.04,2.7,Y,Y,N,N,NotWorthIt,3.92,19.13,93.27,5.64,4.3,Never,Never,3.57,1.54,InPerson,0.604433
WAVE-24,HH-8937dce5b8adc1,0.54,4.13,N,Y,Y,N,TooMinor,0.04,81.37,40.81,0.31,5.47,Rarely,Sometimes,5.64,8.44,Phone,3.985289
WAVE-26,HH-be58750b99d80e,8.47,0.03,N,Y,N,Y,FearRetaliation,4.32,10.86,71.26,4.99,4.14,Never,Sometimes,4.6,3.78,InPerson,2.935061
WAVE-03,HH-bb84649633ba5c,1.01,8.57,N,Y,Y,N,Other,5.16,28.51,57.02,2.56,9.48,Monthly,Never,5.37,3.99,Phone,3.170027
WAVE-53,HH-e105cf88955ffe,9.39,9.94,Y,N,N,N,Other,9.32,40.96,39.45,6.12,9.81,Rarely,Never,9.49,7.82,Web,2.252876
WAVE-05,HH-09f77dee7be8a1,6.96,7.54,Y,N,N,Y,Other,5.59,72.18,18.34,8.37,5.56,Monthly,Rarely,9.63,1.75,Paper,0.888018
WAVE-28,HH-94e9ee2b1416e9,1.78,2.13,N,Y,Y,Y,Other,7.59,89.38,12.4,4.59,8.22,Never,Rarely,6.88,4.1,IVR,2.210998
WAVE-57,HH-c8f12a6527b34e,1.35,4.9,N,N,Y,N,DistrustPolice,0.21,34.07,67.09,8.03,9.94,Never,Often,6.21,0.43,IVR,3.305662
WAVE-07,HH-c17abf03252aa7,3.85,9.8,N,N,N,N,NoEvidence,9.01,65.6,4.19,6.5,6.95,Monthly,VeryOften,5.72,3.44,IVR,0.437865
WAVE-52,HH-caeab30e9c52a0,4.13,2.23,Y,Y,Y,N,NoEvidence,2.83,5.29,1.2,3.64,0.35,Monthly,Never,5.76,6.45,IVR,0.932902
WAVE-19,HH-13453d0d50ffb3,8.43,4.4,N,N,Y,N,DistrustPolice,0.08,75.92,60.36,8.45,2.97,Never,VeryOften,6.83,6.5,Phone,0.564414
WAVE-21,HH-fbde780d872863,4.61,8.8,N,Y,N,N,FearRetaliation,5.9,14.47,52.12,4.67,3.5,Rarely,Rarely,4.99,4.94,Phone,3.688399
WAVE-24,HH-8117d800a5618f,0.52,1.28,N,Y,N,Y,TooMinor,1.16,19.5,25.65,3.41,9.17,Rarely,VeryOften,3.6,5.23,InPerson,1.016848
WAVE-14,HH-d99979b2aa4e40,9.44,4.39,Y,N,N,N,Other,6.55,99.62,46.92,8.9,9.51,Monthly,Rarely,8.8,2.2,Paper,2.135503
WAVE-46,HH-9e3a070b34fa8d,2.7,2.5,N,Y,Y,Y,FearRetaliation,3.62,63.26,95.15,7.87,7.03,Never,VeryOften,1.17,9.2,Phone,4.035779
WAVE-47,HH-d809b4a489ad4f,9.08,4.9,Y,N,Y,Y,FearRetaliation,0.76,6.16,93.09,1.04,0.47,Rarely,Never,4.29,8.48,Phone,2.052301
WAVE-47,HH-8a98dfe5f19b34,1.07,4.87,N,Y,N,Y,NoEvidence,9.53,77.33,54.1,0.88,6.8,Never,Often,9.07,9.06,Web,2.252072
WAVE-32,HH-02f41686c4f436,8.45,3.05,N,Y,N,Y,Other,0.78,75.3,28.97,3.81,8.75,Never,Rarely,4.99,0.88,Paper,2.420043
WAVE-04,HH-f652aa20a59c58,7.03,5.96,N,N,Y,N,NotWorthIt,3.57,53.79,25.18,5.09,1.58,Never,Often,2.88,5.06,Web,3.104554
WAVE-11,HH-1723adc82c6623,1.94,4.37,Y,Y,N,N,TooMinor,4.47,22.42,67.74,8.82,3.59,Monthly,Never,2.36,0.39,IVR,0.605311
WAVE-51,HH-d9dfae7960899e,5.04,1.43,Y,Y,Y,N,FearRetaliation,3.63,8.67,62.42,4.76,4.9,Never,Often,5.09,3.27,Phone,4.462297
WAVE-02,HH-b10d85b6e7e6c8,1.28,3.23,N,N,N,N,TooMinor,3.06,6.43,10.22,5.81,9.08,Rarely,Sometimes,5.51,1.01,Web,0.993924
WAVE-30,HH-3c659b51f50af8,4.81,0.35,Y,Y,N,N,TooMinor,7.22,12.46,29.2,0.4,6.25,Monthly,Rarely,9.77,7.19,IVR,4.489514
WAVE-52,HH-806e2d188c39af,8.46,7.12,N,Y,N,Y,Other,4.36,14.08,60.79,9.95,7.18,Never,Rarely,7.83,9.67,Web,1.135804
WAVE-04,HH-59a57258c83dd1,2.22,0.45,Y,Y,N,Y,DistrustPolice,1.82,6.59,9.71,6.91,2.58,Never,Sometimes,2.88,5.99,Web,3.862446
WAVE-37,HH-5455f410d62b77,9.05,6.36,N,Y,Y,N,NotWorthIt,9.48,87.79,34.92,6.18,2.15,Never,Never,2.68,0.95,IVR,1.444846
WAVE-42,HH-cf02b3e8d1a40e,9.39,3.68,N,N,Y,N,Other,7.12,84.98,78.95,5.15,1.0,Rarely,Often,3.96,2.22,Phone,2.603128
WAVE-09,HH-bc99d994d490f8,0.93,8.76,N,N,Y,Y,NotWorthIt,6.99,61.42,91.33,5.31,4.51,Never,Often,9.3,9.4,Paper,1.786906
WAVE-18,HH-ef8a01c967463d,7.34,4.37,Y,N,Y,Y,Other,5.86,34.24,34.56,0.53,7.2,Never,Often,1.4,1.98,Paper,1.044214
WAVE-19,HH-bc6155d11c0a92,3.9,8.99,N,Y,Y,N,TooMinor,9.74,91.2,25.57,6.04,8.53,Never,Often,0.07,4.53,Web,3.727397
WAVE-44,HH-eee3dde00a5fa6,0.02,9.49,Y,N,Y,Y,TooMinor,7.16,2.22,96.58,2.61,0.53,Monthly,VeryOften,9.2,2.11,Web,3.379841
WAVE-33,HH-be7906d02b7765,2.75,1.17,N,N,N,N,Other,5.5,64.69,39.85,2.54,6.93,Never,Often,2.78,5.02,IVR,0.46091
WAVE-15,HH-b3b9e6feca211e,8.05,7.4,N,Y,N,N,FearRetaliation,6.02,84.81,72.69,9.28,1.28,Weekly,Never,2.56,3.89,Paper,0.910414
WAVE-40,HH-ad1396cb1b35b7,8.54,7.94,Y,Y,Y,N,TooMinor,5.25,56.61,13.81,9.85,9.63,Never,VeryOften,6.42,1.89,Phone,1.856127
WAVE-45,HH-9c86c181a1993b,0.42,2.27,Y,Y,N,Y,DistrustPolice,5.55,81.91,42.85,5.68,9.93,Never,Sometimes,4.02,0.4,IVR,2.412578
WAVE-07,HH-f20610f81bd6e1,5.13,2.4,Y,Y,Y,Y,Other,8.3,37.87,37.23,8.8,6.9,Rarely,Rarely,4.58,9.36,IVR,1.044723
WAVE-48,HH-b974c2bd87acc5,4.82,3.8,N,N,Y,Y,Other,2.25,75.9,57.82,9.53,4.96,Rarely,VeryOften,8.07,9.6,Web,4.461948
WAVE-58,HH-d1faa6580a048f,7.32,8.15,Y,N,Y,Y,NotWorthIt,6.59,55.56,98.31,4.2,3.85,Never,Often,2.35,4.99,IVR,2.678387
WAVE-48,HH-5254d3b76a7af9,2.77,6.85,N,Y,Y,Y,NoEvidence,2.65,77.1,47.19,0.32,5.19,Never,Sometimes,5.99,0.54,Paper,1.950027
WAVE-28,HH-f8d6e8d5fe4582,1.95,3.22,Y,N,N,Y,TooMinor,4.35,41.26,72.65,8.87,1.69,Never,VeryOften,0.53,6.91,Web,4.423195
WAVE-34,HH-e0b7ee651cf7fb,8.5,6.63,N,Y,N,N,NoEvidence,7.52,48.92,48.33,1.3,7.48,Monthly,Rarely,9.59,2.98,InPerson,3.654209
WAVE-56,HH-114f71e3e58fdb,4.94,9.75,N,Y,Y,Y,NoEvidence,6.79,99.61,93.56,7.71,7.75,Never,VeryOften,5.76,9.49,Web,4.273197
WAVE-53,HH-c9799bcddc7c18,5.59,0.14,N,Y,N,N,NotWorthIt,3.34,60.54,78.9,9.15,7.33,Rarely,Often,1.8,3.43,Phone,3.112395
WAVE-17,HH-0ad8f419a3693a,2.44,4.97,Y,Y,N,Y,NoEvidence,0.9,5.82,56.37,1.67,6.46,Rarely,VeryOften,6.49,0.15,InPerson,2.580525
WAVE-23,HH-ba1e4e586ece09,9.68,7.57,N,N,N,Y,Other,6.03,86.73,10.73,0.19,0.12,Monthly,Rarely,1.76,8.76,Phone,3.437342
WAVE-51,HH-f0da3b17051ba5,7.83,0.7,N,N,Y,Y,NotWorthIt,9.43,39.45,39.58,0.24,4.54,Never,Often,6.23,0.96,InPerson,0.298554
