gov_mff_reference_year,gov_mff_mff_period_code,gov_mff_heading_code,gov_mff_programme_code,gov_mff_commitments_eur,gov_mff_payments_eur,gov_mff_execution_rate_pct,gov_mff_revenue_own_resources_eur,gov_mff_gni_based_resource_eur,gov_mff_vat_based_resource_eur,gov_mff_customs_duties_resource_eur,gov_mff_plastic_own_resource_eur,gov_mff_rebates_eur,gov_mff_unspent_commitments_ral_eur,gov_mff_audits_findings_count,gov_mff_irregularities_amount_eur,gov_mff_anti_fraud_olaf_cases_count,gov_mff_transparency_portal_url_hash,gov_mff_data_source,gov_mff_data_extract_date
2016,2014_2020,H6_NEIGHBOURHOOD_WORLD,ERDF,10974720531.13,10610840781.91,96.68,23634378848.55,32836913177.29,18927852726.86,8562003242.68,525907403.52,1733003204.66,371330739.81,23,87590226.62,2,23981b2e81f13f578b2d2a57e881,OPEN_DATA_PORTAL_BUDGET,2024-04-05
2017,2014_2020,H4_MIGRATION_BORDER,AMIF,61270790470.09,40392024812.04,65.92,34492084674.65,64774050359.55,22590606309.3,6006467806.34,369467186.76,4524786069.95,25356821200.66,38,125193701.91,53,b409ae0f57de371b8d0896728868,EU_BUDGET_FINANCIAL_REPORT,2026-01-25
2018,2014_2020,H2_COHESION_RESILIENCE,ESF_PLUS,539709919.35,247786965.47,45.91,18263118725.52,22008841117.15,14137909911.73,9533724723.07,822251806.89,4722709546.2,268461777.52,53,196867109.51,21,b4f9955a639714e7ed17969dd050,OLAF_ANNUAL_REPORT,2025-10-17
2019,2014_2020,H7_PUBLIC_ADMIN,ISF,58967764439.97,22515544400.04,38.18,13848780016.92,48397386782.53,4088916545.94,572095177.03,383903232.93,7695148183.57,48441976553.11,136,325780512.98,14,96d7413ef7f1ceeeb0b0bfc9b3d8,ECA_AUDIT_SUMMARY,2025-05-25
2020,2014_2020,H5_SECURITY_DEFENCE,CAP,37217839247.5,19564054498.61,52.57,39306982323.42,16707744677.06,1568802428.02,3445813401.69,207007439.32,5140104056.36,24539075502.38,84,189787001.96,35,a78385e591344f8c0f6584ed38d7,OPEN_DATA_PORTAL_BUDGET,2025-03-23
2021,2021_2027,H3_NATURAL_RESOURCES,NDICI,24664562101.2,14594814633.1,59.17,15612253616.67,57052154063.16,10971473855.65,9058616479.48,1981855600.66,2348136644.24,11448584403.89,77,273507762.01,71,bc21d154f7f035a979825f6813a9,EU_BUDGET_FINANCIAL_REPORT,2024-09-22
2022,2021_2027,H1_SINGLE_MARKET,CEF_DIGITAL,20898620608.37,9139566900.01,43.73,21565339247.25,17320522224.0,17790435352.22,2939279517.31,1278613085.1,16189670.61,10940352675.6,3,241893330.02,17,d893b049252a8184d9f6870de9ba,OLAF_ANNUAL_REPORT,2024-02-09
2023,2021_2027,H6_NEIGHBOURHOOD_WORLD,IPA,38611436410.43,16971560364.11,43.95,25308276485.59,45995273220.75,925796734.97,2813886298.19,775706394.66,4906188678.19,19841596416.92,10,11054479.72,15,ad63249b76f482c7c60b874144e8,ECA_AUDIT_SUMMARY,2025-10-14
2024,2021_2027,H4_MIGRATION_BORDER,DIGITAL_EUROPE,40442746608.33,20429874364.37,50.52,22885291662.22,45250960032.72,2655088232.5,2670206870.5,266738751.6,7710090081.79,18337623609.26,55,73158684.62,57,78e619be1ec968c97cdee487f5ae,OPEN_DATA_PORTAL_BUDGET,2025-12-27
2025,2021_2027,H2_COHESION_RESILIENCE,JUST_TRANSITION,22539219770.49,17928874574.48,79.55,32493317337.0,59487455722.69,10885075514.68,3473186960.22,869112011.94,873341363.69,4604969706.52,35,222592144.38,77,1e659618c62bc6e8c2f981e5f7c2,EU_BUDGET_FINANCIAL_REPORT,2024-01-10
2026,2021_2027,H7_PUBLIC_ADMIN,LIFE,8328798708.1,7235464812.32,86.87,1483365325.09,54530833421.26,11130642709.06,428778961.19,2470263463.97,5991047602.04,1005553459.9,62,534348149.16,19,610ad4fc128dab6672c6dcddcb6c,OLAF_ANNUAL_REPORT,2026-01-27
2014,2014_2020,H5_SECURITY_DEFENCE,HORIZON_EUROPE,58074899102.98,51091442387.92,87.98,9165697731.1,35821576865.65,19332285220.33,5220156331.78,444957673.39,2113395497.34,9635173783.48,54,257934920.45,71,1a30df4068b8a199087d62165a9d,ECA_AUDIT_SUMMARY,2025-06-15
2015,2014_2020,H3_NATURAL_RESOURCES,EU4HEALTH,20528270102.32,10183766768.9,49.61,21420759710.39,32209096768.56,2413341793.65,2311155050.52,96005240.39,2482169247.03,9725417259.07,16,55653770.93,75,112da5a8e6ce34727f066f7ee3ac,OPEN_DATA_PORTAL_BUDGET,2024-02-22
2016,2014_2020,H1_SINGLE_MARKET,ERDF,37374222728.29,19474407147.26,52.11,10460028396.42,32563305734.21,9226733961.58,6086079162.13,355193183.38,7117635898.16,21048046780.59,88,432063692.38,85,c79c998b0d9505a4dc35acf7d611,EU_BUDGET_FINANCIAL_REPORT,2025-05-22
2017,2014_2020,H6_NEIGHBOURHOOD_WORLD,AMIF,28519915217.26,21691902850.44,76.06,23512611628.07,39561825545.4,3941113829.88,4939868681.01,434502024.58,4796877926.75,10866749498.73,82,167830311.42,21,6d2029d4f5949d25c00595a2f247,OLAF_ANNUAL_REPORT,2025-05-21
2018,2014_2020,H4_MIGRATION_BORDER,ESF_PLUS,33865001794.6,20243959549.58,59.78,42200966270.14,43079124284.28,17851567181.98,4872138783.09,663962428.3,3532062023.89,18349048584.93,88,484035595.79,31,3e926e42999733415e9121def5a7,ECA_AUDIT_SUMMARY,2025-08-31
2019,2014_2020,H2_COHESION_RESILIENCE,ISF,34149682058.58,23671944434.29,69.32,19809920900.25,31111428267.19,18252869922.36,5223286156.64,257254634.56,2732778868.13,15559150211.65,134,175719309.92,30,a10e61b3db2b90bd5aa614b87fb9,OPEN_DATA_PORTAL_BUDGET,2025-02-06
2020,2014_2020,H7_PUBLIC_ADMIN,CAP,62993047364.98,35844913325.22,56.9,13170319897.81,63758121979.44,13406601312.98,1977564129.95,401785651.87,4501289585.14,39845130122.0,120,328717655.06,44,dd4538daa4bb1dc61e8b4fab0967,EU_BUDGET_FINANCIAL_REPORT,2024-03-14
2021,2021_2027,H5_SECURITY_DEFENCE,NDICI,16793078712.34,6255544093.52,37.25,12584408081.0,66656908145.33,19935556427.96,5029900801.58,582135801.63,7245727197.06,11625991994.19,100,439592845.56,55,bae423eb5e79f3045cf782f94056,OLAF_ANNUAL_REPORT,2024-06-29
2022,2021_2027,H3_NATURAL_RESOURCES,CEF_DIGITAL,85477329396.96,41621677460.27,48.69,26621926087.36,33857803789.58,13638384006.91,4496469140.64,1388095369.37,6305504510.41,59997147379.81,24,235372634.76,56,d4c523697d04ab3e946e593d44b7,ECA_AUDIT_SUMMARY,2025-07-05
2023,2021_2027,H1_SINGLE_MARKET,IPA,44039169850.74,38738750541.04,87.96,40647785698.01,7945715715.4,10524544341.3,4958393550.49,833576191.19,9145538366.72,7916511159.25,64,129525345.9,57,b9fddad035c10643fbf5ac6e1db0,OPEN_DATA_PORTAL_BUDGET,2025-11-12
2024,2021_2027,H6_NEIGHBOURHOOD_WORLD,DIGITAL_EUROPE,70486492506.46,45768850839.94,64.93,45713034954.64,25354673403.71,3875500291.55,6120942571.58,577723241.76,6820850633.46,30633525054.2,26,53179115.55,1,5d0876422f539ac345b3ac7a55f6,EU_BUDGET_FINANCIAL_REPORT,2025-05-18
2025,2021_2027,H4_MIGRATION_BORDER,JUST_TRANSITION,41850248060.82,31637727408.69,75.6,20199157582.38,41715127050.1,14330166333.7,4780374937.0,1810305903.81,6246268630.48,11732850015.66,21,102581557.72,9,6170c459c94cb188502ba47ef1f7,OLAF_ANNUAL_REPORT,2025-05-17
2026,2021_2027,H2_COHESION_RESILIENCE,LIFE,49633161524.07,29508401151.86,59.45,20399189777.21,41110432846.19,4320239414.26,798804248.93,1270752754.18,6063657146.1,18188115958.51,22,194106128.62,2,30cd27653021b323055af5502f39,ECA_AUDIT_SUMMARY,2024-10-15
2014,2014_2020,H7_PUBLIC_ADMIN,HORIZON_EUROPE,30063404190.53,22644008705.81,75.32,22733626159.26,41504884407.9,786720069.99,12701949045.05,290137968.84,2036462947.52,7908124754.45,132,434192837.86,73,b7ba72d7537c4474c2622ea37bb6,OPEN_DATA_PORTAL_BUDGET,2025-11-15
2015,2014_2020,H5_SECURITY_DEFENCE,EU4HEALTH,13394935950.9,10121061777.91,75.56,3973903394.02,27193917448.53,17170687180.48,6546476494.35,392216078.51,4440762230.58,3073740780.67,2,70853780.58,61,908d9253c70af482590e59aa330f,EU_BUDGET_FINANCIAL_REPORT,2024-05-29
2016,2014_2020,H3_NATURAL_RESOURCES,ERDF,25434955323.08,20157010062.51,79.25,13622736970.65,46501332354.81,9269468606.68,14833622101.78,273474067.24,5084300031.76,8424020417.38,104,358803402.05,54,f11f9d56b9823e7883682d15dd9d,OLAF_ANNUAL_REPORT,2024-10-14
2017,2014_2020,H1_SINGLE_MARKET,AMIF,7072669234.73,4207423565.62,59.49,17628438140.5,53394786889.77,14504106924.0,8494459765.78,762326320.51,2132092106.64,3149329893.77,24,200643866.3,65,dd58b61e09096bc964f609e61d24,ECA_AUDIT_SUMMARY,2024-12-21
2018,2014_2020,H6_NEIGHBOURHOOD_WORLD,ESF_PLUS,39443563414.57,13882510676.75,35.2,10296883614.8,45646503705.65,9101093696.17,3994768229.73,163008379.68,3217517409.66,24944300829.2,90,323703930.68,1,809caff244339d467e500cf84f6a,OPEN_DATA_PORTAL_BUDGET,2024-06-17
2019,2014_2020,H4_MIGRATION_BORDER,ISF,48792134604.64,25740821264.37,52.76,27505593191.75,31973662431.12,15029282454.38,4256356161.65,124756166.69,7162461218.22,20334953870.94,3,155674305.54,27,f7e3157bbf1f22dc556181b1a711,EU_BUDGET_FINANCIAL_REPORT,2026-02-12
2020,2014_2020,H2_COHESION_RESILIENCE,CAP,66237089302.6,63875003541.46,96.43,9837783517.96,32203585922.94,5022499230.98,5604557789.35,188225893.45,2690163554.2,2203653993.73,28,217330666.65,15,8acc99caeafc25ddb8d67a41f764,OLAF_ANNUAL_REPORT,2024-03-30
2021,2021_2027,H7_PUBLIC_ADMIN,NDICI,61532965774.47,37178834771.29,60.42,37939709154.18,17334483335.97,14908848286.75,2715261512.53,683854234.76,4290196302.31,26973412709.39,136,617300385.67,40,82e8770025e6a8c2a1820a63d2e0,ECA_AUDIT_SUMMARY,2024-09-11
2022,2021_2027,H5_SECURITY_DEFENCE,CEF_DIGITAL,60108099171.77,35526128066.6,59.1,38349415448.8,42130147337.33,14711124318.12,9116982393.49,144020543.08,6098995436.27,20536439630.95,116,230648025.74,15,53f690cd3b9fb47e34354a7ff531,OPEN_DATA_PORTAL_BUDGET,2026-01-18
2023,2021_2027,H3_NATURAL_RESOURCES,IPA,3301301969.26,1891015481.9,57.28,12200678905.23,49676775740.73,18961079721.07,7501084258.64,1679106473.6,1865440560.22,1135806202.84,131,357403364.22,14,9f316bbd4093377d11dea9c2006e,EU_BUDGET_FINANCIAL_REPORT,2025-10-26
2024,2021_2027,H1_SINGLE_MARKET,DIGITAL_EUROPE,36107648730.61,18508661235.65,51.26,20301815118.95,8839547639.64,10350194956.17,11498957230.1,1461579694.62,1166096895.93,22897958237.25,69,135317019.89,18,fb93ceec4d4a41e94fddce21c079,OLAF_ANNUAL_REPORT,2025-06-13
2025,2021_2027,H6_NEIGHBOURHOOD_WORLD,JUST_TRANSITION,46199942509.75,35098001607.25,75.97,35261480067.66,21509658689.36,11273711453.2,7962240059.43,1811318776.03,8940358336.78,15890868301.06,48,30300506.11,33,aaa3f630d650316263565186074b,ECA_AUDIT_SUMMARY,2024-01-05
2026,2021_2027,H4_MIGRATION_BORDER,LIFE,37769435307.74,24133511941.5,63.9,30261526572.44,66803279030.28,2480449684.82,11247920503.11,116400717.34,4371597111.16,11411094327.65,37,265077218.58,16,017020e8bb0f92fe031360ffbf6b,OPEN_DATA_PORTAL_BUDGET,2024-09-25
2014,2014_2020,H2_COHESION_RESILIENCE,HORIZON_EUROPE,31688038086.91,16166573335.46,51.02,42335629239.04,24323922936.91,2703551118.1,10796296939.14,196954611.43,6908105633.47,20699458771.29,55,80160945.92,84,240b1b83f60edc48e197622d5bfa,EU_BUDGET_FINANCIAL_REPORT,2025-12-21
2015,2014_2020,H7_PUBLIC_ADMIN,EU4HEALTH,18310959702.26,16180141318.19,88.36,2988306817.21,27236495938.93,17251485682.21,12192447760.44,403060127.87,4343832901.52,3161856877.16,45,103955129.38,46,738794dc21107c27cdd853e994ff,OLAF_ANNUAL_REPORT,2025-12-23
2016,2014_2020,H5_SECURITY_DEFENCE,ERDF,17433319790.82,12435645260.45,71.33,4247750915.86,29719726019.89,12702300327.77,5442091636.65,336916835.62,4409675451.78,5103649097.56,67,68969078.58,79,2836306ad9d1ea0abe9fff10f66c,ECA_AUDIT_SUMMARY,2024-11-22
2017,2014_2020,H3_NATURAL_RESOURCES,AMIF,7644692119.8,7215612533.31,94.39,14801928042.3,54011337744.18,20313147210.04,14509505070.75,95118882.22,3765517955.87,384749193.61,138,187368194.78,32,44b110e4692890ffee697c6798c3,OPEN_DATA_PORTAL_BUDGET,2025-11-09
2018,2014_2020,H1_SINGLE_MARKET,ESF_PLUS,31435748092.96,28705395269.36,91.31,14397333792.04,15483118044.55,11706924940.95,6350114834.45,685083099.57,6424704861.75,2866259928.85,132,422076872.36,22,e378fc81c16eefc842c41bf689cd,EU_BUDGET_FINANCIAL_REPORT,2025-05-31
2019,2014_2020,H6_NEIGHBOURHOOD_WORLD,ISF,645948737.06,456541656.12,70.68,33256045723.54,11952190923.91,2486279296.96,10383059416.02,364064028.52,1979138949.54,158665108.24,4,160709979.56,42,bf1456639628a75406ac90d9874c,OLAF_ANNUAL_REPORT,2024-03-20
2020,2014_2020,H4_MIGRATION_BORDER,CAP,32495675093.27,17262425743.91,53.12,44605123019.67,50611644325.68,10609831349.66,2871657316.98,377391434.85,3659189968.62,24005472798.5,14,225020342.14,26,bc0943f14ca561efa51323fe4caa,ECA_AUDIT_SUMMARY,2025-11-23
2021,2021_2027,H2_COHESION_RESILIENCE,NDICI,48097682568.95,20513558181.74,42.65,13657903046.47,24548709375.69,7917274556.32,11298546404.1,652023461.42,3669623887.8,29849446194.94,125,326462016.47,51,28aa8fcb69c0e1f3543a9470733a,OPEN_DATA_PORTAL_BUDGET,2025-11-04
2022,2021_2027,H7_PUBLIC_ADMIN,CEF_DIGITAL,65327698379.58,40966200945.76,62.71,21567006778.98,3178954450.66,8788642724.56,7609291807.03,241227682.38,2677774373.43,37020757337.9,17,77526009.23,61,cb547cd8456521bbfac1c0c1c9ce,EU_BUDGET_FINANCIAL_REPORT,2024-10-14
2023,2021_2027,H5_SECURITY_DEFENCE,IPA,65369075732.83,58355428606.54,89.27,38002573172.85,11061334278.94,11215886777.67,1119232581.89,2286995999.38,2329080342.86,7524553779.66,93,69835055.3,54,5ab0e98342466459718383c5be03,OLAF_ANNUAL_REPORT,2024-01-25
2024,2021_2027,H3_NATURAL_RESOURCES,DIGITAL_EUROPE,22154619468.93,16205134450.38,73.15,8999129242.26,37337522764.72,3591082398.68,7189129429.45,1013552261.98,5022414493.66,9016445436.78,140,441048242.31,56,961a136c3938e3bb5b52db86d46f,ECA_AUDIT_SUMMARY,2025-04-27
2025,2021_2027,H1_SINGLE_MARKET,JUST_TRANSITION,53544825056.44,48746217683.82,91.04,12178269676.94,20974363553.52,11023560217.75,3577224779.46,2414707696.11,5865463721.55,7281088882.0,84,70913587.41,49,d373c4e71d0190b47bac5e707c92,OPEN_DATA_PORTAL_BUDGET,2024-07-13
2026,2021_2027,H6_NEIGHBOURHOOD_WORLD,LIFE,57402837859.17,42824138430.94,74.6,29566141038.56,29163875932.39,10738645539.31,2751334650.19,1306450855.53,204958993.27,21845475132.87,129,278773062.54,70,2ab29412f91539775b76e72cf249,EU_BUDGET_FINANCIAL_REPORT,2024-07-12
2014,2014_2020,H4_MIGRATION_BORDER,HORIZON_EUROPE,20555948887.0,12882080581.87,62.67,30697367596.23,12471561823.07,6101208333.88,2048257591.77,290491977.27,2847000500.37,8569698319.24,5,239029067.3,96,faead5189d698cd8c8425888feed,OLAF_ANNUAL_REPORT,2024-12-06
2015,2014_2020,H2_COHESION_RESILIENCE,EU4HEALTH,75021667179.66,42694843857.98,56.91,14524251853.35,40725554907.05,13693933432.98,4482660453.76,371480597.95,4717563251.38,32449881894.52,36,51880951.61,40,fbc5e3350e8e4f38a04f1edfda4e,ECA_AUDIT_SUMMARY,2024-06-28
2016,2014_2020,H7_PUBLIC_ADMIN,ERDF,28256479415.32,20947697551.74,74.13,15488013956.95,34374354468.88,710799673.5,188697139.53,358145298.63,3984919991.3,10846896645.67,9,214836136.26,36,5c372a7a8e615f1c54b82f4954e6,OPEN_DATA_PORTAL_BUDGET,2025-02-05
2017,2014_2020,H5_SECURITY_DEFENCE,AMIF,23081862623.28,20355371908.46,88.19,30921253541.83,8532763556.2,12582835329.5,5197761368.79,272991689.83,2426113006.96,3014399281.79,58,91555242.59,14,64ebde2503b9610d33880fb1281f,EU_BUDGET_FINANCIAL_REPORT,2024-03-18
2018,2014_2020,H3_NATURAL_RESOURCES,ESF_PLUS,27128858436.13,21252599245.41,78.34,18835647534.9,41881130801.39,3223504482.16,5239857135.67,30446541.89,8152342982.55,7432620332.51,100,362784214.31,31,7b2eb0c2b12df4d0c35042272482,OLAF_ANNUAL_REPORT,2025-01-07
2019,2014_2020,H1_SINGLE_MARKET,ISF,34521065060.21,32785234994.76,94.97,35571713272.49,25491436162.2,10616326116.55,8616666818.93,56285877.75,3423656966.32,1974678548.12,77,620645252.32,64,6f370f7968730d8ec3130489252a,ECA_AUDIT_SUMMARY,2025-12-03
2020,2014_2020,H6_NEIGHBOURHOOD_WORLD,CAP,35716978524.0,29980527971.02,83.94,9290913401.71,9239171432.94,8813279774.01,2573052515.31,690304835.7,1768147481.12,5115265858.89,13,112591797.76,39,506aae98a9bf6d3bf7b28d704300,OPEN_DATA_PORTAL_BUDGET,2026-02-15
2021,2021_2027,H4_MIGRATION_BORDER,NDICI,32732196861.28,24153289787.8,73.79,19006087370.57,15241177485.97,16091253777.92,2073349972.18,1315564435.85,4907906511.43,9550665514.25,59,75122617.5,14,680044c540095519baa34596ff14,EU_BUDGET_FINANCIAL_REPORT,2024-02-07
2022,2021_2027,H2_COHESION_RESILIENCE,CEF_DIGITAL,34814487338.69,16415241280.43,47.15,5031809728.01,47247995477.81,2977895626.94,7684653386.35,1615846896.35,4364819758.36,17069295397.65,99,197956517.95,58,a88ebc627e729651fea47a00a745,OLAF_ANNUAL_REPORT,2025-06-01
2023,2021_2027,H7_PUBLIC_ADMIN,IPA,2144769526.97,1458995655.78,68.03,12255282164.54,45609784513.9,2152709134.02,9511328073.34,314182037.62,7537660570.69,723212809.99,49,44229040.32,71,fb7981f8a5cbf2ca9f4095a46044,ECA_AUDIT_SUMMARY,2024-04-03
2024,2021_2027,H5_SECURITY_DEFENCE,DIGITAL_EUROPE,15855327280.96,12607422694.73,79.52,44523763813.18,54732759209.01,11706427530.04,5590097332.74,556679464.41,4660468834.4,4498975665.97,60,227813501.1,72,2c3b3d789b65ee17807747f3263e,OPEN_DATA_PORTAL_BUDGET,2025-02-04
2025,2021_2027,H3_NATURAL_RESOURCES,JUST_TRANSITION,67067363487.62,55012536704.3,82.03,1791609816.8,44304751605.06,4850686812.23,4062461693.95,133950105.12,1189334679.23,11173417521.05,86,357583720.32,35,3c97b4a7b77a1c9f052a6b7d52e3,EU_BUDGET_FINANCIAL_REPORT,2025-01-29
2026,2021_2027,H1_SINGLE_MARKET,LIFE,54414421619.29,46874955633.87,86.14,34998082671.46,25937372192.45,1017046020.03,5819244363.79,1576975747.76,6167028040.76,6662525980.05,52,1474937.93,72,ebe020ee632e7c0178e7e890ccc5,OLAF_ANNUAL_REPORT,2024-01-26
2014,2014_2020,H6_NEIGHBOURHOOD_WORLD,HORIZON_EUROPE,44087071323.63,28339590110.31,64.28,31333795442.26,37140712658.58,18397102206.62,2739522678.77,63330112.21,315706574.63,19132299698.8,111,479293104.24,15,df73cd38326b9c1161e6fb55d873,ECA_AUDIT_SUMMARY,2025-04-26
2015,2014_2020,H4_MIGRATION_BORDER,EU4HEALTH,29058405889.33,28662830129.33,98.64,5924343390.46,8326335258.12,12671892090.05,3018544854.57,288055699.0,1338598319.86,408036632.8,45,233672255.46,35,b8dd1bd13acc49401d4399d4b8c8,OPEN_DATA_PORTAL_BUDGET,2025-11-20
2016,2014_2020,H2_COHESION_RESILIENCE,ERDF,40548130429.34,24689011083.78,60.89,20200206395.83,46467750309.39,11524132478.47,10412609174.21,51311978.57,3423192038.23,24047979328.06,75,552299695.41,15,18811bd790645fe35c2d9291a70c,EU_BUDGET_FINANCIAL_REPORT,2024-02-15
2017,2014_2020,H7_PUBLIC_ADMIN,AMIF,22577653276.24,9893075075.94,43.82,32553108551.14,54529445731.81,15720300188.48,7140743457.78,346032695.51,8537702091.88,11641714992.15,137,155784464.41,19,cecd9f58ea829a0065758f7396fe,OLAF_ANNUAL_REPORT,2026-02-12
2018,2014_2020,H5_SECURITY_DEFENCE,ESF_PLUS,38441105883.01,28120349391.22,73.15,4008039474.24,17593666590.11,6682086596.13,4379348681.02,449191527.5,2327013277.35,12868850221.86,126,544543185.43,39,69491f0e50cbb1c289c2f40212d2,ECA_AUDIT_SUMMARY,2024-01-03
2019,2014_2020,H3_NATURAL_RESOURCES,ISF,14498423185.38,7924299065.85,54.66,28091658600.22,25294273862.52,9973309034.05,408086948.57,92766607.9,1561147882.73,10171511929.26,69,497720844.73,47,552c59ff8d5a35035c7d110ef008,OPEN_DATA_PORTAL_BUDGET,2026-02-12
2020,2014_2020,H1_SINGLE_MARKET,CAP,5382037489.01,1919827735.32,35.67,16338592398.43,18483663926.94,22223721700.93,8332861227.21,337438533.6,6947748871.88,3366756101.21,6,36984486.61,43,eda585c59fd7ab556211c7df5c92,EU_BUDGET_FINANCIAL_REPORT,2025-03-12
2021,2021_2027,H6_NEIGHBOURHOOD_WORLD,NDICI,43206430795.85,31051977924.19,71.87,14303137400.38,23485084578.3,8810437688.91,3500113036.5,1705406691.34,274602040.19,15314175410.25,58,152194481.36,36,ccfbff4adf04776f45285807d04f,OLAF_ANNUAL_REPORT,2025-09-19
