ag_crops_crop_year,ag_crops_district_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_inr_unit,ag_crops_revenue_per_acre_inr,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2020,100010,WHEAT,2595.07,2033.35,62.37,126820,53.92,BT_74,2020-05-27,2020-11-24,1383,0.473,128.05,1.13,65.9,3350.94,208998.13,24.67,0
2011,100011,SPICES,3284.6,2935.95,14.79,43423,72.82,ORG_14,2011-03-05,2011-06-22,1257,0.449,132.35,3.34,24.98,7447.51,110148.67,26.59,0
2013,100012,RICE,3278.12,2826.32,9.65,27274,9.33,ORG_31,2013-02-12,2013-07-26,1966,0.214,126.3,0.7,37.9,7894.22,76179.22,15.91,0
2024,100013,PULSES,2143.89,2116.44,119.49,252893,55.58,BT_63,2024-02-09,2024-05-27,1512,0.969,177.96,6.51,74.8,1211.59,144772.89,35.05,0
2026,100014,MAIZE,331.55,282.6,103.35,29207,6.85,HYB_87,2026-03-02,2026-08-12,1088,0.89,81.4,7.13,61.94,3818.42,394633.71,35.02,0
2018,100015,MILLET,3365.14,2672.78,37.75,100897,13.09,BT_39,2018-04-28,2018-09-15,3030,0.936,12.7,7.45,56.3,1519.86,57374.71,32.26,0
2014,100016,COTTON,4410.28,4250.54,49.39,209934,15.77,ORG_70,2014-06-30,2014-11-14,2268,0.987,199.65,0.09,81.71,2955.53,145973.63,39.8,0
2014,100017,PULSES,621.37,454.91,69.96,31826,27.23,HT_27,2014-03-29,2014-07-19,2450,0.853,156.57,3.01,90.82,1165.75,81555.87,38.06,0
2011,100018,RICE,1701.1,1257.53,117.74,148062,16.16,DT_71,2011-06-30,2011-12-16,2146,0.112,284.06,8.29,14.91,1059.4,124733.76,22.15,0
2023,100019,MAIZE,257.05,208.06,112.51,23409,97.22,HYB_46,2023-02-23,2023-06-26,2401,0.354,172.37,10.5,97.38,6196.24,697138.96,55.55,1
2015,100020,MAIZE,4413.01,3121.92,90.5,282534,33.22,DT_86,2015-03-05,2015-07-11,1182,0.701,120.94,0.46,47.07,2236.92,202441.26,55.11,1
2017,100021,MILLET,167.14,126.68,44.77,5671,86.44,ORG_36,2017-03-31,2017-10-07,1759,0.981,165.5,11.27,11.53,7786.88,348618.62,10.71,0
2018,100022,RICE,586.59,487.09,89.6,43643,31.37,HT_66,2018-01-30,2018-07-07,2959,0.19,22.87,5.23,51.99,6606.88,591976.45,41.21,0
2016,100023,COTTON,2184.92,2151.41,111.13,239086,62.32,BT_16,2016-03-17,2016-09-22,1542,0.408,126.7,3.55,12.73,3827.21,425317.85,56.42,0
2015,100024,COFFEE,2867.07,2356.22,101.38,238874,30.39,OPV_56,2015-05-29,2015-12-30,2371,0.465,138.23,2.56,47.32,7288.5,738908.13,47.76,1
2012,100025,PULSES,2601.49,2315.02,45.54,105426,81.84,ORG_31,2012-06-21,2012-11-07,1339,0.199,17.08,2.94,47.51,6918.11,315050.73,4.37,1
2016,100026,SUGARCANE,2497.17,1930.8,81.48,157322,0.55,ORG_99,2016-01-28,2016-07-14,1325,0.804,211.81,5.57,55.74,7405.78,603422.95,7.28,1
2024,100027,SPICES,2679.1,2324.6,43.54,101213,75.53,DT_79,2024-05-09,2024-10-25,2793,0.548,270.19,8.92,47.47,2666.18,116085.48,14.83,0
2026,100028,OILSEEDS,3152.4,2466.37,16.68,41139,28.57,IR_43,2026-03-23,2026-10-07,993,0.151,121.08,1.83,21.4,3787.05,63167.99,19.85,0
2011,100029,MILLET,4172.81,3408.53,94.22,321152,94.61,HYB_98,2011-05-28,2011-11-01,1945,0.943,96.6,4.68,89.16,6817.25,642321.3,32.29,0
2017,100030,OILSEEDS,1136.14,943.85,11.25,10618,33.61,BT_52,2017-02-12,2017-08-10,3007,0.981,164.9,10.88,59.19,5573.6,62703.0,5.04,1
2024,100031,MAIZE,298.91,243.23,31.71,7713,32.68,ORG_49,2024-03-12,2024-08-26,1405,0.082,15.62,6.47,99.99,3319.71,105268.0,39.01,0
2011,100032,RICE,4750.58,3609.53,10.28,37106,15.24,OPV_61,2011-06-21,2011-09-18,2154,0.218,212.84,9.2,16.78,5172.18,53170.01,44.88,1
2015,100033,PULSES,585.09,414.07,42.94,17780,67.73,DT_51,2015-02-20,2015-05-10,2221,0.831,80.43,8.37,30.16,5726.67,245903.21,48.33,0
2011,100034,COTTON,2687.09,2414.23,15.72,37952,64.75,HYB_54,2011-05-06,2011-08-01,1840,0.362,268.56,5.52,15.3,2068.19,32511.95,31.3,0
2025,100035,OILSEEDS,2206.09,2028.08,38.06,77189,85.17,ORG_12,2025-03-13,2025-09-04,1385,0.465,187.0,4.55,2.87,6926.86,263636.29,10.91,1
2018,100036,COTTON,1434.31,1260.54,106.57,134336,55.58,HT_25,2018-01-22,2018-05-23,2528,0.489,229.87,8.29,64.59,4333.91,461864.79,47.58,1
2017,100037,SUGARCANE,3474.35,2751.21,73.13,201196,47.33,HT_45,2017-04-19,2017-11-05,1594,0.703,88.57,3.02,12.07,2186.61,159906.79,7.17,0
2015,100038,MILLET,1121.1,947.62,89.15,84480,97.66,HT_77,2015-03-14,2015-06-07,2798,0.296,114.66,3.63,70.8,1711.4,152571.31,2.73,1
2019,100039,MAIZE,3207.45,2969.58,19.49,57877,1.23,IR_61,2019-05-03,2019-10-22,1618,0.965,83.22,10.34,11.41,1270.47,24761.46,29.5,0
2011,100040,MAIZE,788.53,685.12,42.03,28796,99.39,HYB_72,2011-04-17,2011-11-18,2231,0.618,234.95,4.56,90.85,2940.94,123607.71,35.31,1
2011,100041,COFFEE,4802.54,3504.75,93.43,327449,62.55,IR_85,2011-01-21,2011-05-01,1376,0.552,55.39,4.9,68.94,4183.37,390852.26,1.96,1
2019,100042,OILSEEDS,402.34,309.81,37.63,11658,79.12,HT_85,2019-02-20,2019-08-07,1075,0.225,53.21,3.19,14.22,1229.39,46261.95,47.56,0
2019,100043,OILSEEDS,665.55,603.39,86.37,52115,94.27,HT_70,2019-05-07,2019-10-26,993,0.04,135.29,3.87,25.04,1457.55,125888.59,57.71,0
2010,100044,SPICES,4116.04,3592.78,93.47,335817,17.52,HT_84,2010-04-24,2010-09-02,1236,0.585,194.09,5.9,9.12,3305.32,308948.26,20.0,0
2015,100045,COTTON,2087.64,1771.66,82.21,145648,40.05,ORG_71,2015-01-10,2015-07-05,1011,0.252,43.62,9.27,86.49,6739.48,554052.65,0.07,0
2024,100046,SUGARCANE,318.31,272.32,77.73,21167,49.85,DT_98,2024-01-14,2024-05-05,1441,0.131,93.53,10.57,48.47,1007.86,78340.96,37.8,0
2015,100047,PULSES,2776.65,2403.68,18.44,44324,99.23,HYB_60,2015-01-31,2015-05-10,1996,0.717,157.57,3.28,83.47,7857.76,144897.09,14.62,0
2022,100048,MILLET,4613.25,3932.67,106.48,418751,86.4,IR_99,2022-04-17,2022-09-11,3042,0.508,247.96,3.39,29.86,5025.95,535163.16,59.93,0
2014,100049,OILSEEDS,2715.97,2182.38,69.81,152352,54.34,DT_42,2014-02-18,2014-06-19,2172,0.234,234.91,0.52,74.47,5877.64,410318.05,48.68,1
2014,100050,OILSEEDS,4825.88,3560.89,116.12,413491,33.2,HYB_57,2014-01-26,2014-08-08,2985,0.015,51.81,10.45,97.0,1338.76,155456.81,46.89,1
2022,100051,SPICES,447.56,357.41,83.53,29854,53.36,IR_81,2022-05-05,2022-11-19,886,0.068,193.04,11.05,99.74,6176.72,515941.42,26.04,1
2013,100052,OILSEEDS,873.51,689.93,11.24,7755,32.44,HYB_38,2013-04-02,2013-09-04,1834,0.244,129.5,8.18,18.01,2060.5,23160.02,36.57,1
2017,100053,OILSEEDS,4568.5,3394.1,59.65,202458,25.4,IR_86,2017-01-03,2017-07-01,2963,0.678,55.81,5.3,34.56,5030.52,300070.52,38.34,1
2018,100054,OILSEEDS,4234.25,3217.04,51.09,164359,48.32,OPV_49,2018-05-27,2018-10-25,2180,0.993,95.62,11.74,65.82,2776.26,141839.12,33.96,0
2011,100055,COFFEE,3738.6,3551.12,109.13,387534,77.57,OPV_78,2011-04-01,2011-07-26,2328,0.621,206.55,8.65,65.92,6836.03,746015.95,37.69,0
2011,100056,PULSES,3953.62,2807.11,48.86,137155,13.14,IR_42,2011-04-17,2011-07-30,1282,0.787,264.17,4.39,50.18,2762.2,134961.09,9.87,0
2025,100057,PULSES,3745.47,3002.42,20.9,62751,96.29,OPV_97,2025-02-27,2025-08-07,3121,0.805,116.07,9.49,1.39,4663.32,97463.39,27.29,0
2018,100058,COFFEE,1936.08,1726.14,49.61,85634,67.48,DT_04,2018-06-08,2018-12-28,1587,0.61,197.82,7.62,46.43,5847.76,290107.37,38.95,1
2011,100059,RICE,1556.6,1319.67,18.89,24929,88.73,OPV_50,2011-04-27,2011-09-28,2409,0.743,284.33,5.03,74.23,1912.56,36128.26,24.89,1
2025,100060,COFFEE,2070.17,2040.06,11.66,23787,37.05,DT_57,2025-03-02,2025-08-01,1038,0.686,167.9,11.73,35.87,3666.61,42752.67,11.39,1
2024,100061,WHEAT,3330.71,2972.7,74.88,222596,2.14,ORG_43,2024-03-03,2024-06-03,2689,0.205,250.65,6.65,58.64,6653.98,498250.02,13.98,0
2010,100062,PULSES,4299.11,3195.99,22.56,72102,25.07,OPV_15,2010-06-19,2010-08-24,1116,0.358,238.65,7.07,1.58,2710.65,61152.26,7.61,1
2013,100063,WHEAT,2407.42,2247.1,65.48,147140,10.91,HT_29,2013-06-07,2013-08-17,2545,0.909,201.08,3.62,64.33,1024.28,67069.85,59.92,0
2023,100064,SPICES,584.41,533.99,57.68,30801,89.93,IR_78,2023-02-07,2023-04-24,1103,0.624,179.76,8.55,38.09,5101.22,294238.37,17.69,0
2023,100065,WHEAT,3975.83,2919.55,81.33,237447,87.77,HT_93,2023-02-25,2023-08-14,1884,0.228,108.29,5.44,41.6,1484.62,120744.14,25.61,0
2021,100066,MAIZE,3449.76,2905.67,18.22,52941,8.54,DT_13,2021-04-06,2021-07-08,2135,0.586,172.86,3.96,12.22,3345.91,60962.48,39.92,0
2011,100067,PULSES,3022.03,2434.23,72.73,177042,21.27,BT_62,2011-02-27,2011-05-25,1640,0.556,43.32,3.34,22.62,3889.61,282891.34,33.66,0
2010,100068,COFFEE,4648.97,4411.12,37.95,167402,18.04,BT_98,2010-03-21,2010-08-14,1642,0.181,51.54,7.89,6.96,6134.98,232822.49,58.31,1
2026,100069,MILLET,1912.16,1598.75,25.63,40976,31.16,IR_73,2026-06-02,2026-08-22,2920,0.156,228.79,0.6,8.16,3990.41,102274.21,25.44,0
2023,100070,PULSES,1117.07,953.65,46.66,44497,11.09,BT_87,2023-06-01,2023-12-02,2065,0.308,73.95,11.81,5.48,2271.85,106004.52,56.72,0
2018,100071,PULSES,1674.21,1175.83,91.67,107788,17.57,DT_69,2018-06-30,2018-10-26,2001,0.833,243.8,0.86,86.18,1104.58,101256.85,1.12,0
2020,100072,COFFEE,2174.96,1786.35,79.7,142372,28.95,DT_03,2020-03-24,2020-07-05,2723,0.618,251.29,11.04,8.81,6880.29,548359.11,14.6,0
2026,100073,WHEAT,2009.05,1593.34,46.03,73341,33.31,OPV_10,2026-05-11,2026-08-08,2073,0.194,235.11,4.21,95.82,5447.19,250734.16,8.86,1
2018,100074,MILLET,908.82,677.85,93.03,63060,7.54,ORG_81,2018-05-07,2018-11-01,2611,0.76,140.18,11.09,56.45,5374.15,499957.17,37.47,0
2020,100075,MAIZE,2226.83,1872.04,78.72,147367,79.63,HT_08,2020-03-31,2020-10-06,978,0.462,20.91,4.42,28.71,5441.6,428362.75,58.64,1
2026,100076,SUGARCANE,2340.42,2027.49,96.68,196018,89.59,DT_74,2026-06-16,2026-10-02,1572,0.476,53.75,0.74,10.35,7273.71,703222.28,20.61,0
2026,100077,SPICES,904.17,700.12,57.03,39928,43.94,HT_79,2026-02-10,2026-07-13,1695,0.283,128.54,4.06,59.79,6482.43,369692.98,38.84,1
2013,100078,TEA,3407.98,2676.1,89.06,238333,65.66,HT_20,2013-03-27,2013-06-15,2199,0.141,111.45,11.61,69.85,3622.1,322584.23,35.7,0
2019,100079,TEA,1914.56,1794.9,99.08,177839,67.01,ORG_95,2019-06-25,2020-01-05,1024,0.67,157.46,0.22,30.89,7648.42,757805.45,20.5,0
2016,100080,MILLET,4999.88,3732.33,41.13,153511,78.81,HT_99,2016-05-18,2016-11-28,891,0.337,232.23,1.57,37.67,1968.18,80951.24,49.88,0
2015,100081,OILSEEDS,266.28,215.5,88.59,19091,96.96,HT_37,2015-04-25,2015-08-22,2082,0.309,244.5,5.63,83.51,3448.45,305498.19,56.83,0
2024,100082,PULSES,3901.71,3319.86,54.89,182227,16.21,OPV_78,2024-02-05,2024-06-08,925,0.481,117.65,11.21,71.14,4514.55,247803.65,7.48,1
2015,100083,PULSES,2274.13,1942.12,101.08,196309,9.17,OPV_58,2015-03-31,2015-06-05,1796,0.396,118.45,4.63,8.16,2416.68,244278.01,19.12,1
2020,100084,MAIZE,731.12,574.71,100.93,58005,69.61,OPV_98,2020-06-29,2020-12-26,1877,0.005,32.98,3.07,83.5,4751.39,479557.79,43.63,0
2013,100085,PULSES,1226.32,903.25,34.71,31352,63.9,HT_59,2013-01-17,2013-04-15,2808,0.5,165.46,7.58,57.5,5973.52,207340.88,17.48,1
2021,100086,MILLET,2874.79,2173.9,82.84,180086,52.35,IR_09,2021-05-15,2021-11-30,2018,0.988,170.7,4.69,47.01,5376.83,445416.6,58.86,1
2010,100087,COTTON,3953.17,3176.14,90.09,286138,62.83,ORG_75,2010-03-27,2010-06-29,906,0.546,245.92,2.1,77.91,4145.28,373448.28,41.72,0
2014,100088,WHEAT,3594.42,3533.61,12.14,42898,20.16,ORG_26,2014-01-11,2014-05-31,3040,0.515,296.85,6.52,25.33,6223.69,75555.6,11.47,1
2011,100089,SPICES,1693.03,1248.34,49.22,61443,88.95,BT_57,2011-04-09,2011-09-02,3137,0.496,154.28,11.09,51.93,6568.27,323290.25,43.62,1
2015,100090,TEA,1504.14,1099.19,44.73,49167,29.56,DT_78,2015-04-20,2015-07-31,2455,0.352,22.28,10.44,35.26,7986.68,357244.2,16.47,0
2011,100091,WHEAT,3372.36,2771.62,65.47,181458,74.99,OPV_04,2011-02-06,2011-09-09,2427,0.438,46.61,2.83,64.52,3407.48,223087.72,56.97,1
2014,100092,SPICES,2277.12,1847.4,57.72,106632,7.69,OPV_68,2014-04-04,2014-09-12,1555,0.279,288.55,0.31,18.6,4527.77,261342.88,54.81,1
2018,100093,OILSEEDS,1112.12,982.63,85.73,84241,99.86,OPV_16,2018-02-04,2018-04-23,1885,0.899,139.08,1.05,68.19,6887.75,590486.81,19.18,1
2012,100094,TEA,2733.75,2644.63,103.35,273323,71.18,BT_82,2012-02-14,2012-07-15,2021,0.121,68.28,1.67,79.04,989.24,102237.95,33.24,1
2014,100095,COFFEE,4427.02,3186.23,52.59,167564,71.69,DT_68,2014-04-16,2014-09-27,2776,0.074,291.99,7.71,45.0,5696.78,299593.66,20.67,0
2015,100096,MAIZE,2191.46,2132.76,14.21,30307,12.42,OPV_39,2015-02-12,2015-05-24,1574,0.709,110.35,11.29,89.49,6890.72,97917.13,15.04,0
2018,100097,MAIZE,3143.86,2780.2,18.46,51322,64.1,HT_75,2018-02-09,2018-05-23,2381,0.721,185.49,10.11,56.36,6741.7,124451.78,1.7,1
2018,100098,SPICES,1093.5,953.14,77.23,73611,3.03,BT_70,2018-03-16,2018-07-31,1959,0.805,208.65,3.57,7.3,1231.37,95098.71,26.38,0
2016,100099,COTTON,3052.97,2423.37,88.46,214371,73.42,ORG_45,2016-04-12,2016-07-14,2626,0.515,40.79,2.9,12.25,4037.09,357120.98,8.45,1
2022,100100,COFFEE,2119.77,2096.04,109.06,228594,81.35,HT_93,2022-03-22,2022-07-08,2631,0.498,159.27,5.99,30.85,966.87,105446.84,56.71,0
2017,100101,MILLET,2937.55,2099.17,39.51,82938,59.75,ORG_84,2017-06-22,2017-12-19,1486,0.008,41.17,1.61,26.45,3433.6,135661.54,24.2,1
2011,100102,COFFEE,2830.99,2289.58,40.32,92316,38.63,DT_98,2011-05-21,2011-09-29,2781,0.623,187.2,1.54,9.67,3487.03,140597.05,59.21,0
2021,100103,MAIZE,1035.34,882.87,64.01,56513,4.53,OPV_92,2021-03-27,2021-09-24,2046,0.149,269.01,1.68,93.14,3093.42,198009.81,23.58,0
2019,100104,COFFEE,1715.05,1626.7,67.62,109997,70.87,IR_61,2019-01-05,2019-06-08,1595,0.11,130.8,3.69,89.88,7079.11,478689.42,37.76,0
2018,100105,SPICES,3925.37,3661.78,72.7,266211,72.14,HT_62,2018-02-13,2018-08-26,2310,0.62,253.94,1.77,68.07,1027.31,74685.44,56.89,1
2010,100106,OILSEEDS,1602.78,1194.76,85.34,101961,41.04,ORG_79,2010-05-01,2010-07-15,2494,0.519,172.66,11.98,47.84,3513.14,299811.37,57.4,0
2020,100107,TEA,1803.72,1680.34,88.74,149113,64.33,BT_34,2020-06-05,2020-12-05,1261,0.247,171.85,2.7,97.29,2942.82,261145.85,17.34,1
2025,100108,COTTON,2425.03,2105.28,112.66,237181,72.17,IR_16,2025-05-27,2025-12-12,1711,0.98,247.33,11.46,80.46,2891.26,325729.35,17.26,0
2021,100109,OILSEEDS,3297.06,3047.15,31.97,97417,82.8,IR_72,2021-06-28,2021-11-04,1129,0.616,180.18,2.91,66.98,4623.5,147813.29,38.28,1
2023,100110,COTTON,3600.92,2629.26,94.33,248018,0.52,HT_21,2023-04-15,2023-10-13,1946,0.199,289.54,3.85,64.59,7337.15,692113.36,5.37,0
2011,100111,MAIZE,2118.53,2015.32,112.6,226925,3.63,ORG_51,2011-05-07,2011-08-22,3048,0.962,278.55,10.52,0.93,4889.33,550538.56,6.44,0
2019,100112,OILSEEDS,4946.04,4268.38,63.32,270274,93.86,ORG_65,2019-04-30,2019-09-06,1263,0.113,57.12,5.51,25.73,2140.63,135544.69,44.2,0
2016,100113,MAIZE,3074.22,2741.03,53.41,146398,42.77,IR_12,2016-04-12,2016-07-05,1243,0.141,103.84,2.98,26.08,2495.75,133298.01,45.23,0
2019,100114,COFFEE,3628.27,2552.24,81.21,207267,69.28,HYB_86,2019-01-31,2019-07-29,1536,0.405,155.73,10.74,70.36,3039.04,246800.44,7.04,0
2019,100115,COTTON,3092.4,2367.97,22.96,54369,15.32,BT_78,2019-04-06,2019-09-19,2485,0.913,229.63,9.62,82.56,6285.39,144312.55,40.82,0
2012,100116,TEA,2261.4,2060.43,16.75,34512,56.42,HYB_71,2012-05-09,2012-08-28,2174,0.15,105.15,6.24,11.62,2278.89,38171.41,34.99,1
2026,100117,OILSEEDS,4053.03,3388.45,65.48,221876,45.68,HYB_72,2026-04-29,2026-09-14,2536,0.396,246.77,8.95,57.83,1126.09,73736.37,20.67,1
2011,100118,WHEAT,4931.38,4150.35,40.15,166637,18.0,OPV_99,2011-06-14,2011-11-28,1699,0.891,140.08,11.01,37.75,1377.8,55318.67,57.85,0
2014,100119,SPICES,4308.42,3169.23,119.2,377772,39.31,OPV_94,2014-02-27,2014-04-28,2615,0.978,144.27,8.63,42.41,3530.79,420870.17,13.78,0
2014,100120,PULSES,982.98,946.18,93.73,88685,3.22,BT_54,2014-06-07,2014-08-10,1378,0.067,182.24,5.36,67.2,7079.93,663601.84,14.68,1
2024,100121,MILLET,2721.81,2521.26,94.92,239318,14.01,IR_30,2024-05-27,2024-10-15,2186,0.773,247.33,2.84,87.63,7897.01,749584.19,31.28,1
2018,100122,RICE,2805.75,2462.05,90.34,222422,17.51,BT_55,2018-05-23,2018-11-25,913,0.344,196.56,4.57,52.45,5813.42,525184.36,24.5,1
2015,100123,TEA,2393.92,2285.72,41.68,95269,70.76,ORG_60,2015-01-15,2015-08-06,1790,0.417,163.7,4.66,25.5,3177.89,132454.46,4.74,1
2021,100124,WHEAT,2701.4,2563.15,13.77,35295,37.72,HT_78,2021-01-11,2021-03-30,1252,0.762,220.05,6.71,47.94,7060.21,97219.09,19.98,0
2010,100125,MILLET,4688.94,4635.6,21.14,97997,99.96,DT_32,2010-06-28,2011-01-28,2489,0.397,79.41,3.86,28.31,4157.0,87878.98,38.92,1
2021,100126,TEA,4419.92,3711.85,97.92,363464,72.24,ORG_41,2021-02-22,2021-07-26,1551,0.046,260.58,8.9,1.62,4783.84,468433.61,35.04,0
2019,100127,MAIZE,1021.15,785.27,71.82,56398,24.57,HT_84,2019-06-25,2019-11-18,1418,0.822,290.29,7.7,49.06,2011.28,144450.13,47.7,1
2025,100128,MAIZE,4588.65,3958.36,79.88,316194,5.87,HYB_10,2025-06-21,2025-09-01,2634,0.412,254.34,2.78,70.72,865.82,69161.7,30.34,1
2025,100129,SPICES,2464.88,1730.31,69.78,120741,1.19,HT_93,2025-03-12,2025-09-25,3146,0.017,245.82,8.09,80.62,7350.37,512908.82,6.42,1
2014,100130,MILLET,1000.06,857.99,99.3,85198,26.73,DT_11,2014-04-06,2014-09-16,1902,0.243,212.2,3.6,82.81,1380.44,137077.69,59.5,0
2011,100131,WHEAT,2056.13,1671.94,61.31,102507,63.67,BT_22,2011-01-22,2011-07-28,2829,0.645,106.07,11.73,97.38,7242.5,444037.67,55.15,1
2025,100132,PULSES,280.48,202.59,111.67,22623,89.93,HT_85,2025-01-09,2025-04-24,3029,0.314,288.83,7.04,75.23,5931.52,662372.84,23.9,1
2015,100133,COFFEE,1240.34,1178.81,51.59,60815,89.65,IR_50,2015-02-05,2015-04-26,2002,0.974,25.57,5.25,83.87,3252.27,167784.61,46.14,0
2022,100134,COTTON,196.65,153.78,119.17,18326,49.06,IR_71,2022-04-07,2022-09-24,1246,0.586,120.22,9.27,29.54,2574.44,306796.01,4.41,1
2022,100135,SPICES,813.67,664.68,48.4,32171,9.15,IR_57,2022-04-03,2022-08-10,1045,0.087,134.98,6.68,51.24,1543.71,74715.56,5.38,0
2020,100136,SUGARCANE,111.09,91.55,95.27,8722,72.48,HT_32,2020-05-26,2020-12-05,1207,0.381,50.26,3.61,49.31,1255.52,119613.39,26.08,1
2025,100137,WHEAT,1837.57,1806.82,88.74,160337,49.58,HT_26,2025-04-28,2025-07-24,1125,0.007,124.75,10.1,37.99,7007.83,621874.83,26.41,1
2014,100138,PULSES,1637.29,1611.39,30.5,49147,31.42,DT_41,2014-03-16,2014-09-17,3123,0.782,104.51,3.36,78.59,3428.11,104557.36,55.92,1
2015,100139,SPICES,3849.71,2725.88,89.45,243830,94.3,OPV_57,2015-03-16,2015-06-01,2766,0.796,128.65,5.99,63.33,2542.55,227431.1,39.52,0
2022,100140,WHEAT,2272.88,1998.73,73.21,146327,53.44,ORG_89,2022-04-18,2022-11-03,888,0.968,213.47,9.75,59.38,7383.69,540559.94,6.56,1
2021,100141,MAIZE,3252.65,2320.08,118.16,274141,67.75,DT_97,2021-03-26,2021-09-12,1054,0.099,74.38,8.96,55.8,5751.18,679559.43,13.26,1
2024,100142,SPICES,2963.52,2519.41,46.64,117505,2.46,HYB_38,2024-04-16,2024-07-06,1079,0.941,51.09,3.74,45.53,2289.44,106779.48,28.98,0
2024,100143,OILSEEDS,1628.6,1286.72,98.74,127051,11.51,ORG_44,2024-06-14,2024-09-09,2425,0.164,295.33,2.93,17.45,1952.98,192837.25,33.59,0
2017,100144,SUGARCANE,3167.31,2394.22,81.62,195416,39.56,BT_79,2017-02-20,2017-08-14,2221,0.389,214.37,2.47,75.23,6622.85,540557.02,3.75,1
2015,100145,COTTON,1663.63,1392.9,37.38,52067,86.26,HT_82,2015-03-22,2015-10-20,1733,0.393,43.13,4.22,45.79,2042.2,76337.44,40.42,0
2012,100146,SPICES,713.04,524.34,42.2,22127,18.3,BT_19,2012-05-10,2012-10-16,1804,0.138,121.28,2.23,63.55,5792.72,244452.78,38.72,0
2015,100147,OILSEEDS,1479.73,1118.87,102.3,114460,61.94,ORG_46,2015-01-03,2015-07-06,1128,0.815,289.51,6.07,49.5,5729.82,586160.59,24.94,0
2025,100148,MAIZE,459.22,325.71,93.24,30369,29.21,IR_29,2025-05-18,2025-09-28,1204,0.457,225.33,9.19,54.97,1615.12,150593.79,6.85,0
2021,100149,TEA,4121.92,2936.8,88.53,259995,54.64,DT_14,2021-06-17,2021-10-18,1515,0.999,140.42,4.18,81.67,3961.3,350693.89,59.64,0
2017,100150,MILLET,4062.98,3560.7,47.27,168314,71.08,BT_55,2017-02-12,2017-09-17,1134,0.207,70.01,0.71,35.08,2823.81,133481.5,32.33,1
2019,100151,PULSES,2885.04,2843.84,65.61,186584,90.02,ORG_13,2019-02-04,2019-07-19,3005,0.992,261.44,1.52,86.61,2597.68,170433.78,42.68,0
2022,100152,OILSEEDS,753.75,670.63,78.32,52524,37.52,HYB_82,2022-01-24,2022-07-06,2037,0.278,281.54,4.43,95.03,3156.48,247215.51,0.15,0
2012,100153,OILSEEDS,3192.46,2902.54,103.21,299571,79.57,DT_28,2012-04-19,2012-08-11,1987,0.323,92.24,6.57,13.06,6937.44,716013.18,47.3,0
