biz_trade_shipment_month,biz_trade_port_of_entry_code,biz_trade_hs_code_6,biz_trade_trade_direction_code,biz_trade_trade_value_usd,biz_trade_trade_weight_kg,biz_trade_country_partner_code,biz_trade_transport_mode_code,biz_trade_containerized_flag,biz_trade_freight_rate_index,biz_trade_customs_clearance_hours,biz_trade_inspection_rate_pct,biz_trade_tariff_rate_effective_pct,biz_trade_trade_remedy_flag,biz_trade_origin_supply_chain_risk,biz_trade_destination_demand_index,biz_trade_seasonality_factor,biz_trade_re_export_flag,biz_trade_trade_finance_constraint_flag,biz_trade_data_release_version
2017-11,SEA,634971,IMPORT,5866534222.02,57972399.72,ES,RAIL,0,176.59,52.62,27.242,35.301,0,16.04,17.22,1.3792,0,0,REL0000011
2017-12,SAV,860089,EXPORT,1057304034.44,4123742.79,SG,OCEAN,1,229.32,118.58,19.066,3.21,1,64.63,9.04,0.5461,0,1,REL0000012
2018-01,SAV,119251,IMPORT,7252874756.81,3963302.87,BR,TRUCK,1,53.24,231.34,16.941,37.277,0,24.02,31.42,0.5671,0,0,REL0000013
2018-02,NYC,428860,EXPORT,2939844569.62,42417983.49,AU,AIR,0,168.71,208.39,11.854,41.483,0,1.67,27.92,0.7539,0,0,REL0000014
2018-03,SAV,557455,EXPORT,2995540450.78,75752394.04,AU,TRUCK,1,95.82,185.64,34.317,12.098,0,75.9,6.23,1.1421,0,0,REL0000015
2018-04,MIA,136200,IMPORT,4192190215.43,42801332.4,IT,RAIL,0,94.83,158.14,27.637,6.4,0,19.65,14.08,0.7895,0,0,REL0000016
2018-05,OAK,941848,IMPORT,7923094089.78,83873685.72,NL,OCEAN,1,193.48,220.99,8.002,38.185,0,81.31,26.8,1.3735,0,0,REL0000017
2018-06,MIA,284029,IMPORT,4675323808.48,83365190.09,KR,TRUCK,1,150.43,79.91,27.877,32.065,0,20.46,49.24,0.5185,0,0,REL0000018
2018-07,OAK,478060,IMPORT,202788341.66,22002024.14,IN,OCEAN,1,69.33,103.92,11.311,3.061,0,79.42,69.7,0.6618,0,0,REL0000019
2018-08,HOU,689879,EXPORT,4211007361.77,74886650.58,ES,RAIL,1,175.24,42.83,24.944,9.993,0,95.99,74.2,1.354,0,1,REL0000020
2018-09,LAX,363917,EXPORT,6872535719.78,26038846.11,DE,RAIL,0,149.61,67.38,24.702,8.222,0,87.42,57.94,0.7016,0,0,REL0000021
2018-10,NOR,497736,IMPORT,4300024949.07,4141107.84,KR,OCEAN,1,117.68,155.22,32.765,47.285,0,99.27,68.08,0.8753,0,0,REL0000022
2018-11,OAK,584686,EXPORT,6147910344.2,79773342.77,IT,AIR,1,65.77,118.09,14.839,10.91,0,17.33,53.17,0.8551,1,0,REL0000023
2018-12,SEA,885906,IMPORT,63454911.36,47395522.07,IN,OCEAN,1,66.75,181.99,22.652,22.006,0,67.49,53.46,0.8713,0,1,REL0000024
2019-01,SAV,330452,EXPORT,7580495702.0,82839934.88,SG,AIR,1,229.01,200.26,10.916,48.141,0,52.46,39.5,1.3327,0,0,REL0000025
2019-02,NOR,499595,IMPORT,7388777730.27,14153213.0,CN,OCEAN,1,151.86,74.95,1.673,23.678,0,66.33,32.75,1.175,0,0,REL0000026
2019-03,SAV,840533,EXPORT,6613384757.58,64910225.25,TW,OCEAN,1,208.41,173.54,2.696,45.392,0,95.31,55.52,1.2664,0,0,REL0000027
2019-04,SEA,371593,IMPORT,4677254494.52,68684987.18,VN,OCEAN,1,174.32,76.06,20.338,12.684,0,41.26,34.32,1.4417,0,0,REL0000028
2019-05,NYC,561197,EXPORT,1580488892.34,34013913.08,JP,TRUCK,1,192.03,102.02,23.026,31.854,0,20.59,2.09,0.8976,0,0,REL0000029
2019-06,OAK,485518,IMPORT,4851503495.57,35816603.89,TH,AIR,1,88.79,106.09,18.45,6.342,0,91.53,68.72,0.6873,0,0,REL0000030
2019-07,NOR,488783,IMPORT,1195787871.84,18888935.73,NL,TRUCK,0,96.47,197.58,19.249,7.248,0,72.54,8.48,1.1462,0,0,REL0000031
2019-08,CHI,862019,IMPORT,7819456545.63,30447381.15,ID,OCEAN,1,185.19,46.21,25.729,26.253,0,21.76,87.38,0.6491,0,0,REL0000032
2019-09,OAK,108104,IMPORT,7078579626.18,7700354.81,GB,AIR,0,104.81,18.84,24.758,13.041,0,96.94,83.92,0.7394,0,0,REL0000033
2019-10,MIA,131639,IMPORT,2918316136.02,7130667.3,ES,AIR,1,51.51,118.32,27.676,19.986,0,52.74,89.96,1.3748,0,0,REL0000034
2019-11,LGB,175203,IMPORT,1779466028.7,75213591.73,TH,OCEAN,0,119.65,158.08,2.207,21.971,0,52.34,45.17,0.9584,0,0,REL0000035
2019-12,CHI,727760,IMPORT,4463984090.99,83008255.82,MX,OCEAN,0,112.54,170.64,4.619,42.255,0,92.33,2.06,0.8233,0,1,REL0000036
2020-01,LAX,785687,IMPORT,6489773992.0,56811253.67,VN,OCEAN,1,54.37,155.22,27.357,45.202,0,68.33,17.47,0.8844,0,0,REL0000037
2020-02,NYC,836205,IMPORT,2467135165.8,57576529.01,TH,TRUCK,1,207.21,145.79,9.895,39.535,0,78.86,63.21,1.2292,0,0,REL0000038
2020-03,LGB,571428,IMPORT,2008844863.64,48365154.79,ES,OCEAN,1,135.06,226.58,2.107,31.198,0,64.28,87.07,0.5034,0,0,REL0000039
2020-04,SAV,390419,IMPORT,5462694573.32,21980510.49,GB,RAIL,1,138.51,148.85,15.622,14.182,0,17.63,70.9,1.3652,0,0,REL0000040
2020-05,CHI,219416,EXPORT,1917677587.68,9780494.48,ID,RAIL,1,63.45,108.3,12.321,8.364,0,53.14,16.51,0.9559,0,0,REL0000041
2020-06,NOR,663242,EXPORT,1907356701.6,58623450.51,TW,POSTAL,1,226.48,55.91,11.772,11.486,0,44.33,30.21,1.3179,0,0,REL0000042
2020-07,NYC,822418,IMPORT,5690949961.41,69110011.82,BR,OCEAN,0,107.21,82.42,32.004,30.754,0,52.81,51.27,0.8421,0,0,REL0000043
2020-08,NYC,162568,IMPORT,2854570499.05,37744788.53,TH,TRUCK,0,239.6,186.27,26.279,42.5,0,90.73,38.47,1.4544,0,0,REL0000044
2020-09,NOR,815913,IMPORT,2991342446.94,36053912.57,IN,AIR,1,169.42,96.11,32.08,35.23,0,2.93,41.48,0.8956,0,1,REL0000045
2020-10,LAX,373802,EXPORT,6991736906.79,25799150.6,ID,OCEAN,1,94.77,112.18,1.484,3.438,1,83.59,29.0,0.6095,0,0,REL0000046
2020-11,NOR,189692,IMPORT,4228257180.14,80178127.7,TH,AIR,1,248.47,144.28,7.793,43.004,0,1.54,83.13,0.6408,0,1,REL0000047
2020-12,MIA,557205,EXPORT,970206160.39,70305608.08,BR,RAIL,1,90.9,22.26,12.469,10.589,1,1.8,20.45,1.4665,0,0,REL0000048
2021-01,SEA,127653,EXPORT,2396255822.74,44500942.0,IT,OCEAN,1,113.49,68.96,8.697,22.895,0,8.24,1.22,1.1626,0,1,REL0000049
2021-02,CHI,860418,IMPORT,5316992966.41,62409800.44,VN,AIR,1,111.27,8.88,11.873,15.682,0,27.41,52.16,0.7016,1,0,REL0000050
2021-03,OAK,467549,IMPORT,5170366057.02,17018836.59,MX,POSTAL,0,220.49,36.83,21.169,5.747,0,27.94,55.62,1.34,0,1,REL0000051
2021-04,LAX,255345,EXPORT,1744664652.84,24266116.13,MX,AIR,0,180.23,163.87,6.397,43.581,0,86.88,83.7,0.9343,0,0,REL0000052
2021-05,SEA,856654,IMPORT,2801076230.39,76744782.5,CN,OCEAN,1,56.78,147.98,11.633,32.798,0,89.26,16.83,0.9369,0,0,REL0000053
2021-06,OAK,152570,EXPORT,5036258923.46,14898176.44,CN,AIR,0,216.47,29.73,9.016,36.819,0,61.18,13.71,1.0611,0,0,REL0000054
2021-07,LAX,129089,EXPORT,1052159890.57,34816380.6,TW,OCEAN,0,212.94,137.17,14.478,27.924,0,66.17,90.65,1.2048,0,0,REL0000055
2021-08,MIA,418297,IMPORT,4325928724.2,83931638.01,IT,OCEAN,1,197.26,33.55,5.338,13.097,0,30.97,31.09,1.2396,0,1,REL0000056
2021-09,NOR,750982,IMPORT,109105419.64,59967998.52,MY,OCEAN,1,217.54,151.18,16.183,4.599,0,91.52,52.38,1.2487,0,0,REL0000057
2021-10,SEA,729645,REEXPORT,7829484782.49,7546028.22,NL,OCEAN,0,84.04,195.28,8.086,27.381,0,21.35,56.97,1.302,1,0,REL0000058
2021-11,HOU,696388,EXPORT,17013600.77,62914545.46,ES,AIR,0,105.46,86.63,28.335,46.674,0,95.72,78.01,0.9412,0,0,REL0000059
2021-12,LGB,307073,EXPORT,1291665197.14,65656807.26,SG,RAIL,0,59.18,75.9,33.611,46.671,0,76.99,18.66,1.4176,0,0,REL0000060
2022-01,HOU,621208,IMPORT,6030542493.58,21468153.7,CN,TRUCK,1,57.84,86.98,27.231,39.374,0,96.35,61.74,0.8765,0,0,REL0000061
2022-02,LGB,370818,EXPORT,6899447917.83,41648523.47,FR,TRUCK,0,158.54,202.37,25.711,29.387,0,43.43,27.95,0.8331,0,0,REL0000062
2022-03,NYC,319826,IMPORT,6544007226.39,11895957.98,DE,TRUCK,1,235.48,56.65,3.719,30.216,0,23.29,59.97,1.0861,0,1,REL0000063
2022-04,MIA,380931,EXPORT,5294640997.18,40970162.55,SG,TRUCK,1,168.17,130.99,27.97,13.138,0,8.85,50.29,0.8636,0,1,REL0000064
2022-05,NOR,445336,IMPORT,4572745551.84,23662784.85,IN,POSTAL,1,239.59,121.65,24.606,19.228,0,67.12,42.91,1.3313,0,1,REL0000065
2022-06,OAK,193773,IMPORT,7733166955.51,48513611.29,SG,OCEAN,0,231.6,216.27,0.474,22.064,0,65.13,31.79,0.5494,0,0,REL0000066
2022-07,SAV,245866,IMPORT,7351535385.95,55028265.87,IT,OCEAN,0,135.82,18.46,19.281,5.935,0,0.38,63.06,1.445,1,0,REL0000067
2022-08,SEA,287651,EXPORT,1118944941.19,61549443.29,MY,RAIL,0,163.94,42.39,16.772,24.393,0,3.17,60.44,0.5383,1,1,REL0000068
2022-09,NOR,552152,IMPORT,6474300684.35,11683769.47,JP,OCEAN,0,101.57,104.28,0.508,41.647,0,60.99,65.22,1.47,0,0,REL0000069
2022-10,HOU,918092,EXPORT,7780406341.07,80026638.04,CN,TRUCK,1,232.95,149.35,10.732,48.359,0,81.69,53.34,1.1484,0,1,REL0000070
2022-11,CHI,956532,EXPORT,6187474502.67,8296648.61,JP,OCEAN,0,94.93,200.93,31.695,6.998,0,37.0,36.62,0.742,0,0,REL0000071
2022-12,CHI,496021,IMPORT,3622950779.33,61347513.18,IN,AIR,0,61.16,157.37,34.108,31.119,1,68.84,73.39,0.7923,0,0,REL0000072
2023-01,CHI,270448,IMPORT,7000340028.99,75196010.28,IT,RAIL,1,129.3,42.21,22.76,24.42,0,24.15,0.8,1.3733,0,1,REL0000073
2023-02,SAV,855624,EXPORT,6157248623.51,2546916.3,IT,RAIL,1,211.81,165.81,17.2,7.6,0,9.89,6.93,0.8569,0,0,REL0000074
2023-03,SEA,706877,IMPORT,1366793418.19,43469856.52,ID,OCEAN,1,178.66,66.14,0.295,25.635,0,84.71,39.56,1.3665,0,1,REL0000075
2023-04,MIA,283968,EXPORT,3823744338.46,512169.74,CA,TRUCK,0,140.56,119.38,17.255,38.233,0,23.73,6.37,0.8903,1,0,REL0000076
2023-05,CHI,958350,IMPORT,3547003129.27,71872319.84,DE,AIR,1,99.08,236.69,30.344,1.713,0,9.92,9.52,1.0142,0,0,REL0000077
2023-06,SAV,908098,EXPORT,4799658169.59,41431993.92,MY,OCEAN,1,77.5,91.5,13.99,39.697,0,72.97,29.71,1.2368,0,0,REL0000078
2023-07,LAX,797696,EXPORT,896007491.33,6870198.01,SG,OCEAN,1,50.75,226.92,34.997,21.936,0,31.21,82.85,1.2734,0,1,REL0000079
2023-08,SEA,518151,IMPORT,2774927305.61,12639364.11,JP,OCEAN,1,76.33,46.96,17.634,7.952,0,92.79,62.9,1.025,0,0,REL0000080
2023-09,SEA,499987,EXPORT,2546871185.52,71445732.25,MX,OCEAN,1,126.54,4.7,31.895,16.193,0,43.34,88.95,1.2731,0,0,REL0000081
2023-10,SAV,985896,EXPORT,7961751474.63,35957114.17,VN,OCEAN,0,149.05,195.35,4.06,28.908,0,42.73,2.14,0.8418,0,0,REL0000082
2023-11,LAX,816832,IMPORT,6253872015.47,15651306.62,TW,OCEAN,1,137.43,24.91,27.323,1.344,0,53.51,94.17,0.5389,0,0,REL0000083
2023-12,OAK,431486,REEXPORT,4737260093.36,50633429.83,AU,AIR,0,145.08,131.53,7.444,39.789,0,11.07,45.43,1.4377,1,1,REL0000084
2024-01,NYC,457422,EXPORT,3228843238.98,75599294.75,MY,RAIL,0,237.62,7.58,3.967,13.166,0,20.87,25.14,1.3295,0,0,REL0000085
2024-02,LAX,766728,IMPORT,1875162726.25,60340705.13,CN,OCEAN,1,120.04,109.39,26.094,19.547,0,94.81,33.04,1.3137,0,0,REL0000086
2024-03,LGB,116971,IMPORT,7151035066.98,39360734.87,TW,RAIL,1,99.99,36.11,1.665,23.976,0,32.79,20.26,0.6179,0,0,REL0000087
2024-04,OAK,742147,EXPORT,5381843491.4,12014885.2,CN,OCEAN,1,161.93,65.9,4.644,39.528,0,0.93,54.58,1.4324,0,0,REL0000088
2024-05,OAK,393454,EXPORT,6402662608.97,70233298.65,TH,TRUCK,1,180.9,67.35,32.746,36.174,0,91.4,87.15,1.1349,0,0,REL0000089
2024-06,NYC,342365,IMPORT,2049811007.43,52923275.48,DE,OCEAN,1,125.58,213.1,34.535,24.03,0,15.42,59.41,1.3797,0,0,REL0000090
2024-07,SAV,417483,IMPORT,1407149718.62,55550960.27,AU,TRUCK,1,223.63,136.1,34.43,25.997,0,16.26,21.4,1.1027,0,1,REL0000091
2024-08,LAX,487002,IMPORT,1625383855.26,23581778.49,KR,OCEAN,0,195.96,235.51,15.212,27.408,0,58.49,52.72,0.6077,0,0,REL0000092
2024-09,NYC,705667,EXPORT,327602166.92,62852823.11,ES,OCEAN,1,165.14,64.79,3.786,20.007,0,36.85,24.26,1.4062,0,0,REL0000093
2024-10,NYC,472032,IMPORT,5401303807.08,53998148.83,TH,AIR,1,54.64,58.6,29.638,8.424,0,4.16,27.74,1.3255,0,0,REL0000094
2024-11,SEA,380387,IMPORT,3284514260.44,4755504.53,TH,OCEAN,0,153.03,185.7,26.3,23.369,0,61.12,55.04,1.2127,0,0,REL0000095
2024-12,NOR,620119,IMPORT,2075615337.95,44211549.32,CN,TRUCK,1,214.92,47.26,34.264,48.821,0,6.31,7.92,1.133,0,0,REL0000096
2025-01,CHI,531892,IMPORT,2865089527.56,50322387.62,MX,POSTAL,0,228.25,175.48,11.399,40.116,0,90.41,87.52,1.251,0,0,REL0000097
2025-02,OAK,463971,IMPORT,412215543.52,7724141.49,MY,TRUCK,1,107.59,8.11,7.581,3.125,0,72.42,16.72,1.0649,0,0,REL0000098
2025-03,NOR,448831,IMPORT,4397051919.33,47399360.03,MX,OCEAN,1,229.17,172.76,14.726,18.778,0,19.41,53.63,0.7801,0,1,REL0000099
2025-04,MIA,448423,EXPORT,5168027143.69,50529009.76,NL,AIR,1,103.08,190.56,23.934,43.447,0,61.48,68.84,0.5141,0,0,REL0000100
2025-05,LGB,681385,EXPORT,4045910195.69,47696504.49,MY,OCEAN,1,198.92,198.87,2.411,18.827,0,48.22,94.83,1.2364,0,0,REL0000101
2025-06,HOU,691213,IMPORT,6240378143.4,77508375.93,CA,PIPELINE,1,207.26,74.76,22.334,34.469,0,60.74,61.88,0.5326,0,1,REL0000102
2025-07,NOR,752891,IMPORT,442684403.25,58883467.4,IN,RAIL,1,138.51,230.99,12.545,38.838,0,2.36,77.36,0.9171,0,0,REL0000103
2025-08,MIA,698746,IMPORT,1420115149.55,22564289.87,KR,POSTAL,1,104.4,3.9,26.278,24.073,0,88.05,57.05,0.68,0,1,REL0000104
2025-09,LGB,459412,IMPORT,6520340325.33,18842739.23,MX,AIR,1,219.88,35.76,24.901,34.072,0,60.78,57.21,0.5616,0,0,REL0000105
2025-10,NYC,764971,EXPORT,5678770214.57,15441272.42,KR,RAIL,1,91.42,61.59,17.583,34.889,0,45.36,53.53,0.6362,0,0,REL0000106
2025-11,HOU,545207,REEXPORT,5295167108.52,14002015.88,DE,OCEAN,1,211.38,106.88,17.782,9.182,0,83.44,32.28,0.6754,1,0,REL0000107
2025-12,LAX,512436,EXPORT,6990593335.43,39874030.81,CA,OCEAN,0,68.6,93.51,14.825,27.603,0,51.82,98.15,0.68,0,0,REL0000108
2026-01,SEA,750113,IMPORT,5014628901.09,40936519.34,FR,OCEAN,1,67.42,235.44,24.483,26.554,0,49.75,15.91,0.5589,0,0,REL0000109
2026-02,MIA,776561,EXPORT,5920835312.9,40242275.45,MX,TRUCK,0,231.97,92.45,22.865,10.588,0,83.24,68.56,1.023,0,0,REL0000110
2026-03,SEA,721153,EXPORT,2205204905.27,54410407.98,CN,AIR,1,146.41,159.79,22.257,0.182,0,50.77,52.06,0.5727,0,1,REL0000111
2026-04,SAV,958442,EXPORT,4035012455.45,71334994.0,SG,OCEAN,0,164.47,97.12,21.747,17.034,0,92.81,70.78,0.7531,0,1,REL0000112
2026-05,MIA,147243,EXPORT,6356331352.72,13269155.71,BR,OCEAN,0,192.21,77.96,32.963,20.446,0,43.64,87.37,1.3426,0,0,REL0000113
2026-06,OAK,426212,IMPORT,6926503607.59,51145833.96,TW,OCEAN,1,158.99,33.3,16.925,14.663,0,73.44,38.18,0.5964,0,1,REL0000114
2026-07,LGB,671682,IMPORT,2266458779.84,10560654.8,JP,OCEAN,1,55.43,148.07,5.655,13.855,0,84.22,76.68,0.835,0,0,REL0000115
2026-08,SEA,235733,REEXPORT,5844770597.04,55757072.48,AU,AIR,0,63.97,9.12,28.976,49.094,0,38.34,87.79,0.5971,1,1,REL0000116
2026-09,MIA,491403,EXPORT,3307058459.29,82492063.12,MY,TRUCK,1,86.05,197.99,3.4,0.572,0,5.2,35.95,0.6056,1,0,REL0000117
2026-10,NYC,533039,IMPORT,131882954.36,39671433.95,NL,TRUCK,1,110.1,120.57,16.896,46.393,0,3.97,48.87,1.0707,0,1,REL0000118
2026-11,NOR,793075,IMPORT,2706639253.44,70706198.66,SG,RAIL,0,67.41,87.1,20.291,12.409,0,76.59,83.75,0.9193,0,0,REL0000119
2026-12,NYC,568322,IMPORT,6451844946.55,69042958.32,ID,AIR,0,229.77,74.22,2.233,7.132,0,27.3,10.79,0.5181,0,0,REL0000120
2027-01,HOU,466571,IMPORT,887187104.46,33770234.07,NL,RAIL,0,105.26,233.83,30.932,29.053,0,76.05,72.81,1.2429,0,0,REL0000121
2027-02,NOR,755243,IMPORT,335458509.98,21752032.55,SG,TRUCK,0,50.49,143.93,34.756,11.579,0,15.5,58.8,1.3209,0,0,REL0000122
2027-03,HOU,594716,IMPORT,3890642565.65,1279424.8,TW,OCEAN,1,132.5,95.03,9.832,13.591,0,68.31,56.72,1.486,0,1,REL0000123
2027-04,SEA,775405,EXPORT,5247540795.18,39183243.9,ES,AIR,0,206.63,17.49,1.897,49.125,0,55.06,72.26,1.1798,0,1,REL0000124
2027-05,SEA,380374,EXPORT,7029061679.09,2365476.61,MY,TRUCK,0,101.33,182.43,28.854,21.165,0,7.46,73.32,1.3694,0,0,REL0000125
2027-06,MIA,879520,EXPORT,3927966810.01,55084932.38,CN,OCEAN,0,147.14,131.0,19.757,15.366,0,53.03,61.05,1.4686,0,1,REL0000126
2027-07,HOU,229053,IMPORT,1807987417.43,76570949.96,ES,OCEAN,0,87.78,233.59,32.418,29.091,0,94.19,13.62,1.2588,0,0,REL0000127
2027-08,SEA,302535,EXPORT,2375358041.57,21231918.5,BR,RAIL,0,173.39,198.4,22.327,46.852,0,67.15,62.24,0.8092,0,1,REL0000128
2027-09,LGB,255477,EXPORT,2281828487.76,45279294.39,VN,OCEAN,0,247.26,238.81,29.911,24.811,0,74.97,68.77,1.1985,0,0,REL0000129
2027-10,HOU,410014,IMPORT,5831630450.12,81121416.78,ES,AIR,0,197.97,196.87,23.754,18.116,0,3.25,28.73,1.2599,0,0,REL0000130
2027-11,HOU,194473,EXPORT,5753916914.61,66470077.13,TH,AIR,1,144.37,85.71,15.66,45.169,0,31.05,31.91,1.406,0,0,REL0000131
2027-12,SEA,506821,REEXPORT,5628540478.32,24418535.56,SG,OCEAN,1,231.58,212.78,15.463,7.902,0,63.55,39.9,1.385,1,0,REL0000132
2028-01,OAK,304431,EXPORT,2624979077.3,17405222.08,JP,OCEAN,0,59.94,67.04,19.19,42.651,0,39.87,53.33,0.5558,0,0,REL0000133
2028-02,LGB,784914,IMPORT,6188436723.61,36090865.11,GB,OCEAN,1,176.21,102.57,3.754,4.821,0,0.33,91.96,0.8737,0,1,REL0000134
2028-03,LGB,541501,IMPORT,1240686833.89,43783030.59,SG,RAIL,1,244.73,99.95,23.627,27.632,0,0.54,67.67,0.7871,0,0,REL0000135
2028-04,CHI,387574,EXPORT,336612180.73,40985967.89,IT,AIR,1,213.35,11.89,27.799,26.867,0,18.26,15.41,1.4855,0,0,REL0000136
2028-05,SAV,754265,IMPORT,7045724189.87,1539527.12,ES,AIR,0,173.54,191.31,13.002,1.433,0,97.14,47.92,1.0441,0,0,REL0000137
2028-06,HOU,525027,REEXPORT,3103934855.99,19976770.43,IN,RAIL,0,149.28,162.52,0.413,13.479,0,80.9,10.37,0.7861,1,0,REL0000138
2028-07,CHI,111643,EXPORT,2199812920.77,21570670.54,ID,AIR,0,173.29,100.42,7.51,14.006,0,57.96,56.72,0.7112,0,0,REL0000139
2028-08,LAX,596186,IMPORT,2073832088.36,82339895.85,ES,AIR,1,232.06,134.97,20.147,31.686,0,19.67,15.41,0.7777,0,0,REL0000140
2028-09,SAV,227203,EXPORT,5007660302.75,6961417.21,FR,TRUCK,1,59.94,144.01,21.218,6.951,0,79.39,87.54,1.1621,0,1,REL0000141
2028-10,CHI,163538,EXPORT,55445651.16,60835728.72,TH,AIR,1,77.68,170.74,1.575,45.46,0,56.21,79.04,1.4394,0,0,REL0000142
2028-11,LAX,381962,IMPORT,1384423124.0,73585647.53,GB,OCEAN,1,185.94,118.52,12.421,38.42,1,80.85,99.54,0.5655,1,0,REL0000143
2028-12,HOU,373152,EXPORT,2849557281.64,63305190.81,NL,OCEAN,1,57.79,212.89,2.132,39.502,0,23.58,48.52,1.4618,0,0,REL0000144
2029-01,SAV,337268,IMPORT,6886067026.0,34400958.85,TW,OCEAN,1,223.44,202.04,18.578,0.229,0,18.54,90.5,0.8543,0,1,REL0000145
2029-02,SEA,451916,EXPORT,6695112357.76,50608040.15,FR,TRUCK,0,87.8,114.06,20.512,6.901,0,8.56,26.26,1.4832,0,1,REL0000146
2029-03,NOR,403359,IMPORT,2640967346.29,71208499.86,FR,TRUCK,1,116.26,115.3,15.03,17.802,0,68.02,72.41,0.5054,0,0,REL0000147
2029-04,HOU,189518,EXPORT,5432814139.8,27456859.0,IT,AIR,1,73.88,211.11,28.952,42.224,1,74.03,3.17,1.4497,0,0,REL0000148
2029-05,OAK,148542,IMPORT,1025235868.84,48967572.47,SG,OCEAN,1,173.42,234.06,16.042,43.375,0,85.9,93.23,0.7193,0,1,REL0000149
2029-06,HOU,501615,IMPORT,697370982.27,82984342.2,SG,POSTAL,1,149.17,167.13,6.959,26.753,1,35.67,73.19,1.4754,0,1,REL0000150
2029-07,HOU,613383,EXPORT,4841634335.41,28679593.16,TW,OCEAN,1,149.28,23.9,27.909,24.954,0,65.42,29.78,0.8447,0,0,REL0000151
2029-08,SAV,490945,EXPORT,1444698661.74,71191897.49,GB,AIR,1,247.51,154.76,28.275,0.106,0,24.78,26.34,1.1755,0,0,REL0000152
2029-09,SEA,293153,EXPORT,4810691301.49,25418096.86,TH,TRUCK,1,180.17,98.0,21.414,38.844,0,57.01,40.29,0.8977,0,0,REL0000153
2029-10,SAV,843857,EXPORT,2370752050.07,70923127.05,IT,AIR,0,195.74,41.77,32.316,46.28,1,93.84,97.71,1.1246,0,1,REL0000154
2029-11,LGB,868496,IMPORT,4281009773.19,988149.29,AU,AIR,1,154.75,69.37,27.22,24.193,0,77.56,26.4,0.7794,0,0,REL0000155
2029-12,NYC,796382,EXPORT,6436269076.35,800740.55,JP,TRUCK,0,111.45,96.03,16.871,43.197,0,47.36,76.44,1.1541,0,0,REL0000156
2030-01,SEA,346981,EXPORT,4459010063.67,83994932.24,VN,OCEAN,1,229.88,222.26,0.93,21.609,1,23.53,76.97,1.3875,0,0,REL0000157
2030-02,SAV,201994,IMPORT,4956203114.94,29251941.67,DE,OCEAN,1,53.52,6.97,8.172,8.828,0,88.26,82.58,0.8801,0,1,REL0000158
2030-03,CHI,152098,EXPORT,2887044479.73,5958812.95,DE,AIR,1,78.74,234.33,27.737,27.116,0,9.5,15.53,1.3472,0,0,REL0000159
2030-04,HOU,763512,IMPORT,7477081408.17,39837592.06,CN,OCEAN,0,117.98,230.09,27.154,38.025,1,79.5,73.5,0.9263,0,0,REL0000160
2030-05,NYC,422570,IMPORT,5077860906.13,69687319.55,CN,OCEAN,0,125.86,130.73,9.145,15.847,0,21.78,23.13,1.3744,0,1,REL0000161
2030-06,NYC,841572,EXPORT,3564634508.73,27491633.65,ES,OCEAN,1,162.28,225.19,7.297,10.988,0,28.98,87.96,0.857,0,0,REL0000162
2030-07,CHI,360764,IMPORT,3702459274.89,35381039.77,BR,TRUCK,1,241.67,64.89,32.353,0.988,0,34.9,66.85,0.8724,0,1,REL0000163
