energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_usd,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_usd_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_usd,energy_price_bill_amount_avg_usd,energy_price_bill_amount_p95_usd,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2013-04-30,UTIL000018,R_LI,GOV,52.89,10.253,7.129,8.588,-22.42,284.59,495.55,4.06,1.62,5.89,28828,52.73,2.765,0,0,DOCKET0000018
2013-05-07,UTIL000019,I_LARGE,RES,29.02,9.527,17.545,11.968,8.97,45.2,65.69,14.74,2.81,11.77,216124,10.67,25.393,0,0,DOCKET0000019
2013-05-14,UTIL000020,EV_TOU,RES,31.45,9.021,8.817,-3.356,112.09,394.22,804.13,2.56,4.44,23.28,88059,74.49,2.872,0,0,DOCKET0000020
2013-05-21,UTIL000021,EV_TOU,RES,29.03,13.345,6.926,-1.252,-11.38,182.09,451.26,24.67,2.54,8.49,629517,36.32,8.648,0,0,DOCKET0000021
2013-05-28,UTIL000022,R_TOU,COM,49.6,17.61,3.367,7.61,35.33,237.8,476.82,17.26,1.6,17.45,315662,7.7,26.309,0,1,DOCKET0000022
2013-06-04,UTIL000023,I_LARGE,RES,74.14,35.17,10.779,11.345,104.61,185.83,289.32,5.6,3.92,11.78,477024,60.73,8.152,1,0,DOCKET0000023
2013-06-11,UTIL000024,I_LARGE,RES,75.85,36.606,4.508,-4.125,17.87,283.45,622.96,26.83,1.21,1.63,462849,27.71,24.042,1,1,DOCKET0000024
2013-06-18,UTIL000025,SOLAR_RIDER,COM,41.14,28.267,43.074,-2.086,104.66,172.43,430.98,21.14,0.1,18.58,421510,60.74,21.966,1,0,DOCKET0000025
2013-06-25,UTIL000026,C_DEM,COM,52.44,10.873,2.43,5.797,112.44,54.2,112.58,5.47,5.22,17.81,258526,6.44,1.478,0,0,DOCKET0000026
2013-07-02,UTIL000027,R_STD,RES,62.71,25.142,13.004,8.03,15.69,172.14,257.02,22.37,2.7,6.68,744811,72.12,6.272,1,0,DOCKET0000027
2013-07-09,UTIL000028,I_LARGE,RES,57.14,11.935,30.11,11.722,14.23,309.8,609.5,7.11,7.93,17.77,188621,56.57,0.547,1,1,DOCKET0000028
2013-07-16,UTIL000029,I_LARGE,RES,77.6,20.761,29.581,-4.936,40.01,342.59,777.78,14.22,2.54,0.64,810490,70.23,24.549,0,0,DOCKET0000029
2013-07-23,UTIL000030,C_DEM,RES,8.93,6.013,18.646,8.381,105.43,153.58,263.03,6.73,5.84,16.72,543373,46.06,6.128,0,0,DOCKET0000030
2013-07-30,UTIL000031,EV_TOU,RES,54.97,8.571,10.566,4.958,12.23,340.33,427.19,10.14,10.8,17.18,469074,72.56,8.881,1,0,DOCKET0000031
2013-08-06,UTIL000032,C_DEM,RES,65.22,10.182,2.76,-1.899,96.78,68.83,132.85,26.06,0.98,8.0,70711,66.43,20.169,1,0,DOCKET0000032
2013-08-13,UTIL000033,SOLAR_RIDER,IND,76.21,24.087,8.494,10.429,-8.95,314.16,377.09,12.43,8.66,1.11,681623,17.26,16.648,0,1,DOCKET0000033
2013-08-20,UTIL000034,R_TOU,RES,74.74,35.54,41.046,0.039,68.13,400.92,631.61,18.33,10.77,16.1,113547,66.05,5.396,0,0,DOCKET0000034
2013-08-27,UTIL000035,SOLAR_RIDER,IND,33.47,17.034,41.677,1.781,110.92,240.44,409.0,7.19,1.76,3.17,523603,12.67,25.216,0,0,DOCKET0000035
2013-09-03,UTIL000036,EV_TOU,RES,22.6,35.356,20.841,10.171,21.76,222.41,393.91,18.13,1.78,15.25,110552,63.4,11.123,0,0,DOCKET0000036
2013-09-10,UTIL000037,I_LARGE,COM,81.4,17.54,4.646,-1.364,66.77,94.1,215.02,4.33,9.23,3.08,541354,49.39,15.23,1,0,DOCKET0000037
2013-09-17,UTIL000038,R_STD,IND,36.11,16.378,13.166,3.519,61.79,149.97,243.25,18.25,4.39,2.55,300299,50.98,2.972,0,1,DOCKET0000038
2013-09-24,UTIL000039,SOLAR_RIDER,COM,69.71,13.288,34.449,10.104,42.81,302.1,481.4,4.42,9.94,12.35,402965,14.59,23.326,0,0,DOCKET0000039
2013-10-01,UTIL000040,EV_TOU,RES,29.87,22.774,36.585,5.727,54.75,309.73,569.67,26.95,9.68,15.82,221601,21.03,24.603,1,0,DOCKET0000040
2013-10-08,UTIL000041,C_GEN,COM,77.35,24.408,9.471,2.117,61.03,237.84,479.81,27.25,5.13,23.64,78362,46.77,20.462,1,1,DOCKET0000041
2013-10-15,UTIL000042,SOLAR_RIDER,IND,30.05,30.719,9.261,11.442,42.56,382.03,574.2,15.98,2.14,14.15,113636,8.5,25.126,1,0,DOCKET0000042
2013-10-22,UTIL000043,C_GEN,IND,44.12,19.472,32.999,-2.528,43.23,382.51,907.07,12.76,0.78,13.65,636649,5.55,9.948,0,0,DOCKET0000043
2013-10-29,UTIL000044,SOLAR_RIDER,RES,52.66,16.563,15.217,6.51,119.68,166.61,423.88,11.38,1.59,11.28,323902,7.68,26.554,1,0,DOCKET0000044
2013-11-05,UTIL000045,C_GEN,RES,81.73,31.657,32.038,-4.225,51.14,376.79,560.84,13.22,1.43,17.84,814346,59.04,17.959,0,1,DOCKET0000045
2013-11-12,UTIL000046,EV_TOU,RES,39.73,30.518,35.821,0.994,74.98,310.95,552.43,8.62,10.35,0.83,561999,51.19,13.854,1,0,DOCKET0000046
2013-11-19,UTIL000047,R_LI,RES,69.77,18.577,32.263,6.944,-14.9,145.33,218.72,27.19,5.22,8.86,474042,46.54,10.485,1,1,DOCKET0000047
2013-11-26,UTIL000048,C_GEN,RES,41.38,28.17,9.03,-4.375,109.27,335.36,597.04,4.34,7.34,24.99,594138,68.51,1.265,0,0,DOCKET0000048
2013-12-03,UTIL000049,R_LI,RES,35.83,18.339,44.565,1.715,46.44,161.21,328.27,25.92,8.1,10.21,55716,18.55,3.307,1,0,DOCKET0000049
2013-12-10,UTIL000050,C_GEN,RES,25.06,9.046,38.15,-3.331,62.52,352.69,902.4,17.1,5.76,2.58,526868,3.06,9.876,1,0,DOCKET0000050
2013-12-17,UTIL000051,I_LARGE,COM,15.22,29.387,31.616,5.091,65.64,180.07,245.13,9.31,3.62,24.6,755450,4.6,9.197,0,0,DOCKET0000051
2013-12-24,UTIL000052,R_TOU,IND,72.05,31.187,17.358,9.229,-0.64,203.68,434.22,21.62,9.57,11.96,408724,45.71,23.554,0,1,DOCKET0000052
2013-12-31,UTIL000053,R_LI,RES,13.24,37.758,20.372,8.218,49.27,318.01,716.53,5.53,1.72,0.47,72055,62.08,2.255,0,0,DOCKET0000053
2014-01-07,UTIL000054,C_GEN,RES,11.55,26.758,14.385,-4.049,30.58,323.63,670.04,26.03,6.74,10.11,191814,64.84,7.225,0,1,DOCKET0000054
2014-01-14,UTIL000055,R_STD,RES,18.98,34.736,30.858,5.667,88.94,179.84,299.77,10.91,2.19,10.51,567318,54.22,20.261,0,0,DOCKET0000055
2014-01-21,UTIL000056,SOLAR_RIDER,RES,27.28,32.201,20.967,6.225,106.43,172.39,338.82,7.71,2.37,24.56,102332,26.44,27.191,1,1,DOCKET0000056
2014-01-28,UTIL000057,I_LARGE,RES,24.87,10.848,7.099,-0.222,64.82,98.05,202.13,23.35,3.79,2.32,286279,7.33,24.634,0,1,DOCKET0000057
2014-02-04,UTIL000058,C_GEN,RES,79.76,35.22,6.855,5.866,-9.29,249.69,329.01,14.91,3.49,0.55,153049,40.36,1.437,0,0,DOCKET0000058
2014-02-11,UTIL000059,C_DEM,COM,55.66,23.844,30.745,0.498,-23.31,27.06,40.84,1.29,11.39,11.29,167096,64.42,0.712,0,0,DOCKET0000059
2014-02-18,UTIL000060,C_GEN,RES,38.51,33.691,32.843,-4.849,66.7,318.65,406.08,10.13,4.18,24.55,326239,54.51,10.987,0,1,DOCKET0000060
2014-02-25,UTIL000061,I_LARGE,COM,25.0,24.236,27.581,9.428,95.1,157.09,223.27,8.04,1.3,16.2,323555,45.88,26.39,0,0,DOCKET0000061
2014-03-04,UTIL000062,C_DEM,RES,71.87,27.732,24.637,-4.054,114.33,277.01,651.04,1.61,6.26,8.86,416548,48.94,17.593,0,1,DOCKET0000062
2014-03-11,UTIL000063,I_LARGE,RES,9.37,30.253,13.887,-0.199,4.92,197.35,251.6,3.41,4.95,0.77,333620,12.86,13.497,0,0,DOCKET0000063
2014-03-18,UTIL000064,R_STD,GOV,7.91,29.519,22.61,-1.182,38.32,123.19,257.78,10.76,7.41,9.3,393886,20.21,4.786,0,1,DOCKET0000064
2014-03-25,UTIL000065,R_LI,COM,78.92,20.164,12.198,-1.64,55.51,114.79,220.17,8.17,2.07,4.94,834674,73.21,18.271,0,0,DOCKET0000065
2014-04-01,UTIL000066,SOLAR_RIDER,RES,43.98,16.248,16.889,2.999,10.97,410.68,590.09,14.47,2.71,17.66,24596,38.06,9.782,0,0,DOCKET0000066
2014-04-08,UTIL000067,C_GEN,IND,15.71,6.817,7.777,2.252,-18.33,56.13,87.93,7.43,3.63,13.45,233215,67.1,17.571,0,0,DOCKET0000067
2014-04-15,UTIL000068,R_TOU,RES,59.08,8.964,43.735,-2.111,-7.97,35.76,56.81,24.04,6.45,6.91,845777,69.12,1.941,0,0,DOCKET0000068
2014-04-22,UTIL000069,I_LARGE,RES,12.43,8.695,17.286,1.975,9.5,377.96,453.85,1.93,0.34,8.86,818053,32.18,19.291,1,0,DOCKET0000069
2014-04-29,UTIL000070,R_STD,COM,82.77,24.237,43.786,6.462,39.58,223.21,464.31,22.02,7.76,9.2,353526,26.7,13.041,1,0,DOCKET0000070
2014-05-06,UTIL000071,EV_TOU,IND,70.02,27.625,3.691,4.771,-17.96,363.64,721.2,22.16,8.09,22.36,458108,58.51,1.21,0,0,DOCKET0000071
2014-05-13,UTIL000072,C_DEM,RES,78.11,29.454,8.738,3.48,11.73,64.4,158.13,7.0,10.28,12.12,379842,40.28,9.225,0,0,DOCKET0000072
2014-05-20,UTIL000073,C_GEN,RES,39.03,30.036,26.072,7.249,0.29,107.03,179.02,6.48,8.76,2.74,122860,38.59,4.557,1,0,DOCKET0000073
2014-05-27,UTIL000074,I_LARGE,COM,45.24,35.987,3.154,5.453,61.05,39.48,62.16,19.31,1.16,22.32,258779,59.22,22.3,1,0,DOCKET0000074
2014-06-03,UTIL000075,R_TOU,RES,61.28,18.3,1.99,10.746,-2.71,213.61,532.93,7.67,0.78,11.29,312377,50.66,0.206,1,0,DOCKET0000075
2014-06-10,UTIL000076,SOLAR_RIDER,RES,3.74,7.864,33.889,11.414,15.06,235.78,582.52,14.4,4.4,0.89,565221,7.57,22.956,0,1,DOCKET0000076
2014-06-17,UTIL000077,R_TOU,COM,42.33,14.751,1.187,6.571,37.13,241.59,371.89,3.41,8.26,23.27,277152,51.07,4.35,1,1,DOCKET0000077
2014-06-24,UTIL000078,I_LARGE,RES,76.21,30.815,25.126,5.051,-6.37,231.07,347.45,11.79,11.44,2.34,1785,36.1,19.271,0,1,DOCKET0000078
2014-07-01,UTIL000079,C_DEM,RES,5.24,21.279,21.123,-1.09,-12.48,177.35,377.94,4.04,7.32,9.33,168060,50.83,2.072,0,0,DOCKET0000079
2014-07-08,UTIL000080,EV_TOU,RES,40.0,7.88,43.342,2.814,-22.26,90.41,112.58,6.45,5.27,18.26,475582,26.75,16.473,1,1,DOCKET0000080
2014-07-15,UTIL000081,R_STD,COM,75.82,14.807,7.115,-4.633,25.16,289.21,571.89,15.52,3.01,9.4,198873,14.05,0.717,1,0,DOCKET0000081
2014-07-22,UTIL000082,I_LARGE,RES,38.31,33.241,5.012,-0.797,86.11,313.65,578.74,17.59,10.75,14.83,848489,16.28,0.921,0,0,DOCKET0000082
2014-07-29,UTIL000083,R_STD,RES,40.6,14.166,19.429,1.301,117.64,179.65,407.15,13.8,3.11,24.7,349008,14.29,12.389,1,0,DOCKET0000083
2014-08-05,UTIL000084,R_TOU,IND,39.69,7.301,29.011,-0.412,-4.23,73.11,147.05,18.54,0.32,3.24,529168,28.35,11.329,0,0,DOCKET0000084
2014-08-12,UTIL000085,I_LARGE,IND,14.43,7.942,44.093,3.823,5.94,104.56,186.79,19.69,10.34,7.92,311991,47.61,2.844,1,0,DOCKET0000085
2014-08-19,UTIL000086,C_DEM,RES,39.33,21.964,22.294,1.053,40.34,339.39,496.93,27.79,1.38,14.16,818296,62.95,26.965,0,0,DOCKET0000086
2014-08-26,UTIL000087,R_STD,GOV,13.3,36.748,14.708,8.127,-15.53,292.07,667.67,4.13,5.55,5.96,575084,62.88,22.22,0,0,DOCKET0000087
2014-09-02,UTIL000088,C_DEM,GOV,0.65,6.363,36.027,-2.618,12.66,313.24,431.51,10.04,9.95,9.16,127779,45.98,14.084,0,0,DOCKET0000088
2014-09-09,UTIL000089,EV_TOU,COM,77.41,23.361,28.216,4.465,54.07,51.18,84.69,6.19,6.94,24.32,311490,1.96,3.728,1,0,DOCKET0000089
2014-09-16,UTIL000090,R_STD,RES,77.58,11.057,33.65,2.684,83.39,63.78,160.9,18.63,3.99,19.61,373668,13.26,29.927,0,1,DOCKET0000090
2014-09-23,UTIL000091,C_GEN,RES,76.35,27.395,34.259,-1.631,74.26,259.13,462.05,17.5,1.81,5.33,206526,16.27,2.293,1,0,DOCKET0000091
2014-09-30,UTIL000092,EV_TOU,COM,64.43,37.701,27.118,-1.142,4.53,113.18,210.0,27.34,2.28,6.62,557057,12.89,1.862,0,0,DOCKET0000092
2014-10-07,UTIL000093,R_STD,COM,76.02,26.104,1.949,-4.546,50.29,65.22,117.94,27.09,10.85,22.31,66686,72.84,12.554,1,0,DOCKET0000093
2014-10-14,UTIL000094,SOLAR_RIDER,GOV,48.37,22.375,27.942,5.015,-13.55,194.01,359.32,22.3,8.93,22.42,256895,42.1,14.874,1,1,DOCKET0000094
2014-10-21,UTIL000095,C_DEM,RES,55.32,31.418,42.807,5.175,14.25,325.3,600.67,0.76,3.94,7.06,272934,13.62,0.527,1,0,DOCKET0000095
2014-10-28,UTIL000096,R_STD,RES,42.99,12.464,8.552,7.235,0.78,411.32,721.21,17.42,7.72,10.04,783716,72.78,27.052,1,0,DOCKET0000096
2014-11-04,UTIL000097,SOLAR_RIDER,RES,18.44,26.86,18.821,7.338,117.01,49.79,74.7,15.49,8.49,21.25,83448,59.17,7.674,0,0,DOCKET0000097
2014-11-11,UTIL000098,C_DEM,COM,18.48,31.536,18.2,0.162,-2.65,125.85,290.19,19.86,0.23,4.6,810196,38.64,11.85,0,0,DOCKET0000098
2014-11-18,UTIL000099,I_LARGE,IND,79.28,25.701,4.665,9.845,29.33,49.11,126.78,1.42,0.3,17.57,122438,51.4,26.489,1,0,DOCKET0000099
2014-11-25,UTIL000100,C_DEM,RES,49.8,25.283,23.349,10.421,109.99,89.55,222.54,2.49,4.36,23.67,196475,6.17,29.391,1,1,DOCKET0000100
2014-12-02,UTIL000101,R_STD,COM,9.51,24.429,24.208,2.651,110.83,117.51,273.57,8.36,6.65,15.2,42977,60.69,6.518,1,0,DOCKET0000101
2014-12-09,UTIL000102,SOLAR_RIDER,RES,77.41,7.979,42.995,-1.121,-1.43,395.03,622.78,10.73,9.64,14.23,10042,31.81,25.971,1,0,DOCKET0000102
2014-12-16,UTIL000103,SOLAR_RIDER,GOV,18.6,15.615,44.113,10.55,17.79,415.0,892.77,11.77,7.0,18.88,228677,27.11,7.72,1,1,DOCKET0000103
2014-12-23,UTIL000104,R_TOU,RES,49.72,36.276,3.545,-1.753,88.97,341.31,501.48,20.32,3.15,2.93,446620,17.97,22.55,0,0,DOCKET0000104
2014-12-30,UTIL000105,EV_TOU,RES,22.09,6.6,13.085,1.579,72.32,25.73,33.09,19.38,2.04,10.27,463183,64.9,18.273,1,0,DOCKET0000105
2015-01-06,UTIL000106,I_LARGE,COM,13.18,19.693,1.887,2.875,99.85,277.91,403.28,16.84,5.27,6.44,700932,43.34,3.012,0,0,DOCKET0000106
2015-01-13,UTIL000107,SOLAR_RIDER,IND,62.11,30.052,9.657,8.122,48.29,240.92,296.76,3.57,2.62,9.08,767794,72.58,29.348,1,1,DOCKET0000107
2015-01-20,UTIL000108,SOLAR_RIDER,RES,10.72,28.323,40.287,5.873,19.2,51.04,98.8,3.42,2.81,6.62,452483,10.75,1.269,0,0,DOCKET0000108
2015-01-27,UTIL000109,EV_TOU,COM,21.86,36.576,22.244,6.846,-1.37,395.81,994.4,1.23,7.72,5.91,733773,70.21,4.822,1,0,DOCKET0000109
2015-02-03,UTIL000110,R_STD,IND,9.27,24.381,44.185,-0.67,118.9,168.35,223.64,20.16,0.2,2.65,331640,60.92,1.526,0,0,DOCKET0000110
2015-02-10,UTIL000111,EV_TOU,COM,6.42,8.719,8.186,7.873,84.26,343.62,524.38,0.36,1.6,14.24,619372,28.54,16.733,1,1,DOCKET0000111
2015-02-17,UTIL000112,I_LARGE,RES,11.02,16.622,20.215,0.36,90.43,413.97,545.11,5.37,1.6,22.33,266025,3.79,0.464,1,0,DOCKET0000112
2015-02-24,UTIL000113,R_STD,GOV,53.07,18.65,10.011,5.014,14.96,261.15,673.87,6.23,11.52,11.39,46848,69.5,19.388,0,1,DOCKET0000113
2015-03-03,UTIL000114,C_GEN,RES,47.73,11.532,15.052,2.155,66.05,240.26,606.18,0.77,9.59,16.28,476390,28.62,14.864,0,1,DOCKET0000114
2015-03-10,UTIL000115,SOLAR_RIDER,COM,62.8,29.697,16.711,4.817,58.09,48.32,88.47,17.63,2.71,24.13,589945,69.62,26.853,0,0,DOCKET0000115
2015-03-17,UTIL000116,R_STD,COM,20.45,22.22,3.397,-3.887,36.45,113.16,165.51,7.54,4.27,4.83,364887,38.68,4.85,0,0,DOCKET0000116
2015-03-24,UTIL000117,R_TOU,RES,61.88,6.875,23.794,2.954,-10.17,81.8,143.64,6.96,2.42,10.81,99553,15.64,13.386,0,1,DOCKET0000117
2015-03-31,UTIL000118,R_LI,RES,15.73,14.654,37.453,-1.456,95.81,274.41,608.13,20.18,2.91,14.76,810711,54.66,13.345,1,1,DOCKET0000118
2015-04-07,UTIL000119,C_GEN,COM,59.98,7.632,33.909,4.143,109.84,314.03,779.76,15.24,8.02,0.09,767884,67.84,4.497,0,1,DOCKET0000119
2015-04-14,UTIL000120,I_LARGE,COM,44.18,18.474,40.734,5.252,117.44,62.15,79.57,8.14,11.14,17.14,569198,48.16,23.057,0,0,DOCKET0000120
2015-04-21,UTIL000121,R_TOU,RES,70.4,20.992,28.071,9.385,69.72,180.16,298.08,25.96,8.42,8.43,229318,35.11,21.896,0,1,DOCKET0000121
2015-04-28,UTIL000122,C_DEM,RES,21.48,33.742,20.216,3.918,56.76,161.9,329.47,17.59,5.04,0.46,263128,64.93,25.886,0,1,DOCKET0000122
2015-05-05,UTIL000123,R_TOU,GOV,82.36,20.445,2.832,0.702,74.11,202.01,445.24,24.48,2.93,20.65,839511,35.29,14.24,1,0,DOCKET0000123
2015-05-12,UTIL000124,C_GEN,RES,67.6,25.739,37.743,3.835,-11.18,342.83,438.33,11.48,0.25,22.8,386010,8.57,14.841,0,1,DOCKET0000124
2015-05-19,UTIL000125,SOLAR_RIDER,COM,23.68,10.159,4.08,-2.551,27.91,192.31,474.84,9.92,4.4,11.09,263060,24.5,27.226,0,1,DOCKET0000125
2015-05-26,UTIL000126,EV_TOU,IND,69.41,27.952,20.397,4.507,43.51,173.38,258.57,20.15,2.94,8.32,458326,36.56,11.15,0,0,DOCKET0000126
2015-06-02,UTIL000127,R_LI,COM,10.82,27.42,38.546,4.173,61.26,283.82,622.5,8.77,11.12,7.6,566459,52.1,15.781,0,0,DOCKET0000127
2015-06-09,UTIL000128,C_GEN,OTHER,1.8,20.926,25.168,9.873,-19.31,377.31,502.43,15.22,1.73,13.45,819925,42.05,2.699,0,0,DOCKET0000128
2015-06-16,UTIL000129,I_LARGE,RES,23.09,8.164,15.348,3.07,45.69,196.4,386.45,20.1,11.7,24.85,387133,72.38,15.676,0,1,DOCKET0000129
2015-06-23,UTIL000130,R_TOU,IND,4.59,26.121,34.553,9.327,-21.84,58.21,109.74,6.91,0.4,15.45,696991,5.08,25.146,1,0,DOCKET0000130
2015-06-30,UTIL000131,EV_TOU,COM,17.73,16.27,40.882,0.85,4.51,62.07,86.21,10.13,1.65,16.59,339140,23.39,9.216,0,1,DOCKET0000131
2015-07-07,UTIL000132,R_TOU,RES,36.18,25.66,29.811,-2.553,-1.48,102.81,210.52,26.62,8.52,4.38,90694,64.27,23.175,0,1,DOCKET0000132
2015-07-14,UTIL000133,R_TOU,COM,15.56,7.194,42.631,7.707,30.9,140.37,208.72,7.5,4.46,22.47,8588,73.53,20.789,0,0,DOCKET0000133
2015-07-21,UTIL000134,C_DEM,COM,74.61,12.651,1.299,11.552,98.22,337.12,762.13,10.25,0.67,1.13,34817,62.59,17.788,0,0,DOCKET0000134
2015-07-28,UTIL000135,SOLAR_RIDER,COM,19.46,11.481,11.197,2.313,67.99,211.06,463.29,17.32,6.87,16.47,389712,22.35,14.968,0,1,DOCKET0000135
2015-08-04,UTIL000136,EV_TOU,RES,34.76,30.766,29.594,8.431,103.97,280.04,615.06,13.18,5.6,2.68,535015,44.57,2.543,0,0,DOCKET0000136
2015-08-11,UTIL000137,SOLAR_RIDER,RES,75.16,22.385,29.042,4.584,52.91,415.95,670.33,26.2,1.84,12.28,43040,56.71,27.395,0,0,DOCKET0000137
2015-08-18,UTIL000138,C_DEM,COM,71.1,31.279,6.365,7.38,98.95,80.44,170.23,2.37,4.37,15.53,622189,66.79,22.689,1,0,DOCKET0000138
2015-08-25,UTIL000139,R_LI,OTHER,66.0,13.545,42.926,2.736,-15.92,57.27,116.72,15.43,0.18,24.71,455980,54.99,9.863,1,0,DOCKET0000139
2015-09-01,UTIL000140,I_LARGE,COM,13.25,34.305,2.825,3.408,11.98,368.94,933.47,20.8,5.74,6.78,131656,52.27,13.989,1,0,DOCKET0000140
2015-09-08,UTIL000141,C_DEM,RES,46.78,19.395,21.927,7.165,92.79,142.04,361.21,5.2,11.09,16.51,620024,41.57,21.136,0,0,DOCKET0000141
2015-09-15,UTIL000142,I_LARGE,RES,77.41,10.314,12.853,3.784,110.48,218.31,286.42,2.62,0.83,10.44,780112,73.2,28.14,1,0,DOCKET0000142
2015-09-22,UTIL000143,EV_TOU,COM,45.62,21.563,38.975,9.47,-12.44,197.23,442.7,1.17,2.93,2.47,320825,52.3,8.078,0,0,DOCKET0000143
2015-09-29,UTIL000144,SOLAR_RIDER,COM,39.99,20.641,9.56,5.289,23.48,33.71,73.14,17.65,6.52,7.49,754976,46.95,28.601,0,0,DOCKET0000144
2015-10-06,UTIL000145,EV_TOU,RES,14.07,31.062,39.855,-4.318,65.23,359.69,890.34,9.15,9.8,8.95,391329,65.6,3.551,1,0,DOCKET0000145
2015-10-13,UTIL000146,R_STD,RES,8.13,36.075,17.455,5.377,21.7,243.97,628.64,25.4,2.51,9.97,497070,62.35,2.502,0,1,DOCKET0000146
2015-10-20,UTIL000147,C_DEM,RES,57.11,9.621,30.441,5.131,95.09,314.16,724.04,1.79,0.34,24.43,661865,15.65,24.313,0,0,DOCKET0000147
2015-10-27,UTIL000148,EV_TOU,IND,24.04,13.363,38.299,7.844,-24.57,402.24,538.7,22.36,2.12,6.87,845259,48.99,27.884,1,0,DOCKET0000148
2015-11-03,UTIL000149,R_LI,RES,1.55,36.496,32.153,-4.046,14.71,289.02,470.99,18.91,5.17,1.22,829374,50.38,6.222,0,1,DOCKET0000149
2015-11-10,UTIL000150,C_GEN,COM,19.9,30.242,18.394,0.717,-18.96,189.31,480.65,26.93,5.76,17.6,76780,2.22,1.702,0,0,DOCKET0000150
2015-11-17,UTIL000151,R_TOU,RES,3.45,12.008,27.729,-2.053,68.84,28.0,71.91,16.91,11.91,9.06,399827,71.89,21.892,1,0,DOCKET0000151
