imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_usd,imm_refugee_initial_cash_assistance_usd,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2021-03,AGY0000063,4,IR,FAMILY_REUNION,0,1,1,5927.062,2362.18,39,0.8052,0.0396,0.7356,0.2899,0,1,0.2631,99.18,2
2021-04,AGY0000064,1,SY,FAMILY_REUNION,0,1,1,2200.213,2289.32,47,0.1893,0.1833,0.8432,0.7429,1,0,0.3458,41.65,3
2021-05,AGY0000065,4,HN,FAMILY_REUNION,0,1,1,2784.024,1279.94,71,0.1631,0.3691,0.0871,0.5894,0,1,0.293,94.06,20
2021-06,AGY0000066,1,CD,P1,0,1,1,5422.685,1560.39,19,0.5468,0.8467,0.582,0.5279,0,0,0.1806,57.01,3
2021-07,AGY0000067,5,VE,P1,0,1,1,2493.476,1065.37,59,0.4609,0.2887,0.6876,0.5171,0,0,0.8831,51.69,8
2021-08,AGY0000068,7,VE,P2,0,1,1,4120.157,271.91,66,0.8072,0.4134,0.1394,0.4056,1,0,0.0218,58.84,15
2021-09,AGY0000069,2,AF,USRAP_SPECIAL,0,1,1,3006.498,2447.73,28,0.6082,0.6829,0.3447,0.2247,1,1,0.9419,50.33,4
2021-10,AGY0000070,1,SD,P3,0,1,1,5722.949,2323.61,19,0.514,0.9798,0.7881,0.5285,0,1,0.1444,61.07,3
2021-11,AGY0000071,6,YE,OTHER,0,1,1,728.79,808.17,6,0.1243,0.8327,0.4698,0.8402,0,0,0.5393,95.86,6
2021-12,AGY0000072,7,SY,OTHER,0,1,1,45.791,766.81,13,0.3574,0.8145,0.7431,0.8464,0,0,0.1526,79.59,16
2022-01,AGY0000073,5,CM,P3,0,1,1,425.352,892.73,58,0.6306,0.1384,0.9991,0.2201,0,0,0.371,49.3,11
2022-02,AGY0000074,2,ET,MEDICAL,1,1,1,2885.013,527.98,20,0.0387,0.3383,0.0073,0.3223,0,0,0.1237,39.24,5
2022-03,AGY0000075,6,SY,USRAP_SPECIAL,1,0,1,528.674,882.95,40,0.1346,0.169,0.2826,0.0133,0,1,0.5713,72.91,10
2022-04,AGY0000076,3,CM,P2,0,0,1,3637.895,462.31,58,0.7169,0.9647,0.0183,0.6582,0,0,0.5829,45.0,11
2022-05,AGY0000077,1,VE,OTHER,0,1,1,4464.406,1533.73,13,0.9263,0.5678,0.0297,0.4777,0,0,0.8078,17.48,10
2022-06,AGY0000078,7,IR,MEDICAL,1,1,1,4286.697,940.53,1,0.1929,0.461,0.7632,0.351,0,0,0.5435,9.52,8
2022-07,AGY0000079,1,SY,P3,0,1,1,1968.258,2432.05,39,0.8236,0.9143,0.7727,0.5833,1,0,0.7933,70.57,6
2022-08,AGY0000080,4,CM,P3,0,1,1,3784.149,1199.24,90,0.2694,0.2745,0.9979,0.05,0,1,0.099,13.28,15
2022-09,AGY0000081,3,SY,OTHER,0,1,1,818.1,962.83,0,0.8176,0.6919,0.6194,0.3235,1,0,0.3256,75.71,3
2022-10,AGY0000082,5,CM,P2,0,1,1,4844.211,1016.8,85,0.179,0.8915,0.2816,0.8381,0,0,0.1061,21.14,3
2022-11,AGY0000083,6,YE,P1,0,1,0,5642.892,2065.04,43,0.2432,0.4408,0.1272,0.3574,0,0,0.704,94.19,19
2022-12,AGY0000084,1,AF,USRAP_SPECIAL,0,1,1,4757.083,984.16,31,0.2463,0.2416,0.7272,0.5778,1,0,0.7883,37.63,20
2023-01,AGY0000085,7,IR,P3,1,1,1,1445.424,1161.74,2,0.6473,0.8101,0.6088,0.6024,0,0,0.3428,86.74,19
2023-02,AGY0000086,3,BY,P1,0,1,1,1727.855,282.08,63,0.3513,0.9057,0.0969,0.9128,1,0,0.8639,94.04,12
2023-03,AGY0000087,5,SV,MEDICAL,0,1,1,1512.706,1042.74,71,0.4812,0.7849,0.7947,0.5246,1,0,0.2019,83.19,17
2023-04,AGY0000088,8,CM,FAMILY_REUNION,1,1,1,4246.357,2228.95,52,0.0533,0.6021,0.333,0.8389,0,0,0.9749,52.54,5
2023-05,AGY0000089,7,SS,FAMILY_REUNION,0,1,1,4349.048,1083.96,34,0.7073,0.5925,0.4384,0.5086,0,0,0.9361,36.36,17
2023-06,AGY0000090,2,YE,OTHER,0,1,1,1175.169,1812.87,78,0.4739,0.7878,0.2059,0.088,1,0,0.7041,13.06,9
2023-07,AGY0000091,6,IR,SIV_REF,0,1,1,3983.15,193.36,60,0.199,0.9539,0.476,0.6785,0,0,0.6427,81.01,15
2023-08,AGY0000092,6,ER,OTHER,0,1,1,5712.861,1430.11,15,0.8348,0.4509,0.2107,0.2794,0,0,0.4258,76.86,8
2023-09,AGY0000093,2,GT,P3,0,1,1,3817.672,802.34,89,0.5177,0.3233,0.7742,0.2366,1,0,0.6356,67.41,14
2023-10,AGY0000094,6,SY,FAMILY_REUNION,0,0,1,5572.363,626.08,41,0.0947,0.2654,0.9168,0.902,0,0,0.2622,46.89,4
2023-11,AGY0000095,2,GT,P1,0,1,1,3712.634,1574.43,64,0.5945,0.9407,0.6428,0.7262,0,0,0.3402,72.9,1
2023-12,AGY0000096,4,VE,P1,0,1,1,3681.885,1316.35,22,0.7337,0.8348,0.9691,0.2191,1,0,0.804,49.51,19
2024-01,AGY0000097,4,CM,P2,0,0,1,4779.676,1648.85,38,0.2407,0.5028,0.0646,0.1422,0,0,0.786,0.78,10
2024-02,AGY0000098,3,VE,P2,0,1,1,1326.237,2488.66,14,0.0359,0.086,0.7896,0.9882,1,1,0.6964,41.93,19
2024-03,AGY0000099,8,YE,P1,0,1,1,3995.008,250.47,64,0.8863,0.3402,0.9311,0.8783,0,0,0.8924,22.84,8
2024-04,AGY0000100,4,SD,P2,0,1,1,1557.709,74.29,66,0.8871,0.9368,0.3845,0.0994,0,0,0.1738,55.97,2
2024-05,AGY0000101,5,CM,P2,0,1,0,243.63,567.4,50,0.5931,0.377,0.8124,0.405,0,0,0.2392,26.43,4
2024-06,AGY0000102,4,IR,P3,1,1,1,5281.421,1674.34,63,0.3986,0.7564,0.3618,0.2535,0,0,0.2903,48.29,2
2024-07,AGY0000103,5,VE,P2,1,1,1,5620.742,2296.85,69,0.5913,0.9167,0.9829,0.03,0,0,0.9373,93.75,9
2024-08,AGY0000104,1,CM,SIV_REF,0,1,1,3593.123,1513.97,13,0.2438,0.3775,0.7175,0.5453,0,0,0.8032,36.8,0
2024-09,AGY0000105,6,SS,OTHER,0,1,1,1378.274,2078.87,16,0.6538,0.752,0.8294,0.558,0,1,0.5824,86.67,11
2024-10,AGY0000106,8,IQ,P2,0,1,1,2955.015,619.26,63,0.8915,0.9991,0.5676,0.6061,0,1,0.4761,0.16,10
2024-11,AGY0000107,1,MM,P1,0,1,1,815.306,1441.73,83,0.6986,0.4184,0.8026,0.4946,0,0,0.7242,13.16,18
2024-12,AGY0000108,6,MM,FAMILY_REUNION,0,1,1,5458.807,361.86,85,0.2313,0.0317,0.7945,0.5961,0,0,0.4892,22.38,4
2025-01,AGY0000109,6,HN,OTHER,0,1,0,4364.548,2174.43,14,0.5489,0.0501,0.2914,0.6313,0,0,0.3369,67.92,2
2025-02,AGY0000110,4,SD,P2,0,0,1,850.059,1221.59,61,0.4809,0.6389,0.6689,0.0114,0,0,0.48,38.31,19
2025-03,AGY0000111,6,BY,P1,0,1,1,4244.88,411.36,54,0.684,0.0841,0.7585,0.4874,1,0,0.3054,95.68,3
2025-04,AGY0000112,1,IQ,OTHER,0,1,1,662.511,2387.88,3,0.5793,0.8364,0.0154,0.8339,0,1,0.0444,69.46,8
2025-05,AGY0000113,4,SV,P1,0,1,1,5912.372,1418.26,21,0.2472,0.7654,0.938,0.6367,0,0,0.8162,57.99,0
2025-06,AGY0000114,2,IR,OTHER,0,1,1,1031.013,1533.27,7,0.5631,0.6311,0.8745,0.0421,0,0,0.0758,21.86,13
2025-07,AGY0000115,4,SO,SIV_REF,0,0,0,62.424,536.95,49,0.7769,0.3361,0.524,0.2636,1,0,0.4567,7.7,15
2025-08,AGY0000116,6,BY,SIV_REF,0,1,1,5152.155,1510.66,19,0.8335,0.5151,0.0708,0.358,1,0,0.8521,33.32,4
2025-09,AGY0000117,4,SD,FAMILY_REUNION,0,1,1,4386.136,161.02,41,0.5085,0.6418,0.0742,0.0538,0,1,0.7293,72.29,11
2025-10,AGY0000118,2,HN,P2,0,1,0,5335.937,629.55,77,0.8634,0.3022,0.2206,0.8022,0,1,0.1217,63.21,10
2025-11,AGY0000119,3,VE,P1,0,1,1,1520.428,1778.8,62,0.9293,0.4205,0.7618,0.1029,1,0,0.4886,75.19,4
2025-12,AGY0000120,1,SY,P3,0,1,1,3842.789,1930.85,89,0.6779,0.5666,0.4215,0.5556,0,0,0.4008,89.4,6
2026-01,AGY0000121,8,SD,P1,0,1,1,1652.82,616.58,78,0.1007,0.8092,0.9749,0.7229,0,0,0.7095,47.2,20
2026-02,AGY0000122,4,SV,MEDICAL,0,0,1,3267.911,1276.63,68,0.5605,0.062,0.4555,0.3268,0,0,0.6382,82.63,17
2026-03,AGY0000123,4,HT,USRAP_SPECIAL,0,1,1,187.172,1344.5,23,0.2864,0.877,0.2943,0.4196,0,0,0.9287,6.08,10
2026-04,AGY0000124,3,SD,P1,0,1,1,1351.933,853.88,25,0.3899,0.4245,0.5276,0.878,0,1,0.4991,24.61,3
2026-05,AGY0000125,1,SO,P2,0,1,1,5691.734,1773.25,61,0.1447,0.7059,0.4295,0.9818,0,0,0.5578,14.19,9
2026-06,AGY0000126,5,VE,USRAP_SPECIAL,0,1,1,5015.455,1817.75,86,0.2228,0.0623,0.1456,0.0134,0,0,0.1355,55.49,16
2026-07,AGY0000127,3,HN,P2,0,1,1,4507.996,1437.62,46,0.0952,0.183,0.3688,0.8768,0,0,0.4921,70.45,7
2026-08,AGY0000128,4,CD,P3,1,1,1,5181.547,313.99,81,0.7173,0.3735,0.4006,0.5559,0,0,0.2523,73.84,19
2026-09,AGY0000129,3,CD,SIV_REF,0,1,1,5174.948,755.81,25,0.709,0.6827,0.8271,0.494,0,0,0.1561,9.01,1
2026-10,AGY0000130,7,ET,OTHER,0,1,1,918.379,2230.62,68,0.1162,0.8418,0.7009,0.8684,0,0,0.2438,82.48,1
2026-11,AGY0000131,2,IQ,FAMILY_REUNION,0,1,1,3323.94,933.09,15,0.8578,0.3012,0.4649,0.7506,0,0,0.0422,74.3,1
2026-12,AGY0000132,1,CD,P1,1,1,1,1881.251,1170.09,18,0.201,0.1773,0.0017,0.188,0,0,0.802,62.13,11
2027-01,AGY0000133,2,AF,USRAP_SPECIAL,0,1,0,3366.492,1293.46,69,0.406,0.2266,0.3428,0.3006,0,0,0.0157,16.58,0
2027-02,AGY0000134,2,SS,FAMILY_REUNION,0,1,0,4469.153,7.57,33,0.1612,0.5183,0.7994,0.7162,0,0,0.1962,31.79,5
2027-03,AGY0000135,2,AF,MEDICAL,0,0,1,3914.554,939.35,32,0.1746,0.081,0.8601,0.0384,1,0,0.0735,96.68,19
2027-04,AGY0000136,6,SO,OTHER,1,0,1,1873.265,2078.62,33,0.689,0.0831,0.1098,0.1131,1,0,0.1151,23.64,17
2027-05,AGY0000137,6,SS,P1,0,1,1,5017.076,418.7,9,0.8408,0.8532,0.5313,0.7651,1,1,0.0804,72.36,15
2027-06,AGY0000138,3,VE,USRAP_SPECIAL,0,1,1,3140.457,1618.29,53,0.5434,0.7384,0.3039,0.2435,0,0,0.2737,18.72,18
2027-07,AGY0000139,4,CM,P2,0,1,1,233.578,91.92,31,0.0855,0.5733,0.2521,0.6582,0,0,0.8238,8.05,8
2027-08,AGY0000140,8,ER,P1,0,1,1,5609.169,159.26,4,0.5029,0.4878,0.6032,0.4909,1,0,0.7519,59.33,3
2027-09,AGY0000141,8,IR,P1,0,1,1,5257.28,2035.95,41,0.9105,0.5744,0.2847,0.807,0,0,0.5326,36.75,5
2027-10,AGY0000142,4,IQ,P1,0,1,1,1515.671,1801.62,73,0.3014,0.1325,0.726,0.2762,0,0,0.5952,42.07,7
2027-11,AGY0000143,6,BY,SIV_REF,0,1,1,2403.772,2471.32,47,0.3894,0.2361,0.2985,0.8661,0,1,0.1262,45.73,13
2027-12,AGY0000144,3,UA,P2,0,1,1,1719.383,2274.73,9,0.7409,0.8317,0.1141,0.2332,0,0,0.5552,51.95,8
2028-01,AGY0000145,7,SO,P2,0,1,1,3963.814,385.37,9,0.8774,0.0706,0.6376,0.1266,1,0,0.9242,33.95,7
2028-02,AGY0000146,8,AF,FAMILY_REUNION,0,1,1,3511.555,854.71,60,0.317,0.7181,0.9679,0.5779,0,0,0.1704,50.07,20
2028-03,AGY0000147,5,SV,FAMILY_REUNION,0,0,1,2116.356,1912.33,16,0.1411,0.248,0.3002,0.2575,0,0,0.7963,63.99,6
2028-04,AGY0000148,7,GT,FAMILY_REUNION,0,0,0,2251.767,881.96,76,0.4016,0.8797,0.4076,0.5316,0,0,0.4584,30.66,5
2028-05,AGY0000149,7,MM,P1,1,1,1,5086.588,1224.84,51,0.6882,0.0217,0.0782,0.2457,0,0,0.7263,24.06,5
2028-06,AGY0000150,5,ER,FAMILY_REUNION,0,1,1,3066.989,711.18,26,0.5386,0.3979,0.315,0.0136,0,0,0.5883,12.52,3
2028-07,AGY0000151,5,SD,P3,0,1,1,3128.79,1121.94,38,0.4893,0.5086,0.7724,0.8478,0,0,0.3259,32.94,7
2028-08,AGY0000152,5,ET,USRAP_SPECIAL,0,1,1,5481.091,1151.18,48,0.9557,0.2424,0.2409,0.7297,0,0,0.6156,99.84,14
2028-09,AGY0000153,6,ET,P2,0,1,1,1296.572,600.57,39,0.8384,0.9532,0.2242,0.9919,0,0,0.4646,37.18,3
2028-10,AGY0000154,3,CM,P1,0,1,1,2682.733,990.46,11,0.986,0.7468,0.794,0.0881,1,0,0.8556,51.9,6
2028-11,AGY0000155,5,YE,P2,0,1,1,151.774,388.22,54,0.8477,0.1717,0.7002,0.3609,0,1,0.0157,12.12,6
2028-12,AGY0000156,5,VE,SIV_REF,0,1,1,2829.955,1896.53,4,0.5839,0.7111,0.4423,0.9977,0,1,0.6977,81.2,14
2029-01,AGY0000157,4,SV,P2,0,1,1,5190.746,827.59,54,0.5938,0.7171,0.5703,0.3845,1,0,0.2688,98.02,0
2029-02,AGY0000158,5,IQ,FAMILY_REUNION,0,1,1,4250.717,57.88,47,0.2529,0.014,0.6213,0.2651,0,0,0.9284,13.03,14
2029-03,AGY0000159,2,MM,P3,0,1,1,4245.418,1025.18,35,0.689,0.2327,0.9733,0.363,0,0,0.4405,48.9,15
2029-04,AGY0000160,4,MM,P1,0,1,1,3083.619,1700.04,24,0.9991,0.082,0.0429,0.345,0,0,0.87,76.46,10
2029-05,AGY0000161,3,SV,P2,0,1,0,4822.41,1607.44,14,0.325,0.5925,0.2304,0.85,0,0,0.7767,46.83,14
2029-06,AGY0000162,6,YE,USRAP_SPECIAL,0,1,1,4960.141,536.06,8,0.5958,0.1237,0.3956,0.6501,0,0,0.9045,12.63,0
2029-07,AGY0000163,8,SY,FAMILY_REUNION,0,1,1,1307.052,1952.06,33,0.5842,0.1235,0.0281,0.5642,0,0,0.539,87.46,16
2029-08,AGY0000164,2,CM,USRAP_SPECIAL,0,1,1,4507.503,2159.26,8,0.3991,0.831,0.2347,0.7253,1,1,0.9299,52.06,9
2029-09,AGY0000165,6,ER,P3,1,1,1,3868.154,1956.02,40,0.0087,0.6823,0.2232,0.8831,0,1,0.4412,74.42,18
2029-10,AGY0000166,8,UA,SIV_REF,0,1,1,3962.035,740.61,68,0.079,0.7527,0.6266,0.0812,1,1,0.3185,73.99,1
2029-11,AGY0000167,3,MM,P3,0,1,1,1896.576,635.45,43,0.8673,0.8793,0.0718,0.1304,0,0,0.0483,65.35,1
2029-12,AGY0000168,4,GT,MEDICAL,0,1,1,1092.727,436.59,46,0.0487,0.8788,0.4433,0.4256,0,1,0.821,32.8,14
2030-01,AGY0000169,7,CM,P3,0,0,1,2471.628,1837.28,30,0.9275,0.6286,0.096,0.7661,1,0,0.5785,59.13,5
2030-02,AGY0000170,6,HT,FAMILY_REUNION,1,1,1,4832.789,420.1,5,0.9593,0.2725,0.8251,0.6728,0,1,0.7888,10.92,2
2030-03,AGY0000171,8,IQ,P1,0,1,1,1742.88,2256.55,77,0.8629,0.9672,0.1745,0.0838,0,0,0.0434,51.55,12
2030-04,AGY0000172,1,CM,P3,0,1,1,5464.021,1642.04,10,0.1493,0.0169,0.211,0.9568,0,0,0.4161,99.56,15
2030-05,AGY0000173,5,AF,P2,0,1,1,4202.432,261.29,35,0.0464,0.8059,0.8448,0.9524,0,0,0.4619,98.11,10
2030-06,AGY0000174,5,SO,P3,0,1,1,2067.443,717.18,14,0.813,0.0169,0.622,0.4367,0,0,0.3749,71.06,14
2030-07,AGY0000175,4,GT,P1,0,1,1,3588.564,2435.39,32,0.1691,0.7271,0.0446,0.3335,0,0,0.1589,32.26,2
2030-08,AGY0000176,3,YE,P1,0,1,1,5505.715,1562.52,34,0.6743,0.4581,0.9442,0.891,0,0,0.8967,62.35,15
2030-09,AGY0000177,4,ER,P3,0,0,1,689.806,1597.47,44,0.5799,0.5831,0.5971,0.878,0,1,0.8195,85.29,12
