tech_cyber_incident_date,tech_cyber_reporting_country_iso2,tech_cyber_sector_nis2_code,tech_cyber_entity_size_class,tech_cyber_incident_type_code,tech_cyber_attack_vector_code,tech_cyber_ransomware_flag,tech_cyber_service_disruption_hours,tech_cyber_records_exposed_count,tech_cyber_data_breach_gdpr_notification_flag,tech_cyber_time_to_detect_hours_median,tech_cyber_time_to_recover_hours_median,tech_cyber_financial_loss_eur_estimate,tech_cyber_incident_severity_level,tech_cyber_csirt_involved_flag,tech_cyber_cross_border_impact_flag,tech_cyber_enisa_reporting_flag,tech_cyber_sanctions_imposed_flag,tech_cyber_data_source,tech_cyber_data_extract_date
2018-05-22,LT,PUBLIC_ADMIN,MEDIUM,PHISHING,WEB_APP,0,81.6,188467,0,86.32,314.6,3855344.65,HIGH,1,0,1,0,CSIRT_REPORTING,2025-04-28
2018-06-02,SK,CHEMICALS,SMALL,SUPPLY_CHAIN,VULNERABILITY,0,82.97,212201,0,95.49,388.71,8547600.8,MEDIUM,1,0,1,0,SECTORAL_REGULATOR,2026-02-01
2018-06-13,HR,HEALTH,MICRO,DATA_BREACH,RDP,0,10.87,188872,1,44.65,62.18,8043465.13,LOW,0,1,1,0,ENISA_PORTAL,2025-05-11
2018-06-24,DE,SPACE,LARGE,DDOS,CLOUD_MISCONFIG,0,32.56,18937,0,95.54,167.85,14792664.82,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2025-04-24
2018-07-05,LU,ENERGY,MEDIUM,RANSOMWARE,EMAIL,1,179.56,216315,1,83.22,145.33,6515721.45,HIGH,1,0,0,0,NATIONAL_AUTHORITY,2024-09-05
2018-07-16,SI,DRINKING_WATER,SMALL,INSIDER,THIRD_PARTY,0,195.74,45214,0,80.36,349.48,2728419.12,MEDIUM,0,0,0,0,CSIRT_REPORTING,2024-08-28
2018-07-27,CY,POSTAL,MICRO,MALWARE,USB,0,120.84,245816,0,26.94,3.07,2541284.5,LOW,0,0,1,0,SECTORAL_REGULATOR,2025-09-19
2018-08-07,GR,TRANSPORT,LARGE,PHISHING,WEB_APP,0,238.1,61524,0,26.96,95.03,8552334.66,CRITICAL,1,0,0,0,ENISA_PORTAL,2025-02-14
2018-08-18,MT,DIGITAL_INFRA,MEDIUM,SUPPLY_CHAIN,VULNERABILITY,0,37.48,189299,0,154.59,250.54,3351709.17,HIGH,1,0,0,0,INSURANCE_CLAIMS_DB,2026-01-23
2018-08-29,ES,WASTE_WATER,SMALL,DATA_BREACH,RDP,0,70.86,221400,1,117.73,227.09,20135608.51,MEDIUM,0,0,0,0,NATIONAL_AUTHORITY,2024-11-08
2018-09-09,CZ,BANKING,MICRO,DDOS,CLOUD_MISCONFIG,0,54.45,176379,0,16.92,66.91,10803137.65,LOW,0,0,0,0,CSIRT_REPORTING,2026-02-14
2018-09-20,HU,ICT_SERVICE,LARGE,RANSOMWARE,EMAIL,1,74.26,144789,0,34.9,390.08,15500614.42,CRITICAL,1,0,0,0,SECTORAL_REGULATOR,2024-07-16
2018-10-01,NL,FOOD,MEDIUM,INSIDER,THIRD_PARTY,0,104.71,1905,0,3.12,243.42,19198101.34,HIGH,0,0,0,0,ENISA_PORTAL,2025-10-08
2018-10-12,SE,FIN_MARKETS,SMALL,MALWARE,USB,0,173.7,116368,0,148.79,245.81,20779927.27,MEDIUM,0,0,0,0,INSURANCE_CLAIMS_DB,2024-10-22
2018-10-23,DK,PUBLIC_ADMIN,MICRO,PHISHING,WEB_APP,0,187.33,197753,0,120.77,232.95,19481285.24,LOW,1,1,0,0,NATIONAL_AUTHORITY,2024-04-02
2018-11-03,IE,CHEMICALS,LARGE,SUPPLY_CHAIN,VULNERABILITY,0,18.29,221001,0,64.3,62.37,13139135.18,CRITICAL,1,0,0,0,CSIRT_REPORTING,2024-12-05
2018-11-14,PL,HEALTH,MEDIUM,DATA_BREACH,RDP,0,16.52,165977,1,94.02,82.41,8327804.05,HIGH,1,0,0,0,SECTORAL_REGULATOR,2024-02-18
2018-11-25,AT,SPACE,SMALL,DDOS,CLOUD_MISCONFIG,0,168.64,18741,0,49.91,34.34,2065566.87,MEDIUM,0,0,1,0,ENISA_PORTAL,2024-02-26
2018-12-06,EE,ENERGY,MICRO,RANSOMWARE,EMAIL,1,180.98,124885,0,155.85,349.03,25453463.28,LOW,0,0,1,0,INSURANCE_CLAIMS_DB,2024-10-23
2018-12-17,IT,DRINKING_WATER,LARGE,INSIDER,THIRD_PARTY,0,151.01,219155,0,136.79,91.57,5210395.56,CRITICAL,1,0,1,0,NATIONAL_AUTHORITY,2025-11-22
2018-12-28,PT,POSTAL,MEDIUM,MALWARE,USB,0,6.58,131320,0,43.53,38.73,18936322.94,HIGH,1,0,0,0,CSIRT_REPORTING,2024-04-14
2019-01-08,BE,TRANSPORT,SMALL,PHISHING,WEB_APP,0,125.42,227457,0,33.63,174.47,8274173.41,MEDIUM,0,0,0,0,SECTORAL_REGULATOR,2025-09-26
2019-01-19,FI,DIGITAL_INFRA,MICRO,SUPPLY_CHAIN,VULNERABILITY,0,114.73,120493,0,41.57,176.28,5574764.19,LOW,0,0,0,0,ENISA_PORTAL,2024-11-09
2019-01-30,LV,WASTE_WATER,LARGE,DATA_BREACH,RDP,0,93.54,237321,0,109.5,77.85,12419734.45,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2024-07-23
2019-02-10,RO,BANKING,MEDIUM,DDOS,CLOUD_MISCONFIG,0,119.75,15772,0,32.39,205.25,13669819.86,HIGH,0,0,0,0,NATIONAL_AUTHORITY,2024-04-08
2019-02-21,BG,ICT_SERVICE,SMALL,RANSOMWARE,EMAIL,1,48.16,38514,0,16.39,288.4,28474991.04,MEDIUM,0,0,1,0,CSIRT_REPORTING,2024-04-29
2019-03-04,FR,FOOD,MICRO,INSIDER,THIRD_PARTY,1,263.2,202594,0,124.18,105.91,216447.24,LOW,0,0,0,0,SECTORAL_REGULATOR,2025-08-01
2019-03-15,LT,FIN_MARKETS,LARGE,MALWARE,USB,1,45.26,89131,0,118.66,271.58,16678232.92,CRITICAL,1,1,0,0,ENISA_PORTAL,2025-11-07
2019-03-26,SK,PUBLIC_ADMIN,MEDIUM,PHISHING,WEB_APP,0,96.22,155307,0,98.65,155.14,5759269.63,HIGH,1,1,0,0,INSURANCE_CLAIMS_DB,2024-12-24
2019-04-06,HR,CHEMICALS,SMALL,SUPPLY_CHAIN,VULNERABILITY,0,229.79,113352,0,156.24,85.32,16081961.52,MEDIUM,0,1,0,0,NATIONAL_AUTHORITY,2024-07-02
2019-04-17,DE,HEALTH,MICRO,DATA_BREACH,RDP,0,49.25,188778,1,79.6,9.96,3283470.06,LOW,0,0,0,0,CSIRT_REPORTING,2025-03-15
2019-04-28,LU,SPACE,LARGE,DDOS,CLOUD_MISCONFIG,0,158.84,80433,0,8.34,309.82,6886803.4,CRITICAL,1,0,0,0,SECTORAL_REGULATOR,2024-09-30
2019-05-09,SI,ENERGY,MEDIUM,RANSOMWARE,EMAIL,1,197.58,190420,0,71.32,148.69,17641857.61,HIGH,1,0,0,0,ENISA_PORTAL,2024-03-03
2019-05-20,CY,DRINKING_WATER,SMALL,INSIDER,THIRD_PARTY,0,91.72,125251,0,28.91,234.22,13581567.45,MEDIUM,0,0,0,0,INSURANCE_CLAIMS_DB,2024-01-28
2019-05-31,GR,POSTAL,MICRO,MALWARE,USB,0,221.64,86826,0,156.14,332.92,6426475.21,LOW,0,0,0,0,NATIONAL_AUTHORITY,2025-01-06
2019-06-11,MT,TRANSPORT,LARGE,PHISHING,WEB_APP,0,2.79,58838,0,49.33,244.75,9676600.28,CRITICAL,0,0,1,0,CSIRT_REPORTING,2025-10-04
2019-06-22,ES,DIGITAL_INFRA,MEDIUM,SUPPLY_CHAIN,VULNERABILITY,0,103.2,99408,0,149.9,249.92,15729821.58,HIGH,1,0,0,0,SECTORAL_REGULATOR,2024-07-30
2019-07-03,CZ,WASTE_WATER,SMALL,DATA_BREACH,RDP,0,207.87,155865,0,151.5,266.27,19678809.72,MEDIUM,0,1,0,0,ENISA_PORTAL,2025-06-23
2019-07-14,HU,BANKING,MICRO,DDOS,CLOUD_MISCONFIG,0,26.32,204091,0,34.09,8.31,14305691.64,LOW,0,0,1,0,INSURANCE_CLAIMS_DB,2025-12-19
2019-07-25,NL,ICT_SERVICE,LARGE,RANSOMWARE,EMAIL,1,24.36,96238,0,30.99,238.89,15971613.28,CRITICAL,1,0,0,0,NATIONAL_AUTHORITY,2025-05-11
2019-08-05,SE,FOOD,MEDIUM,INSIDER,THIRD_PARTY,0,45.35,178400,1,3.68,119.17,17705191.46,HIGH,1,0,0,0,CSIRT_REPORTING,2026-01-23
2019-08-16,DK,FIN_MARKETS,SMALL,MALWARE,USB,0,57.43,21402,0,29.11,333.43,1087052.03,MEDIUM,0,0,0,0,SECTORAL_REGULATOR,2024-05-23
2019-08-27,IE,PUBLIC_ADMIN,MICRO,PHISHING,WEB_APP,0,153.83,155358,0,83.22,94.74,13475437.65,LOW,0,1,0,0,ENISA_PORTAL,2025-10-14
2019-09-07,PL,CHEMICALS,LARGE,SUPPLY_CHAIN,VULNERABILITY,0,50.31,64326,0,115.22,218.14,4778502.35,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2025-02-09
2019-09-18,AT,HEALTH,MEDIUM,DATA_BREACH,RDP,0,5.31,67953,1,6.55,346.15,1034349.74,HIGH,1,0,0,0,NATIONAL_AUTHORITY,2024-04-16
2019-09-29,EE,SPACE,SMALL,DDOS,CLOUD_MISCONFIG,0,226.45,242527,0,147.72,33.94,15834772.86,MEDIUM,0,1,1,0,CSIRT_REPORTING,2025-05-05
2019-10-10,IT,ENERGY,MICRO,RANSOMWARE,EMAIL,1,273.67,117248,1,5.23,306.31,22125968.6,LOW,0,0,0,0,SECTORAL_REGULATOR,2025-04-02
2019-10-21,PT,DRINKING_WATER,LARGE,INSIDER,THIRD_PARTY,0,212.11,141318,0,104.22,292.81,9012886.79,CRITICAL,1,1,0,0,ENISA_PORTAL,2024-12-26
2019-11-01,BE,POSTAL,MEDIUM,MALWARE,USB,0,95.76,108994,0,118.03,227.37,9356811.14,HIGH,1,0,1,0,INSURANCE_CLAIMS_DB,2025-08-14
2019-11-12,FI,TRANSPORT,SMALL,PHISHING,WEB_APP,0,134.8,135493,0,80.48,192.44,15974064.24,MEDIUM,0,1,0,0,NATIONAL_AUTHORITY,2025-01-11
2019-11-23,LV,DIGITAL_INFRA,MICRO,SUPPLY_CHAIN,VULNERABILITY,0,183.23,235060,0,135.08,400.85,11821378.94,LOW,0,1,0,0,CSIRT_REPORTING,2024-04-25
2019-12-04,RO,WASTE_WATER,LARGE,DATA_BREACH,RDP,0,13.55,225933,0,38.72,312.79,262428.29,CRITICAL,1,0,1,0,SECTORAL_REGULATOR,2024-01-30
2019-12-15,BG,BANKING,MEDIUM,DDOS,CLOUD_MISCONFIG,0,107.55,228652,0,94.12,81.05,5517908.06,HIGH,0,0,0,0,ENISA_PORTAL,2025-03-29
2019-12-26,FR,ICT_SERVICE,SMALL,RANSOMWARE,EMAIL,1,295.9,179176,1,97.08,207.05,19308910.75,MEDIUM,0,0,1,0,INSURANCE_CLAIMS_DB,2024-06-25
2020-01-06,LT,FOOD,MICRO,INSIDER,THIRD_PARTY,0,8.98,95289,0,102.6,130.03,8024481.48,LOW,0,0,0,0,NATIONAL_AUTHORITY,2024-03-07
2020-01-17,SK,FIN_MARKETS,LARGE,MALWARE,USB,0,206.34,7416,0,10.57,66.37,11069644.69,CRITICAL,1,1,0,0,CSIRT_REPORTING,2025-01-26
2020-01-28,HR,PUBLIC_ADMIN,MEDIUM,PHISHING,WEB_APP,0,18.96,68149,0,31.73,241.27,10533633.85,HIGH,1,0,0,0,SECTORAL_REGULATOR,2026-02-14
2020-02-08,DE,CHEMICALS,SMALL,SUPPLY_CHAIN,VULNERABILITY,0,207.64,225799,0,135.85,337.57,8346192.61,MEDIUM,0,0,0,0,ENISA_PORTAL,2025-10-22
2020-02-19,LU,HEALTH,MICRO,DATA_BREACH,RDP,0,145.42,167547,1,167.85,307.27,2925444.66,LOW,0,1,1,0,INSURANCE_CLAIMS_DB,2025-09-08
2020-03-01,SI,SPACE,LARGE,DDOS,CLOUD_MISCONFIG,0,170.25,123136,0,52.42,288.26,19052261.41,CRITICAL,1,1,0,0,NATIONAL_AUTHORITY,2025-03-05
2020-03-12,CY,ENERGY,MEDIUM,RANSOMWARE,EMAIL,1,174.11,45360,1,95.28,436.11,25455938.27,HIGH,1,0,1,0,CSIRT_REPORTING,2024-12-27
2020-03-23,GR,DRINKING_WATER,SMALL,INSIDER,THIRD_PARTY,0,68.31,182274,0,34.8,240.52,18379535.11,MEDIUM,0,0,0,0,SECTORAL_REGULATOR,2024-06-05
2020-04-03,MT,POSTAL,MICRO,MALWARE,USB,0,197.73,25968,0,104.56,260.33,3395154.61,LOW,0,0,1,0,ENISA_PORTAL,2024-01-10
2020-04-14,ES,TRANSPORT,LARGE,PHISHING,WEB_APP,0,177.14,63713,0,151.8,20.7,3453721.43,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2025-06-16
2020-04-25,CZ,DIGITAL_INFRA,MEDIUM,SUPPLY_CHAIN,VULNERABILITY,0,181.53,175076,0,74.58,474.24,19668355.16,HIGH,1,0,1,0,NATIONAL_AUTHORITY,2025-01-14
2020-05-06,HU,WASTE_WATER,SMALL,DATA_BREACH,RDP,1,16.69,135566,0,162.91,255.88,1513025.87,MEDIUM,0,0,0,0,CSIRT_REPORTING,2024-09-28
2020-05-17,NL,BANKING,MICRO,DDOS,CLOUD_MISCONFIG,0,63.37,221872,0,154.04,104.14,2806406.5,LOW,0,0,0,0,SECTORAL_REGULATOR,2024-12-29
2020-05-28,SE,ICT_SERVICE,LARGE,RANSOMWARE,EMAIL,1,220.36,46604,1,137.19,163.54,6523900.39,CRITICAL,1,0,1,1,ENISA_PORTAL,2024-04-08
2020-06-08,DK,FOOD,MEDIUM,INSIDER,THIRD_PARTY,0,131.49,158842,1,7.7,73.43,12830700.9,HIGH,1,1,0,0,INSURANCE_CLAIMS_DB,2024-11-29
2020-06-19,IE,FIN_MARKETS,SMALL,MALWARE,USB,0,16.71,47599,1,130.74,180.85,307989.41,MEDIUM,0,0,1,0,NATIONAL_AUTHORITY,2025-10-15
2020-06-30,PL,PUBLIC_ADMIN,MICRO,PHISHING,WEB_APP,0,74.37,65535,0,20.23,38.66,4019966.98,LOW,0,0,1,0,CSIRT_REPORTING,2024-03-16
2020-07-11,AT,CHEMICALS,LARGE,SUPPLY_CHAIN,VULNERABILITY,0,18.27,130325,0,18.52,55.81,7253830.03,CRITICAL,0,0,1,0,SECTORAL_REGULATOR,2025-03-30
2020-07-22,EE,HEALTH,MEDIUM,DATA_BREACH,RDP,0,14.52,92532,1,113.59,153.74,5505542.24,HIGH,1,0,0,0,ENISA_PORTAL,2025-04-13
2020-08-02,IT,SPACE,SMALL,DDOS,CLOUD_MISCONFIG,0,222.35,5895,0,11.07,214.6,10650864.1,MEDIUM,0,0,0,0,INSURANCE_CLAIMS_DB,2024-09-26
2020-08-13,PT,ENERGY,MICRO,RANSOMWARE,EMAIL,1,76.61,170494,1,19.22,259.62,30578599.23,LOW,0,0,1,0,NATIONAL_AUTHORITY,2024-10-29
2020-08-24,BE,DRINKING_WATER,LARGE,INSIDER,THIRD_PARTY,0,176.24,10398,0,134.72,341.76,21456528.08,CRITICAL,1,1,0,0,CSIRT_REPORTING,2025-03-15
2020-09-04,FI,POSTAL,MEDIUM,MALWARE,USB,0,50.46,178120,0,137.26,34.03,4454265.75,HIGH,1,0,0,0,SECTORAL_REGULATOR,2025-11-08
2020-09-15,LV,TRANSPORT,SMALL,PHISHING,WEB_APP,0,56.98,178316,0,106.22,35.59,21510716.83,MEDIUM,1,0,1,0,ENISA_PORTAL,2024-05-24
2020-09-26,RO,DIGITAL_INFRA,MICRO,SUPPLY_CHAIN,VULNERABILITY,0,150.46,239406,0,134.57,381.26,6979109.49,LOW,0,0,1,0,INSURANCE_CLAIMS_DB,2025-09-20
2020-10-07,BG,WASTE_WATER,LARGE,DATA_BREACH,RDP,0,68.58,87952,0,71.19,299.76,19714140.14,CRITICAL,1,0,0,0,NATIONAL_AUTHORITY,2025-06-19
2020-10-18,FR,BANKING,MEDIUM,DDOS,CLOUD_MISCONFIG,0,0.25,235062,1,57.1,332.35,16952119.79,HIGH,1,1,0,0,CSIRT_REPORTING,2024-11-02
2020-10-29,LT,ICT_SERVICE,SMALL,RANSOMWARE,EMAIL,1,140.54,209079,1,116.52,62.98,12660021.09,MEDIUM,1,0,1,0,SECTORAL_REGULATOR,2025-06-13
2020-11-09,SK,FOOD,MICRO,INSIDER,THIRD_PARTY,0,225.8,156118,0,50.48,330.62,8513349.88,LOW,0,0,0,0,ENISA_PORTAL,2024-09-02
2020-11-20,HR,FIN_MARKETS,LARGE,MALWARE,USB,0,100.44,40626,0,92.97,224.45,7893465.08,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2024-11-12
2020-12-01,DE,PUBLIC_ADMIN,MEDIUM,PHISHING,WEB_APP,0,0.86,172281,0,102.08,202.03,15371425.0,HIGH,1,0,0,0,NATIONAL_AUTHORITY,2025-06-12
2020-12-12,LU,CHEMICALS,SMALL,SUPPLY_CHAIN,VULNERABILITY,0,99.76,114946,1,58.92,204.97,11870156.61,MEDIUM,0,0,1,0,CSIRT_REPORTING,2024-07-28
2020-12-23,SI,HEALTH,MICRO,DATA_BREACH,RDP,0,6.14,232905,1,76.59,313.56,19126294.51,LOW,1,0,1,0,SECTORAL_REGULATOR,2025-07-14
2021-01-03,CY,SPACE,LARGE,DDOS,CLOUD_MISCONFIG,0,173.09,197554,0,141.69,220.65,19175374.43,CRITICAL,1,1,1,0,ENISA_PORTAL,2025-11-08
2021-01-14,GR,ENERGY,MEDIUM,RANSOMWARE,EMAIL,1,15.45,23515,1,34.01,3.37,9528787.57,HIGH,1,0,0,0,INSURANCE_CLAIMS_DB,2024-02-15
2021-01-25,MT,DRINKING_WATER,SMALL,INSIDER,THIRD_PARTY,0,238.06,129294,0,30.81,251.44,20558605.68,MEDIUM,0,0,1,0,NATIONAL_AUTHORITY,2025-08-18
2021-02-05,ES,POSTAL,MICRO,MALWARE,USB,0,216.34,202651,0,163.8,238.48,16472869.75,LOW,0,0,1,0,CSIRT_REPORTING,2024-08-27
2021-02-16,CZ,TRANSPORT,LARGE,PHISHING,WEB_APP,0,43.1,57122,1,6.12,123.84,19898564.71,CRITICAL,0,0,0,0,SECTORAL_REGULATOR,2025-02-09
2021-02-27,HU,DIGITAL_INFRA,MEDIUM,SUPPLY_CHAIN,VULNERABILITY,0,163.36,162738,0,42.31,306.2,505123.76,HIGH,1,1,1,0,ENISA_PORTAL,2024-10-04
2021-03-10,NL,WASTE_WATER,SMALL,DATA_BREACH,RDP,0,237.95,80652,1,148.77,47.99,18805144.46,MEDIUM,1,0,1,0,INSURANCE_CLAIMS_DB,2025-08-23
2021-03-21,SE,BANKING,MICRO,DDOS,CLOUD_MISCONFIG,0,18.65,17363,0,7.86,226.83,20977544.86,LOW,0,1,0,0,NATIONAL_AUTHORITY,2025-09-04
2021-04-01,DK,ICT_SERVICE,LARGE,RANSOMWARE,EMAIL,1,140.3,19109,1,145.43,277.4,29524348.73,CRITICAL,1,0,0,0,CSIRT_REPORTING,2025-08-08
2021-04-12,IE,FOOD,MEDIUM,INSIDER,THIRD_PARTY,0,191.43,127239,0,60.4,48.36,20410477.3,HIGH,1,0,0,0,SECTORAL_REGULATOR,2025-07-13
2021-04-23,PL,FIN_MARKETS,SMALL,MALWARE,USB,0,49.19,194177,0,126.23,142.85,19620363.66,MEDIUM,0,0,0,0,ENISA_PORTAL,2024-03-30
2021-05-04,AT,PUBLIC_ADMIN,MICRO,PHISHING,WEB_APP,0,107.84,63663,0,80.68,146.88,3189276.26,LOW,0,1,0,0,INSURANCE_CLAIMS_DB,2025-12-26
2021-05-15,EE,CHEMICALS,LARGE,SUPPLY_CHAIN,VULNERABILITY,0,143.08,27036,0,72.11,395.09,14073761.67,CRITICAL,1,1,0,0,NATIONAL_AUTHORITY,2025-11-07
2021-05-26,IT,HEALTH,MEDIUM,DATA_BREACH,RDP,0,13.89,186946,1,143.39,206.76,11330853.48,HIGH,1,0,1,0,CSIRT_REPORTING,2024-06-06
2021-06-06,PT,SPACE,SMALL,DDOS,CLOUD_MISCONFIG,0,187.92,117466,0,94.14,87.55,11291073.61,MEDIUM,0,0,0,0,SECTORAL_REGULATOR,2025-08-11
2021-06-17,BE,ENERGY,MICRO,RANSOMWARE,EMAIL,1,255.19,122751,1,93.38,375.26,2915986.34,LOW,0,0,0,0,ENISA_PORTAL,2025-04-22
2021-06-28,FI,DRINKING_WATER,LARGE,INSIDER,THIRD_PARTY,0,129.66,73465,0,138.28,320.19,6098635.27,CRITICAL,1,0,0,0,INSURANCE_CLAIMS_DB,2025-08-23
2021-07-09,LV,POSTAL,MEDIUM,MALWARE,USB,0,196.62,86606,0,68.0,43.42,8058688.4,HIGH,1,0,0,0,NATIONAL_AUTHORITY,2025-08-28
2021-07-20,RO,TRANSPORT,SMALL,PHISHING,WEB_APP,1,248.51,132781,0,79.48,209.53,31075849.88,MEDIUM,0,0,0,0,CSIRT_REPORTING,2024-05-24
2021-07-31,BG,DIGITAL_INFRA,MICRO,SUPPLY_CHAIN,VULNERABILITY,0,56.04,164171,0,50.32,245.31,11500715.81,LOW,0,0,1,0,SECTORAL_REGULATOR,2024-07-16
2021-08-11,FR,WASTE_WATER,LARGE,DATA_BREACH,RDP,0,138.95,67547,1,129.81,87.99,895914.33,CRITICAL,0,0,0,1,ENISA_PORTAL,2025-09-15
2021-08-22,LT,BANKING,MEDIUM,DDOS,CLOUD_MISCONFIG,0,62.25,226979,0,73.46,46.49,8266244.89,HIGH,1,0,1,0,INSURANCE_CLAIMS_DB,2024-01-14
2021-09-02,SK,ICT_SERVICE,SMALL,RANSOMWARE,EMAIL,1,309.55,9417,1,119.13,127.3,32116036.08,MEDIUM,1,0,1,0,NATIONAL_AUTHORITY,2024-02-20
2021-09-13,HR,FOOD,MICRO,INSIDER,THIRD_PARTY,0,194.31,71950,0,162.39,90.41,2097598.02,LOW,0,0,0,0,CSIRT_REPORTING,2026-02-15
2021-09-24,DE,FIN_MARKETS,LARGE,MALWARE,USB,0,106.44,21981,0,111.47,171.31,12739370.43,CRITICAL,1,1,1,0,SECTORAL_REGULATOR,2025-01-15
2021-10-05,LU,PUBLIC_ADMIN,MEDIUM,PHISHING,WEB_APP,0,27.6,186882,0,60.85,356.7,14401812.04,HIGH,0,0,0,0,ENISA_PORTAL,2025-08-04
2021-10-16,SI,CHEMICALS,SMALL,SUPPLY_CHAIN,VULNERABILITY,0,158.34,155776,0,62.35,320.54,9937145.41,MEDIUM,1,0,1,0,INSURANCE_CLAIMS_DB,2024-08-13
2021-10-27,CY,HEALTH,MICRO,DATA_BREACH,RDP,0,88.36,134835,1,117.11,239.84,10301663.42,LOW,0,0,0,0,NATIONAL_AUTHORITY,2025-06-07
2021-11-07,GR,SPACE,LARGE,DDOS,CLOUD_MISCONFIG,0,208.22,113828,0,123.76,193.57,4631908.19,CRITICAL,1,0,0,0,CSIRT_REPORTING,2025-08-10
2021-11-18,MT,ENERGY,MEDIUM,RANSOMWARE,EMAIL,1,162.04,141906,1,73.61,69.26,28291837.52,HIGH,0,0,0,0,SECTORAL_REGULATOR,2025-04-05
2021-11-29,ES,DRINKING_WATER,SMALL,INSIDER,THIRD_PARTY,0,42.64,38700,0,33.4,243.3,21215763.73,MEDIUM,0,0,1,0,ENISA_PORTAL,2025-06-15
2021-12-10,CZ,POSTAL,MICRO,MALWARE,USB,0,122.07,106688,0,32.46,62.49,2481740.18,LOW,0,0,1,0,INSURANCE_CLAIMS_DB,2025-01-15
2021-12-21,HU,TRANSPORT,LARGE,PHISHING,WEB_APP,0,162.57,182950,0,77.03,205.27,6504716.31,CRITICAL,1,0,0,0,NATIONAL_AUTHORITY,2025-04-25
2022-01-01,NL,DIGITAL_INFRA,MEDIUM,SUPPLY_CHAIN,VULNERABILITY,0,7.0,22492,0,110.99,76.24,6091101.07,HIGH,1,0,0,0,CSIRT_REPORTING,2024-09-10
2022-01-12,SE,WASTE_WATER,SMALL,DATA_BREACH,RDP,0,79.45,160734,1,2.57,109.28,6238315.53,MEDIUM,0,0,0,0,SECTORAL_REGULATOR,2024-06-17
2022-01-23,DK,BANKING,MICRO,DDOS,CLOUD_MISCONFIG,1,198.86,176162,1,100.15,231.13,5977174.49,LOW,0,0,1,0,ENISA_PORTAL,2024-02-02
2022-02-03,IE,ICT_SERVICE,LARGE,RANSOMWARE,EMAIL,1,325.78,202758,0,136.18,274.45,6986203.63,CRITICAL,1,0,1,0,INSURANCE_CLAIMS_DB,2024-04-22
2022-02-14,PL,FOOD,MEDIUM,INSIDER,THIRD_PARTY,0,46.59,98982,0,6.36,185.6,7948468.08,HIGH,1,0,0,0,NATIONAL_AUTHORITY,2024-02-22
