civ_leg_act_id,civ_leg_act_type_code,civ_leg_policy_area_code,civ_leg_proposal_date,civ_leg_adoption_date,civ_leg_entry_into_force_date,civ_leg_celex_number,civ_leg_legal_basis_tfeu_article,civ_leg_ordinary_legislative_procedure_flag,civ_leg_council_voting_rule_code,civ_leg_parliament_committee_code,civ_leg_trilogue_rounds_count,civ_leg_amendments_count,civ_leg_impact_assessment_published_flag,civ_leg_delegated_act_flag,civ_leg_implementing_act_flag,civ_leg_transposition_deadline_date,civ_leg_infringement_cases_count,civ_leg_eurlex_url_hash,civ_leg_data_extract_date
ACT_2022_0011,DECISION,FINANCE,2022-05-15,2023-07-05,2023-08-02,32022D0011,TFEU_114,0,UNANIMITY,ENVI,0,3823,1,0,0,,1,35ebc134f86cdb85c119ed4539e9,2025-08-21
ACT_2023_0012,RECOMMENDATION,SPACE,2023-08-08,2026-01-04,2026-02-25,32023D0012,TFEU_192,0,SIMPLE_MAJORITY,JURI,2,38,1,1,0,,25,278c6af8b3314682a2c9ab6a7cdc,2024-11-12
ACT_2024_0013,REGULATION,AGRICULTURE,2024-11-08,2026-02-25,2026-02-25,32024R0013,TFEU_153,1,QMV,IMCO,7,1827,0,0,0,,13,572faebd4663771ffe13cedd6d95,2024-04-25
ACT_2025_0014,DIRECTIVE,DIGITAL,2025-04-03,2026-02-25,2026-02-25,32025L0014,TFEU_207,1,UNANIMITY,TRAN,0,2687,1,0,0,2027-10-31,89,116f73529e673e1b481997f29a2e,2024-09-21
ACT_2012_0015,DECISION,MIGRATION,2012-04-02,2014-06-03,2014-09-20,32012D0015,TFEU_168,0,SIMPLE_MAJORITY,BUDG,0,2630,1,0,1,,55,29b8b5997cd4ede14883adf7a69b,2025-10-12
ACT_2013_0016,RECOMMENDATION,CLIMATE,2013-06-14,2015-08-12,2015-09-29,32013D0016,TFEU_91,0,QMV,ITRE,12,3977,0,0,0,,15,ac7896906bfdd4c4a2c26d1058de,2025-05-17
ACT_2014_0017,REGULATION,SECURITY,2014-10-06,2017-04-22,2017-06-10,32014R0017,TFEU_173,1,UNANIMITY,EMPL,3,2485,1,0,1,,19,e66defab28afcd94cae211537d91,2025-11-16
ACT_2015_0018,DIRECTIVE,ENERGY,2015-10-05,2016-10-01,2017-01-16,32015L0018,TFEU_77,0,SIMPLE_MAJORITY,LIBE,4,2791,1,0,0,2018-10-07,103,162db83934936e5b292e278c2ff7,2024-03-02
ACT_2016_0019,DECISION,CONSUMER,2016-10-10,2016-12-16,2017-02-13,32016D0019,TFEU_83,0,QMV,AGRI,5,1297,0,1,0,,63,c8768175a294c2aeb53b96bc20e1,2024-09-16
ACT_2017_0020,RECOMMENDATION,HEALTH,2017-07-09,2017-10-27,2017-12-12,32017D0020,TFEU_352,1,UNANIMITY,AFET,2,1296,0,0,0,,3,10eaa14217240a5f87b78511ebd4,2024-06-13
ACT_2018_0021,REGULATION,COMPETITION,2018-10-20,2019-01-31,2019-03-11,32018R0021,TFEU_114,0,SIMPLE_MAJORITY,ECON,11,1406,1,0,0,,3,3ba829bcb49df68dbf6a1653214c,2024-08-04
ACT_2019_0022,DIRECTIVE,TRANSPORT,2019-11-20,2021-09-15,2021-09-29,32019L0022,TFEU_192,1,QMV,CULT,4,705,1,0,0,2022-11-22,21,f8276f9275e66c287a76364e4023,2025-02-05
ACT_2020_0023,DECISION,DATA_GOV,2020-11-26,2021-12-31,2022-03-31,32020D0023,TFEU_153,0,UNANIMITY,ENVI,3,1204,1,0,0,,11,ba7a6067dfa51fedc1a7f60a22e5,2024-04-12
ACT_2021_0024,RECOMMENDATION,FINANCE,2021-08-23,2022-10-24,2022-12-09,32021D0024,TFEU_207,0,SIMPLE_MAJORITY,JURI,5,2523,1,0,0,,27,b372e5b8e34de5e3d59f663152f7,2025-06-19
ACT_2022_0025,REGULATION,SPACE,2022-09-03,2023-11-24,2024-02-04,32022R0025,TFEU_168,1,QMV,IMCO,9,2960,1,0,1,,21,5d0ab1eff0416458159c6309d1ef,2026-01-24
ACT_2023_0026,DIRECTIVE,AGRICULTURE,2023-08-14,2024-08-25,2024-11-27,32023L0026,TFEU_91,1,UNANIMITY,TRAN,1,2747,0,0,0,2026-08-16,56,f5e0ba52776122ffa746b2cf993a,2025-06-17
ACT_2024_0027,DECISION,DIGITAL,2024-12-05,2026-02-25,2026-02-25,32024D0027,TFEU_173,0,SIMPLE_MAJORITY,BUDG,4,2932,1,0,0,,79,ac9e3c64ed087b837f6691b9e709,2026-02-14
ACT_2025_0028,RECOMMENDATION,MIGRATION,2025-01-25,2025-04-10,2025-06-19,32025D0028,TFEU_77,0,QMV,ITRE,4,2325,0,0,1,,9,f2a7e72d3c6720bdfe68fc7aa54d,2024-01-04
ACT_2012_0029,REGULATION,CLIMATE,2012-10-08,2013-08-26,2013-09-09,32012R0029,TFEU_83,1,UNANIMITY,EMPL,9,1672,1,0,0,,11,4ee51baa68fb066914c4709a3eee,2025-12-12
ACT_2013_0030,DIRECTIVE,SECURITY,2013-05-17,2015-03-21,2015-05-24,32013L0030,TFEU_352,0,SIMPLE_MAJORITY,LIBE,9,2101,1,0,0,2017-11-22,45,07f29d9c2596a640a95fa4d93a90,2025-12-17
ACT_2014_0031,DECISION,ENERGY,2014-07-08,2015-01-23,2015-04-25,32014D0031,TFEU_114,0,QMV,AGRI,12,2154,1,0,0,,62,b194eb2c9e8709781f608ea9e31e,2025-07-08
ACT_2015_0032,RECOMMENDATION,CONSUMER,2015-08-01,2017-11-21,2017-12-22,32015D0032,TFEU_192,0,UNANIMITY,AFET,2,2036,0,0,1,,0,5c723a56303e95e124d284b25dbc,2025-02-07
ACT_2016_0033,REGULATION,HEALTH,2016-02-12,2017-08-05,2017-10-09,32016R0033,TFEU_153,1,SIMPLE_MAJORITY,ECON,9,2589,1,0,0,,30,0313f769ce1230baaa8c69ecc000,2026-02-23
ACT_2017_0034,DIRECTIVE,COMPETITION,2017-01-08,2019-01-04,2019-03-11,32017L0034,TFEU_207,1,QMV,CULT,8,1246,1,0,0,2020-09-28,41,7d618c6393d23688a71e5e1c8b93,2026-01-05
ACT_2018_0035,DECISION,TRANSPORT,2018-04-24,2020-01-14,2020-03-10,32018D0035,TFEU_168,0,UNANIMITY,ENVI,8,1385,1,0,0,,66,ccee4fe7de734110998c07c558ee,2025-07-10
ACT_2019_0036,RECOMMENDATION,DATA_GOV,2019-12-12,2020-06-14,2020-08-17,32019D0036,TFEU_91,0,SIMPLE_MAJORITY,JURI,6,2642,1,0,1,,2,9536dcd463a83b02832aa95c48f8,2024-11-04
ACT_2020_0037,REGULATION,FINANCE,2020-12-06,2021-02-25,2021-05-31,32020R0037,TFEU_173,0,QMV,IMCO,7,243,1,0,0,,16,e2667cd3ada4a32468d8a11ffa85,2025-12-08
ACT_2021_0038,DIRECTIVE,SPACE,2021-09-11,2023-05-08,2023-08-16,32021L0038,TFEU_77,1,UNANIMITY,TRAN,1,3665,1,0,0,2025-10-30,62,1e61c912b96ee75cbf23e5bbba35,2024-01-13
ACT_2022_0039,DECISION,AGRICULTURE,2022-10-19,2024-08-21,2024-09-19,32022D0039,TFEU_83,0,SIMPLE_MAJORITY,BUDG,9,2378,0,0,1,,105,ec0f32b7805a1fb2258c69b2304c,2024-04-02
ACT_2023_0040,RECOMMENDATION,DIGITAL,2023-06-23,2025-09-01,2025-11-23,32023D0040,TFEU_352,1,QMV,ITRE,1,3763,1,0,1,,19,1be0a2809be339c1ced757d43c6f,2025-04-17
ACT_2024_0041,REGULATION,MIGRATION,2024-03-02,2024-11-17,2025-01-16,32024R0041,TFEU_114,1,UNANIMITY,EMPL,8,3448,0,0,0,,23,9f701f71ab990f3a7c778da28145,2025-11-18
ACT_2025_0042,DIRECTIVE,CLIMATE,2025-04-15,2025-10-30,2026-01-25,32025L0042,TFEU_192,0,SIMPLE_MAJORITY,LIBE,0,3733,1,0,0,2028-09-04,43,8b60ab32d34f049ee291d8bcb4ff,2025-03-10
ACT_2012_0043,DECISION,SECURITY,2012-02-14,2013-03-29,2013-07-20,32012D0043,TFEU_153,0,QMV,AGRI,8,2211,1,1,0,,24,c3601176c57d29cf747215eef085,2025-02-12
ACT_2013_0044,RECOMMENDATION,ENERGY,2013-03-23,2014-08-18,2014-12-12,32013D0044,TFEU_207,1,UNANIMITY,AFET,0,2896,0,0,0,,8,77bf584639b0cbd8c74dafb7bd13,2026-01-01
ACT_2014_0045,REGULATION,CONSUMER,2014-04-03,2014-10-14,2014-12-12,32014R0045,TFEU_168,1,SIMPLE_MAJORITY,ECON,7,2365,1,0,0,,33,210cfb47de0066b6a5f0db1c3b7f,2025-11-14
ACT_2015_0046,DIRECTIVE,HEALTH,2015-09-22,2016-09-24,2017-01-14,32015L0046,TFEU_91,1,QMV,CULT,11,1979,0,1,1,2019-11-12,116,1c214a2d71bda34025140ef83cee,2024-08-20
ACT_2016_0047,DECISION,COMPETITION,2016-05-12,2016-12-16,2017-01-19,32016D0047,TFEU_173,0,UNANIMITY,ENVI,6,462,1,1,0,,25,6dd411cbb020d4c1ed2aa16a6141,2024-09-11
ACT_2017_0048,RECOMMENDATION,TRANSPORT,2017-04-12,2019-11-03,2020-02-17,32017D0048,TFEU_77,1,SIMPLE_MAJORITY,JURI,8,2301,1,0,0,,15,a73d64f1fe32dec952bc6bfae5c6,2024-11-07
ACT_2018_0049,REGULATION,DATA_GOV,2018-06-17,2018-09-24,2018-12-23,32018R0049,TFEU_83,1,QMV,IMCO,10,3036,0,0,0,,9,287ad594499c4783be6b946f61ee,2024-07-02
ACT_2019_0050,DIRECTIVE,FINANCE,2019-10-21,2020-08-19,2020-10-05,32019L0050,TFEU_352,1,UNANIMITY,TRAN,2,3490,1,0,1,2022-12-25,88,f9ef717b8d370190bea497cb33fa,2024-09-28
ACT_2020_0051,DECISION,SPACE,2020-06-18,2022-04-14,2022-05-20,32020D0051,TFEU_114,0,SIMPLE_MAJORITY,BUDG,8,192,0,0,0,,114,2384e3327307b45a372873a67f61,2025-11-22
ACT_2021_0052,RECOMMENDATION,AGRICULTURE,2021-06-02,2022-02-15,2022-06-06,32021D0052,TFEU_192,1,QMV,ITRE,0,678,1,0,0,,24,5e908451f2d66279625e43217bd5,2025-06-03
ACT_2022_0053,REGULATION,DIGITAL,2022-02-02,2022-11-14,2023-01-16,32022R0053,TFEU_153,1,UNANIMITY,EMPL,7,397,1,0,0,,15,983081341f8974c5f2774e753fbb,2024-03-14
ACT_2023_0054,DIRECTIVE,MIGRATION,2023-06-08,2025-06-17,2025-07-20,32023L0054,TFEU_207,1,SIMPLE_MAJORITY,LIBE,0,4119,1,0,0,2026-10-02,14,e511ecb511ea5c07084e9ed22276,2024-02-16
ACT_2024_0055,DECISION,CLIMATE,2024-04-22,2025-10-29,2025-12-28,32024D0055,TFEU_168,0,QMV,AGRI,3,3230,1,0,1,,117,7c89b9942daf5e16070afdcf7e3b,2024-12-22
ACT_2025_0056,RECOMMENDATION,SECURITY,2025-01-11,2026-02-25,2026-02-25,32025D0056,TFEU_91,0,UNANIMITY,AFET,3,1614,1,0,1,,10,b48c3333bb36a028690509bf553e,2025-02-26
ACT_2012_0057,REGULATION,ENERGY,2012-10-02,2014-04-06,2014-05-04,32012R0057,TFEU_173,1,SIMPLE_MAJORITY,ECON,10,2556,0,0,0,,14,9eb5837535034839b1b3588b4d23,2024-05-17
ACT_2013_0058,DIRECTIVE,CONSUMER,2013-05-16,2015-01-19,2015-03-31,32013L0058,TFEU_77,0,QMV,CULT,12,2174,0,0,0,2018-01-13,74,40451aa3b97dd866fb2598713802,2024-08-04
ACT_2014_0059,DECISION,HEALTH,2014-09-13,2016-03-06,2016-05-08,32014D0059,TFEU_83,0,UNANIMITY,ENVI,7,1636,1,1,0,,106,e936dce01e32b3df8791aa0d470f,2025-09-23
ACT_2015_0060,RECOMMENDATION,COMPETITION,2015-10-14,2016-11-25,2017-01-21,32015D0060,TFEU_352,0,SIMPLE_MAJORITY,JURI,7,3964,1,0,0,,1,df88edd3e881b2a4a7b223ac919c,2025-09-24
ACT_2016_0061,REGULATION,TRANSPORT,2016-06-04,2018-12-09,2019-02-17,32016R0061,TFEU_114,0,QMV,IMCO,8,2669,1,0,0,,16,8c45360587289e9590fc6baa565d,2026-02-19
ACT_2017_0062,DIRECTIVE,DATA_GOV,2017-03-23,2017-09-15,2017-10-20,32017L0062,TFEU_192,1,UNANIMITY,TRAN,9,2044,0,0,0,2020-06-17,29,584142b7b8225b38692c565afe06,2024-11-01
ACT_2018_0063,DECISION,FINANCE,2018-03-20,2019-11-13,2020-02-17,32018D0063,TFEU_153,0,SIMPLE_MAJORITY,BUDG,3,3172,1,0,0,,116,34873248b4b8925c5c8844fdf8cd,2025-04-08
ACT_2019_0064,RECOMMENDATION,SPACE,2019-05-10,2021-06-17,2021-08-10,32019D0064,TFEU_207,0,QMV,ITRE,10,1440,1,0,0,,24,1253311c0c047471e342da03875c,2025-08-05
ACT_2020_0065,REGULATION,AGRICULTURE,2020-09-03,2021-11-26,2021-12-11,32020R0065,TFEU_168,1,UNANIMITY,EMPL,11,2830,1,1,1,,6,3f1a95566a57e440994f3b376b2d,2024-03-22
ACT_2021_0066,DIRECTIVE,DIGITAL,2021-06-28,2023-10-18,2023-11-17,32021L0066,TFEU_91,0,SIMPLE_MAJORITY,LIBE,5,1636,1,0,1,2026-06-03,80,4d8abb91599ed28595affec1730a,2024-09-02
ACT_2022_0067,DECISION,MIGRATION,2022-04-27,2024-07-20,2024-08-29,32022D0067,TFEU_173,0,QMV,AGRI,0,3753,0,0,0,,75,999db7af494a7b502b7db5425219,2024-10-12
ACT_2023_0068,RECOMMENDATION,CLIMATE,2023-07-04,2025-08-11,2025-11-19,32023D0068,TFEU_77,0,UNANIMITY,AFET,0,2483,0,0,0,,7,42f58d238e3cdb3e519724bfc04a,2025-02-11
ACT_2024_0069,REGULATION,SECURITY,2024-09-06,2025-04-02,2025-04-19,32024R0069,TFEU_83,0,SIMPLE_MAJORITY,ECON,4,2667,0,0,0,,15,52fd3adf8754541381f30031b5e0,2025-01-01
ACT_2025_0070,DIRECTIVE,ENERGY,2025-02-22,2026-02-25,2026-02-25,32025L0070,TFEU_352,1,QMV,CULT,1,692,1,1,0,2028-11-30,89,d004eba4452bd774ecb5b73a9d05,2024-08-21
ACT_2012_0071,DECISION,CONSUMER,2012-11-11,2014-10-24,2014-11-23,32012D0071,TFEU_114,0,UNANIMITY,ENVI,2,694,1,1,1,,18,faf868f44f8df431e07feb0bdce7,2024-11-04
ACT_2013_0072,RECOMMENDATION,HEALTH,2013-02-02,2013-12-07,2014-03-19,32013D0072,TFEU_192,0,SIMPLE_MAJORITY,JURI,0,248,1,0,0,,31,58e9a7cc1d607b57e3a7435e2ac4,2026-02-14
ACT_2014_0073,REGULATION,COMPETITION,2014-01-26,2014-06-22,2014-10-06,32014R0073,TFEU_153,0,QMV,IMCO,2,1907,0,0,0,,11,8b99bec403440be38e07b1458b3d,2025-08-12
ACT_2015_0074,DIRECTIVE,TRANSPORT,2015-03-15,2016-04-26,2016-07-09,32015L0074,TFEU_207,1,UNANIMITY,TRAN,10,1986,1,0,0,2017-12-03,83,7e55cdc7aca4ff7ee4a1d1c11f9c,2026-01-19
ACT_2016_0075,DECISION,DATA_GOV,2016-07-24,2018-11-07,2019-02-21,32016D0075,TFEU_168,0,SIMPLE_MAJORITY,BUDG,2,2035,0,0,0,,90,0a29587c09111439d5ab2c588394,2024-11-02
ACT_2017_0076,RECOMMENDATION,FINANCE,2017-03-26,2018-06-03,2018-08-12,32017D0076,TFEU_91,0,QMV,ITRE,11,630,1,0,1,,30,d5fa42370f2b8f690bb2374422b3,2024-11-24
ACT_2018_0077,REGULATION,SPACE,2018-03-24,2019-09-09,2019-10-01,32018R0077,TFEU_173,0,UNANIMITY,EMPL,0,465,0,1,1,,35,7dd066a08fadf67803e21332a6bc,2025-02-22
ACT_2019_0078,DIRECTIVE,AGRICULTURE,2019-10-08,2020-12-18,2021-03-13,32019L0078,TFEU_77,1,SIMPLE_MAJORITY,LIBE,2,3901,1,0,0,2023-09-27,11,513d7a412625e8e3d43077fb431f,2025-10-10
ACT_2020_0079,DECISION,DIGITAL,2020-12-10,2023-02-14,2023-04-30,32020D0079,TFEU_83,0,QMV,AGRI,7,247,1,0,0,,86,194cc366aeac70bda3808bf4f6be,2024-08-03
ACT_2021_0080,RECOMMENDATION,MIGRATION,2021-10-06,2022-10-01,2022-12-09,32021D0080,TFEU_352,0,UNANIMITY,AFET,0,2106,0,0,0,,35,b4a485506792c68241fee1a14d3c,2024-02-08
ACT_2022_0081,REGULATION,CLIMATE,2022-03-06,2023-03-24,2023-07-07,32022R0081,TFEU_114,1,SIMPLE_MAJORITY,ECON,9,357,1,0,0,,32,7c26e3cb6d6deb8c5a9bfa10b78c,2025-03-02
ACT_2023_0082,DIRECTIVE,SECURITY,2023-02-27,2025-02-23,2025-03-31,32023L0082,TFEU_192,1,QMV,CULT,5,2561,1,0,1,2026-07-18,117,064503a3ccaf79f003f398b9cdf3,2025-02-17
ACT_2024_0083,DECISION,ENERGY,2024-03-14,2025-10-13,2025-12-22,32024D0083,TFEU_153,0,UNANIMITY,ENVI,2,1431,1,0,0,,84,a95a15e761aa202274a5e1c7ecc4,2025-10-14
ACT_2025_0084,RECOMMENDATION,CONSUMER,2025-08-12,2026-02-25,2026-02-25,32025D0084,TFEU_207,0,SIMPLE_MAJORITY,JURI,1,134,1,0,0,,30,cb1a2d2f6db2573ccbcc61c8c208,2024-02-12
ACT_2012_0085,REGULATION,HEALTH,2012-04-24,2014-10-14,2014-11-29,32012R0085,TFEU_168,1,QMV,IMCO,3,3084,1,0,0,,6,a369fab092fa8531c8e1b46b9a60,2024-06-04
ACT_2013_0086,DIRECTIVE,COMPETITION,2013-07-03,2014-12-08,2015-03-22,32013L0086,TFEU_91,1,UNANIMITY,TRAN,6,4078,0,0,0,2017-02-09,56,aa445eac345b8022c668e0f91c16,2025-12-29
ACT_2014_0087,DECISION,TRANSPORT,2014-07-02,2015-01-12,2015-04-01,32014D0087,TFEU_173,0,SIMPLE_MAJORITY,BUDG,1,1636,0,0,0,,103,14ee32da48ee6fc3edee1c18c32e,2024-09-14
ACT_2015_0088,RECOMMENDATION,DATA_GOV,2015-05-07,2015-07-31,2015-11-11,32015D0088,TFEU_77,0,QMV,ITRE,8,2072,1,0,0,,27,35585ed8b3edf7541168dc6c22dd,2026-01-28
ACT_2016_0089,REGULATION,FINANCE,2016-10-15,2019-03-18,2019-04-26,32016R0089,TFEU_83,1,UNANIMITY,EMPL,8,2608,1,0,0,,17,65cfcf7aaf0fd118caaa73662ccb,2025-12-12
ACT_2017_0090,DIRECTIVE,SPACE,2017-08-07,2019-07-07,2019-11-02,32017L0090,TFEU_352,1,SIMPLE_MAJORITY,LIBE,12,3230,0,0,0,2022-11-01,49,3f0231a69afbc5c2efd185bc566d,2024-02-06
ACT_2018_0091,DECISION,AGRICULTURE,2018-01-16,2018-05-12,2018-07-06,32018D0091,TFEU_114,0,QMV,AGRI,4,3970,1,1,1,,12,f79081b67daff56a0360cc374595,2025-07-11
ACT_2019_0092,RECOMMENDATION,DIGITAL,2019-01-27,2021-02-26,2021-05-09,32019D0092,TFEU_192,0,UNANIMITY,AFET,1,4157,1,0,0,,25,4b504906dfe18f62ad222693de91,2025-06-21
ACT_2020_0093,REGULATION,MIGRATION,2020-12-27,2021-07-11,2021-10-05,32020R0093,TFEU_153,1,SIMPLE_MAJORITY,ECON,0,2999,1,0,0,,34,eb7f9bcb6bae7feec23ed3270e78,2025-12-30
ACT_2021_0094,DIRECTIVE,CLIMATE,2021-12-08,2023-02-15,2023-04-05,32021L0094,TFEU_207,1,QMV,CULT,6,2734,1,0,0,2024-08-25,80,e494c82885366a55800e0a60d26d,2024-06-13
ACT_2022_0095,DECISION,SECURITY,2022-10-16,2025-04-10,2025-07-29,32022D0095,TFEU_168,0,UNANIMITY,ENVI,1,3873,0,1,0,,95,462ca2ca757e3a52b6bcc054657e,2025-03-10
ACT_2023_0096,RECOMMENDATION,ENERGY,2023-11-11,2025-06-01,2025-07-21,32023D0096,TFEU_91,0,SIMPLE_MAJORITY,JURI,9,2611,0,0,0,,23,34228cb82ae5e0d658c01f479b92,2024-12-02
ACT_2024_0097,REGULATION,CONSUMER,2024-12-15,2026-02-25,2026-02-25,32024R0097,TFEU_173,1,QMV,IMCO,7,277,1,0,0,,2,bd8fbb72c4d2afa73f9d2ffde051,2024-10-17
ACT_2025_0098,DIRECTIVE,HEALTH,2025-01-28,2026-02-25,2026-02-25,32025L0098,TFEU_77,0,UNANIMITY,TRAN,5,3996,1,1,0,2029-01-03,35,3158b3c7c177fd777c560681b300,2024-01-06
ACT_2012_0099,DECISION,COMPETITION,2012-01-24,2014-06-15,2014-07-05,32012D0099,TFEU_83,1,SIMPLE_MAJORITY,BUDG,3,456,1,0,0,,90,1d73ba283e6675c8855746eff466,2025-04-30
ACT_2013_0100,RECOMMENDATION,TRANSPORT,2013-10-20,2016-04-20,2016-06-15,32013D0100,TFEU_352,0,QMV,ITRE,6,935,1,0,0,,35,dc174c4603572b90d085f048a82b,2025-07-31
ACT_2014_0101,REGULATION,DATA_GOV,2014-10-03,2014-12-04,2015-03-27,32014R0101,TFEU_114,1,UNANIMITY,EMPL,0,1099,0,0,1,,21,9a0bf4d9fd9ec1f20911c5eefeef,2025-05-04
ACT_2015_0102,DIRECTIVE,FINANCE,2015-05-24,2016-03-30,2016-06-22,32015L0102,TFEU_192,1,SIMPLE_MAJORITY,LIBE,7,2900,1,0,0,2019-05-09,20,f3e7e8923b9a748f4d6a080f6142,2025-11-19
ACT_2016_0103,DECISION,SPACE,2016-04-16,2018-05-04,2018-08-07,32016D0103,TFEU_153,0,QMV,AGRI,4,1641,1,0,1,,4,3ac85aa6a8fba63372b35c9677ae,2024-02-09
ACT_2017_0104,RECOMMENDATION,AGRICULTURE,2017-08-25,2018-03-10,2018-05-09,32017D0104,TFEU_207,1,UNANIMITY,AFET,7,812,1,0,0,,1,bcc13f4d0f892a39c9e76677584c,2024-02-05
ACT_2018_0105,REGULATION,DIGITAL,2018-04-09,2019-03-19,2019-06-27,32018R0105,TFEU_168,1,SIMPLE_MAJORITY,ECON,10,1861,1,1,1,,31,3a56ba1406514eb353d712758b9a,2024-07-26
ACT_2019_0106,DIRECTIVE,MIGRATION,2019-08-27,2022-02-24,2022-05-12,32019L0106,TFEU_91,1,QMV,CULT,9,3709,1,0,0,2023-09-15,111,ae401f546554b2ca5079d0e63bd9,2024-11-23
ACT_2020_0107,DECISION,CLIMATE,2020-06-18,2021-04-08,2021-06-24,32020D0107,TFEU_173,1,UNANIMITY,ENVI,10,1658,1,0,0,,23,61e3eb9f3e80207555e6920e42dd,2024-10-21
ACT_2021_0108,RECOMMENDATION,SECURITY,2021-03-26,2021-06-09,2021-06-19,32021D0108,TFEU_77,0,SIMPLE_MAJORITY,JURI,4,1587,1,0,1,,12,25a330d5d79b5045d01f9adac9d9,2024-12-04
ACT_2022_0109,REGULATION,ENERGY,2022-09-15,2023-02-01,2023-02-21,32022R0109,TFEU_83,1,QMV,IMCO,12,2620,1,0,0,,10,f04ce3e38c85ca51e2409da35388,2025-11-02
ACT_2023_0110,DIRECTIVE,CONSUMER,2023-02-09,2025-01-01,2025-03-13,32023L0110,TFEU_352,1,UNANIMITY,TRAN,4,2510,0,0,1,2026-10-21,116,48017082b1ec61de26b65e24b77d,2025-02-16
ACT_2024_0111,DECISION,HEALTH,2024-06-09,2026-02-25,2026-02-25,32024D0111,TFEU_114,0,SIMPLE_MAJORITY,BUDG,9,881,1,0,0,,73,9de63043cabaaa97086cd20fd5c6,2025-12-01
ACT_2025_0112,RECOMMENDATION,COMPETITION,2025-01-22,2026-02-25,2026-02-25,32025D0112,TFEU_192,1,QMV,ITRE,5,3948,1,1,0,,28,f8760a1f123b855e4c9f030f7a25,2024-05-13
ACT_2012_0113,REGULATION,TRANSPORT,2012-03-13,2013-11-11,2014-01-26,32012R0113,TFEU_153,1,UNANIMITY,EMPL,6,3686,1,0,0,,31,c76d283344c70b1458e43237d0ac,2024-08-05
ACT_2013_0114,DIRECTIVE,DATA_GOV,2013-12-21,2014-07-15,2014-08-31,32013L0114,TFEU_207,1,SIMPLE_MAJORITY,LIBE,11,571,1,0,0,2017-01-10,73,c24b85a0e75a427b49ed337ae57a,2024-05-09
ACT_2014_0115,DECISION,FINANCE,2014-02-23,2016-02-10,2016-04-04,32014D0115,TFEU_168,0,QMV,AGRI,3,543,0,0,0,,43,99d9110047f12ddfc2e72b9b1c12,2025-05-02
ACT_2015_0116,RECOMMENDATION,SPACE,2015-01-20,2016-12-29,2017-01-27,32015D0116,TFEU_91,0,UNANIMITY,AFET,6,3435,1,0,0,,23,aa79603c1f6b63456d8ee91a59ef,2025-11-16
