trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_km_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_km_traveled,trans_transit_farebox_revenue_inr,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2023-08-26,IN-DELHI-DTC,R2686,BRT,390,382,74.03,13.51,78601,77637,0.971,2408.5,138.04,2076.4,1538063,2.93,1,60.45,4.39,3
2023-05-09,IN-HYD-TSRTC,R0781,METRO,53,36,83.23,6.18,72752,71403,1.039,211.2,14.94,194.3,735879,3.03,30,86.94,2.36,6
2021-08-14,IN-MUMBAI-MMRDA,R3420,FERRY,379,357,74.5,9.77,68284,64634,1.056,4450.2,344.55,3904.8,1586109,6.84,38,89.57,2.81,2
2025-02-10,IN-BLR-BMTC,R6254,TRAM,280,256,80.9,10.99,200254,193207,0.792,2971.1,112.29,2860.6,2203428,3.68,119,71.74,1.43,4
2023-11-23,IN-KOL-CTC,R2059,METRO,373,372,73.95,4.82,557293,565262,1.835,5545.2,231.08,5167.1,9279032,2.26,202,65.78,4.5,16
2022-03-04,IN-HYD-TSRTC,R7312,BRT,340,322,94.56,12.08,83901,85559,1.222,6286.3,248.64,6145.8,1354896,3.18,108,62.48,3.7,3
2024-03-18,IN-CHN-MTC,R9315,SUBURBAN_RAIL,94,75,75.57,13.93,73348,71249,0.748,1510.2,69.64,1437.2,1053338,0.0,81,92.84,2.36,2
2022-10-26,IN-MUMBAI-MMRDA,R2370,SUBURBAN_RAIL,251,235,76.02,21.56,180245,166334,1.11,1962.7,101.82,1803.6,2111115,3.05,231,77.85,1.97,6
2019-12-22,IN-MUMBAI-MMRDA,R4622,SUBURBAN_RAIL,372,351,85.9,12.96,51137,47323,1.009,8928.4,406.04,8618.7,555631,2.13,237,79.41,6.35,4
2024-10-03,IN-AHM-AMTS,R6173,BUS,331,323,84.37,10.79,151439,142475,0.791,7587.6,353.03,6852.4,3617721,2.33,247,80.6,3.42,5
2019-09-15,IN-BLR-BMTC,R1069,BRT,334,317,93.94,17.76,233865,236652,1.059,6022.3,335.89,5771.0,4851438,3.17,115,83.1,0.0,14
2023-10-25,IN-DELHI-DMRC,R1223,TRAM,195,180,86.51,12.72,104231,97408,0.795,3924.7,279.81,3786.1,1935201,4.05,94,76.21,4.37,5
2022-07-09,IN-DELHI-DTC,R6426,TRAM,129,124,91.84,8.47,47028,43682,1.154,2206.9,105.48,1925.9,676541,3.38,107,61.15,3.04,4
2024-02-13,IN-PUNE-PMPML,R6831,SUBURBAN_RAIL,268,256,77.79,14.34,336230,313311,1.356,6535.9,250.15,5621.5,7999260,2.22,136,65.32,4.79,7
2022-11-03,IN-DELHI-DMRC,R0036,TRAM,405,383,65.73,18.29,78755,72477,1.233,10693.2,387.4,9921.7,1604848,3.51,59,72.7,3.14,4
2020-08-09,IN-HYD-TSRTC,R3970,METRO,129,120,74.11,18.02,50298,51355,1.429,2306.2,88.22,2242.6,937758,1.74,143,80.11,1.9,3
2021-04-19,IN-MUMBAI-BEST,R0439,METRO,162,158,83.62,11.09,282198,278231,1.013,796.7,35.12,747.0,3066017,2.21,173,60.05,4.79,5
2025-02-27,IN-MUMBAI-BEST,R6167,SUBURBAN_RAIL,111,98,92.36,18.93,101499,96735,1.052,775.9,39.17,752.7,1316688,2.65,5,71.06,3.34,2
2020-03-12,IN-CHN-MTC,R6127,SUBURBAN_RAIL,133,119,61.82,2.0,59783,57102,0.455,2670.4,177.08,2382.5,1000543,2.63,47,79.88,4.04,2
2021-10-09,IN-AHM-AMTS,R6128,SUBURBAN_RAIL,358,344,69.25,2.02,125267,118819,1.106,1764.7,71.28,1663.2,1708369,4.28,248,81.29,6.52,4
2020-07-26,IN-BLR-BMTC,R4996,SUBURBAN_RAIL,209,204,83.81,2.74,245814,245895,0.671,4192.0,154.82,4001.6,4611010,2.3,112,59.03,5.06,18
2019-02-23,IN-AHM-AMTS,R3366,FERRY,359,350,72.32,10.94,17532,16871,1.342,2256.5,124.23,2104.8,163778,1.75,40,66.93,4.61,3
2019-01-23,IN-PUNE-PMPML,R4651,TRAM,354,331,85.59,20.65,196335,184210,0.931,5762.7,329.29,5627.2,2807498,2.44,215,70.6,1.46,9
2020-01-28,IN-PUNE-PMPML,R1611,BRT,139,134,78.41,7.8,63342,62370,1.656,2671.0,177.93,2478.4,1240376,4.6,76,57.82,5.62,3
2019-01-31,IN-DELHI-DTC,R7428,FERRY,294,282,66.78,5.15,55234,55875,0.969,3674.7,180.42,3420.5,1165635,2.8,257,73.51,5.38,2
2022-03-04,IN-DELHI-DMRC,R2330,BUS,369,363,85.58,17.02,73103,75288,0.968,5824.7,253.63,5156.1,1473253,0.0,95,76.0,3.89,3
2025-07-30,IN-HYD-TSRTC,R2854,FERRY,367,356,70.62,14.7,83300,76950,1.314,8716.8,483.89,7730.9,1591087,3.69,89,78.21,1.64,4
2022-12-14,IN-AHM-AMTS,R7826,METRO,63,57,82.13,11.12,33102,33997,0.746,940.5,66.62,850.7,478855,4.89,225,71.8,6.87,3
2024-06-03,IN-BLR-BMTC,R2116,SUBURBAN_RAIL,50,31,78.46,10.16,16659,15390,0.797,747.5,46.18,726.0,215792,0.72,219,62.48,3.16,1
2024-02-15,IN-PUNE-PMPML,R8151,TRAM,81,69,78.55,8.63,52790,52787,0.859,1072.7,39.78,928.5,861709,0.0,120,78.48,1.53,2
2023-12-11,IN-MUMBAI-BEST,R9397,BUS,99,98,73.07,17.87,26235,26346,0.757,2011.6,77.68,1749.8,226441,3.03,20,66.56,3.17,2
2021-07-18,IN-KOL-CTC,R2718,TRAM,100,76,83.79,16.22,58165,54590,1.4,1366.1,53.11,1205.9,871314,0.0,25,81.36,4.19,4
2021-12-10,IN-DELHI-DTC,R3175,SUBURBAN_RAIL,113,93,82.49,18.6,65479,64597,1.266,1553.4,55.99,1371.4,1127573,1.37,178,66.92,4.03,4
2019-12-23,IN-DELHI-DTC,R3455,BUS,165,151,91.81,7.77,61604,62719,1.262,2627.9,156.28,2482.9,494276,1.75,184,72.6,1.9,3
2024-08-27,IN-BLR-BMTC,R4153,BUS,130,113,78.44,7.91,57507,58999,1.167,2646.7,190.18,2380.0,1167742,4.64,139,81.59,3.6,2
2021-09-20,IN-BLR-BMTC,R8758,METRO,265,261,94.47,4.25,193490,181524,1.584,6535.4,344.5,5732.5,1850093,3.29,138,76.35,2.73,7
2021-03-15,IN-AHM-AMTS,R4676,TRAM,329,321,89.01,14.86,223284,209914,0.613,3717.9,153.67,3256.1,3104461,3.17,119,50.96,4.54,6
2021-10-11,IN-DELHI-DMRC,R5237,SUBURBAN_RAIL,214,197,71.02,5.64,287458,271052,0.804,4027.8,202.56,3971.8,5814701,0.0,131,96.86,5.89,17
2022-05-23,IN-DELHI-DTC,R4020,BRT,279,258,89.34,13.03,72210,66681,0.86,4816.5,182.7,4124.3,1407221,1.03,38,82.91,3.81,4
2021-04-13,IN-MUMBAI-MMRDA,R6491,SUBURBAN_RAIL,49,36,80.99,20.29,49480,50429,0.915,222.2,12.39,208.8,1061479,0.32,86,70.89,2.3,3
2023-08-11,IN-CHN-MTC,R5187,BRT,327,321,77.2,12.57,203359,207293,1.072,3755.6,171.44,3304.2,2867715,3.65,40,86.91,4.23,10
2021-05-29,IN-KOL-CTC,R3235,FERRY,105,84,84.73,9.87,18005,17334,1.011,1019.2,39.02,880.1,306068,3.4,220,84.38,4.94,2
2025-05-21,IN-DELHI-DTC,R5244,FERRY,76,58,91.0,21.57,13184,12227,1.202,710.5,55.93,608.0,290951,1.28,123,74.4,2.08,3
2020-10-08,IN-MUMBAI-MMRDA,R8189,TRAM,97,90,91.23,13.17,19163,18908,1.542,1420.4,74.95,1214.7,305970,2.63,41,81.05,2.81,2
2022-01-03,IN-BLR-BMTC,R6330,FERRY,85,72,76.42,4.27,13835,13652,1.012,1509.3,56.83,1337.1,298088,2.19,92,73.1,1.58,3
2019-09-24,IN-PUNE-PMPML,R7828,FERRY,81,61,82.81,22.84,18805,19075,0.94,477.7,21.05,449.3,270324,2.5,201,51.49,2.53,1
2023-05-13,IN-BLR-BMTC,R7820,METRO,226,203,83.25,13.5,67612,62775,1.046,2430.6,94.62,2292.2,1067844,1.85,156,82.8,2.89,4
2025-05-26,IN-DELHI-DTC,R9324,BRT,362,360,76.09,18.11,94299,95334,0.831,2324.4,179.37,2300.6,1589774,1.51,101,91.83,1.51,4
2020-12-28,IN-DELHI-DTC,R4307,SUBURBAN_RAIL,73,68,76.69,12.36,14110,13074,0.869,900.4,52.56,879.0,278862,3.35,172,89.95,3.96,2
2024-07-27,IN-BLR-BMTC,R3280,SUBURBAN_RAIL,388,370,87.76,5.8,66731,67941,0.692,3839.6,309.37,3651.9,1452506,4.81,161,74.67,1.86,3
2019-07-21,IN-DELHI-DTC,R5586,BUS,25,24,80.22,2.0,10388,10174,0.73,448.4,32.44,412.2,170331,1.74,149,72.18,3.66,3
2024-04-05,IN-HYD-TSRTC,R5839,BRT,107,89,99.9,2.87,7547,7064,0.85,2119.1,159.08,1939.6,69417,2.33,22,71.12,3.33,1
2019-09-22,IN-KOL-CTC,R9437,METRO,202,184,81.17,30.5,28282,29009,0.609,1594.6,62.75,1410.1,370555,3.06,108,59.48,3.18,2
2025-07-08,IN-CHN-MTC,R6373,BUS,173,150,86.54,18.06,136180,133413,0.665,2987.0,181.01,2954.7,3192405,2.43,62,67.6,0.0,4
2025-03-08,IN-PUNE-PMPML,R1791,BUS,229,208,86.33,26.28,162438,166865,0.52,4276.0,180.44,3747.1,1918318,4.37,215,67.94,0.93,9
2023-06-16,IN-DELHI-DTC,R0880,TRAM,121,106,81.6,14.23,37575,36783,1.539,1217.4,91.94,1078.4,718264,2.17,168,84.65,2.77,2
2025-08-20,IN-BLR-BMTC,R4323,METRO,346,328,65.55,17.34,128999,132105,0.55,9008.8,431.26,7812.3,2285260,2.53,208,64.65,5.52,4
2023-11-16,IN-AHM-AMTS,R9296,BRT,25,16,70.6,9.34,15066,14528,0.479,296.6,12.45,269.8,356762,1.75,111,87.02,1.65,2
2023-02-15,IN-PUNE-PMPML,R1663,BUS,292,276,69.21,15.26,126458,128664,0.564,5527.1,232.27,5078.0,2222685,2.38,89,68.67,1.71,5
2025-08-07,IN-KOL-CTC,R1903,SUBURBAN_RAIL,398,383,75.58,19.12,362685,352880,1.047,8750.6,401.37,7978.9,5290123,3.51,89,53.36,3.64,10
2021-08-05,IN-HYD-TSRTC,R4926,SUBURBAN_RAIL,195,181,75.25,12.86,135622,138957,0.919,4720.7,341.54,4308.5,3060971,0.58,18,88.11,2.04,3
2023-04-16,IN-BLR-BMTC,R0747,TRAM,237,219,75.51,7.75,102557,100586,0.793,1532.3,96.76,1499.7,2022561,0.98,158,75.82,4.57,2
2021-04-08,IN-DELHI-DTC,R6522,TRAM,215,214,92.56,16.76,102326,99669,1.113,5047.0,325.65,4902.4,2173288,0.65,86,75.43,0.87,4
2025-09-22,IN-BLR-BMTC,R6269,TRAM,243,229,87.74,25.0,127078,122232,0.459,5834.9,374.7,5053.2,2440880,4.19,148,67.49,0.0,4
2020-09-29,IN-KOL-CTC,R3636,BUS,190,176,92.86,9.05,109290,104657,0.586,4402.9,198.31,4125.9,2137601,1.75,29,59.05,3.41,3
2024-06-03,IN-BLR-BMTC,R9164,FERRY,231,211,81.17,6.34,11144,10600,1.255,1456.7,62.72,1311.6,114227,4.67,152,86.9,3.76,2
2022-06-22,IN-KOL-CTC,R7788,FERRY,103,102,73.5,7.5,13636,12950,1.11,1228.7,57.21,1191.7,196251,3.54,58,100.0,1.4,2
2023-03-12,IN-AHM-AMTS,R7191,BUS,106,106,84.99,17.67,77411,72805,0.731,1362.9,71.85,1222.8,1583262,1.06,242,83.47,4.92,3
2024-03-20,IN-DELHI-DTC,R3295,SUBURBAN_RAIL,36,20,90.97,14.4,12449,11795,0.778,387.5,16.3,358.1,278113,1.23,221,89.33,4.09,3
2023-01-09,IN-DELHI-DMRC,R7470,BUS,300,297,80.11,22.25,231718,222419,0.121,2478.0,116.4,2275.2,2395199,3.56,75,85.76,4.14,5
2023-10-24,IN-AHM-AMTS,R4730,FERRY,31,8,91.69,7.07,1845,1718,0.598,205.2,8.92,199.7,43335,6.56,187,61.11,7.25,2
2021-11-19,IN-MUMBAI-BEST,R3398,TRAM,163,141,83.3,19.31,42509,42854,0.524,1279.9,95.66,1253.5,978127,1.78,153,88.58,5.57,1
2025-10-01,IN-DELHI-DMRC,R1657,SUBURBAN_RAIL,154,150,81.67,12.94,27800,26853,0.755,1429.3,64.65,1344.1,575373,2.77,30,68.6,2.53,3
2022-05-02,IN-MUMBAI-BEST,R6322,SUBURBAN_RAIL,148,143,83.18,16.25,96443,98096,1.259,2269.6,106.28,2009.8,1585927,4.46,230,82.26,6.99,4
2022-11-21,IN-MUMBAI-BEST,R5896,BRT,217,205,90.18,15.18,36734,35951,1.151,5434.3,382.19,5294.7,653957,3.38,22,93.17,0.81,3
2023-11-23,IN-PUNE-PMPML,R0545,TRAM,209,199,76.7,2.0,66578,66675,1.196,2178.4,137.97,1906.6,1153489,0.86,238,81.71,0.88,2
2019-11-22,IN-PUNE-PMPML,R8842,METRO,207,201,79.39,19.96,193262,197189,0.731,2611.0,114.01,2544.7,3548968,5.9,87,80.5,3.34,13
2022-06-23,IN-KOL-CTC,R7067,BUS,356,338,93.05,7.42,22306,22896,1.186,7134.0,364.0,6679.1,494084,0.66,142,85.9,3.76,2
2021-11-01,IN-MUMBAI-MMRDA,R1170,TRAM,251,246,75.17,19.92,54404,52277,0.801,2287.4,117.27,2207.1,1190107,4.83,32,81.42,0.88,4
2019-10-14,IN-MUMBAI-MMRDA,R5804,FERRY,54,46,68.14,4.65,7048,7080,1.269,901.2,45.57,875.3,97840,1.28,52,89.9,5.55,3
2025-03-13,IN-AHM-AMTS,R6224,SUBURBAN_RAIL,290,277,74.07,10.08,391592,386667,0.528,3497.7,145.81,3251.9,5833402,4.23,201,55.75,0.87,16
2019-02-11,IN-PUNE-PMPML,R0933,BRT,386,370,94.12,4.73,56098,57509,0.862,9239.2,440.63,8079.0,1076312,1.71,160,92.12,3.97,2
2022-09-16,IN-DELHI-DMRC,R0737,FERRY,358,356,72.21,4.1,34548,33713,1.131,1891.7,93.98,1660.3,623792,1.61,70,58.05,3.24,2
2023-11-30,IN-PUNE-PMPML,R2938,METRO,377,370,84.18,11.07,337981,322590,1.296,3766.5,190.67,3305.9,4445504,4.38,193,83.36,0.0,21
2024-12-26,IN-MUMBAI-BEST,R7529,BRT,24,10,67.93,13.61,8294,7672,1.319,247.8,18.18,241.5,192361,0.16,153,90.23,0.36,2
2024-08-15,IN-MUMBAI-BEST,R2467,METRO,106,104,67.23,19.01,74609,70206,1.335,1424.9,101.88,1267.5,598017,2.9,140,84.99,4.85,1
2024-09-02,IN-BLR-BMTC,R3405,TRAM,204,184,92.87,8.06,24069,22957,0.803,4070.5,147.99,3826.1,525709,6.3,254,75.67,4.53,2
2023-07-03,IN-CHN-MTC,R2027,METRO,332,331,91.21,15.25,162242,156225,1.154,3153.9,135.23,2804.6,3047650,4.25,202,76.04,2.89,5
2019-10-16,IN-CHN-MTC,R8173,BRT,26,19,88.73,14.65,12231,11708,1.033,411.6,25.92,407.4,104758,2.63,155,71.33,1.37,2
2019-03-11,IN-KOL-CTC,R6709,FERRY,29,26,73.76,5.07,3685,3665,0.955,538.2,24.31,458.8,46763,0.8,248,91.26,2.1,1
2019-01-02,IN-MUMBAI-BEST,R4927,BRT,62,49,93.76,19.04,44452,43581,0.714,521.5,28.12,463.8,666320,1.68,23,100.0,6.16,3
2023-06-17,IN-KOL-CTC,R3444,FERRY,48,35,76.15,7.62,802,761,0.892,301.3,17.45,292.2,7513,1.68,7,77.01,7.42,2
2024-06-25,IN-AHM-AMTS,R0600,BUS,297,294,87.1,10.05,44984,41495,0.9,4377.0,189.61,3986.6,865950,0.0,20,92.92,2.35,1
2023-01-07,IN-CHN-MTC,R7709,TRAM,195,183,73.04,7.54,29018,27551,1.069,4110.4,213.66,3584.0,286905,3.96,254,66.04,0.44,3
2022-05-02,IN-DELHI-DTC,R8360,BRT,379,360,82.05,10.58,69552,70219,1.384,9395.4,422.31,8532.6,863972,1.77,0,77.24,3.0,2
2021-02-14,IN-PUNE-PMPML,R6736,BUS,63,46,56.45,10.18,11693,11326,0.822,774.7,37.82,678.6,230177,0.15,54,74.73,3.88,3
2021-04-21,IN-MUMBAI-BEST,R8738,FERRY,183,163,79.0,7.67,13580,12961,1.268,4423.6,243.32,4378.8,111489,3.18,248,88.97,3.3,1
2021-03-11,IN-MUMBAI-BEST,R2595,TRAM,389,371,86.11,13.19,194982,186562,0.259,2494.3,105.53,2419.3,3209021,4.0,65,81.0,0.0,5
2023-10-13,IN-KOL-CTC,R3730,FERRY,156,141,81.03,10.23,18158,18176,0.548,2502.5,151.14,2207.9,434667,2.87,81,88.08,4.69,1
2024-12-18,IN-MUMBAI-BEST,R5488,BRT,43,19,77.5,17.25,7964,7856,1.061,428.2,18.89,414.4,100351,5.29,6,83.2,1.92,1
2022-10-31,IN-MUMBAI-BEST,R7928,SUBURBAN_RAIL,97,82,84.75,16.94,92432,94788,0.972,2262.4,159.24,2141.5,2109280,2.67,222,61.23,1.07,3
2024-06-11,IN-CHN-MTC,R3655,BUS,159,147,97.56,11.98,109097,108368,1.315,1596.6,64.51,1579.1,2219873,1.68,141,83.08,6.36,5
2020-03-26,IN-AHM-AMTS,R5605,METRO,67,43,87.16,21.27,46800,47238,1.52,1022.7,42.52,879.3,588716,3.85,199,90.34,0.57,1
2020-11-27,IN-MUMBAI-MMRDA,R8201,SUBURBAN_RAIL,153,129,80.49,14.82,133884,124114,0.53,2395.9,102.11,2090.9,2721198,3.0,136,54.18,3.21,4
2020-11-10,IN-PUNE-PMPML,R7362,BRT,47,42,74.52,3.86,17405,17661,0.344,310.1,17.64,287.8,295607,2.72,176,100.0,4.97,3
2019-10-25,IN-DELHI-DTC,R6115,METRO,153,135,88.69,5.74,98913,99858,1.497,1966.9,111.66,1787.7,1992351,0.0,244,75.58,3.39,6
2025-11-09,IN-CHN-MTC,R1773,TRAM,56,43,88.84,8.82,39996,37217,1.317,627.4,22.98,578.4,716502,2.98,221,76.9,0.0,5
2020-07-25,IN-HYD-TSRTC,R7330,SUBURBAN_RAIL,168,154,83.47,7.67,137113,140923,0.882,2653.4,110.6,2422.1,1702285,2.49,135,66.94,4.51,7
2021-06-27,IN-AHM-AMTS,R1950,SUBURBAN_RAIL,285,280,86.82,15.3,264442,244153,0.464,4750.0,275.26,4322.2,3381575,0.0,204,87.44,1.02,12
2021-08-25,IN-MUMBAI-BEST,R4587,METRO,358,334,77.93,7.92,608285,614103,0.867,3843.7,203.58,3768.5,8426292,1.01,30,80.91,4.82,15
2023-10-15,IN-KOL-CTC,R2828,TRAM,403,388,87.85,14.41,46770,47208,0.903,2103.9,124.69,1948.0,446113,1.56,201,81.53,2.49,4
2022-07-18,IN-MUMBAI-MMRDA,R0788,TRAM,314,303,80.16,10.94,171928,161725,0.975,6655.8,247.34,5944.2,2949874,1.72,29,88.67,0.0,11
2021-10-31,IN-HYD-TSRTC,R4410,FERRY,248,235,96.76,13.42,58804,59243,1.548,2472.4,107.53,2176.1,1211661,0.64,12,76.34,5.94,3
2024-06-02,IN-DELHI-DTC,R6349,METRO,159,156,91.38,12.47,109723,108980,0.903,1199.2,48.59,1044.2,1570463,1.43,19,88.46,3.54,2
2021-09-01,IN-MUMBAI-BEST,R4539,METRO,371,356,81.27,21.78,284736,279972,0.62,6120.8,409.97,5824.4,2863316,0.07,77,88.51,3.02,5
2023-04-18,IN-BLR-BMTC,R3558,TRAM,287,263,98.28,6.08,157047,151106,1.036,3174.1,164.97,2787.9,1874597,1.44,26,71.51,2.75,10
2019-10-04,IN-DELHI-DTC,R9294,BRT,133,122,83.81,2.0,71112,70000,0.504,726.9,37.59,650.3,1406746,4.11,247,71.03,5.45,3
2023-01-05,IN-DELHI-DMRC,R4821,METRO,285,280,96.63,10.26,246764,227060,0.445,1659.7,76.32,1525.4,3809919,2.42,82,69.68,1.98,7
2021-03-10,IN-BLR-BMTC,R3459,FERRY,366,352,89.03,6.6,21296,20028,0.74,5391.5,271.86,4598.6,233374,2.1,257,92.57,5.19,3
2023-12-04,IN-AHM-AMTS,R3309,SUBURBAN_RAIL,22,8,91.01,17.8,12177,12379,0.965,40.0,2.58,36.4,107121,1.19,172,85.62,0.0,2
2021-10-04,IN-DELHI-DMRC,R4823,FERRY,156,151,92.94,14.58,23637,21760,0.853,1891.4,99.55,1765.3,221993,3.06,212,67.79,2.98,1
2020-01-02,IN-DELHI-DTC,R8668,SUBURBAN_RAIL,42,33,95.99,3.84,43568,41755,0.424,444.3,22.52,428.1,820713,2.87,186,83.41,3.93,2
2023-08-01,IN-DELHI-DMRC,R3361,BRT,410,397,89.92,4.81,175204,176154,1.785,3212.8,163.49,2940.0,3410765,4.74,201,78.6,1.73,5
2025-09-18,IN-BLR-BMTC,R5845,FERRY,72,55,76.49,8.92,9104,9320,1.232,943.5,35.47,906.7,192191,3.19,142,58.33,0.48,3
2023-03-01,IN-AHM-AMTS,R2803,FERRY,119,100,67.36,8.62,16930,16364,0.625,2121.0,77.23,1803.0,400253,2.0,44,68.53,3.76,3
2024-09-03,IN-MUMBAI-MMRDA,R4660,BUS,239,237,84.8,10.88,104111,99548,0.95,2471.8,180.79,2162.1,1274682,2.62,246,72.89,2.49,2
2019-07-05,IN-MUMBAI-MMRDA,R8138,BRT,196,173,77.9,17.55,77257,75008,0.644,1326.7,67.91,1147.3,1236778,0.88,8,88.72,5.69,3
2021-05-19,IN-HYD-TSRTC,R2085,BRT,205,185,88.48,15.68,31675,30036,0.639,4031.9,156.92,3448.7,737250,5.45,237,63.6,3.13,3
2023-01-29,IN-MUMBAI-MMRDA,R5679,METRO,62,50,82.21,17.49,13831,13566,0.943,259.6,15.92,236.3,134075,3.75,6,88.75,0.0,3
2024-03-28,IN-BLR-BMTC,R4341,FERRY,214,210,72.98,23.17,47368,43771,0.781,2773.6,164.47,2668.7,700086,2.38,181,58.07,3.47,3
2025-10-14,IN-DELHI-DTC,R8610,BRT,94,77,91.83,18.96,48740,45981,1.218,1602.0,127.7,1429.2,582410,1.59,155,72.77,1.12,1
2020-06-12,IN-CHN-MTC,R9733,BUS,256,240,62.64,12.78,124075,120881,0.821,3779.8,197.69,3677.2,1239848,1.14,229,82.31,0.97,4
2019-08-05,IN-HYD-TSRTC,R9276,METRO,273,260,81.34,13.31,101528,95036,0.54,5614.7,337.98,5222.6,1080359,1.23,61,73.51,3.47,7
2019-04-23,IN-BLR-BMTC,R7856,BRT,246,246,75.58,19.76,133139,130485,0.837,4367.1,195.61,4224.8,1762864,2.0,234,71.73,2.94,6
2022-12-18,IN-HYD-TSRTC,R6224,FERRY,118,112,83.26,17.12,7278,6971,0.642,3063.2,236.13,2719.1,118541,3.03,208,85.2,2.44,1
2021-01-25,IN-AHM-AMTS,R3960,TRAM,39,26,84.26,7.89,9656,9787,0.968,450.0,28.62,425.8,91660,2.28,210,74.42,2.64,1
2021-08-06,IN-KOL-CTC,R6822,TRAM,291,273,82.4,3.31,127727,125707,1.057,5209.4,302.42,4880.4,2672861,0.94,243,84.04,4.27,8
2023-05-20,IN-DELHI-DTC,R1968,BRT,383,361,76.03,15.02,127900,122196,0.916,3075.0,112.68,2884.1,2494321,2.31,93,78.6,0.19,6
2021-09-13,IN-DELHI-DMRC,R7617,SUBURBAN_RAIL,52,33,75.48,12.8,10283,10510,1.222,487.6,18.54,482.1,100047,0.0,0,65.19,3.59,2
2019-01-01,IN-BLR-BMTC,R6500,BRT,129,123,90.26,2.0,42841,42447,1.398,1498.8,53.87,1431.2,994388,3.37,153,69.12,3.12,4
2024-01-13,IN-MUMBAI-BEST,R1625,BRT,134,119,83.91,14.15,31727,29544,1.044,2229.0,128.62,2062.0,747746,0.0,10,83.02,6.08,2
