edu_res_reference_year,edu_res_country_iso2,edu_res_region_nuts_code,edu_res_school_level_code,edu_res_student_teacher_ratio,edu_res_teacher_salary_index,edu_res_school_infrastructure_index,edu_res_devices_per_100_students,edu_res_high_speed_internet_school_pct,edu_res_digital_learning_platform_usage_pct,edu_res_special_needs_support_staff_per_1k,edu_res_meals_programme_coverage_pct,edu_res_language_support_programmes_count,edu_res_dropout_prevention_programmes_count,edu_res_safety_incidents_count,edu_res_budget_per_student_eur,edu_res_r_and_r_rf_education_investment_eur,edu_res_data_source,edu_res_methodology_version,edu_res_data_extract_date
2007,SI,DK778,MIXED,12.41,82.43,73.59,47.41,72.0,60.61,15.6,43.21,72,217,183,6197.83,244238319.12,NATIONAL_EDU_MINISTRY,RES_V1,2024-09-16
2008,BG,SI5,UPPER_SECONDARY,19.88,122.64,78.7,32.17,32.55,59.92,8.14,22.0,62,68,977,3578.84,177617885.77,SCHOOL_CENSUS,RES_V3,2024-04-20
2009,EE,SE225,LOWER_SECONDARY,8.56,86.98,74.59,69.65,44.5,13.1,5.0,66.82,171,176,104,8746.1,43861697.95,RRF_MONITORING,RES_V2,2024-05-12
2010,HU,EE86,PRIMARY,14.87,102.47,79.16,22.84,62.14,10.31,13.48,45.49,186,109,283,12081.77,375322252.66,EURYDICE_EXPORT,RES_V1,2025-07-27
2011,LU,ES17,MIXED,19.63,127.02,109.89,28.36,49.65,61.52,4.14,44.93,31,113,289,17993.25,283091213.73,NATIONAL_EDU_MINISTRY,RES_V3,2025-11-11
2012,RO,PT141,UPPER_SECONDARY,11.38,120.65,86.28,130.7,45.41,24.63,1.43,57.38,140,13,34,4563.75,120039870.92,SCHOOL_CENSUS,RES_V2,2024-11-19
2013,AT,LT703,LOWER_SECONDARY,9.0,106.99,79.65,86.1,55.73,74.59,10.65,66.57,234,113,464,13442.53,19491937.57,RRF_MONITORING,RES_V1,2025-07-10
2014,CZ,MT20,PRIMARY,16.42,113.12,78.71,119.43,83.2,34.47,11.31,75.96,15,14,643,2432.72,59692157.55,EURYDICE_EXPORT,RES_V3,2024-08-26
2015,DE,CZ941,MIXED,12.2,111.61,69.69,110.97,52.22,72.12,4.22,54.76,39,288,645,4668.07,210783012.92,NATIONAL_EDU_MINISTRY,RES_V2,2025-10-02
2016,LV,SI546,UPPER_SECONDARY,14.07,115.1,123.41,49.86,35.28,64.39,4.37,66.25,316,141,702,9667.02,230676432.44,SCHOOL_CENSUS,RES_V1,2024-07-15
2017,PL,IE7,LOWER_SECONDARY,20.67,125.75,113.1,131.84,34.43,59.14,14.18,78.6,54,218,284,9777.8,172759539.27,RRF_MONITORING,RES_V3,2025-12-17
2018,ES,EE170,PRIMARY,14.88,116.36,122.24,53.59,95.14,69.79,3.98,92.59,336,153,418,12802.54,45044138.21,EURYDICE_EXPORT,RES_V2,2025-12-04
2019,HR,PT312,MIXED,13.03,98.32,93.61,130.97,48.96,11.95,3.32,28.29,275,235,294,2298.16,210253374.33,NATIONAL_EDU_MINISTRY,RES_V1,2024-02-10
2020,FI,IE2,UPPER_SECONDARY,15.12,119.26,129.43,167.8,100.0,63.27,5.11,88.4,39,43,31,15674.44,130106762.4,SCHOOL_CENSUS,RES_V3,2024-08-17
2021,IE,LV57,LOWER_SECONDARY,14.81,98.03,111.33,111.96,68.4,100.0,11.58,55.7,131,84,146,13762.02,1153347800.63,RRF_MONITORING,RES_V2,2024-11-21
2022,MT,HR14,PRIMARY,13.35,123.74,113.31,119.35,99.35,37.07,15.56,84.02,301,4,160,13618.25,1985821617.62,EURYDICE_EXPORT,RES_V1,2025-06-16
2023,SK,GR654,MIXED,18.27,95.25,97.38,150.43,53.04,14.05,2.46,20.41,20,165,880,16103.58,1980100323.33,NATIONAL_EDU_MINISTRY,RES_V3,2025-01-15
2024,BE,FR7,UPPER_SECONDARY,10.91,123.17,121.33,48.2,100.0,17.83,15.68,19.8,14,238,290,14524.19,1899990723.46,SCHOOL_CENSUS,RES_V2,2025-07-15
2025,DK,MT18,LOWER_SECONDARY,16.42,101.69,101.13,157.01,82.08,63.95,2.86,81.91,255,21,213,3725.6,1496539865.31,RRF_MONITORING,RES_V1,2025-01-22
2006,GR,HR985,PRIMARY,22.97,104.86,69.91,77.02,34.08,18.96,16.04,79.99,253,136,250,12346.22,385989175.51,EURYDICE_EXPORT,RES_V3,2024-11-30
2007,LT,NL4,MIXED,16.22,125.54,95.7,52.53,61.3,62.98,5.49,20.91,193,218,487,10581.63,120389471.25,NATIONAL_EDU_MINISTRY,RES_V2,2025-06-10
2008,PT,DK42,UPPER_SECONDARY,9.61,127.29,88.82,134.88,36.03,50.66,1.92,38.25,99,51,530,5650.82,109995612.44,SCHOOL_CENSUS,RES_V1,2025-03-20
2009,SE,FR335,LOWER_SECONDARY,20.3,144.41,110.13,104.27,48.84,10.14,8.53,45.88,260,25,91,4220.13,88508494.44,RRF_MONITORING,RES_V3,2025-05-29
2010,CY,DE90,PRIMARY,17.54,105.6,108.54,92.49,31.37,59.82,19.74,16.12,65,146,418,10010.53,8756239.94,EURYDICE_EXPORT,RES_V2,2025-12-30
2011,FR,AT355,MIXED,9.24,104.41,107.05,54.17,67.36,9.64,16.32,92.48,22,124,308,4785.58,122607089.2,NATIONAL_EDU_MINISTRY,RES_V1,2024-10-15
2012,IT,HR610,UPPER_SECONDARY,17.84,94.93,116.48,73.12,60.33,52.14,7.49,74.06,223,73,460,10119.06,176538663.29,SCHOOL_CENSUS,RES_V3,2025-04-21
2013,NL,LU56,LOWER_SECONDARY,13.61,121.24,87.37,129.25,33.65,63.49,12.78,63.86,31,39,253,7583.74,396759125.9,RRF_MONITORING,RES_V2,2026-01-15
2014,SI,PT777,PRIMARY,22.31,127.54,99.24,74.42,44.4,43.03,19.22,59.6,86,94,413,2530.47,196885719.86,EURYDICE_EXPORT,RES_V1,2024-08-27
2015,BG,LV497,MIXED,10.02,107.03,108.2,108.67,37.64,45.08,9.99,69.32,23,141,101,9675.5,313717195.19,NATIONAL_EDU_MINISTRY,RES_V3,2024-10-27
2016,EE,FI828,UPPER_SECONDARY,11.11,112.52,80.06,59.3,66.76,67.48,13.82,17.45,85,241,198,4829.05,302070471.37,SCHOOL_CENSUS,RES_V2,2025-01-07
2017,HU,FI71,LOWER_SECONDARY,13.64,127.2,119.38,77.17,75.84,52.77,11.04,80.08,129,280,286,16879.06,242158047.26,RRF_MONITORING,RES_V1,2025-01-28
2018,LU,LT884,PRIMARY,11.87,95.19,75.88,93.18,98.51,16.23,1.65,34.91,348,177,337,6924.94,335150351.22,EURYDICE_EXPORT,RES_V3,2024-06-22
2019,RO,DE9,MIXED,19.58,95.73,92.16,34.55,95.65,79.89,18.13,85.62,336,292,967,7816.32,378924219.66,NATIONAL_EDU_MINISTRY,RES_V2,2025-03-15
2020,AT,SK36,UPPER_SECONDARY,15.14,123.59,73.57,115.62,93.04,100.0,1.62,46.53,140,137,546,10492.27,96737928.78,SCHOOL_CENSUS,RES_V1,2024-03-02
2021,CZ,FI32,LOWER_SECONDARY,18.3,81.89,126.73,181.41,69.99,52.75,8.86,38.38,99,133,530,4011.96,1160268993.31,RRF_MONITORING,RES_V3,2024-10-03
2022,DE,PL56,PRIMARY,12.23,117.89,88.48,98.53,90.68,26.15,7.41,52.06,31,162,305,12498.39,2082222547.99,EURYDICE_EXPORT,RES_V2,2025-05-27
2023,LV,SE514,MIXED,17.33,92.75,101.59,73.51,60.29,42.26,10.29,30.31,150,235,800,2787.99,1001380431.79,NATIONAL_EDU_MINISTRY,RES_V1,2024-07-09
2024,PL,IE389,UPPER_SECONDARY,9.38,115.94,105.27,159.97,99.86,62.8,16.87,57.04,361,255,455,7630.46,1373433014.08,SCHOOL_CENSUS,RES_V3,2025-12-21
2025,ES,IT13,LOWER_SECONDARY,13.51,99.67,116.63,82.78,73.11,13.28,6.15,20.1,264,280,110,3949.06,287025914.9,RRF_MONITORING,RES_V2,2024-11-18
2006,HR,HR925,PRIMARY,18.13,104.93,84.42,107.79,29.89,42.16,19.39,37.34,156,220,159,3876.25,15348847.38,EURYDICE_EXPORT,RES_V1,2025-11-03
2007,FI,HU120,MIXED,13.28,109.6,75.95,60.23,81.59,69.4,7.76,81.67,126,198,740,15181.41,395352226.96,NATIONAL_EDU_MINISTRY,RES_V3,2024-07-18
2008,IE,NL2,UPPER_SECONDARY,14.82,85.48,70.99,96.43,62.49,16.43,4.62,33.28,84,148,124,12157.41,226963818.56,SCHOOL_CENSUS,RES_V2,2025-06-27
2009,MT,AT162,LOWER_SECONDARY,19.11,105.81,107.16,133.77,44.34,26.56,14.63,38.05,43,71,263,2542.59,336782006.09,RRF_MONITORING,RES_V1,2024-11-18
2010,SK,FI18,PRIMARY,18.79,99.36,91.72,116.28,52.41,19.68,2.53,69.55,232,66,297,4330.52,196919059.15,EURYDICE_EXPORT,RES_V3,2026-02-23
2011,BE,DK777,MIXED,10.81,88.92,111.52,34.01,37.14,62.11,15.5,58.37,165,80,552,6750.94,130272111.98,NATIONAL_EDU_MINISTRY,RES_V2,2025-01-27
2012,DK,IE909,UPPER_SECONDARY,16.95,109.72,118.67,67.96,42.18,26.49,12.04,14.95,149,5,1040,17397.67,322033831.46,SCHOOL_CENSUS,RES_V1,2025-08-09
2013,GR,EE5,LOWER_SECONDARY,12.72,98.44,112.87,45.22,79.44,23.67,5.05,82.75,107,116,10,2688.59,22817425.0,RRF_MONITORING,RES_V3,2025-12-03
2014,LT,LT617,PRIMARY,12.48,113.23,70.5,111.45,64.37,83.34,15.98,30.71,171,32,635,12558.33,138749145.89,EURYDICE_EXPORT,RES_V2,2025-10-28
2015,PT,GR95,MIXED,10.62,113.32,79.14,70.25,82.45,60.75,7.09,87.39,271,268,304,7612.87,65294.72,NATIONAL_EDU_MINISTRY,RES_V1,2024-12-08
2016,SE,SK393,UPPER_SECONDARY,14.19,138.91,112.96,119.77,39.47,14.39,7.72,70.98,116,294,848,16874.71,332804066.91,SCHOOL_CENSUS,RES_V3,2025-07-19
2017,CY,HR7,LOWER_SECONDARY,18.7,103.21,103.66,58.35,47.25,67.24,10.31,18.83,66,277,466,12207.6,272564146.45,RRF_MONITORING,RES_V2,2025-06-27
2018,FR,BE30,PRIMARY,12.07,102.19,111.44,78.11,86.32,14.92,7.88,51.51,356,73,475,10302.11,109949254.93,EURYDICE_EXPORT,RES_V1,2025-06-28
2019,IT,EE50,MIXED,15.03,94.36,108.39,120.25,71.05,79.58,15.28,81.26,184,238,554,8083.54,137774114.6,NATIONAL_EDU_MINISTRY,RES_V3,2025-05-22
2020,NL,BG9,UPPER_SECONDARY,19.62,100.5,116.49,47.12,100.0,85.0,11.78,58.17,208,200,418,6457.64,61145033.66,SCHOOL_CENSUS,RES_V2,2024-10-25
2021,SI,FR714,LOWER_SECONDARY,10.01,123.76,81.44,121.43,59.59,63.58,16.49,50.72,335,1,701,8962.57,2070516696.91,RRF_MONITORING,RES_V1,2024-05-12
2022,BG,RO40,PRIMARY,13.73,88.22,83.25,137.58,100.0,40.14,16.53,50.13,265,6,649,10572.63,245360559.19,EURYDICE_EXPORT,RES_V3,2025-04-08
2023,EE,AT11,MIXED,13.51,86.43,120.88,163.26,100.0,72.67,12.69,76.73,287,52,351,16804.85,845655560.2,NATIONAL_EDU_MINISTRY,RES_V2,2024-05-25
2024,HU,MT518,UPPER_SECONDARY,11.43,90.78,118.21,41.15,78.34,14.63,2.05,58.42,119,111,913,13588.08,1952097920.74,SCHOOL_CENSUS,RES_V1,2025-04-05
2025,LU,BE53,LOWER_SECONDARY,15.37,106.79,98.22,60.95,94.14,74.31,6.03,27.01,5,172,684,8464.57,49379419.08,RRF_MONITORING,RES_V3,2026-02-07
2006,RO,LT2,PRIMARY,12.24,114.49,114.6,107.53,54.67,74.81,18.69,71.55,82,9,24,6829.61,141015237.0,EURYDICE_EXPORT,RES_V2,2024-04-01
2007,AT,DE2,MIXED,15.53,93.76,74.79,75.65,38.56,60.76,12.14,71.04,172,199,408,14716.33,358220796.56,NATIONAL_EDU_MINISTRY,RES_V1,2024-10-16
2008,CZ,MT5,UPPER_SECONDARY,12.44,111.48,98.08,125.75,69.72,20.26,2.25,53.99,94,23,380,4622.87,161312685.36,SCHOOL_CENSUS,RES_V3,2024-09-02
2009,DE,SK55,LOWER_SECONDARY,9.78,98.76,88.76,133.12,77.45,39.76,14.23,65.94,81,163,186,15622.32,43486955.29,RRF_MONITORING,RES_V2,2024-01-29
2010,LV,EE517,PRIMARY,14.12,110.84,69.31,124.11,32.8,71.35,6.58,81.67,109,22,417,14336.38,309464626.2,EURYDICE_EXPORT,RES_V1,2024-04-13
2011,PL,FR6,MIXED,18.74,86.81,85.89,83.38,58.54,14.02,1.13,46.61,88,184,349,10942.81,265360836.2,NATIONAL_EDU_MINISTRY,RES_V3,2026-02-13
2012,ES,GR65,UPPER_SECONDARY,14.22,83.92,77.54,61.69,54.89,72.94,3.57,88.94,1,31,928,11607.09,61124584.32,SCHOOL_CENSUS,RES_V2,2026-01-25
2013,HR,BE303,LOWER_SECONDARY,14.59,94.46,88.07,69.42,38.57,62.93,14.18,39.0,28,169,323,8797.98,65049996.6,RRF_MONITORING,RES_V1,2024-06-14
2014,FI,LU59,PRIMARY,17.05,105.95,88.05,133.02,39.26,19.62,8.65,84.85,114,40,457,7160.3,79457950.68,EURYDICE_EXPORT,RES_V3,2024-02-15
2015,IE,CZ962,MIXED,10.53,84.4,75.11,53.13,50.67,27.8,19.08,26.74,30,295,745,10869.72,413160807.41,NATIONAL_EDU_MINISTRY,RES_V2,2024-02-29
2016,MT,FR444,UPPER_SECONDARY,19.57,96.95,101.32,90.83,40.76,40.4,13.11,43.75,361,141,567,15203.26,266756630.79,SCHOOL_CENSUS,RES_V1,2025-11-04
2017,SK,SI39,LOWER_SECONDARY,11.28,95.69,87.11,54.37,38.66,60.31,13.4,63.8,200,130,508,10690.93,301591386.33,RRF_MONITORING,RES_V3,2026-01-15
2018,BE,LT123,PRIMARY,15.38,107.53,99.89,73.17,45.88,52.75,15.62,72.51,189,279,536,15682.1,19423288.89,EURYDICE_EXPORT,RES_V2,2024-12-18
2019,DK,MT676,MIXED,15.85,138.12,111.42,133.27,49.98,33.28,3.94,82.93,191,26,502,14070.16,349157418.46,NATIONAL_EDU_MINISTRY,RES_V1,2025-06-16
2020,GR,CZ91,UPPER_SECONDARY,11.88,125.58,127.2,59.51,41.01,38.81,13.0,68.51,164,112,20,11050.32,151836198.12,SCHOOL_CENSUS,RES_V3,2025-04-19
2021,LT,IE647,LOWER_SECONDARY,15.12,87.23,99.39,182.97,42.35,86.75,7.57,27.16,319,67,20,16081.74,295971038.1,RRF_MONITORING,RES_V2,2025-03-18
2022,PT,FR74,PRIMARY,20.82,112.41,122.39,85.69,69.55,57.71,13.95,69.72,358,49,572,10191.38,871607759.83,EURYDICE_EXPORT,RES_V1,2024-03-04
2023,SE,SI21,MIXED,14.85,104.75,74.13,84.66,76.77,18.62,7.03,34.21,40,85,527,4426.43,749581110.62,NATIONAL_EDU_MINISTRY,RES_V3,2024-02-15
2024,CY,SE65,UPPER_SECONDARY,13.66,109.52,111.93,165.96,51.63,54.86,8.81,67.16,86,44,1030,3634.25,786047533.24,SCHOOL_CENSUS,RES_V2,2025-11-18
2025,FR,LU993,LOWER_SECONDARY,19.35,127.91,110.98,166.11,40.8,72.11,6.12,84.69,269,160,499,5830.54,1257663194.38,RRF_MONITORING,RES_V1,2024-05-18
2006,IT,PL945,PRIMARY,9.53,85.96,90.63,38.47,79.09,77.01,18.1,39.4,168,81,494,4369.39,30859889.19,EURYDICE_EXPORT,RES_V3,2025-12-16
2007,NL,BE15,MIXED,19.66,115.35,109.02,73.12,44.91,55.16,8.53,28.75,197,204,426,16993.56,371635369.93,NATIONAL_EDU_MINISTRY,RES_V2,2024-02-04
2008,SI,SE88,UPPER_SECONDARY,19.29,105.32,71.38,132.4,46.53,44.85,11.11,40.6,161,212,646,11173.23,90300171.78,SCHOOL_CENSUS,RES_V1,2025-10-25
2009,BG,HU934,LOWER_SECONDARY,16.02,100.49,73.77,76.22,30.0,62.8,1.75,73.46,172,99,698,9625.94,174854856.49,RRF_MONITORING,RES_V3,2024-06-23
2010,EE,LU89,PRIMARY,20.95,96.68,69.61,105.81,54.25,75.14,8.22,15.7,106,2,630,6542.57,285095774.96,EURYDICE_EXPORT,RES_V2,2024-07-13
2011,HU,DK82,MIXED,18.75,101.55,96.03,115.05,58.76,9.04,12.02,28.48,199,209,143,8145.07,349964069.91,NATIONAL_EDU_MINISTRY,RES_V1,2025-05-29
2012,LU,IE59,UPPER_SECONDARY,16.47,133.56,92.1,63.52,56.75,15.75,15.17,18.29,4,9,526,9818.26,86495665.87,SCHOOL_CENSUS,RES_V3,2024-02-04
2013,RO,SI15,LOWER_SECONDARY,14.76,102.73,86.92,105.95,48.26,70.75,8.28,26.84,50,174,585,8910.99,37508414.98,RRF_MONITORING,RES_V2,2024-01-19
2014,AT,RO4,PRIMARY,10.17,104.0,77.27,93.63,66.08,20.08,12.03,22.7,82,182,236,5670.33,124587017.39,EURYDICE_EXPORT,RES_V1,2025-12-02
2015,CZ,PL71,MIXED,9.33,93.76,109.84,61.12,81.32,61.62,15.28,77.17,82,93,911,18065.95,412929459.02,NATIONAL_EDU_MINISTRY,RES_V3,2024-09-20
2016,DE,EE75,UPPER_SECONDARY,19.88,124.53,91.35,51.61,64.06,31.43,11.69,23.19,300,92,467,7636.78,129369297.67,SCHOOL_CENSUS,RES_V2,2024-04-07
2017,LV,MT6,LOWER_SECONDARY,9.74,101.64,113.99,65.82,61.43,47.1,3.52,42.2,17,264,388,12729.45,292454923.68,RRF_MONITORING,RES_V1,2025-07-08
2018,PL,RO526,PRIMARY,19.65,105.22,112.42,126.52,100.0,23.32,15.11,80.04,181,235,349,7362.5,240910696.91,EURYDICE_EXPORT,RES_V3,2025-07-30
2019,ES,HR758,MIXED,18.16,96.36,82.99,64.16,54.33,73.88,7.44,74.82,84,55,874,14610.45,152843691.98,NATIONAL_EDU_MINISTRY,RES_V2,2024-07-25
2020,HR,PT220,UPPER_SECONDARY,19.43,95.01,76.04,176.98,63.46,100.0,14.23,25.18,299,206,417,5294.46,411715443.0,SCHOOL_CENSUS,RES_V1,2025-09-05
2021,FI,CZ90,LOWER_SECONDARY,20.08,124.04,113.5,173.97,100.0,100.0,4.47,71.47,141,117,31,8117.7,472126209.19,RRF_MONITORING,RES_V3,2024-04-17
2022,IE,SK935,PRIMARY,17.04,89.07,96.35,55.12,99.45,23.26,7.28,38.13,149,21,655,14160.29,1344867851.85,EURYDICE_EXPORT,RES_V2,2024-10-23
2023,MT,EE30,MIXED,13.15,98.75,78.94,131.29,61.36,45.57,19.38,36.16,61,102,906,13214.67,2004848609.3,NATIONAL_EDU_MINISTRY,RES_V1,2024-11-12
2024,SK,FI436,UPPER_SECONDARY,12.49,95.3,109.72,30.15,66.93,82.55,9.5,77.55,95,55,460,7853.38,1225364804.79,SCHOOL_CENSUS,RES_V3,2025-11-18
2025,BE,SI278,LOWER_SECONDARY,16.66,111.05,124.09,47.87,51.31,29.38,3.44,74.24,172,21,43,6242.57,714988510.31,RRF_MONITORING,RES_V2,2024-07-31
2006,DK,AT789,PRIMARY,9.63,132.34,68.62,64.35,57.62,67.29,1.88,67.09,197,57,216,14659.93,266530831.48,EURYDICE_EXPORT,RES_V1,2025-09-30
2007,GR,LT34,MIXED,19.51,121.24,118.28,127.63,35.06,73.45,7.6,57.4,48,158,83,12324.79,267525666.41,NATIONAL_EDU_MINISTRY,RES_V3,2024-11-10
2008,LT,AT21,UPPER_SECONDARY,20.58,91.06,83.01,36.49,56.89,19.14,11.79,19.34,218,122,282,10584.78,243019938.84,SCHOOL_CENSUS,RES_V2,2025-11-16
2009,PT,PL921,LOWER_SECONDARY,14.34,124.98,100.34,39.89,50.99,38.5,3.09,15.05,163,165,291,17747.06,89172413.39,RRF_MONITORING,RES_V1,2026-02-20
2010,SE,DE35,PRIMARY,14.94,142.54,85.17,48.87,58.78,66.33,11.1,50.16,62,50,714,13490.29,78891181.52,EURYDICE_EXPORT,RES_V3,2025-07-28
2011,CY,FR423,MIXED,19.17,119.95,75.57,52.79,38.63,10.25,17.06,54.75,110,139,837,4425.89,79608893.17,NATIONAL_EDU_MINISTRY,RES_V2,2025-11-15
2012,FR,PT417,UPPER_SECONDARY,18.4,118.41,111.29,32.28,62.1,54.93,7.19,26.59,254,83,730,16738.47,379358156.86,SCHOOL_CENSUS,RES_V1,2024-01-20
2013,IT,AT15,LOWER_SECONDARY,10.32,102.33,69.37,117.79,55.12,68.9,1.45,50.23,104,166,701,2925.05,358526422.35,RRF_MONITORING,RES_V3,2025-12-24
2014,NL,LU236,PRIMARY,11.55,110.18,69.5,128.39,63.44,34.43,3.16,16.44,233,196,436,3511.58,110658.29,EURYDICE_EXPORT,RES_V2,2025-03-28
2015,SI,PT661,MIXED,19.02,117.44,67.35,110.69,57.2,39.67,12.57,79.61,78,78,697,11469.42,115225372.37,NATIONAL_EDU_MINISTRY,RES_V1,2025-07-06
2016,BG,DE892,UPPER_SECONDARY,15.78,88.52,93.88,109.23,71.71,72.19,5.96,64.49,4,73,981,9870.13,123701735.41,SCHOOL_CENSUS,RES_V3,2025-10-01
2017,EE,RO599,LOWER_SECONDARY,8.74,110.53,129.19,112.56,48.29,22.21,12.05,76.33,239,52,205,17614.71,115092673.9,RRF_MONITORING,RES_V2,2024-11-02
2018,HU,LT320,PRIMARY,19.38,99.58,90.07,108.52,100.0,42.28,8.42,48.28,181,277,715,13678.78,175463054.72,EURYDICE_EXPORT,RES_V1,2025-08-17
2019,LU,LV345,MIXED,17.21,127.13,111.98,70.24,80.59,85.11,18.1,71.92,52,32,917,7155.61,424039633.72,NATIONAL_EDU_MINISTRY,RES_V3,2025-01-22
2020,RO,LV94,UPPER_SECONDARY,16.35,103.93,124.96,115.33,55.48,57.11,12.95,15.09,6,136,77,11696.02,184206985.27,SCHOOL_CENSUS,RES_V2,2024-08-01
2021,AT,EE399,LOWER_SECONDARY,8.82,94.0,83.49,44.7,42.39,19.83,7.14,74.38,279,228,460,9589.54,755144233.73,RRF_MONITORING,RES_V1,2024-02-12
2022,CZ,MT353,PRIMARY,12.95,127.34,131.11,155.43,100.0,54.95,3.54,27.31,48,152,0,8972.1,613663382.17,EURYDICE_EXPORT,RES_V3,2025-10-30
2023,DE,EE432,MIXED,8.8,90.39,98.04,117.43,62.49,38.71,18.06,31.35,322,91,541,9649.89,2116542429.6,NATIONAL_EDU_MINISTRY,RES_V2,2026-01-22
2024,LV,MT339,UPPER_SECONDARY,13.81,107.28,113.72,82.99,65.23,20.67,11.74,22.36,60,78,286,8205.37,1040634779.47,SCHOOL_CENSUS,RES_V1,2026-01-02
2025,PL,BE4,LOWER_SECONDARY,19.12,92.68,80.51,34.15,90.74,19.66,16.73,34.51,162,230,706,11286.84,571402395.21,RRF_MONITORING,RES_V3,2026-01-28
2006,ES,GR54,PRIMARY,10.14,88.19,103.75,35.97,41.94,28.72,2.89,22.92,237,180,408,10631.76,18603010.68,EURYDICE_EXPORT,RES_V2,2024-09-07
