house_change_analysis_period_start,house_change_analysis_period_end,house_change_tract_geoid,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2021-08-01,2022-06-30,01117000116,0.12,50.74,13.09,-0.72,0.5713,18.2,19.39,4.52,20.01,6.99,-3.083,-1.735,6.93,74,0,0.5054,MID
2021-09-01,2022-07-31,01118000117,-4.25,53.02,21.23,-6.21,0.1989,10.64,4.96,11.95,28.65,11.63,-1.782,-1.755,8.09,119,0,0.727,STABLE
2021-10-01,2022-08-31,01119000118,1.34,14.82,0.54,12.96,0.6614,25.47,9.75,0.29,41.24,2.47,0.233,0.526,1.89,43,0,0.6464,EARLY
2021-11-01,2022-09-30,01120000119,52.99,24.26,39.44,16.57,0.5076,5.36,32.73,14.94,-3.93,6.7,3.65,-2.344,9.5,80,0,0.1476,STABLE
2021-12-01,2022-10-31,01121000120,28.2,71.75,11.48,5.29,0.1857,12.18,12.77,2.87,2.3,9.92,-5.242,0.861,-7.23,68,0,0.9375,MID
2022-01-01,2022-11-30,01122000121,38.59,1.04,-9.59,-5.77,0.3374,26.38,28.85,2.68,39.7,-4.6,1.672,4.25,2.95,101,0,0.0359,MID
2022-02-01,2022-12-31,01123000122,23.46,78.8,-3.64,22.61,0.4065,26.85,14.29,10.81,-0.37,14.58,-0.05,-0.782,13.03,47,1,0.8603,STABLE
2022-03-01,2023-01-31,01124000123,-0.88,-11.97,-17.7,24.5,0.1767,17.51,12.3,0.86,29.1,14.85,1.407,2.333,-13.03,21,0,0.0915,MID
2022-04-01,2023-02-28,01125000124,31.58,3.11,6.24,-3.59,0.1066,19.29,5.51,17.39,37.53,15.94,-4.23,4.656,-11.58,84,1,0.9245,EARLY
2022-05-01,2023-03-31,01126000125,-14.93,4.35,41.77,6.8,0.142,21.71,8.16,15.76,21.6,12.21,-1.548,0.656,6.45,103,0,0.4461,STABLE
2022-06-01,2023-04-30,01127000126,42.27,37.48,18.09,-4.45,0.9566,30.97,22.13,12.67,3.68,8.17,-5.523,4.226,-13.96,1,0,0.7112,DECLINING
2022-07-01,2023-05-31,01128000127,-14.61,29.87,16.85,20.03,0.6729,21.28,26.62,3.03,16.6,16.31,2.995,2.686,10.59,36,1,0.2434,MID
2022-08-01,2023-06-30,01129000128,-12.09,44.59,-10.93,1.59,0.732,8.91,28.72,8.82,30.74,0.88,-0.6,-0.551,-7.4,72,1,0.993,STABLE
2022-09-01,2023-07-31,01130000129,6.71,71.14,40.41,6.62,0.9938,27.41,34.17,3.79,21.91,14.48,-2.807,-3.745,-8.93,110,0,0.6264,UNCERTAIN
2022-10-01,2023-08-31,01131000130,21.99,2.67,-10.71,11.69,0.7031,42.11,5.94,15.63,30.57,13.49,-0.72,-3.392,-10.15,22,1,0.4653,STABLE
2022-11-01,2023-09-30,01132000131,-23.3,11.67,-0.66,3.52,0.4538,22.9,7.79,17.1,16.73,-8.81,3.663,-1.087,-2.26,53,0,0.1127,LATE
2022-12-01,2023-10-31,01133000132,-15.13,5.28,-4.34,18.46,0.3685,27.28,12.3,13.36,9.3,13.81,1.677,2.383,9.41,20,0,0.4916,LATE
2023-01-01,2023-11-30,01134000133,7.42,75.12,40.02,23.81,0.1336,22.68,25.4,13.3,11.74,-7.48,-4.54,1.459,12.89,53,0,0.6627,STABLE
2023-02-01,2023-12-31,01135000134,4.66,59.43,-12.24,12.81,0.2881,17.23,4.5,12.17,-0.68,17.03,-1.66,-3.892,-11.7,14,0,0.1392,UNCERTAIN
2023-03-01,2024-01-31,01136000135,-4.66,10.31,30.5,15.41,0.4214,1.8,17.75,2.63,16.09,-4.59,-3.148,-0.488,0.75,97,1,0.956,DECLINING
2023-04-01,2024-02-29,01137000136,31.34,9.12,0.43,24.84,0.8659,0.51,19.24,11.66,37.2,2.0,-5.507,-2.538,-3.93,58,1,0.8686,EARLY
2023-05-01,2024-03-31,01138000137,-23.97,38.15,17.33,4.01,0.9866,25.6,24.59,3.35,10.96,16.43,4.973,4.297,-2.09,83,0,0.9018,MID
2023-06-01,2024-04-30,01139000138,-17.18,31.72,25.65,-1.61,0.6809,11.22,25.38,8.86,23.88,-2.97,-2.538,-2.049,2.25,5,0,0.9395,MID
2023-07-01,2024-05-31,01140000139,-7.9,24.22,39.57,-11.01,0.6453,22.71,8.82,14.98,33.82,10.93,3.31,4.134,0.02,101,0,0.7355,UNCERTAIN
2023-08-01,2024-06-30,01141000140,-10.9,-8.46,12.4,-7.73,0.3209,28.54,1.45,14.86,-2.15,2.98,2.193,-1.883,-7.71,82,1,0.5779,LATE
2023-09-01,2024-07-31,01142000141,12.42,-4.54,42.82,11.32,0.1967,0.47,25.17,8.39,17.8,11.67,3.84,4.068,-4.63,38,0,0.3141,LATE
2023-10-01,2024-08-31,01143000142,43.77,64.35,32.97,14.9,0.7993,10.14,1.19,4.0,35.97,6.66,0.743,-1.46,-7.23,72,1,0.2797,MID
2023-11-01,2024-09-30,01144000143,22.5,-18.3,23.88,1.22,0.1912,4.09,0.16,6.54,44.04,-9.75,-0.839,4.128,-1.06,46,0,0.0318,DECLINING
2023-12-01,2024-10-31,01145000144,-18.5,30.3,1.97,-6.26,0.0182,6.83,1.39,2.45,24.24,-4.47,0.172,1.34,8.95,97,0,0.606,UNCERTAIN
2024-01-01,2024-11-30,01146000145,-10.65,26.85,-16.36,2.15,0.9162,29.11,9.65,1.86,36.98,5.87,3.148,-1.391,-2.92,117,0,0.9568,MID
2024-02-01,2024-12-31,01147000146,-3.18,27.8,0.48,-10.3,0.3582,22.69,4.97,15.7,39.22,13.06,3.022,-1.277,-12.91,35,1,0.2931,DECLINING
2024-03-01,2025-01-31,01148000147,26.75,49.03,-4.2,-2.56,0.1858,16.85,30.55,1.24,12.02,-8.56,-3.586,2.548,-13.01,81,0,0.5028,UNCERTAIN
2024-04-01,2025-02-28,01149000148,-14.01,66.49,-5.22,8.95,0.6957,34.1,5.05,5.31,27.35,6.16,5.336,-0.587,13.76,116,0,0.3316,MID
2024-05-01,2025-03-31,01150000149,-13.96,66.49,19.28,0.06,0.2708,13.65,13.99,6.51,4.05,7.18,-2.035,0.157,-0.89,0,0,0.665,MID
2024-06-01,2025-04-30,01151000150,49.47,73.12,6.87,20.11,0.0201,37.84,20.68,4.06,25.49,15.61,-2.777,-2.297,8.43,78,0,0.6189,DECLINING
2024-07-01,2025-05-31,01152000151,4.08,7.01,38.36,15.28,0.0399,0.93,17.49,9.69,14.39,12.54,-5.268,2.835,12.05,112,0,0.5347,MID
