env_bio_reference_year,env_bio_member_state_iso2,env_bio_site_id,env_bio_natura2000_designation_code,env_bio_nuts_code,env_bio_habitat_code,env_bio_species_code,env_bio_site_area_ha,env_bio_conservation_status_code,env_bio_pressure_threat_code,env_bio_management_plan_flag,env_bio_restoration_actions_count,env_bio_invasive_species_presence_flag,env_bio_land_cover_corine_class,env_bio_water_body_status_code,env_bio_protected_area_connectivity_index,env_bio_ecosystem_services_index,env_bio_funding_eu_life_programme_eur,env_bio_data_source,env_bio_last_assessment_date
2017,GR,GR_N2K_000018,SPA,PL680,HAB_018,SP_0018,180642.71,U1,URBANISATION,1,15,0,512_WATER,GOOD,0.978,0.8918,20088077.94,NATIONAL_HABITAT_REPORTING,2007-08-27
2018,MT,MT_N2K_000019,SPA,PL6,HAB_019,SP_0019,208938.93,U2,POLLUTION,1,3,0,111_URBAN,HIGH,0.2257,0.8995,15788986.5,EEA_NATURA2000,2007-09-09
2019,ES,ES_N2K_000020,SPA,HU7,HAB_020,SP_0020,171629.3,XX,INVASIVE_SPECIES,1,13,0,211_ARABLE,UNKNOWN,0.4393,0.2902,8343438.48,LIFE_PROJECT_DATABASE,2007-09-22
2020,CZ,CZ_N2K_000021,SPA,PL4,HAB_021,SP_0021,73915.22,FV,FORESTRY,1,28,0,231_PASTURES,BAD,0.305,0.9448,33297600.43,NATIONAL_HABITAT_REPORTING,2007-10-05
2021,HU,HU_N2K_000022,SPA,SI9,HAB_022,SP_0022,89019.17,U1,WATER_ABSTRACTION,0,16,1,311_BROADLEAVED,POOR,0.7096,0.7113,17591876.4,EEA_NATURA2000,2007-10-18
2022,NL,NL_N2K_000023,SPA,PL1,HAB_023,SP_0023,19662.67,U2,TOURISM_PRESSURE,0,11,0,312_CONIFEROUS,MODERATE,0.6222,0.9225,15336828.42,LIFE_PROJECT_DATABASE,2007-10-31
2023,SE,SE_N2K_000024,SPA,FI4,HAB_024,SP_0024,204667.96,XX,CLIMATE_CHANGE,1,11,1,313_MIXED,GOOD,0.5873,0.2859,1655140.57,NATIONAL_HABITAT_REPORTING,2007-11-13
2024,DK,DK_N2K_000025,SPA,ES234,HAB_025,SP_0025,70615.79,FV,AGRI_INTENSIFICATION,0,5,0,321_NATURAL_GRASS,HIGH,0.3852,0.809,9290961.55,EEA_NATURA2000,2007-11-26
2025,IE,IE_N2K_000026,SPA,EE86,HAB_026,SP_0026,93413.98,U1,URBANISATION,0,11,1,411_INLAND_WETLAND,UNKNOWN,0.3313,0.4084,512319.07,LIFE_PROJECT_DATABASE,2007-12-09
2000,PL,PL_N2K_000027,SPA,DE84,HAB_027,SP_0027,21930.13,U2,POLLUTION,0,19,0,512_WATER,BAD,0.6121,0.9451,10100686.19,NATIONAL_HABITAT_REPORTING,2007-12-22
2001,AT,AT_N2K_000028,SPA,CZ783,HAB_028,SP_0028,59171.17,XX,INVASIVE_SPECIES,1,13,0,111_URBAN,POOR,0.6855,0.898,15339309.39,EEA_NATURA2000,2008-01-04
2002,EE,EE_N2K_000029,SPA,ES86,HAB_029,SP_0029,222746.37,FV,FORESTRY,1,8,0,211_ARABLE,MODERATE,0.573,0.925,19977788.06,LIFE_PROJECT_DATABASE,2008-01-17
2003,IT,IT_N2K_000030,SPA,HR8,HAB_030,SP_0030,8639.72,U1,WATER_ABSTRACTION,0,18,1,231_PASTURES,GOOD,0.5687,0.7868,6880597.11,NATIONAL_HABITAT_REPORTING,2008-01-30
2004,PT,PT_N2K_000031,SPA,PT76,HAB_031,SP_0031,117711.73,U2,TOURISM_PRESSURE,0,29,1,311_BROADLEAVED,HIGH,0.5777,0.4857,15502902.82,EEA_NATURA2000,2008-02-12
2005,BE,BE_N2K_000032,SPA,DK685,HAB_032,SP_0032,167341.94,XX,CLIMATE_CHANGE,0,12,1,312_CONIFEROUS,UNKNOWN,0.5434,0.385,16307987.06,LIFE_PROJECT_DATABASE,2008-02-25
2006,FI,FI_N2K_000033,SPA,PL145,HAB_033,SP_0033,108031.07,FV,AGRI_INTENSIFICATION,1,1,0,313_MIXED,BAD,0.3726,0.6465,12763681.55,NATIONAL_HABITAT_REPORTING,2008-03-09
2007,LV,LV_N2K_000034,SPA,MT984,HAB_034,SP_0034,171683.54,U1,URBANISATION,1,6,1,321_NATURAL_GRASS,POOR,0.2642,0.5424,23242839.01,EEA_NATURA2000,2008-03-22
2008,RO,RO_N2K_000035,SPA,HR804,HAB_035,SP_0035,191548.76,U2,POLLUTION,1,21,0,411_INLAND_WETLAND,MODERATE,0.2078,0.4526,29720629.86,LIFE_PROJECT_DATABASE,2008-04-04
2009,BG,BG_N2K_000036,SPA,LV70,HAB_036,SP_0036,223593.93,XX,INVASIVE_SPECIES,1,1,0,512_WATER,GOOD,0.4269,0.9493,4820508.92,NATIONAL_HABITAT_REPORTING,2008-04-17
2010,FR,FR_N2K_000037,SPA,AT35,HAB_037,SP_0037,161238.83,FV,FORESTRY,0,1,1,111_URBAN,HIGH,0.8861,0.3528,19143562.06,EEA_NATURA2000,2008-04-30
2011,LT,LT_N2K_000038,SPA,SI450,HAB_038,SP_0038,60508.24,U1,WATER_ABSTRACTION,1,6,0,211_ARABLE,UNKNOWN,0.6055,0.8871,6075975.98,LIFE_PROJECT_DATABASE,2008-05-13
2012,SK,SK_N2K_000039,SPA,PT499,HAB_039,SP_0039,44268.65,U2,TOURISM_PRESSURE,1,6,0,231_PASTURES,BAD,0.6628,0.6328,22440901.54,NATIONAL_HABITAT_REPORTING,2008-05-26
2013,HR,HR_N2K_000040,SPA,DK567,HAB_040,SP_0040,220718.39,XX,CLIMATE_CHANGE,0,9,0,311_BROADLEAVED,POOR,0.0777,0.2514,10092751.09,EEA_NATURA2000,2008-06-08
2014,DE,DE_N2K_000041,SPA,FR95,HAB_041,SP_0041,21794.4,FV,AGRI_INTENSIFICATION,0,23,1,312_CONIFEROUS,MODERATE,0.3468,0.2891,13619344.49,LIFE_PROJECT_DATABASE,2008-06-21
2015,LU,LU_N2K_000042,SPA,MT41,HAB_042,SP_0042,103217.13,U1,URBANISATION,1,2,0,313_MIXED,GOOD,0.3069,0.5375,11704193.04,NATIONAL_HABITAT_REPORTING,2008-07-04
2016,SI,SI_N2K_000043,SPA,CY145,HAB_043,SP_0043,212458.61,U2,POLLUTION,1,5,1,321_NATURAL_GRASS,HIGH,0.7429,0.7367,8322612.25,EEA_NATURA2000,2008-07-17
2017,CY,CY_N2K_000044,SPA,SK19,HAB_044,SP_0044,187524.04,XX,INVASIVE_SPECIES,1,26,0,411_INLAND_WETLAND,UNKNOWN,0.3257,0.1357,27958930.35,LIFE_PROJECT_DATABASE,2008-07-30
2018,GR,GR_N2K_000045,SPA,PT375,HAB_045,SP_0045,200134.37,FV,FORESTRY,1,22,0,512_WATER,BAD,0.0658,0.7693,8385322.62,NATIONAL_HABITAT_REPORTING,2008-08-12
2019,MT,MT_N2K_000046,SPA,AT6,HAB_046,SP_0046,117304.93,U1,WATER_ABSTRACTION,0,18,1,111_URBAN,POOR,0.8742,0.7228,4081590.02,EEA_NATURA2000,2008-08-25
2020,ES,ES_N2K_000047,SPA,HU581,HAB_047,SP_0047,230957.25,U2,TOURISM_PRESSURE,1,15,1,211_ARABLE,MODERATE,0.1654,0.2221,3760154.56,LIFE_PROJECT_DATABASE,2008-09-07
2021,CZ,CZ_N2K_000048,SPA,HR1,HAB_048,SP_0048,120011.65,XX,CLIMATE_CHANGE,0,2,0,231_PASTURES,GOOD,0.0502,0.243,211973.24,NATIONAL_HABITAT_REPORTING,2008-09-20
2022,HU,HU_N2K_000049,SPA,BE9,HAB_049,SP_0049,38805.33,FV,AGRI_INTENSIFICATION,1,14,0,311_BROADLEAVED,HIGH,0.7829,0.1067,7705225.23,EEA_NATURA2000,2008-10-03
2023,NL,NL_N2K_000050,SPA,HU2,HAB_050,SP_0050,131128.98,U1,URBANISATION,1,24,1,312_CONIFEROUS,UNKNOWN,0.2643,0.3578,3072532.23,LIFE_PROJECT_DATABASE,2008-10-16
2024,SE,SE_N2K_000051,SPA,LT22,HAB_051,SP_0051,36576.19,U2,POLLUTION,1,4,0,313_MIXED,BAD,0.4642,0.4884,18251948.42,NATIONAL_HABITAT_REPORTING,2008-10-29
2025,DK,DK_N2K_000052,SPA,LU9,HAB_052,SP_0052,218002.32,XX,INVASIVE_SPECIES,0,10,1,321_NATURAL_GRASS,POOR,0.0547,0.3564,8518449.92,EEA_NATURA2000,2008-11-11
2000,IE,IE_N2K_000053,SPA,GR25,HAB_053,SP_0053,93703.85,FV,FORESTRY,1,23,0,411_INLAND_WETLAND,MODERATE,0.1028,0.3594,31602411.74,LIFE_PROJECT_DATABASE,2008-11-24
2001,PL,PL_N2K_000054,SPA,LT464,HAB_054,SP_0054,151610.33,U1,WATER_ABSTRACTION,1,8,1,512_WATER,GOOD,0.2523,0.271,10055765.89,NATIONAL_HABITAT_REPORTING,2008-12-07
2002,AT,AT_N2K_000055,SPA,IE58,HAB_055,SP_0055,130933.74,U2,TOURISM_PRESSURE,0,3,0,111_URBAN,HIGH,0.5836,0.3125,9559161.76,EEA_NATURA2000,2008-12-20
2003,EE,EE_N2K_000056,SPA,FI825,HAB_056,SP_0056,113006.48,XX,CLIMATE_CHANGE,0,28,1,211_ARABLE,UNKNOWN,0.353,0.7001,560829.55,LIFE_PROJECT_DATABASE,2009-01-02
2004,IT,IT_N2K_000057,SPA,IT74,HAB_057,SP_0057,157359.67,FV,AGRI_INTENSIFICATION,1,25,1,231_PASTURES,BAD,0.9376,0.4338,12758628.78,NATIONAL_HABITAT_REPORTING,2009-01-15
2005,PT,PT_N2K_000058,SPA,HU28,HAB_058,SP_0058,49697.07,U1,URBANISATION,1,10,0,311_BROADLEAVED,POOR,0.6603,0.2968,15929445.3,EEA_NATURA2000,2009-01-28
2006,BE,BE_N2K_000059,SPA,DK829,HAB_059,SP_0059,222102.73,U2,POLLUTION,1,5,0,312_CONIFEROUS,MODERATE,0.2483,0.5844,1203815.21,LIFE_PROJECT_DATABASE,2009-02-10
2007,FI,FI_N2K_000060,SPA,PT158,HAB_060,SP_0060,34389.32,XX,INVASIVE_SPECIES,0,25,0,313_MIXED,GOOD,0.3488,0.2074,1627446.89,NATIONAL_HABITAT_REPORTING,2009-02-23
2008,LV,LV_N2K_000061,SPA,MT6,HAB_061,SP_0061,56407.69,FV,FORESTRY,0,7,1,321_NATURAL_GRASS,HIGH,0.0813,0.619,8155621.25,EEA_NATURA2000,2009-03-08
2009,RO,RO_N2K_000062,SPA,RO538,HAB_062,SP_0062,73979.81,U1,WATER_ABSTRACTION,1,12,0,411_INLAND_WETLAND,UNKNOWN,0.4538,0.8608,19602879.33,LIFE_PROJECT_DATABASE,2009-03-21
2010,BG,BG_N2K_000063,SPA,RO209,HAB_063,SP_0063,44076.31,U2,TOURISM_PRESSURE,1,9,0,512_WATER,BAD,0.1504,0.8091,2025487.5,NATIONAL_HABITAT_REPORTING,2009-04-03
2011,FR,FR_N2K_000064,SPA,PL314,HAB_064,SP_0064,73991.66,XX,CLIMATE_CHANGE,1,16,0,111_URBAN,POOR,0.1454,0.5834,18632139.14,EEA_NATURA2000,2009-04-16
2012,LT,LT_N2K_000065,SPA,NL74,HAB_065,SP_0065,55053.29,FV,AGRI_INTENSIFICATION,1,14,0,211_ARABLE,MODERATE,0.3719,0.7576,14081930.04,LIFE_PROJECT_DATABASE,2009-04-29
2013,SK,SK_N2K_000066,SPA,ES96,HAB_066,SP_0066,189067.96,U1,URBANISATION,0,1,1,231_PASTURES,GOOD,0.4875,0.2957,4454273.14,NATIONAL_HABITAT_REPORTING,2009-05-12
2014,HR,HR_N2K_000067,SPA,HR173,HAB_067,SP_0067,72928.57,U2,POLLUTION,1,3,0,311_BROADLEAVED,HIGH,0.3688,0.9472,24277682.62,EEA_NATURA2000,2009-05-25
2015,DE,DE_N2K_000068,SPA,ES849,HAB_068,SP_0068,211595.17,XX,INVASIVE_SPECIES,1,19,1,312_CONIFEROUS,UNKNOWN,0.3369,0.5161,5079770.91,LIFE_PROJECT_DATABASE,2009-06-07
2016,LU,LU_N2K_000069,SPA,LV517,HAB_069,SP_0069,42360.44,FV,FORESTRY,0,14,0,313_MIXED,BAD,0.5841,0.5395,19279245.35,NATIONAL_HABITAT_REPORTING,2009-06-20
2017,SI,SI_N2K_000070,SPA,PT904,HAB_070,SP_0070,65836.8,U1,WATER_ABSTRACTION,1,27,0,321_NATURAL_GRASS,POOR,0.6397,0.2363,13362627.85,EEA_NATURA2000,2009-07-03
2018,CY,CY_N2K_000071,SPA,DE31,HAB_071,SP_0071,123058.96,U2,TOURISM_PRESSURE,1,24,1,411_INLAND_WETLAND,MODERATE,0.913,0.5058,27278086.11,LIFE_PROJECT_DATABASE,2009-07-16
2019,GR,GR_N2K_000072,SPA,SK27,HAB_072,SP_0072,60914.4,XX,CLIMATE_CHANGE,1,9,0,512_WATER,GOOD,0.9285,0.4814,27871156.39,NATIONAL_HABITAT_REPORTING,2009-07-29
2020,MT,MT_N2K_000073,SPA,RO127,HAB_073,SP_0073,145004.56,FV,AGRI_INTENSIFICATION,0,2,0,111_URBAN,HIGH,0.96,0.7406,4100999.89,EEA_NATURA2000,2009-08-11
2021,ES,ES_N2K_000074,SPA,LT284,HAB_074,SP_0074,118667.66,U1,URBANISATION,0,8,0,211_ARABLE,UNKNOWN,0.4817,0.3349,18186860.89,LIFE_PROJECT_DATABASE,2009-08-24
2022,CZ,CZ_N2K_000075,SPA,AT466,HAB_075,SP_0075,35561.17,U2,POLLUTION,0,13,1,231_PASTURES,BAD,0.1913,0.6868,6950152.62,NATIONAL_HABITAT_REPORTING,2009-09-06
2023,HU,HU_N2K_000076,SPA,CY972,HAB_076,SP_0076,60200.55,XX,INVASIVE_SPECIES,1,7,0,311_BROADLEAVED,POOR,0.5982,0.3152,21463461.9,EEA_NATURA2000,2009-09-19
2024,NL,NL_N2K_000077,SPA,FI239,HAB_077,SP_0077,221639.82,FV,FORESTRY,1,10,0,312_CONIFEROUS,MODERATE,0.5065,0.3461,1509105.76,LIFE_PROJECT_DATABASE,2009-10-02
2025,SE,SE_N2K_000078,SPA,DK83,HAB_078,SP_0078,221696.62,U1,WATER_ABSTRACTION,1,18,1,313_MIXED,GOOD,0.8062,0.6868,3023312.89,NATIONAL_HABITAT_REPORTING,2009-10-15
2000,DK,DK_N2K_000079,SPA,LV30,HAB_079,SP_0079,146886.05,U2,TOURISM_PRESSURE,1,23,0,321_NATURAL_GRASS,HIGH,0.172,0.2595,2559089.73,EEA_NATURA2000,2009-10-28
2001,IE,IE_N2K_000080,SPA,EE52,HAB_080,SP_0080,146841.83,XX,CLIMATE_CHANGE,1,19,0,411_INLAND_WETLAND,UNKNOWN,0.0584,0.8186,13265551.17,LIFE_PROJECT_DATABASE,2009-11-10
2002,PL,PL_N2K_000081,SPA,HU21,HAB_081,SP_0081,40583.94,FV,AGRI_INTENSIFICATION,1,1,1,512_WATER,BAD,0.4488,0.5742,9148270.23,NATIONAL_HABITAT_REPORTING,2009-11-23
2003,AT,AT_N2K_000082,SPA,DK208,HAB_082,SP_0082,246975.83,U1,URBANISATION,0,2,0,111_URBAN,POOR,0.791,0.1505,14864374.29,EEA_NATURA2000,2009-12-06
2004,EE,EE_N2K_000083,SPA,FI280,HAB_083,SP_0083,179974.14,U2,POLLUTION,1,31,0,211_ARABLE,MODERATE,0.5225,0.521,2828321.6,LIFE_PROJECT_DATABASE,2009-12-19
2005,IT,IT_N2K_000084,SPA,MT96,HAB_084,SP_0084,129132.07,XX,INVASIVE_SPECIES,1,28,1,231_PASTURES,GOOD,0.4727,0.4447,109964.1,NATIONAL_HABITAT_REPORTING,2010-01-01
2006,PT,PT_N2K_000085,SPA,BG122,HAB_085,SP_0085,173621.86,FV,FORESTRY,1,3,0,311_BROADLEAVED,HIGH,0.1347,0.8561,608409.38,EEA_NATURA2000,2010-01-14
2007,BE,BE_N2K_000086,SPA,GR349,HAB_086,SP_0086,94677.58,U1,WATER_ABSTRACTION,0,18,0,312_CONIFEROUS,UNKNOWN,0.6483,0.3497,4424704.11,LIFE_PROJECT_DATABASE,2010-01-27
2008,FI,FI_N2K_000087,SPA,DE122,HAB_087,SP_0087,118889.87,U2,TOURISM_PRESSURE,0,13,0,313_MIXED,BAD,0.3621,0.2673,10863283.5,NATIONAL_HABITAT_REPORTING,2010-02-09
2009,LV,LV_N2K_000088,SPA,FI6,HAB_088,SP_0088,77386.01,XX,CLIMATE_CHANGE,1,1,1,321_NATURAL_GRASS,POOR,0.3623,0.1243,11202008.5,EEA_NATURA2000,2010-02-22
2010,RO,RO_N2K_000089,SPA,SE1,HAB_089,SP_0089,159283.03,FV,AGRI_INTENSIFICATION,1,10,1,411_INLAND_WETLAND,MODERATE,0.5473,0.6372,17720388.29,LIFE_PROJECT_DATABASE,2010-03-07
2011,BG,BG_N2K_000090,SPA,RO413,HAB_090,SP_0090,296.27,U1,URBANISATION,0,21,0,512_WATER,GOOD,0.3132,0.7642,8100814.72,NATIONAL_HABITAT_REPORTING,2010-03-20
2012,FR,FR_N2K_000091,SPA,MT22,HAB_091,SP_0091,18611.92,U2,POLLUTION,1,8,0,111_URBAN,HIGH,0.4602,0.8753,5408419.13,EEA_NATURA2000,2010-04-02
2013,LT,LT_N2K_000092,SPA,CZ1,HAB_092,SP_0092,57620.81,XX,INVASIVE_SPECIES,1,4,0,211_ARABLE,UNKNOWN,0.4531,0.1769,29030751.29,LIFE_PROJECT_DATABASE,2010-04-15
2014,SK,SK_N2K_000093,SPA,DK854,HAB_093,SP_0093,105012.51,FV,FORESTRY,1,7,0,231_PASTURES,BAD,0.112,0.8969,23182978.57,NATIONAL_HABITAT_REPORTING,2010-04-28
2015,HR,HR_N2K_000094,SPA,LT86,HAB_094,SP_0094,127752.52,U1,WATER_ABSTRACTION,1,29,0,311_BROADLEAVED,POOR,0.2791,0.5736,30669576.61,EEA_NATURA2000,2010-05-11
2016,DE,DE_N2K_000095,SPA,HR691,HAB_095,SP_0095,95701.11,U2,TOURISM_PRESSURE,0,8,1,312_CONIFEROUS,MODERATE,0.4327,0.9304,15716499.45,LIFE_PROJECT_DATABASE,2010-05-24
2017,LU,LU_N2K_000096,SPA,LV27,HAB_096,SP_0096,153368.97,XX,CLIMATE_CHANGE,0,18,1,313_MIXED,GOOD,0.3194,0.3196,8571256.44,NATIONAL_HABITAT_REPORTING,2010-06-06
2018,SI,SI_N2K_000097,SPA,SE227,HAB_097,SP_0097,8861.47,FV,AGRI_INTENSIFICATION,0,12,0,321_NATURAL_GRASS,HIGH,0.6167,0.2708,10254095.86,EEA_NATURA2000,2010-06-19
2019,CY,CY_N2K_000098,SPA,HU6,HAB_098,SP_0098,60353.75,U1,URBANISATION,0,7,0,411_INLAND_WETLAND,UNKNOWN,0.5473,0.4406,18267844.31,LIFE_PROJECT_DATABASE,2010-07-02
2020,GR,GR_N2K_000099,SPA,FR6,HAB_099,SP_0099,31160.73,U2,POLLUTION,1,34,1,512_WATER,BAD,0.5303,0.3086,13406804.35,NATIONAL_HABITAT_REPORTING,2010-07-15
2021,MT,MT_N2K_000100,SPA,LT2,HAB_100,SP_0100,18670.83,XX,INVASIVE_SPECIES,0,28,0,111_URBAN,POOR,0.3993,0.7805,7260482.39,EEA_NATURA2000,2010-07-28
2022,ES,ES_N2K_000101,SPA,PL64,HAB_101,SP_0101,159152.32,FV,FORESTRY,1,9,0,211_ARABLE,MODERATE,0.4756,0.937,1795593.65,LIFE_PROJECT_DATABASE,2010-08-10
2023,CZ,CZ_N2K_000102,SPA,NL87,HAB_102,SP_0102,125702.55,U1,WATER_ABSTRACTION,0,4,1,231_PASTURES,GOOD,0.2202,0.7729,13967526.41,NATIONAL_HABITAT_REPORTING,2010-08-23
2024,HU,HU_N2K_000103,SPA,LV20,HAB_103,SP_0103,57930.9,U2,TOURISM_PRESSURE,0,8,0,311_BROADLEAVED,HIGH,0.6228,0.1145,4504661.92,EEA_NATURA2000,2010-09-05
2025,NL,NL_N2K_000104,SPA,SI4,HAB_104,SP_0104,106674.12,XX,CLIMATE_CHANGE,0,23,0,312_CONIFEROUS,UNKNOWN,0.5183,0.1827,3368382.33,LIFE_PROJECT_DATABASE,2010-09-18
2000,SE,SE_N2K_000105,SPA,LT74,HAB_105,SP_0105,66802.67,FV,AGRI_INTENSIFICATION,0,19,0,313_MIXED,BAD,0.9174,0.6874,502400.25,NATIONAL_HABITAT_REPORTING,2010-10-01
2001,DK,DK_N2K_000106,SPA,FI115,HAB_106,SP_0106,129307.12,U1,URBANISATION,1,22,0,321_NATURAL_GRASS,POOR,0.3927,0.8095,31117560.44,EEA_NATURA2000,2010-10-14
2002,IE,IE_N2K_000107,SPA,LT989,HAB_107,SP_0107,126615.1,U2,POLLUTION,0,22,0,411_INLAND_WETLAND,MODERATE,0.0931,0.7269,17390511.36,LIFE_PROJECT_DATABASE,2010-10-27
2003,PL,PL_N2K_000108,SPA,EE18,HAB_108,SP_0108,170600.29,XX,INVASIVE_SPECIES,1,15,0,512_WATER,GOOD,0.4184,0.492,11400537.39,NATIONAL_HABITAT_REPORTING,2010-11-09
2004,AT,AT_N2K_000109,SPA,HU577,HAB_109,SP_0109,113110.89,FV,FORESTRY,0,6,0,111_URBAN,HIGH,0.1397,0.8589,6541277.24,EEA_NATURA2000,2010-11-22
2005,EE,EE_N2K_000110,SPA,ES55,HAB_110,SP_0110,3276.18,U1,WATER_ABSTRACTION,1,25,0,211_ARABLE,UNKNOWN,0.5046,0.2309,29522569.23,LIFE_PROJECT_DATABASE,2010-12-05
2006,IT,IT_N2K_000111,SPA,AT379,HAB_111,SP_0111,208465.41,U2,TOURISM_PRESSURE,1,30,0,231_PASTURES,BAD,0.6445,0.6614,26620276.26,NATIONAL_HABITAT_REPORTING,2010-12-18
2007,PT,PT_N2K_000112,SPA,LV660,HAB_112,SP_0112,122183.41,XX,CLIMATE_CHANGE,0,11,1,311_BROADLEAVED,POOR,0.2326,0.3468,16299297.14,EEA_NATURA2000,2010-12-31
2008,BE,BE_N2K_000113,SPA,GR912,HAB_113,SP_0113,145529.3,FV,AGRI_INTENSIFICATION,1,26,0,312_CONIFEROUS,MODERATE,0.583,0.4298,7116898.6,LIFE_PROJECT_DATABASE,2011-01-13
2009,FI,FI_N2K_000114,SPA,PT510,HAB_114,SP_0114,241061.77,U1,URBANISATION,0,22,0,313_MIXED,GOOD,0.2797,0.453,15708354.5,NATIONAL_HABITAT_REPORTING,2011-01-26
2010,LV,LV_N2K_000115,SPA,ES2,HAB_115,SP_0115,203618.44,U2,POLLUTION,0,17,1,321_NATURAL_GRASS,HIGH,0.1368,0.3475,4332447.0,EEA_NATURA2000,2011-02-08
2011,RO,RO_N2K_000116,SPA,DE166,HAB_116,SP_0116,236712.97,XX,INVASIVE_SPECIES,1,6,0,411_INLAND_WETLAND,UNKNOWN,0.8448,0.1577,18966617.82,LIFE_PROJECT_DATABASE,2011-02-21
2012,BG,BG_N2K_000117,SPA,ES275,HAB_117,SP_0117,75193.98,FV,FORESTRY,1,16,0,512_WATER,BAD,0.4214,0.3968,1798678.15,NATIONAL_HABITAT_REPORTING,2011-03-06
2013,FR,FR_N2K_000118,SPA,IT723,HAB_118,SP_0118,89950.64,U1,WATER_ABSTRACTION,1,27,1,111_URBAN,POOR,0.2184,0.6226,21659118.19,EEA_NATURA2000,2011-03-19
