travel_tourism_reference_month,travel_tourism_destination_nuts_code,travel_tourism_country_iso2,travel_tourism_accommodation_type_code,travel_tourism_visitor_residency_country_iso2,travel_tourism_domestic_inbound_outbound_code,travel_tourism_nights_spent_count,travel_tourism_arrivals_count,travel_tourism_avg_length_of_stay_nights,travel_tourism_occupancy_rate_pct,travel_tourism_spend_total_eur,travel_tourism_spend_per_night_eur,travel_tourism_seasonality_index,travel_tourism_airbnb_like_listings_count,travel_tourism_short_term_rental_regulatory_flag,travel_tourism_sustainable_tourism_label_flag,travel_tourism_over_tourism_pressure_index,travel_tourism_eurostat_table_code,travel_tourism_data_collection_wave,travel_tourism_data_extract_date
2025-02,DE66,DE,OTHER,SI,INBOUND,2044,571,3.58,22.18,363052.01,203.85,1.245,345,1,0,0.5647,tour_occ_nim,2025W4,2025-08-19
2025-03,IE503,IE,SHORT_TERM_RENTAL,GE,OUTBOUND,2072,906,2.29,87.36,226654.22,106.72,0.911,283,0,1,0.8665,tour_dem_ttac,2025W3,2025-03-04
2025-04,HU393,HU,HOSTEL,MK,DOMESTIC,1696,507,3.35,50.07,300491.76,203.6,0.654,475,1,0,0.949,tour_occ_toor,2025W2,2024-04-22
2025-05,CZ62,CZ,CAMPING,VN,INBOUND,1487,255,5.83,54.22,118819.94,82.0,1.444,293,0,1,0.7091,tour_occ_arm,2025W1,2025-08-18
2025-06,SI25,SI,APARTHOTEL,DE,OUTBOUND,2059,736,2.8,78.32,169001.45,87.8,1.097,265,1,0,0.9103,tour_cap_nat,2024W4,2024-09-18
2025-07,SE683,SE,HOTEL,PT,DOMESTIC,1737,438,3.97,46.2,65762.64,38.12,1.37,280,0,1,0.9643,tour_occ_nim,2024W3,2024-04-17
2025-08,RO4,RO,OTHER,DZ,INBOUND,1541,298,5.17,94.37,327356.15,214.48,1.39,583,1,0,0.1595,tour_dem_ttac,2024W2,2025-05-05
2025-09,GR45,GR,SHORT_TERM_RENTAL,MA,OUTBOUND,2306,443,5.21,46.29,444314.58,200.73,1.372,531,1,1,0.2528,tour_occ_toor,2024W1,2024-05-03
2025-10,LV705,LV,HOSTEL,TR,DOMESTIC,1307,227,5.76,81.52,117584.37,99.05,0.897,236,1,0,0.9635,tour_occ_arm,2023W4,2024-02-06
2025-11,IT3,IT,CAMPING,EE,INBOUND,1286,232,5.54,38.34,325854.29,243.16,1.32,435,1,0,0.6979,tour_cap_nat,2023W3,2024-05-25
2025-12,HR31,HR,APARTHOTEL,MT,OUTBOUND,1447,261,5.54,80.28,296640.17,205.94,1.461,436,1,0,0.251,tour_occ_nim,2023W2,2025-04-17
2026-01,HU2,HU,HOTEL,BY,DOMESTIC,1376,435,3.16,36.66,320826.92,221.92,0.669,455,1,1,0.2586,tour_dem_ttac,2023W1,2024-01-21
2026-02,FI841,FI,OTHER,IS,INBOUND,1887,774,2.44,86.2,399287.44,225.01,1.509,491,1,0,0.6654,tour_occ_toor,2022W4,2026-02-18
2026-03,PT591,PT,SHORT_TERM_RENTAL,RU,OUTBOUND,2383,784,3.04,51.16,595682.36,248.0,0.819,362,0,0,0.7591,tour_occ_arm,2022W3,2026-01-20
2026-04,HR57,HR,HOSTEL,CY,DOMESTIC,2147,602,3.57,27.3,525982.22,219.13,1.47,313,0,0,0.1701,tour_cap_nat,2022W2,2024-01-22
2026-05,IE99,IE,CAMPING,LV,INBOUND,1343,219,6.13,37.57,54165.07,46.6,0.909,396,1,0,0.1725,tour_occ_nim,2022W1,2025-11-29
2026-06,GR14,GR,APARTHOTEL,SE,OUTBOUND,1334,266,5.02,29.17,237860.35,191.96,0.734,451,1,0,0.8214,tour_dem_ttac,2026W4,2024-05-23
2026-07,HU349,HU,HOTEL,IN,DOMESTIC,2409,515,4.68,55.14,580341.72,256.75,1.033,409,0,1,0.2654,tour_occ_toor,2026W3,2026-01-20
2026-08,BG860,BG,OTHER,NO,INBOUND,1445,272,5.31,24.58,228854.26,147.69,1.511,618,1,0,0.7004,tour_occ_arm,2026W2,2025-01-13
2026-09,SE857,SE,SHORT_TERM_RENTAL,BE,OUTBOUND,2117,906,2.34,52.78,139083.63,67.15,0.97,478,1,0,0.5143,tour_cap_nat,2026W1,2025-04-18
2026-10,RO63,RO,HOSTEL,HU,DOMESTIC,2304,453,5.09,59.07,433495.17,207.95,0.855,527,0,1,0.5531,tour_occ_nim,2025W4,2025-01-13
2026-11,DE428,DE,CAMPING,SK,INBOUND,1399,401,3.49,74.43,140367.82,106.11,0.985,472,1,1,0.8886,tour_dem_ttac,2025W3,2025-09-26
2026-12,HR5,HR,APARTHOTEL,GB,OUTBOUND,1888,393,4.8,49.82,451676.59,215.66,0.822,293,1,1,0.8685,tour_occ_toor,2025W2,2024-07-15
2018-01,CZ5,CZ,HOTEL,ME,DOMESTIC,1403,227,6.18,87.45,261309.75,174.04,0.674,628,0,0,0.8964,tour_occ_arm,2025W1,2025-10-11
2018-02,IE828,IE,OTHER,US,INBOUND,2301,807,2.85,46.82,507539.55,195.25,0.832,342,1,0,0.1017,tour_cap_nat,2024W4,2025-02-16
2018-03,EE539,EE,SHORT_TERM_RENTAL,FR,OUTBOUND,2543,959,2.65,34.99,368197.15,132.17,1.541,449,1,0,0.7523,tour_occ_nim,2024W3,2025-05-24
2018-04,DK17,DK,HOSTEL,PL,DOMESTIC,2232,655,3.41,75.5,177141.55,74.8,1.295,588,0,1,0.2829,tour_dem_ttac,2024W2,2024-09-02
2018-05,LV1,LV,CAMPING,CN,INBOUND,1931,833,2.32,79.27,123161.72,59.62,1.066,337,0,0,0.842,tour_occ_toor,2024W1,2025-09-13
2018-06,SK18,SK,APARTHOTEL,KE,OUTBOUND,1647,496,3.32,70.09,51230.95,34.61,0.845,458,1,0,0.1812,tour_occ_arm,2023W4,2025-08-15
2018-07,CY1,CY,HOTEL,TN,DOMESTIC,1709,340,5.03,37.83,114118.81,58.43,1.419,456,1,0,0.2628,tour_cap_nat,2023W3,2024-02-25
2018-08,HR48,HR,OTHER,DK,INBOUND,1671,493,3.39,71.77,165384.89,101.9,1.223,289,1,0,0.5331,tour_occ_nim,2023W2,2026-01-28
2018-09,EE64,EE,SHORT_TERM_RENTAL,LU,OUTBOUND,2323,566,4.1,35.15,213611.45,80.07,1.295,623,0,1,0.0994,tour_dem_ttac,2023W1,2024-11-02
2018-10,PL63,PL,HOSTEL,BA,DOMESTIC,1528,257,5.95,77.69,132926.82,93.29,0.709,419,0,0,0.136,tour_occ_toor,2022W4,2024-04-16
2018-11,LV7,LV,CAMPING,IR,INBOUND,2483,670,3.71,28.66,514015.94,191.26,0.81,648,1,1,0.1064,tour_occ_arm,2022W3,2025-06-22
2018-12,RO3,RO,APARTHOTEL,RS,OUTBOUND,2333,499,4.68,85.49,434975.11,218.46,0.884,552,1,1,0.6491,tour_cap_nat,2022W2,2025-12-26
2019-01,LU686,LU,HOTEL,HR,DOMESTIC,1682,639,2.63,24.13,257049.53,168.64,1.086,297,1,0,0.2252,tour_occ_nim,2022W1,2024-02-10
2019-02,ES736,ES,OTHER,IT,INBOUND,2526,523,4.83,94.81,580876.78,210.37,1.429,649,1,1,0.9605,tour_dem_ttac,2026W4,2024-05-10
2019-03,MT1,MT,SHORT_TERM_RENTAL,ES,OUTBOUND,1914,462,4.14,55.48,499817.41,244.12,1.369,463,0,0,0.6401,tour_occ_toor,2026W3,2025-02-25
2019-04,LT63,LT,HOSTEL,GH,DOMESTIC,2239,987,2.27,73.14,121008.48,48.71,1.187,378,0,1,0.317,tour_occ_arm,2026W2,2024-03-22
2019-05,DE68,DE,CAMPING,NG,INBOUND,1729,326,5.3,21.7,154758.87,92.05,1.475,639,0,1,0.6211,tour_cap_nat,2026W1,2026-01-10
2019-06,LU784,LU,APARTHOTEL,AT,OUTBOUND,1661,270,6.15,61.14,164548.31,89.87,0.861,696,1,0,0.568,tour_occ_nim,2025W4,2025-01-27
2019-07,DE965,DE,HOTEL,GR,DOMESTIC,2326,427,5.45,66.16,117828.12,56.68,1.237,511,0,0,0.6898,tour_dem_ttac,2025W3,2024-01-02
2019-08,NL441,NL,OTHER,RO,INBOUND,1601,268,5.97,90.49,250368.82,142.41,0.858,459,1,0,0.5025,tour_occ_toor,2025W2,2025-02-28
2019-09,AT295,AT,SHORT_TERM_RENTAL,EG,OUTBOUND,2582,698,3.7,38.04,358606.04,125.95,1.024,602,1,0,0.492,tour_occ_arm,2025W1,2025-04-13
2019-10,LU897,LU,HOSTEL,MD,DOMESTIC,2516,442,5.69,30.75,591567.21,206.97,1.09,310,0,0,0.3103,tour_cap_nat,2024W4,2024-02-08
2019-11,LU57,LU,CAMPING,UA,INBOUND,1978,324,6.1,52.49,342889.18,164.81,0.871,639,1,0,0.7215,tour_occ_nim,2024W3,2025-06-14
2019-12,SI1,SI,APARTHOTEL,FI,OUTBOUND,2319,486,4.77,55.15,444485.59,220.99,0.786,353,1,0,0.2624,tour_dem_ttac,2024W2,2024-09-24
2020-01,IE5,IE,HOTEL,NL,DOMESTIC,2711,663,4.09,19.55,467133.14,161.44,0.992,619,1,1,0.2781,tour_occ_toor,2024W1,2026-01-27
2020-02,DE27,DE,OTHER,CH,INBOUND,1881,367,5.13,28.17,440722.72,249.42,0.747,448,0,0,0.4416,tour_occ_arm,2023W4,2025-06-28
2020-03,NL4,NL,SHORT_TERM_RENTAL,JP,OUTBOUND,1838,647,2.84,24.02,133855.35,75.99,0.846,428,1,0,0.6366,tour_cap_nat,2023W3,2024-02-03
2020-04,ES586,ES,HOSTEL,SY,DOMESTIC,2399,608,3.95,83.26,200479.49,86.84,1.223,678,1,0,0.6202,tour_occ_nim,2023W2,2025-06-25
2020-05,IT27,IT,CAMPING,CZ,INBOUND,1769,315,5.62,37.64,407230.8,238.57,1.268,604,0,0,0.785,tour_dem_ttac,2023W1,2024-10-03
2020-06,SI470,SI,APARTHOTEL,LT,OUTBOUND,2463,494,4.99,27.75,391486.27,178.74,1.207,599,1,0,0.6301,tour_occ_toor,2022W4,2025-09-11
2020-07,SI57,SI,HOTEL,AL,DOMESTIC,2374,443,5.36,71.39,195319.93,84.8,1.199,695,1,0,0.6548,tour_occ_arm,2022W3,2025-01-13
2020-08,ES419,ES,OTHER,IQ,INBOUND,2622,449,5.84,53.97,619041.5,241.91,0.857,688,0,0,0.483,tour_cap_nat,2022W2,2025-10-30
2020-09,LT59,LT,SHORT_TERM_RENTAL,PK,OUTBOUND,1638,303,5.41,60.06,42119.85,22.55,1.315,439,0,1,0.1648,tour_occ_nim,2022W1,2024-07-19
2020-10,PT657,PT,HOSTEL,BG,DOMESTIC,2699,580,4.65,34.79,159510.95,66.87,0.72,624,0,1,0.183,tour_dem_ttac,2026W4,2024-11-11
2020-11,SI69,SI,CAMPING,IE,INBOUND,2597,591,4.39,49.54,558151.13,202.35,1.326,564,1,1,0.1415,tour_occ_toor,2026W3,2025-09-09
2020-12,SI42,SI,APARTHOTEL,SI,OUTBOUND,2196,505,4.35,58.48,250565.42,115.25,1.188,619,1,0,0.6963,tour_occ_arm,2026W2,2024-11-23
2021-01,BE945,BE,HOTEL,GE,DOMESTIC,2654,1014,2.62,39.68,248359.82,102.16,0.996,522,1,0,0.2684,tour_cap_nat,2026W1,2025-12-25
2021-02,LU53,LU,OTHER,MK,INBOUND,2205,512,4.31,52.9,47032.41,22.07,1.133,409,0,0,0.1493,tour_occ_nim,2025W4,2024-03-20
2021-03,MT7,MT,SHORT_TERM_RENTAL,VN,OUTBOUND,2794,1073,2.6,49.11,728507.85,249.07,0.785,507,1,0,0.6134,tour_dem_ttac,2025W3,2024-09-17
2021-04,DK197,DK,HOSTEL,DE,DOMESTIC,2015,340,5.93,64.91,343251.65,185.05,1.017,465,1,1,0.5144,tour_occ_toor,2025W2,2026-01-03
2021-05,CY421,CY,CAMPING,PT,INBOUND,1794,680,2.64,83.6,306913.38,175.19,0.669,396,0,1,0.8387,tour_occ_arm,2025W1,2024-10-12
2021-06,SI53,SI,APARTHOTEL,DZ,OUTBOUND,2497,452,5.52,40.57,278421.65,112.59,0.841,713,1,1,0.9478,tour_cap_nat,2024W4,2024-11-21
