labor_part_survey_month,labor_part_cps_rotation_group,labor_part_population_16plus,labor_part_participation_rate_pct,labor_part_employment_population_ratio_pct,labor_part_u6_underemployment_rate_pct,labor_part_part_time_economic_reasons_rate,labor_part_marginally_attached_rate,labor_part_discouraged_worker_rate,labor_part_not_in_labor_force_want_job_rate,labor_part_prime_age_participation_rate,labor_part_older_worker_participation_rate,labor_part_youth_participation_rate,labor_part_disability_labor_force_gap_pct,labor_part_caregiving_barrier_rate,labor_part_school_enrollment_barrier_rate,labor_part_transportation_barrier_rate,labor_part_childcare_constraint_index,labor_part_job_search_intensity_score,labor_part_weighting_method_tag
2023-10,RG5,115258510,30.41,63.84,22.79,9.28,4.16,0.18,6.63,74.9,29.03,8.21,11.24,17.14,33.42,15.17,30.31,0.0146,calibrated_wt
2023-09,RG6,27502046,55.62,41.31,14.47,4.61,4.24,3.55,2.59,44.19,39.29,48.02,23.08,22.09,0.05,15.26,39.97,0.9498,post_strat_wt
2023-08,RG7,38843376,50.16,25.01,12.58,5.91,2.22,1.98,6.97,67.63,39.69,15.55,6.96,2.36,7.76,15.68,91.65,0.2549,design_wt
2024-10,RG8,45510794,38.65,26.35,17.71,7.43,4.46,0.49,7.42,48.89,38.59,18.76,21.21,22.13,12.45,2.5,30.99,0.6992,design_wt
2023-03,RG1,37511733,65.26,57.65,29.51,6.87,4.13,4.78,8.26,53.61,39.18,29.96,26.68,21.28,2.98,6.96,21.98,0.9538,raked_wt
2019-08,RG2,10887341,36.98,51.89,4.81,8.77,5.48,3.06,0.09,64.1,15.18,42.48,12.53,15.93,24.05,3.44,28.27,0.4554,calibrated_wt
2024-02,RG3,73701540,53.4,36.61,22.29,12.66,3.44,0.69,4.51,78.75,38.76,51.06,15.0,6.21,32.95,7.65,76.87,0.1234,calibrated_wt
2022-12,RG4,114673069,64.37,44.06,13.95,9.51,0.77,1.36,1.01,77.22,10.23,30.39,3.49,19.46,3.73,13.5,45.94,0.9413,raked_wt
2019-02,RG5,111445807,67.8,43.39,12.46,6.89,5.43,3.92,0.12,47.12,12.53,39.55,1.04,0.09,13.31,17.31,29.89,0.0027,calibrated_wt
2020-10,RG6,61565359,45.12,60.22,23.12,13.18,2.07,4.08,9.72,60.77,41.75,50.1,24.35,16.45,30.8,1.2,61.61,0.6788,calibrated_wt
2019-12,RG7,52649338,63.68,40.71,29.5,6.28,3.79,3.67,6.29,83.36,23.14,31.99,10.42,13.47,6.63,10.51,13.44,0.0127,design_wt
2021-06,RG8,69578629,37.27,60.06,23.43,8.1,4.63,1.04,0.94,71.41,38.62,17.87,3.51,24.27,34.98,17.09,60.67,0.2243,calibrated_wt
2022-09,RG1,111741602,48.15,58.28,11.77,6.61,1.25,3.33,8.2,42.5,11.95,28.16,7.1,11.44,10.67,10.06,12.57,0.5186,calibrated_wt
2021-02,RG2,54822386,35.86,62.89,3.91,8.96,5.65,1.03,1.31,57.99,42.35,16.12,21.45,12.9,24.57,8.34,1.06,0.3854,calibrated_wt
2023-10,RG3,44050967,68.98,39.76,9.54,2.87,3.59,4.21,6.15,55.36,25.78,34.44,1.9,12.13,2.68,18.86,4.21,0.5343,design_wt
2019-02,RG4,38065577,52.24,40.21,14.47,14.47,1.59,0.38,8.56,47.67,37.05,54.23,13.97,19.69,2.3,4.22,73.82,0.2008,raked_wt
2018-10,RG5,66812781,47.75,34.59,6.45,9.39,5.19,3.78,3.76,49.79,30.7,31.4,27.36,0.16,17.91,5.47,51.71,0.8252,post_strat_wt
2020-04,RG6,119856249,39.84,25.07,30.22,2.49,0.35,1.24,2.86,82.1,41.09,32.38,1.24,13.17,18.32,12.03,88.76,0.6296,raked_wt
2024-10,RG7,19672512,69.99,44.25,32.74,6.76,2.46,3.23,1.48,65.27,21.15,26.3,14.17,13.81,27.85,0.92,2.53,0.4783,calibrated_wt
2022-11,RG8,99924283,46.29,25.94,25.44,5.74,2.71,0.24,1.82,61.73,31.55,49.91,22.47,9.26,27.33,16.89,76.08,0.4633,post_strat_wt
2024-05,RG1,68154014,60.3,54.34,24.64,9.96,3.02,2.72,7.08,43.76,14.45,43.83,16.32,12.99,26.38,8.98,98.71,0.4837,raked_wt
2018-10,RG2,96328746,39.65,39.69,8.44,14.74,5.9,3.16,5.99,76.42,22.16,29.76,22.07,9.34,18.21,10.37,97.32,0.949,raked_wt
2022-09,RG3,23753530,62.35,35.63,32.66,13.1,1.99,0.48,1.85,82.85,43.46,10.68,9.19,17.16,22.88,4.37,25.76,0.3717,raked_wt
2024-03,RG4,3688801,37.53,56.08,12.16,2.4,5.24,4.74,0.35,64.71,28.14,8.37,23.7,23.46,13.27,11.19,68.48,0.1361,raked_wt
2019-02,RG5,51080479,67.18,41.51,27.18,7.53,2.82,2.01,2.59,59.64,27.47,9.09,23.49,22.02,26.15,17.19,63.57,0.9921,raked_wt
2018-06,RG6,101534036,57.2,56.41,34.16,11.39,0.7,1.89,1.28,50.61,30.6,51.58,20.2,17.84,3.41,1.8,94.58,0.3699,post_strat_wt
2019-04,RG7,8895764,47.04,43.61,4.37,14.86,1.07,4.88,2.15,55.43,18.39,8.47,5.13,19.12,15.55,10.34,52.68,0.7385,raked_wt
2019-03,RG8,58557531,38.96,31.24,16.56,14.0,5.54,2.79,8.89,83.52,40.66,33.74,10.61,17.05,24.47,16.44,34.29,0.0159,raked_wt
2021-09,RG1,83058928,53.61,51.12,7.54,0.63,5.29,4.61,8.68,75.72,14.76,26.79,6.39,14.35,27.15,9.53,33.58,0.0899,calibrated_wt
2020-03,RG2,104080870,59.82,44.01,23.45,3.06,5.69,3.78,2.3,74.86,35.66,44.2,4.31,16.64,19.44,6.53,68.21,0.8121,raked_wt
2021-08,RG3,75560417,41.76,52.63,10.72,3.42,5.26,0.8,7.26,67.39,12.14,43.85,25.37,20.99,28.67,6.17,21.01,0.0998,raked_wt
2019-11,RG4,84732941,61.01,36.0,30.95,11.74,4.48,1.7,4.91,75.27,44.24,13.7,28.62,23.27,16.64,4.2,87.16,0.6693,post_strat_wt
2023-04,RG5,2904414,43.65,27.66,31.1,9.76,1.07,2.94,4.78,83.74,19.69,37.59,19.14,15.09,8.26,10.27,57.08,0.8422,design_wt
2022-02,RG6,102935335,51.25,51.82,15.82,13.76,1.63,4.72,8.55,58.4,27.15,45.2,25.98,0.99,12.93,19.75,44.62,0.2963,calibrated_wt
2022-03,RG7,48865087,39.05,37.84,24.35,3.97,2.04,0.75,7.03,84.12,37.69,44.42,7.79,2.42,12.64,5.41,68.03,0.4159,raked_wt
2019-11,RG8,33535360,41.73,44.22,14.98,10.22,1.24,2.4,9.61,44.77,26.65,14.1,6.8,6.89,7.98,17.62,4.17,0.3937,calibrated_wt
2024-04,RG1,64499017,66.08,45.94,9.6,4.82,3.44,3.17,7.66,73.63,31.01,24.7,12.67,18.29,30.6,8.52,52.8,0.8064,raked_wt
2020-01,RG2,46138705,55.05,55.51,6.2,3.11,5.42,3.15,1.96,56.5,26.12,46.5,15.99,15.55,8.13,9.01,57.5,0.1486,calibrated_wt
2019-06,RG3,23750783,34.46,34.77,2.17,14.78,1.66,2.98,3.02,79.97,26.58,31.83,4.88,12.55,13.7,7.01,55.62,0.1751,calibrated_wt
2022-09,RG4,114462100,68.37,42.61,10.46,4.94,2.38,1.05,1.26,58.73,39.66,42.9,12.0,5.45,33.66,19.56,52.66,0.857,raked_wt
2023-10,RG5,67046217,56.96,50.59,18.87,12.73,2.2,0.54,2.35,69.89,25.89,19.01,16.42,21.9,10.05,9.72,48.06,0.1863,calibrated_wt
2023-07,RG6,8378551,46.48,43.05,28.34,2.33,5.06,2.72,1.33,56.5,12.59,53.23,4.74,15.33,17.59,4.5,97.35,0.5955,raked_wt
2024-03,RG7,57504886,41.75,36.18,20.88,1.73,4.22,1.21,3.77,66.41,19.06,43.38,14.01,12.58,5.46,10.48,24.2,0.4098,design_wt
2018-04,RG8,85463688,39.26,35.72,25.38,2.21,3.76,2.02,6.54,46.46,22.21,17.62,17.78,22.02,22.28,13.52,59.61,0.1743,design_wt
2022-08,RG1,14657747,32.42,61.23,12.4,3.29,3.93,3.55,2.18,47.63,33.93,22.42,1.92,8.25,5.33,19.34,50.56,0.4528,post_strat_wt
2019-04,RG2,28777795,46.1,60.61,33.92,0.38,2.76,4.77,2.84,51.75,32.87,26.44,22.29,17.13,27.51,10.29,98.43,0.4111,design_wt
2018-01,RG3,85109167,47.42,52.35,18.97,5.54,4.31,0.61,2.2,61.95,28.6,47.96,0.59,3.24,14.94,12.75,51.29,0.005,calibrated_wt
2018-10,RG4,115674897,62.75,35.74,31.09,6.57,5.51,3.47,6.49,51.31,22.15,37.98,16.63,21.26,12.72,5.7,31.81,0.387,raked_wt
2020-02,RG5,98665156,32.46,60.32,14.73,4.7,1.85,2.73,5.45,54.18,35.28,52.83,6.05,0.6,3.24,15.1,28.12,0.212,raked_wt
2024-06,RG6,18528956,36.89,25.96,23.01,13.03,4.16,2.0,7.95,84.82,33.17,48.8,14.89,4.44,29.04,16.89,88.51,0.8975,design_wt
2022-12,RG7,61702833,57.39,31.06,19.8,5.17,1.7,2.52,1.0,84.61,26.27,6.14,1.77,3.38,26.88,7.57,92.68,0.2679,raked_wt
2020-07,RG8,33352889,61.59,58.41,31.83,13.36,4.67,3.09,4.41,48.87,41.0,31.61,21.57,4.85,22.07,18.05,76.37,0.0534,calibrated_wt
2023-11,RG1,31787275,63.66,64.23,9.74,12.18,4.06,2.49,8.37,56.89,22.98,12.86,11.28,7.89,16.76,9.99,71.35,0.1939,post_strat_wt
2019-06,RG2,92350211,62.76,31.41,24.49,2.25,4.3,3.34,9.29,69.64,14.94,45.8,23.24,24.16,11.05,7.04,43.93,0.5647,raked_wt
2023-07,RG3,49594848,62.62,41.29,27.13,14.04,1.61,0.07,7.46,61.43,43.7,22.46,29.53,15.79,16.01,8.28,41.64,0.4039,post_strat_wt
2020-09,RG4,76030120,42.62,63.58,3.19,12.4,4.85,4.2,5.44,50.42,26.79,7.76,6.23,24.17,14.76,12.05,4.25,0.823,post_strat_wt
2024-02,RG5,100045893,58.82,46.28,21.35,8.44,5.03,3.3,6.38,77.28,24.99,27.82,16.47,7.09,18.55,11.98,67.08,0.3603,raked_wt
2019-10,RG6,83851338,69.79,32.63,31.64,0.45,3.81,2.23,9.41,52.53,42.65,37.54,21.53,24.45,21.74,5.41,21.55,0.2181,raked_wt
2023-09,RG7,422946,35.36,52.99,16.88,14.92,5.81,1.46,8.84,81.14,12.79,38.31,26.81,1.25,27.74,12.49,66.54,0.8994,calibrated_wt
2022-10,RG8,57324623,61.08,50.99,15.27,4.77,0.26,2.77,7.38,79.63,43.78,7.87,2.88,24.18,6.91,10.1,0.57,0.2919,calibrated_wt
2022-06,RG1,76805836,45.2,37.08,4.46,3.67,3.76,4.44,0.39,59.39,22.12,36.45,17.05,12.78,9.33,14.34,90.8,0.6267,calibrated_wt
2021-12,RG2,3149316,52.64,33.28,10.11,8.28,5.46,4.2,2.11,44.51,17.33,37.79,23.15,20.51,3.05,16.85,60.88,0.3943,design_wt
2019-12,RG3,105253983,50.54,44.33,16.01,0.88,0.18,0.06,7.23,70.72,30.74,13.15,2.84,13.95,34.72,8.89,68.22,0.5255,design_wt
2021-09,RG4,83708217,54.26,26.71,4.56,12.76,0.64,3.59,9.55,43.9,33.68,10.17,12.07,17.07,29.44,8.6,42.5,0.1219,calibrated_wt
2020-09,RG5,49580561,61.82,45.99,30.45,8.37,1.02,3.91,2.22,43.23,12.93,12.85,22.68,10.54,12.1,17.33,37.57,0.397,raked_wt
2019-11,RG6,83537172,41.53,46.01,7.22,6.51,4.3,1.2,2.97,80.09,44.25,40.54,12.67,16.88,10.85,9.7,13.72,0.2548,post_strat_wt
2021-05,RG7,39014373,48.36,30.41,18.37,1.21,5.86,1.45,6.4,78.11,43.95,49.46,1.71,19.35,19.75,8.39,75.55,0.654,post_strat_wt
2019-11,RG8,75220878,38.91,49.5,29.11,13.77,0.87,2.9,3.09,67.63,25.23,55.0,26.52,15.44,29.32,17.61,34.29,0.1235,design_wt
2024-07,RG1,84572811,64.8,60.61,34.58,5.11,3.22,3.36,3.23,84.45,37.17,10.09,19.79,21.17,24.59,7.44,23.64,0.1771,post_strat_wt
2019-05,RG2,91479760,48.73,64.55,17.11,7.27,0.46,0.74,8.89,72.76,17.58,44.68,22.4,14.49,18.56,0.11,23.88,0.0268,calibrated_wt
2023-03,RG3,11676184,45.72,45.4,17.71,1.14,3.77,3.76,0.18,61.67,21.14,43.89,28.25,8.69,11.63,7.67,45.77,0.4669,design_wt
2021-10,RG4,100493144,48.42,55.71,22.84,4.54,5.32,4.5,1.03,81.7,14.4,37.33,19.98,11.18,9.72,1.08,85.96,0.0202,post_strat_wt
2022-12,RG5,99137480,63.13,63.12,33.23,12.65,5.03,4.45,9.08,80.58,26.71,31.91,1.69,8.23,0.1,14.6,21.38,0.9253,calibrated_wt
2021-07,RG6,89401921,60.98,63.04,25.27,4.47,4.13,0.45,7.47,43.97,42.82,18.48,5.27,24.59,24.91,12.68,38.11,0.7021,raked_wt
2019-08,RG7,106008004,65.65,25.79,30.14,13.0,0.51,0.86,6.6,80.24,29.15,44.1,5.93,15.72,15.91,6.28,67.87,0.2542,design_wt
2019-02,RG8,87100871,42.94,45.7,21.46,13.96,2.09,4.47,9.18,44.34,22.87,9.23,0.82,15.86,2.91,0.89,81.94,0.918,raked_wt
2022-01,RG1,90897159,59.21,45.75,29.51,12.91,4.95,4.2,5.65,59.13,38.1,48.58,13.51,6.36,26.38,17.34,94.46,0.9524,raked_wt
2020-05,RG2,32810356,31.4,36.71,15.95,7.23,4.53,1.68,4.8,62.66,16.23,19.77,12.95,23.13,28.2,0.16,92.36,0.8595,design_wt
2024-05,RG3,119479272,38.99,57.35,26.82,12.41,2.24,2.38,7.61,60.37,39.59,40.88,13.4,24.11,16.17,4.17,56.16,0.2642,calibrated_wt
2023-10,RG4,3071604,57.41,59.65,34.74,4.41,2.91,3.21,4.65,57.1,19.49,10.33,19.61,16.09,25.61,5.52,48.95,0.6156,calibrated_wt
2022-12,RG5,92951055,66.51,33.53,16.54,1.79,2.89,1.38,3.46,73.14,31.87,46.64,2.55,3.24,30.86,2.32,98.96,0.1427,post_strat_wt
2022-08,RG6,60258636,48.37,49.65,18.74,5.91,5.49,3.05,3.14,53.94,22.16,51.09,9.42,2.27,16.95,15.62,15.72,0.9775,calibrated_wt
2023-11,RG7,50640073,37.48,64.88,10.75,1.58,2.13,0.01,7.74,69.61,10.8,42.01,21.89,23.67,25.37,13.15,27.99,0.7941,post_strat_wt
2022-01,RG8,10764117,34.44,30.95,4.84,3.24,0.68,4.19,4.19,67.91,29.89,37.74,9.49,8.5,15.88,1.3,69.82,0.3641,post_strat_wt
2022-04,RG1,29001368,52.9,40.49,5.1,12.0,0.72,3.24,0.58,67.69,38.94,9.29,22.07,16.84,19.68,19.75,43.28,0.9755,design_wt
2020-08,RG2,74901867,61.83,39.64,11.81,1.7,1.87,4.52,6.98,84.43,11.87,33.26,19.58,4.25,0.29,19.22,34.84,0.8544,post_strat_wt
2021-01,RG3,65968584,62.92,53.37,32.26,2.22,4.21,1.73,5.36,82.27,29.49,32.12,18.85,1.22,2.56,3.09,86.23,0.0395,post_strat_wt
2019-08,RG4,80697580,64.89,39.93,17.96,8.73,2.02,2.87,8.47,80.81,10.88,9.89,16.85,18.38,17.56,16.58,34.38,0.917,raked_wt
2019-11,RG5,106259966,37.77,51.11,2.39,0.43,2.37,0.25,1.21,75.18,14.68,14.8,4.6,15.84,22.81,15.3,88.89,0.4492,post_strat_wt
2021-09,RG6,41903601,53.7,25.74,3.9,0.04,4.55,3.66,7.31,59.83,21.67,53.34,13.76,15.3,12.83,6.35,60.67,0.2951,raked_wt
2024-04,RG7,35956326,39.13,31.43,34.88,3.56,5.18,2.66,2.64,52.2,37.11,30.14,29.35,11.77,0.02,7.8,8.73,0.0489,design_wt
2023-09,RG8,92953350,31.03,42.44,32.71,10.31,2.57,4.04,0.83,41.03,30.1,11.95,8.96,17.84,23.77,16.38,74.87,0.5949,design_wt
2019-04,RG1,68093107,35.53,58.65,20.41,7.17,2.03,3.18,3.84,46.83,13.07,10.49,7.77,17.62,15.3,11.97,66.16,0.7567,calibrated_wt
2023-05,RG2,6920724,36.88,56.7,29.18,7.08,2.66,2.86,6.45,41.7,35.1,10.79,8.79,15.56,21.85,14.22,22.83,0.6232,calibrated_wt
2021-12,RG3,83474040,34.41,49.9,17.03,6.69,5.12,0.69,0.32,56.49,21.83,33.8,8.41,12.66,21.45,17.01,43.53,0.0398,post_strat_wt
2021-03,RG4,60666914,31.49,40.78,8.59,8.63,4.64,2.18,4.61,60.83,31.87,38.44,5.48,12.42,12.41,1.75,65.3,0.2429,design_wt
2020-05,RG5,47355046,35.24,48.58,15.68,12.52,3.5,3.94,8.46,77.76,16.05,34.96,27.74,22.15,25.39,9.32,66.2,0.2708,post_strat_wt
2021-10,RG6,4413070,66.48,58.4,13.63,5.12,1.69,1.27,2.43,84.24,20.76,7.08,9.7,18.57,10.58,10.0,11.38,0.1736,design_wt
2022-07,RG7,46408047,63.42,44.48,4.07,14.89,2.15,4.0,8.22,65.9,40.56,49.6,2.99,4.25,13.22,8.16,96.36,0.3369,calibrated_wt
2024-06,RG8,22098496,67.9,35.15,23.0,2.72,4.94,1.11,8.99,48.75,15.89,14.2,8.47,24.36,5.57,9.66,66.97,0.4087,post_strat_wt
2024-01,RG1,67820488,37.24,51.25,19.3,5.57,5.26,1.6,2.97,78.55,35.09,7.44,7.56,21.3,27.64,3.08,15.73,0.0407,raked_wt
2019-01,RG2,42832894,30.58,58.13,12.77,7.04,3.86,0.0,5.93,81.73,35.85,32.75,20.97,17.56,29.24,14.26,75.46,0.9345,post_strat_wt
2022-05,RG3,38696147,56.1,42.25,30.76,9.31,5.82,4.77,8.68,61.12,29.24,48.99,8.82,15.72,13.72,13.65,12.96,0.0248,calibrated_wt
2021-12,RG4,95796495,66.71,45.01,17.65,3.69,3.69,1.72,2.94,74.23,37.57,32.35,22.0,10.9,3.17,4.47,81.41,0.0659,post_strat_wt
2021-04,RG5,43673481,33.47,30.77,4.22,11.75,3.68,4.48,9.86,46.36,41.86,48.42,3.96,21.19,12.0,12.12,31.76,0.4995,calibrated_wt
2020-04,RG6,80386356,50.01,27.96,22.62,14.82,4.44,2.04,5.35,43.77,41.97,43.47,29.23,7.08,17.05,11.25,16.55,0.2965,raked_wt
2021-09,RG7,105177623,50.67,51.84,5.04,14.98,1.35,3.58,9.34,54.73,11.28,30.97,3.18,23.11,12.51,15.41,99.2,0.615,raked_wt
2018-07,RG8,73479634,47.28,62.23,34.15,10.23,0.89,3.04,5.33,76.67,38.29,33.98,9.67,23.53,24.92,7.73,54.56,0.9566,raked_wt
2024-03,RG1,28575230,43.1,36.16,5.09,5.68,0.11,2.93,4.57,63.01,25.6,5.22,19.77,6.83,29.0,7.48,74.24,0.6375,design_wt
2024-06,RG2,62223025,34.61,41.11,19.41,8.86,5.18,1.47,8.17,43.57,38.65,50.37,24.89,8.5,28.74,5.18,64.04,0.3399,design_wt
2021-09,RG3,9911595,56.27,48.89,20.28,4.04,1.64,3.48,0.71,48.16,18.67,33.48,17.92,14.95,3.13,9.12,57.7,0.3651,design_wt
2023-08,RG4,118814048,55.51,50.92,17.3,5.98,2.67,3.65,1.64,76.03,17.55,32.43,21.11,14.48,22.94,9.88,93.95,0.798,calibrated_wt
2019-02,RG5,44922683,36.94,34.74,26.45,9.74,5.99,3.34,9.15,66.22,39.46,47.01,11.58,12.26,27.1,6.22,16.19,0.0754,design_wt
2022-10,RG6,74582667,52.68,51.47,21.64,1.72,3.44,2.25,7.79,58.48,21.58,46.0,6.22,6.24,23.87,6.15,1.8,0.4491,calibrated_wt
2021-06,RG7,92486823,48.06,42.8,31.2,7.15,1.6,4.32,8.38,40.65,20.59,11.37,26.66,14.56,7.88,16.27,76.94,0.1358,design_wt
2023-10,RG8,29285792,62.87,64.26,7.99,2.38,0.99,2.58,7.16,45.59,16.19,14.99,16.73,1.87,17.26,4.25,79.19,0.1527,calibrated_wt
2019-04,RG1,87534194,48.2,53.58,9.9,1.45,5.66,4.3,8.54,69.36,29.81,43.84,2.46,0.46,10.76,13.55,47.44,0.4599,calibrated_wt
2023-01,RG2,103213758,40.14,41.08,11.95,10.36,0.53,3.92,1.55,64.68,13.34,23.03,8.11,8.63,7.29,5.05,76.45,0.1167,design_wt
2023-02,RG3,111872721,44.36,44.27,9.75,1.44,1.4,1.24,7.64,68.01,20.58,46.54,21.46,2.03,15.46,4.07,38.68,0.1695,raked_wt
2019-07,RG4,1818613,31.65,53.94,11.34,13.85,2.83,2.72,0.89,80.11,39.0,15.33,0.01,21.62,15.47,6.63,90.99,0.5925,calibrated_wt
2018-01,RG5,24001146,56.36,55.29,2.33,4.06,3.6,3.72,2.66,83.19,36.35,46.77,15.93,4.24,34.91,9.39,88.67,0.2998,design_wt
2021-05,RG6,71057507,66.59,56.1,29.28,12.79,5.02,0.81,5.35,52.88,36.55,13.09,8.91,23.94,24.94,0.04,47.35,0.9043,design_wt
2021-05,RG7,62131194,67.81,60.09,24.59,7.15,1.88,4.58,6.03,69.16,19.83,52.24,9.4,6.54,30.04,10.25,29.71,0.751,calibrated_wt
2023-07,RG8,92292177,38.18,42.55,13.05,11.64,0.33,0.54,1.33,72.71,43.83,9.87,8.24,12.18,22.43,5.08,38.69,0.9176,post_strat_wt
2019-07,RG1,74851176,56.59,62.8,9.25,8.86,5.85,0.49,9.72,41.86,42.91,10.05,1.52,4.91,19.45,18.91,3.63,0.0797,post_strat_wt
2021-05,RG2,34274867,47.06,54.08,25.23,2.86,4.95,0.47,6.91,78.41,12.7,21.44,9.14,16.16,16.28,2.16,48.03,0.05,design_wt
2019-02,RG3,17343091,51.19,26.65,3.69,7.33,1.62,0.55,4.14,52.39,32.18,33.38,13.69,13.38,28.04,12.23,42.23,0.8837,raked_wt
2019-10,RG4,75304879,33.68,39.11,18.81,4.31,0.18,4.51,6.67,41.15,16.56,41.31,18.39,10.38,11.88,11.38,79.8,0.3524,calibrated_wt
2019-11,RG5,77971069,67.68,36.11,17.25,7.55,0.64,3.98,4.06,50.26,40.51,51.25,18.75,13.14,0.21,17.36,9.27,0.0903,design_wt
