house_sales_sale_month,house_sales_parcel_id_hash,house_sales_property_type_code,house_sales_sale_price_usd,house_sales_sale_price_per_sqft,house_sales_days_on_market,house_sales_list_to_sale_ratio,house_sales_mortgage_rate_at_sale,house_sales_loan_to_value_pct,house_sales_down_payment_pct,house_sales_buyer_type_code,house_sales_seller_type_code,house_sales_cash_sale_flag,house_sales_new_construction_flag,house_sales_renovation_flag,house_sales_assessed_value_usd,house_sales_taxable_value_usd,house_sales_school_quality_index,house_sales_neighborhood_walkscore,house_sales_recording_document_type
2009-07,PARC0000000019,TOWNHOME,184640,37.38,175,99.28,3.712,86.31,13.69,RELOCATING,INDIVIDUAL,1,1,0,171008,159815,6.8,48.0,TRUST_DEED
2009-08,PARC0000000020,MULTIFAMILY_5P,322646,62.36,58,107.53,3.365,87.93,12.07,OWNER_OCCUPANT,BANK_REO,0,1,0,251387,235529,1.7,43.0,FORECLOSURE_DEED
2009-09,PARC0000000021,CONDO,123913,32.86,137,95.99,4.127,67.42,32.58,FIRST_TIME,INVESTOR,0,1,0,107829,97292,8.9,98.8,TRUST_DEED
2009-10,PARC0000000022,TOWNHOME,311592,70.62,64,103.14,7.467,78.4,21.6,INVESTOR,ESTATE,0,0,0,303493,248893,5.2,63.7,FORECLOSURE_DEED
2009-11,PARC0000000023,TOWNHOME,151520,34.37,28,99.63,8.236,77.52,22.48,INSTITUTIONAL,BANK_REO,0,0,1,107069,86150,8.4,81.1,FORECLOSURE_DEED
2009-12,PARC0000000024,TOWNHOME,870132,305.74,210,93.74,3.154,68.15,31.85,RELOCATING,ESTATE,0,0,0,820255,642435,3.5,30.0,TRUST_DEED
2010-01,PARC0000000025,MULTIFAMILY_2_4,464583,232.76,44,105.93,3.084,93.37,6.63,OWNER_OCCUPANT,ESTATE,0,0,0,408293,332669,7.2,24.0,TRUST_DEED
2010-02,PARC0000000026,TOWNHOME,256869,60.06,23,86.68,3.358,72.4,27.6,RELOCATING,ESTATE,1,0,0,238474,204310,7.8,53.0,WARRANTY_DEED
2010-03,PARC0000000027,MULTIFAMILY_2_4,395130,346.3,111,104.46,4.996,85.35,14.65,RELOCATING,INDIVIDUAL,0,0,0,331887,268069,2.6,30.5,QUITCLAIM
2010-04,PARC0000000028,CONDO,291916,61.69,191,111.01,8.218,79.52,20.48,RELOCATING,BUILDER,0,1,0,300793,256598,6.8,68.0,SHERIFF_DEED
2010-05,PARC0000000029,MANUFACTURED,510116,108.6,162,96.87,3.896,68.01,31.99,INSTITUTIONAL,ESTATE,0,0,0,360983,344542,6.5,26.0,TRUST_DEED
2010-06,PARC0000000030,SFH,147039,78.63,51,108.86,7.46,94.74,5.26,INSTITUTIONAL,BANK_REO,1,0,0,115408,88719,6.8,50.1,QUITCLAIM
2010-07,PARC0000000031,MULTIFAMILY_2_4,119001,43.75,36,101.79,4.596,94.27,5.73,RELOCATING,INDIVIDUAL,0,0,0,110031,86471,3.7,71.3,QUITCLAIM
2010-08,PARC0000000032,MULTIFAMILY_5P,613345,351.29,27,85.42,6.578,53.51,46.49,FIRST_TIME,INDIVIDUAL,0,0,0,613685,516526,3.8,38.4,SHERIFF_DEED
2010-09,PARC0000000033,MULTIFAMILY_2_4,168989,73.86,171,101.57,5.41,50.65,49.35,INSTITUTIONAL,INDIVIDUAL,0,0,0,150056,139140,5.5,83.0,WARRANTY_DEED
2010-10,PARC0000000034,MULTIFAMILY_2_4,389816,204.95,97,102.03,5.165,61.24,38.76,INVESTOR,INDIVIDUAL,0,0,0,346842,290581,1.7,37.1,WARRANTY_DEED
2010-11,PARC0000000035,SFH,516504,127.97,91,103.15,3.734,53.75,46.25,INVESTOR,BUILDER,1,0,0,490559,458505,6.1,3.1,WARRANTY_DEED
2010-12,PARC0000000036,MULTIFAMILY_2_4,268742,65.82,49,98.71,2.299,81.55,18.45,INVESTOR,ESTATE,0,0,0,267182,207646,7.5,61.4,TRUST_DEED
2011-01,PARC0000000037,SFH,478333,151.42,99,101.95,2.557,71.85,28.15,INSTITUTIONAL,BUILDER,0,0,0,363627,348536,2.2,75.5,QUITCLAIM
2011-02,PARC0000000038,TOWNHOME,241166,58.75,148,100.44,5.258,62.26,37.74,RELOCATING,INDIVIDUAL,0,0,0,212135,179065,2.1,80.6,WARRANTY_DEED
2011-03,PARC0000000039,MULTIFAMILY_5P,159801,35.97,43,99.98,8.332,77.74,22.26,RELOCATING,ESTATE,0,0,1,130601,108658,6.3,37.8,WARRANTY_DEED
2011-04,PARC0000000040,SFH,530755,102.13,212,110.24,6.781,69.93,30.07,INSTITUTIONAL,BUILDER,0,0,0,512591,509790,5.2,15.8,WARRANTY_DEED
2011-05,PARC0000000041,SFH,191741,71.33,171,92.31,5.955,54.25,45.75,OWNER_OCCUPANT,BUILDER,1,0,0,179987,165866,2.8,64.3,SHERIFF_DEED
2011-06,PARC0000000042,MULTIFAMILY_5P,239044,196.74,139,91.78,5.668,60.93,39.07,FIRST_TIME,BANK_REO,0,0,0,215014,204035,3.9,11.2,QUITCLAIM
2011-07,PARC0000000043,MULTIFAMILY_5P,401759,136.28,142,94.96,5.907,91.58,8.42,RELOCATING,ESTATE,0,0,0,293564,275450,2.6,38.8,TRUST_DEED
2011-08,PARC0000000044,MULTIFAMILY_5P,312811,76.74,125,99.77,5.423,52.53,47.47,INSTITUTIONAL,INVESTOR,1,0,0,231234,213681,5.7,48.6,WARRANTY_DEED
2011-09,PARC0000000045,TOWNHOME,132210,82.02,197,106.63,7.681,86.61,13.39,INVESTOR,INVESTOR,1,0,0,127361,109054,5.3,25.5,QUITCLAIM
2011-10,PARC0000000046,SFH,369175,264.64,24,96.46,8.309,63.64,36.36,INSTITUTIONAL,INDIVIDUAL,0,0,0,311473,265571,6.1,73.8,SHERIFF_DEED
2011-11,PARC0000000047,TOWNHOME,357361,160.54,136,86.37,3.001,64.31,35.69,INSTITUTIONAL,INVESTOR,0,0,0,320809,246471,5.7,42.6,TRUST_DEED
2011-12,PARC0000000048,MULTIFAMILY_5P,303523,165.32,68,111.53,7.161,72.09,27.91,INVESTOR,INDIVIDUAL,0,0,0,269902,267408,8.6,85.4,QUITCLAIM
2012-01,PARC0000000049,TOWNHOME,605260,139.82,13,109.29,7.285,81.92,18.08,FIRST_TIME,INVESTOR,0,0,0,635451,560769,5.8,70.1,SHERIFF_DEED
2012-02,PARC0000000050,CONDO,363267,363.27,150,111.26,8.725,67.92,32.08,INSTITUTIONAL,INVESTOR,0,1,0,344196,283510,3.5,52.5,WARRANTY_DEED
2012-03,PARC0000000051,CONDO,213737,46.42,64,99.67,3.554,91.72,8.28,INVESTOR,BANK_REO,0,0,0,224061,207587,3.3,2.6,QUITCLAIM
2012-04,PARC0000000052,CONDO,141692,92.97,155,109.75,4.387,51.89,48.11,INSTITUTIONAL,BUILDER,0,0,0,137931,132956,8.3,40.9,WARRANTY_DEED
2012-05,PARC0000000053,MULTIFAMILY_2_4,482708,127.6,95,103.42,7.026,79.96,20.04,RELOCATING,BANK_REO,0,1,0,356787,280540,3.4,98.5,QUITCLAIM
2012-06,PARC0000000054,MULTIFAMILY_5P,242883,62.07,19,100.63,4.747,88.81,11.19,INVESTOR,ESTATE,0,0,0,204997,180816,1.7,43.9,WARRANTY_DEED
2012-07,PARC0000000055,TOWNHOME,121524,32.17,117,94.23,8.573,58.5,41.5,INVESTOR,BUILDER,1,0,1,86480,64861,7.6,5.8,TRUST_DEED
2012-08,PARC0000000056,TOWNHOME,484143,244.15,89,86.39,3.343,87.77,12.23,FIRST_TIME,INVESTOR,0,0,0,436463,367086,9.2,84.8,WARRANTY_DEED
2012-09,PARC0000000057,MANUFACTURED,196217,39.45,182,100.3,6.939,59.24,40.76,INSTITUTIONAL,BANK_REO,0,0,0,188700,185492,6.3,48.8,WARRANTY_DEED
2012-10,PARC0000000058,TOWNHOME,415167,93.59,207,95.34,5.814,56.06,43.94,OWNER_OCCUPANT,BUILDER,1,0,0,299127,228947,5.3,72.4,TRUST_DEED
2012-11,PARC0000000059,SFH,486732,140.03,64,94.46,6.592,78.81,21.19,OWNER_OCCUPANT,BANK_REO,0,0,0,373421,313301,9.0,80.8,TRUST_DEED
2012-12,PARC0000000060,MULTIFAMILY_2_4,156074,137.87,10,100.16,3.666,84.04,15.96,INVESTOR,INVESTOR,0,0,0,144339,130044,6.0,0.7,SHERIFF_DEED
2013-01,PARC0000000061,MULTIFAMILY_5P,210894,46.27,13,106.3,6.257,54.32,45.68,OWNER_OCCUPANT,INVESTOR,0,0,0,210918,167815,4.7,86.9,QUITCLAIM
2013-02,PARC0000000062,SFH,241980,236.08,83,103.9,4.686,63.08,36.92,INSTITUTIONAL,BUILDER,0,1,0,237319,187619,4.1,34.5,WARRANTY_DEED
2013-03,PARC0000000063,TOWNHOME,539855,350.78,176,104.58,5.628,89.94,10.06,INSTITUTIONAL,BANK_REO,0,0,0,471954,393340,5.8,7.5,SHERIFF_DEED
2013-04,PARC0000000064,MANUFACTURED,286936,60.83,56,85.01,8.061,86.8,13.2,INVESTOR,INDIVIDUAL,0,0,0,228579,192557,5.6,56.5,SHERIFF_DEED
2013-05,PARC0000000065,MULTIFAMILY_2_4,481199,109.19,23,96.71,7.984,88.49,11.51,FIRST_TIME,INDIVIDUAL,1,0,0,394601,350984,9.8,40.4,WARRANTY_DEED
2013-06,PARC0000000066,TOWNHOME,1901822,1888.6,92,107.11,5.987,84.74,15.26,INSTITUTIONAL,INVESTOR,0,0,0,1340692,1297628,1.1,16.2,FORECLOSURE_DEED
2013-07,PARC0000000067,MULTIFAMILY_5P,748813,221.02,21,98.12,8.304,83.34,16.66,INVESTOR,INVESTOR,0,0,0,613149,479440,8.5,43.3,TRUST_DEED
2013-08,PARC0000000068,MULTIFAMILY_5P,707070,140.49,187,90.24,6.038,61.19,38.81,FIRST_TIME,BUILDER,0,0,0,570327,460419,5.7,63.9,TRUST_DEED
2013-09,PARC0000000069,MULTIFAMILY_5P,250904,69.43,79,108.22,5.16,61.82,38.18,INVESTOR,BUILDER,0,0,0,186547,184326,6.6,46.9,SHERIFF_DEED
2013-10,PARC0000000070,TOWNHOME,484776,176.99,103,108.75,2.406,81.45,18.55,FIRST_TIME,INVESTOR,0,0,0,464369,381309,9.8,42.2,TRUST_DEED
2013-11,PARC0000000071,MANUFACTURED,315661,141.68,202,91.04,4.457,55.94,44.06,INVESTOR,ESTATE,0,0,0,231048,219614,3.9,95.0,SHERIFF_DEED
2013-12,PARC0000000072,SFH,262596,78.22,144,110.07,2.493,85.5,14.5,OWNER_OCCUPANT,BANK_REO,1,1,0,190022,185424,2.4,55.6,TRUST_DEED
2014-01,PARC0000000073,MULTIFAMILY_2_4,465980,115.37,211,101.63,6.158,63.82,36.18,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,353009,305467,9.6,48.6,SHERIFF_DEED
2014-02,PARC0000000074,MANUFACTURED,517318,109.42,30,106.54,7.552,94.84,5.16,OWNER_OCCUPANT,INVESTOR,1,0,0,460772,361406,1.5,75.3,QUITCLAIM
2014-03,PARC0000000075,SFH,241810,72.72,143,85.2,3.385,65.79,34.21,RELOCATING,INDIVIDUAL,0,0,0,194949,177827,3.7,98.0,SHERIFF_DEED
2014-04,PARC0000000076,MULTIFAMILY_5P,414371,150.9,206,111.08,5.261,93.46,6.54,INSTITUTIONAL,BUILDER,1,0,0,291718,234186,6.0,24.4,FORECLOSURE_DEED
2014-05,PARC0000000077,TOWNHOME,686327,163.84,166,111.87,5.661,84.62,15.38,RELOCATING,ESTATE,0,0,0,714157,635593,6.3,95.4,WARRANTY_DEED
2014-06,PARC0000000078,MULTIFAMILY_2_4,302465,74.59,216,106.46,7.213,80.43,19.57,RELOCATING,INVESTOR,0,0,0,255803,246242,4.5,29.1,TRUST_DEED
2014-07,PARC0000000079,SFH,229191,46.41,134,87.15,4.775,62.7,37.3,OWNER_OCCUPANT,ESTATE,0,0,1,209143,171339,8.9,36.7,WARRANTY_DEED
2014-08,PARC0000000080,MANUFACTURED,439299,291.51,57,85.55,6.129,57.35,42.65,FIRST_TIME,INVESTOR,1,1,0,427357,386293,7.3,68.4,SHERIFF_DEED
2014-09,PARC0000000081,CONDO,339920,131.04,218,92.97,4.68,74.06,25.94,INVESTOR,INVESTOR,1,1,0,259162,258934,6.6,61.8,WARRANTY_DEED
2014-10,PARC0000000082,MULTIFAMILY_5P,415101,253.11,92,94.25,8.696,95.41,4.59,INSTITUTIONAL,BUILDER,0,0,0,429330,422089,6.0,1.3,WARRANTY_DEED
2014-11,PARC0000000083,MANUFACTURED,219237,134.83,77,93.66,2.376,89.25,10.75,INVESTOR,INVESTOR,0,0,0,171064,168909,8.8,90.9,FORECLOSURE_DEED
2014-12,PARC0000000084,MULTIFAMILY_5P,442595,86.19,44,88.07,6.842,53.54,46.46,OWNER_OCCUPANT,ESTATE,0,0,0,404719,356930,5.2,54.0,SHERIFF_DEED
2015-01,PARC0000000085,MULTIFAMILY_5P,350196,348.8,25,93.11,2.47,51.29,48.71,INVESTOR,BANK_REO,1,0,0,247572,212954,8.4,93.6,FORECLOSURE_DEED
2015-02,PARC0000000086,MULTIFAMILY_5P,914853,381.03,126,88.41,3.577,50.41,49.59,INSTITUTIONAL,ESTATE,0,0,0,782644,745522,6.6,76.6,SHERIFF_DEED
2015-03,PARC0000000087,MULTIFAMILY_5P,636352,128.32,6,89.34,2.497,60.76,39.24,OWNER_OCCUPANT,BANK_REO,1,0,0,601309,575269,1.7,2.5,WARRANTY_DEED
2015-04,PARC0000000088,MULTIFAMILY_5P,327704,492.05,187,98.09,7.763,94.77,5.23,RELOCATING,BUILDER,0,0,0,253092,239859,6.7,1.3,SHERIFF_DEED
2015-05,PARC0000000089,MANUFACTURED,200500,61.37,175,105.54,3.046,76.72,23.28,RELOCATING,BANK_REO,1,0,0,147107,125052,1.4,14.6,SHERIFF_DEED
2015-06,PARC0000000090,MULTIFAMILY_5P,483957,174.21,187,99.25,5.982,56.38,43.62,RELOCATING,BUILDER,0,0,1,407649,382230,4.2,37.7,TRUST_DEED
2015-07,PARC0000000091,TOWNHOME,214441,43.57,80,97.98,2.76,60.59,39.41,INVESTOR,INDIVIDUAL,0,1,0,169508,161883,4.3,21.4,FORECLOSURE_DEED
2015-08,PARC0000000092,MANUFACTURED,204757,73.76,114,108.84,8.344,65.68,34.32,INSTITUTIONAL,BUILDER,1,0,0,185643,178435,6.1,76.0,WARRANTY_DEED
2015-09,PARC0000000093,MANUFACTURED,447973,339.89,6,93.26,2.7,51.02,48.98,INSTITUTIONAL,BUILDER,0,0,0,363471,310915,4.2,99.8,WARRANTY_DEED
2015-10,PARC0000000094,MANUFACTURED,149514,101.09,188,100.9,2.799,67.69,32.31,INSTITUTIONAL,BUILDER,1,1,0,118572,117163,2.1,34.9,TRUST_DEED
2015-11,PARC0000000095,MANUFACTURED,944738,319.28,60,92.93,3.547,83.65,16.35,FIRST_TIME,BUILDER,0,0,0,742093,589698,6.0,40.4,TRUST_DEED
2015-12,PARC0000000096,MANUFACTURED,147169,163.34,20,110.2,6.223,93.8,6.2,FIRST_TIME,ESTATE,1,0,0,113261,100655,3.2,42.2,SHERIFF_DEED
2016-01,PARC0000000097,MANUFACTURED,152376,253.12,116,103.08,5.697,64.5,35.5,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,130715,102943,4.3,44.5,QUITCLAIM
2016-02,PARC0000000098,SFH,253384,59.23,3,87.66,6.132,70.37,29.63,FIRST_TIME,INDIVIDUAL,0,0,0,263416,203102,7.0,52.3,TRUST_DEED
2016-03,PARC0000000099,MULTIFAMILY_5P,480951,99.43,71,97.73,8.39,77.3,22.7,FIRST_TIME,INVESTOR,0,0,0,488762,397085,5.8,56.6,SHERIFF_DEED
2016-04,PARC0000000100,CONDO,316906,147.95,60,87.55,7.741,80.18,19.82,FIRST_TIME,ESTATE,0,0,0,252364,225220,8.7,54.3,QUITCLAIM
2016-05,PARC0000000101,CONDO,207706,130.47,149,103.86,5.412,71.38,28.62,RELOCATING,INDIVIDUAL,0,0,0,200566,199973,9.1,22.0,FORECLOSURE_DEED
2016-06,PARC0000000102,MULTIFAMILY_5P,358027,252.13,5,88.49,3.211,75.12,24.88,RELOCATING,INDIVIDUAL,0,0,0,342317,288660,1.3,83.4,WARRANTY_DEED
2016-07,PARC0000000103,TOWNHOME,225150,112.07,76,90.89,2.416,88.74,11.26,INVESTOR,INVESTOR,0,0,0,163501,154087,6.1,39.0,TRUST_DEED
2016-08,PARC0000000104,TOWNHOME,253488,57.47,118,102.12,7.16,57.24,42.76,RELOCATING,BANK_REO,0,0,0,261895,212911,6.8,5.6,FORECLOSURE_DEED
2016-09,PARC0000000105,MULTIFAMILY_5P,439895,88.21,110,107.94,2.878,83.47,16.53,INSTITUTIONAL,ESTATE,0,0,0,380777,322106,4.3,74.6,WARRANTY_DEED
2016-10,PARC0000000106,MULTIFAMILY_5P,236768,112.37,121,107.95,4.794,64.31,35.69,INSTITUTIONAL,ESTATE,0,0,0,236253,203477,9.9,60.6,WARRANTY_DEED
2016-11,PARC0000000107,CONDO,659156,213.6,99,94.81,3.437,55.95,44.05,RELOCATING,BUILDER,1,0,0,534447,413389,2.3,83.8,QUITCLAIM
2016-12,PARC0000000108,CONDO,490692,152.2,196,86.98,7.166,84.07,15.93,INSTITUTIONAL,ESTATE,0,1,0,401657,365652,2.6,57.5,SHERIFF_DEED
2017-01,PARC0000000109,SFH,309607,184.29,73,96.62,8.443,72.53,27.47,RELOCATING,BANK_REO,0,0,0,325027,248289,3.5,28.8,TRUST_DEED
2017-02,PARC0000000110,MANUFACTURED,163309,137.7,2,96.22,3.801,93.94,6.06,RELOCATING,BUILDER,1,0,0,127316,108681,8.3,82.9,QUITCLAIM
2017-03,PARC0000000111,MULTIFAMILY_2_4,180526,113.47,164,95.52,8.448,94.79,5.21,FIRST_TIME,INDIVIDUAL,0,0,0,148203,128380,9.7,37.6,SHERIFF_DEED
2017-04,PARC0000000112,MANUFACTURED,339300,102.97,200,90.08,5.365,80.51,19.49,INVESTOR,INVESTOR,1,0,0,273368,212724,2.4,87.6,SHERIFF_DEED
2017-05,PARC0000000113,CONDO,194831,41.46,207,91.34,7.837,96.75,3.25,FIRST_TIME,INDIVIDUAL,1,0,0,148245,135377,7.8,40.1,TRUST_DEED
2017-06,PARC0000000114,SFH,242289,47.53,33,109.33,7.415,94.25,5.75,RELOCATING,ESTATE,0,1,0,204950,204851,3.2,51.4,QUITCLAIM
2017-07,PARC0000000115,MULTIFAMILY_5P,215333,159.03,88,90.82,3.682,56.85,43.15,INSTITUTIONAL,ESTATE,0,0,0,204602,186662,9.2,60.0,WARRANTY_DEED
2017-08,PARC0000000116,SFH,151944,44.25,17,95.18,6.343,94.85,5.15,INSTITUTIONAL,INDIVIDUAL,0,0,0,159492,130146,4.7,45.2,QUITCLAIM
2017-09,PARC0000000117,MULTIFAMILY_5P,234463,57.52,44,103.91,4.038,66.15,33.85,FIRST_TIME,ESTATE,0,0,0,173691,161624,5.8,29.0,QUITCLAIM
2017-10,PARC0000000118,MULTIFAMILY_2_4,493906,500.41,165,88.97,5.916,96.46,3.54,INSTITUTIONAL,INDIVIDUAL,0,0,0,395025,370566,6.6,7.5,FORECLOSURE_DEED
2017-11,PARC0000000119,SFH,322084,111.76,187,107.09,4.672,89.65,10.35,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,292604,272520,7.1,33.5,FORECLOSURE_DEED
2017-12,PARC0000000120,SFH,214531,78.53,128,108.55,5.974,54.31,45.69,INVESTOR,INVESTOR,1,1,0,209859,178084,5.7,33.1,FORECLOSURE_DEED
2018-01,PARC0000000121,TOWNHOME,666016,619.55,148,88.29,5.563,68.84,31.16,INSTITUTIONAL,BUILDER,0,0,0,685993,661433,2.8,11.4,FORECLOSURE_DEED
2018-02,PARC0000000122,MANUFACTURED,176905,48.6,193,105.84,2.285,51.32,48.68,INVESTOR,INDIVIDUAL,1,0,0,154589,146087,3.1,82.5,FORECLOSURE_DEED
2018-03,PARC0000000123,CONDO,305975,65.27,63,92.63,7.241,69.24,30.76,INVESTOR,ESTATE,0,0,0,256950,214856,9.7,12.1,SHERIFF_DEED
2018-04,PARC0000000124,TOWNHOME,681057,171.29,161,95.36,3.492,54.4,45.6,INVESTOR,INVESTOR,0,0,0,500832,496162,7.0,83.2,SHERIFF_DEED
2018-05,PARC0000000125,MANUFACTURED,600334,198.85,218,107.27,2.823,90.47,9.53,RELOCATING,INDIVIDUAL,0,0,0,450324,408543,8.2,93.3,WARRANTY_DEED
2018-06,PARC0000000126,MULTIFAMILY_5P,769796,307.92,140,93.42,7.81,63.04,36.96,OWNER_OCCUPANT,ESTATE,0,0,1,666094,598356,5.0,19.4,TRUST_DEED
2018-07,PARC0000000127,MANUFACTURED,259602,54.94,102,98.77,4.75,95.04,4.96,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,244277,228880,1.4,13.1,QUITCLAIM
2018-08,PARC0000000128,TOWNHOME,67206,27.61,133,87.35,2.307,63.41,36.59,INVESTOR,INVESTOR,0,0,0,61904,49315,2.9,25.2,FORECLOSURE_DEED
2018-09,PARC0000000129,TOWNHOME,242860,53.24,126,103.73,6.696,63.85,36.15,OWNER_OCCUPANT,BUILDER,1,0,0,182219,146472,1.2,27.5,TRUST_DEED
2018-10,PARC0000000130,SFH,373174,88.1,98,89.78,3.685,92.71,7.29,INSTITUTIONAL,BUILDER,0,1,0,278762,214501,5.9,17.5,FORECLOSURE_DEED
2018-11,PARC0000000131,TOWNHOME,1038397,988.95,151,96.77,4.579,67.52,32.48,FIRST_TIME,INVESTOR,0,0,1,831161,744225,9.5,94.3,FORECLOSURE_DEED
2018-12,PARC0000000132,MULTIFAMILY_2_4,232600,45.09,8,94.63,7.618,68.72,31.28,FIRST_TIME,BUILDER,0,0,0,182141,171185,6.4,23.9,QUITCLAIM
2019-01,PARC0000000133,TOWNHOME,144392,110.39,131,92.31,3.627,60.85,39.15,INSTITUTIONAL,INVESTOR,1,0,0,104480,93935,4.1,76.9,TRUST_DEED
2019-02,PARC0000000134,SFH,365479,118.28,70,99.46,6.698,88.79,11.21,OWNER_OCCUPANT,BANK_REO,0,0,0,290503,272463,7.3,43.1,SHERIFF_DEED
2019-03,PARC0000000135,MANUFACTURED,443481,192.32,47,89.17,2.552,69.8,30.2,RELOCATING,INDIVIDUAL,0,0,0,323335,290917,3.1,23.7,TRUST_DEED
2019-04,PARC0000000136,CONDO,411021,134.89,164,85.08,2.714,69.22,30.78,INSTITUTIONAL,INDIVIDUAL,0,0,0,425817,373531,5.6,60.6,TRUST_DEED
2019-05,PARC0000000137,TOWNHOME,568963,139.49,110,88.79,2.316,88.32,11.68,RELOCATING,INDIVIDUAL,0,0,0,473227,416382,2.0,28.7,WARRANTY_DEED
2019-06,PARC0000000138,MULTIFAMILY_5P,335226,180.13,4,90.24,7.132,91.06,8.94,INSTITUTIONAL,INVESTOR,1,0,0,341734,310942,8.1,24.5,FORECLOSURE_DEED
2019-07,PARC0000000139,SFH,417642,271.37,90,95.38,3.777,68.69,31.31,OWNER_OCCUPANT,INVESTOR,0,1,0,401375,342776,8.3,41.8,FORECLOSURE_DEED
2019-08,PARC0000000140,CONDO,499782,493.86,218,87.38,3.067,52.23,47.77,INSTITUTIONAL,INVESTOR,0,0,1,469474,412092,2.7,97.2,WARRANTY_DEED
2019-09,PARC0000000141,MANUFACTURED,233262,259.76,122,98.12,3.895,84.34,15.66,OWNER_OCCUPANT,BANK_REO,1,0,0,195565,159997,7.5,45.6,WARRANTY_DEED
2019-10,PARC0000000142,CONDO,152912,30.62,167,92.97,6.5,80.69,19.31,INVESTOR,ESTATE,0,0,0,148053,137954,8.3,69.2,TRUST_DEED
2019-11,PARC0000000143,SFH,989050,893.45,95,90.42,8.045,87.29,12.71,RELOCATING,BANK_REO,0,0,0,1014817,981985,3.8,90.2,FORECLOSURE_DEED
