biz_small_application_date,biz_small_entity_type_code,biz_small_founder_demographic_category,biz_small_home_based_business_flag,biz_small_industry_intent_nic,biz_small_expected_first_payroll_date,biz_small_expected_hiring_count,biz_small_expected_revenue_bracket,biz_small_financing_source_code,biz_small_loan_approval_flag,biz_small_loan_amount_inr,biz_small_credit_score_band,biz_small_business_license_required_flag,biz_small_permit_complexity_score,biz_small_incubator_participation_flag,biz_small_mentor_hours_received,biz_small_online_presence_score,biz_small_ecommerce_enablement_flag,biz_small_closure_within_1yr_flag,biz_small_growth_intent_score
2025-10-09,partnership,first_time_founder,0,1663,2026-06-04,6,2Cr-10Cr,govt_grant,1,12804515.31,700-749,0,17.55,0,41.32,55.69,0,0,63.07
2020-07-29,partnership,general,0,4654,2021-01-28,1,10L-50L,nbfc,0,0.0,NA,0,66.79,1,17.07,44.6,1,0,46.04
2023-05-28,proprietorship,women,0,7342,2023-08-12,12,10L-50L,invoice_finance,1,5705205.44,NA,1,40.72,1,62.43,49.62,0,0,90.47
2024-11-02,pvt_ltd,st,0,4113,2025-01-19,10,0-10L,nbfc,1,8946415.81,NA,1,40.7,0,37.87,61.77,0,0,75.71
2024-02-09,section8,differently_abled,1,9806,2024-08-12,6,2Cr-10Cr,family_friends,0,0.0,600-649,1,65.29,0,7.65,45.4,0,0,57.4
2019-06-12,partnership,veteran,0,3273,2020-04-10,7,10Cr+,family_friends,1,1402860.4,750-900,1,49.58,0,19.67,81.27,0,0,52.49
2023-09-12,section8,veteran,0,7823,2024-02-03,2,2Cr-10Cr,govt_grant,1,905101.82,600-649,0,43.48,0,16.42,41.13,0,0,77.26
2023-04-26,partnership,differently_abled,0,5679,2023-07-04,5,10Cr+,self_funded,1,2346172.95,750-900,0,39.42,0,34.78,62.97,0,0,55.29
2025-06-14,pvt_ltd,obc,1,5435,2026-04-08,7,10Cr+,vc,0,0.0,300-599,1,83.93,1,18.44,35.37,1,0,86.84
2024-07-30,opc,minority,0,5102,2025-04-04,6,0-10L,self_funded,0,0.0,600-649,1,30.36,0,29.34,36.15,0,0,70.68
2020-09-03,pvt_ltd,minority,0,7916,2021-03-02,1,0-10L,invoice_finance,0,0.0,600-649,0,41.62,0,16.8,29.45,0,0,65.47
2025-07-08,proprietorship,st,0,4239,2025-09-14,21,10Cr+,vc,1,523158.72,700-749,1,25.01,0,4.81,41.69,0,0,72.03
2024-03-11,opc,sc,0,5072,2024-11-11,10,10Cr+,bank_loan,0,0.0,NA,1,68.88,0,15.88,62.18,0,0,65.18
2021-10-19,pvt_ltd,sc,0,9046,2021-11-13,5,10Cr+,vc,0,0.0,600-649,1,55.76,0,26.04,32.31,0,0,54.57
2026-01-12,proprietorship,minority,0,3839,2026-12-16,1,10Cr+,self_funded,1,4331438.67,700-749,1,100.0,1,48.62,21.16,0,0,51.3
2025-09-08,pvt_ltd,first_time_founder,0,5848,2026-07-09,5,2Cr-10Cr,govt_grant,0,0.0,300-599,1,76.65,0,63.91,84.28,0,0,45.77
2025-12-17,llp,general,0,4622,2026-08-25,19,50L-2Cr,nbfc,0,0.0,NA,1,33.56,0,19.42,88.4,1,0,56.81
2024-04-14,producer_company,general,0,3526,2024-07-04,1,10Cr+,vc,1,863666.09,300-599,0,42.52,1,8.73,47.06,0,0,100.0
2022-11-26,producer_company,veteran,0,2484,2023-09-07,35,10Cr+,nbfc,1,3477712.0,750-900,1,28.23,0,18.25,60.96,0,0,44.94
2025-09-22,proprietorship,general,1,1673,2026-06-18,12,10Cr+,self_funded,0,0.0,300-599,1,27.15,1,28.91,46.61,0,0,73.05
2024-11-17,pvt_ltd,sc,0,7909,2024-12-19,9,10L-50L,bank_loan,0,0.0,300-599,1,35.92,0,21.24,33.56,0,0,84.39
2024-07-24,llp,st,0,2112,2025-01-22,20,10Cr+,vc,0,0.0,300-599,0,46.64,0,13.71,45.42,0,0,29.25
2023-09-21,section8,general,1,2244,2024-03-29,47,0-10L,bank_loan,0,0.0,600-649,1,30.68,0,74.66,100.0,1,1,90.4
2025-06-12,partnership,st,0,2503,2025-11-27,1,2Cr-10Cr,govt_grant,0,0.0,NA,0,46.23,0,26.08,12.63,1,1,68.59
2021-07-26,llp,obc,0,7649,2022-04-27,8,2Cr-10Cr,nbfc,0,0.0,600-649,0,52.79,0,4.65,84.83,0,0,57.08
2020-01-07,section8,women,0,2320,2020-05-22,12,50L-2Cr,bank_loan,1,5780825.63,600-649,1,49.24,0,56.37,31.63,0,1,53.8
2022-02-01,opc,st,1,2125,2022-06-09,10,2Cr-10Cr,family_friends,0,0.0,300-599,0,29.75,0,8.16,82.06,0,0,94.86
2021-01-27,partnership,veteran,0,9690,2021-11-08,12,10L-50L,angel,0,0.0,600-649,1,53.62,0,11.47,61.41,0,0,23.31
2021-07-29,producer_company,minority,0,9247,2021-10-07,2,0-10L,vc,1,1538252.93,300-599,0,48.13,1,29.33,65.05,0,1,96.49
2019-12-26,proprietorship,st,0,1388,2020-09-21,10,2Cr-10Cr,family_friends,0,0.0,300-599,1,22.5,0,64.0,22.21,1,0,62.4
2022-08-17,llp,veteran,0,3473,2023-02-06,4,10Cr+,angel,0,0.0,300-599,0,23.12,0,12.49,34.96,1,0,51.4
2021-06-08,producer_company,differently_abled,0,9916,2021-09-25,14,2Cr-10Cr,vc,1,3586036.54,600-649,1,49.37,1,18.99,63.61,0,0,50.45
2019-08-29,opc,differently_abled,0,4066,2020-04-26,1,0-10L,vc,0,0.0,300-599,1,22.82,0,9.9,14.8,0,0,40.63
2025-06-12,pvt_ltd,minority,0,2230,2025-07-25,9,10Cr+,self_funded,0,0.0,NA,0,18.91,0,24.69,100.0,0,1,41.68
2019-03-05,opc,minority,1,6464,2019-08-12,10,2Cr-10Cr,vc,1,3624682.68,650-699,0,26.51,0,18.9,56.42,1,0,37.82
2024-10-06,llp,general,0,3903,2024-11-25,5,0-10L,vc,0,0.0,600-649,1,62.27,0,51.7,31.36,0,0,100.0
2022-07-21,opc,differently_abled,0,7291,2023-03-06,3,2Cr-10Cr,angel,0,0.0,600-649,0,58.73,0,12.39,29.85,0,0,73.74
2020-10-05,producer_company,obc,0,1738,2021-01-10,12,10Cr+,govt_grant,0,0.0,600-649,0,81.87,0,46.52,39.63,0,0,33.77
2021-12-27,producer_company,st,0,2805,2022-01-19,2,50L-2Cr,self_funded,0,0.0,600-649,0,25.64,0,28.07,38.18,0,0,46.96
2021-05-31,proprietorship,sc,1,4375,2022-03-01,15,0-10L,family_friends,0,0.0,NA,1,29.4,1,2.9,85.59,0,0,42.46
2025-12-17,opc,sc,0,6670,2026-01-21,2,2Cr-10Cr,govt_grant,0,0.0,NA,1,64.79,0,44.91,44.19,1,0,58.34
2022-12-23,producer_company,general,1,6610,2023-11-09,5,50L-2Cr,angel,0,0.0,NA,0,13.29,0,34.77,70.1,0,0,68.77
2025-12-09,proprietorship,sc,0,1303,2026-09-07,25,0-10L,angel,0,0.0,600-649,1,40.49,0,11.53,47.44,0,0,57.34
2023-11-26,producer_company,sc,0,9784,2024-09-18,5,0-10L,bank_loan,0,0.0,600-649,1,66.75,0,25.2,41.26,1,0,85.04
2025-04-25,partnership,differently_abled,0,9151,2025-08-12,13,10Cr+,nbfc,0,0.0,NA,0,53.7,0,8.89,46.45,0,0,60.83
2020-03-08,producer_company,st,0,7163,2021-01-05,6,50L-2Cr,vc,0,0.0,300-599,0,0.64,0,102.45,79.3,0,0,61.34
2024-04-05,producer_company,sc,1,5043,2024-05-14,4,2Cr-10Cr,vc,0,0.0,300-599,1,31.05,0,27.88,59.31,0,0,65.89
2022-09-18,producer_company,minority,0,3542,2023-07-13,2,50L-2Cr,nbfc,0,0.0,NA,1,58.55,1,28.9,50.58,1,0,52.94
2022-04-16,llp,women,0,2988,2022-05-13,1,2Cr-10Cr,family_friends,1,2533650.9,650-699,1,29.14,0,47.19,75.3,1,0,50.25
2021-05-01,proprietorship,general,0,6971,2021-11-01,6,50L-2Cr,nbfc,1,7859712.95,700-749,0,44.86,0,9.36,24.86,0,0,65.2
2019-10-31,proprietorship,veteran,0,3186,2020-07-03,3,10L-50L,family_friends,1,2114223.91,600-649,0,68.73,0,24.93,57.29,0,0,62.19
2019-05-16,producer_company,veteran,0,8257,2019-10-01,4,0-10L,nbfc,0,0.0,600-649,0,38.01,1,24.72,100.0,0,0,47.88
2023-07-17,section8,differently_abled,0,8835,2024-01-26,10,10L-50L,bank_loan,0,0.0,300-599,1,41.53,0,21.04,68.44,1,0,59.65
2024-01-15,producer_company,general,0,7943,2024-10-09,6,0-10L,self_funded,0,0.0,NA,0,46.19,0,19.56,68.69,0,0,67.37
2025-04-17,proprietorship,general,0,2515,2025-05-17,3,2Cr-10Cr,self_funded,0,0.0,300-599,1,39.61,1,32.92,100.0,0,0,62.01
2019-05-31,partnership,women,0,9654,2019-09-05,4,0-10L,family_friends,0,0.0,300-599,0,50.06,0,9.49,50.47,0,0,73.66
2022-09-16,partnership,minority,0,9378,2023-04-10,8,2Cr-10Cr,self_funded,0,0.0,600-649,1,10.93,0,18.31,38.68,0,0,58.99
2022-01-06,producer_company,veteran,0,9598,2022-09-14,8,2Cr-10Cr,family_friends,1,1012536.33,700-749,1,32.84,0,10.45,71.85,0,0,50.52
2026-02-11,section8,sc,0,3605,2026-03-12,4,10Cr+,angel,0,0.0,NA,0,12.31,0,45.99,10.63,1,1,49.91
2019-03-25,pvt_ltd,veteran,0,3237,2020-02-03,25,0-10L,govt_grant,1,2095156.81,650-699,1,53.94,1,25.34,10.3,0,0,62.13
2026-01-03,producer_company,general,0,8683,2026-06-21,6,2Cr-10Cr,self_funded,1,2242349.12,NA,1,59.37,0,37.27,87.53,0,0,66.75
2025-12-29,producer_company,sc,1,1054,2026-05-14,11,50L-2Cr,govt_grant,1,1950372.91,300-599,1,37.07,0,8.89,51.2,0,0,66.26
2023-12-14,section8,veteran,1,4891,2024-11-20,11,50L-2Cr,angel,0,0.0,NA,1,37.33,0,46.16,48.64,0,0,63.11
2024-07-09,opc,women,0,1376,2025-06-29,3,2Cr-10Cr,angel,0,0.0,300-599,0,52.83,0,2.59,94.49,0,0,53.56
2024-07-03,producer_company,differently_abled,1,7354,2025-06-25,42,0-10L,govt_grant,0,0.0,300-599,0,32.97,0,11.06,17.45,0,0,91.7
2021-03-24,proprietorship,veteran,1,4276,2022-02-08,5,10L-50L,nbfc,1,3839410.11,300-599,0,31.27,0,37.26,54.13,0,0,76.8
2025-02-08,partnership,women,0,3657,2025-05-25,18,10Cr+,angel,0,0.0,300-599,1,74.4,0,6.47,30.1,1,0,98.61
2023-05-10,pvt_ltd,sc,0,6864,2023-07-28,17,10Cr+,vc,0,0.0,300-599,1,34.89,0,22.29,25.73,1,0,93.4
2025-08-21,opc,veteran,1,5159,2025-09-28,23,0-10L,self_funded,0,0.0,300-599,1,23.09,0,33.44,77.28,0,0,60.05
2026-02-24,proprietorship,minority,0,7919,2026-10-19,11,0-10L,family_friends,0,0.0,NA,1,44.81,1,75.51,31.63,0,0,54.62
2020-11-14,partnership,first_time_founder,1,7767,2021-05-16,7,2Cr-10Cr,nbfc,1,1465198.27,NA,1,35.33,0,33.31,50.61,0,0,78.64
2022-03-30,opc,obc,0,2275,2023-03-18,5,0-10L,self_funded,0,0.0,600-649,0,33.47,0,20.4,100.0,1,0,46.14
2020-04-19,partnership,veteran,0,8116,2020-06-12,9,0-10L,invoice_finance,0,0.0,600-649,0,69.32,1,154.19,37.07,0,0,89.94
2024-08-10,proprietorship,obc,0,1793,2025-04-20,2,10L-50L,self_funded,0,0.0,NA,1,11.77,0,9.8,29.68,1,0,57.2
2020-06-23,producer_company,women,0,1813,2020-11-27,3,50L-2Cr,bank_loan,0,0.0,300-599,1,59.42,0,38.27,50.67,1,0,65.68
2022-01-05,opc,st,0,7099,2022-07-28,11,10Cr+,bank_loan,0,0.0,NA,0,50.22,0,7.15,65.31,1,0,73.01
2019-09-15,proprietorship,veteran,0,1574,2019-11-05,3,10Cr+,angel,1,782580.91,300-599,0,57.01,1,75.09,36.51,1,0,83.6
2024-01-26,section8,obc,1,7436,2024-06-17,2,2Cr-10Cr,govt_grant,0,0.0,600-649,1,31.64,0,76.3,65.58,1,0,44.85
2024-12-24,producer_company,differently_abled,0,2773,2025-10-24,29,50L-2Cr,bank_loan,0,0.0,600-649,1,51.61,0,35.57,57.5,1,0,43.92
2025-12-10,opc,first_time_founder,0,3856,2026-11-26,0,10L-50L,govt_grant,0,0.0,NA,1,32.42,0,13.11,48.37,1,0,70.88
2025-04-09,section8,women,0,1513,2025-08-19,17,10Cr+,nbfc,0,0.0,300-599,0,24.55,0,17.81,50.58,0,0,86.07
2019-03-12,proprietorship,sc,1,6564,2019-09-21,0,50L-2Cr,nbfc,1,4756866.26,700-749,1,82.95,0,46.35,63.83,1,0,72.04
2020-08-31,partnership,minority,0,9713,2021-05-21,3,10Cr+,nbfc,1,4162154.32,700-749,1,32.32,0,18.54,71.3,0,0,61.52
2021-04-12,partnership,women,1,6986,2022-01-16,2,10L-50L,bank_loan,1,1966236.99,NA,1,68.31,0,18.97,71.26,0,0,57.38
2020-04-11,opc,differently_abled,0,1705,2020-11-22,4,10L-50L,self_funded,1,2109060.81,700-749,0,68.52,1,7.91,57.51,1,0,81.45
2021-04-26,proprietorship,women,0,9405,2021-05-19,4,0-10L,nbfc,1,1043237.48,300-599,0,71.28,0,205.85,38.95,0,0,62.19
2024-12-12,producer_company,general,1,2385,2025-09-26,3,2Cr-10Cr,invoice_finance,0,0.0,600-649,1,49.28,1,19.47,58.38,0,0,82.2
2024-12-28,partnership,obc,0,8218,2025-07-17,0,10L-50L,vc,0,0.0,600-649,0,46.13,0,30.65,45.81,0,0,70.9
2023-12-17,pvt_ltd,differently_abled,0,7723,2024-03-10,4,10L-50L,nbfc,0,0.0,600-649,1,5.69,0,48.08,48.37,1,0,54.14
2025-12-26,producer_company,women,0,8543,2026-05-26,2,10Cr+,nbfc,0,0.0,600-649,0,39.04,0,60.37,55.97,0,0,83.75
2019-06-11,pvt_ltd,sc,0,3173,2019-11-01,2,50L-2Cr,govt_grant,0,0.0,300-599,1,67.26,0,176.21,66.2,0,0,79.71
2021-09-27,proprietorship,first_time_founder,0,7503,2022-01-20,2,10L-50L,angel,1,6729171.67,300-599,1,48.81,1,12.11,72.24,1,0,56.02
2021-11-07,opc,sc,0,3951,2022-10-22,1,10Cr+,govt_grant,1,2581804.16,750-900,0,27.83,0,174.96,74.83,0,0,50.91
2025-10-18,opc,obc,1,1295,2026-03-26,8,2Cr-10Cr,angel,1,5002743.7,650-699,0,24.78,0,181.87,64.68,1,0,37.27
2020-12-22,proprietorship,obc,0,3221,2021-02-02,1,0-10L,nbfc,1,1206058.3,NA,0,38.19,0,7.82,31.84,1,0,74.38
2022-02-04,section8,veteran,1,9455,2022-04-05,6,2Cr-10Cr,nbfc,0,0.0,NA,1,67.79,0,62.15,65.5,0,0,86.29
2019-08-26,producer_company,women,0,6797,2019-11-27,1,0-10L,govt_grant,1,2022396.58,650-699,1,27.36,0,75.3,63.61,0,1,80.28
2020-10-04,partnership,differently_abled,0,6270,2021-04-26,37,50L-2Cr,govt_grant,1,986834.46,750-900,0,75.88,0,10.29,54.8,1,0,41.58
2023-11-02,section8,veteran,0,4162,2024-02-01,7,0-10L,bank_loan,0,0.0,600-649,0,45.71,1,11.21,47.2,1,0,42.41
2024-05-03,proprietorship,first_time_founder,1,9360,2025-02-26,7,10L-50L,nbfc,1,306816.21,300-599,1,41.23,0,4.18,69.73,1,1,60.13
2021-09-22,pvt_ltd,first_time_founder,1,6827,2022-04-20,3,0-10L,bank_loan,0,0.0,NA,1,52.09,0,43.49,90.65,0,0,35.95
2021-06-03,producer_company,veteran,0,4011,2022-04-18,4,10Cr+,govt_grant,1,865680.27,700-749,0,48.74,0,24.01,43.92,0,0,79.11
2022-05-27,partnership,minority,1,1313,2022-09-03,3,10L-50L,bank_loan,1,2836526.31,650-699,0,52.47,0,1.52,78.59,0,0,47.82
2023-09-22,partnership,sc,1,1452,2023-10-23,9,10L-50L,family_friends,0,0.0,NA,1,0.3,0,65.22,82.04,1,0,42.01
2022-11-21,pvt_ltd,obc,0,3445,2023-08-15,2,0-10L,invoice_finance,1,1089557.97,750-900,1,56.58,0,44.51,82.08,1,0,79.48
2021-01-16,pvt_ltd,women,0,7836,2022-01-01,7,2Cr-10Cr,nbfc,1,1992350.41,600-649,1,11.88,0,151.6,44.77,0,0,65.74
2024-08-24,opc,veteran,0,4742,2025-01-14,10,10L-50L,family_friends,1,1052840.86,650-699,1,57.63,0,5.83,42.47,1,0,69.79
2020-01-02,partnership,veteran,0,4250,2020-07-06,14,10L-50L,govt_grant,0,0.0,300-599,1,14.15,0,18.93,94.67,0,0,52.58
2021-01-24,partnership,minority,1,9360,2022-01-12,13,10L-50L,self_funded,0,0.0,600-649,1,74.71,0,19.01,74.72,1,0,20.65
2024-10-13,opc,women,0,1055,2024-11-16,2,50L-2Cr,nbfc,1,3123907.67,300-599,0,60.05,0,16.88,52.35,1,0,70.27
2025-09-09,section8,veteran,0,9515,2026-05-01,8,2Cr-10Cr,family_friends,1,1753449.66,600-649,0,68.63,0,48.35,46.65,1,0,81.62
2022-08-26,section8,minority,0,9553,2023-08-25,31,10L-50L,vc,0,0.0,600-649,1,74.46,1,4.86,73.77,0,0,78.08
2025-07-10,partnership,st,0,4456,2026-01-28,10,10Cr+,angel,1,564542.2,300-599,0,31.4,0,10.48,66.0,1,0,72.46
2020-11-28,pvt_ltd,first_time_founder,1,9025,2021-09-02,1,2Cr-10Cr,angel,1,1269033.22,750-900,1,45.31,1,60.53,22.43,0,0,37.7
2021-12-25,pvt_ltd,veteran,0,5849,2022-11-12,5,50L-2Cr,self_funded,0,0.0,600-649,0,45.85,0,18.86,67.87,0,0,76.61
2024-03-26,pvt_ltd,obc,1,7422,2024-07-21,5,10L-50L,govt_grant,0,0.0,300-599,0,58.74,0,12.67,29.54,0,0,46.02
2023-07-07,opc,obc,0,4281,2024-01-18,38,10Cr+,nbfc,0,0.0,600-649,1,63.21,0,16.32,57.27,0,0,86.46
2026-01-01,proprietorship,differently_abled,1,7457,2026-12-16,3,0-10L,self_funded,1,3394082.39,700-749,1,35.71,0,36.38,81.51,1,0,77.64
2022-04-06,producer_company,first_time_founder,0,2555,2023-01-31,7,0-10L,family_friends,0,0.0,600-649,1,37.76,0,7.29,66.49,1,0,62.14
2021-07-18,pvt_ltd,veteran,0,1615,2022-06-04,2,0-10L,invoice_finance,1,431617.98,700-749,1,36.92,0,2.61,48.2,0,0,54.95
2024-04-15,partnership,sc,0,3755,2024-06-19,5,10Cr+,self_funded,0,0.0,600-649,0,36.65,0,105.61,15.19,1,0,66.91
2024-04-12,producer_company,differently_abled,0,1754,2024-05-05,1,10L-50L,nbfc,0,0.0,300-599,1,68.01,0,34.34,76.21,1,0,64.2
2022-07-28,llp,obc,0,2438,2023-06-09,6,0-10L,self_funded,1,2681708.07,700-749,0,0.0,0,13.64,71.88,1,0,32.48
2022-07-05,producer_company,general,0,9944,2023-03-21,7,10L-50L,invoice_finance,0,0.0,600-649,1,31.49,0,42.87,52.41,1,0,47.85
2023-04-24,producer_company,women,0,5020,2024-03-31,6,2Cr-10Cr,invoice_finance,1,888485.14,600-649,0,40.83,0,7.12,35.36,1,0,63.43
2025-10-27,section8,differently_abled,0,3083,2025-11-25,6,10L-50L,govt_grant,0,0.0,600-649,1,15.7,0,29.24,76.11,1,0,44.71
2022-04-21,pvt_ltd,women,0,8775,2023-03-13,1,0-10L,family_friends,0,0.0,600-649,1,14.32,1,53.61,67.9,1,0,87.19
2022-04-23,llp,first_time_founder,1,8341,2022-12-04,55,0-10L,vc,0,0.0,300-599,1,75.71,0,17.11,26.97,0,0,67.79
2023-12-27,section8,general,0,8067,2024-07-03,6,10Cr+,angel,0,0.0,600-649,1,25.05,0,113.78,76.76,0,0,58.53
2024-07-05,proprietorship,minority,0,4123,2025-05-29,5,0-10L,govt_grant,1,163419.69,300-599,0,40.94,0,12.36,50.21,1,1,64.35
2023-01-18,proprietorship,differently_abled,1,9050,2023-12-12,9,50L-2Cr,invoice_finance,0,0.0,600-649,0,72.68,0,27.09,90.61,1,1,85.35
2019-07-24,proprietorship,minority,0,4860,2020-02-28,1,50L-2Cr,nbfc,0,0.0,600-649,1,39.84,0,11.45,59.69,1,0,68.43
2024-07-05,opc,sc,0,8900,2025-02-28,4,10Cr+,angel,1,1156281.88,600-649,1,43.07,0,19.84,34.43,0,0,28.68
2023-10-12,llp,obc,1,9319,2024-07-13,31,10Cr+,bank_loan,0,0.0,600-649,1,56.02,0,18.5,62.37,0,0,82.4
2020-08-20,pvt_ltd,obc,0,6241,2021-05-29,9,10L-50L,govt_grant,0,0.0,300-599,1,49.73,0,20.93,72.16,1,0,95.32
2022-11-10,llp,first_time_founder,0,7644,2023-09-17,10,2Cr-10Cr,vc,1,789776.51,300-599,0,60.77,0,14.56,39.4,1,0,100.0
2025-07-06,proprietorship,minority,0,9876,2026-04-11,2,50L-2Cr,invoice_finance,0,0.0,300-599,0,53.39,0,7.0,67.46,0,0,43.88
2020-12-03,opc,first_time_founder,0,7243,2021-09-04,1,0-10L,invoice_finance,0,0.0,600-649,0,39.03,0,42.27,45.84,1,0,66.64
2020-03-19,opc,first_time_founder,1,8239,2020-06-24,1,50L-2Cr,invoice_finance,1,2232009.66,750-900,1,19.12,0,10.22,46.76,1,0,29.47
2024-08-22,llp,sc,1,1126,2025-01-29,2,10L-50L,invoice_finance,0,0.0,NA,1,90.59,1,2.32,70.55,0,0,39.7
2019-04-01,proprietorship,differently_abled,0,2856,2019-06-07,4,10L-50L,vc,0,0.0,NA,1,16.27,0,12.83,73.6,0,0,68.83
2022-03-20,proprietorship,st,0,1532,2022-09-23,8,50L-2Cr,bank_loan,0,0.0,600-649,1,87.02,1,132.25,41.01,1,0,49.27
2020-01-14,partnership,veteran,0,1175,2020-07-28,19,10L-50L,angel,1,811030.87,750-900,1,100.0,1,231.42,62.64,1,0,63.12
2020-06-03,producer_company,women,0,6350,2020-08-26,17,50L-2Cr,family_friends,0,0.0,600-649,1,47.14,0,76.49,70.32,1,0,62.36
2019-04-26,opc,st,0,7815,2019-08-03,7,2Cr-10Cr,govt_grant,0,0.0,300-599,1,75.11,0,30.38,64.09,1,1,48.75
2024-06-23,pvt_ltd,women,1,9938,2025-05-06,10,50L-2Cr,angel,1,3986388.52,300-599,1,61.45,0,139.33,67.81,1,0,61.09
2023-05-04,proprietorship,obc,0,2610,2023-08-04,3,10Cr+,govt_grant,0,0.0,300-599,1,39.46,0,26.21,79.54,0,0,64.79
2020-12-21,opc,minority,0,7146,2021-10-10,10,50L-2Cr,invoice_finance,0,0.0,600-649,0,85.26,0,27.67,45.56,0,0,39.66
2024-03-21,producer_company,first_time_founder,0,3299,2024-07-18,12,10Cr+,invoice_finance,0,0.0,300-599,1,29.91,0,9.06,63.37,0,0,57.64
2024-09-13,llp,st,0,3167,2025-07-29,2,50L-2Cr,nbfc,0,0.0,300-599,1,34.29,0,36.35,77.84,0,0,66.33
2025-04-19,partnership,veteran,0,2074,2025-11-10,4,50L-2Cr,vc,1,7760690.73,300-599,1,40.63,0,8.2,63.17,0,1,77.79
