ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_inr,ag_econ_operating_expenses_inr,ag_econ_net_farm_income_inr,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_inr,ag_econ_land_rent_paid_inr,ag_econ_machinery_depreciation_inr,ag_econ_labor_hired_cost_inr,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_inr,ag_econ_crop_insurance_indemnities_inr,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2014,SMALLHOLDER,7116442.08,3748673.0,3367769.18,0.517,270008.37,1615970.4,265422.51,3781410.29,160.69,107.92,182.72,189.32,504940.1,962821.51,2.799,0.199,26.49,0
2022,FPO,11866401.32,6845709.45,5020691.98,0.465,1002251.07,283049.94,34891.84,1911587.62,169.92,169.99,136.44,192.46,2788290.3,1276544.95,1.122,0.049,29.78,1
2021,AGRI_STARTUP,6735515.12,5537521.12,1197994.12,0.825,932402.08,668288.43,328135.23,2414722.73,145.81,201.12,85.21,161.71,1034692.96,1648866.62,2.4,0.152,14.36,0
2020,SMALLHOLDER,16008391.78,10813708.88,5194683.03,0.803,1906096.89,1920214.47,175915.62,4148027.67,135.45,146.99,67.86,92.46,1706051.02,959985.78,1.742,0.197,61.6,0
2015,COOPERATIVE,11179140.82,7881639.3,3297501.66,0.371,1101847.18,987176.7,332315.93,161681.39,135.29,135.78,180.95,75.1,1510451.13,1605326.01,0.805,-0.087,69.02,0
2023,SMALLHOLDER,15380391.55,12770710.94,2609680.76,0.5,1422072.63,2350294.69,545140.61,3332157.79,158.89,209.05,184.34,116.98,1137874.07,1036924.56,3.086,0.365,16.64,0
2014,COOPERATIVE,418464.87,266799.81,151665.22,0.661,1261936.94,3170220.71,601473.87,2428610.37,73.98,183.02,196.87,152.64,1517157.25,1815778.91,2.137,0.056,63.63,1
2020,SMALLHOLDER,16868930.34,13300491.54,3568438.97,0.283,845507.07,809982.04,802699.35,707311.4,72.29,193.52,108.23,107.87,213799.6,145466.33,3.345,0.343,86.15,0
2022,MEDIUM,13506702.2,10223136.57,3283565.81,0.423,892937.81,363666.0,709966.38,3648685.44,170.33,159.95,182.23,190.33,2874351.56,1289136.18,4.16,0.221,67.92,1
2017,AGRI_STARTUP,23528280.22,16160360.81,7367919.6,0.806,12564.07,2272920.36,115118.38,3154326.63,147.53,79.72,158.27,163.08,39250.77,1872270.19,0.5,-0.033,61.14,1
2013,FPO,18064921.95,15729013.88,2335908.27,0.719,649096.17,2519515.03,572131.37,1123027.69,162.65,140.51,117.38,135.34,1448103.77,377059.9,0.405,0.041,33.83,0
2017,COOPERATIVE,5017914.51,3868951.83,1148962.89,0.801,576360.16,24146.57,434540.3,2160620.69,117.97,126.2,74.03,111.34,1877334.04,1660925.59,2.439,0.294,68.43,1
2023,COOPERATIVE,4711579.7,3995566.54,716013.38,0.443,1857377.93,2024109.01,276068.2,3384401.77,159.64,124.76,75.0,108.14,1250760.22,1315346.93,1.015,0.067,24.32,0
2018,AGRI_STARTUP,16838627.26,12809672.52,4028954.97,0.396,1696488.11,882364.17,11333.88,64393.47,146.17,169.38,159.99,134.27,2005947.99,1294773.7,4.116,0.16,82.24,0
2017,FPO,9518910.74,6268793.63,3250117.35,0.129,547359.27,3271785.31,1015495.58,2750063.13,100.15,133.83,110.21,84.73,86843.08,1351120.22,1.841,-0.121,29.78,0
2020,SMALLHOLDER,4850092.94,3635234.8,1214858.39,0.756,1055696.53,246169.52,756466.36,1454515.15,170.96,131.16,68.42,105.85,2656725.02,1285669.27,1.004,-0.208,40.21,1
2012,AGRI_STARTUP,11480117.9,5462719.81,6017398.35,0.673,1155881.07,1176323.15,1044594.67,724577.76,167.58,131.08,61.25,125.51,1331671.02,608586.95,2.354,0.108,97.96,1
2022,SMALLHOLDER,10090791.42,7811821.19,2278970.5,0.941,1610731.06,1507814.53,1145772.5,1357891.38,174.41,198.13,183.11,218.77,2781681.24,874112.96,2.553,0.16,97.46,0
2026,FPO,22374521.31,17666822.19,4707699.4,0.377,324288.15,506520.29,593472.25,2760797.11,148.86,138.11,186.37,167.85,2171319.46,1710712.65,1.834,0.315,67.45,0
2014,COOPERATIVE,20374715.01,13844625.06,6530090.24,0.755,1188494.46,1425157.47,670833.12,2311188.12,128.07,192.41,116.99,182.47,217940.31,247390.35,4.156,-0.214,88.39,0
2021,SMALLHOLDER,3953765.93,3007336.34,946429.89,0.25,1790571.13,2694012.95,180815.36,147610.79,158.46,89.26,122.71,188.98,13676.98,1884075.92,0.514,0.284,48.58,0
2012,FPO,10962907.79,9613240.07,1349668.03,0.534,1847293.92,1355644.98,417101.06,3118482.1,114.92,129.32,114.31,133.17,75450.37,1745326.59,3.929,0.395,48.1,0
2021,SMALLHOLDER,7563444.61,6742393.81,821051.12,0.263,1908438.06,2359380.01,983396.6,1713919.64,96.34,144.81,147.51,94.02,1127425.52,1984340.1,4.369,0.383,29.3,0
2025,COOPERATIVE,22976353.76,14123839.77,8852514.32,0.125,1272038.69,2368321.88,621882.29,4465088.98,92.08,135.77,93.72,178.61,509191.8,1444058.55,2.832,-0.084,3.9,0
2019,LARGE,8739101.31,5777008.76,2962092.89,0.406,1553601.04,3223303.65,300505.68,4297544.07,72.14,77.34,195.02,139.49,2962386.57,1572589.14,1.379,0.115,15.71,0
2021,LARGE,22612920.57,14977140.63,7635780.29,0.217,341717.0,2345838.85,963071.53,415449.48,140.91,101.96,112.55,116.8,943991.6,1669839.27,2.912,-0.106,47.45,0
2023,SMALLHOLDER,15096131.06,9057832.52,6038298.9,0.831,61396.43,1932931.23,1091820.21,2081555.4,76.34,181.93,75.37,67.92,2406771.13,1993587.02,1.9,-0.098,16.31,1
2013,COOPERATIVE,14591650.52,8453347.15,6138303.74,0.266,1403482.03,1903498.21,381011.87,1487424.9,146.26,182.65,125.02,104.53,1918681.47,875840.03,3.467,0.304,83.63,0
2022,AGRI_STARTUP,14649423.34,11709427.1,2939996.62,0.645,179635.51,3110301.13,623965.85,4979840.51,143.43,93.84,127.65,218.63,2386966.76,734334.27,2.663,0.363,60.05,0
2022,LARGE,406394.74,262617.92,143777.21,0.159,1848694.98,1407079.81,407415.76,4673508.66,117.85,78.72,108.48,206.23,713548.34,728389.81,2.576,0.311,54.38,1
2022,AGRI_STARTUP,18808543.42,12141295.66,6667248.16,0.639,710992.39,2970720.83,1198067.13,2417820.49,149.01,91.94,74.69,214.18,53142.07,1075117.24,1.376,0.254,21.38,1
2012,AGRI_STARTUP,10741386.84,6073777.5,4667609.75,0.598,1790796.0,1729150.88,169838.24,4731964.24,99.26,149.83,193.08,62.15,2037835.49,1450718.71,2.348,0.119,16.89,0
2021,SMALLHOLDER,20309595.82,11028726.9,9280869.34,0.056,1320435.61,2147516.71,136596.51,1652361.12,120.28,71.09,97.77,137.04,305254.84,398172.82,2.229,0.216,2.04,1
2020,COOPERATIVE,21934391.7,14868445.77,7065946.36,0.103,372360.84,184140.84,873829.9,4692859.55,182.93,117.9,151.37,77.38,1630704.41,1885423.03,2.689,0.385,5.7,0
2014,FPO,15221929.64,8735097.82,6486832.26,0.252,710561.19,2323482.63,1056276.47,1009939.9,93.62,153.33,156.08,93.71,1934865.13,167528.32,0.944,-0.038,79.53,1
2020,AGRI_STARTUP,15978307.92,8713418.54,7264889.83,0.673,436083.19,2201427.9,290466.8,698291.88,128.96,126.27,141.15,202.53,2466598.72,1347472.54,2.279,0.208,29.81,0
2025,MEDIUM,496536.97,371139.19,125398.24,0.512,242027.65,107331.13,891732.31,4546970.34,156.54,66.93,161.93,149.35,1257620.3,761707.4,2.469,-0.012,98.72,1
2022,AGRI_STARTUP,4941370.89,2786595.26,2154776.1,0.66,919960.27,1040103.21,549423.86,3905204.13,151.46,138.58,192.87,67.34,593370.54,1966683.77,3.93,-0.107,21.26,0
2017,SMALLHOLDER,10655266.27,6361662.56,4293604.19,0.249,1914312.63,3252710.81,121533.39,4710972.19,165.6,122.29,171.94,176.34,2316680.64,1112751.61,4.063,-0.049,86.73,0
2019,AGRI_STARTUP,23883935.88,15378319.23,8505617.14,0.833,702383.92,2954540.75,20327.33,1336946.88,148.02,182.01,169.81,60.6,1321472.92,472558.72,4.177,0.031,61.7,1
2026,COOPERATIVE,3547005.61,2458974.57,1088031.54,0.073,368870.6,1058493.19,21836.47,2937255.86,128.71,76.79,185.36,60.59,559251.9,474157.6,2.911,0.242,98.38,0
2024,FPO,10438984.2,6748345.52,3690639.19,0.818,1115198.92,3216486.89,759806.19,1373134.48,158.84,152.92,154.4,143.83,274310.36,1663306.78,0.475,0.363,3.77,1
2021,MEDIUM,19661202.53,11544249.12,8116953.93,0.206,333357.51,742063.14,354411.52,1019467.12,85.34,176.74,182.97,96.85,111900.13,122593.59,0.416,0.262,16.56,0
2012,MEDIUM,916413.91,467964.09,448450.35,0.229,3489.18,1183485.18,606876.7,3211663.78,73.17,68.47,123.42,84.51,59552.79,1389843.93,1.6,0.025,21.19,0
2018,SMALLHOLDER,10991698.82,5783735.39,5207963.97,0.784,1576172.89,929863.76,634513.08,1407459.54,97.72,188.45,60.98,96.48,1056468.63,839483.41,4.258,0.04,1.43,0
2019,COOPERATIVE,19157948.15,16997517.59,2160431.11,0.621,650612.95,1602651.46,296796.93,2199493.75,116.29,206.38,96.23,147.73,694551.99,1156278.31,1.379,0.361,23.1,0
2024,COOPERATIVE,15475744.48,9219521.24,6256223.8,0.766,496425.06,2926034.8,39678.82,1172970.97,133.37,133.39,138.54,85.88,1836868.99,481918.49,3.558,0.254,46.2,0
2021,LARGE,22214882.91,17857579.34,4357304.14,0.532,563929.9,2772331.23,839079.94,2665278.19,163.2,193.01,111.36,167.7,1505146.13,366101.6,2.544,-0.015,6.9,0
2012,LEASED,7313690.12,3602760.56,3710930.14,0.29,1108431.64,2970279.69,434792.74,464782.34,178.53,116.03,179.9,101.87,2754440.87,1654860.12,1.01,0.335,93.13,0
2012,MEDIUM,15416143.91,12209354.5,3206790.0,0.704,1096128.4,3035876.93,659281.42,1397309.57,164.77,161.78,110.78,102.41,405597.54,1601431.97,1.971,0.128,4.52,0
2013,MEDIUM,8694129.67,5504190.05,3189940.22,0.666,1942309.24,3011931.66,175674.48,3425165.5,121.93,91.63,120.03,118.21,364945.77,1331023.31,3.024,-0.16,81.11,1
2022,LARGE,21299808.79,19354789.44,1945019.96,0.169,561102.97,2410292.16,359362.49,4640813.27,151.85,132.74,184.42,152.65,796244.41,1752830.07,1.396,-0.181,22.37,1
2012,COOPERATIVE,17717992.99,10362783.08,7355210.53,0.312,1467592.91,9468.32,869516.09,2446493.93,70.57,172.36,155.71,121.7,460463.26,1014505.57,4.142,-0.212,72.58,0
2024,SMALLHOLDER,2868945.72,1869423.31,999523.04,0.317,106002.02,2673715.76,932925.39,724678.82,112.82,174.36,115.57,159.41,1881335.31,1019791.94,0.269,0.291,53.55,0
2013,LARGE,13222325.96,9312429.38,3909897.22,0.594,774798.27,3285639.96,398116.68,368514.35,78.17,105.21,160.31,214.23,1795636.91,1982536.3,0.454,0.286,8.23,0
2014,LEASED,18326233.29,12329543.1,5996690.84,0.193,1546734.18,1095023.44,177382.72,387252.48,119.42,129.29,179.01,93.9,2678943.02,1161106.01,2.277,0.051,45.41,0
2021,LARGE,17184539.77,12228701.26,4955839.17,0.252,1114042.57,2882970.73,793905.83,1748027.85,140.77,129.47,75.38,190.3,241687.68,1043409.61,4.094,0.237,28.22,0
2013,FPO,18349275.27,8413119.26,9936156.68,0.44,435305.81,2203378.32,1007019.85,1308578.03,123.38,167.74,167.46,130.85,635097.39,1668575.77,3.411,-0.173,41.69,0
2022,AGRI_STARTUP,15464039.44,9858340.52,5605699.6,0.093,1384013.42,466874.11,840210.81,3149726.79,91.13,162.49,81.65,192.34,86643.9,614908.91,4.478,0.442,32.19,0
2014,AGRI_STARTUP,21141872.54,10399214.17,10742659.06,0.271,1561537.76,978948.77,721921.99,3664457.43,157.06,99.82,174.63,105.69,2049397.05,539149.81,0.552,-0.004,14.82,0
2016,LEASED,8677907.61,7081768.45,1596139.86,0.773,502066.56,1070812.6,652534.38,741136.01,77.31,141.45,161.77,211.51,1812452.67,1531648.75,0.746,-0.225,6.92,1
2023,LEASED,2056909.6,1498116.41,558793.9,0.727,1242020.69,2759207.68,915300.51,3590176.33,135.21,105.99,99.67,142.74,1057707.91,1723450.24,4.003,-0.155,6.07,1
2019,AGRI_STARTUP,18238741.42,8844485.99,9394256.15,0.59,957243.36,1020106.35,281851.37,4989726.27,82.82,193.18,150.03,97.53,2612032.44,624962.7,0.983,-0.052,98.94,0
2019,FPO,24175614.92,22020306.52,2155309.13,0.187,1379131.54,279209.86,812303.28,2289723.83,74.32,88.58,103.99,159.47,40004.87,48070.66,0.885,0.08,12.09,1
2012,FPO,16870601.53,9878516.86,6992085.41,0.065,889565.94,121059.61,1079823.93,1355322.98,189.08,115.95,76.4,181.18,1823698.41,1509727.64,3.763,-0.164,98.44,0
2023,MEDIUM,8756551.32,6625701.58,2130850.49,0.412,1691076.64,1288463.9,292702.37,2776877.53,184.35,104.54,153.68,161.69,1014236.52,35629.44,3.465,0.013,38.71,0
2018,MEDIUM,13041837.97,7265090.8,5776747.93,0.945,1513496.51,2309044.02,587934.8,1547115.65,90.43,156.25,69.4,219.71,2889053.85,1928986.04,3.685,-0.198,69.52,0
2018,MEDIUM,8898361.4,5212585.41,3685776.76,0.925,464873.18,3323665.89,115144.99,706866.67,181.76,173.1,121.15,186.46,960066.39,960229.57,3.983,0.302,20.48,0
2023,AGRI_STARTUP,14255721.97,6545983.55,7709739.2,0.814,947796.34,2497455.83,26634.42,199810.7,95.17,185.17,142.3,78.5,212945.92,1026789.03,3.279,-0.137,46.28,0
2024,COOPERATIVE,6582980.85,5582751.11,1000230.53,0.588,1519299.11,2456874.95,387741.5,2200563.42,171.22,159.05,100.74,61.97,1757613.43,307021.21,0.295,-0.009,15.46,0
2017,COOPERATIVE,7163639.15,5973612.62,1190027.33,0.503,1322075.16,374061.35,372126.92,1484526.78,185.36,100.31,166.68,208.9,2516483.28,631981.04,2.99,0.253,77.58,0
2014,COOPERATIVE,5856087.26,3201187.92,2654900.15,0.532,118115.99,2969647.99,918244.03,2476512.36,144.12,139.31,66.27,196.19,626549.26,1387190.08,4.128,-0.243,21.57,1
2021,AGRI_STARTUP,18489024.28,14982416.1,3506609.0,0.075,1564207.17,435476.48,10644.88,1314225.1,121.48,132.79,180.63,129.39,178153.85,1879345.74,1.238,0.35,55.64,0
2012,FPO,4706990.35,2220218.61,2486772.57,0.147,557691.57,2524071.52,724053.94,585027.85,115.82,115.61,63.18,214.96,2886198.74,1023266.37,2.789,0.074,19.29,0
2022,MEDIUM,16858214.41,14851575.53,2006639.72,0.281,781821.16,39090.66,1197504.66,3171703.15,71.68,126.97,90.93,97.43,2180665.39,1839421.27,3.476,0.228,20.96,0
2014,MEDIUM,6144397.39,3376910.89,2767487.35,0.335,1358265.02,3435870.04,560776.4,185680.55,143.46,174.4,104.38,164.11,2848110.32,1706814.93,2.908,0.125,15.16,0
2018,LARGE,21663898.19,18173938.65,3489960.4,0.447,812342.11,3299020.58,925972.23,2325985.82,179.62,138.14,77.2,196.58,1537149.19,508341.58,4.296,-0.102,49.64,1
2012,COOPERATIVE,17639569.37,9701416.79,7938153.45,0.606,854678.33,1971773.15,1194772.76,1768915.78,107.21,201.59,142.05,184.99,727179.19,930688.16,3.7,-0.237,74.93,0
2025,AGRI_STARTUP,12457794.84,7702329.01,4755466.71,0.052,1047972.4,2841358.6,1058295.47,3240551.39,100.89,191.88,135.72,74.13,2551422.12,140235.68,4.345,-0.246,75.21,0
2015,LARGE,16823537.58,9962378.98,6861159.49,0.538,1305318.0,1941596.65,944410.54,1652098.68,117.72,104.93,188.3,70.12,2203382.05,1892972.85,1.497,0.368,86.37,0
2012,SMALLHOLDER,19396773.36,15515506.25,3881268.01,0.228,1558050.59,1672288.9,687008.49,4847563.55,185.86,120.74,109.71,166.72,693867.64,1632262.73,0.843,0.222,40.7,0
2015,LEASED,17244153.45,8179252.41,9064901.95,0.734,367491.67,2004557.23,700127.31,1290675.84,166.32,162.9,61.01,158.3,725374.32,1146709.28,1.545,0.315,57.45,1
2023,FPO,18248199.4,10234451.88,8013748.44,0.218,1631079.29,1076289.65,947583.91,2481544.12,107.28,98.95,150.88,110.39,1064735.47,150923.72,4.245,0.14,75.87,0
2021,LEASED,17841356.46,15363282.65,2478074.74,0.704,1742176.24,1754340.68,128119.55,246089.45,88.5,120.36,170.92,81.7,2050170.11,79328.07,2.166,-0.015,3.25,1
2023,LEASED,16057575.11,13631328.36,2426247.69,0.465,1292469.87,1064698.66,959037.95,422863.39,101.14,85.77,99.09,93.51,2945590.68,366529.95,1.659,-0.023,52.22,0
2026,LEASED,8281709.94,5454010.77,2827700.12,0.585,440256.89,1709093.44,206068.82,4923263.02,70.9,117.04,66.22,217.3,1179844.54,1521814.25,1.811,0.344,61.17,1
2022,LEASED,20793774.75,17591623.71,3202152.0,0.335,1579181.16,2864610.1,1136772.07,4013961.12,118.87,186.87,125.09,85.86,43660.38,123136.52,2.072,0.09,55.72,0
2021,LEASED,5245786.11,2838383.06,2407404.02,0.248,1635130.08,336688.45,1073744.04,916033.7,180.07,206.65,125.54,174.81,2377433.45,186047.11,2.486,-0.057,49.45,0
2012,LARGE,3923447.22,1951423.52,1972024.68,0.814,578855.66,1992231.66,77940.11,4814415.43,111.05,111.62,132.23,141.68,972100.31,927023.76,4.398,0.44,2.22,1
2024,SMALLHOLDER,23921962.27,15855081.59,8066881.67,0.796,1861936.7,1211599.99,55380.46,3908502.96,146.81,94.14,155.33,184.45,514.22,1945205.05,1.995,0.431,83.72,0
2020,AGRI_STARTUP,9156326.58,4381960.63,4774366.95,0.689,1869583.2,2185324.13,865890.88,989943.13,78.29,142.74,109.43,207.34,212845.8,261241.13,3.999,0.448,74.56,0
2016,COOPERATIVE,8200321.5,5762348.01,2437974.5,0.145,1617014.09,2336048.37,212215.62,4048477.23,174.88,68.21,172.27,209.47,201203.86,341187.95,1.561,-0.229,59.97,1
2019,FPO,23130066.55,18151215.11,4978852.46,0.558,41748.79,3374258.85,561964.58,3504991.91,71.37,208.93,85.68,111.59,2516489.09,88371.56,4.23,0.32,33.31,1
2022,LARGE,20117208.56,15151077.54,4966132.05,0.084,1200245.63,622522.52,1017302.45,3928367.64,96.53,192.73,158.09,162.6,1454412.97,928136.77,3.324,0.191,41.95,1
2017,COOPERATIVE,15494153.26,13496319.84,1997834.46,0.165,411380.18,2962870.4,954091.33,4320887.16,99.56,75.24,73.37,177.05,975872.86,1007058.92,0.883,0.391,8.56,0
2020,COOPERATIVE,19807075.35,9936546.23,9870530.17,0.908,1366923.78,2395685.63,326005.53,352601.2,143.0,124.65,90.12,62.32,784810.45,1650805.41,3.077,0.174,52.09,1
2017,AGRI_STARTUP,1300569.68,1119002.76,181567.98,0.927,1250865.41,2226415.15,294253.4,1219155.64,142.68,192.28,179.99,76.2,2221191.18,704790.66,1.555,-0.053,54.0,0
2012,FPO,16853252.1,13911188.23,2942064.94,0.714,989331.82,1170248.66,1125515.65,4095055.55,77.13,87.76,68.5,197.72,1785233.26,380213.55,4.478,0.249,78.83,1
2012,LEASED,10554327.67,7462458.47,3091870.28,0.768,26694.68,751316.45,972913.28,2551074.67,110.41,88.45,75.6,100.04,1405197.96,633589.56,3.721,0.401,86.58,0
2026,MEDIUM,3791325.17,2377068.25,1414258.01,0.929,419625.6,544171.28,147083.89,2064343.88,70.89,111.33,165.93,167.52,1116186.21,1712271.64,0.483,-0.217,56.38,0
2021,COOPERATIVE,20558150.98,15135146.52,5423005.56,0.212,1577258.11,3479066.93,352447.28,3063907.72,161.64,67.4,62.86,106.66,1133581.44,144510.11,1.745,-0.154,89.68,1
2025,SMALLHOLDER,10105450.01,8934257.02,1171194.1,0.576,713473.55,1697453.56,982026.29,3926245.23,106.54,161.12,162.14,100.14,792629.8,1148897.59,2.07,-0.039,86.4,0
2025,MEDIUM,15301424.1,9048357.84,6253067.38,0.64,1003578.97,1354854.36,515916.0,369028.22,174.75,80.66,133.93,196.36,2618458.12,1689388.81,2.085,0.179,76.16,0
2012,SMALLHOLDER,10505551.16,7445176.09,3060376.2,0.188,64580.9,663689.62,451378.29,2159756.75,125.76,189.75,104.38,78.43,2639203.49,390788.77,2.863,0.397,62.58,0
2016,LEASED,9012893.83,8073337.48,939557.49,0.456,1966587.67,1072961.64,635855.01,4477488.38,139.29,180.63,171.03,159.76,1868232.49,1169763.87,2.312,0.004,95.5,0
2013,LEASED,7823881.52,4694214.47,3129668.2,0.696,42098.98,2602861.96,178320.31,570849.3,70.15,92.84,199.14,135.04,640502.3,827122.84,0.248,-0.039,18.66,1
2015,MEDIUM,19090242.45,9570058.84,9520184.77,0.309,1275322.57,118445.46,904237.41,2437427.36,95.46,148.04,90.75,106.67,44767.34,966904.25,3.165,-0.037,43.1,0
2015,AGRI_STARTUP,8393140.58,6337670.71,2055471.04,0.588,1308326.41,764432.52,283007.4,485836.46,138.3,193.48,163.51,205.18,1067185.56,946505.09,3.344,-0.213,45.07,1
2017,LEASED,16873914.39,13284690.86,3589224.71,0.491,1935812.36,2392777.41,1120265.22,2514160.75,121.29,142.13,116.71,211.51,2363983.72,1415304.19,3.909,0.103,18.89,0
2022,MEDIUM,13188086.18,10961716.63,2226370.74,0.735,549008.64,1392514.09,811272.16,1413107.37,157.84,107.75,129.03,119.6,997939.37,1515318.88,1.929,0.114,99.83,1
2021,LEASED,14543734.67,11344349.08,3199386.79,0.543,133916.13,1774138.57,755828.13,3042827.84,78.17,198.4,199.92,134.94,2093025.86,160245.56,3.827,0.118,83.73,0
2024,SMALLHOLDER,11522482.1,7005009.14,4517474.17,0.497,659056.25,2217722.7,527961.69,1983750.96,84.75,76.63,123.07,174.31,2223950.44,1987107.21,1.31,-0.174,83.82,0
2016,MEDIUM,23698207.61,20068400.11,3629808.72,0.843,1784749.04,1175650.71,1162331.71,3000045.25,92.04,201.27,70.45,83.27,1616083.7,1896260.08,2.375,-0.24,9.48,1
2022,LARGE,8923686.16,5159624.8,3764062.59,0.297,894879.03,662233.59,203393.64,1318052.08,166.27,80.67,160.77,108.74,1881595.8,1141893.05,1.05,-0.221,43.14,0
2014,COOPERATIVE,7914981.01,7178204.76,736777.49,0.286,863602.97,1123389.37,954169.05,336053.88,91.34,73.14,133.94,88.24,957293.16,306181.17,2.723,0.066,57.29,1
2024,MEDIUM,5038054.78,2344179.68,2693876.35,0.639,1859439.91,2096694.72,149878.98,1091434.32,151.94,190.3,188.61,73.3,2423385.66,1677346.19,0.871,0.254,98.99,1
2020,LARGE,19513960.91,11965139.15,7548823.02,0.126,1819868.1,1894627.1,1044861.86,3464954.1,181.57,87.82,76.81,112.54,647547.08,175076.22,3.204,-0.098,62.31,0
2012,MEDIUM,7425376.69,6441003.85,984374.11,0.611,1708386.14,2552608.83,1035367.94,467265.41,169.2,118.57,92.04,124.31,1915436.55,879379.32,3.007,0.114,95.58,1
2019,MEDIUM,3075986.63,2432054.15,643933.76,0.837,628603.07,2073651.26,521336.29,811397.46,180.94,101.71,180.59,122.44,951587.93,1181476.01,1.932,0.091,92.88,0
2022,FPO,20374451.16,12987392.02,7387060.43,0.59,901046.39,2490581.2,197091.15,3060225.73,169.52,72.7,146.79,79.13,364494.12,275965.91,0.553,0.38,94.56,0
2016,SMALLHOLDER,7384683.23,6430108.63,954575.9,0.54,1316135.63,2804689.2,280055.62,1496251.39,75.92,84.67,161.57,134.07,11229.12,92986.55,4.143,0.146,48.3,0
2022,SMALLHOLDER,10522731.23,5860314.12,4662418.42,0.162,259374.42,1104338.57,1134646.97,4594289.55,169.67,130.46,75.66,123.29,2750754.8,868542.87,3.935,0.414,6.63,0
2025,SMALLHOLDER,10246940.21,7251062.45,2995879.08,0.837,1959229.17,2868535.51,915871.46,2704850.61,104.44,156.58,103.69,166.52,860623.29,116475.68,1.372,0.182,50.71,0
2025,LARGE,5709225.44,3703845.69,2005381.08,0.94,1495235.83,1106610.26,210705.21,1649484.78,91.3,194.31,119.02,214.13,2822120.9,474833.29,0.667,0.008,31.6,1
2023,COOPERATIVE,20778390.3,19042123.64,1736268.0,0.869,177244.14,529588.86,1142937.31,4762413.62,136.34,140.02,63.34,218.75,643784.35,651645.7,4.331,0.223,41.67,0
2019,COOPERATIVE,1771929.58,1037994.76,733936.17,0.637,753128.48,3449896.37,900008.32,2772889.33,122.12,166.32,102.38,190.69,548335.37,719129.57,0.995,0.362,63.87,1
2012,LARGE,3565814.48,1742192.44,1823623.4,0.239,363981.79,3222882.59,1024565.41,1637470.15,183.35,123.43,130.94,75.77,1881225.28,20838.15,2.559,0.426,72.73,0
2014,COOPERATIVE,3018861.38,2255348.81,763513.94,0.33,233605.96,596425.51,922631.05,1877454.44,85.06,119.26,148.29,98.58,2127332.3,1953163.43,0.305,-0.183,86.53,0
