tech_cover_mapping_release_date,tech_cover_provider_id_fcc,tech_cover_technology_code,tech_cover_max_advertised_down_mbps,tech_cover_max_advertised_up_mbps,tech_cover_latency_category,tech_cover_data_cap_gb,tech_cover_coverage_area_hex_id,tech_cover_served_location_count,tech_cover_unserved_location_count,tech_cover_underserved_location_count,tech_cover_challenge_filed_count,tech_cover_challenge_upheld_count,tech_cover_middle_mile_presence_flag,tech_cover_backhaul_distance_km,tech_cover_last_mile_medium_code,tech_cover_spectrum_band_code,tech_cover_grant_funded_flag,tech_cover_permit_obstacle_index,tech_cover_coverage_confidence_score
2020-03-28,INP039728,SATELLITE,434,605,LOW,2000,HEXD52E0D2242,173792,1689,17275,3,2,0,59.6,COAX,LOW_BAND,1,0.052,0.812
2025-11-24,INP104354,DSL,1946,634,LOW,1000,HEXCD87F076A7,238972,29069,9632,230,20,1,37.3,COPPER,C_BAND,0,0.585,0.791
2024-04-09,INP954607,5G,1350,671,HIGH,1000,HEXD6E6D6B554,40513,45011,62163,17,2,0,23.5,FIBER,C_BAND,0,0.556,0.705
2023-09-12,INP648949,FIBER,1993,299,HIGH,100,HEX593A31D5C9,212108,28122,73526,249,196,0,153.5,SAT,LOW_BAND,0,0.658,0.778
2020-04-28,INP173308,SATELLITE,1356,415,LOW,50,HEXBF1867245F,156796,5567,6895,39,10,0,12.6,FIBER,C_BAND,0,0.424,0.719
2024-08-23,INP271426,FIXED_WIRELESS,1089,688,MED,0,HEX3F03FCC417,113393,11514,16932,97,68,0,125.2,COAX,LOW_BAND,0,0.742,0.601
2025-02-26,INP985574,FIBER,839,26,MED,50,HEXC9DE1D3986,81836,48877,44500,56,21,0,19.3,FIBER,UNLICENSED,0,0.906,0.541
2021-08-27,INP211676,DSL,1958,796,HIGH,200,HEX799AEAF5F5,115781,4475,61462,113,80,1,68.8,FIBER,C_BAND,0,0.31,0.612
2020-08-21,INP326905,FIXED_WIRELESS,957,599,HIGH,2000,HEXB0E9398F7C,220013,22507,11053,129,44,1,177.0,WIRELESS,UNLICENSED,0,0.159,0.557
2023-03-04,INP376063,CABLE,203,576,HIGH,200,HEX4BAED5925F,183602,43393,51374,33,5,1,94.3,COAX,MID_BAND,0,0.829,0.81
2025-11-26,INP065039,CABLE,1950,789,MED,50,HEX321D1CDE05,201382,40503,17176,152,96,1,45.4,SAT,MID_BAND,0,0.044,0.551
2022-08-30,INP967722,5G,1616,485,LOW,100,HEXA97CC86239,229352,16384,6839,164,123,0,138.7,FIBER,UNLICENSED,0,0.285,0.827
2023-01-22,INP458098,CABLE,1915,32,MED,0,HEX6561351B52,10540,18800,61925,178,35,0,117.4,SAT,LOW_BAND,0,0.019,0.449
2021-09-04,INP575123,FIBER,498,434,HIGH,2000,HEX91D78A9B40,92988,15765,74798,106,23,0,21.6,COAX,LOW_BAND,0,0.544,0.843
2025-09-10,INP534692,FIBER,741,812,LOW,100,HEX3A19C255AD,179985,30449,62722,161,46,0,16.0,WIRELESS,LOW_BAND,1,0.044,0.438
2020-06-20,INP333840,4G,401,297,MED,2000,HEXCD515EBE6F,130576,45355,65211,94,66,1,20.8,WIRELESS,LOW_BAND,0,0.995,0.425
2023-04-18,INP306364,4G,919,364,MED,0,HEXBE96AC0A68,197081,44525,20969,243,7,1,152.0,WIRELESS,LOW_BAND,1,0.236,0.745
2024-01-23,INP356693,5G,167,592,LOW,500,HEX554F028E1C,185059,29246,28124,156,73,0,249.7,COPPER,LOW_BAND,1,0.074,0.419
2024-12-28,INP989967,SATELLITE,1120,302,MED,2000,HEX2BB253FC37,95106,36308,48353,119,102,0,32.6,FIBER,LOW_BAND,1,1.0,0.796
2025-11-23,INP445130,FIXED_WIRELESS,1402,534,MED,50,HEXECA2F6E012,43663,10614,42291,239,181,1,236.9,SAT,C_BAND,0,0.251,0.738
2023-01-29,INP135519,DSL,360,679,HIGH,1000,HEXE5E0D1FC43,150482,27301,3969,127,74,0,75.7,COPPER,MMWAVE,1,0.073,0.341
2024-12-05,INP443183,5G,717,413,LOW,2000,HEX5857431469,65582,10466,42917,239,147,0,47.6,COPPER,MMWAVE,0,0.467,0.907
2025-07-30,INP095923,FIBER,586,511,HIGH,2000,HEXA78D6EBC56,149995,36819,25513,92,70,1,96.7,WIRELESS,UNLICENSED,1,0.989,0.769
2021-05-01,INP103953,DSL,417,621,HIGH,200,HEX8025779859,43098,25752,39221,151,86,1,127.5,WIRELESS,UNLICENSED,1,0.816,0.554
2021-03-24,INP957760,FIXED_WIRELESS,553,995,HIGH,2000,HEXF93078BC6D,63990,2069,14404,48,1,1,104.8,WIRELESS,MID_BAND,0,0.775,0.935
2020-09-12,INP755943,DSL,951,939,HIGH,100,HEX8ADAC47F44,247304,19504,37880,180,53,0,122.4,WIRELESS,C_BAND,0,0.934,0.798
2023-03-24,INP163989,5G,309,302,LOW,100,HEXF1EAB3D484,29133,40349,31363,62,3,0,132.9,COPPER,LOW_BAND,1,0.33,0.626
2021-07-17,INP059498,FIXED_WIRELESS,1342,209,MED,100,HEX40CA3BD0E6,220073,11520,4763,214,101,0,46.7,COAX,LOW_BAND,1,0.568,0.374
2023-10-04,INP295498,FIXED_WIRELESS,568,202,LOW,100,HEX2742BC9C2D,235654,26574,56059,131,83,1,167.4,COPPER,MID_BAND,0,0.936,0.305
2024-04-20,INP279370,4G,746,714,LOW,0,HEXA72AEECBAF,96849,40280,28947,56,8,1,113.9,SAT,C_BAND,0,0.549,0.625
2026-01-10,INP887657,SATELLITE,924,545,HIGH,100,HEX1908892581,54344,46983,64071,23,16,1,14.1,COPPER,UNLICENSED,0,0.564,0.686
2023-06-16,INP738750,CABLE,1444,70,HIGH,0,HEXE1E06CCFA6,234157,25066,58790,222,96,1,170.7,SAT,MID_BAND,0,0.348,0.423
2026-01-09,INP319879,FIXED_WIRELESS,1389,741,HIGH,200,HEX8D354EB1C6,201316,1025,31544,52,4,1,8.6,SAT,LOW_BAND,1,0.044,0.603
2026-01-19,INP280528,4G,1189,331,HIGH,500,HEXCD3EF86489,193231,11477,55994,142,126,1,86.2,WIRELESS,UNLICENSED,1,0.416,0.403
2024-03-21,INP152281,FIXED_WIRELESS,1883,64,HIGH,200,HEXF8233AED1B,50433,3377,35187,96,86,0,10.1,FIBER,MID_BAND,0,0.588,0.763
2022-06-07,INP483909,4G,250,769,MED,50,HEXBB63547A45,231923,32589,61080,25,25,0,117.5,COAX,MID_BAND,0,0.414,0.688
2022-06-25,INP705572,DSL,685,240,MED,500,HEXD7AA4DFA72,208898,23080,22185,35,34,1,229.2,SAT,LOW_BAND,0,0.839,0.351
2020-07-17,INP748270,SATELLITE,943,387,LOW,500,HEXAEEA0860B8,75653,1123,65826,208,178,0,201.6,COPPER,LOW_BAND,0,0.524,0.466
2025-11-26,INP237094,DSL,1437,236,MED,1000,HEXD1FA0667AB,22175,32758,56873,165,84,0,214.5,FIBER,UNLICENSED,0,0.23,0.922
2025-05-01,INP296256,DSL,1912,875,MED,0,HEXF9CB6123D6,235518,35426,43480,98,96,0,197.7,FIBER,UNLICENSED,0,0.346,0.367
2022-08-08,INP837937,FIBER,1308,284,MED,200,HEX386296C431,70747,10107,49807,182,162,1,97.5,COAX,LOW_BAND,1,0.943,0.607
2023-01-09,INP104551,FIBER,734,572,LOW,500,HEX956461EEF9,44955,44912,49903,43,8,1,67.2,COPPER,LOW_BAND,1,0.276,0.507
2020-11-11,INP397464,DSL,633,11,MED,100,HEXD6D76DA949,182766,13163,62784,80,22,0,242.2,COAX,MMWAVE,0,0.782,0.525
2023-02-22,INP831555,4G,1582,568,LOW,1000,HEX7B74BDC67A,63944,16559,20203,183,108,0,18.7,SAT,MMWAVE,0,0.534,0.937
2024-09-09,INP573856,FIBER,233,792,LOW,1000,HEXA299AAF5C1,26349,16956,29098,130,56,1,97.9,SAT,UNLICENSED,1,0.998,0.633
2023-04-25,INP491913,FIXED_WIRELESS,1616,216,HIGH,200,HEX51B710B051,210228,10771,31970,132,44,0,82.9,WIRELESS,MMWAVE,1,0.405,0.427
2024-11-05,INP378440,DSL,431,290,HIGH,2000,HEXC9C8531A7F,82657,39123,50939,156,100,0,87.1,WIRELESS,UNLICENSED,1,0.674,0.852
2020-12-13,INP632131,FIXED_WIRELESS,866,615,LOW,500,HEX62ABAF8725,118727,40593,7026,221,91,0,121.3,COPPER,MMWAVE,0,0.505,0.642
2025-07-07,INP484007,CABLE,76,286,LOW,500,HEX4C9C78948F,142593,49596,5453,194,184,1,54.8,WIRELESS,LOW_BAND,0,0.654,0.471
2020-05-12,INP438497,DSL,439,835,HIGH,500,HEXBD969CDC98,156962,35308,22069,82,37,1,67.0,SAT,LOW_BAND,1,0.75,0.584
2020-08-30,INP981827,5G,516,784,HIGH,200,HEX79467AE184,245954,24187,59597,243,124,1,0.8,FIBER,MMWAVE,0,0.697,0.887
2025-12-29,INP398432,SATELLITE,1193,138,HIGH,2000,HEX75A01C71D7,677,28036,26518,176,33,0,75.6,COAX,LOW_BAND,0,0.25,0.557
2021-11-08,INP067740,FIBER,12,223,MED,0,HEX23A0BDF621,100919,5854,13425,26,10,1,75.0,WIRELESS,MID_BAND,0,0.677,0.347
2020-02-04,INP613279,SATELLITE,1416,458,LOW,0,HEXE21B56C3A3,158048,39322,37345,199,176,1,211.8,COAX,MID_BAND,0,0.51,0.816
2023-04-25,INP677232,4G,1226,77,HIGH,0,HEXFE2D95ACFC,4875,38493,8851,3,2,1,230.7,WIRELESS,UNLICENSED,1,0.713,0.829
2024-09-30,INP705623,SATELLITE,1896,213,LOW,500,HEX59CAA46F33,242885,28474,15202,116,78,0,77.5,COPPER,LOW_BAND,1,0.137,0.308
2025-07-26,INP957711,5G,1798,280,HIGH,0,HEXC0C41B9175,131469,37151,21873,94,20,1,25.9,SAT,LOW_BAND,1,0.509,0.33
2020-02-20,INP243198,SATELLITE,1654,940,HIGH,1000,HEXA33E5D91A0,59006,33801,6019,244,102,1,116.4,COAX,C_BAND,1,0.553,0.305
2022-04-01,INP277239,5G,1599,205,HIGH,500,HEXC30635DEF0,172808,24659,40306,26,6,1,59.7,WIRELESS,LOW_BAND,0,0.142,0.493
2020-06-28,INP985739,FIBER,1199,102,HIGH,50,HEXA690A24DE6,218577,48192,42762,81,57,1,18.9,COPPER,MID_BAND,0,0.585,0.407
2021-11-04,INP431374,FIXED_WIRELESS,552,877,LOW,0,HEX2ADB0D5135,135100,3208,39169,66,22,1,101.2,WIRELESS,UNLICENSED,0,0.25,0.619
2021-07-26,INP107214,4G,1300,965,HIGH,0,HEX94D01E72ED,87413,8029,5596,241,118,1,231.0,WIRELESS,MMWAVE,0,0.383,0.594
2023-12-20,INP212806,DSL,1335,307,MED,200,HEXE7166AC3F8,5619,25067,47069,122,69,0,86.1,SAT,UNLICENSED,1,0.27,0.318
2022-06-16,INP082843,SATELLITE,486,168,LOW,50,HEXA4DE0F3DC5,220497,11384,23081,60,37,1,184.6,COAX,UNLICENSED,1,0.701,0.954
2021-08-05,INP519843,FIXED_WIRELESS,87,97,LOW,50,HEX90759C52CD,16112,1436,19360,150,36,0,211.7,COAX,LOW_BAND,0,0.942,0.573
2021-02-17,INP339746,FIXED_WIRELESS,1339,329,LOW,1000,HEXFBEC3924B2,191558,117,51327,217,197,0,8.3,SAT,C_BAND,0,0.968,0.452
2021-03-02,INP917291,FIBER,1692,730,HIGH,1000,HEXB503B5CB07,110509,10901,54266,126,112,1,136.6,FIBER,MMWAVE,0,0.578,0.823
2022-07-12,INP108239,FIBER,710,179,MED,50,HEXB8E19970F2,233743,28455,20591,13,1,1,243.6,WIRELESS,UNLICENSED,0,0.73,0.483
2023-02-27,INP203540,FIBER,885,94,MED,2000,HEXA930241D46,128713,43321,34734,23,20,1,46.4,WIRELESS,C_BAND,1,0.045,0.603
2022-12-14,INP220760,CABLE,1665,559,MED,2000,HEX98DD68D7E7,21197,25873,4551,128,37,1,189.3,COPPER,MID_BAND,0,0.808,0.387
2024-09-30,INP062815,CABLE,1875,749,LOW,0,HEX66547DC986,109143,9806,19424,145,25,0,140.8,FIBER,C_BAND,0,0.88,0.906
2022-12-17,INP346021,SATELLITE,1404,715,MED,0,HEX6EB07455C4,221447,32218,12873,248,222,1,75.3,WIRELESS,C_BAND,1,0.417,0.745
2022-02-08,INP494453,FIBER,1065,815,LOW,0,HEX482DE03DD3,120155,3313,47235,180,50,1,205.9,SAT,MMWAVE,0,0.124,0.321
2024-03-05,INP449453,5G,1841,269,HIGH,2000,HEXB4629FDAA4,107849,33638,2628,221,199,0,170.6,WIRELESS,MID_BAND,0,0.601,0.306
2022-10-30,INP697728,5G,724,475,MED,50,HEX7AD618AD5A,160158,18525,39121,175,27,1,84.2,COAX,C_BAND,0,0.261,0.791
2023-05-08,INP152088,FIXED_WIRELESS,1362,332,HIGH,50,HEXBAF4660B93,190960,46751,29145,175,136,0,119.0,COAX,UNLICENSED,1,0.17,0.754
2022-01-11,INP247759,4G,1852,348,HIGH,0,HEX33D6E59710,166803,38245,9334,120,113,1,30.1,WIRELESS,UNLICENSED,1,0.054,0.889
2021-07-16,INP939891,5G,1475,189,LOW,200,HEX5F5073C92C,204907,5769,16961,157,111,0,101.0,WIRELESS,MMWAVE,1,0.534,0.804
2020-02-27,INP875007,DSL,1430,903,MED,100,HEX2692D44B95,233277,45008,17536,87,62,1,47.3,WIRELESS,LOW_BAND,1,0.727,0.391
2020-03-30,INP513608,CABLE,1589,552,HIGH,0,HEX901D01714B,54369,45560,1219,77,53,0,165.7,COAX,UNLICENSED,0,0.137,0.873
2021-03-05,INP562746,5G,548,856,HIGH,50,HEX5628EB7301,29448,37627,64763,38,5,0,18.9,FIBER,C_BAND,0,0.457,0.974
2022-12-17,INP401028,CABLE,882,761,LOW,0,HEXDE02A5EF4B,98180,22460,23969,29,12,1,114.2,WIRELESS,MMWAVE,0,0.649,0.85
2021-04-08,INP179819,FIXED_WIRELESS,1653,587,HIGH,200,HEX2650ADF2E1,108315,28880,6025,16,8,0,3.3,SAT,UNLICENSED,0,0.224,0.959
2023-10-17,INP566474,4G,1395,661,MED,50,HEXD8F0A2DDD1,129382,21013,31574,84,35,1,55.8,WIRELESS,MMWAVE,0,0.079,0.606
2025-01-09,INP043970,FIXED_WIRELESS,854,41,HIGH,500,HEX0199483AF5,14727,14609,59566,84,71,0,150.1,COAX,MMWAVE,1,0.759,0.453
2023-10-30,INP367531,DSL,1018,148,HIGH,1000,HEXB193E67CB1,109150,3047,16150,197,115,1,147.4,SAT,MID_BAND,0,0.004,0.808
2024-11-07,INP845915,4G,1679,136,LOW,200,HEXA95E69B365,77615,29677,17481,35,26,0,221.6,SAT,C_BAND,0,0.548,0.517
2022-06-09,INP262369,4G,1972,187,HIGH,500,HEXB51579A6BD,75454,27681,1673,133,27,1,36.5,FIBER,MID_BAND,1,0.786,0.979
2022-10-23,INP107253,FIXED_WIRELESS,219,635,HIGH,1000,HEX83A68CBB06,109700,44901,40980,247,141,1,186.0,COPPER,UNLICENSED,0,0.86,0.606
2022-07-12,INP976756,5G,1494,992,LOW,100,HEX7F1FB10442,222277,16712,739,84,59,0,38.9,COPPER,C_BAND,0,0.774,0.732
2023-05-18,INP453732,DSL,1076,74,HIGH,50,HEX68133553C8,147650,49291,1153,29,21,1,60.2,SAT,UNLICENSED,1,0.04,0.911
2024-04-11,INP993529,5G,1587,388,HIGH,2000,HEX874A511FC8,164846,4290,27627,171,161,0,216.3,WIRELESS,LOW_BAND,1,0.829,0.906
2024-11-17,INP697143,FIBER,160,60,LOW,2000,HEX41DE676561,2046,42036,8288,193,190,0,175.3,FIBER,C_BAND,0,0.106,0.843
2023-05-19,INP629380,DSL,1102,230,LOW,1000,HEX6C8F2AECB5,249396,730,72551,223,142,1,10.6,SAT,UNLICENSED,0,0.548,0.359
2022-05-10,INP793465,DSL,386,231,HIGH,2000,HEX41A90CF8A1,176578,4414,32858,25,6,0,121.9,COAX,C_BAND,1,0.655,0.369
2020-10-12,INP934635,SATELLITE,1170,378,MED,200,HEX25CBA45A57,117247,23510,40038,124,70,1,161.5,FIBER,C_BAND,0,0.14,0.672
2022-12-14,INP767886,5G,1201,597,MED,2000,HEX9E88F7C53C,192711,19070,17548,118,64,1,99.3,SAT,LOW_BAND,0,0.848,0.857
2021-11-10,INP711558,DSL,1517,754,MED,100,HEX0C343A8C6E,231593,3043,5230,166,82,1,242.1,COAX,C_BAND,0,0.57,0.56
2024-03-30,INP368539,SATELLITE,841,366,MED,200,HEXCE0E738422,158316,47009,15509,169,58,1,82.7,FIBER,MMWAVE,0,0.479,0.708
2024-08-10,INP005160,SATELLITE,310,62,LOW,100,HEXE86FAEBDF3,159497,30894,63133,43,14,0,150.3,SAT,MID_BAND,0,0.511,0.416
2023-11-04,INP950310,SATELLITE,1770,936,HIGH,1000,HEX621790C817,34664,39549,70685,211,0,0,193.8,WIRELESS,UNLICENSED,0,0.875,0.781
2024-10-23,INP287357,5G,1724,718,HIGH,0,HEX64CE19840B,2364,37878,68490,30,16,1,163.7,COAX,MMWAVE,0,0.155,0.75
2022-11-04,INP255693,DSL,856,570,HIGH,200,HEX287F9C62D1,60733,29268,21206,25,6,1,196.6,SAT,UNLICENSED,0,0.707,0.411
2020-01-22,INP884602,CABLE,173,628,LOW,1000,HEX6F98B9FDA7,53376,43049,67915,73,24,1,150.0,SAT,MID_BAND,0,0.674,0.548
2020-01-02,INP902364,DSL,1070,20,HIGH,1000,HEX114DE5F493,244218,26473,609,66,22,1,26.8,FIBER,UNLICENSED,1,0.947,0.854
2022-11-21,INP885695,5G,508,780,MED,2000,HEX779011AFA3,83266,27028,46281,132,2,0,66.0,COAX,LOW_BAND,0,0.749,0.536
2022-01-01,INP438296,DSL,1031,759,LOW,50,HEXBD333921EA,174412,32287,868,195,138,0,212.0,COAX,UNLICENSED,1,0.898,0.908
2023-01-30,INP499225,FIBER,1086,823,MED,200,HEXF05DC71850,177212,13811,49732,148,25,1,153.3,COAX,MID_BAND,0,0.237,0.625
2023-11-06,INP342738,CABLE,933,189,HIGH,50,HEXFADBC8D3CB,124490,638,23148,107,63,1,223.3,SAT,UNLICENSED,0,0.785,0.507
2020-07-14,INP360846,FIXED_WIRELESS,1534,347,MED,100,HEX58C565A99A,141648,11438,37304,90,41,0,122.0,WIRELESS,LOW_BAND,0,0.287,0.736
2021-08-16,INP869464,FIBER,172,170,MED,50,HEX5AB96ECFB8,118540,27131,21930,47,1,1,58.8,COAX,LOW_BAND,1,0.397,0.366
2025-04-22,INP503702,DSL,182,675,MED,100,HEX3B728205ED,122971,35427,35705,140,113,1,237.1,SAT,MID_BAND,0,0.457,0.817
2024-11-16,INP563358,FIXED_WIRELESS,640,379,MED,100,HEX208C248B7C,79041,598,56418,204,74,0,199.2,SAT,C_BAND,1,0.882,0.602
2022-10-20,INP173324,DSL,1068,787,HIGH,2000,HEXB4A8431217,119190,17834,64486,48,20,1,12.6,SAT,LOW_BAND,1,0.102,0.486
2024-11-30,INP721433,5G,1030,385,MED,1000,HEXC5DF0C173D,214737,25007,1653,31,15,1,243.7,COPPER,LOW_BAND,1,0.735,0.365
2022-05-03,INP463360,SATELLITE,1076,130,MED,200,HEXA3ED31A524,31865,25939,31862,2,0,0,172.7,SAT,MID_BAND,0,0.089,0.409
2021-01-09,INP639703,DSL,1446,554,LOW,50,HEX758A5EB06B,66218,2587,63609,180,112,0,135.8,WIRELESS,MID_BAND,0,0.544,0.523
2025-04-02,INP289501,CABLE,1688,274,HIGH,100,HEX7C8BE95951,141784,25394,24886,134,127,0,38.7,COAX,C_BAND,0,0.322,0.366
2020-09-30,INP091011,FIBER,1179,662,MED,1000,HEX79903B0EAE,218624,5240,61349,205,163,1,139.6,WIRELESS,C_BAND,0,0.058,0.726
2025-12-06,INP003990,4G,483,549,MED,50,HEX3A9F88BC9A,184669,43597,55977,226,26,1,45.3,WIRELESS,UNLICENSED,1,0.158,0.989
2024-12-19,INP995984,4G,891,850,HIGH,100,HEX993CE4F76B,75075,39043,2136,132,34,0,75.6,COAX,MID_BAND,1,0.315,0.832
2023-02-04,INP955504,DSL,293,276,MED,500,HEX3449931577,236173,45193,12499,152,76,1,202.1,WIRELESS,LOW_BAND,0,0.922,0.531
2024-11-13,INP488266,FIBER,1308,801,HIGH,200,HEX08595B2AFF,197852,39002,66155,23,7,1,196.6,COPPER,MID_BAND,1,0.476,0.814
2026-02-23,INP305711,SATELLITE,415,504,MED,1000,HEX98F8346A91,108918,27757,47876,89,24,1,148.6,FIBER,C_BAND,1,0.35,0.867
2024-12-16,INP649261,4G,1756,92,LOW,1000,HEX0FEDD0B170,55290,48497,70517,54,13,1,187.6,SAT,MMWAVE,0,0.992,0.78
2020-03-16,INP395202,4G,1275,282,LOW,200,HEXA064DAD0DA,61099,24949,66655,250,181,1,79.0,SAT,UNLICENSED,1,0.199,0.967
2020-03-29,INP093470,4G,730,368,HIGH,100,HEX3F8CAEED08,73951,14783,19884,87,50,0,22.1,WIRELESS,UNLICENSED,0,0.612,0.732
2022-07-20,INP454364,DSL,433,673,LOW,500,HEX8CD4B82FF2,245088,37017,20715,81,8,0,237.2,FIBER,MID_BAND,1,0.88,0.802
2023-07-29,INP844498,4G,570,160,LOW,0,HEX20F9999301,204926,31234,17575,128,120,0,93.6,WIRELESS,MMWAVE,0,0.164,0.456
2024-07-31,INP702479,5G,428,72,LOW,200,HEXD757360B65,160802,48658,74964,152,137,1,219.0,FIBER,UNLICENSED,1,0.457,0.906
2022-10-03,INP537556,FIBER,398,303,MED,200,HEXEC424EBE7A,24208,47359,65622,28,5,0,234.5,SAT,MID_BAND,0,0.323,0.317
