food_supply_price_week,food_supply_product_upc_category,food_supply_retail_market_area,food_supply_average_price_usd,food_supply_price_change_wow_pct,food_supply_price_change_yoy_pct,food_supply_stockout_rate_pct,food_supply_on_shelf_availability_pct,food_supply_supply_chain_stage_code,food_supply_import_dependency_share_pct,food_supply_shipping_cost_index,food_supply_cold_chain_failure_flag,food_supply_warehouse_capacity_util_pct,food_supply_lead_time_days_avg,food_supply_spoilage_rate_pct,food_supply_private_label_share_pct,food_supply_promo_intensity_index,food_supply_online_grocery_share_pct,food_supply_food_inflation_contribution,food_supply_data_vendor_panel_code
2019-10-28,UPC000000043,DMA_006,29.397,10.961,41.43,8.56,91.43,WAREHOUSE,8.09,115.23,0,35.36,32.71,17.37,60.48,2.494,43.91,1.1037,PANEL_E
2019-11-04,UPC000000044,DMA_007,9.167,9.42,-28.094,7.24,94.3,RETAIL,33.4,213.01,0,88.64,31.08,13.55,9.84,1.3639,40.48,-0.7772,PANEL_B
2019-11-11,UPC000000045,DMA_002,48.393,5.728,40.115,4.73,96.09,PROCESSING,77.76,68.14,0,40.19,25.52,9.92,74.28,0.0411,17.8,0.7245,PANEL_B
2019-11-18,UPC000000046,DMA_001,7.506,9.409,1.121,35.79,75.94,DISTRIBUTION,89.83,92.4,0,97.05,39.7,2.2,32.95,2.1577,57.27,0.9765,PANEL_E
2019-11-25,UPC000000047,DMA_006,68.488,18.442,37.372,14.97,84.53,PRODUCTION,61.01,191.58,0,39.4,35.58,14.17,53.36,2.847,49.17,-0.5419,PANEL_E
2019-12-02,UPC000000048,DMA_007,74.887,-13.986,22.608,36.44,65.69,WAREHOUSE,8.92,194.59,0,30.91,33.8,10.59,70.08,0.3577,32.79,-0.671,PANEL_D
2019-12-09,UPC000000049,DMA_006,11.548,-13.75,51.578,33.6,66.07,RETAIL,34.56,85.21,0,63.29,21.63,3.19,70.58,1.3728,17.1,0.3269,PANEL_C
2019-12-16,UPC000000050,DMA_006,21.23,17.852,10.17,33.73,76.31,WAREHOUSE,63.09,50.77,0,88.41,27.3,9.27,4.69,0.6084,37.42,1.1505,PANEL_D
2019-12-23,UPC000000051,DMA_006,39.442,4.183,39.0,3.55,97.51,PRODUCTION,51.46,71.72,0,40.93,2.47,3.25,53.01,2.3728,46.33,1.134,PANEL_B
2019-12-30,UPC000000052,DMA_006,5.635,-14.141,52.753,2.26,97.59,PRODUCTION,5.53,160.93,0,99.28,6.04,9.27,8.93,0.5867,55.05,0.1856,PANEL_D
2020-01-06,UPC000000053,DMA_004,5.205,21.605,-12.65,7.14,92.43,PROCESSING,93.01,165.64,0,47.69,11.3,5.02,23.17,1.0102,16.09,-0.6296,PANEL_C
2020-01-13,UPC000000054,DMA_001,19.064,6.007,20.915,13.91,85.73,PRODUCTION,83.93,70.99,0,36.93,35.87,8.01,0.12,2.2757,30.4,0.2602,PANEL_E
2020-01-20,UPC000000055,DMA_008,17.592,11.611,2.477,9.99,93.28,WAREHOUSE,55.5,102.7,0,30.65,19.53,6.93,19.09,0.9802,53.06,0.2228,PANEL_A
2020-01-27,UPC000000056,DMA_002,72.183,10.207,-21.588,25.96,79.07,WAREHOUSE,95.67,217.29,0,54.01,41.4,15.79,32.15,2.1842,30.54,0.2369,PANEL_B
2020-02-03,UPC000000057,DMA_003,56.037,-9.933,-6.977,12.09,90.68,RETAIL,17.91,148.3,0,74.3,28.99,17.91,30.26,1.6454,42.33,-0.1798,PANEL_C
2020-02-10,UPC000000058,DMA_002,27.506,-13.89,22.195,25.21,82.35,RETAIL,62.94,60.75,0,40.63,12.46,8.5,62.85,0.686,53.52,-0.1784,PANEL_D
2020-02-17,UPC000000059,DMA_007,65.935,-1.328,-7.328,11.28,87.85,PRODUCTION,43.19,144.06,0,43.65,40.84,11.53,13.93,2.9606,49.06,0.0732,PANEL_E
2020-02-24,UPC000000060,DMA_008,4.463,-12.545,-24.649,39.95,58.84,WAREHOUSE,75.16,243.7,0,76.44,22.02,17.81,2.75,1.9522,33.33,0.7096,PANEL_D
2020-03-02,UPC000000061,DMA_002,3.243,-1.447,50.042,32.57,64.83,WAREHOUSE,32.2,109.8,0,41.4,10.62,2.28,33.87,2.4487,18.12,0.4399,PANEL_D
2020-03-09,UPC000000062,DMA_004,24.036,-11.608,49.763,22.41,85.34,RETAIL,2.18,193.41,0,57.53,44.31,7.53,64.37,1.2733,14.63,0.1101,PANEL_B
2020-03-16,UPC000000063,DMA_006,19.941,-10.102,2.235,1.37,99.07,DISTRIBUTION,15.32,217.07,0,49.42,30.39,17.29,35.86,2.0733,31.75,-0.3071,PANEL_E
2020-03-23,UPC000000064,DMA_006,66.761,-22.889,12.48,17.09,89.45,RETAIL,96.21,212.95,0,67.17,40.7,8.98,46.55,2.6605,21.4,-0.6462,PANEL_D
2020-03-30,UPC000000065,DMA_008,57.26,-11.589,-5.027,28.95,72.36,PROCESSING,87.93,76.75,0,87.54,37.99,10.42,5.75,1.0154,45.85,-0.0149,PANEL_D
2020-04-06,UPC000000066,DMA_003,72.744,-21.655,18.186,24.51,76.7,RETAIL,15.25,200.04,0,79.43,42.98,4.91,49.53,2.9998,8.69,-0.4518,PANEL_C
2020-04-13,UPC000000067,DMA_008,42.684,0.181,22.407,11.66,90.13,WAREHOUSE,19.15,91.87,0,45.16,12.8,13.66,66.27,2.7554,57.33,-0.3778,PANEL_A
2020-04-20,UPC000000068,DMA_005,42.587,5.911,54.06,7.57,94.19,DISTRIBUTION,91.79,79.86,0,82.41,37.95,4.66,78.97,2.0028,41.3,-0.2396,PANEL_B
2020-04-27,UPC000000069,DMA_006,10.115,20.131,-12.793,37.53,71.44,PRODUCTION,86.93,210.79,0,86.07,22.23,6.09,0.61,2.0013,11.78,-0.0697,PANEL_B
2020-05-04,UPC000000070,DMA_004,74.158,-24.876,17.541,38.06,67.04,RETAIL,62.17,234.47,0,33.48,40.21,17.89,79.49,0.6245,5.78,0.2609,PANEL_E
2020-05-11,UPC000000071,DMA_007,67.157,0.765,14.2,8.49,94.77,PRODUCTION,90.69,117.91,0,76.17,22.25,7.74,38.53,1.0192,50.78,0.3997,PANEL_A
2020-05-18,UPC000000072,DMA_008,23.44,-21.737,12.478,38.11,62.9,WAREHOUSE,13.22,162.66,0,89.81,36.19,15.2,28.54,1.5068,34.47,-0.2816,PANEL_D
2020-05-25,UPC000000073,DMA_003,32.618,-17.058,48.777,18.54,86.31,PRODUCTION,79.66,182.27,0,98.13,5.5,13.36,42.52,0.6479,16.94,0.8213,PANEL_A
2020-06-01,UPC000000074,DMA_001,42.211,-10.422,42.737,5.49,96.7,DISTRIBUTION,38.33,76.95,0,38.65,31.85,3.95,71.49,2.585,26.56,-0.7092,PANEL_B
2020-06-08,UPC000000075,DMA_005,69.778,-23.692,34.567,38.0,61.65,PROCESSING,24.29,60.15,0,94.85,28.24,14.22,6.68,0.9564,51.76,0.8441,PANEL_C
2020-06-15,UPC000000076,DMA_008,68.789,-3.609,31.619,39.33,76.39,DISTRIBUTION,26.72,80.54,0,55.77,21.85,0.28,37.42,1.9086,19.91,0.0833,PANEL_C
2020-06-22,UPC000000077,DMA_007,20.976,7.416,-27.628,15.96,86.04,DISTRIBUTION,6.07,80.55,0,98.36,36.71,9.59,38.32,1.5777,55.82,0.726,PANEL_A
2020-06-29,UPC000000078,DMA_008,48.942,16.006,-23.672,25.78,72.75,PROCESSING,28.35,192.36,0,48.22,35.05,1.76,71.53,0.7267,58.65,0.9933,PANEL_C
2020-07-06,UPC000000079,DMA_006,26.448,21.505,19.945,10.36,91.04,PRODUCTION,64.21,205.25,0,94.9,20.57,10.08,54.19,0.1163,58.99,1.0989,PANEL_D
2020-07-13,UPC000000080,DMA_008,18.187,5.69,36.718,38.22,75.18,RETAIL,69.18,208.67,1,55.07,27.4,13.89,1.34,1.4103,38.95,0.7617,PANEL_C
2020-07-20,UPC000000081,DMA_007,4.006,17.675,-11.095,2.0,98.76,WAREHOUSE,78.36,163.9,0,94.69,1.43,10.05,6.88,1.2689,53.4,0.3922,PANEL_D
2020-07-27,UPC000000082,DMA_002,29.489,14.017,53.932,7.83,93.77,PRODUCTION,37.59,132.94,0,50.24,15.2,14.34,25.92,1.0679,22.05,-0.2427,PANEL_C
2020-08-03,UPC000000083,DMA_008,58.079,-2.196,4.976,8.04,92.63,DISTRIBUTION,59.34,244.41,0,41.0,29.46,13.3,51.32,0.351,55.87,0.7902,PANEL_E
2020-08-10,UPC000000084,DMA_004,37.13,-21.461,47.909,38.63,75.22,WAREHOUSE,72.83,71.79,0,75.82,28.65,1.11,41.05,1.6764,13.8,0.6443,PANEL_C
2020-08-17,UPC000000085,DMA_005,48.837,1.542,14.382,1.92,98.56,PROCESSING,77.17,215.14,0,63.66,12.08,17.89,55.13,1.1981,2.45,-0.3831,PANEL_E
2020-08-24,UPC000000086,DMA_008,46.796,-15.352,-16.196,35.14,69.64,PROCESSING,17.53,216.07,0,50.32,22.67,7.04,15.4,1.3229,54.05,1.1815,PANEL_C
2020-08-31,UPC000000087,DMA_001,36.545,-17.628,54.74,19.56,85.01,WAREHOUSE,30.75,86.7,0,83.91,27.65,6.04,7.98,1.8985,14.38,-0.2684,PANEL_A
2020-09-07,UPC000000088,DMA_006,59.471,-5.64,5.34,22.18,79.07,PROCESSING,50.59,217.44,0,51.48,16.62,12.8,72.17,0.0187,21.71,-0.7932,PANEL_A
2020-09-14,UPC000000089,DMA_008,6.875,-14.768,-14.673,13.3,89.25,RETAIL,44.67,162.28,0,51.83,26.29,5.19,29.54,1.6119,15.77,0.9692,PANEL_C
2020-09-21,UPC000000090,DMA_008,66.534,-11.023,18.731,23.07,85.41,RETAIL,55.44,97.98,0,32.03,25.2,8.8,22.39,0.1377,58.34,-0.3205,PANEL_C
2020-09-28,UPC000000091,DMA_003,68.501,24.366,-10.652,14.26,90.24,DISTRIBUTION,45.0,150.7,0,36.19,5.24,11.42,61.95,1.8221,28.09,1.1056,PANEL_C
2020-10-05,UPC000000092,DMA_008,65.591,8.837,41.811,0.55,99.55,PROCESSING,94.95,197.96,0,60.2,32.23,14.15,15.82,1.7946,41.49,1.1149,PANEL_A
2020-10-12,UPC000000093,DMA_008,46.538,-7.19,22.338,35.75,71.26,PRODUCTION,29.26,241.96,0,65.27,43.84,4.44,32.25,1.8747,56.15,0.4997,PANEL_B
2020-10-19,UPC000000094,DMA_001,40.052,-9.913,0.301,18.16,84.99,PROCESSING,34.62,172.03,0,85.51,39.07,5.18,5.14,2.1307,52.96,-0.0303,PANEL_D
2020-10-26,UPC000000095,DMA_008,68.273,-17.324,23.005,16.0,84.31,RETAIL,74.53,71.62,0,44.34,15.92,13.74,52.68,1.8725,7.38,-0.2841,PANEL_C
2020-11-02,UPC000000096,DMA_004,70.95,24.658,-18.084,24.69,82.6,WAREHOUSE,72.86,181.71,0,41.4,28.42,9.76,58.2,2.1152,14.77,0.5174,PANEL_D
2020-11-09,UPC000000097,DMA_005,34.945,11.203,31.578,10.13,89.47,WAREHOUSE,96.34,54.01,0,42.02,1.09,8.34,14.57,0.5906,34.33,-0.7237,PANEL_A
2020-11-16,UPC000000098,DMA_008,55.599,-19.168,46.668,9.88,92.27,WAREHOUSE,77.46,124.75,0,46.53,7.36,3.01,66.89,2.3114,27.7,1.15,PANEL_A
2020-11-23,UPC000000099,DMA_008,26.801,16.771,17.874,36.29,72.9,WAREHOUSE,94.07,138.4,0,98.96,13.86,6.78,34.59,1.2736,44.44,-0.3564,PANEL_E
2020-11-30,UPC000000100,DMA_005,8.103,-2.073,33.136,20.37,86.14,PRODUCTION,26.57,172.12,0,63.88,16.6,12.56,39.38,2.1365,50.41,-0.722,PANEL_D
2020-12-07,UPC000000101,DMA_004,33.622,-4.329,-14.177,29.2,73.83,WAREHOUSE,76.03,219.29,0,57.54,0.44,0.25,41.92,0.4386,54.81,0.4172,PANEL_B
2020-12-14,UPC000000102,DMA_003,23.194,3.126,-28.945,31.01,80.53,RETAIL,10.75,146.08,0,59.51,9.47,9.8,34.87,2.2229,20.8,-0.4509,PANEL_E
2020-12-21,UPC000000103,DMA_002,69.978,15.789,-4.721,26.49,71.94,PRODUCTION,9.8,127.11,0,85.81,37.7,6.84,58.72,2.6652,20.53,0.5428,PANEL_B
2020-12-28,UPC000000104,DMA_008,18.87,1.725,51.039,8.0,93.53,WAREHOUSE,29.81,59.49,0,77.06,24.95,17.75,37.55,1.6965,2.07,0.6755,PANEL_A
2021-01-04,UPC000000105,DMA_008,55.978,10.114,-1.582,2.25,98.55,PROCESSING,72.29,52.08,0,66.0,6.62,2.71,57.76,1.6198,6.47,-0.1287,PANEL_D
2021-01-11,UPC000000106,DMA_001,14.458,-10.322,51.635,1.73,98.57,WAREHOUSE,2.63,61.83,0,77.63,25.28,12.1,10.01,1.8006,1.66,0.6439,PANEL_C
2021-01-18,UPC000000107,DMA_007,6.107,-0.686,4.078,11.81,87.31,PROCESSING,80.54,225.01,0,84.24,5.63,9.81,33.42,2.0859,15.87,-0.0189,PANEL_D
2021-01-25,UPC000000108,DMA_004,58.213,-0.621,29.976,31.36,67.44,RETAIL,93.92,81.33,0,40.85,30.75,4.87,55.08,2.2048,41.17,0.3345,PANEL_D
2021-02-01,UPC000000109,DMA_003,71.199,-17.81,-26.408,38.33,74.06,PRODUCTION,49.89,51.86,0,46.83,10.41,14.37,10.74,2.9298,2.98,-0.5185,PANEL_E
2021-02-08,UPC000000110,DMA_004,61.484,12.753,-29.207,33.48,73.81,DISTRIBUTION,25.96,229.21,0,64.17,2.91,9.18,53.7,2.4344,31.37,-0.676,PANEL_E
2021-02-15,UPC000000111,DMA_005,16.994,17.922,7.101,4.72,96.96,DISTRIBUTION,76.27,175.21,0,69.06,18.93,6.34,35.71,2.7571,50.87,-0.705,PANEL_B
2021-02-22,UPC000000112,DMA_008,70.985,-12.659,10.595,23.7,84.25,WAREHOUSE,39.92,186.15,0,58.7,25.52,1.07,58.34,0.5448,3.48,-0.0761,PANEL_C
2021-03-01,UPC000000113,DMA_006,72.829,22.137,1.339,33.47,74.06,PROCESSING,19.71,61.48,0,41.67,15.62,3.33,44.72,1.1291,1.6,-0.0097,PANEL_A
2021-03-08,UPC000000114,DMA_007,39.639,-11.812,-29.42,27.02,76.78,PROCESSING,60.04,71.16,0,82.18,14.99,5.64,72.34,0.7931,7.99,0.5845,PANEL_B
2021-03-15,UPC000000115,DMA_008,19.989,-2.427,54.46,33.98,79.22,RETAIL,7.67,216.85,0,53.71,9.31,7.22,1.99,2.6825,42.71,0.9393,PANEL_B
2021-03-22,UPC000000116,DMA_002,37.427,12.531,50.232,28.6,81.59,PROCESSING,48.72,236.25,0,49.8,36.61,7.82,1.29,1.3292,19.22,-0.0126,PANEL_E
2021-03-29,UPC000000117,DMA_005,9.647,-16.949,-29.388,27.6,73.97,RETAIL,1.27,184.84,0,94.17,42.93,13.05,7.05,1.8303,12.85,0.3167,PANEL_A
2021-04-05,UPC000000118,DMA_003,4.827,-18.115,33.38,34.5,69.56,PROCESSING,46.14,212.29,0,49.41,43.16,15.99,79.79,0.8382,40.86,0.5283,PANEL_B
2021-04-12,UPC000000119,DMA_006,47.227,-10.479,5.394,25.27,75.87,RETAIL,60.08,77.5,0,33.0,14.24,3.66,56.0,2.789,40.93,-0.6483,PANEL_A
2021-04-19,UPC000000120,DMA_008,51.018,6.756,53.114,14.76,87.02,RETAIL,56.04,89.42,1,51.07,3.1,2.86,53.66,0.3161,23.8,1.0683,PANEL_A
2021-04-26,UPC000000121,DMA_001,69.257,-4.018,-16.945,3.67,96.52,RETAIL,63.35,140.1,0,67.29,41.36,10.61,44.65,2.0725,27.74,-0.2797,PANEL_C
2021-05-03,UPC000000122,DMA_001,59.82,9.707,14.732,13.81,91.01,DISTRIBUTION,75.46,189.2,0,90.97,37.37,0.99,39.86,1.3675,25.37,-0.6679,PANEL_D
2021-05-10,UPC000000123,DMA_006,12.812,15.85,28.924,10.09,93.86,RETAIL,54.11,231.31,0,80.83,19.88,2.93,58.81,1.1399,26.07,0.645,PANEL_C
2021-05-17,UPC000000124,DMA_005,65.868,23.787,-29.622,4.58,97.1,PROCESSING,64.07,75.99,0,84.5,29.73,4.67,62.0,1.1922,38.48,-0.1326,PANEL_C
2021-05-24,UPC000000125,DMA_004,27.889,11.949,46.747,15.86,84.43,RETAIL,16.14,102.86,0,34.51,38.34,11.0,47.91,2.1214,2.22,-0.3512,PANEL_B
2021-05-31,UPC000000126,DMA_003,34.945,-18.225,-21.795,38.05,63.58,WAREHOUSE,56.82,153.42,0,86.83,9.23,13.42,64.83,0.1672,30.12,-0.3154,PANEL_A
2021-06-07,UPC000000127,DMA_004,36.373,-5.713,-3.201,11.95,90.64,PRODUCTION,28.18,248.78,0,42.57,40.03,11.34,76.66,0.6663,7.41,-0.273,PANEL_B
2021-06-14,UPC000000128,DMA_004,20.772,-10.427,-23.916,31.07,75.98,RETAIL,65.0,73.72,0,82.84,23.16,9.48,68.79,1.9494,33.95,-0.4609,PANEL_B
2021-06-21,UPC000000129,DMA_008,15.549,2.988,10.816,24.67,80.65,PRODUCTION,92.65,243.95,1,49.14,40.5,13.07,24.86,2.1134,30.89,-0.6218,PANEL_D
2021-06-28,UPC000000130,DMA_007,35.415,18.043,26.977,26.26,74.16,DISTRIBUTION,4.32,212.78,0,44.23,42.44,5.47,10.36,0.3958,28.08,0.913,PANEL_C
2021-07-05,UPC000000131,DMA_005,58.642,21.541,12.477,18.83,87.57,WAREHOUSE,4.6,240.63,1,31.53,26.86,15.14,57.11,0.4504,25.94,1.0603,PANEL_B
2021-07-12,UPC000000132,DMA_007,29.095,17.285,18.547,1.1,99.32,RETAIL,68.75,151.01,0,89.05,39.39,8.0,52.17,0.1587,46.94,-0.0325,PANEL_B
2021-07-19,UPC000000133,DMA_001,40.568,-0.533,52.699,4.2,96.49,RETAIL,87.72,172.5,0,67.04,22.78,13.6,5.22,2.0458,50.13,-0.1113,PANEL_A
2021-07-26,UPC000000134,DMA_003,34.773,9.304,25.803,30.82,76.93,PROCESSING,29.01,111.17,0,57.9,4.2,8.6,29.19,0.3251,32.36,-0.1026,PANEL_C
2021-08-02,UPC000000135,DMA_005,3.02,-14.1,40.393,39.42,61.24,WAREHOUSE,63.09,200.41,1,85.4,30.28,13.7,43.45,2.7342,48.96,0.5248,PANEL_E
2021-08-09,UPC000000136,DMA_008,14.481,-9.667,-9.706,19.31,86.74,DISTRIBUTION,63.32,221.58,0,58.0,30.19,4.67,1.3,2.8643,33.88,-0.0362,PANEL_A
2021-08-16,UPC000000137,DMA_008,32.362,6.201,-20.019,28.88,74.07,DISTRIBUTION,82.04,181.24,0,67.21,17.29,1.16,17.04,2.5197,12.46,0.3346,PANEL_E
2021-08-23,UPC000000138,DMA_007,71.8,17.221,-26.309,24.93,73.14,RETAIL,37.12,231.32,0,36.16,15.03,10.11,42.96,2.4069,17.9,0.8294,PANEL_B
2021-08-30,UPC000000139,DMA_001,6.015,-8.827,28.171,16.98,86.48,DISTRIBUTION,89.49,243.18,1,74.94,19.72,8.04,36.14,2.3491,45.48,0.0011,PANEL_D
