ag_livestock_report_month,ag_livestock_operation_id_hash,ag_livestock_animal_type_code,ag_livestock_inventory_head_count,ag_livestock_births_count,ag_livestock_deaths_count,ag_livestock_slaughter_count,ag_livestock_milk_production_lbs,ag_livestock_milk_yield_per_cow,ag_livestock_feed_cost_index,ag_livestock_vet_cost_per_head,ag_livestock_antibiotic_use_indicator,ag_livestock_disease_outbreak_flag,ag_livestock_housing_system_code,ag_livestock_pasture_access_days_year,ag_livestock_manure_management_method,ag_livestock_methane_emissions_estimate,ag_livestock_organic_certification_flag,ag_livestock_animal_welfare_audit_score,ag_livestock_market_price_usd_cwt
2015-11,7f92682478ba1d78,HOGS,208846,81771,124040,124842,0.0,0.0,63.02,18.6,1,0,BARN,70,LAGOON,206012.86,0,42.31,252.13
2015-12,0afcb2946ebd6296,POULTRY,121295,51931,94968,105016,0.0,0.0,142.05,12.56,0,1,BARN,0,OTHER,166982.02,0,89.25,227.32
2016-01,42e2b8d2cbf73e8a,SHEEP,102671,38827,57582,75503,0.0,0.0,165.9,117.3,1,0,CAGE_FREE,51,COMPOST,49898.87,0,24.72,316.62
2016-02,933ed0263fbbd129,GOATS,193634,97838,105635,142117,0.0,0.0,83.88,33.69,1,0,PASTURE,119,FIELD_APPLIED,242470.57,0,75.24,145.06
2016-03,aebf49449683454f,GOATS,100657,101551,100657,82393,0.0,0.0,129.9,126.99,1,0,CAGE_FREE,225,FIELD_APPLIED,97175.24,0,51.71,48.59
2016-04,ae7f1105e51ba3a1,HOGS,91008,89851,91008,143988,0.0,0.0,194.53,95.02,0,1,PASTURE,206,OTHER,95788.73,0,64.75,200.41
2016-05,bf66b4c2af89a160,CATTLE_BEEF,142516,32903,58923,78321,0.0,0.0,97.79,326.21,1,0,BARN,284,FIELD_APPLIED,29201.94,0,72.53,138.69
2016-06,174ab9da21432fbc,CATTLE_BEEF,28143,87722,28143,27763,0.0,0.0,182.98,288.89,1,0,OTHER,9,STACK,183478.84,0,36.32,77.67
2016-07,c847c0a6ec3e4497,GOATS,116627,20422,34217,101260,0.0,0.0,92.63,95.41,1,0,FEEDLOT,126,DIGESTER,223275.17,0,6.32,210.92
2016-08,06d6f5056882689f,SHEEP,137933,110808,137933,119036,0.0,0.0,145.34,175.13,1,0,PASTURE,66,FIELD_APPLIED,26348.47,0,11.45,185.96
2016-09,f504561e4383b74c,GOATS,237850,19766,38953,120406,0.0,0.0,107.39,214.24,1,0,PASTURE,160,OTHER,164488.7,0,24.2,153.88
2016-10,c156c78f9a8619ff,CATTLE_BEEF,161096,10710,41211,34991,0.0,0.0,127.88,218.4,1,0,FREE_STALL,255,COMPOST,139440.86,0,42.86,298.99
2016-11,b140319f1ded320a,POULTRY,19295,85564,19295,92610,0.0,0.0,163.09,247.89,0,0,CAGE_FREE,83,LAGOON,119076.47,0,18.17,143.95
2016-12,5b7ad124efd4a220,GOATS,123086,55170,80583,104707,0.0,0.0,179.38,236.98,0,0,FREE_STALL,1,DIGESTER,124274.11,0,27.77,285.73
2017-01,2a558e246cc6aec8,CATTLE_DAIRY,132937,43139,50314,24533,192152853.37,16417.3,104.18,4.37,0,0,CAGE_FREE,267,STACK,115440.97,0,91.81,219.29
2017-02,58a33b61012166f2,SHEEP,19942,41146,19942,80803,0.0,0.0,101.77,375.47,1,0,BARN,93,STACK,9067.44,0,8.35,197.06
2017-03,207ba92e61a9f39d,HOGS,222888,113892,154261,26300,0.0,0.0,91.81,402.52,1,0,PASTURE,124,STACK,218060.23,0,85.73,97.82
2017-04,611cc610059392cf,SHEEP,83162,30089,62876,109602,0.0,0.0,164.41,291.06,1,0,PASTURE,190,FIELD_APPLIED,14077.17,0,8.56,42.68
2017-05,67c4a218a7be72e9,POULTRY,88036,83435,88036,10380,0.0,0.0,200.49,297.01,0,0,OTHER,312,STACK,99391.54,0,75.02,76.73
2017-06,a85ab2a038c9bd1b,HOGS,236715,95645,120166,122773,0.0,0.0,89.33,411.2,1,0,PASTURE,215,FIELD_APPLIED,197053.63,0,7.31,213.01
2017-07,ff22fc4f9fce5906,CATTLE_BEEF,194050,112291,152977,131055,0.0,0.0,203.33,367.48,1,0,FREE_STALL,338,FIELD_APPLIED,151094.31,0,23.22,263.48
2017-08,29a8495cc78bc07e,CATTLE_BEEF,148629,117353,148629,7511,0.0,0.0,170.19,171.23,0,0,CAGE_FREE,16,FIELD_APPLIED,141189.38,0,77.72,79.02
2017-09,a4a025db207c952d,HOGS,83327,10886,59112,120175,0.0,0.0,101.65,405.31,0,0,OTHER,134,FIELD_APPLIED,192033.96,0,7.87,256.39
2017-10,007b24c7e52d52ef,POULTRY,83544,39096,71245,114325,0.0,0.0,172.75,364.31,0,0,FEEDLOT,4,LAGOON,198905.49,0,47.87,270.75
2017-11,425c787d500af1bc,CATTLE_BEEF,104692,1057,46771,4771,0.0,0.0,162.58,130.59,0,0,PASTURE,326,FIELD_APPLIED,75361.9,0,97.27,223.44
2017-12,1877b59285f346d1,POULTRY,240162,98889,131171,85438,0.0,0.0,91.6,81.11,0,0,OTHER,291,STACK,91719.01,0,57.21,239.93
2018-01,d4550c8e0d46cec7,POULTRY,27214,45710,27214,9228,0.0,0.0,95.64,1.5,1,0,PASTURE,140,OTHER,145665.2,0,41.68,64.96
2018-02,11af024b1910247e,HOGS,122202,65328,87715,148497,0.0,0.0,80.44,204.33,1,0,CAGE_FREE,112,FIELD_APPLIED,40239.26,0,67.91,234.44
2018-03,c12aa5d2e9e8e621,CATTLE_BEEF,148267,60081,91899,62669,0.0,0.0,182.54,174.44,1,0,BARN,327,FIELD_APPLIED,34989.08,0,5.01,141.25
2018-04,773ad29b8357548b,POULTRY,131676,51259,81568,36443,0.0,0.0,87.24,147.21,1,0,FEEDLOT,192,COMPOST,103303.76,0,1.48,312.9
2018-05,7c5c336310c5602e,HOGS,16424,11800,16424,22241,0.0,0.0,79.75,11.44,1,0,OTHER,55,DIGESTER,45353.38,0,94.35,198.0
2018-06,5d9d4bc08fe390cf,GOATS,106178,65659,106178,70588,0.0,0.0,209.87,433.93,0,0,FEEDLOT,338,LAGOON,201627.54,0,68.62,131.24
2018-07,05eeaf6cca003585,CATTLE_DAIRY,52278,72352,52278,147488,80789148.61,17503.2,120.39,69.85,0,0,PASTURE,26,COMPOST,181693.1,1,84.56,127.46
2018-08,7c90527d946d059a,SHEEP,179018,912,9690,2114,0.0,0.0,75.35,150.7,0,0,CAGE_FREE,122,STACK,143498.55,0,27.53,44.59
2018-09,65fdcf0331b2d4bf,HOGS,215550,5691,38384,124737,0.0,0.0,168.9,203.08,0,0,PASTURE,258,LAGOON,85765.78,0,91.85,121.17
2018-10,347b04c475a404b1,CATTLE_BEEF,29121,57166,29121,135828,0.0,0.0,134.11,166.7,0,0,FEEDLOT,94,LAGOON,23391.22,0,90.88,44.09
2018-11,501de06beeaec14e,HOGS,9452,71934,9452,66521,0.0,0.0,154.29,73.64,1,0,BARN,165,DIGESTER,190706.15,1,91.4,162.22
2018-12,b79ce66d9a049709,POULTRY,199901,79741,108310,68165,0.0,0.0,192.08,265.52,0,0,CAGE_FREE,286,COMPOST,48323.7,0,53.76,276.28
2019-01,f8f20b0a55f035a8,POULTRY,23711,64287,23711,101440,0.0,0.0,69.42,262.67,1,0,FREE_STALL,153,STACK,187661.65,0,23.45,144.01
2019-02,a00474c2079b03b5,CATTLE_DAIRY,101626,10908,45006,94418,38252017.51,16076.6,88.08,330.96,0,0,CAGE_FREE,22,FIELD_APPLIED,173679.44,0,64.93,104.61
2019-03,33f9d8c4c3adda9a,HOGS,191133,107187,133812,86141,0.0,0.0,148.35,128.41,0,0,FEEDLOT,186,COMPOST,26568.45,0,82.89,312.52
2019-04,c429d54e9649db80,CATTLE_DAIRY,75146,23819,45237,104286,247642717.06,15140.3,190.22,363.77,1,0,BARN,87,FIELD_APPLIED,99016.86,0,51.38,61.14
2019-05,d57121407ee5f1db,POULTRY,193393,37653,44752,122068,0.0,0.0,204.12,348.63,1,0,OTHER,191,FIELD_APPLIED,62966.32,0,82.22,191.24
2019-06,f57a7a6bb13914aa,POULTRY,187984,6144,24776,89569,0.0,0.0,134.2,228.21,1,1,OTHER,199,STACK,212761.39,1,68.56,108.3
2019-07,e886d7c190f8cd82,HOGS,134445,18690,55645,64337,0.0,0.0,196.34,10.35,0,0,FEEDLOT,182,LAGOON,184552.31,0,35.03,121.02
2019-08,41005103c9b78807,POULTRY,72726,34164,52258,142758,0.0,0.0,215.42,361.14,0,0,OTHER,94,LAGOON,236871.99,0,1.52,77.24
2019-09,3c4609f42a02e538,HOGS,90685,75745,90685,17556,0.0,0.0,208.61,313.86,0,0,PASTURE,258,FIELD_APPLIED,162336.99,1,53.51,181.29
2019-10,4c1e6e4d016c6386,CATTLE_DAIRY,77480,12408,51524,148231,222700044.52,25319.0,62.69,285.7,1,0,FREE_STALL,353,LAGOON,193754.6,0,67.37,98.03
2019-11,0276b38d4b6a0d80,CATTLE_DAIRY,111326,89013,111326,55463,192008851.7,21850.6,129.47,9.28,0,0,CAGE_FREE,89,LAGOON,173378.69,0,31.89,94.93
2019-12,7884c4bb224eff17,HOGS,163434,38762,61092,146326,0.0,0.0,83.84,156.27,1,0,CAGE_FREE,196,FIELD_APPLIED,223810.82,0,74.2,75.32
2020-01,2a97f2a177eaca19,SHEEP,181689,65554,112329,36490,0.0,0.0,209.32,222.23,1,0,CAGE_FREE,38,LAGOON,193113.64,0,59.5,94.54
2020-02,046788a568aca8e1,HOGS,55580,68452,55580,107277,0.0,0.0,61.34,24.94,0,1,FEEDLOT,26,STACK,72226.59,0,62.48,281.53
2020-03,7d4970e88fb149f6,GOATS,90547,40422,43283,2642,0.0,0.0,178.75,387.42,0,0,CAGE_FREE,306,COMPOST,39255.75,0,9.32,80.49
2020-04,97c4ef50d61eb59c,CATTLE_BEEF,220280,25126,73103,4469,0.0,0.0,80.25,422.94,1,0,OTHER,289,DIGESTER,179234.68,0,85.92,149.97
2020-05,3131656ceb282d49,HOGS,115088,45151,67403,116443,0.0,0.0,200.23,430.7,0,0,CAGE_FREE,65,FIELD_APPLIED,126062.42,0,49.67,112.35
2020-06,873aa25c2fa73182,CATTLE_DAIRY,159888,54887,68215,72566,14778677.88,24213.2,117.38,63.6,0,0,FREE_STALL,33,OTHER,162077.22,0,17.61,141.32
2020-07,0156694392d4fc30,POULTRY,212612,65400,75624,33608,0.0,0.0,73.44,404.17,1,0,BARN,67,COMPOST,176266.46,0,20.81,222.6
2020-08,d85225f5ef88efeb,CATTLE_BEEF,165486,98498,132830,82077,0.0,0.0,128.0,369.93,0,0,BARN,172,FIELD_APPLIED,207027.76,0,45.92,211.85
2020-09,f848e32ef6424f8d,POULTRY,6350,80396,6350,24872,0.0,0.0,215.28,204.99,0,1,PASTURE,86,LAGOON,248093.07,0,85.33,191.21
2020-10,0eb725eeee31d564,CATTLE_BEEF,74882,47240,74882,92659,0.0,0.0,76.75,34.49,1,0,CAGE_FREE,339,FIELD_APPLIED,89612.55,0,35.49,306.92
2020-11,d3dcd2d148646146,HOGS,43052,43827,43052,2162,0.0,0.0,179.83,213.02,0,0,PASTURE,298,FIELD_APPLIED,114732.67,0,48.22,95.7
2020-12,ee0fe989247c4bc1,CATTLE_DAIRY,27612,53591,27612,66675,74885317.07,27152.0,133.89,249.24,0,0,FREE_STALL,3,OTHER,126011.71,0,78.96,145.54
2021-01,7b88da4cfc71911a,CATTLE_DAIRY,92262,79979,92262,67158,19527852.44,27259.1,107.88,26.3,1,0,CAGE_FREE,18,STACK,174748.56,0,57.09,100.57
2021-02,fe551722c3387e47,POULTRY,15799,80222,15799,118598,0.0,0.0,67.93,327.49,1,0,OTHER,56,DIGESTER,118888.87,1,44.22,51.41
2021-03,b9c009d3e5faf8db,CATTLE_DAIRY,186393,93282,126935,101133,93203059.14,14082.7,160.24,125.23,0,0,PASTURE,194,FIELD_APPLIED,209032.95,1,18.15,183.68
2021-04,9fd690d747845227,CATTLE_BEEF,119368,28058,34805,42027,0.0,0.0,200.02,84.76,0,0,PASTURE,124,OTHER,213870.18,0,53.61,140.05
2021-05,128d55667bd08117,POULTRY,43650,19451,38590,14452,0.0,0.0,111.09,121.86,0,0,BARN,91,FIELD_APPLIED,213947.39,0,96.75,253.94
2021-06,f4eb0e082f183c66,POULTRY,141735,38445,52607,2942,0.0,0.0,217.73,170.54,1,0,OTHER,113,FIELD_APPLIED,31703.46,1,1.87,289.82
2021-07,73e142f52479d09d,POULTRY,124122,95042,96870,12499,0.0,0.0,65.65,309.92,0,0,FEEDLOT,3,COMPOST,241134.99,1,77.7,233.35
2021-08,15800b00261b5b7b,HOGS,145623,109522,131232,55494,0.0,0.0,79.02,158.34,0,0,PASTURE,256,FIELD_APPLIED,97533.95,0,84.67,301.97
2021-09,6bbb26e33722a5ad,POULTRY,170069,48961,69606,9749,0.0,0.0,88.25,140.05,0,0,FEEDLOT,296,COMPOST,189881.09,0,17.8,209.75
2021-10,78108473298479a9,POULTRY,158165,39960,50683,120964,0.0,0.0,172.02,56.21,0,0,FREE_STALL,67,FIELD_APPLIED,247207.29,0,71.38,237.63
2021-11,d0ab686964f2bd1b,POULTRY,112258,29052,42760,177,0.0,0.0,147.36,112.56,1,0,CAGE_FREE,67,STACK,203203.27,0,89.32,100.01
2021-12,ffcb2af7d2ea4fa4,CATTLE_BEEF,91860,86605,91860,105304,0.0,0.0,130.79,207.75,0,1,PASTURE,157,DIGESTER,158423.08,0,9.79,122.47
2022-01,ae34ffc34f1ec728,CATTLE_BEEF,57906,60319,57906,104308,0.0,0.0,71.0,364.57,1,0,FEEDLOT,347,STACK,173820.93,0,58.58,124.2
2022-02,b0b684e40272531d,CATTLE_BEEF,80265,28112,62896,147925,0.0,0.0,101.76,26.32,0,0,CAGE_FREE,335,FIELD_APPLIED,99225.68,0,73.81,69.57
2022-03,8501854bf3c07494,GOATS,27022,48398,27022,115745,0.0,0.0,207.78,336.67,0,1,FREE_STALL,98,LAGOON,104603.7,0,80.8,83.15
2022-04,f82b236b94cc2f5b,POULTRY,192231,3777,26132,15259,0.0,0.0,196.81,323.62,0,0,BARN,327,FIELD_APPLIED,41561.61,0,78.56,193.96
2022-05,dff85965ddb4d487,SHEEP,228089,46068,60418,70626,0.0,0.0,115.14,323.01,0,0,CAGE_FREE,50,LAGOON,46451.73,0,95.5,306.7
2022-06,32ff434239c9387d,POULTRY,45897,47191,45897,77111,0.0,0.0,114.17,414.74,0,0,FEEDLOT,124,STACK,43564.52,0,41.99,181.3
2022-07,3c34524d4fe44918,POULTRY,229576,60665,67360,103727,0.0,0.0,202.75,298.38,0,0,FEEDLOT,349,COMPOST,209629.17,0,5.59,231.71
2022-08,1e6403e05102e965,SHEEP,142688,10458,23003,128257,0.0,0.0,176.87,434.66,1,0,OTHER,332,COMPOST,236395.22,0,89.75,157.29
2022-09,5523de35f5230ad3,POULTRY,178115,25994,61223,135079,0.0,0.0,116.93,136.92,0,0,CAGE_FREE,259,FIELD_APPLIED,247245.93,1,80.6,65.1
2022-10,6ab02a23eac31df3,POULTRY,161638,115873,130011,132982,0.0,0.0,113.32,31.83,0,0,PASTURE,119,LAGOON,154954.72,0,28.79,185.78
2022-11,fd37326df9d4bbe0,POULTRY,197068,116970,154081,4528,0.0,0.0,107.14,344.32,0,0,PASTURE,89,LAGOON,166098.6,0,98.2,119.85
2022-12,3ad50956ebb8685b,POULTRY,101119,119879,101119,101716,0.0,0.0,168.06,206.33,1,0,FREE_STALL,25,LAGOON,3847.12,0,22.13,101.85
2023-01,692adcf0e18be88c,CATTLE_DAIRY,209959,22684,35916,42542,132839598.94,19716.6,171.31,142.09,0,0,PASTURE,55,FIELD_APPLIED,143647.76,0,65.71,64.4
2023-02,e4145e83f3b9ebd9,POULTRY,76108,77647,76108,44746,0.0,0.0,214.25,427.53,1,0,BARN,145,COMPOST,213169.34,0,83.99,241.06
2023-03,6c4420aa3b5c49cb,CATTLE_BEEF,161284,16371,60146,97937,0.0,0.0,176.09,362.58,1,0,BARN,206,FIELD_APPLIED,42507.45,0,68.47,233.29
2023-04,118ca1ce54a68eda,SHEEP,7209,59103,7209,121008,0.0,0.0,111.72,410.04,0,0,BARN,81,COMPOST,197944.23,0,82.84,110.14
2023-05,3ef753ec8dafecc9,CATTLE_DAIRY,22561,14496,22561,20806,44823018.0,26413.3,102.94,241.39,1,0,CAGE_FREE,320,COMPOST,96734.74,1,79.27,86.87
2023-06,06e1c31d75539f0b,POULTRY,234695,50739,83974,78467,0.0,0.0,205.45,19.6,1,0,PASTURE,171,STACK,89512.79,0,45.25,276.06
2023-07,c287e19df54baafd,HOGS,206099,36275,47679,129999,0.0,0.0,149.65,263.78,1,0,CAGE_FREE,256,OTHER,103239.92,0,66.05,225.66
2023-08,41f7dcea1af6fb5b,CATTLE_DAIRY,67739,35958,67739,89125,219262135.9,12826.6,69.41,206.54,0,0,BARN,243,LAGOON,1954.81,0,76.73,119.85
2023-09,ca61bc75d2c21d03,POULTRY,239026,116345,139678,56146,0.0,0.0,73.75,221.52,1,0,FEEDLOT,43,OTHER,1050.26,0,11.68,311.57
2023-10,220daeb58f5814df,HOGS,23770,21745,23770,114151,0.0,0.0,92.05,244.22,0,0,FREE_STALL,43,COMPOST,133007.36,0,46.28,55.35
2023-11,484e6a19e693cf46,HOGS,38350,110729,38350,56680,0.0,0.0,149.92,179.09,1,0,FREE_STALL,102,LAGOON,145668.85,0,72.37,246.09
2023-12,31f4339854db92a3,POULTRY,52402,46940,52402,34053,0.0,0.0,208.23,344.1,0,0,FEEDLOT,165,STACK,150668.02,0,60.24,218.84
2024-01,bf834bc5bca2c542,CATTLE_DAIRY,108305,85787,108305,129420,25520937.31,14363.4,155.09,371.19,0,0,PASTURE,207,FIELD_APPLIED,142027.7,0,98.41,231.17
2024-02,967012c5e38bc076,POULTRY,206159,110003,132800,122369,0.0,0.0,162.9,82.3,1,0,FREE_STALL,363,COMPOST,205527.73,0,80.29,298.32
2024-03,a8fc191899acc97c,CATTLE_DAIRY,175798,19752,48265,62160,148810482.21,17320.2,90.39,124.47,1,0,FEEDLOT,296,STACK,209622.99,0,66.96,290.35
2024-04,4d4aa3d71592431a,GOATS,205249,94514,143269,147969,0.0,0.0,137.97,44.26,0,0,FEEDLOT,293,LAGOON,86202.56,0,75.4,275.28
2024-05,ff7a3c409b9c59dc,POULTRY,27988,89460,27988,135403,0.0,0.0,209.67,266.65,0,1,PASTURE,193,FIELD_APPLIED,212464.43,0,1.04,314.65
2024-06,3b9bcd27ceec78db,HOGS,168833,96497,114526,44487,0.0,0.0,78.43,53.15,1,0,PASTURE,71,FIELD_APPLIED,108606.77,0,82.61,87.73
2024-07,6e69b1958d694dcd,POULTRY,207619,92987,96993,126222,0.0,0.0,139.23,241.72,1,0,FEEDLOT,246,FIELD_APPLIED,54400.66,0,69.91,162.12
2024-08,0dcbed0f307c01ed,POULTRY,12297,36525,12297,121650,0.0,0.0,97.47,122.21,0,0,FEEDLOT,18,COMPOST,17011.87,0,36.36,290.19
2024-09,3a4b166fb7325504,CATTLE_BEEF,106330,5195,16510,129384,0.0,0.0,210.77,94.48,0,0,PASTURE,248,FIELD_APPLIED,21192.61,0,58.58,228.93
2024-10,29dc880545b03617,CATTLE_DAIRY,115302,81117,102191,47497,49890135.7,19985.5,200.18,205.75,0,0,BARN,0,LAGOON,110917.83,0,1.13,194.23
2024-11,57fc46a767f27659,SHEEP,155261,105264,107979,71750,0.0,0.0,86.92,65.74,0,0,PASTURE,181,OTHER,123104.81,0,1.03,229.05
2024-12,ebb05c64228142ba,CATTLE_DAIRY,66680,82123,66680,141396,112423802.89,17522.8,212.68,283.3,1,0,BARN,9,LAGOON,35028.4,0,67.07,99.12
2025-01,6790f0612ef18f60,HOGS,17033,76831,17033,85602,0.0,0.0,111.99,253.18,0,0,FREE_STALL,183,DIGESTER,115541.58,0,54.61,108.36
2025-02,78242282f73ae40d,CATTLE_BEEF,151271,43803,62425,111460,0.0,0.0,126.24,356.98,0,0,PASTURE,193,OTHER,30716.37,0,86.81,46.77
2025-03,628c7e2b5f43ec80,CATTLE_DAIRY,19070,79809,19070,132914,107364487.34,25700.8,127.87,190.37,0,0,OTHER,344,FIELD_APPLIED,24663.81,0,10.64,174.8
2025-04,4ff0760f2f8449b1,CATTLE_BEEF,1090,68679,1090,70903,0.0,0.0,143.71,339.31,0,0,FEEDLOT,219,FIELD_APPLIED,232929.72,0,94.32,169.41
2025-05,bedcf37f9e80aaee,SHEEP,86025,29772,50303,85564,0.0,0.0,218.0,100.63,0,0,BARN,325,FIELD_APPLIED,9096.85,0,33.72,167.84
2025-06,ae01996994ea42e6,CATTLE_DAIRY,184150,28834,42360,65317,217989767.02,23123.5,218.61,205.28,1,0,FEEDLOT,219,FIELD_APPLIED,84824.22,0,56.81,261.41
2025-07,22351e8be8998ba3,SHEEP,214900,73964,106147,37144,0.0,0.0,124.76,302.69,0,0,FEEDLOT,96,COMPOST,82134.13,0,61.32,245.88
2025-08,74535d82c5ac6b1f,POULTRY,55320,95650,55320,92873,0.0,0.0,136.17,209.1,0,0,PASTURE,152,DIGESTER,86084.23,0,79.27,141.2
2025-09,68be34ff11dde0b7,POULTRY,22739,65073,22739,68869,0.0,0.0,183.15,23.55,1,0,FEEDLOT,268,LAGOON,155880.04,0,62.87,243.05
2025-10,c465c8206475be0e,HOGS,183777,118801,145239,115301,0.0,0.0,115.88,395.83,1,0,OTHER,161,OTHER,217072.85,0,93.13,71.06
2025-11,5615c70c187a4654,SHEEP,105504,94336,105504,11165,0.0,0.0,179.33,340.37,0,0,BARN,116,LAGOON,61774.6,0,9.7,96.86
2025-12,9125de0d0de2bab2,POULTRY,30514,38165,30514,88474,0.0,0.0,136.3,141.95,0,0,FREE_STALL,57,DIGESTER,8050.45,0,82.53,44.19
2026-01,3a0aedab27175bc8,CATTLE_DAIRY,229448,91429,93672,32138,124655771.72,16488.0,130.42,205.7,1,0,FEEDLOT,41,COMPOST,193164.52,0,12.56,264.54
2026-02,f177516ccd0590f8,CATTLE_DAIRY,2854,77445,2854,2714,222658715.08,19190.8,133.28,128.06,0,0,BARN,2,LAGOON,117135.73,0,61.47,150.55
2026-03,47247bb1b1cc16ef,GOATS,101988,68233,101988,59512,0.0,0.0,109.61,44.99,1,0,OTHER,276,COMPOST,197718.22,0,77.43,240.09
2026-04,abb003382eaa2669,HOGS,137642,93986,124294,140905,0.0,0.0,75.43,174.99,0,0,PASTURE,326,LAGOON,278.35,0,17.67,70.17
2026-05,f861587d20efdb37,HOGS,168369,53496,79482,31258,0.0,0.0,156.27,405.37,1,0,BARN,206,COMPOST,213399.64,0,23.86,272.85
2026-06,ed1a8a714febedff,CATTLE_DAIRY,3008,69366,3008,71573,385956.82,14141.7,133.6,196.4,0,1,CAGE_FREE,56,FIELD_APPLIED,2219.19,1,51.48,73.22
2026-07,efeda30d47abb6c4,HOGS,127898,25554,38735,31345,0.0,0.0,113.74,194.32,0,0,FEEDLOT,211,LAGOON,15746.13,0,10.86,202.54
2026-08,1eeb89867ddbd11a,GOATS,74552,38482,43204,24993,0.0,0.0,210.84,247.23,0,0,CAGE_FREE,263,DIGESTER,112824.1,0,18.6,138.55
2026-09,d4e619838f8d4fa5,CATTLE_DAIRY,211145,44724,80489,147965,180407863.15,12399.3,129.39,231.56,0,0,CAGE_FREE,236,LAGOON,103345.88,0,53.53,242.67
2026-10,272528d36d95c236,POULTRY,127414,92719,97884,1625,0.0,0.0,82.59,211.8,0,0,FEEDLOT,109,DIGESTER,212928.02,0,88.21,139.01
2026-11,6e83f905d748274e,CATTLE_DAIRY,7638,67265,7638,75252,59952870.63,15560.7,166.38,290.78,0,0,BARN,52,STACK,14901.65,0,75.82,293.15
2026-12,13564895e221e5d7,CATTLE_BEEF,211380,114991,125124,52465,0.0,0.0,74.51,83.24,1,0,FEEDLOT,62,FIELD_APPLIED,87804.1,1,52.79,222.17
2027-01,dce3348c3f75b444,HOGS,230868,115368,138216,80409,0.0,0.0,149.4,0.03,1,0,PASTURE,92,FIELD_APPLIED,182890.8,1,0.45,289.88
2027-02,8ba2bb48acb01d65,CATTLE_DAIRY,186832,69142,96635,81557,149279081.09,22169.7,124.27,129.51,0,0,FEEDLOT,127,LAGOON,77218.77,0,40.7,251.88
2027-03,d0d82a5f2c2b58a5,CATTLE_DAIRY,225787,2733,38401,32437,140121991.29,24040.0,124.11,440.72,0,0,FREE_STALL,19,OTHER,157900.65,0,39.9,267.75
2027-04,5050190916bb23ce,CATTLE_BEEF,30247,33345,30247,83854,0.0,0.0,164.83,272.73,1,0,BARN,7,LAGOON,117808.2,0,87.17,233.6
2027-05,47c8991c6fe5f1c5,HOGS,29647,24306,29647,119998,0.0,0.0,82.47,440.23,1,0,OTHER,133,LAGOON,21983.31,0,67.97,168.82
2027-06,11e1a05653171bcf,POULTRY,93937,2999,39531,120543,0.0,0.0,62.85,72.38,0,0,BARN,365,LAGOON,90566.91,0,38.86,187.94
2027-07,6c4c930679efc883,HOGS,90894,105525,90894,106804,0.0,0.0,90.79,197.03,0,0,FREE_STALL,277,COMPOST,79063.18,0,41.56,178.01
2027-08,cee66874b0e2a74e,CATTLE_DAIRY,211002,61000,103393,85920,13976711.49,12281.4,130.99,336.87,1,0,PASTURE,163,OTHER,183596.13,0,1.09,115.48
2027-09,5f05fb7566b46d4d,POULTRY,220777,90455,113867,139596,0.0,0.0,88.02,195.63,0,0,BARN,294,OTHER,55470.35,0,42.55,212.51
