demo_nativity_estimate_year,demo_nativity_country_iso2,demo_nativity_region_nuts_code,demo_nativity_nativity_category,demo_nativity_country_of_birth_iso2,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_second_citizenship_iso2,demo_nativity_language_main_home,demo_nativity_language_secondary_home,demo_nativity_language_proficiency_level,demo_nativity_education_level_isc,demo_nativity_employment_status,demo_nativity_refugee_or_protection_flag,demo_nativity_family_reunification_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_integration_policy_index_score,demo_nativity_eurostat_table_code,demo_nativity_cultural_linguistic_diversity_index
2019,IT,CZ949,FOREIGN_BORN,PL,2026,NON_EU,,NL,EL,NATIVE,ISCED5_6,STUDENT,0,0,0,0,32.31,migr_pop3ctb,0.8918
2020,NL,LV37,SECOND_GEN,CY,1980,DUAL,,CY,,C1,ISCED3_4,INACTIVE,0,0,0,0,80.23,edat_lfse_03,0.3359
2021,SI,EE778,NATIVE_BORN,SI,,NATIONAL,,DA,ET,B1,ISCED0_2,EMPLOYED,0,0,0,0,67.44,ilc_lvps08,0.0929
2022,BG,RO5,FOREIGN_BORN,SE,1982,EU,,SV,PL,A1,ISCED7_8,UNEMPLOYED,0,1,0,1,36.31,migr_imm8,0.8794
2023,EE,SK6,SECOND_GEN,DE,1983,NON_EU,,EN,NL,C2,ISCED5_6,STUDENT,0,0,0,0,77.38,migr_pop1ctz,0.7062
2024,HU,FR6,NATIVE_BORN,HU,,DUAL,,ET,EN,B2,ISCED3_4,INACTIVE,0,0,0,0,28.99,migr_pop3ctb,0.5337
2025,LU,HR5,FOREIGN_BORN,CZ,1985,NATIONAL,,FI,,A2,ISCED0_2,EMPLOYED,0,0,0,0,40.46,edat_lfse_03,0.9094
2026,RO,PL122,SECOND_GEN,LT,1986,EU,,DE,HU,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,27.63,ilc_lvps08,0.6146
2018,AT,IT59,NATIVE_BORN,AT,,NON_EU,,LV,,C1,ISCED5_6,STUDENT,0,0,0,0,77.26,migr_imm8,0.8297
2019,CZ,PT3,FOREIGN_BORN,GR,1988,DUAL,,EL,SL,B1,ISCED3_4,INACTIVE,0,0,0,1,70.65,migr_pop1ctz,0.6967
2020,DE,RO81,SECOND_GEN,RO,1989,NATIONAL,,FR,,A1,ISCED0_2,EMPLOYED,0,0,0,1,50.69,migr_pop3ctb,0.1409
2021,LV,LT871,NATIVE_BORN,LV,,EU,,LT,EL,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,68.98,edat_lfse_03,0.4873
2022,PL,LT842,FOREIGN_BORN,LU,1991,NON_EU,,HU,LV,B2,ISCED5_6,STUDENT,0,0,0,0,84.05,ilc_lvps08,0.2967
2023,ES,IE846,SECOND_GEN,BE,1992,DUAL,,ES,ES,A2,ISCED3_4,INACTIVE,0,0,0,1,37.17,migr_imm8,0.3087
2024,HR,PT860,NATIVE_BORN,HR,,NATIONAL,,GA,,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,72.71,migr_pop1ctz,0.1986
2025,FI,RO20,FOREIGN_BORN,SK,1994,EU,,CS,HU,C1,ISCED7_8,UNEMPLOYED,1,1,0,0,38.04,migr_pop3ctb,0.7155
2026,IE,SE8,SECOND_GEN,EE,1995,NON_EU,,IT,CY,B1,ISCED5_6,STUDENT,0,0,0,0,39.56,edat_lfse_03,0.5699
2018,MT,DK921,NATIVE_BORN,MT,,DUAL,RO,MT,DA,A1,ISCED3_4,INACTIVE,0,0,0,0,84.9,ilc_lvps08,0.3048
2019,SK,LU775,FOREIGN_BORN,BG,1997,NATIONAL,,PT,,C2,ISCED0_2,EMPLOYED,0,1,1,0,72.79,migr_imm8,0.7534
2020,BE,PT370,SECOND_GEN,IE,1998,EU,,PL,FR,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,51.3,migr_pop1ctz,0.1338
2021,DK,ES69,NATIVE_BORN,DK,,NON_EU,,SK,FR,A2,ISCED5_6,STUDENT,0,0,0,0,65.18,migr_pop3ctb,0.8124
2022,GR,IE2,FOREIGN_BORN,FI,2000,DUAL,,BG,FR,NATIVE,ISCED3_4,INACTIVE,1,0,0,0,44.91,edat_lfse_03,0.6461
2023,LT,EE792,SECOND_GEN,NL,2001,NATIONAL,,RO,,C1,ISCED0_2,EMPLOYED,0,0,0,0,82.81,ilc_lvps08,0.884
2024,PT,IT574,NATIVE_BORN,PT,,EU,,SL,FI,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,87.46,migr_imm8,0.8285
2025,SE,RO84,FOREIGN_BORN,IT,2003,NON_EU,,HR,ES,A1,ISCED5_6,STUDENT,0,0,0,0,66.86,migr_pop1ctz,0.5639
2026,CY,FI1,SECOND_GEN,ES,2004,DUAL,ES,NL,FR,C2,ISCED3_4,INACTIVE,0,0,0,0,57.53,migr_pop3ctb,0.2674
2018,FR,PL147,NATIVE_BORN,FR,,NATIONAL,,CY,LT,B2,ISCED0_2,EMPLOYED,0,0,0,0,79.61,edat_lfse_03,0.7226
2019,IT,GR942,FOREIGN_BORN,PL,2006,EU,,DA,ES,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,79.53,ilc_lvps08,0.6718
2020,NL,BG14,SECOND_GEN,CY,2007,NON_EU,,SV,FR,NATIVE,ISCED5_6,STUDENT,0,0,0,0,69.73,migr_imm8,0.1487
2021,SI,RO71,NATIVE_BORN,SI,,DUAL,FR,EN,ET,C1,ISCED3_4,INACTIVE,0,0,0,0,59.96,migr_pop1ctz,0.7836
2022,BG,SK361,FOREIGN_BORN,SE,2009,NATIONAL,,ET,MT,B1,ISCED0_2,EMPLOYED,0,0,0,1,26.72,migr_pop3ctb,0.5424
2023,EE,HR685,SECOND_GEN,DE,2010,EU,,FI,SK,A1,ISCED7_8,UNEMPLOYED,0,0,0,1,54.04,edat_lfse_03,0.3813
2024,HU,BG493,NATIVE_BORN,HU,,NON_EU,,DE,MT,C2,ISCED5_6,STUDENT,0,0,0,0,62.73,ilc_lvps08,0.2341
2025,LU,AT49,FOREIGN_BORN,CZ,2012,DUAL,GR,LV,SL,B2,ISCED3_4,INACTIVE,0,1,0,0,46.13,migr_imm8,0.3657
2026,RO,IT99,SECOND_GEN,LT,2013,NATIONAL,,EL,BG,A2,ISCED0_2,EMPLOYED,0,0,0,0,31.34,migr_pop1ctz,0.7357
2018,AT,LV71,NATIVE_BORN,AT,,EU,,FR,FR,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,84.87,migr_pop3ctb,0.1781
2019,CZ,NL578,FOREIGN_BORN,GR,2015,NON_EU,,LT,LT,C1,ISCED5_6,STUDENT,0,0,1,0,40.29,edat_lfse_03,0.3633
2020,DE,DE76,SECOND_GEN,RO,2016,DUAL,CY,HU,RO,B1,ISCED3_4,INACTIVE,0,0,0,1,75.06,ilc_lvps08,0.3285
2021,LV,IE6,NATIVE_BORN,LV,,NATIONAL,,ES,BG,A1,ISCED0_2,EMPLOYED,0,0,0,0,78.99,migr_imm8,0.4624
2022,PL,GR704,FOREIGN_BORN,LU,2018,EU,,GA,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,56.67,migr_pop1ctz,0.546
2023,ES,MT7,SECOND_GEN,BE,2019,NON_EU,,CS,ES,B2,ISCED5_6,STUDENT,0,0,0,0,63.48,migr_pop3ctb,0.8977
2024,HR,AT3,NATIVE_BORN,HR,,DUAL,RO,IT,IT,A2,ISCED3_4,INACTIVE,0,0,0,0,79.89,edat_lfse_03,0.1769
2025,FI,DE6,FOREIGN_BORN,SK,2021,NATIONAL,,MT,FI,NATIVE,ISCED0_2,EMPLOYED,1,1,0,0,31.19,ilc_lvps08,0.8276
2026,IE,IT779,SECOND_GEN,EE,2022,EU,,PT,DA,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,68.99,migr_imm8,0.3377
2018,MT,HU103,NATIVE_BORN,MT,,NON_EU,,PL,,B1,ISCED5_6,STUDENT,0,0,0,0,46.39,migr_pop1ctz,0.4386
2019,SK,SK32,FOREIGN_BORN,BG,2024,DUAL,CZ,SK,ET,A1,ISCED3_4,INACTIVE,0,1,0,1,44.46,migr_pop3ctb,0.7958
2020,BE,AT25,SECOND_GEN,IE,2025,NATIONAL,,BG,ET,C2,ISCED0_2,EMPLOYED,0,0,0,0,37.45,edat_lfse_03,0.445
2021,DK,MT91,NATIVE_BORN,DK,,EU,,RO,,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,85.32,ilc_lvps08,0.9284
2022,GR,NL2,FOREIGN_BORN,FI,1980,NON_EU,,SL,SL,A2,ISCED5_6,STUDENT,0,0,0,1,57.41,migr_imm8,0.5735
2023,LT,BG84,SECOND_GEN,NL,1981,DUAL,,HR,ES,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,46.01,migr_pop1ctz,0.2694
2024,PT,NL967,NATIVE_BORN,PT,,NATIONAL,,NL,HU,C1,ISCED0_2,EMPLOYED,0,0,0,0,40.1,migr_pop3ctb,0.54
2025,SE,BE25,FOREIGN_BORN,IT,1983,EU,,CY,EN,B1,ISCED7_8,UNEMPLOYED,0,1,0,1,68.67,edat_lfse_03,0.2384
2026,CY,FR75,SECOND_GEN,ES,1984,NON_EU,,DA,,A1,ISCED5_6,STUDENT,0,0,0,0,85.94,ilc_lvps08,0.8983
2018,FR,SK351,NATIVE_BORN,FR,,DUAL,RO,SV,,C2,ISCED3_4,INACTIVE,0,0,0,0,68.06,migr_imm8,0.4101
2019,IT,PT916,FOREIGN_BORN,PL,1986,NATIONAL,,EN,DA,B2,ISCED0_2,EMPLOYED,1,0,0,0,47.83,migr_pop1ctz,0.7769
2020,NL,CY2,SECOND_GEN,CY,1987,EU,,ET,SL,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,49.43,migr_pop3ctb,0.5755
2021,SI,CY3,NATIVE_BORN,SI,,NON_EU,,FI,SV,NATIVE,ISCED5_6,STUDENT,0,0,0,0,71.83,edat_lfse_03,0.7486
2022,BG,LU5,FOREIGN_BORN,SE,1989,DUAL,BE,DE,FI,C1,ISCED3_4,INACTIVE,0,0,0,0,45.15,ilc_lvps08,0.8334
2023,EE,ES340,SECOND_GEN,DE,1990,NATIONAL,,LV,LV,B1,ISCED0_2,EMPLOYED,0,0,0,0,78.23,migr_imm8,0.7294
2024,HU,IT361,NATIVE_BORN,HU,,EU,,EL,,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,49.93,migr_pop1ctz,0.3382
2025,LU,BG40,FOREIGN_BORN,CZ,1992,NON_EU,,FR,LT,C2,ISCED5_6,STUDENT,0,0,1,0,80.93,migr_pop3ctb,0.7756
2026,RO,AT1,SECOND_GEN,LT,1993,DUAL,MT,LT,LV,B2,ISCED3_4,INACTIVE,0,0,0,0,44.69,edat_lfse_03,0.2929
2018,AT,IE811,NATIVE_BORN,AT,,NATIONAL,,HU,,A2,ISCED0_2,EMPLOYED,0,0,0,0,81.26,ilc_lvps08,0.2629
2019,CZ,LU980,FOREIGN_BORN,GR,1995,EU,,ES,LV,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,83.5,migr_imm8,0.1898
2020,DE,EE295,SECOND_GEN,RO,1996,NON_EU,,GA,LT,C1,ISCED5_6,STUDENT,0,0,0,0,80.33,migr_pop1ctz,0.4193
2021,LV,BE58,NATIVE_BORN,LV,,DUAL,,CS,LT,B1,ISCED3_4,INACTIVE,0,0,0,0,82.49,migr_pop3ctb,0.7912
2022,PL,FI6,FOREIGN_BORN,LU,1998,NATIONAL,,IT,LV,A1,ISCED0_2,EMPLOYED,0,0,0,1,70.16,edat_lfse_03,0.6891
2023,ES,FI7,SECOND_GEN,BE,1999,EU,,MT,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,54.1,ilc_lvps08,0.5417
2024,HR,NL50,NATIVE_BORN,HR,,NON_EU,,PT,DA,B2,ISCED5_6,STUDENT,0,0,0,0,69.91,migr_imm8,0.1071
2025,FI,GR19,FOREIGN_BORN,SK,2001,DUAL,DE,PL,LV,A2,ISCED3_4,INACTIVE,0,0,1,1,85.96,migr_pop1ctz,0.582
2026,IE,AT378,SECOND_GEN,EE,2002,NATIONAL,,SK,CS,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,35.67,migr_pop3ctb,0.935
2018,MT,CY8,NATIVE_BORN,MT,,EU,,BG,PT,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,90.55,edat_lfse_03,0.3884
2019,SK,RO358,FOREIGN_BORN,BG,2004,NON_EU,,RO,HU,B1,ISCED5_6,STUDENT,0,0,0,1,28.24,ilc_lvps08,0.662
2020,BE,HU886,SECOND_GEN,IE,2005,DUAL,SE,SL,,A1,ISCED3_4,INACTIVE,0,0,0,1,82.15,migr_imm8,0.0865
2021,DK,PL326,NATIVE_BORN,DK,,NATIONAL,,HR,FI,C2,ISCED0_2,EMPLOYED,0,0,0,0,25.85,migr_pop1ctz,0.6497
2022,GR,DK942,FOREIGN_BORN,FI,2007,EU,,NL,CY,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,31.15,migr_pop3ctb,0.8885
2023,LT,BE539,SECOND_GEN,NL,2008,NON_EU,,CY,BG,A2,ISCED5_6,STUDENT,0,0,0,0,47.79,edat_lfse_03,0.9095
2024,PT,BG127,NATIVE_BORN,PT,,DUAL,,DA,SL,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,70.52,ilc_lvps08,0.604
2025,SE,HR83,FOREIGN_BORN,IT,2010,NATIONAL,,SV,HU,C1,ISCED0_2,EMPLOYED,0,0,0,0,31.8,migr_imm8,0.4037
2026,CY,HU833,SECOND_GEN,ES,2011,EU,,EN,PT,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,49.38,migr_pop1ctz,0.6687
2018,FR,BE19,NATIVE_BORN,FR,,NON_EU,,ET,BG,A1,ISCED5_6,STUDENT,0,0,0,0,51.93,migr_pop3ctb,0.0623
2019,IT,SE221,FOREIGN_BORN,PL,2013,DUAL,,FI,EL,C2,ISCED3_4,INACTIVE,0,1,1,0,28.73,edat_lfse_03,0.5633
2020,NL,BE3,SECOND_GEN,CY,2014,NATIONAL,,DE,LV,B2,ISCED0_2,EMPLOYED,0,0,0,0,51.14,ilc_lvps08,0.2529
2021,SI,LT979,NATIVE_BORN,SI,,EU,,LV,PL,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,43.81,migr_imm8,0.5762
2022,BG,PL723,FOREIGN_BORN,SE,2016,NON_EU,,EL,IT,NATIVE,ISCED5_6,STUDENT,0,0,0,0,86.47,migr_pop1ctz,0.5029
2023,EE,SI802,SECOND_GEN,DE,2017,DUAL,,FR,PL,C1,ISCED3_4,INACTIVE,0,0,0,0,72.79,migr_pop3ctb,0.2356
2024,HU,PT597,NATIVE_BORN,HU,,NATIONAL,,LT,CY,B1,ISCED0_2,EMPLOYED,0,0,0,0,44.06,edat_lfse_03,0.4526
2025,LU,DE68,FOREIGN_BORN,CZ,2019,EU,,HU,HR,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,28.74,ilc_lvps08,0.0979
2026,RO,IT573,SECOND_GEN,LT,2020,NON_EU,,ES,ET,C2,ISCED5_6,STUDENT,0,0,0,0,88.19,migr_imm8,0.4801
2018,AT,IE81,NATIVE_BORN,AT,,DUAL,BE,GA,FI,B2,ISCED3_4,INACTIVE,0,0,0,0,75.02,migr_pop1ctz,0.3513
2019,CZ,PL2,FOREIGN_BORN,GR,2022,NATIONAL,,CS,,A2,ISCED0_2,EMPLOYED,0,0,0,1,70.06,migr_pop3ctb,0.7766
2020,DE,SK10,SECOND_GEN,RO,2023,EU,,IT,FI,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,65.93,edat_lfse_03,0.8479
2021,LV,CZ842,NATIVE_BORN,LV,,NON_EU,,MT,GA,C1,ISCED5_6,STUDENT,0,0,0,0,28.71,ilc_lvps08,0.66
2022,PL,CY63,FOREIGN_BORN,LU,2025,DUAL,,PT,CS,B1,ISCED3_4,INACTIVE,0,0,0,1,60.04,migr_imm8,0.9113
2023,ES,RO1,SECOND_GEN,BE,2026,NATIONAL,,PL,CS,A1,ISCED0_2,EMPLOYED,0,0,0,1,78.54,migr_pop1ctz,0.0731
2024,HR,LV439,NATIVE_BORN,HR,,EU,,SK,RO,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,69.3,migr_pop3ctb,0.8433
2025,FI,RO818,FOREIGN_BORN,SK,1981,NON_EU,,BG,,B2,ISCED5_6,STUDENT,0,0,1,0,31.6,edat_lfse_03,0.6095
2026,IE,MT1,SECOND_GEN,EE,1982,DUAL,BG,RO,PT,A2,ISCED3_4,INACTIVE,0,0,0,1,88.5,ilc_lvps08,0.9319
2018,MT,GR86,NATIVE_BORN,MT,,NATIONAL,,SL,NL,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,92.0,migr_imm8,0.1003
2019,SK,SK1,FOREIGN_BORN,BG,1984,EU,,HR,CY,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,58.36,migr_pop1ctz,0.4953
2020,BE,DK206,SECOND_GEN,IE,1985,NON_EU,,NL,,B1,ISCED5_6,STUDENT,0,0,0,0,38.08,migr_pop3ctb,0.3861
2021,DK,HU48,NATIVE_BORN,DK,,DUAL,BG,CY,BG,A1,ISCED3_4,INACTIVE,0,0,0,0,71.79,edat_lfse_03,0.4201
2022,GR,FR18,FOREIGN_BORN,FI,1987,NATIONAL,,DA,SL,C2,ISCED0_2,EMPLOYED,0,0,1,0,42.09,ilc_lvps08,0.8581
2023,LT,FR38,SECOND_GEN,NL,1988,EU,,SV,,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,32.37,migr_imm8,0.692
2024,PT,EE45,NATIVE_BORN,PT,,NON_EU,,EN,IT,A2,ISCED5_6,STUDENT,0,0,0,0,79.79,migr_pop1ctz,0.2799
2025,SE,DK937,FOREIGN_BORN,IT,1990,DUAL,RO,ET,EL,NATIVE,ISCED3_4,INACTIVE,0,1,0,0,64.84,migr_pop3ctb,0.1286
2026,CY,IT644,SECOND_GEN,ES,1991,NATIONAL,,FI,ET,C1,ISCED0_2,EMPLOYED,0,0,0,0,73.09,edat_lfse_03,0.2155
2018,FR,MT3,NATIVE_BORN,FR,,EU,,DE,,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,78.59,ilc_lvps08,0.6227
2019,IT,MT8,FOREIGN_BORN,PL,1993,NON_EU,,LV,,A1,ISCED5_6,STUDENT,0,0,0,1,79.05,migr_imm8,0.9174
2020,NL,PL9,SECOND_GEN,CY,1994,DUAL,,EL,CY,C2,ISCED3_4,INACTIVE,0,0,0,0,26.13,migr_pop1ctz,0.9454
2021,SI,IT19,NATIVE_BORN,SI,,NATIONAL,,FR,,B2,ISCED0_2,EMPLOYED,0,0,0,0,41.01,migr_pop3ctb,0.1543
2022,BG,HR333,FOREIGN_BORN,SE,1996,EU,,LT,PT,A2,ISCED7_8,UNEMPLOYED,0,1,1,1,90.78,edat_lfse_03,0.6525
2023,EE,FR201,SECOND_GEN,DE,1997,NON_EU,,HU,EL,NATIVE,ISCED5_6,STUDENT,0,0,0,0,30.81,ilc_lvps08,0.532
2024,HU,LV69,NATIVE_BORN,HU,,DUAL,HU,ES,,C1,ISCED3_4,INACTIVE,0,0,0,0,63.1,migr_imm8,0.6707
2025,LU,DE4,FOREIGN_BORN,CZ,1999,NATIONAL,,GA,LT,B1,ISCED0_2,EMPLOYED,0,0,0,0,29.26,migr_pop1ctz,0.8082
