labor_indmix_establishment_year,labor_indmix_district_business_pattern_code,labor_indmix_industry_nic_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2021,DBP100018,4394,100_249,3141,3060,437276260.83,1616189796.0,10157.05,51,67,3.856,70,234,47.02,25.8,13.35,4.33,Metro,Y
2017,DBP100019,5562,500_plus,4701,5084,2730108342.2,10341999493.28,39119.71,389,466,16.817,59,265,31.58,42.41,63.18,0.98,Urban,N
2011,DBP100020,6678,5_9,2804,2998,860273618.04,3303546926.16,21190.71,515,192,23.582,50,203,22.86,30.86,14.1,7.6,Metro,Y
2025,DBP100021,7359,1_4,1145,1445,270185556.74,964980190.2,12842.43,682,554,85.536,150,289,16.15,43.2,28.25,5.99,Urban,Y
2023,DBP100022,0147,250_499,3380,3596,1172606328.41,4654808685.28,24893.09,360,759,31.118,319,199,2.97,20.85,62.73,2.49,PeriUrban,N
2010,DBP100023,3043,250_499,898,781,405937086.88,1824580197.44,44927.12,24,103,16.261,78,78,57.26,59.85,69.17,9.74,Metro,Y
2015,DBP100024,9004,250_499,2657,2645,893081827.35,3197476279.4,23247.61,84,469,20.907,161,63,29.75,46.66,23.87,16.9,Urban,N
2021,DBP100025,0985,50_99,4097,4440,595884821.93,2577809832.0,11165.15,119,217,7.568,121,238,27.07,45.28,6.68,8.6,Metro,Y
2012,DBP100026,7935,5_9,4205,4265,2245067025.04,9299643475.2,41931.84,127,9,3.189,55,260,46.87,12.22,43.84,15.55,PeriUrban,N
2018,DBP100027,0844,250_499,4836,4692,1999017450.65,7230919650.24,29636.86,72,374,9.506,10,250,69.84,40.56,7.3,2.38,PeriUrban,Y
2013,DBP100028,5648,250_499,4883,5320,2185637488.09,8510530828.8,30763.92,513,588,20.695,121,70,2.26,2.2,15.94,0.28,Rural,N
2020,DBP100029,2736,1_4,131,310,150917395.23,605281820.0,37548.5,248,199,144.194,220,44,56.36,3.21,65.0,5.86,PeriUrban,Y
2014,DBP100030,1799,20_49,2654,2747,166588671.3,656995265.16,4599.39,36,30,2.403,77,88,9.47,18.91,3.19,3.33,Rural,N
2023,DBP100031,7470,250_499,4623,4688,2679731007.58,10163547996.16,41692.16,459,112,12.18,193,169,40.85,39.82,6.34,6.04,Metro,Y
2011,DBP100032,7160,250_499,1189,1261,638356086.51,2539277667.16,38725.03,198,142,26.963,283,196,47.76,31.95,48.7,16.67,PeriUrban,Y
2018,DBP100033,8219,500_plus,2066,2102,64584153.56,291541094.0,2667.25,380,561,44.767,289,269,48.12,10.4,4.14,16.73,Rural,Y
2025,DBP100034,7572,5_9,1345,1783,599133119.44,2169449630.92,23398.87,116,143,14.526,240,281,31.67,13.66,58.41,5.1,Rural,N
2021,DBP100035,4767,50_99,2768,2998,896453173.01,3458516903.92,22184.77,40,504,18.145,217,266,55.51,23.45,20.78,8.38,Metro,N
2020,DBP100036,2764,50_99,4906,5380,297904703.03,1285371308.0,4594.55,156,354,9.48,113,249,67.03,20.64,18.15,7.25,Rural,Y
2019,DBP100037,5950,500_plus,3898,4019,2052121134.65,8034944916.96,38446.92,412,584,24.782,288,220,19.43,21.17,63.64,0.62,Rural,N
2011,DBP100038,4105,100_249,4145,4032,605228573.17,2709601090.56,12923.54,430,718,28.472,119,68,50.34,39.36,22.43,12.07,PeriUrban,Y
2021,DBP100039,4307,20_49,3090,3551,497553598.71,1896436975.16,10270.33,87,600,19.347,79,152,58.95,8.25,64.92,17.11,Metro,N
2025,DBP100040,9573,250_499,742,693,85269714.2,381860519.04,10596.64,34,227,37.662,282,141,41.04,54.51,60.78,9.2,Rural,N
2010,DBP100041,9041,20_49,1389,1541,578224885.96,2192524506.12,27361.41,612,536,74.497,193,111,27.77,10.87,2.15,11.45,Rural,N
2021,DBP100042,0937,250_499,1315,1360,804992719.7,3135598918.4,44338.22,382,167,40.368,201,164,39.46,36.43,12.12,18.9,Urban,N
2022,DBP100043,4870,10_19,1865,1810,256153841.49,1039828348.0,11047.9,349,149,27.514,134,80,22.57,5.94,61.75,4.96,PeriUrban,Y
2018,DBP100044,2630,20_49,3120,3406,249725093.45,1106257492.08,6246.09,633,618,36.729,290,20,17.59,9.95,15.93,18.89,Metro,N
2022,DBP100045,6508,1_4,3702,3617,645607555.01,2348698950.0,12487.5,91,73,4.534,122,14,2.15,19.61,51.68,18.07,Rural,N
2017,DBP100046,2796,250_499,1677,1739,182832049.42,778148312.76,8605.17,673,15,39.563,267,74,52.42,34.39,64.19,13.5,Urban,N
2012,DBP100047,6029,250_499,4188,4212,881495575.29,3375240878.88,15410.37,467,130,14.174,169,82,19.05,35.53,25.41,7.02,Metro,N
2011,DBP100048,6519,20_49,1698,2033,155868077.03,658257588.56,6226.66,739,407,56.37,336,71,31.79,31.6,25.25,7.67,Urban,N
2016,DBP100049,8873,100_249,2322,2790,891492975.31,3540088375.2,24400.94,381,510,31.935,153,143,54.04,34.8,64.95,14.07,Urban,Y
2023,DBP100050,1362,50_99,1884,1935,286094410.84,1119109726.8,11122.14,750,654,72.558,149,41,40.4,1.13,49.86,18.1,Rural,Y
2023,DBP100051,0994,1_4,967,971,316115648.68,1213770624.04,24038.87,35,682,73.841,161,109,63.23,59.85,34.69,2.64,Metro,N
2022,DBP100052,9029,500_plus,1904,2143,1271871143.91,4842787916.72,43458.02,19,349,17.172,303,83,5.89,34.86,61.24,11.38,Urban,Y
2014,DBP100053,0069,500_plus,991,905,38106561.45,159840701.8,3396.53,175,726,99.558,337,293,19.02,51.91,32.39,1.87,Metro,N
2025,DBP100054,9422,10_19,1498,1431,467131401.45,1907447443.2,25633.6,759,748,105.311,76,248,63.85,13.22,1.75,17.83,Rural,N
2020,DBP100055,4124,20_49,3210,3085,1532316589.54,6359911859.6,39645.38,313,612,29.984,171,280,19.44,54.97,8.0,19.08,Metro,N
2025,DBP100056,2145,50_99,296,249,42596450.35,178497502.56,13785.72,9,296,122.49,316,179,35.11,25.54,63.49,8.91,PeriUrban,N
2014,DBP100057,1979,50_99,3092,3278,1253242798.76,5520260174.0,32385.25,676,672,41.123,305,229,35.18,23.41,40.34,14.48,Rural,N
2012,DBP100058,6778,5_9,3902,4292,403156827.58,1521922941.76,6819.14,0,372,8.667,316,93,3.91,8.2,32.08,1.41,Rural,N
2021,DBP100059,3854,10_19,186,332,194422383.22,701462906.56,40631.54,2,448,135.542,191,160,44.58,22.81,4.36,16.61,Urban,N
2018,DBP100060,3031,500_plus,2128,2178,914130001.15,4035074574.96,35627.91,32,560,27.181,67,165,1.26,51.82,45.04,4.29,PeriUrban,N
2024,DBP100061,7556,100_249,3371,3356,1148816371.28,5211402992.64,29862.72,331,449,23.242,245,51,44.97,58.87,66.59,9.16,PeriUrban,Y
2013,DBP100062,4620,20_49,2214,2371,530512587.39,2368018894.28,19206.59,748,122,36.693,260,101,36.71,17.31,31.21,9.64,PeriUrban,N
2021,DBP100063,3976,1_4,1123,1413,106317460.31,384616000.08,5234.58,767,636,99.292,170,273,18.28,8.81,38.19,12.73,Rural,N
2020,DBP100064,3708,1_4,4392,4687,257521895.36,1048203304.72,4300.78,759,420,25.155,175,276,64.21,50.72,7.62,6.18,Metro,Y
2025,DBP100065,4466,50_99,1902,2020,847836852.05,3649128464.8,34740.37,578,339,45.396,4,192,60.21,55.91,64.02,6.43,Urban,N
2023,DBP100066,3531,100_249,2902,3112,1551019776.74,6080507671.68,37574.82,302,40,10.99,78,296,39.19,11.32,35.25,3.78,Urban,N
2024,DBP100067,4245,250_499,1247,1162,100279030.36,395795931.44,6550.31,681,298,84.251,104,91,69.65,52.79,11.23,17.0,Urban,Y
2015,DBP100068,6032,1_4,3384,3361,529756316.04,2319000731.84,13268.72,693,487,35.109,100,47,24.44,15.93,1.39,19.76,Metro,Y
2017,DBP100069,1912,100_249,517,923,130971394.94,518757086.64,10808.34,55,64,12.893,5,49,36.31,36.94,32.66,2.32,Rural,Y
2012,DBP100070,0760,500_plus,4524,4546,754528283.27,3356043040.48,14196.94,460,323,17.224,263,94,30.02,17.3,50.71,2.3,Metro,N
2014,DBP100071,1634,250_499,3080,2987,773050508.75,2814849870.56,18122.44,430,42,15.802,250,10,61.38,43.88,60.68,14.89,Rural,Y
2025,DBP100072,5216,5_9,3353,3825,2280896923.78,8720571600.0,43844.0,524,467,25.908,33,228,68.1,2.84,27.02,4.82,PeriUrban,N
2018,DBP100073,4204,5_9,2249,2490,104819151.29,454851586.8,3512.91,529,131,26.506,70,100,36.81,34.08,61.11,6.08,Rural,N
2019,DBP100074,1605,20_49,297,701,351821719.84,1363496902.04,37405.27,580,530,158.345,291,122,33.85,55.45,59.23,15.2,Metro,N
2010,DBP100075,9143,20_49,1575,1792,832169384.21,3030899988.48,32525.97,70,576,36.049,267,1,11.86,33.8,25.19,2.52,Urban,N
2019,DBP100076,7111,100_249,4632,4500,1252257156.67,5053314240.0,21595.36,123,21,3.2,310,14,3.68,1.81,31.82,16.45,Urban,Y
2025,DBP100077,1513,10_19,662,1007,625034514.47,2244761944.88,42868.42,208,32,23.833,204,77,23.05,7.01,64.57,11.1,PeriUrban,N
2012,DBP100078,2005,250_499,135,48,14293128.08,58167882.24,23304.44,286,532,1704.167,309,231,67.56,54.13,30.17,6.7,Metro,Y
2021,DBP100079,4155,5_9,1202,1406,320795933.46,1204765856.32,16478.36,371,258,44.737,275,117,43.11,38.16,60.21,6.96,Rural,N
2012,DBP100080,6010,20_49,1795,1900,284302473.6,1142873940.0,11567.55,381,324,37.105,78,124,27.8,59.17,36.72,5.0,Rural,Y
2016,DBP100081,2796,5_9,2785,2783,844311431.73,3206109174.84,22154.49,439,154,21.308,97,274,40.08,15.17,30.29,14.05,Rural,N
2022,DBP100082,8252,50_99,2493,2717,381665089.06,1553005030.72,10992.08,703,539,45.712,228,84,24.04,44.95,68.0,3.98,Metro,N
2021,DBP100083,1636,1_4,2336,2804,1120934492.14,4914852321.6,33707.7,319,687,35.877,345,150,5.47,11.38,40.59,3.48,Rural,N
2016,DBP100084,6060,500_plus,3498,3604,911123518.04,4119752582.4,21982.8,639,36,18.729,126,205,57.22,12.09,54.11,10.15,Urban,N
2024,DBP100085,8031,100_249,3434,3837,490489953.67,2025370119.24,10151.01,148,347,12.901,286,31,38.03,24.08,20.31,1.81,Metro,Y
2013,DBP100086,4838,100_249,3010,2915,1445887443.5,5546481969.6,36591.12,134,211,11.835,236,285,15.94,34.1,36.3,16.69,Metro,Y
2011,DBP100087,1255,250_499,1655,1556,337406729.14,1312380503.2,16219.85,679,651,85.476,180,24,1.43,53.21,48.75,12.94,Metro,Y
2024,DBP100088,5143,100_249,612,872,327760500.0,1321319625.6,29139.9,572,108,77.982,207,268,15.85,40.52,3.8,16.56,Rural,Y
2012,DBP100089,1331,100_249,462,799,309966617.67,1132452231.04,27256.48,67,716,97.997,63,190,45.53,58.26,41.37,4.4,Rural,Y
2014,DBP100090,8565,500_plus,3883,3712,1719171426.08,6692875571.2,34673.8,95,667,20.528,31,101,43.86,22.34,16.26,6.55,Metro,N
2019,DBP100091,5532,500_plus,4986,5104,2567930605.36,9695861169.28,36531.91,355,475,16.262,335,42,15.21,23.27,66.46,7.43,Rural,Y
2022,DBP100092,6107,1_4,2397,2446,914055858.59,3476088676.32,27329.46,762,467,50.245,209,63,17.2,7.19,38.64,12.87,PeriUrban,N
2022,DBP100093,6375,50_99,563,897,308433011.89,1379544343.32,29576.03,675,601,142.252,33,99,15.63,38.63,50.48,18.37,Urban,N
2014,DBP100094,8329,100_249,4373,4491,1362481418.93,5326986356.64,22810.52,60,269,7.326,291,89,69.8,55.53,13.86,7.32,Urban,Y
2013,DBP100095,0010,100_249,3046,3008,579143436.86,2177434288.64,13920.79,586,67,21.709,170,28,57.89,50.66,64.15,13.91,PeriUrban,N
2016,DBP100096,3621,100_249,2758,3218,1051230660.49,3826408724.32,22866.62,390,649,32.287,34,237,2.08,13.34,55.26,16.1,Urban,Y
2023,DBP100097,2241,250_499,1546,1762,852396637.76,3049333762.8,33280.95,667,27,39.387,290,169,9.16,46.29,8.37,2.36,Metro,N
2011,DBP100098,3225,250_499,4972,4826,2984775789.85,11085839733.28,44175.14,261,373,13.137,221,101,44.58,20.44,37.65,4.91,PeriUrban,N
2018,DBP100099,7186,20_49,1170,1218,503721295.3,1841482166.16,29074.81,479,77,45.649,296,42,26.43,5.55,19.08,7.92,PeriUrban,N
2013,DBP100100,8196,100_249,168,418,89919621.55,379291895.84,17449.94,423,18,105.502,250,15,65.56,56.54,61.33,14.71,Metro,N
2021,DBP100101,5138,250_499,2703,2965,1449966641.39,5830606558.4,37816.88,443,613,35.616,180,121,51.13,21.9,50.3,7.27,PeriUrban,Y
2010,DBP100102,5119,10_19,4176,4236,292239570.62,1048129068.48,4758.34,756,508,29.839,165,40,25.21,8.33,1.21,3.47,Rural,Y
2025,DBP100103,2713,250_499,2603,2789,121891835.48,489790011.88,3377.21,117,650,27.501,182,49,23.68,11.12,57.81,9.23,PeriUrban,Y
2020,DBP100104,3584,250_499,2157,2275,477624239.85,2014279904.0,17026.88,143,510,28.703,91,226,39.86,18.11,37.24,19.62,PeriUrban,N
2025,DBP100105,9113,10_19,56,143,30219884.24,126693303.88,17037.83,507,728,863.636,138,95,38.72,54.94,7.25,11.33,PeriUrban,Y
2022,DBP100106,9922,20_49,521,927,228464707.58,857358754.2,17786.05,180,779,103.452,117,75,35.43,7.82,11.53,7.45,Metro,N
2010,DBP100107,4345,50_99,2559,2621,218986957.2,828957928.24,6082.22,533,465,38.077,304,113,54.18,8.26,3.1,1.39,Urban,Y
2017,DBP100108,8846,10_19,4369,4282,794547028.34,2894776731.6,13000.65,595,104,16.324,151,174,8.12,38.75,15.77,5.01,Urban,N
2020,DBP100109,5100,50_99,238,673,368768345.91,1493102940.16,42664.96,30,609,94.948,302,57,38.44,45.16,10.5,3.35,Urban,N
2018,DBP100110,7156,100_249,443,370,49197019.67,221905694.4,11533.56,10,537,147.838,72,217,29.91,13.63,40.0,16.34,PeriUrban,N
2013,DBP100111,8749,10_19,3548,3856,1928086712.23,8206254368.0,40926.5,71,306,9.777,262,27,9.85,51.9,20.84,8.19,Metro,N
2021,DBP100112,7708,50_99,3642,4121,1783649985.06,7633578197.44,35622.32,128,200,7.959,70,214,5.1,2.32,30.45,7.42,Metro,Y
2012,DBP100113,2915,20_49,2999,3395,694232934.61,2820593703.2,15977.08,101,398,14.698,92,291,51.84,41.38,43.18,4.05,Metro,Y
2017,DBP100114,1119,250_499,1334,1698,180308604.68,673430943.12,7626.97,571,121,40.754,298,212,18.36,27.29,46.85,15.99,Rural,Y
2012,DBP100115,8883,100_249,1583,1931,1046458539.55,4516559875.36,44980.28,363,692,54.635,162,31,19.98,5.31,43.47,18.39,PeriUrban,N
2022,DBP100116,3822,5_9,3281,3459,559801876.1,2075468073.12,11538.84,540,677,35.184,60,62,43.53,28.98,52.47,18.09,Metro,N
2019,DBP100117,2363,5_9,2978,3317,1570096842.93,5942146243.28,34450.42,121,240,10.883,247,206,12.38,13.13,1.67,3.15,PeriUrban,Y
2011,DBP100118,9737,5_9,1728,1585,717183224.71,3190565565.2,38711.06,750,467,76.782,348,80,67.92,12.7,63.5,17.02,Urban,Y
2019,DBP100119,5352,50_99,3020,3467,1482231064.46,5936337466.8,32927.7,413,485,25.901,50,138,21.62,54.21,68.91,7.24,PeriUrban,N
2015,DBP100120,5961,50_99,3070,3570,1589446598.06,6959589764.4,37489.71,784,494,35.798,299,282,3.68,15.73,16.74,3.14,Metro,Y
2023,DBP100121,8870,5_9,1057,1023,298056737.42,1278464255.64,24033.09,288,618,88.563,246,104,9.53,48.07,14.6,14.84,Metro,N
2019,DBP100122,6800,1_4,102,91,44558454.18,190608130.44,40280.67,85,308,431.868,309,110,51.89,27.45,19.09,6.49,Rural,Y
2021,DBP100123,9564,10_19,377,295,45846870.76,196144296.4,12786.46,773,157,315.254,276,26,31.33,32.43,69.36,5.82,Metro,N
2020,DBP100124,0397,50_99,3694,4064,1920907203.02,7078978699.52,33497.59,293,458,18.479,255,226,47.11,17.36,44.6,16.37,Rural,Y
2015,DBP100125,9162,1_4,2122,2456,1080988255.11,4779238464.0,37422.0,793,633,58.062,310,261,22.21,49.72,6.98,4.85,Urban,Y
2022,DBP100126,7290,5_9,2350,2836,1279752616.53,4705160522.4,31905.45,797,731,53.879,106,8,9.53,15.21,43.54,6.23,Metro,N
2011,DBP100127,1447,250_499,3908,4023,1491277546.51,5619431319.84,26862.04,671,3,16.754,87,151,35.2,15.6,49.54,5.78,Urban,Y
2010,DBP100128,6418,1_4,2706,3129,855241149.24,3394598156.04,20863.13,371,659,32.918,254,151,64.22,49.92,28.85,2.85,PeriUrban,Y
2024,DBP100129,4814,5_9,630,719,94711837.67,349177748.4,9339.3,515,91,84.284,236,245,49.73,28.48,42.76,11.56,Metro,Y
2021,DBP100130,1626,1_4,1047,1269,503233302.38,2052133756.92,31098.59,568,438,79.275,71,191,4.31,34.92,26.62,19.93,Rural,Y
2020,DBP100131,1684,50_99,3963,4128,984715805.3,3893756805.12,18139.52,493,457,23.014,6,236,59.35,42.88,51.35,17.42,Urban,N
2020,DBP100132,8697,10_19,289,448,103089091.94,425109601.28,18248.18,244,392,141.964,91,127,35.88,13.57,20.43,15.07,PeriUrban,Y
2020,DBP100133,0136,250_499,4160,4625,168121382.79,725054590.0,3014.78,373,526,19.438,331,14,6.39,9.63,59.3,14.07,Metro,N
2018,DBP100134,3906,5_9,1693,1757,361574926.16,1443305430.84,15797.31,697,478,66.875,228,289,18.87,40.16,62.79,6.73,Rural,N
2019,DBP100135,6377,10_19,729,1039,155458876.19,675280303.88,12498.71,426,24,43.311,344,142,10.29,48.14,65.05,12.71,Rural,Y
2021,DBP100136,8497,500_plus,1053,908,321296192.32,1307899253.44,27700.34,201,97,32.819,253,187,32.87,48.96,26.41,1.79,PeriUrban,N
2010,DBP100137,2372,1_4,3685,4109,778186395.36,3135522346.32,14674.74,30,121,3.675,128,171,47.31,50.45,22.64,15.22,Urban,N
2012,DBP100138,9310,5_9,2978,2995,1502210088.99,6118136882.0,39284.3,345,448,26.477,42,162,56.33,47.08,47.58,19.63,Rural,N
2014,DBP100139,6290,100_249,1325,1376,48532259.38,218635006.72,3055.61,176,630,58.576,265,33,66.65,47.23,37.64,10.42,Rural,Y
2024,DBP100140,1032,500_plus,3165,3617,147119214.09,560977457.56,2982.59,147,149,8.184,3,243,53.27,14.99,35.72,11.42,Urban,Y
2021,DBP100141,3023,10_19,2735,3033,299362394.32,1259567290.8,7986.3,688,376,35.081,280,91,41.89,56.0,26.28,8.19,Urban,Y
2020,DBP100142,0484,5_9,559,574,292414673.79,1127844288.48,37786.26,277,347,108.711,252,243,67.68,19.47,60.33,2.45,Metro,Y
2017,DBP100143,4613,500_plus,2628,2956,1291344218.8,4719141317.28,30701.19,692,402,37.009,86,109,12.16,36.32,24.72,10.84,Rural,N
2012,DBP100144,2405,5_9,1738,1651,737120137.48,3043351236.12,35448.81,493,252,45.124,108,30,50.44,25.82,59.96,12.06,PeriUrban,Y
2015,DBP100145,1418,250_499,1641,1768,469982817.49,1748138217.28,19014.73,759,409,66.063,266,258,33.32,36.76,10.54,8.67,Urban,Y
2014,DBP100146,8401,50_99,3350,3245,1627418955.3,6903452069.8,40911.77,53,384,13.467,190,293,45.47,46.5,32.79,18.54,Metro,N
2019,DBP100147,1404,250_499,4886,5094,1690083209.18,6662770246.08,25153.16,600,583,23.223,261,48,38.38,23.27,54.99,12.97,Metro,Y
2014,DBP100148,0238,5_9,1595,1516,189181218.93,763480825.12,9684.91,240,64,20.053,139,238,38.53,23.64,35.77,8.29,Rural,Y
2021,DBP100149,5181,20_49,1641,2130,158315609.57,574248511.2,5184.62,566,684,58.685,63,289,38.91,7.93,48.49,18.82,PeriUrban,Y
2025,DBP100150,9501,100_249,938,1172,455054100.4,1955702101.6,32090.15,417,485,76.962,267,186,39.37,41.92,58.8,3.17,Metro,Y
2020,DBP100151,3116,250_499,4401,4333,644348463.92,2317620654.44,10286.09,73,507,13.386,213,247,33.62,54.57,7.25,11.42,PeriUrban,N
2017,DBP100152,9093,500_plus,4616,4443,196478348.13,881799721.92,3816.72,761,410,26.356,70,17,0.89,41.17,36.24,15.21,PeriUrban,Y
2021,DBP100153,9913,1_4,3265,3461,900653206.97,3685804963.36,20479.88,471,204,19.503,248,92,46.38,13.08,17.63,7.38,PeriUrban,N
2024,DBP100154,6189,50_99,4263,4333,183778183.41,782130418.16,3471.26,378,53,9.947,173,284,58.62,58.98,6.69,17.52,Metro,Y
2016,DBP100155,7402,50_99,1268,1184,305578826.43,1184150273.28,19233.21,529,658,100.253,158,123,20.24,31.29,56.97,13.47,PeriUrban,Y
2016,DBP100156,3836,250_499,2912,2802,216348935.79,783322188.48,5376.12,116,599,25.517,60,169,16.02,23.48,60.4,5.52,Urban,Y
2011,DBP100157,5539,5_9,2126,2499,1055359058.41,4193373879.24,32269.63,207,669,35.054,89,201,48.12,27.18,24.38,15.46,Rural,N
2022,DBP100158,5473,100_249,1701,2138,721860745.48,2705092185.12,24331.62,653,715,63.985,61,69,12.08,2.01,69.88,12.06,PeriUrban,N
2025,DBP100159,6268,250_499,2148,2207,1089642734.17,4668522628.12,40679.33,164,139,13.729,153,67,18.27,28.72,0.32,4.9,PeriUrban,N
2012,DBP100160,5773,20_49,4549,4497,1438714669.6,5363303339.16,22935.39,289,700,21.992,126,73,35.03,11.38,68.43,9.83,Urban,Y
2014,DBP100161,3860,500_plus,4516,4926,2341917288.9,10587333378.96,41332.23,447,645,22.168,90,94,12.09,25.19,37.58,6.72,Urban,N
2025,DBP100162,5889,250_499,1417,1779,953514329.89,4027481942.64,43536.58,43,417,25.857,31,168,64.5,43.2,44.93,7.88,Urban,Y
2014,DBP100163,1983,100_249,1604,1908,242876071.75,1072748196.0,10812.25,96,559,34.329,68,175,58.78,6.67,32.76,10.35,PeriUrban,N
2012,DBP100164,1270,5_9,3520,3599,501276949.09,1907309484.6,10191.45,259,493,20.895,154,44,40.71,50.47,0.64,5.95,Metro,Y
2014,DBP100165,1620,10_19,4471,4879,841583840.1,3115689001.88,12280.61,501,197,14.306,144,148,52.94,5.02,52.23,12.89,Urban,Y
2013,DBP100166,6699,250_499,3307,3710,1377618862.04,5813719438.8,30135.39,95,290,10.377,144,253,66.7,42.42,8.16,2.27,Metro,Y
2022,DBP100167,3133,1_4,904,1085,404664017.19,1642453904.0,29111.2,380,588,89.217,16,262,27.2,0.79,5.22,10.78,PeriUrban,Y
2014,DBP100168,4196,5_9,4448,4781,2183377027.53,8629857035.8,34712.15,695,304,20.895,123,6,3.47,6.59,38.71,10.22,Rural,Y
2015,DBP100169,7560,100_249,261,106,12713091.67,57029411.92,10346.41,326,147,446.226,58,281,12.6,42.28,56.96,17.68,Urban,Y
2022,DBP100170,0225,1_4,3692,4181,334245423.79,1198377118.12,5512.01,790,290,25.831,143,93,8.91,3.95,1.76,5.99,Rural,Y
2021,DBP100171,7015,10_19,3885,4267,1163748521.85,4669209297.48,21043.47,726,710,33.654,41,69,61.53,51.66,43.17,0.7,PeriUrban,N
2012,DBP100172,5966,5_9,2561,2970,1552526427.19,6040091257.2,39109.63,582,774,45.657,306,179,20.05,52.11,10.57,15.84,Metro,Y
2013,DBP100173,5433,100_249,2314,2629,1403411064.69,5699541075.8,41691.35,355,662,38.684,308,9,23.22,27.04,58.99,17.42,PeriUrban,N
2023,DBP100174,3016,1_4,4963,5286,1204571388.93,4342919876.88,15799.79,673,312,18.634,171,163,7.95,25.59,47.03,19.47,PeriUrban,Y
2024,DBP100175,6395,500_plus,661,577,299664837.0,1275146596.88,42499.22,456,227,118.371,331,269,14.47,10.16,8.26,4.95,PeriUrban,Y
2023,DBP100176,1561,100_249,235,341,149619061.1,616346056.04,34758.97,660,98,222.287,72,195,59.15,17.77,55.66,8.93,PeriUrban,N
2016,DBP100177,5710,1_4,1867,1935,761041342.93,3361258391.4,33405.47,266,596,44.548,181,217,22.67,56.83,0.36,1.5,Metro,N
