trans_port_arrival_date,trans_port_port_un_locode,trans_port_vessel_imo_hash,trans_port_vessel_type_code,trans_port_cargo_category_code,trans_port_container_teu_count,trans_port_cargo_tonnage_metric,trans_port_origin_country_code,trans_port_destination_country_code,trans_port_berth_assignment_id,trans_port_berth_time_hours,trans_port_dwell_time_hours,trans_port_customs_hold_flag,trans_port_rail_intermodal_flag,trans_port_truck_gate_turn_time_minutes,trans_port_emissions_at_berth_kg,trans_port_harbor_congestion_index,trans_port_pilotage_required_flag,trans_port_weather_delay_flag,trans_port_security_level_code
2023-10-26,INTUT,V81E8EAC5E9C8,BULKER,AUTO,0,665.0,BR,IN,BERTH07-7346,30.85,60.37,N,N,75,13661.6,0.9,Y,N,SEC3
2021-12-12,INBOM,VA9A46A67F9FF,RORO,TEU,7565,78733.5,IN,TH,BERTH51-5485,29.7,35.79,N,N,43,10120.3,0.34,Y,N,SEC3
2019-01-28,INKOC,V91372F23143B,GENERAL_CARGO,LIQUID,0,28852.9,IN,GB,BERTH69-5389,40.92,90.13,N,N,52,14704.4,1.36,N,N,SEC3
2024-12-25,INMUN,V811D96687032,BULKER,AUTO,0,560.3,ES,IN,BERTH31-9263,41.82,139.96,N,N,38,29882.6,1.16,Y,N,SEC1
2020-09-26,INGOI,VDA508331BBC8,PASSENGER,BREAKBULK,0,43995.4,VN,IN,BERTH26-2381,17.67,86.55,N,Y,26,6060.7,2.14,Y,Y,SEC3
2020-03-10,INMUN,V59C0237DF6A2,BULKER,TEU,7047,83402.9,IN,ES,BERTH93-7215,28.01,68.02,N,N,80,20670.4,3.52,Y,N,SEC3
2023-01-14,INVTZ,V888A2B9E4F9D,TANKER,LIQUID,0,64253.4,ZA,IN,BERTH27-7535,31.41,19.6,N,N,50,11351.9,1.85,Y,N,SEC2
2022-01-22,INGOI,V3E90831FE738,RORO,AUTO,0,953.8,AE,IN,BERTH69-1782,1.5,62.45,N,Y,38,1034.1,1.16,N,Y,SEC1
2019-08-14,INHZA,V25D3A9B07A42,PASSENGER,TEU,8428,96972.5,IN,ID,BERTH66-5834,36.88,75.01,N,Y,39,12744.8,1.8,N,N,SEC3
2022-01-10,INTUT,V3ED72D79419F,BULKER,BULK,0,193866.9,IN,SG,BERTH77-3678,16.08,63.74,N,N,21,11868.5,4.01,Y,N,SEC3
2020-11-15,INMAA,V487B421BE1F4,PASSENGER,REEFER,3425,33277.7,IT,IN,BERTH12-7316,29.62,71.8,N,N,45,22816.2,2.24,Y,N,SEC3
2019-06-16,INMNG,V8BD330FE9096,PASSENGER,BREAKBULK,0,24631.9,DE,IN,BERTH35-7686,21.61,106.44,Y,Y,35,16566.8,2.36,Y,N,SEC1
2025-09-01,INGOI,VBB23DA8F58F8,RORO,REEFER,3736,31886.1,IT,IN,BERTH17-4763,32.62,60.07,N,Y,90,27383.8,0.89,Y,N,SEC3
2020-02-26,INCCU,V8D0A8A255C72,BULKER,LIQUID,0,135178.4,MY,IN,BERTH23-8036,2.54,55.68,N,N,5,2318.6,3.28,Y,N,SEC1
2020-06-18,INKOC,V8632DE5083E8,CONTAINER,AUTO,0,1693.0,MY,IN,BERTH78-7286,13.44,38.95,N,N,6,12229.7,1.29,Y,N,SEC3
2024-08-02,INBOM,VB55D5CD5329E,PASSENGER,REEFER,2654,22597.3,TR,IN,BERTH61-1099,12.83,66.86,N,Y,31,5557.0,0.86,Y,Y,SEC3
2020-12-24,INHZA,VF81549F7C609,RORO,LIQUID,0,63442.3,IN,BR,BERTH19-2435,4.96,7.48,N,N,99,4686.2,1.77,Y,N,SEC1
2021-03-20,INKOC,V2CB363869C15,BULKER,BULK,0,36485.1,DE,IN,BERTH87-7787,1.5,38.09,N,Y,28,1570.6,1.33,Y,N,SEC3
2024-09-30,INCCU,V12DD63383EC8,CONTAINER,REEFER,2315,23761.6,DE,IN,BERTH87-8567,23.67,46.52,N,N,51,11278.1,1.92,N,Y,SEC3
2021-09-12,INNSA,VAE1D0E6FE5D6,PASSENGER,BULK,0,218997.1,GB,IN,BERTH44-9231,1.5,98.8,N,N,47,1952.7,2.08,N,N,SEC1
2019-12-31,INKRI,V048828D0D0D0,RORO,TEU,17702,197918.7,TH,IN,BERTH24-8085,21.28,86.04,N,N,36,17984.4,1.16,Y,N,SEC2
2022-11-28,INGOI,VEE24810BD6D3,CONTAINER,BREAKBULK,0,43457.2,IN,MY,BERTH29-5244,5.42,2.0,N,Y,42,5788.4,2.74,Y,N,SEC2
2023-01-17,INMUN,VD9D7E3B84AF5,RORO,TEU,11137,137096.8,NL,IN,BERTH87-8626,13.64,43.64,N,N,22,11972.3,2.02,Y,N,SEC1
2023-07-29,INMUN,VD123656ED744,PASSENGER,TEU,2792,27187.3,IN,TH,BERTH63-4881,1.5,2.0,N,N,26,1893.2,0.42,Y,N,SEC2
2025-06-26,INTUT,VDF6D35D642B5,TANKER,LIQUID,0,165117.6,TH,IN,BERTH16-5445,13.05,14.92,N,Y,54,5535.4,1.12,Y,N,SEC2
2022-11-29,INNSA,VB769C38E7840,GENERAL_CARGO,BULK,0,199678.0,JP,IN,BERTH53-8691,32.2,92.92,N,Y,46,14726.2,4.63,Y,N,SEC2
2021-08-16,INCCU,V47818D447EDA,CONTAINER,REEFER,562,5963.5,IN,AE,BERTH96-9716,1.91,37.71,Y,N,33,2223.2,2.03,Y,N,SEC1
2020-02-16,INHZA,V659C7BCD3AC0,TANKER,LIQUID,0,66221.4,SA,IN,BERTH01-5768,24.79,61.1,N,N,34,17109.3,2.46,Y,N,SEC2
2023-05-29,INMUN,VCBF86F991327,LNG,BULK,0,138394.6,ZA,IN,BERTH26-8030,16.53,28.79,Y,Y,36,12369.3,3.8,Y,N,SEC2
2023-09-07,INMNG,V2CDF3E0E5852,RORO,BULK,0,74106.7,IN,GB,BERTH12-2491,7.94,5.02,N,N,54,3872.6,3.0,Y,N,SEC3
2021-02-02,INKRI,V035E7CCBAC8D,CONTAINER,LIQUID,0,24842.3,IN,VN,BERTH10-8847,11.99,56.99,N,Y,5,4040.4,1.21,Y,N,SEC2
2019-05-10,INHZA,VCA21536B7F24,BULKER,BREAKBULK,0,10090.9,IN,CN,BERTH45-2242,24.01,46.71,N,Y,22,12841.1,3.09,N,N,SEC1
2021-06-07,INKOC,V5D2519526F42,BULKER,AUTO,0,1129.0,IN,GB,BERTH42-6510,29.04,56.65,N,N,83,23809.9,2.29,Y,N,SEC1
2020-01-23,INMUN,VE1181EE39E86,GENERAL_CARGO,BREAKBULK,0,26239.8,IN,TH,BERTH63-4145,12.39,2.0,N,Y,44,9183.5,3.53,Y,N,SEC2
2022-06-25,INKRI,V4D7003834042,TANKER,REEFER,54,612.2,KR,IN,BERTH58-6966,20.69,53.29,N,Y,12,12195.7,2.39,Y,N,SEC1
2025-05-03,INMNG,VD7CE1B62E3DA,GENERAL_CARGO,BREAKBULK,0,28255.3,IN,GB,BERTH04-3409,20.13,128.26,N,Y,32,10168.0,2.35,Y,N,SEC2
2020-06-06,INHZA,VAFA2F9EB0E67,LNG,BULK,0,176034.4,AU,IN,BERTH24-8584,7.61,48.52,N,N,42,5158.6,3.63,Y,N,SEC1
2024-06-21,INMAA,V549DF25013F5,TANKER,BREAKBULK,0,11505.2,SA,IN,BERTH78-6157,45.25,82.36,N,N,30,19119.3,3.51,Y,N,SEC2
2025-01-20,INCCU,V713C8073CF14,LNG,BULK,0,52744.4,IN,ZA,BERTH44-3539,26.54,52.17,N,Y,11,21499.1,1.9,Y,N,SEC1
2022-05-31,INHZA,V3C245392CBAF,RORO,TEU,10031,122559.9,ID,IN,BERTH81-4172,18.12,38.23,N,N,5,9557.8,1.19,N,N,SEC3
2019-03-26,INCCU,VCDAD3DC002B2,BULKER,LIQUID,0,39155.7,IN,SA,BERTH13-7093,24.31,69.03,N,Y,29,16513.0,3.49,Y,N,SEC1
2024-01-15,INKRI,V72ECAD4CC7F9,LNG,BREAKBULK,0,30910.3,JP,IN,BERTH94-9472,9.15,17.04,N,N,64,7504.0,2.34,Y,N,SEC1
2025-09-10,INKOC,VCFAB1B1BA914,PASSENGER,BREAKBULK,0,9830.2,US,IN,BERTH52-7850,1.5,124.05,N,Y,33,2030.1,0.3,Y,N,SEC3
2020-09-27,INMAA,V656C4B81B457,PASSENGER,REEFER,1388,13143.5,BR,IN,BERTH35-4371,32.19,92.36,N,Y,51,14304.9,1.75,Y,N,SEC3
2022-11-11,INHZA,VFD86E9734CEC,CONTAINER,REEFER,4485,53621.9,RU,IN,BERTH41-4379,1.5,41.69,N,Y,90,1354.6,0.67,Y,N,SEC3
2021-01-05,INGOI,V44D3092A3B8E,CONTAINER,AUTO,0,2696.6,IN,AU,BERTH74-6678,33.14,82.51,Y,N,29,13817.0,2.6,Y,N,SEC2
2025-09-21,INHZA,V9CD31882D0AA,LNG,LIQUID,0,72047.5,AE,IN,BERTH75-9899,47.52,57.81,N,N,69,33894.8,1.65,Y,N,SEC2
2019-07-02,INKRI,VF2906A137A46,TANKER,REEFER,2895,28666.9,ID,IN,BERTH11-2200,53.19,120.58,N,N,31,28328.1,2.06,N,N,SEC1
2021-10-23,INTUT,VD79B891692B3,PASSENGER,BREAKBULK,0,6461.6,KR,IN,BERTH19-3270,9.15,54.7,N,N,31,8161.3,1.43,N,N,SEC3
2024-10-03,INMUN,V036960CCDDDF,TANKER,REEFER,417,3396.5,QA,IN,BERTH61-7879,11.26,44.42,Y,N,5,8635.3,3.64,Y,N,SEC3
2022-08-07,INVTZ,V28FAED53BF51,CONTAINER,BULK,0,196092.6,GB,IN,BERTH26-1157,24.74,55.43,N,N,5,14789.7,3.25,Y,N,SEC2
2025-06-28,INTUT,VD4F5654B8FE7,RORO,REEFER,1001,8206.6,ES,IN,BERTH34-6421,26.44,24.23,N,Y,44,22739.9,2.38,Y,N,SEC3
2021-04-18,INBOM,VB939BABBD22A,CONTAINER,BREAKBULK,0,23669.8,IN,JP,BERTH85-2540,45.48,113.66,N,Y,24,32901.2,1.37,N,N,SEC2
2023-02-21,INVTZ,VDEE83F195809,CONTAINER,BULK,0,118656.8,IT,IN,BERTH84-6764,41.22,80.02,N,N,32,15405.8,3.75,Y,N,SEC2
2025-07-30,INKRI,V06659686A28C,GENERAL_CARGO,BULK,0,158785.0,IN,BR,BERTH46-8629,33.9,24.24,N,Y,59,14494.4,1.3,Y,N,SEC1
2024-06-02,INGOI,V4C01BF1E01EC,BULKER,AUTO,0,2386.4,AU,IN,BERTH34-1055,32.28,112.76,Y,N,14,10173.1,2.92,Y,N,SEC2
2022-03-31,INVTZ,VECE65A96CF12,GENERAL_CARGO,TEU,21678,286474.7,ID,IN,BERTH65-6411,38.58,121.72,N,N,50,28148.8,1.56,Y,N,SEC2
2023-03-08,INGOI,V1A6FCBEE95E3,PASSENGER,AUTO,0,836.7,SA,IN,BERTH39-6912,11.84,62.9,N,Y,29,7847.9,1.76,Y,N,SEC1
2022-01-16,INKRI,V04163A69D273,LNG,BREAKBULK,0,7656.9,QA,IN,BERTH96-5395,41.37,75.7,N,N,57,36509.8,2.05,N,N,SEC2
2020-12-06,INMNG,V7656108A35C0,CONTAINER,REEFER,38,433.2,IN,DE,BERTH51-5856,15.47,70.76,N,N,5,12475.5,3.51,Y,N,SEC3
2019-11-18,INBOM,V404CF10FFF6B,BULKER,BULK,0,174523.1,VN,IN,BERTH04-4007,34.84,83.51,N,N,41,19954.2,3.24,Y,N,SEC3
2023-05-20,INCCU,V466D0957E537,TANKER,LIQUID,0,63951.8,US,IN,BERTH26-2682,6.55,46.01,N,N,5,4466.6,1.85,N,N,SEC3
2024-05-31,INMAA,V997EDCFFEB14,TANKER,BREAKBULK,0,24922.4,DE,IN,BERTH44-9912,39.24,88.09,N,N,41,33002.9,1.95,Y,N,SEC1
2019-07-24,INKRI,V75EF99C34B6D,BULKER,BREAKBULK,0,14904.6,KR,IN,BERTH93-3328,40.79,99.63,N,Y,38,29202.0,3.38,Y,N,SEC2
2021-12-08,INTUT,VC48F070B78F1,CONTAINER,BREAKBULK,0,42746.9,JP,IN,BERTH87-5915,33.82,73.88,N,N,45,24457.8,2.27,Y,N,SEC3
2023-12-03,INNSA,VD356E70A8CA0,BULKER,BREAKBULK,0,52955.6,IN,AU,BERTH54-2596,21.93,95.66,N,Y,35,19420.3,3.55,Y,N,SEC2
2024-09-22,INKOC,VABBBE40499A3,TANKER,LIQUID,0,67891.9,IN,JP,BERTH81-6088,29.53,65.78,N,Y,56,18228.8,3.96,Y,Y,SEC3
2019-01-17,INGOI,V82F4E8EAE79B,PASSENGER,LIQUID,0,162012.3,TH,IN,BERTH24-4505,11.87,31.83,N,Y,38,10783.0,2.86,Y,Y,SEC1
2025-03-08,INTUT,V0DF7749368B8,CONTAINER,REEFER,2137,17834.6,MY,IN,BERTH78-1771,2.21,2.0,N,Y,21,2161.2,2.4,Y,Y,SEC3
2021-08-04,INMAA,V66A0B4140D73,BULKER,TEU,5041,68993.5,IN,AU,BERTH61-2451,15.0,96.57,N,N,65,8258.7,3.39,Y,N,SEC2
2022-06-22,INMNG,V4605D0EA1FFA,TANKER,AUTO,0,1860.2,IT,IN,BERTH63-3799,26.72,57.33,N,Y,20,21284.3,2.76,Y,Y,SEC2
2022-10-19,INMUN,VC950DBADAFF1,CONTAINER,TEU,10245,140505.9,US,IN,BERTH71-6198,24.51,47.12,N,N,68,15678.8,4.25,Y,N,SEC3
2019-03-23,INBOM,VA4DD17412D7A,TANKER,LIQUID,0,5510.9,BR,IN,BERTH01-5092,31.9,52.44,N,N,30,23025.1,1.4,Y,N,SEC3
2023-11-10,INHZA,VC41F47A3F546,BULKER,LIQUID,0,132796.1,IN,QA,BERTH83-6249,22.02,63.43,N,N,47,8487.6,1.28,N,N,SEC2
2025-07-16,INTUT,V9E8AE71AB4AD,TANKER,BREAKBULK,0,56544.9,ID,IN,BERTH41-2700,19.26,89.48,Y,Y,5,8637.5,2.29,Y,N,SEC1
2025-01-11,INBOM,V2BCC7FF9BADF,CONTAINER,AUTO,0,1310.5,SA,IN,BERTH76-6455,7.61,46.43,N,Y,22,6342.2,2.21,Y,N,SEC1
2022-04-25,INKOC,V79F4E5284F90,PASSENGER,TEU,2411,21824.1,QA,IN,BERTH67-1815,33.52,70.9,Y,Y,32,16193.3,0.73,N,N,SEC3
2019-06-24,INKRI,V4DDE0F07AA5E,LNG,BREAKBULK,0,39675.7,IN,KR,BERTH15-8528,8.53,56.56,N,Y,50,7765.3,2.61,Y,N,SEC1
2019-07-29,INBOM,V90AE6AF61A88,BULKER,REEFER,3844,42388.4,ES,IN,BERTH07-3268,22.87,72.61,N,N,67,18752.1,0.82,Y,N,SEC2
2019-12-27,INBOM,V77407FDB1B5D,RORO,BULK,0,140532.6,IT,IN,BERTH70-8459,22.76,49.45,N,Y,32,14542.5,2.29,Y,N,SEC1
2021-05-22,INMUN,V8A86E518E001,TANKER,REEFER,2115,17644.1,SA,IN,BERTH82-2609,13.94,58.88,N,Y,53,5907.6,1.96,Y,N,SEC3
2024-03-15,INBOM,VCCD9DF5808FA,CONTAINER,BREAKBULK,0,48725.8,AE,IN,BERTH32-5719,27.21,43.33,N,Y,46,13246.3,0.65,Y,Y,SEC3
2024-02-25,INKOC,V21FDB5FD6B88,CONTAINER,LIQUID,0,179893.3,JP,IN,BERTH06-3099,16.44,83.17,N,N,24,6646.4,0.83,Y,N,SEC2
2019-02-28,INTUT,VCD8DA336D847,BULKER,BULK,0,120040.7,IN,SG,BERTH58-7778,14.86,34.25,N,N,5,8414.7,4.15,Y,N,SEC3
2020-01-20,INBOM,V6ABA26DEBD16,BULKER,REEFER,3067,30429.6,IN,TR,BERTH82-2151,34.73,90.68,N,N,7,20194.5,2.51,Y,N,SEC1
2024-09-22,INNSA,V8758E95FF2F3,CONTAINER,AUTO,0,2439.5,SA,IN,BERTH05-9977,14.61,39.89,N,Y,80,6141.8,3.11,Y,N,SEC1
2022-04-10,INCCU,VE2EDBF913D2C,BULKER,BULK,0,57681.5,IN,GB,BERTH02-5553,37.57,81.13,Y,N,5,19566.8,3.02,Y,Y,SEC1
2020-11-16,INKRI,VB38A330B46A6,LNG,TEU,379,5047.5,IT,IN,BERTH35-5164,1.5,70.38,N,Y,50,1167.1,1.78,N,N,SEC3
2024-11-03,INKOC,VB6418B852742,PASSENGER,BREAKBULK,0,48570.4,IN,GB,BERTH05-8805,7.83,101.65,Y,Y,48,6498.3,0.99,N,N,SEC1
2021-11-10,INMNG,V2DEE39963593,RORO,REEFER,461,4107.4,TR,IN,BERTH80-4848,1.5,15.77,N,N,62,1586.2,1.85,Y,N,SEC2
2024-06-16,INBOM,V3B337298712F,LNG,AUTO,0,147.0,SG,IN,BERTH11-1181,1.5,20.29,N,N,32,1902.8,1.54,Y,N,SEC2
2023-02-27,INBOM,VCD956EE7E253,GENERAL_CARGO,BREAKBULK,0,39750.2,ES,IN,BERTH21-9048,34.3,51.03,N,Y,22,13868.9,1.84,Y,N,SEC1
2019-04-13,INGOI,V793A201B0B31,CONTAINER,TEU,2277,21904.1,TH,IN,BERTH84-3531,20.39,49.28,N,N,43,17060.6,0.1,N,N,SEC3
2025-10-06,INBOM,V275F4A767310,BULKER,LIQUID,0,41043.1,IN,TR,BERTH68-3457,12.2,37.61,N,N,43,8125.5,3.53,Y,N,SEC2
2021-01-12,INTUT,VFDF05D6CC26B,BULKER,AUTO,0,2954.9,SA,IN,BERTH49-5167,8.74,71.61,N,Y,5,4137.5,1.27,Y,N,SEC3
2024-04-17,INBOM,VEC8A529B8467,LNG,TEU,4372,48108.4,ID,IN,BERTH24-7798,22.3,57.04,Y,N,22,9993.1,1.91,Y,N,SEC1
2020-06-23,INBOM,VA75039106523,TANKER,AUTO,0,2379.1,IN,ZA,BERTH53-8227,13.46,25.56,N,Y,5,6545.0,4.42,Y,N,SEC3
2023-11-24,INNSA,V87E10B642DB5,PASSENGER,BULK,0,184072.5,RU,IN,BERTH78-5427,19.06,47.16,N,Y,32,7877.7,3.65,Y,N,SEC3
2024-07-15,INVTZ,V31B7886F0B14,TANKER,BULK,0,113991.3,QA,IN,BERTH27-2865,49.0,84.83,N,Y,32,22219.6,2.68,Y,N,SEC3
2025-01-18,INMAA,VCFDC251331C8,GENERAL_CARGO,TEU,14918,178978.9,ES,IN,BERTH53-7531,6.5,18.69,N,N,54,6070.7,1.37,Y,N,SEC2
2020-12-05,INGOI,VFF1F13B05F71,TANKER,REEFER,161,1715.6,IN,JP,BERTH25-6355,24.0,31.88,N,N,74,14765.6,3.87,N,N,SEC3
2025-12-14,INMNG,V9846B6715EFB,CONTAINER,LIQUID,0,165455.5,QA,IN,BERTH91-8446,17.22,21.68,N,N,5,7202.2,3.47,Y,N,SEC1
2023-08-18,INCCU,V0FB3D1942401,TANKER,REEFER,4456,49395.7,CN,IN,BERTH94-3269,37.21,65.89,N,Y,33,20779.6,2.11,Y,N,SEC3
2020-11-16,INGOI,V4F484596FA6E,PASSENGER,LIQUID,0,73828.0,IN,BR,BERTH32-9542,13.53,39.67,N,N,51,7398.2,0.17,Y,N,SEC1
2023-08-30,INKRI,V35871CD60146,BULKER,BREAKBULK,0,58150.8,BR,IN,BERTH83-5180,6.4,99.2,N,Y,29,4772.1,2.95,Y,N,SEC3
2023-11-13,INVTZ,V24F49F90C12A,PASSENGER,REEFER,4464,42965.4,IT,IN,BERTH81-2598,10.71,88.57,N,Y,36,5183.9,2.29,Y,N,SEC3
2024-11-11,INHZA,V89B0B89CC486,BULKER,LIQUID,0,170823.5,CN,IN,BERTH86-6523,9.3,64.0,N,Y,38,3092.1,2.4,N,N,SEC2
2020-01-01,INBOM,VC82FC84815CC,LNG,AUTO,0,1743.4,IT,IN,BERTH71-1598,20.95,86.58,Y,N,45,19120.0,2.47,Y,N,SEC2
2023-12-28,INMUN,V923FB05C297B,RORO,BULK,0,158396.8,IN,TR,BERTH59-1630,3.47,4.03,N,N,5,2115.5,1.95,Y,N,SEC2
2022-04-20,INKRI,V3815B1063940,GENERAL_CARGO,REEFER,4079,45869.0,GB,IN,BERTH08-2396,9.79,84.93,Y,N,38,7129.1,1.64,N,N,SEC3
2023-09-04,INMNG,V9ECC7D8420E2,LNG,AUTO,0,649.8,BR,IN,BERTH17-5989,13.25,35.3,N,N,78,4051.7,3.13,Y,N,SEC2
2022-04-11,INMUN,VB9A5F94B49E0,GENERAL_CARGO,BULK,0,141216.7,IN,ID,BERTH24-3761,25.59,51.69,N,N,63,21560.3,1.79,Y,Y,SEC2
2019-12-16,INNSA,VA01FC3407AE1,BULKER,TEU,19684,256847.3,SG,IN,BERTH91-3254,1.5,31.93,N,N,33,904.0,0.1,Y,N,SEC3
2025-01-17,INVTZ,VE47A52386A40,LNG,REEFER,4557,39293.2,NL,IN,BERTH53-5004,29.18,126.17,N,N,5,25354.8,3.54,Y,N,SEC2
2022-03-04,INCCU,VDF8751404B87,LNG,BREAKBULK,0,341.6,DE,IN,BERTH60-9019,11.48,85.01,N,Y,31,4972.4,3.1,N,N,SEC1
2025-01-13,INMAA,VE2CEAEDE299B,LNG,LIQUID,0,83173.2,IN,TR,BERTH59-3805,14.41,13.49,N,Y,14,10167.9,4.26,N,N,SEC2
2024-04-15,INNSA,VA0B65A5C0225,BULKER,BULK,0,3173.1,IN,GB,BERTH31-2202,28.05,66.98,N,N,42,16415.0,3.61,Y,N,SEC2
2019-10-24,INKOC,V70D40161366A,GENERAL_CARGO,AUTO,0,1538.9,CN,IN,BERTH96-9117,28.35,58.1,N,N,28,25331.5,4.03,Y,N,SEC2
2024-02-03,INMAA,VA16CE672F78A,PASSENGER,LIQUID,0,11069.9,IN,TH,BERTH09-7445,29.43,52.28,N,N,44,14100.2,0.94,Y,N,SEC3
