civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000031,1993,29,SCHOOL,887524,6.036,721089,575514,32.55,0.2214,0.4308,1,8,76,0,0.9458,-24.748,17.16,19004,0
PLAN000000032,1993,48,STATE_SENATE,892982,7.103,730405,685886,59.37,0.4607,0.4003,1,16,49,0,0.9519,-8.509,53.12,19311,0
PLAN000000033,2002,9,CONGRESSIONAL,778259,2.325,571365,478411,12.88,0.2143,0.5194,1,5,7,0,0.221,29.391,75.78,20607,0
PLAN000000034,2000,46,STATE_SENATE,199162,6.447,156215,149106,32.88,0.0602,0.5232,0,5,71,0,0.1736,-17.711,3.96,22335,0
PLAN000000035,2004,42,STATE_SENATE,504317,1.135,365957,325179,25.9,0.565,0.1771,1,19,24,0,0.5335,-0.788,88.62,11208,0
PLAN000000036,2022,16,STATE_HOUSE,58198,-7.305,41163,35376,77.59,0.3768,0.634,1,5,71,1,0.9592,13.869,4.46,2339,0
PLAN000000037,2025,40,STATE_SENATE,799222,4.137,613667,575184,76.87,0.5823,0.2054,1,0,68,0,0.6057,-15.758,1.33,15659,0
PLAN000000038,2025,15,JUDICIAL,271702,-0.575,188655,160433,57.15,0.256,0.5242,0,16,80,0,0.2693,-13.571,54.28,10600,0
PLAN000000039,2000,26,JUDICIAL,829060,-0.401,664063,631783,53.78,0.6137,0.405,1,18,77,0,0.9904,-27.08,88.18,5587,0
PLAN000000040,2010,38,STATE_HOUSE,419113,-3.902,307948,240972,11.18,0.1492,0.0207,1,3,1,0,0.2352,12.625,4.01,23992,0
PLAN000000041,2016,22,JUDICIAL,451695,-6.419,332384,312889,48.19,0.5363,0.0959,1,11,18,1,0.7479,27.743,78.62,2732,0
PLAN000000042,2014,45,SCHOOL,213466,-5.504,163038,132798,45.4,0.2288,0.7247,0,14,29,0,0.422,-9.808,30.37,21283,1
PLAN000000043,2021,40,STATE_SENATE,630764,-5.716,501650,417486,35.39,0.0809,0.2458,1,16,77,0,0.9213,26.171,25.96,24411,0
PLAN000000044,2020,29,SCHOOL,580665,2.829,431980,381516,74.14,0.7122,0.6729,1,20,62,1,0.0781,-25.288,84.54,16180,0
PLAN000000045,2018,35,STATE_HOUSE,758058,-4.074,524423,427611,45.24,0.3003,0.6151,1,4,38,0,0.2854,32.077,60.43,21756,0
PLAN000000046,1998,25,STATE_HOUSE,648658,-6.821,517415,424018,53.45,0.1937,0.0346,1,7,10,0,0.4348,-16.021,61.64,20426,0
PLAN000000047,1997,45,SCHOOL,477947,7.392,382406,320435,22.71,0.5214,0.8206,1,12,20,0,0.8936,-21.077,37.52,2397,0
PLAN000000048,2001,37,CONGRESSIONAL,264121,-7.562,207398,167667,88.21,0.1501,0.1344,1,3,49,0,0.5908,13.83,86.23,23841,0
PLAN000000049,2011,31,STATE_HOUSE,948070,0.488,691684,659874,81.65,0.6632,0.6158,1,3,12,1,0.0344,36.525,32.43,12538,0
PLAN000000050,1995,8,CITY,918795,1.458,687953,606460,6.17,0.3908,0.3989,1,12,18,0,0.0814,12.733,66.98,16917,0
PLAN000000051,2005,20,CITY,29445,-4.367,20778,17686,81.97,0.418,0.1532,1,13,51,1,0.2088,-33.903,4.17,9592,0
PLAN000000052,1995,14,STATE_HOUSE,666487,-4.689,510886,447971,6.4,0.2322,0.444,1,14,32,0,0.67,-28.54,24.13,15647,0
PLAN000000053,2019,53,STATE_SENATE,804444,5.471,554338,501397,81.04,0.3563,0.544,1,1,17,1,0.9217,4.215,26.89,16875,0
PLAN000000054,1999,40,STATE_SENATE,230409,-7.988,188507,161219,66.55,0.1894,0.2115,1,4,3,0,0.6985,31.434,50.05,10442,0
PLAN000000055,2000,51,SCHOOL,382812,7.017,292542,259491,31.71,0.203,0.097,1,20,35,1,0.2982,-39.615,73.59,20600,0
PLAN000000056,2021,56,STATE_HOUSE,282900,4.439,225826,189735,67.14,0.0449,0.4122,1,2,8,0,0.7728,32.544,66.73,17965,0
PLAN000000057,1990,18,STATE_HOUSE,759598,-6.579,555722,520261,9.41,0.5528,0.0339,1,4,60,0,0.7981,-17.785,77.5,16593,1
PLAN000000058,1996,23,CONGRESSIONAL,331784,5.364,268191,240883,33.57,0.4856,0.738,0,1,22,0,0.968,13.441,40.72,370,0
PLAN000000059,1991,53,SCHOOL,394793,-0.57,317353,250142,6.58,0.2515,0.5843,1,0,29,0,0.2142,2.612,27.45,671,0
PLAN000000060,2021,11,JUDICIAL,809058,7.959,632262,540921,67.69,0.4795,0.0888,1,17,56,0,0.8302,-4.431,81.16,6467,0
PLAN000000061,2018,34,SCHOOL,611443,-3.248,427069,350759,56.19,0.1593,0.2534,1,5,23,0,0.4062,4.956,17.03,21890,0
PLAN000000062,2014,26,STATE_HOUSE,758457,-2.295,602126,537016,57.02,0.5291,0.4011,1,13,62,1,0.9447,32.121,74.15,8542,0
PLAN000000063,2008,31,STATE_SENATE,541105,1.289,432972,340938,60.58,0.6425,0.4546,1,6,18,1,0.515,-6.38,91.55,24918,0
PLAN000000064,2017,60,STATE_SENATE,86384,-2.396,64691,51906,41.55,0.542,0.0439,1,0,69,1,0.0206,-18.594,30.93,13615,1
PLAN000000065,2006,60,STATE_SENATE,222549,-3.149,173723,166268,55.45,0.4177,0.8139,1,16,32,0,0.2722,-28.186,9.66,24612,0
PLAN000000066,2000,55,JUDICIAL,176520,-4.71,124004,103517,1.34,0.7861,0.4841,1,6,34,0,0.6356,25.486,62.16,19110,0
PLAN000000067,2023,19,SCHOOL,815233,0.292,648568,523420,64.84,0.1523,0.7925,1,11,48,0,0.1047,28.426,26.01,14318,0
PLAN000000068,1999,55,SCHOOL,75214,3.96,57441,45168,79.47,0.0344,0.3506,1,4,28,1,0.1131,39.068,56.68,5568,0
PLAN000000069,2007,48,SCHOOL,623236,-2.848,465136,376648,4.26,0.0704,0.0776,1,4,48,0,0.5525,19.562,49.71,10535,0
PLAN000000070,2015,56,STATE_SENATE,522936,-0.467,415109,397101,12.43,0.2255,0.0821,1,11,17,0,0.7474,30.537,34.18,1464,0
PLAN000000071,1996,58,CITY,49457,-5.646,38906,35534,86.77,0.469,0.6416,1,12,75,0,0.2156,-19.883,60.48,5815,1
PLAN000000072,2020,39,CONGRESSIONAL,437106,7.844,338001,284862,73.85,0.2416,0.2673,1,8,53,0,0.6909,18.605,33.86,10227,0
PLAN000000073,1998,53,SCHOOL,139052,-5.341,106630,101858,37.53,0.4966,0.8026,0,12,54,0,0.7518,-28.41,22.69,15854,0
PLAN000000074,2011,48,CONGRESSIONAL,454081,2.377,333276,303690,83.37,0.4043,0.2545,0,15,29,0,0.5124,-33.568,0.2,10200,0
PLAN000000075,2011,29,STATE_HOUSE,917387,-1.459,702276,668203,11.77,0.1015,0.6605,1,8,65,1,0.0436,32.303,64.35,86,0
PLAN000000076,1990,1,STATE_SENATE,783030,6.582,557012,481019,43.95,0.2602,0.5285,1,11,49,1,0.5055,2.595,7.83,4373,0
PLAN000000077,2013,31,STATE_SENATE,771762,-0.681,530277,446268,88.58,0.7196,0.2266,0,10,51,1,0.0989,-11.831,76.28,9214,0
PLAN000000078,2014,58,CITY,675517,0.32,513728,401901,87.62,0.664,0.0596,1,10,74,1,0.4793,25.286,76.35,10268,1
PLAN000000079,2009,50,STATE_SENATE,933624,-0.796,728336,614028,84.4,0.1,0.5342,1,19,78,0,0.0227,-16.736,18.62,1021,0
PLAN000000080,1990,22,STATE_HOUSE,255105,-3.901,179385,147279,33.32,0.5327,0.2353,1,15,16,0,0.4116,-36.989,8.96,15698,0
PLAN000000081,2009,48,STATE_SENATE,599245,5.771,472006,385221,17.5,0.0415,0.225,1,13,65,1,0.105,-35.492,0.55,1200,0
PLAN000000082,2008,10,CITY,469552,1.469,337653,283905,25.17,0.2249,0.0545,1,1,22,0,0.3494,22.098,30.94,22105,0
PLAN000000083,1994,33,STATE_HOUSE,370212,2.278,293246,250882,14.06,0.3049,0.0484,1,12,28,1,0.583,34.116,17.32,19707,0
PLAN000000084,2015,37,CONGRESSIONAL,287576,-5.451,197599,184136,49.76,0.4377,0.0309,0,15,42,0,0.286,-18.284,23.33,19680,1
PLAN000000085,2021,6,CONGRESSIONAL,42629,-3.895,30706,24065,52.29,0.6939,0.2044,0,13,67,1,0.4137,-0.721,45.36,22855,0
PLAN000000086,2009,37,STATE_HOUSE,181554,5.299,137741,126721,2.55,0.048,0.0508,1,20,61,1,0.5058,-13.269,99.85,15535,0
PLAN000000087,1991,59,CITY,154389,-2.827,108680,101595,5.41,0.1317,0.2054,1,6,72,0,0.698,-1.861,69.01,19952,0
PLAN000000088,1994,29,CITY,295582,3.19,237668,214845,81.63,0.1326,0.263,1,19,67,0,0.2978,-27.521,52.01,20622,0
PLAN000000089,1997,57,CITY,379203,0.421,287026,226307,44.05,0.265,0.3414,1,17,9,0,0.3801,-21.122,1.96,8063,1
PLAN000000090,1996,32,JUDICIAL,624839,6.474,492974,413268,31.77,0.5716,0.1267,1,8,57,0,0.2993,-28.457,39.82,12245,0
PLAN000000091,2003,39,STATE_SENATE,750372,-7.633,542054,426568,86.59,0.5613,0.6005,1,0,34,0,0.0816,4.441,91.66,14677,0
PLAN000000092,2020,28,CONGRESSIONAL,711194,-1.195,549269,497835,72.23,0.5398,0.1466,1,13,47,0,0.6262,23.184,62.18,12269,0
PLAN000000093,2020,58,SCHOOL,107269,3.974,83027,66769,19.71,0.4764,0.1311,1,8,13,0,0.3031,-37.17,33.6,20923,0
PLAN000000094,2020,9,CONGRESSIONAL,602693,7.038,443383,379802,75.17,0.6178,0.2516,1,19,60,0,0.7551,34.563,96.72,3881,0
PLAN000000095,2016,15,CONGRESSIONAL,259854,-3.82,206221,183683,7.36,0.5395,0.0801,1,5,42,0,0.2122,11.784,35.87,6483,0
PLAN000000096,1990,4,STATE_HOUSE,789484,0.72,541767,462181,53.52,0.5831,0.1941,1,3,80,0,0.8572,25.159,27.29,8622,0
PLAN000000097,2020,54,CONGRESSIONAL,698987,0.382,552443,505858,71.07,0.2869,0.7952,1,7,40,0,0.841,28.285,94.25,11925,0
PLAN000000098,2011,26,JUDICIAL,891417,6.692,621629,545414,87.59,0.1368,0.1716,1,12,3,0,0.9383,25.153,36.81,11529,0
PLAN000000099,2023,40,STATE_SENATE,426623,7.375,301137,269192,87.28,0.5954,0.3747,1,15,16,0,0.7971,28.88,21.72,12836,0
PLAN000000100,1996,16,CONGRESSIONAL,279497,-6.954,204338,167671,32.96,0.5376,0.1199,1,13,24,1,0.9092,13.973,40.91,13381,0
PLAN000000101,2010,30,CONGRESSIONAL,589319,-2.958,468402,447044,72.86,0.1666,0.5155,1,18,44,0,0.8898,-12.13,19.87,11401,0
PLAN000000102,1995,33,SCHOOL,218775,7.065,163562,136583,49.99,0.5475,0.568,1,12,75,0,0.0655,-3.981,31.31,627,0
PLAN000000103,2020,7,STATE_HOUSE,415492,-4.59,329739,296981,12.1,0.5839,0.3583,1,13,56,0,0.305,-14.581,60.29,24613,0
PLAN000000104,2004,20,STATE_HOUSE,168295,-6.525,115871,104669,91.56,0.7491,0.1264,0,13,34,0,0.4651,-12.322,42.62,6816,0
PLAN000000105,2015,49,STATE_HOUSE,466328,-5.845,326331,309616,69.03,0.5284,0.344,1,12,32,0,0.8657,-4.015,27.61,20931,0
PLAN000000106,2014,22,STATE_SENATE,6983,-5.66,5585,5090,37.05,0.0911,0.4063,1,17,49,0,0.8406,6.149,82.21,3086,1
PLAN000000107,1996,7,CONGRESSIONAL,902290,-4.286,617092,567440,76.53,0.5736,0.7149,1,1,49,0,0.8231,-32.511,27.88,9221,0
PLAN000000108,2025,28,SCHOOL,494723,2.995,379606,334187,1.08,0.6519,0.2486,1,14,28,0,0.3481,28.832,10.3,3773,0
PLAN000000109,1996,35,STATE_HOUSE,295137,-1.478,201895,169852,27.78,0.5957,0.2769,1,18,79,1,0.5361,-26.412,53.44,14418,0
PLAN000000110,1994,14,CONGRESSIONAL,658422,1.66,506897,471355,83.75,0.5144,0.5344,0,13,36,0,0.2605,-30.683,61.8,9251,0
PLAN000000111,1995,7,STATE_SENATE,727951,-4.871,530729,481050,73.02,0.6328,0.5977,1,18,28,0,0.255,-3.48,33.66,12684,0
PLAN000000112,2000,3,CONGRESSIONAL,783988,-6.764,611240,492144,37.07,0.6815,0.7747,1,11,40,1,0.7278,-26.72,54.79,6960,0
PLAN000000113,2013,56,STATE_SENATE,128882,-3.723,104786,86856,25.12,0.5849,0.126,1,7,25,1,0.9845,17.443,74.51,15343,0
PLAN000000114,2025,57,JUDICIAL,443286,-1.091,308627,246694,83.84,0.1317,0.8039,1,10,33,0,0.8518,8.733,66.68,10692,0
PLAN000000115,2008,55,JUDICIAL,943477,7.686,707187,640559,15.69,0.3636,0.6785,1,6,77,1,0.3167,-1.951,19.51,12038,0
PLAN000000116,1993,37,STATE_HOUSE,714188,-6.479,544734,487078,64.79,0.4405,0.1505,1,15,67,0,0.6023,-28.88,15.37,21348,0
PLAN000000117,2009,9,CITY,904585,2.621,619868,514671,51.25,0.5619,0.7225,1,17,18,0,0.9692,-30.093,8.53,2399,0
PLAN000000118,2008,11,JUDICIAL,876860,-0.018,697489,573176,20.85,0.1225,0.516,1,2,71,0,0.4153,-34.945,35.99,4574,0
PLAN000000119,1991,43,STATE_HOUSE,392887,3.487,293108,245411,3.9,0.7523,0.6651,1,3,17,1,0.7457,38.623,91.23,5472,0
PLAN000000120,1990,26,CITY,871716,-7.969,680296,539989,92.59,0.3279,0.6165,1,11,31,0,0.3654,-34.222,67.84,6626,0
PLAN000000121,2005,8,JUDICIAL,68970,7.362,51899,41815,72.04,0.535,0.4615,1,10,33,1,0.3279,-34.956,33.01,7869,0
PLAN000000122,2020,32,STATE_SENATE,360662,-3.624,262866,211292,4.69,0.0836,0.4267,1,14,50,0,0.3912,17.228,40.2,10816,0
PLAN000000123,2007,4,SCHOOL,301869,6.916,245452,224149,88.43,0.7377,0.3691,1,14,50,0,0.4755,13.031,81.85,23935,1
PLAN000000124,2003,40,STATE_HOUSE,942419,-5.336,702969,613538,76.63,0.1497,0.7413,1,19,3,0,0.3354,-28.847,15.68,23273,0
PLAN000000125,1992,11,JUDICIAL,789178,5.946,575036,474347,78.84,0.1339,0.5548,1,20,15,0,0.4284,-3.098,30.64,15667,0
PLAN000000126,2015,7,SCHOOL,71908,4.32,52089,41564,24.05,0.3039,0.1889,1,12,14,0,0.0524,8.642,65.22,20226,0
PLAN000000127,2019,11,CITY,80865,7.49,63872,54790,78.4,0.7656,0.4758,1,13,75,0,0.1332,-13.234,62.08,5976,0
PLAN000000128,2024,34,JUDICIAL,135253,1.204,95963,90837,56.48,0.6432,0.3464,1,5,10,0,0.6816,34.54,79.78,22798,0
PLAN000000129,2011,29,CITY,37179,-1.486,28613,24256,89.39,0.1056,0.3759,1,9,75,0,0.7961,-36.522,70.75,23715,0
PLAN000000130,2025,50,CONGRESSIONAL,527331,-5.206,362029,338832,50.38,0.1027,0.4765,1,5,69,0,0.3808,36.897,13.9,21207,0
PLAN000000131,2011,15,STATE_SENATE,823485,-4.089,634876,562807,48.9,0.2156,0.5902,1,15,12,1,0.813,-6.939,12.8,5259,0
PLAN000000132,2009,13,CITY,226303,4.263,160048,149425,91.66,0.148,0.4709,1,12,3,0,0.8823,-22.501,92.24,24374,1
PLAN000000133,2006,47,CITY,505480,-4.291,396652,350540,88.98,0.7192,0.2233,0,5,64,1,0.3088,13.551,92.88,4102,0
PLAN000000134,2015,14,STATE_HOUSE,788561,-3.614,628753,567635,32.73,0.408,0.7107,1,17,29,1,0.4765,3.857,68.71,8339,0
PLAN000000135,2001,41,CONGRESSIONAL,278364,5.616,202642,189451,67.46,0.1169,0.1166,1,14,63,0,0.6327,-7.021,53.98,7536,0
PLAN000000136,1990,12,SCHOOL,783956,-5.162,562503,539536,22.49,0.1553,0.3104,1,8,51,1,0.9325,-8.417,91.69,16926,1
PLAN000000137,1993,58,CONGRESSIONAL,453046,6.955,336714,297281,8.33,0.3848,0.185,1,10,45,0,0.8833,-7.217,28.38,6946,0
PLAN000000138,2023,13,STATE_SENATE,941692,1.723,680688,627542,74.16,0.4832,0.6469,1,0,60,0,0.8336,-32.364,51.63,23507,0
PLAN000000139,2018,46,JUDICIAL,737259,-0.965,545961,480443,6.32,0.7616,0.1528,1,9,10,1,0.0699,32.142,18.68,4484,0
PLAN000000140,1990,1,CONGRESSIONAL,262175,1.226,193064,164141,81.42,0.1541,0.1239,1,15,75,0,0.9126,-21.682,12.0,8666,0
PLAN000000141,2023,29,SCHOOL,143423,4.914,114292,102179,72.59,0.2702,0.6026,1,15,24,0,0.2033,28.766,17.85,23050,0
PLAN000000142,2010,23,SCHOOL,452233,7.706,350437,311443,12.58,0.5501,0.7248,1,12,66,0,0.2042,-39.222,47.7,13368,0
PLAN000000143,2011,53,CONGRESSIONAL,239536,2.405,182410,170297,17.48,0.5667,0.5728,1,1,12,1,0.9954,-10.406,13.57,24105,0
PLAN000000144,2023,27,CITY,566738,3.059,396455,311189,23.13,0.2527,0.319,1,9,71,1,0.257,-8.62,17.39,16900,0
PLAN000000145,2023,9,JUDICIAL,541956,3.315,443474,350123,40.59,0.0768,0.466,1,1,69,1,0.7189,-34.18,5.73,4833,0
PLAN000000146,1999,38,SCHOOL,770278,-4.942,588555,544568,25.88,0.2583,0.3323,1,12,51,0,0.9121,-0.004,2.29,770,0
PLAN000000147,1999,59,CITY,574686,-3.655,421539,399683,27.43,0.5129,0.5899,1,7,54,1,0.5791,-33.802,98.44,1509,0
PLAN000000148,2010,58,STATE_SENATE,721357,-5.262,514885,434358,62.27,0.3852,0.1555,1,5,58,0,0.7838,-5.732,90.47,1936,1
PLAN000000149,1999,49,JUDICIAL,472165,7.488,353486,335384,17.3,0.753,0.1604,1,5,41,1,0.9561,22.325,17.41,15260,0
PLAN000000150,2004,49,STATE_HOUSE,804418,5.156,582791,490473,86.37,0.2761,0.4012,1,6,1,0,0.3025,31.536,20.05,4030,1
PLAN000000151,2025,20,STATE_SENATE,589443,-0.46,431604,347169,74.78,0.6992,0.2945,1,5,78,0,0.5351,-6.652,48.5,9099,0
PLAN000000152,2025,44,CITY,167248,-7.734,129932,115186,2.14,0.447,0.6241,1,7,40,0,0.8469,37.254,56.12,17278,0
PLAN000000153,2019,6,STATE_HOUSE,296192,-5.537,212679,192043,57.0,0.0584,0.6586,1,11,66,0,0.0212,-25.373,55.81,49,0
PLAN000000154,1996,22,STATE_SENATE,449618,-4.239,313951,290790,59.53,0.598,0.7167,1,17,16,1,0.7667,0.471,79.79,13125,0
PLAN000000155,1999,11,CITY,175818,-3.162,123069,98512,71.33,0.2234,0.3487,1,7,58,0,0.0714,-2.94,80.57,24610,1
PLAN000000156,2011,42,CITY,199052,6.727,144279,137864,38.83,0.2464,0.7503,1,9,29,0,0.9462,29.124,61.62,10377,1
PLAN000000157,2014,59,STATE_SENATE,302391,-6.828,212484,170984,25.8,0.444,0.2768,1,6,39,1,0.8713,-21.48,94.45,16179,0
PLAN000000158,2000,24,SCHOOL,463358,3.723,373087,343642,85.66,0.6951,0.277,1,4,78,0,0.7406,36.666,25.27,9814,0
PLAN000000159,1996,17,CONGRESSIONAL,881035,-2.666,710341,636182,42.78,0.0628,0.3483,1,3,39,0,0.8712,-3.069,80.25,17566,0
PLAN000000160,2021,57,STATE_HOUSE,642726,7.246,497718,464461,28.37,0.2153,0.0877,1,3,79,0,0.5882,36.291,69.78,2083,0
PLAN000000161,2009,33,STATE_SENATE,23997,-7.138,17985,15645,46.41,0.4853,0.6917,1,18,15,0,0.9037,33.855,41.07,8326,0
PLAN000000162,2000,35,SCHOOL,77724,-1.142,62361,57744,5.37,0.7433,0.5383,1,6,17,0,0.2617,35.354,95.2,5828,0
PLAN000000163,2006,21,CONGRESSIONAL,631448,1.087,486300,460407,15.28,0.098,0.435,1,9,29,1,0.6688,-21.747,1.82,11501,1
PLAN000000164,2000,20,CITY,33186,-3.854,25271,20046,92.79,0.5667,0.1332,1,8,38,0,0.5965,-36.738,2.47,8438,0
PLAN000000165,1993,41,STATE_HOUSE,388445,-5.674,303216,241419,17.95,0.5312,0.1609,1,13,42,0,0.331,9.073,50.99,17626,0
PLAN000000166,2005,28,STATE_HOUSE,917896,3.383,661071,576598,40.55,0.7122,0.2891,1,3,53,0,0.1135,4.173,65.04,7824,0
PLAN000000167,1994,16,SCHOOL,820173,-0.488,560016,525670,82.78,0.3421,0.0965,1,1,56,0,0.6194,27.397,88.82,12085,1
PLAN000000168,2011,10,CONGRESSIONAL,27129,-2.39,20022,19035,67.53,0.104,0.561,1,9,18,1,0.1262,-31.697,89.06,9703,0
PLAN000000169,2008,18,STATE_SENATE,163415,-0.223,132800,104104,23.8,0.413,0.0712,1,12,66,0,0.3465,-12.175,50.13,13791,0
PLAN000000170,2017,56,JUDICIAL,920877,1.616,710907,610918,26.08,0.6393,0.5074,1,2,41,0,0.921,-24.842,28.89,3953,0
PLAN000000171,2020,34,CONGRESSIONAL,18798,7.739,14518,12322,12.02,0.6843,0.4229,1,20,47,0,0.8474,-26.21,9.87,21136,0
PLAN000000172,1990,11,STATE_SENATE,643962,-3.098,506888,461726,72.04,0.1217,0.6135,1,19,8,0,0.0794,24.802,34.81,7120,0
PLAN000000173,2023,60,SCHOOL,883377,4.052,647387,549682,59.53,0.0889,0.5173,1,0,48,1,0.3707,-17.734,22.85,7965,0
PLAN000000174,2014,20,CONGRESSIONAL,171302,0.002,136766,108740,16.67,0.7025,0.6537,0,1,22,0,0.145,4.915,40.05,2530,0
PLAN000000175,2020,55,CITY,184556,6.505,138109,110265,43.59,0.0833,0.8101,1,8,25,0,0.0093,-17.097,38.62,11840,0
PLAN000000176,1994,4,CONGRESSIONAL,865800,3.986,639736,578352,34.14,0.0869,0.4051,1,11,1,1,0.363,32.005,79.92,4085,0
PLAN000000177,2012,15,SCHOOL,694727,-7.797,479763,428871,84.53,0.7242,0.7373,1,7,54,1,0.5957,36.412,29.22,20135,0
PLAN000000178,2024,32,STATE_SENATE,864406,-3.11,617615,536291,64.59,0.7857,0.0693,1,10,17,1,0.8965,1.91,11.47,19439,0
PLAN000000179,2022,22,JUDICIAL,14851,7.946,11546,10788,10.79,0.423,0.6815,1,2,39,0,0.6906,-39.329,79.05,11583,0
