biz_intratrade_reference_month,biz_intratrade_reporting_country_iso2,biz_intratrade_partner_country_iso2,biz_intratrade_flow_direction,biz_intratrade_cn8_code,biz_intratrade_goods_value_eur,biz_intratrade_goods_quantity_kg,biz_intratrade_dispatch_arrival_code,biz_intratrade_threshold_reporting_flag,biz_intratrade_transport_mode_code,biz_intratrade_incoterms_code,biz_intratrade_customs_simplification_flag,biz_intratrade_vat_intracommunity_number_hash,biz_intratrade_eori_hash,biz_intratrade_delivery_time_days_median,biz_intratrade_logistics_performance_index,biz_intratrade_port_congestion_index,biz_intratrade_eurostat_table_code,biz_intratrade_data_quality_flag,biz_intratrade_data_extract_date
2021-03,SK,MT,DISPATCH,10300922,3606696.54,3567.89,DISPATCH,0,AIR,DDP,1,40ff569314d85840db,4c6294411c1a5e31a1,20,2.485,0.7121,bop_q_c,FLAGGED,2025-04-10
2021-04,HR,BG,ARRIVAL,10308841,3686469.33,3636.79,ARRIVAL,1,RAIL,CIP,1,31543165b698f3583c,880da2fe5ff60d8fdf,23,3.67,0.0721,ext_lt_intra_q,IMPUTED,2024-07-01
2021-05,DE,IE,DISPATCH,10316760,3795838.48,3715.33,DISPATCH,1,INLAND_WATERWAY,EXW,1,9cc4840d50c005203f,3c796d5a8ad27cac69,1,3.483,0.3039,ext_lt_intratrd,OK,2024-04-17
2021-06,LU,SI,ARRIVAL,10324679,3887478.42,3754.35,ARRIVAL,0,PIPE,FOB,0,aab8563b0caac7d8c7,c9240e7b0d372ee09d,5,2.902,0.736,bop_q_f,REVISED,2025-03-05
2021-07,SI,FI,DISPATCH,10332598,3937022.84,3800.17,DISPATCH,1,ROAD,DAP,1,575d32e01f226c4415,2ecaccdfe9e2bdcf20,7,2.618,0.8673,bop_q_g,ESTIMATED,2025-07-20
2021-08,CY,NL,ARRIVAL,10340517,4053469.98,3874.75,ARRIVAL,1,SEA,FCA,1,dd37acb4f3c913f4ed,0da435bf6405681939,5,3.659,0.7658,bop_q_c,FLAGGED,2024-02-22
2021-09,GR,HR,DISPATCH,10348436,4117075.02,3922.88,DISPATCH,0,AIR,CFR,0,54f11e3486db3cd8fc,9da945ee3078adcdee,7,2.674,0.8563,ext_lt_intra_q,IMPUTED,2025-07-25
2021-10,MT,IT,ARRIVAL,10356355,4165219.28,3950.45,ARRIVAL,0,RAIL,DPU,0,10667eca3236c7751b,999faaae425153534b,7,3.88,0.0848,ext_lt_intratrd,OK,2024-07-25
2021-11,ES,BG,DISPATCH,10364274,4262636.07,4014.19,DISPATCH,0,INLAND_WATERWAY,CPT,1,3abe3e7a1a0b9c46ff,984642f29ccd592436,10,3.959,0.1096,bop_q_f,REVISED,2024-04-24
2021-12,CZ,FR,ARRIVAL,10372193,4364394.72,4085.86,ARRIVAL,0,PIPE,CIF,0,ecd680e571d6125336,f58b6d76884c88b957,8,3.29,0.7374,bop_q_g,ESTIMATED,2025-02-15
2022-01,HU,PL,DISPATCH,10380112,4457036.87,4118.81,DISPATCH,1,ROAD,DDP,0,dba459d74d0ee6534e,e5614a610c1a690c4e,9,2.878,0.2348,bop_q_c,FLAGGED,2025-04-04
2022-02,NL,CY,ARRIVAL,10388031,4534933.74,4192.07,ARRIVAL,1,SEA,CIP,0,25acf2d99134384cff,0f760796dc60a4fba2,11,2.643,0.7298,ext_lt_intra_q,IMPUTED,2025-12-01
2022-03,SE,LV,DISPATCH,10395950,4587687.98,4236.61,DISPATCH,0,AIR,EXW,0,c4b4c9da5a3a079038,a3330ceea315d4cd48,12,2.685,0.387,ext_lt_intratrd,OK,2025-08-20
2022-04,DK,SE,ARRIVAL,10403869,4651834.35,4304.54,ARRIVAL,1,RAIL,FOB,0,5524999ffc9037f7a5,1551280a062d4aab1d,12,3.305,0.7409,bop_q_f,REVISED,2026-02-04
2022-05,IE,DE,DISPATCH,10411788,4758163.72,4382.97,DISPATCH,1,INLAND_WATERWAY,DAP,0,2411b794a84f2ee6df,c7ae497bd4af6b049d,16,3.494,0.8122,bop_q_g,ESTIMATED,2025-03-21
2022-06,PL,PT,ARRIVAL,10419707,4852634.95,4427.49,ARRIVAL,1,PIPE,FCA,0,fa1366416f9fc504e8,59e075be3b9a8a4c8a,18,3.497,0.6209,bop_q_c,FLAGGED,2025-03-10
2022-07,AT,CZ,DISPATCH,10427626,4945655.94,4453.29,DISPATCH,0,ROAD,CFR,0,c11de16bdef5914957,086bebbb563529a0fa,19,2.524,0.6128,ext_lt_intra_q,IMPUTED,2024-11-01
2022-08,EE,LT,ARRIVAL,10435545,5015384.25,4544.4,ARRIVAL,1,SEA,DPU,1,4696b17ac97eef9b79,5ff3e07be669840ccd,16,4.076,0.5298,ext_lt_intratrd,OK,2024-10-13
2022-09,IT,AT,DISPATCH,10443464,5089370.78,4601.24,DISPATCH,0,AIR,CPT,0,419b4e566aab37e2c1,fc8f25d75830137a17,21,4.341,0.3162,bop_q_f,REVISED,2025-04-26
2022-10,PT,GR,ARRIVAL,10451383,5144730.68,4635.44,ARRIVAL,0,RAIL,CIF,0,2fbc11a3fd63f39a73,9631f7f9ff7660b491,22,3.009,0.7278,bop_q_g,ESTIMATED,2025-10-02
2022-11,BE,RO,DISPATCH,10459302,5230943.37,4686.61,DISPATCH,1,INLAND_WATERWAY,DDP,1,9607e9d51005dcf586,713e951e943464b529,21,3.279,0.6842,bop_q_c,FLAGGED,2025-10-03
2022-12,FI,DK,ARRIVAL,10467221,5320248.36,4758.88,ARRIVAL,1,PIPE,CIP,0,0cb95323244e64f130,9b05c185457d6662bd,23,3.172,0.3324,ext_lt_intra_q,IMPUTED,2025-10-18
2023-01,LV,LU,DISPATCH,10475140,5435629.86,4775.03,DISPATCH,0,ROAD,EXW,1,a801fd41152582ea21,2ee0913e4e00893aa3,4,2.574,0.544,ext_lt_intratrd,OK,2024-12-18
2023-02,RO,BE,ARRIVAL,10483059,5481852.5,4871.01,ARRIVAL,0,SEA,FOB,1,feca0e2bd60bf4b722,4f54704cb967d23abc,3,4.397,0.332,bop_q_f,REVISED,2026-02-14
2023-03,BG,HU,DISPATCH,10490978,5597267.65,4907.52,DISPATCH,1,AIR,DAP,0,f3e55160c9b2d59bed,ac6d6941297affa8b8,6,4.208,0.6848,bop_q_g,ESTIMATED,2024-07-06
2023-04,FR,SK,ARRIVAL,10498897,5647452.26,4980.17,ARRIVAL,1,RAIL,FCA,0,474f895d182be3a084,5fdcc165edb5d48ac2,4,3.165,0.9183,bop_q_c,FLAGGED,2024-04-02
2023-05,LT,EE,DISPATCH,10506816,5740957.41,5007.82,DISPATCH,0,INLAND_WATERWAY,CFR,0,e3fa87b435fe380a8b,31e8473588e91aeb6a,9,2.718,0.1722,ext_lt_intra_q,IMPUTED,2026-02-24
2023-06,SK,MT,ARRIVAL,10514735,5818530.47,5085.15,ARRIVAL,0,PIPE,DPU,0,ce8a3296f0e8121d2d,cdeb80a216f36ffb23,6,2.322,0.376,ext_lt_intratrd,OK,2024-10-09
2023-07,HR,BG,DISPATCH,10522654,5921891.6,5116.54,DISPATCH,1,ROAD,CPT,0,7053ef95846d1bf3c5,11b8773456359c5bbd,9,2.945,0.5187,bop_q_f,REVISED,2025-10-18
2023-08,DE,IE,ARRIVAL,10530573,5963115.67,5166.15,ARRIVAL,0,SEA,CIF,0,a91058fc7f2e0fe605,4aff5935effc97ce33,9,3.225,0.0611,bop_q_g,ESTIMATED,2025-01-16
2023-09,LU,SI,DISPATCH,10538492,6075861.49,5233.72,DISPATCH,0,AIR,DDP,0,2046f969bbfc6e195a,5df56994053146c8b6,13,2.832,0.0655,bop_q_c,FLAGGED,2024-09-04
2023-10,SI,FI,ARRIVAL,10546411,6189434.27,5294.53,ARRIVAL,1,RAIL,CIP,1,374ab56b07498faf95,7192d6fa1b186a717c,13,3.182,0.2112,ext_lt_intra_q,IMPUTED,2024-05-16
2023-11,CY,NL,DISPATCH,10554330,6264901.04,5352.49,DISPATCH,0,INLAND_WATERWAY,EXW,1,8124d7b4b702b7e36e,ad545734c9dbbff747,15,4.033,0.2503,ext_lt_intratrd,OK,2025-08-22
2023-12,GR,HR,ARRIVAL,10562249,6332142.49,5402.98,ARRIVAL,1,PIPE,FOB,1,2a0eedf2164adb14e5,5f71cea0358be8f45e,16,3.7,0.9065,bop_q_f,REVISED,2024-05-29
2024-01,MT,IT,DISPATCH,10570168,6376539.41,5439.91,DISPATCH,1,ROAD,DAP,1,064af523da16f45513,21b1998db4181b2503,16,4.161,0.7708,bop_q_g,ESTIMATED,2024-08-31
2024-02,ES,BG,ARRIVAL,10578087,6472599.82,5535.49,ARRIVAL,1,SEA,FCA,0,53787dba5b4e55c660,9f4cb01a0030c9d42f,15,4.393,0.4967,bop_q_c,FLAGGED,2024-08-06
2024-03,CZ,FR,DISPATCH,10586006,6600325.39,5563.73,DISPATCH,0,AIR,CFR,0,22e17991c121c53959,43e97787ce1a122760,18,2.451,0.7429,ext_lt_intra_q,IMPUTED,2025-08-22
2024-04,HU,PL,ARRIVAL,10593925,6627903.1,5630.13,ARRIVAL,1,RAIL,DPU,0,091dd8b516b38dadf8,cb85eaa9b6530b6290,16,3.413,0.1243,ext_lt_intratrd,OK,2025-03-12
2024-05,NL,CY,DISPATCH,10601844,6700281.04,5662.84,DISPATCH,1,INLAND_WATERWAY,CPT,0,7489a29a481220d3a7,4e58dadf1f5b182e62,17,3.462,0.0966,bop_q_f,REVISED,2025-02-14
2024-06,SE,LV,ARRIVAL,10609763,6795508.93,5719.57,ARRIVAL,0,PIPE,CIF,0,bb0d9a61793891a4dc,73d36dc8e8def1b0fa,18,3.504,0.898,bop_q_g,ESTIMATED,2024-03-31
2024-07,DK,SE,DISPATCH,10617682,6922978.03,5791.12,DISPATCH,1,ROAD,DDP,1,cdb00e2126edcd102d,c1a02cb8254505642e,23,2.415,0.7017,bop_q_c,FLAGGED,2025-11-03
2024-08,IE,DE,ARRIVAL,10625601,6945470.31,5822.68,ARRIVAL,0,SEA,CIP,0,5de8a5e0e91d195d25,b862f4dc534e450f4c,24,2.429,0.6889,ext_lt_intra_q,IMPUTED,2025-04-21
2024-09,PL,PT,DISPATCH,10633520,7051352.06,5914.71,DISPATCH,0,AIR,EXW,0,8af7abb4b3c4f3a343,4531a8306016bbc65c,3,4.372,0.2628,ext_lt_intratrd,OK,2026-02-19
2024-10,AT,CZ,ARRIVAL,10641439,7160730.6,5950.68,ARRIVAL,0,RAIL,FOB,0,baf04af7a3c510808d,b6fd24372503eda2fc,6,2.438,0.6194,bop_q_f,REVISED,2024-05-12
2024-11,EE,LT,DISPATCH,10649358,7245494.33,5989.27,DISPATCH,0,INLAND_WATERWAY,DAP,0,0ddb275e5633e5ed28,661f56eb131ee1adc9,6,3.128,0.8833,bop_q_g,ESTIMATED,2024-06-15
2024-12,IT,AT,ARRIVAL,10657277,7290163.61,6060.18,ARRIVAL,0,PIPE,FCA,1,b46ddfc7a0f6dff917,9fb37e869c45273ce7,6,3.543,0.2334,bop_q_c,FLAGGED,2024-02-29
2025-01,PT,GR,DISPATCH,10665196,7415252.66,6133.18,DISPATCH,1,ROAD,CFR,1,f1c118c11f01b967a0,4713d4a35e0370dd85,7,2.754,0.4929,ext_lt_intra_q,IMPUTED,2025-11-16
2025-02,BE,RO,ARRIVAL,10673115,7463459.29,6152.34,ARRIVAL,0,SEA,DPU,0,85abb7b45149a61396,7d1f04d862e946d8b4,10,3.987,0.7113,ext_lt_intratrd,OK,2024-10-14
2025-03,FI,DK,DISPATCH,10681034,7538268.35,6224.76,DISPATCH,0,AIR,CPT,1,f738969a7693dc8ad0,c63697c022abd53a74,10,3.685,0.5249,bop_q_f,REVISED,2024-07-09
2025-04,LV,LU,ARRIVAL,10688953,7610322.61,6306.83,ARRIVAL,1,RAIL,CIF,0,4faf9d50a584d98bc8,11f3dd0270406085df,10,3.433,0.7677,bop_q_g,ESTIMATED,2026-01-21
2025-05,RO,BE,DISPATCH,10696872,7710173.12,6316.31,DISPATCH,1,INLAND_WATERWAY,DDP,1,5bfdb3d665d5e248eb,283107584919819e6b,11,2.218,0.8764,bop_q_c,FLAGGED,2025-08-14
2025-06,BG,HU,ARRIVAL,10704791,7819146.72,6387.68,ARRIVAL,1,PIPE,CIP,1,933462c6d71d157630,b98692b1c522cebbea,12,2.43,0.7379,ext_lt_intra_q,IMPUTED,2026-02-09
2025-07,FR,SK,DISPATCH,10712710,7860289.97,6450.84,DISPATCH,0,ROAD,EXW,0,78e860971f05149fa8,73e3b51095542e6f56,11,3.04,0.6573,ext_lt_intratrd,OK,2024-11-19
2025-08,LT,EE,ARRIVAL,10720629,7974455.86,6504.61,ARRIVAL,1,SEA,FOB,1,83c3c78256263952ec,6f82b2b7555fcfad03,12,2.711,0.2552,bop_q_f,REVISED,2026-01-07
2025-09,SK,MT,DISPATCH,10728548,8049983.1,6545.39,DISPATCH,0,AIR,DAP,1,740962996e4f87fcbd,bd4c977b14c56b0384,17,2.58,0.4658,bop_q_g,ESTIMATED,2025-04-02
2025-10,HR,BG,ARRIVAL,10736467,8131549.16,6599.57,ARRIVAL,0,RAIL,FCA,0,831719d60210e0db18,0868b63db8e7676fdf,14,2.507,0.7156,bop_q_c,FLAGGED,2025-11-21
2025-11,DE,IE,DISPATCH,10744386,8238598.42,6673.54,DISPATCH,0,INLAND_WATERWAY,CFR,0,9fd8bf04118bf28123,48b4c65a5479078379,15,3.713,0.6809,ext_lt_intra_q,IMPUTED,2026-01-04
2025-12,LU,SI,ARRIVAL,10752305,8268330.09,6718.06,ARRIVAL,0,PIPE,DPU,1,7adbf70800ff1b89c7,812762213043cc2f1d,17,2.317,0.3228,ext_lt_intratrd,OK,2024-07-03
2026-01,SI,FI,DISPATCH,10760224,8375543.53,6774.27,DISPATCH,1,ROAD,CPT,0,8393c483b4174714bd,ce064764736c535d59,20,4.341,0.321,bop_q_f,REVISED,2024-05-13
2026-02,CY,NL,ARRIVAL,10768143,8450255.91,6843.74,ARRIVAL,1,SEA,CIF,0,6316a66b946b6b65ab,04609b55bdc87e6e2d,19,3.669,0.6135,bop_q_g,ESTIMATED,2025-09-16
2026-03,GR,HR,DISPATCH,10776062,8554026.38,6884.04,DISPATCH,1,AIR,DDP,0,ac5f6a8964868824d7,0074e4a18a6f52fe62,20,4.12,0.2199,bop_q_c,FLAGGED,2024-08-12
2026-04,MT,IT,ARRIVAL,10783981,8606354.77,6946.28,ARRIVAL,1,RAIL,CIP,0,dbe78609809a30c9cb,26083243061c811819,24,4.091,0.672,ext_lt_intra_q,IMPUTED,2025-08-08
2026-05,ES,BG,DISPATCH,10791900,8733282.63,6979.09,DISPATCH,1,INLAND_WATERWAY,EXW,0,9a466cd2b5b3ec6bba,969be8704c8cbdb790,3,3.507,0.5481,ext_lt_intratrd,OK,2025-09-12
2026-06,CZ,FR,ARRIVAL,10799819,8754953.56,7057.16,ARRIVAL,1,PIPE,FOB,1,27c709d7014743f31a,fe0050a55a329dcd74,6,4.164,0.3734,bop_q_f,REVISED,2025-09-24
2026-07,HU,PL,DISPATCH,10807738,8867762.05,7101.45,DISPATCH,0,ROAD,DAP,1,dac41c4d562f5990a7,60938f18214d87f959,5,2.593,0.4544,bop_q_g,ESTIMATED,2026-01-17
2026-08,NL,CY,ARRIVAL,10815657,8916315.13,7141.81,ARRIVAL,1,SEA,FCA,0,37c950c8882b2877c7,f6b5502bd4da2144c9,6,3.776,0.6837,bop_q_c,FLAGGED,2025-05-26
2026-09,SE,LV,DISPATCH,10823576,9036317.75,7196.71,DISPATCH,1,AIR,CFR,1,3bcb6e8d8cbf9b626c,a62acdd27a0ba4c357,5,2.462,0.107,ext_lt_intra_q,IMPUTED,2025-04-17
2026-10,DK,SE,ARRIVAL,10831495,9083267.13,7277.82,ARRIVAL,1,RAIL,DPU,1,fb46fcface27448d27,46e4e6cd8280e809b1,9,4.011,0.7169,ext_lt_intratrd,OK,2024-09-20
2026-11,IE,DE,DISPATCH,10839414,9165130.86,7321.06,DISPATCH,1,INLAND_WATERWAY,CPT,1,342735ab1fa2472f07,7017d298f60933e0ea,10,3.868,0.1509,bop_q_f,REVISED,2026-01-09
2026-12,PL,PT,ARRIVAL,10847333,9308809.58,7375.18,ARRIVAL,1,PIPE,CIF,0,6172be5b44d90ff522,a7166af1c0f11b146d,11,3.158,0.2522,bop_q_g,ESTIMATED,2025-05-01
2018-01,AT,CZ,DISPATCH,10855252,9387974.07,7433.29,DISPATCH,1,ROAD,DDP,1,325c2ece63a0c4aa89,4d1022d3fc26279c26,12,3.086,0.1071,bop_q_c,FLAGGED,2024-10-25
2018-02,EE,LT,ARRIVAL,10863171,9431363.44,7496.88,ARRIVAL,0,SEA,CIP,0,f8a8550f6d861aecba,022da543adb0f856b3,11,2.412,0.4168,ext_lt_intra_q,IMPUTED,2025-01-04
2018-03,IT,AT,DISPATCH,10871090,9530371.14,7569.04,DISPATCH,1,AIR,EXW,0,9a38426403416e7fa3,fef85aa051445a8d5a,12,4.091,0.5103,ext_lt_intratrd,OK,2025-02-18
2018-04,PT,GR,ARRIVAL,10879009,9606069.39,7592.26,ARRIVAL,1,RAIL,FOB,0,cbf265d7c7c803af76,d2e05335b98dd91c99,15,2.941,0.6061,bop_q_f,REVISED,2024-04-18
2018-05,BE,RO,DISPATCH,10886928,9656911.53,7681.81,DISPATCH,1,INLAND_WATERWAY,DAP,1,e97b0f092b80937856,c7b9e3111fa979dc69,14,4.132,0.3404,bop_q_g,ESTIMATED,2025-07-02
2018-06,FI,DK,ARRIVAL,10894847,9767463.62,7706.85,ARRIVAL,1,PIPE,FCA,0,4215cc73b2d9b9d2c2,f2137f1a0b283e5ee4,15,3.576,0.6847,bop_q_c,FLAGGED,2025-10-22
2018-07,LV,LU,DISPATCH,10902766,9878547.24,7773.33,DISPATCH,1,ROAD,CFR,0,3eb42053efe743ab97,183d0b8dfd379c671a,17,4.082,0.6538,ext_lt_intra_q,IMPUTED,2024-07-13
2018-08,RO,BE,ARRIVAL,10910685,9962153.26,7834.04,ARRIVAL,0,SEA,DPU,1,7e7e947c7c0c6b853b,eef8e1ccac46e0988c,20,2.887,0.1933,ext_lt_intratrd,OK,2025-12-10
2018-09,BG,HU,DISPATCH,10918604,9983254.31,7891.58,DISPATCH,1,AIR,CPT,0,9ba710f953c1f0b9c5,341521d14c8be61725,20,2.503,0.4929,bop_q_f,REVISED,2024-03-26
2018-10,FR,SK,ARRIVAL,10926523,10121209.87,7922.63,ARRIVAL,1,RAIL,CIF,0,6c1db7fee8427f562f,40f7cdef7d3b364803,21,2.982,0.0774,bop_q_g,ESTIMATED,2025-09-28
