trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2015,SK,HU4,HEAVY_TRUCK,2039371,209749,34.0,12.84,60248.07,1.3964,1115,11300,155939,236,4771,5521254.36,22.46,EEA_TRANSPORT_EMISSIONS,SECOND,2024-03-22
2016,BE,PL75,LIGHT_COMMERCIAL,11475162,231257,27.73,16.3,47116.42,0.9953,761,7526,72811,6102,38114,9763384.32,45.79,POLICE_ADMIN_DATA,BENCHMARK,2024-06-18
2017,DK,LV616,PASSENGER_CAR,9810973,1357558,9.43,7.88,37873.64,2.1673,1435,16892,127613,11109,49555,4595366.27,6.24,CARE_ROAD_SAFETY_DB,FLASH,2025-06-10
2018,GR,GR9,MOPED,3391309,608915,17.69,10.81,30103.9,0.5733,992,4393,11619,2772,316,6010570.01,35.45,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-05
2019,LT,IE311,MOTORCYCLE,6645300,333156,18.5,10.63,18769.62,2.0565,93,739,153387,16032,44920,2619745.02,60.23,EEA_TRANSPORT_EMISSIONS,SECOND,2025-07-08
2020,PT,SI69,BUS_COACH,10004899,248173,73.71,9.79,50057.83,1.7153,374,2624,66770,7760,39193,2590765.4,16.32,POLICE_ADMIN_DATA,BENCHMARK,2024-04-16
2021,SE,LV75,HEAVY_TRUCK,4111659,603195,72.54,10.48,5680.09,0.9769,31,254,41473,17197,28193,293140.37,6.84,CARE_ROAD_SAFETY_DB,FLASH,2024-06-12
2022,CY,SE5,LIGHT_COMMERCIAL,5395972,560704,0.62,6.62,14407.38,0.6755,362,1098,80940,13868,66807,3838004.71,81.04,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-07
2023,FR,CZ531,PASSENGER_CAR,5959586,341870,10.19,16.95,72150.42,1.5845,2672,22221,70498,1272,64195,21307196.75,83.47,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-22
2024,IT,LT308,MOPED,8996438,1076204,15.06,12.13,9659.12,0.3191,513,4161,79901,13508,21222,2376734.87,56.09,POLICE_ADMIN_DATA,BENCHMARK,2025-06-07
2025,NL,AT9,MOTORCYCLE,4935442,870755,60.96,16.67,52076.65,2.2205,2591,25960,71368,14548,33261,8634339.37,40.73,CARE_ROAD_SAFETY_DB,FLASH,2025-04-08
2005,SI,DK778,BUS_COACH,6250946,133588,22.72,17.04,8893.21,0.671,284,3121,37781,6643,15679,2393543.86,35.12,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-08
2006,BG,SI5,HEAVY_TRUCK,7396865,683681,6.91,12.66,44411.83,1.8731,788,2530,68092,6488,10640,10300189.42,34.11,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-06
2007,EE,SE225,LIGHT_COMMERCIAL,9033276,479765,31.49,10.86,50647.67,1.1725,1156,8395,17824,9998,11463,10765721.09,43.17,POLICE_ADMIN_DATA,BENCHMARK,2024-12-06
2008,HU,EE86,PASSENGER_CAR,5550600,141750,22.58,5.25,68607.55,0.8517,137,1285,90690,1618,13945,12834940.6,44.34,CARE_ROAD_SAFETY_DB,FLASH,2024-05-27
2009,LU,ES17,MOPED,2302104,93326,8.49,5.27,50109.4,2.0241,952,8104,57281,15165,50842,6527450.37,19.72,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-17
2010,RO,PT141,MOTORCYCLE,887852,150658,13.67,12.27,2301.31,0.5315,131,862,41363,4455,36383,366239.72,47.88,EEA_TRANSPORT_EMISSIONS,SECOND,2025-11-12
2011,AT,LT703,BUS_COACH,13674782,2256005,12.3,10.87,64475.18,0.6937,1312,14892,76771,11558,46463,13648370.52,24.68,POLICE_ADMIN_DATA,BENCHMARK,2025-12-14
2012,CZ,MT20,HEAVY_TRUCK,3867927,646361,38.48,14.28,45586.9,2.3068,1353,11500,146468,14862,4174,9211516.78,45.35,CARE_ROAD_SAFETY_DB,FLASH,2025-10-15
2013,DE,CZ941,LIGHT_COMMERCIAL,13253469,1420245,3.5,16.42,33770.79,0.9393,599,6093,79379,14466,46141,10364137.92,49.58,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-05
2014,LV,SI546,PASSENGER_CAR,6808895,233870,27.24,7.53,27851.0,2.3838,856,6429,158314,7041,50660,3698412.09,44.68,EEA_TRANSPORT_EMISSIONS,SECOND,2024-05-09
2015,PL,IE7,MOPED,6218085,266162,14.39,15.26,12959.1,1.6291,80,255,84896,8859,32055,1810657.82,36.7,POLICE_ADMIN_DATA,BENCHMARK,2025-10-17
2016,ES,EE170,MOTORCYCLE,10735823,1029719,3.76,15.04,34912.96,0.4351,1734,6892,43126,6859,35179,4708193.32,8.75,CARE_ROAD_SAFETY_DB,FLASH,2024-06-26
2017,HR,PT312,BUS_COACH,2846375,387332,17.83,13.87,63482.95,2.0529,1485,13304,78726,858,41558,6427885.62,35.31,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-03
2018,FI,IE2,HEAVY_TRUCK,1980032,195230,33.81,14.25,67312.9,2.3173,1209,13837,84144,2592,25459,14464737.71,76.84,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-18
2019,IE,LV57,LIGHT_COMMERCIAL,3431033,332897,1.99,16.25,66500.41,2.047,553,3609,24494,2045,42334,6753370.3,70.97,POLICE_ADMIN_DATA,BENCHMARK,2025-07-22
2020,MT,HR14,PASSENGER_CAR,13201566,565337,78.06,17.32,2585.48,0.2384,122,609,40620,22229,63987,249272.18,16.13,CARE_ROAD_SAFETY_DB,FLASH,2025-10-31
2021,SK,GR654,MOPED,1428119,227248,56.03,14.94,16452.86,1.2201,1048,8297,79341,17262,20307,1974849.92,23.61,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-28
2022,BE,FR7,MOTORCYCLE,7701494,380007,54.76,17.48,16844.07,1.8533,136,1228,98146,14637,3210,3491824.67,50.1,EEA_TRANSPORT_EMISSIONS,SECOND,2024-04-18
2023,DK,MT18,BUS_COACH,3332998,597670,14.68,6.69,76224.04,1.7377,2289,7790,35887,3761,25277,5026931.71,24.54,POLICE_ADMIN_DATA,BENCHMARK,2024-01-30
2024,GR,HR985,HEAVY_TRUCK,7459412,618004,26.92,7.78,70296.13,2.1044,532,1605,48324,810,18844,16040644.26,17.95,CARE_ROAD_SAFETY_DB,FLASH,2024-02-01
2025,LT,NL4,LIGHT_COMMERCIAL,2668450,83392,53.8,13.81,34407.96,1.9077,488,3270,94149,10206,7512,6758039.22,26.75,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-09
2005,PT,DK42,PASSENGER_CAR,2626835,431566,26.26,16.28,14362.97,2.3262,522,1959,52380,4766,20411,1543506.03,40.54,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-05
2006,SE,FR335,MOPED,2315354,183697,31.33,6.71,55788.77,1.3288,2302,19272,64240,17978,19903,5899485.43,9.25,POLICE_ADMIN_DATA,BENCHMARK,2025-05-30
2007,CY,DE90,MOTORCYCLE,8345426,1447942,31.47,16.56,1650.56,0.381,44,154,45297,17535,21126,233887.23,31.41,CARE_ROAD_SAFETY_DB,FLASH,2026-02-19
2008,FR,AT355,BUS_COACH,9000044,1265034,35.09,5.83,45093.97,1.9641,1517,11314,79580,4288,19202,10118829.01,40.79,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-03-24
2009,IT,HR610,HEAVY_TRUCK,3447082,389074,15.92,7.35,49422.22,2.1874,1155,8888,70274,14533,30718,11330808.65,27.41,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-09
2010,NL,LU56,LIGHT_COMMERCIAL,12339468,1447534,23.84,11.67,50482.43,0.4133,2466,26613,12489,394,26791,3294678.64,7.43,POLICE_ADMIN_DATA,BENCHMARK,2024-02-19
2011,SI,PT777,PASSENGER_CAR,8539705,1342304,15.49,9.13,70373.77,0.6899,2842,33056,19258,12946,37010,6082088.33,13.13,CARE_ROAD_SAFETY_DB,FLASH,2025-08-03
2012,BG,LV497,MOPED,618377,34680,42.67,7.47,49537.88,0.9591,868,4566,78848,7669,17023,7592222.47,18.55,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-13
2013,EE,FI828,MOTORCYCLE,11499749,234475,1.78,16.77,45811.94,1.9055,713,4933,4234,249,37000,3799359.01,43.31,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-09
2014,HU,FI71,BUS_COACH,3563938,584832,5.68,7.82,13658.82,1.1193,128,489,58044,17956,44960,3711661.01,35.23,POLICE_ADMIN_DATA,BENCHMARK,2024-10-03
2015,LU,LT884,HEAVY_TRUCK,13204563,552312,28.22,9.83,44612.18,1.4489,761,2335,126804,863,11198,6694898.54,9.39,CARE_ROAD_SAFETY_DB,FLASH,2024-05-09
2016,RO,DE9,LIGHT_COMMERCIAL,538313,94904,31.37,8.01,38390.93,0.8563,1396,15305,48216,14726,43288,7642243.62,15.54,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-08-28
2017,AT,SK36,PASSENGER_CAR,4790170,838391,13.34,16.34,40258.58,0.5671,678,3445,42450,9404,38599,10613904.74,51.61,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-13
2018,CZ,FI32,MOPED,5476490,527753,23.53,14.36,47167.03,1.4359,2563,22110,8414,14834,35254,12072157.99,9.18,POLICE_ADMIN_DATA,BENCHMARK,2024-12-18
2019,DE,PL56,MOTORCYCLE,1674424,162478,29.09,15.93,43978.38,1.4472,331,1097,35222,16662,37783,7838990.65,80.79,CARE_ROAD_SAFETY_DB,FLASH,2024-12-09
2020,LV,SE514,BUS_COACH,2395644,132499,1.34,10.91,58831.64,0.6196,2093,9588,76164,12340,28357,11796637.95,53.73,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-03
2021,PL,IE389,HEAVY_TRUCK,3505201,261583,38.78,11.6,62071.44,0.5009,589,5545,87614,14548,15599,9291392.02,48.74,EEA_TRANSPORT_EMISSIONS,SECOND,2024-09-02
2022,ES,IT13,LIGHT_COMMERCIAL,2732894,481623,20.35,10.8,4617.42,2.2006,35,223,142564,13630,70139,770831.45,40.2,POLICE_ADMIN_DATA,BENCHMARK,2026-02-04
2023,HR,HR925,PASSENGER_CAR,4354610,400260,89.6,11.23,15240.52,0.9704,178,538,85343,27831,3124,1665011.98,11.31,CARE_ROAD_SAFETY_DB,FLASH,2024-01-04
2024,FI,HU120,MOPED,464097,73791,5.58,12.55,50834.65,1.0003,417,4621,28243,13324,5283,4369928.58,69.45,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-11-23
2025,IE,NL2,MOTORCYCLE,3015628,452603,4.78,16.66,2147.11,0.3297,13,88,87132,23238,31335,415038.0,62.73,EEA_TRANSPORT_EMISSIONS,SECOND,2024-03-18
2005,MT,AT162,BUS_COACH,7526550,666593,28.19,5.96,37828.64,1.2607,1282,14416,13296,3817,23495,7613937.1,26.9,POLICE_ADMIN_DATA,BENCHMARK,2025-10-16
2006,SK,FI18,HEAVY_TRUCK,9951800,709972,20.27,5.04,72754.76,2.2778,738,4687,78281,15345,20410,5516651.93,22.79,CARE_ROAD_SAFETY_DB,FLASH,2025-04-02
2007,BE,DK777,LIGHT_COMMERCIAL,7028162,605355,4.04,7.58,27941.16,1.4715,336,2268,38205,12290,71884,4040876.14,27.11,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-31
2008,DK,IE909,PASSENGER_CAR,9524238,678266,27.26,5.77,51612.39,0.252,1269,14863,22415,13770,31556,5611090.96,11.92,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-16
2009,GR,EE5,MOPED,13583149,1639038,19.45,5.41,12821.32,0.3173,254,1310,47659,8616,43398,1723681.08,30.2,POLICE_ADMIN_DATA,BENCHMARK,2025-08-18
2010,LT,LT617,MOTORCYCLE,8466765,212456,3.26,7.17,29479.99,2.1473,1262,6273,151877,16057,28557,6680859.16,23.35,CARE_ROAD_SAFETY_DB,FLASH,2025-04-12
2011,PT,GR95,BUS_COACH,8450734,1101307,14.23,10.93,11461.93,1.4893,34,334,50955,11431,37492,995813.25,13.4,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-07
2012,SE,SK393,HEAVY_TRUCK,8925123,1066485,34.7,14.72,44415.11,2.193,1965,17396,55266,27851,48148,10971009.12,7.37,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-14
2013,CY,HR7,LIGHT_COMMERCIAL,4765836,464154,35.02,7.82,44946.01,2.1782,1835,6359,76354,19408,37362,4812443.1,5.15,POLICE_ADMIN_DATA,BENCHMARK,2025-03-22
2014,FR,BE30,PASSENGER_CAR,8623398,1401367,16.44,5.73,34800.63,1.5696,882,6350,101495,4776,8507,7628774.74,55.11,CARE_ROAD_SAFETY_DB,FLASH,2024-07-16
2015,IT,EE50,MOPED,7537847,1154425,27.94,10.44,27168.69,0.2301,295,3484,62702,6263,34122,2827718.42,20.05,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-23
2016,NL,BG9,MOTORCYCLE,7546597,809326,13.43,14.14,74450.32,1.5956,1317,13264,120258,7396,2244,8291684.94,22.7,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-23
2017,SI,FR714,BUS_COACH,9967520,575755,4.73,16.66,28259.06,1.6234,853,6548,110695,25260,3223,6606522.79,44.82,POLICE_ADMIN_DATA,BENCHMARK,2025-05-10
2018,BG,RO40,HEAVY_TRUCK,5238628,132681,6.0,10.95,39246.53,1.5307,856,8169,153899,12369,8385,5541927.7,25.83,CARE_ROAD_SAFETY_DB,FLASH,2024-09-27
2019,EE,AT11,LIGHT_COMMERCIAL,7643019,495995,6.11,7.06,56975.73,0.7434,1935,6996,68055,14666,65949,8640354.63,69.64,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-02
2020,HU,MT518,PASSENGER_CAR,8695534,330601,20.68,8.07,53026.55,1.8193,580,2972,67369,15106,6750,14451257.4,34.82,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-27
2021,LU,BE53,MOPED,1299220,61860,4.24,6.13,17621.71,0.7209,846,6610,93651,12598,43389,2000444.43,71.23,POLICE_ADMIN_DATA,BENCHMARK,2024-02-03
2022,RO,LT2,MOTORCYCLE,5658904,755590,25.65,5.43,22758.53,2.239,886,10510,122739,12723,5111,1629839.66,9.89,CARE_ROAD_SAFETY_DB,FLASH,2024-03-01
2023,AT,DE2,BUS_COACH,747090,31042,78.46,12.74,69561.16,1.806,2904,10202,75408,29381,51863,9949887.8,43.8,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-10-17
2024,CZ,MT5,HEAVY_TRUCK,3724151,245099,55.33,16.59,72382.34,1.377,3650,31305,98819,14763,41550,11875194.95,80.95,EEA_TRANSPORT_EMISSIONS,SECOND,2024-01-15
2025,DE,SK55,LIGHT_COMMERCIAL,12101137,556541,29.87,13.65,11092.93,1.4113,258,1866,9030,6366,61168,1644177.97,63.98,POLICE_ADMIN_DATA,BENCHMARK,2024-03-15
2005,LV,EE517,PASSENGER_CAR,5217707,891256,12.36,16.95,51029.9,2.0907,614,4308,128775,2810,47360,7666919.75,37.38,CARE_ROAD_SAFETY_DB,FLASH,2024-05-20
2006,PL,FR6,MOPED,5886755,778547,4.39,12.16,53834.91,1.9212,2076,21974,30418,30315,45830,16478601.31,17.3,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-11-18
2007,ES,GR65,MOTORCYCLE,878101,96330,3.93,9.1,35719.65,2.3905,2414,17865,161115,12007,28929,5795778.84,53.18,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-07
2008,HR,BE303,BUS_COACH,3660537,377869,12.25,13.36,40132.16,2.1509,1556,9106,146980,10607,46201,11136455.3,48.18,POLICE_ADMIN_DATA,BENCHMARK,2025-08-15
2009,FI,LU59,HEAVY_TRUCK,255269,43896,36.06,11.72,26360.39,1.9016,238,1412,24895,26032,25449,1993216.62,42.47,CARE_ROAD_SAFETY_DB,FLASH,2024-11-15
2010,IE,CZ962,LIGHT_COMMERCIAL,6954484,941462,17.29,16.73,34938.9,1.0049,368,4303,63283,22476,71407,6910311.43,17.15,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-10-30
2011,MT,FR444,PASSENGER_CAR,4788693,495657,6.73,13.42,30835.01,0.5737,620,5286,11108,11971,71089,4976091.96,51.49,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-30
2012,SK,SI39,MOPED,5925632,308968,29.09,7.94,84350.65,1.8686,590,6659,81897,15671,17186,12006742.37,51.69,POLICE_ADMIN_DATA,BENCHMARK,2024-06-13
2013,BE,LT123,MOTORCYCLE,3751902,156566,13.21,14.13,41372.78,1.0819,2023,15712,96732,29960,45994,7906800.6,55.67,CARE_ROAD_SAFETY_DB,FLASH,2024-11-07
2014,DK,MT676,BUS_COACH,1971174,318583,10.66,15.22,25830.55,2.3779,780,7565,138576,9189,37715,1891541.98,55.78,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-08
2015,GR,CZ91,HEAVY_TRUCK,2058099,274120,5.01,15.51,13724.84,2.3312,12,49,7822,13854,45353,2384091.58,55.14,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-20
2016,LT,IE647,LIGHT_COMMERCIAL,11107325,410248,7.64,10.21,21262.19,0.2868,259,2123,47406,16137,35355,2977848.06,23.19,POLICE_ADMIN_DATA,BENCHMARK,2024-09-21
2017,PT,FR74,PASSENGER_CAR,6307221,419376,24.56,13.14,32846.04,0.1751,1102,11332,27260,15271,49591,6749050.26,25.29,CARE_ROAD_SAFETY_DB,FLASH,2024-05-27
2018,SE,SI21,MOPED,1335304,54048,26.48,15.05,59678.22,2.3809,2767,27766,60174,13607,5816,7305265.35,33.82,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-04
2019,CY,SE65,MOTORCYCLE,4682198,146384,10.28,9.25,47626.25,1.3347,2082,10510,33103,6588,26392,10294126.83,36.72,EEA_TRANSPORT_EMISSIONS,SECOND,2024-01-26
2020,FR,LU993,BUS_COACH,3639904,437854,81.85,11.93,17131.45,1.604,711,3033,153755,9599,30696,1165826.17,79.37,POLICE_ADMIN_DATA,BENCHMARK,2024-04-26
2021,IT,PL945,HEAVY_TRUCK,1130200,179900,72.37,17.33,25587.14,1.8121,266,2135,66799,15153,33428,3694939.53,37.98,CARE_ROAD_SAFETY_DB,FLASH,2024-01-05
2022,NL,BE15,LIGHT_COMMERCIAL,12327805,1398063,11.39,10.42,3748.55,2.1086,96,728,161276,3676,31732,499434.84,3.69,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-31
2023,SI,SE88,PASSENGER_CAR,7005206,868551,51.05,7.65,61414.5,1.7601,614,3893,64915,10383,18409,6876962.54,19.03,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-11
2024,BG,HU934,MOPED,5892119,580195,70.01,14.17,13929.28,2.0601,637,4182,145281,17327,30337,2252722.73,13.9,POLICE_ADMIN_DATA,BENCHMARK,2025-02-12
2025,EE,LU89,MOTORCYCLE,944724,144706,79.88,5.88,49847.59,2.041,2191,20626,131064,9451,23206,6812919.81,15.68,CARE_ROAD_SAFETY_DB,FLASH,2024-03-23
2005,HU,DK82,BUS_COACH,10374826,971765,17.29,9.14,27262.96,1.0889,530,5564,37692,12009,10734,7846229.46,3.81,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-09-08
2006,LU,IE59,HEAVY_TRUCK,5201548,511330,22.56,7.07,13205.34,1.4071,92,404,79844,19057,27300,2164304.05,22.77,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-05
2007,RO,SI15,LIGHT_COMMERCIAL,8697946,241833,5.12,6.18,37974.42,2.2188,395,1473,67003,10031,61252,8319715.54,5.82,POLICE_ADMIN_DATA,BENCHMARK,2025-03-01
2008,AT,RO4,PASSENGER_CAR,4913030,246181,6.97,14.37,51755.19,0.3803,1192,8843,61445,872,24934,12714338.62,5.03,CARE_ROAD_SAFETY_DB,FLASH,2024-07-21
2009,CZ,PL71,MOPED,299479,9842,38.71,6.57,54478.11,1.9334,3708,12008,130033,3224,12981,13586414.85,14.32,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-03-17
2010,DE,EE75,MOTORCYCLE,4511374,497152,1.83,10.82,49825.4,1.452,1208,12477,90730,4106,16198,7357495.4,38.57,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-02
2011,LV,MT6,BUS_COACH,2231986,55156,8.08,11.87,2636.3,2.2314,107,731,25530,13800,48133,306868.66,46.25,POLICE_ADMIN_DATA,BENCHMARK,2025-03-31
2012,PL,RO526,HEAVY_TRUCK,1800000,187750,13.91,12.48,19137.48,0.5856,545,1828,70216,18073,32996,4644672.9,12.31,CARE_ROAD_SAFETY_DB,FLASH,2026-02-19
2013,ES,HR758,LIGHT_COMMERCIAL,11843610,1604357,40.14,12.02,81620.58,0.3914,4074,22473,51010,20199,62213,17249161.91,9.01,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-02-15
2014,HR,PT220,PASSENGER_CAR,2431901,385019,27.41,6.07,57744.69,1.5941,125,1401,61604,6059,15585,8238656.82,7.27,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-04
2015,FI,CZ90,MOPED,2408610,333117,3.28,12.06,20129.05,2.2502,756,5939,36750,12852,23837,4786846.64,11.84,POLICE_ADMIN_DATA,BENCHMARK,2025-09-15
2016,IE,SK935,MOTORCYCLE,4756088,357540,6.26,5.73,32078.47,0.7396,961,4877,74021,4460,14056,8205877.5,10.66,CARE_ROAD_SAFETY_DB,FLASH,2024-10-17
2017,MT,EE30,BUS_COACH,5320794,584760,20.18,9.8,57647.88,1.6407,2188,13982,23466,11999,42171,5448175.85,52.05,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-04-02
2018,SK,FI436,HEAVY_TRUCK,5954206,1007024,22.48,16.09,2613.43,1.4078,44,226,38124,8035,47697,605872.44,44.84,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-25
2019,BE,SI278,LIGHT_COMMERCIAL,7811777,1182273,8.33,14.08,17737.25,1.9743,165,1141,103437,10321,62728,5045281.83,77.69,POLICE_ADMIN_DATA,BENCHMARK,2025-10-13
2020,DK,AT789,PASSENGER_CAR,7331692,331491,82.75,9.53,63691.98,2.2279,3010,10869,128313,23909,48481,5826023.49,3.48,CARE_ROAD_SAFETY_DB,FLASH,2025-04-11
2021,GR,LT34,MOPED,8019132,540609,65.69,9.19,10518.82,1.0814,323,1615,35548,4923,8503,1725946.66,48.18,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-02-10
2022,LT,AT21,MOTORCYCLE,5552881,770902,93.14,11.02,54372.18,1.2697,2141,22630,141033,23851,47315,1948046.3,17.66,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-16
2023,PT,PL921,BUS_COACH,5643956,373592,60.19,9.69,8217.66,0.8553,44,277,29979,14954,11448,551785.69,4.78,POLICE_ADMIN_DATA,BENCHMARK,2024-05-19
2024,SE,DE35,HEAVY_TRUCK,864733,83609,81.62,7.12,45328.41,0.6742,703,5662,80580,10200,138,2109675.08,67.73,CARE_ROAD_SAFETY_DB,FLASH,2024-03-07
2025,CY,FR423,LIGHT_COMMERCIAL,13230727,735069,81.31,15.45,40365.75,0.996,118,1097,15642,6441,10444,6478987.6,34.18,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-12
2005,FR,PT417,PASSENGER_CAR,1098473,106329,8.01,9.0,14310.09,1.5071,421,3833,82730,418,46109,3951595.04,6.84,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-14
2006,IT,AT15,MOPED,4394137,314545,6.92,9.68,16637.39,0.7452,677,5173,70367,26652,40139,4671213.57,26.79,POLICE_ADMIN_DATA,BENCHMARK,2025-05-18
2007,NL,LU236,MOTORCYCLE,9869856,1750591,7.13,15.33,23937.22,0.514,656,3554,31189,10700,731,4441350.0,52.28,CARE_ROAD_SAFETY_DB,FLASH,2025-05-19
2008,SI,PT661,BUS_COACH,5886626,268109,25.16,7.98,98584.72,2.3477,2053,16616,46537,1052,18055,22882450.58,22.6,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-13
2009,BG,DE892,HEAVY_TRUCK,11555571,1191076,24.63,12.22,10038.59,2.3175,473,2521,69326,12692,25990,1223036.76,3.99,EEA_TRANSPORT_EMISSIONS,SECOND,2026-02-21
2010,EE,RO599,LIGHT_COMMERCIAL,7978694,512077,26.85,7.94,47505.53,2.2237,1419,8589,130532,6896,38976,7111510.88,7.79,POLICE_ADMIN_DATA,BENCHMARK,2025-03-07
2011,HU,LT320,PASSENGER_CAR,11038088,262330,22.19,13.59,41443.34,0.4298,1647,10826,65507,13443,6969,4987403.24,10.69,CARE_ROAD_SAFETY_DB,FLASH,2026-02-24
