lab_skills_reference_year,lab_skills_country_iso2,lab_skills_region_nuts_code,lab_skills_occupation_isco_code,lab_skills_vacancies_count,lab_skills_vacancy_rate_pct,lab_skills_hard_to_fill_share_pct,lab_skills_time_to_hire_days_median,lab_skills_skill_cluster_code,lab_skills_training_places_count,lab_skills_reskilling_participants_count,lab_skills_migration_for_work_share_pct,lab_skills_qualification_mismatch_rate_pct,lab_skills_green_jobs_share_pct,lab_skills_digital_jobs_share_pct,lab_skills_ai_jobs_share_pct,lab_skills_wage_premium_pct,lab_skills_eures_job_postings_count,lab_skills_data_source,lab_skills_data_extract_date
2018,ES,LU4,2_PROFESSIONALS,162362,2.72,15.68,73.61,PUBLIC_ADMIN,220334,122465,16.52,8.03,1.48,27.15,3.45,14.27,51570,EURES_EXPORT,2025-08-08
2019,HR,FI10,4_CLERICAL,40937,2.3,12.42,88.78,ICT,224049,160343,13.22,16.1,3.73,50.28,7.08,13.23,14620,PUBLIC_EMPLOYMENT_SERVICE,2025-06-10
2020,FI,CY87,6_AGRI,70135,0.96,22.49,40.63,CONSTRUCTION,253498,21704,15.83,10.45,5.91,19.39,6.15,11.74,50638,SECTOR_SKILLS_COUNCIL,2025-07-04
2021,IE,GR828,8_PLANT_MACHINE,130591,0.62,18.77,70.73,HOSPITALITY,66577,17794,5.33,26.9,8.6,17.49,3.28,3.62,19322,VACANCY_SCRAPE_AGGREGATE,2024-07-12
2022,MT,LV8,1_MANAGERS,110812,6.89,34.03,80.85,EDUCATION,103674,68762,1.23,15.2,23.12,21.94,9.18,9.45,54823,EURES_EXPORT,2024-01-14
2023,SK,NL562,3_TECHNICIANS,36263,3.55,14.95,33.92,AGRI,160122,176365,1.87,29.1,4.04,22.24,2.12,2.25,52348,PUBLIC_EMPLOYMENT_SERVICE,2024-09-15
2024,BE,EE647,5_SERVICE_SALES,117913,9.0,69.34,76.68,GREEN_ENERGY,181580,214406,9.72,33.11,12.25,21.98,0.26,14.1,118496,SECTOR_SKILLS_COUNCIL,2025-12-19
2025,DK,IE4,7_CRAFT,217664,6.07,69.93,78.59,HEALTH_CARE,205914,198345,8.89,21.86,13.66,29.06,1.49,7.76,25407,VACANCY_SCRAPE_AGGREGATE,2025-05-10
2006,GR,FR22,9_ELEMENTARY,63047,3.52,54.63,21.35,MANUFACTURING,90492,72791,10.05,31.77,4.81,11.08,0.57,7.1,22949,EURES_EXPORT,2025-02-13
2007,LT,EE65,2_PROFESSIONALS,45747,2.2,8.79,11.61,LOGISTICS,110494,87726,8.86,16.42,8.43,18.68,2.75,4.2,22097,PUBLIC_EMPLOYMENT_SERVICE,2024-04-21
2008,PT,FI3,4_CLERICAL,22938,2.34,37.88,60.11,FINANCE,122831,68857,4.66,27.13,5.21,16.55,5.42,13.63,65893,SECTOR_SKILLS_COUNCIL,2024-07-10
2009,SE,NL408,6_AGRI,86411,1.1,19.75,36.53,PUBLIC_ADMIN,202014,49615,8.21,10.39,2.18,14.85,2.16,17.13,128251,VACANCY_SCRAPE_AGGREGATE,2025-10-11
2010,CY,AT974,8_PLANT_MACHINE,310325,3.08,24.95,22.65,ICT,306360,73168,9.94,16.27,6.92,14.85,4.5,12.27,118234,EURES_EXPORT,2024-01-20
2011,FR,HR81,1_MANAGERS,320540,7.8,43.54,87.8,CONSTRUCTION,177299,79655,10.99,23.07,3.73,10.58,2.22,20.57,32194,PUBLIC_EMPLOYMENT_SERVICE,2024-02-06
2012,IT,NL998,3_TECHNICIANS,181132,3.14,44.09,55.35,HOSPITALITY,15913,96073,16.76,28.28,9.97,15.25,3.11,2.01,89848,SECTOR_SKILLS_COUNCIL,2025-06-03
2013,NL,LT93,5_SERVICE_SALES,91071,1.76,42.43,16.04,EDUCATION,101262,4685,14.98,11.45,4.08,18.4,0.76,8.35,10046,VACANCY_SCRAPE_AGGREGATE,2025-11-14
2014,SI,LT270,7_CRAFT,154393,3.08,55.07,18.87,AGRI,11163,6993,13.49,19.31,11.92,6.19,2.99,17.56,99477,EURES_EXPORT,2024-08-03
2015,BG,HR38,9_ELEMENTARY,98491,2.08,47.9,35.59,GREEN_ENERGY,144068,125137,3.55,20.27,4.37,5.95,3.48,32.37,48030,PUBLIC_EMPLOYMENT_SERVICE,2025-03-18
2016,EE,SE619,2_PROFESSIONALS,178781,2.76,53.47,107.76,HEALTH_CARE,29509,63037,11.04,16.41,12.72,20.19,1.08,9.88,63219,SECTOR_SKILLS_COUNCIL,2025-12-11
2017,HU,MT842,4_CLERICAL,145889,2.43,26.8,75.74,MANUFACTURING,209591,123144,10.63,26.25,13.02,15.6,2.72,9.75,56335,VACANCY_SCRAPE_AGGREGATE,2024-12-11
2018,LU,RO1,6_AGRI,164083,0.49,38.51,15.01,LOGISTICS,158193,38525,10.23,10.64,5.96,28.25,0.63,4.15,147685,EURES_EXPORT,2024-06-08
2019,RO,EE38,8_PLANT_MACHINE,112090,2.74,24.48,38.4,FINANCE,6954,31659,8.21,18.37,13.85,4.34,5.97,15.22,150334,PUBLIC_EMPLOYMENT_SERVICE,2025-04-09
2020,AT,DE46,1_MANAGERS,89498,4.51,29.26,79.76,PUBLIC_ADMIN,124502,189623,5.81,20.85,5.64,13.02,4.65,7.05,72410,SECTOR_SKILLS_COUNCIL,2025-05-18
2021,CZ,PT359,3_TECHNICIANS,291895,7.32,44.93,82.25,ICT,367309,218312,1.8,29.1,5.9,12.09,10.33,11.17,133467,VACANCY_SCRAPE_AGGREGATE,2025-10-20
2022,DE,LV755,5_SERVICE_SALES,128306,1.99,23.14,11.55,CONSTRUCTION,7787,36072,12.51,23.69,21.14,11.37,6.84,14.46,82965,EURES_EXPORT,2024-03-29
2023,LV,EE5,7_CRAFT,57963,2.41,8.99,54.2,HOSPITALITY,6844,182473,1.83,30.31,9.24,8.85,6.17,10.21,43179,PUBLIC_EMPLOYMENT_SERVICE,2025-05-06
2024,PL,RO797,9_ELEMENTARY,236847,0.41,39.58,90.14,EDUCATION,87994,154680,15.6,30.35,6.56,9.96,6.26,11.77,33109,SECTOR_SKILLS_COUNCIL,2025-06-03
2025,ES,DE83,2_PROFESSIONALS,28538,3.19,50.41,68.44,AGRI,178644,241334,14.07,28.79,14.1,3.84,9.38,6.19,60971,VACANCY_SCRAPE_AGGREGATE,2025-02-14
2006,HR,EE73,4_CLERICAL,81266,1.62,45.5,31.3,GREEN_ENERGY,12123,14596,7.57,22.01,3.51,2.38,0.92,0.74,77733,EURES_EXPORT,2025-01-21
2007,FI,HU699,6_AGRI,242687,4.3,27.12,17.88,HEALTH_CARE,255677,96930,15.04,26.53,7.82,6.5,2.79,9.27,90819,PUBLIC_EMPLOYMENT_SERVICE,2024-12-01
2008,IE,AT387,8_PLANT_MACHINE,35391,1.27,8.92,45.59,MANUFACTURING,237297,133612,16.69,29.42,2.93,10.9,1.23,17.42,56939,SECTOR_SKILLS_COUNCIL,2024-03-17
2009,MT,AT854,1_MANAGERS,34838,3.59,42.29,81.47,LOGISTICS,91331,98081,1.71,28.77,7.14,2.12,0.96,13.96,153976,VACANCY_SCRAPE_AGGREGATE,2025-07-21
2010,SK,LV708,3_TECHNICIANS,173940,4.41,14.44,32.73,FINANCE,1779,56709,12.34,27.0,4.81,16.78,1.6,10.11,6867,EURES_EXPORT,2025-08-18
2011,BE,FR4,5_SERVICE_SALES,78017,0.59,21.99,41.3,PUBLIC_ADMIN,144420,48993,8.69,32.18,5.64,6.08,3.06,12.22,139354,PUBLIC_EMPLOYMENT_SERVICE,2026-01-27
2012,DK,LV43,7_CRAFT,251700,9.02,20.19,62.59,ICT,242450,94887,16.02,29.04,8.25,21.37,7.88,27.07,141795,SECTOR_SKILLS_COUNCIL,2025-10-30
2013,GR,IT4,9_ELEMENTARY,151798,6.84,56.49,65.17,CONSTRUCTION,26625,114033,11.46,12.24,6.43,18.45,0.67,13.7,21701,VACANCY_SCRAPE_AGGREGATE,2024-10-23
2014,LT,PL5,2_PROFESSIONALS,52013,1.02,41.61,18.81,HOSPITALITY,210058,89356,8.26,20.41,1.03,4.41,2.31,3.26,142023,EURES_EXPORT,2024-08-01
2015,PT,LV130,4_CLERICAL,42427,4.42,35.09,35.8,EDUCATION,241423,80802,10.08,14.45,2.93,10.99,4.1,1.93,58209,PUBLIC_EMPLOYMENT_SERVICE,2024-07-16
2016,SE,PT53,6_AGRI,46156,3.79,56.06,50.51,AGRI,261553,42053,3.64,31.07,12.84,6.55,3.84,17.07,6865,SECTOR_SKILLS_COUNCIL,2024-06-01
2017,CY,BG939,8_PLANT_MACHINE,131020,1.41,27.58,56.66,GREEN_ENERGY,585,113745,8.14,18.69,11.45,6.59,1.05,13.26,147714,VACANCY_SCRAPE_AGGREGATE,2026-01-29
2018,FR,LV452,1_MANAGERS,307706,8.08,64.59,64.26,HEALTH_CARE,264498,108696,19.46,21.42,3.21,29.86,2.68,27.02,160325,EURES_EXPORT,2025-04-15
2019,IT,IE58,3_TECHNICIANS,152558,2.11,33.79,33.32,MANUFACTURING,143938,110217,9.22,9.74,13.62,25.13,4.11,15.99,5627,PUBLIC_EMPLOYMENT_SERVICE,2024-07-29
2020,NL,GR981,5_SERVICE_SALES,102333,1.79,40.48,87.06,LOGISTICS,175274,70485,6.94,8.26,19.13,12.95,5.96,15.68,220565,SECTOR_SKILLS_COUNCIL,2024-01-27
2021,SI,BE6,7_CRAFT,63843,3.83,17.81,38.92,FINANCE,214996,83675,13.06,26.42,18.11,22.15,12.43,17.72,132209,VACANCY_SCRAPE_AGGREGATE,2025-11-24
2022,BG,GR276,9_ELEMENTARY,89533,3.88,53.02,66.99,PUBLIC_ADMIN,12500,19305,3.97,32.09,12.74,14.48,6.85,11.01,116702,EURES_EXPORT,2025-05-26
2023,EE,DK2,2_PROFESSIONALS,72074,9.02,61.31,118.56,ICT,47561,26874,13.58,14.88,6.7,40.52,16.68,21.52,174819,PUBLIC_EMPLOYMENT_SERVICE,2025-02-28
2024,HU,SI865,4_CLERICAL,112603,5.56,43.14,98.16,CONSTRUCTION,192592,281732,12.2,12.91,14.44,17.45,6.56,1.89,36482,SECTOR_SKILLS_COUNCIL,2024-02-23
2025,LU,CZ8,6_AGRI,259416,1.06,27.94,78.99,HOSPITALITY,40984,47215,1.29,28.43,1.31,11.08,9.7,15.38,29000,VACANCY_SCRAPE_AGGREGATE,2024-10-12
2006,RO,PT607,8_PLANT_MACHINE,65197,3.18,44.06,110.26,EDUCATION,133189,68556,15.33,27.9,1.14,8.02,0.99,3.65,38073,EURES_EXPORT,2025-10-04
2007,AT,CZ9,1_MANAGERS,66949,0.53,13.46,24.08,AGRI,113017,12329,7.1,28.25,6.07,19.16,3.77,16.17,72744,PUBLIC_EMPLOYMENT_SERVICE,2024-05-01
2008,CZ,HR136,3_TECHNICIANS,104145,8.62,19.7,76.12,GREEN_ENERGY,57011,117815,12.73,15.55,5.45,3.03,2.5,7.31,67958,SECTOR_SKILLS_COUNCIL,2024-07-10
2009,DE,IT246,5_SERVICE_SALES,180385,7.43,51.76,93.25,HEALTH_CARE,250494,112971,7.24,24.14,10.12,12.75,3.86,14.62,54898,VACANCY_SCRAPE_AGGREGATE,2024-04-26
2010,LV,RO630,7_CRAFT,189424,6.91,13.42,64.1,MANUFACTURING,110476,50339,3.8,15.3,10.42,17.52,1.51,17.6,25971,EURES_EXPORT,2025-10-27
2011,PL,LV58,9_ELEMENTARY,222822,0.85,9.66,20.07,LOGISTICS,228886,61588,12.49,20.08,10.56,13.81,3.61,14.82,149134,PUBLIC_EMPLOYMENT_SERVICE,2025-12-15
2012,ES,PL20,2_PROFESSIONALS,192458,3.23,55.12,19.63,FINANCE,4448,120258,6.44,22.84,3.6,11.31,6.59,20.33,51536,SECTOR_SKILLS_COUNCIL,2024-01-14
2013,HR,ES363,4_CLERICAL,20323,1.68,39.15,47.61,PUBLIC_ADMIN,70518,11726,9.77,19.88,11.61,18.56,3.88,10.15,104907,VACANCY_SCRAPE_AGGREGATE,2024-06-23
2014,FI,DE84,6_AGRI,266690,0.72,23.75,86.47,ICT,16017,60093,9.6,18.79,6.04,4.25,5.21,26.78,192004,EURES_EXPORT,2025-04-19
2015,IE,RO402,8_PLANT_MACHINE,83211,2.65,46.7,96.44,CONSTRUCTION,49111,72204,19.21,22.68,2.28,2.71,2.75,1.3,108951,PUBLIC_EMPLOYMENT_SERVICE,2024-11-05
2016,MT,IT917,1_MANAGERS,198653,4.82,48.0,96.1,HOSPITALITY,244839,99782,4.34,19.81,11.08,7.55,3.86,21.05,111207,SECTOR_SKILLS_COUNCIL,2024-01-25
2017,SK,FR925,3_TECHNICIANS,4627,0.8,17.22,18.21,EDUCATION,265024,81629,3.74,17.71,4.18,11.0,0.77,18.26,141744,VACANCY_SCRAPE_AGGREGATE,2024-08-25
2018,BE,IT98,5_SERVICE_SALES,11541,1.66,35.78,62.85,AGRI,105847,97465,16.22,27.77,11.82,9.73,2.07,1.29,118846,EURES_EXPORT,2025-10-13
2019,DK,SE29,7_CRAFT,141032,9.03,47.61,95.04,GREEN_ENERGY,129249,115849,2.48,22.95,9.89,7.75,1.94,29.89,55486,PUBLIC_EMPLOYMENT_SERVICE,2024-07-15
2020,GR,NL631,9_ELEMENTARY,18863,1.29,38.07,81.59,HEALTH_CARE,50262,38035,18.45,10.79,13.17,6.35,1.38,14.02,168504,SECTOR_SKILLS_COUNCIL,2024-12-07
2021,LT,MT485,2_PROFESSIONALS,41050,1.84,18.55,40.47,MANUFACTURING,261559,215215,3.45,16.27,10.0,5.79,2.07,15.81,74495,VACANCY_SCRAPE_AGGREGATE,2025-10-29
2022,PT,EE729,4_CLERICAL,10125,5.19,48.26,77.67,LOGISTICS,174601,271251,7.94,16.57,4.75,20.88,6.57,16.25,125199,EURES_EXPORT,2025-11-29
2023,SE,BG431,6_AGRI,44874,5.66,20.4,65.42,FINANCE,174634,253267,8.01,11.4,8.49,9.38,13.04,4.85,68231,PUBLIC_EMPLOYMENT_SERVICE,2025-11-23
2024,CY,HR69,8_PLANT_MACHINE,59270,5.85,24.94,13.69,PUBLIC_ADMIN,189514,98048,9.02,8.47,5.53,26.55,7.03,17.25,96786,SECTOR_SKILLS_COUNCIL,2025-06-11
2025,FR,CZ512,1_MANAGERS,141458,11.66,64.05,51.29,ICT,274157,138597,14.5,27.05,19.86,26.01,9.73,30.03,65402,VACANCY_SCRAPE_AGGREGATE,2024-04-08
2006,IT,IT950,3_TECHNICIANS,2951,5.34,27.51,80.09,CONSTRUCTION,43259,60418,12.19,15.97,11.89,10.7,0.56,12.11,137744,EURES_EXPORT,2025-11-15
2007,NL,BE58,5_SERVICE_SALES,172506,0.57,28.51,35.93,HOSPITALITY,63335,56139,14.37,21.45,6.42,6.12,3.35,8.96,25378,PUBLIC_EMPLOYMENT_SERVICE,2025-02-14
2008,SI,DE54,7_CRAFT,96908,2.2,35.69,42.12,EDUCATION,105009,46435,6.53,27.78,11.68,4.38,3.62,2.25,149100,SECTOR_SKILLS_COUNCIL,2025-11-10
2009,BG,SE201,9_ELEMENTARY,84404,3.77,47.83,66.92,AGRI,144821,34954,9.63,18.47,7.39,15.62,2.71,3.08,101873,VACANCY_SCRAPE_AGGREGATE,2024-10-28
2010,EE,PT784,2_PROFESSIONALS,286894,8.07,20.73,16.13,GREEN_ENERGY,117454,131390,16.65,33.53,19.01,1.7,1.53,10.52,127508,EURES_EXPORT,2025-02-02
2011,HU,EE163,4_CLERICAL,41901,5.51,40.12,77.61,HEALTH_CARE,31373,19780,2.49,13.87,4.09,8.71,3.87,12.39,88053,PUBLIC_EMPLOYMENT_SERVICE,2025-11-02
2012,LU,SE597,6_AGRI,29653,6.64,55.81,34.01,MANUFACTURING,266687,81308,2.07,26.24,1.56,17.27,2.43,15.28,121095,SECTOR_SKILLS_COUNCIL,2025-07-09
2013,RO,MT573,8_PLANT_MACHINE,128813,6.34,26.86,46.58,LOGISTICS,211876,42235,9.0,14.57,11.25,13.31,0.38,15.49,32579,VACANCY_SCRAPE_AGGREGATE,2025-12-09
2014,AT,DK5,1_MANAGERS,194750,4.63,21.9,79.52,FINANCE,73721,123304,3.68,26.34,8.13,19.7,1.66,17.31,142666,EURES_EXPORT,2025-01-26
2015,CZ,ES46,3_TECHNICIANS,54823,0.71,31.13,54.84,PUBLIC_ADMIN,127861,38160,6.15,20.72,6.55,17.11,0.16,10.88,29319,PUBLIC_EMPLOYMENT_SERVICE,2024-07-04
2016,DE,AT97,5_SERVICE_SALES,123783,1.76,23.14,25.25,ICT,27713,7672,14.13,27.62,7.12,20.27,2.82,24.86,64849,SECTOR_SKILLS_COUNCIL,2025-04-30
2017,LV,LU5,7_CRAFT,53894,6.12,17.2,72.8,CONSTRUCTION,181337,106208,17.73,25.54,8.69,10.17,0.09,13.6,94249,VACANCY_SCRAPE_AGGREGATE,2024-01-29
2018,PL,DE981,9_ELEMENTARY,233140,5.04,16.35,66.99,HOSPITALITY,210652,60913,8.7,9.66,7.01,22.3,3.41,6.37,143568,EURES_EXPORT,2025-08-14
2019,ES,FI59,2_PROFESSIONALS,160508,4.63,40.08,100.09,EDUCATION,194179,34585,6.12,14.43,2.55,13.22,1.49,13.31,116534,PUBLIC_EMPLOYMENT_SERVICE,2025-03-02
2020,HR,BG15,4_CLERICAL,124052,2.45,45.87,21.43,AGRI,230332,144937,3.64,28.68,7.03,10.39,2.56,1.64,3256,SECTOR_SKILLS_COUNCIL,2024-03-20
2021,FI,GR4,6_AGRI,300042,3.04,47.72,74.53,GREEN_ENERGY,238836,319489,11.67,36.77,35.67,18.2,0.54,13.6,55334,VACANCY_SCRAPE_AGGREGATE,2025-09-09
2022,IE,AT82,8_PLANT_MACHINE,273191,3.96,31.72,57.44,HEALTH_CARE,247488,52565,19.04,31.69,5.96,17.03,4.37,26.12,197964,EURES_EXPORT,2024-09-15
2023,MT,LT22,1_MANAGERS,246940,3.75,14.0,52.12,MANUFACTURING,133781,43905,6.81,32.23,5.1,4.68,2.11,5.17,150422,PUBLIC_EMPLOYMENT_SERVICE,2025-10-17
2024,SK,CY449,3_TECHNICIANS,133760,6.46,49.86,111.96,LOGISTICS,157954,90295,5.93,30.8,11.82,6.04,2.31,12.24,217636,SECTOR_SKILLS_COUNCIL,2025-10-22
2025,BE,AT11,5_SERVICE_SALES,199310,7.56,23.39,74.87,FINANCE,101877,28798,13.49,30.46,11.62,14.73,12.24,8.43,68860,VACANCY_SCRAPE_AGGREGATE,2025-10-22
2006,DK,LT13,7_CRAFT,88469,1.78,18.78,63.48,PUBLIC_ADMIN,217336,130193,7.94,8.33,2.36,19.08,0.36,0.64,13830,EURES_EXPORT,2025-02-04
2007,GR,GR45,9_ELEMENTARY,67623,2.04,19.83,56.77,ICT,223274,60203,10.06,22.11,5.42,15.31,1.66,15.8,67988,PUBLIC_EMPLOYMENT_SERVICE,2024-09-26
2008,LT,HU67,2_PROFESSIONALS,209906,5.67,54.29,38.36,CONSTRUCTION,59699,4191,16.52,7.79,3.47,11.47,2.3,12.22,131932,SECTOR_SKILLS_COUNCIL,2024-11-27
2009,PT,SK143,4_CLERICAL,71971,3.79,51.37,60.66,HOSPITALITY,204592,61986,5.38,30.73,2.57,12.89,3.24,8.5,5992,VACANCY_SCRAPE_AGGREGATE,2025-04-03
2010,SE,SE711,6_AGRI,177382,0.87,46.25,80.81,EDUCATION,69725,48496,7.74,12.93,7.12,15.82,3.62,14.85,145858,EURES_EXPORT,2025-02-15
2011,CY,BG32,8_PLANT_MACHINE,128033,2.58,23.24,38.91,AGRI,242492,9419,5.02,28.37,4.86,3.32,3.18,17.5,89723,PUBLIC_EMPLOYMENT_SERVICE,2025-08-05
2012,FR,PL931,1_MANAGERS,92307,6.87,71.78,121.72,GREEN_ENERGY,245332,2595,1.8,14.4,17.78,6.98,2.25,7.79,47151,SECTOR_SKILLS_COUNCIL,2025-07-22
2013,IT,DK4,3_TECHNICIANS,315456,6.17,24.38,73.36,HEALTH_CARE,281291,70663,5.99,27.79,4.31,8.36,2.51,17.85,61133,VACANCY_SCRAPE_AGGREGATE,2024-06-08
2014,NL,SE988,5_SERVICE_SALES,186279,5.58,27.23,20.02,MANUFACTURING,259169,41217,7.37,25.46,2.53,2.02,4.01,9.66,110880,EURES_EXPORT,2025-04-02
2015,SI,LT416,7_CRAFT,117322,3.05,28.32,26.95,LOGISTICS,197857,67461,2.07,29.02,7.2,14.83,3.45,10.84,189327,PUBLIC_EMPLOYMENT_SERVICE,2024-05-29
2016,BG,DK936,9_ELEMENTARY,95255,5.98,10.7,79.3,FINANCE,173037,107600,14.43,13.87,6.04,28.82,1.45,7.56,133963,SECTOR_SKILLS_COUNCIL,2024-02-15
