energy_use_billing_month,energy_use_sector_code,energy_use_end_use_category,energy_use_sales_mwh,energy_use_customer_count,energy_use_average_kwh_per_customer,energy_use_peak_demand_mw,energy_use_load_factor_pct,energy_use_time_of_use_share_pct,energy_use_demand_response_participant_count,energy_use_electrification_index,energy_use_ev_charging_load_mwh,energy_use_heat_pump_adoption_rate,energy_use_distributed_solar_generation_mwh,energy_use_battery_storage_dispatch_mwh,energy_use_natural_gas_therms_equiv,energy_use_propane_gallons_equiv,energy_use_energy_burden_pct_households,energy_use_weather_normalization_factor,energy_use_meter_data_granularity
2022-05,commercial,ev_charging,86857.45,37191,2335.44,182.32,71.97,44.15,6228,0.787,2427.09,0.066,7497.4,75.35,120326.86,17822.06,12.48,0.944,30min
2020-06,public,cooling,182781.1,323515,564.98,282.12,69.35,0.5,1310,0.45,192.14,0.107,1211.12,102.51,22257.69,13934.61,16.8,1.033,30min
2021-08,agriculture,lighting,173062.22,159464,1085.27,503.81,55.42,25.54,161,0.593,290.46,0.143,61.65,255.28,138555.15,38224.48,16.33,1.34,monthly
2022-07,residential,motors,31825.52,361867,87.95,90.25,59.3,25.56,7845,0.348,612.17,0.131,5884.21,1248.8,85233.91,9307.56,6.18,1.073,hourly
2025-07,commercial,motors,109208.11,4725,23112.83,244.95,88.46,24.51,1450,0.588,3108.73,0.051,7411.79,904.51,137498.91,59027.49,10.88,1.15,monthly
2021-05,agriculture,irrigation,22981.43,7809,2942.94,28.46,58.04,19.28,1415,0.734,409.68,0.058,672.17,1948.52,43609.09,13049.19,7.68,0.947,15min
2025-10,public,ev_charging,53622.68,86835,617.52,68.0,63.55,9.82,1321,0.958,610.92,0.11,1494.99,1042.59,89681.14,23213.37,11.92,0.869,daily
2019-08,residential,motors,208610.17,126699,1646.5,351.74,48.16,12.69,11910,0.7,3745.32,0.159,5198.1,1371.67,53967.7,41050.69,11.42,0.951,15min
2020-05,commercial,irrigation,127413.84,47500,2682.4,360.99,62.93,5.61,4564,0.667,1346.29,0.065,1560.57,1393.61,49663.14,4260.67,9.1,0.849,hourly
2021-12,agriculture,appliances,152160.65,78221,1945.27,408.2,81.15,9.23,235,0.322,118.27,0.044,633.63,652.46,10494.77,11593.97,14.21,1.027,15min
2021-05,agriculture,ev_charging,216477.18,172976,1251.49,516.7,42.29,17.51,257,0.846,4834.86,0.076,97.63,1792.44,72457.95,38255.62,5.03,0.909,monthly
2020-06,industrial,heating,183251.76,1736,105559.77,238.09,63.22,11.63,1316,0.176,1840.86,0.15,565.08,1047.0,117800.56,6071.64,6.99,0.907,30min
2023-03,industrial,irrigation,71468.77,534,133836.65,126.25,38.75,17.42,1086,0.249,3854.16,0.087,821.69,2048.85,61006.47,19907.71,12.78,0.964,monthly
2020-06,residential,lighting,48483.46,28227,1717.63,85.55,45.86,29.31,24381,0.3,230.78,0.022,6668.67,415.84,124136.25,41889.87,5.06,1.019,30min
2020-08,public,lighting,165414.4,361543,457.52,300.4,69.54,17.92,1231,0.404,535.59,0.137,355.04,282.48,18344.55,33759.99,4.54,0.901,15min
2020-02,residential,heating,85913.6,441827,194.45,173.75,55.49,21.84,26847,0.558,2994.95,0.04,2611.54,1876.37,41448.69,8658.82,6.32,0.922,monthly
2021-10,commercial,cooling,140355.65,7310,19200.5,282.4,30.98,14.57,2670,0.656,519.61,0.0,1551.84,670.83,104494.81,37814.43,3.4,1.05,15min
2019-06,industrial,process,199934.05,1454,137506.22,574.9,57.41,32.3,1236,0.472,317.47,0.089,832.34,1093.9,107858.4,29899.82,3.07,1.022,daily
2021-07,commercial,irrigation,246913.1,10800,22862.32,318.03,58.18,21.43,6431,0.555,480.66,0.078,944.86,363.58,57199.51,20600.35,0.5,0.7,hourly
2025-07,industrial,cooling,212704.6,1165,182579.06,604.73,60.72,8.57,1322,0.667,161.46,0.083,442.52,71.18,26923.2,25702.68,0.5,1.007,30min
2023-11,commercial,ev_charging,72038.77,40041,1799.13,128.26,44.84,23.27,61,0.243,626.24,0.073,2282.04,1076.33,69024.46,3352.54,7.17,1.072,daily
2021-02,industrial,motors,122079.1,1662,73453.13,303.78,44.59,9.44,1431,0.476,488.18,0.077,1262.95,1549.93,117333.56,6387.42,6.11,1.11,monthly
2021-11,public,ev_charging,105383.7,435257,242.12,241.04,71.66,14.52,1014,0.738,3902.2,0.08,508.36,498.39,138237.81,29281.26,7.44,1.17,30min
2021-03,public,cooling,240748.34,393339,612.06,602.04,51.53,19.07,828,0.708,37.57,0.149,1246.41,644.32,49077.97,30932.42,4.61,0.919,30min
2024-02,commercial,cooling,163435.26,23649,6910.87,184.52,46.98,10.41,488,0.232,509.64,0.032,1141.02,2335.36,107727.31,29039.35,11.69,0.941,30min
2019-02,public,process,244836.11,392773,623.35,668.79,62.42,18.04,1009,0.529,618.1,0.007,240.38,1769.83,149721.19,58093.18,16.04,0.949,hourly
2019-09,agriculture,irrigation,204277.21,89108,2292.47,543.65,38.98,15.89,915,0.52,3297.54,0.043,280.52,586.51,109200.44,5473.49,7.31,0.835,hourly
2022-11,commercial,ev_charging,177891.57,45739,3889.28,201.8,28.39,21.68,7828,0.334,3798.16,0.255,3401.39,2207.18,123868.9,23595.37,8.73,1.022,30min
2026-06,public,cooling,193298.18,256004,755.06,384.45,72.98,18.73,1427,0.369,262.2,0.205,61.73,946.6,18375.4,45388.96,12.53,0.988,daily
2021-09,residential,appliances,249820.82,58704,4255.6,662.35,40.74,19.1,5733,0.66,464.16,0.16,4625.25,213.32,71169.44,39117.1,2.74,1.064,15min
2020-11,commercial,motors,10509.07,23075,455.43,19.48,39.71,7.18,7961,0.305,461.37,0.105,6549.95,1698.33,75702.25,23677.05,1.65,0.849,hourly
2021-02,commercial,process,72778.78,33573,2167.78,91.39,61.08,16.96,7537,0.45,272.65,0.149,4546.15,1966.17,68416.75,22001.61,12.3,0.948,hourly
2020-05,industrial,cooling,199931.03,1198,166887.34,404.52,55.88,2.45,531,0.515,239.84,0.05,806.96,2176.77,104908.36,23513.96,7.94,1.159,daily
2024-07,public,heating,23898.0,193705,123.37,61.83,47.63,24.37,1107,0.156,285.53,0.085,1062.72,2055.75,29825.46,21555.34,4.44,1.187,hourly
2019-02,industrial,motors,66157.16,1359,48680.77,88.91,38.13,19.14,310,0.662,155.58,0.092,488.8,1427.98,19624.32,37353.94,13.92,1.033,30min
2023-01,commercial,heating,46221.44,20065,2303.59,90.99,48.53,14.64,3135,0.509,714.95,0.107,4018.09,1277.62,122740.92,27404.94,10.17,1.149,hourly
2023-01,public,cooling,175917.0,440653,399.22,475.6,82.53,21.31,550,0.412,4483.73,0.136,1079.5,110.43,6308.45,39769.86,5.54,0.888,15min
2019-10,residential,motors,232770.19,294855,789.44,587.26,51.76,2.77,10643,0.415,1027.29,0.047,3301.12,2118.75,139021.11,44266.72,7.04,0.974,15min
2019-05,public,motors,183918.85,469955,391.35,357.31,28.4,29.96,99,0.656,2272.8,0.053,331.47,289.82,63700.67,4130.28,7.16,1.019,hourly
2026-03,agriculture,heating,46958.55,96335,487.45,118.93,62.59,19.94,383,0.592,652.0,0.149,229.73,1194.7,54205.76,10952.09,11.47,1.097,daily
2019-05,agriculture,appliances,213661.81,129397,1651.21,523.76,54.5,18.44,875,0.411,4638.02,0.087,1385.34,805.47,96378.68,33364.83,3.95,0.795,30min
2022-05,agriculture,process,146129.91,9952,14683.47,203.21,48.14,12.75,1478,0.508,717.46,0.159,1412.69,947.45,7263.25,1531.41,8.96,1.024,30min
2022-10,public,motors,154976.23,270185,573.59,254.06,34.61,19.64,1414,0.593,247.66,0.084,848.54,1753.38,50510.16,10130.54,8.68,1.037,monthly
2019-01,residential,cooling,108301.03,256377,422.43,175.95,41.73,18.75,6653,0.593,696.73,0.105,10538.2,2374.46,131347.34,31583.23,4.5,0.881,15min
2023-09,public,motors,109987.52,157603,697.88,323.14,57.72,13.58,942,0.276,788.56,0.084,840.2,1156.88,111977.81,53085.22,6.34,1.134,30min
2020-12,residential,irrigation,245956.88,315413,779.79,538.06,59.65,24.83,14096,0.508,529.19,0.079,6046.05,1404.79,89753.08,59328.67,10.94,1.005,15min
2024-03,agriculture,lighting,55601.96,192108,289.43,158.5,35.67,16.98,1107,0.6,1523.2,0.171,933.38,1455.88,145488.82,17136.5,7.53,1.102,30min
2019-03,residential,lighting,177554.27,210306,844.27,393.63,21.07,25.07,12153,0.585,183.22,0.051,5946.33,1305.77,3130.26,50402.45,4.2,0.865,15min
2019-01,commercial,cooling,68360.73,10254,6666.74,205.1,59.29,31.37,7806,0.538,3676.6,0.211,1758.92,849.5,35434.45,18976.16,11.06,1.038,monthly
2025-06,commercial,cooling,74578.19,7233,10310.82,138.78,49.17,4.89,1537,0.6,3824.7,0.165,1927.37,2147.02,86413.47,11950.28,7.39,1.15,daily
2024-10,agriculture,heating,228988.17,99467,2302.15,294.87,50.95,18.22,42,0.575,71.63,0.262,1471.31,1270.36,55724.92,50077.45,10.98,1.131,daily
2019-04,commercial,process,101413.67,15980,6346.29,208.33,20.47,19.45,84,0.185,2075.88,0.053,4935.35,1298.24,57706.52,38170.51,0.5,1.05,hourly
2026-07,public,process,123350.36,171696,718.42,150.11,73.61,10.69,702,0.574,2567.95,0.004,1126.55,1294.21,46615.62,28171.05,10.86,0.991,15min
2020-11,industrial,cooling,204737.77,1782,114892.13,336.56,26.41,17.25,15,0.479,300.21,0.046,1319.0,1676.46,94067.05,13093.29,9.46,0.995,daily
2021-09,public,ev_charging,90549.94,422296,214.42,228.73,42.44,19.98,960,0.544,595.97,0.161,1366.88,1162.91,133061.32,49343.26,3.62,0.879,hourly
2025-03,public,heating,178818.42,460533,388.29,327.08,47.55,15.51,741,0.506,4485.79,0.0,595.77,1061.65,21567.31,13474.19,11.08,0.881,15min
2022-01,industrial,process,93197.18,733,127144.86,160.26,58.79,0.0,947,0.761,140.03,0.061,284.64,2109.39,126569.32,12825.02,3.77,0.934,daily
2021-05,commercial,process,151146.62,18266,8274.75,422.72,69.79,11.95,7693,0.563,790.65,0.126,5155.61,1053.82,41378.31,21943.52,15.79,1.0,30min
2026-09,residential,irrigation,111184.73,397559,279.67,337.82,68.06,22.52,9640,0.716,471.2,0.165,9215.97,446.23,49894.65,9546.08,13.71,1.048,15min
2019-01,agriculture,lighting,138390.3,59593,2322.26,308.57,52.01,11.39,1492,0.845,175.94,0.08,796.55,1200.38,100399.49,56559.58,4.41,0.898,daily
2022-03,agriculture,irrigation,142083.84,125491,1132.22,174.5,71.78,15.64,111,0.74,460.42,0.087,1034.99,567.43,133808.02,28214.97,11.79,1.015,30min
2024-08,agriculture,process,183221.81,137223,1335.21,236.31,28.7,23.25,1,0.747,1014.73,0.052,1218.32,2449.41,81549.94,9073.99,12.91,1.001,15min
2020-01,public,heating,63962.64,470854,135.84,84.9,48.19,2.01,866,0.44,248.66,0.117,1183.03,1830.57,4834.65,30869.0,13.79,0.871,15min
2022-06,commercial,motors,246796.97,36242,6809.7,481.89,41.29,30.27,1237,0.536,680.95,0.109,5087.42,2440.22,138045.01,45924.14,5.46,1.073,hourly
2019-06,agriculture,process,126980.61,61969,2049.1,157.98,60.71,25.05,1021,0.293,696.98,0.031,16.12,1152.96,147105.87,18871.83,4.43,1.027,hourly
2019-02,industrial,process,195784.16,1354,144596.87,472.71,47.54,32.87,1434,0.657,791.64,0.051,1150.45,1040.57,127377.35,49325.52,5.92,0.95,15min
2023-04,agriculture,irrigation,60143.46,112205,536.01,151.94,55.64,24.63,807,0.426,2486.05,0.084,720.81,2310.74,61883.22,12592.73,1.19,1.026,daily
2020-08,public,irrigation,84770.2,87614,967.54,165.15,74.72,23.47,1337,0.582,2018.12,0.063,607.31,2288.8,104965.44,3112.01,9.92,1.027,15min
2026-09,public,process,132089.56,346715,380.97,184.8,47.87,12.44,1436,0.484,959.05,0.115,1009.26,364.04,8169.53,34263.61,5.19,1.073,hourly
2025-04,public,process,106458.44,198489,536.34,147.84,68.99,16.76,310,0.635,567.01,0.0,1099.45,412.66,12251.42,26024.55,8.93,1.107,15min
2024-09,industrial,lighting,51992.54,1887,27553.02,117.1,56.7,2.01,309,0.382,372.31,0.239,400.03,2351.58,133871.73,7814.9,3.12,1.1,30min
2023-01,industrial,ev_charging,16192.46,419,38645.49,31.63,70.99,12.37,460,0.712,738.11,0.049,161.61,759.75,86843.05,31352.39,11.69,0.952,15min
2020-08,agriculture,lighting,81929.93,55951,1464.32,239.22,57.98,10.74,1231,0.591,48.9,0.081,545.99,277.97,76490.64,32772.5,8.7,0.966,daily
2022-10,public,appliances,191626.09,306018,626.19,218.61,34.91,30.38,770,0.353,3453.82,0.068,660.31,1895.91,15304.23,35435.74,0.5,1.008,hourly
2023-04,public,lighting,148282.58,48187,3077.23,235.57,46.61,20.45,1340,0.789,539.92,0.0,1163.03,2134.14,94950.38,2288.17,7.31,0.97,15min
2020-09,commercial,ev_charging,162923.84,28203,5776.83,354.97,48.83,19.68,108,0.862,21.94,0.077,6076.31,1061.37,42966.18,24067.98,2.01,1.169,monthly
2020-05,industrial,motors,107068.32,1905,56203.84,128.26,30.7,22.83,1417,0.665,293.15,0.136,1416.7,989.54,109834.59,33565.87,12.37,0.892,30min
2025-10,public,heating,225627.82,479357,470.69,253.02,55.44,0.0,1203,0.618,4397.51,0.069,1256.98,979.58,73535.05,19193.47,8.47,1.165,daily
2026-04,public,appliances,133711.32,154252,866.84,316.24,51.67,25.51,1043,0.749,546.65,0.139,311.56,730.2,10891.87,35232.59,6.02,0.859,daily
2019-01,commercial,lighting,27955.55,25501,1096.25,77.73,54.46,35.13,1889,0.535,785.15,0.046,3405.17,2151.57,25294.28,31183.33,4.37,0.989,30min
2022-10,residential,appliances,248798.3,28718,8663.5,547.28,72.11,2.95,7309,0.572,488.8,0.052,4376.36,2079.99,107196.47,10730.04,2.88,1.019,monthly
2024-11,agriculture,ev_charging,20935.02,60461,346.26,61.52,62.56,6.8,878,0.365,195.19,0.084,818.37,767.0,26584.81,1358.28,9.51,1.028,30min
2021-12,commercial,motors,202412.43,9619,21042.98,573.39,83.05,29.94,7629,0.387,250.29,0.0,6027.24,251.49,125454.31,29568.1,4.61,1.006,daily
2026-08,residential,irrigation,108724.01,364849,298.0,233.6,57.31,14.7,21231,0.611,380.68,0.106,3576.94,2103.41,94065.12,29658.24,14.77,0.935,15min
2024-10,commercial,heating,99899.96,31961,3125.68,233.02,53.1,2.59,4209,0.559,514.88,0.135,1515.03,717.64,66359.62,6920.13,12.62,1.156,monthly
2024-12,commercial,ev_charging,63739.01,41306,1543.09,146.7,88.17,17.52,5569,0.719,1132.79,0.096,7824.63,1058.57,1233.76,40094.0,0.5,0.962,15min
2025-07,public,motors,193699.94,219979,880.54,394.18,64.25,22.67,710,0.647,4405.99,0.058,278.34,2171.38,7709.8,14826.9,1.52,1.074,daily
2021-01,agriculture,lighting,174578.89,65799,2653.21,466.53,69.04,17.81,1242,0.215,296.25,0.158,310.16,819.09,9026.27,44352.29,5.52,1.001,daily
2022-09,residential,heating,179238.92,94794,1890.83,521.53,44.71,11.79,4996,0.438,2561.17,0.095,10084.39,1835.49,94812.53,37783.05,7.11,1.125,monthly
2020-04,commercial,motors,35603.18,32194,1105.89,42.54,51.95,0.24,5046,0.568,1953.92,0.068,539.93,236.53,80362.7,3538.25,8.13,1.156,hourly
2021-10,residential,motors,212132.71,194693,1089.58,506.01,40.29,26.31,7008,0.533,671.73,0.04,11473.27,718.77,146713.05,50400.82,5.98,0.988,daily
2022-07,commercial,irrigation,231654.74,41228,5618.87,466.78,44.1,21.09,3956,0.768,891.09,0.064,3113.71,1353.49,49919.07,43970.79,0.73,1.129,monthly
2026-07,public,irrigation,1157.2,44380,26.07,2.36,57.0,18.15,1168,0.616,1757.09,0.078,324.93,1660.12,62791.09,40591.32,6.48,0.7,30min
2024-09,agriculture,lighting,230892.37,23195,9954.4,279.34,50.23,6.47,809,0.333,518.36,0.0,1425.79,1949.02,108839.5,11564.2,11.45,0.925,monthly
2023-09,residential,irrigation,25904.14,423076,61.23,47.12,84.24,8.36,18573,0.53,178.62,0.069,11927.3,1113.18,112967.48,9302.85,7.32,1.063,hourly
2025-07,commercial,cooling,107084.32,49885,2146.62,321.38,49.79,25.39,4147,0.4,134.13,0.117,352.68,2246.04,141655.21,57151.49,12.97,1.125,30min
2024-07,commercial,process,144712.33,39965,3620.98,168.54,69.24,5.29,719,0.816,750.02,0.038,2755.31,1027.79,122227.94,12214.77,13.33,0.977,daily
2019-04,commercial,irrigation,189889.89,39385,4821.38,363.35,24.8,20.22,3717,0.885,1409.85,0.018,4781.79,2174.37,106734.07,31501.06,12.64,1.014,daily
2026-10,commercial,irrigation,216553.43,48037,4508.05,403.13,36.08,25.62,7945,0.631,2070.21,0.191,7532.48,1207.72,107463.66,38564.21,6.3,1.152,hourly
2022-06,public,appliances,48086.88,411291,116.92,71.62,65.19,13.87,1079,0.721,718.04,0.131,972.04,1768.44,120691.36,31146.08,11.07,1.043,30min
2026-11,industrial,lighting,1981.52,257,7710.19,5.46,68.43,13.0,15,0.696,282.1,0.194,996.15,2218.66,145610.72,22626.9,8.92,1.168,hourly
2021-09,residential,motors,35079.08,388751,90.24,106.27,56.88,15.64,17615,0.366,17.4,0.192,5210.65,2380.88,139134.18,56660.04,7.02,0.968,hourly
2024-01,public,ev_charging,11784.2,345203,34.14,14.85,45.62,26.22,793,0.325,139.82,0.132,927.33,1650.67,126240.94,1629.24,9.89,1.186,daily
2025-03,residential,process,46809.9,40156,1165.7,96.32,66.05,10.27,13837,0.716,3894.5,0.142,7764.0,872.95,5592.54,40771.49,6.99,1.045,monthly
2019-11,residential,motors,113961.42,23241,4903.46,252.31,90.0,15.48,9864,0.571,2276.75,0.018,5752.91,967.32,147873.1,35077.01,13.19,0.918,hourly
2025-08,public,heating,37387.06,331889,112.65,70.84,41.58,13.41,874,0.866,3190.32,0.136,592.12,106.49,117782.74,4695.71,9.13,1.091,monthly
2023-11,public,irrigation,133829.36,104655,1278.77,359.55,60.22,29.63,303,0.36,2583.78,0.116,1207.43,1626.18,3510.69,54832.67,7.54,1.181,30min
2026-06,public,ev_charging,169149.73,279760,604.62,223.39,63.55,6.78,367,0.461,4420.06,0.112,852.56,677.87,83230.97,19261.73,0.72,0.869,monthly
2023-12,industrial,ev_charging,142577.52,162,880108.15,415.04,25.17,17.55,1162,0.618,56.95,0.019,1125.62,25.33,109347.2,17490.77,11.86,1.078,30min
2026-07,agriculture,irrigation,113645.28,193387,587.66,232.55,66.14,19.53,790,0.399,32.72,0.188,85.5,114.0,68597.77,54575.05,8.25,1.092,monthly
2022-12,residential,cooling,144650.35,318550,454.09,423.18,64.26,4.04,21454,0.465,3209.74,0.131,4164.87,1295.57,116650.85,14367.03,8.4,0.734,30min
2022-08,agriculture,ev_charging,192216.87,158274,1214.46,308.67,35.75,10.71,851,0.558,7.89,0.061,1034.34,1088.39,56740.6,25216.77,3.76,0.775,daily
2024-12,commercial,cooling,42048.3,40686,1033.48,59.18,57.38,16.78,7637,0.547,3518.03,0.191,297.33,1573.61,43317.27,7146.62,1.37,1.184,30min
2020-02,public,process,14129.83,192658,73.34,25.96,53.89,29.68,863,0.712,2197.19,0.147,1359.71,2117.47,80243.48,59751.76,5.25,0.972,monthly
2025-11,industrial,motors,21650.84,1261,17169.58,46.23,39.4,27.74,187,0.622,80.82,0.081,1144.46,1912.4,121808.91,52159.64,9.09,0.973,daily
2026-12,industrial,process,144652.14,1090,132708.39,426.0,26.51,14.01,587,0.517,262.16,0.113,1103.49,2316.58,62312.56,39208.93,7.6,1.004,monthly
2023-09,commercial,cooling,165709.76,33045,5014.67,440.32,51.66,35.86,2935,0.463,2975.98,0.164,1410.67,886.78,101942.7,21758.59,6.35,0.848,15min
2025-07,residential,motors,58372.72,427221,136.63,162.37,60.4,11.95,17128,0.753,1606.16,0.0,7324.25,392.12,136335.95,45727.08,0.5,1.033,daily
2022-01,public,heating,187049.43,197966,944.86,546.8,50.23,25.68,623,0.729,1459.46,0.072,691.85,147.89,116518.3,30156.19,14.56,0.86,monthly
2026-06,commercial,heating,237220.29,43422,5463.14,308.86,53.83,35.26,5586,0.305,3355.77,0.063,5251.52,1921.54,10085.2,47556.5,3.03,1.019,hourly
2023-07,agriculture,cooling,96369.96,151804,634.83,162.04,90.0,15.63,103,0.594,3680.06,0.032,1225.51,730.0,125280.81,47881.64,8.22,0.978,15min
2021-08,industrial,irrigation,176830.73,268,659816.16,506.48,69.16,0.0,1076,0.416,25.5,0.071,1131.22,1676.13,107436.85,31497.67,6.55,0.974,monthly
