tech_skills_reference_year,tech_skills_country_iso2,tech_skills_region_nuts_code,tech_skills_age_group,tech_skills_sex,tech_skills_basic_digital_skills_pct,tech_skills_above_basic_digital_skills_pct,tech_skills_ict_specialists_pct_employment,tech_skills_ict_graduates_per_1k,tech_skills_advanced_programming_skills_pct,tech_skills_ai_skills_training_participants,tech_skills_cybersecurity_skills_pct,tech_skills_remote_work_prevalence_pct,tech_skills_digital_public_services_usage_pct,tech_skills_enterprise_cloud_adoption_pct,tech_skills_enterprise_bigdata_adoption_pct,tech_skills_gender_gap_ict_specialists_pp,tech_skills_desi_component_score,tech_skills_survey_weight,tech_skills_data_extract_date
2025,MT,DE2,16-24,M,79.3,51.91,7.09,3.856,27.07,150,12.87,19.18,75.22,31.26,19.06,3.31,42.63,2.8016,2024-05-16
2026,PT,PL261,65-74,T,81.29,56.98,7.436,1.056,3.75,339,2.35,32.58,26.07,10.78,19.89,4.75,43.17,3.2799,2024-04-24
2014,SI,FI8,55-64,F,56.87,41.47,9.089,4.705,20.98,294,11.69,4.07,48.17,40.91,7.49,1.28,53.3,3.4162,2025-08-13
2015,AT,CZ316,45-54,M,37.51,17.7,0.833,0.95,26.09,431,12.89,12.09,18.81,21.26,27.17,6.21,84.48,3.4972,2025-11-14
2016,HR,BG28,35-44,T,87.98,51.77,3.624,3.561,11.68,585,19.16,42.02,29.49,67.58,8.83,4.23,59.74,0.9507,2025-02-03
2017,DK,PL5,25-34,F,73.32,54.82,4.308,5.368,27.15,414,6.91,24.78,82.46,29.55,4.19,0.95,61.93,0.5592,2025-07-01
2018,FR,HR41,16-24,M,52.95,37.14,4.651,3.75,17.22,379,3.46,38.25,30.44,35.77,34.06,-3.38,24.61,3.4925,2025-03-29
2019,HU,RO961,65-74,T,66.64,51.31,2.763,3.076,8.24,170,12.24,19.0,21.2,23.84,11.46,4.28,58.33,1.4388,2025-04-08
2020,LV,BG811,55-64,F,62.08,48.92,3.773,3.712,18.11,341,17.91,6.68,66.01,34.08,32.64,4.01,61.16,1.5506,2024-08-25
2021,MT,LV9,45-54,M,25.4,15.19,5.706,6.537,24.4,156,19.26,27.69,59.08,55.96,36.12,6.64,48.3,2.4228,2025-09-12
2022,PT,NL202,35-44,T,86.66,45.71,2.797,0.687,6.08,169,5.01,38.21,86.1,75.27,41.06,7.0,33.83,1.2435,2025-01-13
2023,SI,FI93,25-34,F,34.33,18.77,6.685,7.366,26.17,326,20.4,24.88,18.64,38.28,30.39,2.23,71.93,3.3849,2025-10-02
2024,AT,HU588,16-24,M,58.6,35.43,2.541,8.036,15.24,574,20.02,30.38,17.86,74.16,5.75,1.91,73.1,2.2385,2024-08-18
2025,HR,IT3,65-74,T,49.55,20.87,8.832,2.008,11.1,296,10.17,19.45,78.9,40.78,16.81,5.83,57.97,0.8618,2024-07-13
2026,DK,SI2,55-64,F,28.27,17.67,6.584,7.169,10.99,294,3.76,39.37,73.23,24.41,5.14,-1.1,62.09,2.3002,2024-02-01
2014,FR,BE490,45-54,M,49.56,30.59,4.762,0.641,14.88,435,4.97,39.91,79.31,26.57,24.25,3.03,20.61,0.9555,2024-07-01
2015,HU,BG2,35-44,T,79.86,63.4,4.729,7.312,18.96,115,19.14,18.95,26.61,58.51,17.63,2.48,71.61,3.0466,2025-01-24
2016,LV,SK7,25-34,F,39.79,16.67,1.45,1.769,13.9,433,20.05,22.18,46.59,25.66,42.89,2.14,50.67,2.0515,2025-08-23
2017,MT,HR471,16-24,M,69.85,29.33,7.067,8.148,14.69,382,6.16,3.16,64.73,21.16,23.58,-2.32,34.72,2.2574,2025-01-21
2018,PT,DE33,65-74,T,68.54,54.79,2.427,2.315,26.42,101,13.71,12.54,64.38,63.27,9.61,-2.79,65.29,2.3061,2025-11-01
2019,SI,DE17,55-64,F,69.23,49.28,4.78,1.371,6.17,323,10.01,37.63,60.14,29.06,11.64,4.52,80.36,2.0912,2025-03-29
2020,AT,LU689,45-54,M,70.78,25.86,9.055,3.293,10.66,570,12.34,27.62,35.46,60.72,30.02,5.9,60.53,0.3625,2024-10-21
2021,HR,MT2,35-44,T,55.12,28.87,9.007,5.129,13.62,352,5.73,24.72,88.2,66.93,43.42,0.4,55.26,0.3804,2024-12-14
2022,DK,DK368,25-34,F,25.59,21.57,3.95,1.439,8.12,554,20.72,27.46,28.82,57.97,37.86,9.39,41.02,3.5329,2024-12-14
2023,FR,LV97,16-24,M,36.39,18.66,4.045,2.233,2.81,548,16.07,11.59,79.12,41.65,24.35,9.22,76.33,0.8924,2025-12-21
2024,HU,HU59,65-74,T,36.25,24.58,3.658,6.339,20.17,483,8.39,33.98,29.95,13.96,20.48,4.45,85.67,0.8738,2024-08-07
2025,LV,SK34,55-64,F,58.17,38.16,4.611,2.644,14.21,470,15.81,44.53,35.56,67.68,6.93,0.59,22.84,3.6271,2024-01-28
2026,MT,CZ269,45-54,M,66.12,31.17,4.416,1.838,7.57,223,7.07,24.28,77.77,70.31,23.42,-2.76,59.19,3.2186,2025-08-21
2014,PT,DK788,35-44,T,48.73,37.33,3.279,3.284,21.92,402,18.05,8.01,24.34,56.1,30.49,9.38,48.38,2.0374,2024-07-06
2015,SI,ES2,25-34,F,35.64,20.99,5.359,4.237,8.21,352,17.92,40.15,66.61,45.23,24.64,2.49,43.28,1.8366,2024-03-27
2016,AT,NL89,16-24,M,72.32,45.5,2.075,6.733,23.35,644,7.21,16.92,19.82,47.17,21.38,1.36,66.29,3.2577,2024-09-07
2017,HR,HU167,65-74,T,52.05,30.41,6.548,6.746,3.47,212,8.49,13.73,72.52,42.34,46.26,7.48,54.32,0.698,2025-12-22
2018,DK,SK535,55-64,F,41.13,27.79,7.95,5.017,10.85,136,13.68,28.08,50.24,11.07,10.37,8.49,40.22,1.1695,2025-03-23
2019,FR,LT4,45-54,M,31.91,25.19,9.5,2.201,3.59,509,3.33,46.0,40.59,67.42,39.89,-0.13,22.0,3.5505,2025-04-26
2020,HU,MT6,35-44,T,71.46,26.78,7.295,5.219,15.91,663,6.73,3.92,34.21,57.75,51.93,0.51,81.47,3.7182,2025-10-02
2021,LV,LT92,25-34,F,43.42,20.17,5.971,5.924,22.57,127,12.1,6.7,88.66,56.35,19.59,-2.8,76.31,3.1589,2025-10-18
2022,MT,IT371,16-24,M,60.72,30.61,7.029,8.112,20.55,121,3.73,12.43,86.88,32.38,4.25,3.7,85.61,3.7486,2025-03-18
2023,PT,PT862,65-74,T,46.64,30.85,4.456,1.881,4.04,315,21.6,44.31,66.36,40.67,17.93,2.59,26.1,0.5642,2025-01-08
2024,SI,SE506,55-64,F,82.41,60.13,7.859,4.927,25.14,257,5.31,10.37,56.07,67.69,27.31,9.22,61.56,2.8939,2024-12-15
2025,AT,RO152,45-54,M,37.1,15.07,5.947,3.469,17.71,157,4.13,45.02,66.66,40.86,10.88,-2.68,69.28,1.0563,2026-01-06
2026,HR,DK829,35-44,T,47.17,19.17,4.905,6.134,4.5,384,20.96,41.14,25.35,24.94,46.59,1.29,79.44,3.1534,2025-03-03
2014,DK,PT530,25-34,F,85.17,61.71,2.794,7.896,12.12,139,14.2,11.02,57.52,27.63,35.95,-1.78,55.76,0.6485,2026-01-16
2015,FR,DK576,16-24,M,28.81,14.02,3.257,6.8,23.23,184,14.11,22.95,90.44,21.38,28.86,0.32,42.63,3.026,2024-08-24
2016,HU,RO37,65-74,T,31.09,21.3,4.044,4.033,9.08,270,9.0,37.02,34.18,24.11,21.16,8.5,77.11,2.4832,2024-06-18
2017,LV,EE226,55-64,F,66.1,44.74,4.484,4.479,20.32,231,2.68,30.5,74.18,63.09,32.93,-1.82,71.09,0.5493,2025-12-24
2018,MT,NL7,45-54,M,65.88,38.88,4.926,7.605,19.64,597,20.83,26.69,21.86,28.5,13.41,1.36,65.06,2.2191,2025-10-13
2019,PT,PL51,35-44,T,76.27,38.46,2.738,4.253,8.61,650,9.34,18.98,41.26,39.68,20.12,5.62,19.47,0.5863,2024-10-08
2020,SI,GR789,25-34,F,72.44,59.48,2.179,4.265,10.17,319,20.01,41.4,35.2,13.07,43.51,4.18,75.02,0.7464,2024-02-15
2021,AT,PT34,16-24,M,64.84,35.81,1.894,7.827,13.26,468,10.15,14.93,28.33,37.08,10.12,4.56,56.89,2.6972,2025-11-24
2022,HR,PL73,65-74,T,76.89,61.74,2.897,6.413,16.88,310,8.35,7.31,69.27,75.03,18.79,3.19,44.88,1.022,2025-01-02
2023,DK,IE67,55-64,F,48.91,23.87,6.366,8.277,20.0,450,7.32,7.22,34.02,33.53,15.81,-1.89,69.28,0.7308,2024-04-13
2024,FR,SK228,45-54,M,54.53,40.2,7.822,0.476,2.37,225,11.19,4.38,19.28,52.99,15.66,-0.93,38.2,0.2529,2025-02-07
2025,HU,BE8,35-44,T,75.94,38.52,1.344,5.815,2.41,453,17.65,36.8,78.27,43.18,39.18,-1.57,77.3,1.3262,2025-06-23
2026,LV,BE911,25-34,F,39.71,14.11,9.181,8.109,15.53,178,14.18,26.13,78.96,25.46,14.1,2.82,69.14,2.1574,2024-12-13
2014,MT,SK51,16-24,M,82.24,59.56,7.8,5.167,4.89,554,5.34,11.84,55.72,61.2,30.17,5.07,85.64,2.9419,2026-01-27
2015,PT,PL23,65-74,T,76.73,61.31,1.167,1.245,17.32,121,18.25,37.51,46.0,41.09,45.74,0.62,35.68,0.5241,2024-03-09
2016,SI,DE11,55-64,F,73.46,56.82,1.563,5.956,23.33,408,6.55,5.48,39.69,67.8,13.98,2.08,25.59,3.3986,2024-04-26
2017,AT,IE996,45-54,M,42.58,28.54,3.567,3.172,11.18,321,15.46,45.75,31.88,70.19,46.67,2.49,59.55,3.3596,2025-05-17
2018,HR,FR876,35-44,T,26.63,14.7,1.06,0.661,15.63,690,20.97,8.03,42.51,9.87,47.71,2.43,63.23,1.5145,2025-07-01
2019,DK,GR656,25-34,F,60.69,41.95,8.116,3.181,18.73,219,2.0,30.31,87.23,43.49,19.25,6.65,33.16,0.669,2025-05-20
2020,FR,IE429,16-24,M,89.12,45.86,2.272,0.83,11.19,118,4.12,9.49,17.86,70.53,44.24,5.82,83.07,3.3689,2024-04-11
2021,HU,LU60,65-74,T,79.7,65.12,7.158,3.7,8.44,607,17.14,14.36,71.08,20.29,12.48,-2.71,37.57,3.2593,2024-08-13
2022,LV,BG51,55-64,F,66.72,27.53,8.967,2.858,7.48,676,19.87,18.51,67.32,8.18,27.89,0.94,42.5,2.2575,2026-01-05
2023,MT,IT723,45-54,M,33.45,15.42,3.891,7.95,7.99,690,2.12,26.14,50.65,58.56,30.18,7.94,38.72,1.4209,2025-10-21
2024,PT,SK814,35-44,T,70.32,31.32,4.541,1.522,3.11,248,14.65,42.96,15.59,57.98,9.6,0.47,64.57,0.423,2024-04-09
2025,SI,IE6,25-34,F,38.73,18.35,9.042,2.744,7.33,694,20.88,18.62,56.98,13.79,36.79,4.94,56.45,1.7631,2024-11-17
2026,AT,CY6,16-24,M,62.89,30.38,8.906,4.158,22.23,717,14.89,13.73,19.49,41.78,5.65,5.27,69.11,3.6006,2025-05-28
2014,HR,LV537,65-74,T,74.34,42.96,9.129,1.198,7.94,644,16.27,40.91,17.18,63.62,47.1,1.81,31.66,1.0168,2025-05-09
2015,DK,IE10,55-64,F,55.76,24.47,8.354,8.421,23.45,140,9.75,11.58,66.14,15.44,37.25,-0.66,84.11,0.8831,2025-11-13
2016,FR,RO750,45-54,M,49.72,28.96,7.697,4.027,2.69,446,14.03,5.05,75.32,11.36,37.21,-1.55,85.89,2.902,2024-10-18
2017,HU,IT924,35-44,T,30.48,23.07,7.159,5.958,5.4,525,19.42,9.21,27.57,46.21,36.08,7.83,50.2,1.7183,2024-08-14
2018,LV,SE761,25-34,F,40.05,14.53,8.691,7.599,3.13,490,4.51,18.57,90.96,10.78,20.14,0.53,71.14,3.521,2024-06-22
2019,MT,GR4,16-24,M,29.55,19.64,1.414,7.803,27.99,158,17.0,27.95,17.21,36.58,6.55,6.81,47.98,1.1917,2024-10-20
2020,PT,PT669,65-74,T,34.31,18.43,2.511,1.126,17.56,306,15.07,11.91,59.57,17.9,48.94,-0.77,53.32,1.3582,2026-02-10
2021,SI,LT878,55-64,F,38.75,25.43,4.823,4.608,2.32,552,20.76,25.77,78.71,18.16,12.28,0.6,21.68,0.776,2024-12-14
2022,AT,RO729,45-54,M,62.14,42.58,4.462,4.704,2.53,583,9.49,20.38,42.92,43.63,48.63,5.5,56.91,0.9921,2025-02-09
2023,HR,NL208,35-44,T,76.28,51.67,7.283,3.341,27.57,242,21.83,41.15,15.91,20.0,19.81,3.21,66.49,3.7043,2024-05-02
2024,DK,SK3,25-34,F,61.09,43.03,2.967,2.72,16.81,410,4.66,44.94,33.42,56.1,11.12,9.17,30.39,3.1363,2024-03-30
2025,FR,IE28,16-24,M,48.47,29.21,2.166,1.047,23.47,646,19.24,6.75,46.18,70.15,10.96,7.18,65.12,2.8991,2024-04-07
2026,HU,BG56,65-74,T,31.52,12.02,4.211,4.986,19.82,268,4.14,37.67,61.75,64.02,35.23,6.23,72.07,0.6199,2024-10-21
2014,LV,LT87,55-64,F,54.11,43.98,1.994,1.487,25.37,200,20.97,30.34,18.34,17.9,19.76,7.44,66.65,1.9001,2024-10-23
2015,MT,SI71,45-54,M,84.79,56.13,9.367,2.855,14.86,508,21.3,14.39,50.93,14.5,23.78,7.13,69.79,1.2007,2024-04-04
2016,PT,SE9,35-44,T,60.66,39.28,9.268,8.448,22.4,582,2.28,15.01,68.87,38.59,48.64,-2.52,78.41,1.7985,2026-02-02
2017,SI,CY42,25-34,F,57.83,20.78,3.433,3.395,2.38,285,5.24,18.16,43.87,69.89,25.75,-2.51,57.86,1.3396,2025-10-02
2018,AT,SK9,16-24,M,90.23,38.47,9.32,5.711,11.58,430,2.91,8.7,21.52,54.0,44.34,4.81,79.66,2.6676,2025-09-14
2019,HR,MT785,65-74,T,38.39,15.88,2.439,3.829,17.27,264,6.23,41.97,68.66,39.14,35.82,2.56,42.85,1.2605,2024-04-25
2020,DK,MT406,55-64,F,86.43,32.16,1.474,1.401,7.9,686,14.77,28.22,68.94,60.42,30.63,-0.58,75.85,3.4335,2025-09-15
2021,FR,SK487,45-54,M,25.14,15.41,3.111,0.884,15.95,399,11.19,26.76,20.86,61.62,24.99,1.08,78.08,1.8716,2024-01-10
2022,HU,HU29,35-44,T,90.08,41.13,3.967,6.726,21.93,325,18.88,5.06,77.23,36.66,20.89,3.65,65.19,0.6311,2026-01-24
2023,LV,CZ7,25-34,F,33.23,16.55,1.434,3.138,13.27,720,6.48,16.03,31.1,11.78,46.92,-0.35,53.61,0.8024,2024-02-18
2024,MT,ES89,16-24,M,41.26,27.91,2.955,4.72,13.37,183,14.39,18.79,91.89,9.6,7.38,5.39,64.55,1.6571,2025-12-13
2025,PT,LU661,65-74,T,33.5,28.08,9.307,8.42,24.22,551,4.13,42.48,62.24,73.42,31.1,-2.21,81.68,3.2999,2025-01-20
2026,SI,DK27,55-64,F,55.14,25.84,1.455,8.304,23.8,599,3.25,11.03,60.26,17.17,13.47,1.43,18.27,2.5438,2024-05-22
2014,AT,PT263,45-54,M,39.91,17.96,6.46,4.313,3.02,331,9.35,12.55,61.53,48.22,29.41,2.69,23.16,0.3748,2024-12-05
2015,HR,FR1,35-44,T,57.48,27.45,4.616,4.833,9.03,312,19.65,20.22,73.4,75.36,6.61,5.15,69.52,2.6225,2026-01-09
2016,DK,ES60,25-34,F,81.59,33.54,3.106,2.499,26.05,582,13.2,27.29,22.35,31.45,31.73,-2.91,41.56,1.6906,2024-02-11
2017,FR,LU485,16-24,M,79.77,37.9,5.012,7.357,20.13,558,19.04,32.55,23.64,25.92,17.63,-2.67,84.15,2.9099,2024-09-26
2018,HU,LU45,65-74,T,37.08,16.34,5.595,8.191,21.44,404,20.28,30.14,81.1,38.19,15.93,8.43,22.8,1.5639,2025-04-29
2019,LV,LU39,55-64,F,74.26,29.76,4.422,8.415,7.66,368,7.73,39.37,15.76,29.76,7.41,9.21,79.07,2.1075,2024-04-21
2020,MT,ES414,45-54,M,52.28,20.87,9.009,3.048,8.95,169,17.9,35.28,69.96,48.62,28.78,-1.7,23.52,1.8979,2025-10-29
2021,PT,CY5,35-44,T,48.86,33.14,8.365,7.626,16.59,269,9.81,31.94,20.72,30.49,26.95,-1.8,41.3,1.3696,2025-02-21
2022,SI,LU4,25-34,F,86.09,62.59,8.071,1.79,5.29,173,6.67,36.41,75.86,70.92,43.53,-2.41,47.39,0.49,2025-09-07
2023,AT,PL2,16-24,M,27.24,20.06,9.415,2.785,1.53,720,17.47,15.9,25.36,66.97,36.69,8.07,76.03,0.3141,2025-01-20
2024,HR,CZ3,65-74,T,72.23,55.8,7.841,8.119,2.95,722,17.46,7.52,68.66,49.37,29.51,1.57,65.3,1.2101,2024-02-27
2025,DK,PT1,55-64,F,52.67,24.33,6.46,2.956,9.02,539,7.24,37.67,88.69,72.39,47.61,4.96,76.67,3.2604,2025-06-27
2026,FR,PT55,45-54,M,33.36,14.2,1.534,4.014,7.11,278,13.24,32.94,65.49,50.77,40.31,4.28,38.53,1.9254,2024-08-11
2014,HU,PT962,35-44,T,53.58,31.03,7.262,7.522,27.95,216,17.06,39.49,85.11,43.97,17.88,-3.3,85.01,1.3395,2025-05-17
2015,LV,LT974,25-34,F,39.44,17.98,1.147,1.003,5.84,275,20.44,38.09,60.46,44.58,9.0,3.32,78.48,0.4755,2024-06-12
2016,MT,ES1,16-24,M,51.7,25.45,7.947,0.863,15.48,500,20.72,10.93,58.24,35.57,22.94,2.98,40.49,3.6137,2025-10-22
2017,PT,BE181,65-74,T,58.94,49.61,6.189,7.386,26.1,248,18.99,9.8,63.05,65.2,42.86,8.06,78.33,1.6437,2026-01-03
2018,SI,MT11,55-64,F,47.24,20.78,2.029,7.726,1.65,312,8.66,3.99,54.92,24.1,45.65,6.8,34.69,2.6387,2025-07-28
2019,AT,EE81,45-54,M,50.82,23.6,2.053,4.74,22.74,727,5.77,37.42,48.23,66.7,37.24,9.36,65.23,1.5101,2025-12-19
2020,HR,DK9,35-44,T,75.76,47.78,9.011,4.829,3.66,581,9.67,3.57,75.54,57.2,23.79,-0.7,43.05,3.2982,2025-08-05
2021,DK,CZ873,25-34,F,83.84,34.58,8.575,4.758,19.1,258,14.72,25.8,59.47,20.04,8.73,-1.65,76.46,3.3778,2025-03-03
2022,FR,SE22,16-24,M,87.41,34.6,4.734,1.396,2.65,624,13.96,34.86,84.57,13.11,23.47,0.72,78.33,1.2571,2026-01-18
2023,HU,HR6,65-74,T,46.26,30.9,2.402,8.089,4.28,581,10.29,7.59,17.61,77.89,7.72,1.86,20.8,2.3755,2024-07-14
2024,LV,DK987,55-64,F,40.54,16.85,0.824,1.621,19.48,740,14.63,22.45,19.04,34.2,5.24,8.5,29.67,3.5427,2024-09-13
2025,MT,BE284,45-54,M,29.83,10.5,5.32,5.004,10.42,652,5.24,41.03,76.66,57.29,49.11,1.12,84.99,0.6333,2025-05-13
2026,PT,CZ39,35-44,T,41.12,24.37,6.243,0.784,15.2,477,7.75,37.33,48.54,8.41,27.37,8.62,37.59,2.4901,2024-12-28
2014,SI,NL673,25-34,F,39.23,17.81,3.933,6.414,11.74,621,2.39,19.18,81.56,52.39,45.26,-3.17,36.26,2.0235,2024-09-20
2015,AT,HU84,16-24,M,83.34,50.78,1.846,7.704,11.4,489,9.68,42.78,75.18,61.26,7.42,5.03,23.86,1.6338,2024-11-25
2016,HR,MT26,65-74,T,43.52,19.05,4.224,2.381,14.75,262,16.34,38.38,24.28,28.37,50.67,5.66,79.02,2.6355,2024-02-08
2017,DK,MT888,55-64,F,53.53,37.92,5.545,3.603,14.12,294,21.92,15.24,46.59,67.46,34.53,8.02,52.65,1.1204,2024-12-01
2018,FR,RO51,45-54,M,81.97,38.4,0.801,1.802,13.9,744,21.67,44.55,86.52,34.98,22.42,4.62,82.94,2.389,2025-01-28
2019,HU,HR91,35-44,T,61.01,35.73,1.678,8.022,26.88,670,2.08,45.74,29.59,42.16,46.25,2.51,47.04,3.7323,2025-05-16
2020,LV,AT15,25-34,F,71.95,25.39,7.353,3.961,7.3,333,19.48,14.51,89.62,52.37,16.61,7.44,52.09,1.1478,2025-03-29
2021,MT,PT69,16-24,M,91.83,61.35,7.535,4.29,21.11,462,15.07,10.23,51.2,41.37,42.27,-2.84,33.8,1.8065,2025-01-25
2022,PT,IT125,65-74,T,68.82,54.67,3.633,5.342,24.08,443,6.14,37.13,72.29,48.99,16.41,1.76,78.98,2.3795,2025-07-14
2023,SI,IT87,55-64,F,40.61,32.23,8.328,8.447,23.8,395,20.83,20.64,83.19,52.01,36.64,2.33,60.04,1.4954,2024-11-03
2024,AT,SI209,45-54,M,43.19,30.35,3.014,7.277,4.98,402,14.19,20.36,41.82,8.8,26.54,8.15,25.18,2.7119,2025-05-31
2025,HR,IE275,35-44,T,31.73,13.48,1.428,6.422,19.75,756,21.37,22.12,45.64,44.97,10.13,-0.24,19.13,2.7536,2024-08-08
2026,DK,MT9,25-34,F,27.69,21.21,8.572,5.903,9.96,613,16.68,23.57,23.07,29.66,18.62,-1.08,79.41,0.6396,2025-12-29
2014,FR,EE89,16-24,M,52.54,25.78,6.005,7.61,17.66,784,20.18,44.81,19.89,14.56,47.19,-0.26,83.43,3.3537,2024-03-21
2015,HU,RO88,65-74,T,77.57,38.1,1.4,7.437,21.97,260,9.87,24.83,77.63,14.75,37.79,5.62,37.0,1.3022,2025-12-03
2016,LV,HR30,55-64,F,38.6,32.38,0.882,8.402,23.8,752,8.41,37.42,48.57,15.87,51.84,-1.37,31.46,3.7123,2024-03-27
2017,MT,LV5,45-54,M,31.42,24.15,2.156,6.205,22.2,553,20.76,19.8,31.65,9.62,32.64,6.43,58.98,3.4514,2024-02-06
2018,PT,FI808,35-44,T,69.78,50.01,8.633,2.94,23.58,513,17.87,5.91,77.99,19.01,18.82,8.0,76.32,2.6851,2024-09-11
2019,SI,RO896,25-34,F,54.42,23.87,4.387,5.856,6.31,666,3.8,19.66,14.23,15.23,8.21,4.15,29.84,2.6686,2024-02-29
2020,AT,HR604,16-24,M,34.94,18.27,3.421,5.791,24.88,298,7.93,7.42,73.18,64.94,17.25,-1.97,68.08,1.6508,2024-07-11
2021,HR,CY9,65-74,T,91.26,51.46,8.663,8.483,8.98,558,9.85,20.62,68.73,31.48,16.6,8.51,52.74,1.5976,2025-10-07
2022,DK,LV22,55-64,F,52.33,22.33,2.14,7.626,7.62,667,19.52,3.62,77.63,49.19,31.97,1.08,34.36,3.4479,2024-12-06
2023,FR,RO3,45-54,M,52.24,21.06,8.118,7.203,24.4,306,19.19,32.0,21.01,15.44,25.17,-2.56,84.55,0.5807,2025-01-17
2024,HU,SE70,35-44,T,90.5,33.16,6.418,6.759,19.89,201,16.42,7.74,61.78,35.21,41.65,-0.09,87.55,2.303,2025-10-25
2025,LV,RO194,25-34,F,62.12,23.76,5.419,3.533,26.54,731,13.64,26.23,20.56,77.32,43.94,6.95,59.04,3.2506,2024-07-20
2026,MT,SK2,16-24,M,76.44,63.59,2.376,1.826,4.57,262,13.93,4.04,73.25,74.01,10.81,1.3,77.1,2.8472,2024-06-23
2014,PT,CZ4,65-74,T,56.0,23.62,6.294,8.075,6.79,345,4.69,39.62,16.35,70.43,36.44,-3.37,30.73,3.2017,2024-03-18
