safe_justice_booking_date,safe_justice_arrest_offense_code,safe_justice_charge_severity_level,safe_justice_bail_amount_set,safe_justice_pretrial_release_flag,safe_justice_court_case_id_hash,safe_justice_court_disposition_code,safe_justice_sentence_type_code,safe_justice_sentence_length_days,safe_justice_probation_start_date,safe_justice_parole_eligibility_date,safe_justice_jail_days_served,safe_justice_prison_admission_flag,safe_justice_recidivism_12mo_flag,safe_justice_recidivism_36mo_flag,safe_justice_risk_assessment_score,safe_justice_public_defender_assigned_flag,safe_justice_diversion_program_flag,safe_justice_restorative_justice_flag,safe_justice_record_sealing_eligible_flag
2018-10-04,IPC-498A,Misdemeanor,2166785,Y,CASE-66412fa5af6b4046,Acquitted,Diversion,1550,2023-03-07,2025-08-26,283,N,N,N,0.36,N,Y,N,N
2018-03-14,IPC-420,Felony,2029393,Y,CASE-f8c06064555a038e,Pending,Fine,1056,2020-03-18,2020-09-18,40,Y,Y,N,54.22,N,Y,N,Y
2020-07-24,NDPS-21,Infraction,2218754,N,CASE-20fc2f18ef5678bb,Acquitted,Imprisonment,1206,2022-12-29,2019-03-04,673,N,N,N,88.83,N,Y,N,Y
2020-03-20,IPC-392,Misdemeanor,2477857,Y,CASE-ec5a7a04f8a397f3,Convicted,Probation,1308,2024-07-19,2022-06-13,670,N,Y,N,54.11,Y,Y,N,Y
2019-10-23,IPC-420,Infraction,1659327,Y,CASE-ce6e2fbf484da384,BailGranted,Fine,1766,2023-09-10,2021-08-16,617,N,N,N,1.56,N,N,N,Y
2018-12-18,IPC-379,Felony,185871,Y,CASE-ae9f76d3a654088e,Transferred,CommunityService,1791,2022-11-21,2022-06-24,426,Y,N,Y,86.61,N,Y,N,Y
2025-07-22,IT-66C,Felony,280051,Y,CASE-2705c2b3b48fdc90,Transferred,Probation,1972,2021-10-28,2020-11-16,107,N,Y,Y,42.54,N,Y,Y,Y
2023-09-20,IPC-302,Felony,1062056,N,CASE-8acf3194597b5aee,Pending,TimeServed,3514,2019-11-26,2021-01-18,343,N,Y,N,83.97,Y,Y,N,N
2025-07-27,IPC-392,Misdemeanor,1009863,N,CASE-645bdad1b08fb8a9,Pending,Fine,2818,2024-03-10,2019-04-04,69,Y,N,N,76.7,Y,Y,N,Y
2020-12-04,IT-66C,Misdemeanor,1041962,Y,CASE-1db7ab758354f126,Convicted,TimeServed,1014,2022-09-24,2024-06-22,704,N,N,Y,69.39,Y,N,N,Y
2025-02-17,IPC-498A,Misdemeanor,803503,Y,CASE-2b3cebc4abc1879b,Pending,CommunityService,1167,2019-05-14,2020-04-11,371,Y,N,Y,89.61,N,N,Y,Y
2025-02-22,IPC-354,Misdemeanor,966019,N,CASE-99d3b0e5dd895e82,Pending,Diversion,3198,2021-12-03,2020-03-07,575,Y,N,N,96.69,N,Y,Y,N
2023-12-18,IPC-420,Misdemeanor,304703,Y,CASE-1c858eb559e13af2,Dismissed,Imprisonment,467,2025-01-21,2019-12-15,563,Y,Y,Y,38.87,N,Y,N,Y
2025-12-24,IPC-498A,Felony,1181366,Y,CASE-edd04df5560f50ce,Pending,Fine,3576,2018-11-04,2025-08-01,647,N,Y,N,2.6,N,Y,Y,Y
2019-07-20,NDPS-21,Misdemeanor,2206618,N,CASE-11ae701cc4977c49,Plea,TimeServed,1148,2020-01-04,2023-08-26,641,Y,N,N,85.37,N,N,Y,N
2020-08-23,NDPS-21,Misdemeanor,1429611,N,CASE-710c037777a39f18,BailGranted,Fine,441,2023-09-14,2025-03-25,107,N,N,Y,10.18,Y,Y,Y,Y
2020-08-24,IPC-420,Misdemeanor,675652,N,CASE-51b6d03c093c171a,Acquitted,Imprisonment,2959,2025-05-20,2023-03-16,23,Y,Y,N,8.67,Y,Y,N,N
2020-08-12,IPC-379,Felony,2391645,N,CASE-14d99806599cae6e,Convicted,Fine,2246,2022-11-09,2018-05-31,11,N,Y,Y,72.13,Y,N,Y,Y
2019-08-17,IPC-302,Misdemeanor,854726,N,CASE-9c7ac2c04c25232a,Convicted,TimeServed,1535,2019-12-10,2022-01-07,24,Y,Y,N,15.52,Y,N,N,Y
2025-10-12,IPC-354,Misdemeanor,2263603,Y,CASE-68151fa9681fac2a,Plea,CommunityService,3523,2019-01-07,2019-08-30,475,Y,Y,N,88.01,N,Y,Y,N
2018-12-20,IPC-302,Felony,2272346,N,CASE-970c4f5031651258,BailGranted,Probation,2837,2021-04-02,2020-01-04,591,Y,N,Y,90.34,Y,Y,Y,N
2022-12-05,IPC-354,Misdemeanor,1627538,N,CASE-9a66bd16c388b687,BailGranted,CommunityService,3,2019-02-26,2018-07-22,385,Y,N,Y,74.8,Y,Y,N,Y
2018-06-11,IPC-420,Misdemeanor,33437,N,CASE-0e201debf16d56c2,BailGranted,CommunityService,1129,2024-10-10,2023-12-09,538,N,Y,N,23.76,N,Y,N,N
2020-09-03,IPC-379,Misdemeanor,660608,N,CASE-89cb782f5be2093d,Dismissed,TimeServed,3209,2025-06-07,2020-08-03,357,Y,N,Y,20.35,Y,N,N,N
2024-07-03,IPC-379,Misdemeanor,1686605,N,CASE-8184ba733eedcd1a,Acquitted,Fine,1070,2020-06-03,2019-02-01,205,Y,N,Y,48.42,N,Y,N,Y
2022-07-07,IT-66C,Misdemeanor,2353341,Y,CASE-c65fc5b0adf232eb,Pending,CommunityService,3442,2018-06-01,2024-07-08,140,Y,N,Y,5.33,Y,Y,Y,Y
2021-10-05,IPC-302,Infraction,475714,N,CASE-09b6c7e0a43a6cf6,Acquitted,Fine,2177,2018-11-10,2020-02-24,206,Y,Y,N,78.11,N,N,Y,N
2018-05-24,IPC-354,Misdemeanor,322809,N,CASE-118c779dc9cc6a13,Acquitted,TimeServed,989,2020-11-14,2025-11-08,673,Y,N,N,33.42,N,Y,Y,N
2024-11-05,IT-66C,Misdemeanor,691141,Y,CASE-feb82ee769097daa,Transferred,Probation,2584,2021-12-24,2022-03-27,533,N,N,N,92.77,Y,Y,N,N
2021-04-28,IPC-420,Misdemeanor,2244339,Y,CASE-2cef40c988af9c9a,Convicted,CommunityService,1912,2020-02-28,2020-07-31,389,N,Y,Y,41.62,N,Y,N,N
2019-01-06,IPC-379,Misdemeanor,1170021,N,CASE-27b99e3171b36260,BailGranted,Probation,1560,2018-01-12,2022-05-14,106,Y,N,N,53.79,N,N,N,Y
2022-09-11,IPC-420,Felony,952181,N,CASE-95474fa599cf7a3a,Convicted,CommunityService,2089,2018-01-13,2023-12-11,62,Y,N,Y,35.23,N,Y,Y,Y
2024-08-22,IPC-498A,Misdemeanor,1350545,N,CASE-0adb06eec91ee1f7,Transferred,Fine,989,2024-02-09,2020-01-19,558,Y,Y,N,7.1,N,Y,N,N
2023-04-21,IPC-420,Infraction,1545206,N,CASE-d9e66501d366b1a0,Dismissed,CommunityService,2145,2023-05-14,2024-10-23,509,Y,N,N,80.78,Y,Y,N,Y
2023-10-03,IPC-420,Misdemeanor,2281390,N,CASE-d292115be7d12e95,Dismissed,Diversion,46,2021-12-14,2022-05-16,120,N,Y,N,33.92,N,Y,N,N
2018-09-16,IPC-379,Infraction,1824339,N,CASE-300b58d14e4116b4,Convicted,CommunityService,1363,2018-12-13,2024-12-30,196,N,N,N,33.31,Y,Y,Y,Y
2020-02-17,IT-66C,Misdemeanor,946352,Y,CASE-902bde04e1cf33e5,Acquitted,Fine,2151,2023-11-26,2022-10-28,595,N,N,N,96.37,N,Y,N,N
2024-10-22,IPC-354,Misdemeanor,1751070,N,CASE-1042d674c65ac86e,Dismissed,Diversion,1025,2018-10-04,2018-09-22,166,N,Y,Y,73.64,Y,N,Y,Y
2023-05-19,IPC-379,Misdemeanor,278307,N,CASE-8079420fe7a7229a,Acquitted,TimeServed,1902,2025-07-02,2020-08-09,13,N,N,N,38.77,N,Y,Y,Y
2023-11-19,IT-66C,Misdemeanor,2280831,N,CASE-11b0fe237bf5567c,Plea,Fine,35,2023-03-30,2020-07-14,183,Y,N,Y,75.76,N,N,Y,N
2023-11-29,IPC-379,Infraction,1245120,N,CASE-03a03aa6be44d85b,BailGranted,Diversion,714,2025-01-24,2019-04-17,524,N,N,Y,61.82,N,Y,N,N
2022-08-28,IPC-379,Misdemeanor,1786066,Y,CASE-d3ab61b5ece83f08,Acquitted,Imprisonment,2900,2024-08-27,2023-01-15,256,N,Y,Y,59.86,N,N,Y,Y
2025-02-28,IPC-392,Infraction,1946204,N,CASE-d0bcb0cb119e40cf,Pending,Probation,3074,2018-06-30,2021-01-25,148,Y,N,N,22.91,Y,Y,Y,Y
2022-12-05,IT-66C,Felony,561066,Y,CASE-12ff792820171cc9,Pending,TimeServed,2030,2024-06-13,2018-04-26,667,N,Y,Y,34.91,Y,N,N,Y
2023-11-02,IPC-302,Misdemeanor,2102435,N,CASE-cf450e4694a8ef3f,Convicted,Probation,3121,2020-10-29,2019-02-01,462,N,Y,Y,40.18,Y,Y,N,Y
2025-11-25,IPC-498A,Felony,558424,N,CASE-0422e81619cc4cb7,Convicted,Imprisonment,2823,2023-05-08,2024-12-16,50,Y,Y,N,5.49,N,N,Y,N
2022-08-15,IPC-379,Felony,546463,Y,CASE-1a8ce3d0a8ce7fef,Acquitted,TimeServed,273,2024-04-18,2019-04-14,150,N,N,Y,8.46,Y,Y,Y,N
2020-07-28,IPC-354,Misdemeanor,1345715,N,CASE-15cc16503dd9d840,Transferred,Diversion,99,2021-01-08,2021-07-03,418,N,Y,N,69.9,Y,Y,N,Y
2019-04-21,NDPS-21,Misdemeanor,559460,N,CASE-1368611d73fa954c,BailGranted,Imprisonment,1751,2023-03-04,2023-06-20,64,N,N,Y,69.04,Y,N,Y,N
2018-01-09,NDPS-21,Misdemeanor,14643,Y,CASE-e8ded08e31d6bcbf,Acquitted,TimeServed,2235,2019-04-12,2022-05-18,219,Y,Y,N,4.43,N,Y,N,Y
2024-05-23,IPC-379,Felony,1782256,N,CASE-0af54eff3b2e12c0,Dismissed,Diversion,2584,2024-11-23,2023-09-15,37,Y,Y,N,93.24,Y,N,N,N
2019-09-19,IPC-302,Felony,135815,Y,CASE-64b88d131827daf7,Pending,Diversion,1155,2023-03-19,2024-11-04,6,Y,N,Y,14.99,N,N,N,N
2023-12-21,IPC-420,Felony,869921,Y,CASE-b88fee068fae4749,Transferred,Imprisonment,550,2020-05-09,2019-08-07,81,Y,N,Y,84.53,N,Y,N,N
2021-09-07,IPC-379,Misdemeanor,2448116,Y,CASE-e7d3894716ea0696,Transferred,Probation,1667,2022-07-09,2023-03-27,529,Y,Y,N,3.5,N,Y,N,N
2019-05-28,IPC-302,Misdemeanor,1439341,N,CASE-1b2d5284d1ee30f5,Transferred,TimeServed,1884,2023-08-04,2025-03-19,420,Y,N,Y,9.43,N,Y,Y,Y
2020-10-12,IPC-379,Misdemeanor,1330384,Y,CASE-90cfc6b626432ff2,Transferred,Diversion,311,2024-09-02,2025-01-28,241,Y,Y,N,54.38,Y,N,N,N
2024-05-20,IPC-302,Misdemeanor,581276,N,CASE-ddc3734328bb6523,BailGranted,Diversion,731,2019-07-10,2024-01-27,671,Y,Y,Y,10.65,N,N,N,N
2021-08-02,IPC-302,Misdemeanor,956261,Y,CASE-45683b0dfb0de090,Transferred,CommunityService,928,2023-05-21,2020-01-17,382,Y,N,N,44.13,N,Y,N,N
2020-03-15,IPC-498A,Misdemeanor,1143613,N,CASE-67dc52fa2417be3b,Transferred,Probation,4,2022-05-23,2023-11-27,416,N,N,Y,31.87,N,N,N,N
2023-07-06,IT-66C,Misdemeanor,940035,N,CASE-72ad15ad3915688c,Plea,Imprisonment,2502,2022-11-28,2021-02-15,70,Y,N,Y,1.23,N,N,Y,N
2021-06-18,IPC-354,Felony,1082914,N,CASE-43b7de0394712288,Pending,Probation,3010,2019-09-08,2023-12-28,345,N,Y,N,29.55,N,Y,Y,Y
2023-12-23,NDPS-21,Felony,1216811,Y,CASE-175671b916636aec,Plea,Fine,1573,2019-10-22,2025-10-23,647,Y,N,Y,1.44,Y,Y,N,N
2023-10-04,IPC-354,Felony,1130855,Y,CASE-f9df0e1a25b703c3,Plea,CommunityService,3384,2018-10-24,2018-09-23,315,Y,N,Y,64.81,Y,Y,Y,Y
2023-09-19,IT-66C,Felony,976626,Y,CASE-66fd6f1a312ade63,Pending,Fine,480,2019-05-26,2020-10-07,615,N,Y,N,81.95,N,Y,Y,N
2023-06-05,IPC-379,Misdemeanor,1304128,Y,CASE-894a4b391ec8f2c4,Transferred,Diversion,3489,2025-06-14,2019-05-06,17,Y,N,N,23.24,N,N,N,Y
2024-12-04,NDPS-21,Misdemeanor,176064,N,CASE-ee922a090cdcbee0,Pending,Probation,858,2018-08-03,2021-08-08,237,N,Y,Y,9.1,N,Y,Y,N
2020-06-20,IPC-420,Misdemeanor,974628,Y,CASE-ae8a7d0a5b7a6909,Transferred,Imprisonment,1543,2020-07-15,2022-09-14,695,N,Y,Y,40.81,N,Y,Y,Y
2022-05-16,IPC-498A,Felony,744630,Y,CASE-aa58605e1dbacaf1,Plea,Diversion,3017,2024-03-05,2025-09-09,504,Y,N,N,46.2,N,Y,Y,N
2024-07-14,IT-66C,Misdemeanor,1703012,N,CASE-b8bf291bacf0590c,Pending,TimeServed,1317,2023-09-26,2022-12-18,73,Y,Y,Y,58.55,N,Y,Y,Y
2024-11-14,IPC-420,Felony,2380788,Y,CASE-940021be76e8a18e,Acquitted,Diversion,2666,2018-01-15,2023-09-06,114,Y,N,Y,21.24,Y,N,N,Y
2024-05-12,NDPS-21,Misdemeanor,2089390,N,CASE-888e3cf28b0f64aa,Plea,Probation,1804,2024-06-15,2018-10-01,459,Y,Y,N,99.72,N,Y,Y,N
2020-06-05,IPC-498A,Infraction,1249055,N,CASE-b7b06ee5759aeeef,Plea,CommunityService,836,2019-07-30,2020-01-18,683,Y,Y,Y,18.87,Y,Y,Y,Y
2019-11-30,IPC-498A,Misdemeanor,675601,N,CASE-cf925c99991bf21d,Plea,CommunityService,1846,2020-10-06,2018-07-12,73,Y,Y,N,78.77,Y,Y,N,N
2025-03-08,IT-66C,Felony,2107628,Y,CASE-8fdc8e320c0f1b65,Acquitted,TimeServed,1818,2025-03-02,2019-01-30,441,Y,N,Y,1.56,Y,Y,Y,N
2019-08-04,IPC-392,Misdemeanor,703900,N,CASE-4c44ee516116002b,Plea,Imprisonment,3193,2024-10-07,2025-03-10,133,N,Y,Y,82.5,Y,N,N,Y
2022-09-13,IPC-354,Felony,1775898,N,CASE-fb5043042c665e1a,BailGranted,TimeServed,2061,2024-08-15,2019-09-08,312,Y,Y,Y,8.35,Y,Y,N,N
2018-08-14,IPC-498A,Infraction,392154,N,CASE-4a4509a59d666cf1,Plea,Fine,901,2019-08-24,2024-06-10,265,N,Y,Y,9.05,N,N,N,Y
2019-04-29,IPC-302,Misdemeanor,1703737,Y,CASE-a4fb22005e8214f6,Pending,Imprisonment,87,2019-01-24,2019-01-15,549,N,N,Y,61.52,N,Y,Y,N
2019-10-19,IPC-392,Misdemeanor,457237,Y,CASE-9d40c3e15e7e8b0b,Pending,CommunityService,1208,2020-06-05,2019-06-24,222,Y,N,N,79.0,Y,Y,N,N
2025-01-14,IPC-379,Felony,1713080,N,CASE-c3de66b1782b3e2d,Transferred,Fine,72,2023-10-25,2025-02-10,497,N,Y,N,40.33,N,N,N,Y
2023-04-27,NDPS-21,Misdemeanor,1204935,Y,CASE-76677c910caca65b,BailGranted,Diversion,2145,2020-02-18,2021-09-30,355,Y,Y,Y,75.86,N,Y,N,N
2019-08-21,IPC-354,Felony,2399137,N,CASE-0d357cda8de365d1,Plea,TimeServed,1089,2020-05-01,2020-11-03,698,Y,Y,Y,91.89,Y,N,N,N
2021-07-22,IPC-392,Felony,1866606,Y,CASE-48fb5737339bc75f,Dismissed,Imprisonment,848,2019-03-25,2024-06-07,495,Y,Y,N,0.23,Y,N,Y,N
2021-01-31,NDPS-21,Felony,654552,Y,CASE-8148e9a1878aa885,Convicted,Probation,3116,2020-10-30,2018-06-25,401,Y,Y,N,81.04,Y,N,Y,Y
2023-03-21,NDPS-21,Felony,1345662,N,CASE-36676d218770fcf7,Plea,Probation,796,2019-12-17,2024-01-12,169,Y,N,N,35.87,N,N,Y,Y
2024-10-15,IPC-392,Misdemeanor,663300,Y,CASE-7c6da0cccfa3e779,Plea,Fine,2343,2024-11-17,2019-05-25,190,Y,Y,Y,82.58,Y,N,N,Y
2024-02-24,IPC-302,Misdemeanor,1662738,Y,CASE-5414c9597c441634,Transferred,CommunityService,3479,2019-12-02,2025-02-02,256,N,Y,N,92.55,Y,N,Y,Y
2019-01-18,IPC-302,Misdemeanor,531574,Y,CASE-a9700f75b9f089b8,Plea,Imprisonment,3438,2020-01-06,2023-11-13,121,N,Y,Y,44.49,N,Y,N,Y
2022-07-24,NDPS-21,Felony,2430308,Y,CASE-763cf26e5ae20e30,Plea,Fine,2617,2021-08-09,2019-06-30,317,N,N,N,90.41,N,Y,N,N
2021-09-04,IPC-498A,Misdemeanor,16839,Y,CASE-c4f280363dd190d7,Acquitted,Diversion,1248,2018-11-15,2024-08-02,610,Y,Y,Y,11.32,N,N,Y,N
2018-03-09,IPC-392,Misdemeanor,1670672,Y,CASE-11621b08ff0eee3f,Acquitted,Fine,2055,2022-04-20,2024-08-26,50,N,N,N,9.42,N,N,Y,N
2020-12-19,IPC-379,Infraction,43583,Y,CASE-82773849380bcdad,BailGranted,Fine,2973,2022-09-30,2022-05-28,194,N,Y,Y,94.5,N,N,Y,Y
2022-10-22,IT-66C,Felony,2205382,N,CASE-96b6383eb5786c3e,Transferred,Probation,1607,2024-12-20,2021-11-27,107,N,N,N,98.44,N,N,N,Y
2020-08-05,IPC-498A,Felony,708233,Y,CASE-de4200474f92ee37,Acquitted,Probation,3098,2019-08-13,2019-02-09,253,N,N,N,20.99,Y,N,Y,N
2023-02-15,IPC-420,Misdemeanor,161790,Y,CASE-9ce576c296357c5d,BailGranted,Diversion,660,2025-05-29,2020-01-10,486,N,N,Y,4.6,N,Y,N,Y
2021-11-27,IPC-392,Felony,1815680,Y,CASE-99a8e9d80ea48c1f,Convicted,Diversion,720,2021-04-02,2021-05-22,35,N,Y,N,16.95,Y,Y,N,N
2020-03-06,IPC-498A,Felony,80098,Y,CASE-a75a8ecbe5fd512c,Pending,Probation,3201,2018-05-09,2020-08-22,366,N,N,N,60.5,N,N,N,N
2018-04-24,IPC-354,Misdemeanor,2373829,Y,CASE-fdbb605a1f799593,Pending,Probation,2840,2019-07-24,2018-08-10,342,Y,Y,Y,74.77,N,N,Y,Y
2019-10-03,IT-66C,Felony,2253848,N,CASE-2df0bcf9c7fa7277,Plea,TimeServed,3340,2022-08-03,2025-09-02,576,Y,N,Y,58.94,N,Y,N,Y
2021-12-08,NDPS-21,Felony,1105783,N,CASE-2e1ff0e9b141bcdb,Acquitted,TimeServed,2977,2020-02-29,2018-07-19,473,N,Y,N,80.55,Y,N,Y,Y
2019-10-20,NDPS-21,Misdemeanor,1891811,Y,CASE-f3447e970a399f6c,BailGranted,TimeServed,3434,2023-02-11,2022-11-27,159,Y,Y,N,18.38,Y,N,Y,Y
2019-02-13,IPC-379,Misdemeanor,2364465,Y,CASE-26cf5b640149866f,Transferred,Imprisonment,513,2021-10-29,2020-03-19,408,Y,N,N,46.33,Y,Y,Y,Y
2019-11-04,IT-66C,Felony,418744,Y,CASE-e137ee81f3aa13c3,BailGranted,CommunityService,2277,2020-03-17,2021-01-16,9,N,N,Y,41.77,N,N,Y,Y
2023-04-07,IPC-354,Infraction,1164641,Y,CASE-c100c497a2788832,Pending,Imprisonment,3273,2025-03-21,2020-11-15,60,Y,Y,N,31.49,N,Y,N,N
2019-05-16,IPC-498A,Felony,134466,Y,CASE-8bb2bd8f5511577f,Transferred,Probation,2569,2025-04-06,2022-09-09,547,Y,N,Y,22.03,N,Y,Y,N
2025-08-16,IPC-392,Misdemeanor,2053665,N,CASE-f794de8e8a0a2e0d,Plea,CommunityService,3461,2024-11-15,2024-06-12,281,Y,N,Y,32.19,Y,Y,Y,Y
2023-09-03,IPC-302,Misdemeanor,699261,N,CASE-2e9be09e65d34603,Plea,CommunityService,995,2022-10-12,2018-06-17,223,Y,Y,Y,76.43,Y,N,N,N
2025-05-18,IPC-379,Felony,830679,N,CASE-3ea61efbd9cdfda0,Acquitted,Probation,541,2019-07-16,2021-10-13,631,N,N,N,52.76,Y,N,Y,Y
2023-07-28,IPC-302,Felony,1726097,N,CASE-80c9a9e995cc2d93,Transferred,Fine,1196,2020-11-14,2022-10-27,266,N,Y,N,89.55,Y,Y,N,Y
2024-10-01,IPC-498A,Misdemeanor,437507,N,CASE-5ed5c4d84f5e32aa,Convicted,Fine,827,2018-03-03,2025-10-28,540,N,Y,Y,85.82,Y,Y,N,Y
2019-01-02,IPC-392,Infraction,2317848,Y,CASE-c75ef5e67372d2de,Plea,Diversion,2555,2018-05-15,2020-07-07,653,Y,N,N,3.05,N,N,Y,Y
2022-11-06,IPC-379,Felony,2036481,Y,CASE-a24fd48826c635d4,Transferred,Imprisonment,1884,2024-02-29,2018-01-21,289,Y,Y,N,0.22,N,N,Y,Y
2024-12-05,IPC-354,Misdemeanor,1752397,N,CASE-314cbb101f02ccb7,Transferred,Diversion,229,2025-11-21,2020-05-19,474,N,Y,Y,74.39,Y,N,N,N
2022-12-11,IPC-498A,Infraction,707658,Y,CASE-fd8100cdeee3c6f5,Transferred,Probation,1734,2018-02-22,2021-08-31,568,N,Y,Y,1.16,N,N,Y,N
2024-06-17,IPC-302,Infraction,32167,N,CASE-54bd7d7612274466,Pending,Probation,752,2019-02-18,2024-07-13,665,N,Y,Y,35.42,Y,Y,N,N
2019-03-04,IPC-379,Infraction,1082084,Y,CASE-6ac9b28f26c289de,Transferred,Fine,1305,2025-10-09,2025-02-21,469,Y,Y,Y,75.47,N,N,Y,Y
2018-01-13,IPC-498A,Misdemeanor,1558464,N,CASE-1561b369e8b1a8ae,Dismissed,Imprisonment,1404,2019-12-12,2018-07-07,405,Y,Y,Y,47.38,N,N,Y,N
2018-04-25,IPC-379,Misdemeanor,828630,N,CASE-0529aeae8a668a5d,BailGranted,Fine,535,2019-01-02,2023-09-17,341,Y,N,Y,92.91,Y,N,N,N
2019-01-27,IPC-379,Felony,2018344,N,CASE-3b75e3e6cb3e0ad3,BailGranted,TimeServed,1420,2024-07-04,2020-12-17,167,Y,N,Y,91.22,Y,N,N,Y
2023-02-12,IT-66C,Felony,1265731,N,CASE-2fb2ab258ca17f2a,Plea,Imprisonment,1390,2019-12-29,2019-10-27,314,N,N,N,24.05,Y,N,N,N
2020-10-26,IT-66C,Misdemeanor,2065999,N,CASE-b5180593c931d867,BailGranted,Imprisonment,3008,2021-09-15,2019-10-04,247,Y,Y,N,24.71,Y,Y,Y,Y
2025-08-29,IPC-302,Misdemeanor,930801,Y,CASE-8f6c547497827264,Plea,TimeServed,2546,2019-06-12,2019-08-11,215,Y,Y,Y,42.92,Y,Y,Y,Y
2020-01-13,IPC-498A,Misdemeanor,113148,Y,CASE-092145831386ef34,Acquitted,CommunityService,329,2022-05-31,2018-03-14,716,N,Y,N,28.61,N,N,N,N
2023-09-09,IPC-379,Misdemeanor,1661146,Y,CASE-53c01d33ac0cc175,Dismissed,Diversion,561,2018-11-11,2021-09-20,491,N,N,Y,49.29,N,N,N,Y
2023-08-11,IPC-420,Misdemeanor,356999,Y,CASE-e649663281045d74,Plea,Diversion,2741,2023-11-10,2018-11-13,249,Y,Y,Y,24.33,N,Y,Y,Y
2018-02-09,IPC-354,Infraction,2165043,N,CASE-8bcc5cd4fe7e3811,Convicted,Probation,237,2020-12-21,2025-11-12,145,Y,N,Y,72.1,N,N,N,N
2020-11-14,IPC-302,Infraction,384211,N,CASE-207d8c7d42d41260,Dismissed,Diversion,3395,2024-12-17,2019-03-05,397,N,N,N,77.11,Y,Y,Y,Y
2018-05-17,IPC-420,Misdemeanor,1418886,N,CASE-a942969bd019273b,BailGranted,CommunityService,1306,2021-12-14,2022-11-01,445,Y,N,Y,21.53,N,Y,Y,N
2022-08-23,IPC-392,Misdemeanor,2241858,N,CASE-0b0cc2bb7bd38609,Convicted,Fine,1070,2022-04-28,2025-09-15,138,Y,N,N,13.54,N,Y,Y,Y
2023-10-06,IPC-392,Misdemeanor,499079,Y,CASE-5db1f9517bca7e19,Plea,Imprisonment,2793,2019-08-20,2022-12-09,470,Y,Y,N,25.79,Y,Y,Y,Y
2022-03-03,IPC-379,Felony,243408,Y,CASE-7a9d8de0de6e3f9e,Pending,CommunityService,1685,2020-11-27,2018-06-22,17,N,Y,Y,66.79,N,Y,Y,N
2018-09-06,IPC-354,Infraction,1104506,N,CASE-93e7596290f59059,BailGranted,Fine,3571,2019-12-14,2019-08-30,380,Y,Y,N,32.81,N,Y,Y,Y
2020-12-15,IPC-392,Felony,1173843,N,CASE-e7819ac360b833cf,Plea,TimeServed,2355,2024-04-21,2023-01-05,138,N,N,Y,99.33,N,Y,N,N
