soc_esspros_reference_year,soc_esspros_country_iso2,soc_esspros_function_code,soc_esspros_benefit_type_code,soc_esspros_financing_source_code,soc_esspros_expenditure_total_eur,soc_esspros_expenditure_pct_gdp,soc_esspros_beneficiaries_count,soc_esspros_mean_benefit_eur,soc_esspros_admin_cost_eur,soc_esspros_in_kind_benefit_eur,soc_esspros_cash_benefit_eur,soc_esspros_means_tested_share_pct,soc_esspros_digital_application_rate_pct,soc_esspros_processing_time_days_median,soc_esspros_fraud_detected_amount_eur,soc_esspros_recovery_amount_eur,soc_esspros_eurostat_table_code,soc_esspros_methodology_version,soc_esspros_data_extract_date
2022,HR,FAMILY_CHILDREN,IN_KIND,SOCIAL_CONTRIBUTIONS,18602687832.74,20.566,24074,772729.41,206425468.11,3884058154.0,14718629678.74,54.94,25.18,15,6600912.44,4345253.71,spr_exp_oth,ESSPROS_2024A,2025-09-20
2023,DE,DISABILITY,TAX_RELIEF,GENERAL_TAX,32221216570.52,31.144,23946,1345578.24,1594010756.0,16675433937.19,15545782633.33,36.97,35.68,30,46582344.34,13878062.88,spr_exp_fnct,ESSPROS_2023,2024-03-31
2024,LU,HOUSING,MIXED,EMPLOYER,34188320693.65,31.617,24653,1386781.35,1210620269.66,4348892186.03,29839428507.62,57.05,34.53,25,29645463.59,7848265.11,spr_finsum,ESSPROS_2021,2025-12-17
2025,SI,SURVIVORS,CASH_PERIODIC,HOUSEHOLD,28251598378.48,25.723,22777,1240356.43,519568922.5,8704743701.27,19546854677.21,22.35,33.95,34,75023545.08,54462597.53,spr_exp_sum,ESSPROS_2019,2024-12-09
2026,CY,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,EU_FUNDS,20010367362.43,22.256,23486,852012.58,421884071.73,9249035987.55,10761331374.88,38.81,66.28,34,53655309.28,39576646.34,spr_ben_sum,ESSPROS_2025B,2024-02-11
2010,GR,UNEMPLOYMENT,IN_KIND,OTHER,34219518463.35,29.32,22523,1519314.41,2040053020.96,7472987763.45,26746530699.9,43.72,14.38,25,130350537.06,43876495.19,spr_exp_oth,ESSPROS_2024A,2024-05-26
2011,MT,OLD_AGE,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,14191038862.68,12.198,24605,576754.27,253000174.94,2102780751.77,12088258110.91,12.92,88.32,32,11796046.84,4027130.7,spr_exp_fnct,ESSPROS_2023,2025-05-21
2012,ES,SOCIAL_EXCLUSION,MIXED,GENERAL_TAX,13014114759.28,11.378,25054,519442.59,228003319.76,4176008582.19,8838106177.09,10.13,91.61,40,26434873.08,15455503.22,spr_finsum,ESSPROS_2021,2025-02-05
2013,CZ,FAMILY_CHILDREN,CASH_PERIODIC,EMPLOYER,25430399685.62,26.613,23103,1100740.15,1467871824.31,9873225725.53,15557173960.09,43.95,32.98,41,90516414.45,20176361.08,spr_exp_sum,ESSPROS_2019,2025-09-21
2014,HU,DISABILITY,CASH_LUMP_SUM,HOUSEHOLD,21955360150.47,17.307,24044,913132.6,379538043.26,2357916014.47,19597444136.0,62.22,47.47,34,88936287.69,46397159.36,spr_ben_sum,ESSPROS_2025B,2024-02-26
2015,NL,HOUSING,IN_KIND,EU_FUNDS,22686603487.13,18.923,24745,916815.66,702263448.31,8047426466.13,14639177021.0,50.61,30.86,36,71284300.13,42060871.83,spr_exp_oth,ESSPROS_2024A,2024-12-06
2016,SE,SURVIVORS,TAX_RELIEF,OTHER,24577808550.9,23.28,25085,979781.09,1115842628.59,5465374805.3,19112433745.6,51.79,68.8,38,43610924.95,23150056.01,spr_exp_fnct,ESSPROS_2023,2026-01-07
2017,DK,SICKNESS_HEALTHCARE,MIXED,SOCIAL_CONTRIBUTIONS,31133547527.04,25.117,24061,1293942.38,1293671923.46,4699492487.17,26434055039.87,43.47,87.64,28,125891772.22,86326452.57,spr_finsum,ESSPROS_2021,2025-09-09
2018,IE,UNEMPLOYMENT,CASH_PERIODIC,GENERAL_TAX,26853328511.22,22.85,25294,1061648.16,1098962721.4,4096250794.53,22757077716.69,51.19,63.97,43,91329431.28,40459898.61,spr_exp_sum,ESSPROS_2019,2026-01-28
2019,PL,OLD_AGE,CASH_LUMP_SUM,EMPLOYER,34029041735.43,28.063,24189,1406798.2,1238819192.27,18224181376.36,15804860359.07,55.26,36.2,36,140025229.7,66151115.85,spr_ben_sum,ESSPROS_2025B,2025-09-29
2020,AT,SOCIAL_EXCLUSION,IN_KIND,HOUSEHOLD,13109189058.17,9.696,23616,555097.78,356213005.64,3257085596.73,9852103461.44,44.01,78.78,38,52428842.83,32336837.29,spr_exp_oth,ESSPROS_2024A,2025-04-13
2021,EE,FAMILY_CHILDREN,TAX_RELIEF,EU_FUNDS,30303938705.93,26.043,24293,1247435.01,796996003.46,12822153944.77,17481784761.16,28.59,44.22,33,104056967.5,20523433.28,spr_exp_fnct,ESSPROS_2023,2025-05-25
2022,IT,DISABILITY,MIXED,OTHER,46280054890.21,33.979,25749,1797353.49,1199388394.99,18331353662.25,27948701227.96,60.18,24.69,36,153196430.56,37170886.57,spr_finsum,ESSPROS_2021,2025-02-11
2023,PT,HOUSING,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,43343093733.39,32.796,25810,1679313.98,1105863401.04,9711673521.33,33631420212.06,26.98,10.68,33,17288105.92,7458540.85,spr_exp_sum,ESSPROS_2019,2025-10-12
2024,BE,SURVIVORS,CASH_LUMP_SUM,GENERAL_TAX,53958878320.98,33.427,24236,2226393.73,1384871145.62,13475165498.41,40483712822.57,58.62,41.15,37,170508913.65,34133190.4,spr_ben_sum,ESSPROS_2025B,2024-03-12
2025,FI,SICKNESS_HEALTHCARE,IN_KIND,EMPLOYER,24295892071.8,17.627,26272,924782.74,1411038642.54,12068022628.76,12227869443.04,53.93,29.75,48,75067904.48,19647820.64,spr_exp_oth,ESSPROS_2024A,2024-05-18
2026,LV,UNEMPLOYMENT,TAX_RELIEF,HOUSEHOLD,10111985777.82,6.192,25894,390514.63,485364812.61,5280557784.04,4831427993.78,55.83,43.92,45,4287480.66,2002745.34,spr_exp_fnct,ESSPROS_2023,2024-02-22
2010,RO,OLD_AGE,MIXED,EU_FUNDS,11561206010.71,7.933,25157,459562.19,486718687.22,3302334954.23,8258871056.48,24.43,91.11,53,42970637.91,28662572.24,spr_finsum,ESSPROS_2021,2024-07-15
2011,BG,SOCIAL_EXCLUSION,CASH_PERIODIC,OTHER,41147979956.8,25.268,26145,1573837.44,1341253827.22,22310329522.26,18837650434.54,57.99,93.92,52,146860674.35,51581426.72,spr_exp_sum,ESSPROS_2019,2025-12-23
2012,FR,FAMILY_CHILDREN,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,18470370476.55,13.596,26222,704384.5,1043804942.11,8914831334.95,9555539141.6,33.32,46.44,47,59166455.03,40149556.73,spr_ben_sum,ESSPROS_2025B,2025-07-31
2013,LT,DISABILITY,IN_KIND,GENERAL_TAX,27315013666.94,17.761,25732,1061519.26,1038405828.33,8845387644.78,18469626022.16,58.39,11.57,50,69502161.97,48499702.58,spr_exp_oth,ESSPROS_2024A,2025-10-11
2014,SK,HOUSING,TAX_RELIEF,EMPLOYER,26885485438.57,14.782,26284,1022884.09,734344308.85,8052890113.78,18832595324.79,28.62,78.55,53,48569252.52,19687678.52,spr_exp_fnct,ESSPROS_2023,2024-03-14
2015,HR,SURVIVORS,MIXED,HOUSEHOLD,32183779540.66,22.093,27408,1174247.65,1397812354.1,3354065242.28,28829714298.38,39.24,90.84,45,110861639.11,39446637.33,spr_finsum,ESSPROS_2021,2024-12-03
2016,DE,SICKNESS_HEALTHCARE,CASH_PERIODIC,EU_FUNDS,33407677486.39,19.963,27626,1209283.92,719711565.87,14527433564.69,18880243921.7,31.62,90.88,47,86965974.17,63721001.69,spr_exp_sum,ESSPROS_2019,2025-08-02
2017,LU,UNEMPLOYMENT,CASH_LUMP_SUM,OTHER,11475531107.83,6.266,25389,451988.31,369759611.32,6073107500.15,5402423607.68,15.1,75.43,52,12789314.24,2421550.26,spr_ben_sum,ESSPROS_2025B,2024-07-02
2018,SI,OLD_AGE,IN_KIND,SOCIAL_CONTRIBUTIONS,54919184544.68,33.499,27428,2002303.65,1522403505.2,9008620152.61,45910564392.07,54.78,16.84,53,214164171.17,70832618.49,spr_exp_oth,ESSPROS_2024A,2024-03-24
2019,CY,SOCIAL_EXCLUSION,TAX_RELIEF,GENERAL_TAX,10291082292.21,5.372,27007,381052.4,195795779.38,1207712880.62,9083369411.59,36.49,61.0,60,45852927.28,20038904.99,spr_exp_fnct,ESSPROS_2023,2025-04-18
2020,GR,FAMILY_CHILDREN,MIXED,EMPLOYER,54067932497.07,28.695,26597,2032858.31,612306090.49,24299094742.09,29768837754.98,57.12,82.06,59,243207474.79,57825369.1,spr_finsum,ESSPROS_2021,2024-07-09
2021,MT,DISABILITY,CASH_PERIODIC,HOUSEHOLD,16213666604.46,8.071,28255,573833.54,883780569.97,3304347447.16,12909319157.3,37.73,38.03,62,54853936.23,11474968.96,spr_exp_sum,ESSPROS_2019,2025-01-23
2022,ES,HOUSING,CASH_LUMP_SUM,EU_FUNDS,63440708656.06,31.954,26637,2381676.19,766528568.57,20711014306.59,42729694349.47,10.04,82.81,63,197735748.07,86774569.43,spr_ben_sum,ESSPROS_2025B,2024-07-17
2023,CZ,SURVIVORS,IN_KIND,OTHER,32913610388.72,17.696,26783,1228899.32,906856118.82,6647672922.31,26265937466.41,33.0,83.57,55,5612719.62,1845132.64,spr_exp_oth,ESSPROS_2024A,2025-04-02
2024,HU,SICKNESS_HEALTHCARE,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,30091858968.87,14.84,26496,1135713.28,1719375489.68,9023435334.36,21068423634.51,37.18,16.38,65,97169946.81,35976860.95,spr_exp_fnct,ESSPROS_2023,2025-11-20
2025,NL,UNEMPLOYMENT,MIXED,GENERAL_TAX,49874695511.16,29.558,26437,1886548.98,744826180.59,16315478542.15,33559216969.01,32.43,64.23,54,117176237.9,35466248.66,spr_finsum,ESSPROS_2021,2024-03-08
2026,SE,OLD_AGE,CASH_PERIODIC,EMPLOYER,9157715063.8,4.968,27695,330663.12,94995429.36,2943698807.59,6214016256.21,55.61,46.65,67,38217253.51,15210759.46,spr_exp_sum,ESSPROS_2019,2024-06-30
2010,DK,SOCIAL_EXCLUSION,CASH_LUMP_SUM,HOUSEHOLD,25765128698.47,14.264,26676,965854.28,573049313.62,9561618185.04,16203510513.43,61.83,85.35,72,56448725.66,21370432.88,spr_ben_sum,ESSPROS_2025B,2025-10-04
2011,IE,FAMILY_CHILDREN,IN_KIND,EU_FUNDS,22293975273.6,10.728,27004,825580.48,397212151.6,11032402378.95,11261572894.65,32.3,8.8,64,9924921.62,2857369.31,spr_exp_oth,ESSPROS_2024A,2025-12-19
2012,PL,DISABILITY,TAX_RELIEF,OTHER,11451513578.49,6.336,29319,390583.36,183019123.07,5034483862.05,6417029716.44,11.31,34.9,57,40254480.66,11358290.87,spr_exp_fnct,ESSPROS_2023,2024-04-22
2013,AT,HOUSING,MIXED,SOCIAL_CONTRIBUTIONS,46537306715.31,26.633,28305,1644137.32,2619270904.16,13746376908.4,32790929806.91,62.73,33.05,63,83424810.64,37238136.01,spr_finsum,ESSPROS_2021,2024-10-29
2014,EE,SURVIVORS,CASH_PERIODIC,GENERAL_TAX,26530533947.25,12.462,28202,940732.36,828342823.6,9088041400.55,17442492546.7,22.17,27.77,75,5467292.23,1723872.86,spr_exp_sum,ESSPROS_2019,2024-10-29
2015,IT,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,EMPLOYER,55944090413.51,26.272,27693,2020152.76,1958604718.15,11008227249.59,44935863163.92,14.12,60.45,70,22272070.95,15186220.07,spr_ben_sum,ESSPROS_2025B,2025-12-17
2016,PT,UNEMPLOYMENT,IN_KIND,HOUSEHOLD,6518701726.39,3.016,29323,222306.78,86691307.56,3080718240.27,3437983486.12,55.97,85.39,78,18704509.58,12875672.72,spr_exp_oth,ESSPROS_2024A,2025-08-23
2017,BE,OLD_AGE,TAX_RELIEF,EU_FUNDS,27276375223.88,13.218,29845,913934.5,1220503256.09,9554690017.73,17721685206.15,43.7,89.92,70,8134637.31,2602279.72,spr_exp_fnct,ESSPROS_2023,2024-08-04
2018,FI,SOCIAL_EXCLUSION,MIXED,OTHER,10045565784.45,4.531,30007,334774.08,306631559.03,4866310043.16,5179255741.29,63.28,90.87,72,32916494.67,15761838.63,spr_finsum,ESSPROS_2021,2025-09-29
2019,LV,FAMILY_CHILDREN,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,15449767655.69,8.137,29901,516697.36,601292130.58,7683985682.22,7765781973.47,4.37,68.55,69,49619998.16,12944949.25,spr_exp_sum,ESSPROS_2019,2024-06-26
2020,RO,DISABILITY,CASH_LUMP_SUM,GENERAL_TAX,41968057972.35,19.402,28225,1486910.82,685553232.66,9755530180.62,32212527791.73,8.61,9.5,81,103610774.1,29146139.67,spr_ben_sum,ESSPROS_2025B,2024-03-25
2021,BG,HOUSING,IN_KIND,EMPLOYER,56756419803.25,27.039,28784,1971804.47,3276539665.26,28823436752.33,27932983050.92,51.92,76.45,79,95241462.11,36532355.38,spr_exp_oth,ESSPROS_2024A,2024-11-25
2022,FR,SURVIVORS,TAX_RELIEF,HOUSEHOLD,31840841126.25,13.775,29506,1079131.06,560144241.96,11863728413.06,19977112713.19,42.8,65.07,76,17813925.94,8886401.34,spr_exp_fnct,ESSPROS_2023,2025-02-15
2023,LT,SICKNESS_HEALTHCARE,MIXED,EU_FUNDS,52645300475.92,22.22,30241,1740858.45,1345545983.23,27786153580.25,24859146895.67,0.54,21.45,79,160300561.34,113076119.48,spr_finsum,ESSPROS_2021,2024-02-22
2024,SK,UNEMPLOYMENT,CASH_PERIODIC,OTHER,9923030113.08,4.801,29323,338404.33,189931351.45,2694480220.64,7228549892.44,12.61,86.95,69,24530288.81,11071024.53,spr_exp_sum,ESSPROS_2019,2025-08-06
2025,HR,OLD_AGE,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,44503855742.98,17.758,30519,1458234.4,1510854223.31,22735188993.92,21768666749.06,7.3,37.82,78,177117883.52,75151689.85,spr_ben_sum,ESSPROS_2025B,2025-01-02
2026,DE,SOCIAL_EXCLUSION,IN_KIND,GENERAL_TAX,63727906148.6,24.941,29740,2142834.77,1893926780.58,32464291595.93,31263614552.67,35.17,61.33,75,170619765.12,60727915.69,spr_exp_oth,ESSPROS_2024A,2025-11-05
2010,LU,FAMILY_CHILDREN,TAX_RELIEF,EMPLOYER,12204981025.44,5.671,30721,397284.63,356571681.71,6144182566.98,6060798458.46,32.58,68.78,80,49963707.33,29827042.58,spr_exp_fnct,ESSPROS_2023,2025-12-28
2011,SI,DISABILITY,MIXED,HOUSEHOLD,34383250744.4,16.434,29820,1153026.52,512221338.05,17115512104.54,17267738639.86,34.68,83.82,76,39141945.65,25689530.13,spr_finsum,ESSPROS_2021,2024-07-06
2012,CY,HOUSING,CASH_PERIODIC,EU_FUNDS,49443906752.72,20.435,29436,1679708.75,2669835303.39,11999849907.0,37444056845.72,62.89,87.2,87,94630540.94,35305733.5,spr_exp_sum,ESSPROS_2019,2025-03-21
2013,GR,SURVIVORS,CASH_LUMP_SUM,OTHER,20550587997.68,9.301,29371,699689.76,359529587.75,3017212504.35,17533375493.33,5.24,59.27,76,46968302.96,26947341.99,spr_ben_sum,ESSPROS_2025B,2025-07-17
2014,MT,SICKNESS_HEALTHCARE,IN_KIND,SOCIAL_CONTRIBUTIONS,11655971775.57,4.089,30258,385219.5,425428822.22,6013598262.21,5642373513.36,27.53,59.46,90,30627317.7,16182863.0,spr_exp_oth,ESSPROS_2024A,2025-04-21
2015,ES,UNEMPLOYMENT,TAX_RELIEF,GENERAL_TAX,39697253692.34,15.995,29413,1349649.94,1560309896.6,6876037857.02,32821215835.32,45.4,92.3,80,121954278.24,60667868.47,spr_exp_fnct,ESSPROS_2023,2024-04-18
2016,CZ,OLD_AGE,MIXED,EMPLOYER,35058771239.06,13.792,30594,1145936.17,1519206461.12,10856928192.22,24201843046.84,42.39,30.55,84,142899536.82,36537931.0,spr_finsum,ESSPROS_2021,2024-05-11
2017,HU,SOCIAL_EXCLUSION,CASH_PERIODIC,HOUSEHOLD,40535461714.31,14.98,31650,1280741.29,2223573456.71,7306491685.11,33228970029.2,0.58,79.82,90,179289674.01,101604312.18,spr_exp_sum,ESSPROS_2019,2024-09-07
2018,NL,FAMILY_CHILDREN,CASH_LUMP_SUM,EU_FUNDS,38769814503.25,13.955,31872,1216422.39,1295677961.57,8309119579.43,30460694923.82,63.1,69.76,84,159996454.24,65290735.21,spr_ben_sum,ESSPROS_2025B,2026-02-23
2019,SE,DISABILITY,IN_KIND,OTHER,36431954606.45,12.435,32068,1136084.4,1240375662.76,18176975031.72,18254979574.73,8.63,66.7,82,47631740.11,26330196.82,spr_exp_oth,ESSPROS_2024A,2025-01-31
2020,DK,HOUSING,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,69657309885.1,29.178,31261,2228249.57,3873011141.26,7471763965.11,62185545919.99,58.99,76.96,89,209046575.03,57321380.49,spr_exp_fnct,ESSPROS_2023,2025-02-22
2021,IE,SURVIVORS,MIXED,GENERAL_TAX,87046562429.59,32.011,29568,2943944.89,4823254818.93,9235486096.57,77811076333.02,37.02,33.45,95,250712857.67,181064155.81,spr_finsum,ESSPROS_2021,2026-02-14
2022,PL,SICKNESS_HEALTHCARE,CASH_PERIODIC,EMPLOYER,75840750246.13,30.578,32371,2342860.9,2886650813.67,21865724250.99,53975025995.14,32.3,74.88,97,71130238.3,37537247.93,spr_exp_sum,ESSPROS_2019,2024-01-15
2023,AT,UNEMPLOYMENT,CASH_LUMP_SUM,HOUSEHOLD,12757418834.4,4.964,29895,426740.89,220618955.71,4574827179.89,8182591654.51,31.98,71.73,94,33683024.03,22187481.88,spr_ben_sum,ESSPROS_2025B,2024-08-06
2024,EE,OLD_AGE,IN_KIND,EU_FUNDS,35024035145.16,11.398,32139,1089767.42,1634257672.04,8439690619.43,26584344525.73,44.9,86.93,100,52785907.96,24287373.31,spr_exp_oth,ESSPROS_2024A,2024-12-01
2025,IT,SOCIAL_EXCLUSION,TAX_RELIEF,OTHER,45908669400.93,19.047,32589,1408716.73,857478454.61,24693302843.2,21215366557.73,40.08,30.66,92,96885353.75,32682234.84,spr_exp_fnct,ESSPROS_2023,2024-02-21
2026,PT,FAMILY_CHILDREN,MIXED,SOCIAL_CONTRIBUTIONS,42699773276.59,14.224,33027,1292874.72,2383094374.36,17898698889.71,24801074386.88,48.42,74.46,91,56818872.35,10286479.7,spr_finsum,ESSPROS_2021,2026-02-25
2010,BE,DISABILITY,CASH_PERIODIC,GENERAL_TAX,43476159806.24,18.107,31690,1371920.47,2302670766.62,20235912110.92,23240247695.32,20.43,37.64,102,93930945.1,68041928.49,spr_exp_sum,ESSPROS_2019,2024-03-10
2011,FI,HOUSING,CASH_LUMP_SUM,EMPLOYER,101494726257.38,32.021,30472,3330753.68,3557133501.76,49837544113.2,51657182144.18,5.97,37.55,102,400223722.75,275091190.94,spr_ben_sum,ESSPROS_2025B,2025-10-27
2012,LV,SURVIVORS,IN_KIND,HOUSEHOLD,57391167894.53,22.495,30676,1870881.73,1325760054.91,29062361248.31,28328806646.22,53.77,40.68,98,78552593.84,21061186.7,spr_exp_oth,ESSPROS_2024A,2024-05-31
2013,RO,SICKNESS_HEALTHCARE,TAX_RELIEF,EU_FUNDS,69709001961.77,27.441,31096,2241735.33,2513806994.5,37471220666.1,32237781295.67,12.37,86.52,100,306883650.58,223095756.94,spr_exp_fnct,ESSPROS_2023,2024-03-13
2014,BG,UNEMPLOYMENT,MIXED,OTHER,17628988141.23,6.42,31799,554388.13,805366313.09,5436059203.2,12192928938.03,60.57,29.55,93,46883518.28,9739954.31,spr_finsum,ESSPROS_2021,2024-12-08
2015,FR,OLD_AGE,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,83326366416.81,28.124,32534,2561208.78,4800424304.74,17861770943.15,65464595473.66,15.07,43.81,100,340217477.39,206280194.65,spr_exp_sum,ESSPROS_2019,2025-10-25
2016,LT,SOCIAL_EXCLUSION,CASH_LUMP_SUM,GENERAL_TAX,47421556415.87,14.344,31101,1524759.86,1495957455.89,5247296586.39,42174259829.48,61.56,42.3,108,192440158.49,81617527.64,spr_ben_sum,ESSPROS_2025B,2025-07-29
2017,SK,FAMILY_CHILDREN,IN_KIND,EMPLOYER,35043397599.14,13.683,31495,1112665.43,1628869916.01,7755014816.67,27288382782.47,25.08,41.84,107,84026116.89,46573481.55,spr_exp_oth,ESSPROS_2024A,2025-06-06
2018,HR,DISABILITY,TAX_RELIEF,HOUSEHOLD,63927090997.79,24.701,32913,1942305.2,2041768334.49,6998164471.34,56928926526.45,29.68,74.76,109,107201899.54,28778609.6,spr_exp_fnct,ESSPROS_2023,2025-12-14
2019,DE,HOUSING,MIXED,EU_FUNDS,112961664630.03,33.321,34093,3313338.94,6060375796.28,21306162988.64,91655501641.39,26.73,66.08,108,227565400.86,150291185.18,spr_finsum,ESSPROS_2021,2024-11-28
2020,LU,SURVIVORS,CASH_PERIODIC,OTHER,93776381530.23,26.857,33896,2766591.38,2661669633.47,23755613906.51,70020767623.72,41.3,46.45,98,189000579.44,118642744.63,spr_exp_sum,ESSPROS_2019,2024-11-20
2021,SI,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,96400018516.59,33.559,32542,2962326.18,4478512379.65,36946371824.36,59453646692.23,21.42,57.53,115,307209823.48,106029492.88,spr_ben_sum,ESSPROS_2025B,2025-03-13
2022,CY,UNEMPLOYMENT,IN_KIND,GENERAL_TAX,43652665990.44,14.816,32026,1363038.34,713374011.05,8864612138.28,34788053852.16,52.06,81.04,113,72071282.3,45512205.54,spr_exp_oth,ESSPROS_2024A,2025-10-06
2023,GR,OLD_AGE,TAX_RELIEF,EMPLOYER,31219872721.25,8.716,33324,936858.5,1282436790.76,7819387672.58,23400485048.67,5.88,40.4,116,43215717.18,22607605.36,spr_exp_fnct,ESSPROS_2023,2025-08-12
2024,MT,SOCIAL_EXCLUSION,MIXED,HOUSEHOLD,81853446920.61,24.439,33566,2438582.1,3997084635.82,38562721236.88,43290725683.73,40.5,72.98,111,288482694.33,90122104.88,spr_finsum,ESSPROS_2021,2024-06-18
2025,ES,FAMILY_CHILDREN,CASH_PERIODIC,EU_FUNDS,64649924419.92,19.332,32205,2007449.91,1555205082.36,29605256327.76,35044668092.16,4.73,71.44,120,208937648.42,91706159.59,spr_exp_sum,ESSPROS_2019,2025-04-21
2026,CZ,DISABILITY,CASH_LUMP_SUM,OTHER,58416015516.85,19.754,34238,1706174.88,1321669306.98,9390377614.24,49025637902.61,2.96,29.23,107,131354344.05,47695383.58,spr_ben_sum,ESSPROS_2025B,2024-01-19
2010,HU,HOUSING,IN_KIND,SOCIAL_CONTRIBUTIONS,55606626102.63,17.373,34264,1622887.76,1435540836.58,22761629912.05,32844996190.58,57.06,87.5,122,83826188.37,27130809.89,spr_exp_oth,ESSPROS_2024A,2024-06-19
2011,NL,SURVIVORS,TAX_RELIEF,GENERAL_TAX,71959447255.58,22.958,33561,2144138.95,1003389889.33,22385791571.58,49573655684.0,10.63,58.41,117,200315000.44,66797065.11,spr_exp_fnct,ESSPROS_2023,2025-06-23
2012,SE,SICKNESS_HEALTHCARE,MIXED,EMPLOYER,94045883474.37,32.805,33371,2818191.95,2939819212.51,34440543869.93,59605339604.44,16.59,41.38,123,402981593.67,142405077.84,spr_finsum,ESSPROS_2021,2024-05-01
2013,DK,UNEMPLOYMENT,CASH_PERIODIC,HOUSEHOLD,101794950286.81,31.145,34083,2986678.12,4529556554.76,44408488023.47,57386462263.34,46.66,76.09,126,265193836.85,161776614.56,spr_exp_sum,ESSPROS_2019,2024-04-11
2014,IE,OLD_AGE,CASH_LUMP_SUM,EU_FUNDS,114119846218.1,31.317,35031,3257681.66,1617434999.99,12580358712.65,101539487505.45,14.68,58.66,124,498653919.68,142576891.19,spr_ben_sum,ESSPROS_2025B,2025-12-05
