biz_indprod_reference_month,biz_indprod_country_iso2,biz_indprod_region_nuts_code,biz_indprod_nace_2_digit,biz_indprod_production_index,biz_indprod_turnover_index,biz_indprod_new_orders_index,biz_indprod_capacity_utilisation_pct,biz_indprod_energy_intensity_kwh_per_eur,biz_indprod_labor_productivity_index,biz_indprod_export_share_pct,biz_indprod_import_dependency_pct,biz_indprod_supply_chain_disruption_flag,biz_indprod_short_time_work_scheme_flag,biz_indprod_carbon_intensity_tco2e_per_eur,biz_indprod_ets_covered_flag,biz_indprod_state_aid_received_eur,biz_indprod_eurostat_table_code,biz_indprod_revision_round,biz_indprod_data_extract_date
2021-04,DK,FR60,13,88.159,86.815,91.007,80.44,3.7797,91.115,68.18,64.43,0,0,0.00511,0,5713752.46,sts_inno_m,BENCHMARK,2026-01-14
2021-05,GR,EE713,20,88.344,82.619,80.688,82.06,0.1391,90.411,51.43,50.03,0,0,0.003975,0,19934356.46,sts_inpr_m,FLASH,2024-05-19
2021-06,LT,IE439,27,88.877,88.143,82.747,69.85,0.6957,92.037,68.73,56.24,1,0,0.000684,0,74761794.08,sts_inpp_m,FIRST,2025-07-14
2021-07,PT,AT48,34,88.929,82.734,82.893,91.7,3.0095,92.326,49.07,81.37,0,1,0.004462,0,68648971.83,sts_inod_m,SECOND,2025-04-20
2021-08,SE,BG140,41,88.527,95.095,91.242,66.93,0.263,93.198,58.78,73.75,0,1,0.001556,1,17397626.84,sts_inlb_m,BENCHMARK,2025-08-14
2021-09,CY,AT25,48,90.893,94.237,93.66,89.11,3.6067,92.436,65.84,29.73,0,0,0.008201,1,39377112.87,sts_inno_m,FLASH,2024-12-09
2021-10,FR,BG14,55,89.543,86.209,95.415,79.73,3.2564,93.881,15.54,76.8,0,0,0.006755,1,29890352.69,sts_inpr_m,FIRST,2025-10-31
2021-11,IT,SE957,62,90.49,92.312,92.489,89.09,1.4866,93.336,22.02,56.76,0,1,0.005772,0,77562702.42,sts_inpp_m,SECOND,2025-05-19
2021-12,NL,LT2,69,91.618,93.055,93.752,88.96,2.1625,93.899,33.66,74.69,0,0,0.000712,0,45786725.35,sts_inod_m,BENCHMARK,2026-02-16
2022-01,SI,CY1,76,92.501,96.333,88.77,82.32,3.1884,94.04,76.09,80.41,0,0,0.000363,0,173294.54,sts_inlb_m,FLASH,2025-11-28
2022-02,BG,GR6,83,91.053,88.979,79.037,88.75,3.3343,94.568,31.68,35.59,0,1,0.004712,1,27031151.18,sts_inno_m,FIRST,2025-10-22
2022-03,EE,LT349,90,93.158,88.446,99.33,64.52,1.7475,94.967,44.61,42.01,0,0,0.006797,1,36956397.69,sts_inpr_m,SECOND,2025-10-14
2022-04,HU,SK110,97,92.892,90.888,95.861,69.74,1.2912,95.175,27.78,49.78,0,0,0.008704,0,20262057.5,sts_inpp_m,BENCHMARK,2024-10-06
2022-05,LU,PL398,14,93.393,98.502,104.297,82.23,2.0521,96.362,9.23,31.16,0,0,0.001285,1,850772.14,sts_inod_m,FLASH,2024-04-15
2022-06,RO,AT82,21,92.656,86.462,96.896,68.68,0.9148,97.049,26.87,71.62,0,1,0.009678,0,95534644.26,sts_inlb_m,FIRST,2024-10-10
2022-07,AT,SI29,28,94.999,92.293,97.916,89.98,0.6704,96.951,22.35,60.97,0,1,0.009965,0,46260882.41,sts_inno_m,SECOND,2024-12-13
2022-08,CZ,GR376,35,94.01,94.972,90.769,66.09,1.1983,96.062,66.17,53.22,0,1,0.007714,1,23150795.25,sts_inpr_m,BENCHMARK,2025-12-29
2022-09,DE,ES2,42,94.506,94.663,93.31,80.76,0.2087,97.544,30.73,11.71,0,0,0.008754,1,39567151.41,sts_inpp_m,FLASH,2024-01-18
2022-10,LV,FR199,49,95.307,88.889,86.113,83.17,3.6663,98.209,49.04,36.32,1,0,0.010212,0,67847386.12,sts_inod_m,FIRST,2025-08-03
2022-11,PL,NL24,56,96.377,91.346,95.321,84.7,0.9212,98.645,70.16,73.27,1,0,0.002017,1,86018505.64,sts_inlb_m,SECOND,2024-07-31
2022-12,ES,PT113,63,97.545,89.747,108.177,87.46,2.941,98.933,38.66,58.37,0,0,0.0004,0,37388632.19,sts_inno_m,BENCHMARK,2025-12-19
2023-01,HR,ES77,70,96.497,102.816,94.044,81.31,1.2022,99.593,69.94,77.63,0,0,0.002928,0,42857280.88,sts_inpr_m,FLASH,2024-09-20
2023-02,FI,SI42,77,98.334,100.713,87.564,72.76,2.0125,98.887,27.97,5.67,0,1,0.000792,0,31619185.67,sts_inpp_m,FIRST,2026-02-23
2023-03,IE,SK76,84,97.51,98.647,95.209,89.87,0.5625,99.454,11.02,80.18,0,0,0.006731,0,741020.7,sts_inod_m,SECOND,2024-05-08
2023-04,MT,LV48,91,98.788,92.288,102.395,90.51,0.7676,100.55,10.41,22.37,0,0,0.007021,0,9538422.7,sts_inlb_m,BENCHMARK,2025-12-08
2023-05,SK,CY244,98,98.678,94.389,110.717,75.49,1.0062,100.289,71.67,70.18,0,0,0.000968,1,42569379.54,sts_inno_m,FLASH,2025-07-24
2023-06,BE,AT292,15,100.138,100.334,89.393,90.61,1.6758,101.089,74.55,74.5,0,0,0.002532,1,41909133.21,sts_inpr_m,FIRST,2025-10-08
2023-07,DK,IE59,22,99.908,107.73,103.235,65.58,0.888,101.767,54.16,11.08,0,0,0.008257,1,8941665.12,sts_inpp_m,SECOND,2025-06-05
2023-08,GR,SE834,29,101.121,100.203,109.763,63.05,2.5654,101.011,14.6,27.54,1,0,0.008968,1,74671223.81,sts_inod_m,BENCHMARK,2025-04-01
2023-09,LT,SE82,36,100.579,107.518,109.442,69.17,1.2054,102.511,44.67,29.03,0,0,0.002607,0,6230068.33,sts_inlb_m,FLASH,2024-10-06
2023-10,PT,RO110,43,101.716,98.004,102.974,68.71,1.7648,102.102,46.62,13.21,1,0,0.006309,0,63687354.76,sts_inno_m,FIRST,2024-08-08
2023-11,SE,LT73,50,102.329,106.186,91.991,67.68,1.8694,103.296,76.41,16.08,0,0,0.007713,1,17461808.7,sts_inpr_m,SECOND,2024-12-17
2023-12,CY,BE71,57,102.66,103.105,103.218,91.78,0.2756,104.074,34.77,57.8,0,0,0.003185,0,35965007.0,sts_inpp_m,BENCHMARK,2024-06-09
2024-01,FR,DK96,64,102.482,98.178,97.418,77.82,3.6377,103.942,74.08,59.24,0,0,0.006314,1,18377823.86,sts_inod_m,FLASH,2025-06-08
2024-02,IT,CZ9,71,102.07,94.465,100.89,72.51,0.729,104.815,56.24,16.88,0,0,0.009385,0,26913031.16,sts_inlb_m,FIRST,2024-07-10
2024-03,NL,LV358,78,103.85,100.401,95.435,66.63,3.2034,105.199,34.04,69.93,0,1,0.008341,1,84378120.51,sts_inno_m,SECOND,2025-09-14
2024-04,SI,BG866,85,102.835,101.986,96.388,66.63,0.5945,104.361,46.57,22.18,0,0,0.010906,1,6947512.93,sts_inpr_m,BENCHMARK,2025-10-05
2024-05,BG,CZ4,92,104.688,104.85,99.642,74.22,2.7626,104.782,66.93,63.21,0,0,0.011641,1,41444192.74,sts_inpp_m,FLASH,2025-11-04
2024-06,EE,SK8,99,105.414,110.43,116.249,70.0,2.3151,105.866,20.12,38.7,0,1,0.010727,0,58136255.97,sts_inod_m,FIRST,2024-03-30
2024-07,HU,BE88,16,104.49,97.974,99.299,91.51,2.1151,105.765,48.69,6.25,0,0,0.005087,1,41862721.41,sts_inlb_m,SECOND,2025-11-10
2024-08,LU,BE3,23,105.894,102.922,101.918,77.91,2.5514,106.482,76.08,66.36,1,0,0.004111,1,53016518.34,sts_inno_m,BENCHMARK,2025-01-19
2024-09,RO,LV56,30,106.806,108.175,111.78,79.03,2.3657,107.232,26.25,18.02,0,1,0.001983,0,92374919.68,sts_inpr_m,FLASH,2024-03-11
2024-10,AT,SI67,37,106.894,101.487,95.809,69.55,0.7072,107.893,52.33,53.94,1,1,0.001701,0,33446382.24,sts_inpp_m,FIRST,2025-06-26
2024-11,CZ,FI952,44,106.855,101.796,96.884,64.61,1.0674,107.424,18.02,6.26,0,0,0.01186,1,37431039.88,sts_inod_m,SECOND,2024-12-18
2024-12,DE,BG57,51,107.177,100.084,119.125,81.6,1.2155,108.547,37.63,22.07,0,0,0.004052,0,23116184.11,sts_inlb_m,BENCHMARK,2025-09-04
2025-01,LV,NL6,58,107.357,105.942,105.573,84.5,3.0552,108.622,31.02,70.61,0,1,0.004366,1,64654146.48,sts_inno_m,FLASH,2025-01-30
2025-02,PL,NL865,65,107.948,111.611,111.749,65.98,3.6993,109.239,35.88,20.3,0,0,0.011633,0,14784780.24,sts_inpr_m,FIRST,2025-04-30
2025-03,ES,LU511,72,108.239,111.676,99.903,68.29,3.4795,109.64,38.73,56.28,0,0,0.002855,1,362990.06,sts_inpp_m,SECOND,2025-09-09
2025-04,HR,IT576,79,108.54,105.138,114.304,85.62,0.8085,109.745,34.9,50.8,0,0,0.002474,1,18212329.96,sts_inod_m,BENCHMARK,2026-01-24
2025-05,FI,DK189,86,109.474,115.596,108.695,73.9,0.5161,110.28,22.76,63.05,0,1,0.000731,1,10169313.62,sts_inlb_m,FLASH,2026-02-15
2025-06,IE,SI793,93,110.137,118.578,101.874,87.46,3.5635,109.818,14.43,29.66,0,0,0.000681,0,12475614.58,sts_inno_m,FIRST,2024-01-26
2025-07,MT,DK319,10,109.909,112.887,100.668,65.94,0.52,110.355,73.99,78.26,0,0,0.011578,1,37043457.87,sts_inpr_m,SECOND,2025-08-04
2025-08,SK,SK676,17,110.671,114.945,110.043,63.48,1.5877,112.282,28.5,30.04,1,0,0.00819,0,37117004.17,sts_inpp_m,BENCHMARK,2024-10-22
2025-09,BE,LT961,24,110.882,113.034,98.319,62.02,2.808,111.142,10.32,15.28,1,0,0.009582,1,16077271.02,sts_inod_m,FLASH,2024-08-30
2025-10,DK,LT5,31,110.99,114.556,105.476,81.04,1.5181,111.97,13.37,21.6,0,0,0.001139,1,522668.91,sts_inlb_m,FIRST,2026-01-09
2025-11,GR,ES6,38,112.261,114.49,124.264,73.48,3.3588,111.887,60.52,44.75,1,0,0.010889,0,93015979.74,sts_inno_m,SECOND,2026-01-15
2025-12,LT,AT39,45,112.169,103.788,122.088,89.9,2.8209,113.78,19.69,14.77,1,0,0.000581,1,4497145.33,sts_inpr_m,BENCHMARK,2025-12-24
2026-01,PT,ES3,52,112.954,106.886,115.158,83.91,3.7132,113.39,47.16,84.14,1,0,0.01059,1,27451342.52,sts_inpp_m,FLASH,2024-06-28
2026-02,SE,BG151,59,112.474,107.858,120.58,63.17,0.4094,114.451,14.06,21.85,1,0,0.005841,1,6712574.51,sts_inod_m,FIRST,2024-02-02
2026-03,CY,CZ793,66,114.145,109.098,115.352,62.39,1.4491,114.866,18.48,78.45,0,1,0.000949,0,90290199.08,sts_inlb_m,SECOND,2024-11-08
2026-04,FR,IE55,73,114.468,121.601,99.712,78.42,0.8719,115.046,26.97,44.35,0,0,0.004444,1,39365887.04,sts_inno_m,BENCHMARK,2024-08-30
2026-05,IT,PT691,80,114.507,106.278,103.814,77.74,3.4936,115.337,75.38,22.52,0,0,0.002549,0,38653843.59,sts_inpr_m,FLASH,2025-01-18
2026-06,NL,RO258,87,115.673,107.302,115.971,88.4,1.7229,115.988,34.82,58.2,0,1,0.005827,1,35934196.64,sts_inpp_m,FIRST,2024-12-20
2026-07,SI,CZ339,94,116.617,108.459,122.689,74.47,3.1598,116.757,73.88,25.76,0,0,0.008075,0,34446088.07,sts_inod_m,SECOND,2025-01-29
2026-08,BG,FR529,11,115.735,122.596,111.579,71.4,1.0224,116.28,32.85,32.4,0,0,0.002811,0,41846974.22,sts_inlb_m,BENCHMARK,2024-04-16
2026-09,EE,DK964,18,117.876,115.64,113.954,82.73,0.4585,116.556,67.32,5.8,0,0,0.008281,1,10454017.01,sts_inno_m,FLASH,2024-02-08
2026-10,HU,EE173,25,117.755,109.829,117.335,69.05,3.0704,117.852,45.04,33.08,0,1,0.00669,1,25058245.81,sts_inpr_m,FIRST,2026-02-05
2026-11,LU,PT732,32,118.228,113.546,124.48,85.91,1.3811,118.147,34.96,65.15,0,0,0.001256,1,41474447.54,sts_inpp_m,SECOND,2024-08-11
2026-12,RO,RO3,39,118.734,122.221,127.612,62.31,1.173,117.924,8.1,69.55,0,0,0.003872,1,41040051.35,sts_inod_m,BENCHMARK,2024-04-01
2018-01,AT,HR765,46,118.758,109.248,123.841,80.44,0.6885,117.842,69.89,7.69,1,1,0.004128,0,47610103.45,sts_inlb_m,FLASH,2024-04-29
2018-02,CZ,PL579,53,118.336,120.425,110.981,62.18,0.2075,117.892,28.99,24.02,0,0,0.006136,0,2843642.46,sts_inno_m,FIRST,2025-04-08
2018-03,DE,FR119,60,119.967,111.476,121.062,75.06,3.3004,118.999,70.06,64.34,0,0,0.007031,1,29863501.46,sts_inpr_m,SECOND,2025-02-27
2018-04,LV,LU224,67,120.401,111.847,119.605,76.36,3.1036,119.624,44.95,24.93,0,0,0.005312,1,22212370.48,sts_inpp_m,BENCHMARK,2025-12-03
2018-05,PL,SE89,74,119.529,121.262,108.137,74.92,1.9405,120.306,56.54,13.17,0,0,0.010227,1,13915836.29,sts_inod_m,FLASH,2025-10-30
2018-06,ES,FI2,81,119.872,119.752,121.44,73.53,1.6881,120.494,34.07,5.51,0,0,0.005713,1,38208094.19,sts_inlb_m,FIRST,2025-03-07
2018-07,HR,RO1,88,121.111,111.92,119.863,63.48,0.5281,121.116,39.85,70.09,0,0,0.003262,0,33344011.0,sts_inno_m,SECOND,2025-05-24
2018-08,FI,IE285,95,121.282,122.943,109.041,74.23,0.1702,120.608,42.36,14.35,0,0,0.003055,0,25300420.02,sts_inpr_m,BENCHMARK,2025-08-20
2018-09,IE,NL882,12,121.243,120.373,109.905,81.12,0.8793,121.253,64.35,30.92,0,1,0.005398,1,39363933.82,sts_inpp_m,FLASH,2024-04-18
2018-10,MT,HU918,19,122.348,129.791,119.685,90.91,1.1208,121.721,13.16,19.79,0,0,0.005806,1,46040196.34,sts_inod_m,FIRST,2024-03-02
2018-11,SK,PL34,26,123.949,122.265,117.574,78.7,0.167,123.075,75.67,63.62,0,0,0.003653,1,28712482.77,sts_inlb_m,SECOND,2024-02-12
2018-12,BE,SE49,33,123.415,114.17,121.402,77.61,3.3294,123.317,66.37,34.36,1,1,0.010147,0,2200318.34,sts_inno_m,BENCHMARK,2026-01-29
2019-01,DK,SK568,40,124.305,125.429,134.514,81.41,0.4769,123.75,25.04,35.24,0,0,0.000302,1,18721764.54,sts_inpr_m,FLASH,2024-03-24
2019-02,GR,RO6,47,124.444,115.464,128.994,72.94,0.72,123.106,10.43,66.86,0,0,0.002437,1,45289923.31,sts_inpp_m,FIRST,2024-09-30
2019-03,LT,BE2,54,124.84,117.152,115.009,85.41,1.9528,124.315,22.41,20.42,0,0,0.006322,1,31126604.33,sts_inod_m,SECOND,2026-02-10
2019-04,PT,HU79,61,125.378,123.481,141.357,66.09,2.5191,124.815,40.35,78.41,0,0,0.005472,1,17112998.35,sts_inlb_m,BENCHMARK,2025-09-20
2019-05,SE,CY7,68,126.475,121.546,118.872,88.07,3.7232,123.963,48.63,16.05,0,0,0.007044,0,34905319.24,sts_inno_m,FLASH,2025-09-27
2019-06,CY,NL313,75,126.469,131.392,116.111,89.82,0.3214,124.401,31.25,83.95,0,0,0.008126,1,28093265.92,sts_inpr_m,FIRST,2025-09-19
2019-07,FR,BG6,82,127.07,136.523,111.873,89.83,2.2531,126.335,33.77,54.21,0,0,0.000511,0,42350127.33,sts_inpp_m,SECOND,2024-05-22
2019-08,IT,CY684,89,127.004,135.762,136.503,87.45,2.8155,125.396,39.22,68.75,0,0,0.010532,0,35451856.27,sts_inod_m,BENCHMARK,2025-02-28
2019-09,NL,SK82,96,128.474,134.275,122.407,78.39,3.5647,125.877,55.24,59.18,0,0,0.005174,1,40774925.69,sts_inlb_m,FLASH,2024-11-14
2019-10,SI,IT817,13,129.109,129.32,142.722,75.29,0.3767,126.305,14.08,14.3,1,0,0.004706,1,39470076.87,sts_inno_m,FIRST,2024-04-02
2019-11,BG,HU1,20,127.952,126.633,115.917,78.97,0.2115,127.19,21.66,57.0,0,0,0.010057,1,9212330.67,sts_inpr_m,SECOND,2025-05-15
2019-12,EE,GR4,27,128.291,138.61,124.206,77.01,1.5337,127.094,42.85,30.24,0,0,0.011537,1,45876752.1,sts_inpp_m,BENCHMARK,2024-05-23
2020-01,HU,SK78,34,129.941,133.879,116.366,77.39,0.802,127.097,25.11,51.14,0,0,0.003931,1,21243167.52,sts_inod_m,FLASH,2025-03-17
2020-02,LU,LT371,41,130.328,124.414,117.069,69.14,2.1408,127.274,9.0,14.3,0,1,0.009334,0,2747610.57,sts_inlb_m,FIRST,2025-12-26
2020-03,RO,DK7,48,130.532,126.662,140.867,71.23,3.2475,128.402,65.91,18.22,0,0,0.005715,0,47506529.51,sts_inno_m,SECOND,2025-07-07
2020-04,AT,GR144,55,129.751,122.977,114.635,80.13,3.4461,129.562,41.59,63.23,1,1,0.002214,1,79718968.97,sts_inpr_m,BENCHMARK,2024-12-11
2020-05,CZ,IE5,62,131.384,123.481,141.997,86.23,1.6929,129.326,13.36,57.47,0,0,0.000648,0,21100101.79,sts_inpp_m,FLASH,2024-08-28
2020-06,DE,IT49,69,132.09,137.436,145.869,85.52,2.7692,129.463,53.26,24.47,0,0,0.002706,1,36127330.28,sts_inod_m,FIRST,2025-11-06
2020-07,LV,RO916,76,133.19,132.174,132.85,63.85,1.5381,130.574,59.92,48.38,0,1,0.011879,1,2037900.67,sts_inlb_m,SECOND,2024-06-04
2020-08,PL,LV58,83,133.137,128.858,143.394,89.29,3.0852,131.303,15.14,46.09,0,0,0.006534,1,40459145.75,sts_inno_m,BENCHMARK,2024-10-04
2020-09,ES,PL597,90,133.005,132.419,141.724,79.45,1.6727,130.939,45.74,55.52,1,0,0.003264,1,27842566.56,sts_inpr_m,FLASH,2024-12-05
2020-10,HR,ES151,97,134.179,125.394,141.145,62.96,1.6067,131.117,72.29,83.64,0,1,0.001594,0,37545730.05,sts_inpp_m,FIRST,2024-01-10
2020-11,FI,NL186,14,133.047,123.905,149.945,62.45,2.5595,131.783,64.51,50.09,0,1,0.008457,0,21354205.34,sts_inod_m,SECOND,2024-10-11
2020-12,IE,LV957,21,135.464,136.818,119.022,74.59,1.3532,132.366,39.6,59.36,0,0,0.01018,1,6869789.07,sts_inlb_m,BENCHMARK,2024-01-14
2021-01,MT,PT6,28,135.572,125.978,122.24,87.18,0.6227,132.8,35.54,83.68,0,0,0.005558,1,28172938.62,sts_inno_m,FLASH,2024-10-06
2021-02,SK,ES412,35,135.873,134.432,123.19,74.44,1.8,132.015,11.65,67.01,0,0,0.004741,1,11319541.36,sts_inpr_m,FIRST,2026-01-07
2021-03,BE,GR437,42,134.621,140.665,140.372,63.58,2.4123,133.387,73.54,69.84,0,1,0.00846,1,59783641.07,sts_inpp_m,SECOND,2025-10-07
2021-04,DK,DE813,49,137.26,141.038,133.505,72.79,0.1971,133.109,51.97,58.77,0,0,0.004735,0,5994157.39,sts_inod_m,BENCHMARK,2025-01-21
2021-05,GR,EE246,56,135.724,140.189,125.069,65.13,1.8522,134.262,28.1,51.79,0,0,0.005059,1,47644442.47,sts_inlb_m,FLASH,2025-03-19
2021-06,LT,BE7,63,136.594,129.32,125.402,67.33,0.4151,134.697,13.42,38.83,1,0,0.00279,0,43623666.4,sts_inno_m,FIRST,2026-02-12
2021-07,PT,FI1,70,138.665,147.648,150.458,82.4,1.1165,134.639,18.73,59.55,0,1,0.006784,0,24528788.91,sts_inpr_m,SECOND,2024-11-27
2021-08,SE,GR112,77,136.968,129.131,149.444,83.26,0.1671,134.415,8.43,69.16,0,1,0.011426,1,32365119.65,sts_inpp_m,BENCHMARK,2025-12-09
2021-09,CY,BG4,84,138.078,132.539,133.435,71.11,1.3147,136.696,71.85,16.58,1,0,0.001917,1,209034.25,sts_inod_m,FLASH,2025-02-04
2021-10,FR,PT12,91,139.155,138.107,139.108,87.57,1.9926,136.743,17.08,72.01,0,1,0.005311,1,63724428.59,sts_inlb_m,FIRST,2024-09-23
2021-11,IT,SI856,98,138.879,134.264,122.587,91.01,3.4518,137.08,72.46,78.89,0,0,0.008902,1,34811796.3,sts_inno_m,SECOND,2026-02-02
2021-12,NL,LV532,15,139.178,146.607,150.457,67.95,2.9713,136.279,20.19,25.29,1,1,0.011438,1,83636725.92,sts_inpr_m,BENCHMARK,2024-03-06
