imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2012,EB1,EG,CHE,61252,61252,0,353.5429,48.34,0,1,1,0,0,0,NONE,0,21,FL,2019-01-30
2024,T,AR,MUM,187691,164352,597,322.523,107.72,0,1,3,0,0,1,212A1,0,71,NC,2019-01-31
2015,T,IN,MNL,223600,115008,87350,259.1331,1.24,1,1,2,0,0,0,NONE,0,22,IL,2019-02-01
2010,DV,GB,SHG,154311,83039,53256,221.9832,118.81,1,1,2,1,0,0,NONE,0,21,IL,2019-02-02
2022,EB3,KR,HAN,210937,22784,178334,309.9833,217.56,0,1,3,0,1,0,212A2,0,81,NC,2019-02-03
2018,H1B,BR,HCM,31046,31046,0,2.8034,110.93,0,1,2,1,0,0,NONE,0,52,GA,2019-02-04
2017,K1,BR,MUM,71901,71901,0,21.1635,8.13,0,0,4,0,1,0,NONE,0,37,OH,2019-02-05
2025,F1,KR,SHG,151560,151560,0,52.8536,224.44,0,1,6,1,1,0,212A2,0,17,WA,2019-02-06
2018,T,ES,MUM,240217,112225,125184,329.3937,21.18,1,0,3,0,0,1,NONE,0,47,OR,2019-02-07
2013,EB1,IN,SHG,39580,39580,0,291.1538,59.62,0,1,3,1,0,0,NONE,0,81,TX,2019-02-08
2013,TPS,GB,HYD,228203,12495,173831,48.1439,189.82,0,1,1,0,0,0,NONE,0,59,TX,2019-02-09
2011,J1,GB,MUM,154549,31458,114077,74.164,135.7,1,0,0,1,1,0,NONE,0,10,CA,2019-02-10
2016,EB1,JP,FRA,239821,181305,43059,288.6641,191.99,0,1,1,0,0,0,212A4,0,61,NC,2019-02-11
2010,TPS,IT,HYD,76897,18741,17533,315.8542,124.56,0,1,5,0,1,0,NONE,0,65,MN,2019-02-12
2016,H2B,VN,ABJ,157000,12341,123114,268.9743,109.76,1,1,3,0,1,0,NONE,0,39,MA,2019-02-13
2016,PAROLE,CN,HCM,93931,93931,0,81.4644,171.3,1,1,1,1,1,0,NONE,0,4,GA,2019-02-14
2020,PAROLE,BD,MAD,168098,100054,63133,97.5245,59.79,1,0,5,0,0,0,212A6,0,59,FL,2019-02-15
2020,T,CO,LAG,213827,179559,21777,56.0746,204.65,0,1,6,0,0,0,212A9,0,25,MI,2019-02-16
2020,K1,MX,GDL,32528,32528,0,239.8947,176.52,0,0,4,0,1,0,212A6,0,82,MD,2019-02-17
2018,O1,MX,MAD,132006,104175,14673,21.1348,149.67,0,0,6,0,1,0,NONE,1,10,MA,2019-02-18
2015,O1,ES,FRA,20437,20437,0,198.6649,116.12,1,1,6,1,1,1,212A3,0,22,MD,2019-02-19
2010,U,FR,LON,107294,45582,34284,147.065,198.28,0,0,6,1,1,0,NONE,0,40,NY,2019-02-20
2013,H2B,KR,CDMX,184509,184509,0,331.5851,44.41,0,1,2,0,1,0,212A4,0,86,CA,2019-02-21
2020,EB2,EG,MAD,144468,2532,106438,21.6152,123.83,1,1,6,1,0,1,NONE,0,21,MI,2019-02-22
2020,H1B,PK,HCM,98074,8248,60920,54.2453,233.51,0,1,3,1,0,0,NONE,0,36,WA,2019-02-23
2021,IR1,AR,CHE,38763,27299,0,136.9554,219.1,0,1,2,1,1,0,NONE,0,31,CA,2019-02-24
2013,H1B,ES,LAG,48391,48391,0,66.7855,6.37,0,1,1,0,0,0,NONE,0,79,CA,2019-02-25
2012,K1,NG,GDL,17201,17201,0,254.8656,33.58,0,1,6,1,0,0,NONE,0,15,NC,2019-02-26
2016,DV,PH,HAN,159212,159212,0,88.1257,235.02,1,1,4,1,0,1,NONE,0,35,IL,2019-02-27
2013,DV,JP,CDMX,13797,13797,0,267.0858,148.92,1,1,2,1,0,0,NONE,1,58,NJ,2019-02-28
2010,H2B,IN,BJG,24971,24971,0,325.2859,239.27,0,1,5,0,1,0,NONE,0,17,MD,2019-03-01
2015,TPS,VN,HCM,36303,36303,0,210.476,111.35,0,0,6,0,1,0,212A6,0,50,NC,2019-03-02
2022,TPS,AR,ABJ,69813,12808,9444,123.1061,28.82,1,1,3,0,1,0,NONE,0,53,TX,2019-03-03
2012,T,JP,CDMX,177677,29489,103806,111.6062,231.51,1,0,1,0,1,0,212A1,0,17,NC,2019-03-04
2022,O1,NG,PAR,191139,166387,5035,288.4363,178.81,0,1,0,0,1,0,212A1,0,30,VA,2019-03-05
2015,H2B,NG,CDMX,24573,24573,0,63.3364,155.09,0,0,1,0,0,0,NONE,0,70,MA,2019-03-06
2021,L1,BR,HAN,34289,34289,0,5.8665,202.63,1,0,6,1,1,0,NONE,0,32,MA,2019-03-07
2020,H2B,AR,HYD,32380,14155,0,66.6966,184.01,0,0,4,0,1,0,NONE,1,87,NC,2019-03-08
2018,J1,IT,SHG,4329,4329,0,41.7167,33.22,1,0,5,1,0,0,NONE,0,5,PA,2019-03-09
2023,IR1,CN,LON,190836,136866,21234,294.2068,34.87,0,0,5,0,0,0,212A9,0,59,NY,2019-03-10
2018,K1,NG,ROM,137387,68861,35224,240.5769,99.5,1,0,3,0,1,0,NONE,0,9,VA,2019-03-11
2025,H2A,JP,SHG,208362,137290,38334,140.837,10.39,0,1,2,0,1,1,NONE,0,54,FL,2019-03-12
2014,IR1,ET,MAD,244115,192918,37496,119.2671,28.35,0,1,2,0,1,0,NONE,0,69,MA,2019-03-13
2016,EB1,IT,GZC,222506,191029,0,39.6072,147.36,0,0,3,0,1,0,212A6,0,81,MI,2019-03-14
2020,PAROLE,VN,CHE,196756,57622,131398,53.1773,210.5,1,0,1,1,1,0,NONE,0,6,WA,2019-03-15
2021,CR1,BD,MAD,134638,134638,0,125.5274,33.59,0,0,5,0,0,1,NONE,0,65,WA,2019-03-16
2020,H2A,PK,DEL,152007,143727,0,165.9875,239.97,0,1,4,0,1,0,212A6,0,78,MI,2019-03-17
2014,B1B2,MX,HYD,126246,99826,0,140.1376,3.47,0,1,3,0,1,1,NONE,0,6,FL,2019-03-18
2023,H1B,AR,MUM,246455,166774,35310,325.4977,103.05,0,1,0,0,0,1,212A4,0,21,OR,2019-03-19
2018,CR1,BR,GDL,181458,9436,136258,134.8478,24.69,0,1,3,0,0,0,212A2,0,15,GA,2019-03-20
2023,EB3,DE,HCM,216528,209975,0,193.6879,48.1,0,0,1,1,1,0,NONE,0,4,CO,2019-03-21
2012,H1B,PK,MNL,11052,11052,0,19.358,130.0,1,1,4,0,1,0,NONE,0,43,AZ,2019-03-22
2010,ASYLEE,ES,SHG,206870,206870,0,304.2081,136.65,1,1,5,0,0,1,NONE,0,86,NY,2019-03-23
2015,F1,CO,MAD,204247,618,200600,121.2982,13.39,1,0,0,0,1,0,NONE,0,74,CA,2019-03-24
2011,EB3,ES,SHG,172918,79241,71579,253.3683,150.33,0,1,6,0,1,0,212A5,0,2,NC,2019-03-25
2021,DV,KR,MNL,35228,31082,0,15.4284,129.34,0,1,4,0,1,0,NONE,0,72,MA,2019-03-26
2016,EB3,MX,GZC,41782,41782,0,52.8885,199.71,1,1,5,1,0,0,NONE,1,25,MA,2019-03-27
2020,TPS,FR,MNL,24821,24821,0,13.1286,225.48,0,1,2,1,1,0,212A5,0,42,WA,2019-03-28
2015,T,VN,MAD,109620,109620,0,312.5687,18.88,0,1,5,0,1,1,NONE,1,40,NY,2019-03-29
2015,F1,BR,HCM,98735,98735,0,173.6288,170.7,1,1,1,1,1,0,NONE,0,3,MI,2019-03-30
2025,K1,BR,LON,53313,53313,0,247.5189,187.54,1,1,4,0,1,0,NONE,0,58,AZ,2019-03-31
2017,H1B,NG,HYD,140512,46711,73605,249.849,120.46,1,0,4,1,0,0,NONE,0,54,OR,2019-04-01
2021,EB2,GB,MUM,9053,9053,0,42.4191,8.2,0,1,2,0,0,0,NONE,0,2,GA,2019-04-02
2015,CR1,EG,CDMX,72347,72347,0,115.2092,217.17,0,1,3,0,1,0,NONE,0,47,PA,2019-04-03
2016,J1,BR,ABJ,242538,159659,34605,27.3893,135.06,1,1,2,0,1,0,212A7,1,51,MA,2019-04-04
2022,EB3,AR,CDMX,12918,12918,0,236.2794,20.73,0,1,6,0,0,0,212A10,0,7,MN,2019-04-05
2022,DV,PH,ABJ,143753,115400,0,352.3695,117.94,0,1,4,0,0,0,NONE,0,65,FL,2019-04-06
2025,J1,CO,CHE,42887,42887,0,170.6396,71.08,0,0,1,1,0,0,NONE,0,72,OR,2019-04-07
2011,TPS,GB,BJG,160933,27636,107280,314.5297,213.31,0,1,4,0,0,0,NONE,0,41,GA,2019-04-08
2011,F1,KR,HCM,211870,88165,117846,326.2898,153.8,1,1,1,0,1,0,212A6,0,46,MA,2019-04-09
2021,IR1,BR,BJG,36664,36664,0,219.8799,195.32,0,1,6,0,1,0,NONE,0,57,IL,2019-04-10
2023,H1B,PK,FRA,41467,41467,0,42.52,189.18,0,1,2,1,0,0,212A10,0,59,IL,2019-04-11
2021,TPS,EG,BLR,82009,81394,0,304.4601,55.69,0,1,4,1,0,0,212A2,0,48,TN,2019-04-12
2024,DV,ET,GZC,99506,99506,0,83.5102,7.93,0,0,4,0,1,0,NONE,0,1,WA,2019-04-13
2016,CR1,CO,CHE,68414,68414,0,85.7003,119.05,0,0,3,1,1,1,NONE,0,59,MN,2019-04-14
2023,T,IN,GZC,49465,49465,0,279.3204,182.64,1,1,0,1,0,0,NONE,0,61,NC,2019-04-15
2014,EB3,VN,CHE,80654,2147,52781,345.4805,6.93,0,1,1,1,1,0,212A6,0,37,WA,2019-04-16
2021,ASYLEE,MX,GZC,99677,4658,45471,178.2206,79.63,0,0,0,1,1,0,212A6,0,57,TN,2019-04-17
2012,O1,DE,BJG,10868,10868,0,233.1507,52.43,0,1,6,1,0,0,NONE,0,40,TX,2019-04-18
2014,H2A,AR,FRA,37260,37260,0,210.7608,233.09,0,1,3,0,0,0,NONE,0,40,MI,2019-04-19
2018,T,ET,MUM,210932,112271,56885,266.8209,163.34,0,1,4,0,1,1,NONE,0,16,IL,2019-04-20
2024,K1,IN,MNL,242215,126629,89488,290.991,81.97,1,1,2,0,0,0,NONE,0,54,NY,2019-04-21
2019,DV,KR,HCM,186843,174099,0,31.4811,182.3,0,1,5,1,1,0,212A7,0,42,PA,2019-04-22
2011,H2B,BD,ABJ,110018,110018,0,183.0412,193.73,1,1,6,1,0,0,NONE,0,63,WA,2019-04-23
2016,ASYLEE,BD,DEL,115731,115731,0,326.7713,115.78,0,1,6,0,1,0,NONE,0,34,MI,2019-04-24
2023,ASYLEE,CN,GDL,30877,30877,0,300.7314,209.39,0,0,1,1,1,0,NONE,0,0,PA,2019-04-25
2010,EB1,BR,BJG,221563,183066,19610,171.1115,38.95,0,1,4,1,0,0,NONE,0,8,VA,2019-04-26
2015,DV,AR,PAR,106357,106357,0,38.2116,211.13,0,1,5,1,1,0,212A5,0,84,VA,2019-04-27
2011,J1,EG,LON,132370,109353,0,271.4017,21.11,0,1,3,0,0,0,212A1,0,71,CO,2019-04-28
2024,J1,CO,CDMX,124703,124703,0,359.8318,98.01,0,1,4,0,0,0,212A7,0,7,AZ,2019-04-29
2025,CR1,PH,LAG,43229,43229,0,308.4119,159.05,0,1,6,1,0,0,NONE,0,49,NJ,2019-04-30
2016,PAROLE,GB,MUM,96757,66753,0,214.662,236.26,0,1,5,0,1,0,NONE,0,14,TN,2019-05-01
2014,L1,AR,PAR,40983,27194,0,361.7321,37.45,1,1,4,0,0,1,212A6,0,5,MN,2019-05-02
2012,EB3,BD,GDL,42808,30272,0,64.1122,137.07,1,0,3,1,0,0,NONE,0,84,PA,2019-05-03
2024,H2B,IT,BJG,9176,9176,0,356.6923,40.29,0,1,4,1,0,0,NONE,0,80,OR,2019-05-04
2014,PAROLE,EG,ROM,5775,5775,0,62.9124,228.46,0,1,3,0,0,0,NONE,0,84,VA,2019-05-05
2025,F1,MX,PAR,118765,118765,0,313.9825,41.0,1,1,5,0,0,0,212A5,0,64,PA,2019-05-06
2011,IR1,BR,DEL,143229,51796,88971,164.9926,195.47,1,1,5,0,1,0,212A7,0,11,TN,2019-05-07
2022,DV,CN,ABJ,176790,19342,136811,110.9027,165.2,1,1,0,0,0,0,NONE,0,28,AZ,2019-05-08
2020,F1,CN,SHG,226681,26842,177104,248.7828,139.58,0,1,5,1,0,0,212A8,0,17,MA,2019-05-09
2014,T,VN,MAD,204648,61098,107838,311.6429,106.22,0,1,0,0,1,0,NONE,0,69,AZ,2019-05-10
2024,IR1,NG,MAD,62627,62627,0,323.153,65.94,0,1,3,0,1,0,212A6,0,6,PA,2019-05-11
2016,PAROLE,CO,ABJ,141809,101929,19670,37.4831,58.2,0,0,4,0,1,0,NONE,0,18,IL,2019-05-12
2017,IR1,MX,BJG,135641,135641,0,256.2032,70.98,1,1,6,0,1,1,NONE,0,77,WA,2019-05-13
2020,EB3,ES,FRA,156241,61986,59338,80.4433,93.61,1,1,6,1,0,1,212A6,0,36,MA,2019-05-14
2020,T,PK,GZC,50468,50468,0,171.4234,209.09,1,0,1,0,1,1,NONE,1,10,CA,2019-05-15
2024,IR1,IT,PAR,138957,136634,0,253.8635,172.21,1,1,6,0,0,0,212A7,0,51,IL,2019-05-16
2010,EB3,BD,MNL,791,791,0,119.9536,107.54,0,1,4,0,1,0,NONE,0,76,GA,2019-05-17
2013,B1B2,FR,BLR,214386,152911,38720,322.0337,151.94,0,1,3,0,0,0,212A2,0,89,FL,2019-05-18
2012,H1B,PH,HCM,45891,45891,0,350.8238,37.81,0,1,4,1,1,0,NONE,0,35,MA,2019-05-19
2020,EB3,ES,FRA,125924,125924,0,334.5839,95.98,1,1,2,1,1,0,NONE,0,24,FL,2019-05-20
2020,EB2,EG,MAD,174509,174509,0,195.524,78.4,1,1,4,0,1,0,NONE,0,53,MD,2019-05-21
2012,B1B2,KR,MUM,19636,19636,0,143.2541,102.44,0,1,2,1,0,0,NONE,0,28,WA,2019-05-22
2010,IR1,CN,GDL,58148,58148,0,80.6242,86.12,1,1,6,1,1,0,NONE,0,52,AZ,2019-05-23
2021,PAROLE,VN,HAN,237616,89904,115062,253.3043,195.54,0,1,0,0,1,0,NONE,0,46,IL,2019-05-24
2024,H1B,ET,CDMX,97977,97977,0,142.2244,65.27,0,0,0,0,1,0,212A2,0,2,VA,2019-05-25
2016,IR1,PK,MAD,243076,135911,76138,227.1545,151.64,0,1,5,0,1,0,NONE,0,69,VA,2019-05-26
2017,H1B,JP,MNL,153350,153350,0,285.9446,202.78,0,1,2,1,0,0,NONE,0,18,OH,2019-05-27
2013,F1,IN,CHE,24725,24725,0,347.0347,0.17,0,1,3,1,0,0,NONE,0,26,IL,2019-05-28
2016,IR1,EG,PAR,18255,18255,0,227.6248,49.74,0,0,5,0,0,0,NONE,0,26,MA,2019-05-29
2023,H2A,AR,FRA,20496,20496,0,299.7549,8.86,1,1,1,0,0,0,NONE,0,29,CO,2019-05-30
2011,DV,CN,MNL,223182,203649,0,334.055,165.39,0,1,5,0,0,0,NONE,0,34,OR,2019-05-31
2017,K1,PK,BLR,20389,20389,0,113.2151,6.94,1,1,3,0,0,0,NONE,0,89,CA,2019-06-01
2020,J1,IT,MNL,236361,190879,11202,277.9652,62.17,0,0,3,0,1,0,212A6,0,68,NC,2019-06-02
2013,DV,CO,CDMX,10365,10365,0,299.9353,69.19,1,1,4,0,0,0,212A3,0,32,FL,2019-06-03
2024,CR1,PK,LAG,163552,99900,27251,58.9254,138.14,1,0,2,0,0,0,NONE,0,27,TN,2019-06-04
2012,H2B,NG,DEL,66167,66167,0,195.5955,78.26,1,0,0,1,0,1,212A7,0,7,MI,2019-06-05
2011,CR1,CN,HCM,187490,187490,0,26.5356,20.75,0,1,3,0,1,0,NONE,0,73,IL,2019-06-06
2014,H2A,ET,MNL,115983,115983,0,26.1957,59.53,1,1,1,1,0,0,NONE,0,32,CO,2019-06-07
2021,EB3,PK,HCM,18804,18804,0,58.3758,221.49,1,1,3,0,1,0,NONE,0,58,NY,2019-06-08
2015,EB1,DE,PAR,6178,6178,0,194.7059,159.37,1,1,3,1,1,0,NONE,0,55,AZ,2019-06-09
2015,ASYLEE,IT,PAR,176237,109187,64325,119.096,71.55,0,1,6,0,0,0,NONE,0,19,GA,2019-06-10
2011,H2A,JP,MAD,236686,169166,36402,312.5661,225.34,1,1,0,1,1,0,NONE,0,52,VA,2019-06-11
2014,L1,BR,ABJ,39887,39887,0,76.7162,204.17,0,0,2,0,0,0,NONE,0,47,MI,2019-06-12
2020,IR1,KR,ABJ,179803,34447,112869,104.9963,4.42,0,1,0,1,0,0,212A2,0,87,IL,2019-06-13
2024,U,AR,MNL,79032,79032,0,211.5064,190.07,0,1,4,0,0,0,NONE,1,72,CA,2019-06-14
2018,CR1,NG,HYD,89571,89571,0,230.1565,152.87,1,0,4,1,0,0,NONE,0,47,MA,2019-06-15
2013,DV,CN,MNL,166694,127414,0,354.9366,11.22,1,1,1,1,1,0,212A2,0,23,OR,2019-06-16
2014,J1,JP,BLR,156451,34897,118005,222.7467,37.92,0,1,4,1,0,0,NONE,1,2,IL,2019-06-17
2011,T,VN,HCM,27044,27044,0,235.6168,89.75,1,0,3,0,0,0,NONE,0,43,MD,2019-06-18
2016,T,EG,GDL,73460,73460,0,149.3569,148.73,0,1,0,0,1,0,NONE,0,85,WA,2019-06-19
2017,F1,MX,MAD,22396,22396,0,170.587,74.16,0,1,5,1,0,0,NONE,0,0,PA,2019-06-20
2013,ASYLEE,IN,HCM,88207,58547,28171,25.5571,182.64,1,1,0,1,0,0,212A4,0,58,IL,2019-06-21
2017,L1,ET,GDL,142504,64636,71500,147.1072,86.74,1,1,6,0,0,0,212A9,0,43,NY,2019-06-22
2017,EB2,ET,PAR,218444,177869,785,69.7473,39.03,1,1,1,1,0,0,NONE,0,45,TX,2019-06-23
2017,ASYLEE,BR,MNL,75753,75753,0,169.8874,119.5,1,0,4,0,0,0,212A7,0,59,CA,2019-06-24
2022,EB3,PH,CDMX,51997,51997,0,103.1775,19.75,0,1,5,0,1,0,NONE,0,2,TX,2019-06-25
2024,K1,IT,HYD,33289,33289,0,88.0676,177.4,0,1,2,1,1,0,212A7,0,57,NC,2019-06-26
2021,TPS,GB,SHG,89411,25471,23480,169.9877,184.51,1,0,5,1,1,0,212A6,0,81,PA,2019-06-27
2025,T,MX,MUM,62442,62442,0,291.4978,4.33,1,0,0,0,0,0,212A6,0,33,PA,2019-06-28
2010,H2B,CN,PAR,196772,38123,145108,186.1679,60.79,1,1,1,1,0,0,212A2,0,34,PA,2019-06-29
2022,U,DE,BLR,165173,165173,0,311.218,208.92,0,1,5,1,1,0,NONE,0,59,MD,2019-06-30
2023,U,BD,LON,176580,92252,35386,159.6281,169.65,1,1,6,0,0,0,212A5,0,35,TN,2019-07-01
2021,PAROLE,CO,HYD,220946,220946,0,154.2482,198.25,1,1,6,1,0,0,NONE,0,66,AZ,2019-07-02
2022,IR1,MX,FRA,230661,14682,195673,361.1183,77.83,1,0,3,0,1,0,NONE,0,51,MD,2019-07-03
2017,B1B2,PH,ROM,181627,45610,95081,42.1584,52.36,0,1,2,0,0,0,212A2,0,75,MN,2019-07-04
2011,U,CN,DEL,164088,113251,20556,207.6285,110.02,1,1,6,0,0,0,NONE,1,71,OR,2019-07-05
2025,TPS,BD,DEL,171458,165534,0,34.6786,26.16,0,1,3,0,0,0,NONE,0,68,TN,2019-07-06
2016,CR1,VN,PAR,223083,152473,48182,345.6987,10.97,1,1,6,1,0,1,NONE,0,48,MA,2019-07-07
2016,J1,MX,HCM,72037,43345,25069,254.8488,117.8,1,1,6,0,0,0,NONE,0,19,NC,2019-07-08
2018,EB2,IN,BJG,74875,74875,0,125.6889,65.05,0,1,2,0,1,0,NONE,0,23,NJ,2019-07-09
2018,F1,NG,BLR,118640,87864,12096,319.229,201.29,0,0,5,0,1,0,212A6,1,79,IL,2019-07-10
2012,B1B2,PK,LON,80474,80474,0,220.5691,65.65,1,0,2,0,1,0,NONE,0,19,MA,2019-07-11
2020,EB3,FR,BLR,51918,51918,0,226.9692,116.53,1,1,4,1,0,0,NONE,0,60,MI,2019-07-12
2017,ASYLEE,BD,SHG,11249,11249,0,223.3293,162.65,0,0,3,0,0,0,212A8,0,4,AZ,2019-07-13
2024,H2B,NG,LAG,189150,31930,110725,145.5094,154.69,0,0,5,0,1,0,212A6,0,57,MN,2019-07-14
2025,K1,DE,HCM,62605,62605,0,250.5095,215.84,0,1,3,0,0,1,NONE,0,20,VA,2019-07-15
2024,H2A,JP,CHE,244916,132601,100339,183.4796,222.14,0,1,5,0,1,0,NONE,0,2,MA,2019-07-16
2021,L1,EG,ROM,201853,84475,105785,174.1697,122.04,0,0,2,1,1,0,NONE,0,69,TX,2019-07-17
2022,H2B,CN,MNL,148363,73856,24652,344.3198,2.64,0,1,6,0,1,0,NONE,0,64,OR,2019-07-18
2025,CR1,FR,GZC,31945,31945,0,335.6699,40.21,0,1,6,0,0,1,NONE,0,62,OH,2019-07-19
2021,L1,MX,HYD,112538,112538,0,214.63,50.97,0,1,2,1,1,0,212A5,0,78,NJ,2019-07-20
2012,H2B,CO,ROM,213341,172848,10512,323.4301,181.86,1,1,0,1,0,0,NONE,0,10,MD,2019-07-21
2016,ASYLEE,NG,LAG,145789,145789,0,133.0702,160.52,0,1,0,0,0,0,NONE,0,8,OH,2019-07-22
2011,TPS,NG,GDL,62102,62102,0,90.0803,234.88,1,0,4,1,0,1,NONE,0,37,TN,2019-07-23
2011,CR1,AR,HCM,133521,133521,0,90.2804,188.75,0,1,4,1,0,0,NONE,0,47,MN,2019-07-24
2021,IR1,EG,MNL,194994,16008,143785,240.5205,78.47,1,1,3,1,0,0,NONE,0,35,AZ,2019-07-25
2015,U,GB,FRA,243675,136503,91840,99.3406,103.31,0,0,2,0,1,0,NONE,0,6,NC,2019-07-26
2023,CR1,IT,ROM,150091,110486,0,32.7307,183.35,1,1,2,1,0,0,212A1,0,53,MN,2019-07-27
2022,H2A,BR,FRA,123014,28797,62108,72.5608,77.04,0,0,2,0,1,0,NONE,1,60,CO,2019-07-28
2011,EB2,VN,DEL,192396,144549,7543,114.0109,112.84,0,1,6,0,0,0,NONE,0,21,OH,2019-07-29
2014,IR1,FR,BLR,170151,120840,2530,119.261,164.67,0,0,5,0,0,0,212A7,0,63,GA,2019-07-30
2013,PAROLE,ET,DEL,245781,167891,72622,259.7011,196.77,0,1,4,0,0,1,NONE,0,50,MD,2019-07-31
2012,U,MX,MAD,242655,5971,202412,94.0412,171.13,1,1,3,1,0,0,NONE,0,56,OH,2019-08-01
2010,H2B,GB,HCM,39678,39678,0,46.5113,149.96,0,1,6,0,1,0,NONE,0,18,TN,2019-08-02
2012,F1,BD,MUM,44807,44807,0,353.1014,198.79,0,1,4,1,0,0,212A1,0,6,GA,2019-08-03
2011,K1,AR,ROM,16608,16608,0,3.1515,21.26,1,1,6,1,0,1,NONE,0,12,PA,2019-08-04
2022,B1B2,IT,LON,242800,51664,187194,52.5416,152.11,0,0,0,1,1,0,NONE,0,18,VA,2019-08-05
2016,H2B,CN,LAG,223236,165081,14783,261.0117,62.14,0,1,0,0,1,0,NONE,0,8,OR,2019-08-06
2020,DV,EG,LON,141356,63086,30735,159.7718,69.03,1,1,2,1,0,0,NONE,0,41,MI,2019-08-07
