econ_output_bea_release_quarter,econ_output_cbsa_code,econ_output_industry_naics_2,econ_output_gross_output_current_dollars,econ_output_gross_output_real_chain,econ_output_value_added_current_dollars,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_social_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2016Q1,10017,54,1109153497,843526882,423575652,322135259,577718446,95226,277522397,70023267,19555485,69127698,50676715,24605848,131.49,1541405,80.41,BENCH,2012
2016Q3,10018,21,141338244,136756888,51189601,49530335,58802475,106510,28443482,8519258,5502061,6510276,4378335,3843689,103.35,2179460,121.22,BENCH,2012
2020Q2,10019,81,631082029,525595094,321541660,267795169,287650388,72075,149844449,51553500,19641289,54659271,39204863,21888766,120.07,500315,111.55,FINAL,2017
2017Q1,10020,56,324177148,247841856,194127779,148415733,185690603,72831,100312670,17083530,13265547,29565235,22687812,9109278,130.8,2062688,78.17,BENCH,2012
2023Q1,10021,61,1566494820,1718401514,712348721,781426855,758293377,89645,423740612,109756239,37828017,111959028,46755337,19979647,91.16,704011,86.13,3RD,2012
2019Q1,10022,71,733980312,639132978,340038952,296098008,273193624,103529,139633461,23463920,23645634,29504292,15798469,10083377,114.84,1226296,107.84,BENCH,2017
2018Q1,10023,62,291521554,223662386,203265237,155950005,206236895,71570,117149830,14974750,18325727,39022355,16290846,4688264,130.34,505475,121.98,BENCH,2012
2020Q3,10024,23,357492642,269927999,264872768,199994539,280608140,34105,108930530,36204170,19527380,50653084,28057355,12797566,132.44,1375545,111.95,3RD,2017
2023Q1,10025,56,364863754,342884836,264859016,248904253,222027524,77127,123795773,19399695,15521754,21898381,17133666,16893491,106.41,394151,141.22,ADV,2012
2018Q3,10026,21,862485588,820399113,462654038,440078035,591648939,105022,239621353,82949231,47916453,121321780,97101984,30201602,105.13,1843153,99.41,BENCH,2017
2020Q2,10027,44,1131979493,848433138,695578523,521345018,840101403,48429,429389306,92724485,41970928,177585314,63831940,66841391,133.42,1130481,139.93,ADV,2022
2024Q3,10028,44,523898622,430802255,356740191,293347744,440905749,32502,160171634,32772060,26884214,63865546,67292495,10074646,121.61,439932,123.73,3RD,2022
2016Q1,10029,31,451637065,351879287,293596916,228747110,249010778,101793,107229818,34350132,10018887,40756516,12798202,19859587,128.35,1543438,141.05,2ND,2012
2023Q2,10030,42,817590784,660893043,484860119,391932842,549520076,91618,325660514,80397452,29894713,47921140,32654550,11616639,123.71,163598,117.42,ADV,2012
2025Q3,10031,31,491848170,415272011,188972684,159551405,210402190,45964,83961095,30644731,16794214,21620471,10552556,15503752,118.44,1429510,137.15,ADV,2017
2019Q3,10032,44,613062814,583535898,236212111,224835438,267769024,30763,117707780,45007001,18942682,37696009,35152921,8008207,105.06,360737,119.16,BENCH,2022
2020Q2,10033,32,541932506,515831435,194598237,185225811,225597908,99175,139109448,32174277,9437716,36330986,30785843,9868331,105.06,295256,117.11,ADV,2012
2022Q3,10034,92,327130781,274024779,180564677,151252033,171969984,29640,64370988,22330411,12962184,24940537,30481762,13228770,119.38,1118760,106.37,ADV,2017
2017Q4,10035,45,959220494,757917584,627952143,496169519,779950846,63335,466222701,132852623,46218409,106430742,46845540,39860881,126.56,1396020,115.65,BENCH,2017
2021Q1,10036,33,360885129,408379687,246465337,278901592,265261003,87797,102293025,26423859,13397158,47057490,36966986,14835166,88.37,1228826,98.01,2ND,2017
2022Q2,10037,71,1278431310,994037252,721935475,561336968,663979935,103964,372151013,34995103,55526345,126881253,33285494,34028880,128.61,1329280,119.16,ADV,2022
2018Q1,10038,53,875312845,784400793,374752580,335829895,446032073,82890,159575476,31713979,19740177,79162997,85201006,15278993,111.59,1988345,105.98,ADV,2022
2017Q4,10039,51,534504349,476682733,294486768,262629776,294881563,57942,160542173,17880741,18149427,57952943,26719710,16910063,112.13,607583,91.17,ADV,2022
2024Q2,10040,31,260498370,210096274,153630192,123905308,155263769,56141,71049585,19233174,6414182,15642389,23418447,10987780,123.99,888147,139.98,2ND,2022
2019Q1,10041,33,1121478284,885284405,586265168,462792207,557513365,44346,250029824,91607785,30703062,92670893,29438053,34223635,126.68,621589,82.51,FINAL,2012
2021Q3,10042,32,568032431,590470302,396423082,412082206,442335785,57107,170746425,46208628,31498742,84749425,58400727,16642996,96.2,892548,107.29,FINAL,2017
2016Q4,10043,61,758447753,607001003,441778670,353564362,482529880,35852,259478970,48223246,26484946,49557724,80287304,36011653,124.95,1903728,108.7,BENCH,2017
2018Q2,10044,53,1015317991,1168375133,645609253,742933548,682021990,113724,408034685,35772851,25267091,100022561,117131365,47700170,86.9,556193,119.29,ADV,2012
2022Q4,10045,45,277130381,229621660,186672582,154671126,194474441,93377,89011693,31638302,9556641,40001947,12334817,14241397,120.69,671595,87.23,3RD,2012
2018Q3,10046,72,581903522,514185316,277613139,245306299,252185286,90995,101925681,34561433,21239042,26547733,13888290,6654025,113.17,105081,128.95,BENCH,2022
2020Q3,10047,33,401828895,332007680,230579189,190514078,252449207,44475,99972254,15891498,6538533,37117963,34428871,5373096,121.03,63725,133.41,BENCH,2022
2020Q2,10048,81,569201111,448225144,353714029,278536916,355869337,41478,187726877,44297912,20361759,67108114,23715726,11201505,126.99,1601235,88.06,BENCH,2022
2022Q2,10049,56,609752312,457772006,441532452,331480820,508544103,85446,311418518,43815219,24087327,89336131,63368102,24105004,133.2,394195,121.77,BENCH,2012
2019Q4,10050,56,211178236,194742010,121196956,111764069,97422959,79221,53756632,17134973,4772070,16483817,6627286,7423418,108.44,970923,141.66,FINAL,2022
2016Q2,10051,52,432875304,390188664,303709899,273760500,268575645,95094,100218511,32943596,9970621,38957467,36250414,16257522,110.94,419658,82.47,FINAL,2022
2022Q1,10052,21,507407279,495563316,305242107,298117108,336447709,108816,201282133,31856442,24696791,33766243,65337378,7663573,102.39,1286537,90.85,ADV,2012
2020Q4,10053,45,259388492,262008578,104484126,105539521,114413992,76993,46433844,6376259,4093632,17558364,17492061,3939887,99.0,1064246,92.93,FINAL,2012
2023Q1,10054,81,335900730,293542541,168280332,147059628,165000919,87030,89545334,18770114,3513431,22176323,16654702,10369040,114.43,1992355,121.36,2ND,2022
2022Q4,10055,71,516361383,500447163,303406074,294055121,321067528,82537,157526718,18127655,10354121,46196982,53159299,14674599,103.18,2191791,96.12,ADV,2017
2023Q2,10056,45,683762581,643904870,388709036,366050509,435085914,90012,230478250,32884140,19724124,56770392,45408562,11804910,106.19,1879201,80.66,ADV,2022
2017Q3,10057,56,450851253,499724288,257074644,284941969,268790242,99172,106579049,42923670,22741496,45825128,20829778,21186187,90.22,686877,82.79,ADV,2012
2021Q3,10058,11,342097801,378929775,252687114,279892683,277945209,89861,144517863,26847765,9238091,28467394,42682075,19189728,90.28,2128803,84.02,FINAL,2017
2023Q4,10059,23,293654475,224729835,163332604,124996253,150698355,79937,57241199,19666318,14334771,26735164,13616214,10265535,130.67,1172688,77.96,FINAL,2012
2025Q1,10060,56,405797317,431745204,229676238,244362419,292134077,80808,105516590,15547433,6134627,27176923,26171903,22768510,93.99,1361553,94.36,2ND,2017
2018Q3,10061,48,325374888,257254023,234670423,185539550,214307458,82032,118608266,13226334,9816301,33733543,21121561,10179713,126.48,1580242,83.03,FINAL,2022
2020Q4,10062,11,653372447,541140009,279659273,231621064,306078076,89299,152409134,54406188,9932651,36861187,42720265,16058749,120.74,1024822,94.91,FINAL,2012
2024Q4,10063,52,550589222,514954379,327439499,306247193,394235157,99010,166010925,67408340,29848178,55123297,36626178,9954782,106.92,111770,141.02,FINAL,2022
2017Q3,10064,62,350500279,366708808,242517332,253732300,301733437,32130,175023283,26313706,26291453,62389340,30218876,19713764,95.58,1576866,125.59,2ND,2017
2018Q3,10065,42,543756744,621152324,240805324,275080334,247216022,68407,86758066,28806559,19208685,25039843,37931176,9004054,87.54,513442,113.52,2ND,2012
2017Q1,10066,49,1555762714,1209957003,627127675,487733454,754805328,54933,363704845,84368545,67016458,89370548,137056131,40402981,128.58,1572288,132.82,BENCH,2017
2017Q2,10067,11,706747058,595406115,283136335,238531032,312593208,52346,121118418,45262043,15972927,34871423,39853201,13265729,118.7,654812,81.26,3RD,2017
2019Q1,10068,33,551045064,584973529,401908687,426654657,442411243,59625,250921514,29623575,42123943,81313729,40354792,34044392,94.2,480746,90.49,2ND,2022
2021Q4,10069,72,694402953,786591474,260348000,294911645,240197116,29141,123344806,18182024,11805724,22159027,40360821,10640672,88.28,2062347,144.94,3RD,2022
2025Q4,10070,54,912888080,696914329,354123625,270344015,302502775,73580,136147713,36479888,11090008,40731752,20430947,7284458,130.99,1773106,127.68,ADV,2012
2016Q2,10071,55,226742294,228986360,97395781,98359706,84116477,87960,33720066,12741387,6372272,10556934,10672566,2811198,99.02,1369092,119.64,FINAL,2012
2024Q1,10072,22,392065808,399781593,209061175,213175461,190711425,50322,67656173,19612190,17911774,38049252,29451111,5192421,98.07,1980253,88.39,BENCH,2022
2017Q1,10073,81,356360119,306968834,235651714,202990537,255681536,77184,136957697,40353032,6367727,41351024,30075104,14578088,116.09,976426,90.56,2ND,2022
2022Q1,10074,22,351302502,316232336,136328040,122718553,126440106,31943,62429603,16483906,3710206,13471548,14940675,7292027,111.09,1954552,123.84,3RD,2012
2019Q3,10075,31,1396366179,1425881935,967000670,987440692,894137061,67790,489187784,103340792,80017278,176510181,178071729,57305125,97.93,736222,91.37,2ND,2017
2019Q4,10076,44,626175663,655818667,264409719,276926811,267159638,85366,135528579,32052217,24208872,55868819,24373868,7775959,95.48,1098167,106.53,3RD,2022
2021Q1,10077,53,847583463,652238140,618265862,475772114,770927308,81937,377530423,50572150,67776069,69037176,134481986,58994671,129.95,275125,114.79,3RD,2012
2025Q3,10078,61,563380687,564849295,262203078,262886583,344954107,60389,213457882,30260839,11072088,46932562,26145460,17247670,99.74,249862,134.73,2ND,2017
2023Q3,10079,31,1921615627,2170091053,902367214,1019048237,861541495,80835,521235496,151120607,55452651,121975158,107820829,54591941,88.55,1476868,84.18,2ND,2012
2025Q1,10080,32,177588676,152790739,69648638,59923116,56299206,40553,32728505,3205753,4855646,4644089,10163843,4286871,116.23,935373,124.91,BENCH,2017
2018Q4,10081,55,380808659,297297727,143040273,111671694,153896813,82055,66331867,27019150,7435705,30522655,23324479,9041083,128.09,893897,115.9,ADV,2022
2019Q2,10082,33,389233256,446470814,213740082,245171005,206456237,46282,126072272,25991429,15851262,19966644,22008647,7409544,87.18,1725974,95.79,BENCH,2017
2019Q2,10083,54,407521083,437865137,282302897,303323194,303326534,81065,172274962,41753375,22677897,61043984,48359872,17237972,93.07,923026,123.38,3RD,2012
2019Q1,10084,54,766427695,798528542,292286489,304528536,315905994,53931,173650484,34057670,14786796,47445913,55076196,16777053,95.98,1126368,132.21,ADV,2012
2024Q4,10085,72,507548187,424087723,188064343,157139324,245076913,85609,138908162,18089796,21609389,49846620,26232476,6592726,119.68,1019328,128.71,ADV,2022
2022Q2,10086,32,671662727,676125153,351336636,353670864,290436792,52855,175843031,23690227,21383831,39131662,37890969,12627074,99.34,347541,95.17,BENCH,2017
2025Q4,10087,42,817003566,636543487,423115947,329657925,591908686,86277,326790926,97754626,25492869,95260224,101055996,41826674,128.35,1594806,100.62,FINAL,2022
2023Q2,10088,56,543045687,560997611,376410004,388853310,321483355,48496,170507302,49681553,21007012,44931267,44587443,19905750,96.8,995409,80.54,3RD,2012
2022Q3,10089,48,698373044,613468942,294643546,258822511,378780151,35603,232257704,43316343,21018325,48905308,73415133,10184801,113.84,1685370,138.05,BENCH,2017
2019Q4,10090,49,389306637,443957848,259365176,295775090,320232935,63704,171946802,23406806,8520441,63925415,22679936,24880618,87.69,1946228,122.41,2ND,2017
2025Q2,10091,55,351444040,283057378,165480255,133279845,153116401,111274,68058436,20113846,8454627,30765803,27232510,11142476,124.16,47337,119.85,3RD,2022
2022Q1,10092,31,311496838,231510099,115013706,85480272,113243135,97611,58127287,6786358,4513741,14477419,21580123,7740130,134.55,1291340,88.26,3RD,2022
2022Q4,10093,42,506079342,426028573,250818459,211144422,344027396,46080,206036334,19721035,12679825,47014901,63221798,21821312,118.79,550389,106.45,2ND,2022
2022Q4,10094,71,301092912,258782047,153173622,131649009,173503372,96703,96932499,9403147,3758958,22762788,10037249,10998186,116.35,1276456,136.78,ADV,2012
2017Q4,10095,53,284153371,287081603,170715333,172474574,189172248,37100,88337304,27558445,15795027,37470364,19350161,8743204,98.98,777436,98.58,BENCH,2012
2019Q2,10096,33,671956639,551779142,302216637,248166067,349092978,43901,131055713,37545209,33467864,73354927,43842314,17252804,121.78,1927224,113.3,3RD,2017
2020Q3,10097,72,304686481,277669262,108332676,98726580,150309301,41924,84518539,21316495,5392578,20379394,18689202,4232159,109.73,1888865,125.09,3RD,2017
2019Q3,10098,56,644325375,675605930,260519462,273167099,260061274,113743,145145123,42578763,23125922,31072806,31307345,11769293,95.37,1174138,141.26,2ND,2017
2017Q2,10099,32,412985076,341818470,185409603,153459364,212898456,111638,129810427,15890885,8097789,20156630,33180864,14062334,120.82,2062118,140.98,2ND,2012
2016Q3,10100,22,363270236,321023538,263964963,233267023,306749646,78002,111447861,15734020,22723706,36400329,30477077,13384619,113.16,428296,103.82,2ND,2012
2021Q3,10101,55,764179132,582631238,352587596,268822504,322499343,76864,195885859,48291983,9256880,36325190,59489762,24169751,131.16,1332423,84.74,BENCH,2012
2024Q1,10102,56,796832894,739177082,566262465,525289856,782400080,65689,448276710,133036592,53164417,124054662,110601193,57736510,107.8,1674422,130.26,ADV,2012
2022Q3,10103,42,540010368,411812986,314857584,240111023,325740930,107211,169742331,25752672,23148615,34740964,33728635,14173927,131.13,2033020,119.07,BENCH,2012
2024Q2,10104,81,981914501,785908837,464661635,371907824,481800450,36237,222913793,49477202,18882313,85845751,44399271,25847750,124.94,6154,104.25,FINAL,2022
2025Q2,10105,62,209288275,223789858,129736375,138725807,174632818,59151,106947349,13999092,13513712,34582455,25362139,13122004,93.52,722938,114.49,BENCH,2022
2017Q2,10106,54,832895583,731508504,319582358,280680097,399903778,80764,242848722,56692977,26746679,71023160,29873254,29334741,113.86,626335,122.71,ADV,2012
2016Q1,10107,92,324590083,266428698,220802924,181238549,224934910,107004,94859084,26353675,11180301,47231578,21566887,15521850,121.83,901305,90.7,BENCH,2017
2019Q4,10108,62,432273837,498240937,252487264,291018054,240031454,94234,137859898,15394869,16092386,38801322,45853871,13043034,86.76,1601939,128.7,FINAL,2022
2017Q3,10109,72,580427580,640365821,315344988,347909298,253306694,63406,152899977,21277989,12915894,30149067,44382778,15000807,90.64,291514,90.14,FINAL,2012
2019Q2,10110,45,342979656,263243270,188652854,144794577,182948835,98865,108363535,24894545,15904210,30473725,26103150,10790135,130.29,1199718,108.91,FINAL,2012
2020Q1,10111,72,474930473,449617034,335134630,317272205,297148250,78313,141777867,39000838,9735962,36056302,35061903,7865693,105.63,1876377,115.83,BENCH,2017
2023Q3,10112,32,391943524,296949408,155309847,117667889,146769987,74907,69247134,14095547,7617335,32181094,25731363,11266987,131.99,1417245,133.63,FINAL,2012
2022Q4,10113,31,432959792,437068233,185309503,187067942,254803276,41322,105012808,14399058,13730050,47542562,37648211,10750012,99.06,1034875,76.62,FINAL,2012
2017Q1,10114,71,1389555354,1188263515,887619280,759038208,820812751,41112,335776704,124884815,44185151,84795982,92281089,34808211,116.94,1108087,111.7,3RD,2012
2020Q2,10115,42,191743511,179300085,96478173,90217106,77839291,34720,41460379,7047564,6077176,13039748,7933318,4482042,106.94,170422,101.37,2ND,2017
2019Q2,10116,22,435777988,333087203,206747408,158027523,191330397,65845,100913842,12958400,9001253,31512745,36354057,4630092,130.83,998635,143.4,2ND,2017
2019Q4,10117,61,590460796,484023933,333430766,273326310,391033845,72120,175898803,55719335,27467453,69790697,20154243,17120663,121.99,771027,100.76,ADV,2017
2023Q3,10118,48,275520586,259606696,138976077,130948909,185290834,49315,107528148,25753541,8442960,33397621,11768796,4468845,106.13,1483715,105.89,ADV,2017
2022Q1,10119,31,446020354,364009103,276522001,225676978,287047901,108145,133456223,47534118,10458579,59932086,52438641,19092454,122.53,1647426,87.99,FINAL,2022
2024Q1,10120,62,564492953,459535129,253081120,206025008,330173737,36747,165252850,16850290,29084982,50070225,62538717,10458999,122.84,323476,98.49,2ND,2022
2022Q3,10121,54,580611615,677572196,226692497,264549536,266399424,85619,126139522,29159502,8522566,44155044,22095535,10415163,85.69,109533,132.26,2ND,2017
2020Q2,10122,42,732156315,630625594,317281492,273282939,276593568,80943,128831231,27962649,13790138,24196661,51877968,19944413,116.1,1123011,137.04,3RD,2012
2020Q3,10123,92,839611887,956713636,442009617,503657266,504318873,68026,207144868,74902069,32067632,89932934,85139724,35390605,87.76,2007674,104.68,3RD,2017
2023Q3,10124,72,411251342,331360359,228267476,183923516,262981140,103982,156544605,45426575,9099408,37515492,40315162,5767621,124.11,358701,122.22,FINAL,2017
2016Q3,10125,42,506879550,592425842,303586958,354823467,295806657,92265,109730139,50037797,22283409,53229211,58150511,6232889,85.56,2182823,124.31,2ND,2012
2016Q2,10126,62,238609601,189417799,172080491,136604343,196287684,57429,100453927,26173789,13195592,31648104,14509051,11261413,125.97,411719,80.79,2ND,2017
2025Q2,10127,52,472594313,397840149,232676590,195872203,315371035,50701,167658737,39602425,11481500,67280486,44063929,15318168,118.79,1119399,143.25,3RD,2012
2024Q1,10128,61,234851413,174896793,160895493,119820891,148322723,97824,54989510,21608244,8724012,24375415,27743243,9553581,134.28,1302675,106.66,3RD,2012
2024Q3,10129,51,487810166,528218913,190379533,206150009,257396048,39216,146103378,17648263,5723914,55222365,18741822,11820688,92.35,1471229,98.75,BENCH,2012
2020Q3,10130,48,732307634,678376687,506370820,469079037,707263548,93219,330991020,77060003,44908941,67217331,98103960,30575497,107.95,904668,113.55,ADV,2022
2024Q2,10131,51,596512838,562588737,238768649,225189710,227904016,46443,134175108,26475826,10305868,38732527,15643700,10564513,106.03,216311,135.68,BENCH,2017
2022Q2,10132,61,507804908,537985918,314155917,332827542,287329134,50663,113702063,34712780,27576833,36615751,50541288,12741887,94.39,510538,91.56,ADV,2012
2017Q3,10133,52,726323664,689700564,341096488,323897529,273366371,103420,110993282,38046896,13949480,28758846,47391915,18344970,105.31,180254,122.63,BENCH,2017
2022Q4,10134,52,828891593,861633673,617782516,642185568,700663837,88258,355804064,91784652,20426810,99710830,50269293,42145581,96.2,1466966,112.43,BENCH,2022
2024Q2,10135,33,320596236,372959791,215377297,250555255,209651702,68640,111445885,11779545,11049394,42057075,14956577,5015514,85.96,1185440,82.91,2ND,2022
2023Q4,10136,92,877912278,820785600,568989200,531964473,787123630,29733,288845431,89097535,41661028,85896817,111016970,28416510,106.96,511232,81.67,FINAL,2017
2025Q3,10137,53,332379827,321543801,184161380,178157473,208379860,40762,118634521,23888022,8686868,41013776,25224759,16044149,103.37,670723,114.77,FINAL,2017
2017Q3,10138,55,388279943,351162108,200799220,181603708,223115279,54840,98340094,14693753,17741251,32250627,43395311,9242086,110.57,425038,80.81,3RD,2012
2023Q4,10139,56,697403907,652816537,360819917,337751490,352597322,59897,150306909,39750707,7659730,60127402,49476338,8407044,106.83,1568388,113.34,2ND,2022
2017Q4,10140,61,530217167,404560634,210772883,160821672,187413493,67906,78861133,26758810,17488135,33804982,26328498,13181914,131.06,1921307,76.89,BENCH,2022
2023Q3,10141,55,479580462,489717617,323544446,330383382,291132304,34349,172725169,42766246,25267668,52906017,49538951,18825277,97.93,1724627,134.01,BENCH,2022
2025Q4,10142,56,528929357,410946591,211673671,164457828,281178788,36494,121321875,14740151,15570884,50267502,39157760,13784497,128.71,1567591,96.29,BENCH,2022
2024Q3,10143,44,935574822,1018257316,426537568,464233313,519683444,34291,276189427,43909142,39774589,64482122,42222557,17763839,91.88,455449,130.99,FINAL,2017
2023Q4,10144,71,501948696,466148492,356775452,331329357,286545099,40845,149245219,21987336,14354335,50843943,32253019,17716447,107.68,1720952,109.18,3RD,2017
2017Q3,10145,31,704314853,787471884,302449423,338159015,380201153,110306,138390091,49946478,14542828,33865545,62065030,27581095,89.44,811931,142.15,FINAL,2012
2019Q2,10146,48,695426127,594787998,304816981,260705594,390050711,38781,158955834,57060266,9630895,77698078,46697610,10471006,116.92,1091525,110.35,FINAL,2017
2017Q3,10147,33,1377931615,1063136807,518592090,400117344,639574520,40499,246409307,58541052,23673173,120628946,55338052,32536482,129.61,1591922,77.21,BENCH,2012
2024Q3,10148,44,968886374,836978554,662560921,572357395,590235302,40791,278918664,61503599,14041567,105134774,74855997,25527169,115.76,354957,125.42,3RD,2012
2023Q2,10149,42,690027841,577670859,352704060,295273386,372166942,91525,223559636,66028363,13720012,37767708,58064571,28632387,119.45,193825,137.28,3RD,2017
2021Q3,10150,49,695241952,627531322,361537907,326327202,418254262,56993,159994838,74688082,19644212,60453964,48201717,25384142,110.79,75052,86.95,3RD,2022
2017Q2,10151,32,527926209,492928300,200490047,187198923,270403292,90383,109141606,20468734,16366755,25688136,32326469,6968864,107.1,2184359,122.72,FINAL,2017
2018Q2,10152,11,447361754,334551117,317403975,237364624,430870629,66618,211126327,40394170,35945035,50546695,68907298,10581825,133.72,1035713,131.63,FINAL,2017
2021Q4,10153,51,482149808,360243431,235761518,176151762,235573344,31622,125785333,31916311,6837405,28944243,41448301,15162511,133.84,2031461,112.59,BENCH,2012
2018Q3,10154,45,491120490,415534724,296356454,250745794,243633756,86604,139615052,28665953,21907454,36688508,14755789,16969898,118.19,352197,99.28,FINAL,2012
2018Q2,10155,49,387562658,307516193,195937818,155469188,269643789,37322,115050022,16470794,14099485,22865872,42780003,12586184,126.03,2076219,127.94,3RD,2012
2025Q1,10156,61,394521177,306757777,242330822,188423001,331478141,69314,161802329,17965837,16027142,27425912,36243166,7663146,128.61,503473,92.37,ADV,2022
2019Q3,10157,23,470004167,489689693,201613350,210057668,228434098,61873,124883789,21019325,19813534,22002157,41408941,6483107,95.98,560706,95.2,2ND,2017
2018Q3,10158,42,412550833,329381903,154569666,123408915,190554962,73218,77060784,24271472,14966898,25610112,27582736,8940504,125.25,82693,106.8,3RD,2022
2022Q1,10159,33,440399184,480365602,290401879,316755976,277589196,70934,163656872,34920974,24276335,36928087,41920137,9269033,91.68,2053985,105.94,FINAL,2022
2023Q2,10160,44,446360039,381830658,273359432,233840404,290235948,90134,154625247,17010276,26516518,48032704,36404457,20195404,116.9,2063394,113.04,FINAL,2022
2025Q3,10161,54,763120493,579086730,390113728,296034093,362234658,78086,219480065,49662370,12546503,33851726,68059006,18951525,131.78,669838,121.73,2ND,2017
2017Q1,10162,92,721015782,628171965,261308607,227660400,247760055,40123,137248981,34973278,21146781,36044646,20964892,9973510,114.78,666817,128.25,2ND,2022
2019Q3,10163,71,809817239,791455472,546254963,533869198,543995692,112832,291768807,59552720,24473566,108839652,95769203,22985240,102.32,407469,116.75,2ND,2022
2024Q4,10164,52,904174023,704349944,634773779,494487637,615165807,58378,266617524,78786250,14259070,86133360,33116815,29837103,128.37,584649,135.21,2ND,2017
2019Q3,10165,48,338408863,316269965,157668557,147353792,166396596,99851,75925248,13149309,6367093,19591937,24086427,8593307,107.0,459558,143.45,2ND,2017
2023Q2,10166,48,492219655,387879949,250975082,197773902,346913029,43431,212654996,49475700,16147668,66185317,17607833,27544639,126.9,2180806,91.35,ADV,2022
2025Q2,10167,62,564058850,504886189,399772858,357834638,418524293,30739,175454753,38974141,32054336,42449771,41550914,31293789,111.72,1107413,120.53,BENCH,2017
2025Q3,10168,92,605229232,653101578,395147885,426403243,343366138,108920,136958110,45059181,31082891,35348201,59115936,9584964,92.67,2155741,93.67,ADV,2022
2019Q1,10169,44,626939970,648670429,412509087,426807126,358254140,103872,160610068,29472642,29841920,69385726,58771139,26317108,96.65,139787,128.55,2ND,2017
2019Q1,10170,61,986932859,795849415,482309625,388928010,563138941,112958,198757360,100347222,18863642,117357240,57911088,39070330,124.01,1513239,116.32,ADV,2022
2021Q1,10171,48,368714951,275963589,250524310,187504161,298170636,34936,170343823,27003218,17395229,59666474,59339884,10841387,133.61,655459,119.09,FINAL,2022
2022Q2,10172,45,544506950,412224203,248473423,188109185,216863461,92473,78248107,38580106,15823084,43898116,35500535,8696338,132.09,418593,135.95,3RD,2012
2016Q3,10173,51,264021857,239998052,123965698,112685845,109584898,59157,58660552,6451228,5483688,13348901,17400871,8651126,110.01,2035756,93.6,FINAL,2012
2024Q4,10174,53,597645944,633770884,350312696,371487483,429490772,88994,231831116,41496791,23895214,93730460,61449721,22360174,94.3,1627097,101.99,3RD,2012
