gov_fedspend_obligation_date,gov_fedspend_program_cfda_number,gov_fedspend_awarding_agency_code,gov_fedspend_funding_subagency_code,gov_fedspend_recipient_uei_hash,gov_fedspend_recipient_type_code,gov_fedspend_award_amount_usd,gov_fedspend_award_type_code,gov_fedspend_assistance_listing_title,gov_fedspend_place_of_performance_geoid,gov_fedspend_primary_purpose_code,gov_fedspend_covid_relief_flag,gov_fedspend_infrastructure_act_flag,gov_fedspend_competition_indicator,gov_fedspend_matching_requirement_flag,gov_fedspend_period_of_performance_days,gov_fedspend_outlay_estimate_usd,gov_fedspend_deobligation_amount_usd,gov_fedspend_reporting_period_quarter,gov_fedspend_data_source_system
2015-02-23,60.652,AG03,SUBF,UEI000000000054,LOCAL_GOV,111942335.65,CONTRACT,COMMUNITY_HEALTH,8024227462,ECON_DEV,0,0,OTHER,0,1123,100521648.35,433553.41,Q4,SYSTEM_B
2015-02-24,02.462,AG03,SUBE,UEI000000000055,LOCAL_GOV,173170882.44,GRANT,PUBLIC_SAFETY,6159934416,ECON_DEV,0,0,FORMULA,0,3081,156398183.48,7569623.49,Q2,SYSTEM_A
2015-02-25,76.940,AG04,SUBD,UEI000000000056,FOR_PROFIT,25064010.77,GRANT,RESEARCH_INFRASTRUCTURE,1718273321,OTHER,0,0,FORMULA,0,2868,15117625.27,370309.11,Q4,SYSTEM_A
2015-02-26,53.815,AG02,SUBD,UEI000000000057,UNIVERSITY,238328595.31,COOP_AGREEMENT,HOUSING_SUPPORT,9116957339,SAFETY,0,0,LIMITED,0,1873,194273492.64,14957112.28,Q1,SYSTEM_C
2015-02-27,53.062,AG06,SUBD,UEI000000000058,FOR_PROFIT,109348246.58,GRANT,TRANSPORT_IMPROVEMENTS,4924908146,HOUSING,0,0,SOLE_SOURCE,1,2415,96882086.97,2807038.58,Q3,SYSTEM_B
2015-02-28,14.993,AG06,SUBF,UEI000000000059,LOCAL_GOV,151095964.3,GRANT,BROADBAND_ACCESS,8860712189,OTHER,0,0,OTHER,1,1513,151642747.11,13103511.18,Q1,SYSTEM_B
2015-03-01,35.803,AG07,SUBC,UEI000000000060,FOR_PROFIT,5124646.58,LOAN,PUBLIC_SAFETY,6149779162,HEALTH,0,0,FULL_AND_OPEN,0,2298,2395264.32,51900.54,Q2,SYSTEM_A
2015-03-02,91.610,AG06,SUBD,UEI000000000061,UNIVERSITY,369209.49,LOAN,WORKFORCE_TRAINING,7675138582,SAFETY,0,1,FORMULA,0,1810,298823.38,35448.43,Q2,SYSTEM_D
2015-03-03,91.534,AG07,SUBE,UEI000000000062,UNIVERSITY,211668893.1,LOAN,WORKFORCE_TRAINING,2775490740,HEALTH,0,0,FULL_AND_OPEN,1,2377,139056889.38,14399239.48,Q2,SYSTEM_A
2015-03-04,08.843,AG03,SUBA,UEI000000000063,FOR_PROFIT,223867552.9,GRANT,RESEARCH_INFRASTRUCTURE,8388599549,ENV,1,0,SOLE_SOURCE,0,748,124719740.41,5707332.15,Q1,SYSTEM_A
2015-03-05,94.122,AG05,SUBF,UEI000000000064,LOCAL_GOV,175513081.67,GRANT,CLIMATE_RESILIENCE,6125037756,OTHER,0,0,FORMULA,1,3154,75866691.6,12090183.3,Q1,SYSTEM_A
2015-03-06,33.924,AG07,SUBF,UEI000000000065,UNIVERSITY,45218985.06,OTHER,SMALL_BUSINESS_SUPPORT,1984618320,ECON_DEV,0,0,FORMULA,0,285,28642763.49,3845229.09,Q3,SYSTEM_A
2015-03-07,35.177,AG07,SUBB,UEI000000000066,FOR_PROFIT,239669808.4,OTHER,SMALL_BUSINESS_SUPPORT,9409646879,ENV,0,0,FORMULA,1,2617,85963784.28,1583980.74,Q2,SYSTEM_C
2015-03-08,37.896,AG05,SUBA,UEI000000000067,LOCAL_GOV,28749593.52,GRANT,SMALL_BUSINESS_SUPPORT,4815714158,SCI_TECH,0,1,FULL_AND_OPEN,1,1652,27387984.5,128832.22,Q2,SYSTEM_B
2015-03-09,70.898,AG05,SUBB,UEI000000000068,STATE_GOV,98419369.6,GRANT,CLIMATE_RESILIENCE,2609693497,OTHER,0,0,OTHER,0,1210,74405950.0,8891156.43,Q3,SYSTEM_B
2015-03-10,62.110,AG01,SUBB,UEI000000000069,FOR_PROFIT,105869170.3,LOAN,BROADBAND_ACCESS,7865313335,SAFETY,1,0,FORMULA,1,3221,83920048.79,11136628.59,Q2,SYSTEM_D
2015-03-11,74.322,AG01,SUBC,UEI000000000070,TRIBAL_GOV,40374315.13,GRANT,TRANSPORT_IMPROVEMENTS,2693932470,OTHER,0,0,FORMULA,0,2206,35469074.63,4009842.82,Q3,SYSTEM_B
2015-03-12,36.672,AG03,SUBE,UEI000000000071,STATE_GOV,40008527.95,LOAN,COMMUNITY_HEALTH,1634891374,SCI_TECH,0,1,FULL_AND_OPEN,1,3433,24200802.12,3700911.45,Q4,SYSTEM_B
2015-03-13,18.579,AG06,SUBB,UEI000000000072,NONPROFIT,236332090.53,GRANT,ED_INNOVATION,5345572002,ENERGY,0,0,FORMULA,0,3510,227818620.78,12956974.63,Q1,SYSTEM_B
2015-03-14,12.671,AG04,SUBA,UEI000000000073,LOCAL_GOV,80827238.07,GRANT,DISASTER_RELIEF,8746101773,SCI_TECH,0,0,FULL_AND_OPEN,0,855,64784120.45,8341890.51,Q3,SYSTEM_A
2015-03-15,78.706,AG03,SUBE,UEI000000000074,LOCAL_GOV,164563527.28,DIRECT_PAYMENT,WORKFORCE_TRAINING,6073315524,TRANSPORT,0,1,FULL_AND_OPEN,0,1422,93252974.9,15325823.8,Q4,SYSTEM_A
2015-03-16,99.852,AG02,SUBC,UEI000000000075,INDIVIDUAL,91230498.23,CONTRACT,SMALL_BUSINESS_SUPPORT,9677827350,EDU,0,0,FORMULA,0,2470,59951372.05,4798473.07,Q2,SYSTEM_A
2015-03-17,92.288,AG08,SUBE,UEI000000000076,UNIVERSITY,153121290.57,GRANT,BROADBAND_ACCESS,5943668124,ENV,0,0,FULL_AND_OPEN,0,1695,65838432.24,2641541.82,Q2,SYSTEM_B
2015-03-18,63.865,AG07,SUBC,UEI000000000077,NONPROFIT,34292659.02,DIRECT_PAYMENT,RESEARCH_INFRASTRUCTURE,2137692219,EDU,0,0,FULL_AND_OPEN,0,1109,25908997.36,3862153.7,Q2,SYSTEM_C
2015-03-19,49.869,AG05,SUBB,UEI000000000078,LOCAL_GOV,211828434.61,CONTRACT,HOUSING_SUPPORT,7813300499,HOUSING,0,1,FULL_AND_OPEN,1,891,203692879.59,5142710.01,Q1,SYSTEM_B
2015-03-20,98.603,AG04,SUBA,UEI000000000079,STATE_GOV,168148565.39,OTHER,TRANSPORT_IMPROVEMENTS,6007355261,HOUSING,0,1,FORMULA,0,1335,92252755.09,18074194.2,Q1,SYSTEM_A
2015-03-21,30.592,AG05,SUBE,UEI000000000080,UNIVERSITY,13190501.44,LOAN,PUBLIC_SAFETY,5362390791,OTHER,1,0,FORMULA,0,3218,6191322.75,834699.82,Q4,SYSTEM_B
2015-03-22,47.579,AG04,SUBC,UEI000000000081,NONPROFIT,169789067.41,CONTRACT,PUBLIC_SAFETY,2896349439,HEALTH,1,0,FULL_AND_OPEN,0,1243,96611449.78,8776317.9,Q2,SYSTEM_D
2015-03-23,54.961,AG03,SUBF,UEI000000000082,INDIVIDUAL,182490388.44,OTHER,BROADBAND_ACCESS,3448079784,HOUSING,0,0,FORMULA,0,460,187873868.55,2094944.46,Q3,SYSTEM_C
2015-03-24,30.848,AG03,SUBA,UEI000000000083,TRIBAL_GOV,14827299.81,LOAN,PUBLIC_SAFETY,7489206096,EDU,0,0,FORMULA,1,3513,11224810.63,1628108.25,Q1,SYSTEM_B
2015-03-25,28.264,AG08,SUBB,UEI000000000084,NONPROFIT,215059887.68,COOP_AGREEMENT,TRANSPORT_IMPROVEMENTS,3756775746,ENV,1,0,FORMULA,0,2819,223325966.66,17128616.12,Q1,SYSTEM_C
2015-03-26,14.877,AG04,SUBB,UEI000000000085,LOCAL_GOV,36957821.12,GRANT,RESEARCH_INFRASTRUCTURE,2071753894,ENV,0,0,OTHER,0,1151,19659749.22,3463979.72,Q1,SYSTEM_D
2015-03-27,04.786,AG08,SUBF,UEI000000000086,LOCAL_GOV,170362642.2,GRANT,BROADBAND_ACCESS,1404565095,SAFETY,0,0,FULL_AND_OPEN,1,97,72829623.94,12222486.1,Q3,SYSTEM_A
2015-03-28,77.450,AG05,SUBA,UEI000000000087,NONPROFIT,227648896.4,GRANT,COMMUNITY_HEALTH,5966021034,ENV,0,0,LIMITED,0,1828,212772571.48,14556611.27,Q2,SYSTEM_B
2015-03-29,46.517,AG04,SUBF,UEI000000000088,INDIVIDUAL,197660385.31,GRANT,HOUSING_SUPPORT,1466187594,HOUSING,0,0,FULL_AND_OPEN,0,122,116463816.47,3001331.52,Q2,SYSTEM_B
2015-03-30,04.393,AG07,SUBD,UEI000000000089,STATE_GOV,72162823.97,GRANT,DISASTER_RELIEF,3582919519,HOUSING,0,0,LIMITED,1,1116,72914821.69,4128341.05,Q1,SYSTEM_C
2015-03-31,33.392,AG02,SUBA,UEI000000000090,UNIVERSITY,14426507.64,OTHER,PUBLIC_SAFETY,8336796599,SCI_TECH,1,0,FULL_AND_OPEN,0,2769,5226516.89,1334023.58,Q4,SYSTEM_A
2015-04-01,28.182,AG04,SUBA,UEI000000000091,NONPROFIT,81629160.58,GRANT,TRANSPORT_IMPROVEMENTS,6292588533,SAFETY,0,1,FORMULA,1,3279,72306484.16,8194935.27,Q3,SYSTEM_A
2015-04-02,95.701,AG02,SUBB,UEI000000000092,NONPROFIT,168034553.25,GRANT,TRANSPORT_IMPROVEMENTS,4651009909,ENERGY,1,0,FORMULA,0,912,148317914.54,2098594.83,Q4,SYSTEM_D
2015-04-03,31.931,AG06,SUBA,UEI000000000093,NONPROFIT,74720902.82,LOAN,PUBLIC_SAFETY,1898069339,HEALTH,0,0,FORMULA,0,974,55074527.74,4406266.98,Q2,SYSTEM_A
2015-04-04,29.959,AG01,SUBE,UEI000000000094,STATE_GOV,77606504.69,GRANT,RESEARCH_INFRASTRUCTURE,4826109157,ECON_DEV,0,0,FULL_AND_OPEN,0,987,80038747.12,2650912.71,Q1,SYSTEM_B
2015-04-05,31.036,AG07,SUBF,UEI000000000095,FOR_PROFIT,73403539.25,GRANT,CLIMATE_RESILIENCE,4983508940,TRANSPORT,0,0,FORMULA,0,297,73970005.84,4354800.61,Q2,SYSTEM_A
2015-04-06,41.992,AG01,SUBA,UEI000000000096,UNIVERSITY,47393786.19,CONTRACT,BROADBAND_ACCESS,8843703627,SAFETY,0,0,FULL_AND_OPEN,1,1662,22213086.57,4135082.75,Q2,SYSTEM_D
2015-04-07,71.409,AG07,SUBA,UEI000000000097,LOCAL_GOV,39402085.89,COOP_AGREEMENT,WORKFORCE_TRAINING,4396658770,ENV,0,0,SOLE_SOURCE,1,2040,20167762.19,3193248.32,Q3,SYSTEM_B
2015-04-08,62.169,AG01,SUBA,UEI000000000098,STATE_GOV,225589279.2,GRANT,PUBLIC_SAFETY,4274074384,SAFETY,0,1,FULL_AND_OPEN,0,1082,149566839.91,6813303.3,Q4,SYSTEM_B
2015-04-09,25.543,AG04,SUBB,UEI000000000099,NONPROFIT,28441900.89,DIRECT_PAYMENT,CLIMATE_RESILIENCE,7914121179,SAFETY,1,0,LIMITED,0,861,25642728.52,64924.81,Q4,SYSTEM_A
2015-04-10,36.671,AG04,SUBD,UEI000000000100,NONPROFIT,207782203.22,GRANT,RESEARCH_INFRASTRUCTURE,9184178466,OTHER,0,1,FORMULA,0,1628,97399943.26,11939954.81,Q2,SYSTEM_C
2015-04-11,52.284,AG02,SUBF,UEI000000000101,STATE_GOV,115364155.84,LOAN,SMALL_BUSINESS_SUPPORT,3097165650,ENERGY,0,0,FORMULA,1,906,47100006.45,6714053.44,Q1,SYSTEM_C
2015-04-12,19.747,AG05,SUBB,UEI000000000102,INDIVIDUAL,211632937.48,CONTRACT,HOUSING_SUPPORT,3378190129,ENV,0,0,OTHER,0,1656,113860001.76,20546364.87,Q4,SYSTEM_C
2015-04-13,65.896,AG02,SUBC,UEI000000000103,LOCAL_GOV,172786867.76,GRANT,TRANSPORT_IMPROVEMENTS,6745328187,HEALTH,0,1,OTHER,1,1425,154001988.02,17801786.12,Q1,SYSTEM_A
2015-04-14,56.039,AG02,SUBC,UEI000000000104,STATE_GOV,72507364.33,GRANT,DISASTER_RELIEF,9975093188,HEALTH,0,0,FULL_AND_OPEN,0,2598,36984660.8,414051.6,Q3,SYSTEM_A
2015-04-15,77.635,AG08,SUBD,UEI000000000105,STATE_GOV,111134954.33,GRANT,WORKFORCE_TRAINING,2810647041,HEALTH,0,0,FULL_AND_OPEN,1,3539,96330068.21,4343113.88,Q3,SYSTEM_D
2015-04-16,66.626,AG03,SUBC,UEI000000000106,NONPROFIT,145271152.66,COOP_AGREEMENT,PUBLIC_SAFETY,4433294480,EDU,1,0,OTHER,0,1756,115996566.56,3518195.65,Q3,SYSTEM_C
2015-04-17,50.556,AG01,SUBF,UEI000000000107,FOR_PROFIT,179374794.22,GRANT,RESEARCH_INFRASTRUCTURE,1399730862,SCI_TECH,0,0,LIMITED,0,1392,156036756.59,2120633.96,Q1,SYSTEM_A
2015-04-18,21.814,AG05,SUBF,UEI000000000108,UNIVERSITY,230374865.14,DIRECT_PAYMENT,BROADBAND_ACCESS,4507453217,TRANSPORT,0,0,FORMULA,0,87,138844422.58,12245416.72,Q4,SYSTEM_B
2015-04-19,94.835,AG03,SUBF,UEI000000000109,NONPROFIT,137216473.35,GRANT,COMMUNITY_HEALTH,5186344005,TRANSPORT,0,0,LIMITED,1,2553,134826565.96,15231157.1,Q2,SYSTEM_C
2015-04-20,15.760,AG01,SUBC,UEI000000000110,LOCAL_GOV,92367409.76,OTHER,RESEARCH_INFRASTRUCTURE,6472258837,ECON_DEV,0,0,FULL_AND_OPEN,0,3230,76704408.29,3131779.35,Q4,SYSTEM_B
2015-04-21,58.697,AG08,SUBD,UEI000000000111,STATE_GOV,121910211.46,GRANT,COMMUNITY_HEALTH,6371108187,ENV,0,0,LIMITED,0,1969,100636369.57,8758330.19,Q3,SYSTEM_D
2015-04-22,39.815,AG03,SUBB,UEI000000000112,NONPROFIT,101119783.77,GRANT,PUBLIC_SAFETY,9297021378,ENERGY,0,0,FORMULA,0,995,104047769.31,9933872.26,Q4,SYSTEM_D
2015-04-23,16.386,AG05,SUBA,UEI000000000113,INDIVIDUAL,86727225.59,CONTRACT,HOUSING_SUPPORT,6327746172,OTHER,0,0,OTHER,0,918,54973439.07,4350536.97,Q2,SYSTEM_C
