health_exp_reference_year,health_exp_country_iso2,health_exp_financing_scheme_code,health_exp_provider_type_code,health_exp_function_code,health_exp_total_expenditure_eur,health_exp_expenditure_pct_gdp,health_exp_public_share_pct,health_exp_out_of_pocket_share_pct,health_exp_per_capita_eur,health_exp_preventive_care_share_pct,health_exp_pharmaceuticals_share_pct,health_exp_long_term_care_share_pct,health_exp_admin_cost_share_pct,health_exp_unmet_need_rate_pct,health_exp_catastrophic_spending_rate_pct,health_exp_waiting_times_index,health_exp_eurostat_oecd_sha_table_code,health_exp_methodology_version,health_exp_data_extract_date
2025,ES,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,231230202554.0,10.69,57.51,45.0,1555.15,2.14,15.74,19.52,4.75,3.66,1.41,0.57,hlth_sha11_hp,SHA2011_V3,2025-11-23
2006,CZ,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,15291021648.4,5.52,67.25,36.84,1569.62,1.97,20.61,18.16,4.38,8.28,2.91,1.2844,hlth_sha11_hf,SHA2011_V2,2024-02-17
2007,HU,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,9468638747.99,11.29,80.15,21.62,1249.47,4.13,22.49,15.51,2.65,1.19,4.72,1.5625,hlth_sha11_exp,SHA2011_V1,2024-08-16
2008,NL,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,182593836925.81,8.39,62.28,36.28,2384.59,3.6,24.99,8.38,1.15,5.85,1.16,1.3087,hlth_sha11_hc,SHA2011_V3,2025-08-19
2009,SE,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,156582755548.83,11.85,84.61,16.07,6893.56,1.5,20.45,24.14,4.3,5.5,1.91,0.5297,hlth_sha11_hp,SHA2011_V2,2025-08-13
2010,DK,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,305864230540.15,5.75,77.54,34.09,4011.05,4.31,14.54,26.27,5.59,5.08,5.41,0.6215,hlth_sha11_hf,SHA2011_V1,2024-08-12
2011,IE,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,55932907889.49,10.51,72.88,33.8,3718.84,3.51,11.79,15.17,1.49,8.06,2.63,1.0945,hlth_sha11_exp,SHA2011_V3,2025-06-10
2012,PL,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,88080048072.38,10.2,81.26,22.14,6579.71,5.27,20.07,19.61,3.84,7.43,2.51,0.6986,hlth_sha11_hc,SHA2011_V2,2025-07-01
2013,AT,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,99127594123.43,6.32,69.19,38.47,6046.15,4.14,15.41,24.68,5.12,6.5,6.08,0.9624,hlth_sha11_hp,SHA2011_V1,2025-09-10
2014,EE,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,170907489072.64,6.66,72.08,30.85,7335.72,6.21,21.36,24.27,1.2,3.62,5.48,0.8436,hlth_sha11_hf,SHA2011_V3,2025-08-01
2015,IT,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,104860641587.78,6.78,61.85,42.62,6180.16,3.32,10.09,21.65,3.96,3.95,8.06,0.8215,hlth_sha11_exp,SHA2011_V2,2024-01-23
2016,PT,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,180469388631.05,6.84,72.53,28.8,7243.46,7.73,9.3,24.65,3.0,8.53,5.2,1.0541,hlth_sha11_hc,SHA2011_V1,2024-07-14
2017,BE,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,203914891401.41,6.5,59.83,35.0,7656.4,3.6,24.35,17.99,6.44,7.33,5.16,1.313,hlth_sha11_hp,SHA2011_V3,2026-01-19
2018,FI,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,234524395983.17,9.54,67.79,26.83,1893.43,2.17,17.67,3.99,2.94,3.0,6.83,1.1584,hlth_sha11_hf,SHA2011_V2,2024-04-11
2019,LV,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,52884692914.23,11.04,87.24,15.55,6131.57,3.08,25.21,18.43,4.65,3.61,5.31,1.1528,hlth_sha11_exp,SHA2011_V1,2025-03-02
2020,RO,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,249425177218.91,10.54,82.7,24.24,1556.65,6.73,13.88,21.91,1.07,5.27,4.79,1.5669,hlth_sha11_hc,SHA2011_V3,2024-08-27
2021,BG,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,121686680896.34,12.27,73.19,36.88,8078.96,6.35,21.3,25.18,1.26,8.97,7.94,1.155,hlth_sha11_hp,SHA2011_V2,2024-09-29
2022,FR,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,66796522406.94,12.8,74.28,29.34,4803.48,5.62,17.54,8.8,2.98,7.78,4.15,0.4388,hlth_sha11_hf,SHA2011_V1,2026-01-03
2023,LT,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,207567178473.91,10.69,55.64,39.67,11048.42,4.8,22.65,7.95,3.43,6.37,2.19,0.7627,hlth_sha11_exp,SHA2011_V3,2024-02-16
2024,SK,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,229395803510.84,6.74,63.89,45.0,9930.34,5.13,17.28,17.05,3.52,4.46,4.57,0.9305,hlth_sha11_hc,SHA2011_V2,2024-05-06
2025,HR,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,295291481581.52,10.45,71.39,35.87,4789.92,6.22,15.16,23.1,2.6,4.0,1.3,0.9094,hlth_sha11_hp,SHA2011_V1,2024-08-05
2006,DE,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,114764985239.2,10.63,76.84,34.25,1639.48,4.93,21.6,24.68,3.77,3.03,4.24,0.6524,hlth_sha11_hf,SHA2011_V3,2024-07-09
2007,LU,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,115075601864.57,7.18,68.64,39.5,1111.79,7.02,10.13,16.05,3.41,6.62,6.95,1.1033,hlth_sha11_exp,SHA2011_V2,2025-06-30
2008,SI,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,91174013623.52,8.7,73.98,22.38,1605.66,5.14,8.11,23.41,2.67,3.45,5.19,0.6764,hlth_sha11_hc,SHA2011_V1,2024-06-04
2009,CY,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,199297270062.15,11.4,66.07,34.59,3177.36,7.99,9.09,6.77,5.92,2.73,3.77,1.6856,hlth_sha11_hp,SHA2011_V3,2025-05-18
2010,GR,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,223826214193.67,10.8,86.81,20.68,2730.63,7.94,11.01,23.85,1.36,5.8,3.11,0.5996,hlth_sha11_hf,SHA2011_V2,2024-04-14
2011,MT,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,198311745356.4,11.12,56.92,45.0,6667.75,6.7,11.73,13.63,3.16,1.86,8.05,1.2763,hlth_sha11_exp,SHA2011_V1,2024-07-02
2012,ES,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,276575560842.27,12.06,56.42,38.12,5185.83,5.46,14.66,5.82,6.29,2.35,2.37,0.7984,hlth_sha11_hc,SHA2011_V3,2026-01-19
2013,CZ,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,169818321703.28,8.06,72.34,22.17,7350.4,7.78,18.88,5.42,6.37,5.81,5.83,1.5913,hlth_sha11_hp,SHA2011_V2,2024-10-13
2014,HU,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,116682723486.32,5.58,79.44,17.2,6409.03,3.84,13.84,3.18,1.92,2.4,4.5,1.1438,hlth_sha11_hf,SHA2011_V1,2025-01-31
2015,NL,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,28253901439.93,11.58,70.67,31.78,4904.91,5.22,13.99,15.85,3.09,0.89,5.29,1.5787,hlth_sha11_exp,SHA2011_V3,2024-01-09
2016,SE,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,26017765041.79,11.53,76.96,28.17,7019.48,2.33,16.99,24.31,3.94,5.87,7.07,0.6777,hlth_sha11_hc,SHA2011_V2,2026-01-31
2017,DK,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,112234104555.62,11.1,64.73,31.6,6821.47,4.12,23.13,25.1,3.65,4.65,6.24,0.5378,hlth_sha11_hp,SHA2011_V1,2025-06-11
2018,IE,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,251642295659.31,10.18,63.61,36.96,8803.86,5.66,22.0,8.71,6.32,3.9,5.42,0.9047,hlth_sha11_hf,SHA2011_V3,2025-08-08
2019,PL,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,150542669580.36,7.41,82.39,14.49,1460.73,7.97,19.49,9.04,2.5,8.39,4.7,1.4888,hlth_sha11_exp,SHA2011_V2,2024-12-29
2020,AT,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,132990451196.07,7.01,85.28,16.56,5836.66,2.46,18.75,19.29,4.23,1.94,4.82,1.4844,hlth_sha11_hc,SHA2011_V1,2024-03-06
2021,EE,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,170822589301.05,13.17,72.77,36.1,8250.27,2.86,17.4,3.71,1.01,10.39,4.84,2.2989,hlth_sha11_hp,SHA2011_V3,2024-12-31
2022,IT,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,161303518388.72,12.61,60.68,40.33,5958.05,1.7,26.47,10.8,5.6,6.76,3.81,0.5669,hlth_sha11_hf,SHA2011_V2,2025-02-21
2023,PT,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,231139665442.83,10.2,82.95,24.18,9538.71,6.05,18.57,24.96,5.09,4.24,3.43,0.9332,hlth_sha11_exp,SHA2011_V1,2025-06-16
2024,BE,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,148752562309.22,5.9,83.55,24.4,4592.57,7.21,17.27,16.18,1.91,5.97,4.48,1.2506,hlth_sha11_hc,SHA2011_V3,2024-03-16
2025,FI,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,269692181566.85,9.62,68.74,40.05,7180.09,4.81,15.69,23.12,2.92,2.74,3.11,1.048,hlth_sha11_hp,SHA2011_V2,2024-02-05
2006,LV,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,161994491226.51,10.68,61.13,39.3,4483.24,7.9,20.49,9.99,1.54,6.12,1.42,0.8837,hlth_sha11_hf,SHA2011_V1,2025-04-12
2007,RO,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,104897417761.84,9.54,74.62,31.89,1738.06,4.0,25.46,16.79,6.13,7.29,6.68,1.3508,hlth_sha11_exp,SHA2011_V3,2024-10-16
2008,BG,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,111635680469.71,6.43,71.56,39.49,3845.53,1.56,8.94,24.65,6.07,3.87,5.55,0.7431,hlth_sha11_hc,SHA2011_V2,2025-07-05
2009,FR,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,143192931611.65,6.57,58.9,45.0,2432.35,6.28,22.19,10.12,2.3,6.78,5.59,0.9252,hlth_sha11_hp,SHA2011_V1,2025-10-03
2010,LT,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,232305254604.49,5.89,77.38,27.7,6379.95,6.54,13.77,11.33,5.64,4.43,5.98,0.8802,hlth_sha11_hf,SHA2011_V3,2025-09-03
2011,SK,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,34632599604.89,13.41,85.94,13.49,6151.8,7.74,16.1,17.79,1.34,2.87,2.46,0.4785,hlth_sha11_exp,SHA2011_V2,2024-12-24
2012,HR,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,43846689032.89,10.9,83.73,26.08,8600.19,4.67,21.98,14.79,1.34,6.72,4.61,0.556,hlth_sha11_hc,SHA2011_V1,2024-04-20
2013,DE,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,290122551530.04,12.31,60.85,35.32,5363.04,5.31,21.96,8.51,4.13,5.93,1.1,1.3361,hlth_sha11_hp,SHA2011_V3,2024-04-08
2014,LU,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,175232585602.13,13.07,61.11,45.0,3154.6,2.47,11.82,27.06,3.85,5.28,0.96,0.7736,hlth_sha11_hf,SHA2011_V2,2025-08-22
2015,SI,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,159633230641.25,11.42,81.91,19.13,3898.7,3.15,14.2,25.59,3.26,7.04,1.73,1.1405,hlth_sha11_exp,SHA2011_V1,2025-10-26
2016,CY,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,179216237754.19,10.59,67.2,37.46,8573.4,2.55,25.11,14.02,2.93,4.72,6.32,1.2635,hlth_sha11_hc,SHA2011_V3,2025-10-02
2017,GR,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,285822427248.32,9.03,65.58,35.9,1509.78,6.65,11.28,25.39,3.28,5.89,2.33,1.6811,hlth_sha11_hp,SHA2011_V2,2025-07-29
2018,MT,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,275974091979.88,10.12,78.77,27.51,2109.44,7.68,12.62,12.1,3.28,5.34,4.42,1.4093,hlth_sha11_hf,SHA2011_V1,2025-03-06
2019,ES,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,149883247077.67,10.21,64.52,43.89,7234.89,1.54,11.99,15.58,3.37,2.84,2.36,1.2087,hlth_sha11_exp,SHA2011_V3,2024-01-28
2020,CZ,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,259950691489.11,10.72,69.34,38.07,10675.82,2.63,13.19,26.91,1.69,9.69,5.26,1.9224,hlth_sha11_hc,SHA2011_V2,2024-06-09
2021,HU,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,51672258350.23,9.06,56.65,45.0,2532.85,7.02,24.9,15.86,2.26,7.79,3.52,1.7484,hlth_sha11_hp,SHA2011_V1,2025-02-05
2022,NL,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,91723766343.59,6.18,78.07,32.28,1696.61,2.9,26.22,17.91,5.27,5.37,1.66,1.7247,hlth_sha11_hf,SHA2011_V3,2024-01-07
2023,SE,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,48607009799.36,10.39,86.73,8.51,8925.68,7.43,24.02,15.89,2.75,2.6,4.23,1.4041,hlth_sha11_exp,SHA2011_V2,2024-09-14
2024,DK,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,118887029188.54,5.55,67.49,30.56,4847.73,4.24,12.66,5.74,4.46,3.94,1.06,1.0025,hlth_sha11_hc,SHA2011_V1,2025-07-15
2025,IE,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,142085333157.16,11.3,79.31,28.1,9561.03,3.48,21.77,10.79,5.61,4.49,7.86,1.0585,hlth_sha11_hp,SHA2011_V3,2025-01-01
2006,PL,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,284452085744.06,9.73,61.73,39.36,1445.1,5.75,23.7,21.71,5.05,2.86,6.08,1.6802,hlth_sha11_hf,SHA2011_V2,2025-08-03
2007,AT,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,90821634303.65,8.93,80.69,18.59,6494.1,7.37,18.54,27.65,3.6,8.08,6.37,1.0509,hlth_sha11_exp,SHA2011_V1,2024-11-10
2008,EE,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,116438372841.25,7.52,77.04,29.89,4569.11,1.59,8.1,15.96,4.18,6.1,4.95,0.6315,hlth_sha11_hc,SHA2011_V3,2024-02-06
2009,IT,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,28282452704.38,10.98,75.34,23.38,2895.26,7.4,22.76,20.8,1.21,4.78,0.96,1.242,hlth_sha11_hp,SHA2011_V2,2024-01-29
2010,PT,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,180421326629.21,10.07,76.82,29.51,5690.31,7.16,8.09,17.38,1.23,1.79,1.91,1.4974,hlth_sha11_hf,SHA2011_V1,2025-11-13
2011,BE,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,243090689171.01,12.58,60.78,35.15,1079.51,3.18,26.2,11.97,3.69,2.82,4.16,0.9765,hlth_sha11_exp,SHA2011_V3,2024-10-04
2012,FI,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,46884639015.71,5.89,70.1,25.79,4479.24,3.87,8.15,18.96,2.88,1.92,1.68,0.9943,hlth_sha11_hc,SHA2011_V2,2026-01-21
2013,LV,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,242265606000.73,10.43,78.79,20.92,2833.63,5.57,22.48,26.3,5.43,1.3,3.75,1.1309,hlth_sha11_hp,SHA2011_V1,2025-06-18
2014,RO,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,20117358389.06,9.78,76.81,23.16,5042.41,6.21,16.48,20.5,3.92,7.33,0.91,0.8724,hlth_sha11_hf,SHA2011_V3,2024-12-18
2015,BG,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,202096332985.32,6.44,61.06,45.0,1221.54,2.44,24.23,13.76,2.41,4.11,7.82,0.6804,hlth_sha11_exp,SHA2011_V2,2024-01-05
2016,FR,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,159220694889.15,6.6,71.56,25.84,2090.21,3.0,26.59,12.3,6.09,0.96,4.7,0.4866,hlth_sha11_hc,SHA2011_V1,2026-01-09
2017,LT,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,1536780588.84,8.86,79.5,28.69,4445.54,1.74,12.72,19.88,1.38,6.5,8.17,1.4088,hlth_sha11_hp,SHA2011_V3,2026-02-21
2018,SK,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,67632022482.69,8.9,75.09,34.74,2389.63,7.78,21.24,13.63,1.34,8.24,6.38,1.1023,hlth_sha11_hf,SHA2011_V2,2025-03-03
2019,HR,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,63940824749.61,11.54,72.53,35.95,7970.23,5.22,16.29,9.88,4.7,2.77,3.29,1.4533,hlth_sha11_exp,SHA2011_V1,2025-03-12
2020,DE,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,203771932308.01,10.36,59.74,45.0,9189.13,4.92,19.23,9.61,1.65,3.63,7.52,0.7743,hlth_sha11_hc,SHA2011_V3,2024-08-31
2021,LU,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,258529193213.03,5.87,72.53,31.71,3522.23,5.4,14.7,15.54,4.24,9.19,6.15,1.8437,hlth_sha11_hp,SHA2011_V2,2024-10-09
2022,SI,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,201678134175.85,5.7,67.93,29.86,7831.42,5.62,25.08,5.05,6.42,0.99,8.13,1.5323,hlth_sha11_hf,SHA2011_V1,2025-10-09
2023,CY,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,52166883361.33,8.13,82.94,13.94,1921.34,7.46,11.64,4.58,4.59,2.34,2.61,1.403,hlth_sha11_exp,SHA2011_V3,2025-04-14
2024,GR,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,186878263914.19,6.93,77.78,26.09,4981.34,5.08,22.49,24.59,2.65,4.6,4.49,0.9661,hlth_sha11_hc,SHA2011_V2,2024-07-09
2025,MT,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,96660618982.12,13.13,69.12,33.69,7584.21,6.25,16.95,3.73,2.26,7.96,5.85,0.9029,hlth_sha11_hp,SHA2011_V1,2024-03-24
2006,ES,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,72288385823.98,7.43,75.48,26.56,4725.67,4.78,10.34,17.11,4.82,1.84,1.67,1.5211,hlth_sha11_hf,SHA2011_V3,2025-09-25
2007,CZ,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,23413376283.12,8.2,81.96,14.3,3264.04,4.56,18.83,16.67,3.43,1.79,6.42,0.971,hlth_sha11_exp,SHA2011_V2,2026-01-10
2008,HU,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,101898273681.18,10.38,73.84,29.64,2991.16,1.72,19.61,20.13,2.62,3.29,6.86,0.7001,hlth_sha11_hc,SHA2011_V1,2025-02-18
2009,NL,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,177141580059.81,10.13,85.68,14.1,2368.02,7.39,10.56,25.79,1.49,5.49,3.35,1.0775,hlth_sha11_hp,SHA2011_V3,2026-02-11
2010,SE,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,216564132119.38,6.15,75.18,34.11,1427.99,6.64,26.73,11.12,6.02,2.6,1.7,1.6769,hlth_sha11_hf,SHA2011_V2,2024-04-10
2011,DK,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,37745175916.1,12.56,68.75,30.38,1299.94,6.04,16.23,12.12,5.92,2.85,5.31,1.0928,hlth_sha11_exp,SHA2011_V1,2025-02-02
2012,IE,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,118923328726.65,11.6,60.74,37.54,971.51,2.46,12.97,27.17,3.95,5.12,6.0,1.2584,hlth_sha11_hc,SHA2011_V3,2024-06-29
2013,PL,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,147033383675.71,13.27,75.59,20.37,3789.36,7.87,21.62,20.68,1.83,4.12,6.24,0.4711,hlth_sha11_hp,SHA2011_V2,2026-01-13
2014,AT,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,305349424692.74,11.24,79.42,19.49,2453.12,2.73,16.2,24.52,1.16,3.12,2.31,0.478,hlth_sha11_hf,SHA2011_V1,2025-10-25
2015,EE,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,24196267365.93,10.73,79.26,30.3,908.35,6.72,21.31,8.93,2.9,2.18,7.9,0.6756,hlth_sha11_exp,SHA2011_V3,2025-05-21
