soc_pensions_reference_year,soc_pensions_country_iso2,soc_pensions_pension_pillar_code,soc_pensions_beneficiary_age_group,soc_pensions_beneficiary_sex,soc_pensions_pension_type_code,soc_pensions_beneficiaries_count,soc_pensions_mean_benefit_eur,soc_pensions_median_benefit_eur,soc_pensions_replacement_rate_pct,soc_pensions_effective_retirement_age_years,soc_pensions_contribution_years_median,soc_pensions_indexation_rule_code,soc_pensions_old_age_poverty_rate_pct,soc_pensions_long_term_care_benefit_flag,soc_pensions_survivor_benefit_flag,soc_pensions_funded_assets_total_eur,soc_pensions_eurostat_table_code,soc_pensions_projection_scenario,soc_pensions_data_extract_date
2018,LT,PILLAR3_PERSONAL,70-74,F,OLD_AGE,34225,26433.0,24640.19,44.46,60.08,41.63,CPI,24.04,0,0,14866064845.38,spr_pns_ben,BASELINE,2026-01-25
2019,SK,MIXED,65-69,T,SURVIVOR,34528,14996.41,12718.27,92.59,58.67,31.3,NONE,20.42,0,1,15132249806.06,proj_pens,LOW_MIGRATION,2025-01-07
2020,HR,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,32389,11519.36,8748.86,30.04,63.06,21.39,DISCRETIONARY,12.51,0,0,15413303244.65,spr_pns_mean,HIGH_MIGRATION,2024-04-09
2021,DE,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,34015,12132.8,9125.07,65.73,62.87,41.86,MIXED,20.0,0,0,15657802418.26,gov_10a_main,LOW_GROWTH,2025-04-09
2022,LU,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,34576,25355.05,23439.26,55.26,60.34,26.23,WAGE,22.97,1,0,15826797485.05,ilc_pnp1,HIGH_LONGEVITY,2024-11-16
2023,SI,MIXED,75-79,M,OLD_AGE,32019,13918.12,11971.57,45.16,65.56,29.22,CPI,9.89,0,0,16135141241.37,spr_pns_ben,BASELINE,2026-02-25
2024,CY,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,34195,16765.76,14641.31,38.69,59.26,41.58,NONE,21.51,0,1,16539534478.04,proj_pens,LOW_MIGRATION,2024-12-06
2025,GR,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,33262,25130.08,22225.49,33.35,59.92,20.81,DISCRETIONARY,10.88,1,0,16673642127.93,spr_pns_mean,HIGH_MIGRATION,2024-01-23
2026,MT,PILLAR3_PERSONAL,55-64,M,DISABILITY,34964,16305.2,15318.56,39.45,65.72,24.3,MIXED,10.35,0,1,17110384027.3,gov_10a_main,LOW_GROWTH,2025-03-01
2008,ES,MIXED,85+,F,MINIMUM_PENSION,31694,19776.53,16483.85,55.4,60.93,14.49,WAGE,18.2,0,0,17391490432.3,ilc_pnp1,HIGH_LONGEVITY,2025-03-17
2009,CZ,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,31119,19500.57,15731.34,49.39,59.94,13.75,CPI,12.22,1,1,17591044539.22,spr_pns_ben,BASELINE,2024-06-09
2010,HU,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,33440,16454.56,14099.48,28.61,61.63,12.31,NONE,11.17,0,1,17912246876.16,proj_pens,LOW_MIGRATION,2025-12-07
2011,NL,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,32300,13492.27,11983.42,94.48,65.63,30.44,DISCRETIONARY,16.05,0,0,18098715676.07,spr_pns_mean,HIGH_MIGRATION,2025-10-21
2012,SE,MIXED,65-69,T,DISABILITY,34911,6089.26,5686.44,38.36,61.4,19.55,MIXED,6.2,0,0,18480892547.22,gov_10a_main,LOW_GROWTH,2024-09-16
2013,DK,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,31026,19083.41,16761.55,40.78,59.75,32.1,WAGE,17.19,1,0,18631447475.31,ilc_pnp1,HIGH_LONGEVITY,2024-02-22
2014,IE,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,31674,13403.4,11822.85,34.82,64.12,26.45,CPI,12.19,0,0,18902545918.1,spr_pns_ben,BASELINE,2024-07-04
2015,PL,PILLAR3_PERSONAL,80-84,T,SURVIVOR,32264,6011.0,5337.48,88.03,68.02,20.99,NONE,26.08,0,1,19353065640.21,proj_pens,LOW_MIGRATION,2025-05-01
2016,AT,MIXED,75-79,M,EARLY_RETIREMENT,33950,19881.14,16644.9,50.2,62.41,24.1,DISCRETIONARY,13.35,0,1,19572005584.63,spr_pns_mean,HIGH_MIGRATION,2026-01-26
2017,EE,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,32362,26307.24,19476.61,74.94,61.09,37.3,MIXED,9.93,0,0,19744964449.65,gov_10a_main,LOW_GROWTH,2025-06-29
2018,IT,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,34064,19777.25,17189.18,67.89,63.13,40.15,WAGE,20.28,0,0,20153303814.03,ilc_pnp1,HIGH_LONGEVITY,2024-09-04
2019,PT,PILLAR3_PERSONAL,55-64,M,OLD_AGE,34278,14625.51,10952.59,85.01,67.65,20.37,CPI,8.26,0,0,20342658495.28,spr_pns_ben,BASELINE,2024-08-15
2020,BE,MIXED,85+,F,SURVIVOR,35141,23300.66,18714.03,94.52,63.4,41.67,NONE,20.87,0,1,20739237756.75,proj_pens,LOW_MIGRATION,2025-06-12
2021,FI,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,35016,11423.16,9409.92,35.41,59.97,29.7,DISCRETIONARY,19.69,1,0,21021520274.77,spr_pns_mean,HIGH_MIGRATION,2025-04-11
2022,LV,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,32121,10364.81,7753.1,90.69,66.86,32.54,MIXED,26.35,0,0,21202358988.29,gov_10a_main,LOW_GROWTH,2025-08-05
2023,RO,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,31687,11423.54,8524.76,61.53,68.49,18.54,WAGE,6.89,0,1,21548694122.4,ilc_pnp1,HIGH_LONGEVITY,2024-07-04
2024,BG,MIXED,65-69,T,OLD_AGE,34198,25599.96,23086.01,72.92,59.37,34.88,CPI,21.99,1,0,21775420990.34,spr_pns_ben,BASELINE,2025-07-09
2025,FR,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,31372,10733.26,9652.31,49.22,62.89,15.24,NONE,21.04,1,1,22088607816.34,proj_pens,LOW_MIGRATION,2024-12-23
2026,LT,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,30684,22239.45,19407.84,32.43,63.14,27.91,DISCRETIONARY,16.99,0,0,22274850934.5,spr_pns_mean,HIGH_MIGRATION,2026-02-06
2008,SK,PILLAR3_PERSONAL,80-84,T,DISABILITY,31209,21822.21,17930.99,51.5,63.48,41.87,MIXED,15.83,0,0,22682080387.31,gov_10a_main,LOW_GROWTH,2025-06-06
2009,HR,MIXED,75-79,M,MINIMUM_PENSION,34298,20474.53,16849.98,74.06,59.34,19.31,WAGE,26.45,1,0,22958055871.97,ilc_pnp1,HIGH_LONGEVITY,2024-08-27
2010,DE,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,34808,23157.12,19497.6,50.03,58.72,32.73,CPI,18.25,0,0,23201433019.35,spr_pns_ben,BASELINE,2025-09-11
2011,LU,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,35578,6072.2,5246.51,56.38,66.77,27.36,NONE,13.1,0,1,23563388754.8,proj_pens,LOW_MIGRATION,2024-03-26
2012,SI,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,31904,15066.99,13834.46,42.6,62.56,26.69,DISCRETIONARY,23.2,0,0,23826124994.11,spr_pns_mean,HIGH_MIGRATION,2025-02-21
2013,CY,MIXED,85+,F,DISABILITY,34957,11357.41,9675.36,59.23,58.77,16.63,MIXED,22.42,0,1,24116629373.19,gov_10a_main,LOW_GROWTH,2025-06-04
2014,GR,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,33558,21937.96,16803.54,73.34,62.54,31.68,WAGE,4.78,0,0,24347364723.73,ilc_pnp1,HIGH_LONGEVITY,2026-02-21
2015,MT,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,32242,6949.05,6544.35,44.27,60.4,35.81,CPI,7.53,0,1,24687718960.38,spr_pns_ben,BASELINE,2024-12-19
2016,ES,PILLAR3_PERSONAL,70-74,F,SURVIVOR,33704,12591.86,9468.63,69.71,67.41,35.78,NONE,14.29,0,1,24819180508.33,proj_pens,LOW_MIGRATION,2024-06-20
2017,CZ,MIXED,65-69,T,EARLY_RETIREMENT,33584,23966.46,20835.48,80.48,66.59,41.41,DISCRETIONARY,18.93,0,1,25252410805.75,spr_pns_mean,HIGH_MIGRATION,2024-10-19
2018,HU,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,35087,26394.12,24757.73,29.31,59.53,14.42,MIXED,26.55,0,0,25357222600.51,gov_10a_main,LOW_GROWTH,2025-01-04
2019,NL,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,30886,18065.51,15951.29,77.01,61.61,21.77,WAGE,13.22,0,1,25735903355.9,ilc_pnp1,HIGH_LONGEVITY,2025-08-06
2020,SE,PILLAR3_PERSONAL,80-84,T,OLD_AGE,30929,21465.84,19923.35,49.81,64.38,14.56,CPI,11.92,1,0,26006354948.37,spr_pns_ben,BASELINE,2024-02-17
2021,DK,MIXED,75-79,M,SURVIVOR,35737,9430.1,7200.8,67.29,67.35,33.23,NONE,27.62,1,1,26245663769.01,proj_pens,LOW_MIGRATION,2025-07-03
2022,IE,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,34330,15062.56,13990.78,34.17,64.53,24.64,DISCRETIONARY,6.98,1,0,26528390164.37,spr_pns_mean,HIGH_MIGRATION,2024-05-15
2023,PL,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,33374,10450.07,9668.7,41.09,64.01,37.58,MIXED,24.2,1,0,26930781542.59,gov_10a_main,LOW_GROWTH,2025-12-07
2024,AT,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,33709,13690.18,12392.22,76.33,60.29,26.72,WAGE,19.86,0,0,27093756404.75,ilc_pnp1,HIGH_LONGEVITY,2025-01-26
2025,EE,MIXED,85+,F,OLD_AGE,35285,25213.25,22204.64,94.73,62.29,29.68,CPI,22.32,0,0,27425099463.13,spr_pns_ben,BASELINE,2024-04-27
2026,IT,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,34743,17999.96,14163.91,52.2,63.31,30.78,NONE,26.65,1,1,27742856942.08,proj_pens,LOW_MIGRATION,2025-04-04
2008,PT,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,34955,17295.53,12503.77,83.62,63.48,27.68,DISCRETIONARY,8.74,1,0,28038646872.99,spr_pns_mean,HIGH_MIGRATION,2024-12-12
2009,BE,PILLAR3_PERSONAL,70-74,F,DISABILITY,33252,23255.59,17302.66,40.99,58.28,18.65,MIXED,6.44,1,0,28306437991.23,gov_10a_main,LOW_GROWTH,2026-02-02
2010,FI,MIXED,65-69,T,MINIMUM_PENSION,32953,22080.48,18595.74,25.94,62.02,21.07,WAGE,26.51,0,0,28489239536.01,ilc_pnp1,HIGH_LONGEVITY,2024-06-12
2011,LV,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,33006,13385.2,11981.42,63.46,67.49,37.28,CPI,20.71,0,0,28742271173.71,spr_pns_ben,BASELINE,2024-03-16
2012,RO,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,32368,21079.66,15711.1,59.1,67.29,33.1,NONE,14.9,1,1,29058330479.02,proj_pens,LOW_MIGRATION,2025-01-05
2013,BG,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,34339,9335.64,7025.86,71.96,67.39,31.63,DISCRETIONARY,11.8,0,0,29363953294.51,spr_pns_mean,HIGH_MIGRATION,2024-01-16
2014,FR,MIXED,75-79,M,DISABILITY,31640,15989.56,13204.3,57.79,61.29,19.21,MIXED,20.35,0,0,29651439677.9,gov_10a_main,LOW_GROWTH,2026-01-04
2015,LT,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,32904,12507.08,10527.23,53.5,59.32,20.62,WAGE,18.51,0,0,29890344054.9,ilc_pnp1,HIGH_LONGEVITY,2025-05-30
2016,SK,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,35754,11303.59,9232.62,31.92,65.45,15.9,CPI,8.82,0,0,30133838019.97,spr_pns_ben,BASELINE,2025-05-14
2017,HR,PILLAR3_PERSONAL,55-64,M,SURVIVOR,33909,19497.69,15598.43,78.46,60.55,19.82,NONE,21.17,1,1,30394940145.98,proj_pens,LOW_MIGRATION,2024-08-22
2018,DE,MIXED,85+,F,EARLY_RETIREMENT,33894,20048.18,17511.06,83.9,66.76,13.51,DISCRETIONARY,9.99,0,1,30831617244.95,spr_pns_mean,HIGH_MIGRATION,2025-01-14
2019,LU,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,34841,7534.39,6013.86,63.1,63.61,17.4,MIXED,11.85,1,0,31026292790.98,gov_10a_main,LOW_GROWTH,2025-07-31
2020,SI,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,34622,18761.68,13671.97,80.6,58.08,31.7,WAGE,17.29,1,0,31308859705.66,ilc_pnp1,HIGH_LONGEVITY,2024-04-17
2021,CY,PILLAR3_PERSONAL,70-74,F,OLD_AGE,35924,24011.7,22994.1,37.67,59.71,19.02,CPI,19.79,0,0,31569218558.27,spr_pns_ben,BASELINE,2026-01-04
2022,GR,MIXED,65-69,T,SURVIVOR,35324,18813.59,13782.1,66.7,62.27,18.02,NONE,7.55,0,1,31835347385.51,proj_pens,LOW_MIGRATION,2024-01-09
2023,MT,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,32739,13203.59,10758.24,54.0,58.38,25.06,DISCRETIONARY,19.21,0,0,32233557120.72,spr_pns_mean,HIGH_MIGRATION,2024-02-06
2024,ES,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,33837,20505.63,16160.45,88.45,59.5,34.77,MIXED,8.15,0,0,32438846539.01,gov_10a_main,LOW_GROWTH,2024-10-28
2025,CZ,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,31241,13472.5,12875.08,64.1,67.59,20.89,WAGE,14.01,1,1,32696954828.45,ilc_pnp1,HIGH_LONGEVITY,2024-08-12
2026,HU,MIXED,75-79,M,OLD_AGE,35841,10984.73,8155.73,30.18,66.41,23.48,CPI,8.07,1,0,32972714879.22,spr_pns_ben,BASELINE,2024-10-14
2008,NL,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,34228,18891.99,16246.7,81.08,65.28,14.18,NONE,7.73,1,1,33244077602.39,proj_pens,LOW_MIGRATION,2026-01-22
2009,SE,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,33984,8119.13,6484.56,88.09,58.15,33.14,DISCRETIONARY,14.66,0,0,33508789132.72,spr_pns_mean,HIGH_MIGRATION,2025-06-01
2010,DK,PILLAR3_PERSONAL,55-64,M,DISABILITY,35595,21805.8,19930.63,33.01,63.59,21.43,MIXED,22.23,1,1,33794536156.2,gov_10a_main,LOW_GROWTH,2025-05-08
2011,IE,MIXED,85+,F,MINIMUM_PENSION,32342,18295.38,15026.04,49.79,59.0,29.53,WAGE,15.18,0,1,34103947305.52,ilc_pnp1,HIGH_LONGEVITY,2024-12-10
2012,PL,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,32705,9342.87,7563.76,66.73,66.9,18.17,CPI,9.06,0,1,34369833518.55,spr_pns_ben,BASELINE,2025-09-04
2013,AT,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,36090,15552.48,11957.17,43.59,63.87,20.52,NONE,14.66,1,1,34706962072.95,proj_pens,LOW_MIGRATION,2024-10-01
2014,EE,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,32649,11620.39,9923.07,79.29,61.96,19.49,DISCRETIONARY,13.97,0,0,34866963906.15,spr_pns_mean,HIGH_MIGRATION,2024-03-23
2015,IT,MIXED,65-69,T,DISABILITY,35514,26431.37,20459.53,89.11,60.91,15.25,MIXED,27.03,0,0,35293115053.35,gov_10a_main,LOW_GROWTH,2025-06-23
2016,PT,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,34728,23333.77,21220.32,88.07,67.74,26.42,WAGE,4.16,0,1,35587641287.6,ilc_pnp1,HIGH_LONGEVITY,2025-01-24
2017,BE,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,36109,24570.52,21776.78,77.04,60.96,38.53,CPI,5.37,1,0,35730170973.85,spr_pns_ben,BASELINE,2025-04-27
2018,FI,PILLAR3_PERSONAL,80-84,T,SURVIVOR,33767,17730.92,14368.86,31.83,62.95,27.5,NONE,12.59,0,1,35985630352.79,proj_pens,LOW_MIGRATION,2024-06-21
2019,LV,MIXED,75-79,M,EARLY_RETIREMENT,34468,18969.12,17280.74,36.65,60.06,29.38,DISCRETIONARY,20.92,0,0,36400811141.44,spr_pns_mean,HIGH_MIGRATION,2025-01-22
2020,RO,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,35789,23126.03,20803.13,35.22,64.07,37.28,MIXED,26.95,1,0,36621189780.12,gov_10a_main,LOW_GROWTH,2025-06-12
2021,BG,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,33666,25197.5,18493.5,25.28,67.67,13.04,WAGE,4.43,0,0,36876169812.34,ilc_pnp1,HIGH_LONGEVITY,2024-11-05
2022,FR,PILLAR3_PERSONAL,55-64,M,OLD_AGE,33454,12501.12,10241.48,90.55,59.59,29.08,CPI,4.22,0,1,37255997005.63,spr_pns_ben,BASELINE,2024-03-16
2023,LT,MIXED,85+,F,SURVIVOR,34354,26381.37,23341.75,45.15,66.51,24.15,NONE,9.14,1,1,37389502983.99,proj_pens,LOW_MIGRATION,2025-07-16
2024,SK,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,34518,24062.51,20667.36,59.3,62.73,22.4,DISCRETIONARY,26.05,0,0,37774136423.25,spr_pns_mean,HIGH_MIGRATION,2024-12-14
2025,HR,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,31598,24536.93,18611.25,54.91,66.23,14.93,MIXED,23.51,1,0,38089768680.2,gov_10a_main,LOW_GROWTH,2026-01-31
2026,DE,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,32721,15603.2,14621.45,40.64,63.89,31.78,WAGE,26.36,1,0,38406962486.79,ilc_pnp1,HIGH_LONGEVITY,2024-10-23
2008,LU,MIXED,65-69,T,OLD_AGE,35004,9693.27,9125.17,59.2,60.7,23.39,CPI,27.54,1,1,38574718210.24,spr_pns_ben,BASELINE,2024-06-02
2009,SI,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,33380,16640.04,15890.64,33.61,58.4,32.18,NONE,13.61,0,1,38867868629.71,proj_pens,LOW_MIGRATION,2024-11-15
2010,CY,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,31511,10172.63,9332.11,50.06,61.88,26.91,DISCRETIONARY,18.04,1,0,39074833563.33,spr_pns_mean,HIGH_MIGRATION,2024-05-17
2011,GR,PILLAR3_PERSONAL,80-84,T,DISABILITY,33963,14596.37,10880.06,58.16,65.8,41.39,MIXED,27.07,0,0,39451646680.76,gov_10a_main,LOW_GROWTH,2024-11-13
2012,MT,MIXED,75-79,M,MINIMUM_PENSION,33491,22071.44,16067.32,79.67,64.68,33.87,WAGE,13.26,0,0,39806154346.11,ilc_pnp1,HIGH_LONGEVITY,2024-08-14
2013,ES,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,34798,19367.76,17096.42,64.95,61.33,30.03,CPI,26.01,0,1,40094301301.13,spr_pns_ben,BASELINE,2026-01-11
2014,CZ,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,35003,9644.45,8924.74,64.89,61.64,39.97,NONE,9.72,0,1,40332540971.82,proj_pens,LOW_MIGRATION,2024-03-02
2015,HU,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,33474,22512.63,18025.4,60.16,67.9,30.83,DISCRETIONARY,12.1,0,0,40650694080.73,spr_pns_mean,HIGH_MIGRATION,2025-03-13
2016,NL,MIXED,85+,F,DISABILITY,36444,9929.83,7318.45,26.95,66.17,22.64,MIXED,5.38,0,1,40925551209.56,gov_10a_main,LOW_GROWTH,2024-01-04
2017,SE,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,33525,8958.4,7655.76,46.69,60.79,20.78,WAGE,19.65,0,1,41149310093.77,ilc_pnp1,HIGH_LONGEVITY,2024-02-05
2018,DK,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,33676,19502.63,16261.78,73.15,67.85,36.39,CPI,14.92,1,0,41442436264.95,spr_pns_ben,BASELINE,2024-07-22
2019,IE,PILLAR3_PERSONAL,70-74,F,SURVIVOR,34536,5726.04,5207.47,38.26,65.04,16.5,NONE,23.83,1,1,41756317709.6,proj_pens,LOW_MIGRATION,2024-01-17
2020,PL,MIXED,65-69,T,EARLY_RETIREMENT,34592,21133.43,17966.9,38.25,65.68,40.3,DISCRETIONARY,17.98,1,0,41957081236.62,spr_pns_mean,HIGH_MIGRATION,2024-08-26
2021,AT,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,34496,14137.24,10826.68,85.99,67.02,27.8,MIXED,15.86,1,0,42264861536.52,gov_10a_main,LOW_GROWTH,2025-01-07
2022,EE,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,34893,25419.38,20483.34,71.71,64.04,37.99,WAGE,26.98,1,0,42582520130.26,ilc_pnp1,HIGH_LONGEVITY,2025-11-02
2023,IT,PILLAR3_PERSONAL,80-84,T,OLD_AGE,35497,17049.58,14418.97,59.36,64.09,33.7,CPI,8.0,0,1,42700618337.43,spr_pns_ben,BASELINE,2025-11-01
2024,PT,MIXED,75-79,M,SURVIVOR,35767,5534.98,4520.47,87.54,66.97,21.55,NONE,9.79,0,1,43127354386.23,proj_pens,LOW_MIGRATION,2024-03-08
2025,BE,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,34165,9005.81,6614.36,91.88,63.36,17.46,DISCRETIONARY,14.2,0,0,43386532681.38,spr_pns_mean,HIGH_MIGRATION,2025-09-10
2026,FI,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,32604,22466.35,19819.94,83.84,62.16,21.76,MIXED,23.58,1,1,43633878731.71,gov_10a_main,LOW_GROWTH,2025-08-15
2008,LV,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,34712,26101.28,19031.63,80.38,61.22,38.84,WAGE,24.24,0,0,43874309407.33,ilc_pnp1,HIGH_LONGEVITY,2024-09-20
2009,RO,MIXED,85+,F,OLD_AGE,32078,21732.27,20553.57,71.97,59.35,17.41,CPI,27.24,0,0,44239372655.56,spr_pns_ben,BASELINE,2025-10-22
2010,BG,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,32267,20470.74,17161.71,58.57,63.67,15.26,NONE,14.13,0,1,44415977483.44,proj_pens,LOW_MIGRATION,2025-11-01
2011,FR,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,36754,5842.38,5257.45,45.24,63.87,18.84,DISCRETIONARY,5.16,0,0,44664358282.52,spr_pns_mean,HIGH_MIGRATION,2025-06-19
2012,LT,PILLAR3_PERSONAL,70-74,F,DISABILITY,32305,15331.14,12270.78,41.4,60.62,16.06,MIXED,20.24,0,0,45033116262.21,gov_10a_main,LOW_GROWTH,2024-03-08
2013,SK,MIXED,65-69,T,MINIMUM_PENSION,32243,22942.3,19007.9,82.89,65.1,37.64,WAGE,25.94,0,1,45406685333.25,ilc_pnp1,HIGH_LONGEVITY,2025-08-09
2014,HR,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,36058,21137.35,16289.73,40.06,66.9,26.8,CPI,15.19,0,1,45519863836.65,spr_pns_ben,BASELINE,2025-12-25
2015,DE,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,36557,13775.25,11621.19,43.41,61.06,27.78,NONE,23.31,0,1,45887311647.75,proj_pens,LOW_MIGRATION,2025-04-30
2016,LU,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,32994,22801.66,20405.32,68.3,66.4,20.87,DISCRETIONARY,17.69,0,0,46087794975.91,spr_pns_mean,HIGH_MIGRATION,2024-04-09
2017,SI,MIXED,75-79,M,DISABILITY,34621,14887.33,11604.68,90.15,63.69,23.16,MIXED,11.78,1,1,46474427475.86,gov_10a_main,LOW_GROWTH,2025-11-27
2018,CY,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,33163,12741.23,10649.7,61.17,62.49,23.19,WAGE,11.21,0,0,46675479842.11,ilc_pnp1,HIGH_LONGEVITY,2025-04-30
