soc_unemp_reference_month,soc_unemp_country_iso2,soc_unemp_region_nuts_code,soc_unemp_claimant_age_group,soc_unemp_claimant_sex,soc_unemp_benefit_scheme_code,soc_unemp_claims_open_count,soc_unemp_new_claims_count,soc_unemp_closed_claims_count,soc_unemp_average_duration_weeks,soc_unemp_replacement_rate_pct,soc_unemp_benefit_amount_mean_eur,soc_unemp_sanction_rate_pct,soc_unemp_active_labor_market_program_code,soc_unemp_participation_count,soc_unemp_training_completion_rate_pct,soc_unemp_job_placement_rate_pct,soc_unemp_digital_services_usage_rate_pct,soc_unemp_eurostat_table_code,soc_unemp_data_extract_date
2019-07,FR,PT4,15-24,M,UI_CONTRIBUTORY,1043,174,83,47.66,34.13,1174.66,9.18,MOBILITY_GRANT,130,38.71,19.51,60.77,une_rt_m,2026-01-31
2019-08,IT,BE545,25-34,T,UI_ASSISTANCE,1173,197,100,28.18,63.25,1513.56,5.55,WAGE_SUBSIDY,255,85.54,57.02,94.36,lfsi_long_q,2024-11-07
2019-09,NL,DE2,35-44,F,SHORT_TIME_WORK,1073,90,88,54.76,33.9,1126.82,5.91,PUBLIC_WORKS,289,46.77,21.88,65.24,lfsa_ugad,2025-03-31
2019-10,SI,LT27,45-54,M,YOUTH_GUARANTEE,1033,182,122,54.97,61.52,1682.44,7.03,TRAINING,273,75.93,60.79,38.83,lfsq_urgaed,2024-08-30
2019-11,BG,NL2,55-64,T,SELF_EMP_SUPPORT,852,197,169,30.65,54.46,1745.14,6.83,APPRENTICESHIP,228,52.55,16.51,90.77,lfsq_urgaed,2024-03-28
2019-12,EE,SE4,65+,F,MIXED,930,150,140,43.9,57.3,1381.42,10.2,ENTREPRENEUR_SUPPORT,232,46.57,37.54,87.44,une_rt_m,2024-04-05
2020-01,HU,AT621,15-24,M,UI_CONTRIBUTORY,1036,149,133,18.57,51.68,653.2,3.83,JOB_SEARCH_ASSIST,305,92.41,27.72,75.58,lfsi_long_q,2025-02-21
2020-02,LU,BG7,25-34,T,UI_ASSISTANCE,1241,176,157,37.53,54.44,877.82,9.3,MOBILITY_GRANT,196,46.58,23.67,74.62,lfsa_ugad,2024-08-04
2020-03,RO,IE9,35-44,F,SHORT_TIME_WORK,1294,145,90,43.89,45.01,897.21,5.17,WAGE_SUBSIDY,347,62.72,25.88,59.99,lfsq_urgaed,2025-11-18
2020-04,AT,HR25,45-54,M,YOUTH_GUARANTEE,1279,89,72,46.25,47.2,975.14,6.24,PUBLIC_WORKS,163,90.23,48.39,74.08,lfsq_urgaed,2025-04-14
2020-05,CZ,MT665,55-64,T,SELF_EMP_SUPPORT,1113,189,99,21.66,72.08,255.08,6.63,TRAINING,136,52.44,52.5,29.15,une_rt_m,2025-08-02
2020-06,DE,NL6,65+,F,MIXED,1015,116,95,48.63,60.37,1036.16,4.44,APPRENTICESHIP,281,43.47,11.83,61.75,lfsi_long_q,2024-09-21
2020-07,LV,BG19,15-24,M,UI_CONTRIBUTORY,996,205,133,48.87,29.97,1043.92,9.39,ENTREPRENEUR_SUPPORT,143,76.68,55.26,59.75,lfsa_ugad,2024-04-14
2020-08,PL,LV63,25-34,T,UI_ASSISTANCE,1065,101,67,8.88,42.16,1402.14,3.91,JOB_SEARCH_ASSIST,358,46.52,28.42,86.21,lfsq_urgaed,2024-08-14
2020-09,ES,IE2,35-44,F,SHORT_TIME_WORK,1275,103,66,9.94,28.57,873.46,8.36,MOBILITY_GRANT,321,77.97,51.4,97.21,lfsq_urgaed,2024-05-01
2020-10,HR,RO676,45-54,M,YOUTH_GUARANTEE,1208,154,75,43.68,25.02,605.21,2.49,WAGE_SUBSIDY,340,50.65,40.49,50.41,une_rt_m,2025-04-26
2020-11,FI,RO56,55-64,T,SELF_EMP_SUPPORT,970,174,144,4.09,45.78,1335.85,8.77,PUBLIC_WORKS,330,70.29,50.48,33.41,lfsi_long_q,2024-02-21
2020-12,IE,CZ706,65+,F,MIXED,921,106,95,22.91,57.88,785.58,8.83,TRAINING,373,73.61,26.92,75.74,lfsa_ugad,2024-03-05
2021-01,MT,AT242,15-24,M,UI_CONTRIBUTORY,1029,111,62,43.14,53.97,873.54,5.57,APPRENTICESHIP,220,40.24,56.89,16.17,lfsq_urgaed,2025-01-05
2021-02,SK,HR32,25-34,T,UI_ASSISTANCE,1207,149,79,30.09,39.71,497.41,3.74,ENTREPRENEUR_SUPPORT,200,83.65,33.08,21.46,lfsq_urgaed,2025-03-07
2021-03,BE,PT5,35-44,F,SHORT_TIME_WORK,953,159,121,43.28,79.28,1437.18,3.3,JOB_SEARCH_ASSIST,377,90.84,29.94,22.73,une_rt_m,2024-08-20
2021-04,DK,PL30,45-54,M,YOUTH_GUARANTEE,1375,187,169,19.21,46.54,784.48,6.27,MOBILITY_GRANT,358,81.9,50.28,51.45,lfsi_long_q,2025-07-07
2021-05,GR,AT83,55-64,T,SELF_EMP_SUPPORT,1176,160,147,15.14,30.07,879.35,3.04,WAGE_SUBSIDY,386,38.77,54.71,46.54,lfsa_ugad,2025-10-07
2021-06,LT,DK69,65+,F,MIXED,1190,187,152,55.38,45.7,495.23,2.33,PUBLIC_WORKS,322,82.29,46.9,42.59,lfsq_urgaed,2024-09-28
2021-07,PT,SE3,15-24,M,UI_CONTRIBUTORY,1335,103,92,16.75,38.58,930.76,10.77,TRAINING,292,70.82,17.63,53.83,lfsq_urgaed,2025-06-12
2021-08,SE,ES401,25-34,T,UI_ASSISTANCE,976,144,110,14.36,41.22,827.68,6.3,APPRENTICESHIP,94,41.88,32.26,49.06,une_rt_m,2024-10-06
2021-09,CY,PL653,35-44,F,SHORT_TIME_WORK,1036,149,93,47.96,34.08,1280.18,8.31,ENTREPRENEUR_SUPPORT,359,35.75,18.63,31.89,lfsi_long_q,2025-05-16
2021-10,FR,SE742,45-54,M,YOUTH_GUARANTEE,1099,152,138,30.11,40.65,1333.2,9.58,JOB_SEARCH_ASSIST,99,79.05,38.54,20.55,lfsa_ugad,2024-10-08
2021-11,IT,NL19,55-64,T,SELF_EMP_SUPPORT,1146,167,94,42.26,26.96,519.3,4.69,MOBILITY_GRANT,249,71.13,29.4,26.26,lfsq_urgaed,2025-11-24
2021-12,NL,IE588,65+,F,MIXED,1380,142,136,56.53,66.6,1733.37,5.51,WAGE_SUBSIDY,109,45.31,48.25,59.1,lfsq_urgaed,2024-10-08
2022-01,SI,IE4,15-24,M,UI_CONTRIBUTORY,1072,193,191,40.49,25.12,1614.46,10.12,PUBLIC_WORKS,269,73.23,28.03,32.93,une_rt_m,2025-12-25
2022-02,BG,SI17,25-34,T,UI_ASSISTANCE,1172,225,121,48.53,49.49,1386.29,11.94,TRAINING,130,86.17,32.39,27.17,lfsi_long_q,2025-12-31
2022-03,EE,SK53,35-44,F,SHORT_TIME_WORK,965,172,144,30.61,25.34,609.81,7.98,APPRENTICESHIP,179,77.45,8.64,58.22,lfsa_ugad,2025-08-06
2022-04,HU,GR490,45-54,M,YOUTH_GUARANTEE,1163,122,92,9.21,49.63,1309.55,5.25,ENTREPRENEUR_SUPPORT,138,50.25,15.56,82.2,lfsq_urgaed,2025-02-16
2022-05,LU,PT683,55-64,T,SELF_EMP_SUPPORT,1050,172,111,33.41,46.21,923.78,11.72,JOB_SEARCH_ASSIST,388,82.92,18.11,94.18,lfsq_urgaed,2024-03-22
2022-06,RO,BE732,65+,F,MIXED,1368,143,123,54.33,65.19,1320.43,4.89,MOBILITY_GRANT,278,72.67,26.84,61.08,une_rt_m,2025-04-25
2022-07,AT,DK866,15-24,M,UI_CONTRIBUTORY,1356,127,84,21.45,45.2,693.07,1.88,WAGE_SUBSIDY,257,88.42,9.62,58.58,lfsi_long_q,2025-10-15
2022-08,CZ,ES190,25-34,T,UI_ASSISTANCE,1021,179,118,35.41,52.61,813.43,6.98,PUBLIC_WORKS,370,87.07,50.0,93.63,lfsa_ugad,2025-06-17
2022-09,DE,BE2,35-44,F,SHORT_TIME_WORK,1085,216,175,56.8,43.65,709.69,9.82,TRAINING,193,93.14,41.19,66.16,lfsq_urgaed,2024-03-19
2022-10,LV,HR216,45-54,M,YOUTH_GUARANTEE,983,231,109,43.07,65.89,1430.84,3.54,APPRENTICESHIP,154,67.47,34.7,33.66,lfsq_urgaed,2025-06-21
2022-11,PL,GR645,55-64,T,SELF_EMP_SUPPORT,1042,198,162,15.17,46.49,1462.09,11.24,ENTREPRENEUR_SUPPORT,247,93.91,46.95,21.97,une_rt_m,2026-01-24
2022-12,ES,PT25,65+,F,MIXED,1204,197,98,11.69,65.08,1806.56,10.59,JOB_SEARCH_ASSIST,143,47.14,44.97,78.68,lfsi_long_q,2024-10-24
2023-01,HR,ES3,15-24,M,UI_CONTRIBUTORY,1077,159,151,28.35,72.24,1628.92,10.82,MOBILITY_GRANT,310,90.31,48.38,28.92,lfsa_ugad,2024-02-01
2023-02,FI,HR683,25-34,T,UI_ASSISTANCE,1074,163,106,56.64,75.63,1445.16,11.26,WAGE_SUBSIDY,195,40.39,35.13,96.88,lfsq_urgaed,2025-04-28
2023-03,IE,ES90,35-44,F,SHORT_TIME_WORK,1030,168,100,28.92,62.99,1257.33,2.83,PUBLIC_WORKS,264,90.77,52.14,83.38,lfsq_urgaed,2024-08-17
2023-04,MT,CZ29,45-54,M,YOUTH_GUARANTEE,1137,218,207,11.19,27.9,1141.92,6.18,TRAINING,377,94.54,53.76,33.85,une_rt_m,2026-01-10
2023-05,SK,LV258,55-64,T,SELF_EMP_SUPPORT,1041,132,108,50.52,67.6,1527.31,7.75,APPRENTICESHIP,244,83.49,39.53,37.54,lfsi_long_q,2024-12-14
2023-06,BE,LU82,65+,F,MIXED,1266,149,138,57.43,37.0,886.89,3.64,ENTREPRENEUR_SUPPORT,184,35.22,45.85,13.13,lfsa_ugad,2025-02-13
2023-07,DK,BG36,15-24,M,UI_CONTRIBUTORY,1432,224,174,18.75,67.16,1538.36,4.01,JOB_SEARCH_ASSIST,196,72.65,20.33,23.81,lfsq_urgaed,2024-10-12
2023-08,GR,LU61,25-34,T,UI_ASSISTANCE,1147,212,150,30.2,53.23,1725.65,11.64,MOBILITY_GRANT,232,59.41,51.43,60.79,lfsq_urgaed,2025-12-29
2023-09,LT,RO77,35-44,F,SHORT_TIME_WORK,978,231,229,27.98,73.07,1276.86,11.8,WAGE_SUBSIDY,330,39.47,24.09,35.36,une_rt_m,2024-09-23
2023-10,PT,SK965,45-54,M,YOUTH_GUARANTEE,987,157,98,51.86,58.18,707.57,5.25,PUBLIC_WORKS,194,48.34,8.01,24.26,lfsi_long_q,2024-11-08
2023-11,SE,HU18,55-64,T,SELF_EMP_SUPPORT,996,189,91,28.48,39.18,316.9,5.22,TRAINING,278,87.83,18.01,61.4,lfsa_ugad,2025-02-04
2023-12,CY,FR422,65+,F,MIXED,1125,182,117,20.8,75.37,569.95,4.14,APPRENTICESHIP,154,59.05,57.67,53.89,lfsq_urgaed,2024-06-17
2024-01,FR,LV710,15-24,M,UI_CONTRIBUTORY,1284,243,153,56.78,78.3,709.91,5.54,ENTREPRENEUR_SUPPORT,122,51.71,23.0,34.93,lfsq_urgaed,2024-05-03
2024-02,IT,EE758,25-34,T,UI_ASSISTANCE,1001,248,179,51.63,50.59,828.06,10.47,JOB_SEARCH_ASSIST,212,44.79,46.32,27.05,une_rt_m,2025-07-31
2024-03,NL,SE87,35-44,F,SHORT_TIME_WORK,1305,164,108,47.44,60.23,779.11,11.22,MOBILITY_GRANT,219,37.24,12.99,38.83,lfsi_long_q,2024-02-01
2024-04,SI,LU691,45-54,M,YOUTH_GUARANTEE,1325,163,132,15.54,63.01,539.87,5.66,WAGE_SUBSIDY,133,89.14,50.29,75.1,lfsa_ugad,2025-11-05
2024-05,BG,EE19,55-64,T,SELF_EMP_SUPPORT,978,206,198,50.97,60.22,697.94,5.18,PUBLIC_WORKS,417,59.45,53.3,87.68,lfsq_urgaed,2024-03-11
2024-06,EE,EE484,65+,F,MIXED,1372,248,203,14.59,37.45,360.77,5.42,TRAINING,291,46.53,60.07,58.54,lfsq_urgaed,2024-09-11
2024-07,HU,EE94,15-24,M,UI_CONTRIBUTORY,1446,183,179,44.36,62.0,1640.99,5.18,APPRENTICESHIP,396,85.22,46.2,23.78,une_rt_m,2025-07-13
2024-08,LU,MT53,25-34,T,UI_ASSISTANCE,991,255,174,12.05,68.49,733.55,11.66,ENTREPRENEUR_SUPPORT,181,93.56,38.03,17.7,lfsi_long_q,2025-05-05
2024-09,RO,DK563,35-44,F,SHORT_TIME_WORK,1245,242,223,32.43,56.81,1141.26,3.33,JOB_SEARCH_ASSIST,153,40.72,38.08,75.12,lfsa_ugad,2025-05-31
2024-10,AT,FR7,45-54,M,YOUTH_GUARANTEE,1313,242,160,54.27,25.58,1784.58,10.66,MOBILITY_GRANT,338,84.55,25.82,65.84,lfsq_urgaed,2025-06-08
2024-11,CZ,RO96,55-64,T,SELF_EMP_SUPPORT,1232,166,160,42.34,57.32,526.93,0.31,WAGE_SUBSIDY,225,75.47,51.31,61.48,lfsq_urgaed,2024-03-10
2024-12,DE,SK54,65+,F,MIXED,1176,238,160,37.16,67.88,1813.95,10.3,PUBLIC_WORKS,352,55.11,26.91,64.35,une_rt_m,2026-01-15
2025-01,LV,FI192,15-24,M,UI_CONTRIBUTORY,1194,159,97,8.57,69.2,881.52,10.98,TRAINING,159,38.5,57.07,48.76,lfsi_long_q,2025-11-19
2025-02,PL,IE173,25-34,T,UI_ASSISTANCE,1234,197,187,38.68,66.05,830.97,2.61,APPRENTICESHIP,214,87.47,33.39,40.26,lfsa_ugad,2026-01-10
2025-03,ES,BE6,35-44,F,SHORT_TIME_WORK,1180,185,153,7.81,65.05,1190.48,4.65,ENTREPRENEUR_SUPPORT,322,61.21,41.64,85.17,lfsq_urgaed,2024-07-07
2025-04,HR,DK234,45-54,M,YOUTH_GUARANTEE,1178,266,226,32.21,25.75,1389.79,10.13,JOB_SEARCH_ASSIST,184,58.83,32.89,56.53,lfsq_urgaed,2025-11-21
2025-05,FI,SI278,55-64,T,SELF_EMP_SUPPORT,1076,150,95,33.32,31.23,1093.03,0.01,MOBILITY_GRANT,387,87.97,27.9,56.12,une_rt_m,2024-02-26
2025-06,IE,PT153,65+,F,MIXED,991,181,156,35.68,26.58,1050.01,3.64,WAGE_SUBSIDY,165,44.82,33.85,80.29,lfsi_long_q,2025-06-12
2025-07,MT,CZ183,15-24,M,UI_CONTRIBUTORY,1379,239,191,34.99,37.94,715.03,10.44,PUBLIC_WORKS,257,83.53,27.31,21.0,lfsa_ugad,2024-10-01
2025-08,SK,BE496,25-34,T,UI_ASSISTANCE,1061,196,101,16.9,60.37,1828.65,8.5,TRAINING,156,71.22,24.02,35.72,lfsq_urgaed,2025-03-14
2025-09,BE,ES62,35-44,F,SHORT_TIME_WORK,1172,188,187,54.62,68.5,1700.34,4.86,APPRENTICESHIP,271,86.53,14.02,91.79,lfsq_urgaed,2025-07-28
2025-10,DK,LU23,45-54,M,YOUTH_GUARANTEE,989,160,142,8.33,38.11,1710.73,2.38,ENTREPRENEUR_SUPPORT,204,37.17,18.85,32.13,une_rt_m,2025-06-25
2025-11,GR,HR654,55-64,T,SELF_EMP_SUPPORT,1469,223,125,42.88,63.54,1116.19,8.18,JOB_SEARCH_ASSIST,372,60.39,46.6,78.05,lfsi_long_q,2026-01-27
2025-12,LT,MT40,65+,F,MIXED,1136,178,156,33.44,61.0,1564.53,8.33,MOBILITY_GRANT,238,86.61,21.76,33.59,lfsa_ugad,2024-12-24
2026-01,PT,SI7,15-24,M,UI_CONTRIBUTORY,1204,169,108,54.32,27.05,708.17,11.7,WAGE_SUBSIDY,190,50.31,60.23,91.75,lfsq_urgaed,2024-04-23
2026-02,SE,SI164,25-34,T,UI_ASSISTANCE,1017,175,155,15.76,74.63,612.12,6.02,PUBLIC_WORKS,201,75.13,29.71,69.71,lfsq_urgaed,2025-12-25
2026-03,CY,RO63,35-44,F,SHORT_TIME_WORK,1143,188,154,37.2,75.08,1660.7,3.93,TRAINING,227,36.31,31.97,40.52,une_rt_m,2025-12-15
2026-04,FR,BE50,45-54,M,YOUTH_GUARANTEE,1007,189,161,52.97,73.17,1067.61,6.56,APPRENTICESHIP,423,47.76,52.83,17.2,lfsi_long_q,2024-01-20
2026-05,IT,EE85,55-64,T,SELF_EMP_SUPPORT,1149,167,93,14.84,73.17,684.95,0.22,ENTREPRENEUR_SUPPORT,406,74.05,37.67,19.69,lfsa_ugad,2024-11-03
2026-06,NL,ES6,65+,F,MIXED,1083,257,149,21.44,31.25,798.51,6.05,JOB_SEARCH_ASSIST,292,69.51,29.86,38.98,lfsq_urgaed,2024-06-12
2026-07,SI,LU107,15-24,M,UI_CONTRIBUTORY,1342,221,189,23.78,60.82,737.78,2.21,MOBILITY_GRANT,181,92.66,12.91,12.59,lfsq_urgaed,2024-07-06
2026-08,BG,RO860,25-34,T,UI_ASSISTANCE,1102,278,185,34.21,56.89,510.27,9.11,WAGE_SUBSIDY,328,46.85,51.12,86.75,une_rt_m,2025-05-27
2026-09,EE,IT786,35-44,F,SHORT_TIME_WORK,1241,210,132,10.05,35.41,1755.61,8.47,PUBLIC_WORKS,363,70.58,9.32,88.48,lfsi_long_q,2025-10-03
2026-10,HU,FR18,45-54,M,YOUTH_GUARANTEE,1191,246,115,12.59,78.0,1472.82,11.41,TRAINING,359,65.17,49.58,36.73,lfsa_ugad,2025-03-27
2026-11,LU,DK777,55-64,T,SELF_EMP_SUPPORT,1504,260,118,18.11,28.71,1580.67,10.03,APPRENTICESHIP,215,65.85,34.75,87.99,lfsq_urgaed,2025-05-11
2026-12,RO,DE875,65+,F,MIXED,1391,182,132,6.16,26.14,1560.77,9.23,ENTREPRENEUR_SUPPORT,438,69.86,37.58,96.57,lfsq_urgaed,2025-03-19
2018-01,AT,IT70,15-24,M,UI_CONTRIBUTORY,1290,190,148,38.8,28.05,781.17,2.55,JOB_SEARCH_ASSIST,267,53.37,48.95,18.95,une_rt_m,2025-03-22
2018-02,CZ,IT250,25-34,T,UI_ASSISTANCE,1182,276,157,45.51,67.84,1286.3,2.88,MOBILITY_GRANT,175,65.97,58.84,90.54,lfsi_long_q,2025-07-16
2018-03,DE,LT302,35-44,F,SHORT_TIME_WORK,1402,195,159,50.84,69.35,516.94,9.14,WAGE_SUBSIDY,223,77.47,54.45,71.38,lfsa_ugad,2024-08-24
2018-04,LV,EE757,45-54,M,YOUTH_GUARANTEE,1219,177,106,15.88,50.43,803.84,6.41,PUBLIC_WORKS,247,80.56,8.11,29.67,lfsq_urgaed,2025-07-25
2018-05,PL,CZ21,55-64,T,SELF_EMP_SUPPORT,1074,197,189,26.24,71.33,806.92,4.13,TRAINING,359,85.54,46.8,41.52,lfsq_urgaed,2024-04-23
2018-06,ES,NL567,65+,F,MIXED,1344,283,129,11.54,79.09,990.85,11.35,APPRENTICESHIP,297,55.43,12.69,57.47,une_rt_m,2024-11-23
2018-07,HR,BG469,15-24,M,UI_CONTRIBUTORY,1058,207,183,48.21,26.66,1819.07,2.3,ENTREPRENEUR_SUPPORT,367,61.16,56.03,85.01,lfsi_long_q,2024-12-23
2018-08,FI,LV464,25-34,T,UI_ASSISTANCE,1256,270,132,9.14,58.85,971.07,3.36,JOB_SEARCH_ASSIST,448,78.06,21.5,93.03,lfsa_ugad,2025-01-15
2018-09,IE,FI471,35-44,F,SHORT_TIME_WORK,1217,221,196,55.47,75.85,1030.97,5.63,MOBILITY_GRANT,340,87.17,46.31,25.39,lfsq_urgaed,2024-10-12
2018-10,MT,SI51,45-54,M,YOUTH_GUARANTEE,1443,269,225,20.01,69.8,1094.29,2.23,WAGE_SUBSIDY,332,86.23,22.97,34.44,lfsq_urgaed,2025-06-02
2018-11,SK,PT4,55-64,T,SELF_EMP_SUPPORT,1406,217,138,8.35,69.58,1013.6,10.86,PUBLIC_WORKS,301,92.72,25.67,82.14,une_rt_m,2025-07-15
2018-12,BE,BE545,65+,F,MIXED,1112,231,194,15.07,29.09,1500.08,4.06,TRAINING,319,54.88,25.18,33.29,lfsi_long_q,2025-12-03
2019-01,DK,DE2,15-24,M,UI_CONTRIBUTORY,1215,277,251,39.89,58.59,298.45,7.54,APPRENTICESHIP,201,80.14,59.58,40.27,lfsa_ugad,2024-12-08
2019-02,GR,LT27,25-34,T,UI_ASSISTANCE,1390,204,120,13.55,45.07,1672.91,0.23,ENTREPRENEUR_SUPPORT,432,56.12,58.24,91.49,lfsq_urgaed,2024-09-10
2019-03,LT,NL2,35-44,F,SHORT_TIME_WORK,1220,297,219,55.16,35.3,398.54,5.15,JOB_SEARCH_ASSIST,444,37.72,34.75,19.94,lfsq_urgaed,2024-09-03
2019-04,PT,SE4,45-54,M,YOUTH_GUARANTEE,1286,229,218,57.75,48.9,792.41,1.07,MOBILITY_GRANT,259,62.4,47.39,52.26,une_rt_m,2026-02-25
2019-05,SE,AT621,55-64,T,SELF_EMP_SUPPORT,1131,280,211,23.06,72.34,697.69,9.04,WAGE_SUBSIDY,357,36.48,8.91,29.09,lfsi_long_q,2024-09-26
2019-06,CY,BG7,65+,F,MIXED,1304,246,153,23.33,46.65,1064.31,4.35,PUBLIC_WORKS,266,70.65,36.44,71.88,lfsa_ugad,2024-10-16
2019-07,FR,IE9,15-24,M,UI_CONTRIBUTORY,1544,197,180,12.85,32.57,560.98,10.77,TRAINING,218,62.43,24.5,49.9,lfsq_urgaed,2026-01-15
2019-08,IT,HR25,25-34,T,UI_ASSISTANCE,1274,289,180,34.1,45.55,1008.55,4.06,APPRENTICESHIP,294,37.57,61.99,18.5,lfsq_urgaed,2025-10-21
2019-09,NL,MT665,35-44,F,SHORT_TIME_WORK,1310,228,212,7.65,43.18,742.09,3.33,ENTREPRENEUR_SUPPORT,368,50.09,30.94,15.69,une_rt_m,2024-01-19
2019-10,SI,NL6,45-54,M,YOUTH_GUARANTEE,1243,307,248,37.42,65.96,1166.57,3.01,JOB_SEARCH_ASSIST,250,89.63,47.32,60.53,lfsi_long_q,2024-04-06
2019-11,BG,BG19,55-64,T,SELF_EMP_SUPPORT,1435,196,188,41.76,52.18,1735.27,1.75,MOBILITY_GRANT,325,92.27,29.81,60.17,lfsa_ugad,2025-11-14
2019-12,EE,LV63,65+,F,MIXED,1328,255,243,52.77,46.46,385.34,4.24,WAGE_SUBSIDY,356,46.73,52.65,92.12,lfsq_urgaed,2025-03-19
2020-01,HU,IE2,15-24,M,UI_CONTRIBUTORY,1098,256,155,33.01,44.66,1736.94,6.59,PUBLIC_WORKS,469,72.15,27.12,93.52,lfsq_urgaed,2025-01-11
2020-02,LU,RO676,25-34,T,UI_ASSISTANCE,1392,209,156,54.05,56.56,794.9,6.5,TRAINING,414,64.19,8.97,65.82,une_rt_m,2026-02-15
2020-03,RO,RO56,35-44,F,SHORT_TIME_WORK,1136,301,244,45.25,33.83,758.92,7.69,APPRENTICESHIP,257,43.29,45.37,87.29,lfsi_long_q,2026-01-16
2020-04,AT,CZ706,45-54,M,YOUTH_GUARANTEE,1440,278,139,43.41,44.81,753.13,3.35,ENTREPRENEUR_SUPPORT,292,73.8,48.21,41.51,lfsa_ugad,2025-04-27
2020-05,CZ,AT242,55-64,T,SELF_EMP_SUPPORT,1275,262,258,4.82,61.81,479.62,3.13,JOB_SEARCH_ASSIST,286,36.5,19.0,31.24,lfsq_urgaed,2024-05-14
2020-06,DE,HR32,65+,F,MIXED,1527,306,158,47.23,75.81,779.21,11.39,MOBILITY_GRANT,207,87.75,33.64,16.7,lfsq_urgaed,2025-11-05
2020-07,LV,PT5,15-24,M,UI_CONTRIBUTORY,1369,266,144,38.44,64.68,837.96,8.79,WAGE_SUBSIDY,415,74.0,9.27,59.49,une_rt_m,2024-01-09
