env_land_mapping_year,env_land_landcover_class_code,env_land_protected_area_id,env_land_management_designation,env_land_habitat_type_code,env_land_biodiversity_richness_index,env_land_species_observation_count,env_land_invasive_species_presence_flag,env_land_wetland_area_acres,env_land_forest_canopy_pct,env_land_impervious_surface_pct,env_land_soil_erosion_risk_score,env_land_carbon_stock_estimate_tons,env_land_restoration_project_flag,env_land_prescribed_burn_acres,env_land_trail_density_mi_sqmi,env_land_public_access_score,env_land_conservation_easement_flag,env_land_land_parcel_fragmentation_index,env_land_remote_sensing_sensor
2004,WETLAND,PA00000059,WILDLIFE_REFUGE,MARSH,86.13,33593,1,176001.62,27.92,81.05,0.6337,425424.67,1,245273.33,7.125,12.1,0,0.6776,PLANET
2002,FOREST,PA00000060,OTHER,MARSH,82.06,20682,1,256496.84,29.51,18.06,0.505,326095.1,0,134632.54,7.573,78.5,1,0.7222,NAIP
2010,FOREST,PA00000061,OTHER,URBAN_GREEN,12.08,36532,1,36101.39,67.16,85.12,0.4222,6004775.48,1,53568.94,2.985,61.2,0,0.9451,MODIS
2022,URBAN,PA00000062,BLM,MARSH,86.66,22148,0,1086829.66,6.53,16.99,0.6331,5787659.46,0,23741.72,1.369,90.7,0,0.7694,SENTINEL2
2006,FOREST,PA00000063,OTHER,DECIDUOUS,34.07,46246,1,201728.26,18.98,85.07,0.9504,11705951.39,1,21300.2,10.309,39.9,0,0.653,LIDAR
2020,WETLAND,PA00000064,TRIBAL,MARSH,25.64,43271,0,749867.58,29.22,65.21,0.564,8624914.04,0,111228.08,1.724,1.0,0,0.6553,SENTINEL2
2018,FOREST,PA00000065,WILDLIFE_REFUGE,RIPARIAN,76.13,33434,0,440416.61,14.57,87.34,0.2874,10389027.64,0,245137.85,4.323,75.8,1,0.0947,LANDSAT
2007,GRASSLAND,PA00000066,PRIVATE_CONSERVATION,RIPARIAN,77.82,49399,0,868339.81,43.52,42.64,0.7419,9691448.47,0,45942.06,2.898,62.4,1,0.092,SENTINEL2
2022,FOREST,PA00000067,OTHER,DESERT,77.32,33737,0,33437.92,22.46,13.87,0.7533,452851.75,0,196730.25,3.833,62.9,1,0.9112,PLANET
2012,FOREST,PA00000068,OTHER,COASTAL,4.76,25778,0,811967.41,1.42,83.64,0.7183,5060076.37,1,174775.15,0.936,35.3,1,0.7705,MODIS
2004,BARREN,PA00000069,NATIONAL_PARK,ALPINE,74.29,8578,0,227239.4,65.63,22.55,0.7869,6006012.13,0,68231.58,10.185,30.2,1,0.2539,NAIP
2018,CROPLAND,PA00000070,OTHER,PRAIRIE,2.96,18066,0,1155238.56,65.37,36.47,0.122,5897576.47,0,170130.39,14.3,76.0,0,0.3326,MODIS
2011,URBAN,PA00000071,PRIVATE_CONSERVATION,RIPARIAN,81.05,18544,0,1214141.36,35.3,58.25,0.6661,6717007.29,0,65355.31,4.301,62.2,0,0.8941,PLANET
2003,GRASSLAND,PA00000072,STATE_PARK,ALPINE,19.06,11792,1,22144.89,62.73,27.44,0.1959,1427736.76,1,98597.38,2.316,80.1,0,0.6356,SENTINEL2
2014,CROPLAND,PA00000073,OTHER,DECIDUOUS,13.39,10530,0,64424.89,71.01,57.71,0.6539,7113311.67,0,207907.61,10.979,26.9,1,0.2713,PLANET
2012,WETLAND,PA00000074,WILDLIFE_REFUGE,DESERT,87.87,23222,0,918549.4,13.92,29.24,0.2049,7316477.47,0,47702.32,10.333,22.5,1,0.7932,MODIS
2001,FOREST,PA00000075,WILDLIFE_REFUGE,URBAN_GREEN,34.89,41338,0,88891.42,39.21,21.05,0.265,6085560.16,0,92978.52,12.323,7.8,0,0.9025,LANDSAT
2002,FOREST,PA00000076,PRIVATE_CONSERVATION,DECIDUOUS,35.49,45138,0,902786.63,12.66,94.18,0.6516,7541272.84,1,114646.51,10.835,73.4,0,0.9412,PLANET
2013,GRASSLAND,PA00000077,OTHER,MARSH,30.14,13507,0,416113.64,87.01,68.33,0.7276,3388403.3,1,62720.19,2.64,32.8,1,0.3454,PLANET
2006,WETLAND,PA00000078,BLM,RIPARIAN,51.07,1345,0,240080.97,23.09,18.21,0.3519,2059146.65,0,96406.66,9.543,12.0,0,0.8989,LANDSAT
2010,CROPLAND,PA00000079,OTHER,RIPARIAN,13.29,38774,0,358312.89,46.43,33.16,0.7498,8146546.3,0,124700.69,6.029,53.4,0,0.5505,SENTINEL2
2003,CROPLAND,PA00000080,STATE_PARK,COASTAL,2.46,26776,1,937668.55,93.93,24.87,0.4002,4235496.24,0,216539.88,13.936,52.4,0,0.8144,SENTINEL2
2010,CROPLAND,PA00000081,WILDLIFE_REFUGE,PRAIRIE,57.04,22597,0,1103728.67,66.27,10.53,0.5209,779620.46,1,93439.56,2.637,88.8,0,0.1413,MODIS
2001,GRASSLAND,PA00000082,TRIBAL,DECIDUOUS,40.7,31725,0,1207557.41,68.76,70.4,0.2546,5360299.06,0,122586.36,3.707,90.7,0,0.1936,SENTINEL2
2023,FOREST,PA00000083,WILDLIFE_REFUGE,MARSH,74.13,23673,0,371114.59,7.32,54.33,0.929,6690230.58,0,12766.52,12.679,30.8,0,0.1217,NAIP
2008,FOREST,PA00000084,BLM,URBAN_GREEN,69.89,16770,0,692182.44,13.74,17.06,0.0128,8884567.18,1,234105.4,14.842,23.4,1,0.3872,SENTINEL2
2003,WATER,PA00000085,OTHER,DECIDUOUS,34.42,5778,0,951094.7,33.97,54.94,0.4845,2120654.22,1,233845.78,12.043,73.8,1,0.9805,LIDAR
2023,CROPLAND,PA00000086,PRIVATE_CONSERVATION,URBAN_GREEN,52.16,43014,0,299064.21,96.17,99.94,0.5703,6981001.59,0,202497.09,13.002,20.8,1,0.858,LANDSAT
2005,SHRUB,PA00000087,NATIONAL_PARK,PRAIRIE,13.6,24498,0,838594.3,96.65,36.03,0.8135,9160807.01,0,51035.86,14.183,34.8,0,0.1469,SENTINEL2
2014,SHRUB,PA00000088,PRIVATE_CONSERVATION,CONIFER,36.08,48269,0,133128.76,4.6,68.67,0.6239,8788837.33,0,244960.76,9.611,80.9,0,0.6806,LANDSAT
2009,URBAN,PA00000089,PRIVATE_CONSERVATION,ALPINE,86.77,22680,0,896416.23,56.8,21.48,0.4237,7554734.27,0,38533.99,11.684,33.9,0,0.8904,LANDSAT
2025,URBAN,PA00000090,TRIBAL,ALPINE,48.0,21972,1,534297.61,49.07,14.35,0.3665,10816849.09,0,138400.08,14.801,35.2,0,0.3255,PLANET
2012,CROPLAND,PA00000091,OTHER,ALPINE,74.46,23326,1,667445.11,56.69,8.09,0.3651,5904504.83,1,157673.3,11.654,18.4,1,0.9658,SENTINEL2
2007,URBAN,PA00000092,BLM,DESERT,49.2,40242,0,1026575.57,25.58,53.41,0.8919,10513588.23,0,29886.52,0.653,85.1,0,0.4002,LANDSAT
2004,SHRUB,PA00000093,STATE_PARK,CONIFER,80.12,4876,0,1165746.35,95.59,26.21,0.1128,460886.34,0,132500.62,14.491,68.0,0,0.7266,SENTINEL2
2005,SHRUB,PA00000094,TRIBAL,DECIDUOUS,16.4,7192,0,627748.97,33.13,91.12,0.2463,3874845.88,0,156772.65,10.627,27.5,1,0.195,PLANET
2007,SHRUB,PA00000095,TRIBAL,PRAIRIE,85.3,21797,0,884189.11,1.58,50.69,0.199,11300776.78,1,185230.55,11.565,79.9,1,0.3088,NAIP
2016,FOREST,PA00000096,BLM,PRAIRIE,63.4,10150,0,903495.82,40.08,25.08,0.5121,3240470.5,1,22749.0,11.533,60.3,1,0.2468,SENTINEL2
2015,CROPLAND,PA00000097,PRIVATE_CONSERVATION,CONIFER,67.55,33585,0,400651.58,0.25,19.43,0.9206,7401454.52,1,148796.47,12.458,30.2,0,0.6714,NAIP
2018,CROPLAND,PA00000098,STATE_PARK,DESERT,7.14,4222,0,276716.1,56.48,29.01,0.027,9702036.33,1,31693.1,10.11,76.9,0,0.2515,MODIS
2004,SHRUB,PA00000099,PRIVATE_CONSERVATION,COASTAL,66.74,465,0,1241014.64,41.22,8.82,0.6073,4377736.74,0,107786.83,1.906,90.8,0,0.3178,PLANET
2003,URBAN,PA00000100,TRIBAL,COASTAL,67.22,32695,0,781369.2,32.99,0.53,0.559,2988475.06,0,43734.59,3.127,23.6,1,0.5366,SENTINEL2
2021,WETLAND,PA00000101,TRIBAL,MARSH,79.89,13727,0,577290.06,74.98,65.81,0.383,2527473.94,0,180102.43,9.641,92.8,0,0.9999,PLANET
2004,FOREST,PA00000102,TRIBAL,URBAN_GREEN,97.01,18478,0,726767.73,13.72,30.27,0.0345,11758989.63,0,158592.03,11.644,62.7,0,0.1712,MODIS
2014,CROPLAND,PA00000103,TRIBAL,MARSH,77.93,2596,0,942676.49,43.56,65.55,0.6322,1416879.36,1,106358.04,13.136,46.7,0,0.7923,LIDAR
2001,GRASSLAND,PA00000104,TRIBAL,DECIDUOUS,57.12,27912,0,259090.67,32.48,79.31,0.4368,4284623.88,0,36615.28,10.373,74.2,0,0.8962,LIDAR
2022,FOREST,PA00000105,OTHER,CONIFER,5.96,28713,1,10181.48,53.43,80.62,0.8329,990949.77,0,180372.47,6.402,0.1,1,0.9459,LANDSAT
2016,CROPLAND,PA00000106,BLM,RIPARIAN,9.48,47378,1,486103.94,56.6,36.37,0.5524,10511923.66,0,197523.91,12.14,37.4,0,0.4075,SENTINEL2
2024,URBAN,PA00000107,PRIVATE_CONSERVATION,COASTAL,85.41,12813,0,642331.52,60.98,86.78,0.7108,7580908.9,0,115558.87,4.806,87.1,0,0.0663,SENTINEL2
2015,CROPLAND,PA00000108,TRIBAL,DESERT,50.33,5530,0,26832.32,36.04,40.07,0.4438,7043924.91,0,195602.54,9.124,78.6,0,0.5774,SENTINEL2
2009,FOREST,PA00000109,STATE_PARK,CONIFER,78.11,8823,0,1170823.83,43.08,21.66,0.644,10469883.78,0,90132.77,11.298,69.5,0,0.8382,MODIS
2004,FOREST,PA00000110,NATIONAL_PARK,MARSH,90.57,6293,1,382198.5,99.87,38.95,0.8209,1143359.44,1,180360.04,14.73,41.3,0,0.6654,MODIS
2001,WETLAND,PA00000111,STATE_PARK,PRAIRIE,67.15,45338,0,1077448.48,40.23,6.44,0.1134,3721899.68,1,235058.75,14.463,60.0,0,0.1386,MODIS
2006,SHRUB,PA00000112,OTHER,URBAN_GREEN,4.28,19529,0,920506.46,33.02,47.1,0.9274,11117564.21,0,366.85,14.964,65.1,1,0.3272,PLANET
2008,FOREST,PA00000113,NATIONAL_PARK,URBAN_GREEN,47.1,32702,0,145973.96,27.22,69.08,0.8903,9604206.04,0,193520.01,3.353,0.3,0,0.107,SENTINEL2
2002,URBAN,PA00000114,BLM,DESERT,55.23,6549,0,45893.05,99.01,85.08,0.3428,10474867.87,0,48774.35,1.46,36.6,0,0.4448,OTHER
2006,FOREST,PA00000115,BLM,PRAIRIE,38.21,23803,0,590268.73,95.14,82.05,0.2612,2144141.67,1,96979.71,6.067,3.0,0,0.5448,LANDSAT
2023,GRASSLAND,PA00000116,BLM,MARSH,58.38,3557,1,512043.15,6.92,73.12,0.9194,2209436.95,0,182917.81,5.417,79.6,1,0.3459,PLANET
2013,GRASSLAND,PA00000117,WILDLIFE_REFUGE,MARSH,49.81,47272,1,538222.62,89.21,99.21,0.0033,6760817.68,1,48624.66,1.306,65.1,1,0.5526,LANDSAT
2004,BARREN,PA00000118,BLM,PRAIRIE,81.3,38947,0,1137989.2,35.59,47.96,0.1296,4724443.98,1,45739.19,12.11,62.8,1,0.1266,LANDSAT
2018,WATER,PA00000119,OTHER,MARSH,13.81,39182,0,46456.13,15.56,29.25,0.5807,2221233.25,0,137252.87,3.982,28.7,0,0.9464,NAIP
2007,SHRUB,PA00000120,TRIBAL,DECIDUOUS,29.58,5559,0,27903.44,16.97,86.57,0.1309,8800915.87,0,180575.79,12.03,30.3,0,0.055,SENTINEL2
2007,URBAN,PA00000121,WILDLIFE_REFUGE,DECIDUOUS,84.04,47272,0,303675.56,46.5,41.53,0.5758,968051.66,0,205516.53,8.719,33.8,0,0.9455,LANDSAT
2016,WATER,PA00000122,NATIONAL_PARK,URBAN_GREEN,19.99,14394,0,483364.43,52.98,8.34,0.8183,11665817.61,1,113625.82,1.798,98.8,0,0.128,MODIS
2025,GRASSLAND,PA00000123,STATE_PARK,COASTAL,54.87,25955,0,474940.19,80.56,1.18,0.0837,4530311.47,1,75341.6,13.927,8.5,0,0.1721,SENTINEL2
2007,FOREST,PA00000124,STATE_PARK,COASTAL,35.94,8729,0,746425.06,39.16,82.29,0.5858,3713004.96,1,64879.5,13.498,0.1,0,0.5341,LANDSAT
2010,URBAN,PA00000125,BLM,PRAIRIE,15.53,48742,0,218359.66,81.36,42.57,0.7626,2113045.79,0,192470.41,4.398,68.5,1,0.7071,SENTINEL2
2025,URBAN,PA00000126,NATIONAL_PARK,COASTAL,54.68,39669,0,202026.8,89.01,65.62,0.9432,10584412.52,0,235627.71,10.751,83.6,0,0.753,SENTINEL2
2011,FOREST,PA00000127,NATIONAL_PARK,DECIDUOUS,29.78,36677,0,437755.82,84.24,2.2,0.7453,7359835.98,0,179178.34,11.259,39.5,1,0.9305,PLANET
2020,URBAN,PA00000128,BLM,COASTAL,83.44,4840,1,1018857.9,64.38,9.72,0.8453,5343335.07,0,188607.17,14.665,12.8,0,0.9629,SENTINEL2
2003,FOREST,PA00000129,STATE_PARK,MARSH,72.34,22275,0,259129.81,5.05,50.61,0.3443,11060285.05,0,14991.4,3.853,4.5,0,0.5754,NAIP
2019,URBAN,PA00000130,NATIONAL_PARK,ALPINE,35.96,24847,0,354707.56,58.8,23.92,0.0423,2873355.93,1,23770.85,10.505,7.0,1,0.4033,MODIS
2015,FOREST,PA00000131,STATE_PARK,ALPINE,14.97,47863,0,864357.18,12.3,51.01,0.221,10069210.91,0,79215.14,8.037,88.3,0,0.1203,LANDSAT
2021,SHRUB,PA00000132,WILDLIFE_REFUGE,DESERT,63.97,10099,1,303921.98,36.59,84.04,0.8958,328304.08,0,112919.84,10.705,28.9,0,0.8822,LANDSAT
2003,CROPLAND,PA00000133,NATIONAL_PARK,RIPARIAN,16.65,39976,0,615746.01,1.98,79.31,0.2869,4357820.37,1,23140.6,6.719,78.6,1,0.4319,SENTINEL2
2006,SHRUB,PA00000134,PRIVATE_CONSERVATION,URBAN_GREEN,54.09,32828,0,66090.2,83.33,96.69,0.7989,7157833.9,0,214685.33,10.96,44.6,0,0.9133,OTHER
2010,GRASSLAND,PA00000135,NATIONAL_PARK,ALPINE,39.34,19347,0,926070.82,19.28,33.79,0.743,3826680.21,0,47598.83,1.321,97.4,1,0.2933,LIDAR
2012,FOREST,PA00000136,OTHER,COASTAL,41.37,8818,0,821667.87,95.16,34.42,0.0974,8921445.56,0,135866.11,4.299,68.5,0,0.565,LANDSAT
2008,URBAN,PA00000137,BLM,DESERT,49.42,43645,0,118669.83,16.83,86.56,0.2165,2427908.31,1,84435.9,6.923,65.5,0,0.1635,LANDSAT
2014,SHRUB,PA00000138,WILDLIFE_REFUGE,DECIDUOUS,48.12,33877,1,31576.72,36.75,70.03,0.911,10365873.28,0,87461.84,10.447,16.2,0,0.1911,LANDSAT
2011,FOREST,PA00000139,WILDLIFE_REFUGE,URBAN_GREEN,45.88,1089,1,325497.77,23.65,7.57,0.7522,4435576.5,1,242285.88,7.227,74.9,0,0.7561,OTHER
2024,URBAN,PA00000140,STATE_PARK,DECIDUOUS,8.23,19870,0,548846.79,73.83,82.69,0.7818,10074717.94,1,74140.48,4.466,51.5,1,0.7544,NAIP
2007,FOREST,PA00000141,NATIONAL_PARK,RIPARIAN,37.85,25542,1,360678.47,25.61,85.02,0.0042,413355.64,0,147003.75,6.498,58.9,0,0.3763,OTHER
2008,FOREST,PA00000142,OTHER,MARSH,76.52,47080,0,346319.9,55.26,68.86,0.086,4747343.58,1,249424.42,10.107,88.3,1,0.4012,PLANET
2014,URBAN,PA00000143,PRIVATE_CONSERVATION,PRAIRIE,34.03,12876,1,758398.74,9.58,36.48,0.1868,261355.31,0,187595.52,7.641,85.3,1,0.8382,PLANET
2014,CROPLAND,PA00000144,WILDLIFE_REFUGE,CONIFER,99.73,40775,1,1154607.03,30.05,58.54,0.2524,5389328.29,0,69449.43,3.205,3.3,0,0.4098,MODIS
2019,WETLAND,PA00000145,NATIONAL_PARK,DECIDUOUS,83.61,47703,0,959383.24,10.96,11.57,0.9333,11962357.32,0,236735.66,12.792,69.0,1,0.1088,SENTINEL2
2006,WATER,PA00000146,OTHER,CONIFER,74.33,8265,0,279415.93,47.77,65.63,0.7385,1616476.55,1,211884.89,3.883,54.0,1,0.7029,SENTINEL2
