ph_beh_reference_year,ph_beh_country_iso2,ph_beh_region_nuts_code,ph_beh_age_group,ph_beh_sex,ph_beh_smoking_rate_pct,ph_beh_alcohol_consumption_litres_per_capita,ph_beh_binge_drinking_rate_pct,ph_beh_physical_activity_rate_pct,ph_beh_sedentary_time_hours_day,ph_beh_healthy_diet_score,ph_beh_fruit_veg_daily_pct,ph_beh_ultra_processed_food_share_pct,ph_beh_sleep_quality_score,ph_beh_obesity_rate_pct,ph_beh_screen_time_hours_day,ph_beh_chronic_conditions_count_mean,ph_beh_ehis_table_code,ph_beh_survey_weight,ph_beh_data_extract_date
2024,MT,DE4,35_44,F,28.28,10.73,28.95,48.21,8.03,42.74,58.15,44.74,5.95,17.96,5.14,1.883,HLTH_EHIS_ALCO,4.7365,2025-04-21
2025,ES,IT808,75_PLUS,M,16.88,3.55,24.51,60.27,8.06,49.21,38.32,24.19,7.63,21.45,3.45,2.516,HLTH_EHIS_PA,2.5003,2025-11-14
2006,CZ,IE107,45_54,X,26.78,9.68,3.98,49.12,9.18,65.12,48.36,16.32,5.86,14.64,6.8,1.264,HLTH_EHIS_SMOK,1.5566,2025-07-19
2007,HU,DK29,15_24,F,10.32,10.33,5.55,47.25,4.06,48.35,32.83,22.92,5.25,23.55,6.88,0.507,HLTH_EHIS_DIET,1.7659,2024-12-06
2008,NL,SK3,55_64,M,32.45,13.09,28.39,47.02,10.58,44.86,54.05,30.97,7.56,16.64,5.18,0.348,HLTH_EHIS_MH,0.9111,2025-06-16
2009,SE,IE5,25_34,X,24.62,3.84,16.84,49.68,8.66,58.13,54.06,14.48,5.63,11.6,9.16,1.822,HLTH_EHIS_ALCO,1.9161,2025-01-05
2010,DK,DE88,65_74,F,7.99,8.56,27.6,46.86,9.29,36.72,43.44,53.36,6.11,15.95,2.78,3.18,HLTH_EHIS_PA,4.6504,2024-09-12
2011,IE,EE32,35_44,M,13.23,5.06,35.09,50.26,5.1,40.16,52.47,24.41,7.03,8.95,4.31,1.688,HLTH_EHIS_SMOK,2.6439,2025-02-15
2012,PL,CY31,75_PLUS,X,7.8,8.72,24.19,54.28,11.15,37.65,21.53,36.32,7.67,34.81,7.46,0.879,HLTH_EHIS_DIET,4.2795,2024-08-03
2013,AT,PT9,45_54,F,11.27,9.05,25.36,27.77,9.74,71.26,42.62,15.09,5.01,18.76,8.17,2.377,HLTH_EHIS_MH,3.8589,2024-12-26
2014,EE,SE4,15_24,M,29.95,7.65,26.27,51.6,10.71,37.65,57.94,44.72,5.93,33.31,9.91,1.075,HLTH_EHIS_ALCO,3.2091,2025-12-03
2015,IT,DK13,55_64,X,16.42,7.3,32.61,52.77,9.38,38.94,33.7,28.54,6.31,30.76,8.5,0.606,HLTH_EHIS_PA,2.8941,2025-02-17
2016,PT,LT174,25_34,F,22.43,7.0,8.07,43.87,10.55,38.58,32.31,16.09,7.29,26.76,2.27,1.922,HLTH_EHIS_SMOK,1.7546,2025-06-22
2017,BE,CY36,65_74,M,34.69,8.49,14.2,28.7,9.63,48.89,22.1,35.71,6.19,23.25,4.08,0.695,HLTH_EHIS_DIET,1.3986,2024-10-11
2018,FI,IE457,35_44,X,29.07,7.32,12.21,24.07,9.68,53.05,39.4,34.0,5.9,19.69,2.27,0.491,HLTH_EHIS_MH,1.8521,2024-10-15
2019,LV,AT653,75_PLUS,F,26.4,12.35,23.12,38.95,7.52,38.89,40.07,38.0,5.49,31.2,2.08,2.013,HLTH_EHIS_ALCO,0.2399,2024-06-14
2020,RO,FI91,45_54,M,21.65,13.88,7.94,24.57,11.9,40.29,51.66,27.68,5.96,24.62,4.64,0.843,HLTH_EHIS_PA,3.6581,2024-07-21
2021,BG,LU815,15_24,X,12.43,7.52,12.5,75.39,8.52,70.41,58.57,22.74,6.03,21.53,5.3,0.336,HLTH_EHIS_SMOK,2.1118,2025-02-25
2022,FR,FI152,55_64,F,22.37,13.6,24.47,69.73,12.43,45.59,23.06,48.07,7.52,33.07,5.73,0.538,HLTH_EHIS_DIET,1.436,2025-08-04
2023,LT,BG68,25_34,M,20.26,12.47,23.29,33.13,4.7,65.13,54.62,43.71,8.59,10.45,4.37,1.013,HLTH_EHIS_MH,0.4968,2024-12-17
2024,SK,BG14,65_74,X,8.57,6.4,4.43,63.85,6.96,55.25,42.06,39.22,7.28,34.36,6.36,1.392,HLTH_EHIS_ALCO,2.0816,2026-02-06
2025,HR,RO5,35_44,F,8.26,11.18,13.21,56.25,4.63,35.04,34.11,22.16,7.69,19.42,2.19,2.208,HLTH_EHIS_PA,4.5192,2025-11-07
2006,DE,HR9,75_PLUS,M,8.67,6.3,27.35,48.39,12.12,42.58,32.83,29.07,4.69,26.55,4.01,0.41,HLTH_EHIS_SMOK,2.4413,2024-01-29
2007,LU,RO701,45_54,X,29.06,9.82,20.45,41.6,7.49,69.81,36.04,47.58,7.23,17.49,7.16,0.765,HLTH_EHIS_DIET,1.92,2024-08-13
2008,SI,ES781,15_24,F,25.88,1.5,9.43,46.17,5.64,65.58,31.84,45.9,7.46,23.64,3.11,0.557,HLTH_EHIS_MH,4.5008,2026-02-15
2009,CY,PT49,55_64,M,16.17,12.4,9.58,60.28,8.79,72.53,36.48,11.87,4.37,10.1,7.1,0.289,HLTH_EHIS_ALCO,4.42,2025-11-17
2010,GR,GR429,25_34,X,9.35,1.61,26.67,62.43,5.97,49.4,27.65,14.25,8.91,23.12,6.02,0.456,HLTH_EHIS_PA,4.4604,2025-03-25
2011,MT,LV82,65_74,F,21.06,4.88,27.98,48.92,12.36,65.52,46.91,28.48,6.26,22.78,2.47,0.818,HLTH_EHIS_SMOK,2.597,2025-07-25
2012,ES,PT99,35_44,M,18.2,6.63,27.23,39.26,6.6,55.28,26.73,50.26,8.47,18.85,5.52,1.943,HLTH_EHIS_DIET,4.3238,2024-02-16
2013,CZ,NL72,75_PLUS,X,28.35,11.55,14.58,44.54,10.58,43.99,45.26,54.71,4.62,16.46,7.7,1.959,HLTH_EHIS_MH,3.8672,2024-11-16
2014,HU,IE9,45_54,F,30.92,12.77,31.25,28.3,5.48,52.97,64.58,40.68,8.33,24.66,6.7,2.08,HLTH_EHIS_ALCO,3.6088,2025-05-24
2015,NL,LU675,15_24,M,20.61,11.38,32.56,41.36,6.95,33.51,58.44,14.61,5.41,17.81,5.75,2.093,HLTH_EHIS_PA,4.4697,2025-12-23
2016,SE,SE3,55_64,X,29.05,13.75,5.27,51.03,10.19,65.59,31.22,33.96,7.08,23.79,5.31,0.434,HLTH_EHIS_SMOK,1.5188,2024-07-25
2017,DK,LV19,25_34,F,7.93,3.36,4.98,42.98,3.89,36.38,35.72,16.98,7.64,24.32,4.47,1.91,HLTH_EHIS_DIET,2.1494,2024-06-22
2018,IE,SE97,65_74,M,22.08,14.26,33.32,30.16,8.21,48.2,47.2,23.98,7.03,23.45,5.86,1.375,HLTH_EHIS_MH,3.5686,2025-08-05
2019,PL,DK68,35_44,X,10.23,1.13,26.26,33.22,6.93,36.05,45.54,38.93,6.96,12.42,8.38,1.47,HLTH_EHIS_ALCO,2.0717,2025-11-26
2020,AT,LU83,75_PLUS,F,12.08,2.19,17.88,53.32,10.84,72.46,35.5,47.66,7.71,21.67,8.34,1.249,HLTH_EHIS_PA,1.7809,2024-01-17
2021,EE,HU580,45_54,M,30.79,10.71,11.45,30.49,7.31,48.54,41.07,53.39,7.32,32.99,5.41,2.101,HLTH_EHIS_SMOK,2.8448,2024-07-05
2022,IT,SK723,15_24,X,26.06,2.28,9.74,45.58,9.8,67.35,27.32,17.16,4.61,20.62,9.57,2.212,HLTH_EHIS_DIET,4.5792,2025-07-08
2023,PT,LU41,55_64,F,33.27,10.67,32.89,30.24,12.32,49.99,64.7,33.02,5.5,10.96,4.9,2.286,HLTH_EHIS_MH,2.1224,2024-03-04
2024,BE,HU43,25_34,M,11.95,5.74,8.75,27.54,9.96,51.28,60.81,31.6,5.26,16.03,6.76,1.525,HLTH_EHIS_ALCO,1.7114,2024-06-20
2025,FI,HR94,65_74,X,23.72,11.34,26.91,65.24,6.61,34.26,59.36,21.63,4.97,29.28,5.6,1.463,HLTH_EHIS_PA,0.7267,2026-01-30
2006,LV,DK5,35_44,F,9.93,1.64,17.64,61.96,7.46,55.29,20.82,20.91,6.49,24.07,2.66,0.766,HLTH_EHIS_SMOK,1.5225,2025-05-20
2007,RO,IT2,75_PLUS,M,27.77,12.69,26.31,33.89,8.06,61.74,56.71,47.41,4.24,19.86,7.96,2.509,HLTH_EHIS_DIET,4.7706,2025-04-18
2008,BG,ES27,45_54,X,17.94,3.16,16.92,34.92,7.4,64.4,53.5,41.95,5.04,10.39,6.4,2.221,HLTH_EHIS_MH,4.0606,2025-03-19
2009,FR,CY2,15_24,F,19.89,12.19,24.65,33.03,8.58,62.07,64.93,32.22,7.22,27.85,5.47,0.802,HLTH_EHIS_ALCO,0.9909,2025-07-05
2010,LT,MT524,55_64,M,22.89,12.24,40.05,51.0,11.49,45.09,61.15,34.44,5.88,25.49,3.32,2.128,HLTH_EHIS_PA,4.1041,2024-10-12
2011,SK,LV13,25_34,X,25.05,11.43,10.24,46.34,3.81,63.23,36.6,17.08,8.39,17.57,2.41,2.342,HLTH_EHIS_SMOK,1.0059,2024-08-01
2012,HR,BG77,65_74,F,19.53,1.93,31.15,46.48,11.5,60.61,28.76,53.27,5.62,13.34,1.98,0.778,HLTH_EHIS_DIET,2.7999,2024-11-12
2013,DE,SE205,35_44,M,28.15,3.77,6.59,70.04,6.48,55.09,30.5,32.47,8.03,23.45,1.85,2.13,HLTH_EHIS_MH,2.5985,2024-02-15
2014,LU,LU965,75_PLUS,X,7.47,4.49,19.31,70.69,8.76,66.91,26.98,16.34,6.12,26.31,6.7,2.298,HLTH_EHIS_ALCO,4.4544,2025-03-28
2015,SI,ES39,45_54,F,18.41,8.02,10.14,54.03,8.74,41.17,22.14,50.5,7.72,17.1,8.56,2.351,HLTH_EHIS_PA,0.619,2024-07-26
2016,CY,ES421,15_24,M,30.96,12.44,22.58,29.63,10.56,71.37,42.01,36.72,4.51,11.23,9.33,1.589,HLTH_EHIS_SMOK,2.3011,2025-03-23
2017,GR,AT559,55_64,X,18.72,6.04,10.74,43.91,9.02,74.38,75.1,23.86,4.61,20.8,6.3,1.006,HLTH_EHIS_DIET,2.7357,2025-01-28
2018,MT,EE519,25_34,F,9.66,3.04,4.76,75.23,7.95,58.88,58.12,50.31,7.36,28.67,8.68,1.475,HLTH_EHIS_MH,3.8834,2024-07-13
2019,ES,CZ4,65_74,M,10.05,7.15,10.44,46.86,7.68,46.57,28.45,34.86,5.0,30.91,5.38,2.497,HLTH_EHIS_ALCO,3.6339,2025-03-15
2020,CZ,NL67,35_44,X,8.28,6.16,23.36,60.21,4.94,67.54,52.56,30.65,5.52,27.56,8.23,1.343,HLTH_EHIS_PA,4.5874,2024-01-15
2021,HU,DE97,75_PLUS,F,27.64,4.39,5.97,39.21,11.88,37.86,49.46,28.73,5.51,22.87,4.13,2.903,HLTH_EHIS_SMOK,0.94,2025-02-06
2022,NL,HU34,45_54,M,22.74,12.67,34.03,56.13,7.23,73.76,76.78,54.84,7.61,28.42,4.05,0.823,HLTH_EHIS_DIET,1.1171,2024-10-01
2023,SE,DK113,15_24,X,8.6,8.13,16.89,56.49,9.77,59.31,38.05,24.83,4.88,16.93,6.3,2.092,HLTH_EHIS_MH,2.5921,2025-11-29
2024,DK,LT9,55_64,F,24.39,5.79,19.92,24.54,7.37,39.73,27.95,35.18,6.93,18.47,7.97,0.88,HLTH_EHIS_ALCO,0.3529,2024-12-21
2025,IE,GR1,25_34,M,28.75,9.45,29.81,48.56,10.75,44.67,54.09,36.73,7.06,13.66,6.78,0.511,HLTH_EHIS_PA,0.6219,2024-05-26
2006,PL,HU344,65_74,X,8.4,6.85,14.96,33.16,4.44,58.38,54.9,28.04,7.27,22.14,2.0,0.761,HLTH_EHIS_SMOK,4.5392,2025-01-09
2007,AT,LT3,35_44,F,16.14,10.94,26.15,46.71,4.52,53.46,44.37,22.07,5.99,9.4,8.55,1.855,HLTH_EHIS_DIET,2.0396,2024-09-19
2008,EE,SK20,75_PLUS,M,10.74,13.02,5.64,28.01,9.7,76.88,50.77,33.59,7.59,25.99,6.45,2.3,HLTH_EHIS_MH,3.8087,2024-06-05
2009,IT,FI92,45_54,X,23.0,4.25,4.98,24.78,10.41,40.65,51.89,13.9,6.85,26.49,8.44,1.488,HLTH_EHIS_ALCO,0.9772,2026-01-24
2010,PT,PL82,15_24,F,21.37,9.01,10.86,69.78,3.97,67.43,65.4,19.23,7.14,9.56,9.54,1.297,HLTH_EHIS_PA,2.2605,2024-02-22
2011,BE,IT558,55_64,M,26.04,9.03,16.06,55.57,4.95,58.84,28.89,29.16,7.84,19.67,2.44,0.284,HLTH_EHIS_SMOK,2.4985,2025-06-26
2012,FI,PL43,25_34,X,25.1,12.61,27.27,42.93,5.51,46.33,48.6,39.65,7.12,10.87,4.98,1.606,HLTH_EHIS_DIET,0.7452,2025-11-15
2013,LV,FI90,65_74,F,10.72,9.15,28.42,43.21,4.5,77.8,66.16,19.28,5.79,29.74,2.02,1.402,HLTH_EHIS_MH,0.4379,2024-03-01
2014,RO,HU50,35_44,M,26.3,12.56,16.26,57.62,4.68,62.11,61.1,11.93,6.91,28.11,2.41,1.86,HLTH_EHIS_ALCO,0.5958,2024-07-15
2015,BG,DE993,75_PLUS,X,24.0,10.02,18.16,30.43,10.83,41.42,41.49,21.57,6.87,15.31,4.72,2.261,HLTH_EHIS_PA,1.6274,2025-04-21
2016,FR,PL15,45_54,F,15.71,7.7,14.79,37.74,4.85,43.64,37.63,22.87,5.78,16.4,8.56,0.924,HLTH_EHIS_SMOK,2.3132,2025-08-25
2017,LT,FR89,15_24,M,26.88,6.26,29.63,50.31,8.7,49.36,57.27,39.34,5.23,19.77,9.03,1.882,HLTH_EHIS_DIET,2.9604,2024-01-29
2018,SK,CZ54,55_64,X,24.93,13.67,4.3,52.39,6.3,56.2,62.9,41.78,5.19,28.02,1.93,1.362,HLTH_EHIS_MH,3.0441,2025-02-02
2019,HR,LV2,25_34,F,14.56,12.12,4.67,54.48,8.48,50.79,54.41,49.51,4.78,13.12,9.98,2.092,HLTH_EHIS_ALCO,2.006,2025-01-16
2020,DE,PL6,65_74,M,9.08,14.68,15.64,70.93,11.21,65.38,64.2,24.65,6.91,18.38,5.56,2.7,HLTH_EHIS_PA,1.2415,2024-06-29
2021,LU,SE19,35_44,X,12.91,12.22,5.46,62.54,7.41,73.48,70.58,25.71,5.31,19.62,6.54,0.371,HLTH_EHIS_SMOK,4.4905,2024-11-21
2022,SI,CY38,75_PLUS,F,26.45,1.86,22.6,71.17,7.35,61.05,75.09,36.76,5.07,23.46,5.13,0.469,HLTH_EHIS_DIET,0.5318,2024-11-19
2023,CY,HU677,45_54,M,10.75,10.56,27.0,65.4,5.14,34.74,32.12,48.19,6.85,9.69,2.81,0.581,HLTH_EHIS_MH,4.7521,2025-12-24
2024,GR,BE3,15_24,X,27.32,1.7,8.25,71.31,4.7,63.47,64.67,20.38,7.29,28.74,7.04,0.932,HLTH_EHIS_ALCO,3.8901,2024-12-21
2025,MT,GR901,55_64,F,14.76,5.35,28.69,35.11,8.43,57.76,20.82,19.75,6.21,13.96,6.11,2.176,HLTH_EHIS_PA,3.5157,2024-09-25
2006,ES,LU5,25_34,M,21.0,7.72,29.87,35.42,6.97,77.18,42.39,36.27,7.2,15.43,6.63,0.951,HLTH_EHIS_SMOK,1.6726,2025-04-04
2007,CZ,SE2,65_74,X,20.31,5.14,7.12,25.73,6.48,39.91,59.56,54.44,7.08,25.5,8.05,1.828,HLTH_EHIS_DIET,0.6943,2025-10-09
2008,HU,LT183,35_44,F,15.5,4.57,30.47,37.75,7.68,45.83,38.8,49.96,5.1,16.59,5.08,1.597,HLTH_EHIS_MH,3.7783,2024-06-06
2009,NL,LT760,75_PLUS,M,32.62,6.92,35.93,27.5,11.73,77.03,62.76,31.51,6.51,15.59,8.29,1.179,HLTH_EHIS_ALCO,4.232,2024-09-21
2010,SE,CZ46,45_54,X,11.03,4.0,22.13,48.21,12.38,40.48,55.94,50.9,4.53,17.75,2.89,0.991,HLTH_EHIS_PA,0.7571,2025-06-01
2011,DK,DK898,15_24,F,12.72,1.05,16.81,46.94,9.48,72.0,52.39,35.38,5.73,17.32,4.96,0.996,HLTH_EHIS_SMOK,3.8674,2024-10-16
2012,IE,BG387,55_64,M,23.84,9.35,19.9,28.95,4.7,52.8,53.87,59.67,8.54,36.18,4.94,0.607,HLTH_EHIS_DIET,2.9876,2025-03-02
2013,PL,DE9,25_34,X,24.19,2.33,12.0,74.92,5.42,62.64,71.83,39.18,5.42,17.88,5.26,1.339,HLTH_EHIS_MH,4.5543,2025-04-26
2014,AT,AT87,65_74,F,12.3,7.88,31.86,54.64,8.68,51.5,41.66,50.45,4.61,35.56,6.01,2.196,HLTH_EHIS_ALCO,2.7043,2025-07-14
2015,EE,DK35,35_44,M,31.87,12.06,23.82,37.09,10.84,41.6,65.67,40.38,5.71,10.72,1.85,2.033,HLTH_EHIS_PA,4.3624,2025-03-19
2016,IT,SE357,75_PLUS,X,26.41,11.25,9.47,56.21,8.6,41.64,27.65,12.19,7.16,20.64,4.62,2.211,HLTH_EHIS_SMOK,3.3238,2026-01-29
2017,PT,BE28,45_54,F,17.2,8.31,4.63,40.94,6.44,47.05,36.13,50.9,5.96,28.4,4.55,2.294,HLTH_EHIS_DIET,1.9879,2025-08-14
2018,BE,DE305,15_24,M,19.62,14.21,24.62,78.81,8.19,50.16,22.76,45.6,7.59,9.7,4.14,1.95,HLTH_EHIS_MH,4.4803,2024-07-05
2019,FI,GR6,55_64,X,30.04,3.45,6.08,53.07,5.99,64.67,75.17,49.08,5.9,19.12,2.09,1.364,HLTH_EHIS_ALCO,1.1804,2024-12-27
2020,LV,CZ146,25_34,F,8.16,1.98,17.88,81.04,6.87,51.71,23.27,18.73,6.28,22.1,5.58,1.331,HLTH_EHIS_PA,1.4625,2024-01-18
2021,RO,ES388,65_74,M,31.04,12.92,15.16,48.29,6.55,39.62,59.8,30.97,4.85,20.17,8.34,0.784,HLTH_EHIS_SMOK,1.4427,2025-10-13
2022,BG,LT68,35_44,X,11.79,7.84,6.48,54.45,8.96,66.2,25.85,36.09,7.22,14.84,8.41,1.23,HLTH_EHIS_DIET,3.9487,2025-10-28
2023,FR,SI51,75_PLUS,F,26.52,8.93,28.66,37.52,4.98,55.37,36.5,13.27,5.51,18.93,4.63,2.898,HLTH_EHIS_MH,1.7786,2024-12-30
2024,LT,DK413,45_54,M,10.8,12.48,20.06,43.54,12.29,53.29,58.16,27.78,7.51,14.57,8.58,1.263,HLTH_EHIS_ALCO,0.4075,2025-11-06
2025,SK,RO680,15_24,X,7.6,4.75,8.45,60.68,3.81,69.01,30.66,30.99,7.82,17.51,9.34,1.29,HLTH_EHIS_PA,4.3995,2026-01-22
2006,HR,LT66,55_64,F,19.66,9.71,19.58,47.74,12.46,72.4,25.75,23.49,5.33,14.26,2.16,0.967,HLTH_EHIS_SMOK,3.1107,2024-04-22
2007,DE,IE10,25_34,M,20.1,7.98,20.82,45.32,5.59,74.63,56.94,29.58,6.49,17.91,4.36,0.332,HLTH_EHIS_DIET,0.6446,2026-02-25
2008,LU,NL663,65_74,X,13.15,3.45,16.57,65.68,7.08,48.37,49.98,45.5,4.98,31.18,6.23,2.643,HLTH_EHIS_MH,3.5621,2024-06-29
2009,SI,BG608,35_44,F,23.58,10.71,28.12,24.8,7.86,51.02,35.47,13.03,5.97,24.73,7.8,1.131,HLTH_EHIS_ALCO,1.2651,2024-06-26
2010,CY,SE63,75_PLUS,M,18.66,5.21,6.77,38.63,7.52,64.32,41.64,25.16,5.64,28.76,3.75,1.124,HLTH_EHIS_PA,3.6007,2026-01-29
2011,GR,LT85,45_54,X,20.86,12.91,12.98,32.75,8.05,40.83,26.79,33.52,6.08,24.8,3.61,2.311,HLTH_EHIS_SMOK,0.2043,2024-08-26
2012,MT,BG322,15_24,F,19.76,3.35,14.35,62.17,8.57,50.12,41.6,33.38,5.93,22.64,3.56,0.39,HLTH_EHIS_DIET,4.3107,2024-04-01
2013,ES,LU2,55_64,M,27.0,2.84,24.92,38.33,6.85,52.69,54.14,41.2,6.4,35.49,6.08,1.078,HLTH_EHIS_MH,4.0835,2025-11-07
2014,CZ,MT496,25_34,X,26.0,3.54,8.37,35.98,10.13,74.19,25.71,24.38,5.37,13.88,10.25,0.617,HLTH_EHIS_ALCO,1.2003,2025-04-26
2015,HU,PL117,65_74,F,15.54,5.18,23.2,68.46,6.38,44.17,21.77,34.79,7.31,10.61,8.3,3.216,HLTH_EHIS_PA,1.2977,2024-12-11
2016,NL,FR308,35_44,M,9.35,14.43,17.96,64.49,8.35,52.19,22.22,45.99,6.68,15.31,8.27,0.638,HLTH_EHIS_SMOK,2.0847,2026-02-21
2017,SE,GR355,75_PLUS,X,20.11,1.21,26.84,28.7,9.88,41.14,65.5,34.27,4.56,27.15,7.36,2.256,HLTH_EHIS_DIET,2.731,2024-09-10
2018,DK,ES674,45_54,F,17.48,11.24,6.53,61.17,7.59,67.39,73.95,60.86,5.51,30.15,8.53,2.007,HLTH_EHIS_MH,1.6757,2024-12-19
2019,IE,FR431,15_24,M,17.86,13.33,24.59,74.21,9.3,71.31,24.71,55.04,5.16,24.14,6.02,1.152,HLTH_EHIS_ALCO,0.2903,2025-07-20
2020,PL,SK21,55_64,X,22.64,6.13,4.46,36.82,10.3,33.53,45.18,26.27,5.67,28.15,2.57,2.073,HLTH_EHIS_PA,1.8048,2025-07-18
2021,AT,SI475,25_34,F,24.0,4.71,27.62,42.04,5.0,54.43,25.57,40.77,5.8,15.64,5.7,0.276,HLTH_EHIS_SMOK,3.6089,2024-02-26
2022,EE,SI64,65_74,M,8.98,13.99,8.3,29.8,7.59,63.29,69.82,50.05,6.45,27.7,4.64,2.746,HLTH_EHIS_DIET,3.0679,2025-06-19
2023,IT,NL387,35_44,X,11.06,4.52,9.64,59.8,10.76,39.12,45.64,14.49,6.08,25.98,7.91,0.782,HLTH_EHIS_MH,4.6583,2024-05-08
2024,PT,SI9,75_PLUS,F,25.91,12.47,13.84,49.41,4.53,70.86,46.12,55.02,6.86,15.62,8.52,0.565,HLTH_EHIS_ALCO,1.4917,2025-10-29
2025,BE,BE659,45_54,M,12.73,5.21,9.76,57.44,5.03,40.57,25.76,13.36,5.94,25.91,4.07,1.735,HLTH_EHIS_PA,2.3174,2025-08-20
2006,FI,ES369,15_24,X,19.23,10.68,12.42,54.29,7.32,43.5,50.02,34.05,7.57,20.05,4.71,1.214,HLTH_EHIS_SMOK,1.5305,2025-03-21
2007,LV,HU25,55_64,F,21.22,11.52,28.72,52.93,9.14,75.52,71.96,36.68,6.89,30.92,8.46,2.32,HLTH_EHIS_DIET,1.4569,2025-04-19
2008,RO,NL291,25_34,M,31.53,5.44,23.43,63.56,9.92,68.32,43.9,44.81,6.03,25.86,10.27,1.772,HLTH_EHIS_MH,1.8319,2025-10-26
2009,BG,DK89,65_74,X,28.95,2.31,28.69,47.16,9.3,61.46,43.16,24.73,6.89,20.95,3.26,2.328,HLTH_EHIS_ALCO,0.9568,2024-01-09
2010,FR,HU228,35_44,F,18.98,4.24,30.03,71.41,8.99,40.88,55.21,33.54,5.59,13.37,1.87,1.822,HLTH_EHIS_PA,4.2296,2025-07-14
2011,LT,HR130,75_PLUS,M,29.49,10.36,17.13,44.26,11.57,67.54,68.13,11.55,7.07,10.21,7.42,0.725,HLTH_EHIS_SMOK,1.9386,2025-08-09
2012,SK,BE1,45_54,X,25.35,12.72,23.43,40.98,8.32,40.56,42.12,38.59,6.77,16.69,6.71,1.759,HLTH_EHIS_DIET,4.062,2025-04-05
2013,HR,EE27,15_24,F,22.69,3.06,18.92,49.57,6.36,74.21,63.69,44.37,6.76,32.4,10.28,0.26,HLTH_EHIS_MH,1.3024,2024-03-19
