gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_nic_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_inr,gov_contract_ceiling_value_inr,gov_contract_obligated_amount_inr,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_ncoioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2025-04-29,GOV2K9HX,GOVXEIGY,GOVLNMMW,GOV9ceea7e0fa72,GOVBTX5E,GOV563HO,4865643,692425,54267,val_eb89_00010,val_eb89_00010,GOVeb800010,GOVRIKM3,1,0,1,1,1,79.25
2018-09-11,GOV0H8NC,GOVM3UZN,GOV9L2HN,GOVb10da2a4be79,GOVQYWI9,GOVRMDXG,782868,551986,305024243,val_eb89_00011,val_eb89_00011,GOVeb800011,GOVQTEBZ,1,1,1,1,1,76.45
2024-08-29,GOVANKWM,GOVQNI3F,GOVG2JVO,GOVfcd2c68d5ea1,GOVCPK50,GOVTO2PR,425314118,6463858,523240,val_eb89_00012,val_eb89_00012,GOVeb800012,GOV0MHQ9,0,0,1,1,0,66.21
2021-12-12,GOVY760G,GOVO2Q2W,GOVONNXU,GOVfce36671ae05,GOV4J1X6,GOVWHSOJ,9673609,165076888,67183,val_eb89_00013,val_eb89_00013,GOVeb800013,GOV643LK,1,1,0,1,1,15.23
2025-02-19,GOVNBYS4,GOV541KE,GOVEK9F7,GOV871c7c85c151,GOV0IKK1,GOV6TYDW,34907297,3825404,335036,val_eb89_00014,val_eb89_00014,GOVeb800014,GOVQL8IA,1,1,1,1,1,47.19
2018-11-03,GOVPOVML,GOVWJ341,GOVH8DNI,GOVa8a5b3130cab,GOV7DS3H,GOVRWSM3,524115,58673,688206,val_eb89_00015,val_eb89_00015,GOVeb800015,GOVCTYDV,0,0,1,0,0,91.55
2020-11-03,GOVN8DUR,GOV58GX9,GOVRDXT9,GOV6f79d7ebe5e3,GOVTHQZ4,GOVMA8TD,456826,71836,445986797,val_eb89_00016,val_eb89_00016,GOVeb800016,GOVYRGUW,0,1,1,0,0,32.87
2018-11-11,GOVX24ZI,GOVRTPHQ,GOV0F34Q,GOV0149f6266980,GOVEWH4F,GOVOQT0I,71254133,88268,68286,val_eb89_00017,val_eb89_00017,GOVeb800017,GOVWK3VG,1,0,0,1,1,79.12
2019-02-26,GOVWW5U9,GOVXZ1Z4,GOVYWWMQ,GOV51755fde59b5,GOVGUXZ4,GOVM0FX5,818384,21911636,7416078,val_eb89_00018,val_eb89_00018,GOVeb800018,GOVUWT1P,1,0,1,0,1,56.96
2023-06-17,GOV9FSAF,GOVCXKZR,GOVDSILL,GOV1689a1a498d1,GOVWF4KW,GOVJBAWH,49950,67416,6674223,val_eb89_00019,val_eb89_00019,GOVeb800019,GOV8YN3F,1,0,1,1,0,84.87
2025-06-16,GOVJ8C27,GOV9ADMT,GOV1PIDX,GOV675a838079fb,GOVXZ297,GOV8YPR2,83359723,22687348,34890,val_eb89_00020,val_eb89_00020,GOVeb800020,GOV5Z8BA,1,0,1,0,0,64.76
2021-09-23,GOVZFFNG,GOVCFRJ0,GOVB2PAZ,GOV5d24f9bce64c,GOV1UMBQ,GOV4PAOU,8298760,3646285,330506,val_eb89_00021,val_eb89_00021,GOVeb800021,GOVXHXK1,0,0,1,1,1,29.32
2020-09-09,GOVAVT30,GOVV0KP0,GOVAMZ88,GOV6ab119ce6dd3,GOVVKLK1,GOVSV0Z5,6571079,216116,4269741,val_eb89_00022,val_eb89_00022,GOVeb800022,GOVQZUZ8,0,1,1,1,0,32.45
2018-10-23,GOV6ET58,GOVZR1QT,GOVPBOGL,GOV1c6391d7ea30,GOVIP2ZU,GOVBJYOI,6856837,4531408,482588,val_eb89_00023,val_eb89_00023,GOVeb800023,GOVDR31F,0,0,1,1,1,28.0
2024-02-12,GOVJ9C9A,GOVHWHMP,GOVDNB10,GOV9437cf6823e4,GOV7UJ8I,GOVQN362,613029526,70568771,581647,val_eb89_00024,val_eb89_00024,GOVeb800024,GOVL1PB7,1,1,0,0,0,29.55
2021-03-01,GOV4ZXDS,GOVZTQKJ,GOV2IQMS,GOV03e09c2533f0,GOVB3UO6,GOVDGX6Y,3722124,529662,560463,val_eb89_00025,val_eb89_00025,GOVeb800025,GOV409CX,0,1,1,0,0,9.34
2025-07-16,GOVH40O2,GOV8LM3L,GOVMLHI7,GOVc62f80cb7dd6,GOVG49I9,GOVFDNXT,670282507,2473030,387566035,val_eb89_00026,val_eb89_00026,GOVeb800026,GOVNA0AS,0,0,0,0,1,10.59
2018-04-02,GOVJSI80,GOVXB8YQ,GOVQA3TU,GOV39bfaa8a1af7,GOVZEXMC,GOVBHGMV,57364,370813947,49000232,val_eb89_00027,val_eb89_00027,GOVeb800027,GOVXNC7F,0,1,1,1,0,1.57
2023-05-06,GOVR1ZD8,GOV5VUMI,GOVLCM7S,GOVc2189c0b850f,GOVEVIV6,GOVFWQIP,34053,339327,26889,val_eb89_00028,val_eb89_00028,GOVeb800028,GOVXERBO,1,1,1,1,0,56.91
2022-08-27,GOV4CN9D,GOVVMEO9,GOVFFNUM,GOVb9776d5086be,GOV3H91Z,GOVF4AEB,540672764,5528683,36422,val_eb89_00029,val_eb89_00029,GOVeb800029,GOVTQUIZ,1,1,1,0,0,82.31
2024-08-19,GOVT5EBS,GOVHZ5FM,GOVHKIWC,GOV4e4f2b14eec1,GOV3OVJO,GOV850Z5,3752814,84630,4391937,val_eb89_00030,val_eb89_00030,GOVeb800030,GOVWJFLC,1,0,1,0,0,78.46
2021-12-02,GOVR53WC,GOVGGULN,GOVZOI9X,GOV9e86c0da4f28,GOV6PDCS,GOVBAQQ2,578482014,77933,5318392,val_eb89_00031,val_eb89_00031,GOVeb800031,GOVZNIQN,1,1,0,1,1,86.61
2025-01-23,GOVGC7NP,GOV37RI7,GOVE7UVN,GOV2914802660f1,GOV4IFT8,GOVMX5U8,695956,561714,47745,val_eb89_00032,val_eb89_00032,GOVeb800032,GOVERHTE,1,0,0,0,0,71.69
2021-08-27,GOV8KD0S,GOVB4E87,GOVIXGDQ,GOV3ca6626f6804,GOVYOINK,GOVUBGM0,8784840,716897,42979960,val_eb89_00033,val_eb89_00033,GOVeb800033,GOVGO21H,1,0,0,0,0,24.99
2020-07-13,GOVHDICU,GOVOYS8L,GOVIKM6W,GOVd3183df39593,GOVMWLKX,GOVB0J8E,583221887,546528,278750124,val_eb89_00034,val_eb89_00034,GOVeb800034,GOV05JFO,0,1,1,1,0,28.68
2025-02-12,GOVDNDUL,GOV83D1X,GOVO8KMB,GOV38ccf9383f19,GOVP005M,GOVB4USL,53683814,47359976,4395489,val_eb89_00035,val_eb89_00035,GOVeb800035,GOV31HZP,0,1,1,1,1,35.09
2018-11-15,GOVBCAU5,GOVOU86T,GOV61UPH,GOV6449c758499e,GOVFQR6H,GOVVWSWZ,385254,351536,2436680,val_eb89_00036,val_eb89_00036,GOVeb800036,GOV6QL39,0,1,1,0,0,64.4
2020-12-31,GOV3YCB0,GOVZ9RAV,GOVJS2SQ,GOVea6665ff9834,GOVD3Q9N,GOVJMKD2,431031898,41437998,4810666,val_eb89_00037,val_eb89_00037,GOVeb800037,GOVRLEM9,0,1,0,1,0,58.69
2019-04-14,GOVSRZ84,GOVEGR4P,GOV4UTKY,GOV8dc2549821ab,GOVXD5KR,GOVFIS71,472738,449190,71385,val_eb89_00038,val_eb89_00038,GOVeb800038,GOVCK5SR,1,0,1,1,0,78.7
2022-02-03,GOVAVTVE,GOV15AFW,GOVCTOKK,GOV2e444da7201e,GOVZWH4M,GOVFGMMZ,2869297,23975425,378595,val_eb89_00039,val_eb89_00039,GOVeb800039,GOVZA6G4,0,1,1,0,1,81.16
2022-05-23,GOVLGRSM,GOVUSU7D,GOV4Q5NP,GOV4dc78db84bec,GOVA3ZFG,GOVI3EO0,23673537,517032162,38717768,val_eb89_00040,val_eb89_00040,GOVeb800040,GOV2YHEL,1,1,1,0,0,71.69
2020-05-26,GOV6LCT9,GOVUQ9V8,GOVAXKNM,GOVeaf9835d2b2a,GOVVHJNV,GOVKGB14,50535,60789,70571,val_eb89_00041,val_eb89_00041,GOVeb800041,GOV302WB,1,0,0,0,0,54.28
2020-07-27,GOV60TXC,GOVMMPJY,GOV694KD,GOV601c2dc32d8e,GOVV6H03,GOVNHLPR,4812925,357118,2060094,val_eb89_00042,val_eb89_00042,GOVeb800042,GOVQLCY5,0,0,0,1,0,93.28
2022-06-04,GOV9F3AX,GOVZVIZ4,GOVI68B8,GOV5c8d6ab4baf4,GOVSQKLD,GOV2GH9R,34915443,599779394,2204839,val_eb89_00043,val_eb89_00043,GOVeb800043,GOV4ZZ4Y,0,0,0,1,0,18.95
2018-05-19,GOVAKSSS,GOVP6AFI,GOVPZOOJ,GOV28b1dbcf622e,GOVDIQCR,GOVWA251,6438988,4220417,7048550,val_eb89_00044,val_eb89_00044,GOVeb800044,GOVWWJ18,0,1,0,1,1,44.4
2023-06-10,GOVGEDEP,GOV5H6JS,GOVR7LNW,GOVabaa81c62572,GOVR7UU7,GOV3AHAU,293843,807427,64885058,val_eb89_00045,val_eb89_00045,GOVeb800045,GOVNXDCD,0,1,1,0,0,94.92
2020-07-13,GOV5HZEA,GOVF29KY,GOV9Y1YN,GOVbabcd50e96e7,GOVRXXDU,GOV9XE1E,6050871,46541257,46765,val_eb89_00046,val_eb89_00046,GOVeb800046,GOVS8LX3,0,0,0,0,1,71.5
2021-12-07,GOVBZ7X3,GOVO0E50,GOVA6G94,GOV021d6c3c5384,GOVDUQSQ,GOVIEXTC,473308525,61525151,54785,val_eb89_00047,val_eb89_00047,GOVeb800047,GOVUGCDZ,1,0,1,1,1,60.74
2018-02-23,GOV573XW,GOV43DDH,GOVUIXU1,GOV7b1641b9d55b,GOVQF51R,GOV1RGUR,4460125,380112,782905,val_eb89_00048,val_eb89_00048,GOVeb800048,GOV22VCT,1,1,0,1,1,43.19
2019-04-17,GOV9M6F9,GOV8ULBL,GOVQ4V0R,GOV0eb317d21999,GOVPO3BP,GOVJET5R,21327129,638641601,376000,val_eb89_00049,val_eb89_00049,GOVeb800049,GOV4HWEG,1,0,1,0,0,28.63
2023-05-20,GOV0NXUX,GOVDLUFV,GOVK07H3,GOVc58213a55cb6,GOVN07QD,GOVW27MU,58004,527544,446476848,val_eb89_00050,val_eb89_00050,GOVeb800050,GOV2V6SV,1,1,1,0,0,12.54
2024-06-16,GOV0VPK7,GOVIVR4B,GOVO9D13,GOVf4d889fa2076,GOV4HY0B,GOV0PGXT,536132,35685796,222597659,val_eb89_00051,val_eb89_00051,GOVeb800051,GOVGUFDE,0,0,0,1,0,60.64
2021-02-15,GOVY06QS,GOVCVMPJ,GOVR2RM5,GOV9db13ab92ca7,GOVNP1WZ,GOVL1FAO,75258,71360781,7642308,val_eb89_00052,val_eb89_00052,GOVeb800052,GOV6NZA5,0,0,1,0,0,26.94
2021-07-27,GOVEH7GK,GOVGDPAW,GOVO8L3B,GOV572ba1e00a01,GOVUDBD9,GOVU80DE,47940839,5167363,565237,val_eb89_00053,val_eb89_00053,GOVeb800053,GOVZ4JBH,0,1,0,0,0,31.9
2023-05-26,GOV83CWU,GOV34V6K,GOVWPW8V,GOV23773cbfbce3,GOV7UKP3,GOVUYRSX,84768,36861,7506122,val_eb89_00054,val_eb89_00054,GOVeb800054,GOVZQQLE,1,0,0,0,0,53.82
2024-06-22,GOVOQOEV,GOVI0FYE,GOVA66S5,GOVab50b1baaf0b,GOVFKEZE,GOVM35G4,66808295,604901291,543984,val_eb89_00055,val_eb89_00055,GOVeb800055,GOVLIBIF,0,1,1,1,1,16.18
2018-05-21,GOVURK48,GOVQ4WUY,GOVJ1VIX,GOV3244b493ff25,GOVE5H91,GOVL9WY3,55543702,11382276,44254150,val_eb89_00056,val_eb89_00056,GOVeb800056,GOVK7IT4,1,0,1,1,1,93.33
2020-12-08,GOVSY428,GOVU9M7T,GOVE9QDN,GOVdb33b2242ba7,GOV1PMDJ,GOVBZABJ,712181551,41678,69896,val_eb89_00057,val_eb89_00057,GOVeb800057,GOVIA3IC,0,0,1,0,1,59.02
2018-08-16,GOVFL0TX,GOVEH5IB,GOVZ9OGN,GOVa24d1795f3ac,GOVZAI16,GOVYXIND,281223,5536067,305843070,val_eb89_00058,val_eb89_00058,GOVeb800058,GOVTEHIZ,0,0,0,1,1,69.39
2018-01-18,GOVQHEVM,GOVH37HM,GOVXXTS9,GOV241a0344876f,GOVIJR1X,GOVBID0S,42731794,57439,1037374,val_eb89_00059,val_eb89_00059,GOVeb800059,GOV24W5J,0,1,1,1,0,2.69
2019-09-24,GOVNMLJG,GOVG0QAI,GOV9EEHA,GOV2db6375aa177,GOVX1KHB,GOVAOPR3,6247111,602826,53741,val_eb89_00060,val_eb89_00060,GOVeb800060,GOVITF2D,1,1,0,1,1,70.12
2018-01-10,GOVAHBV4,GOVCYOKD,GOV4RWMP,GOV9753aedfe6ec,GOVYCJBF,GOV58LXY,345991,452297,5066515,val_eb89_00061,val_eb89_00061,GOVeb800061,GOV1FQ7Z,0,0,0,1,1,50.43
2025-08-18,GOVTPBUF,GOVMK5RY,GOVVO6FR,GOV16af376bcd9e,GOVBA7M0,GOVOR6NK,31359908,441817,236481,val_eb89_00062,val_eb89_00062,GOVeb800062,GOVCX1J3,0,1,0,0,0,25.23
2022-12-15,GOVI8OJ8,GOVVZN4N,GOV2VN8S,GOV13bd79118584,GOV5WEAU,GOVYN4A9,555235671,324188010,732697,val_eb89_00063,val_eb89_00063,GOVeb800063,GOVSMCVJ,0,1,0,0,0,65.8
2024-06-29,GOV81ZUA,GOV4A7Z3,GOVJSEUP,GOV6bd21ecde300,GOV19LLS,GOVUTHFA,68536,43336106,53728257,val_eb89_00064,val_eb89_00064,GOVeb800064,GOVRYZJS,0,1,1,0,0,49.22
2024-08-25,GOV8E7IB,GOV4DK7M,GOV3WZVF,GOVf64e373ba768,GOV1YDGU,GOVUDA6N,571802495,8065564,327627713,val_eb89_00065,val_eb89_00065,GOVeb800065,GOVWQ23R,0,0,1,0,1,15.69
2025-11-08,GOVRMHMK,GOV6ZP32,GOVIIHNM,GOV1aa992d27ebc,GOVE72TP,GOVCWUOB,7605302,475328,82593,val_eb89_00066,val_eb89_00066,GOVeb800066,GOVFA5IB,0,0,1,0,0,13.66
2021-06-23,GOVPZ8ZT,GOV9N3KF,GOVMJARP,GOV37a7868c47a3,GOVM0W58,GOV4MRXG,58103508,72174469,546468671,val_eb89_00067,val_eb89_00067,GOVeb800067,GOVGPQSJ,1,1,1,0,1,80.25
2018-12-22,GOVA5U7H,GOV0VY2O,GOVAZYHK,GOV98a07fb1a2a2,GOV5MT3I,GOVDR397,5983820,487018,3234971,val_eb89_00068,val_eb89_00068,GOVeb800068,GOVHFHG8,1,1,1,0,1,16.46
2023-06-28,GOVBECLQ,GOVA3H6V,GOVDTH8Y,GOVe3a6e55ee04d,GOVDDO44,GOVMG0UB,6626327,6417174,61807,val_eb89_00069,val_eb89_00069,GOVeb800069,GOV1WJUC,1,1,1,0,0,98.9
2024-07-18,GOVDT0XV,GOVBTMSB,GOVF4Y47,GOV6ccad1ba9440,GOVZ3C63,GOV8OHBX,66424,7903193,867485,val_eb89_00070,val_eb89_00070,GOVeb800070,GOVKQJ1T,1,0,1,1,0,81.57
2018-07-09,GOVJK9WA,GOVJKLD3,GOV7S07U,GOV651c4232a71c,GOV6J6BE,GOV4EZXC,712580,502875,503829665,val_eb89_00071,val_eb89_00071,GOVeb800071,GOVK6SAC,1,0,1,1,1,38.23
2020-09-11,GOV4GS0L,GOVYSVTG,GOVV5WNF,GOV5c26fc5fe5a9,GOVNR8HZ,GOVT98IL,6153494,229841,1448725,val_eb89_00072,val_eb89_00072,GOVeb800072,GOV3JCIO,1,1,0,0,1,65.29
2025-02-14,GOVJBH5I,GOV4I90F,GOVLUDL7,GOV6076235bb6c7,GOVOSHRU,GOVA2QAI,6376191,55107,814893085,val_eb89_00073,val_eb89_00073,GOVeb800073,GOVUCQHN,0,1,0,1,0,82.68
2018-11-29,GOVSS8J6,GOV250MO,GOVY01XG,GOVafd462459a06,GOV6IPO0,GOV36940,6392244,59078410,5973518,val_eb89_00074,val_eb89_00074,GOVeb800074,GOVRIALZ,1,0,0,0,1,37.93
2022-10-11,GOVPSMUV,GOVPD6GW,GOVYSWDM,GOVc40085201a7f,GOVEYC67,GOVBIZ3Z,16590,44941,83127468,val_eb89_00075,val_eb89_00075,GOVeb800075,GOVR396K,1,1,0,0,0,51.16
2020-03-14,GOVNW5QV,GOVPOKO4,GOVDOOPX,GOVca23ec3c3ac6,GOVHXCYV,GOV1J92C,522716,366252588,54798802,val_eb89_00076,val_eb89_00076,GOVeb800076,GOVD9U03,1,0,1,1,0,27.57
2025-11-06,GOV4L47Q,GOVGZ5S6,GOVHHFJ1,GOV2eb32a9bf425,GOVY4VIV,GOVFTQO4,719905409,63890172,29180,val_eb89_00077,val_eb89_00077,GOVeb800077,GOVH600W,0,1,0,1,1,12.21
2023-04-02,GOV64V5X,GOVY3TUH,GOVTCSPT,GOV9fd564f34f6b,GOV4XZ14,GOVP9GDD,468047125,408030,3183816,val_eb89_00078,val_eb89_00078,GOVeb800078,GOVRYV09,1,1,0,0,1,10.99
2026-01-02,GOV7E5DL,GOV2V79I,GOVRFHP5,GOVbfbddbf7a4b4,GOVYDHWV,GOVGT0OZ,47528,47407464,16957,val_eb89_00079,val_eb89_00079,GOVeb800079,GOVZY67U,0,0,1,1,1,3.31
2022-06-24,GOVZC1B0,GOVWSY5V,GOVOQB3C,GOVdf349796eee4,GOVS5LFN,GOVTWKUZ,56628311,275771,886344,val_eb89_00080,val_eb89_00080,GOVeb800080,GOV5HGJ9,1,1,0,0,1,35.75
2019-05-04,GOV9ZKXP,GOV9HGL8,GOVBZHLD,GOV04626ca6e3c3,GOVKHV5G,GOVLCZLC,50736,31079,45614,val_eb89_00081,val_eb89_00081,GOVeb800081,GOVO5JMM,0,0,1,0,0,47.74
2019-10-12,GOVNY56H,GOV11IAM,GOVV7ORA,GOV3aeef0b33065,GOVC3CLA,GOV81OT0,5389284,307939300,43016,val_eb89_00082,val_eb89_00082,GOVeb800082,GOV76MLW,0,0,1,1,1,50.02
2022-12-31,GOVJNJKZ,GOV1CZAQ,GOVDNS3K,GOVaa21777c59d3,GOVM82YM,GOVI8BZN,906327595,389595316,64194985,val_eb89_00083,val_eb89_00083,GOVeb800083,GOVE3TQI,1,1,1,1,0,74.16
2022-09-26,GOVPCYQO,GOVROM66,GOV3TNBB,GOVdecbc78c04ad,GOVQFB0B,GOVBFXS0,48094,214173164,606538,val_eb89_00084,val_eb89_00084,GOVeb800084,GOV392DD,0,0,0,1,0,55.99
2024-08-23,GOVLN7KN,GOVVDNQ2,GOVXSOCL,GOV8aadfdadf69c,GOV8YC3H,GOVIXWNQ,712124,501136,36367716,val_eb89_00085,val_eb89_00085,GOVeb800085,GOVANIBH,1,1,0,1,1,22.27
2018-12-14,GOVBKIUM,GOVFLV3X,GOVMI7TK,GOVb4eee6b1c74e,GOVF6XO8,GOVVU0XP,60382,69516,243195,val_eb89_00086,val_eb89_00086,GOVeb800086,GOVUO1BT,0,0,1,1,0,84.27
2022-08-24,GOVG5HET,GOV3EMYA,GOVHVG5J,GOV2aeaf544299d,GOVPFAAM,GOV8RQ2R,354356,34851,38580,val_eb89_00087,val_eb89_00087,GOVeb800087,GOV2H0HN,0,1,0,1,0,75.26
2020-06-01,GOVZ2WB6,GOVJPOJ3,GOVHVJPA,GOV32789efc4eb3,GOV314Q8,GOVC1D4T,404281,95919857,658099276,val_eb89_00088,val_eb89_00088,GOVeb800088,GOVPKHTM,0,0,0,0,0,83.78
2025-05-26,GOVQ6LEN,GOVC4S5X,GOVWVK5T,GOV204c75817ad2,GOVE1YKW,GOVDEU8Z,230045,395762701,565409,val_eb89_00089,val_eb89_00089,GOVeb800089,GOVY2EOR,1,1,1,1,0,53.28
2021-08-01,GOVFAN77,GOVDWMVK,GOVTY8NJ,GOV78f9474d8d9f,GOVV3LAI,GOVGQAEV,486987,673512891,65156558,val_eb89_00090,val_eb89_00090,GOVeb800090,GOVQC0OO,0,0,0,0,1,8.85
2021-04-15,GOVMDAP0,GOVUJ05X,GOVDOE7X,GOV627d4c74edea,GOV2E0SI,GOV4PRG7,546723027,485239661,700915996,val_eb89_00091,val_eb89_00091,GOVeb800091,GOVSLW3Z,0,1,1,0,0,50.04
2024-12-14,GOV0N7G7,GOVUUS1Z,GOVJB4CU,GOVb52933dca409,GOVOCOGJ,GOVMF81E,617770,44735279,744367,val_eb89_00092,val_eb89_00092,GOVeb800092,GOV3JSHF,0,1,1,1,1,42.3
2020-12-30,GOVWIYH0,GOVZSUYP,GOVSNXDZ,GOVd4ee854c3d4d,GOVXMMMZ,GOVQYJYC,479149,322438,925666,val_eb89_00093,val_eb89_00093,GOVeb800093,GOVB7OTK,0,0,0,0,0,85.22
2018-05-07,GOV5FWPG,GOVNST0B,GOVN15GA,GOVb7010598a8cb,GOVZYPVF,GOVBI9NZ,49068,5886026,487047,val_eb89_00094,val_eb89_00094,GOVeb800094,GOVGNJLJ,1,1,1,1,1,93.07
2022-09-11,GOVW6MLS,GOVT3PLK,GOV9DDI7,GOVb37b8689b4a3,GOVJ72C9,GOVQ6JLY,280460,5181097,36598498,val_eb89_00095,val_eb89_00095,GOVeb800095,GOVFC84E,1,0,0,0,1,13.97
2022-11-27,GOV5KJZB,GOV9NQHN,GOV3018R,GOV5733511c2672,GOVJHCPY,GOVVL80I,406143437,629559363,547457534,val_eb89_00096,val_eb89_00096,GOVeb800096,GOVPOK38,1,0,0,0,0,50.73
2020-08-11,GOVLVCXJ,GOVH6M40,GOVJ4GRF,GOV7506ed5ccafe,GOV5BFM1,GOVIKSVY,728188,57538080,67553626,val_eb89_00097,val_eb89_00097,GOVeb800097,GOVC6P91,1,1,0,0,0,97.24
2022-09-21,GOVMKLMG,GOVDT3QF,GOVG87EA,GOV9729b679916a,GOVMT74J,GOVJQ9BP,3842173,2878153,3642787,val_eb89_00098,val_eb89_00098,GOVeb800098,GOV84OQ0,1,0,1,0,1,40.0
2019-10-27,GOVGT5E3,GOVSQREN,GOVPUXOT,GOV5ed72c23ee92,GOV1UP8W,GOVN25UH,533901992,61460843,27238803,val_eb89_00099,val_eb89_00099,GOVeb800099,GOVKIM5E,0,0,1,1,1,30.28
2021-12-08,GOV4SYS5,GOVY06W2,GOVQHUKD,GOVad673f013592,GOVF65JU,GOVBDSM0,562062,661613,64353180,val_eb89_00100,val_eb89_00100,GOVeb800100,GOV3UKM7,0,0,1,0,1,31.04
2018-12-15,GOVGBOL9,GOV7JF73,GOVWZK82,GOVe77d96b02b1d,GOVAB3CX,GOVUMR5V,137485754,78235416,704033,val_eb89_00101,val_eb89_00101,GOVeb800101,GOVFR77H,0,1,1,0,1,78.16
2019-04-18,GOVX23YH,GOVTRZAT,GOV15T6T,GOV0a8a92242925,GOVFN7BH,GOV3R2BZ,457668,253828132,539881,val_eb89_00102,val_eb89_00102,GOVeb800102,GOVBYCFW,1,1,1,1,1,68.34
2019-08-03,GOVJ4X4X,GOV22HJ0,GOVWIRU2,GOV659f964664a2,GOV7W2IY,GOV5KE5U,69123,331538,4334229,val_eb89_00103,val_eb89_00103,GOVeb800103,GOVPF2T9,1,0,0,0,0,31.66
2021-04-24,GOVB9ZOC,GOVV4CZT,GOVZ9TJA,GOV138405889dd4,GOV2ECEK,GOVEN3EA,391411,396269988,6335113,val_eb89_00104,val_eb89_00104,GOVeb800104,GOVSR8WH,0,0,0,0,0,17.6
2022-09-21,GOVLLEHG,GOVN1QIG,GOVTP8KE,GOVd3d2c78c12b4,GOVWHC6I,GOV9MM5E,37611,765807248,872388662,val_eb89_00105,val_eb89_00105,GOVeb800105,GOV6BG2D,1,1,1,1,0,0.9
2021-08-21,GOV66DRW,GOVFTQVZ,GOVL2V1C,GOV79dab4b94a06,GOVON10J,GOVOWWQ1,631024,371278,55238204,val_eb89_00106,val_eb89_00106,GOVeb800106,GOVIJ8QO,1,1,1,0,0,71.3
2023-05-29,GOVCXQT9,GOV0XQ5G,GOVQ809C,GOVc0c7cd4471eb,GOV3XAML,GOVAHEVQ,3918210,56362,62434817,val_eb89_00107,val_eb89_00107,GOVeb800107,GOVQ75JY,0,0,1,1,0,50.74
