edu_hiedpath_term_code,edu_hiedpath_institution_ipeds_id,edu_hiedpath_program_cip_code,edu_hiedpath_student_level,edu_hiedpath_entry_status,edu_hiedpath_credits_attempted,edu_hiedpath_credits_completed,edu_hiedpath_gpa_term,edu_hiedpath_retention_next_term_flag,edu_hiedpath_transfer_out_flag,edu_hiedpath_completion_award_type,edu_hiedpath_time_to_degree_months,edu_hiedpath_student_debt_at_completion,edu_hiedpath_pell_grant_recipient_flag,edu_hiedpath_first_generation_flag,edu_hiedpath_online_course_load_pct,edu_hiedpath_internship_participation_flag,edu_hiedpath_postgrad_employment_rate,edu_hiedpath_median_earnings_1yr,edu_hiedpath_median_earnings_5yr
2023WI,100033,04.8061,UNDERGRAD,FIRST_TIME,15,11,2.07,1,1,CERTIFICATE,30,52293,0,0,42.91,0,77.27,18810,24156
2015SU,100034,03.5351,CERT,FIRST_TIME,16,14,2.05,0,1,BACHELOR,79,57289,1,0,97.5,1,75.22,66729,124467
2020SP,100035,16.7948,UNDERGRAD,CONTINUING,12,12,3.9,0,1,BACHELOR,38,15968,1,1,93.79,1,62.23,80378,118435
2024SU,100036,32.0517,UNDERGRAD,FIRST_TIME,14,10,3.9,1,0,CERTIFICATE,12,35573,1,0,75.21,0,83.67,55166,100113
2015WI,100037,16.8598,GRAD,CONTINUING,17,14,2.55,1,0,CERTIFICATE,94,34587,1,1,31.39,0,72.11,91903,143226
2024FA,100038,52.9078,UNDERGRAD,CONTINUING,13,13,2.23,1,0,BACHELOR,19,82610,0,0,17.37,0,93.33,79675,120111
2013WI,100039,21.0942,GRAD,TRANSFER_IN,14,12,3.48,1,0,MASTER,24,80566,1,0,96.37,0,85.1,66656,93446
2015FA,100040,08.3000,UNDERGRAD,TRANSFER_IN,8,6,1.72,0,0,ASSOCIATE,9,37047,0,0,46.78,1,76.27,81859,128990
2016SU,100041,43.9624,GRAD,CONTINUING,18,13,2.73,1,0,MASTER,38,14117,1,1,6.67,1,94.17,56430,105300
2023FA,100042,04.7662,UNDERGRAD,CONTINUING,17,14,1.56,1,0,ASSOCIATE,15,49671,1,1,48.81,0,83.6,68142,115816
2020FA,100043,47.7061,UNDERGRAD,FIRST_TIME,10,7,3.8,1,0,CERTIFICATE,88,89875,0,0,14.46,0,81.2,79900,129087
2020SP,100044,39.6824,UNDERGRAD,FIRST_TIME,11,10,2.17,0,0,ASSOCIATE,50,50469,1,1,97.92,1,65.34,38941,92253
2024SP,100045,43.9366,UNDERGRAD,TRANSFER_IN,16,14,3.37,1,0,MASTER,40,52293,0,1,38.27,0,82.36,60811,75733
2017SP,100046,16.2787,UNDERGRAD,FIRST_TIME,17,17,2.29,1,0,ASSOCIATE,7,4152,0,1,29.27,1,65.96,33725,54575
2018SP,100047,05.9137,UNDERGRAD,TRANSFER_IN,5,5,2.23,0,0,NONE,29,39686,0,1,13.01,1,62.03,71550,131119
2015SP,100048,15.9744,UNDERGRAD,TRANSFER_IN,4,3,2.7,1,1,NONE,39,10759,0,0,84.59,0,74.32,61805,83344
2016WI,100049,14.7887,GRAD,TRANSFER_IN,10,7,2.27,1,0,CERTIFICATE,52,46693,0,0,43.73,1,71.26,85135,92947
2012WI,100050,17.8635,UNDERGRAD,CONTINUING,10,9,1.92,1,1,MASTER,78,3207,0,0,24.12,0,73.75,52593,59198
2013SU,100051,42.8686,UNDERGRAD,FIRST_TIME,17,15,2.6,1,0,BACHELOR,10,15431,1,0,24.47,1,94.39,92593,112033
2022WI,100052,13.9335,GRAD,TRANSFER_IN,16,13,3.2,0,0,NONE,87,51911,1,0,71.8,1,53.86,64452,126141
2017FA,100053,03.4911,GRAD,FIRST_TIME,14,11,3.27,1,0,CERTIFICATE,13,51621,0,0,15.19,0,80.51,84322,104958
2016SU,100054,25.9260,UNDERGRAD,FIRST_TIME,16,14,2.51,1,0,BACHELOR,79,35603,0,1,47.28,0,97.49,59316,123051
2015WI,100055,25.0479,UNDERGRAD,FIRST_TIME,18,18,3.44,1,0,BACHELOR,23,50577,1,0,53.44,0,58.0,57473,83067
2021FA,100056,27.9388,UNDERGRAD,FIRST_TIME,6,5,2.92,0,0,NONE,69,6674,0,0,74.12,1,57.81,50467,66208
2022SU,100057,53.8986,UNDERGRAD,FIRST_TIME,17,13,2.73,1,0,ASSOCIATE,91,76327,1,0,27.1,1,92.83,64205,73006
2013SP,100058,37.6858,UNDERGRAD,TRANSFER_IN,4,3,2.22,1,0,BACHELOR,20,33934,1,0,42.81,1,60.62,76813,111193
2022FA,100059,52.2666,GRAD,CONTINUING,15,12,3.41,0,0,BACHELOR,96,72432,1,1,30.25,0,80.01,92920,128958
2021SP,100060,33.1160,UNDERGRAD,REENTRY,14,10,1.67,0,0,CERTIFICATE,35,59662,0,0,69.99,0,56.09,26828,74845
2014FA,100061,41.0062,GRAD,FIRST_TIME,14,13,3.33,1,0,ASSOCIATE,24,42114,1,0,9.98,1,75.84,24387,59901
2021WI,100062,07.8618,GRAD,FIRST_TIME,3,2,2.36,0,0,BACHELOR,16,45672,1,0,57.53,0,52.86,65337,111640
2025FA,100063,47.7372,GRAD,FIRST_TIME,11,9,3.69,1,1,NONE,62,43909,0,1,70.19,0,64.3,51907,59792
2025SP,100064,03.3207,UNDERGRAD,REENTRY,18,15,3.39,1,1,BACHELOR,10,13315,1,0,93.79,1,91.2,75002,129527
2025FA,100065,09.0121,UNDERGRAD,TRANSFER_IN,17,13,3.3,0,0,DOCTORAL,90,54146,1,1,51.59,0,68.4,38526,101289
2024SP,100066,04.2496,GRAD,REENTRY,4,3,3.06,1,1,ASSOCIATE,60,28632,1,0,21.65,0,92.75,21527,72960
2014SU,100067,51.3654,GRAD,CONTINUING,4,3,3.58,1,0,ASSOCIATE,35,77322,1,0,20.25,0,74.38,79477,142344
2025WI,100068,26.9063,UNDERGRAD,FIRST_TIME,11,10,1.93,1,0,BACHELOR,44,35306,0,1,38.86,0,97.93,30163,94817
2020SP,100069,14.4665,CERT,TRANSFER_IN,8,8,2.3,1,1,BACHELOR,92,88562,0,0,89.83,0,95.76,31647,78098
2015WI,100070,54.4962,GRAD,REENTRY,7,5,3.04,0,1,ASSOCIATE,73,7239,1,1,29.5,0,79.55,39331,47090
2022SU,100071,04.7517,UNDERGRAD,FIRST_TIME,5,5,1.9,1,0,NONE,34,6456,0,0,98.85,1,81.26,60091,88281
2020FA,100072,27.7036,UNDERGRAD,CONTINUING,18,15,3.99,1,1,ASSOCIATE,80,31282,1,0,51.26,0,97.97,89481,99122
2023SP,100073,09.1134,UNDERGRAD,CONTINUING,15,11,3.29,0,0,CERTIFICATE,54,62023,1,0,43.4,0,94.88,69256,110625
2024SU,100074,36.7477,CERT,TRANSFER_IN,8,8,2.62,1,0,BACHELOR,17,18047,1,1,4.45,1,69.53,80267,101123
2018SU,100075,42.0059,GRAD,FIRST_TIME,12,12,1.81,0,0,BACHELOR,59,25402,0,0,28.14,0,58.39,55637,90708
2025SU,100076,54.8451,UNDERGRAD,CONTINUING,11,8,2.84,1,0,BACHELOR,87,80794,0,0,33.86,1,45.4,24526,89262
2021SP,100077,03.7803,CERT,CONTINUING,6,4,2.95,1,0,ASSOCIATE,85,52142,0,0,95.77,1,78.66,76297,117179
2025SU,100078,12.4781,UNDERGRAD,TRANSFER_IN,18,14,3.19,1,0,BACHELOR,37,73466,0,1,87.59,1,88.97,30851,54476
2015FA,100079,26.0471,UNDERGRAD,REENTRY,10,8,2.83,1,0,ASSOCIATE,27,39232,0,0,42.48,0,57.02,25891,64246
2021WI,100080,12.3885,UNDERGRAD,FIRST_TIME,13,12,3.26,0,0,MASTER,6,21086,0,0,76.76,1,83.59,71302,75465
2019SP,100081,43.4161,UNDERGRAD,CONTINUING,6,4,3.35,0,0,ASSOCIATE,49,10210,1,0,65.53,0,56.31,78038,141481
2015SP,100082,23.1952,GRAD,FIRST_TIME,10,9,2.6,1,1,BACHELOR,23,26697,0,1,96.13,1,68.43,36453,53924
2022FA,100083,03.9149,UNDERGRAD,FIRST_TIME,8,8,2.67,1,1,ASSOCIATE,75,89301,0,0,3.25,0,89.58,54681,87793
2014SP,100084,27.0291,GRAD,CONTINUING,12,10,3.79,1,0,CERTIFICATE,83,69067,0,1,69.32,1,55.06,39170,93212
2025SP,100085,30.7966,UNDERGRAD,TRANSFER_IN,16,15,2.12,0,0,BACHELOR,28,54149,0,1,33.9,1,96.61,88448,119179
2025WI,100086,23.5891,UNDERGRAD,TRANSFER_IN,18,14,2.45,0,0,ASSOCIATE,84,54859,0,0,50.22,0,72.86,83957,124938
2025FA,100087,14.9072,CERT,FIRST_TIME,12,11,3.64,0,0,BACHELOR,17,46685,0,1,96.09,0,58.55,78225,94971
2018SU,100088,20.1268,UNDERGRAD,CONTINUING,8,7,2.47,0,0,CERTIFICATE,23,64984,0,0,1.54,0,79.34,78319,108212
2024FA,100089,07.7442,CERT,TRANSFER_IN,15,14,2.64,1,0,BACHELOR,37,16590,1,0,36.67,0,81.48,60496,90394
2014SP,100090,53.7698,GRAD,CONTINUING,3,2,3.65,1,0,NONE,94,4968,1,1,83.2,0,72.55,35648,98789
2012SP,100091,17.4707,CERT,CONTINUING,17,12,1.59,0,0,CERTIFICATE,77,78358,1,1,12.65,0,74.56,89399,135188
2022SU,100092,43.0023,UNDERGRAD,TRANSFER_IN,17,13,1.96,1,0,MASTER,54,77046,0,1,37.68,0,69.96,84939,149535
2018SP,100093,15.4741,GRAD,CONTINUING,18,16,2.87,0,0,ASSOCIATE,86,7247,0,1,0.86,1,51.66,82088,96470
2019SP,100094,23.9137,UNDERGRAD,FIRST_TIME,13,11,3.47,0,1,MASTER,53,84179,1,1,63.37,0,55.84,78831,82918
2021WI,100095,54.8242,UNDERGRAD,TRANSFER_IN,5,4,2.75,1,0,DOCTORAL,44,57227,0,1,44.75,1,87.87,67295,99501
2019WI,100096,50.0491,UNDERGRAD,FIRST_TIME,9,7,2.89,1,0,NONE,29,85957,1,0,62.47,0,91.91,62682,118833
2012SP,100097,47.0322,UNDERGRAD,TRANSFER_IN,3,3,3.84,0,0,BACHELOR,91,69968,0,0,1.3,0,78.0,34005,81576
2012SU,100098,10.9443,GRAD,FIRST_TIME,13,12,2.13,1,0,BACHELOR,62,81899,1,1,35.7,1,79.06,71934,83826
2022WI,100099,06.2171,UNDERGRAD,FIRST_TIME,4,4,3.35,1,1,ASSOCIATE,52,2793,0,0,92.56,0,56.23,63032,99445
2012WI,100100,28.9280,GRAD,FIRST_TIME,9,7,1.76,1,0,DOCTORAL,37,27803,1,0,35.19,0,90.71,44940,52118
2016FA,100101,24.5431,GRAD,TRANSFER_IN,15,14,3.55,0,1,ASSOCIATE,25,15896,1,1,47.2,1,94.39,60197,118745
2013WI,100102,06.9158,UNDERGRAD,FIRST_TIME,6,6,3.29,1,0,BACHELOR,56,70206,0,0,21.71,1,67.9,70905,86005
2014SU,100103,01.3524,CERT,REENTRY,4,3,2.64,1,1,BACHELOR,19,35898,0,0,76.96,0,59.76,52476,89532
2023FA,100104,18.4252,UNDERGRAD,CONTINUING,6,5,2.48,1,0,BACHELOR,87,20715,1,1,1.41,0,54.22,87026,113940
2021SU,100105,31.6582,GRAD,FIRST_TIME,15,12,2.86,1,0,BACHELOR,85,327,0,0,89.05,0,93.19,68306,100469
2014SP,100106,23.3526,UNDERGRAD,FIRST_TIME,11,10,3.1,1,0,CERTIFICATE,24,73398,1,1,31.95,0,68.73,34516,86630
2014SU,100107,30.3999,UNDERGRAD,FIRST_TIME,14,13,3.6,1,0,CERTIFICATE,12,68916,0,1,66.51,0,80.84,85039,92160
2020SP,100108,07.1835,GRAD,CONTINUING,4,3,2.18,1,0,ASSOCIATE,66,84422,1,1,56.31,1,85.07,22334,64032
2020FA,100109,41.2739,UNDERGRAD,CONTINUING,3,2,2.62,1,1,ASSOCIATE,73,87399,0,0,37.6,1,80.15,80105,97379
2024WI,100110,13.6875,UNDERGRAD,FIRST_TIME,9,6,2.78,1,0,DOCTORAL,69,42357,1,0,20.77,0,88.9,64054,82753
2025FA,100111,53.8721,CERT,REENTRY,13,11,3.57,1,0,CERTIFICATE,25,73423,0,1,80.6,1,62.84,84426,92173
2021SU,100112,06.2647,GRAD,CONTINUING,6,5,2.83,1,0,CERTIFICATE,49,52896,1,1,16.11,0,77.21,85991,96860
2024WI,100113,54.8834,UNDERGRAD,CONTINUING,12,12,1.62,1,0,MASTER,23,40967,0,1,40.24,0,65.07,91816,138349
2022SU,100114,09.5459,UNDERGRAD,CONTINUING,18,14,3.67,1,0,BACHELOR,69,80888,0,0,65.67,1,86.79,30636,52015
2013WI,100115,02.1947,UNDERGRAD,FIRST_TIME,14,14,3.17,1,0,BACHELOR,30,48207,1,0,57.67,0,45.94,48983,92839
2022SU,100116,24.2679,UNDERGRAD,FIRST_TIME,7,6,2.77,1,0,MASTER,95,25665,0,0,26.87,0,65.24,79372,126592
2020WI,100117,31.9072,GRAD,CONTINUING,3,3,2.91,0,0,MASTER,6,2654,1,0,74.92,0,92.41,21835,37328
2025FA,100118,36.6581,UNDERGRAD,CONTINUING,8,7,2.13,0,0,MASTER,6,49597,0,0,84.76,1,67.61,48243,60103
2024SP,100119,33.7791,UNDERGRAD,CONTINUING,18,15,3.0,0,0,ASSOCIATE,54,10443,0,0,52.4,0,76.09,89783,135889
2023WI,100120,37.4623,CERT,TRANSFER_IN,9,9,3.1,1,0,BACHELOR,36,4730,1,1,14.5,1,95.26,86333,122104
2019SU,100121,42.4286,UNDERGRAD,FIRST_TIME,13,11,3.2,1,0,CERTIFICATE,31,63309,0,0,40.54,1,52.58,44556,84743
2017FA,100122,48.6078,GRAD,FIRST_TIME,6,4,1.73,1,0,CERTIFICATE,16,42878,1,0,30.02,1,93.33,61744,96004
2013WI,100123,23.1589,GRAD,REENTRY,9,7,3.07,0,0,BACHELOR,15,50285,1,0,62.18,0,48.33,73205,86475
2022WI,100124,01.1250,UNDERGRAD,REENTRY,8,6,2.53,0,0,DOCTORAL,43,44736,1,0,41.35,1,56.54,60036,74980
2022FA,100125,26.1981,UNDERGRAD,TRANSFER_IN,18,17,1.88,0,0,DOCTORAL,90,30619,0,0,17.51,0,97.37,74585,124925
2015FA,100126,19.8547,UNDERGRAD,REENTRY,8,7,2.43,1,0,BACHELOR,7,77533,0,0,57.92,1,95.2,32574,56889
2023FA,100127,36.4513,UNDERGRAD,FIRST_TIME,3,3,3.59,1,0,MASTER,85,81650,0,0,70.82,0,93.1,38838,62397
2018FA,100128,19.5242,CERT,FIRST_TIME,4,4,2.74,1,0,MASTER,33,80720,0,0,2.34,0,78.19,81678,89330
2023WI,100129,29.2380,UNDERGRAD,TRANSFER_IN,10,8,3.17,1,0,ASSOCIATE,20,14521,1,0,73.4,0,95.38,34047,67346
2025FA,100130,11.5399,UNDERGRAD,FIRST_TIME,18,14,3.39,1,0,CERTIFICATE,35,84918,1,1,70.03,1,64.59,19417,38014
2024SU,100131,07.8040,UNDERGRAD,CONTINUING,12,11,2.2,0,0,CERTIFICATE,85,40359,0,0,56.82,0,52.98,51067,74026
2019SP,100132,10.5135,UNDERGRAD,FIRST_TIME,12,9,3.65,1,0,BACHELOR,62,89742,0,1,38.91,1,59.4,32411,58881
2020SU,100133,54.0791,GRAD,TRANSFER_IN,18,14,2.17,1,0,BACHELOR,52,77502,0,0,95.93,0,60.84,83793,126140
2023WI,100134,30.0172,UNDERGRAD,CONTINUING,8,7,2.54,1,0,MASTER,55,32949,0,1,62.84,1,63.8,94430,123906
2021FA,100135,34.7753,UNDERGRAD,FIRST_TIME,8,6,1.79,1,0,CERTIFICATE,57,30439,0,1,35.31,0,56.15,19988,83454
2018SP,100136,33.1917,GRAD,FIRST_TIME,18,16,2.94,1,0,CERTIFICATE,78,88710,0,0,18.59,0,86.82,34893,81546
2024SP,100137,42.6819,UNDERGRAD,TRANSFER_IN,13,10,2.51,1,1,BACHELOR,55,4071,1,0,90.32,0,93.27,76255,104135
2025SP,100138,35.4330,UNDERGRAD,FIRST_TIME,6,6,3.32,1,1,BACHELOR,27,23545,0,1,15.41,1,65.73,45791,109336
2016SP,100139,52.0022,UNDERGRAD,FIRST_TIME,9,7,3.22,1,0,ASSOCIATE,87,12262,0,1,62.34,1,76.01,54743,65667
2012WI,100140,53.3510,CERT,FIRST_TIME,17,15,3.82,1,0,BACHELOR,16,70239,0,1,12.87,0,72.68,23135,56111
2013FA,100141,48.5121,UNDERGRAD,CONTINUING,7,6,2.35,1,1,CERTIFICATE,72,86773,1,0,79.68,1,82.88,57387,110370
2022FA,100142,24.9383,GRAD,FIRST_TIME,14,10,3.08,0,0,NONE,44,7564,1,0,82.92,0,95.21,65330,76966
2015FA,100143,20.1359,UNDERGRAD,FIRST_TIME,4,3,3.08,1,1,MASTER,91,42721,1,1,46.39,1,91.24,89785,102536
2024FA,100144,45.4483,UNDERGRAD,CONTINUING,3,3,3.03,1,0,ASSOCIATE,76,23135,0,0,8.8,0,49.3,80793,93612
2025SU,100145,45.4991,GRAD,FIRST_TIME,6,5,2.46,1,0,MASTER,53,27409,0,0,85.77,1,68.64,85042,131102
2024FA,100146,03.8247,GRAD,FIRST_TIME,16,12,3.2,1,0,BACHELOR,35,49998,0,1,90.87,1,79.4,33519,87280
2019SU,100147,29.8561,GRAD,CONTINUING,14,13,3.7,1,0,MASTER,21,28827,0,1,0.97,1,83.75,24876,28949
2013SU,100148,29.1745,UNDERGRAD,TRANSFER_IN,18,13,2.16,1,0,MASTER,41,34537,1,0,40.08,0,77.1,74710,82983
2023SP,100149,10.3498,CERT,TRANSFER_IN,15,12,2.67,1,0,ASSOCIATE,88,35282,0,0,24.52,0,46.53,68649,72924
2020SU,100150,04.2077,GRAD,CONTINUING,3,3,2.61,1,0,ASSOCIATE,23,62882,0,1,91.46,0,83.89,29833,36463
2017SP,100151,15.4815,UNDERGRAD,FIRST_TIME,14,12,2.71,1,0,MASTER,27,38219,1,0,54.19,0,54.26,40308,74487
2022FA,100152,29.6192,GRAD,FIRST_TIME,14,10,2.46,0,0,BACHELOR,95,30292,0,0,46.37,0,58.86,21787,84263
2024SP,100153,10.5824,UNDERGRAD,FIRST_TIME,7,7,2.29,0,0,CERTIFICATE,6,58568,1,0,27.54,0,53.55,76733,131132
2025FA,100154,41.1812,UNDERGRAD,REENTRY,13,12,2.28,1,1,ASSOCIATE,89,3033,1,1,21.81,0,91.83,72399,79738
2021SU,100155,14.4298,CERT,REENTRY,7,5,2.94,1,0,ASSOCIATE,28,66435,1,0,14.5,0,59.7,44157,76905
2018FA,100156,42.1343,GRAD,CONTINUING,17,17,3.34,1,0,NONE,76,46335,1,0,95.37,0,66.64,50551,85363
2024SU,100157,24.2312,UNDERGRAD,REENTRY,18,14,2.22,0,0,BACHELOR,9,73290,0,0,30.52,0,50.96,58688,63971
2019FA,100158,08.3060,UNDERGRAD,FIRST_TIME,12,11,3.36,1,0,BACHELOR,92,21600,0,0,54.34,0,65.23,46852,84085
2023WI,100159,43.6018,UNDERGRAD,FIRST_TIME,10,8,2.34,1,0,BACHELOR,61,34421,1,0,84.94,1,60.91,67075,125964
2021SU,100160,28.1599,UNDERGRAD,FIRST_TIME,6,5,3.46,1,0,BACHELOR,30,73376,1,0,31.89,1,53.12,56080,117517
2025FA,100161,34.1682,GRAD,FIRST_TIME,16,13,2.45,1,0,ASSOCIATE,81,28459,1,1,75.48,1,72.38,43788,78604
2015SU,100162,34.4169,UNDERGRAD,CONTINUING,3,2,2.46,1,1,MASTER,34,23731,1,1,79.21,0,50.08,41501,71182
2015SP,100163,20.2214,UNDERGRAD,CONTINUING,16,12,2.57,1,0,NONE,16,52561,1,0,47.5,0,88.88,83197,116276
2012WI,100164,38.2545,UNDERGRAD,FIRST_TIME,9,7,1.79,1,0,NONE,83,74949,0,0,78.7,0,53.07,36840,57632
2019SP,100165,48.6674,UNDERGRAD,REENTRY,4,4,3.34,1,0,CERTIFICATE,96,35489,0,0,34.42,0,74.16,68298,124795
2021SP,100166,17.6605,GRAD,CONTINUING,11,10,2.72,1,0,BACHELOR,22,35636,0,0,63.37,1,97.43,35375,42861
2014SP,100167,12.1115,GRAD,TRANSFER_IN,3,3,1.87,0,0,BACHELOR,60,65201,0,0,62.56,1,80.36,25416,33002
2022WI,100168,19.3400,GRAD,CONTINUING,18,13,1.97,1,0,NONE,33,48989,0,0,31.12,0,51.68,76764,90040
2015SP,100169,25.5253,UNDERGRAD,CONTINUING,8,7,2.08,1,0,NONE,24,33228,1,0,61.78,0,81.35,60129,69134
2025WI,100170,32.8627,UNDERGRAD,TRANSFER_IN,18,18,3.29,1,1,BACHELOR,34,85893,0,1,59.28,1,94.99,93010,103493
2023WI,100171,06.7906,UNDERGRAD,TRANSFER_IN,17,14,1.62,1,0,BACHELOR,40,53704,1,0,85.99,1,72.32,65206,92457
2015WI,100172,44.3238,UNDERGRAD,REENTRY,15,12,1.86,1,0,MASTER,49,72624,0,0,36.03,1,50.38,91726,136898
2013WI,100173,26.9166,GRAD,FIRST_TIME,4,3,3.26,1,0,ASSOCIATE,89,75737,0,1,3.72,1,76.59,52716,90167
2018FA,100174,29.7563,UNDERGRAD,TRANSFER_IN,7,6,2.0,1,1,MASTER,88,85546,1,1,22.66,0,52.34,24502,48960
2013WI,100175,51.4620,UNDERGRAD,CONTINUING,4,4,1.53,1,0,MASTER,64,63904,1,0,23.17,1,59.64,84052,141850
2015WI,100176,24.2218,UNDERGRAD,FIRST_TIME,17,14,2.77,0,0,NONE,15,72115,0,1,60.29,0,66.91,21433,45981
2025SP,100177,04.1553,UNDERGRAD,CONTINUING,12,9,3.93,0,0,BACHELOR,26,21975,0,0,73.74,0,91.02,88995,152998
2013SU,100178,33.8349,GRAD,REENTRY,11,11,2.26,1,1,BACHELOR,46,68468,0,0,79.15,1,53.39,49838,94815
2016WI,100179,53.4804,UNDERGRAD,TRANSFER_IN,14,10,2.34,0,0,BACHELOR,28,2013,1,1,69.82,1,73.53,72313,113137
2013SP,100180,32.3952,UNDERGRAD,TRANSFER_IN,8,8,3.45,0,0,BACHELOR,10,30746,1,0,8.06,1,69.63,71415,81735
2016SU,100181,21.6072,UNDERGRAD,FIRST_TIME,10,9,3.13,1,0,NONE,31,26308,0,0,80.64,0,45.63,59196,121509
2023SP,100182,41.7746,UNDERGRAD,CONTINUING,3,3,2.13,1,0,BACHELOR,6,57935,1,1,47.08,1,81.28,55995,73991
