edu_hiedpath_term_code,edu_hiedpath_institution_aishe_id,edu_hiedpath_program_cip_code,edu_hiedpath_student_level,edu_hiedpath_entry_status,edu_hiedpath_credits_attempted,edu_hiedpath_credits_completed,edu_hiedpath_gpa_term,edu_hiedpath_retention_next_term_flag,edu_hiedpath_transfer_out_flag,edu_hiedpath_completion_award_type,edu_hiedpath_time_to_degree_months,edu_hiedpath_student_debt_at_completion,edu_hiedpath_pell_grant_recipient_flag,edu_hiedpath_first_generation_flag,edu_hiedpath_online_course_load_pct,edu_hiedpath_internship_participation_flag,edu_hiedpath_postgrad_employment_rate,edu_hiedpath_median_earnings_1yr,edu_hiedpath_median_earnings_5yr
2018-TRI1,AISHE643145,CIP2536,UG,Continuing,10,10,6.35,Y,N,PG_Diploma,35,537072.44,Y,Y,36.55,Y,60.26,1327453.31,2569089.61
2019-SEM1,AISHE628861,CIP1725,PG,FirstTime,18,13,5.94,Y,Y,Degree,66,145713.43,Y,N,13.97,Y,79.67,246034.27,1050982.68
2018-TRI3,AISHE423278,CIP4105,Diploma,FirstTime,30,28,6.51,N,N,PhD,83,770925.53,Y,N,47.98,N,93.87,1804662.19,4882517.47
2017-TRI1,AISHE199347,CIP1598,Certificate,ReEntry,31,25,5.77,Y,N,Degree,65,1254899.91,Y,N,32.79,N,92.42,1427576.68,4833997.26
2022-SEM2,AISHE526036,CIP6304,PhD,FirstTime,20,16,6.84,Y,N,Degree,57,1353112.57,Y,N,82.01,N,49.5,2017179.12,4195001.37
2025-TRI3,AISHE415737,CIP3966,UG,Continuing,15,9,5.49,Y,Y,Diploma,28,714031.89,N,Y,56.01,Y,89.89,865655.12,434834.19
2018-TRI2,AISHE360215,CIP7701,Certificate,ReEntry,35,25,5.04,N,Y,PG_Diploma,57,1767629.24,N,Y,80.35,Y,15.77,510558.26,2726800.36
2024-SEM1,AISHE727946,CIP7187,Diploma,Continuing,31,29,5.61,Y,Y,PG_Diploma,12,372345.13,Y,Y,85.31,N,45.79,1342579.04,1419140.19
2021-SEM1,AISHE457538,CIP8473,Certificate,TransferIn,14,14,6.26,N,Y,Certificate,65,66256.15,N,Y,33.35,N,37.36,2078125.18,573989.47
2021-TRI2,AISHE650849,CIP1094,PhD,FirstTime,12,2,8.74,Y,N,Certificate,49,69756.88,N,Y,87.44,Y,37.87,1387400.17,1636055.73
2017-TRI3,AISHE970845,CIP6559,PhD,TransferIn,28,17,7.64,Y,N,Degree,43,2292311.65,Y,Y,87.54,Y,36.98,1204891.35,479797.59
2025-TRI1,AISHE976327,CIP1849,PhD,Continuing,25,23,5.34,Y,N,Degree,6,664218.92,Y,Y,80.23,N,72.22,1990706.52,3016566.19
2017-SEM2,AISHE681637,CIP9190,Certificate,TransferIn,19,12,6.38,Y,Y,PhD,93,1717994.96,Y,N,76.83,Y,95.95,1723654.6,4709585.21
2021-SEM2,AISHE116296,CIP7789,PhD,TransferIn,21,20,6.82,Y,N,Diploma,35,1152189.43,Y,N,91.24,Y,17.08,1133958.15,1479675.6
2022-TRI2,AISHE273601,CIP9531,PG,FirstTime,12,10,8.4,N,N,Degree,16,1634931.51,N,Y,14.41,N,62.25,613218.96,2889677.19
2020-TRI1,AISHE229976,CIP8070,UG,ReEntry,19,11,9.27,N,Y,PG_Diploma,10,35665.83,Y,Y,98.04,N,43.13,806732.84,4364531.26
2022-TRI3,AISHE625004,CIP8826,Diploma,ReEntry,14,5,6.38,Y,Y,PhD,69,649483.25,N,Y,97.71,N,47.17,1350495.21,385440.52
2017-TRI3,AISHE123805,CIP9299,Certificate,TransferIn,15,5,7.86,Y,N,PG_Diploma,41,1582179.24,Y,N,24.33,N,39.51,997722.64,283928.29
2021-TRI3,AISHE491218,CIP7780,PhD,TransferIn,6,5,7.0,Y,Y,Diploma,34,10237.95,N,N,96.1,Y,24.56,1512714.25,4105157.47
2022-TRI3,AISHE543721,CIP5082,Certificate,FirstTime,33,26,5.77,N,Y,PG_Diploma,21,1554401.83,N,Y,23.14,Y,48.43,1357683.48,1444487.82
2023-SEM1,AISHE144872,CIP6968,Diploma,ReEntry,8,4,4.7,N,N,Diploma,76,2239339.87,N,Y,30.04,Y,22.17,749226.79,1610823.22
2022-TRI1,AISHE450253,CIP4614,PG,Continuing,29,19,6.51,Y,Y,Diploma,13,1189048.6,Y,Y,26.28,Y,95.51,1099861.36,1893870.99
2019-SEM2,AISHE418950,CIP9615,UG,ReEntry,6,0,6.67,N,N,Diploma,63,1200699.26,N,N,74.99,N,34.74,1735839.14,4847520.02
2023-TRI3,AISHE209940,CIP5773,UG,ReEntry,26,18,5.4,Y,Y,PG_Diploma,88,108688.02,Y,Y,47.66,N,26.08,775552.34,1169220.27
2021-TRI1,AISHE565510,CIP4097,PG,TransferIn,28,26,7.6,Y,N,Diploma,56,1852071.38,N,N,66.28,Y,46.17,589677.4,3008921.92
2020-TRI1,AISHE841583,CIP2092,UG,Continuing,15,15,9.03,Y,Y,PhD,10,820047.57,N,Y,50.31,N,40.09,882655.15,3293943.66
2023-TRI1,AISHE757952,CIP4314,PG,Continuing,15,15,6.19,N,N,PG_Diploma,15,2390542.63,Y,N,72.25,N,41.09,1384600.98,921030.57
2016-TRI2,AISHE680412,CIP1351,PhD,ReEntry,19,17,8.46,N,N,Diploma,72,2089950.36,Y,Y,18.12,N,56.21,1846564.26,315272.07
2021-TRI1,AISHE873122,CIP7033,Diploma,Continuing,26,19,9.53,Y,Y,Degree,30,2338631.1,N,Y,8.75,N,93.4,2135673.98,3238722.15
2017-TRI3,AISHE464118,CIP3830,PhD,ReEntry,24,23,7.14,N,Y,PG_Diploma,34,2375654.22,N,Y,31.2,Y,65.59,1960786.33,5165313.64
2017-SEM1,AISHE468570,CIP2035,UG,FirstTime,23,21,6.08,N,N,Diploma,81,788803.62,Y,N,71.39,Y,77.83,1045611.84,757145.34
2019-TRI1,AISHE969742,CIP7377,PhD,TransferIn,22,14,7.17,Y,Y,Degree,13,221414.88,N,N,69.58,Y,40.72,415645.31,3393143.19
2018-SEM2,AISHE826625,CIP8315,Certificate,TransferIn,24,20,4.78,N,N,Degree,21,2119431.34,N,Y,97.03,N,10.12,1411575.07,556753.53
2019-TRI1,AISHE375711,CIP7793,PG,TransferIn,33,27,9.34,N,N,Certificate,57,1910756.2,Y,Y,43.74,Y,62.5,1502166.69,2840047.08
2021-SEM1,AISHE247846,CIP7727,PhD,ReEntry,18,8,6.19,Y,N,Diploma,29,1463170.2,N,Y,47.36,Y,80.83,877656.96,2008656.62
2021-SEM2,AISHE377050,CIP2128,UG,Continuing,26,26,8.11,Y,N,Certificate,57,1241725.96,N,Y,19.73,Y,81.74,1408543.81,1596000.8
2024-TRI3,AISHE300386,CIP5593,PG,Continuing,25,18,4.96,N,N,Degree,61,2228695.83,N,N,97.9,N,13.98,2161203.65,2239801.56
2022-SEM1,AISHE824495,CIP9232,PG,ReEntry,26,23,4.23,Y,N,PhD,19,2109134.97,Y,Y,77.22,Y,64.74,519452.51,1069520.44
2019-SEM2,AISHE553641,CIP1016,UG,TransferIn,12,3,6.34,N,Y,Degree,51,1138760.6,Y,Y,78.87,Y,25.73,985471.55,2138680.36
2021-TRI3,AISHE917723,CIP5063,Certificate,ReEntry,26,25,6.86,Y,Y,PhD,28,225415.65,Y,Y,97.2,N,74.56,1831319.95,3540415.79
2017-SEM2,AISHE351265,CIP1166,PG,ReEntry,11,8,5.17,N,N,PhD,26,2362226.17,Y,N,2.59,Y,12.29,535645.78,3106976.33
2020-SEM2,AISHE519162,CIP4822,PhD,FirstTime,21,12,6.27,N,N,Certificate,72,535616.98,N,N,21.93,Y,70.15,1636330.58,881923.52
2025-TRI3,AISHE385978,CIP5153,PG,ReEntry,27,18,9.78,Y,N,PhD,94,1393883.95,Y,Y,11.85,N,36.85,1179237.06,4023238.27
2020-TRI3,AISHE584095,CIP8629,UG,FirstTime,16,13,8.85,N,N,PG_Diploma,88,2403148.89,Y,Y,86.94,N,80.53,1470061.9,4898107.82
2023-TRI2,AISHE180268,CIP6839,Certificate,Continuing,11,10,7.12,Y,N,PG_Diploma,94,2254201.47,Y,Y,78.43,Y,22.2,1746940.08,340721.94
2017-SEM1,AISHE993574,CIP2763,PhD,ReEntry,21,17,5.85,N,N,Diploma,34,1441465.58,N,N,13.66,Y,35.2,1783021.63,2862306.02
2023-TRI3,AISHE245203,CIP6572,PG,ReEntry,32,29,7.37,Y,N,Certificate,78,133269.57,Y,Y,4.06,Y,34.44,1828368.61,261170.52
2018-SEM1,AISHE991600,CIP9612,PhD,TransferIn,15,6,7.46,N,N,Certificate,76,935130.87,Y,N,82.86,N,59.41,733372.3,4527160.52
2021-SEM1,AISHE472551,CIP7226,UG,TransferIn,16,5,4.58,Y,Y,Diploma,73,434791.4,Y,N,0.79,Y,15.55,1182690.92,2350846.25
2019-SEM2,AISHE612539,CIP4643,PG,Continuing,26,19,8.12,Y,N,Degree,92,19676.9,N,N,98.33,N,80.71,1955993.22,4079086.97
2017-TRI2,AISHE310983,CIP2190,Certificate,ReEntry,15,7,8.44,Y,Y,PG_Diploma,92,2286213.54,Y,N,2.15,N,63.58,803416.09,3405552.68
2021-TRI3,AISHE474769,CIP8787,PG,FirstTime,21,16,6.77,N,N,PG_Diploma,91,2091588.94,Y,Y,94.31,Y,27.91,770364.33,116588.92
2018-TRI1,AISHE663624,CIP4127,UG,TransferIn,9,3,6.61,Y,Y,PhD,48,1271327.36,N,N,98.51,N,24.28,387907.83,1471068.97
2021-SEM1,AISHE336980,CIP9896,Diploma,TransferIn,34,24,4.66,N,Y,Certificate,78,313794.08,Y,N,64.62,N,66.04,619128.25,619747.91
2018-SEM2,AISHE774045,CIP6224,Diploma,FirstTime,10,0,4.31,Y,N,Degree,30,2012326.33,Y,N,66.5,N,38.0,919163.21,4757538.35
2021-TRI3,AISHE681682,CIP8664,PG,TransferIn,20,14,9.15,N,N,Degree,59,791021.78,Y,Y,1.32,Y,43.74,605447.16,383160.69
2017-TRI3,AISHE992047,CIP6440,PG,Continuing,23,21,5.06,Y,Y,PG_Diploma,74,2471429.54,Y,N,5.94,Y,49.29,71735.5,1477843.82
2021-TRI3,AISHE901041,CIP6022,UG,Continuing,7,0,5.1,N,Y,PG_Diploma,72,983076.04,Y,N,54.03,N,51.12,1467389.6,4188602.03
2020-TRI2,AISHE606960,CIP2829,Certificate,FirstTime,35,35,6.23,Y,N,Degree,84,1510773.45,N,Y,56.91,Y,82.51,485851.15,425971.7
2023-TRI1,AISHE100862,CIP2551,Diploma,FirstTime,22,22,4.58,Y,Y,Diploma,66,2088517.58,N,Y,14.81,N,38.14,1761012.87,4048983.36
2019-SEM2,AISHE682419,CIP9753,UG,FirstTime,27,18,4.35,N,N,Diploma,6,454629.75,N,Y,72.95,Y,15.85,251529.4,818248.91
2017-TRI1,AISHE277668,CIP2101,Diploma,Continuing,16,11,7.51,Y,N,PG_Diploma,14,2272710.01,Y,Y,67.24,Y,42.79,362758.72,3114307.54
2016-SEM1,AISHE458742,CIP5898,PG,TransferIn,33,31,8.97,N,N,Diploma,67,1725198.63,Y,N,31.62,N,61.75,1773087.59,1432465.39
2025-TRI1,AISHE665199,CIP5628,PG,TransferIn,12,6,5.53,N,N,Degree,44,572851.01,N,N,54.16,N,42.9,1777286.64,536900.44
2018-SEM1,AISHE766647,CIP3679,PhD,Continuing,14,6,9.25,N,Y,PhD,56,312292.6,N,N,81.9,N,31.37,1124216.54,3206125.58
2019-TRI3,AISHE351403,CIP9650,Diploma,Continuing,10,4,5.34,N,N,PhD,66,608157.03,N,Y,27.3,Y,89.53,603637.84,1454586.2
2018-TRI2,AISHE314059,CIP6328,UG,FirstTime,18,18,8.75,N,N,Diploma,72,875713.66,N,N,71.32,N,69.92,693479.28,973856.42
2019-SEM1,AISHE565690,CIP7716,UG,Continuing,15,15,7.88,N,N,Diploma,57,1507715.53,N,Y,49.06,N,52.34,2199915.29,2649994.14
2023-TRI2,AISHE874452,CIP8594,UG,ReEntry,13,12,5.73,Y,N,PhD,76,1203798.61,Y,Y,60.15,Y,44.98,1877895.78,4585569.58
2023-TRI1,AISHE377589,CIP2153,PG,Continuing,14,8,5.41,Y,Y,PhD,27,2392254.25,Y,Y,13.94,N,22.05,2141053.7,565725.58
2022-TRI3,AISHE150752,CIP4633,PhD,ReEntry,16,7,5.94,N,N,Degree,62,1063494.85,N,Y,39.81,N,43.8,89627.65,4214214.66
2024-TRI1,AISHE924789,CIP5267,PhD,TransferIn,24,22,6.06,N,Y,PG_Diploma,52,1584135.3,Y,N,87.16,N,94.2,2011401.32,1777641.38
2024-SEM2,AISHE521877,CIP2040,PG,ReEntry,34,27,4.69,N,N,PG_Diploma,91,1782276.42,Y,N,69.65,Y,68.4,95072.86,742219.97
2019-TRI3,AISHE958361,CIP9527,Diploma,ReEntry,29,21,4.61,N,Y,Certificate,26,2193531.66,Y,Y,50.29,Y,16.84,1119916.49,656304.8
2017-TRI2,AISHE520994,CIP4318,PG,Continuing,33,33,8.68,N,Y,PhD,91,81267.76,Y,N,60.93,N,77.03,1824971.93,3631152.91
2024-SEM2,AISHE959305,CIP8028,UG,FirstTime,8,1,6.67,Y,N,Diploma,34,1949287.5,N,Y,59.85,N,23.76,1007546.86,1096483.81
2017-SEM2,AISHE661611,CIP5841,Certificate,FirstTime,27,20,8.45,Y,N,Certificate,33,40854.48,N,Y,29.79,N,65.1,2168497.84,3022368.09
2018-SEM2,AISHE364254,CIP7530,PG,TransferIn,25,14,6.23,N,N,PG_Diploma,62,643523.55,Y,N,10.31,Y,97.04,969288.48,827906.92
2019-SEM1,AISHE507687,CIP6203,Diploma,Continuing,10,7,4.89,Y,Y,Diploma,92,2311718.94,Y,N,57.72,N,67.1,622850.83,3298115.33
2017-TRI1,AISHE561415,CIP6944,PhD,TransferIn,10,1,5.27,N,Y,Certificate,95,2453477.47,Y,Y,13.43,Y,71.27,1041582.35,4565606.69
2023-TRI2,AISHE774693,CIP6692,PhD,ReEntry,9,4,6.65,N,Y,PhD,64,1606448.07,N,N,80.79,Y,71.64,1811329.47,1354467.05
2017-SEM2,AISHE943746,CIP3068,Certificate,TransferIn,15,11,6.03,Y,N,PhD,53,1205453.44,N,N,37.54,N,94.7,1740114.27,221330.69
2017-SEM2,AISHE740946,CIP9121,PG,Continuing,8,7,8.47,Y,N,Certificate,58,1005798.26,Y,Y,69.85,Y,70.29,60688.66,2605097.42
2025-TRI1,AISHE280541,CIP5662,UG,Continuing,35,26,6.45,N,Y,Diploma,46,1006821.0,Y,Y,75.24,Y,85.94,690452.5,578213.72
2025-TRI3,AISHE197930,CIP1110,PG,ReEntry,33,24,5.46,N,Y,PG_Diploma,76,1429761.93,Y,N,28.59,N,85.21,1089390.27,4324954.38
2023-TRI2,AISHE631817,CIP7509,PhD,FirstTime,12,3,6.91,Y,N,PG_Diploma,82,1248442.85,N,N,0.0,N,19.35,1645520.73,4513229.78
2019-TRI1,AISHE952676,CIP5895,UG,TransferIn,26,22,7.05,Y,Y,Diploma,88,723381.35,N,Y,68.4,N,32.48,1913329.39,4353941.66
