safe_traffic_crash_date,safe_traffic_crash_time,safe_traffic_roadway_segment_id,safe_traffic_intersection_related_flag,safe_traffic_vehicle_count_involved,safe_traffic_pedestrian_involved_flag,safe_traffic_cyclist_involved_flag,safe_traffic_work_zone_flag,safe_traffic_weather_condition_code,safe_traffic_lighting_condition_code,safe_traffic_speed_limit_mph,safe_traffic_estimated_travel_speed_mph,safe_traffic_driver_impairment_flag,safe_traffic_seatbelt_use_flag,safe_traffic_airbag_deployed_flag,safe_traffic_injury_outcome_max,safe_traffic_tow_away_flag,safe_traffic_fatality_count,safe_traffic_crash_cause_primary,safe_traffic_post_crash_care_minutes
2014-01-13,01:24:00,SEG0000000013,0,1,0,0,0,WIND,DAYLIGHT,70,92.9,0,1,0,PDO,0,0,SPEEDING,25
2014-01-14,01:31:00,SEG0000000014,0,7,0,0,0,CLEAR,DARK_LIGHTED,55,72.3,0,0,0,PDO,0,0,DISTRACTED,13
2014-01-15,01:38:00,SEG0000000015,0,6,0,0,0,CLEAR,DAYLIGHT,20,18.4,0,1,0,PDO,1,0,REAR_END,144
2014-01-16,01:45:00,SEG0000000016,0,7,0,0,0,CLEAR,DUSK,60,41.7,0,1,0,POSSIBLE,0,0,DISTRACTED,27
2014-01-17,01:52:00,SEG0000000017,0,7,0,0,0,WIND,DARK_UNLIGHTED,40,52.1,0,1,0,PDO,0,2,SPEEDING,200
2014-01-18,01:59:00,SEG0000000018,1,1,0,0,0,FOG,DAYLIGHT,30,36.7,0,1,1,POSSIBLE,0,0,SIGNAL_VIOLATION,234
2014-01-19,02:06:00,SEG0000000019,0,5,0,0,0,RAIN,DUSK,50,34.1,0,1,1,PDO,0,0,REAR_END,183
2014-01-20,02:13:00,SEG0000000020,0,6,0,0,1,RAIN,DARK_LIGHTED,30,32.7,0,1,0,PDO,0,0,WEATHER,198
2014-01-21,02:20:00,SEG0000000021,0,6,0,0,1,FOG,DAYLIGHT,60,39.1,0,1,0,POSSIBLE,1,0,SPEEDING,32
2014-01-22,02:27:00,SEG0000000022,1,3,0,0,0,CLEAR,DAYLIGHT,35,42.1,0,1,1,PDO,0,0,DISTRACTED,92
2014-01-23,02:34:00,SEG0000000023,0,1,0,0,0,RAIN,DARK_LIGHTED,40,52.6,0,1,0,INCAP,0,0,IMPAIRED,108
2014-01-24,02:41:00,SEG0000000024,0,8,0,0,0,RAIN,DAYLIGHT,50,59.5,1,1,1,POSSIBLE,0,0,WEATHER,125
2014-01-25,02:48:00,SEG0000000025,1,2,0,0,0,CLEAR,DAWN,35,40.4,0,1,0,POSSIBLE,1,0,DISTRACTED,96
2014-01-26,02:55:00,SEG0000000026,1,4,0,0,0,RAIN,DAYLIGHT,45,28.9,0,1,0,POSSIBLE,1,0,DISTRACTED,194
2014-01-27,03:02:00,SEG0000000027,0,7,0,0,0,CLEAR,DUSK,55,58.9,0,1,0,PDO,0,0,WEATHER,0
2014-01-28,03:09:00,SEG0000000028,0,5,0,0,0,CLEAR,DAWN,55,69.9,0,1,0,POSSIBLE,1,0,IMPAIRED,173
2014-01-29,03:16:00,SEG0000000029,0,6,0,0,0,CLEAR,DARK_LIGHTED,65,73.8,1,1,0,PDO,1,0,REAR_END,69
2014-01-30,03:23:00,SEG0000000030,1,6,0,0,0,SNOW,DAYLIGHT,35,45.2,0,1,1,INCAP,1,0,DISTRACTED,219
2014-01-31,03:30:00,SEG0000000031,0,2,0,0,0,CLEAR,DAWN,40,27.6,1,1,0,PDO,0,0,OTHER,200
2014-02-01,03:37:00,SEG0000000032,0,4,0,0,0,RAIN,DUSK,40,48.4,0,1,1,INCAP,1,0,SIGNAL_VIOLATION,167
2014-02-02,03:44:00,SEG0000000033,0,1,0,0,0,CLEAR,DAYLIGHT,25,27.4,0,1,1,PDO,0,0,DISTRACTED,212
2014-02-03,03:51:00,SEG0000000034,1,1,1,0,0,SNOW,DUSK,25,27.4,0,1,1,POSSIBLE,0,0,DISTRACTED,208
2014-02-04,03:58:00,SEG0000000035,1,3,0,0,0,OTHER,DAYLIGHT,40,23.7,0,1,0,NONINCAP,0,0,IMPAIRED,96
2014-02-05,04:05:00,SEG0000000036,1,4,0,0,0,CLEAR,DAYLIGHT,40,27.8,0,1,0,PDO,0,0,SPEEDING,54
2014-02-06,04:12:00,SEG0000000037,0,1,0,0,0,RAIN,DARK_UNLIGHTED,45,44.3,1,1,0,NONINCAP,1,0,DISTRACTED,240
2014-02-07,04:19:00,SEG0000000038,0,2,0,0,0,RAIN,DAYLIGHT,55,55.2,1,1,1,INCAP,0,0,REAR_END,13
2014-02-08,04:26:00,SEG0000000039,0,5,0,0,0,FOG,DAYLIGHT,35,31.3,1,1,1,PDO,0,0,SIGNAL_VIOLATION,46
2014-02-09,04:33:00,SEG0000000040,0,4,0,0,0,WIND,DAWN,50,48.9,0,1,0,PDO,1,0,DISTRACTED,111
2014-02-10,04:40:00,SEG0000000041,0,3,0,0,0,RAIN,DAYLIGHT,55,60.6,1,1,1,PDO,1,0,IMPAIRED,80
2014-02-11,04:47:00,SEG0000000042,0,8,0,0,1,RAIN,DAYLIGHT,30,39.7,0,1,0,PDO,0,0,REAR_END,192
2014-02-12,04:54:00,SEG0000000043,1,2,0,0,0,CLEAR,DAYLIGHT,70,66.5,0,1,0,FATAL,0,0,SPEEDING,148
2014-02-13,05:01:00,SEG0000000044,0,6,0,0,0,CLEAR,DAYLIGHT,55,49.9,0,1,1,INCAP,1,0,IMPAIRED,22
2014-02-14,05:08:00,SEG0000000045,0,6,0,0,0,CLEAR,DARK_LIGHTED,45,44.2,1,1,1,PDO,1,0,IMPAIRED,192
2014-02-15,05:15:00,SEG0000000046,1,4,0,0,1,OTHER,DARK_LIGHTED,30,33.5,0,1,1,POSSIBLE,1,0,DISTRACTED,95
2014-02-16,05:22:00,SEG0000000047,0,6,0,0,1,SNOW,DUSK,45,28.2,1,1,0,POSSIBLE,1,0,REAR_END,35
2014-02-17,05:29:00,SEG0000000048,1,1,0,0,0,CLEAR,DAYLIGHT,40,28.3,0,1,0,NONINCAP,0,0,IMPAIRED,137
2014-02-18,05:36:00,SEG0000000049,1,6,0,0,0,ICE,DAYLIGHT,25,30.5,0,1,0,POSSIBLE,0,0,OTHER,144
2014-02-19,05:43:00,SEG0000000050,0,6,0,0,1,CLEAR,DARK_UNLIGHTED,40,24.8,0,1,1,PDO,0,0,DISTRACTED,191
2014-02-20,05:50:00,SEG0000000051,1,1,0,0,1,FOG,DARK_LIGHTED,25,23.2,0,1,0,PDO,0,0,WEATHER,66
2014-02-21,05:57:00,SEG0000000052,0,2,0,0,0,CLEAR,DARK_UNLIGHTED,25,20.3,0,1,0,NONINCAP,0,0,IMPAIRED,188
2014-02-22,06:04:00,SEG0000000053,1,6,0,0,0,CLEAR,DAYLIGHT,45,33.5,1,1,0,PDO,1,0,IMPAIRED,153
2014-02-23,06:11:00,SEG0000000054,0,3,0,0,0,CLEAR,DARK_LIGHTED,45,59.6,0,1,0,INCAP,0,0,DISTRACTED,197
2014-02-24,06:18:00,SEG0000000055,1,6,1,0,0,CLEAR,DUSK,40,43.6,0,1,1,POSSIBLE,1,1,SPEEDING,70
2014-02-25,06:25:00,SEG0000000056,0,8,0,0,0,CLEAR,DAYLIGHT,30,40.4,0,1,0,NONINCAP,1,0,REAR_END,49
2014-02-26,06:32:00,SEG0000000057,0,4,0,0,0,CLEAR,DARK_LIGHTED,30,34.4,0,1,0,NONINCAP,1,0,WEATHER,107
2014-02-27,06:39:00,SEG0000000058,0,7,0,0,0,SNOW,DAWN,45,47.7,0,1,0,INCAP,0,0,REAR_END,174
2014-02-28,06:46:00,SEG0000000059,0,7,0,0,0,RAIN,DAYLIGHT,30,31.9,1,0,1,POSSIBLE,0,0,WEATHER,10
2014-03-01,06:53:00,SEG0000000060,0,6,0,0,0,CLEAR,DARK_UNLIGHTED,45,35.5,0,0,1,PDO,1,0,WEATHER,167
2014-03-02,07:00:00,SEG0000000061,0,8,0,0,0,CLEAR,DARK_UNLIGHTED,45,59.6,0,1,1,PDO,0,0,REAR_END,5
2014-03-03,07:07:00,SEG0000000062,0,7,0,0,0,CLEAR,DARK_LIGHTED,65,72.3,0,1,0,POSSIBLE,0,0,OTHER,205
2014-03-04,07:14:00,SEG0000000063,1,4,0,0,0,WIND,DAWN,35,46.7,0,1,1,POSSIBLE,1,0,DISTRACTED,77
2014-03-05,07:21:00,SEG0000000064,1,8,1,0,0,RAIN,DAYLIGHT,35,29.3,0,1,0,PDO,1,0,OTHER,191
2014-03-06,07:28:00,SEG0000000065,0,4,0,0,0,RAIN,DARK_LIGHTED,25,27.6,0,1,0,POSSIBLE,1,1,SPEEDING,136
2014-03-07,07:35:00,SEG0000000066,1,6,0,0,0,OTHER,DAYLIGHT,50,29.3,0,1,1,POSSIBLE,0,0,DISTRACTED,98
2014-03-08,07:42:00,SEG0000000067,0,4,0,1,0,RAIN,DARK_LIGHTED,55,68.9,0,0,0,PDO,1,0,SIGNAL_VIOLATION,223
2014-03-09,07:49:00,SEG0000000068,0,8,0,0,0,CLEAR,DARK_LIGHTED,65,43.5,0,0,1,POSSIBLE,0,0,DISTRACTED,37
2014-03-10,07:56:00,SEG0000000069,0,8,0,0,0,CLEAR,DARK_LIGHTED,35,23.8,0,0,1,INCAP,1,0,SIGNAL_VIOLATION,20
2014-03-11,08:03:00,SEG0000000070,0,5,0,0,0,OTHER,DAYLIGHT,40,25.0,0,1,0,PDO,0,0,DISTRACTED,234
2014-03-12,08:10:00,SEG0000000071,1,7,1,0,0,RAIN,DAYLIGHT,55,33.5,0,0,1,PDO,0,0,SPEEDING,132
2014-03-13,08:17:00,SEG0000000072,0,3,0,0,0,RAIN,DUSK,35,25.4,0,1,1,NONINCAP,0,0,REAR_END,60
2014-03-14,08:24:00,SEG0000000073,0,8,0,0,0,CLEAR,DAYLIGHT,55,45.3,0,1,0,NONINCAP,0,0,OTHER,237
2014-03-15,08:31:00,SEG0000000074,0,6,0,0,0,FOG,DAYLIGHT,35,23.3,0,1,1,POSSIBLE,0,0,REAR_END,102
2014-03-16,08:38:00,SEG0000000075,1,8,0,0,0,RAIN,DAYLIGHT,70,78.1,0,1,0,PDO,0,0,DISTRACTED,202
2014-03-17,08:45:00,SEG0000000076,0,5,0,0,0,WIND,DAYLIGHT,25,22.9,0,1,0,INCAP,1,0,DISTRACTED,113
2014-03-18,08:52:00,SEG0000000077,0,2,0,0,0,CLEAR,DAYLIGHT,35,39.0,0,1,0,PDO,1,0,SPEEDING,187
2014-03-19,08:59:00,SEG0000000078,1,1,0,0,1,CLEAR,DAYLIGHT,55,47.9,0,1,0,POSSIBLE,0,0,DISTRACTED,105
2014-03-20,09:06:00,SEG0000000079,0,8,0,0,0,CLEAR,DARK_UNLIGHTED,30,36.0,1,1,0,POSSIBLE,0,0,DISTRACTED,47
2014-03-21,09:13:00,SEG0000000080,1,5,0,0,0,CLEAR,DAYLIGHT,45,34.9,1,1,1,POSSIBLE,0,0,OTHER,209
2014-03-22,09:20:00,SEG0000000081,0,7,0,0,0,CLEAR,DAYLIGHT,45,60.1,0,1,0,POSSIBLE,0,0,SPEEDING,1
2014-03-23,09:27:00,SEG0000000082,0,8,0,0,0,CLEAR,DAYLIGHT,60,36.1,0,1,0,PDO,1,0,IMPAIRED,94
2014-03-24,09:34:00,SEG0000000083,1,1,0,0,0,CLEAR,DAWN,55,71.3,0,1,1,NONINCAP,1,0,WEATHER,120
2014-03-25,09:41:00,SEG0000000084,1,4,0,0,0,RAIN,DUSK,25,27.9,0,1,1,POSSIBLE,1,0,DISTRACTED,217
2014-03-26,09:48:00,SEG0000000085,0,1,0,0,0,CLEAR,DUSK,35,29.2,0,1,1,POSSIBLE,0,0,OTHER,222
2014-03-27,09:55:00,SEG0000000086,0,3,0,0,0,OTHER,DAYLIGHT,60,73.3,0,1,1,PDO,0,2,REAR_END,6
2014-03-28,10:02:00,SEG0000000087,0,4,1,0,0,RAIN,DAWN,25,22.7,0,1,0,INCAP,0,0,REAR_END,151
2014-03-29,10:09:00,SEG0000000088,0,2,0,0,0,CLEAR,DAYLIGHT,55,63.5,0,1,0,INCAP,1,0,DISTRACTED,116
2014-03-30,10:16:00,SEG0000000089,1,4,0,0,0,CLEAR,DAYLIGHT,20,14.0,0,1,1,PDO,0,0,DISTRACTED,176
2014-03-31,10:23:00,SEG0000000090,0,7,0,0,0,CLEAR,DUSK,60,61.9,0,1,0,POSSIBLE,0,0,REAR_END,5
2014-04-01,10:30:00,SEG0000000091,0,4,0,0,0,ICE,DAYLIGHT,40,37.0,0,1,1,PDO,1,0,DISTRACTED,124
2014-04-02,10:37:00,SEG0000000092,0,3,1,0,0,CLEAR,DUSK,45,52.3,0,1,0,PDO,0,0,DISTRACTED,22
2014-04-03,10:44:00,SEG0000000093,0,8,0,0,0,SNOW,DARK_LIGHTED,25,29.4,0,1,0,PDO,0,2,DISTRACTED,64
2014-04-04,10:51:00,SEG0000000094,0,2,0,0,0,CLEAR,DAWN,40,32.7,0,1,1,PDO,0,0,DISTRACTED,98
2014-04-05,10:58:00,SEG0000000095,0,4,0,0,0,RAIN,DARK_UNLIGHTED,50,51.0,0,1,0,FATAL,1,0,REAR_END,156
2014-04-06,11:05:00,SEG0000000096,0,2,0,0,0,SNOW,DAYLIGHT,40,26.7,0,1,1,PDO,1,0,SIGNAL_VIOLATION,50
2014-04-07,11:12:00,SEG0000000097,1,3,0,0,0,CLEAR,DAYLIGHT,55,59.8,1,1,1,PDO,0,0,DISTRACTED,219
2014-04-08,11:19:00,SEG0000000098,0,5,0,0,1,CLEAR,DARK_LIGHTED,40,35.8,0,1,0,PDO,0,0,SIGNAL_VIOLATION,44
2014-04-09,11:26:00,SEG0000000099,0,7,0,0,0,FOG,DUSK,20,26.4,0,1,0,PDO,1,0,DISTRACTED,179
2014-04-10,11:33:00,SEG0000000100,0,3,0,0,0,CLEAR,DAYLIGHT,35,25.7,0,1,0,NONINCAP,0,0,SPEEDING,67
2014-04-11,11:40:00,SEG0000000101,0,7,1,0,0,CLEAR,DARK_LIGHTED,30,32.6,0,1,0,PDO,1,0,DISTRACTED,123
2014-04-12,11:47:00,SEG0000000102,1,2,0,0,0,CLEAR,DAYLIGHT,35,35.4,0,1,0,NONINCAP,0,0,DISTRACTED,143
2014-04-13,11:54:00,SEG0000000103,0,1,0,1,0,CLEAR,DAYLIGHT,45,35.3,0,1,1,FATAL,0,0,REAR_END,226
2014-04-14,12:01:00,SEG0000000104,0,3,0,0,0,SNOW,DAYLIGHT,40,34.6,0,1,1,NONINCAP,0,0,DISTRACTED,173
2014-04-15,12:08:00,SEG0000000105,1,5,0,0,0,OTHER,DAYLIGHT,50,56.7,0,1,0,PDO,0,0,SPEEDING,141
2014-04-16,12:15:00,SEG0000000106,0,8,0,0,0,CLEAR,DAYLIGHT,55,37.4,0,1,0,NONINCAP,0,0,SPEEDING,172
2014-04-17,12:22:00,SEG0000000107,0,8,0,0,0,SNOW,DARK_UNLIGHTED,45,27.2,0,1,1,POSSIBLE,0,0,WEATHER,163
2014-04-18,12:29:00,SEG0000000108,1,6,0,0,0,CLEAR,DAWN,40,39.1,0,1,1,PDO,1,0,SIGNAL_VIOLATION,229
2014-04-19,12:36:00,SEG0000000109,0,6,0,0,0,CLEAR,DAYLIGHT,45,27.4,0,0,1,INCAP,0,0,DISTRACTED,143
2014-04-20,12:43:00,SEG0000000110,0,5,0,1,0,SNOW,DAWN,35,25.0,1,1,0,NONINCAP,1,0,WEATHER,13
2014-04-21,12:50:00,SEG0000000111,0,5,0,0,0,RAIN,DAYLIGHT,35,35.3,0,1,1,PDO,1,0,SIGNAL_VIOLATION,167
2014-04-22,12:57:00,SEG0000000112,0,1,0,0,1,CLEAR,DARK_LIGHTED,65,70.7,0,1,0,PDO,1,0,DISTRACTED,133
2014-04-23,13:04:00,SEG0000000113,1,2,0,0,0,CLEAR,DAYLIGHT,40,34.2,0,0,0,NONINCAP,0,0,DISTRACTED,5
2014-04-24,13:11:00,SEG0000000114,0,8,0,0,0,SNOW,DAYLIGHT,40,40.7,0,1,1,PDO,0,0,REAR_END,232
2014-04-25,13:18:00,SEG0000000115,0,3,0,0,0,SNOW,DAYLIGHT,45,38.8,0,1,0,INCAP,1,0,IMPAIRED,150
2014-04-26,13:25:00,SEG0000000116,0,3,1,0,0,CLEAR,DAYLIGHT,55,57.7,0,1,1,INCAP,0,0,DISTRACTED,43
2014-04-27,13:32:00,SEG0000000117,1,7,0,0,0,RAIN,DUSK,20,13.4,0,1,0,NONINCAP,1,0,SIGNAL_VIOLATION,172
2014-04-28,13:39:00,SEG0000000118,0,4,0,0,0,OTHER,DAYLIGHT,20,22.8,0,1,0,PDO,0,0,SIGNAL_VIOLATION,119
2014-04-29,13:46:00,SEG0000000119,1,6,0,0,0,CLEAR,DARK_LIGHTED,55,61.0,0,0,0,PDO,1,0,SIGNAL_VIOLATION,141
2014-04-30,13:53:00,SEG0000000120,0,8,0,1,0,CLEAR,DAYLIGHT,50,43.3,1,1,1,PDO,0,0,SIGNAL_VIOLATION,151
2014-05-01,14:00:00,SEG0000000121,0,7,0,0,1,CLEAR,DAYLIGHT,35,29.2,0,1,0,POSSIBLE,0,0,DISTRACTED,211
2014-05-02,14:07:00,SEG0000000122,0,6,0,0,0,RAIN,DAYLIGHT,60,56.5,0,0,0,PDO,0,0,SPEEDING,227
2014-05-03,14:14:00,SEG0000000123,0,6,0,0,0,RAIN,DAYLIGHT,35,33.4,1,1,0,NONINCAP,1,0,DISTRACTED,176
2014-05-04,14:21:00,SEG0000000124,0,4,0,0,0,SNOW,DUSK,55,32.4,0,0,0,PDO,0,0,DISTRACTED,231
2014-05-05,14:28:00,SEG0000000125,1,8,0,0,0,CLEAR,DUSK,45,59.6,0,1,0,POSSIBLE,0,0,WEATHER,206
2014-05-06,14:35:00,SEG0000000126,1,8,0,0,0,CLEAR,DUSK,40,41.7,0,0,0,NONINCAP,0,0,IMPAIRED,207
2014-05-07,14:42:00,SEG0000000127,0,5,0,1,0,CLEAR,DAWN,30,34.5,0,1,0,NONINCAP,0,0,SPEEDING,213
2014-05-08,14:49:00,SEG0000000128,0,3,0,1,0,WIND,DARK_UNLIGHTED,45,29.9,0,1,0,POSSIBLE,0,0,WEATHER,126
2014-05-09,14:56:00,SEG0000000129,0,1,0,0,0,CLEAR,DAYLIGHT,35,39.5,0,1,0,NONINCAP,0,0,OTHER,197
2014-05-10,15:03:00,SEG0000000130,0,1,0,0,0,CLEAR,DAYLIGHT,35,44.1,0,1,0,POSSIBLE,0,0,OTHER,172
2014-05-11,15:10:00,SEG0000000131,0,8,0,0,0,RAIN,DARK_LIGHTED,40,27.4,0,0,1,NONINCAP,0,0,DISTRACTED,5
2014-05-12,15:17:00,SEG0000000132,1,7,0,1,0,CLEAR,DAYLIGHT,45,44.9,0,1,0,POSSIBLE,1,0,IMPAIRED,6
2014-05-13,15:24:00,SEG0000000133,0,4,0,0,1,SNOW,DARK_LIGHTED,70,90.5,0,1,1,PDO,0,0,SPEEDING,6
2014-05-14,15:31:00,SEG0000000134,1,2,0,0,0,RAIN,DAYLIGHT,40,23.6,0,0,1,POSSIBLE,0,0,REAR_END,173
2014-05-15,15:38:00,SEG0000000135,1,2,0,0,0,OTHER,DAYLIGHT,40,30.4,0,1,1,POSSIBLE,0,0,IMPAIRED,204
2014-05-16,15:45:00,SEG0000000136,1,7,0,0,0,CLEAR,DAWN,45,56.5,0,1,0,PDO,0,0,SPEEDING,60
2014-05-17,15:52:00,SEG0000000137,0,8,0,0,0,CLEAR,DAYLIGHT,35,35.6,0,1,1,NONINCAP,0,0,IMPAIRED,108
2014-05-18,15:59:00,SEG0000000138,1,6,0,1,1,FOG,DARK_UNLIGHTED,45,49.2,0,1,1,POSSIBLE,1,0,SPEEDING,96
2014-05-19,16:06:00,SEG0000000139,0,2,0,0,0,CLEAR,DARK_UNLIGHTED,55,70.5,0,1,0,PDO,1,0,SIGNAL_VIOLATION,45
2014-05-20,16:13:00,SEG0000000140,1,6,0,0,0,CLEAR,DAYLIGHT,60,71.6,0,1,1,POSSIBLE,0,2,DISTRACTED,58
2014-05-21,16:20:00,SEG0000000141,0,2,0,0,0,ICE,DAYLIGHT,35,31.7,0,1,1,NONINCAP,0,0,REAR_END,183
2014-05-22,16:27:00,SEG0000000142,0,8,0,0,0,CLEAR,DAYLIGHT,30,27.4,0,1,0,POSSIBLE,1,0,SPEEDING,3
2014-05-23,16:34:00,SEG0000000143,0,4,0,0,0,RAIN,DAWN,60,74.6,0,1,0,PDO,1,0,OTHER,192
2014-05-24,16:41:00,SEG0000000144,0,1,0,0,0,CLEAR,DAYLIGHT,70,60.1,1,1,0,INCAP,0,0,SIGNAL_VIOLATION,117
2014-05-25,16:48:00,SEG0000000145,0,7,0,0,0,CLEAR,DAYLIGHT,35,44.9,0,1,0,POSSIBLE,0,0,WEATHER,66
2014-05-26,16:55:00,SEG0000000146,1,5,0,0,0,RAIN,DARK_LIGHTED,60,40.4,0,1,0,NONINCAP,1,1,IMPAIRED,91
2014-05-27,17:02:00,SEG0000000147,0,4,0,0,1,CLEAR,DAYLIGHT,20,22.3,1,0,1,PDO,1,0,DISTRACTED,29
2014-05-28,17:09:00,SEG0000000148,0,8,0,1,0,CLEAR,DARK_LIGHTED,40,22.6,0,1,0,PDO,0,0,SPEEDING,202
2014-05-29,17:16:00,SEG0000000149,0,7,0,0,0,CLEAR,DAYLIGHT,50,35.4,0,1,1,POSSIBLE,1,0,REAR_END,83
2014-05-30,17:23:00,SEG0000000150,1,6,0,0,1,CLEAR,DARK_LIGHTED,50,51.7,0,1,0,POSSIBLE,1,0,SPEEDING,139
2014-05-31,17:30:00,SEG0000000151,0,5,0,0,0,CLEAR,DAYLIGHT,20,14.5,0,1,1,PDO,0,0,IMPAIRED,21
2014-06-01,17:37:00,SEG0000000152,0,7,0,0,0,CLEAR,DAYLIGHT,55,53.8,1,1,0,POSSIBLE,0,0,DISTRACTED,65
2014-06-02,17:44:00,SEG0000000153,0,4,0,0,0,CLEAR,DAYLIGHT,20,19.9,0,0,1,NONINCAP,0,0,WEATHER,24
2014-06-03,17:51:00,SEG0000000154,0,6,0,0,0,CLEAR,DARK_UNLIGHTED,35,27.7,1,1,0,PDO,0,0,WEATHER,188
2014-06-04,17:58:00,SEG0000000155,0,8,0,0,0,CLEAR,DAYLIGHT,25,22.9,0,1,0,NONINCAP,1,0,DISTRACTED,239
2014-06-05,18:05:00,SEG0000000156,1,7,0,0,0,WIND,DARK_UNLIGHTED,40,25.8,0,1,1,PDO,1,0,WEATHER,77
2014-06-06,18:12:00,SEG0000000157,1,1,0,0,0,SNOW,DAYLIGHT,20,15.0,0,1,1,NONINCAP,0,0,REAR_END,20
2014-06-07,18:19:00,SEG0000000158,0,8,0,0,0,CLEAR,DUSK,45,56.0,0,1,1,PDO,0,0,DISTRACTED,69
2014-06-08,18:26:00,SEG0000000159,0,5,0,0,0,FOG,DAYLIGHT,45,50.4,0,0,0,NONINCAP,1,0,SPEEDING,150
2014-06-09,18:33:00,SEG0000000160,0,4,0,0,0,SNOW,DAYLIGHT,50,55.5,1,1,0,POSSIBLE,0,0,WEATHER,116
2014-06-10,18:40:00,SEG0000000161,1,5,1,0,0,SNOW,DAYLIGHT,45,56.3,0,1,1,INCAP,1,0,DISTRACTED,124
2014-06-11,18:47:00,SEG0000000162,0,2,0,0,0,CLEAR,DAYLIGHT,25,17.0,1,1,1,PDO,0,0,SIGNAL_VIOLATION,83
2014-06-12,18:54:00,SEG0000000163,1,5,0,0,0,CLEAR,DAYLIGHT,30,37.5,0,1,0,PDO,0,0,OTHER,75
2014-06-13,19:01:00,SEG0000000164,0,6,0,0,0,CLEAR,DAYLIGHT,35,23.0,0,0,0,PDO,0,0,DISTRACTED,86
2014-06-14,19:08:00,SEG0000000165,1,4,0,0,0,RAIN,DAYLIGHT,55,36.3,0,1,0,PDO,0,0,OTHER,214
2014-06-15,19:15:00,SEG0000000166,1,3,0,0,0,CLEAR,DAYLIGHT,25,18.8,0,1,0,PDO,0,0,IMPAIRED,177
2014-06-16,19:22:00,SEG0000000167,0,6,0,0,0,CLEAR,DAYLIGHT,45,51.1,0,1,0,PDO,1,0,DISTRACTED,94
2014-06-17,19:29:00,SEG0000000168,0,3,0,0,0,CLEAR,DARK_UNLIGHTED,55,52.3,0,1,0,PDO,1,0,SIGNAL_VIOLATION,116
2014-06-18,19:36:00,SEG0000000169,0,2,0,0,0,CLEAR,DARK_LIGHTED,65,60.9,0,0,1,POSSIBLE,0,0,DISTRACTED,127
2014-06-19,19:43:00,SEG0000000170,1,4,0,0,0,OTHER,DAYLIGHT,45,60.4,0,1,1,PDO,1,0,DISTRACTED,140
2014-06-20,19:50:00,SEG0000000171,0,5,1,0,0,CLEAR,DAYLIGHT,35,36.3,1,0,0,NONINCAP,1,0,SPEEDING,23
2014-06-21,19:57:00,SEG0000000172,0,6,0,0,0,RAIN,DAYLIGHT,60,65.7,0,1,1,POSSIBLE,0,0,SIGNAL_VIOLATION,223
2014-06-22,20:04:00,SEG0000000173,0,3,1,0,0,RAIN,DAYLIGHT,55,67.9,0,1,1,NONINCAP,1,0,IMPAIRED,187
