soc_family_reference_year,soc_family_country_iso2,soc_family_region_nuts_code,soc_family_household_type_code,soc_family_children_count,soc_family_benefit_program_code,soc_family_beneficiaries_count,soc_family_mean_benefit_monthly_eur,soc_family_childcare_subsidy_flag,soc_family_parental_leave_weeks_entitled,soc_family_parental_leave_takeup_rate_pct,soc_family_birth_grant_flag,soc_family_housing_support_flag,soc_family_income_test_threshold_eur,soc_family_digital_application_rate_pct,soc_family_processing_time_days_median,soc_family_fertility_policy_index_score,soc_family_child_poverty_rate_pct,soc_family_eurostat_table_code,soc_family_data_extract_date
2025,LV,LT81,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5467,173.08,0,52,43.48,0,0,54928.58,74.67,52,1.77,19.44,spr_fam_ben,2024-07-17
2026,MT,IT744,GUARDIANSHIP,3,BIRTH_GRANT,6531,164.27,0,26,69.25,1,1,47129.33,41.34,54,2.126,33.29,ilc_lvho14,2024-10-23
2010,PT,SI49,EXTENDED_FAMILY,4,HOUSING_TOPUP,6114,95.59,1,14,35.2,0,1,69137.3,43.56,43,1.052,15.73,lfso_14a,2024-05-17
2011,SI,DK57,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5220,721.05,0,0,16.24,0,0,39303.06,54.63,46,1.803,13.41,spr_fam_sum,2025-04-14
2012,AT,MT665,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6296,405.06,0,40,72.56,0,0,19413.83,57.06,49,1.137,28.88,ilc_di07,2025-10-30
2013,HR,IE8,OTHER,1,CHILDCARE_SUBSIDY,6211,642.41,1,18,82.82,0,0,18797.9,53.2,44,1.825,15.02,spr_fam_ben,2025-11-12
2014,DK,SK3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5118,745.96,0,8,35.79,0,0,38022.62,22.43,60,1.031,26.87,ilc_lvho14,2024-08-10
2015,FR,BG73,GUARDIANSHIP,3,BIRTH_GRANT,6213,124.85,1,52,59.05,1,1,66380.99,68.81,54,1.821,11.76,lfso_14a,2025-11-27
2016,HU,BG35,EXTENDED_FAMILY,4,HOUSING_TOPUP,6348,101.61,0,26,69.19,1,1,50597.88,75.2,61,1.42,24.91,spr_fam_sum,2025-03-26
2017,LV,HU6,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6175,563.77,0,14,31.03,0,0,72786.59,62.54,46,1.211,30.96,ilc_di07,2024-11-24
2018,MT,PT76,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6588,298.46,1,0,24.26,0,0,19508.83,33.04,50,1.127,12.37,spr_fam_ben,2024-08-15
2019,PT,AT61,OTHER,1,CHILDCARE_SUBSIDY,5517,308.98,1,40,15.74,1,0,23788.12,63.62,57,1.15,20.53,ilc_lvho14,2024-06-25
2020,SI,EE7,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6618,309.14,0,18,79.09,0,0,61422.32,93.21,46,1.533,19.24,lfso_14a,2024-04-17
2021,AT,CZ706,GUARDIANSHIP,3,BIRTH_GRANT,5698,318.54,0,8,25.66,1,0,62733.26,21.58,65,0.921,33.93,spr_fam_sum,2025-11-16
2022,HR,HR916,EXTENDED_FAMILY,4,HOUSING_TOPUP,6489,745.73,0,52,57.83,0,1,59368.04,91.47,49,0.937,14.46,ilc_di07,2025-12-23
2023,DK,SK312,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5594,242.82,0,26,47.02,0,0,35452.43,55.35,58,1.736,29.66,spr_fam_ben,2025-12-27
2024,FR,CY438,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5583,353.18,0,14,55.98,0,0,79148.11,39.53,52,1.096,13.34,ilc_lvho14,2024-05-22
2025,HU,LV30,OTHER,1,CHILDCARE_SUBSIDY,5982,207.77,1,0,30.25,0,1,17869.47,24.29,68,1.632,14.41,lfso_14a,2024-06-20
2026,LV,LV510,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5809,591.87,0,40,21.5,0,0,35229.09,62.86,66,0.857,9.37,spr_fam_sum,2024-01-16
2010,MT,CZ991,GUARDIANSHIP,3,BIRTH_GRANT,5632,125.41,0,18,69.72,1,0,50806.29,71.34,62,1.794,6.92,ilc_di07,2024-10-01
2011,PT,LU248,EXTENDED_FAMILY,4,HOUSING_TOPUP,5335,252.92,0,8,12.42,0,1,27088.63,81.34,58,1.684,14.19,spr_fam_ben,2024-05-18
2012,SI,LV3,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6497,432.47,1,52,52.41,0,0,64101.89,32.53,69,0.809,6.8,ilc_lvho14,2025-05-06
2013,AT,SE3,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5285,46.52,0,26,90.79,0,0,45383.09,35.2,58,1.573,8.54,lfso_14a,2025-04-11
2014,HR,EE212,OTHER,1,CHILDCARE_SUBSIDY,5843,198.23,1,14,88.74,0,0,62667.98,23.35,60,1.089,19.24,spr_fam_sum,2024-06-05
2015,DK,MT5,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5504,427.15,0,0,70.87,0,0,80032.0,68.44,77,2.162,22.89,ilc_di07,2025-02-15
2016,FR,LU98,GUARDIANSHIP,3,BIRTH_GRANT,6037,133.01,1,40,33.49,1,0,43126.94,34.68,76,1.158,16.83,spr_fam_ben,2025-01-30
2017,HU,EE608,EXTENDED_FAMILY,4,HOUSING_TOPUP,6053,755.05,0,18,42.49,0,1,54952.26,63.86,75,2.157,18.44,ilc_lvho14,2024-04-09
2018,LV,CZ820,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6607,120.54,0,8,51.92,0,0,25262.05,41.48,75,1.329,13.66,lfso_14a,2025-09-14
2019,MT,PL5,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6492,333.71,0,52,49.67,0,0,76268.16,58.61,82,1.96,24.19,spr_fam_sum,2025-02-25
2020,PT,CZ327,OTHER,1,CHILDCARE_SUBSIDY,5627,85.36,1,26,27.94,0,0,22900.61,58.61,68,1.326,12.33,ilc_di07,2024-05-13
2021,SI,SK79,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6440,213.26,0,14,32.21,0,0,39418.61,63.96,68,1.923,13.58,spr_fam_ben,2025-09-08
2022,AT,SI17,GUARDIANSHIP,3,BIRTH_GRANT,5971,345.14,0,0,57.81,1,0,36396.28,72.42,73,0.888,8.29,ilc_lvho14,2024-01-14
2023,HR,FI472,EXTENDED_FAMILY,4,HOUSING_TOPUP,6409,340.74,1,40,14.15,0,1,46898.15,37.42,74,2.062,14.88,lfso_14a,2025-08-23
2024,DK,PL602,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6499,109.09,0,18,78.54,1,0,55078.08,37.83,73,2.106,21.59,spr_fam_sum,2025-10-21
2025,FR,PL71,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5724,456.67,0,8,36.81,0,0,58206.49,48.55,84,1.658,25.71,ilc_di07,2025-08-07
2026,HU,DK7,OTHER,1,CHILDCARE_SUBSIDY,6621,86.44,1,52,16.83,0,0,71822.27,68.26,87,1.098,11.34,spr_fam_ben,2024-04-26
2010,LV,FR67,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5334,486.99,0,26,42.5,0,0,75697.08,70.26,73,1.674,17.44,ilc_lvho14,2025-11-03
2011,MT,SK121,GUARDIANSHIP,3,BIRTH_GRANT,6272,76.31,0,14,59.45,1,0,65309.14,25.13,83,2.155,10.52,lfso_14a,2025-02-09
2012,PT,AT616,EXTENDED_FAMILY,4,HOUSING_TOPUP,5821,144.31,0,0,79.57,1,1,27114.45,20.68,78,1.056,8.23,spr_fam_sum,2025-03-14
2013,SI,SE15,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5681,386.22,1,40,66.85,1,0,77558.0,55.1,91,0.889,7.56,ilc_di07,2025-03-08
2014,AT,BE2,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6603,553.73,0,18,52.55,0,1,58179.83,79.23,81,2.012,15.75,spr_fam_ben,2024-10-11
2015,HR,BE842,OTHER,1,CHILDCARE_SUBSIDY,6530,539.52,1,8,61.95,0,1,64099.49,30.56,93,0.811,25.18,ilc_lvho14,2024-12-22
2016,DK,PL68,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6438,744.87,0,52,91.48,0,0,37996.6,75.85,76,1.347,17.21,lfso_14a,2024-10-19
2017,FR,SI389,GUARDIANSHIP,3,BIRTH_GRANT,5921,510.43,0,26,52.63,1,1,35601.25,22.67,6,1.617,14.17,spr_fam_sum,2024-02-23
2018,HU,LT5,EXTENDED_FAMILY,4,HOUSING_TOPUP,6487,250.68,0,14,62.92,0,1,26102.03,49.66,16,1.803,10.84,ilc_di07,2024-01-28
2019,LV,SI24,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6168,526.58,0,0,57.83,0,0,69087.45,66.16,24,0.933,7.3,spr_fam_ben,2024-08-19
2020,MT,CY752,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5310,232.88,0,40,70.83,0,0,68456.5,44.16,24,1.49,6.28,ilc_lvho14,2024-01-06
2021,PT,MT181,OTHER,1,CHILDCARE_SUBSIDY,5692,99.75,1,18,25.14,1,0,25754.8,24.52,23,1.873,6.03,lfso_14a,2025-10-09
2022,SI,BE835,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6415,595.55,1,8,37.52,1,0,27374.37,89.4,25,1.119,14.84,spr_fam_sum,2025-06-27
2023,AT,CZ29,GUARDIANSHIP,3,BIRTH_GRANT,6209,443.11,0,52,21.42,1,0,19854.65,64.86,22,1.231,12.95,ilc_di07,2024-05-24
2024,HR,SK169,EXTENDED_FAMILY,4,HOUSING_TOPUP,5774,238.29,0,26,56.6,0,1,68472.05,36.14,18,1.122,14.46,spr_fam_ben,2025-01-26
2025,DK,LU432,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6033,430.74,0,14,51.78,0,0,53566.47,27.7,20,0.83,16.05,ilc_lvho14,2024-12-11
2026,FR,DE82,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6343,532.41,0,0,79.32,0,0,54768.06,97.6,26,1.271,23.45,lfso_14a,2024-04-20
2010,HU,CZ6,OTHER,1,CHILDCARE_SUBSIDY,5829,259.37,1,40,30.52,0,0,80934.68,76.38,15,1.145,6.23,spr_fam_sum,2024-10-27
2011,LV,PT66,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5315,385.63,0,18,91.36,1,0,20747.46,55.27,18,1.962,31.15,ilc_di07,2024-08-24
2012,MT,NL29,GUARDIANSHIP,3,BIRTH_GRANT,6316,702.81,0,8,83.02,1,0,37569.1,29.71,30,1.451,32.29,spr_fam_ben,2024-03-05
2013,PT,CZ670,EXTENDED_FAMILY,4,HOUSING_TOPUP,6498,366.32,1,52,30.23,0,1,60570.26,17.33,33,2.03,33.04,ilc_lvho14,2024-01-13
2014,SI,SK272,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5950,346.17,1,26,64.49,0,0,42502.58,44.7,17,1.028,7.88,lfso_14a,2024-03-27
2015,AT,HU18,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6703,486.06,0,14,24.67,0,1,48448.17,52.68,24,1.323,25.84,spr_fam_sum,2025-06-20
2016,HR,DK943,OTHER,1,CHILDCARE_SUBSIDY,6770,103.85,1,0,61.4,0,0,33492.71,74.24,38,1.654,17.76,ilc_di07,2024-09-19
2017,DK,EE207,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5316,611.12,1,40,77.14,0,0,31723.47,87.88,20,1.459,32.04,spr_fam_ben,2025-09-03
2018,FR,AT290,GUARDIANSHIP,3,BIRTH_GRANT,6091,748.27,0,18,34.81,1,0,76338.42,78.58,26,1.321,32.37,ilc_lvho14,2025-04-23
2019,HU,MT937,EXTENDED_FAMILY,4,HOUSING_TOPUP,5647,283.31,0,8,75.11,0,1,47548.96,52.3,29,1.159,27.1,lfso_14a,2025-09-30
2020,LV,SI40,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6043,94.93,1,52,16.52,0,0,67094.94,52.82,37,2.088,27.16,spr_fam_sum,2025-08-04
2021,MT,CY190,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6742,139.94,1,26,67.75,0,0,57763.94,89.07,23,1.793,32.69,ilc_di07,2025-02-25
2022,PT,DE509,OTHER,1,CHILDCARE_SUBSIDY,5604,669.31,1,14,81.97,0,0,73383.45,56.98,28,1.071,12.13,spr_fam_ben,2024-09-15
2023,SI,ES33,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6778,667.67,0,0,48.46,0,1,39006.41,46.65,29,1.82,29.48,ilc_lvho14,2025-09-07
2024,AT,EE484,GUARDIANSHIP,3,BIRTH_GRANT,5788,434.63,0,40,77.49,1,0,26163.7,39.25,35,2.075,33.66,lfso_14a,2024-11-01
2025,HR,SI85,EXTENDED_FAMILY,4,HOUSING_TOPUP,5541,470.9,0,18,73.79,0,1,55916.48,65.05,33,1.733,31.55,spr_fam_sum,2024-01-24
2026,DK,IT28,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6549,771.58,1,8,16.01,0,0,59814.81,78.04,44,2.087,32.48,ilc_di07,2024-11-10
2010,FR,BE63,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6005,172.57,0,52,83.92,1,0,48174.09,18.1,38,1.748,10.47,spr_fam_ben,2024-07-07
2011,HU,IE156,OTHER,1,CHILDCARE_SUBSIDY,5842,81.75,1,26,32.03,0,0,55011.56,49.57,48,1.475,18.91,ilc_lvho14,2025-04-10
2012,LV,FI2,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6100,311.98,1,14,33.22,0,0,74786.81,84.13,42,1.292,19.13,lfso_14a,2024-02-14
2013,MT,ES58,GUARDIANSHIP,3,BIRTH_GRANT,6502,272.98,0,0,58.22,1,0,12807.25,62.95,42,2.157,15.94,spr_fam_sum,2025-04-18
2014,PT,FR127,EXTENDED_FAMILY,4,HOUSING_TOPUP,6050,220.44,0,40,42.5,0,1,75352.34,72.7,41,1.981,14.58,ilc_di07,2025-05-26
2015,SI,NL212,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6567,441.73,1,18,14.19,0,1,13164.23,57.26,51,1.105,10.08,spr_fam_ben,2025-01-17
2016,AT,FI192,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5656,582.63,0,8,84.93,0,0,65469.59,33.52,44,0.961,6.36,ilc_lvho14,2026-02-12
2017,HR,HU35,OTHER,1,CHILDCARE_SUBSIDY,5925,752.94,1,52,40.81,0,0,40102.5,38.84,37,2.04,15.19,lfso_14a,2026-02-08
2018,DK,DK96,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5741,419.44,0,26,63.09,0,1,21434.22,60.34,38,1.132,30.71,spr_fam_sum,2025-11-09
2019,FR,SE90,GUARDIANSHIP,3,BIRTH_GRANT,5649,506.64,0,14,21.89,1,0,67605.66,97.96,50,1.046,12.69,ilc_di07,2024-01-11
2020,HU,LV36,EXTENDED_FAMILY,4,HOUSING_TOPUP,6411,168.11,0,0,60.02,0,1,65885.39,54.44,42,1.232,27.58,spr_fam_ben,2024-07-01
2021,LV,NL8,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5396,554.87,1,40,71.17,0,0,78069.99,44.38,41,1.685,32.81,ilc_lvho14,2024-08-24
2022,MT,EE4,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5736,605.64,0,18,58.57,0,0,40392.1,32.01,51,0.841,13.88,lfso_14a,2024-09-03
2023,PT,MT630,OTHER,1,CHILDCARE_SUBSIDY,6809,269.35,1,8,51.24,0,0,31626.19,77.79,44,1.428,19.5,spr_fam_sum,2024-12-07
2024,SI,LT749,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6094,629.54,0,52,24.58,1,0,25304.47,65.19,52,1.521,32.88,ilc_di07,2026-02-23
2025,AT,BE496,GUARDIANSHIP,3,BIRTH_GRANT,6806,183.49,0,26,32.9,1,0,17768.95,40.3,56,1.229,26.01,spr_fam_ben,2024-08-31
2026,HR,LT72,EXTENDED_FAMILY,4,HOUSING_TOPUP,6179,563.78,0,14,22.15,0,1,56981.8,82.17,53,1.03,21.36,ilc_lvho14,2024-01-31
2010,DK,CY617,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6000,321.45,1,0,17.65,0,0,25542.83,24.07,53,1.34,19.37,lfso_14a,2024-06-12
2011,FR,HU185,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6704,601.7,0,40,15.65,0,0,67728.53,29.57,48,2.144,30.31,spr_fam_sum,2026-02-12
2012,HU,PT57,OTHER,1,CHILDCARE_SUBSIDY,6427,336.3,1,18,89.87,0,1,64903.29,56.49,65,0.986,27.09,ilc_di07,2025-08-13
2013,LV,RO997,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6743,628.46,0,8,27.95,0,0,57693.81,86.05,58,1.098,22.49,spr_fam_ben,2024-08-31
2014,MT,CZ2,GUARDIANSHIP,3,BIRTH_GRANT,6552,678.45,1,52,69.7,1,0,14798.99,63.31,68,1.782,15.57,ilc_lvho14,2025-03-26
2015,PT,BE38,EXTENDED_FAMILY,4,HOUSING_TOPUP,5831,419.94,0,26,16.72,1,1,16309.15,75.16,67,1.691,11.19,lfso_14a,2024-10-15
2016,SI,BE80,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6190,399.5,1,14,33.92,0,1,35639.29,65.18,65,1.672,10.06,spr_fam_sum,2024-02-20
2017,AT,RO63,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5695,582.36,1,0,85.57,0,1,52114.02,54.1,68,0.877,10.05,ilc_di07,2025-06-07
2018,HR,PL504,OTHER,1,CHILDCARE_SUBSIDY,6698,169.56,1,40,36.47,0,0,47858.94,70.99,61,0.851,18.22,spr_fam_ben,2025-01-13
2019,DK,PL876,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6386,734.57,0,18,30.97,0,0,80586.43,78.0,69,1.031,7.4,ilc_lvho14,2025-08-03
2020,FR,PT969,GUARDIANSHIP,3,BIRTH_GRANT,6007,245.36,0,8,88.46,1,1,41142.05,78.3,59,1.642,19.44,lfso_14a,2025-11-22
2021,HU,NL9,EXTENDED_FAMILY,4,HOUSING_TOPUP,6520,584.24,0,52,81.4,0,1,74189.08,43.48,62,1.256,18.61,spr_fam_sum,2025-05-17
2022,LV,HR2,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6464,528.44,0,26,31.86,0,0,24393.33,66.24,66,1.461,6.36,ilc_di07,2025-09-18
2023,MT,NL190,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6204,117.44,0,14,67.42,0,1,17141.85,76.67,62,2.159,30.68,spr_fam_ben,2025-08-10
2024,PT,FI72,OTHER,1,CHILDCARE_SUBSIDY,5722,290.69,1,0,16.65,1,0,78779.28,63.11,73,1.885,12.53,ilc_lvho14,2024-07-06
2025,SI,GR3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5694,746.44,0,40,51.92,0,0,59974.2,35.98,79,1.133,17.5,lfso_14a,2025-02-20
2026,AT,FR18,GUARDIANSHIP,3,BIRTH_GRANT,5751,367.54,0,18,44.52,1,0,70866.28,44.07,71,1.923,13.16,spr_fam_sum,2024-01-09
2010,HR,HU717,EXTENDED_FAMILY,4,HOUSING_TOPUP,5635,594.36,0,8,64.02,0,1,14104.06,87.07,67,1.663,16.11,ilc_di07,2025-07-11
2011,DK,MT62,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5572,628.78,1,52,75.04,1,0,33357.92,40.43,84,0.825,31.64,spr_fam_ben,2024-07-04
2012,FR,PT823,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6661,110.62,0,26,51.12,1,1,80155.61,58.81,72,1.166,6.81,ilc_lvho14,2024-08-14
2013,HU,SE82,OTHER,1,CHILDCARE_SUBSIDY,5976,525.43,1,14,61.2,1,0,26200.17,31.12,81,1.778,23.87,lfso_14a,2025-09-11
2014,LV,LV292,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6476,494.23,0,0,38.34,0,0,28890.7,23.26,85,1.969,29.69,spr_fam_sum,2025-12-06
2015,MT,LT2,GUARDIANSHIP,3,BIRTH_GRANT,6335,646.43,0,40,81.21,1,0,77897.8,67.41,71,1.8,12.27,ilc_di07,2025-09-03
2016,PT,BE953,EXTENDED_FAMILY,4,HOUSING_TOPUP,5545,557.39,1,18,54.5,1,1,12760.32,24.64,83,2.085,12.1,spr_fam_ben,2025-03-15
2017,SI,GR135,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6591,434.28,0,8,66.93,0,0,41434.39,63.37,82,1.478,18.52,ilc_lvho14,2024-04-01
2018,AT,CZ21,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5653,67.07,1,52,19.03,0,0,57280.23,53.32,91,1.698,22.95,lfso_14a,2025-07-23
2019,HR,IE7,OTHER,1,CHILDCARE_SUBSIDY,5901,164.72,1,26,62.4,0,0,35661.14,69.96,82,1.369,26.28,spr_fam_sum,2024-08-12
2020,DK,BG71,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6274,717.87,0,14,83.97,0,1,55042.44,18.28,75,2.163,26.69,ilc_di07,2025-05-03
