health_dispar_analysis_year,health_dispar_disparity_metric_code,health_dispar_group_a_definition,health_dispar_group_b_definition,health_dispar_rate_group_a,health_dispar_rate_group_b,health_dispar_absolute_gap,health_dispar_relative_gap_ratio,health_dispar_concentration_index,health_dispar_segregation_index,health_dispar_access_to_care_index,health_dispar_insurance_coverage_gap_pct,health_dispar_preventable_hospitalization_gap,health_dispar_environmental_exposure_gap,health_dispar_food_insecurity_gap_pct,health_dispar_transport_barrier_gap_pct,health_dispar_language_access_gap_pct,health_dispar_digital_access_gap_pct,health_dispar_policy_context_code,health_dispar_intervention_priority_score
2023,CANCER_SCREEN,GROUP_A_32_DEF,GROUP_B_32_DEF,50.943,76.399,-25.456,0.6668,-0.1603,0.3194,0.9372,10.57,2.15,-0.43,-12.57,-9.14,6.74,-14.24,POL_C,33.49
2011,CANCER_SCREEN,GROUP_A_33_DEF,GROUP_B_33_DEF,41.96,63.685,-21.725,0.6589,-0.2172,0.7373,0.6779,-2.46,-0.13,0.7926,17.04,2.23,-5.53,-11.32,POL_A,8.17
2017,ASTHMA_ED,GROUP_A_34_DEF,GROUP_B_34_DEF,85.319,108.408,-23.089,0.787,0.3305,0.3848,0.7264,-17.85,-79.54,-0.7919,18.97,-7.81,-2.56,-18.51,POL_A,20.33
2011,OUD_TREAT,GROUP_A_35_DEF,GROUP_B_35_DEF,109.113,102.214,6.899,1.0675,-0.0473,0.783,0.8943,-20.56,-34.51,-0.6844,2.58,-10.16,14.65,-16.31,POL_D,11.22
2009,INFANT_MORT,GROUP_A_36_DEF,GROUP_B_36_DEF,10.126,37.585,-27.459,0.2694,-0.3173,0.434,0.9375,-12.55,26.88,-0.2098,16.56,-0.17,3.07,-4.09,POL_D,23.44
2018,INFANT_MORT,GROUP_A_37_DEF,GROUP_B_37_DEF,8.507,3.467,5.04,2.4537,-0.1737,0.8242,0.4215,1.83,77.48,0.5979,3.6,-0.89,0.45,4.05,POL_E,78.14
2011,DIABETES,GROUP_A_38_DEF,GROUP_B_38_DEF,57.855,50.896,6.959,1.1367,0.1249,0.725,0.2746,-24.56,-126.13,0.2139,13.76,0.63,10.27,-6.54,POL_D,52.42
2012,INFANT_MORT,GROUP_A_39_DEF,GROUP_B_39_DEF,51.345,78.054,-26.709,0.6578,-0.0043,0.6225,0.5299,-4.68,-42.64,-0.6131,-16.65,10.73,-16.45,8.99,POL_C,22.6
2023,MATERNAL_MORT,GROUP_A_40_DEF,GROUP_B_40_DEF,86.082,45.362,40.72,1.8977,0.1561,0.8456,0.3101,22.68,-149.21,-0.9789,-14.45,-9.67,-13.96,-13.63,POL_C,36.03
2018,ASTHMA_ED,GROUP_A_41_DEF,GROUP_B_41_DEF,68.606,35.005,33.601,1.9599,0.109,0.7764,0.5065,-3.58,-149.6,-0.6522,4.25,3.74,2.74,8.95,POL_A,47.34
2020,OUD_TREAT,GROUP_A_42_DEF,GROUP_B_42_DEF,55.792,26.296,29.496,2.1217,0.0345,0.6406,0.5648,14.4,-73.5,0.121,13.71,-1.81,17.63,8.06,POL_E,59.31
2020,VACC_COVER,GROUP_A_43_DEF,GROUP_B_43_DEF,69.564,63.463,6.101,1.0961,0.0483,0.1152,0.9334,-18.46,61.09,0.7145,14.85,2.18,1.34,11.62,POL_D,29.52
2022,DIABETES,GROUP_A_44_DEF,GROUP_B_44_DEF,97.853,71.2,26.653,1.3743,-0.0285,0.7499,0.5046,-19.38,-46.44,-0.9533,-13.46,8.73,9.05,-20.45,POL_D,45.32
2018,INFANT_MORT,GROUP_A_45_DEF,GROUP_B_45_DEF,91.133,83.487,7.646,1.0916,-0.101,0.4972,0.1786,11.01,22.62,0.2815,3.63,-1.94,2.45,-7.73,POL_E,38.81
2024,ASTHMA_ED,GROUP_A_46_DEF,GROUP_B_46_DEF,89.449,23.521,65.928,3.8029,-0.1449,0.1323,0.4786,24.27,129.08,-0.462,6.0,-7.43,-15.4,-17.8,POL_A,52.98
2016,ASTHMA_ED,GROUP_A_47_DEF,GROUP_B_47_DEF,48.255,100.503,-52.248,0.4801,-0.3476,0.1913,0.9598,-15.5,-70.07,-0.9851,14.14,-0.01,-2.86,7.1,POL_C,68.48
2021,DIABETES,GROUP_A_48_DEF,GROUP_B_48_DEF,41.31,92.085,-50.775,0.4486,0.0483,0.5582,0.3466,1.53,-56.9,-0.9152,17.96,8.95,11.06,-19.46,POL_E,67.15
2015,MATERNAL_MORT,GROUP_A_49_DEF,GROUP_B_49_DEF,103.748,36.1,67.648,2.8739,0.0942,0.6949,0.6853,-0.84,37.46,-0.0523,3.0,8.95,5.67,21.05,POL_C,2.37
2022,MATERNAL_MORT,GROUP_A_50_DEF,GROUP_B_50_DEF,43.156,34.936,8.22,1.2353,-0.1638,0.5532,0.5456,7.17,-23.52,0.6736,10.86,6.3,11.22,-14.59,POL_C,19.85
2023,ASTHMA_ED,GROUP_A_51_DEF,GROUP_B_51_DEF,50.18,112.443,-62.263,0.4463,0.2447,0.559,0.4913,0.79,67.42,-0.4754,0.95,8.28,-1.58,9.54,POL_D,39.61
2008,OUD_TREAT,GROUP_A_52_DEF,GROUP_B_52_DEF,75.68,30.222,45.458,2.5041,-0.0805,0.6833,0.7757,-11.39,80.48,0.5752,6.75,-10.31,4.52,-10.73,POL_B,26.7
2019,VACC_COVER,GROUP_A_53_DEF,GROUP_B_53_DEF,93.42,110.544,-17.124,0.8451,-0.1314,0.3735,0.655,-22.37,125.68,0.8081,-14.9,-2.62,-17.69,-0.27,POL_D,38.0
2018,VACC_COVER,GROUP_A_54_DEF,GROUP_B_54_DEF,3.962,31.156,-27.194,0.1272,-0.0246,0.5353,0.7152,4.39,-23.91,0.4769,4.01,2.63,-7.23,6.29,POL_A,82.69
2013,CANCER_SCREEN,GROUP_A_55_DEF,GROUP_B_55_DEF,55.004,119.685,-64.681,0.4596,0.2991,0.578,0.4018,8.46,70.26,-0.8577,19.97,-8.14,-0.02,-1.88,POL_A,14.34
2016,DIABETES,GROUP_A_56_DEF,GROUP_B_56_DEF,71.6,106.833,-35.233,0.6702,0.073,0.3827,0.9265,-15.75,27.78,0.3035,-10.35,0.34,-14.88,12.26,POL_D,25.44
2008,ASTHMA_ED,GROUP_A_57_DEF,GROUP_B_57_DEF,4.878,114.829,-109.951,0.0425,-0.0541,0.7235,0.4106,-4.0,-37.44,-0.7396,2.54,-9.15,7.46,-21.23,POL_D,9.47
2016,INFANT_MORT,GROUP_A_58_DEF,GROUP_B_58_DEF,119.007,0.938,118.069,126.8731,0.0371,0.4817,0.7307,11.56,84.52,-0.5967,-2.59,9.05,13.41,-20.61,POL_B,71.5
2016,OUD_TREAT,GROUP_A_59_DEF,GROUP_B_59_DEF,60.063,89.347,-29.284,0.6722,-0.3135,0.4161,0.9285,24.84,126.75,0.9129,16.7,-5.18,8.73,-9.02,POL_E,31.76
2015,ASTHMA_ED,GROUP_A_60_DEF,GROUP_B_60_DEF,46.137,17.045,29.092,2.7068,-0.2033,0.3352,0.5737,24.2,-93.8,-0.925,-4.37,3.09,0.12,4.46,POL_C,31.08
2008,DIABETES,GROUP_A_61_DEF,GROUP_B_61_DEF,84.649,66.19,18.459,1.2789,0.0935,0.2686,0.0525,-14.42,44.68,-0.3089,14.12,-9.79,-15.96,18.79,POL_C,61.73
2020,ASTHMA_ED,GROUP_A_62_DEF,GROUP_B_62_DEF,12.064,33.215,-21.151,0.3632,-0.0047,0.1665,0.1061,14.17,-48.69,-0.2515,-8.48,1.59,7.81,20.81,POL_D,6.28
2024,MATERNAL_MORT,GROUP_A_63_DEF,GROUP_B_63_DEF,54.128,52.785,1.343,1.0254,0.1232,0.0695,0.6179,-8.23,45.95,0.0336,1.88,9.26,11.42,7.71,POL_A,37.22
2012,VACC_COVER,GROUP_A_64_DEF,GROUP_B_64_DEF,114.34,42.01,72.33,2.7217,0.2199,0.3446,0.6923,1.16,-49.81,-0.621,15.06,6.58,15.17,-14.35,POL_D,11.73
2011,LIFE_EXPECT,GROUP_A_65_DEF,GROUP_B_65_DEF,115.35,52.462,62.888,2.1987,-0.2583,0.658,0.793,-9.53,135.58,-0.0547,12.43,2.54,9.34,3.59,POL_B,66.19
2021,MATERNAL_MORT,GROUP_A_66_DEF,GROUP_B_66_DEF,43.387,77.514,-34.127,0.5597,-0.0158,0.164,0.7191,16.65,-19.12,0.7784,11.51,6.46,-14.01,14.37,POL_A,87.93
2020,ASTHMA_ED,GROUP_A_67_DEF,GROUP_B_67_DEF,65.914,61.328,4.586,1.0748,-0.2917,0.2647,0.1814,-6.8,-28.49,0.7539,7.38,-7.5,6.61,16.57,POL_E,24.56
2021,INFANT_MORT,GROUP_A_68_DEF,GROUP_B_68_DEF,1.193,68.218,-67.025,0.0175,0.0327,0.7887,0.0939,-23.45,-40.05,-0.0931,-8.23,-5.49,7.95,6.69,POL_B,73.96
2015,VACC_COVER,GROUP_A_69_DEF,GROUP_B_69_DEF,118.705,48.424,70.281,2.4514,0.095,0.7952,0.2084,4.4,-146.37,0.3918,-1.23,1.85,17.36,-19.68,POL_A,28.15
2022,DIABETES,GROUP_A_70_DEF,GROUP_B_70_DEF,0.577,90.38,-89.803,0.0064,-0.1021,0.7676,0.2144,-12.36,50.11,0.0489,-18.22,-3.83,-11.63,-4.43,POL_D,93.71
2008,DIABETES,GROUP_A_71_DEF,GROUP_B_71_DEF,23.341,62.103,-38.762,0.3758,-0.154,0.5396,0.4911,20.39,-112.17,0.4584,10.37,-0.0,7.98,-9.63,POL_B,76.1
2023,INFANT_MORT,GROUP_A_72_DEF,GROUP_B_72_DEF,78.871,26.816,52.055,2.9412,0.3275,0.2112,0.5579,10.67,-124.68,-0.3936,15.75,5.52,-8.69,0.26,POL_E,24.07
2016,CANCER_SCREEN,GROUP_A_73_DEF,GROUP_B_73_DEF,119.14,91.511,27.629,1.3019,-0.1916,0.4849,0.0481,-19.85,-144.11,-0.4334,-17.48,-9.09,-11.64,-8.43,POL_C,79.67
2009,ASTHMA_ED,GROUP_A_74_DEF,GROUP_B_74_DEF,113.675,72.397,41.278,1.5702,0.3194,0.17,0.852,22.51,-13.6,-0.2348,-9.98,-6.76,17.43,-3.91,POL_B,92.74
2016,INFANT_MORT,GROUP_A_75_DEF,GROUP_B_75_DEF,99.46,32.794,66.666,3.0329,0.2557,0.6995,0.9569,18.91,149.75,-0.5385,-8.83,-5.25,-16.81,3.62,POL_B,16.4
2019,OUD_TREAT,GROUP_A_76_DEF,GROUP_B_76_DEF,109.351,84.09,25.261,1.3004,-0.217,0.7826,0.1091,-19.82,103.87,-0.5858,-15.51,8.68,-15.0,-20.47,POL_A,66.89
2018,CANCER_SCREEN,GROUP_A_77_DEF,GROUP_B_77_DEF,82.629,117.021,-34.392,0.7061,-0.2297,0.7449,0.8404,-13.55,-87.52,-0.5319,14.75,2.3,13.99,9.76,POL_D,41.35
2025,VACC_COVER,GROUP_A_78_DEF,GROUP_B_78_DEF,51.408,72.637,-21.229,0.7077,-0.1573,0.8274,0.2359,-7.28,67.73,-0.403,-3.3,0.96,15.61,4.39,POL_B,67.23
2018,VACC_COVER,GROUP_A_79_DEF,GROUP_B_79_DEF,53.158,108.809,-55.651,0.4885,0.2549,0.2928,0.2644,13.03,-119.02,-0.6454,18.31,1.84,-13.97,-16.89,POL_A,63.53
2011,CANCER_SCREEN,GROUP_A_80_DEF,GROUP_B_80_DEF,92.203,33.181,59.022,2.7788,0.347,0.7667,0.7545,-10.66,-112.9,-0.2081,-1.7,-4.67,13.34,14.95,POL_C,63.97
2022,ASTHMA_ED,GROUP_A_81_DEF,GROUP_B_81_DEF,3.799,18.702,-14.903,0.2031,-0.1556,0.5965,0.845,16.01,-22.4,0.5991,-15.45,1.63,8.99,-13.16,POL_E,9.47
2019,DIABETES,GROUP_A_82_DEF,GROUP_B_82_DEF,116.707,61.625,55.082,1.8938,0.1889,0.1252,0.9872,-12.13,60.9,-0.561,-7.23,-1.46,-14.29,-8.42,POL_D,34.91
2024,OUD_TREAT,GROUP_A_83_DEF,GROUP_B_83_DEF,112.56,98.581,13.979,1.1418,0.3395,0.4197,0.3692,19.55,92.6,0.228,3.04,-10.14,4.79,-4.27,POL_D,97.85
2024,MATERNAL_MORT,GROUP_A_84_DEF,GROUP_B_84_DEF,1.182,72.43,-71.248,0.0163,0.3417,0.0915,0.5135,10.17,-140.4,-0.3221,12.11,8.47,-5.7,-0.2,POL_D,66.72
2014,LIFE_EXPECT,GROUP_A_85_DEF,GROUP_B_85_DEF,81.561,102.927,-21.366,0.7924,0.2387,0.232,0.6958,12.24,41.88,-0.6345,-0.24,0.18,5.27,5.54,POL_C,86.29
2024,VACC_COVER,GROUP_A_86_DEF,GROUP_B_86_DEF,108.821,14.197,94.624,7.6651,-0.3094,0.0708,0.9214,-16.12,-53.54,0.2711,-5.56,-4.54,-4.06,3.06,POL_E,43.03
2015,CANCER_SCREEN,GROUP_A_87_DEF,GROUP_B_87_DEF,31.283,76.585,-45.302,0.4085,-0.0469,0.552,0.4552,-11.29,145.27,-0.7179,-0.68,5.12,17.24,14.55,POL_A,88.08
2025,OUD_TREAT,GROUP_A_88_DEF,GROUP_B_88_DEF,44.22,12.561,31.659,3.5204,-0.2403,0.7418,0.3299,5.67,19.71,-0.5159,-10.31,7.64,-4.62,20.06,POL_E,10.76
2025,VACC_COVER,GROUP_A_89_DEF,GROUP_B_89_DEF,95.051,27.589,67.462,3.4452,-0.2189,0.4913,0.39,-7.77,116.15,0.5473,6.77,0.62,10.35,-9.74,POL_D,52.32
2021,CANCER_SCREEN,GROUP_A_90_DEF,GROUP_B_90_DEF,99.081,71.987,27.094,1.3764,-0.2556,0.531,0.1162,-0.38,-111.7,0.0192,-6.85,11.06,-17.42,-15.18,POL_D,54.89
2012,ASTHMA_ED,GROUP_A_91_DEF,GROUP_B_91_DEF,117.826,38.439,79.387,3.0653,-0.1132,0.4693,0.3941,-16.07,61.5,0.7889,17.59,10.26,15.03,9.21,POL_C,38.83
2021,VACC_COVER,GROUP_A_92_DEF,GROUP_B_92_DEF,6.287,65.768,-59.481,0.0956,-0.3066,0.7367,0.2905,-5.81,-102.06,0.9271,-2.94,4.94,13.44,-6.85,POL_D,85.75
2013,CANCER_SCREEN,GROUP_A_93_DEF,GROUP_B_93_DEF,42.99,22.578,20.412,1.9041,-0.1965,0.8052,0.1437,16.91,4.99,0.5645,6.1,6.96,-6.79,-19.0,POL_B,47.97
2016,ASTHMA_ED,GROUP_A_94_DEF,GROUP_B_94_DEF,33.024,106.171,-73.147,0.311,-0.2415,0.1393,0.5022,-5.83,-51.06,-0.979,14.36,10.01,8.61,-9.59,POL_A,9.91
2020,INFANT_MORT,GROUP_A_95_DEF,GROUP_B_95_DEF,103.27,107.937,-4.667,0.9568,0.3061,0.6104,0.0604,24.67,128.48,-0.1942,9.79,0.95,-9.02,6.18,POL_A,60.61
2018,OUD_TREAT,GROUP_A_96_DEF,GROUP_B_96_DEF,4.616,10.673,-6.057,0.4325,0.2397,0.2189,0.7029,-16.57,-106.21,0.0694,8.64,-9.41,-3.59,16.95,POL_D,43.32
2024,VACC_COVER,GROUP_A_97_DEF,GROUP_B_97_DEF,108.155,93.75,14.405,1.1537,0.1244,0.2703,0.5422,-19.74,23.68,-0.0291,19.49,6.31,8.97,9.41,POL_E,92.52
2013,OUD_TREAT,GROUP_A_98_DEF,GROUP_B_98_DEF,37.774,74.457,-36.683,0.5073,0.2734,0.23,0.9992,-7.89,146.93,-0.7879,-6.58,6.61,-9.17,-14.01,POL_C,0.76
2023,VACC_COVER,GROUP_A_99_DEF,GROUP_B_99_DEF,1.505,14.644,-13.139,0.1028,-0.1894,0.3518,0.8912,-1.73,43.51,-0.9525,-16.59,7.26,1.87,2.31,POL_E,54.87
2017,OUD_TREAT,GROUP_A_100_DEF,GROUP_B_100_DEF,45.725,33.932,11.793,1.3475,0.0059,0.43,0.3772,11.75,54.03,-0.4179,6.18,-3.64,-2.13,5.27,POL_D,96.51
2008,LIFE_EXPECT,GROUP_A_101_DEF,GROUP_B_101_DEF,11.231,103.489,-92.258,0.1085,0.2601,0.5517,0.2323,-17.3,-43.57,0.4661,8.82,5.64,16.18,-4.0,POL_E,77.45
2021,ASTHMA_ED,GROUP_A_102_DEF,GROUP_B_102_DEF,57.098,102.597,-45.499,0.5565,-0.1141,0.0633,0.5139,13.13,93.48,0.5048,2.3,-4.73,-9.41,4.04,POL_C,72.09
2023,DIABETES,GROUP_A_103_DEF,GROUP_B_103_DEF,15.27,109.823,-94.553,0.139,0.2696,0.3575,0.4402,5.13,112.81,0.8108,-10.85,-10.3,3.24,-6.04,POL_E,85.16
2025,DIABETES,GROUP_A_104_DEF,GROUP_B_104_DEF,36.607,111.087,-74.48,0.3295,-0.2052,0.0847,0.4417,-13.83,-124.4,0.9847,8.25,-1.9,-11.05,-7.48,POL_D,24.53
2025,VACC_COVER,GROUP_A_105_DEF,GROUP_B_105_DEF,54.397,55.118,-0.721,0.9869,-0.0871,0.1922,0.4756,14.05,-144.38,0.3146,5.58,-11.21,5.3,-12.93,POL_D,5.12
2024,VACC_COVER,GROUP_A_106_DEF,GROUP_B_106_DEF,118.817,111.421,7.396,1.0664,0.1568,0.4567,0.9318,-20.69,-98.77,-0.7992,-14.15,2.45,-2.38,-9.47,POL_E,69.97
2018,OUD_TREAT,GROUP_A_107_DEF,GROUP_B_107_DEF,15.35,13.61,1.74,1.1278,0.1244,0.2126,0.8369,17.95,129.79,0.0713,-5.6,10.07,-17.0,0.97,POL_A,91.26
2021,INFANT_MORT,GROUP_A_108_DEF,GROUP_B_108_DEF,66.147,13.05,53.097,5.0687,-0.255,0.5569,0.4392,11.63,86.87,0.2168,-2.27,2.39,8.31,-12.2,POL_E,53.37
2025,INFANT_MORT,GROUP_A_109_DEF,GROUP_B_109_DEF,61.245,29.661,31.584,2.0648,-0.1861,0.2466,0.5875,22.73,-104.08,0.9334,4.86,-0.31,10.68,-5.68,POL_D,59.44
2010,VACC_COVER,GROUP_A_110_DEF,GROUP_B_110_DEF,47.59,5.211,42.379,9.1326,0.218,0.2424,0.9966,8.26,-96.81,-0.8665,0.03,-4.57,-15.67,-19.3,POL_C,14.73
2022,CANCER_SCREEN,GROUP_A_111_DEF,GROUP_B_111_DEF,45.777,97.606,-51.829,0.469,-0.2927,0.4021,0.4557,16.7,-127.16,0.9484,6.89,-3.92,-15.66,-20.59,POL_A,35.12
2013,LIFE_EXPECT,GROUP_A_112_DEF,GROUP_B_112_DEF,21.335,32.66,-11.325,0.6532,0.1068,0.6437,0.6791,18.77,-36.46,-0.065,-7.88,-9.12,-4.68,-21.94,POL_E,17.07
2019,DIABETES,GROUP_A_113_DEF,GROUP_B_113_DEF,4.823,9.462,-4.639,0.5097,0.141,0.0565,0.1622,-10.15,-126.19,0.7705,13.42,-2.32,-5.4,15.09,POL_B,55.86
2025,OUD_TREAT,GROUP_A_114_DEF,GROUP_B_114_DEF,42.403,85.26,-42.857,0.4973,-0.0785,0.0704,0.6759,-6.68,107.93,-0.4118,-0.27,7.25,6.5,17.68,POL_E,21.44
2014,DIABETES,GROUP_A_115_DEF,GROUP_B_115_DEF,12.976,4.525,8.451,2.8676,0.3118,0.1141,0.1417,20.33,65.01,-0.9511,-4.73,7.55,-12.27,-21.36,POL_A,14.73
2025,ASTHMA_ED,GROUP_A_116_DEF,GROUP_B_116_DEF,90.957,77.809,13.148,1.169,-0.0368,0.5499,0.4213,-9.53,-28.03,0.3277,-5.89,5.7,3.92,13.23,POL_E,53.68
2011,VACC_COVER,GROUP_A_117_DEF,GROUP_B_117_DEF,26.186,57.16,-30.974,0.4581,-0.0568,0.7846,0.2819,1.89,33.77,-0.2735,1.13,-5.15,1.8,2.21,POL_A,11.87
2021,MATERNAL_MORT,GROUP_A_118_DEF,GROUP_B_118_DEF,47.263,90.633,-43.37,0.5215,0.1213,0.069,0.144,17.87,19.25,-0.6265,-7.05,1.24,-16.55,-21.3,POL_A,30.48
2011,LIFE_EXPECT,GROUP_A_119_DEF,GROUP_B_119_DEF,61.922,86.052,-24.13,0.7196,0.0288,0.6044,0.8907,-22.65,13.28,0.2787,-6.91,-9.35,16.81,2.17,POL_D,68.54
