house_homeless_reference_year,house_homeless_country_iso2,house_homeless_region_nuts_code,house_homeless_measurement_method_code,house_homeless_total_count,house_homeless_sheltered_count,house_homeless_unsheltered_count,house_homeless_temporary_accommodation_count,house_homeless_youth_share_pct,house_homeless_women_share_pct,house_homeless_migrant_share_pct,house_homeless_duration_long_term_share_pct,house_homeless_health_needs_share_pct,house_homeless_housing_first_programme_flag,house_homeless_support_service_capacity,house_homeless_evictions_count,house_homeless_rent_arrears_share_pct,house_homeless_data_source,house_homeless_revision_round,house_homeless_data_extract_date
2016,PT,AT58,POINT_IN_TIME,35910,24964,10740,12486,27.86,22.31,38.72,40.98,9.61,0,14048,14642,8.67,CITY_HOMELESSNESS_CENSUS,SECOND,2025-11-25
2017,BE,GR254,ADMIN_REGISTER,53008,28318,23782,7698,9.06,44.15,51.55,58.44,22.29,0,60462,5153,9.67,SURVEY_ESTIMATE,BENCHMARK,2025-07-06
2018,FI,DE819,SURVEY_ESTIMATE,20174,14231,3878,2385,19.99,40.39,12.26,33.55,8.9,1,15467,16591,7.8,FEANTSA_REPORTING,FLASH,2024-07-10
2019,LV,DK51,SERVICE_USE_ADMIN,22057,11369,10197,6665,25.85,18.59,24.25,34.79,35.35,0,23831,6901,5.7,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-12-17
2020,RO,LU59,MODELLED_ESTIMATE,41482,33225,4689,13368,22.57,33.12,51.04,24.18,20.7,1,46487,11214,19.8,CITY_HOMELESSNESS_CENSUS,SECOND,2025-09-14
2021,BG,MT232,POINT_IN_TIME,37502,26247,11196,5012,20.9,44.61,38.2,12.42,31.22,1,24260,7068,19.69,SURVEY_ESTIMATE,BENCHMARK,2025-12-29
2022,FR,ES2,ADMIN_REGISTER,68638,48401,12136,18652,23.77,27.56,52.37,46.58,31.66,1,55364,12683,19.76,FEANTSA_REPORTING,FLASH,2025-11-18
2023,LT,LV66,SURVEY_ESTIMATE,71417,54749,10653,35619,19.34,22.13,14.31,46.44,48.22,1,49220,11631,7.49,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-11-16
2024,SK,PT17,SERVICE_USE_ADMIN,32460,26018,6143,8284,10.07,23.83,14.58,34.25,15.91,0,32210,4728,1.72,CITY_HOMELESSNESS_CENSUS,SECOND,2024-08-04
2025,HR,EE601,MODELLED_ESTIMATE,65795,40885,20431,19971,15.61,34.64,17.18,37.44,48.24,0,56289,12419,7.65,SURVEY_ESTIMATE,BENCHMARK,2024-02-27
2006,DE,AT83,POINT_IN_TIME,43545,33715,7799,18424,6.95,23.17,13.9,55.48,36.72,1,46075,13723,18.74,FEANTSA_REPORTING,FLASH,2024-05-17
2007,LU,SE3,ADMIN_REGISTER,25499,22151,2388,12545,20.03,46.48,29.23,27.91,27.63,0,9713,1313,18.77,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-05-11
2008,SI,FI207,SURVEY_ESTIMATE,57467,31924,20349,20644,17.05,34.46,47.06,34.15,51.91,1,65507,7406,8.21,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-25
2009,CY,LT5,SERVICE_USE_ADMIN,15169,9320,4607,1548,19.93,46.27,53.72,45.96,37.92,1,7884,4658,19.79,SURVEY_ESTIMATE,BENCHMARK,2025-12-31
2010,GR,CZ4,MODELLED_ESTIMATE,62837,42576,17793,27000,20.86,26.39,28.18,13.42,44.81,1,42673,7522,3.89,FEANTSA_REPORTING,FLASH,2025-03-16
2011,MT,MT109,POINT_IN_TIME,65352,45299,16716,23153,10.6,29.75,8.66,52.8,24.38,1,74303,12871,4.38,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-03-23
2012,ES,SK9,ADMIN_REGISTER,40438,28508,11347,4281,7.24,36.64,22.1,59.6,45.43,1,19810,1055,11.44,CITY_HOMELESSNESS_CENSUS,SECOND,2025-04-13
2013,CZ,SE90,SURVEY_ESTIMATE,55974,37767,11344,19209,18.22,23.25,13.51,17.27,31.21,1,37670,1179,8.48,SURVEY_ESTIMATE,BENCHMARK,2025-08-06
2014,HU,SI88,SERVICE_USE_ADMIN,69980,41063,21682,33728,22.04,38.46,44.29,13.29,38.88,0,44340,5118,10.68,FEANTSA_REPORTING,FLASH,2026-02-25
2015,NL,GR828,MODELLED_ESTIMATE,7630,4508,2245,1375,19.79,34.7,8.69,43.33,17.39,1,5337,9859,17.6,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-11-11
2016,SE,CY5,POINT_IN_TIME,77061,44568,24594,17938,25.6,18.32,41.52,37.59,48.44,0,59632,5057,2.79,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-24
2017,DK,SK4,ADMIN_REGISTER,70099,47117,19046,14422,23.02,23.63,17.45,33.96,17.7,1,37474,6124,8.59,SURVEY_ESTIMATE,BENCHMARK,2025-05-20
2018,IE,IE89,SURVEY_ESTIMATE,548,468,54,163,18.83,15.09,27.96,10.57,16.01,0,309,5102,17.12,FEANTSA_REPORTING,FLASH,2024-07-19
2019,PL,NL970,SERVICE_USE_ADMIN,103482,61903,31567,36932,12.1,21.27,36.71,24.79,8.7,0,68566,187,14.99,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-08-19
2020,AT,SK45,MODELLED_ESTIMATE,61793,46821,13606,22210,15.15,30.0,33.87,43.58,28.7,1,49526,1670,19.77,CITY_HOMELESSNESS_CENSUS,SECOND,2026-02-02
2021,EE,NL8,POINT_IN_TIME,13990,7460,5307,2075,8.99,26.0,18.22,33.19,34.08,1,6065,1121,21.28,SURVEY_ESTIMATE,BENCHMARK,2024-09-03
2022,IT,FR22,ADMIN_REGISTER,5591,3410,1425,828,17.47,16.58,49.21,21.03,7.32,0,4463,8869,21.69,FEANTSA_REPORTING,FLASH,2024-11-29
2023,PT,BG3,SURVEY_ESTIMATE,26647,19162,7620,7375,10.26,41.87,11.23,23.46,36.84,0,24179,17855,17.07,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-04-14
2024,BE,BG96,SERVICE_USE_ADMIN,50345,26826,16744,24148,15.04,38.42,12.44,52.74,6.8,0,46118,9229,1.85,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-10
2025,FI,HU465,MODELLED_ESTIMATE,31674,26649,2767,15355,18.05,26.89,42.88,47.49,8.15,1,15234,3683,0.95,SURVEY_ESTIMATE,BENCHMARK,2025-08-23
2006,LV,HR29,POINT_IN_TIME,11245,6851,3579,3891,19.14,15.39,32.5,38.81,9.84,1,5003,17609,21.04,FEANTSA_REPORTING,FLASH,2025-01-18
2007,RO,BE7,ADMIN_REGISTER,45460,35670,8993,17053,20.75,44.82,13.27,32.61,10.15,0,38198,8610,21.24,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-05
2008,BG,BE87,SURVEY_ESTIMATE,3280,1511,1679,930,10.51,23.47,12.91,15.69,13.55,0,1712,6642,19.63,CITY_HOMELESSNESS_CENSUS,SECOND,2025-10-19
2009,FR,HR81,SERVICE_USE_ADMIN,45106,38981,5254,23869,6.2,39.42,27.01,13.98,25.17,0,18213,2915,5.11,SURVEY_ESTIMATE,BENCHMARK,2025-06-23
2010,LT,AT816,MODELLED_ESTIMATE,15534,7992,5801,7512,7.07,37.34,25.51,56.7,48.84,1,8160,5024,20.55,FEANTSA_REPORTING,FLASH,2025-12-17
2011,SK,MT937,POINT_IN_TIME,70304,58490,10383,21570,13.64,17.08,9.21,57.16,34.96,0,69301,14084,10.08,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-02-17
2012,HR,AT431,ADMIN_REGISTER,80414,52725,22890,29623,16.05,42.93,48.64,48.56,38.7,1,34438,8071,18.78,CITY_HOMELESSNESS_CENSUS,SECOND,2025-01-26
2013,DE,GR848,SURVEY_ESTIMATE,40239,30841,6356,15644,16.02,13.33,39.59,12.71,48.25,1,15176,12435,17.97,SURVEY_ESTIMATE,BENCHMARK,2025-01-19
2014,LU,SK69,SERVICE_USE_ADMIN,76665,41958,30730,23117,23.82,41.15,22.69,43.62,25.6,1,55081,9373,8.37,FEANTSA_REPORTING,FLASH,2024-01-15
2015,SI,HU326,MODELLED_ESTIMATE,72390,61049,8867,35591,21.87,43.73,50.34,60.84,49.66,0,59083,10219,18.83,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-06-12
2016,CY,SE619,POINT_IN_TIME,37887,18715,12683,9269,6.79,27.85,24.82,50.64,21.7,1,22802,20270,9.53,CITY_HOMELESSNESS_CENSUS,SECOND,2025-04-02
2017,GR,HR8,ADMIN_REGISTER,8528,6872,1712,2963,5.84,41.51,8.1,33.77,10.06,0,9624,18466,18.37,SURVEY_ESTIMATE,BENCHMARK,2025-05-24
2018,MT,PL42,SURVEY_ESTIMATE,30714,22617,6443,7972,7.02,44.15,54.89,54.01,27.39,1,24807,5076,16.85,FEANTSA_REPORTING,FLASH,2024-10-07
2019,ES,BG365,SERVICE_USE_ADMIN,80146,51881,26816,27350,26.87,22.1,31.52,61.68,50.11,0,81904,4725,14.5,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-11
2020,CZ,CZ5,MODELLED_ESTIMATE,69058,46706,16749,13260,24.17,28.4,8.6,31.12,50.29,0,41816,3737,7.5,CITY_HOMELESSNESS_CENSUS,SECOND,2024-07-02
2021,HU,LV533,POINT_IN_TIME,91071,68976,15468,10280,10.38,12.96,56.29,22.23,32.06,0,65377,10159,1.87,SURVEY_ESTIMATE,BENCHMARK,2024-12-06
2022,NL,IT885,ADMIN_REGISTER,17537,9707,7677,7831,13.39,30.52,45.28,55.88,20.77,1,17117,4826,11.53,FEANTSA_REPORTING,FLASH,2024-09-11
2023,SE,PT359,SURVEY_ESTIMATE,6540,3861,2761,1859,8.12,27.86,50.76,56.26,29.27,1,5583,4335,10.97,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-26
2024,DK,HR19,SERVICE_USE_ADMIN,100099,55524,31621,42559,22.81,29.05,32.29,20.5,23.1,0,90752,4799,14.11,CITY_HOMELESSNESS_CENSUS,SECOND,2025-11-06
2025,IE,CZ1,MODELLED_ESTIMATE,38629,19862,17368,20500,22.42,46.2,51.45,55.85,47.11,0,24073,7812,9.74,SURVEY_ESTIMATE,BENCHMARK,2025-06-14
2006,PL,FR28,POINT_IN_TIME,22206,11453,11206,6454,15.55,16.24,10.63,34.3,23.81,0,25419,4997,3.07,FEANTSA_REPORTING,FLASH,2024-02-08
2007,AT,LU3,ADMIN_REGISTER,88608,64255,23934,41336,6.79,19.23,57.75,52.66,27.53,0,33829,7505,19.24,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-09
2008,EE,CY864,SURVEY_ESTIMATE,13088,7226,6043,3147,23.61,44.58,21.01,27.6,31.2,0,9867,4571,1.6,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-31
2009,IT,AT662,SERVICE_USE_ADMIN,45527,25819,11108,12833,11.66,24.23,40.25,28.54,32.68,1,16906,21595,21.78,SURVEY_ESTIMATE,BENCHMARK,2025-05-10
2010,PT,EE73,MODELLED_ESTIMATE,93248,70550,12558,40654,20.6,21.01,17.76,55.5,15.2,0,77375,8319,14.75,FEANTSA_REPORTING,FLASH,2025-09-23
2011,BE,PL73,POINT_IN_TIME,36992,24753,9404,12911,24.0,17.59,26.9,19.55,26.15,0,27946,12415,15.44,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2026-01-13
2012,FI,LV61,ADMIN_REGISTER,16413,12036,2712,1691,15.43,21.38,27.54,43.56,42.26,1,18248,2750,3.54,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-24
2013,LV,LV729,SURVEY_ESTIMATE,7510,4543,1865,1391,9.19,15.83,14.82,17.29,21.55,1,4777,568,2.45,SURVEY_ESTIMATE,BENCHMARK,2024-08-22
2014,RO,SK36,SERVICE_USE_ADMIN,1724,1470,182,294,14.02,46.78,37.52,28.77,10.77,0,686,12281,4.55,FEANTSA_REPORTING,FLASH,2025-01-14
2015,BG,MT37,MODELLED_ESTIMATE,42165,27380,14100,21049,21.12,19.27,41.88,52.58,38.9,1,32452,15363,21.95,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-06-07
2016,FR,ES67,POINT_IN_TIME,1895,1394,465,360,27.55,25.16,44.39,58.07,35.21,1,1941,8556,5.99,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-28
2017,LT,FR4,ADMIN_REGISTER,6296,4832,965,1318,8.56,39.04,21.04,46.85,20.94,1,5239,2908,19.88,SURVEY_ESTIMATE,BENCHMARK,2024-02-26
2018,SK,MT773,SURVEY_ESTIMATE,29295,19297,5510,7419,21.91,40.08,36.52,30.84,21.02,0,13894,19884,6.43,FEANTSA_REPORTING,FLASH,2025-12-25
2019,HR,BG1,SERVICE_USE_ADMIN,64427,40368,16703,33799,13.3,25.35,41.39,36.99,37.85,0,70319,18229,6.63,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-11-23
2020,DE,DE7,MODELLED_ESTIMATE,54597,26732,20724,27047,22.0,35.27,32.47,49.94,29.4,1,61583,6039,13.47,CITY_HOMELESSNESS_CENSUS,SECOND,2024-09-28
2021,LU,IE8,POINT_IN_TIME,24366,20402,4051,6402,17.58,31.05,31.68,44.2,46.16,0,25921,1363,8.29,SURVEY_ESTIMATE,BENCHMARK,2026-01-27
2022,SI,SE59,ADMIN_REGISTER,18502,11514,5747,2852,22.31,34.72,36.48,20.97,22.71,1,16180,17,4.43,FEANTSA_REPORTING,FLASH,2025-07-09
2023,CY,HR51,SURVEY_ESTIMATE,39702,26650,10261,12859,10.3,36.81,45.03,38.68,33.6,0,39202,11355,14.08,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-01
2024,GR,PT53,SERVICE_USE_ADMIN,84363,52997,19201,30691,18.36,26.0,20.2,58.39,51.6,0,62665,7805,3.23,CITY_HOMELESSNESS_CENSUS,SECOND,2024-10-03
2025,MT,PT125,MODELLED_ESTIMATE,59281,29521,26550,12334,16.34,29.39,57.42,54.4,16.4,1,23273,11797,14.11,SURVEY_ESTIMATE,BENCHMARK,2025-04-18
2006,ES,IE80,POINT_IN_TIME,54429,26810,15616,5504,23.3,35.75,53.36,31.22,11.49,0,37387,15585,20.9,FEANTSA_REPORTING,FLASH,2026-01-30
2007,CZ,BG9,ADMIN_REGISTER,43446,33977,9218,20600,17.7,20.59,38.1,49.4,44.88,0,42996,382,7.29,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-13
2008,HU,HR844,SURVEY_ESTIMATE,42946,19561,16568,4760,19.77,13.54,57.52,10.68,51.98,0,33046,16992,11.43,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-27
2009,NL,DK95,SERVICE_USE_ADMIN,33437,26134,5163,7463,25.82,24.52,47.49,31.74,49.1,0,13771,14649,17.51,SURVEY_ESTIMATE,BENCHMARK,2024-09-19
2010,SE,EE6,MODELLED_ESTIMATE,33065,24108,6572,7308,21.48,31.9,56.5,59.66,7.5,1,12928,791,13.69,FEANTSA_REPORTING,FLASH,2024-12-16
2011,DK,BE6,POINT_IN_TIME,71109,54500,13242,30321,5.82,22.45,52.43,16.99,43.56,1,34160,3674,16.63,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-08-17
2012,IE,NL89,ADMIN_REGISTER,32245,20946,9943,13007,16.32,26.68,25.77,27.19,44.37,1,20703,5015,5.44,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-22
2013,PL,BE542,SURVEY_ESTIMATE,68060,32588,37202,13681,7.58,12.42,9.13,18.79,13.29,0,61063,1161,14.48,SURVEY_ESTIMATE,BENCHMARK,2025-09-26
2014,AT,BG76,SERVICE_USE_ADMIN,73476,56985,16692,7793,16.99,24.58,55.3,13.34,17.64,1,80646,16753,9.66,FEANTSA_REPORTING,FLASH,2024-10-28
2015,EE,FI7,MODELLED_ESTIMATE,28687,16157,8466,5666,20.66,31.6,45.25,43.17,46.53,0,23504,17789,8.27,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-10-07
2016,IT,PL21,POINT_IN_TIME,21795,14450,6836,11578,6.87,19.1,11.42,27.27,11.9,0,12795,5248,20.36,CITY_HOMELESSNESS_CENSUS,SECOND,2025-03-18
2017,PT,BE423,ADMIN_REGISTER,44505,26912,9993,6929,16.36,26.17,22.27,35.76,23.41,1,41350,17037,16.7,SURVEY_ESTIMATE,BENCHMARK,2025-10-06
2018,BE,PT607,SURVEY_ESTIMATE,105167,65486,24642,12899,15.35,46.62,26.48,51.93,7.86,0,70111,1260,9.31,FEANTSA_REPORTING,FLASH,2024-12-17
2019,FI,DK32,SERVICE_USE_ADMIN,72715,48514,14082,32290,17.72,13.41,17.93,18.19,30.32,0,73947,18802,18.05,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-05-14
2020,LV,IT23,MODELLED_ESTIMATE,90097,47466,28711,39007,14.45,42.63,37.45,60.57,34.12,0,81279,11170,8.83,CITY_HOMELESSNESS_CENSUS,SECOND,2026-02-22
2021,RO,DK195,POINT_IN_TIME,29660,15338,11131,13820,15.84,40.55,56.56,13.11,22.27,0,27627,15042,3.73,SURVEY_ESTIMATE,BENCHMARK,2025-10-26
2022,BG,RO478,ADMIN_REGISTER,21659,13542,6149,3212,9.29,33.91,21.77,27.18,37.44,1,22395,10201,7.25,FEANTSA_REPORTING,FLASH,2024-06-23
2023,FR,RO375,SURVEY_ESTIMATE,49598,42668,5479,18229,8.73,20.57,41.18,34.95,43.7,1,39939,4105,10.56,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-22
2024,LT,AT677,SERVICE_USE_ADMIN,71541,40490,31811,22914,26.11,31.61,57.03,46.65,16.07,0,58107,6350,4.25,CITY_HOMELESSNESS_CENSUS,SECOND,2025-03-10
2025,SK,LV58,MODELLED_ESTIMATE,68482,31573,31203,19663,23.16,44.93,46.06,58.63,36.27,0,48152,1521,2.73,SURVEY_ESTIMATE,BENCHMARK,2024-03-27
2006,HR,FR90,POINT_IN_TIME,26819,19409,7066,10280,25.57,45.89,47.92,45.67,31.47,1,12560,14846,2.35,FEANTSA_REPORTING,FLASH,2024-01-02
2007,DE,SI409,ADMIN_REGISTER,720,338,294,324,12.85,16.49,10.16,34.1,20.22,0,809,14646,7.96,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-02-18
2008,LU,ES706,SURVEY_ESTIMATE,33248,28660,4384,13209,24.92,39.06,30.21,50.22,12.56,1,27161,1069,11.57,CITY_HOMELESSNESS_CENSUS,SECOND,2024-08-29
2009,SI,RO189,SERVICE_USE_ADMIN,57658,29697,25757,20428,5.32,43.24,10.6,27.58,9.5,0,33695,12311,18.68,SURVEY_ESTIMATE,BENCHMARK,2024-06-06
2010,CY,NL1,MODELLED_ESTIMATE,16284,7809,5473,5562,7.35,17.85,28.44,57.36,51.25,0,17718,12813,20.86,FEANTSA_REPORTING,FLASH,2024-09-30
2011,GR,FI71,POINT_IN_TIME,76102,51611,17140,29080,24.34,40.68,53.13,28.97,24.6,1,76013,6259,0.97,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-12-04
2012,MT,IT917,ADMIN_REGISTER,87813,56948,26155,19022,21.54,13.17,42.85,24.8,49.09,0,35384,11156,8.2,CITY_HOMELESSNESS_CENSUS,SECOND,2025-04-21
2013,ES,LU33,SURVEY_ESTIMATE,49112,40583,8315,18129,27.81,24.25,36.98,50.73,50.48,0,37292,16552,8.09,SURVEY_ESTIMATE,BENCHMARK,2025-07-16
2014,CZ,DK71,SERVICE_USE_ADMIN,29087,14256,13436,6680,16.07,17.45,34.55,57.35,36.56,0,13003,7180,20.65,FEANTSA_REPORTING,FLASH,2024-07-16
2015,HU,SK85,MODELLED_ESTIMATE,31440,25576,3888,15232,25.96,21.32,17.86,15.92,10.38,0,18198,20275,1.56,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-12
2016,NL,HU78,POINT_IN_TIME,59694,29607,30492,27585,6.78,23.71,41.87,45.66,7.53,1,53886,3318,7.81,CITY_HOMELESSNESS_CENSUS,SECOND,2026-02-03
2017,SE,FI81,ADMIN_REGISTER,51975,24431,18112,17907,14.91,40.99,20.06,41.79,47.85,1,58857,15024,8.35,SURVEY_ESTIMATE,BENCHMARK,2024-05-14
2018,DK,BG950,SURVEY_ESTIMATE,21010,13192,6229,10510,18.1,40.93,39.03,38.68,19.36,0,15051,3061,19.87,FEANTSA_REPORTING,FLASH,2025-03-09
2019,IE,MT485,SERVICE_USE_ADMIN,70288,41631,29108,28333,13.98,29.52,27.17,18.5,7.27,0,49144,3900,9.33,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-08
2020,PL,PT697,MODELLED_ESTIMATE,28404,15985,9202,4118,5.7,28.9,49.24,21.86,29.88,1,32238,4512,10.54,CITY_HOMELESSNESS_CENSUS,SECOND,2024-07-31
2021,AT,IT5,POINT_IN_TIME,21469,17320,3223,9643,27.83,44.44,51.17,27.32,21.47,1,23504,14111,17.64,SURVEY_ESTIMATE,BENCHMARK,2024-02-17
2022,EE,DE77,ADMIN_REGISTER,17541,13043,3437,8581,19.35,32.21,9.44,27.29,28.04,1,14194,11407,14.88,FEANTSA_REPORTING,FLASH,2024-12-03
